Orthogroup	DMIR.longest_only	CPIP.longest_only
OG0000796	LOC108157752|XP_017145422.1|DMIR, LOC108155269|XP_017141468.1|DMIR	LOC120432573|XP_039453733.1|CPIP
OG0000797	LOC108157426|XP_017144964.2|DMIR, LOC108157804|XP_017145486.1|DMIR	LOC120414099|XP_039431056.1|CPIP, LOC120419430|XP_039438042.1|CPIP
OG0000798	LOC117189871|XP_033250835.1|DMIR, LOC108159253|XP_017147868.1|DMIR, LOC108159251|XP_017147862.1|DMIR, LOC117185765|XP_033250832.1|DMIR	LOC120415294|XP_039432697.1|CPIP
OG0000799	LOC108157758|XP_017145428.1|DMIR, LOC108156249|XP_017143092.1|DMIR	LOC120424434|XP_039444488.1|CPIP, LOC120428134|XP_039449050.1|CPIP
OG0000801	LOC108161365|XP_033248820.1|DMIR, LOC108160486|XP_017149997.1|DMIR, LOC117192062|XP_033252667.1|DMIR, LOC117192063|XP_033252668.1|DMIR, LOC117189957|XP_033250928.1|DMIR	LOC120431544|XP_039452587.1|CPIP
OG0000802	LOC108165039|XP_017156566.1|DMIR	LOC120419165|XP_039437749.1|CPIP, LOC120419161|XP_039437744.1|CPIP, LOC120419173|XP_039437760.1|CPIP
OG0000803	LOC108162930|XP_017153401.2|DMIR, LOC108153527|XP_033243204.1|DMIR	LOC120412688|XP_039429199.1|CPIP
OG0000810	LOC117187683|XP_033246252.1|DMIR, LOC108157954|XP_017145588.1|DMIR	LOC120430093|XP_039451114.1|CPIP, LOC120424339|XP_039444365.1|CPIP
OG0000811	LOC108157816|XP_017145505.1|DMIR, LOC117189394|XP_033250406.1|DMIR, LOC108158768|XP_017146881.1|DMIR	LOC120430979|XP_039452051.1|CPIP
OG0000812	LOC117186465|XP_033243222.1|DMIR, LOC117186304|XP_033242784.1|DMIR, LOC108151435|XP_033243694.1|DMIR	LOC120427000|XP_039447755.1|CPIP
OG0000814	LOC108161394|XP_017151131.1|DMIR	LOC120419319|XP_039437923.1|CPIP, LOC120414046|XP_039431001.1|CPIP
OG0000815	LOC108162311|XP_033249743.1|DMIR	LOC120420094|XP_039438966.1|CPIP, LOC120420412|XP_039439366.1|CPIP, LOC120419953|XP_039438750.1|CPIP, LOC120419959|XP_039438759.1|CPIP
OG0000816	LOC108162665|XP_017152998.1|DMIR, LOC108156711|XP_017143848.1|DMIR	LOC120415564|XP_039433070.1|CPIP
OG0000817	LOC108154500|XP_017140289.1|DMIR, LOC108154587|XP_017140380.1|DMIR	LOC120432393|XP_039453522.1|CPIP
OG0000818	LOC108164987|XP_017156502.1|DMIR	LOC120420870|XP_039439923.1|CPIP, LOC120417437|XP_039435412.1|CPIP
OG0000820	LOC117187997|XP_033246976.1|DMIR, LOC108159961|XP_017149121.2|DMIR	LOC120418431|XP_039436744.1|CPIP
OG0000821	LOC108154356|XP_017140111.1|DMIR, LOC117190613|XP_033251555.1|DMIR, LOC108160162|XP_017149470.1|DMIR	LOC120414923|XP_039432191.1|CPIP
OG0000822	LOC108165327|XP_017156849.1|DMIR, LOC108163500|XP_017154314.1|DMIR	LOC120428520|XP_039449477.1|CPIP, LOC120416210|XP_039433836.1|CPIP
OG0000831	LOC117193559|XP_033254197.1|DMIR, LOC108159607|XP_017148550.1|DMIR	LOC120427282|XP_039448065.1|CPIP, LOC120427278|XP_039448062.1|CPIP, LOC120414834|XP_039432094.1|CPIP
OG0000832	LOC117193823|XP_033254424.1|DMIR, LOC108158579|XP_017146511.1|DMIR, LOC108161207|XP_017150917.1|DMIR	LOC120421010|XP_039440062.1|CPIP
OG0000833	LOC108165428|XP_017156956.1|DMIR	LOC120422698|XP_039442145.1|CPIP
OG0000834	LOC108154517|XP_017140307.1|DMIR	LOC120418860|XP_039437327.1|CPIP
OG0000836	LOC117188880|XP_033249299.1|DMIR, LOC117188881|XP_033249300.1|DMIR, LOC108164111|XP_033249298.1|DMIR, LOC108161607|XP_017151392.1|DMIR	LOC120415979|XP_039433566.1|CPIP
OG0000837	LOC117187715|XP_033246351.1|DMIR, LOC117190732|XP_033251687.1|DMIR	LOC120417498|XP_039435509.1|CPIP
OG0000839	LOC108154741|XP_017140599.1|DMIR	LOC120413954|XP_039430891.1|CPIP
OG0000840	LOC108164574|XP_017155882.1|DMIR	LOC120423439|XP_039443189.1|CPIP
OG0000841	LOC108157024|XP_017144321.1|DMIR	LOC120421143|XP_039440270.1|CPIP
OG0000843	LOC117191099|XP_033251953.1|DMIR, LOC117190358|XP_033251328.1|DMIR, LOC117190631|XP_033251567.1|DMIR, LOC117190630|XP_033251566.1|DMIR, LOC117190170|XP_033251123.1|DMIR, LOC117190355|XP_033251325.1|DMIR, LOC117190335|XP_033251306.1|DMIR, LOC117190332|XP_033251301.1|DMIR, LOC117190336|XP_033251307.1|DMIR, LOC117190337|XP_033251309.1|DMIR, LOC117191089|XP_033251943.1|DMIR, LOC117190328|XP_033251297.1|DMIR, LOC117190327|XP_033251293.1|DMIR, LOC117190333|XP_033251302.1|DMIR, LOC117190329|XP_033251298.1|DMIR, LOC117190331|XP_033251300.1|DMIR, LOC117190330|XP_033251299.1|DMIR, LOC117191632|XP_033252336.1|DMIR, LOC117187714|XP_033246349.1|DMIR, LOC117191634|XP_033252337.1|DMIR, LOC117190320|XP_033251286.1|DMIR, LOC117190334|XP_033251303.1|DMIR	LOC120431268|XP_039452336.1|CPIP
OG0000844	LOC108160082|XP_017149343.1|DMIR, LOC108155080|XP_017141186.1|DMIR	LOC120414979|XP_039432248.1|CPIP
OG0000845	LOC108163324|XP_017154048.1|DMIR, LOC108163318|XP_017154034.1|DMIR	LOC120417392|XP_039435347.1|CPIP, LOC120417419|XP_039435396.1|CPIP
OG0000854	LOC108160280|XP_017149655.1|DMIR, LOC108160260|XP_017149621.1|DMIR	LOC120432213|XP_039453307.1|CPIP
OG0000855	LOC108150977|XP_017134808.1|DMIR, LOC108154293|XP_017140033.1|DMIR	LOC120419350|XP_039437982.1|CPIP
OG0000856	LOC108152869|XP_017137987.1|DMIR	LOC120421057|XP_039440135.1|CPIP
OG0000857	LOC108162242|XP_017152371.1|DMIR	LOC120424313|XP_039444331.1|CPIP, LOC120418642|XP_039437022.1|CPIP
OG0000858	LOC108154170|XP_033244277.1|DMIR	LOC120426684|XP_039447392.1|CPIP
OG0000860	LOC108151523|XP_017135662.1|DMIR, LOC108151758|XP_017136088.1|DMIR	LOC120428391|XP_039449328.1|CPIP
OG0000861	LOC108158687|XP_017146709.1|DMIR, LOC117194131|XP_033254669.1|DMIR, LOC108158683|XP_017146704.1|DMIR, LOC117194128|XP_033254665.1|DMIR, LOC117193108|XP_033253720.1|DMIR	LOC120428748|XP_039449764.1|CPIP
OG0000862	LOC117192274|XP_033252821.1|DMIR, LOC108158863|XP_017147085.1|DMIR, LOC108163211|XP_017153855.1|DMIR	LOC120418915|XP_039437380.1|CPIP
OG0000863	LOC108155197|XP_017141358.1|DMIR	LOC120412605|XP_039429087.1|CPIP
OG0000865	LOC108163908|XP_017154925.1|DMIR, LOC108156918|XP_017144154.1|DMIR	LOC120423669|XP_039443489.1|CPIP
OG0000866	LOC117188611|XP_033248498.1|DMIR, LOC108161761|XP_033248503.1|DMIR	LOC120422619|XP_039442049.1|CPIP
OG0000867	LOC108163864|XP_017154869.1|DMIR	LOC120413111|XP_039429751.1|CPIP
OG0000868	LOC108164990|XP_017156505.1|DMIR, LOC108163639|XP_017154539.1|DMIR, LOC108163345|XP_017154074.1|DMIR, LOC108157316|XP_017144814.1|DMIR, LOC108162651|XP_017152977.1|DMIR	LOC120419336|XP_039437941.1|CPIP, LOC120414763|XP_039432009.1|CPIP
OG0000869	LOC108157765|XP_017145436.1|DMIR	LOC120431030|XP_039452116.1|CPIP
OG0000871	LOC108159137|XP_017147620.2|DMIR, LOC117188403|XP_033248129.1|DMIR	LOC120416744|XP_039434513.1|CPIP
OG0000872	LOC108158750|XP_017146849.1|DMIR	LOC120418438|XP_039436780.1|CPIP
OG0000873	LOC108152656|XP_017137639.1|DMIR	LOC120414951|XP_039432215.1|CPIP, LOC120423917|XP_039443832.1|CPIP, LOC120414941|XP_039432205.1|CPIP
OG0000874	LOC108165187|XP_017156746.1|DMIR, LOC117193456|XP_033254103.1|DMIR, LOC108160532|XP_017150083.1|DMIR	LOC120423682|XP_039443508.1|CPIP
OG0000875	LOC108153984|XP_033246109.1|DMIR, LOC108153332|XP_017138738.1|DMIR	LOC120429100|XP_039450197.1|CPIP
OG0000882	LOC108160058|XP_017149297.1|DMIR, LOC108161883|XP_033250029.1|DMIR	LOC120415611|XP_039433139.1|CPIP
OG0000883	LOC108150812|XP_017134609.1|DMIR	LOC120419054|XP_039437562.1|CPIP, LOC120420051|XP_039438897.1|CPIP, LOC120425029|XP_039445334.1|CPIP, LOC120421899|XP_039441131.1|CPIP, LOC120420379|XP_039439326.1|CPIP
OG0000884	LOC117188641|XP_033248686.1|DMIR, LOC108163482|XP_017154278.2|DMIR, LOC117188639|XP_033248684.1|DMIR, LOC108159126|XP_017147604.1|DMIR	LOC120427201|XP_039447995.1|CPIP
OG0000885	LOC108156404|XP_017143332.1|DMIR	LOC120424055|XP_039444010.1|CPIP, LOC120424044|XP_039444000.1|CPIP, LOC120424045|XP_039444001.1|CPIP
OG0000887	LOC108165075|XP_017156615.1|DMIR	LOC120420686|XP_039439715.1|CPIP, LOC120420673|XP_039439704.1|CPIP, LOC120425775|XP_039446321.1|CPIP
OG0000888	LOC117186617|XP_033243514.1|DMIR, LOC108152097|XP_017136636.2|DMIR	LOC120412402|XP_039428795.1|CPIP
OG0000889	LOC108152556|XP_017137466.1|DMIR	LOC120418561|XP_039436926.1|CPIP
OG0000890	LOC117185730|XP_033246507.1|DMIR, LOC108160187|XP_017149506.2|DMIR, LOC108154032|XP_033244735.1|DMIR, LOC117187064|XP_033244734.1|DMIR, LOC117186398|XP_033243030.1|DMIR, LOC117186473|XP_033243235.1|DMIR, LOC117186408|XP_033243056.1|DMIR, LOC117186389|XP_033243015.1|DMIR, LOC108163228|XP_017153873.1|DMIR	LOC120422694|XP_039442137.1|CPIP
OG0000891	LOC108163385|XP_017154128.1|DMIR	LOC120413113|XP_039429753.1|CPIP
OG0000892	LOC108152201|XP_017136849.1|DMIR, LOC108152050|XP_017136541.1|DMIR	LOC120428476|XP_039449427.1|CPIP
OG0000893	LOC108153859|XP_017139447.1|DMIR	LOC120414042|XP_039431000.1|CPIP, LOC120415367|XP_039432803.1|CPIP, LOC120413619|XP_039430463.1|CPIP, LOC120414024|XP_039430983.1|CPIP, LOC120414031|XP_039430990.1|CPIP, LOC120413628|XP_039430476.1|CPIP
OG0000894	LOC108156893|XP_017144122.1|DMIR, LOC108156892|XP_017144119.1|DMIR, LOC108156884|XP_017144108.1|DMIR	LOC120412970|XP_039429552.1|CPIP
OG0000895	LOC108159148|XP_017147634.2|DMIR, LOC108159147|XP_017147633.1|DMIR	LOC120430631|XP_039451660.1|CPIP, LOC120431041|XP_039452126.1|CPIP
OG0000896	LOC117185727|XP_033247630.1|DMIR, LOC108157972|XP_033252695.1|DMIR, LOC108156265|XP_017143123.1|DMIR	LOC120422176|XP_039441485.1|CPIP
OG0000907	LOC117191628|XP_033252332.1|DMIR, LOC117191629|XP_033252333.1|DMIR, LOC117191626|XP_033252331.1|DMIR, LOC117191630|XP_033252334.1|DMIR, LOC117191631|XP_033252335.1|DMIR, LOC117187719|XP_033246358.1|DMIR, LOC117190340|XP_033251312.1|DMIR, LOC117190343|XP_033251314.1|DMIR, LOC117190629|XP_033251565.1|DMIR, LOC117189528|XP_033250560.1|DMIR, LOC117190628|XP_033251564.1|DMIR, LOC117191098|XP_033251952.1|DMIR, LOC117190169|XP_033251122.1|DMIR, LOC117190348|XP_033251320.1|DMIR, LOC117190342|XP_033251313.1|DMIR, LOC117190352|XP_033251323.1|DMIR, LOC117190344|XP_033251315.1|DMIR, LOC117190346|XP_033251318.1|DMIR, LOC117190347|XP_033251319.1|DMIR, LOC117190345|XP_033251316.1|DMIR, LOC117190350|XP_033251322.1|DMIR, LOC117190349|XP_033251321.1|DMIR	LOC120422532|XP_039441927.1|CPIP
OG0000909	LOC117188014|XP_033247036.1|DMIR, LOC108164962|XP_017156460.1|DMIR, LOC108157387|XP_017144912.1|DMIR, LOC117188275|XP_033247725.1|DMIR, LOC117188015|XP_033247042.1|DMIR, LOC117188925|XP_033249448.1|DMIR, LOC117188272|XP_033247720.1|DMIR	LOC120424456|XP_039444523.1|CPIP
OG0000910	LOC108158469|XP_017146252.1|DMIR	LOC120432597|XP_039453770.1|CPIP
OG0000911	LOC117188192|XP_033247563.1|DMIR, LOC117188202|XP_033247578.1|DMIR, LOC117188206|XP_033247585.1|DMIR, LOC108160576|XP_033247584.1|DMIR, LOC117188193|XP_033247564.1|DMIR, LOC117187404|XP_033245897.1|DMIR, LOC108158058|XP_033247456.1|DMIR, LOC117188050|XP_033247157.1|DMIR, LOC117188212|XP_033247594.1|DMIR, LOC117188211|XP_033247593.1|DMIR, LOC117188189|XP_033247560.1|DMIR, LOC117194106|XP_033254637.1|DMIR, LOC117194107|XP_033254638.1|DMIR, LOC117194105|XP_033254636.1|DMIR, LOC117194118|XP_033254652.1|DMIR, LOC117194108|XP_033254641.1|DMIR, LOC108155394|XP_033254654.1|DMIR, LOC117194119|XP_033254653.1|DMIR, LOC117194109|XP_033254642.1|DMIR	LOC120417462|XP_039435459.1|CPIP
OG0000912	LOC108153104|XP_017138376.1|DMIR	LOC120418557|XP_039436921.1|CPIP
OG0000913	LOC108151512|XP_017135645.1|DMIR	LOC120426921|XP_039447661.1|CPIP
OG0000913	LOC108151510|XP_017135644.1|DMIR	LOC120418826|XP_039437276.1|CPIP
OG0000914	LOC108160970|XP_017150757.2|DMIR, LOC117188428|XP_033248198.1|DMIR	LOC120418298|XP_039436562.1|CPIP, LOC120418292|XP_039436556.1|CPIP, LOC120418291|XP_039436554.1|CPIP, LOC120418294|XP_039436558.1|CPIP, LOC120418293|XP_039436557.1|CPIP, LOC120419858|XP_039438629.1|CPIP
OG0000915	LOC108160172|XP_017149485.1|DMIR, LOC117191242|XP_033252050.1|DMIR	LOC120416134|XP_039433742.1|CPIP, LOC120423137|XP_039442750.1|CPIP
OG0000916	LOC108163426|XP_033248996.1|DMIR	LOC120419180|XP_039437774.1|CPIP, LOC120419181|XP_039437782.1|CPIP
OG0000917	LOC108156937|XP_033245053.1|DMIR, LOC108162455|XP_033249421.1|DMIR	LOC120414568|XP_039431721.1|CPIP
OG0000918	LOC108163084|XP_017153652.1|DMIR	LOC120420514|XP_039439508.1|CPIP, LOC120413898|XP_039430809.1|CPIP
OG0000920	LOC108165043|XP_017156570.1|DMIR	LOC120415401|XP_039432861.1|CPIP, LOC120415381|XP_039432839.1|CPIP, LOC120415349|XP_039432772.1|CPIP, LOC120415392|XP_039432852.1|CPIP, LOC120415348|XP_039432771.1|CPIP, LOC120415389|XP_039432846.1|CPIP, LOC120430879|XP_039451942.1|CPIP
OG0000921	LOC117186269|XP_033242682.1|DMIR, LOC108151703|XP_033242034.1|DMIR	LOC120413978|XP_039430918.1|CPIP
OG0000922	LOC108152685|XP_017137673.1|DMIR	LOC120422036|XP_039441299.1|CPIP
OG0000923	LOC108155715|XP_017142201.1|DMIR	LOC120423161|XP_039442776.1|CPIP, LOC120429725|XP_039450705.1|CPIP
OG0000924	LOC117186525|XP_033243335.1|DMIR, LOC117186531|XP_033243346.1|DMIR, LOC117186528|XP_033243343.1|DMIR, LOC117186539|XP_033243357.1|DMIR, LOC117186745|XP_033243837.1|DMIR, LOC117186534|XP_033243349.1|DMIR, LOC117186533|XP_033243348.1|DMIR, LOC117186532|XP_033243347.1|DMIR, LOC117186542|XP_033243361.1|DMIR, LOC117186535|XP_033243352.1|DMIR, LOC117186536|XP_033243353.1|DMIR, LOC117195294|XP_033255792.1|DMIR, LOC117186537|XP_033243355.1|DMIR, LOC117186530|XP_033243345.1|DMIR, LOC117186529|XP_033243344.1|DMIR, LOC117186541|XP_033243360.1|DMIR, LOC117186540|XP_033243358.1|DMIR, LOC117186538|XP_033243356.1|DMIR, LOC108153145|XP_033243286.1|DMIR	LOC120418575|XP_039436954.1|CPIP
OG0000925	LOC108156033|XP_017142774.1|DMIR	LOC120423899|XP_039443814.1|CPIP, LOC120423887|XP_039443795.1|CPIP
OG0000935	LOC108155300|XP_017141504.2|DMIR	LOC120413347|XP_039430059.1|CPIP
OG0000936	LOC117187223|XP_033245321.1|DMIR, LOC108152145|XP_017136749.1|DMIR	LOC120424541|XP_039444639.1|CPIP
OG0000937	LOC108157203|XP_017144624.1|DMIR	LOC120421436|XP_039440578.1|CPIP, LOC120423044|XP_039442646.1|CPIP
OG0000938	LOC108164361|XP_017155475.1|DMIR	LOC120418068|XP_039436262.1|CPIP
OG0000939	LOC108163156|XP_017153762.2|DMIR, LOC117185883|XP_033249325.1|DMIR	LOC120429750|XP_039451052.1|CPIP
OG0000941	LOC108159334|XP_017148024.1|DMIR	LOC120416887|XP_039434719.1|CPIP
OG0000942	LOC108152313|XP_017137035.1|DMIR	LOC120420666|XP_039439697.1|CPIP
OG0000943	LOC108160030|XP_017149258.1|DMIR, LOC117190065|XP_033251037.1|DMIR, LOC108159380|XP_017148097.1|DMIR	LOC120419988|XP_039438800.1|CPIP
OG0000944	LOC108164647|XP_017155986.1|DMIR	LOC120414476|XP_039431604.1|CPIP
OG0000945	LOC108152464|XP_017137321.1|DMIR	LOC120422285|XP_039441609.1|CPIP
OG0000946	LOC108163484|XP_017154282.1|DMIR	LOC120428439|XP_039449389.1|CPIP, LOC120427626|XP_039448449.1|CPIP
OG0000947	LOC108160478|XP_017149987.1|DMIR, LOC117189835|XP_033250789.1|DMIR	LOC120427061|XP_039447834.1|CPIP, LOC120421155|XP_039440279.1|CPIP, LOC120421145|XP_039440268.1|CPIP, LOC120421144|XP_039440267.1|CPIP
OG0000948	LOC117186253|XP_033242659.1|DMIR, LOC108151885|XP_033242660.1|DMIR, LOC108151887|XP_033242658.1|DMIR, LOC117186254|XP_033242662.1|DMIR, LOC117186252|XP_033242657.1|DMIR, LOC108151884|XP_033242654.1|DMIR, LOC117186250|XP_033242655.1|DMIR, LOC117186317|XP_033242837.1|DMIR, LOC117186251|XP_033242656.1|DMIR	LOC120413180|XP_039429827.1|CPIP
OG0000949	LOC108155578|XP_017141973.1|DMIR	LOC120419243|XP_039437835.1|CPIP
OG0000949	LOC108155592|XP_017142002.1|DMIR	LOC120419259|XP_039437851.1|CPIP
OG0000950	LOC108152594|XP_017137542.1|DMIR, LOC108154333|XP_017140084.1|DMIR	LOC120423626|XP_039443431.1|CPIP
OG0000951	LOC117191277|XP_033252078.1|DMIR, LOC108155628|XP_017142048.1|DMIR, LOC117191967|XP_033252600.1|DMIR, LOC108161568|XP_017151346.2|DMIR	LOC120424899|XP_039445123.1|CPIP, LOC120432196|XP_039453284.1|CPIP
OG0000952	LOC108162292|XP_017152442.1|DMIR	LOC120417629|XP_039435675.1|CPIP
OG0000953	LOC117186380|XP_033242992.1|DMIR, LOC117190659|XP_033251603.1|DMIR, LOC117192470|XP_033253052.1|DMIR, LOC117192095|XP_033252688.1|DMIR, LOC117193934|XP_033254489.1|DMIR	LOC120430512|XP_039451545.1|CPIP
OG0000963	LOC108165112|XP_017156660.1|DMIR	LOC120432205|XP_039453301.1|CPIP, LOC120432197|XP_039453288.1|CPIP, LOC120432186|XP_039453264.1|CPIP
OG0000964	LOC117191441|XP_033252198.1|DMIR, LOC117190486|XP_033251444.1|DMIR, LOC117191998|XP_033252613.1|DMIR, LOC108161245|XP_017150989.1|DMIR	LOC120432247|XP_039453355.1|CPIP, LOC120425740|XP_039446280.1|CPIP
OG0000965	LOC117187003|XP_033244446.1|DMIR, LOC117187013|XP_033244505.1|DMIR, LOC117187426|XP_033245975.1|DMIR, LOC117187419|XP_033245965.1|DMIR, LOC117187427|XP_033245976.1|DMIR, LOC117187423|XP_033245971.1|DMIR, LOC117187049|XP_033244666.1|DMIR, LOC117187033|XP_033244601.1|DMIR, LOC117187005|XP_033244454.1|DMIR, LOC117186984|XP_033244352.1|DMIR, LOC117187001|XP_033244441.1|DMIR, LOC108164947|XP_017156425.2|DMIR	LOC120412464|XP_039428876.1|CPIP
OG0000966	LOC108157490|XP_017145076.1|DMIR	LOC120418083|XP_039436275.1|CPIP, LOC120419866|XP_039438651.1|CPIP
OG0000968	LOC108151665|XP_017135893.1|DMIR	LOC120413224|XP_039429884.1|CPIP, LOC120413265|XP_039429927.1|CPIP
OG0000969	LOC117193545|XP_033254181.1|DMIR, LOC108158362|XP_017146105.1|DMIR	LOC120422701|XP_039442146.1|CPIP
OG0000970	LOC108154284|XP_017140027.1|DMIR, LOC108154274|XP_017140016.1|DMIR, LOC108156262|XP_017143114.1|DMIR	LOC120412746|XP_039429272.1|CPIP, LOC120414836|XP_039432096.1|CPIP, LOC120416782|XP_039434584.1|CPIP
OG0000971	LOC108164143|XP_017155236.1|DMIR	LOC120412655|XP_039429144.1|CPIP, LOC120420893|XP_039439948.1|CPIP
OG0000972	LOC108151938|XP_017136357.1|DMIR	LOC120415719|XP_039433248.1|CPIP
OG0000973	LOC108151298|XP_017135326.1|DMIR, LOC108165138|XP_017156692.2|DMIR, LOC117186022|XP_033241943.1|DMIR, LOC117186023|XP_033241944.1|DMIR, LOC117192452|XP_033253032.1|DMIR, LOC117188885|XP_033249306.1|DMIR, LOC117188888|XP_033249312.1|DMIR, LOC117192910|XP_033253540.1|DMIR	LOC120415145|XP_039432513.1|CPIP, LOC120415146|XP_039432515.1|CPIP, LOC120429862|XP_039450871.1|CPIP
OG0000974	LOC108151837|XP_017136203.2|DMIR	LOC120415931|XP_039433510.1|CPIP, LOC120415915|XP_039433495.1|CPIP, LOC120415929|XP_039433509.1|CPIP, LOC120415934|XP_039433514.1|CPIP, LOC120415935|XP_039433515.1|CPIP
OG0000975	LOC108154784|XP_017140660.1|DMIR, LOC108155522|XP_017141858.1|DMIR	LOC120424400|XP_039444433.1|CPIP
OG0000978	LOC108154967|XP_017140970.1|DMIR	LOC120414919|XP_039432185.1|CPIP
OG0000988	LOC108162923|XP_017153394.1|DMIR	LOC120421063|XP_039440142.1|CPIP
OG0000990	LOC117190487|XP_033251445.1|DMIR, LOC108152683|XP_017137675.1|DMIR	LOC120420232|XP_039439155.1|CPIP
OG0000991	LOC108159144|XP_017147632.1|DMIR	LOC120422538|XP_039441935.1|CPIP, LOC120417786|XP_039435882.1|CPIP
OG0000992	LOC108157393|XP_033245963.1|DMIR	LOC120423852|XP_039443737.1|CPIP
OG0000993	LOC108154921|XP_017140869.1|DMIR, LOC108154919|XP_017140867.1|DMIR	LOC120430226|XP_039451240.1|CPIP
OG0000994	LOC108165057|XP_017156591.1|DMIR	LOC120424683|XP_039444794.1|CPIP, LOC120424625|XP_039444724.1|CPIP
OG0000995	LOC108163937|XP_017154961.2|DMIR	LOC120427566|XP_039448374.1|CPIP
OG0000996	LOC108160227|XP_017149568.1|DMIR	LOC120427074|XP_039447850.1|CPIP
OG0000997	LOC108160787|XP_017150483.2|DMIR, LOC117190405|XP_033251374.1|DMIR, LOC117187782|XP_033246511.1|DMIR	LOC120420924|XP_039439987.1|CPIP
OG0000998	LOC108151389|XP_017135454.1|DMIR	LOC120424650|XP_039444755.1|CPIP, LOC120424647|XP_039444749.1|CPIP
OG0000999	LOC108155745|XP_017142259.1|DMIR	LOC120423615|XP_039443416.1|CPIP
OG0001000	LOC117188052|XP_033247167.1|DMIR, LOC117190773|XP_033251724.1|DMIR	LOC120424549|XP_039444648.1|CPIP
OG0001001	LOC117192545|XP_033253132.1|DMIR, LOC108160074|XP_017149319.1|DMIR	LOC120419379|XP_039437985.1|CPIP, LOC120419368|XP_039437971.1|CPIP, LOC120428792|XP_039449824.1|CPIP
OG0001002	LOC108162981|XP_017153476.1|DMIR	LOC120420795|XP_039439844.1|CPIP, LOC120420762|XP_039439801.1|CPIP, LOC120419729|XP_039438460.1|CPIP
OG0001003	LOC108154975|XP_017140984.1|DMIR	LOC120417872|XP_039436027.1|CPIP
OG0001004	LOC108155115|XP_017141243.1|DMIR	LOC120427940|XP_039448820.1|CPIP
OG0001006	LOC108151405|XP_017135482.1|DMIR	LOC120412343|XP_039428677.1|CPIP
OG0001007	LOC117185760|XP_017148353.1|DMIR, LOC108159506|XP_017148352.2|DMIR	LOC120412364|XP_039428722.1|CPIP
OG0001008	LOC108164832|XP_017156243.1|DMIR	LOC120425096|XP_039445425.1|CPIP
OG0001009	LOC108155068|XP_017141144.1|DMIR, LOC108155777|XP_033245461.1|DMIR	LOC120422414|XP_039441762.1|CPIP
OG0001019	LOC108157038|XP_017144341.1|DMIR	LOC120431968|XP_039453040.1|CPIP, LOC120426070|XP_039446688.1|CPIP, LOC120420148|XP_039439078.1|CPIP
OG0001020	LOC108164937|XP_017156415.1|DMIR	LOC120432292|XP_039453413.1|CPIP, LOC120432291|XP_039453412.1|CPIP, LOC120432246|XP_039453354.1|CPIP, LOC120432290|XP_039453411.1|CPIP
OG0001021	LOC108163627|XP_017154516.1|DMIR	LOC120414374|XP_039431472.1|CPIP, LOC120415238|XP_039432635.1|CPIP, LOC120422475|XP_039441864.1|CPIP, LOC120422464|XP_039441851.1|CPIP
OG0001022	LOC117186231|XP_033242563.1|DMIR	LOC120418094|XP_039436296.1|CPIP, LOC120419901|XP_039438703.1|CPIP
OG0001023	LOC108154054|XP_017139635.1|DMIR	LOC120426946|XP_039447702.1|CPIP
OG0001024	LOC108156052|XP_017142814.1|DMIR	LOC120427860|XP_039448711.1|CPIP, LOC120418640|XP_039437020.1|CPIP
OG0001025	LOC108151123|XP_017135032.1|DMIR	LOC120425358|XP_039445799.1|CPIP, LOC120429619|XP_039450584.1|CPIP
OG0001026	LOC108158200|XP_017145912.1|DMIR, LOC117191865|XP_033252522.1|DMIR	LOC120422301|XP_039441626.1|CPIP, LOC120422302|XP_039441627.1|CPIP
OG0001027	LOC108152654|XP_017137637.1|DMIR	LOC120416048|XP_039433643.1|CPIP, LOC120423608|XP_039443408.1|CPIP, LOC120423611|XP_039443410.1|CPIP, LOC120416052|XP_039433646.1|CPIP
OG0001028	LOC108164203|XP_017155322.1|DMIR	LOC120427120|XP_039447907.1|CPIP, LOC120425132|XP_039445491.1|CPIP
OG0001029	LOC117189624|XP_033250634.1|DMIR, LOC108158632|XP_017146601.1|DMIR	LOC120428402|XP_039449350.1|CPIP, LOC120423780|XP_039443632.1|CPIP, LOC120419109|XP_039437637.1|CPIP, LOC120417576|XP_039435621.1|CPIP
OG0001031	LOC108161349|XP_033249163.1|DMIR	LOC120422610|XP_039442034.1|CPIP
OG0001032	LOC108161911|XP_017151807.1|DMIR	LOC120420748|XP_039439778.1|CPIP
OG0001033	LOC108163110|XP_017153694.1|DMIR, LOC117188476|XP_033248288.1|DMIR, LOC108158001|XP_017145636.2|DMIR	LOC120412515|XP_039428945.1|CPIP
OG0001042	LOC108154264|XP_017139989.1|DMIR	LOC120415636|XP_039433169.1|CPIP, LOC120415634|XP_039433167.1|CPIP
OG0001043	LOC108164201|XP_017155320.1|DMIR	LOC120428461|XP_039449409.1|CPIP, LOC120428460|XP_039449408.1|CPIP
OG0001044	LOC108160001|XP_017149214.1|DMIR	LOC120430637|XP_039451667.1|CPIP, LOC120414295|XP_039431364.1|CPIP, LOC120431058|XP_039452146.1|CPIP, LOC120423322|XP_039443017.1|CPIP, LOC120426241|XP_039446912.1|CPIP
OG0001045	LOC108160800|XP_017150507.1|DMIR, LOC117193810|XP_033254415.1|DMIR	LOC120418895|XP_039437360.1|CPIP, LOC120418897|XP_039437362.1|CPIP, LOC120418896|XP_039437361.1|CPIP
