Orthogroup	DMIR.longest_only	BCOP.longest_only
OG0001712	LOC117187090|XP_033244847.1|DMIR, LOC117187088|XP_033244846.1|DMIR, LOC108155645|XP_017142083.1|DMIR	LOC119069168|XP_037028972.1|BCOP
OG0001713	LOC108154964|XP_017140967.1|DMIR	LOC119070411|XP_037030638.1|BCOP
OG0001714	LOC108155427|XP_017141722.1|DMIR	LOC119068105|XP_037027426.1|BCOP
OG0001715	LOC108151682|XP_017135915.1|DMIR	LOC119068244|XP_037027670.1|BCOP
OG0001716	LOC108153402|XP_017138887.1|DMIR	LOC119081196|XP_037045807.1|BCOP
OG0001717	LOC108154956|XP_017140953.1|DMIR	LOC119067038|XP_037025668.1|BCOP
OG0001718	LOC108155881|XP_017142499.1|DMIR, LOC108153948|XP_033246022.1|DMIR	LOC119067040|XP_037025672.1|BCOP
OG0001719	LOC108155886|XP_017142512.1|DMIR	LOC119068687|XP_037028261.1|BCOP, LOC119068679|XP_037028259.1|BCOP
OG0001720	LOC117186936|XP_033244209.1|DMIR, LOC117187359|XP_033245766.1|DMIR, LOC108153914|XP_033244210.1|DMIR	LOC119070509|XP_037030762.1|BCOP
OG0001721	LOC108154260|XP_017139984.1|DMIR	LOC119067428|XP_037026293.1|BCOP
OG0001722	LOC108152426|XP_017137232.1|DMIR	LOC119074593|XP_037036734.1|BCOP
OG0001723	LOC108160511|XP_017150044.2|DMIR	LOC119083678|XP_037049357.1|BCOP
OG0001724	LOC108158772|XP_033247214.1|DMIR, LOC117187848|XP_033246615.1|DMIR, LOC117192172|XP_033252716.1|DMIR	LOC119074111|XP_037035969.1|BCOP
OG0001725	LOC108159488|XP_017148308.1|DMIR	LOC119073997|XP_037035821.1|BCOP
OG0001726	LOC108152967|XP_017138165.1|DMIR	LOC119073360|XP_037034663.1|BCOP
OG0001727	LOC108157234|XP_017144682.1|DMIR	LOC119070539|XP_037030810.1|BCOP
OG0001728	LOC108158697|XP_017146721.1|DMIR, LOC117192428|XP_033252991.1|DMIR, LOC117192429|XP_033252992.1|DMIR, LOC117192181|XP_033252739.1|DMIR, LOC117192180|XP_033252737.1|DMIR	LOC119076376|XP_037038987.1|BCOP, LOC119081678|XP_037046662.1|BCOP
OG0001729	LOC117191372|XP_033252151.1|DMIR, LOC117188159|XP_033247473.1|DMIR, LOC117195255|XP_033255768.1|DMIR, LOC117187709|XP_033246320.1|DMIR, LOC117188160|XP_033247474.1|DMIR, LOC117185966|XP_033252646.1|DMIR, LOC108158555|XP_033246310.1|DMIR	LOC119079298|XP_037042980.1|BCOP
OG0001730	LOC108162295|XP_017152448.1|DMIR	LOC119085974|XP_037052431.1|BCOP
OG0001731	LOC108158461|XP_017146237.1|DMIR	LOC119077466|XP_037040571.1|BCOP
OG0001731	LOC117189706|XP_033250687.1|DMIR	LOC119075429|XP_037037762.1|BCOP
OG0001733	LOC108159643|XP_017148600.1|DMIR	LOC119083620|XP_037049252.1|BCOP, LOC119083619|XP_037049251.1|BCOP
OG0001734	LOC117192224|XP_033252785.1|DMIR, LOC117193463|XP_033254115.1|DMIR, LOC108160524|XP_017150069.1|DMIR	LOC119075456|XP_037037792.1|BCOP, LOC119070476|XP_037030728.1|BCOP
OG0001735	LOC108157684|XP_017145339.1|DMIR, LOC108151352|XP_017135398.2|DMIR, LOC117186233|XP_033242573.1|DMIR	LOC119073264|XP_037034537.1|BCOP
OG0001736	LOC108160705|XP_017150364.1|DMIR, LOC117191284|XP_033252084.1|DMIR	LOC119080231|XP_037044373.1|BCOP
OG0001737	LOC117194124|XP_033254661.1|DMIR, LOC108158676|XP_017146694.1|DMIR, LOC117194125|XP_033254662.1|DMIR	LOC119080960|XP_037045487.1|BCOP
OG0001738	LOC108163594|XP_017154466.1|DMIR, LOC108150944|XP_017134767.1|DMIR	LOC119080843|XP_037045298.1|BCOP
OG0001739	LOC108160664|XP_017150296.1|DMIR	LOC119080808|XP_037045274.1|BCOP
OG0001740	LOC108158532|XP_017146418.1|DMIR, LOC117192288|XP_033252837.1|DMIR	LOC119075498|XP_037037858.1|BCOP, LOC119070240|XP_037030407.1|BCOP
OG0001741	LOC108154643|XP_017140461.2|DMIR	LOC119073401|XP_037034730.1|BCOP, LOC119085850|XP_037052253.1|BCOP
OG0001742	LOC108158527|XP_017146398.1|DMIR	LOC119080199|XP_037044335.1|BCOP
OG0001743	LOC108152668|XP_017137654.1|DMIR	LOC119076138|XP_037038711.1|BCOP
OG0001744	LOC117187768|XP_033246477.1|DMIR, LOC108160488|XP_017150000.1|DMIR, LOC117190709|XP_033251666.1|DMIR	LOC119079410|XP_037043196.1|BCOP
OG0001745	LOC108160643|XP_033246980.1|DMIR, LOC117191525|XP_033252257.1|DMIR	LOC119081729|XP_037046785.1|BCOP
OG0001746	LOC117186364|XP_033242969.1|DMIR, LOC117186361|XP_033242966.1|DMIR, LOC117186667|XP_033243598.1|DMIR, LOC108152157|XP_017136766.2|DMIR, LOC117186666|XP_033243597.1|DMIR	LOC119085490|XP_037051801.1|BCOP
OG0001747	LOC117185806|XP_033254228.1|DMIR, LOC108159549|XP_017148440.1|DMIR	LOC119079630|XP_037043520.1|BCOP
OG0001748	LOC108153634|XP_017139226.2|DMIR	LOC119081126|XP_037045765.1|BCOP
OG0001749	LOC117193450|XP_033254097.1|DMIR, LOC108159538|XP_017148403.1|DMIR	LOC119079661|XP_037043605.1|BCOP
OG0001750	LOC117193451|XP_033254098.1|DMIR, LOC108159533|XP_017148396.1|DMIR	LOC119079658|XP_037043596.1|BCOP
OG0001751	LOC108150941|XP_017134762.1|DMIR	LOC119080835|XP_037045288.1|BCOP
OG0001752	LOC108153780|XP_017139411.1|DMIR	LOC119080955|XP_037045480.1|BCOP
OG0001753	LOC108153227|XP_017138546.1|DMIR	LOC119073253|XP_037034509.1|BCOP
OG0001754	LOC117192694|XP_033253324.1|DMIR, LOC108159264|XP_017147899.1|DMIR	LOC119073323|XP_037034608.1|BCOP
OG0001755	LOC108151647|XP_017135842.1|DMIR	LOC119076046|XP_037038572.1|BCOP
OG0001756	LOC117192679|XP_033253295.1|DMIR, LOC108160368|XP_033246397.1|DMIR	LOC119074519|XP_037036577.1|BCOP
OG0001757	LOC108160369|XP_017149830.1|DMIR, LOC117193578|XP_033254212.1|DMIR	LOC119074147|XP_037036042.1|BCOP
OG0001758	LOC108153300|XP_033242517.1|DMIR	LOC119080723|XP_037045104.1|BCOP
OG0001759	LOC108159299|XP_017147958.1|DMIR	LOC119073603|XP_037035073.1|BCOP
OG0001760	LOC108158824|XP_017147010.1|DMIR, LOC108159368|XP_017148084.1|DMIR, LOC108164506|XP_017155779.1|DMIR	LOC119074615|XP_037036773.1|BCOP
OG0001761	LOC117190721|XP_033251680.1|DMIR, LOC117187797|XP_033246539.1|DMIR, LOC117187795|XP_033246538.1|DMIR, LOC117188423|XP_033248182.1|DMIR, LOC108157971|XP_033248180.1|DMIR	LOC119073322|XP_037034606.1|BCOP
OG0001762	LOC108164001|XP_017155062.1|DMIR	LOC119066255|XP_037024487.1|BCOP
OG0001763	LOC108161908|XP_017151797.1|DMIR	LOC119080693|XP_037045035.1|BCOP, LOC119066128|XP_037024312.1|BCOP
OG0001764	LOC108154141|XP_017139767.1|DMIR	LOC119084901|XP_037050950.1|BCOP
OG0001765	LOC117185877|XP_033253033.1|DMIR, LOC108160347|XP_033247113.1|DMIR	LOC119073248|XP_037034476.1|BCOP
OG0001766	LOC108163062|XP_017153622.1|DMIR	LOC119083409|XP_037049024.1|BCOP, LOC119082183|XP_037047494.1|BCOP, LOC119082515|XP_037047922.1|BCOP
OG0001767	LOC108161169|XP_033250047.1|DMIR, LOC108161409|XP_017151148.2|DMIR	LOC119084667|XP_037050638.1|BCOP
OG0001768	LOC108161823|XP_017151670.1|DMIR, LOC117188593|XP_033248470.1|DMIR, LOC117188594|XP_033248471.1|DMIR	LOC119069042|XP_037028808.1|BCOP
OG0001769	LOC108161243|XP_017150956.1|DMIR	LOC119082055|XP_037047282.1|BCOP
OG0001770	LOC108163148|XP_017153753.2|DMIR	LOC119073705|XP_037035204.1|BCOP, LOC119083728|XP_037049425.1|BCOP, LOC119067046|XP_037025684.1|BCOP
OG0001771	LOC108164049|XP_017155115.1|DMIR	LOC119070858|XP_037031266.1|BCOP
OG0001772	LOC108163451|XP_033248711.1|DMIR	LOC119078700|XP_037042258.1|BCOP, LOC119078699|XP_037042257.1|BCOP
OG0001773	LOC108163048|XP_017153605.1|DMIR	LOC119082576|XP_037047996.1|BCOP
OG0001774	LOC108159156|XP_017147643.1|DMIR, LOC117192580|XP_033253188.1|DMIR	LOC119083129|XP_037048660.1|BCOP, LOC119079737|XP_037043697.1|BCOP
OG0001776	LOC108163205|XP_017153845.1|DMIR	LOC119073579|XP_037035043.1|BCOP, LOC119067408|XP_037026250.1|BCOP, LOC119076524|XP_037039205.1|BCOP
OG0001777	LOC108162855|XP_017153289.1|DMIR	LOC119078707|XP_037042271.1|BCOP
OG0001778	LOC108159822|XP_033242689.1|DMIR, LOC108161889|XP_017151773.1|DMIR	LOC119079060|XP_037042761.1|BCOP
OG0001779	LOC108162045|XP_017152061.2|DMIR	LOC119075648|XP_037038030.1|BCOP
OG0001780	LOC108159775|XP_017148823.2|DMIR, LOC117185774|XP_033248391.1|DMIR	LOC119081661|XP_037046639.1|BCOP
OG0001781	LOC108162747|XP_033249934.1|DMIR	LOC119085957|XP_037052409.1|BCOP
OG0001782	LOC108163781|XP_017154749.1|DMIR	LOC119072880|XP_037034088.1|BCOP
OG0001783	LOC108162342|XP_017152527.1|DMIR	LOC119076346|XP_037038936.1|BCOP
OG0001784	LOC108161528|XP_017151296.1|DMIR	LOC119082062|XP_037047291.1|BCOP
OG0001785	LOC117192722|XP_033253350.1|DMIR, LOC108158099|XP_017145755.1|DMIR	LOC119081413|XP_037046205.1|BCOP, LOC119083653|XP_037049324.1|BCOP
OG0001786	LOC108163719|XP_017154658.1|DMIR	LOC119085436|XP_037051749.1|BCOP
OG0001787	LOC108162162|XP_017152242.1|DMIR	LOC119066153|XP_037024350.1|BCOP
OG0001788	LOC108159136|XP_017147619.2|DMIR, LOC117186993|XP_033244421.1|DMIR, LOC108154868|XP_017140795.2|DMIR, LOC117186994|XP_033244422.1|DMIR	LOC119084388|XP_037050251.1|BCOP
OG0001789	LOC108159381|XP_017148101.1|DMIR	LOC119079846|XP_037043808.1|BCOP
OG0001790	LOC108162856|XP_033248621.1|DMIR	LOC119076539|XP_037039228.1|BCOP, LOC119082236|XP_037047594.1|BCOP
OG0001791	LOC117185737|XP_033252103.1|DMIR, LOC108159408|XP_017148138.1|DMIR	LOC119081629|XP_037046575.1|BCOP
OG0001792	LOC108161703|XP_017151507.1|DMIR	LOC119078851|XP_037042455.1|BCOP
OG0001793	LOC117190671|XP_033251626.1|DMIR, LOC108159524|XP_017148378.2|DMIR	LOC119073435|XP_037034811.1|BCOP
OG0001794	LOC108161888|XP_017151772.1|DMIR	LOC119066773|XP_037025321.1|BCOP
OG0001795	LOC108161977|XP_033249111.1|DMIR	LOC119072041|XP_037033055.1|BCOP
OG0001796	LOC108158022|XP_033245396.1|DMIR	LOC119069660|XP_037029673.1|BCOP
OG0001797	LOC108164513|XP_017155784.1|DMIR	LOC119081026|XP_037045607.1|BCOP
OG0001798	LOC117194957|XP_033255325.1|DMIR, LOC117194962|XP_033255334.1|DMIR	LOC119071341|XP_037032121.1|BCOP
OG0001799	LOC108158723|XP_033249292.1|DMIR	LOC119084672|XP_037050644.1|BCOP
OG0001800	LOC108164097|XP_017155174.1|DMIR	LOC119074840|XP_037037041.1|BCOP, LOC119078739|XP_037042328.1|BCOP
OG0001801	LOC108152537|XP_017137435.1|DMIR	LOC119070239|XP_037030404.1|BCOP, LOC119083377|XP_037048986.1|BCOP, LOC119075132|XP_037037412.1|BCOP
OG0001802	LOC117187355|XP_033245735.1|DMIR, LOC117187354|XP_033245732.1|DMIR, LOC117187353|XP_033245731.1|DMIR, LOC108154854|XP_017140764.2|DMIR	LOC119077578|XP_037040683.1|BCOP
OG0001803	LOC108156409|XP_017143343.1|DMIR, LOC108155660|XP_017142111.1|DMIR	LOC119074668|XP_037036845.1|BCOP
OG0001804	LOC108155962|XP_017142624.1|DMIR	LOC119074411|XP_037036433.1|BCOP
OG0001805	LOC108165458|XP_017156985.1|DMIR	LOC119083334|XP_037048955.1|BCOP, LOC119076508|XP_037039185.1|BCOP, LOC119083881|XP_037049590.1|BCOP
OG0001806	LOC108155364|XP_017141614.1|DMIR	LOC119077764|XP_037040969.1|BCOP
OG0001807	LOC108157481|XP_017145055.1|DMIR	LOC119074311|XP_037036254.1|BCOP
OG0001808	LOC108155500|XP_017141819.1|DMIR	LOC119067233|XP_037025988.1|BCOP
OG0001809	LOC117187236|XP_033245375.1|DMIR, LOC117187237|XP_033245377.1|DMIR, LOC117187230|XP_033245368.1|DMIR, LOC108155845|XP_017142446.2|DMIR, LOC117187231|XP_033245369.1|DMIR, LOC117187235|XP_033245373.1|DMIR	LOC119084084|XP_037049815.1|BCOP
OG0001810	LOC108157254|XP_017144721.1|DMIR	LOC119075999|XP_037038466.1|BCOP
OG0001811	LOC117191044|XP_033251903.1|DMIR, LOC108160577|XP_017150152.1|DMIR	LOC119083150|XP_037048690.1|BCOP
OG0001812	LOC108165122|XP_017156678.1|DMIR	LOC119076651|XP_037039429.1|BCOP
OG0001813	LOC108154978|XP_017141002.1|DMIR	LOC119076005|XP_037038475.1|BCOP
OG0001814	LOC108155824|XP_017142402.1|DMIR	LOC119072241|XP_037033312.1|BCOP, LOC119067977|XP_037027223.1|BCOP, LOC119067968|XP_037027201.1|BCOP
OG0001815	LOC108153069|XP_017138338.2|DMIR, LOC117188320|XP_033247866.1|DMIR, LOC108154746|XP_017140607.1|DMIR, LOC117187077|XP_033244806.1|DMIR	LOC119074471|XP_037036508.1|BCOP
OG0001816	LOC117190833|XP_033251758.1|DMIR, LOC108159255|XP_017147874.1|DMIR	LOC119078718|XP_037042286.1|BCOP
OG0001817	LOC108158795|XP_017146969.1|DMIR	LOC119074379|XP_037036385.1|BCOP
OG0001818	LOC108164872|XP_017156304.1|DMIR	LOC119074284|XP_037036198.1|BCOP
OG0001819	LOC108160057|XP_017149293.1|DMIR, LOC117192323|XP_033252864.1|DMIR, LOC117192321|XP_033252862.1|DMIR	LOC119070039|XP_037030218.1|BCOP
OG0001820	LOC108163922|XP_033248901.1|DMIR, LOC108163390|XP_017154135.1|DMIR, LOC108164940|XP_017156417.1|DMIR	LOC119078953|XP_037042596.1|BCOP
OG0001821	LOC117193422|XP_033254066.1|DMIR, LOC117193674|XP_033254301.1|DMIR, LOC117193419|XP_033254063.1|DMIR, LOC108160748|XP_017150429.1|DMIR	LOC119083186|XP_037048743.1|BCOP
OG0001822	LOC108161005|XP_033254161.1|DMIR, LOC117185820|XP_033248219.1|DMIR	LOC119070878|XP_037031291.1|BCOP, LOC119082020|XP_037047233.1|BCOP
OG0001823	LOC108152924|XP_017138094.1|DMIR	LOC119072464|XP_037033583.1|BCOP
OG0001824	LOC108162010|XP_017151990.1|DMIR	LOC119077697|XP_037040864.1|BCOP, LOC119077718|XP_037040895.1|BCOP, LOC119077696|XP_037040863.1|BCOP
OG0001825	LOC117185934|XP_033254549.1|DMIR, LOC108159163|XP_017147659.1|DMIR	LOC119072845|XP_037034052.1|BCOP
OG0001826	LOC117193417|XP_033254061.1|DMIR, LOC108160588|XP_017150172.1|DMIR	LOC119071288|XP_037032053.1|BCOP
OG0001827	LOC108159222|XP_017147812.1|DMIR	LOC119072658|XP_037033808.1|BCOP, LOC119068437|XP_037027904.1|BCOP
OG0001828	LOC108156147|XP_017142962.1|DMIR	LOC119071869|XP_037032826.1|BCOP
OG0001829	LOC117191641|XP_033252340.1|DMIR, LOC108160803|XP_017150513.1|DMIR, LOC117189824|XP_033250779.1|DMIR	LOC119072596|XP_037033746.1|BCOP
OG0001830	LOC108160657|XP_017150283.1|DMIR, LOC117190843|XP_033251764.1|DMIR, LOC117191591|XP_033252305.1|DMIR, LOC117191590|XP_033252304.1|DMIR	LOC119082400|XP_037047826.1|BCOP, LOC119070530|XP_037030799.1|BCOP
OG0001831	LOC108165341|XP_017156863.1|DMIR	LOC119084778|XP_037050735.1|BCOP
OG0001832	LOC108164438|XP_033246267.1|DMIR	LOC119084082|XP_037049813.1|BCOP
OG0001833	LOC117188177|XP_033247519.1|DMIR, LOC117191280|XP_033252080.1|DMIR	LOC119076942|XP_037039888.1|BCOP
OG0001834	LOC108155378|XP_017141640.1|DMIR	LOC119069690|XP_037029711.1|BCOP, LOC119067248|XP_037026012.1|BCOP
OG0001838	LOC108160716|XP_033252411.1|DMIR, LOC117188127|XP_033247369.1|DMIR, LOC117187899|XP_033246727.1|DMIR, LOC117187895|XP_033246722.1|DMIR, LOC117187898|XP_033246725.1|DMIR, LOC117187897|XP_033246724.1|DMIR, LOC117187896|XP_033246723.1|DMIR, LOC117187766|XP_033246475.1|DMIR, LOC117187900|XP_033246728.1|DMIR	LOC119075784|XP_037038244.1|BCOP
OG0001848	LOC108154147|XP_033244691.1|DMIR	LOC119068234|XP_037027645.1|BCOP
OG0001849	LOC108155999|XP_017142688.1|DMIR	LOC119067444|XP_037026319.1|BCOP
OG0001850	LOC108164467|XP_017155698.1|DMIR	LOC119085077|XP_037051212.1|BCOP, LOC119083087|XP_037048601.1|BCOP
OG0001851	LOC108164440|XP_017155630.1|DMIR	LOC119085003|XP_037051069.1|BCOP
OG0001852	LOC108153265|XP_017138617.1|DMIR	LOC119071421|XP_037032192.1|BCOP
OG0001853	LOC108155077|XP_017141169.2|DMIR	LOC119085625|XP_037051944.1|BCOP, LOC119085682|XP_037052024.1|BCOP
OG0001854	LOC108158766|XP_017146882.2|DMIR, LOC117187127|XP_033245027.1|DMIR	LOC119073386|XP_037034707.1|BCOP
OG0001855	LOC108158370|XP_017146112.1|DMIR, LOC117192983|XP_033253601.1|DMIR	LOC119083430|XP_037049050.1|BCOP
OG0001856	LOC108162502|XP_017152769.1|DMIR	LOC119069649|XP_037029667.1|BCOP
OG0001857	LOC108164580|XP_017155888.1|DMIR	LOC119068857|XP_037028587.1|BCOP
OG0001858	LOC108164717|XP_017156090.1|DMIR	LOC119068402|XP_037027856.1|BCOP
OG0001859	LOC108159869|XP_017148962.1|DMIR	LOC119081671|XP_037046649.1|BCOP
OG0001860	LOC108152929|XP_017138104.1|DMIR	LOC119076117|XP_037038674.1|BCOP
OG0001861	LOC117187248|XP_033245400.1|DMIR, LOC108155902|XP_033245397.1|DMIR	LOC119068190|XP_037027583.1|BCOP
OG0001862	LOC108164659|XP_017156001.1|DMIR	LOC119068469|XP_037027961.1|BCOP
OG0001863	LOC108160992|XP_017150790.1|DMIR	LOC119068016|XP_037027270.1|BCOP
OG0001864	LOC108154926|XP_033244992.1|DMIR	LOC119084883|XP_037050927.1|BCOP
OG0001865	LOC108151685|XP_017135918.1|DMIR	LOC119068623|XP_037028184.1|BCOP
OG0001866	LOC108155997|XP_017142684.1|DMIR	LOC119068120|XP_037027468.1|BCOP
OG0001867	LOC108151384|XP_017135441.1|DMIR	LOC119081267|XP_037045904.1|BCOP
OG0001868	LOC108163085|XP_017153654.1|DMIR	LOC119067265|XP_037026038.1|BCOP, LOC119067123|XP_037025792.1|BCOP, LOC119078561|XP_037042024.1|BCOP
OG0001869	LOC108157824|XP_017145513.1|DMIR	LOC119074368|XP_037036368.1|BCOP, LOC119074367|XP_037036366.1|BCOP, LOC119074366|XP_037036364.1|BCOP
OG0001870	LOC108154350|XP_017140108.1|DMIR	LOC119070614|XP_037030937.1|BCOP
OG0001872	LOC108157555|XP_017145148.1|DMIR	LOC119070096|XP_037030304.1|BCOP
OG0001873	LOC108156939|XP_017144191.1|DMIR	LOC119069539|XP_037029511.1|BCOP
OG0001874	LOC108154085|XP_017139688.1|DMIR	LOC119068632|XP_037028197.1|BCOP
OG0001875	LOC108155507|XP_017141836.2|DMIR	LOC119069327|XP_037029280.1|BCOP
OG0001876	LOC117186089|XP_033242080.1|DMIR, LOC117186645|XP_033243572.1|DMIR	LOC119068436|XP_037027902.1|BCOP
OG0001877	LOC108159225|XP_017147819.1|DMIR	LOC119079092|XP_037042804.1|BCOP, LOC119078455|XP_037041881.1|BCOP
OG0001878	LOC108156254|XP_017143094.1|DMIR	LOC119069846|XP_037029911.1|BCOP, LOC119069844|XP_037029908.1|BCOP
OG0001879	LOC108154072|XP_017139655.1|DMIR	LOC119068334|XP_037027784.1|BCOP
OG0001880	LOC108154041|XP_033245434.1|DMIR, LOC108156946|XP_033244839.1|DMIR	LOC119067915|XP_037027111.1|BCOP
OG0001881	LOC108154548|XP_017140340.2|DMIR	LOC119069356|XP_037029324.1|BCOP
OG0001882	LOC108155602|XP_017142013.1|DMIR	LOC119069099|XP_037028886.1|BCOP
OG0001883	LOC108156814|XP_033244995.1|DMIR	LOC119067716|XP_037026727.1|BCOP
OG0001884	LOC108155667|XP_017142120.1|DMIR	LOC119069433|XP_037029385.1|BCOP
OG0001885	LOC108162298|XP_017152453.1|DMIR	LOC119080560|XP_037044870.1|BCOP
OG0001886	LOC108155773|XP_017142319.1|DMIR	LOC119085717|XP_037052061.1|BCOP
OG0001887	LOC108158633|XP_017146602.1|DMIR, LOC117189625|XP_033250635.1|DMIR	LOC119085543|XP_037051856.1|BCOP
OG0001888	LOC108157321|XP_017144826.1|DMIR	LOC119067103|XP_037025761.1|BCOP
OG0001889	LOC108157382|XP_017144901.1|DMIR, LOC108158523|XP_017146396.1|DMIR	LOC119067521|XP_037026443.1|BCOP
OG0001890	LOC108156826|XP_017144018.1|DMIR, LOC108153279|XP_017138636.1|DMIR	LOC119079313|XP_037043002.1|BCOP, LOC119079311|XP_037043001.1|BCOP
OG0001891	LOC108157065|XP_033245079.1|DMIR	LOC119067582|XP_037026572.1|BCOP
OG0001892	LOC108156468|XP_017143421.1|DMIR	LOC119075316|XP_037037631.1|BCOP
OG0001893	LOC108155734|XP_017142239.1|DMIR	LOC119067846|XP_037026973.1|BCOP
OG0001894	LOC117189663|XP_033250660.1|DMIR, LOC108158981|XP_017147314.1|DMIR	LOC119080082|XP_037044198.1|BCOP
OG0001895	LOC117194633|XP_033255043.1|DMIR, LOC108164443|XP_017155636.1|DMIR	LOC119080999|XP_037045562.1|BCOP
OG0001897	LOC117186801|XP_033243980.1|DMIR, LOC117186802|XP_033243981.1|DMIR, LOC117186800|XP_033243978.1|DMIR, LOC108154892|XP_033243979.1|DMIR, LOC108153980|XP_033244133.1|DMIR	LOC119067082|XP_037025726.1|BCOP
OG0001898	LOC108161288|XP_033249467.1|DMIR, LOC117188940|XP_033249486.1|DMIR, LOC108164564|XP_017155869.2|DMIR	LOC119069834|XP_037029897.1|BCOP
OG0001899	LOC108157274|XP_017144759.1|DMIR	LOC119069346|XP_037029311.1|BCOP
OG0001900	LOC108151214|XP_017135183.1|DMIR	LOC119084482|XP_037050365.1|BCOP, LOC119084090|XP_037049822.1|BCOP
OG0001901	LOC108163204|XP_033248477.1|DMIR	LOC119068227|XP_037027630.1|BCOP
OG0001902	LOC108154923|XP_033245642.1|DMIR	LOC119069170|XP_037028975.1|BCOP
OG0001903	LOC117187278|XP_033245509.1|DMIR, LOC108156141|XP_033245783.1|DMIR, LOC117188309|XP_033247840.1|DMIR, LOC117188292|XP_033247765.1|DMIR	LOC119066507|XP_037024912.1|BCOP
OG0001904	LOC108155091|XP_017141202.1|DMIR	LOC119080209|XP_037044342.1|BCOP, LOC119067074|XP_037025701.1|BCOP, LOC119074193|XP_037036081.1|BCOP
OG0001906	LOC108156679|XP_033244517.1|DMIR	LOC119067171|XP_037025879.1|BCOP, LOC119080675|XP_037045001.1|BCOP
OG0001907	LOC108164644|XP_017155983.1|DMIR	LOC119068764|XP_037028398.1|BCOP
OG0001908	LOC108155280|XP_017141478.1|DMIR	LOC119085477|XP_037051790.1|BCOP
OG0001909	LOC108165174|XP_017156735.1|DMIR, LOC108164402|XP_033246370.1|DMIR	LOC119069055|XP_037028823.1|BCOP
OG0001910	LOC108156726|XP_017143869.1|DMIR	LOC119068662|XP_037028238.1|BCOP
OG0001911	LOC108156326|XP_033244586.1|DMIR	LOC119067469|XP_037026355.1|BCOP
OG0001912	LOC108160918|XP_017150686.1|DMIR	LOC119085811|XP_037052189.1|BCOP
OG0001914	LOC108154977|XP_033245332.1|DMIR	LOC119067414|XP_037026262.1|BCOP
OG0001915	LOC108152445|XP_017137281.1|DMIR	LOC119084835|XP_037050815.1|BCOP
OG0001916	LOC117187952|XP_033246845.1|DMIR, LOC117188086|XP_033247303.1|DMIR, LOC117188182|XP_033247549.1|DMIR, LOC117188137|XP_033247389.1|DMIR, LOC108160140|XP_017149437.2|DMIR	LOC119081737|XP_037046800.1|BCOP
OG0001917	LOC108153548|XP_017139103.1|DMIR, LOC108165372|XP_017156897.1|DMIR	LOC119073456|XP_037034846.1|BCOP
OG0001918	LOC108151793|XP_017136130.1|DMIR	LOC119084932|XP_037050966.1|BCOP
OG0001919	LOC108159738|XP_017148764.2|DMIR, LOC117187908|XP_033246743.1|DMIR	LOC119074137|XP_037036018.1|BCOP
OG0001920	LOC108165586|XP_017157147.1|DMIR	LOC119080390|XP_037044600.1|BCOP, LOC119081340|XP_037046034.1|BCOP
OG0001921	LOC117188101|XP_033247330.1|DMIR, LOC117188106|XP_033247335.1|DMIR, LOC108159472|XP_017148284.2|DMIR	LOC119075484|XP_037037831.1|BCOP
OG0001922	LOC108158363|XP_017146106.2|DMIR, LOC117188464|XP_033248268.1|DMIR	LOC119073165|XP_037034362.1|BCOP, LOC119073166|XP_037034364.1|BCOP
OG0001924	LOC117188899|XP_033249348.1|DMIR, LOC117186222|XP_033242511.1|DMIR	LOC119082349|XP_037047762.1|BCOP
OG0001925	LOC108151065|XP_017134933.2|DMIR	LOC119080967|XP_037045501.1|BCOP, LOC119085592|XP_037051909.1|BCOP
OG0001926	LOC108153430|XP_017138921.1|DMIR	LOC119075663|XP_037038070.1|BCOP
OG0001927	LOC117190011|XP_033250993.1|DMIR, LOC108158146|XP_017145855.1|DMIR	LOC119084335|XP_037050159.1|BCOP
OG0001928	LOC108155998|XP_017142687.1|DMIR, LOC108151427|XP_017135508.1|DMIR	LOC119084906|XP_037050956.1|BCOP
OG0001929	LOC108151193|XP_017135129.1|DMIR	LOC119080713|XP_037045072.1|BCOP
OG0001930	LOC117189825|XP_033250780.1|DMIR, LOC108159815|XP_017148874.1|DMIR	LOC119079460|XP_037043282.1|BCOP
OG0001931	LOC108153127|XP_017138405.2|DMIR	LOC119080261|XP_037044404.1|BCOP
OG0001932	LOC108151925|XP_017136333.1|DMIR	LOC119081873|XP_037047006.1|BCOP
OG0001933	LOC117188298|XP_033247816.1|DMIR, LOC108159022|XP_017147421.1|DMIR	LOC119073719|XP_037035237.1|BCOP
OG0001934	LOC108151192|XP_017135128.1|DMIR	LOC119077487|XP_037040595.1|BCOP
OG0001935	LOC108151283|XP_017135301.1|DMIR	LOC119080985|XP_037045525.1|BCOP
OG0001937	LOC117187884|XP_033246695.1|DMIR, LOC108159752|XP_017148785.1|DMIR, LOC117190000|XP_033250974.1|DMIR	LOC119073518|XP_037034942.1|BCOP
OG0001938	LOC117193626|XP_033254260.1|DMIR, LOC108158916|XP_017147203.1|DMIR, LOC117193630|XP_033254267.1|DMIR	LOC119070232|XP_037030398.1|BCOP, LOC119075124|XP_037037405.1|BCOP
OG0001939	LOC117189867|XP_033250831.1|DMIR, LOC108159603|XP_017148546.1|DMIR	LOC119073670|XP_037035170.1|BCOP
OG0001940	LOC117191589|XP_033252303.1|DMIR, LOC108159125|XP_017147599.1|DMIR, LOC117190004|XP_033250983.1|DMIR	LOC119079400|XP_037043178.1|BCOP
