Orthogroup	DMIR.longest_only	AEAL.longest_only
OG0001082	LOC117187390|XP_033245862.1|DMIR, LOC117187053|XP_033244676.1|DMIR, LOC117188855|XP_033249252.1|DMIR, LOC117188851|XP_033249239.1|DMIR, LOC117188853|XP_033249246.1|DMIR, LOC108151322|XP_033249225.1|DMIR, LOC117188850|XP_033249233.1|DMIR, LOC117189617|XP_033250626.1|DMIR, LOC108158842|XP_017147052.2|DMIR	LOC109399245|XP_019527227.2|AEAL
OG0001083	LOC108152698|XP_017137699.1|DMIR	LOC109407765|XP_019536486.2|AEAL
OG0001084	LOC108158752|XP_017146851.2|DMIR, LOC108158761|XP_033247631.1|DMIR	LOC109424102|XP_029736069.1|AEAL, LOC109397337|XP_029725752.1|AEAL, LOC109420256|XP_029725771.1|AEAL
OG0001085	LOC117192781|XP_033253425.1|DMIR, LOC117192775|XP_033253414.1|DMIR, LOC117192770|XP_033253407.1|DMIR, LOC117192777|XP_033253418.1|DMIR, LOC117192991|XP_033253614.1|DMIR, LOC108158703|XP_017146730.1|DMIR	LOC109414723|XP_029725648.1|AEAL
OG0001086	LOC108159504|XP_017148350.1|DMIR	LOC109408016|XP_019536778.2|AEAL, LOC109405149|XP_019533711.2|AEAL
OG0001087	LOC108161856|XP_017151714.1|DMIR	LOC115270026|XP_029734800.1|AEAL, LOC109400725|XP_029734785.1|AEAL
OG0001088	LOC108151800|XP_017136140.1|DMIR	LOC115263103|XP_029721877.1|AEAL, LOC115263115|XP_029721895.1|AEAL, LOC115263109|XP_029721883.1|AEAL, LOC109407426|XP_029721882.1|AEAL, LOC115263134|XP_029721913.1|AEAL, LOC109416571|XP_029721896.1|AEAL, LOC109407455|XP_029721897.1|AEAL, LOC109416717|XP_019546318.2|AEAL
OG0001089	LOC108151348|XP_017135391.1|DMIR	LOC115260094|XP_029716823.1|AEAL, LOC115253512|XP_029721729.1|AEAL, LOC109422350|XP_019552623.1|AEAL
OG0001090	LOC108153504|XP_017139043.1|DMIR	LOC109417188|XP_029735699.1|AEAL, LOC109403072|XP_029735785.1|AEAL, LOC109417186|XP_019546855.1|AEAL, LOC109403060|XP_019531341.2|AEAL, LOC115270379|XP_029735783.1|AEAL
OG0001092	LOC108163845|XP_017154851.1|DMIR	LOC109432899|XP_029711857.1|AEAL, LOC109401392|XP_029711689.1|AEAL
OG0001093	LOC108161684|XP_017151485.1|DMIR	LOC115255689|XP_029709649.1|AEAL, LOC115256844|XP_029711726.1|AEAL, LOC109401413|XP_019529510.2|AEAL, LOC109432909|XP_029711686.1|AEAL, LOC115255608|XP_029709560.1|AEAL, LOC109432911|XP_019564823.2|AEAL, LOC115255616|XP_029709563.1|AEAL, LOC109401418|XP_019529516.2|AEAL
OG0001094	LOC108164002|XP_033249294.1|DMIR	LOC109411260|XP_029715429.1|AEAL
OG0001095	LOC117188910|XP_033249376.1|DMIR	LOC109400349|XP_019528393.2|AEAL, LOC109425168|XP_019555961.2|AEAL, LOC109425169|XP_019555962.2|AEAL, LOC109400327|XP_029724842.1|AEAL
OG0001096	LOC108163692|XP_017154613.1|DMIR	LOC109419064|XP_029729383.1|AEAL
OG0001097	LOC108161606|XP_017151390.1|DMIR	LOC109430129|XP_019561705.2|AEAL
OG0001099	LOC108152803|XP_017137877.2|DMIR, LOC117186245|XP_033242599.1|DMIR	LOC109410717|XP_019539784.2|AEAL, LOC109410888|XP_019539938.2|AEAL
OG0001100	LOC108157464|XP_017145030.1|DMIR	LOC115253514|XP_029713236.1|AEAL, LOC115253664|XP_029713173.1|AEAL, LOC115253516|XP_029713150.1|AEAL, LOC109403404|XP_019531773.1|AEAL
OG0001101	LOC117191966|XP_033252598.1|DMIR, LOC117185967|XP_033255247.1|DMIR, LOC108159466|XP_033246436.1|DMIR, LOC117191952|XP_033252585.1|DMIR, LOC117189807|XP_033250757.1|DMIR, LOC117191959|XP_033252591.1|DMIR, LOC117194895|XP_033255249.1|DMIR, LOC117189809|XP_033250760.1|DMIR, LOC117191968|XP_033252601.1|DMIR, LOC117191969|XP_033252602.1|DMIR	LOC109413581|XP_029721348.1|AEAL, LOC109401225|XP_029721397.1|AEAL
OG0001102	LOC108152197|XP_017136844.1|DMIR	LOC115260338|XP_029717128.1|AEAL, LOC115262668|XP_029721131.1|AEAL, LOC115260337|XP_029717127.1|AEAL, LOC109427048|XP_029721143.1|AEAL, LOC109623359|XP_029721142.1|AEAL, LOC115254044|XP_029717123.1|AEAL
OG0001103	LOC108157734|XP_017145399.1|DMIR	LOC109400467|XP_019528553.2|AEAL, LOC109399676|XP_029709872.1|AEAL
OG0001104	LOC117189855|XP_033250815.1|DMIR, LOC117189854|XP_033250813.1|DMIR, LOC108160397|XP_017149876.1|DMIR	LOC109410655|XP_019539733.2|AEAL
OG0001105	LOC108155303|XP_017141510.1|DMIR	LOC109433502|XP_019565483.1|AEAL
OG0001106	LOC108164406|XP_033250268.1|DMIR	LOC115268047|XP_029731820.1|AEAL, LOC109426030|XP_019557013.2|AEAL
OG0001107	LOC117191086|XP_033251940.1|DMIR, LOC117192489|XP_033253083.1|DMIR, LOC117190266|XP_033251214.1|DMIR, LOC117189778|XP_033250738.1|DMIR, LOC117187883|XP_033246694.1|DMIR, LOC117190674|XP_033251633.1|DMIR, LOC117186406|XP_033243052.1|DMIR, LOC117191592|XP_033252306.1|DMIR, LOC117190934|XP_033251824.1|DMIR	LOC115261134|XP_029718359.1|AEAL
OG0001118	LOC117186194|XP_033242377.1|DMIR	LOC109405086|XP_019533629.2|AEAL
OG0001119	LOC108157273|XP_017144754.1|DMIR	LOC109432294|XP_029731051.1|AEAL, LOC115267805|XP_029730993.1|AEAL, LOC115257422|XP_029712864.1|AEAL, LOC109429947|XP_029712758.1|AEAL, LOC115257901|XP_029713739.1|AEAL, LOC115253994|XP_029713240.1|AEAL
OG0001120	LOC108154191|XP_017139892.1|DMIR	LOC109417417|XP_029720341.1|AEAL, LOC109417254|XP_019546912.2|AEAL
OG0001121	LOC108159560|XP_017148477.2|DMIR	LOC109410398|XP_029708392.1|AEAL
OG0001121	LOC117190088|XP_033251061.1|DMIR	LOC109407731|XP_029726202.1|AEAL
OG0001122	LOC108153592|XP_017139162.1|DMIR	LOC109413987|XP_029722586.1|AEAL, LOC109399190|XP_029726592.1|AEAL, LOC115263429|XP_029722579.1|AEAL
OG0001124	LOC108156495|XP_017143476.1|DMIR	LOC115265347|XP_029725891.1|AEAL, LOC109411808|XP_029725926.1|AEAL
OG0001125	LOC108157632|XP_017145261.1|DMIR	LOC109410772|XP_029735056.1|AEAL, LOC109413498|XP_029735037.1|AEAL, LOC109410773|XP_019539847.2|AEAL, LOC115270118|XP_029735038.1|AEAL
OG0001127	LOC108151020|XP_017134868.1|DMIR	LOC109621888|XP_019931640.2|AEAL, LOC115264385|XP_029723890.1|AEAL, LOC115268238|XP_029732151.1|AEAL
OG0001128	LOC108160905|XP_017150667.1|DMIR, LOC117191428|XP_033252189.1|DMIR	LOC115266684|XP_029729067.1|AEAL, LOC109416688|XP_029729068.1|AEAL, LOC115266601|XP_029728908.1|AEAL, LOC109416502|XP_029728895.1|AEAL, LOC109397551|XP_029714755.1|AEAL, LOC109622814|XP_029714606.1|AEAL
OG0001129	LOC108163115|XP_017153705.1|DMIR	LOC109428271|XP_029728520.1|AEAL, LOC109427952|XP_029728323.1|AEAL
OG0001131	LOC108164409|XP_017155564.1|DMIR	LOC109429432|XP_029724808.1|AEAL, LOC109425149|XP_029724806.1|AEAL, LOC109425152|XP_019555932.2|AEAL
OG0001133	LOC108162431|XP_017152655.2|DMIR	LOC109397492|XP_029708982.1|AEAL, LOC115253723|XP_029708997.1|AEAL, LOC115255215|XP_029709017.1|AEAL, LOC109419916|XP_029708969.1|AEAL
OG0001134	LOC108159571|XP_017148502.1|DMIR	LOC109419129|XP_029722343.1|AEAL, LOC115259937|XP_029716596.1|AEAL
OG0001135	LOC108156925|XP_017144166.1|DMIR	LOC109399742|XP_019527803.2|AEAL, LOC109402037|XP_019530186.2|AEAL
OG0001136	LOC108154994|XP_017141026.1|DMIR	LOC109409584|XP_029732462.1|AEAL, LOC115268460|XP_029732317.1|AEAL, LOC115268457|XP_029732304.1|AEAL
OG0001137	LOC108155810|XP_033245499.1|DMIR	LOC109406162|XP_019534775.1|AEAL, LOC109401796|XP_019529955.1|AEAL
OG0001138	LOC108152223|XP_017136894.1|DMIR, LOC117189262|XP_033250330.1|DMIR, LOC117194543|XP_033254983.1|DMIR, LOC117195187|XP_033255719.1|DMIR, LOC117194366|XP_033254829.1|DMIR, LOC117186190|XP_033242374.1|DMIR, LOC117194520|XP_033254961.1|DMIR, LOC117189334|XP_033250369.1|DMIR, LOC117194867|XP_033255223.1|DMIR, LOC117195188|XP_033255720.1|DMIR, LOC108153473|XP_017138994.2|DMIR	LOC109397776|XP_029712084.1|AEAL
OG0001139	LOC117186106|XP_033242092.1|DMIR, LOC117195283|XP_033255786.1|DMIR, LOC117186485|XP_033243255.1|DMIR, LOC108164710|XP_033242804.1|DMIR, LOC117195275|XP_033255779.1|DMIR, LOC117186169|XP_033242298.1|DMIR, LOC117195277|XP_033255781.1|DMIR, LOC117186490|XP_033243260.1|DMIR, LOC117186105|XP_033242091.1|DMIR	LOC109412044|XP_019541231.2|AEAL
OG0001153	LOC117190686|XP_033251638.1|DMIR, LOC108160250|XP_017149601.1|DMIR	LOC115256680|XP_029711441.1|AEAL, LOC115256405|XP_029710746.1|AEAL, LOC109427540|XP_019558650.2|AEAL
OG0001154	LOC108163388|XP_017154132.1|DMIR	LOC109407226|XP_029715238.1|AEAL
OG0001155	LOC108162857|XP_017153295.1|DMIR	LOC115256383|XP_029710639.1|AEAL
OG0001157	LOC108156800|XP_017143970.1|DMIR	LOC109431516|XP_029717886.1|AEAL
OG0001158	LOC108161836|XP_017151684.1|DMIR	LOC109423923|XP_029727260.1|AEAL, LOC109404799|XP_029727300.1|AEAL
OG0001159	LOC108155766|XP_017142301.1|DMIR	LOC109431943|XP_029712536.1|AEAL
OG0001160	LOC108154723|XP_017140574.1|DMIR	LOC109400071|XP_029707703.1|AEAL, LOC109621624|XP_029707671.1|AEAL
OG0001161	LOC108154937|XP_017140915.2|DMIR	LOC115254369|XP_029707719.1|AEAL, LOC115253583|XP_029707712.1|AEAL, LOC109400045|XP_029707645.1|AEAL
OG0001162	LOC108154099|XP_017139709.1|DMIR, LOC108157826|XP_017145515.1|DMIR	LOC109623099|XP_029710000.1|AEAL, LOC115255934|XP_029710012.1|AEAL, LOC109416877|XP_029709999.1|AEAL
OG0001164	LOC108154435|XP_017140194.2|DMIR, LOC108154532|XP_017140325.1|DMIR	LOC115267183|XP_029729911.1|AEAL, LOC109405410|XP_029712594.1|AEAL
OG0001165	LOC108160534|XP_033246198.1|DMIR	LOC109405429|XP_019534039.2|AEAL
OG0001167	LOC117189416|XP_033250433.1|DMIR, LOC117191937|XP_033252575.1|DMIR, LOC117191926|XP_033252562.1|DMIR, LOC117191454|XP_033252207.1|DMIR, LOC117191927|XP_033252563.1|DMIR, LOC117191453|XP_033252206.1|DMIR, LOC117191455|XP_033252208.1|DMIR, LOC108158251|XP_017145975.1|DMIR, LOC117191452|XP_033252205.1|DMIR	LOC115255807|XP_029709842.1|AEAL, LOC109419700|XP_029733501.1|AEAL
OG0001168	LOC108159476|XP_017148292.2|DMIR, LOC117187777|XP_033246503.1|DMIR	LOC109417813|XP_029725483.1|AEAL
OG0001169	LOC108164973|XP_017156477.1|DMIR	LOC109408420|XP_029732437.1|AEAL, LOC109413933|XP_029711888.1|AEAL, LOC109622074|XP_019931859.2|AEAL
OG0001170	LOC108155887|XP_017142516.1|DMIR	LOC115263120|XP_029721900.1|AEAL, LOC115263304|XP_029722372.1|AEAL, LOC115263051|XP_029721840.1|AEAL, LOC115263048|XP_029721836.1|AEAL, LOC115263052|XP_029721841.1|AEAL, LOC115263049|XP_029721837.1|AEAL
OG0001171	LOC108152288|XP_017136995.1|DMIR	LOC109407435|XP_029729637.1|AEAL, LOC115263136|XP_029721917.1|AEAL, LOC109416468|XP_029722351.1|AEAL, LOC115263279|XP_029722277.1|AEAL, LOC115263132|XP_029721911.1|AEAL
OG0001172	LOC108160323|XP_017149738.1|DMIR, LOC117193546|XP_033254182.1|DMIR	LOC109399467|XP_019527449.2|AEAL, LOC109398011|XP_019525891.2|AEAL
OG0001173	LOC108154895|XP_033245245.1|DMIR	LOC109414269|XP_019543634.2|AEAL
OG0001174	LOC108165485|XP_017157027.1|DMIR	LOC115266579|XP_029728830.1|AEAL, LOC109411127|XP_019540126.1|AEAL
OG0001175	LOC108159805|XP_017148863.1|DMIR, LOC108161974|XP_017151922.2|DMIR	LOC109421575|XP_029728219.1|AEAL, LOC109407055|XP_029728223.1|AEAL
OG0001176	LOC108157221|XP_017144667.1|DMIR, LOC108159217|XP_017147801.1|DMIR	LOC109428218|XP_019559461.2|AEAL, LOC115263988|XP_029723149.1|AEAL, LOC115263993|XP_029723154.1|AEAL, LOC109427899|XP_019559052.2|AEAL
OG0001177	LOC108162807|XP_033248563.1|DMIR	LOC109411712|XP_029720229.1|AEAL
OG0001178	LOC108159963|XP_017149130.2|DMIR, LOC117187994|XP_033246969.1|DMIR	LOC109419741|XP_029708593.1|AEAL
OG0001179	LOC108160734|XP_017150410.2|DMIR, LOC117185736|XP_033247252.1|DMIR	LOC109427566|XP_019558681.2|AEAL
OG0001180	LOC108164427|XP_017155596.1|DMIR	LOC115262179|XP_029720337.1|AEAL, LOC109411694|XP_029720243.1|AEAL
OG0001181	LOC108162168|XP_017152250.1|DMIR, LOC108162167|XP_017152249.1|DMIR, LOC108151409|XP_017135485.1|DMIR	LOC109414185|XP_019543512.1|AEAL
OG0001182	LOC108157213|XP_033243433.1|DMIR, LOC117187217|XP_033245309.1|DMIR	LOC109401498|XP_029725010.1|AEAL, LOC109431750|XP_029724953.1|AEAL, LOC109401450|XP_029725022.1|AEAL, LOC109431749|XP_029724962.1|AEAL
OG0001183	LOC108156255|XP_033244626.1|DMIR	LOC109405001|XP_029727177.1|AEAL
OG0001185	LOC108155320|XP_017141530.1|DMIR	LOC115253642|XP_029727783.1|AEAL, LOC109404402|XP_029727818.1|AEAL, LOC115266086|XP_029727861.1|AEAL, LOC109431900|XP_029727798.1|AEAL
OG0001186	LOC108161562|XP_017151336.1|DMIR, LOC108154853|XP_017140763.1|DMIR	LOC109399376|XP_019527360.2|AEAL
OG0001187	LOC108159946|XP_017149092.2|DMIR, LOC117185744|XP_033246895.1|DMIR	LOC115257587|XP_029713229.1|AEAL, LOC109433191|XP_019565143.2|AEAL, LOC115266883|XP_029729344.1|AEAL, LOC109402294|XP_019530494.2|AEAL, LOC109433212|XP_019565161.2|AEAL, LOC115260075|XP_029716808.1|AEAL, LOC115257563|XP_029713195.1|AEAL
OG0001188	LOC117185723|XP_033250824.1|DMIR, LOC108159485|XP_017148305.1|DMIR	LOC109424429|XP_019555078.2|AEAL, LOC115264559|XP_029724238.1|AEAL
OG0001189	LOC108158609|XP_017146572.1|DMIR, LOC117193325|XP_033253944.1|DMIR	LOC109418659|XP_019548423.2|AEAL, LOC115267997|XP_029731736.1|AEAL, LOC115269466|XP_029734106.1|AEAL
OG0001190	LOC108165140|XP_017156694.1|DMIR	LOC109414799|XP_029719560.1|AEAL, LOC109418646|XP_029719561.1|AEAL, LOC109414798|XP_029736448.1|AEAL
OG0001191	LOC108163235|XP_017153882.1|DMIR	LOC109418615|XP_019548365.1|AEAL, LOC109410097|XP_029713357.1|AEAL, LOC109410100|XP_029733006.1|AEAL, LOC109418612|XP_029712964.1|AEAL, LOC115257655|XP_029713355.1|AEAL
OG0001192	LOC108163206|XP_017153847.1|DMIR, LOC108164197|XP_017155309.1|DMIR	LOC115262769|XP_029721486.1|AEAL, LOC109431053|XP_029721481.1|AEAL
OG0001193	LOC108155671|XP_017142123.1|DMIR	LOC115254884|XP_029708431.1|AEAL, LOC109399105|XP_029731134.1|AEAL, LOC109399566|XP_029727176.1|AEAL
OG0001194	LOC117187789|XP_033246529.1|DMIR, LOC117187786|XP_033246522.1|DMIR, LOC117187794|XP_033246536.1|DMIR, LOC117187801|XP_033246545.1|DMIR, LOC108164604|XP_017155932.2|DMIR, LOC117188817|XP_033249134.1|DMIR, LOC108164080|XP_033249177.1|DMIR	LOC109399560|XP_029731199.1|AEAL
OG0001195	LOC108158185|XP_017145892.1|DMIR	LOC109421162|XP_019551201.2|AEAL, LOC109410562|XP_019539638.2|AEAL
OG0001201	LOC108157227|XP_017144673.1|DMIR	LOC109413206|XP_029710459.1|AEAL, LOC109411468|XP_029729632.1|AEAL, LOC115266993|XP_029729612.1|AEAL
OG0001202	LOC108160362|XP_017149833.1|DMIR	LOC115256338|XP_029710513.1|AEAL, LOC115256337|XP_029710510.1|AEAL, LOC109424953|XP_019555691.2|AEAL
OG0001203	LOC108164475|XP_017155716.1|DMIR	LOC109424988|XP_029711078.1|AEAL, LOC115256418|XP_029710789.1|AEAL, LOC109431137|XP_019562876.2|AEAL
OG0001204	LOC108163159|XP_017153768.2|DMIR	LOC109408950|XP_019537895.2|AEAL
OG0001206	LOC108155914|XP_017142549.1|DMIR	LOC109422192|XP_029710557.1|AEAL
OG0001207	LOC108157711|XP_017145371.2|DMIR, LOC108153694|XP_017139312.1|DMIR	LOC109416871|XP_019546517.1|AEAL
OG0001208	LOC108164581|XP_017155898.1|DMIR	LOC109422014|XP_029711117.1|AEAL, LOC115256582|XP_029711220.1|AEAL
OG0001209	LOC108154331|XP_017140082.1|DMIR	LOC109622458|XP_029711425.1|AEAL, LOC115258387|XP_029714337.1|AEAL, LOC109427462|XP_029707763.1|AEAL, LOC115258388|XP_029714338.1|AEAL, LOC109427463|XP_029708095.1|AEAL, LOC109427451|XP_029710821.1|AEAL
OG0001210	LOC108162800|XP_017153196.1|DMIR	LOC109425391|XP_029717696.1|AEAL, LOC115261678|XP_029719427.1|AEAL, LOC109418683|XP_019548443.1|AEAL, LOC109415912|XP_029717657.1|AEAL, LOC109412955|XP_029717701.1|AEAL, LOC115261681|XP_029719430.1|AEAL
OG0001211	LOC108156084|XP_017142861.1|DMIR	LOC109410067|XP_029712702.1|AEAL
OG0001212	LOC108164733|XP_017156114.1|DMIR	LOC109412731|XP_019541898.2|AEAL, LOC109411856|XP_019541019.2|AEAL, LOC115259469|XP_029715906.1|AEAL, LOC109413157|XP_029711334.1|AEAL
OG0001213	LOC108164816|XP_017156226.1|DMIR	LOC109429341|XP_029716203.1|AEAL, LOC109399009|XP_029716156.1|AEAL, LOC115260114|XP_029716874.1|AEAL, LOC109429357|XP_029716187.1|AEAL, LOC109399008|XP_019526999.2|AEAL
OG0001214	LOC117194051|XP_033254584.1|DMIR, LOC108160075|XP_017149322.1|DMIR, LOC117186628|XP_033243530.1|DMIR, LOC108152015|XP_033243531.1|DMIR	LOC109623212|XP_019933252.2|AEAL, LOC109415280|XP_019544702.2|AEAL
OG0001215	LOC108157521|XP_017145113.1|DMIR	LOC109423631|XP_019554162.2|AEAL, LOC115264127|XP_029723333.1|AEAL, LOC109423633|XP_029723345.1|AEAL, LOC109400263|XP_019528289.2|AEAL, LOC115264141|XP_029723378.1|AEAL
OG0001216	LOC108156383|XP_017143288.1|DMIR	LOC109423629|XP_029723325.1|AEAL, LOC109400267|XP_029723331.1|AEAL, LOC109423626|XP_029723323.1|AEAL, LOC115264295|XP_029723826.1|AEAL
OG0001217	LOC108161214|XP_033248812.1|DMIR	LOC109405480|XP_029729887.1|AEAL, LOC109402376|XP_029712601.1|AEAL, LOC115267179|XP_029729888.1|AEAL
OG0001218	LOC108153767|XP_017139395.1|DMIR, LOC108155888|XP_017142517.1|DMIR	LOC109403864|XP_029723879.1|AEAL
OG0001220	LOC117190882|XP_033251789.1|DMIR, LOC117192050|XP_033252657.1|DMIR, LOC108160998|XP_017150795.1|DMIR	LOC115265440|XP_029726428.1|AEAL, LOC109423337|XP_019553825.2|AEAL, LOC115261959|XP_029719743.1|AEAL, LOC109423338|XP_029726429.1|AEAL, LOC115261964|XP_029719751.1|AEAL
OG0001221	LOC108158845|XP_017147055.2|DMIR, LOC117188407|XP_033248133.1|DMIR	LOC109399239|XP_019527222.2|AEAL, LOC109429051|XP_029726541.1|AEAL, LOC109428699|XP_019560056.2|AEAL, LOC109424283|XP_029735634.1|AEAL
OG0001223	LOC108160062|XP_017149298.1|DMIR, LOC117190666|XP_033251621.1|DMIR	LOC109415870|XP_019545361.3|AEAL, LOC109622717|XP_029712038.1|AEAL
OG0001224	LOC117192980|XP_033253597.1|DMIR, LOC108159553|XP_017148468.1|DMIR	LOC115254269|XP_029736457.1|AEAL, LOC115260213|XP_029717005.1|AEAL, LOC109418651|XP_029730668.1|AEAL, LOC109414794|XP_029719570.1|AEAL
OG0001225	LOC117185684|XP_033252996.1|DMIR, LOC108158107|XP_017145764.2|DMIR	LOC109423814|XP_029735400.1|AEAL, LOC109430612|XP_029735415.1|AEAL, LOC109423816|XP_019554406.2|AEAL, LOC109430634|XP_029735433.1|AEAL
OG0001226	LOC108159714|XP_017148723.1|DMIR	LOC109408176|XP_029728757.1|AEAL, LOC109411115|XP_029728702.1|AEAL, LOC115266551|XP_029728705.1|AEAL
OG0001227	LOC108161474|XP_033249823.1|DMIR, LOC117189041|XP_033249821.1|DMIR	LOC109622030|XP_019931782.2|AEAL, LOC109622003|XP_029724995.1|AEAL
OG0001229	LOC117188472|XP_033248276.1|DMIR, LOC117191854|XP_033252512.1|DMIR	LOC109417515|XP_029714500.1|AEAL, LOC109410204|XP_019539271.2|AEAL
OG0001230	LOC117190545|XP_033251496.1|DMIR, LOC117189458|XP_033250477.1|DMIR, LOC117189459|XP_033250478.1|DMIR, LOC117189470|XP_033250494.1|DMIR, LOC117190544|XP_033251495.1|DMIR, LOC117189460|XP_033250479.1|DMIR, LOC108160123|XP_017149405.1|DMIR, LOC117189452|XP_033250468.1|DMIR, LOC117190547|XP_033251498.1|DMIR, LOC117190546|XP_033251497.1|DMIR	LOC115255374|XP_029709276.1|AEAL, LOC115255378|XP_029709286.1|AEAL, LOC109417688|XP_029709203.1|AEAL
OG0001231	LOC108161913|XP_017151814.1|DMIR	LOC109431831|XP_029722656.1|AEAL, LOC115254955|XP_029708480.1|AEAL
OG0001232	LOC108163486|XP_017154287.1|DMIR	LOC109421237|XP_019551265.2|AEAL
OG0001233	LOC108162942|XP_017153422.1|DMIR	LOC109432481|XP_029726919.1|AEAL, LOC109421338|XP_029727063.1|AEAL
OG0001234	LOC108158581|XP_017146513.1|DMIR, LOC117194186|XP_033254736.1|DMIR	LOC109402517|XP_019530753.2|AEAL
OG0001235	LOC108163988|XP_017155042.1|DMIR	LOC109411688|XP_019540801.2|AEAL, LOC115262177|XP_029720326.1|AEAL, LOC109404615|XP_019533064.2|AEAL, LOC109411681|XP_029720322.1|AEAL
OG0001236	LOC108151625|XP_017135813.1|DMIR	LOC109414181|XP_029712491.1|AEAL
OG0001237	LOC108154801|XP_017140688.1|DMIR	LOC109426266|XP_029707813.1|AEAL, LOC109421720|XP_029714000.1|AEAL
OG0001238	LOC108155059|XP_017141132.1|DMIR	LOC109413694|XP_029727320.1|AEAL
OG0001240	LOC108157833|XP_017145525.1|DMIR	LOC109405745|XP_029710923.1|AEAL
OG0001241	LOC108160571|XP_017150145.1|DMIR, LOC117190374|XP_033251346.1|DMIR, LOC108154973|XP_017140980.1|DMIR	LOC109422597|XP_029712274.1|AEAL, LOC109402813|XP_029712227.1|AEAL
OG0001242	LOC108163347|XP_017154076.1|DMIR, LOC108153068|XP_017138340.1|DMIR	LOC109403313|XP_029718610.1|AEAL, LOC109412243|XP_019541430.1|AEAL
OG0001244	LOC108160647|XP_033245165.1|DMIR, LOC108156406|XP_017143337.1|DMIR	LOC115267025|XP_029729659.1|AEAL, LOC109432004|XP_029724278.1|AEAL, LOC115267091|XP_029729808.1|AEAL, LOC109399824|XP_029729811.1|AEAL
OG0001245	LOC108153934|XP_017139520.1|DMIR	LOC115262829|XP_029721582.1|AEAL, LOC109425844|XP_029721583.1|AEAL, LOC115262612|XP_029720867.1|AEAL, LOC115262767|XP_029721474.1|AEAL
OG0001246	LOC117188431|XP_033248200.1|DMIR	LOC109426479|XP_019557543.2|AEAL, LOC109426478|XP_019557542.2|AEAL, LOC109408978|XP_019537917.2|AEAL
OG0001247	LOC117187834|XP_033246597.1|DMIR, LOC117189493|XP_033250523.1|DMIR, LOC117187837|XP_033246599.1|DMIR, LOC117187836|XP_033246598.1|DMIR, LOC117187744|XP_033246437.1|DMIR, LOC117187741|XP_033246432.1|DMIR, LOC117189492|XP_033250519.1|DMIR, LOC117187833|XP_033246593.1|DMIR	LOC109433490|XP_029710256.1|AEAL, LOC109410662|XP_029731649.1|AEAL
OG0001248	LOC108152264|XP_017136968.1|DMIR	LOC109425899|XP_019556819.2|AEAL
OG0001249	LOC108154906|XP_017140851.1|DMIR	LOC115270971|XP_029736208.1|AEAL, LOC109407549|XP_019536161.2|AEAL, LOC109425808|XP_029736205.1|AEAL
OG0001257	LOC108164394|XP_033250161.1|DMIR	LOC109424983|XP_029711672.1|AEAL, LOC109431126|XP_029730261.1|AEAL
OG0001258	LOC108155808|XP_017142377.1|DMIR	LOC115260011|XP_029716705.1|AEAL, LOC109422191|XP_019552379.2|AEAL, LOC109428477|XP_019559796.1|AEAL
OG0001259	LOC108162699|XP_017153045.1|DMIR	LOC109398767|XP_019526709.2|AEAL, LOC109623360|XP_019933464.2|AEAL, LOC109401178|XP_019529200.2|AEAL
OG0001260	LOC108157135|XP_017144525.1|DMIR	LOC115256411|XP_029710765.1|AEAL, LOC109427544|XP_019558657.2|AEAL, LOC115256617|XP_029711299.1|AEAL, LOC115256594|XP_029711260.1|AEAL, LOC115269374|XP_029733906.1|AEAL, LOC109427545|XP_019558658.1|AEAL
OG0001261	LOC108161346|XP_017151072.1|DMIR, LOC108162253|XP_017152393.1|DMIR	LOC109422119|XP_019552298.1|AEAL
OG0001263	LOC108161281|XP_033250003.1|DMIR, LOC117189102|XP_033249990.1|DMIR, LOC117188699|XP_033248831.1|DMIR, LOC117188700|XP_033248832.1|DMIR, LOC117188973|XP_033249631.1|DMIR, LOC108155349|XP_017141597.2|DMIR	LOC109415630|XP_029730267.1|AEAL
OG0001264	LOC108164151|XP_017155244.2|DMIR	LOC115266784|XP_029729217.1|AEAL, LOC109433564|XP_029729246.1|AEAL, LOC109430179|XP_029729242.1|AEAL, LOC109421814|XP_029717586.1|AEAL, LOC115253729|XP_029717522.1|AEAL
OG0001265	LOC108157372|XP_033247158.1|DMIR	LOC109431460|XP_019563208.2|AEAL
OG0001266	LOC108159856|XP_017148944.1|DMIR	LOC115263718|XP_029722829.1|AEAL, LOC109425434|XP_019556248.2|AEAL, LOC109432218|XP_029722814.1|AEAL
OG0001267	LOC108154761|XP_017140631.1|DMIR	LOC115263657|XP_029722722.1|AEAL, LOC109400103|XP_029722959.1|AEAL, LOC115253611|XP_029722954.1|AEAL, LOC109621581|XP_029730493.1|AEAL, LOC109430341|XP_019561943.2|AEAL
OG0001269	LOC108159849|XP_033253926.1|DMIR, LOC117187930|XP_033246797.1|DMIR	LOC109429328|XP_019560777.2|AEAL, LOC109401040|XP_019529067.2|AEAL
OG0001270	LOC108155145|XP_017141288.1|DMIR	LOC109424426|XP_019555076.2|AEAL, LOC109426294|XP_029721529.1|AEAL, LOC115253683|XP_029714169.1|AEAL, LOC115269325|XP_029733802.1|AEAL, LOC109415279|XP_019544701.2|AEAL
OG0001271	LOC108158457|XP_017146235.1|DMIR, LOC117191921|XP_033252559.1|DMIR	LOC109423271|XP_019553748.2|AEAL, LOC109423269|XP_019553746.2|AEAL
