Orthogroup	DYAK.longest_only	BCOP.longest_only
OG0001906	LOC6535875|XP_039232664.1|DYAK	LOC119067171|XP_037025879.1|BCOP, LOC119080675|XP_037045001.1|BCOP
OG0001907	LOC26534649|XP_039233759.1|DYAK	LOC119068764|XP_037028398.1|BCOP
OG0001908	LOC6538234|XP_002098761.1|DYAK	LOC119085477|XP_037051790.1|BCOP
OG0001909	LOC6525276|XP_039230950.1|DYAK	LOC119069055|XP_037028823.1|BCOP
OG0001910	LOC6536467|XP_002097048.1|DYAK	LOC119068662|XP_037028238.1|BCOP
OG0001911	LOC6536724|XP_015047916.1|DYAK	LOC119067469|XP_037026355.1|BCOP
OG0001912	LOC6530493|XP_002091408.1|DYAK	LOC119085811|XP_037052189.1|BCOP
OG0001914	LOC6538752|XP_015049010.1|DYAK	LOC119067414|XP_037026262.1|BCOP
OG0001915	LOC6532504|XP_002093250.1|DYAK	LOC119084835|XP_037050815.1|BCOP
OG0001916	LOC6530996|XP_002091834.1|DYAK	LOC119081737|XP_037046800.1|BCOP
OG0001917	LOC6533358|XP_015049945.1|DYAK	LOC119073456|XP_037034846.1|BCOP
OG0001918	LOC6532956|XP_002093691.2|DYAK	LOC119084932|XP_037050966.1|BCOP
OG0001919	LOC6531557|XP_002092355.1|DYAK	LOC119074137|XP_037036018.1|BCOP
OG0001920	LOC6532221|XP_002092994.1|DYAK	LOC119080390|XP_037044600.1|BCOP, LOC119081340|XP_037046034.1|BCOP
OG0001921	LOC6529944|XP_002090899.1|DYAK	LOC119075484|XP_037037831.1|BCOP
OG0001922	LOC6531734|XP_015051535.1|DYAK	LOC119073165|XP_037034362.1|BCOP, LOC119073166|XP_037034364.1|BCOP
OG0001924	LOC6540553|XP_039226247.1|DYAK	LOC119082349|XP_037047762.1|BCOP
OG0001925	LOC6533039|XP_002093774.2|DYAK	LOC119080967|XP_037045501.1|BCOP, LOC119085592|XP_037051909.1|BCOP
OG0001926	LOC6532725|XP_002093467.1|DYAK	LOC119075663|XP_037038070.1|BCOP
OG0001927	LOC6530105|XP_002091051.1|DYAK	LOC119084335|XP_037050159.1|BCOP
OG0001928	LOC6533605|XP_015050185.1|DYAK	LOC119084906|XP_037050956.1|BCOP
OG0001929	LOC6533598|XP_039230382.1|DYAK	LOC119080713|XP_037045072.1|BCOP
OG0001930	LOC6531068|XP_002091902.2|DYAK	LOC119079460|XP_037043282.1|BCOP
OG0001931	LOC6533659|XP_002094365.2|DYAK	LOC119080261|XP_037044404.1|BCOP
OG0001932	LOC6533658|XP_039229966.1|DYAK	LOC119081873|XP_037047006.1|BCOP
OG0001933	LOC6531269|XP_002092078.1|DYAK, LOC6531628|XP_002092425.1|DYAK	LOC119073719|XP_037035237.1|BCOP
OG0001934	LOC6533592|XP_002094300.3|DYAK	LOC119077487|XP_037040595.1|BCOP
OG0001935	LOC6539512|XP_002086400.2|DYAK	LOC119080985|XP_037045525.1|BCOP
OG0001937	LOC6530498|XP_039227875.1|DYAK	LOC119073518|XP_037034942.1|BCOP
OG0001938	LOC6529293|XP_002090298.1|DYAK	LOC119070232|XP_037030398.1|BCOP, LOC119075124|XP_037037405.1|BCOP
OG0001939	LOC6530724|XP_039228706.1|DYAK	LOC119073670|XP_037035170.1|BCOP
OG0001940	LOC6528475|XP_002089521.2|DYAK	LOC119079400|XP_037043178.1|BCOP
OG0001941	LOC6532224|XP_039229587.1|DYAK	LOC119084724|XP_037050696.1|BCOP
OG0001943	LOC6535087|XP_002095751.2|DYAK	LOC119080982|XP_037045522.1|BCOP
OG0001944	LOC6532190|XP_039229778.1|DYAK	LOC119080072|XP_037044186.1|BCOP
OG0001945	LOC6528491|XP_039227640.1|DYAK	LOC119073449|XP_037034837.1|BCOP
OG0001946	LOC6528442|XP_002089488.1|DYAK	LOC119082790|XP_037048279.1|BCOP, LOC119075499|XP_037037860.1|BCOP
OG0001947	LOC6531199|XP_002092027.1|DYAK	LOC119079362|XP_037043105.1|BCOP
OG0001948	LOC6525780|XP_002101601.1|DYAK	LOC119080503|XP_037044798.1|BCOP
OG0001949	LOC6534684|XP_002095359.2|DYAK	LOC119077322|XP_037040397.1|BCOP
OG0001950	LOC6535420|XP_002096069.3|DYAK	LOC119073232|XP_037034439.1|BCOP
OG0001951	LOC6531326|XP_002092130.3|DYAK	LOC119081713|XP_037046718.1|BCOP
OG0001952	LOC6539140|XP_002086036.2|DYAK	LOC119074053|XP_037035898.1|BCOP
OG0001953	LOC6531602|XP_015051430.1|DYAK	LOC119079610|XP_037043499.1|BCOP
OG0001954	LOC6528877|XP_039227329.1|DYAK	LOC119079366|XP_037043115.1|BCOP
OG0001955	LOC6529399|XP_002090404.1|DYAK	LOC119079390|XP_037043171.1|BCOP
OG0001956	LOC6533384|XP_002094109.1|DYAK	LOC119080715|XP_037045092.1|BCOP
OG0001957	LOC6530652|XP_039229198.1|DYAK	LOC119079960|XP_037043967.1|BCOP
OG0001958	LOC6531075|XP_039227943.1|DYAK	LOC119081650|XP_037046627.1|BCOP
OG0001959	LOC6534803|XP_002095475.1|DYAK	LOC119072456|XP_037033575.1|BCOP
OG0001960	LOC6532382|XP_002093133.1|DYAK	LOC119078235|XP_037041588.1|BCOP, LOC119079928|XP_037043923.1|BCOP
OG0001961	LOC6532125|XP_015051712.1|DYAK	LOC119079675|XP_037043622.1|BCOP
OG0001962	LOC6528487|XP_002089533.2|DYAK	LOC119079441|XP_037043249.1|BCOP
OG0001963	LOC6534407|XP_002095085.1|DYAK	LOC119072920|XP_037034134.1|BCOP, LOC119084186|XP_037049950.1|BCOP, LOC119081573|XP_037046503.1|BCOP
OG0001964	LOC6533312|XP_015049897.1|DYAK	LOC119073177|XP_037034382.1|BCOP
OG0001965	LOC6533205|XP_002093931.2|DYAK	LOC119083324|XP_037048904.1|BCOP, LOC119083366|XP_037048978.1|BCOP
OG0001966	LOC6535429|XP_015047154.1|DYAK	LOC119067255|XP_037026026.1|BCOP
OG0001967	LOC6530671|XP_002091569.1|DYAK	LOC119085549|XP_037051863.1|BCOP, LOC119073362|XP_037034662.1|BCOP
OG0001968	LOC6533617|XP_002094324.1|DYAK	LOC119080491|XP_037044779.1|BCOP
OG0001969	LOC6528440|XP_039227163.1|DYAK	LOC119084839|XP_037050831.1|BCOP, LOC119080417|XP_037044656.1|BCOP
OG0001970	LOC6531332|XP_002092136.1|DYAK	LOC119080020|XP_037044093.1|BCOP
OG0001971	LOC6530847|XP_002091728.2|DYAK	LOC119085338|XP_037051616.1|BCOP
OG0001972	LOC6539198|XP_002086099.1|DYAK, LOC26535449|XP_039226542.1|DYAK, LOC26534781|XP_039226541.1|DYAK, LOC26536421|XP_015045273.1|DYAK	LOC119071816|XP_037032780.1|BCOP
OG0001973	LOC6531836|XP_015051570.1|DYAK	LOC119079603|XP_037043489.1|BCOP
OG0001974	LOC6528742|XP_002089777.1|DYAK	LOC119081078|XP_037045716.1|BCOP
OG0001975	LOC6533525|XP_002094235.1|DYAK	LOC119076310|XP_037038872.1|BCOP, LOC119078786|XP_037042397.1|BCOP
OG0001976	LOC6530182|XP_002091120.1|DYAK	LOC119084443|XP_037050319.1|BCOP
OG0001978	LOC6529426|XP_002090430.1|DYAK	LOC119066330|XP_037024625.1|BCOP
OG0001979	LOC6526899|XP_002087998.1|DYAK	LOC119070930|XP_037031369.1|BCOP
OG0001980	LOC6526245|XP_002087369.1|DYAK	LOC119078499|XP_037041948.1|BCOP
OG0001982	LOC26536130|XP_015045256.1|DYAK	LOC119081937|XP_037047088.1|BCOP
OG0001983	LOC26535169|XP_039233278.1|DYAK	LOC119080917|XP_037045428.1|BCOP, LOC119080401|XP_037044625.1|BCOP, LOC119068171|XP_037027550.1|BCOP, LOC119068854|XP_037028575.1|BCOP
OG0001984	LOC6528057|XP_002089124.1|DYAK	LOC119078695|XP_037042252.1|BCOP
OG0001985	LOC6527881|XP_002088953.2|DYAK	LOC119078457|XP_037041886.1|BCOP
OG0001986	LOC6527040|XP_002088133.1|DYAK	LOC119072804|XP_037033996.1|BCOP
OG0001987	LOC6523823|XP_002099698.1|DYAK	LOC119073791|XP_037035415.1|BCOP, LOC119068065|XP_037027361.1|BCOP
OG0001988	LOC6531647|XP_002092444.1|DYAK	LOC119074080|XP_037035925.1|BCOP
OG0001989	LOC6526343|XP_002087465.2|DYAK	LOC119076077|XP_037038621.1|BCOP
OG0001990	LOC6527134|XP_002088228.1|DYAK	LOC119066370|XP_037024689.1|BCOP
OG0001991	LOC26535090|XP_039233244.1|DYAK	LOC119076320|XP_037038884.1|BCOP
OG0001992	LOC6527363|XP_002088455.2|DYAK	LOC119075686|XP_037038099.1|BCOP
OG0001993	LOC6527086|XP_002088179.1|DYAK	LOC119071486|XP_037032232.1|BCOP
OG0001994	LOC6535809|XP_015047365.1|DYAK	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP
OG0001995	LOC6529718|XP_002090711.1|DYAK	LOC119085141|XP_037051313.1|BCOP
OG0001996	LOC6528156|XP_039226650.1|DYAK	LOC119076361|XP_037038960.1|BCOP
OG0001997	LOC6532109|XP_002092885.1|DYAK	LOC119073369|XP_037034684.1|BCOP
OG0001998	LOC6532111|XP_002092887.2|DYAK	LOC119073380|XP_037034699.1|BCOP
OG0001999	LOC6528880|XP_039227334.1|DYAK	LOC119083775|XP_037049456.1|BCOP
OG0002000	LOC6527699|XP_002088783.1|DYAK	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP
OG0002001	LOC6529556|XP_002090553.3|DYAK	LOC119085307|XP_037051552.1|BCOP
OG0002002	LOC6530107|XP_002091053.1|DYAK	LOC119081466|XP_037046350.1|BCOP
OG0002003	LOC6527799|XP_015053817.1|DYAK	LOC119076345|XP_037038935.1|BCOP
OG0002004	LOC6529453|XP_015052357.1|DYAK	LOC119082567|XP_037047988.1|BCOP
OG0002005	LOC6528940|XP_039227391.1|DYAK	LOC119066968|XP_037025594.1|BCOP
OG0002006	LOC6526937|XP_015053526.1|DYAK	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP
OG0002007	LOC6527706|XP_015053783.1|DYAK	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP
OG0002008	LOC6523751|XP_039233120.1|DYAK	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP
OG0002009	LOC6531729|XP_002092519.1|DYAK	LOC119076740|XP_037039568.1|BCOP
OG0002010	LOC120320428|XP_015053007.1|DYAK	LOC119072338|XP_037033424.1|BCOP
OG0002011	LOC6529799|XP_002090783.1|DYAK	LOC119076348|XP_037038940.1|BCOP
OG0002012	LOC6528173|XP_002089236.3|DYAK	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP
OG0002013	LOC6529671|XP_039228207.1|DYAK	LOC119072256|XP_037033334.1|BCOP
OG0002014	LOC6530702|XP_002091593.1|DYAK	LOC119068127|XP_037027481.1|BCOP
OG0002015	LOC6526909|XP_002088008.1|DYAK	LOC119077146|XP_037040226.1|BCOP
OG0002016	LOC6528674|XP_039227534.1|DYAK	LOC119081426|XP_037046240.1|BCOP
OG0002017	LOC6527190|XP_002088284.1|DYAK	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP
OG0002018	LOC6527085|XP_002088178.2|DYAK	LOC119075634|XP_037038010.1|BCOP
OG0002019	LOC6527378|XP_002088470.1|DYAK	LOC119079090|XP_037042801.1|BCOP
OG0002020	LOC6529711|XP_002090704.1|DYAK	LOC119085889|XP_037052320.1|BCOP
OG0002021	LOC6530672|XP_002091570.1|DYAK	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP
OG0002022	LOC6529253|XP_002090258.2|DYAK	LOC119070933|XP_037031376.1|BCOP
OG0002023	LOC6536902|XP_002097471.1|DYAK	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP
OG0002024	LOC6528008|XP_002089075.1|DYAK	LOC119066321|XP_037024605.1|BCOP
OG0002025	LOC6527267|XP_002088361.2|DYAK	LOC119085816|XP_037052200.1|BCOP
OG0002026	LOC6539337|XP_002086229.2|DYAK, LOC6540168|XP_039230565.1|DYAK	LOC119070840|XP_037031248.1|BCOP
OG0002027	LOC6531277|XP_002092086.1|DYAK	LOC119082838|XP_037048389.1|BCOP
OG0002028	LOC6531905|XP_039228916.1|DYAK	LOC119082846|XP_037048407.1|BCOP
OG0002029	LOC6533085|XP_002093817.1|DYAK	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP
OG0002030	LOC6532080|XP_002092857.1|DYAK	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP
OG0002031	LOC6529887|XP_015052449.1|DYAK	LOC119066123|XP_037024303.1|BCOP
OG0002032	LOC6535903|XP_002096519.2|DYAK	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP
OG0002033	LOC6525098|XP_039233354.1|DYAK	LOC119076024|XP_037038523.1|BCOP, LOC119071625|XP_037032474.1|BCOP, LOC119076028|XP_037038541.1|BCOP, LOC119076027|XP_037038540.1|BCOP
OG0002034	LOC6523902|XP_039233412.1|DYAK	LOC119074965|XP_037037248.1|BCOP
OG0002035	LOC6536239|XP_002096828.1|DYAK	LOC119076751|XP_037039593.1|BCOP
OG0002036	LOC6536455|XP_002097036.2|DYAK	LOC119076673|XP_037039463.1|BCOP
OG0002037	LOC6532943|XP_002093678.1|DYAK	LOC119074391|XP_037036405.1|BCOP
OG0002038	LOC6535769|XP_002096392.1|DYAK	LOC119082225|XP_037047573.1|BCOP
OG0002039	LOC26535238|XP_015044598.1|DYAK	LOC119069135|XP_037028936.1|BCOP
OG0002040	LOC26534948|XP_039231392.1|DYAK	LOC119076843|XP_037039742.1|BCOP
OG0002041	LOC6528625|XP_002089668.1|DYAK	LOC119071703|XP_037032588.1|BCOP
OG0002042	LOC6536064|XP_002096674.2|DYAK	LOC119071706|XP_037032598.1|BCOP
OG0002043	LOC6537523|XP_002098069.2|DYAK	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP
OG0002044	LOC6537781|XP_015048507.1|DYAK	LOC119074435|XP_037036458.1|BCOP
OG0002045	LOC6536232|XP_015047616.2|DYAK	LOC119076462|XP_037039124.1|BCOP
OG0002046	LOC6523757|XP_002099632.1|DYAK	LOC119074348|XP_037036338.1|BCOP
OG0002047	LOC6525186|XP_039227624.1|DYAK	LOC119084246|XP_037050039.1|BCOP
OG0002048	LOC6536787|XP_002097357.2|DYAK	LOC119076119|XP_037038682.1|BCOP
OG0002049	LOC6536642|XP_002097214.1|DYAK	LOC119066552|XP_037024990.1|BCOP
OG0002050	LOC6537135|XP_002097696.1|DYAK	LOC119074831|XP_037037016.1|BCOP
OG0002051	LOC6530283|XP_015052627.1|DYAK	LOC119074387|XP_037036401.1|BCOP
OG0002053	LOC6536268|XP_002096854.3|DYAK	LOC119067125|XP_037025799.1|BCOP
OG0002054	LOC6537507|XP_002098053.1|DYAK	LOC119076474|XP_037039146.1|BCOP
OG0002055	LOC6536739|XP_002097311.1|DYAK	LOC119078030|XP_037041338.1|BCOP
OG0002056	LOC6533900|XP_002094600.1|DYAK	LOC119072096|XP_037033145.1|BCOP
OG0002057	LOC6527141|XP_002088235.1|DYAK	LOC119083151|XP_037048692.1|BCOP
OG0002058	LOC6532197|XP_002092971.2|DYAK	LOC119083154|XP_037048696.1|BCOP
OG0002059	LOC6538511|XP_002099033.1|DYAK	LOC119071955|XP_037032980.1|BCOP
OG0002060	LOC6530428|XP_002091344.1|DYAK	LOC119072723|XP_037033893.1|BCOP
OG0002061	LOC6531977|XP_039228520.1|DYAK	LOC119075375|XP_037037700.1|BCOP
OG0002062	LOC6526178|XP_002101988.1|DYAK	LOC119076630|XP_037039430.1|BCOP, LOC119078348|XP_037041745.1|BCOP
OG0002063	LOC6524045|XP_002099914.1|DYAK	LOC119074412|XP_037036437.1|BCOP
OG0002064	LOC6532910|XP_002093646.1|DYAK	LOC119084475|XP_037050355.1|BCOP
OG0002065	LOC6533477|XP_015050047.1|DYAK	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP
OG0002066	LOC6537090|XP_015048107.1|DYAK	LOC119074548|XP_037036613.1|BCOP
OG0002067	LOC6531904|XP_002092690.1|DYAK	LOC119074674|XP_037036852.1|BCOP
OG0002068	LOC6531059|XP_002091893.1|DYAK	LOC119074954|XP_037037238.1|BCOP
OG0002069	LOC26535583|XP_039227618.1|DYAK, LOC26535361|XP_039227619.1|DYAK	LOC119074755|XP_037036916.1|BCOP
OG0002070	LOC6536569|XP_002097145.1|DYAK	LOC119068727|XP_037028316.1|BCOP
OG0002071	LOC6538625|XP_002099147.1|DYAK	LOC119071555|XP_037032373.1|BCOP
OG0002072	LOC6531491|XP_002092290.1|DYAK	LOC119080154|XP_037044269.1|BCOP
OG0002073	LOC6534167|XP_039230319.1|DYAK	LOC119078320|XP_037041719.1|BCOP
OG0002074	LOC6530489|XP_015052689.1|DYAK	LOC119074748|XP_037036906.1|BCOP
OG0002075	LOC26534725|XP_015054544.1|DYAK	LOC119078225|XP_037041580.1|BCOP
OG0002076	LOC6531741|XP_015051537.1|DYAK	LOC119070671|XP_037030998.1|BCOP
OG0002077	LOC6532326|XP_015049281.1|DYAK	LOC119072345|XP_037033428.1|BCOP
OG0002078	LOC6529896|XP_015052506.1|DYAK	LOC119070722|XP_037031070.1|BCOP
OG0002079	LOC6539416|XP_002086307.1|DYAK	LOC119071814|XP_037032777.1|BCOP
OG0002080	LOC6531685|XP_002092476.2|DYAK	LOC119070971|XP_037031441.1|BCOP
OG0002081	LOC6532011|XP_002092790.1|DYAK	LOC119079101|XP_037042814.1|BCOP
OG0002082	LOC6531363|XP_015051280.1|DYAK	LOC119076952|XP_037039900.1|BCOP
OG0002083	LOC6524407|XP_039233701.1|DYAK	LOC119075772|XP_037038214.1|BCOP, LOC119075781|XP_037038236.1|BCOP
OG0002084	LOC6531809|XP_002092596.1|DYAK	LOC119071316|XP_037032094.1|BCOP
OG0002085	LOC6531616|XP_015051442.1|DYAK	LOC119082803|XP_037048343.1|BCOP
OG0002086	LOC6530589|XP_039228145.1|DYAK	LOC119071097|XP_037031637.1|BCOP
OG0002087	LOC26535083|XP_039229464.1|DYAK	LOC119066517|XP_037024925.1|BCOP
OG0002088	LOC6534765|XP_015050822.2|DYAK	LOC119071860|XP_037032817.1|BCOP
OG0002089	LOC6528639|XP_002089681.1|DYAK	LOC119071904|XP_037032912.1|BCOP
OG0002090	LOC6533973|XP_002094668.1|DYAK	LOC119066947|XP_037025561.1|BCOP
OG0002091	LOC6532018|XP_002092796.1|DYAK	LOC119074240|XP_037036157.1|BCOP
OG0002092	LOC6535038|XP_002095703.1|DYAK	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP
OG0002093	LOC6530515|XP_002091430.2|DYAK	LOC119066901|XP_037025485.1|BCOP
OG0002094	LOC6531917|XP_002092703.1|DYAK	LOC119083173|XP_037048728.1|BCOP
OG0002095	LOC6525160|XP_002100998.1|DYAK	LOC119074654|XP_037036828.1|BCOP
OG0002096	LOC6530395|XP_002091321.1|DYAK	LOC119071682|XP_037032558.1|BCOP
OG0002097	LOC6528783|XP_015054260.1|DYAK	LOC119072630|XP_037033769.1|BCOP
OG0002098	LOC6539364|XP_015045187.1|DYAK	LOC119066099|XP_037024266.1|BCOP
OG0002099	LOC6536208|XP_002096799.1|DYAK	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP
OG0002100	LOC6539578|XP_015045092.1|DYAK	LOC119071084|XP_037031618.1|BCOP
OG0002101	LOC6528582|XP_039227584.1|DYAK	LOC119066386|XP_037024713.1|BCOP
OG0002102	LOC6530817|XP_039228948.1|DYAK	LOC119071138|XP_037031727.1|BCOP
OG0002103	LOC6536201|XP_002096792.1|DYAK	LOC119085732|XP_037052097.1|BCOP
OG0002105	LOC6526385|XP_002087504.1|DYAK	LOC119069623|XP_037029617.1|BCOP, LOC119083924|XP_037049633.1|BCOP, LOC119082950|XP_037048494.1|BCOP, LOC119078121|XP_037041469.1|BCOP
OG0002106	LOC6536214|XP_002096805.2|DYAK	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP
OG0002107	LOC6527179|XP_002088273.1|DYAK	LOC119077008|XP_037040013.1|BCOP
OG0002117	LOC6530938|XP_002091780.1|DYAK	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP
OG0002118	LOC26535507|XP_039229577.1|DYAK, LOC26535881|XP_039233327.1|DYAK, LOC26535306|XP_039229578.1|DYAK	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP
OG0002119	LOC6538611|XP_002099133.1|DYAK	LOC119070028|XP_037030208.1|BCOP
OG0002120	LOC6523764|XP_002099639.1|DYAK	LOC119085060|XP_037051186.1|BCOP
OG0002121	LOC6538069|XP_002098604.1|DYAK	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP
OG0002123	LOC6526902|XP_002088001.1|DYAK	LOC119083896|XP_037049601.1|BCOP
OG0002124	LOC6525786|XP_039230038.1|DYAK	LOC119069671|XP_037029684.1|BCOP
OG0002125	LOC6530472|XP_002091388.1|DYAK	LOC119079473|XP_037043301.1|BCOP
OG0002126	LOC6534736|XP_039229725.1|DYAK	LOC119073593|XP_037035062.1|BCOP
OG0002127	LOC6525688|XP_015046410.1|DYAK	LOC119085600|XP_037051916.1|BCOP
OG0002128	LOC6525803|XP_015046503.1|DYAK	LOC119070370|XP_037030566.1|BCOP, LOC119070369|XP_037030565.1|BCOP
OG0002129	LOC6535609|XP_002096237.3|DYAK	LOC119068015|XP_037027269.1|BCOP
OG0002131	LOC6535548|XP_002096177.1|DYAK	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP
OG0002132	LOC6527972|XP_002089039.1|DYAK	LOC119076232|XP_037038785.1|BCOP
OG0002133	LOC6524529|XP_002100386.1|DYAK	LOC119068988|XP_037028755.1|BCOP
OG0002134	LOC6525705|XP_002101527.1|DYAK	LOC119084479|XP_037050362.1|BCOP
OG0002135	LOC6525363|XP_015046261.1|DYAK	LOC119068606|XP_037028151.1|BCOP
OG0002136	LOC6537975|XP_002098512.1|DYAK	LOC119070453|XP_037030699.1|BCOP
OG0002137	LOC6538799|XP_002099312.1|DYAK	LOC119068487|XP_037027993.1|BCOP, LOC119068501|XP_037028006.1|BCOP, LOC119085510|XP_037051820.1|BCOP
OG0002138	LOC6525732|XP_002101554.1|DYAK	LOC119083180|XP_037048738.1|BCOP
OG0002139	LOC6524282|XP_002100144.2|DYAK	LOC119067435|XP_037026303.1|BCOP
OG0002140	LOC6525236|XP_002101074.1|DYAK	LOC119069470|XP_037029418.1|BCOP, LOC119069437|XP_037029390.1|BCOP, LOC119069436|XP_037029389.1|BCOP
OG0002141	LOC6535215|XP_002095874.1|DYAK	LOC119068176|XP_037027559.1|BCOP
OG0002142	LOC6535287|XP_002095943.1|DYAK	LOC119068290|XP_037027723.1|BCOP
OG0002143	LOC6526392|XP_015053387.1|DYAK	LOC119068125|XP_037027478.1|BCOP
OG0002144	LOC6523773|XP_015046967.1|DYAK	LOC119080273|XP_037044430.1|BCOP
OG0002145	LOC6535778|XP_039231645.1|DYAK	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP
OG0002146	LOC6535289|XP_002095945.1|DYAK	LOC119069157|XP_037028956.1|BCOP
OG0002147	LOC6526028|XP_039226048.1|DYAK	LOC119068311|XP_037027749.1|BCOP
OG0002148	LOC6532815|XP_002093552.1|DYAK	LOC119068400|XP_037027855.1|BCOP
OG0002149	LOC6523753|XP_002099628.1|DYAK	LOC119075571|XP_037037936.1|BCOP
OG0002150	LOC6524788|XP_002100632.1|DYAK	LOC119085647|XP_037051979.1|BCOP
OG0002151	LOC6527133|XP_002088227.2|DYAK	LOC119074031|XP_037035868.1|BCOP, LOC119074101|XP_037035960.1|BCOP
OG0002152	LOC6535569|XP_039232554.1|DYAK	LOC119082372|XP_037047794.1|BCOP
OG0002153	LOC6538026|XP_002098561.1|DYAK	LOC119068706|XP_037028290.1|BCOP
OG0002154	LOC120321172|XP_039228938.1|DYAK	LOC119067768|XP_037026807.1|BCOP
OG0002155	LOC6538940|XP_002099444.1|DYAK	LOC119069323|XP_037029275.1|BCOP
OG0002156	LOC6535184|XP_002095846.1|DYAK	LOC119081040|XP_037045635.1|BCOP
OG0002157	LOC6536916|XP_002097485.2|DYAK	LOC119069857|XP_037029927.1|BCOP
OG0002158	LOC6531060|XP_002091894.1|DYAK	LOC119074956|XP_037037240.1|BCOP, LOC119068516|XP_037028020.1|BCOP
OG0002159	LOC6531820|XP_002092607.1|DYAK	LOC119068701|XP_037028287.1|BCOP
OG0002160	LOC6535958|XP_002096574.3|DYAK	LOC119068295|XP_037027729.1|BCOP
OG0002161	LOC6535632|XP_002096260.1|DYAK	LOC119085218|XP_037051427.1|BCOP
OG0002162	LOC6536491|XP_002097069.2|DYAK	LOC119067373|XP_037026189.1|BCOP
OG0002163	LOC6524107|XP_002099971.1|DYAK	LOC119067190|XP_037025916.1|BCOP
OG0002164	LOC6538491|XP_002099013.1|DYAK	LOC119068336|XP_037027789.1|BCOP
OG0002165	LOC6529491|XP_002090493.1|DYAK	LOC119068466|XP_037027955.1|BCOP
OG0002166	LOC6527431|XP_002088523.1|DYAK	LOC119066227|XP_037024446.1|BCOP
OG0002167	LOC6530977|XP_039228567.1|DYAK	LOC119066372|XP_037024695.1|BCOP
OG0002168	LOC6531907|XP_039228915.1|DYAK	LOC119068986|XP_037028752.1|BCOP
OG0002169	LOC6532510|XP_002093256.1|DYAK	LOC119068737|XP_037028331.1|BCOP
OG0002170	LOC6523705|XP_002099582.1|DYAK	LOC119083567|XP_037049205.1|BCOP
OG0002171	LOC6538796|XP_039232717.1|DYAK	LOC119069264|XP_037029217.1|BCOP
OG0002172	LOC6537851|XP_002098392.1|DYAK	LOC119067940|XP_037027151.1|BCOP
OG0002173	LOC6527201|XP_002088295.1|DYAK	LOC119078710|XP_037042275.1|BCOP
OG0002174	LOC6537304|XP_002097862.1|DYAK	LOC119082710|XP_037048184.1|BCOP
OG0002175	LOC6537305|XP_002097863.1|DYAK	LOC119082813|XP_037048363.1|BCOP
OG0002176	LOC6535640|XP_002096268.1|DYAK	LOC119067918|XP_037027114.1|BCOP
OG0002177	LOC6536718|XP_002097290.1|DYAK	LOC119067430|XP_037026297.1|BCOP
OG0002178	LOC6538300|XP_002098827.1|DYAK	LOC119069100|XP_037028887.1|BCOP
OG0002179	LOC6538575|XP_002099097.2|DYAK	LOC119067624|XP_037026612.1|BCOP
OG0002180	LOC6538875|XP_002099379.3|DYAK	LOC119068090|XP_037027402.1|BCOP
