Orthogroup	DYAK.longest_only	HILL.longest_only
OG0001411	LOC6537322|XP_002097879.1|DYAK	LOC119661783|XP_037927187.1|HILL, LOC119652314|XP_037912255.1|HILL, LOC119646991|XP_037903634.1|HILL
OG0001412	LOC6529541|XP_002090539.1|DYAK, LOC6527413|XP_002088505.3|DYAK	LOC119646959|XP_037903583.1|HILL
OG0001415	LOC6530490|XP_002091405.2|DYAK, LOC6530492|XP_002091407.1|DYAK	LOC119646748|XP_037903254.1|HILL, LOC119646710|XP_037903216.1|HILL
OG0001429	LOC6537359|XP_039231543.1|DYAK	LOC119653219|XP_037913722.1|HILL, LOC119652468|XP_037912562.1|HILL
OG0001430	LOC6536981|XP_002097550.1|DYAK	LOC119647554|XP_037904478.1|HILL, LOC119656740|XP_037919217.1|HILL
OG0001432	LOC6525327|XP_002101163.1|DYAK	LOC119657036|XP_037919718.1|HILL
OG0001433	LOC6537803|XP_002098344.1|DYAK	LOC119652346|XP_037912300.1|HILL
OG0001434	LOC6524302|XP_002100161.2|DYAK	LOC119656546|XP_037918836.1|HILL
OG0001435	LOC6528536|XP_002089582.1|DYAK	LOC119656806|XP_037919345.1|HILL
OG0001436	LOC6538305|XP_002098832.1|DYAK	LOC119656606|XP_037918968.1|HILL
OG0001437	LOC6527704|XP_002088788.1|DYAK	LOC119659054|XP_037922891.1|HILL
OG0001438	LOC6538137|XP_002098672.1|DYAK	LOC119656888|XP_037919486.1|HILL
OG0001439	LOC6535858|XP_002096477.1|DYAK	LOC119659035|XP_037922858.1|HILL
OG0001440	LOC6524702|XP_002100546.1|DYAK	LOC119651352|XP_037910839.1|HILL
OG0001441	LOC6526058|XP_002101875.1|DYAK	LOC119656960|XP_037919608.1|HILL
OG0001442	LOC6526998|XP_002088094.1|DYAK	LOC119657508|XP_037920372.1|HILL
OG0001443	LOC6538852|XP_002099365.1|DYAK	LOC119653014|XP_037913378.1|HILL
OG0001444	LOC6537640|XP_002098185.1|DYAK	LOC119657226|XP_037919966.1|HILL, LOC119657317|XP_037920104.1|HILL, LOC119658133|XP_037921330.1|HILL
OG0001445	LOC6535280|XP_002095936.1|DYAK	LOC119650719|XP_037909661.1|HILL
OG0001446	LOC6537837|XP_002098378.2|DYAK	LOC119650743|XP_037909739.1|HILL
OG0001447	LOC6537388|XP_002097944.2|DYAK	LOC119655582|XP_037917453.1|HILL
OG0001448	LOC6538877|XP_039231310.1|DYAK	LOC119652654|XP_037912834.1|HILL
OG0001449	LOC6531474|XP_002092273.1|DYAK	LOC119650287|XP_037908845.1|HILL
OG0001450	LOC6528095|XP_002089162.1|DYAK	LOC119657746|XP_037920724.1|HILL
OG0001451	LOC6528379|XP_039227599.1|DYAK	LOC119661787|XP_037927198.1|HILL
OG0001452	LOC6530963|XP_039228007.1|DYAK	LOC119647289|XP_037904121.1|HILL
OG0001453	LOC6539776|XP_002086662.2|DYAK	LOC119649865|XP_037908164.1|HILL
OG0001454	LOC6536667|XP_002097239.1|DYAK	LOC119659256|XP_037923175.1|HILL
OG0001455	LOC6534378|XP_015050598.1|DYAK	LOC119648164|XP_037905667.1|HILL
OG0001456	LOC6528893|XP_039227216.1|DYAK	LOC119649465|XP_037907551.1|HILL
OG0001457	LOC6530012|XP_002090958.1|DYAK	LOC119661698|XP_037927072.1|HILL
OG0001458	LOC6530383|XP_002091309.1|DYAK	LOC119646766|XP_037903273.1|HILL
OG0001459	LOC6533133|XP_002093859.1|DYAK	LOC119649746|XP_037907963.1|HILL
OG0001460	LOC6528448|XP_002089494.2|DYAK	LOC119647907|XP_037905148.1|HILL
OG0001461	LOC6525181|XP_002101019.1|DYAK	LOC119655555|XP_037917406.1|HILL
OG0001462	LOC6532775|XP_002093517.1|DYAK	LOC119647439|XP_037904286.1|HILL
OG0001463	LOC6538489|XP_015048884.1|DYAK	LOC119658997|XP_037922807.1|HILL
OG0001464	LOC6523963|XP_002099835.1|DYAK	LOC119660865|XP_037925689.1|HILL
OG0001465	LOC6529362|XP_015052304.1|DYAK	LOC119661306|XP_037926524.1|HILL
OG0001466	LOC6527410|XP_002088502.2|DYAK	LOC119647116|XP_037903831.1|HILL
OG0001467	LOC6527262|XP_002088356.1|DYAK	LOC119646387|XP_037902758.1|HILL
OG0001468	LOC6532599|XP_015049453.1|DYAK	LOC119649357|XP_037907395.1|HILL
OG0001469	LOC6530343|XP_002091270.1|DYAK, LOC6538468|XP_002098992.1|DYAK	LOC119660627|XP_037925261.1|HILL
OG0001470	LOC6539727|XP_039229987.1|DYAK	LOC119650028|XP_037908433.1|HILL
OG0001471	LOC6532301|XP_039230757.1|DYAK	LOC119650245|XP_037908763.1|HILL
OG0001472	LOC6534431|XP_002095108.1|DYAK	LOC119648953|XP_037906799.1|HILL
OG0001474	LOC6524011|XP_002099883.1|DYAK	LOC119655942|XP_037918063.1|HILL
OG0001475	LOC6528859|XP_002089891.1|DYAK	LOC119646535|XP_037902929.1|HILL
OG0001476	LOC6525800|XP_002101621.3|DYAK	LOC119646631|XP_037903069.1|HILL
OG0001477	LOC6538010|XP_002098545.1|DYAK	LOC119653829|XP_037914803.1|HILL
OG0001478	LOC6526309|XP_002087431.1|DYAK	LOC119652561|XP_037912697.1|HILL, LOC119652209|XP_037912077.1|HILL
OG0001480	LOC6526302|XP_002087424.1|DYAK	LOC119661320|XP_037926543.1|HILL
OG0001481	LOC6529843|XP_039229184.1|DYAK	LOC119652936|XP_037913257.1|HILL
OG0001482	LOC6531438|XP_002092241.1|DYAK	LOC119653980|XP_037915070.1|HILL
OG0001483	LOC6539249|XP_039228148.1|DYAK	LOC119653092|XP_037913523.1|HILL
OG0001484	LOC6526720|XP_002087823.1|DYAK	LOC119647542|XP_037904460.1|HILL, LOC119647544|XP_037904463.1|HILL
OG0001485	LOC6535015|XP_002095683.2|DYAK	LOC119649244|XP_037907238.1|HILL
OG0001486	LOC6527638|XP_002088726.1|DYAK	LOC119652475|XP_037912573.1|HILL
OG0001487	LOC26536189|XP_015045210.1|DYAK	LOC119651066|XP_037910330.1|HILL
OG0001488	LOC6529970|XP_002090916.2|DYAK	LOC119661214|XP_037926365.1|HILL, LOC119657365|XP_037920176.1|HILL, LOC119661305|XP_037926523.1|HILL, LOC119651417|XP_037910940.1|HILL, LOC119661215|XP_037926367.1|HILL
OG0001489	LOC6529772|XP_015052419.2|DYAK	LOC119651713|XP_037911355.1|HILL
OG0001490	LOC6526636|XP_002087744.1|DYAK	LOC119651715|XP_037911364.1|HILL
OG0001491	LOC6526553|XP_015053307.1|DYAK	LOC119646618|XP_037903052.1|HILL
OG0001493	LOC6525164|XP_002101002.2|DYAK	LOC119655859|XP_037917907.1|HILL
OG0001494	LOC6525431|XP_002101266.2|DYAK	LOC119655481|XP_037917309.1|HILL
OG0001495	LOC6528540|XP_002089586.1|DYAK	LOC119653406|XP_037913898.1|HILL
OG0001496	LOC6525386|XP_002101222.2|DYAK	LOC119655329|XP_037917098.1|HILL
OG0001497	LOC6528730|XP_002089765.1|DYAK	LOC119657909|XP_037921011.1|HILL
OG0001498	LOC6536060|XP_002096670.2|DYAK	LOC119659865|XP_037924105.1|HILL
OG0001500	LOC6530985|XP_002091823.1|DYAK	LOC119655204|XP_037916903.1|HILL
OG0001501	LOC6536741|XP_002097313.1|DYAK	LOC119659833|XP_037924057.1|HILL, LOC119660373|XP_037924818.1|HILL
OG0001502	LOC6530475|XP_002091390.1|DYAK	LOC119652025|XP_037911887.1|HILL, LOC119660909|XP_037925784.1|HILL
OG0001503	LOC6528411|XP_039226209.1|DYAK	LOC119655492|XP_037917322.1|HILL
OG0001504	LOC6525482|XP_039231765.1|DYAK	LOC119656214|XP_037918538.1|HILL
OG0001506	LOC6530071|XP_002091017.1|DYAK	LOC119655596|XP_037917481.1|HILL
OG0001507	LOC6530549|XP_039228062.1|DYAK	LOC119655846|XP_037917889.1|HILL
OG0001508	LOC6530835|XP_002091718.1|DYAK	LOC119655979|XP_037918140.1|HILL, LOC119655613|XP_037917511.1|HILL
OG0001509	LOC6530581|XP_002091494.2|DYAK	LOC119656162|XP_037918432.1|HILL
OG0001510	LOC6528082|XP_002089149.1|DYAK	LOC119650653|XP_037909517.1|HILL
OG0001511	LOC6532172|XP_015051737.1|DYAK	LOC119653884|XP_037914930.1|HILL
OG0001512	LOC6533326|XP_002094052.1|DYAK	LOC119655067|XP_037916688.1|HILL
OG0001513	LOC6540104|XP_039230043.1|DYAK	LOC119649806|XP_037908045.1|HILL
OG0001515	LOC6523858|XP_002099731.1|DYAK	LOC119655346|XP_037917125.1|HILL
OG0001517	LOC6536085|XP_002096695.3|DYAK, LOC6538238|XP_002098765.1|DYAK	LOC119657938|XP_037921054.1|HILL
OG0001518	LOC6525290|XP_002101126.1|DYAK	LOC119651003|XP_037910217.1|HILL, LOC119651847|XP_037911574.1|HILL, LOC119651848|XP_037911577.1|HILL, LOC119651841|XP_037911567.1|HILL, LOC119651846|XP_037911573.1|HILL, LOC119651844|XP_037911571.1|HILL, LOC119651843|XP_037911570.1|HILL, LOC119651842|XP_037911568.1|HILL
OG0001519	LOC6536011|XP_002096626.1|DYAK	LOC119648557|XP_037906255.1|HILL, LOC119659587|XP_037923674.1|HILL, LOC119648556|XP_037906254.1|HILL
OG0001524	LOC6530242|XP_002091179.2|DYAK	LOC119646742|XP_037903249.1|HILL
OG0001527	LOC6525950|XP_002101770.2|DYAK	LOC119657502|XP_037920364.1|HILL
OG0001534	LOC6524042|XP_039232157.1|DYAK	LOC119656541|XP_037918815.1|HILL
OG0001535	LOC6526133|XP_002101950.1|DYAK	LOC119657486|XP_037920336.1|HILL
OG0001536	LOC6525747|XP_002101569.1|DYAK	LOC119646612|XP_037903042.1|HILL
OG0001537	LOC6526316|XP_002087438.1|DYAK	LOC119657890|XP_037920961.1|HILL
OG0001538	LOC6524605|XP_002100462.1|DYAK	LOC119657148|XP_037919853.1|HILL, LOC119649612|XP_037907760.1|HILL, LOC119656720|XP_037919175.1|HILL, LOC119656719|XP_037919174.1|HILL
OG0001539	LOC6531813|XP_002092600.1|DYAK	LOC119656642|XP_037919018.1|HILL
OG0001540	LOC6526726|XP_002087829.1|DYAK	LOC119652333|XP_037912272.1|HILL
OG0001541	LOC6535166|XP_002095828.1|DYAK	LOC119661222|XP_037926404.1|HILL, LOC119660851|XP_037926108.1|HILL, LOC119660158|XP_037924890.1|HILL, LOC119646856|XP_037903407.1|HILL, LOC119658780|XP_037922410.1|HILL
OG0001542	LOC6536558|XP_039231511.1|DYAK	LOC119655166|XP_037916846.1|HILL
OG0001543	LOC6524998|XP_002100838.2|DYAK	LOC119656597|XP_037918952.1|HILL
OG0001544	LOC6524275|XP_039229197.1|DYAK	LOC119657629|XP_037920561.1|HILL
OG0001545	LOC6526195|XP_002102004.2|DYAK	LOC119657564|XP_037920451.1|HILL, LOC119657548|XP_037920428.1|HILL
OG0001546	LOC6526194|XP_002102003.1|DYAK	LOC119656786|XP_037919302.1|HILL
OG0001548	LOC6524980|XP_015046020.1|DYAK	LOC119657373|XP_037920185.1|HILL
OG0001549	LOC6529515|XP_015052133.2|DYAK	LOC119650735|XP_037909704.1|HILL
OG0001550	LOC6536500|XP_002097078.1|DYAK	LOC119658946|XP_037922743.1|HILL
OG0001551	LOC6537822|XP_002098363.2|DYAK	LOC119652541|XP_037912674.1|HILL
OG0001552	LOC6536332|XP_002096916.1|DYAK	LOC119651886|XP_037911635.1|HILL
OG0001553	LOC6524306|XP_002100165.1|DYAK	LOC119653576|XP_037914245.1|HILL
OG0001554	LOC6536531|XP_015047805.1|DYAK	LOC119651111|XP_037910405.1|HILL
OG0001555	LOC6529636|XP_002090630.1|DYAK	LOC119661540|XP_037926852.1|HILL, LOC119659822|XP_037924038.1|HILL
OG0001556	LOC6531128|XP_002091962.1|DYAK	LOC119659266|XP_037923193.1|HILL
OG0001557	LOC6525552|XP_002101387.1|DYAK	LOC119660775|XP_037925478.1|HILL
OG0001558	LOC6524901|XP_002100741.1|DYAK	LOC119658461|XP_037921793.1|HILL
OG0001559	LOC6538745|XP_002099260.1|DYAK	LOC119652859|XP_037913143.1|HILL
OG0001560	LOC6539897|XP_039231953.1|DYAK	LOC119658725|XP_037922308.1|HILL
OG0001561	LOC6537458|XP_002098014.1|DYAK	LOC119652816|XP_037913068.1|HILL, LOC119652603|XP_037912763.1|HILL
OG0001562	LOC6527050|XP_002088143.1|DYAK	LOC119649645|XP_037907828.1|HILL
OG0001563	LOC6535223|XP_039229482.1|DYAK	LOC119656807|XP_037919347.1|HILL
OG0001564	LOC6537647|XP_039231850.1|DYAK	LOC119650926|XP_037910081.1|HILL
OG0001565	LOC6536171|XP_002096762.3|DYAK	LOC119659375|XP_037923359.1|HILL
OG0001566	LOC6536563|XP_002097139.1|DYAK	LOC119653247|XP_037913780.1|HILL
OG0001567	LOC6530297|XP_002091224.2|DYAK	LOC119655577|XP_037917438.1|HILL
OG0001569	LOC6536996|XP_002097565.1|DYAK	LOC119651771|XP_037911451.1|HILL
OG0001570	LOC6536948|XP_002097517.1|DYAK	LOC119650909|XP_037910058.1|HILL
OG0001571	LOC6528032|XP_002089099.1|DYAK	LOC119653208|XP_037913703.1|HILL
OG0001572	LOC6524953|XP_002100793.1|DYAK	LOC119661524|XP_037926828.1|HILL
OG0001573	LOC6533011|XP_015049767.1|DYAK	LOC119649346|XP_037907382.1|HILL
OG0001574	LOC6523786|XP_039228411.1|DYAK	LOC119649303|XP_037907328.1|HILL, LOC119661447|XP_037926718.1|HILL
OG0001575	LOC6538757|XP_002099271.1|DYAK	LOC119653103|XP_037913546.1|HILL
OG0001576	LOC6536606|XP_002097182.1|DYAK	LOC119646441|XP_037902819.1|HILL
OG0001577	LOC6537990|XP_002098525.2|DYAK	LOC119649888|XP_037908198.1|HILL
OG0001578	LOC6531077|XP_002091911.1|DYAK	LOC119646947|XP_037903570.1|HILL
OG0001579	LOC6525136|XP_015046115.2|DYAK	LOC119661610|XP_037926958.1|HILL
OG0001580	LOC6529366|XP_015052305.1|DYAK	LOC119648793|XP_037906607.1|HILL
OG0001581	LOC6525929|XP_002101749.2|DYAK	LOC119656055|XP_037918254.1|HILL, LOC119649348|XP_037907384.1|HILL
OG0001582	LOC6530092|XP_002091038.2|DYAK	LOC119651815|XP_037911536.1|HILL
OG0001583	LOC6528492|XP_002089538.1|DYAK	LOC119659720|XP_037923903.1|HILL
OG0001585	LOC6525556|XP_039229292.1|DYAK	LOC119656002|XP_037918168.1|HILL
OG0001586	LOC6533311|XP_002094037.1|DYAK	LOC119647932|XP_037905200.1|HILL
OG0001587	LOC6539196|XP_002086097.1|DYAK	LOC119659167|XP_037923046.1|HILL
OG0001588	LOC6528464|XP_002089510.1|DYAK	LOC119658583|XP_037921967.1|HILL
OG0001589	LOC6539157|XP_002086062.2|DYAK	LOC119651375|XP_037910878.1|HILL
OG0001590	LOC6530950|XP_039228473.1|DYAK	LOC119655218|XP_037916923.1|HILL
OG0001591	LOC6538061|XP_002098596.2|DYAK	LOC119650695|XP_037909607.1|HILL
OG0001592	LOC6527394|XP_015053118.1|DYAK	LOC119661690|XP_037927063.1|HILL
OG0001593	LOC6527385|XP_015053127.1|DYAK	LOC119652228|XP_037912113.1|HILL, LOC119652545|XP_037912677.1|HILL
OG0001594	LOC6526840|XP_039227070.1|DYAK	LOC119655867|XP_037917922.1|HILL
OG0001595	LOC6530274|XP_015052626.1|DYAK	LOC119655772|XP_037917759.1|HILL
OG0001596	LOC6529732|XP_002090725.1|DYAK	LOC119648895|XP_037906722.1|HILL, LOC119651016|XP_037910244.1|HILL
OG0001597	LOC26536371|XP_015044621.2|DYAK	LOC119653034|XP_037913409.1|HILL
OG0001598	LOC6528217|XP_002089279.2|DYAK	LOC119653202|XP_037913698.1|HILL
OG0001599	LOC6527031|XP_002088125.1|DYAK	LOC119651069|XP_037910334.1|HILL
OG0001600	LOC6528275|XP_002089328.2|DYAK	LOC119652819|XP_037913074.1|HILL
OG0001601	LOC6528058|XP_002089125.1|DYAK	LOC119650829|XP_037909894.1|HILL
OG0001602	LOC6527853|XP_002088925.2|DYAK	LOC119651030|XP_037910270.1|HILL
OG0001603	LOC6527874|XP_002088946.1|DYAK	LOC119651768|XP_037911436.1|HILL
OG0001604	LOC6524030|XP_002099902.1|DYAK	LOC119655583|XP_037917451.1|HILL
OG0001605	LOC6528615|XP_002089658.1|DYAK	LOC119661250|XP_037926426.1|HILL
OG0001606	LOC26535450|XP_015045204.1|DYAK	LOC119660918|XP_037925818.1|HILL, LOC119646508|XP_037902892.1|HILL
OG0001607	LOC6529524|XP_002090526.1|DYAK	LOC119653772|XP_037914699.1|HILL
OG0001608	LOC6529210|XP_015052226.1|DYAK	LOC119651382|XP_037910884.1|HILL
OG0001609	LOC6530512|XP_002091427.2|DYAK	LOC119661337|XP_037926568.1|HILL
OG0001610	LOC6529790|XP_002090774.1|DYAK	LOC119651658|XP_037911273.1|HILL
OG0001611	LOC6530314|XP_002091241.1|DYAK	LOC119659808|XP_037924012.1|HILL
OG0001612	LOC6527682|XP_002088768.1|DYAK	LOC119661586|XP_037926916.1|HILL
OG0001613	LOC6528050|XP_002089117.1|DYAK	LOC119652539|XP_037912671.1|HILL
OG0001614	LOC6528678|XP_039227172.1|DYAK	LOC119646811|XP_037903340.1|HILL
OG0001615	LOC6539079|XP_015045325.1|DYAK	LOC119652569|XP_037912710.1|HILL
OG0001616	LOC6527331|XP_002088423.1|DYAK	LOC119653567|XP_037914212.1|HILL
OG0001617	LOC6529759|XP_002090749.1|DYAK	LOC119650668|XP_037909544.1|HILL
OG0001618	LOC6528024|XP_002089091.2|DYAK	LOC119660942|XP_037925872.1|HILL
OG0001619	LOC6527820|XP_002088893.1|DYAK	LOC119652825|XP_037913082.1|HILL
OG0001620	LOC6531896|XP_002092683.1|DYAK	LOC119653577|XP_037914248.1|HILL
OG0001621	LOC6531487|XP_002092286.1|DYAK	LOC119660108|XP_037924418.1|HILL
OG0001622	LOC6525238|XP_002101076.1|DYAK	LOC119656639|XP_037919011.1|HILL
OG0001623	LOC6526313|XP_002087435.1|DYAK	LOC119646591|XP_037903012.1|HILL
OG0001624	LOC6527084|XP_002088177.1|DYAK	LOC119650947|XP_037910108.1|HILL, LOC119650944|XP_037910102.1|HILL, LOC119650943|XP_037910101.1|HILL, LOC119650946|XP_037910106.1|HILL, LOC119650941|XP_037910099.1|HILL, LOC119650942|XP_037910100.1|HILL
OG0001625	LOC6529202|XP_002090209.1|DYAK	LOC119653174|XP_037913649.1|HILL
OG0001626	LOC6527645|XP_002088733.1|DYAK	LOC119646282|XP_037902618.1|HILL
OG0001627	LOC6537213|XP_015048201.1|DYAK	LOC119659569|XP_037923651.1|HILL
OG0001628	LOC6538398|XP_002098922.1|DYAK	LOC119659955|XP_037924234.1|HILL
OG0001629	LOC6529130|XP_002090141.2|DYAK	LOC119658826|XP_037922488.1|HILL
OG0001630	LOC6538758|XP_002099272.1|DYAK	LOC119654480|XP_037915829.1|HILL
OG0001631	LOC6535307|XP_039232763.1|DYAK	LOC119660345|XP_037924763.1|HILL
OG0001632	LOC6527916|XP_002088984.1|DYAK	LOC119656711|XP_037919159.1|HILL
OG0001633	LOC6537432|XP_002097988.1|DYAK	LOC119660487|XP_037925004.1|HILL, LOC119659363|XP_037923342.1|HILL, LOC119659880|XP_037924127.1|HILL
OG0001634	LOC26535976|XP_015046979.1|DYAK	LOC119658764|XP_037922390.1|HILL
OG0001635	LOC6538443|XP_002098967.2|DYAK	LOC119660055|XP_037924362.1|HILL
OG0001636	LOC6536089|XP_002096698.2|DYAK	LOC119659847|XP_037924072.1|HILL
OG0001637	LOC6536346|XP_002096928.1|DYAK	LOC119652943|XP_037913260.1|HILL
OG0001638	LOC6524418|XP_002100276.1|DYAK	LOC119651073|XP_037910342.1|HILL
OG0001639	LOC6529090|XP_039226490.1|DYAK	LOC119656255|XP_037918601.1|HILL, LOC119656164|XP_037918435.1|HILL
OG0001640	LOC6536103|XP_002096711.1|DYAK	LOC119659939|XP_037924206.1|HILL
OG0001641	LOC6537385|XP_002097941.1|DYAK	LOC119659197|XP_037923087.1|HILL
OG0001642	LOC6525351|XP_002101187.1|DYAK	LOC119654177|XP_037915290.1|HILL
OG0001643	LOC6526889|XP_002087989.1|DYAK	LOC119649971|XP_037908335.1|HILL
OG0001644	LOC6534003|XP_015050362.1|DYAK	LOC119650290|XP_037908848.1|HILL
OG0001645	LOC6530523|XP_002091438.1|DYAK	LOC119655084|XP_037916711.1|HILL
OG0001646	LOC6531686|XP_015051484.1|DYAK	LOC119656068|XP_037918274.1|HILL
OG0001647	LOC6528407|XP_039227465.1|DYAK	LOC119655711|XP_037917661.1|HILL
OG0001648	LOC6534098|XP_015050438.1|DYAK	LOC119649751|XP_037907972.1|HILL
OG0001649	LOC6530361|XP_002091287.1|DYAK	LOC119654460|XP_037915801.1|HILL
OG0001650	LOC6530966|XP_039227795.1|DYAK	LOC119656320|XP_037918700.1|HILL
OG0001651	LOC6531317|XP_015051240.1|DYAK	LOC119658370|XP_037921662.1|HILL
OG0001652	LOC6534276|XP_002094957.2|DYAK	LOC119649034|XP_037906920.1|HILL
OG0001653	LOC6534596|XP_002095272.1|DYAK	LOC119648676|XP_037906396.1|HILL
OG0001654	LOC6531253|XP_002092062.1|DYAK	LOC119653883|XP_037914928.1|HILL
OG0001655	LOC6528780|XP_002089814.2|DYAK	LOC119655938|XP_037918053.1|HILL
OG0001656	LOC6526630|XP_002087738.1|DYAK	LOC119651883|XP_037911629.1|HILL
OG0001657	LOC6534480|XP_002095157.2|DYAK	LOC119647486|XP_037904372.1|HILL
OG0001658	LOC6533792|XP_002094493.1|DYAK	LOC119649775|XP_037908004.1|HILL
OG0001659	LOC6534024|XP_002094711.1|DYAK	LOC119648041|XP_037905398.1|HILL
OG0001660	LOC6532397|XP_002093148.1|DYAK	LOC119649885|XP_037908191.1|HILL
OG0001661	LOC6536562|XP_002097138.1|DYAK	LOC119654424|XP_037915743.1|HILL
OG0001662	LOC6532763|XP_002093505.1|DYAK	LOC119655308|XP_037917064.1|HILL, LOC119648390|XP_037906056.1|HILL
OG0001664	LOC6530951|XP_002091789.1|DYAK	LOC119659739|XP_037923928.1|HILL, LOC119659643|XP_037923773.1|HILL
OG0001666	LOC6526700|XP_002087803.1|DYAK	LOC119655541|XP_037917385.1|HILL, LOC119654517|XP_037915884.1|HILL, LOC119654717|XP_037916166.1|HILL, LOC119654455|XP_037915794.1|HILL
OG0001667	LOC6531180|XP_002092009.1|DYAK	LOC119647002|XP_037903655.1|HILL
OG0001669	LOC6532888|XP_002093624.3|DYAK	LOC119648541|XP_037906237.1|HILL
OG0001678	LOC6525684|XP_002101506.2|DYAK	LOC119656538|XP_037918812.1|HILL
OG0001679	LOC6525501|XP_002101336.1|DYAK	LOC119657988|XP_037921133.1|HILL
OG0001680	LOC6525411|XP_039228835.1|DYAK	LOC119657819|XP_037920861.1|HILL
OG0001681	LOC6525938|XP_002101758.1|DYAK	LOC119657551|XP_037920432.1|HILL, LOC119656765|XP_037919272.1|HILL
OG0001682	LOC6525746|XP_015046472.1|DYAK	LOC119652960|XP_037913284.1|HILL
OG0001683	LOC6527715|XP_002088799.1|DYAK	LOC119647325|XP_037904184.1|HILL
OG0001684	LOC6523726|XP_002099601.1|DYAK	LOC119660953|XP_037925916.1|HILL
OG0001685	LOC6528930|XP_002089962.1|DYAK	LOC119647007|XP_037903673.1|HILL
OG0001686	LOC6525843|XP_002101663.1|DYAK	LOC119657886|XP_037920953.1|HILL
OG0001687	LOC6523795|XP_002099670.1|DYAK	LOC119658373|XP_037921663.1|HILL
OG0001688	LOC6525494|XP_002101329.1|DYAK	LOC119656875|XP_037919467.1|HILL
OG0001689	LOC6525545|XP_002101380.2|DYAK	LOC119656983|XP_037919646.1|HILL, LOC119658473|XP_037921832.1|HILL, LOC119658329|XP_037921595.1|HILL, LOC119656968|XP_037919621.1|HILL
OG0001690	LOC6533112|XP_002093838.1|DYAK	LOC119648964|XP_037906811.1|HILL
OG0001691	LOC6526893|XP_002087992.1|DYAK	LOC119658271|XP_037921489.1|HILL, LOC119660760|XP_037925454.1|HILL
OG0001692	LOC6535612|XP_039231210.1|DYAK	LOC119652052|XP_037911916.1|HILL
OG0001693	LOC6524597|XP_015045767.1|DYAK	LOC119658052|XP_037921225.1|HILL
OG0001694	LOC6535584|XP_039231295.1|DYAK	LOC119650616|XP_037909427.1|HILL
OG0001695	LOC6531057|XP_002091891.1|DYAK	LOC119657243|XP_037919985.1|HILL
OG0001696	LOC6536493|XP_015047766.1|DYAK	LOC119660622|XP_037925253.1|HILL
OG0001697	LOC6538604|XP_002099126.1|DYAK	LOC119652005|XP_037911863.1|HILL
OG0001698	LOC6526057|XP_039230233.1|DYAK	LOC119658486|XP_037921860.1|HILL
OG0001699	LOC6536526|XP_002097102.1|DYAK	LOC119651502|XP_037911048.1|HILL
OG0001700	LOC6536393|XP_015047728.1|DYAK	LOC119659448|XP_037923460.1|HILL
OG0001701	LOC6537549|XP_002098095.2|DYAK	LOC119656877|XP_037919470.1|HILL
OG0001702	LOC6527938|XP_002089005.1|DYAK	LOC119652737|XP_037912963.1|HILL
OG0001703	LOC6537826|XP_002098367.2|DYAK	LOC119651551|XP_037911111.1|HILL
OG0001704	LOC6537827|XP_002098368.1|DYAK	LOC119651685|XP_037911314.1|HILL
OG0001705	LOC6537994|XP_015048602.1|DYAK	LOC119650660|XP_037909524.1|HILL
OG0001706	LOC6529114|XP_015054172.1|DYAK	LOC119650414|XP_037909135.1|HILL
OG0001707	LOC6537866|XP_039231170.1|DYAK	LOC119655036|XP_037916644.1|HILL
OG0001708	LOC6536998|XP_039232272.1|DYAK	LOC119654721|XP_037916171.1|HILL, LOC119654653|XP_037916069.1|HILL, LOC119654493|XP_037915844.1|HILL
OG0001709	LOC6532954|XP_002093689.1|DYAK	LOC119658818|XP_037922470.1|HILL
OG0001710	LOC6537661|XP_039232835.1|DYAK	LOC119650640|XP_037909490.1|HILL
OG0001711	LOC6537742|XP_015048478.1|DYAK	LOC119658449|XP_037921781.1|HILL
OG0001712	LOC6538797|XP_002099310.1|DYAK	LOC119656973|XP_037919631.1|HILL
OG0001713	LOC6536624|XP_002097196.1|DYAK	LOC119658767|XP_037922392.1|HILL
OG0001714	LOC6535367|XP_039232025.1|DYAK	LOC119660448|XP_037924929.1|HILL
OG0001715	LOC6525596|XP_002101431.2|DYAK	LOC119651565|XP_037911127.1|HILL
OG0001716	LOC6525347|XP_002101183.1|DYAK	LOC119652970|XP_037913302.1|HILL
OG0001717	LOC6537970|XP_002098507.2|DYAK	LOC119651035|XP_037910280.1|HILL
OG0001718	LOC6537784|XP_039232755.1|DYAK	LOC119650787|XP_037909830.1|HILL
OG0001719	LOC6537872|XP_039231044.1|DYAK	LOC119656637|XP_037919005.1|HILL
OG0001720	LOC6536555|XP_039232796.1|DYAK	LOC119650761|XP_037909780.1|HILL
OG0001721	LOC6536187|XP_002096778.1|DYAK	LOC119652390|XP_037912419.1|HILL
OG0001722	LOC6539549|XP_015045106.2|DYAK	LOC119648853|XP_037906658.1|HILL, LOC119649076|XP_037906998.1|HILL, LOC119650269|XP_037908820.1|HILL
OG0001723	LOC6529108|XP_002090121.1|DYAK	LOC119659078|XP_037922919.1|HILL, LOC119660005|XP_037924311.1|HILL, LOC119649821|XP_037908084.1|HILL
OG0001724	LOC6530621|XP_039228677.1|DYAK	LOC119647260|XP_037904068.1|HILL
OG0001725	LOC6528870|XP_015054095.1|DYAK	LOC119658869|XP_037922558.1|HILL
OG0001726	LOC6534724|XP_002095399.1|DYAK	LOC119650313|XP_037908896.1|HILL
OG0001727	LOC6537769|XP_002098310.1|DYAK	LOC119652567|XP_037912708.1|HILL
