Orthogroup	DYAK.longest_only	AEAL.longest_only
OG0001611	LOC6530314|XP_002091241.1|DYAK	LOC115258142|XP_029714046.1|AEAL, LOC109420908|XP_019550933.1|AEAL, LOC115257979|XP_029713809.1|AEAL, LOC109412694|XP_029714041.1|AEAL
OG0001612	LOC6527682|XP_002088768.1|DYAK	LOC109428206|XP_019559821.2|AEAL, LOC109417730|XP_029709162.1|AEAL
OG0001613	LOC6528050|XP_002089117.1|DYAK	LOC109417765|XP_019547453.1|AEAL, LOC109420005|XP_019549839.2|AEAL
OG0001614	LOC6528678|XP_039227172.1|DYAK	LOC115255480|XP_029709465.1|AEAL, LOC115255482|XP_029709468.1|AEAL, LOC109419396|XP_029709464.1|AEAL, LOC115255255|XP_029709061.1|AEAL, LOC109419402|XP_029709066.1|AEAL, LOC115255253|XP_029709059.1|AEAL
OG0001615	LOC6539079|XP_015045325.1|DYAK	LOC109420624|XP_019550528.2|AEAL
OG0001616	LOC6527331|XP_002088423.1|DYAK	LOC109423882|XP_029727241.1|AEAL, LOC109404803|XP_029727277.1|AEAL
OG0001617	LOC6529759|XP_002090749.1|DYAK	LOC109421516|XP_019551572.2|AEAL
OG0001618	LOC6528024|XP_002089091.2|DYAK	LOC109421337|XP_029726923.1|AEAL, LOC109432435|XP_029727064.1|AEAL, LOC115261817|XP_029719569.1|AEAL, LOC109405709|XP_029719580.1|AEAL
OG0001619	LOC6527820|XP_002088893.1|DYAK	LOC115264711|XP_029724582.1|AEAL, LOC109621384|XP_029732568.1|AEAL, LOC115268607|XP_029732592.1|AEAL
OG0001620	LOC6531896|XP_002092683.1|DYAK	LOC109402269|XP_019530468.1|AEAL
OG0001621	LOC6531487|XP_002092286.1|DYAK	LOC109415860|XP_019545354.2|AEAL
OG0001622	LOC6525238|XP_002101076.1|DYAK	LOC109416800|XP_029720044.1|AEAL, LOC109419134|XP_029722942.1|AEAL, LOC115263283|XP_029722278.1|AEAL
OG0001623	LOC6526313|XP_002087435.1|DYAK	LOC109429702|XP_029720029.1|AEAL, LOC109407011|XP_019535571.2|AEAL
OG0001624	LOC6527084|XP_002088177.1|DYAK	LOC109408550|XP_019537419.2|AEAL, LOC109429595|XP_019561130.2|AEAL
OG0001625	LOC6529202|XP_002090209.1|DYAK	LOC109408551|XP_019537420.2|AEAL, LOC109429586|XP_019561119.2|AEAL
OG0001626	LOC6527645|XP_002088733.1|DYAK	LOC109428105|XP_019559338.1|AEAL, LOC109418325|XP_029720111.1|AEAL
OG0001627	LOC6537213|XP_015048201.1|DYAK	LOC109411342|XP_019540417.2|AEAL, LOC109415390|XP_019544798.2|AEAL, LOC109418337|XP_019548070.2|AEAL, LOC109427307|XP_029721198.1|AEAL
OG0001628	LOC6538398|XP_002098922.1|DYAK	LOC109427034|XP_019558124.2|AEAL, LOC109411383|XP_029726981.1|AEAL
OG0001630	LOC6538758|XP_002099272.1|DYAK	LOC109405034|XP_029734032.1|AEAL, LOC109405037|XP_029734327.1|AEAL, LOC109622043|XP_029712020.1|AEAL
OG0001631	LOC6535307|XP_039232763.1|DYAK	LOC109416443|XP_029734365.1|AEAL, LOC109621281|XP_029734362.1|AEAL
OG0001632	LOC6527916|XP_002088984.1|DYAK	LOC109422711|XP_019553122.1|AEAL, LOC109412318|XP_029727895.1|AEAL
OG0001633	LOC6537432|XP_002097988.1|DYAK	LOC115271096|XP_029736444.1|AEAL, LOC109422628|XP_029725209.1|AEAL, LOC109402823|XP_019531094.1|AEAL
OG0001635	LOC6538443|XP_002098967.2|DYAK	LOC109429217|XP_029716819.1|AEAL, LOC115261363|XP_029718747.1|AEAL, LOC109429221|XP_029719377.1|AEAL
OG0001636	LOC6536089|XP_002096698.2|DYAK	LOC109398901|XP_019526899.2|AEAL, LOC109429212|XP_029718656.1|AEAL
OG0001637	LOC6536346|XP_002096928.1|DYAK	LOC115258189|XP_029714117.1|AEAL, LOC109426630|XP_019557707.2|AEAL, LOC115258187|XP_029714113.1|AEAL, LOC109426656|XP_029718993.1|AEAL
OG0001638	LOC6524418|XP_002100276.1|DYAK	LOC109411634|XP_019540740.2|AEAL
OG0001639	LOC6529090|XP_039226490.1|DYAK	LOC109404490|XP_029719136.1|AEAL, LOC109406321|XP_029719042.1|AEAL
OG0001640	LOC6536103|XP_002096711.1|DYAK	LOC109419435|XP_019549229.1|AEAL, LOC109403478|XP_019531851.1|AEAL
OG0001641	LOC6537385|XP_002097941.1|DYAK	LOC109426306|XP_019557308.2|AEAL, LOC109411963|XP_019541167.1|AEAL
OG0001642	LOC6525351|XP_002101187.1|DYAK	LOC109424536|XP_029733403.1|AEAL, LOC115269399|XP_029733935.1|AEAL, LOC115255853|XP_029709901.1|AEAL, LOC115255851|XP_029709900.1|AEAL
OG0001643	LOC6526889|XP_002087989.1|DYAK	LOC109418776|XP_029715744.1|AEAL, LOC115259341|XP_029715733.1|AEAL, LOC109415836|XP_029713232.1|AEAL, LOC115259353|XP_029715752.1|AEAL
OG0001644	LOC6534003|XP_015050362.1|DYAK	LOC109418709|XP_019548494.2|AEAL
OG0001645	LOC6530523|XP_002091438.1|DYAK	LOC115257624|XP_029713305.1|AEAL, LOC109413080|XP_029713148.1|AEAL
OG0001646	LOC6531686|XP_015051484.1|DYAK	LOC109413573|XP_029720859.1|AEAL, LOC109401280|XP_029721578.1|AEAL
OG0001647	LOC6528407|XP_039227465.1|DYAK	LOC109401223|XP_029721390.1|AEAL, LOC115262726|XP_029721280.1|AEAL, LOC109413596|XP_029720595.1|AEAL
OG0001648	LOC6534098|XP_015050438.1|DYAK	LOC115262670|XP_029721133.1|AEAL, LOC109427045|XP_029717126.1|AEAL, LOC115262680|XP_029721145.1|AEAL, LOC109623356|XP_029721134.1|AEAL
OG0001649	LOC6530361|XP_002091287.1|DYAK	LOC109397413|XP_019525279.2|AEAL, LOC109412767|XP_029721046.1|AEAL
OG0001650	LOC6530966|XP_039227795.1|DYAK	LOC109432676|XP_029730723.1|AEAL, LOC109408777|XP_029730726.1|AEAL
OG0001651	LOC6531317|XP_015051240.1|DYAK	LOC109408787|XP_029730840.1|AEAL, LOC109428969|XP_029730823.1|AEAL, LOC109428971|XP_029731974.1|AEAL, LOC109408718|XP_029730821.1|AEAL
OG0001652	LOC6534276|XP_002094957.2|DYAK	LOC109399621|XP_029731140.1|AEAL
OG0001653	LOC6534596|XP_002095272.1|DYAK	LOC109399660|XP_029708106.1|AEAL, LOC115255827|XP_029709875.1|AEAL, LOC109400976|XP_029731220.1|AEAL
OG0001654	LOC6531253|XP_002092062.1|DYAK	LOC109403945|NP_001339903.1|AEAL
OG0001655	LOC6528780|XP_002089814.2|DYAK	LOC109410731|XP_029731604.1|AEAL, LOC115269255|XP_029733667.1|AEAL
OG0001656	LOC6526630|XP_002087738.1|DYAK	LOC109621465|XP_019931052.2|AEAL
OG0001657	LOC6534480|XP_002095157.2|DYAK	LOC109426045|XP_019557030.2|AEAL
OG0001658	LOC6533792|XP_002094493.1|DYAK	LOC109426019|XP_019556991.2|AEAL, LOC115268031|XP_029731791.1|AEAL
OG0001659	LOC6534024|XP_002094711.1|DYAK	LOC109407562|XP_019536180.2|AEAL
OG0001660	LOC6532397|XP_002093148.1|DYAK	LOC109431466|XP_029717923.1|AEAL, LOC109427676|XP_029717854.1|AEAL, LOC115258122|XP_029714022.1|AEAL, LOC115269338|XP_029733852.1|AEAL
OG0001661	LOC6536562|XP_002097138.1|DYAK	LOC109414514|XP_029728551.1|AEAL, LOC109404880|XP_019533381.2|AEAL
OG0001662	LOC6532763|XP_002093505.1|DYAK	LOC109417990|XP_019547687.2|AEAL, LOC115268496|XP_029732380.1|AEAL
OG0001678	LOC6525684|XP_002101506.2|DYAK	LOC109408922|XP_029711596.1|AEAL, LOC115260205|XP_029716994.1|AEAL, LOC109433615|XP_029711083.1|AEAL, LOC115260185|XP_029716963.1|AEAL, LOC115260194|XP_029716969.1|AEAL
OG0001679	LOC6525501|XP_002101336.1|DYAK	LOC109415212|XP_019544646.2|AEAL, LOC109415214|XP_019544647.2|AEAL, LOC109428378|XP_019559646.2|AEAL, LOC109428377|XP_029710925.1|AEAL
OG0001680	LOC6525411|XP_039228835.1|DYAK	LOC115260966|XP_029718195.1|AEAL, LOC109428517|XP_019559858.1|AEAL, LOC109430094|XP_019561673.2|AEAL
OG0001681	LOC6525938|XP_002101758.1|DYAK	LOC109416811|XP_019546423.2|AEAL, LOC109415352|XP_029729162.1|AEAL, LOC109423618|XP_019554140.2|AEAL
OG0001682	LOC6525746|XP_015046472.1|DYAK	LOC115256469|XP_029710974.1|AEAL
OG0001683	LOC6527715|XP_002088799.1|DYAK	LOC109416114|XP_019545626.2|AEAL, LOC109621808|XP_019931510.1|AEAL
OG0001684	LOC6523726|XP_002099601.1|DYAK	LOC115256343|XP_029710528.1|AEAL, LOC109427539|XP_019558649.2|AEAL, LOC115256960|XP_029712031.1|AEAL, LOC115256954|XP_029712019.1|AEAL
OG0001685	LOC6528930|XP_002089962.1|DYAK	LOC109428224|XP_019559478.2|AEAL, LOC109430130|XP_019561706.2|AEAL
OG0001686	LOC6525843|XP_002101663.1|DYAK	LOC109427429|XP_019558530.2|AEAL
OG0001687	LOC6523795|XP_002099670.1|DYAK	LOC109427351|XP_019558428.2|AEAL, LOC109402090|XP_029710935.1|AEAL, LOC109427352|XP_029711143.1|AEAL, LOC109402065|XP_019530209.2|AEAL
OG0001688	LOC6525494|XP_002101329.1|DYAK	LOC109404901|XP_019533400.2|AEAL, LOC115256592|XP_029711257.1|AEAL
OG0001689	LOC6525545|XP_002101380.2|DYAK	LOC115256509|XP_029711047.1|AEAL, LOC109398406|XP_029711250.1|AEAL, LOC109404898|XP_029711253.1|AEAL
OG0001690	LOC6533112|XP_002093838.1|DYAK	LOC109433013|XP_019564943.1|AEAL, LOC109397732|XP_019525596.2|AEAL, LOC115258376|XP_029714318.1|AEAL
OG0001691	LOC6526893|XP_002087992.1|DYAK	LOC109397684|XP_029734176.1|AEAL, LOC115269517|XP_029734165.1|AEAL, LOC109432956|XP_029734174.1|AEAL
OG0001692	LOC6535612|XP_039231210.1|DYAK	LOC115267234|XP_029730007.1|AEAL, LOC109397612|XP_029730006.1|AEAL
OG0001694	LOC6535584|XP_039231295.1|DYAK	LOC109432366|XP_029715793.1|AEAL, LOC109423030|XP_029708364.1|AEAL, LOC109423073|XP_029717735.1|AEAL
OG0001695	LOC6531057|XP_002091891.1|DYAK	LOC109427735|XP_019558869.2|AEAL, LOC109431389|XP_019563152.2|AEAL
OG0001696	LOC6536493|XP_015047766.1|DYAK	LOC115266521|XP_029728639.1|AEAL, LOC109405943|XP_029729111.1|AEAL
OG0001697	LOC6538604|XP_002099126.1|DYAK	LOC115269276|XP_029733709.1|AEAL, LOC109430914|XP_019562567.1|AEAL
OG0001698	LOC6526057|XP_039230233.1|DYAK	LOC109431484|XP_019563244.1|AEAL
OG0001699	LOC6536526|XP_002097102.1|DYAK	LOC109405285|XP_029714225.1|AEAL
OG0001700	LOC6536393|XP_015047728.1|DYAK	LOC109405057|XP_029713376.1|AEAL, LOC109622062|XP_029734346.1|AEAL
OG0001701	LOC6537549|XP_002098095.2|DYAK	LOC115256222|XP_029710343.1|AEAL, LOC109422162|XP_029707971.1|AEAL, LOC115257156|XP_029712414.1|AEAL
OG0001702	LOC6527938|XP_002089005.1|DYAK	LOC115258622|XP_029714776.1|AEAL, LOC109419095|XP_019548853.1|AEAL, LOC109409381|XP_019538372.1|AEAL, LOC115266950|XP_029729536.1|AEAL
OG0001703	LOC6537826|XP_002098367.2|DYAK	LOC109397269|XP_019525134.2|AEAL, LOC109423222|XP_029722761.1|AEAL, LOC115263676|XP_029722744.1|AEAL
OG0001704	LOC6537827|XP_002098368.1|DYAK	LOC109397270|XP_029722762.1|AEAL, LOC115263675|XP_029722743.1|AEAL, LOC109423223|XP_029722754.1|AEAL
OG0001705	LOC6537994|XP_015048602.1|DYAK	LOC115268587|XP_029732560.1|AEAL, LOC109397249|XP_029722771.1|AEAL
OG0001706	LOC6529114|XP_015054172.1|DYAK	LOC109430200|XP_029736167.1|AEAL, LOC109423515|XP_029722781.1|AEAL
OG0001707	LOC6537866|XP_039231170.1|DYAK	LOC109423500|XP_029722789.1|AEAL
OG0001708	LOC6536998|XP_039232272.1|DYAK	LOC109400120|XP_019528151.2|AEAL, LOC115254318|XP_029707583.1|AEAL, LOC109621597|XP_019931224.2|AEAL
OG0001709	LOC6532954|XP_002093689.1|DYAK	LOC109621622|XP_019931256.2|AEAL, LOC109400053|XP_019528069.3|AEAL
OG0001710	LOC6537661|XP_039232835.1|DYAK	LOC115255392|XP_029709314.1|AEAL, LOC109622162|XP_029709306.1|AEAL, LOC115257514|XP_029713051.1|AEAL, LOC109429524|XP_019561038.1|AEAL
OG0001711	LOC6537742|XP_015048478.1|DYAK	LOC115269840|XP_029734479.1|AEAL, LOC109400404|XP_029725412.1|AEAL, LOC115270135|XP_029735090.1|AEAL
OG0001712	LOC6538797|XP_002099310.1|DYAK	LOC109399841|XP_029729691.1|AEAL, LOC115267037|XP_029729684.1|AEAL, LOC109425352|XP_029729696.1|AEAL
OG0001713	LOC6536624|XP_002097196.1|DYAK	LOC109398975|XP_029716513.1|AEAL, LOC109425537|XP_029716528.1|AEAL
OG0001714	LOC6535367|XP_039232025.1|DYAK	LOC115259817|XP_029716486.1|AEAL, LOC115259774|XP_029716427.1|AEAL, LOC109399005|XP_029716112.1|AEAL, LOC109622982|XP_029722653.1|AEAL, LOC115259816|XP_029716485.1|AEAL
OG0001715	LOC6525596|XP_002101431.2|DYAK	LOC109401381|XP_019529468.2|AEAL, LOC109400886|XP_019528918.2|AEAL, LOC109429312|XP_019560762.2|AEAL
OG0001716	LOC6525347|XP_002101183.1|DYAK	LOC109623097|XP_019933124.2|AEAL
OG0001717	LOC6537970|XP_002098507.2|DYAK	LOC109423638|XP_029719505.1|AEAL, LOC115264143|XP_029723384.1|AEAL, LOC109398571|XP_029723371.1|AEAL, LOC115264300|XP_029723832.1|AEAL
OG0001718	LOC6537784|XP_039232755.1|DYAK	LOC109400223|XP_029723302.1|AEAL, LOC109423620|XP_029723313.1|AEAL
OG0001719	LOC6537872|XP_039231044.1|DYAK	LOC115268554|XP_029732505.1|AEAL, LOC109403844|XP_029712297.1|AEAL, LOC115253705|XP_029732506.1|AEAL, LOC109406185|XP_029723614.1|AEAL
OG0001720	LOC6536555|XP_039232796.1|DYAK	LOC109403863|XP_029723621.1|AEAL
OG0001721	LOC6536187|XP_002096778.1|DYAK	LOC109432040|XP_019563886.2|AEAL, LOC109403994|XP_019532403.2|AEAL
OG0001722	LOC6539549|XP_015045106.2|DYAK	LOC109411467|XP_019540538.2|AEAL
OG0001723	LOC6529108|XP_002090121.1|DYAK	LOC109423371|XP_019553902.2|AEAL
OG0001724	LOC6530621|XP_039228677.1|DYAK	LOC109423344|XP_019553835.2|AEAL
OG0001725	LOC6528870|XP_015054095.1|DYAK	LOC109423326|XP_019553810.2|AEAL
OG0001726	LOC6534724|XP_002095399.1|DYAK	LOC115263509|XP_029722609.1|AEAL, LOC109623123|XP_019933165.2|AEAL, LOC115259617|XP_029716230.1|AEAL
OG0001727	LOC6537769|XP_002098310.1|DYAK	LOC109418030|XP_029726633.1|AEAL, LOC109414815|XP_029711984.1|AEAL
OG0001728	LOC6530222|XP_002091159.1|DYAK	LOC109418082|XP_019547801.2|AEAL
OG0001729	LOC6532157|XP_039228994.1|DYAK	LOC109406436|XP_019535077.2|AEAL
OG0001730	LOC6527343|XP_002088435.1|DYAK	LOC109398257|XP_029709830.1|AEAL, LOC109419706|XP_029733514.1|AEAL
OG0001732	LOC6527125|XP_002088219.1|DYAK	LOC115265142|XP_029725250.1|AEAL, LOC115260848|XP_029718029.1|AEAL
OG0001733	LOC6530654|XP_002091552.1|DYAK	LOC109406414|XP_019535051.2|AEAL, LOC109417272|XP_019546928.2|AEAL, LOC109406420|XP_019535057.2|AEAL, LOC109417267|XP_019546925.1|AEAL
OG0001734	LOC6528690|XP_002089732.1|DYAK	LOC109417266|XP_019546923.2|AEAL, LOC109406424|XP_029725718.1|AEAL
OG0001735	LOC6534649|XP_002095324.2|DYAK	LOC109426951|XP_029729883.1|AEAL
OG0001736	LOC6531026|XP_002091863.1|DYAK	LOC109417854|XP_029727478.1|AEAL, LOC109426815|XP_029725428.1|AEAL
OG0001737	LOC6531873|XP_002092660.2|DYAK	LOC109417983|XP_029732525.1|AEAL
OG0001738	LOC6534349|XP_002095028.1|DYAK	LOC109413863|XP_019543137.2|AEAL, LOC109407926|XP_019536665.2|AEAL
OG0001739	LOC26536353|XP_015045318.1|DYAK	LOC115270141|XP_029735105.1|AEAL, LOC109407969|XP_019536717.1|AEAL
OG0001740	LOC6531814|XP_002092601.1|DYAK	LOC109407984|XP_019536737.2|AEAL, LOC109403641|XP_029735149.1|AEAL
OG0001742	LOC6528872|XP_002089904.1|DYAK	LOC109408011|XP_019536770.2|AEAL, LOC115270157|XP_029735218.1|AEAL
OG0001743	LOC6532441|XP_002093188.1|DYAK	LOC109408012|XP_029735215.1|AEAL, LOC115270145|XP_029735139.1|AEAL
OG0001744	LOC6528316|XP_039226740.1|DYAK	LOC109403225|XP_019531539.2|AEAL
OG0001745	LOC6531327|XP_039228422.1|DYAK	LOC115269982|XP_029734711.1|AEAL, LOC115269628|XP_029734317.1|AEAL, LOC109415821|XP_029725134.1|AEAL, LOC115269663|XP_029734359.1|AEAL
OG0001746	LOC6533610|XP_002094318.1|DYAK	LOC109622618|XP_029722484.1|AEAL, LOC115263321|XP_029722449.1|AEAL
OG0001747	LOC6531184|XP_039228291.1|DYAK	LOC115263306|XP_029722406.1|AEAL, LOC115263315|XP_029722426.1|AEAL, LOC115263307|XP_029722415.1|AEAL, LOC109406167|XP_029722390.1|AEAL
OG0001748	LOC6532644|XP_002093388.2|DYAK	LOC115263139|XP_029721924.1|AEAL, LOC109416559|XP_029722287.1|AEAL, LOC109407443|XP_029721914.1|AEAL
OG0001749	LOC6532075|XP_002092852.1|DYAK	LOC115267516|XP_029730466.1|AEAL, LOC115259278|XP_029715669.1|AEAL, LOC109430859|XP_019562497.1|AEAL, LOC115254031|XP_029715655.1|AEAL
OG0001750	LOC6532073|XP_002092850.1|DYAK	LOC109431670|XP_029714127.1|AEAL, LOC109430934|XP_029715653.1|AEAL, LOC115267494|XP_029730374.1|AEAL, LOC115261705|XP_029719449.1|AEAL
OG0001751	LOC6534338|XP_015050580.1|DYAK	LOC109398021|XP_029719547.1|AEAL, LOC109431649|XP_029730426.1|AEAL, LOC115253837|XP_029730354.1|AEAL
OG0001752	LOC6533128|XP_002093854.1|DYAK	LOC115259196|XP_029715568.1|AEAL, LOC109426412|XP_029730583.1|AEAL, LOC115267605|XP_029730587.1|AEAL
OG0001753	LOC6532831|XP_015049628.2|DYAK	LOC109398064|XP_019525972.2|AEAL, LOC109426354|XP_019557363.2|AEAL, LOC109426344|XP_019557351.2|AEAL, LOC115259177|XP_029715548.1|AEAL
OG0001754	LOC6530076|XP_015052583.2|DYAK	LOC109420811|XP_019550803.2|AEAL, LOC109412508|XP_029713847.1|AEAL, LOC115253592|XP_029735878.1|AEAL
OG0001755	LOC6532841|XP_015049649.1|DYAK	LOC115266750|XP_029729153.1|AEAL, LOC109412528|XP_029735891.1|AEAL
OG0001756	LOC6531481|XP_002092280.1|DYAK	LOC115266752|XP_029729169.1|AEAL, LOC109412544|XP_019541723.1|AEAL
OG0001757	LOC6531086|XP_002091920.1|DYAK	LOC115270222|XP_029735342.1|AEAL, LOC109430681|XP_019562305.1|AEAL, LOC115270241|XP_029735368.1|AEAL, LOC115270217|XP_029735336.1|AEAL
OG0001758	LOC6534033|XP_015050384.1|DYAK	LOC115270253|XP_029735380.1|AEAL, LOC109430620|XP_029735375.1|AEAL, LOC109423842|XP_029735350.1|AEAL
OG0001759	LOC6531651|XP_002092448.3|DYAK	LOC109430608|XP_019562217.1|AEAL, LOC115270273|XP_029735411.1|AEAL, LOC109423798|XP_019554375.1|AEAL, LOC115270266|XP_029735396.1|AEAL
OG0001760	LOC6528723|XP_002089758.1|DYAK	LOC109414249|XP_019543608.2|AEAL, LOC115269758|XP_029734442.1|AEAL
OG0001761	LOC6530656|XP_002091554.2|DYAK	LOC109423726|XP_019554260.1|AEAL
OG0001762	LOC6527046|XP_015053579.1|DYAK	LOC109418268|XP_029720593.1|AEAL, LOC109428047|XP_029720530.1|AEAL
OG0001763	LOC6527020|XP_002088115.2|DYAK	LOC109411550|XP_019540631.1|AEAL
OG0001764	LOC6537029|XP_002097596.2|DYAK	LOC109622266|XP_019932082.1|AEAL, LOC115253494|XP_029728278.1|AEAL, LOC109414458|XP_019543834.1|AEAL
OG0001765	LOC6528766|XP_039227560.1|DYAK	LOC109621325|XP_029728293.1|AEAL, LOC115266290|XP_029728123.1|AEAL, LOC109414440|XP_029728122.1|AEAL, LOC115266301|XP_029728142.1|AEAL
OG0001766	LOC6527761|XP_015053795.1|DYAK	LOC115269611|XP_029734294.1|AEAL, LOC109427871|XP_029715586.1|AEAL, LOC109428179|XP_029715335.1|AEAL
OG0001767	LOC6526693|XP_002087797.2|DYAK	LOC109622889|XP_029714476.1|AEAL, LOC115258507|XP_029714492.1|AEAL, LOC115258528|XP_029714524.1|AEAL
OG0001768	LOC6526304|XP_002087426.1|DYAK	LOC109412010|XP_029720125.1|AEAL, LOC115257759|XP_029713561.1|AEAL, LOC109407908|XP_019536638.1|AEAL, LOC115254092|XP_029720687.1|AEAL
OG0001769	LOC6528096|XP_002089163.1|DYAK	LOC109400999|XP_029713222.1|AEAL, LOC109408306|XP_029713744.1|AEAL
OG0001770	LOC6527199|XP_002088293.1|DYAK	LOC109433152|XP_029711023.1|AEAL
OG0001771	LOC6526731|XP_002087834.1|DYAK	LOC109433086|XP_019565021.2|AEAL, LOC109420252|XP_029710396.1|AEAL
OG0001772	LOC6528015|XP_002089082.1|DYAK	LOC109420799|XP_029724985.1|AEAL, LOC109621992|XP_019931749.1|AEAL
OG0001774	LOC120322342|XP_039233324.1|DYAK, LOC6532112|XP_002092888.2|DYAK	LOC109429413|XP_029724799.1|AEAL
OG0001776	LOC6527078|XP_002088171.1|DYAK	LOC109419091|XP_029714808.1|AEAL, LOC115253815|XP_029725156.1|AEAL, LOC109409366|XP_029729394.1|AEAL
OG0001777	LOC6526949|XP_002088045.1|DYAK	LOC109409271|XP_029715220.1|AEAL
OG0001778	LOC6528924|XP_002089956.1|DYAK	LOC109429671|XP_029719856.1|AEAL, LOC109406524|XP_029720008.1|AEAL
OG0001779	LOC6527958|XP_039226979.1|DYAK	LOC109418248|XP_029714609.1|AEAL
OG0001780	LOC6529106|XP_002090119.1|DYAK	LOC115258855|XP_029715146.1|AEAL, LOC115258860|XP_029715153.1|AEAL, LOC115258473|XP_029714449.1|AEAL, LOC109398732|XP_029714927.1|AEAL
OG0001781	LOC6529789|XP_039229228.1|DYAK	LOC109414315|XP_029714682.1|AEAL, LOC115258599|XP_029714740.1|AEAL, LOC109407247|XP_029714758.1|AEAL
OG0001782	LOC6527519|XP_015053705.1|DYAK	LOC115258569|XP_029714614.1|AEAL, LOC109414353|XP_029715171.1|AEAL, LOC109424187|XP_029712157.1|AEAL, LOC115258463|XP_029714436.1|AEAL
OG0001783	LOC6527800|XP_002088873.1|DYAK	LOC115258718|XP_029714930.1|AEAL, LOC109428988|XP_029724683.1|AEAL, LOC109421033|XP_029714987.1|AEAL
OG0001784	LOC6526434|XP_002087553.1|DYAK	LOC115253792|XP_029715261.1|AEAL, LOC115258710|XP_029714925.1|AEAL, LOC109410184|XP_029715263.1|AEAL, LOC109416535|XP_019546158.2|AEAL
OG0001785	LOC6528775|XP_002089809.1|DYAK	LOC109410228|XP_029729143.1|AEAL, LOC115266835|XP_029729293.1|AEAL
OG0001786	LOC6526971|XP_002088067.1|DYAK	LOC109417548|XP_029729294.1|AEAL, LOC109410231|XP_019539306.2|AEAL
OG0001787	LOC6526969|XP_002088065.2|DYAK	LOC109410234|XP_029709394.1|AEAL, LOC109417633|XP_029709391.1|AEAL
OG0001788	LOC6529898|XP_002090855.1|DYAK	LOC115265624|XP_029727346.1|AEAL, LOC115265639|XP_029727372.1|AEAL, LOC109431001|XP_029727342.1|AEAL
OG0001789	LOC6531765|XP_002092552.1|DYAK	LOC109421604|XP_029727121.1|AEAL, LOC115265852|XP_029727656.1|AEAL
OG0001790	LOC6526953|XP_002088049.1|DYAK	LOC109409179|XP_019538145.2|AEAL
OG0001791	LOC6530270|XP_039229130.1|DYAK	LOC109409116|XP_029727071.1|AEAL
OG0001792	LOC6529618|XP_015052092.1|DYAK	LOC109402239|XP_029720061.1|AEAL, LOC109415858|XP_029717963.1|AEAL
OG0001793	LOC6530368|XP_015052658.1|DYAK	LOC115262335|XP_029720594.1|AEAL, LOC115267562|XP_029730502.1|AEAL, LOC115267560|XP_029730500.1|AEAL, LOC109402335|XP_029720054.1|AEAL
OG0001794	LOC6528923|XP_002089955.1|DYAK	LOC115254172|XP_029728604.1|AEAL, LOC109429544|XP_019561065.2|AEAL
OG0001795	LOC6529544|XP_015052105.1|DYAK	LOC109411726|XP_029720217.1|AEAL
OG0001797	LOC6523713|XP_039233042.1|DYAK	LOC115268734|XP_029732737.1|AEAL, LOC109428007|XP_029707546.1|AEAL, LOC115262291|XP_029720549.1|AEAL
OG0001798	LOC6531641|XP_002092438.1|DYAK	LOC115262178|XP_029720357.1|AEAL, LOC109426199|XP_019557185.1|AEAL, LOC115254084|XP_029719437.1|AEAL
OG0001799	LOC6526142|XP_002101956.2|DYAK	LOC109419237|XP_029723470.1|AEAL
OG0001800	LOC6526943|XP_002088041.2|DYAK	LOC115264219|XP_029723586.1|AEAL, LOC109419246|XP_029713949.1|AEAL
OG0001801	LOC6532511|XP_002093257.2|DYAK	LOC109415471|XP_019544893.2|AEAL, LOC109429474|XP_029724124.1|AEAL
OG0001802	LOC6536248|XP_002096834.1|DYAK	LOC109401497|XP_019529619.2|AEAL, LOC109410425|XP_019539525.2|AEAL
OG0001803	LOC6535965|XP_039231787.1|DYAK	LOC109427011|XP_029728214.1|AEAL
OG0001804	LOC6537472|XP_002098028.2|DYAK	LOC109411686|XP_029729400.1|AEAL
OG0001805	LOC6532739|XP_002093481.1|DYAK	LOC115269163|XP_029733431.1|AEAL, LOC109414666|XP_019544046.2|AEAL, LOC109423403|XP_029733429.1|AEAL, LOC115267953|XP_029731623.1|AEAL
OG0001806	LOC6538699|XP_002099214.1|DYAK	LOC109416297|XP_019545884.2|AEAL
OG0001808	LOC6536643|XP_015047865.1|DYAK	LOC109431862|XP_019563672.2|AEAL, LOC109422736|XP_029727927.1|AEAL
OG0001809	LOC6535310|XP_015047048.2|DYAK	LOC109422636|XP_019553010.2|AEAL, LOC109402776|XP_019531027.2|AEAL
OG0001810	LOC6537850|XP_002098391.1|DYAK	LOC109399628|XP_019527669.2|AEAL, LOC109429105|XP_019560491.2|AEAL
OG0001811	LOC6528522|XP_002089568.3|DYAK	LOC115260364|XP_029717156.1|AEAL, LOC109427250|XP_019558322.2|AEAL, LOC109411618|XP_029718911.1|AEAL
OG0001812	LOC6525188|XP_015046148.1|DYAK	LOC115254045|XP_029717196.1|AEAL, LOC109428126|XP_019559353.1|AEAL, LOC109411665|XP_019540772.1|AEAL
OG0001813	LOC6535695|XP_039231150.1|DYAK	LOC115268965|XP_029733093.1|AEAL, LOC109406249|XP_029733062.1|AEAL, LOC115268966|XP_029733094.1|AEAL
OG0001814	LOC6535998|XP_039231592.1|DYAK	LOC109411927|XP_019541118.2|AEAL, LOC109406265|XP_019534881.2|AEAL
OG0001815	LOC6537498|XP_002098046.1|DYAK	LOC109406734|XP_029733033.1|AEAL
