Orthogroup	DYAK.longest_only	CPIP.longest_only
OG0002265	LOC6533611|XP_002094319.1|DYAK	LOC120432434|XP_039453586.1|CPIP
OG0002266	LOC6534861|XP_015050878.1|DYAK	LOC120418016|XP_039436191.1|CPIP
OG0002267	LOC6532638|XP_002093382.1|DYAK	LOC120418934|XP_039437405.1|CPIP
OG0002268	LOC6539382|XP_002086275.1|DYAK	LOC120418918|XP_039437383.1|CPIP
OG0002269	LOC6531527|XP_002092326.1|DYAK	LOC120414641|XP_039431811.1|CPIP, LOC120420157|XP_039439057.1|CPIP
OG0002270	LOC6531486|XP_039228131.1|DYAK	LOC120427423|XP_039448217.1|CPIP, LOC120428825|XP_039449866.1|CPIP
OG0002271	LOC6532626|XP_015049496.1|DYAK	LOC120416566|XP_039434232.1|CPIP
OG0002272	LOC6532418|XP_002093169.1|DYAK	LOC120430341|XP_039451378.1|CPIP
OG0002273	LOC6534555|XP_039230841.1|DYAK	LOC120424315|XP_039444333.1|CPIP
OG0002274	LOC6535120|XP_039230790.1|DYAK	LOC120424318|XP_039444343.1|CPIP
OG0002275	LOC6534360|XP_002095038.1|DYAK	LOC120414431|XP_039431548.1|CPIP
OG0002276	LOC6532383|XP_002093134.2|DYAK	LOC120417610|XP_039435653.1|CPIP
OG0002277	LOC6532376|XP_015049297.2|DYAK	LOC120426777|XP_039447484.1|CPIP
OG0002278	LOC6533058|XP_039230266.1|DYAK	LOC120413394|XP_039430126.1|CPIP
OG0002279	LOC6532591|XP_002093335.3|DYAK	LOC120413424|XP_039430170.1|CPIP
OG0002280	LOC6534398|XP_002095076.2|DYAK	LOC120413392|XP_039430124.1|CPIP
OG0002281	LOC6534409|XP_002095087.1|DYAK	LOC120420039|XP_039438873.1|CPIP
OG0002282	LOC6532811|XP_039230773.1|DYAK	LOC120425134|XP_039445494.1|CPIP
OG0002283	LOC6531844|XP_002092631.1|DYAK	LOC120423762|XP_039443609.1|CPIP, LOC120423759|XP_039443608.1|CPIP
OG0002284	LOC6528525|XP_002089571.1|DYAK	LOC120423775|XP_039443628.1|CPIP
OG0002285	LOC6525457|XP_039233409.1|DYAK	LOC120420921|XP_039439982.1|CPIP, LOC120420914|XP_039439973.1|CPIP
OG0002286	LOC6531766|XP_002092553.2|DYAK	LOC120412637|XP_039429125.1|CPIP
OG0002287	LOC6531485|XP_002092284.1|DYAK	LOC120431346|XP_039452412.1|CPIP, LOC120427734|XP_039448576.1|CPIP, LOC120425689|XP_039446207.1|CPIP
OG0002288	LOC6532627|XP_015049497.1|DYAK	LOC120427730|XP_039448567.1|CPIP
OG0002289	LOC6532696|XP_002093438.1|DYAK	LOC120415802|XP_039433361.1|CPIP
OG0002290	LOC6527124|XP_002088217.1|DYAK	LOC120426546|XP_039447250.1|CPIP, LOC120426350|XP_039447046.1|CPIP
OG0002291	LOC6528429|XP_002089475.2|DYAK	LOC120417473|XP_039435481.1|CPIP
OG0002292	LOC6528334|XP_015054423.1|DYAK	LOC120429716|XP_039450692.1|CPIP
OG0002293	LOC6539197|XP_002086098.3|DYAK	LOC120421396|XP_039440531.1|CPIP
OG0002294	LOC6536195|XP_002096786.1|DYAK	LOC120431185|XP_039452261.1|CPIP
OG0002296	LOC6527870|XP_015052994.1|DYAK	LOC120431809|XP_039452861.1|CPIP
OG0002297	LOC6537220|XP_002097778.2|DYAK	LOC120428723|XP_039449730.1|CPIP
OG0002298	LOC6531973|XP_002092759.1|DYAK	LOC120425452|XP_039445918.1|CPIP
OG0002299	LOC6529341|XP_002090346.1|DYAK	LOC120425451|XP_039445917.1|CPIP
OG0002300	LOC6528129|XP_015053883.1|DYAK	LOC120422193|XP_039441508.1|CPIP
OG0002301	LOC6529207|XP_015052250.1|DYAK	LOC120414667|XP_039431876.1|CPIP
OG0002302	LOC6529200|XP_039229243.1|DYAK	LOC120426537|XP_039447237.1|CPIP, LOC120426346|XP_039447041.1|CPIP
OG0002303	LOC6523820|XP_002099695.1|DYAK	LOC120417163|XP_039435078.1|CPIP
OG0002304	LOC6528277|XP_002089330.1|DYAK	LOC120422787|XP_039442259.1|CPIP
OG0002305	LOC6534792|XP_002095464.1|DYAK	LOC120428091|XP_039449009.1|CPIP
OG0002306	LOC6527736|XP_002088819.1|DYAK	LOC120425855|XP_039446412.1|CPIP
OG0002307	LOC6526464|XP_039227768.1|DYAK	LOC120428131|XP_039449048.1|CPIP
OG0002308	LOC6527872|XP_002088944.1|DYAK	LOC120413536|XP_039430344.1|CPIP
OG0002309	LOC6528161|XP_015054450.1|DYAK	LOC120413609|XP_039430447.1|CPIP
OG0002310	LOC6529232|XP_002090238.1|DYAK	LOC120413615|XP_039430454.1|CPIP
OG0002311	LOC6529747|XP_039229294.1|DYAK	LOC120416326|XP_039433984.1|CPIP
OG0002312	LOC6527489|XP_039226509.1|DYAK	LOC120424906|XP_039445132.1|CPIP
OG0002313	LOC6530404|XP_015051950.1|DYAK	LOC120413117|XP_039429760.1|CPIP
OG0002314	LOC6528614|XP_002089657.1|DYAK	LOC120413143|XP_039429785.1|CPIP
OG0002315	LOC6530204|XP_002091142.1|DYAK	LOC120413127|XP_039429766.1|CPIP, LOC120431577|XP_039452623.1|CPIP
OG0002316	LOC6527226|XP_002088320.1|DYAK	LOC120416329|XP_039433993.1|CPIP
OG0002317	LOC6534172|XP_015050490.1|DYAK	LOC120413106|XP_039429746.1|CPIP
OG0002318	LOC6529609|XP_002090603.1|DYAK	LOC120431698|XP_039452747.1|CPIP, LOC120424106|XP_039444050.1|CPIP
OG0002319	LOC6527464|XP_002088555.1|DYAK	LOC120428535|XP_039449501.1|CPIP
OG0002320	LOC6530716|XP_002091607.1|DYAK	LOC120418944|XP_039437416.1|CPIP
OG0002321	LOC6530164|XP_002091106.2|DYAK	LOC120414767|XP_039432014.1|CPIP
OG0002322	LOC6529217|XP_002090224.1|DYAK	LOC120428054|XP_039448951.1|CPIP
OG0002323	LOC6529246|XP_002090252.1|DYAK	LOC120424360|XP_039444389.1|CPIP
OG0002324	LOC6534914|XP_015050925.1|DYAK	LOC120420799|XP_039439851.1|CPIP
OG0002325	LOC6533644|XP_015050198.1|DYAK	LOC120420805|XP_039439860.1|CPIP
OG0002326	LOC6533645|XP_015050200.1|DYAK	LOC120420810|XP_039439865.1|CPIP
OG0002327	LOC26534581|XP_015047853.1|DYAK	LOC120420797|XP_039439843.1|CPIP
OG0002328	LOC6529777|XP_002090761.1|DYAK	LOC120426846|XP_039447568.1|CPIP
OG0002329	LOC6526387|XP_002087506.1|DYAK	LOC120420602|XP_039439614.1|CPIP
OG0002330	LOC6526389|XP_002087508.1|DYAK	LOC120420151|XP_039439051.1|CPIP
OG0002331	LOC6525854|XP_002101674.1|DYAK	LOC120420046|XP_039438891.1|CPIP
OG0002332	LOC6533454|XP_002094165.1|DYAK	LOC120428257|XP_039449185.1|CPIP
OG0002333	LOC6532131|XP_002092907.2|DYAK	LOC120431110|XP_039452197.1|CPIP
OG0002334	LOC6528109|XP_002089176.1|DYAK	LOC120428324|XP_039449255.1|CPIP
OG0002335	LOC6528669|XP_002089711.2|DYAK	LOC120425202|XP_039445567.1|CPIP, LOC120418964|XP_039437443.1|CPIP
OG0002336	LOC6534992|XP_002095662.2|DYAK	LOC120423645|XP_039443452.1|CPIP
OG0002337	LOC6528772|XP_002089806.2|DYAK	LOC120423129|XP_039442742.1|CPIP
OG0002338	LOC6526970|XP_002088066.1|DYAK	LOC120420900|XP_039439956.1|CPIP
OG0002339	LOC6526683|XP_015053293.1|DYAK	LOC120419774|XP_039438542.1|CPIP, LOC120415198|XP_039432590.1|CPIP
OG0002340	LOC6527323|XP_015053657.1|DYAK	LOC120424350|XP_039444376.1|CPIP
OG0002341	LOC6528856|XP_002089888.1|DYAK	LOC120421110|XP_039440203.1|CPIP
OG0002342	LOC6527582|XP_039226729.1|DYAK	LOC120421117|XP_039440211.1|CPIP
OG0002343	LOC6527598|XP_002088686.2|DYAK	LOC120415454|XP_039432933.1|CPIP
OG0002344	LOC6539147|XP_039227262.1|DYAK	LOC120415489|XP_039432990.1|CPIP
OG0002345	LOC6528500|XP_002089546.1|DYAK	LOC120415995|XP_039433582.1|CPIP
OG0002346	LOC6527000|XP_015053563.1|DYAK	LOC120416779|XP_039434578.1|CPIP
OG0002347	LOC6530177|XP_039229348.1|DYAK	LOC120416776|XP_039434575.1|CPIP
OG0002348	LOC6527695|XP_002088779.1|DYAK	LOC120416069|XP_039433671.1|CPIP
OG0002349	LOC26536309|XP_015054727.1|DYAK	LOC120426128|XP_039446764.1|CPIP, LOC120427962|XP_039448851.1|CPIP
OG0002350	LOC6528499|XP_002089545.1|DYAK	LOC120427961|XP_039448850.1|CPIP, LOC120426127|XP_039446763.1|CPIP
OG0002351	LOC6530119|XP_002091065.1|DYAK	LOC120419854|XP_039438625.1|CPIP
OG0002352	LOC6530036|XP_002090982.1|DYAK	LOC120427335|XP_039448120.1|CPIP
OG0002353	LOC6540552|XP_002087342.2|DYAK	LOC120419803|XP_039438573.1|CPIP
OG0002354	LOC26535576|XP_015054641.1|DYAK, LOC6527802|XP_039227119.1|DYAK	LOC120416777|XP_039434576.1|CPIP
OG0002355	LOC6539240|XP_002086139.2|DYAK	LOC120424552|XP_039444651.1|CPIP
OG0002356	LOC6529553|XP_002090550.1|DYAK	LOC120412848|XP_039429404.1|CPIP
OG0002357	LOC6537292|XP_002097850.1|DYAK	LOC120412846|XP_039429403.1|CPIP
OG0002358	LOC6527985|XP_002089052.1|DYAK	LOC120415720|XP_039433249.1|CPIP
OG0002359	LOC6524299|XP_002100158.2|DYAK	LOC120427816|XP_039448674.1|CPIP
OG0002360	LOC6530319|XP_002091246.1|DYAK	LOC120415533|XP_039433026.1|CPIP
OG0002361	LOC6534872|XP_002095544.1|DYAK	LOC120415542|XP_039433043.1|CPIP, LOC120421990|XP_039441238.1|CPIP
OG0002362	LOC6526927|XP_015053515.1|DYAK	LOC120417700|XP_039435783.1|CPIP, LOC120412454|XP_039428854.1|CPIP
OG0002363	LOC6526968|XP_002088064.1|DYAK	LOC120423975|XP_039443901.1|CPIP
OG0002364	LOC6526966|XP_039226223.1|DYAK	LOC120423992|XP_039443923.1|CPIP
OG0002365	LOC6526964|XP_002088060.1|DYAK	LOC120423996|XP_039443939.1|CPIP
OG0002366	LOC6527628|XP_002088716.2|DYAK	LOC120412503|XP_039428936.1|CPIP, LOC120418410|XP_039436723.1|CPIP
OG0002367	LOC6526508|XP_002087619.1|DYAK	LOC120421150|XP_039440274.1|CPIP
OG0002368	LOC6528068|XP_002089135.1|DYAK	LOC120419647|XP_039438337.1|CPIP
OG0002369	LOC6530134|XP_002091080.1|DYAK	LOC120429906|XP_039450934.1|CPIP
OG0002370	LOC6528185|XP_002089248.2|DYAK	LOC120415512|XP_039433002.1|CPIP
OG0002371	LOC6528183|XP_002089246.1|DYAK	LOC120415513|XP_039433004.1|CPIP
OG0002372	LOC6526801|XP_039226537.1|DYAK	LOC120417285|XP_039435170.1|CPIP
OG0002373	LOC6529529|XP_002090531.1|DYAK	LOC120419153|XP_039437731.1|CPIP
OG0002374	LOC6538623|XP_015048928.1|DYAK	LOC120429067|XP_039450143.1|CPIP
OG0002375	LOC6535989|XP_002096604.1|DYAK	LOC120416343|XP_039434003.1|CPIP
OG0002376	LOC6527011|XP_002088106.1|DYAK	LOC120414302|XP_039431374.1|CPIP
OG0002377	LOC6535411|XP_002096060.1|DYAK	LOC120414304|XP_039431377.1|CPIP
OG0002378	LOC6533960|XP_002094660.1|DYAK	LOC120426574|XP_039447293.1|CPIP
OG0002379	LOC6529409|XP_002090414.1|DYAK	LOC120425772|XP_039446316.1|CPIP
OG0002380	LOC6524009|XP_015045430.1|DYAK	LOC120424705|XP_039444819.1|CPIP
OG0002381	LOC6530350|XP_002091277.1|DYAK	LOC120432390|XP_039453519.1|CPIP
OG0002382	LOC6525292|XP_002101128.1|DYAK	LOC120426818|XP_039447535.1|CPIP
OG0002383	LOC6532438|XP_002093185.1|DYAK	LOC120426827|XP_039447548.1|CPIP
OG0002384	LOC6524451|XP_015045707.1|DYAK	LOC120431525|XP_039452555.1|CPIP, LOC120418785|XP_039437200.1|CPIP, LOC120418839|XP_039437298.1|CPIP
OG0002386	LOC6535740|XP_002096363.1|DYAK	LOC120419452|XP_039438071.1|CPIP
OG0002387	LOC6537856|XP_015048547.1|DYAK	LOC120417667|XP_039435725.1|CPIP
OG0002388	LOC6537217|XP_002097775.2|DYAK	LOC120426320|XP_039447013.1|CPIP
OG0002389	LOC6537877|XP_002098418.1|DYAK	LOC120425212|XP_039445577.1|CPIP
OG0002390	LOC6527171|XP_002088265.1|DYAK	LOC120421608|XP_039440768.1|CPIP
OG0002391	LOC6531657|XP_002092454.1|DYAK	LOC120416973|XP_039434828.1|CPIP
OG0002392	LOC6533023|XP_015049779.1|DYAK	LOC120419110|XP_039437638.1|CPIP
OG0002393	LOC6534442|XP_002095119.1|DYAK	LOC120432181|XP_039453255.1|CPIP
OG0002394	LOC6538492|XP_015048887.1|DYAK	LOC120432201|XP_039453292.1|CPIP
OG0002395	LOC6536579|XP_039231214.1|DYAK	LOC120432165|XP_039453231.1|CPIP
OG0002396	LOC6530507|XP_015052692.1|DYAK	LOC120413852|XP_039430746.1|CPIP
OG0002397	LOC6529110|XP_002090123.1|DYAK	LOC120419717|XP_039438438.1|CPIP, LOC120424009|XP_039443957.1|CPIP
OG0002398	LOC6525234|XP_002101072.2|DYAK	LOC120416749|XP_039434516.1|CPIP, LOC120427911|XP_039448784.1|CPIP
OG0002399	LOC6529080|XP_002090093.1|DYAK	LOC120427919|XP_039448791.1|CPIP
OG0002400	LOC6531632|XP_002092429.2|DYAK	LOC120417067|XP_039434958.1|CPIP
OG0002401	LOC6523699|XP_002099576.1|DYAK	LOC120417110|XP_039435020.1|CPIP, LOC120415889|XP_039433464.1|CPIP
OG0002402	LOC6537081|XP_002097642.2|DYAK	LOC120417504|XP_039435515.1|CPIP
OG0002403	LOC6537080|XP_002097641.1|DYAK	LOC120417531|XP_039435547.1|CPIP
OG0002404	LOC6535249|XP_002095905.1|DYAK	LOC120417503|XP_039435513.1|CPIP
OG0002405	LOC6535404|XP_002096053.1|DYAK	LOC120421244|XP_039440379.1|CPIP
OG0002406	LOC6539324|XP_002086216.1|DYAK	LOC120417335|XP_039435270.1|CPIP
OG0002407	LOC6539029|XP_002099531.1|DYAK	LOC120413756|XP_039430624.1|CPIP
OG0002408	LOC6535417|XP_002096066.1|DYAK	LOC120413753|XP_039430619.1|CPIP, LOC120413777|XP_039430654.1|CPIP
OG0002410	LOC6535726|XP_039231406.1|DYAK	LOC120413937|XP_039430868.1|CPIP
OG0002411	LOC6536303|XP_002096887.1|DYAK	LOC120413072|XP_039429708.1|CPIP
OG0002412	LOC26534951|XP_015044780.2|DYAK	LOC120413056|XP_039429694.1|CPIP
OG0002413	LOC6524064|XP_002099933.1|DYAK	LOC120413062|XP_039429698.1|CPIP
OG0002414	LOC6532343|XP_002093103.1|DYAK	LOC120413065|XP_039429703.1|CPIP
OG0002415	LOC6536783|XP_015047950.1|DYAK	LOC120413068|XP_039429704.1|CPIP, LOC120423283|XP_039442983.1|CPIP
OG0002417	LOC6526260|XP_002087382.1|DYAK	LOC120417884|XP_039436038.1|CPIP
OG0002418	LOC26536186|XP_039232837.1|DYAK	LOC120432324|XP_039453444.1|CPIP, LOC120417865|XP_039436018.1|CPIP
OG0002419	LOC6524244|XP_002100107.1|DYAK	LOC120419334|XP_039437939.1|CPIP, LOC120421352|XP_039440471.1|CPIP
OG0002420	LOC6532813|XP_002093550.2|DYAK	LOC120414018|XP_039430967.1|CPIP
OG0002421	LOC6538721|XP_002099236.1|DYAK	LOC120425950|XP_039446521.1|CPIP
OG0002422	LOC6535969|XP_015047482.2|DYAK	LOC120425902|XP_039446456.1|CPIP
OG0002423	LOC6533673|XP_002094379.1|DYAK	LOC120423429|XP_039443167.1|CPIP
OG0002424	LOC6523694|XP_002099572.1|DYAK	LOC120421718|XP_039440903.1|CPIP
OG0002425	LOC6524846|XP_002100686.2|DYAK	LOC120422248|XP_039441578.1|CPIP
OG0002426	LOC6532295|XP_002093055.1|DYAK	LOC120418236|XP_039436472.1|CPIP, LOC120422710|XP_039442159.1|CPIP
OG0002427	LOC6523700|XP_002099577.1|DYAK	LOC120418259|XP_039436510.1|CPIP, LOC120422748|XP_039442225.1|CPIP
OG0002428	LOC6525155|XP_002100993.2|DYAK	LOC120431600|XP_039452639.1|CPIP
OG0002429	LOC6533478|XP_039230863.1|DYAK	LOC120427310|XP_039448096.1|CPIP
OG0002430	LOC6528410|XP_002089456.1|DYAK	LOC120423155|XP_039442768.1|CPIP
OG0002431	LOC6530942|XP_002091784.1|DYAK	LOC120419418|XP_039438029.1|CPIP
OG0002432	LOC6524217|XP_002100080.1|DYAK	LOC120419450|XP_039438064.1|CPIP
OG0002433	LOC6535645|XP_002096273.1|DYAK	LOC120430598|XP_039451637.1|CPIP, LOC120424117|XP_039444090.1|CPIP
OG0002434	LOC6536396|XP_002096978.1|DYAK	LOC120421346|XP_039440459.1|CPIP
OG0002435	LOC6526018|XP_002101835.1|DYAK	LOC120427004|XP_039447756.1|CPIP
OG0002436	LOC6529880|XP_002090837.1|DYAK	LOC120419932|XP_039438731.1|CPIP
OG0002437	LOC6529915|XP_039229312.1|DYAK	LOC120420861|XP_039439913.1|CPIP
OG0002438	LOC6524485|XP_039226161.1|DYAK	LOC120429857|XP_039450858.1|CPIP, LOC120432033|XP_039453101.1|CPIP
OG0002439	LOC6528069|XP_002089136.2|DYAK	LOC120428165|XP_039449079.1|CPIP
OG0002440	LOC6534273|XP_002094954.1|DYAK	LOC120422160|XP_039441467.1|CPIP
OG0002441	LOC6528792|XP_002089826.1|DYAK	LOC120427538|XP_039448341.1|CPIP
OG0002442	LOC6531256|XP_002092065.1|DYAK	LOC120418442|XP_039436785.1|CPIP, LOC120416743|XP_039434512.1|CPIP
OG0002443	LOC6529353|XP_015052293.1|DYAK	LOC120424759|XP_039444887.1|CPIP, LOC120414225|XP_039431270.1|CPIP
OG0002444	LOC6531583|XP_002092381.1|DYAK	LOC120414219|XP_039431260.1|CPIP, LOC120424751|XP_039444878.1|CPIP
OG0002446	LOC6530433|XP_002091349.1|DYAK	LOC120417578|XP_039435622.1|CPIP
OG0002447	LOC6533935|XP_015050347.1|DYAK	LOC120415256|XP_039432656.1|CPIP
OG0002448	LOC6530580|XP_002091493.1|DYAK	LOC120429321|XP_039450475.1|CPIP
OG0002449	LOC6531345|XP_002092149.1|DYAK	LOC120415320|XP_039432737.1|CPIP
OG0002450	LOC6536537|XP_002097113.1|DYAK	LOC120424564|XP_039444670.1|CPIP
OG0002451	LOC6528657|XP_002089699.1|DYAK	LOC120424319|XP_039444350.1|CPIP
OG0002452	LOC6531615|XP_002092412.1|DYAK	LOC120418456|XP_039436815.1|CPIP
OG0002453	LOC6531614|XP_002092411.1|DYAK	LOC120418430|XP_039436743.1|CPIP
OG0002454	LOC6532289|XP_015049269.1|DYAK	LOC120420393|XP_039439339.1|CPIP
OG0002455	LOC6523844|XP_002099717.1|DYAK	LOC120420386|XP_039439333.1|CPIP
OG0002456	LOC6531754|XP_039228336.1|DYAK	LOC120416221|XP_039433854.1|CPIP
OG0002457	LOC6528451|XP_015053939.1|DYAK	LOC120414896|XP_039432156.1|CPIP
OG0002458	LOC6527123|XP_002088216.1|DYAK	LOC120427334|XP_039448119.1|CPIP
OG0002459	LOC6529938|XP_002090893.1|DYAK	LOC120427047|XP_039447812.1|CPIP
OG0002460	LOC6532014|XP_002092793.1|DYAK	LOC120425007|XP_039445316.1|CPIP
OG0002461	LOC6531692|XP_002092483.2|DYAK	LOC120425044|XP_039445353.1|CPIP
OG0002462	LOC6530981|XP_015051796.1|DYAK	LOC120428513|XP_039449460.1|CPIP
OG0002463	LOC6531963|XP_002092749.2|DYAK	LOC120421450|XP_039440593.1|CPIP
OG0002464	LOC6531259|XP_002092068.1|DYAK	LOC120421465|XP_039440614.1|CPIP
OG0002465	LOC6529082|XP_039226600.1|DYAK	LOC120421458|XP_039440603.1|CPIP
OG0002466	LOC6523730|XP_039232886.1|DYAK	LOC120426849|XP_039447573.1|CPIP, LOC120427342|XP_039448132.1|CPIP
OG0002467	LOC6533066|XP_002093798.1|DYAK	LOC120428607|XP_039449563.1|CPIP
OG0002468	LOC6533980|XP_002094675.3|DYAK	LOC120414044|XP_039430998.1|CPIP
OG0002469	LOC6535259|XP_002095915.1|DYAK	LOC120415164|XP_039432535.1|CPIP
OG0002470	LOC6528665|XP_002089707.1|DYAK	LOC120415205|XP_039432594.1|CPIP
OG0002471	LOC6528757|XP_002089792.2|DYAK	LOC120419167|XP_039437753.1|CPIP
OG0002472	LOC6530154|XP_039227811.1|DYAK	LOC120419151|XP_039437724.1|CPIP
OG0002473	LOC6530233|XP_002091170.1|DYAK	LOC120425528|XP_039446016.1|CPIP, LOC120419160|XP_039437743.1|CPIP
OG0002474	LOC6534503|XP_015050660.2|DYAK	LOC120415830|XP_039433394.1|CPIP
OG0002475	LOC6538855|XP_002099368.1|DYAK	LOC120412342|XP_039428676.1|CPIP
OG0002476	LOC6531283|XP_002092092.1|DYAK	LOC120416844|XP_039434666.1|CPIP
OG0002477	LOC6530843|XP_002091726.1|DYAK	LOC120418586|XP_039436967.1|CPIP
OG0002478	LOC6530974|XP_002091812.3|DYAK	LOC120427138|XP_039447928.1|CPIP
OG0002479	LOC6530338|XP_002091265.1|DYAK	LOC120421876|XP_039441107.1|CPIP
OG0002480	LOC6539269|XP_015045225.1|DYAK	LOC120415167|XP_039432539.1|CPIP
OG0002481	LOC6523959|XP_002099831.1|DYAK	LOC120430865|XP_039451923.1|CPIP, LOC120429783|XP_039450775.1|CPIP
OG0002482	LOC6529919|XP_002090876.2|DYAK	LOC120416382|XP_039434051.1|CPIP
OG0002483	LOC6531916|XP_002092702.1|DYAK	LOC120415878|XP_039433450.1|CPIP
OG0002484	LOC6531270|XP_002092079.1|DYAK	LOC120415857|XP_039433428.1|CPIP
OG0002485	LOC6528641|XP_002089683.1|DYAK	LOC120427508|XP_039448303.1|CPIP
OG0002486	LOC6534854|XP_002095526.2|DYAK	LOC120425824|XP_039446376.1|CPIP
OG0002487	LOC6539087|XP_039233230.1|DYAK	LOC120416712|XP_039434467.1|CPIP, LOC120425825|XP_039446377.1|CPIP
OG0002488	LOC6530524|XP_002091439.1|DYAK	LOC120422213|XP_039441532.1|CPIP
OG0002489	LOC6534970|XP_002095640.1|DYAK	LOC120423892|XP_039443802.1|CPIP
OG0002490	LOC6530840|XP_002091723.1|DYAK	LOC120423910|XP_039443824.1|CPIP
OG0002491	LOC26535211|XP_039230895.1|DYAK	LOC120429115|XP_039450224.1|CPIP
OG0002492	LOC6531141|XP_002091975.1|DYAK	LOC120428267|XP_039449193.1|CPIP
OG0002493	LOC6528649|XP_002089691.3|DYAK	LOC120428251|XP_039449175.1|CPIP
OG0002494	LOC6536388|XP_002096970.1|DYAK	LOC120425864|XP_039446419.1|CPIP
OG0002495	LOC6530487|XP_002091402.1|DYAK	LOC120414931|XP_039432196.1|CPIP
OG0002496	LOC6538431|XP_002098955.1|DYAK	LOC120425278|XP_039445663.1|CPIP
OG0002508	LOC6525820|XP_039233506.1|DYAK	LOC120422061|XP_039441331.1|CPIP
OG0002509	LOC6528461|XP_002089507.1|DYAK	LOC120421053|XP_039440132.1|CPIP, LOC120431164|XP_039452238.1|CPIP
OG0002510	LOC6526224|XP_002102033.1|DYAK	LOC120432318|XP_039453436.1|CPIP
OG0002511	LOC6536982|XP_039232261.1|DYAK	LOC120415031|XP_039432330.1|CPIP
OG0002512	LOC6523723|XP_039233055.1|DYAK	LOC120413289|XP_039429960.1|CPIP
OG0002513	LOC6536425|XP_002097007.1|DYAK	LOC120413306|XP_039430002.1|CPIP
OG0002514	LOC6532333|XP_015049284.1|DYAK	LOC120415052|XP_039432359.1|CPIP
OG0002516	LOC6538478|XP_002099002.1|DYAK	LOC120420867|XP_039439953.1|CPIP
OG0002517	LOC6524645|XP_039226015.1|DYAK	LOC120417274|XP_039435192.1|CPIP
OG0002518	LOC6535549|XP_039231412.1|DYAK	LOC120419292|XP_039437891.1|CPIP
OG0002519	LOC6530700|XP_002091591.1|DYAK	LOC120431837|XP_039452899.1|CPIP, LOC120419300|XP_039437899.1|CPIP
OG0002520	LOC6525486|XP_002101321.1|DYAK	LOC120431838|XP_039452901.1|CPIP, LOC120419298|XP_039437898.1|CPIP
OG0002521	LOC6525791|XP_039233567.1|DYAK	LOC120419264|XP_039437853.1|CPIP, LOC120428873|XP_039449933.1|CPIP
OG0002522	LOC6535555|XP_002096184.1|DYAK	LOC120432301|XP_039453422.1|CPIP
OG0002523	LOC6538986|XP_002099488.2|DYAK	LOC120425470|XP_039446283.1|CPIP
OG0002524	LOC6524148|XP_002100011.2|DYAK	LOC120430129|XP_039451151.1|CPIP, LOC120430864|XP_039451926.1|CPIP
OG0002525	LOC6533044|XP_002093779.1|DYAK	LOC120432224|XP_039453333.1|CPIP
OG0002526	LOC6537199|XP_002097757.1|DYAK	LOC120432226|XP_039453334.1|CPIP
OG0002527	LOC6535831|XP_039231238.1|DYAK	LOC120432281|XP_039453401.1|CPIP
OG0002528	LOC6524076|XP_039230549.1|DYAK	LOC120413322|XP_039430023.1|CPIP
OG0002529	LOC6536678|XP_002097251.1|DYAK	LOC120413325|XP_039430032.1|CPIP
OG0002530	LOC6529743|XP_002090733.1|DYAK	LOC120413358|XP_039430077.1|CPIP
OG0002531	LOC6528065|XP_002089132.1|DYAK	LOC120428492|XP_039449439.1|CPIP
OG0002532	LOC6539974|XP_002086849.1|DYAK	LOC120422611|XP_039442073.1|CPIP
OG0002533	LOC6526215|XP_002102024.1|DYAK	LOC120422055|XP_039441321.1|CPIP
OG0002534	LOC6530258|XP_002091192.1|DYAK	LOC120422083|XP_039441363.1|CPIP
OG0002535	LOC6534994|XP_002095664.2|DYAK	LOC120414185|XP_039431196.1|CPIP, LOC120414186|XP_039431198.1|CPIP
OG0002536	LOC6538031|XP_002098566.1|DYAK	LOC120422456|XP_039441833.1|CPIP
OG0002537	LOC6531955|XP_039228502.1|DYAK	LOC120415045|XP_039432353.1|CPIP
OG0002539	LOC6532116|XP_002092892.1|DYAK	LOC120431369|XP_039452437.1|CPIP
OG0002540	LOC6537195|XP_002097753.1|DYAK	LOC120420181|XP_039439090.1|CPIP
OG0002541	LOC6525679|XP_002101501.1|DYAK	LOC120420192|XP_039439112.1|CPIP, LOC120431573|XP_039452617.1|CPIP
OG0002542	LOC6525172|XP_002101010.1|DYAK	LOC120420217|XP_039439138.1|CPIP
OG0002543	LOC6524574|XP_002100431.1|DYAK	LOC120431208|XP_039452287.1|CPIP
OG0002544	LOC6537721|XP_002098266.3|DYAK	LOC120413732|XP_039430592.1|CPIP
OG0002545	LOC6523929|XP_002099802.1|DYAK	LOC120413352|XP_039430069.1|CPIP
OG0002547	LOC6524004|XP_002099876.1|DYAK	LOC120412765|XP_039429294.1|CPIP
OG0002548	LOC6523989|XP_002099861.1|DYAK	LOC120412730|XP_039429258.1|CPIP
OG0002549	LOC6525609|XP_039233646.1|DYAK	LOC120412693|XP_039429206.1|CPIP
OG0002550	LOC6524661|XP_039233445.1|DYAK	LOC120430270|XP_039451331.1|CPIP
OG0002551	LOC6539057|XP_002099559.1|DYAK	LOC120414279|XP_039431341.1|CPIP, LOC120427670|XP_039448484.1|CPIP
OG0002552	LOC6529265|XP_002090270.1|DYAK	LOC120426469|XP_039447166.1|CPIP, LOC120427669|XP_039448483.1|CPIP
OG0002553	LOC6526216|XP_002102025.2|DYAK	LOC120423033|XP_039442608.1|CPIP
