Orthogroup	DFIC.longest_only	DALB.longest_only
OG0000426	LOC108096682|XP_017053972.1|DFIC, LOC108096681|XP_017053971.1|DFIC, LOC108096649|XP_017053903.1|DFIC, LOC108096650|XP_017053904.1|DFIC	LOC117568371|XP_034104865.1|DALB, LOC117567641|XP_034103638.1|DALB
OG0000428	LOC108093195|XP_017048645.1|DFIC, LOC108093194|XP_017048644.1|DFIC	LOC117568170|XP_034104494.1|DALB
OG0000428	LOC108093193|XP_017048643.1|DFIC	LOC117568169|XP_034104493.1|DALB
OG0000429	LOC108086382|XP_017038772.1|DFIC	LOC117569375|XP_034106396.1|DALB
OG0000429	LOC108086465|XP_017038881.1|DFIC	LOC117568538|XP_034105147.1|DALB
OG0000430	LOC108087111|XP_017039782.1|DFIC	LOC117574689|XP_034114486.1|DALB
OG0000433	LOC108091080|XP_017045573.1|DFIC	LOC117575919|XP_034116268.1|DALB
OG0000433	LOC108093272|XP_017048740.1|DFIC	LOC117572721|XP_034111674.1|DALB
OG0000434	LOC108095885|XP_017052685.1|DFIC	LOC117573374|XP_034112402.1|DALB
OG0000434	LOC108101348|XP_017061143.1|DFIC	LOC117570392|XP_034107897.1|DALB, LOC117571069|XP_034108930.1|DALB
OG0000435	LOC108097453|XP_017055214.1|DFIC	LOC117567736|XP_034103812.1|DALB
OG0000438	LOC108088851|XP_017042314.1|DFIC, LOC108097725|XP_017055713.1|DFIC	LOC117573307|XP_034112303.1|DALB
OG0000439	LOC108098745|XP_017057369.1|DFIC	LOC117565270|XP_034100188.1|DALB
OG0000439	LOC108086956|XP_017039558.1|DFIC	LOC117571111|XP_034108985.1|DALB
OG0000440	LOC108096908|XP_017054347.1|DFIC	LOC117570223|XP_034107613.1|DALB
OG0000440	LOC108087848|XP_017040916.1|DFIC	LOC117567896|XP_034104059.1|DALB
OG0000441	LOC108087758|XP_017040777.1|DFIC	LOC117570102|XP_034107450.1|DALB
OG0000441	LOC108087773|XP_017040791.1|DFIC	LOC117569290|XP_034106286.1|DALB
OG0000443	LOC108100219|XP_017059488.1|DFIC, LOC108099972|XP_017059171.1|DFIC	LOC117569537|XP_034106631.1|DALB
OG0000443	LOC108100182|XP_017059444.1|DFIC	LOC117570957|XP_034108783.1|DALB
OG0000444	LOC108098738|XP_017057358.1|DFIC	LOC117564594|XP_034099337.1|DALB
OG0000444	LOC108098726|XP_017057334.1|DFIC	LOC117564527|XP_034099239.1|DALB
OG0000446	LOC108094710|XP_017050936.1|DFIC	LOC117575905|XP_034116240.1|DALB
OG0000446	LOC108093700|XP_017049379.1|DFIC	LOC117569928|XP_034107178.1|DALB
OG0000448	LOC108086874|XP_017039425.1|DFIC	LOC117576233|XP_034116742.1|DALB
OG0000448	LOC108086869|XP_017039420.1|DFIC	LOC117564935|XP_034099780.1|DALB
OG0000449	LOC108099910|XP_017059061.1|DFIC	LOC117572037|XP_034110488.1|DALB
OG0000449	LOC108094459|XP_017050527.1|DFIC	LOC117564461|XP_034099137.1|DALB
OG0000450	LOC108091182|XP_017045730.1|DFIC	LOC117578232|XP_034119507.1|DALB
OG0000450	LOC108098077|XP_017056259.1|DFIC	LOC117566468|XP_034101893.1|DALB
OG0000451	LOC108097293|XP_017054994.1|DFIC	LOC117577647|XP_034118420.1|DALB
OG0000451	LOC108097292|XP_017054993.1|DFIC	LOC117577648|XP_034118423.1|DALB
OG0000454	LOC108091832|XP_017046700.1|DFIC, LOC108100320|XP_017059616.1|DFIC	LOC117563716|XP_034098064.1|DALB, LOC117565191|XP_034100086.1|DALB
OG0000456	LOC108101973|XP_017062056.1|DFIC	LOC117573143|XP_034111972.1|DALB
OG0000456	LOC108090038|XP_017044021.1|DFIC	LOC117563277|XP_034097400.1|DALB
OG0000457	LOC108093464|XP_017049035.1|DFIC	LOC117565212|XP_034100110.1|DALB
OG0000457	LOC108092999|XP_017048384.1|DFIC	LOC117564515|XP_034099226.1|DALB
OG0000458	LOC108092260|XP_017047272.1|DFIC	LOC117563861|XP_034098286.1|DALB
OG0000460	LOC108094179|XP_017050127.1|DFIC	LOC117565458|XP_034100451.1|DALB
OG0000462	LOC108101066|XP_017060744.1|DFIC	LOC117575942|XP_034116293.1|DALB
OG0000462	LOC108101067|XP_017060745.1|DFIC	LOC117575940|XP_034116292.1|DALB
OG0000463	LOC108091622|XP_017046407.1|DFIC	LOC117574386|XP_034114111.1|DALB
OG0000463	LOC108092776|XP_017047998.1|DFIC, LOC108091621|XP_017046406.1|DFIC	LOC117574482|XP_034114210.1|DALB, LOC117574479|XP_034114208.1|DALB, LOC117574478|XP_034114207.1|DALB
OG0000464	LOC108092266|XP_017047287.1|DFIC	LOC117563862|XP_034098309.1|DALB
OG0000464	LOC108092408|XP_017047462.1|DFIC	LOC117566161|XP_034101552.1|DALB
OG0000465	LOC108099673|XP_017058801.1|DFIC	LOC117576223|XP_034116725.1|DALB
OG0000465	LOC108099533|XP_017058594.1|DFIC	LOC117576222|XP_034116722.1|DALB
OG0000466	LOC108091068|XP_017045558.1|DFIC	LOC117570655|XP_034108330.1|DALB
OG0000466	LOC108091481|XP_017046190.1|DFIC	LOC117564787|XP_034099588.1|DALB
OG0000467	LOC108094263|XP_017050218.1|DFIC	LOC117571055|XP_034108913.1|DALB
OG0000467	LOC108094198|XP_017050140.1|DFIC	LOC117568018|XP_034104237.1|DALB
OG0000468	LOC108093750|XP_017049506.1|DFIC	LOC117571922|XP_034110294.1|DALB
OG0000469	LOC108094500|XP_017050591.1|DFIC	LOC117565858|XP_034101077.1|DALB
OG0000469	LOC108094498|XP_017050587.1|DFIC	LOC117565982|XP_034101278.1|DALB
OG0000470	LOC108088820|XP_017042277.1|DFIC	LOC117567360|XP_034103189.1|DALB
OG0000470	LOC108100575|XP_017060041.1|DFIC	LOC117570696|XP_034108390.1|DALB
OG0000471	LOC108100720|XP_017060242.1|DFIC	LOC117571140|XP_034109033.1|DALB
OG0000471	LOC108092566|XP_017047695.1|DFIC	LOC117564774|XP_034099564.1|DALB
OG0000473	LOC108088725|XP_017042161.1|DFIC	LOC117578220|XP_034119485.1|DALB
OG0000473	LOC108097332|XP_017055052.1|DFIC	LOC117573572|XP_034112789.1|DALB
OG0000474	LOC108098060|XP_017056236.1|DFIC	LOC117567868|XP_034104029.1|DALB
OG0000474	LOC108100185|XP_017059443.1|DFIC	LOC117568378|XP_034104876.1|DALB
OG0000475	LOC108099555|XP_017058627.1|DFIC	LOC117575976|XP_034116347.1|DALB
OG0000475	LOC108098809|XP_017057445.1|DFIC, LOC108099483|XP_017058531.1|DFIC	LOC117568537|XP_034105146.1|DALB, LOC117575974|XP_034116343.1|DALB
OG0000476	LOC108099272|XP_017058137.1|DFIC, LOC108099316|XP_017058216.1|DFIC	LOC117574092|XP_034113618.1|DALB
OG0000476	LOC108099650|XP_017058769.1|DFIC	LOC117574302|XP_034113999.1|DALB
OG0000477	LOC108099636|XP_017058755.1|DFIC	LOC117576734|XP_034117651.1|DALB
OG0000477	LOC108099637|XP_017058756.1|DFIC	LOC117576735|XP_034117653.1|DALB
OG0000478	LOC108102203|XP_017062394.1|DFIC	LOC117577931|XP_034118825.1|DALB
OG0000478	LOC108095881|XP_017052677.1|DFIC	LOC117574156|XP_034113728.1|DALB
OG0000479	LOC108099581|XP_017058675.1|DFIC, LOC108099300|XP_017058185.1|DFIC	LOC117576315|XP_034116861.1|DALB
OG0000480	LOC108092360|XP_017047385.1|DFIC	LOC117564375|XP_034098985.1|DALB
OG0000480	LOC108092357|XP_017047381.1|DFIC	LOC117564374|XP_034098982.1|DALB
OG0000482	LOC108088084|XP_017041228.1|DFIC	LOC117576116|XP_034116565.1|DALB
OG0000482	LOC108101096|XP_017060797.1|DFIC	LOC117576192|XP_034116676.1|DALB
OG0000483	LOC108091937|XP_017046814.1|DFIC	LOC117574894|XP_034114822.1|DALB
OG0000483	LOC108091898|XP_017046771.1|DFIC	LOC117573301|XP_034112297.1|DALB
OG0000484	LOC108101061|XP_017060736.1|DFIC	LOC117575936|XP_034116287.1|DALB
OG0000484	LOC108101062|XP_017060737.1|DFIC	LOC117576719|XP_034117630.1|DALB
OG0000485	LOC108099937|XP_017059096.1|DFIC	LOC117568025|XP_034104248.1|DALB
OG0000485	LOC108099722|XP_017058834.1|DFIC, LOC108099936|XP_017059093.1|DFIC	LOC117570784|XP_034108516.1|DALB, LOC117570783|XP_034108515.1|DALB, LOC117570785|XP_034108517.1|DALB
OG0000486	LOC108087696|XP_017040698.1|DFIC	LOC117568199|XP_034104555.1|DALB
OG0000486	LOC108087694|XP_017040695.1|DFIC	LOC117568193|XP_034104542.1|DALB, LOC117568197|XP_034104553.1|DALB
OG0000487	LOC108101466|XP_017061300.1|DFIC	LOC117572563|XP_034111331.1|DALB
OG0000487	LOC108101580|XP_017061481.1|DFIC	LOC117572562|XP_034111329.1|DALB, LOC117572561|XP_034111328.1|DALB, LOC117568227|XP_034104592.1|DALB
OG0000489	LOC108098686|XP_017057284.1|DFIC	LOC117576379|XP_034116968.1|DALB
OG0000489	LOC108091156|XP_017045681.1|DFIC	LOC117567573|XP_034103540.1|DALB
OG0000490	LOC108097318|XP_017055027.1|DFIC	LOC117578022|XP_034119012.1|DALB
OG0000490	LOC108092804|XP_017048063.1|DFIC	LOC117574832|XP_034114709.1|DALB
OG0000491	LOC108087109|XP_017039780.1|DFIC, LOC108087734|XP_017040744.1|DFIC, LOC108093952|XP_017049841.1|DFIC, LOC108087733|XP_017040743.1|DFIC	LOC117567551|XP_034103500.1|DALB
OG0000492	LOC108090324|XP_017044425.1|DFIC	LOC117569977|XP_034107244.1|DALB
OG0000492	LOC108101359|XP_017061158.1|DFIC, LOC108102104|XP_017062259.1|DFIC	LOC117564509|XP_034099216.1|DALB
OG0000493	LOC108086286|XP_017038664.1|DFIC, LOC108086287|XP_017038665.1|DFIC	LOC117577907|XP_034118795.1|DALB, LOC117574440|XP_034114172.1|DALB, LOC117577876|XP_034118725.1|DALB, LOC117574451|XP_034114183.1|DALB
OG0000494	LOC108095847|XP_017052631.1|DFIC	LOC117566912|XP_034102427.1|DALB, LOC117575488|XP_034115614.1|DALB
OG0000494	LOC108094925|XP_017051276.1|DFIC, LOC108101739|XP_017061687.1|DFIC	LOC117563507|XP_034097772.1|DALB
OG0000495	LOC108092967|XP_017048345.1|DFIC	LOC117570390|XP_034107900.1|DALB
OG0000495	LOC108087627|XP_017040573.1|DFIC	LOC117570750|XP_034108463.1|DALB
OG0000496	LOC108091896|XP_017046806.1|DFIC	LOC117566054|XP_034101400.1|DALB
OG0000496	LOC108095270|XP_017051831.1|DFIC, LOC108092259|XP_017047263.1|DFIC, LOC108095191|XP_017051716.1|DFIC	LOC117565995|XP_034101305.1|DALB
OG0000497	LOC108100122|XP_017059364.1|DFIC	LOC117565266|XP_034100182.1|DALB
OG0000497	LOC108100088|XP_017059320.1|DFIC, LOC108093314|XP_017048790.1|DFIC	LOC117564629|XP_034099376.1|DALB
OG0000498	LOC108091921|XP_017046796.1|DFIC	LOC117575291|XP_034115329.1|DALB
OG0000499	LOC108101874|XP_017061899.1|DFIC	LOC117566916|XP_034102428.1|DALB
OG0000499	LOC108092944|XP_017048301.1|DFIC	LOC117578361|XP_034119695.1|DALB
OG0000500	LOC108099769|XP_017058886.1|DFIC	LOC117568873|XP_034105654.1|DALB
OG0000500	LOC108099953|XP_017059118.1|DFIC	LOC117568872|XP_034105653.1|DALB
OG0000502	LOC108095196|XP_017051692.1|DFIC	LOC117570858|XP_034108629.1|DALB
OG0000503	LOC108096508|XP_017053607.1|DFIC, LOC108096507|XP_017053606.1|DFIC	LOC117566793|XP_034102227.1|DALB
OG0000504	LOC108089401|XP_017043079.1|DFIC	LOC117570036|XP_034107352.1|DALB
OG0000505	LOC108097282|XP_017054972.1|DFIC	LOC117573327|XP_034112331.1|DALB
OG0000505	LOC108097208|XP_017054844.1|DFIC	LOC117571310|XP_034109279.1|DALB
OG0000506	LOC108095677|XP_017052334.1|DFIC	LOC117573661|XP_034112880.1|DALB
OG0000506	LOC108095679|XP_017052336.1|DFIC	LOC117573805|XP_034113108.1|DALB
OG0000507	LOC108091229|XP_017045823.1|DFIC	LOC117576971|XP_034118043.1|DALB
OG0000507	LOC108091162|XP_017045690.1|DFIC	LOC117568198|XP_034104558.1|DALB
OG0000508	LOC108100199|XP_017059462.1|DFIC	LOC117571360|XP_034109359.1|DALB
OG0000508	LOC108099052|XP_017057804.1|DFIC	LOC117571471|XP_034109516.1|DALB
OG0000509	LOC108090483|XP_017044673.1|DFIC	LOC117567337|XP_034103147.1|DALB
OG0000509	LOC108090384|XP_017044521.1|DFIC	LOC117567334|XP_034103144.1|DALB
OG0000510	LOC108093816|XP_017049620.1|DFIC	LOC117572436|XP_034111155.1|DALB
OG0000511	LOC108098211|XP_017056466.1|DFIC	LOC117564449|XP_034099117.1|DALB
OG0000511	LOC108098289|XP_017056585.1|DFIC	LOC117564447|XP_034099116.1|DALB
OG0000512	LOC108100069|XP_017059293.1|DFIC	LOC117566003|XP_034101311.1|DALB
OG0000513	LOC108094250|XP_017050198.1|DFIC	LOC117566895|XP_034102401.1|DALB
OG0000513	LOC108101212|XP_017060950.1|DFIC	LOC117565466|XP_034100463.1|DALB
OG0000514	LOC108092278|XP_017047302.1|DFIC, LOC108095085|XP_017051509.1|DFIC	LOC117565332|XP_034100270.1|DALB
OG0000514	LOC108094513|XP_017050602.1|DFIC, LOC108096214|XP_017053132.1|DFIC	LOC117564904|XP_034099748.1|DALB
OG0000515	LOC108095042|XP_017051425.1|DFIC	LOC117573227|XP_034112167.1|DALB
OG0000515	LOC108089640|XP_017043495.1|DFIC	LOC117570797|XP_034108543.1|DALB
OG0000516	LOC108101676|XP_017061589.1|DFIC	LOC117578001|XP_034118993.1|DALB
OG0000516	LOC108101679|XP_017061592.1|DFIC	LOC117564564|XP_034099291.1|DALB
OG0000517	LOC108096293|XP_017053255.1|DFIC	LOC117571811|XP_034110073.1|DALB, LOC117571114|XP_034109000.1|DALB
OG0000519	LOC108091406|XP_017046085.1|DFIC, LOC108100123|XP_017059365.1|DFIC	LOC117578139|XP_034119244.1|DALB, LOC117578141|XP_034119248.1|DALB, LOC117578142|XP_034119251.1|DALB, LOC117578140|XP_034119247.1|DALB
OG0000521	LOC108088737|XP_017042177.1|DFIC	LOC117577891|XP_034118760.1|DALB
OG0000521	LOC108088556|XP_017041892.1|DFIC	LOC117567494|XP_034103418.1|DALB
OG0000522	LOC108102134|XP_017062293.1|DFIC	LOC117577337|XP_034118181.1|DALB
OG0000523	LOC108095784|XP_017052529.1|DFIC	LOC117574359|XP_034114084.1|DALB
OG0000523	LOC108097957|XP_017056054.1|DFIC	LOC117569690|XP_034106838.1|DALB
OG0000524	LOC108095937|XP_017052763.1|DFIC, LOC108087080|XP_017039749.1|DFIC, LOC108087321|XP_017040140.1|DFIC	LOC117573923|XP_034113327.1|DALB
OG0000525	LOC108090410|XP_017044551.1|DFIC, LOC108090409|XP_017044550.1|DFIC	LOC117567161|XP_034102865.1|DALB
OG0000526	LOC108093256|XP_017048725.1|DFIC, LOC108092741|XP_017047959.1|DFIC	LOC117564252|XP_034098847.1|DALB
OG0000526	LOC108094869|XP_017051180.1|DFIC	LOC117572745|XP_034111713.1|DALB
OG0000527	LOC108091458|XP_017046147.1|DFIC	LOC117565756|XP_034100898.1|DALB
OG0000527	LOC108091497|XP_017046219.1|DFIC	LOC117566242|XP_034101679.1|DALB
OG0000528	LOC108092549|XP_017047673.1|DFIC	LOC117578385|XP_034119712.1|DALB
OG0000529	LOC108092307|XP_017047330.1|DFIC	LOC117565740|XP_034100876.1|DALB
OG0000529	LOC108089817|XP_017043708.1|DFIC	LOC117564582|XP_034099314.1|DALB
OG0000530	LOC108099790|XP_017058908.1|DFIC	LOC117571193|XP_034109126.1|DALB
OG0000530	LOC108100227|XP_017059494.1|DFIC	LOC117571163|XP_034109065.1|DALB, LOC117571162|XP_034109063.1|DALB
OG0000531	LOC108099799|XP_017058916.1|DFIC	LOC117565336|XP_034100276.1|DALB
OG0000531	LOC108095081|XP_017051497.1|DFIC	LOC117565556|XP_034100615.1|DALB
OG0000532	LOC108101437|XP_017061253.1|DFIC	LOC117576083|XP_034116522.1|DALB
OG0000532	LOC108101439|XP_017061262.1|DFIC	LOC117575284|XP_034115318.1|DALB
OG0000533	LOC108098100|XP_017056299.1|DFIC	LOC117569997|XP_034107280.1|DALB
OG0000533	LOC108099617|XP_017058728.1|DFIC	LOC117573993|XP_034113432.1|DALB
OG0000534	LOC108095550|XP_017052173.1|DFIC	LOC117578034|XP_034119039.1|DALB
OG0000534	LOC108100989|XP_017060645.1|DFIC	LOC117568271|XP_034104653.1|DALB
OG0000535	LOC108096685|XP_017053976.1|DFIC	LOC117567969|XP_034104168.1|DALB
OG0000535	LOC108101455|XP_017061287.1|DFIC	LOC117570234|XP_034107629.1|DALB
OG0000536	LOC108099941|XP_017059100.1|DFIC	LOC117569953|XP_034107207.1|DALB
OG0000537	LOC108094323|XP_017050356.1|DFIC	LOC117570048|XP_034107366.1|DALB
OG0000538	LOC108093970|XP_017049865.1|DFIC	LOC117568064|XP_034104311.1|DALB
OG0000538	LOC108090438|XP_017044604.1|DFIC	LOC117568809|XP_034105561.1|DALB
OG0000539	LOC108095690|XP_017052350.1|DFIC	LOC117574978|XP_034114935.1|DALB
OG0000539	LOC108095993|XP_017052826.1|DFIC	LOC117576115|XP_034116563.1|DALB
OG0000540	LOC108089989|XP_017043979.1|DFIC	LOC117565442|XP_034100424.1|DALB
OG0000542	LOC108095741|XP_017052411.1|DFIC	LOC117574053|XP_034113556.1|DALB
OG0000542	LOC108095022|XP_017051378.1|DFIC	LOC117573207|XP_034112097.1|DALB
OG0000543	LOC108091702|XP_017046529.1|DFIC	LOC117573902|XP_034113301.1|DALB
OG0000543	LOC108101443|XP_017061269.1|DFIC	LOC117572386|XP_034111050.1|DALB
OG0000544	LOC108093203|XP_017048654.1|DFIC	LOC117568673|XP_034105370.1|DALB
OG0000544	LOC108098615|XP_017057169.1|DFIC	LOC117575460|XP_034115560.1|DALB
OG0000545	LOC108092172|XP_017047183.1|DFIC	LOC117575100|XP_034115092.1|DALB
OG0000545	LOC108092183|XP_017047196.1|DFIC	LOC117575101|XP_034115093.1|DALB
OG0000546	LOC108098957|XP_017057658.1|DFIC	LOC117573648|XP_034112859.1|DALB
OG0000546	LOC108097579|XP_017055454.1|DFIC	LOC117577896|XP_034118770.1|DALB
OG0000547	LOC108091197|XP_017045768.1|DFIC, LOC108095123|XP_017051551.1|DFIC, LOC108089889|XP_017043848.1|DFIC	LOC117575130|XP_034115127.1|DALB, LOC117563554|XP_034097825.1|DALB
OG0000548	LOC108093110|XP_017048540.1|DFIC	LOC117571554|XP_034109648.1|DALB
OG0000548	LOC108093124|XP_017048557.1|DFIC	LOC117570985|XP_034108822.1|DALB
OG0000549	LOC108087740|XP_017040750.1|DFIC	LOC117569957|XP_034107218.1|DALB
OG0000550	LOC108099148|XP_017057983.1|DFIC	LOC117570320|XP_034107753.1|DALB
OG0000550	LOC108099109|XP_017057923.1|DFIC	LOC117569649|XP_034106785.1|DALB
OG0000551	LOC108093654|XP_017049315.1|DFIC	LOC117570425|XP_034107964.1|DALB
OG0000552	LOC108097774|XP_017055790.1|DFIC	LOC117576695|XP_034117582.1|DALB
OG0000552	LOC108097752|XP_017055752.1|DFIC	LOC117576694|XP_034117581.1|DALB
OG0000553	LOC108101623|XP_017061527.1|DFIC, LOC108101198|XP_017060931.1|DFIC	LOC117565414|XP_034100389.1|DALB, LOC117565415|XP_034100390.1|DALB, LOC117565417|XP_034100393.1|DALB
OG0000554	LOC108091628|XP_017046416.1|DFIC	LOC117576527|XP_034117241.1|DALB
OG0000554	LOC108091629|XP_017046417.1|DFIC	LOC117574065|XP_034113579.1|DALB
OG0000555	LOC108099806|XP_017058922.1|DFIC	LOC117570039|XP_034107354.1|DALB
OG0000555	LOC108099210|XP_017058076.1|DFIC	LOC117569697|XP_034106847.1|DALB
OG0000556	LOC108098048|XP_017056209.1|DFIC	LOC117569341|XP_034106365.1|DALB
OG0000556	LOC108096498|XP_017053600.1|DFIC	LOC117575005|XP_034114973.1|DALB
OG0000557	LOC108087895|XP_017040962.1|DFIC	LOC117575409|XP_034115480.1|DALB
OG0000557	LOC108088094|XP_017041238.1|DFIC	LOC117576870|XP_034117862.1|DALB
OG0000558	LOC108096236|XP_017053133.1|DFIC	LOC117576425|XP_034117059.1|DALB
OG0000558	LOC108095281|XP_017051813.1|DFIC	LOC117565670|XP_034100797.1|DALB
OG0000559	LOC108087314|XP_017040125.1|DFIC	LOC117575571|XP_034115725.1|DALB
OG0000559	LOC108096171|XP_017053043.1|DFIC	LOC117568325|XP_034104797.1|DALB
OG0000560	LOC108093957|XP_017049845.1|DFIC	LOC117567917|XP_034104087.1|DALB, LOC117567916|XP_034104086.1|DALB
OG0000560	LOC108093956|XP_017049844.1|DFIC	LOC117567915|XP_034104085.1|DALB
OG0000561	LOC108089621|XP_017043472.1|DFIC	LOC117570739|XP_034108452.1|DALB
OG0000561	LOC108089569|XP_017043411.1|DFIC	LOC117570772|XP_034108498.1|DALB
OG0000562	LOC108100477|XP_017059898.1|DFIC	LOC117568411|XP_034104943.1|DALB
OG0000562	LOC108100564|XP_017060030.1|DFIC	LOC117567105|XP_034102777.1|DALB
OG0000563	LOC108089284|XP_017042952.1|DFIC, LOC108089283|XP_017042951.1|DFIC	LOC117570842|XP_034108613.1|DALB
OG0000564	LOC108093054|XP_017048450.1|DFIC	LOC117569885|XP_034107115.1|DALB
OG0000564	LOC108093046|XP_017048443.1|DFIC	LOC117569684|XP_034106823.1|DALB
OG0000566	LOC108097951|XP_017056045.1|DFIC	LOC117575463|XP_034115566.1|DALB
OG0000566	LOC108099177|XP_017058027.1|DFIC	LOC117572277|XP_034110872.1|DALB
OG0000567	LOC108101649|XP_017061553.1|DFIC	LOC117577978|XP_034118955.1|DALB
OG0000568	LOC108092936|XP_017048292.1|DFIC	LOC117567383|XP_034103226.1|DALB
OG0000568	LOC108098641|XP_017057204.1|DFIC	LOC117573488|XP_034112606.1|DALB
OG0000569	LOC108098938|XP_017057634.1|DFIC	LOC117576605|XP_034117395.1|DALB
OG0000569	LOC108086994|XP_017039619.1|DFIC	LOC117573194|XP_034112079.1|DALB
OG0000570	LOC108092150|XP_017047157.1|DFIC	LOC117576577|XP_034117342.1|DALB
OG0000570	LOC108092170|XP_017047182.1|DFIC	LOC117576578|XP_034117343.1|DALB
OG0000571	LOC108086285|XP_017038663.1|DFIC	LOC117574018|XP_034113497.1|DALB
OG0000571	LOC108088446|XP_017041711.1|DFIC	LOC117576764|XP_034117702.1|DALB
OG0000572	LOC108087086|XP_017039754.1|DFIC	LOC117574189|XP_034113773.1|DALB
OG0000572	LOC108087096|XP_017039766.1|DFIC	LOC117575540|XP_034115685.1|DALB
OG0000573	LOC108099030|XP_017057774.1|DFIC	LOC117568114|XP_034104406.1|DALB
OG0000573	LOC108087649|XP_017040605.1|DFIC	LOC117566653|XP_034102087.1|DALB
OG0000574	LOC108089421|XP_017043114.1|DFIC	LOC117567035|XP_034102632.1|DALB
OG0000574	LOC108101107|XP_017060809.1|DFIC	LOC117575445|XP_034115546.1|DALB
OG0000575	LOC108089558|XP_017043391.1|DFIC	LOC117570493|XP_034108078.1|DALB
OG0000575	LOC108089559|XP_017043392.1|DFIC	LOC117570894|XP_034108687.1|DALB
OG0000576	LOC108093545|XP_017049129.1|DFIC, LOC108093544|XP_017049127.1|DFIC	LOC117576193|XP_034116677.1|DALB
OG0000577	LOC108096089|XP_017052946.1|DFIC, LOC108087361|XP_017040227.1|DFIC	LOC117563678|XP_034097996.1|DALB
OG0000577	LOC108096070|XP_017052920.1|DFIC	LOC117563369|XP_034097560.1|DALB
OG0000578	LOC108089242|XP_017042895.1|DFIC	LOC117563541|XP_034097811.1|DALB
OG0000578	LOC108096880|XP_017054307.1|DFIC	LOC117566833|XP_034102300.1|DALB
OG0000579	LOC108091889|XP_017046763.1|DFIC	LOC117574311|XP_034114011.1|DALB
OG0000579	LOC108095433|XP_017052032.1|DFIC	LOC117568033|XP_034104264.1|DALB
OG0000580	LOC108092039|XP_017046967.1|DFIC	LOC117573545|XP_034112716.1|DALB
OG0000580	LOC108092041|XP_017046971.1|DFIC	LOC117573543|XP_034112713.1|DALB
OG0000581	LOC108098521|XP_017056982.1|DFIC	LOC117574002|XP_034113459.1|DALB
OG0000581	LOC108097723|XP_017055707.1|DFIC	LOC117572373|XP_034111034.1|DALB
OG0000582	LOC108100412|XP_017059789.1|DFIC	LOC117572467|XP_034111205.1|DALB
OG0000582	LOC108094747|XP_017050989.1|DFIC	LOC117572271|XP_034110865.1|DALB
OG0000583	LOC108101415|XP_017061230.1|DFIC	LOC117569459|XP_034106516.1|DALB
OG0000583	LOC108101414|XP_017061229.1|DFIC	LOC117569458|XP_034106515.1|DALB
OG0000584	LOC108093188|XP_017048641.1|DFIC, LOC108102151|XP_017062330.1|DFIC	LOC117564165|XP_034098722.1|DALB
OG0000584	LOC108102147|XP_017062315.1|DFIC	LOC117563586|XP_034097863.1|DALB, LOC117564368|XP_034098976.1|DALB
OG0000585	LOC108088961|XP_017042468.1|DFIC, LOC108088951|XP_017042461.1|DFIC	LOC117569442|XP_034106496.1|DALB, LOC117569920|XP_034107163.1|DALB
OG0000586	LOC108094939|XP_017051289.1|DFIC	LOC117571332|XP_034109314.1|DALB
OG0000589	LOC108091059|XP_017045513.1|DFIC	LOC117570513|XP_034108145.1|DALB
OG0000590	LOC108091618|XP_017046402.1|DFIC	LOC117574715|XP_034114528.1|DALB
OG0000590	LOC108091317|XP_017045936.1|DFIC	LOC117574333|XP_034114042.1|DALB
OG0000592	LOC108101600|XP_017061502.1|DFIC	LOC117572376|XP_034111035.1|DALB
OG0000592	LOC108101465|XP_017061299.1|DFIC	LOC117571583|XP_034109690.1|DALB
OG0000593	LOC108086528|XP_017038946.1|DFIC	LOC117563424|XP_034097650.1|DALB
OG0000593	LOC108094651|XP_017050850.1|DFIC	LOC117566355|XP_034101733.1|DALB
OG0000594	LOC108086551|XP_017038978.1|DFIC	LOC117574067|XP_034113581.1|DALB
OG0000594	LOC108088088|XP_017041233.1|DFIC	LOC117576155|XP_034116619.1|DALB
OG0000595	LOC108091632|XP_017046420.1|DFIC	LOC117575204|XP_034115214.1|DALB
OG0000595	LOC108102288|XP_017062524.1|DFIC	LOC117573641|XP_034112843.1|DALB
OG0000596	LOC108097386|XP_017055126.1|DFIC	LOC117577918|XP_034118806.1|DALB
OG0000596	LOC108098976|XP_017057681.1|DFIC	LOC117573268|XP_034112239.1|DALB, LOC117573267|XP_034112238.1|DALB, LOC117563806|XP_034098230.1|DALB
OG0000597	LOC108099311|XP_017058194.1|DFIC	LOC117573713|XP_034112974.1|DALB
OG0000597	LOC108086810|XP_017039338.1|DFIC	LOC117574431|XP_034114159.1|DALB
OG0000598	LOC108087250|XP_017040043.1|DFIC	LOC117574273|XP_034113913.1|DALB
OG0000599	LOC108100257|XP_017059522.1|DFIC	LOC117566392|XP_034101791.1|DALB
OG0000600	LOC108096938|XP_017054382.1|DFIC	LOC117570761|XP_034108482.1|DALB
OG0000601	LOC108102235|XP_017062462.1|DFIC	LOC117565708|XP_034100844.1|DALB
OG0000601	LOC108092484|XP_017047568.1|DFIC	LOC117565706|XP_034100839.1|DALB
OG0000603	LOC108092692|XP_017047889.1|DFIC	LOC117566116|XP_034101478.1|DALB
OG0000604	LOC108092487|XP_017047571.1|DFIC	LOC117564075|XP_034098592.1|DALB
OG0000604	LOC108092488|XP_017047572.1|DFIC	LOC117564382|XP_034098992.1|DALB
