Orthogroup	DFIC.longest_only	CCAP.longest_only
OG0001808	LOC108102035|XP_017062144.1|DFIC	CCAP1982_LOCUS4980|CAD6996299.1|CCAP
OG0001809	LOC108091397|XP_017046070.1|DFIC	CCAP1982_LOCUS4894|CAD6996206.1|CCAP
OG0001811	LOC108101599|XP_017061501.1|DFIC	CCAP1982_LOCUS7121|CAD6998534.1|CCAP, CCAP1982_LOCUS7122|CAD6998535.1|CCAP
OG0001813	LOC108101043|XP_017060711.1|DFIC	CCAP1982_LOCUS4477|CAD6995773.1|CCAP
OG0001814	LOC108098574|XP_017057097.1|DFIC	CCAP1982_LOCUS4359|CAD6995652.1|CCAP
OG0001815	LOC108090209|XP_017044290.1|DFIC	CCAP1982_LOCUS668|CAD6991760.1|CCAP
OG0001816	LOC108094911|XP_017051246.1|DFIC	CCAP1982_LOCUS20579|CAD7012495.1|CCAP
OG0001817	LOC108090696|XP_017044968.1|DFIC	CCAP1982_LOCUS20287|CAD7012186.1|CCAP
OG0001819	LOC108090819|XP_017045168.1|DFIC	CCAP1982_LOCUS20241|CAD7012144.1|CCAP
OG0001820	LOC108095322|XP_017051890.1|DFIC	CCAP1982_LOCUS21127|CAD7013045.1|CCAP
OG0001821	LOC108101940|XP_017062013.1|DFIC	CCAP1982_LOCUS7163|CAD6998585.1|CCAP, CCAP1982_LOCUS7162|CAD6998584.1|CCAP
OG0001822	LOC108096971|XP_017054438.1|DFIC	CCAP1982_LOCUS7154|CAD6998574.1|CCAP
OG0001823	LOC108099834|XP_017058955.1|DFIC	CCAP1982_LOCUS13376|CAD7005000.1|CCAP
OG0001824	LOC108094140|XP_017050061.1|DFIC	CCAP1982_LOCUS7026|CAD6998426.1|CCAP
OG0001825	LOC108094763|XP_017051010.1|DFIC	CCAP1982_LOCUS20017|CAD7011906.1|CCAP, CCAP1982_LOCUS20011|CAD7011900.1|CCAP, CCAP1982_LOCUS20022|CAD7011911.1|CCAP
OG0001826	LOC108096791|XP_017054159.1|DFIC	CCAP1982_LOCUS5581|CAD6996908.1|CCAP, CCAP1982_LOCUS21161|CAD7013086.1|CCAP
OG0001827	LOC108093680|XP_017049346.1|DFIC	CCAP1982_LOCUS20547|CAD7012467.1|CCAP
OG0001829	LOC108087754|XP_017040771.1|DFIC	CCAP1982_LOCUS19767|CAD7011683.1|CCAP
OG0001830	LOC108096956|XP_017054413.1|DFIC	CCAP1982_LOCUS20337|CAD7012240.1|CCAP
OG0001831	LOC108099747|XP_017058861.1|DFIC	CCAP1982_LOCUS14177|CAD7005833.1|CCAP
OG0001832	LOC108097324|XP_017055034.1|DFIC	CCAP1982_LOCUS21112|CAD7013026.1|CCAP
OG0001833	LOC108090729|XP_017045032.1|DFIC	CCAP1982_LOCUS21130|CAD7013048.1|CCAP
OG0001834	LOC108098849|XP_017057500.1|DFIC	CCAP1982_LOCUS1887|CAD6993056.1|CCAP
OG0001835	LOC108086603|XP_017039066.1|DFIC	CCAP1982_LOCUS9801|CAD7001304.1|CCAP, CCAP1982_LOCUS10520|CAD7002032.1|CCAP
OG0001838	LOC108094947|XP_017051298.1|DFIC	CCAP1982_LOCUS22536|CAD7014535.1|CCAP
OG0001839	LOC108094866|XP_017051177.1|DFIC	CCAP1982_LOCUS7187|CAD6998612.1|CCAP, CCAP1982_LOCUS7186|CAD6998611.1|CCAP
OG0001849	LOC108087271|XP_017040067.1|DFIC	CCAP1982_LOCUS3184|CAD6994433.1|CCAP
OG0001850	LOC108095032|XP_017051395.1|DFIC	CCAP1982_LOCUS9381|CAD7000906.1|CCAP, CCAP1982_LOCUS9382|CAD7000907.1|CCAP
OG0001851	LOC108095012|XP_017051344.1|DFIC	CCAP1982_LOCUS10374|CAD7001887.1|CCAP, CCAP1982_LOCUS10375|CAD7001888.1|CCAP, CCAP1982_LOCUS10372|CAD7001885.1|CCAP, CCAP1982_LOCUS10370|CAD7001883.1|CCAP
OG0001852	LOC108098984|XP_017057689.1|DFIC	CCAP1982_LOCUS13290|CAD7004906.1|CCAP
OG0001853	LOC108095764|XP_017052447.1|DFIC	CCAP1982_LOCUS3612|CAD6994877.1|CCAP, CCAP1982_LOCUS3616|CAD6994881.1|CCAP, CCAP1982_LOCUS3614|CAD6994879.1|CCAP
OG0001855	LOC108090281|XP_017044382.1|DFIC	CCAP1982_LOCUS20317|CAD7012219.1|CCAP
OG0001860	LOC108099847|XP_017058983.1|DFIC	CCAP1982_LOCUS13420|CAD7005050.1|CCAP
OG0001861	LOC108095797|XP_017052549.1|DFIC	CCAP1982_LOCUS2989|CAD6994227.1|CCAP
OG0001864	LOC108098808|XP_017057438.1|DFIC	CCAP1982_LOCUS1784|CAD6992951.1|CCAP, CCAP1982_LOCUS1779|CAD6992946.1|CCAP
OG0001866	LOC108087065|XP_017039729.1|DFIC	CCAP1982_LOCUS2419|CAD6993609.1|CCAP
OG0001867	LOC108099839|XP_017058959.1|DFIC	CCAP1982_LOCUS12895|CAD7004494.1|CCAP
OG0001868	LOC108093425|XP_017048967.1|DFIC	CCAP1982_LOCUS7780|CAD6999249.1|CCAP
OG0001869	LOC108093362|XP_017048871.1|DFIC	CCAP1982_LOCUS2409|CAD6993599.1|CCAP
OG0001872	LOC108099605|XP_017058713.1|DFIC	CCAP1982_LOCUS1125|CAD6992255.1|CCAP
OG0001873	LOC108098601|XP_017057152.1|DFIC	CCAP1982_LOCUS3170|CAD6994418.1|CCAP, CCAP1982_LOCUS3173|CAD6994421.1|CCAP
OG0001874	LOC108095829|XP_017052600.1|DFIC	CCAP1982_LOCUS4109|CAD6995391.1|CCAP
OG0001875	LOC108086828|XP_017039363.1|DFIC	CCAP1982_LOCUS1759|CAD6992926.1|CCAP
OG0001878	LOC108091582|XP_017046347.1|DFIC	CCAP1982_LOCUS2349|CAD6993537.1|CCAP
OG0001879	LOC108095783|XP_017052525.1|DFIC	CCAP1982_LOCUS4169|CAD6995454.1|CCAP
OG0001880	LOC108088007|XP_017041108.1|DFIC	CCAP1982_LOCUS1363|CAD6992514.1|CCAP
OG0001881	LOC108098489|XP_017056891.1|DFIC	CCAP1982_LOCUS2771|CAD6993988.1|CCAP, CCAP1982_LOCUS2767|CAD6993984.1|CCAP, CCAP1982_LOCUS2765|CAD6993982.1|CCAP
OG0001882	LOC108086529|XP_017038947.1|DFIC	CCAP1982_LOCUS1385|CAD6992536.1|CCAP, CCAP1982_LOCUS1384|CAD6992535.1|CCAP, CCAP1982_LOCUS1383|CAD6992534.1|CCAP
OG0001883	LOC108091638|XP_017046428.1|DFIC	CCAP1982_LOCUS2229|CAD6993414.1|CCAP
OG0001884	LOC108093323|XP_017048800.1|DFIC	CCAP1982_LOCUS1429|CAD6992581.1|CCAP
OG0001886	LOC108099347|XP_017058316.1|DFIC	CCAP1982_LOCUS1050|CAD6992176.1|CCAP
OG0001887	LOC108096702|XP_017054025.1|DFIC	CCAP1982_LOCUS20351|CAD7012255.1|CCAP
OG0001888	LOC108089800|XP_017043688.1|DFIC, LOC108090240|XP_017044326.1|DFIC	CCAP1982_LOCUS224|CAD6991295.1|CCAP
OG0001890	LOC108100578|XP_017060046.1|DFIC	CCAP1982_LOCUS2856|CAD6994087.1|CCAP
OG0001891	LOC108093344|XP_017048841.1|DFIC	CCAP1982_LOCUS2944|CAD6994179.1|CCAP
OG0001893	LOC108088517|XP_017041845.1|DFIC	CCAP1982_LOCUS1735|CAD6992902.1|CCAP, CCAP1982_LOCUS1738|CAD6992905.1|CCAP
OG0001894	LOC108101589|XP_017061490.1|DFIC	CCAP1982_LOCUS22715|CAD7014737.1|CCAP
OG0001895	LOC108095026|XP_017051383.1|DFIC	CCAP1982_LOCUS9931|CAD7001434.1|CCAP
OG0001896	LOC108102089|XP_017062231.1|DFIC	CCAP1982_LOCUS10482|CAD7001996.1|CCAP
OG0001897	LOC108098890|XP_017057568.1|DFIC	CCAP1982_LOCUS2463|CAD6993655.1|CCAP
OG0001899	LOC108088035|XP_017041154.1|DFIC	CCAP1982_LOCUS1209|CAD6992345.1|CCAP
OG0001901	LOC108088164|XP_017041319.1|DFIC	CCAP1982_LOCUS5757|CAD6997106.1|CCAP, CCAP1982_LOCUS5756|CAD6997104.1|CCAP, CCAP1982_LOCUS5758|CAD6997109.1|CCAP
OG0001903	LOC108098608|XP_017057160.1|DFIC	CCAP1982_LOCUS2781|CAD6994000.1|CCAP
OG0001904	LOC108088427|XP_017041682.1|DFIC	CCAP1982_LOCUS2825|CAD6994050.1|CCAP
OG0001906	LOC108098543|XP_017057020.1|DFIC	CCAP1982_LOCUS1455|CAD6992606.1|CCAP, CCAP1982_LOCUS1453|CAD6992604.1|CCAP, CCAP1982_LOCUS1454|CAD6992605.1|CCAP
OG0001908	LOC108095805|XP_017052563.1|DFIC	CCAP1982_LOCUS2718|CAD6993930.1|CCAP
OG0001910	LOC108098927|XP_017057619.1|DFIC	CCAP1982_LOCUS3105|CAD6994350.1|CCAP
OG0001911	LOC108087012|XP_017039650.1|DFIC	CCAP1982_LOCUS3848|CAD6995126.1|CCAP, CCAP1982_LOCUS3845|CAD6995123.1|CCAP, CCAP1982_LOCUS3839|CAD6995117.1|CCAP, CCAP1982_LOCUS3849|CAD6995127.1|CCAP
OG0001912	LOC108101945|XP_017062019.1|DFIC	CCAP1982_LOCUS2354|CAD6993542.1|CCAP
OG0001914	LOC108092001|XP_017046916.1|DFIC	CCAP1982_LOCUS1303|CAD6992445.1|CCAP, CCAP1982_LOCUS1304|CAD6992447.1|CCAP
OG0001915	LOC108100018|XP_017059217.1|DFIC	CCAP1982_LOCUS11403|CAD7002938.1|CCAP, CCAP1982_LOCUS22437|CAD7014441.1|CCAP, CCAP1982_LOCUS22436|CAD7014440.1|CCAP
OG0001916	LOC108095214|XP_017051714.1|DFIC	CCAP1982_LOCUS21919|CAD7013905.1|CCAP
OG0001917	LOC108096221|XP_017053095.1|DFIC	CCAP1982_LOCUS10929|CAD7002439.1|CCAP
OG0001918	LOC108096393|XP_017053449.1|DFIC	CCAP1982_LOCUS11525|CAD7003062.1|CCAP
OG0001919	LOC108101870|XP_017061895.1|DFIC	CCAP1982_LOCUS21247|CAD7013176.1|CCAP, CCAP1982_LOCUS21246|CAD7013175.1|CCAP
OG0001920	LOC108086499|XP_017038952.1|DFIC, LOC108099137|XP_017057965.1|DFIC	CCAP1982_LOCUS12172|CAD7003736.1|CCAP
OG0001921	LOC108094962|XP_017051314.1|DFIC	CCAP1982_LOCUS14964|CAD7006661.1|CCAP
OG0001922	LOC108096820|XP_017054206.1|DFIC	CCAP1982_LOCUS7235|CAD6998676.1|CCAP
OG0001924	LOC108101512|XP_017061365.1|DFIC, LOC108094419|XP_017050479.1|DFIC	CCAP1982_LOCUS5884|CAD6997251.1|CCAP
OG0001925	LOC108088984|XP_017042516.1|DFIC	CCAP1982_LOCUS13224|CAD7004835.1|CCAP
OG0001928	LOC108089741|XP_017043612.1|DFIC	CCAP1982_LOCUS12931|CAD7004534.1|CCAP
OG0001929	LOC108089717|XP_017043553.1|DFIC	CCAP1982_LOCUS12927|CAD7004530.1|CCAP
OG0001930	LOC108096611|XP_017053844.1|DFIC	CCAP1982_LOCUS22561|CAD7014562.1|CCAP, CCAP1982_LOCUS22560|CAD7014561.1|CCAP
OG0001931	LOC108099955|XP_017059123.1|DFIC	CCAP1982_LOCUS14738|CAD7006418.1|CCAP
OG0001932	LOC108099851|XP_017058986.1|DFIC	CCAP1982_LOCUS14734|CAD7006414.1|CCAP
OG0001933	LOC108093992|XP_017049892.1|DFIC	CCAP1982_LOCUS20458|CAD7012364.1|CCAP
OG0001934	LOC108089760|XP_017043639.1|DFIC	CCAP1982_LOCUS11449|CAD7002986.1|CCAP
OG0001935	LOC108089571|XP_017043413.1|DFIC	CCAP1982_LOCUS14888|CAD7006574.1|CCAP
OG0001937	LOC108101861|XP_017061877.1|DFIC	CCAP1982_LOCUS21341|CAD7013270.1|CCAP
OG0001938	LOC108086433|XP_017038829.1|DFIC	CCAP1982_LOCUS21455|CAD7013390.1|CCAP
OG0001940	LOC108101497|XP_017061344.1|DFIC	CCAP1982_LOCUS21655|CAD7013601.1|CCAP
OG0001941	LOC108099079|XP_017057866.1|DFIC	CCAP1982_LOCUS11356|CAD7002887.1|CCAP
OG0001942	LOC108094309|XP_017050319.1|DFIC	CCAP1982_LOCUS21879|CAD7013860.1|CCAP
OG0001943	LOC108089343|XP_017043013.1|DFIC	CCAP1982_LOCUS14883|CAD7006569.1|CCAP
OG0001944	LOC108099056|XP_017057813.1|DFIC	CCAP1982_LOCUS11128|CAD7002645.1|CCAP
OG0001945	LOC108101535|XP_017061401.1|DFIC	CCAP1982_LOCUS22711|CAD7014732.1|CCAP
OG0001946	LOC108093823|XP_017049628.1|DFIC	CCAP1982_LOCUS21691|CAD7013647.1|CCAP
OG0001947	LOC108093902|XP_017049750.1|DFIC	CCAP1982_LOCUS21692|CAD7013648.1|CCAP
OG0001948	LOC108088655|XP_017042071.1|DFIC	CCAP1982_LOCUS13820|CAD7005460.1|CCAP
OG0001949	LOC108093123|XP_017048556.1|DFIC	CCAP1982_LOCUS13083|CAD7004689.1|CCAP
OG0001950	LOC108090115|XP_017044128.1|DFIC	CCAP1982_LOCUS4560|CAD6995859.1|CCAP
OG0001951	LOC108096661|XP_017053916.1|DFIC	CCAP1982_LOCUS23274|CAD7015329.1|CCAP
OG0001952	LOC108095722|XP_017052389.1|DFIC	CCAP1982_LOCUS23010|CAD7015053.1|CCAP
OG0001953	LOC108096828|XP_017054222.1|DFIC	CCAP1982_LOCUS22980|CAD7015023.1|CCAP, CCAP1982_LOCUS22978|CAD7015021.1|CCAP
OG0001954	LOC108096677|XP_017053949.1|DFIC	CCAP1982_LOCUS23202|CAD7015253.1|CCAP
OG0001955	LOC108096517|XP_017053636.1|DFIC	CCAP1982_LOCUS22670|CAD7014686.1|CCAP
OG0001957	LOC108087796|XP_017040828.1|DFIC	CCAP1982_LOCUS22307|CAD7014307.1|CCAP
OG0001958	LOC108096821|XP_017054208.1|DFIC	CCAP1982_LOCUS23338|CAD7015394.1|CCAP, CCAP1982_LOCUS23339|CAD7015395.1|CCAP
OG0001959	LOC108100246|XP_017059512.1|DFIC	CCAP1982_LOCUS14238|CAD7005898.1|CCAP
OG0001960	LOC108100336|XP_017059643.1|DFIC	CCAP1982_LOCUS12222|CAD7003786.1|CCAP
OG0001961	LOC108090928|XP_017045347.1|DFIC	CCAP1982_LOCUS22414|CAD7014418.1|CCAP, CCAP1982_LOCUS22415|CAD7014419.1|CCAP
OG0001962	LOC108101588|XP_017061488.1|DFIC	CCAP1982_LOCUS22716|CAD7014738.1|CCAP, CCAP1982_LOCUS22717|CAD7014739.1|CCAP
OG0001963	LOC108089549|XP_017043374.1|DFIC	CCAP1982_LOCUS12183|CAD7003747.1|CCAP
OG0001964	LOC108088244|XP_017041448.1|DFIC	CCAP1982_LOCUS12354|CAD7003931.1|CCAP
OG0001965	LOC108093097|XP_017048522.1|DFIC	CCAP1982_LOCUS12704|CAD7004284.1|CCAP
OG0001966	LOC108092122|XP_017047111.1|DFIC	CCAP1982_LOCUS3040|CAD6994279.1|CCAP
OG0001967	LOC108087872|XP_017040945.1|DFIC	CCAP1982_LOCUS22780|CAD7014812.1|CCAP
OG0001968	LOC108089748|XP_017043623.1|DFIC	CCAP1982_LOCUS14972|CAD7006670.1|CCAP
OG0001969	LOC108093832|XP_017049650.1|DFIC	CCAP1982_LOCUS21687|CAD7013643.1|CCAP
OG0001970	LOC108096876|XP_017054298.1|DFIC	CCAP1982_LOCUS23267|CAD7015322.1|CCAP
OG0001971	LOC108094814|XP_017051074.1|DFIC	CCAP1982_LOCUS8403|CAD6999893.1|CCAP
OG0001972	LOC108086318|XP_017038710.1|DFIC	CCAP1982_LOCUS23021|CAD7015065.1|CCAP
OG0001973	LOC108087714|XP_017040723.1|DFIC	CCAP1982_LOCUS22029|CAD7014023.1|CCAP
OG0001974	LOC108089165|XP_017042785.1|DFIC, LOC108090417|XP_017044563.1|DFIC	CCAP1982_LOCUS23362|CAD7015420.1|CCAP, CCAP1982_LOCUS23363|CAD7015421.1|CCAP
OG0001975	LOC108099214|XP_017058086.1|DFIC	CCAP1982_LOCUS11501|CAD7003038.1|CCAP
OG0001976	LOC108087683|XP_017040676.1|DFIC	CCAP1982_LOCUS22353|CAD7014356.1|CCAP
OG0001977	LOC108088156|XP_017041309.1|DFIC	CCAP1982_LOCUS10531|CAD7002043.1|CCAP, CCAP1982_LOCUS5765|CAD6997116.1|CCAP, CCAP1982_LOCUS10528|CAD7002040.1|CCAP
OG0001978	LOC108101505|XP_017061747.1|DFIC, LOC108095088|XP_017051513.1|DFIC	CCAP1982_LOCUS7617|CAD6999071.1|CCAP
OG0001979	LOC108100811|XP_017060367.1|DFIC	CCAP1982_LOCUS8860|CAD7000384.1|CCAP
OG0001980	LOC108091528|XP_017046279.1|DFIC	CCAP1982_LOCUS6688|CAD6998074.1|CCAP, CCAP1982_LOCUS6687|CAD6998073.1|CCAP
OG0001981	LOC108089951|XP_017043930.1|DFIC	CCAP1982_LOCUS7875|CAD6999348.1|CCAP
OG0001982	LOC108101717|XP_017061645.1|DFIC	CCAP1982_LOCUS5569|CAD6996896.1|CCAP
OG0001983	LOC108098848|XP_017057543.1|DFIC	CCAP1982_LOCUS3020|CAD6994259.1|CCAP
OG0001984	LOC108093430|XP_017048979.1|DFIC	CCAP1982_LOCUS9240|CAD7000765.1|CCAP
OG0001985	LOC108101145|XP_017060856.1|DFIC, LOC108101203|XP_017060939.1|DFIC	CCAP1982_LOCUS5651|CAD6996989.1|CCAP
OG0001986	LOC108093573|XP_017049164.1|DFIC, LOC108088146|XP_017041300.1|DFIC	CCAP1982_LOCUS6409|CAD6997784.1|CCAP
OG0001988	LOC108093869|XP_017049700.1|DFIC	CCAP1982_LOCUS22258|CAD7014255.1|CCAP
OG0001989	LOC108091415|XP_017046094.1|DFIC	CCAP1982_LOCUS6085|CAD6997439.1|CCAP, CCAP1982_LOCUS20246|CAD7012149.1|CCAP
OG0001990	LOC108089258|XP_017042913.1|DFIC, LOC108095888|XP_017052691.1|DFIC	CCAP1982_LOCUS6088|CAD6997442.1|CCAP
OG0001991	LOC108101339|XP_017061133.1|DFIC	CCAP1982_LOCUS5894|CAD6997261.1|CCAP
OG0001992	LOC108101998|XP_017062084.1|DFIC	CCAP1982_LOCUS7304|CAD6998750.1|CCAP
OG0001993	LOC108094376|XP_017050412.1|DFIC	CCAP1982_LOCUS6510|CAD6997891.1|CCAP
OG0001994	LOC108093352|XP_017048851.1|DFIC	CCAP1982_LOCUS4040|CAD6995322.1|CCAP
OG0001995	LOC108094467|XP_017050539.1|DFIC	CCAP1982_LOCUS7864|CAD6999337.1|CCAP
OG0001996	LOC108089969|XP_017043961.1|DFIC	CCAP1982_LOCUS6834|CAD6998223.1|CCAP
OG0001996	LOC108090420|XP_017044974.1|DFIC	CCAP1982_LOCUS6835|CAD6998224.1|CCAP
OG0001997	LOC108090781|XP_017045117.1|DFIC	CCAP1982_LOCUS22833|CAD7014869.1|CCAP
OG0001998	LOC108090778|XP_017045111.1|DFIC	CCAP1982_LOCUS22838|CAD7014874.1|CCAP
OG0001999	LOC108096687|XP_017053978.1|DFIC	CCAP1982_LOCUS23214|CAD7015266.1|CCAP
OG0002000	LOC108092617|XP_017047744.1|DFIC, LOC108095046|XP_017051477.1|DFIC	CCAP1982_LOCUS8817|CAD7000334.1|CCAP
OG0002001	LOC108095076|XP_017051488.1|DFIC, LOC108101596|XP_017061500.1|DFIC	CCAP1982_LOCUS8682|CAD7000189.1|CCAP
OG0002003	LOC108094098|XP_017050013.1|DFIC, LOC108098751|XP_017057374.1|DFIC	CCAP1982_LOCUS9016|CAD7000540.1|CCAP
OG0002004	LOC108090620|XP_017044885.1|DFIC	CCAP1982_LOCUS7661|CAD6999117.1|CCAP
OG0002005	LOC108098252|XP_017056535.1|DFIC	CCAP1982_LOCUS9022|CAD7000546.1|CCAP
OG0002006	LOC108100863|XP_017060431.1|DFIC	CCAP1982_LOCUS8852|CAD7000372.1|CCAP
OG0002007	LOC108086321|XP_017038712.1|DFIC, LOC108100975|XP_017060617.1|DFIC	CCAP1982_LOCUS5813|CAD6997170.1|CCAP
OG0002008	LOC108095006|XP_017051335.1|DFIC	CCAP1982_LOCUS10577|CAD7002089.1|CCAP, CCAP1982_LOCUS10575|CAD7002087.1|CCAP, CCAP1982_LOCUS10578|CAD7002090.1|CCAP
OG0002009	LOC108096547|XP_017053724.1|DFIC	CCAP1982_LOCUS7153|CAD6998573.1|CCAP
OG0002010	LOC108098747|XP_017057371.1|DFIC, LOC108091421|XP_017046137.1|DFIC	CCAP1982_LOCUS9018|CAD7000542.1|CCAP
OG0002011	LOC108098358|XP_017056692.1|DFIC	CCAP1982_LOCUS5797|CAD6997153.1|CCAP
OG0002012	LOC108089818|XP_017043709.1|DFIC	CCAP1982_LOCUS8101|CAD6999576.1|CCAP
OG0002013	LOC108101236|XP_017060975.1|DFIC	CCAP1982_LOCUS5842|CAD6997203.1|CCAP
OG0002014	LOC108095188|XP_017051670.1|DFIC	CCAP1982_LOCUS20407|CAD7012313.1|CCAP
OG0002015	LOC108100810|XP_017060366.1|DFIC	CCAP1982_LOCUS8287|CAD6999764.1|CCAP
OG0002016	LOC108090449|XP_017044621.1|DFIC	CCAP1982_LOCUS22546|CAD7014545.1|CCAP
OG0002017	LOC108100059|XP_017059281.1|DFIC	CCAP1982_LOCUS7916|CAD6999390.1|CCAP, CCAP1982_LOCUS7914|CAD6999388.1|CCAP
OG0002018	LOC108094353|XP_017050382.1|DFIC	CCAP1982_LOCUS5457|CAD6996782.1|CCAP
OG0002019	LOC108094174|XP_017050155.1|DFIC, LOC108094512|XP_017050601.1|DFIC	CCAP1982_LOCUS7335|CAD6998781.1|CCAP
OG0002020	LOC108094457|XP_017050524.1|DFIC	CCAP1982_LOCUS5558|CAD6996885.1|CCAP
OG0002021	LOC108087825|XP_017040883.1|DFIC	CCAP1982_LOCUS22781|CAD7014814.1|CCAP, CCAP1982_LOCUS22783|CAD7014816.1|CCAP
OG0002022	LOC108089932|XP_017043908.1|DFIC	CCAP1982_LOCUS7961|CAD6999437.1|CCAP
OG0002023	LOC108087117|XP_017039786.1|DFIC	CCAP1982_LOCUS2755|CAD6993970.1|CCAP
OG0002024	LOC108089253|XP_017042908.1|DFIC	CCAP1982_LOCUS5710|CAD6997056.1|CCAP
OG0002025	LOC108098702|XP_017057304.1|DFIC	CCAP1982_LOCUS8538|CAD7000034.1|CCAP
OG0002025	LOC108087273|XP_017040109.1|DFIC	CCAP1982_LOCUS8536|CAD7000032.1|CCAP
OG0002026	LOC108093584|XP_017049198.1|DFIC	CCAP1982_LOCUS11688|CAD7003227.1|CCAP, CCAP1982_LOCUS11689|CAD7003228.1|CCAP
OG0002027	LOC108096603|XP_017053790.1|DFIC	CCAP1982_LOCUS20430|CAD7012336.1|CCAP, CCAP1982_LOCUS20431|CAD7012337.1|CCAP
OG0002028	LOC108090805|XP_017045148.1|DFIC	CCAP1982_LOCUS20133|CAD7012029.1|CCAP
OG0002029	LOC108089723|XP_017043591.1|DFIC	CCAP1982_LOCUS12945|CAD7004548.1|CCAP
OG0002030	LOC108101920|XP_017061987.1|DFIC	CCAP1982_LOCUS21186|CAD7013113.1|CCAP
OG0002031	LOC108096918|XP_017054358.1|DFIC	CCAP1982_LOCUS19460|CAD7011357.1|CCAP
OG0002032	LOC108098503|XP_017056920.1|DFIC	CCAP1982_LOCUS23288|CAD7015343.1|CCAP, CCAP1982_LOCUS508|CAD6991591.1|CCAP
OG0002035	LOC108099615|XP_017058727.1|DFIC	CCAP1982_LOCUS4823|CAD6996129.1|CCAP
OG0002036	LOC108098765|XP_017057386.1|DFIC	CCAP1982_LOCUS4283|CAD6995573.1|CCAP, CCAP1982_LOCUS4277|CAD6995566.1|CCAP, CCAP1982_LOCUS4286|CAD6995576.1|CCAP
OG0002038	LOC108093113|XP_017048547.1|DFIC, LOC108101118|XP_017060827.1|DFIC	CCAP1982_LOCUS630|CAD6991717.1|CCAP
OG0002039	LOC108091718|XP_017046549.1|DFIC	CCAP1982_LOCUS5672|CAD6997011.1|CCAP
OG0002040	LOC108100432|XP_017059842.1|DFIC	CCAP1982_LOCUS4199|CAD6995484.1|CCAP
OG0002041	LOC108090432|XP_017044594.1|DFIC	CCAP1982_LOCUS19975|CAD7011863.1|CCAP
OG0002042	LOC108093543|XP_017049126.1|DFIC	CCAP1982_LOCUS4396|CAD6995689.1|CCAP, CCAP1982_LOCUS4389|CAD6995682.1|CCAP
OG0002043	LOC108090217|XP_017044299.1|DFIC	CCAP1982_LOCUS561|CAD6991647.1|CCAP
OG0002044	LOC108088454|XP_017041723.1|DFIC	CCAP1982_LOCUS4877|CAD6996185.1|CCAP, CCAP1982_LOCUS4875|CAD6996183.1|CCAP
OG0002045	LOC108099658|XP_017058781.1|DFIC	CCAP1982_LOCUS278|CAD6991349.1|CCAP
OG0002048	LOC108087914|XP_017040988.1|DFIC	CCAP1982_LOCUS826|CAD6991936.1|CCAP
OG0002049	LOC108102032|XP_017062136.1|DFIC	CCAP1982_LOCUS4976|CAD6996293.1|CCAP
OG0002050	LOC108097145|XP_017054747.1|DFIC	CCAP1982_LOCUS5116|CAD6996444.1|CCAP
OG0002051	LOC108086407|XP_017038798.1|DFIC	CCAP1982_LOCUS22484|CAD7014482.1|CCAP
OG0002052	LOC108089347|XP_017043017.1|DFIC	CCAP1982_LOCUS14831|CAD7006517.1|CCAP
OG0002053	LOC108099557|XP_017058632.1|DFIC	CCAP1982_LOCUS268|CAD6991339.1|CCAP
OG0002054	LOC108090130|XP_017044155.1|DFIC	CCAP1982_LOCUS2427|CAD6993617.1|CCAP
OG0002055	LOC108088037|XP_017041160.1|DFIC	CCAP1982_LOCUS382|CAD6991457.1|CCAP
OG0002056	LOC108089435|XP_017043154.1|DFIC	CCAP1982_LOCUS10781|CAD7002289.1|CCAP
OG0002057	LOC108089142|XP_017042752.1|DFIC	CCAP1982_LOCUS7071|CAD6998476.1|CCAP
OG0002058	LOC108099146|XP_017057981.1|DFIC	CCAP1982_LOCUS2599|CAD6993803.1|CCAP, CCAP1982_LOCUS12120|CAD7003683.1|CCAP
OG0002059	LOC108095851|XP_017052638.1|DFIC	CCAP1982_LOCUS862|CAD6991975.1|CCAP
OG0002060	LOC108086738|XP_017039259.1|DFIC	CCAP1982_LOCUS20652|CAD7012567.1|CCAP
OG0002061	LOC108090902|XP_017045307.1|DFIC	CCAP1982_LOCUS21100|CAD7013011.1|CCAP
OG0002065	LOC108099106|XP_017057917.1|DFIC	CCAP1982_LOCUS10902|CAD7002410.1|CCAP, CCAP1982_LOCUS10901|CAD7002409.1|CCAP
OG0002066	LOC108096604|XP_017053800.1|DFIC	CCAP1982_LOCUS4585|CAD6995884.1|CCAP, CCAP1982_LOCUS4583|CAD6995882.1|CCAP
OG0002067	LOC108090806|XP_017045151.1|DFIC	CCAP1982_LOCUS20152|CAD7012050.1|CCAP
OG0002068	LOC108096882|XP_017054312.1|DFIC	CCAP1982_LOCUS21706|CAD7013663.1|CCAP
OG0002070	LOC108092146|XP_017047150.1|DFIC	CCAP1982_LOCUS603|CAD6991690.1|CCAP
OG0002071	LOC108095773|XP_017052507.1|DFIC	CCAP1982_LOCUS2429|CAD6993619.1|CCAP
OG0002072	LOC108093922|XP_017049780.1|DFIC	CCAP1982_LOCUS22664|CAD7014680.1|CCAP
OG0002073	LOC108087462|XP_017040313.1|DFIC	CCAP1982_LOCUS12294|CAD7003864.1|CCAP
OG0002074	LOC108101925|XP_017061993.1|DFIC	CCAP1982_LOCUS19998|CAD7011886.1|CCAP
