Orthogroup	DFIC.longest_only	CQUI.longest_only
OG0001265	LOC108097223|XP_017054867.1|DFIC	LOC6034456|XP_038105093.1|CQUI
OG0001266	LOC108096907|XP_017054346.1|DFIC	LOC6035643|XP_001845783.2|CQUI
OG0001267	LOC108099590|XP_017058687.1|DFIC	LOC6051047|XP_038122925.1|CQUI, LOC6044839|XP_038105651.1|CQUI
OG0001269	LOC108093776|XP_017049536.1|DFIC	LOC6034952|XP_001845211.1|CQUI
OG0001270	LOC108090133|XP_017044158.1|DFIC	LOC119767815|XP_038113307.1|CQUI, LOC6037485|XP_038104290.1|CQUI
OG0001271	LOC108093967|XP_017049862.1|DFIC	LOC6043921|XP_001861500.2|CQUI, LOC6043922|XP_001861501.1|CQUI
OG0001272	LOC108100611|XP_017060089.1|DFIC	LOC6038800|XP_038115010.1|CQUI
OG0001273	LOC108091920|XP_017046795.1|DFIC	LOC6044636|XP_001862124.1|CQUI, LOC6047353|XP_001864428.2|CQUI, LOC119767645|XP_038112581.1|CQUI, LOC6047352|XP_038106332.1|CQUI
OG0001274	LOC108100517|XP_017059963.1|DFIC	LOC6048052|XP_038120536.1|CQUI
OG0001276	LOC108099901|XP_017059053.1|DFIC, LOC108099192|XP_017058053.1|DFIC	LOC6041249|XP_001850539.2|CQUI
OG0001277	LOC108099032|XP_017057777.1|DFIC	LOC6037285|XP_038119469.1|CQUI
OG0001278	LOC108087423|XP_017040259.1|DFIC	LOC6036217|XP_038115918.1|CQUI
OG0001279	LOC108087578|XP_017040499.1|DFIC	LOC6036221|XP_001846296.1|CQUI
OG0001280	LOC108099119|XP_017057940.1|DFIC	LOC6038254|XP_038118225.1|CQUI
OG0001281	LOC108100655|XP_017060155.1|DFIC	LOC6034616|XP_038118327.1|CQUI, LOC6052807|XP_001869012.2|CQUI, LOC6052810|XP_038116188.1|CQUI
OG0001282	LOC108092459|XP_017047537.1|DFIC	LOC6035619|XP_001845768.2|CQUI, LOC119767190|XP_038111103.1|CQUI
OG0001283	LOC108093722|XP_017049421.1|DFIC	LOC6053152|XP_038119033.1|CQUI
OG0001284	LOC108086362|XP_017038751.1|DFIC, LOC108096102|XP_017052968.1|DFIC, LOC108101730|XP_017061671.1|DFIC	LOC6032448|XP_001843044.1|CQUI
OG0001285	LOC108099616|XP_017058731.1|DFIC	LOC6040540|XP_001849924.2|CQUI, LOC6032470|XP_001843063.1|CQUI
OG0001286	LOC108095204|XP_017051704.1|DFIC, LOC108089976|XP_017043966.1|DFIC	LOC6048784|XP_038109129.1|CQUI
OG0001287	LOC108098972|XP_017057677.1|DFIC	LOC6041527|XP_001850775.2|CQUI, LOC6042657|XP_001853256.2|CQUI
OG0001288	LOC108091443|XP_017046126.1|DFIC	LOC6049426|XP_038107510.1|CQUI
OG0001289	LOC108089962|XP_017043944.1|DFIC	LOC6049419|XP_001866187.2|CQUI, LOC6049418|XP_001866186.2|CQUI, LOC6049417|XP_038107259.1|CQUI
OG0001290	LOC108087198|XP_017039988.1|DFIC, LOC108089775|XP_017043656.1|DFIC, LOC108090142|XP_017044219.1|DFIC	LOC6048341|XP_038111865.1|CQUI
OG0001291	LOC108090965|XP_017045400.1|DFIC	LOC6048800|XP_001865667.2|CQUI
OG0001292	LOC108090377|XP_017044496.1|DFIC	LOC6037255|XP_038109974.1|CQUI, LOC6037188|XP_038109977.1|CQUI
OG0001293	LOC108091355|XP_017045996.1|DFIC	LOC6040512|XP_001849898.1|CQUI
OG0001294	LOC108089690|XP_017043526.1|DFIC, LOC108098793|XP_017057422.1|DFIC	LOC6032208|XP_038117537.1|CQUI
OG0001295	LOC108094703|XP_017050928.1|DFIC	LOC6034917|XP_001845183.1|CQUI
OG0001296	LOC108101523|XP_017061386.1|DFIC	LOC6047495|XP_038119702.1|CQUI
OG0001297	LOC108099338|XP_017058302.1|DFIC	LOC6046059|XP_038117659.1|CQUI
OG0001298	LOC108098657|XP_017057221.1|DFIC	LOC6051290|XP_038120986.1|CQUI, LOC6045184|XP_038120344.1|CQUI
OG0001299	LOC108096318|XP_017053311.1|DFIC	LOC6049643|XP_038121699.1|CQUI, LOC6045696|XP_038115784.1|CQUI
OG0001300	LOC108087203|XP_017039958.1|DFIC	LOC6035030|XP_001845275.1|CQUI
OG0001301	LOC108088140|XP_017041293.1|DFIC	LOC6039153|XP_001848808.2|CQUI, LOC6039154|XP_001848809.2|CQUI
OG0001302	LOC108094946|XP_017051296.1|DFIC	LOC6047583|XP_001864626.2|CQUI
OG0001303	LOC108097875|XP_017055903.1|DFIC	LOC6045151|XP_001862551.1|CQUI
OG0001304	LOC108096813|XP_017054193.1|DFIC	LOC6051294|XP_038115861.1|CQUI
OG0001305	LOC108090134|XP_017044159.1|DFIC	LOC6042960|XP_038116247.1|CQUI
OG0001306	LOC108087001|XP_017039627.1|DFIC	LOC6047141|XP_038115120.1|CQUI
OG0001307	LOC108093114|XP_017048544.1|DFIC	LOC6045564|XP_038118987.1|CQUI
OG0001308	LOC108091347|XP_017045987.1|DFIC	LOC6042267|XP_038118191.1|CQUI
OG0001309	LOC108087016|XP_017039672.1|DFIC	LOC6037560|XP_038120045.1|CQUI, LOC6037559|XP_001847457.2|CQUI
OG0001310	LOC108088726|XP_017042162.1|DFIC, LOC108092983|XP_017048401.1|DFIC, LOC108094890|XP_017051254.1|DFIC, LOC108094984|XP_017051351.1|DFIC	LOC6047951|XP_038121204.1|CQUI
OG0001311	LOC108088611|XP_017041988.1|DFIC	LOC6033402|XP_038108518.1|CQUI, LOC6050205|XP_038104691.1|CQUI
OG0001312	LOC108099756|XP_017058875.1|DFIC, LOC108099702|XP_017058813.1|DFIC	LOC6043662|XP_038113256.1|CQUI
OG0001313	LOC108086759|XP_017039287.1|DFIC	LOC6042364|XP_001851491.2|CQUI
OG0001314	LOC108098363|XP_017056698.1|DFIC	LOC119765376|XP_038105034.1|CQUI, LOC119768586|XP_038114575.1|CQUI, LOC6053091|XP_001869240.2|CQUI, LOC6047348|XP_038113711.1|CQUI, LOC6033905|XP_038106239.1|CQUI
OG0001315	LOC108097095|XP_017054641.1|DFIC	LOC6038959|XP_038120814.1|CQUI
OG0001326	LOC108099489|XP_017058538.1|DFIC	LOC6035538|XP_001845699.1|CQUI, LOC6040423|XP_038104928.1|CQUI
OG0001328	LOC108094616|XP_017050787.1|DFIC	LOC6040979|XP_001850277.2|CQUI
OG0001329	LOC108097925|XP_017055967.1|DFIC	LOC6042511|XP_001870667.2|CQUI
OG0001330	LOC108097565|XP_017055435.1|DFIC	LOC6051124|XP_038112631.1|CQUI
OG0001331	LOC108097345|XP_017055070.1|DFIC	LOC6048186|XP_001865140.2|CQUI, LOC6048182|XP_001865139.2|CQUI
OG0001332	LOC108098047|XP_017056208.1|DFIC	LOC6039048|XP_001848726.2|CQUI, LOC6039047|XP_001848725.2|CQUI
OG0001333	LOC108092555|XP_017047678.1|DFIC	LOC6045950|XP_038105005.1|CQUI, LOC6045951|XP_038117371.1|CQUI
OG0001334	LOC108099594|XP_017058692.1|DFIC	LOC6037928|XP_038116113.1|CQUI, LOC6054650|XP_038122534.1|CQUI
OG0001335	LOC108088046|XP_017041170.1|DFIC	LOC6034790|XP_038104487.1|CQUI, LOC6034789|XP_038104575.1|CQUI
OG0001337	LOC108098033|XP_017056177.1|DFIC	LOC6051267|XP_038106593.1|CQUI
OG0001338	LOC108093804|XP_017049601.1|DFIC	LOC6052081|XP_001868402.1|CQUI
OG0001339	LOC108086719|XP_017039228.1|DFIC	LOC6041047|XP_001850358.2|CQUI
OG0001340	LOC108086354|XP_017038744.1|DFIC	LOC6035081|XP_001845316.2|CQUI
OG0001341	LOC108092153|XP_017047163.1|DFIC, LOC108090602|XP_017044859.1|DFIC, LOC108099633|XP_017058751.1|DFIC	LOC6037322|XP_001847247.2|CQUI
OG0001344	LOC108086785|XP_017039314.1|DFIC	LOC6049262|XP_038111703.1|CQUI, LOC6049278|XP_038113436.1|CQUI
OG0001345	LOC108098818|XP_017057461.1|DFIC	LOC6039603|XP_001849176.2|CQUI, LOC6035067|XP_001845303.1|CQUI
OG0001346	LOC108099586|XP_017058681.1|DFIC	LOC119768737|XP_038115561.1|CQUI
OG0001347	LOC108100927|XP_017060556.1|DFIC	LOC6037351|XP_001847274.2|CQUI
OG0001348	LOC108098040|XP_017056194.1|DFIC	LOC6035324|XP_001845539.2|CQUI
OG0001349	LOC108089006|XP_017042568.1|DFIC	LOC6031053|XP_038118485.1|CQUI
OG0001350	LOC108100715|XP_017060236.1|DFIC	LOC6031018|XP_038118484.1|CQUI
OG0001351	LOC108093699|XP_017049378.1|DFIC	LOC6039262|XP_001848897.2|CQUI
OG0001352	LOC108091132|XP_017045651.1|DFIC	LOC6039281|XP_038119488.1|CQUI
OG0001353	LOC108096326|XP_017053347.1|DFIC	LOC6047788|XP_001864800.2|CQUI, LOC6044635|XP_001862123.1|CQUI
OG0001354	LOC108087693|XP_017040691.1|DFIC	LOC6047340|XP_038118747.1|CQUI
OG0001355	LOC108096872|XP_017054290.1|DFIC	LOC6041332|XP_001850609.1|CQUI, LOC119768576|XP_038114525.1|CQUI, LOC6041748|XP_001850966.2|CQUI, LOC6045513|XP_001862876.1|CQUI, LOC6046214|XP_001863443.2|CQUI
OG0001356	LOC108092118|XP_017047107.1|DFIC	LOC6036243|XP_038119253.1|CQUI, LOC6050488|XP_038120895.1|CQUI
OG0001357	LOC108096226|XP_017053109.1|DFIC	LOC6040104|XP_001849570.2|CQUI
OG0001358	LOC108088284|XP_017041494.1|DFIC	LOC6048059|XP_038118974.1|CQUI
OG0001359	LOC108088158|XP_017041311.1|DFIC	LOC6050003|XP_038119402.1|CQUI, LOC6050011|XP_001866683.2|CQUI
OG0001360	LOC108090733|XP_017045045.1|DFIC	LOC6036534|XP_001846579.2|CQUI
OG0001361	LOC108087421|XP_017040257.1|DFIC	LOC6039413|XP_038114631.1|CQUI, LOC6031921|XP_038114630.1|CQUI
OG0001362	LOC108087431|XP_017040274.1|DFIC	LOC6036218|XP_001846293.1|CQUI
OG0001363	LOC108101018|XP_017060672.1|DFIC	LOC6039410|XP_001849022.1|CQUI, LOC6047507|XP_001864556.2|CQUI
OG0001364	LOC108086608|XP_017039072.1|DFIC	LOC6045816|XP_038117771.1|CQUI, LOC6049405|XP_038110257.1|CQUI
OG0001365	LOC108093107|XP_017048537.1|DFIC, LOC108089004|XP_017042565.1|DFIC	LOC6036529|XP_001846574.1|CQUI
OG0001367	LOC108096795|XP_017054163.1|DFIC	LOC6035628|XP_038118306.1|CQUI
OG0001368	LOC108090480|XP_017044668.1|DFIC	LOC6033581|XP_038118796.1|CQUI
OG0001369	LOC108097650|XP_017055570.1|DFIC	LOC6035620|XP_001845769.2|CQUI
OG0001370	LOC108087732|XP_017040742.1|DFIC	LOC6030780|XP_001841674.2|CQUI
OG0001372	LOC108101854|XP_017061863.1|DFIC	LOC6052802|XP_038118759.1|CQUI
OG0001373	LOC108093443|XP_017048996.1|DFIC	LOC6041327|XP_038111903.1|CQUI
OG0001374	LOC108101528|XP_017061389.1|DFIC	LOC6032452|XP_001843048.1|CQUI
OG0001375	LOC108091390|XP_017046060.1|DFIC	LOC119766164|XP_038106502.1|CQUI
OG0001376	LOC108086400|XP_017038791.1|DFIC	LOC6048889|XP_001865734.2|CQUI, LOC6048890|XP_001865735.2|CQUI
OG0001377	LOC108100852|XP_017060420.1|DFIC	LOC6031968|XP_038112116.1|CQUI
OG0001378	LOC108088219|XP_017041414.1|DFIC	LOC6039573|XP_001849170.2|CQUI
OG0001379	LOC108092522|XP_017047633.1|DFIC	LOC6045361|XP_038113639.1|CQUI
OG0001381	LOC108090430|XP_017044590.1|DFIC	LOC6033216|XP_001843693.2|CQUI
OG0001382	LOC108092364|XP_017047390.1|DFIC	LOC6031266|XP_038109596.1|CQUI
OG0001383	LOC108090520|XP_017044728.1|DFIC	LOC6048994|XP_001865828.1|CQUI
OG0001384	LOC108101177|XP_017060897.1|DFIC	LOC6046637|XP_001863807.2|CQUI
OG0001385	LOC108101194|XP_017060926.1|DFIC	LOC6034387|XP_038110617.1|CQUI
OG0001387	LOC108100877|XP_017060460.1|DFIC	LOC6047222|XP_001864306.1|CQUI, LOC6047224|XP_038112158.1|CQUI
OG0001388	LOC108089206|XP_017042845.1|DFIC	LOC6032182|XP_038109835.1|CQUI, LOC6032181|XP_038113802.1|CQUI, LOC6052123|XP_001868440.2|CQUI
OG0001389	LOC108091710|XP_017046537.1|DFIC	LOC6044883|XP_038121439.1|CQUI, LOC6038982|XP_038119289.1|CQUI
OG0001390	LOC108101278|XP_017061060.1|DFIC	LOC6043555|XP_038119180.1|CQUI
OG0001391	LOC108101169|XP_017060886.1|DFIC	LOC6048704|XP_038118530.1|CQUI
OG0001392	LOC108092972|XP_017048349.1|DFIC	LOC6041800|XP_001851015.2|CQUI
OG0001393	LOC108101219|XP_017060956.1|DFIC	LOC119770223|XP_038120602.1|CQUI
OG0001394	LOC108089179|XP_017042803.1|DFIC	LOC6046271|XP_038119136.1|CQUI, LOC119766035|XP_038106314.1|CQUI, LOC6052486|XP_038108722.1|CQUI
OG0001395	LOC108098936|XP_017057630.1|DFIC	LOC119770297|XP_038120835.1|CQUI
OG0001396	LOC108095368|XP_017051938.1|DFIC	LOC6039739|XP_001849290.2|CQUI
OG0001397	LOC108102077|XP_017062209.1|DFIC	LOC6047980|XP_038116129.1|CQUI, LOC6037602|XP_038121622.1|CQUI
OG0001399	LOC108086330|XP_017038720.1|DFIC	LOC6046189|XP_038112799.1|CQUI
OG0001400	LOC108087120|XP_017039791.1|DFIC	LOC6046814|XP_001863949.2|CQUI
OG0001401	LOC108100215|XP_017059481.1|DFIC	LOC6035448|XP_001845635.2|CQUI, LOC6043103|XP_001855831.2|CQUI, LOC6035463|XP_001845649.1|CQUI
OG0001402	LOC108096292|XP_017053254.1|DFIC, LOC108096459|XP_017053555.1|DFIC	LOC6052985|XP_001869146.2|CQUI
OG0001403	LOC108088928|XP_017042439.1|DFIC	LOC6035872|XP_001845986.2|CQUI, LOC6035873|XP_001845987.2|CQUI
OG0001404	LOC108094886|XP_017051212.1|DFIC	LOC6031682|XP_038114066.1|CQUI
OG0001405	LOC108090766|XP_017045094.1|DFIC	LOC6037799|XP_001847675.2|CQUI
OG0001406	LOC108091032|XP_017045472.1|DFIC	LOC6051904|XP_001868262.1|CQUI
OG0001407	LOC108099890|XP_017059035.1|DFIC	LOC6038938|XP_001848633.1|CQUI
OG0001408	LOC108093661|XP_017049330.1|DFIC	LOC6054709|XP_001870580.2|CQUI
OG0001429	LOC108091857|XP_017046726.1|DFIC	LOC6048863|XP_038105219.1|CQUI, LOC6047055|XP_038104443.1|CQUI
OG0001430	LOC108091624|XP_017046409.1|DFIC	LOC6044329|XP_038105537.1|CQUI
OG0001431	LOC108088574|XP_017041912.1|DFIC	LOC6035151|XP_038104540.1|CQUI
OG0001432	LOC108090553|XP_017044785.1|DFIC, LOC108098110|XP_017056313.1|DFIC	LOC6054521|XP_038122563.1|CQUI
OG0001433	LOC108095972|XP_017052803.1|DFIC	LOC6046915|XP_038104735.1|CQUI
OG0001434	LOC108091337|XP_017045969.1|DFIC	LOC6045215|XP_001862605.2|CQUI
OG0001435	LOC108101488|XP_017061328.1|DFIC	LOC6051492|XP_038117227.1|CQUI, LOC6045719|XP_001863028.2|CQUI
OG0001436	LOC108092893|XP_017048230.1|DFIC	LOC6050198|XP_038104525.1|CQUI
OG0001437	LOC108100978|XP_017060621.1|DFIC	LOC6048183|XP_001865135.1|CQUI
OG0001438	LOC108097493|XP_017055285.1|DFIC	LOC6037949|XP_038122757.1|CQUI
OG0001439	LOC108093349|XP_017048846.1|DFIC	LOC6049817|XP_038122655.1|CQUI, LOC6052268|XP_038106474.1|CQUI, LOC6035724|XP_038116899.1|CQUI, LOC119766585|XP_038107328.1|CQUI
OG0001440	LOC108097449|XP_017055210.1|DFIC	LOC6048960|XP_038105048.1|CQUI
OG0001442	LOC108088206|XP_017041396.1|DFIC	LOC6044008|XP_001861568.1|CQUI
OG0001443	LOC108099432|XP_017058455.1|DFIC	LOC6047470|XP_001864524.2|CQUI, LOC6047471|XP_001864525.2|CQUI
OG0001444	LOC108099544|XP_017058608.1|DFIC	LOC6044859|XP_038104624.1|CQUI
OG0001445	LOC108098565|XP_017057068.1|DFIC	LOC6039932|XP_001849430.1|CQUI
OG0001446	LOC108091654|XP_017046451.1|DFIC	LOC6040670|XP_038122660.1|CQUI, LOC119765526|XP_038105472.1|CQUI
OG0001447	LOC108102063|XP_017062182.1|DFIC	LOC6035336|XP_038104354.1|CQUI
OG0001448	LOC108099487|XP_017058536.1|DFIC	LOC6035542|XP_001845700.1|CQUI, LOC6047272|XP_001864351.2|CQUI, LOC6047705|XP_001864727.2|CQUI
OG0001449	LOC108093746|XP_017049501.1|DFIC	LOC6039600|XP_001849180.2|CQUI
OG0001450	LOC108088131|XP_017041280.1|DFIC	LOC6031154|XP_038116027.1|CQUI
OG0001451	LOC108094230|XP_017050178.1|DFIC	LOC6038893|XP_038113599.1|CQUI, LOC119767033|XP_038110189.1|CQUI, LOC119769371|XP_038117350.1|CQUI
OG0001452	LOC108096751|XP_017054095.1|DFIC	LOC6052660|XP_038115024.1|CQUI
OG0001453	LOC108093211|XP_017048662.1|DFIC	LOC6049785|XP_001866492.2|CQUI, LOC6049784|XP_001866491.2|CQUI
OG0001454	LOC108097537|XP_017055376.1|DFIC	LOC6032932|XP_001843452.2|CQUI
OG0001455	LOC108100431|XP_017059830.1|DFIC	LOC6051546|XP_038119698.1|CQUI
OG0001456	LOC108096608|XP_017053804.1|DFIC	LOC6052304|XP_038116089.1|CQUI
OG0001457	LOC108096621|XP_017053855.1|DFIC	LOC6039266|XP_038118474.1|CQUI
OG0001458	LOC108101451|XP_017061278.1|DFIC	LOC6041453|XP_038116471.1|CQUI, LOC6041452|XP_038117278.1|CQUI
OG0001459	LOC108093207|XP_017048659.1|DFIC	LOC6052886|XP_038112076.1|CQUI, LOC6045671|XP_038117105.1|CQUI
OG0001460	LOC108093762|XP_017049520.1|DFIC	LOC6043365|XP_038120741.1|CQUI
OG0001461	LOC108097656|XP_017055578.1|DFIC	LOC6048746|XP_038116352.1|CQUI
OG0001464	LOC108097130|XP_017054715.1|DFIC	LOC6043979|XP_038118854.1|CQUI
OG0001465	LOC108096952|XP_017054408.1|DFIC	LOC6052932|XP_038120832.1|CQUI
OG0001466	LOC108092271|XP_017047294.1|DFIC	LOC6036432|XP_038121604.1|CQUI
OG0001467	LOC108095266|XP_017051783.1|DFIC, LOC108098705|XP_017057307.1|DFIC	LOC6050213|XP_001866857.1|CQUI, LOC6036548|XP_001846591.2|CQUI
OG0001468	LOC108096427|XP_017053503.1|DFIC, LOC108096443|XP_017053530.1|DFIC, LOC108096444|XP_017053537.1|DFIC, LOC108096426|XP_017053500.1|DFIC	LOC6038227|XP_001848055.2|CQUI
OG0001469	LOC108093801|XP_017049594.1|DFIC	LOC6041964|XP_038118490.1|CQUI
OG0001470	LOC108100705|XP_017060222.1|DFIC	LOC6050356|XP_038121253.1|CQUI, LOC6050354|XP_038117145.1|CQUI
OG0001471	LOC108100386|XP_017059730.1|DFIC	LOC6037170|XP_038117414.1|CQUI
OG0001472	LOC108089389|XP_017043061.1|DFIC	LOC6035488|XP_001845669.1|CQUI
OG0001473	LOC108098497|XP_017056905.1|DFIC	LOC6043807|XP_001861406.2|CQUI, LOC6043808|XP_038122295.1|CQUI
OG0001474	LOC108097274|XP_017054961.1|DFIC	LOC6040681|XP_038105414.1|CQUI
OG0001475	LOC108093895|XP_017049740.1|DFIC	LOC6043752|XP_038110406.1|CQUI
OG0001476	LOC108088662|XP_017042079.1|DFIC	LOC6048642|XP_038110160.1|CQUI
OG0001477	LOC108088515|XP_017041842.1|DFIC	LOC6032451|XP_001843047.1|CQUI
OG0001478	LOC108091462|XP_017046163.1|DFIC	LOC6034120|XP_001844488.2|CQUI
OG0001480	LOC108091525|XP_017046276.1|DFIC	LOC6043201|XP_001857542.2|CQUI
OG0001481	LOC108086720|XP_017039271.1|DFIC, LOC108091264|XP_017045865.1|DFIC	LOC6031364|XP_038107828.1|CQUI
OG0001482	LOC108090307|XP_017044406.1|DFIC	LOC6031947|XP_001842625.2|CQUI
OG0001483	LOC108101605|XP_017061511.1|DFIC	LOC6043303|XP_038106817.1|CQUI
OG0001484	LOC108092335|XP_017047360.1|DFIC	LOC6031200|XP_001842038.2|CQUI, LOC6036994|XP_038106889.1|CQUI
OG0001485	LOC108088306|XP_017041525.1|DFIC	LOC6036177|XP_038106782.1|CQUI, LOC119766360|XP_038106781.1|CQUI, LOC6036179|XP_038113696.1|CQUI
OG0001486	LOC108100897|XP_017060495.1|DFIC	LOC6034896|XP_038107061.1|CQUI
OG0001487	LOC108100495|XP_017059933.1|DFIC	LOC6053489|XP_038110588.1|CQUI
OG0001488	LOC108087873|XP_017040947.1|DFIC	LOC6047908|XP_038114121.1|CQUI
OG0001489	LOC108098314|XP_017056616.1|DFIC, LOC108101958|XP_017062035.1|DFIC	LOC6032104|XP_038107020.1|CQUI, LOC6032110|XP_038112609.1|CQUI
OG0001490	LOC108092376|XP_017047406.1|DFIC	LOC6032134|XP_001842788.1|CQUI
OG0001491	LOC108092513|XP_017047621.1|DFIC	LOC6033331|XP_001843796.1|CQUI
OG0001492	LOC108100022|XP_017059218.1|DFIC	LOC6048340|XP_038111871.1|CQUI
OG0001493	LOC108097791|XP_017055811.1|DFIC	LOC6040502|XP_001849888.1|CQUI
OG0001495	LOC108101494|XP_017061341.1|DFIC	LOC6041805|XP_001851019.2|CQUI
OG0001496	LOC108095329|XP_017051899.1|DFIC	LOC119769667|XP_038118888.1|CQUI
OG0001497	LOC108090541|XP_017044764.1|DFIC	LOC6048948|XP_038120703.1|CQUI
OG0001500	LOC108095183|XP_017051658.1|DFIC	LOC6050346|XP_038118495.1|CQUI
OG0001501	LOC108087898|XP_017040965.1|DFIC	LOC6037771|XP_001847650.2|CQUI, LOC6037770|XP_001847649.2|CQUI
OG0001502	LOC108093941|XP_017049815.1|DFIC	LOC6033994|XP_001844381.1|CQUI
OG0001503	LOC108093979|XP_017049876.1|DFIC	LOC6031515|XP_038110033.1|CQUI
OG0001504	LOC108090595|XP_017044836.1|DFIC, LOC108092905|XP_017048249.1|DFIC	LOC6036866|XP_038107420.1|CQUI
OG0001506	LOC108096786|XP_017054150.1|DFIC	LOC6043675|XP_038109186.1|CQUI
OG0001507	LOC108090790|XP_017045126.1|DFIC	LOC6036616|XP_038108568.1|CQUI, LOC6049887|XP_038108917.1|CQUI
OG0001508	LOC108094920|XP_017051259.1|DFIC	LOC6047098|XP_038110554.1|CQUI, LOC6051703|XP_038112138.1|CQUI
OG0001509	LOC108096586|XP_017053774.1|DFIC	LOC6042455|XP_038114123.1|CQUI
OG0001510	LOC108088122|XP_017041265.1|DFIC	LOC6049879|XP_001866569.2|CQUI, LOC6053362|XP_038112276.1|CQUI
OG0001511	LOC108095203|XP_017051700.1|DFIC	LOC6034200|XP_001844554.2|CQUI
OG0001512	LOC108086963|XP_017039565.1|DFIC	LOC6034555|XP_038113919.1|CQUI
OG0001513	LOC108100738|XP_017060265.1|DFIC, LOC108101636|XP_017061538.1|DFIC	LOC6034558|XP_038106054.1|CQUI
OG0001515	LOC108090041|XP_017044031.1|DFIC, LOC108097377|XP_017055114.1|DFIC	LOC6032502|XP_001843091.1|CQUI
OG0001534	LOC108097114|XP_017054687.1|DFIC	LOC119768890|XP_038116590.1|CQUI, LOC6050116|XP_038116548.1|CQUI
OG0001535	LOC108098118|XP_017056327.1|DFIC	LOC6049759|XP_001866470.2|CQUI
OG0001536	LOC108091098|XP_017045605.1|DFIC	LOC6047702|XP_001864725.2|CQUI, LOC119769391|XP_038117458.1|CQUI
OG0001537	LOC108091566|XP_017046328.1|DFIC	LOC6036962|XP_038104622.1|CQUI
OG0001538	LOC108095547|XP_017052164.1|DFIC	LOC6051448|XP_001867887.1|CQUI
OG0001539	LOC108101408|XP_017061223.1|DFIC	LOC6047629|XP_038111858.1|CQUI
OG0001540	LOC108092442|XP_017047512.1|DFIC	LOC6045246|XP_038104466.1|CQUI
OG0001541	LOC108088762|XP_017042200.1|DFIC	LOC6040730|XP_038108263.1|CQUI
OG0001542	LOC108097431|XP_017055193.1|DFIC	LOC6040719|XP_038122365.1|CQUI
OG0001543	LOC108097923|XP_017055960.1|DFIC	LOC6049648|XP_038119626.1|CQUI, LOC119766019|XP_038106279.1|CQUI
OG0001545	LOC108092806|XP_017048067.1|DFIC	LOC6041845|XP_001851055.2|CQUI
OG0001546	LOC108092797|XP_017048057.1|DFIC	LOC6041847|XP_038105040.1|CQUI, LOC6041843|XP_001851053.2|CQUI
OG0001548	LOC108098087|XP_017056280.1|DFIC	LOC6031444|XP_038107826.1|CQUI
OG0001549	LOC108098208|XP_017056455.1|DFIC	LOC119771149|XP_038122501.1|CQUI, LOC6031765|XP_038110368.1|CQUI
OG0001550	LOC108086670|XP_017039146.1|DFIC	LOC6034733|XP_001845013.1|CQUI
OG0001551	LOC108095640|XP_017052295.1|DFIC, LOC108091704|XP_017046531.1|DFIC	LOC6048977|XP_038105432.1|CQUI, LOC6048979|XP_038123020.1|CQUI
OG0001552	LOC108099521|XP_017058576.1|DFIC	LOC6042417|XP_001851537.1|CQUI
OG0001553	LOC108097370|XP_017055104.1|DFIC	LOC6049664|XP_038117806.1|CQUI
OG0001554	LOC108098933|XP_017057627.1|DFIC	LOC6047921|XP_038115900.1|CQUI
OG0001555	LOC108101250|XP_017060995.1|DFIC	LOC6041540|XP_038112803.1|CQUI, LOC6035547|XP_038111901.1|CQUI
OG0001556	LOC108090539|XP_017044762.1|DFIC	LOC6036277|XP_001846343.1|CQUI
OG0001557	LOC108101685|XP_017061603.1|DFIC	LOC6032557|XP_038117789.1|CQUI
OG0001559	LOC108092159|XP_017047168.1|DFIC	LOC6032627|XP_038117581.1|CQUI
OG0001560	LOC108098562|XP_017057058.1|DFIC	LOC6035520|XP_038105194.1|CQUI
OG0001561	LOC108092071|XP_017047028.1|DFIC	LOC6039613|XP_001849187.2|CQUI
OG0001562	LOC108088160|XP_017041313.1|DFIC	LOC6041461|XP_001850718.2|CQUI, LOC6047991|XP_001864968.2|CQUI, LOC6041457|XP_038118003.1|CQUI
OG0001563	LOC108101135|XP_017060846.1|DFIC, LOC108101990|XP_017062074.1|DFIC	LOC6037333|XP_038119352.1|CQUI
OG0001564	LOC108099403|XP_017058398.1|DFIC	LOC6032190|XP_038114038.1|CQUI
OG0001565	LOC108099453|XP_017058483.1|DFIC	LOC6049260|XP_038122779.1|CQUI, LOC6040673|XP_038108211.1|CQUI
OG0001566	LOC108092044|XP_017046975.1|DFIC	LOC6045590|XP_001862931.1|CQUI
OG0001567	LOC108086421|XP_017038812.1|DFIC	LOC6032066|XP_001842732.1|CQUI
OG0001568	LOC108091947|XP_017046825.1|DFIC	LOC6032078|XP_038104758.1|CQUI
OG0001569	LOC108091915|XP_017046789.1|DFIC	LOC6032085|XP_001842751.2|CQUI
OG0001570	LOC108087082|XP_017039751.1|DFIC	LOC6033929|XP_038104685.1|CQUI
OG0001571	LOC108089273|XP_017042935.1|DFIC	LOC6031781|XP_038112990.1|CQUI
OG0001572	LOC108102177|XP_017062370.1|DFIC	LOC6031115|XP_001841960.1|CQUI, LOC6031114|XP_038118150.1|CQUI
OG0001573	LOC108096253|XP_017053197.1|DFIC	LOC6047431|XP_038117579.1|CQUI
OG0001574	LOC108092974|XP_017048352.1|DFIC	LOC6032294|XP_038113921.1|CQUI, LOC6043339|XP_001870938.1|CQUI
OG0001575	LOC108092004|XP_017046922.1|DFIC	LOC6044655|XP_001862135.2|CQUI
