Orthogroup	DFIC.longest_only	BTRY.longest_only
OG0000331	LOC108100900|XP_017060500.1|DFIC, LOC108100889|XP_017060487.1|DFIC	LOC120769238|XP_039952071.1|BTRY
OG0000332	LOC108089153|XP_017042766.1|DFIC	LOC120766326|XP_039947684.1|BTRY
OG0000332	LOC108088621|XP_017042018.1|DFIC	LOC120774932|XP_039960743.1|BTRY
OG0000333	LOC108087426|XP_017040265.1|DFIC, LOC108089758|XP_017043636.1|DFIC	LOC120776546|XP_039963228.1|BTRY, LOC120776544|XP_039963218.1|BTRY, LOC120776542|XP_039963214.1|BTRY
OG0000333	LOC108099112|XP_017057928.1|DFIC	LOC120776547|XP_039963229.1|BTRY
OG0000334	LOC108101583|XP_017061484.1|DFIC, LOC108094695|XP_017050915.1|DFIC	LOC120774998|XP_039960854.1|BTRY
OG0000334	LOC108094008|XP_017049924.1|DFIC	LOC120771849|XP_039956026.1|BTRY, LOC120772789|XP_039957505.1|BTRY
OG0000335	LOC108094431|XP_017050491.1|DFIC, LOC108101881|XP_017061959.1|DFIC	LOC120767480|XP_039949505.1|BTRY
OG0000335	LOC108101963|XP_017062075.1|DFIC, LOC108094458|XP_017050526.1|DFIC	LOC120767479|XP_039949503.1|BTRY
OG0000336	LOC108102013|XP_017062100.1|DFIC, LOC108095869|XP_017052662.1|DFIC, LOC108095868|XP_017052661.1|DFIC	LOC120769770|XP_039952889.1|BTRY
OG0000337	LOC108088846|XP_017042309.1|DFIC, LOC108097307|XP_017055013.1|DFIC, LOC108099982|XP_017059168.1|DFIC	LOC120766375|XP_039947742.1|BTRY
OG0000338	LOC108100584|XP_017060051.1|DFIC	LOC120777234|XP_039964352.1|BTRY
OG0000338	LOC108092833|XP_017048125.1|DFIC, LOC108096853|XP_017054260.1|DFIC	LOC120770461|XP_039953889.1|BTRY
OG0000339	LOC108089359|XP_017043026.1|DFIC	LOC120778134|XP_039965792.1|BTRY
OG0000340	LOC108094037|XP_017049959.1|DFIC	LOC120771806|XP_039955946.1|BTRY
OG0000342	LOC108102180|XP_017062374.1|DFIC, LOC108093311|XP_017048783.1|DFIC, LOC108101804|XP_017061770.1|DFIC	LOC120774021|XP_039959243.1|BTRY
OG0000343	LOC108099350|XP_017058319.1|DFIC	LOC120778308|XP_039966037.1|BTRY
OG0000344	LOC108094075|XP_017050005.1|DFIC	LOC120771051|XP_039954788.1|BTRY
OG0000344	LOC108088414|XP_017041661.1|DFIC	LOC120766693|XP_039948277.1|BTRY
OG0000345	LOC108101531|XP_017061393.1|DFIC	LOC120773088|XP_039957990.1|BTRY
OG0000345	LOC108087802|XP_017040837.1|DFIC	LOC120770320|XP_039953635.1|BTRY
OG0000346	LOC108101895|XP_017061944.1|DFIC, LOC108096556|XP_017053734.1|DFIC, LOC108101796|XP_017061762.1|DFIC, LOC108101827|XP_017061823.1|DFIC	LOC120771778|XP_039955902.1|BTRY
OG0000347	LOC108095610|XP_017052264.1|DFIC, LOC108093086|XP_017048503.1|DFIC	LOC120777530|XP_039964847.1|BTRY
OG0000347	LOC108101319|XP_017061112.1|DFIC	LOC120767435|XP_039949430.1|BTRY
OG0000348	LOC108092578|XP_017047711.1|DFIC	LOC120769393|XP_039952297.1|BTRY
OG0000348	LOC108089985|XP_017043974.1|DFIC	LOC120767574|XP_039949645.1|BTRY
OG0000349	LOC108098360|XP_017056695.1|DFIC	LOC120768895|XP_039951582.1|BTRY
OG0000350	LOC108100239|XP_017059505.1|DFIC	LOC120776422|XP_039963001.1|BTRY
OG0000350	LOC108086536|XP_017038962.1|DFIC	LOC120776439|XP_039963028.1|BTRY
OG0000351	LOC108090988|XP_017045433.1|DFIC	LOC120771786|XP_039955914.1|BTRY
OG0000351	LOC108090660|XP_017044931.1|DFIC	LOC120770740|XP_039954263.1|BTRY
OG0000353	LOC108097688|XP_017055645.1|DFIC	LOC120776473|XP_039963083.1|BTRY
OG0000353	LOC108088121|XP_017041264.1|DFIC	LOC120781466|XP_039969623.1|BTRY
OG0000354	LOC108092419|XP_017047476.1|DFIC	LOC120767660|XP_039949767.1|BTRY
OG0000355	LOC108101442|XP_017061268.1|DFIC	LOC120771205|XP_039955041.1|BTRY
OG0000355	LOC108101349|XP_017061145.1|DFIC	LOC120770439|XP_039953843.1|BTRY
OG0000356	LOC108096088|XP_017052945.1|DFIC, LOC108087453|XP_017040344.1|DFIC, LOC108087613|XP_017040586.1|DFIC, LOC108096095|XP_017052954.1|DFIC, LOC108087532|XP_017040466.1|DFIC	LOC120770335|XP_039953665.1|BTRY, LOC120770334|XP_039953663.1|BTRY, LOC120772442|XP_039956993.1|BTRY
OG0000358	LOC108093299|XP_017048764.1|DFIC	LOC120777551|XP_039964877.1|BTRY
OG0000359	LOC108096186|XP_017053058.1|DFIC, LOC108096160|XP_017053030.1|DFIC, LOC108096189|XP_017053060.1|DFIC	LOC120778373|XP_039966093.1|BTRY
OG0000361	LOC108092197|XP_017047213.1|DFIC, LOC108091787|XP_017046634.1|DFIC, LOC108100905|XP_017060508.1|DFIC	LOC120768611|XP_039951311.1|BTRY
OG0000362	LOC108101979|XP_017062063.1|DFIC	LOC120779094|XP_039967196.1|BTRY
OG0000362	LOC108088777|XP_017042222.1|DFIC	LOC120778669|XP_039966535.1|BTRY
OG0000363	LOC108095749|XP_017052423.1|DFIC	LOC120775658|XP_039961859.1|BTRY
OG0000363	LOC108099810|XP_017058924.1|DFIC	LOC120779091|XP_039967181.1|BTRY
OG0000364	LOC108100125|XP_017059367.1|DFIC	LOC120778786|XP_039966707.1|BTRY
OG0000364	LOC108099085|XP_017057888.1|DFIC	LOC120778787|XP_039966716.1|BTRY
OG0000365	LOC108095221|XP_017051726.1|DFIC	LOC120772169|XP_039956543.1|BTRY
OG0000365	LOC108100115|XP_017059353.1|DFIC, LOC108101501|XP_017061353.1|DFIC	LOC120768322|XP_039950894.1|BTRY
OG0000366	LOC108091205|XP_017045785.1|DFIC	LOC120774263|XP_039959665.1|BTRY
OG0000366	LOC108095979|XP_017052812.1|DFIC	LOC120780807|XP_039968989.1|BTRY
OG0000367	LOC108087502|XP_017040386.1|DFIC	LOC120768508|XP_039951168.1|BTRY
OG0000367	LOC108094891|XP_017051218.1|DFIC	LOC120770824|XP_039954338.1|BTRY
OG0000368	LOC108100668|XP_017060171.1|DFIC	LOC120778882|XP_039966859.1|BTRY, LOC120778883|XP_039966860.1|BTRY
OG0000368	LOC108100394|XP_017059742.1|DFIC	LOC120777794|XP_039965259.1|BTRY
OG0000370	LOC108096191|XP_017053063.1|DFIC, LOC108096196|XP_017053069.1|DFIC, LOC108088337|XP_017041568.1|DFIC, LOC108096748|XP_017054091.1|DFIC	LOC120774286|XP_039959713.1|BTRY
OG0000376	LOC108097938|XP_017056020.1|DFIC, LOC108088143|XP_017041298.1|DFIC, LOC108097937|XP_017056019.1|DFIC, LOC108093991|XP_017049896.1|DFIC	LOC120775818|XP_039962106.1|BTRY
OG0000377	LOC108098112|XP_017056315.1|DFIC	LOC120772534|XP_039957145.1|BTRY, LOC120772535|XP_039957147.1|BTRY, LOC120774731|XP_039960417.1|BTRY, LOC120774730|XP_039960415.1|BTRY
OG0000378	LOC108093898|XP_017049747.1|DFIC	LOC120776151|XP_039962629.1|BTRY
OG0000378	LOC108092914|XP_017048261.1|DFIC	LOC120769436|XP_039952351.1|BTRY
OG0000379	LOC108101460|XP_017061293.1|DFIC, LOC108101452|XP_017061281.1|DFIC, LOC108101550|XP_017061436.1|DFIC	LOC120772092|XP_039956430.1|BTRY
OG0000380	LOC108094909|XP_017051244.1|DFIC	LOC120777433|XP_039964674.1|BTRY
OG0000380	LOC108093243|XP_017048707.1|DFIC	LOC120777435|XP_039964675.1|BTRY
OG0000381	LOC108098744|XP_017057367.1|DFIC, LOC108091343|XP_017046015.1|DFIC	LOC120767468|XP_039949490.1|BTRY
OG0000382	LOC108088797|XP_017042256.1|DFIC	LOC120775122|XP_039961078.1|BTRY
OG0000383	LOC108092379|XP_017047413.1|DFIC	LOC120767904|XP_039950185.1|BTRY
OG0000383	LOC108098250|XP_017056530.1|DFIC, LOC108101137|XP_017060849.1|DFIC	LOC120767902|XP_039950182.1|BTRY
OG0000384	LOC108086474|XP_017038889.1|DFIC	LOC120772420|XP_039956966.1|BTRY
OG0000384	LOC108086460|XP_017038875.1|DFIC	LOC120770607|XP_039954144.1|BTRY
OG0000385	LOC108091320|XP_017045944.1|DFIC	LOC120780127|XP_039968341.1|BTRY, LOC120774086|XP_039959352.1|BTRY
OG0000385	LOC108091319|XP_017045942.1|DFIC	LOC120774085|XP_039959350.1|BTRY, LOC120774973|XP_039960799.1|BTRY
OG0000386	LOC108096468|XP_017053570.1|DFIC, LOC108096269|XP_017053219.1|DFIC, LOC108096173|XP_017053045.1|DFIC, LOC108088539|XP_017041873.1|DFIC	LOC120781604|XP_039969777.1|BTRY
OG0000389	LOC108096346|XP_017053382.1|DFIC	LOC120771680|XP_039955737.1|BTRY
OG0000390	LOC108100024|XP_017059224.1|DFIC, LOC108101997|XP_017062083.1|DFIC	LOC120771071|XP_039954817.1|BTRY
OG0000391	LOC108095217|XP_017051720.1|DFIC	LOC120771069|XP_039954812.1|BTRY
OG0000391	LOC108095244|XP_017051759.1|DFIC	LOC120771124|XP_039954907.1|BTRY
OG0000392	LOC108089785|XP_017043669.1|DFIC	LOC120769281|XP_039952131.1|BTRY
OG0000392	LOC108089996|XP_017043986.1|DFIC	LOC120769186|XP_039952008.1|BTRY
OG0000393	LOC108100355|XP_017059682.1|DFIC	LOC120767748|XP_039949897.1|BTRY
OG0000393	LOC108100700|XP_017060217.1|DFIC	LOC120768428|XP_039951042.1|BTRY
OG0000394	LOC108091198|XP_017045769.1|DFIC	LOC120773359|XP_039958117.1|BTRY
OG0000394	LOC108091200|XP_017045771.1|DFIC	LOC120773360|XP_039958118.1|BTRY, LOC120773362|XP_039958122.1|BTRY, LOC120773361|XP_039958119.1|BTRY
OG0000395	LOC108100636|XP_017060127.1|DFIC, LOC108100139|XP_017059381.1|DFIC, LOC108100138|XP_017059380.1|DFIC	LOC120778433|XP_039966149.1|BTRY
OG0000396	LOC108100802|XP_017060354.1|DFIC	LOC120769341|XP_039952232.1|BTRY, LOC120767208|XP_039948951.1|BTRY
OG0000397	LOC108090403|XP_017044542.1|DFIC, LOC108090402|XP_017044541.1|DFIC, LOC108090401|XP_017044538.1|DFIC	LOC120770499|XP_039953957.1|BTRY, LOC120770497|XP_039953954.1|BTRY
OG0000399	LOC108095889|XP_017052689.1|DFIC	LOC120766843|XP_039948489.1|BTRY
OG0000399	LOC108096693|XP_017053998.1|DFIC	LOC120766879|XP_039948547.1|BTRY
OG0000400	LOC108097633|XP_017055549.1|DFIC	LOC120774408|XP_039959967.1|BTRY
OG0000400	LOC108094518|XP_017050609.1|DFIC, LOC108097800|XP_017055820.1|DFIC	LOC120774940|XP_039960753.1|BTRY, LOC120774941|XP_039960754.1|BTRY, LOC120774766|XP_039960460.1|BTRY
OG0000401	LOC108089493|XP_017043268.1|DFIC, LOC108094613|XP_017050781.1|DFIC	LOC120774242|XP_039959636.1|BTRY
OG0000402	LOC108088699|XP_017042128.1|DFIC	LOC120776166|XP_039962707.1|BTRY
OG0000403	LOC108088400|XP_017041643.1|DFIC	LOC120767034|XP_039948814.1|BTRY
OG0000403	LOC108087660|XP_017040639.1|DFIC	LOC120770420|XP_039953799.1|BTRY
OG0000404	LOC108099666|XP_017058790.1|DFIC	LOC120782378|XP_039970554.1|BTRY
OG0000405	LOC108091301|XP_017045912.1|DFIC	LOC120775347|XP_039961428.1|BTRY
OG0000406	LOC108099966|XP_017059142.1|DFIC	LOC120779166|XP_039967326.1|BTRY
OG0000406	LOC108086450|XP_017038857.1|DFIC	LOC120771109|XP_039954892.1|BTRY
OG0000407	LOC108093774|XP_017049538.1|DFIC	LOC120776370|XP_039962883.1|BTRY
OG0000408	LOC108087098|XP_017039768.1|DFIC, LOC108093424|XP_017048966.1|DFIC	LOC120769044|XP_039951824.1|BTRY
OG0000409	LOC108086772|XP_017039307.1|DFIC, LOC108090394|XP_017044532.1|DFIC	LOC120771406|XP_039955314.1|BTRY, LOC120771481|XP_039955449.1|BTRY
OG0000411	LOC108099452|XP_017058481.1|DFIC	LOC120777280|XP_039964424.1|BTRY
OG0000411	LOC108097820|XP_017055828.1|DFIC	LOC120769527|XP_039952500.1|BTRY
OG0000412	LOC108094955|XP_017051306.1|DFIC	LOC120772605|XP_039957253.1|BTRY
OG0000412	LOC108086928|XP_017039521.1|DFIC	LOC120777580|XP_039964926.1|BTRY
OG0000413	LOC108099307|XP_017058189.1|DFIC	LOC120766222|XP_039947531.1|BTRY
OG0000413	LOC108090211|XP_017044291.1|DFIC	LOC120766492|XP_039947978.1|BTRY
OG0000414	LOC108093604|XP_017049219.1|DFIC, LOC108093643|XP_017049291.1|DFIC, LOC108091134|XP_017045657.1|DFIC	LOC120772664|XP_039957331.1|BTRY
OG0000415	LOC108090831|XP_017045182.1|DFIC	LOC120770881|XP_039954453.1|BTRY
OG0000415	LOC108096772|XP_017054136.1|DFIC	LOC120772785|XP_039957502.1|BTRY
OG0000416	LOC108092941|XP_017048297.1|DFIC	LOC120775373|XP_039961469.1|BTRY, LOC120774960|XP_039960780.1|BTRY
OG0000416	LOC108091110|XP_017045622.1|DFIC	LOC120774132|XP_039959448.1|BTRY
OG0000417	LOC108099606|XP_017058715.1|DFIC	LOC120766838|XP_039948483.1|BTRY
OG0000417	LOC108099642|XP_017058760.1|DFIC	LOC120782836|XP_039971293.1|BTRY, LOC120782779|XP_039971180.1|BTRY
OG0000418	LOC108092814|XP_017048075.1|DFIC	LOC120775998|XP_039962365.1|BTRY
OG0000418	LOC108088663|XP_017042080.1|DFIC	LOC120775994|XP_039962360.1|BTRY
OG0000419	LOC108101844|XP_017061852.1|DFIC	LOC120772990|XP_039957837.1|BTRY
OG0000421	LOC108101743|XP_017061692.1|DFIC, LOC108095504|XP_017052106.1|DFIC	LOC120768035|XP_039950462.1|BTRY
OG0000421	LOC108100873|XP_017060454.1|DFIC	LOC120768668|XP_039951380.1|BTRY
OG0000422	LOC108096986|XP_017054458.1|DFIC	LOC120780556|XP_039968747.1|BTRY
OG0000423	LOC108096817|XP_017054198.1|DFIC	LOC120770394|XP_039953759.1|BTRY
OG0000423	LOC108096704|XP_017054027.1|DFIC	LOC120770005|XP_039953031.1|BTRY
OG0000424	LOC108098672|XP_017057256.1|DFIC	LOC120770993|XP_039954673.1|BTRY
OG0000424	LOC108095234|XP_017051747.1|DFIC	LOC120770914|XP_039954538.1|BTRY
OG0000425	LOC108090325|XP_017044426.1|DFIC	LOC120772681|XP_039957353.1|BTRY
OG0000425	LOC108094952|XP_017051304.1|DFIC	LOC120770802|XP_039954315.1|BTRY
OG0000426	LOC108096682|XP_017053972.1|DFIC, LOC108096681|XP_017053971.1|DFIC, LOC108096649|XP_017053903.1|DFIC, LOC108096650|XP_017053904.1|DFIC	LOC120767283|XP_039949097.1|BTRY, LOC120769710|XP_039952783.1|BTRY, LOC120769049|XP_039951833.1|BTRY
OG0000428	LOC108093195|XP_017048645.1|DFIC, LOC108093194|XP_017048644.1|DFIC, LOC108093193|XP_017048643.1|DFIC	LOC120772925|XP_039957759.1|BTRY
OG0000429	LOC108086465|XP_017038881.1|DFIC	LOC120770795|XP_039954308.1|BTRY, LOC120771992|XP_039956282.1|BTRY
OG0000429	LOC108086473|XP_017038888.1|DFIC	LOC120771757|XP_039955873.1|BTRY, LOC120771336|XP_039955215.1|BTRY
OG0000430	LOC108086801|XP_017039331.1|DFIC, LOC108087111|XP_017039782.1|DFIC	LOC120774784|XP_039960496.1|BTRY
OG0000433	LOC108091080|XP_017045573.1|DFIC	LOC120774862|XP_039960624.1|BTRY
OG0000433	LOC108093272|XP_017048740.1|DFIC	LOC120778215|XP_039965906.1|BTRY
OG0000434	LOC108095885|XP_017052685.1|DFIC	LOC120772696|XP_039957370.1|BTRY, LOC120772247|XP_039956678.1|BTRY
OG0000434	LOC108101348|XP_017061143.1|DFIC	LOC120771558|XP_039955554.1|BTRY, LOC120771322|XP_039955200.1|BTRY
OG0000435	LOC108097453|XP_017055214.1|DFIC	LOC120774231|XP_039959624.1|BTRY
OG0000437	LOC108089263|XP_017042923.1|DFIC	LOC120781389|XP_039969532.1|BTRY
OG0000437	LOC108100101|XP_017059335.1|DFIC	LOC120769054|XP_039951837.1|BTRY
OG0000438	LOC108088851|XP_017042314.1|DFIC, LOC108097725|XP_017055713.1|DFIC	LOC120775835|XP_039962138.1|BTRY
OG0000439	LOC108098745|XP_017057369.1|DFIC	LOC120767996|XP_039950349.1|BTRY
OG0000439	LOC108086956|XP_017039558.1|DFIC	LOC120778369|XP_039966090.1|BTRY
OG0000440	LOC108096908|XP_017054347.1|DFIC	LOC120771326|XP_039955205.1|BTRY
OG0000440	LOC108087848|XP_017040916.1|DFIC	LOC120771453|XP_039955398.1|BTRY
OG0000441	LOC108087758|XP_017040777.1|DFIC	LOC120770035|XP_039953084.1|BTRY, LOC120772426|XP_039956971.1|BTRY
OG0000441	LOC108087773|XP_017040791.1|DFIC	LOC120772252|XP_039956689.1|BTRY
OG0000443	LOC108100219|XP_017059488.1|DFIC, LOC108099972|XP_017059171.1|DFIC, LOC108100182|XP_017059444.1|DFIC	LOC120767448|XP_039949449.1|BTRY
OG0000444	LOC108098738|XP_017057358.1|DFIC	LOC120777609|XP_039964992.1|BTRY
OG0000444	LOC108098726|XP_017057334.1|DFIC	LOC120777797|XP_039965263.1|BTRY
OG0000446	LOC108094710|XP_017050936.1|DFIC, LOC108088571|XP_017041906.1|DFIC	LOC120771905|XP_039956120.1|BTRY
OG0000448	LOC108086874|XP_017039425.1|DFIC	LOC120782620|XP_039970921.1|BTRY
OG0000449	LOC108099910|XP_017059061.1|DFIC	LOC120776397|XP_039962951.1|BTRY
OG0000449	LOC108094459|XP_017050527.1|DFIC	LOC120767465|XP_039949487.1|BTRY
OG0000450	LOC108091182|XP_017045730.1|DFIC	LOC120774365|XP_039959889.1|BTRY
OG0000450	LOC108098077|XP_017056259.1|DFIC	LOC120774824|XP_039960565.1|BTRY
OG0000451	LOC108097293|XP_017054994.1|DFIC	LOC120775737|XP_039961988.1|BTRY
OG0000451	LOC108097292|XP_017054993.1|DFIC	LOC120775735|XP_039961987.1|BTRY, LOC120775418|XP_039961530.1|BTRY
OG0000453	LOC108092228|XP_017047254.1|DFIC	LOC120766550|XP_039948067.1|BTRY
OG0000453	LOC108092226|XP_017047249.1|DFIC	LOC120782890|XP_039971372.1|BTRY
OG0000454	LOC108091832|XP_017046700.1|DFIC, LOC108100320|XP_017059616.1|DFIC	LOC120771593|XP_039955599.1|BTRY, LOC120771036|XP_039954758.1|BTRY
OG0000455	LOC108096776|XP_017054141.1|DFIC	LOC120771949|XP_039956193.1|BTRY
OG0000456	LOC108101973|XP_017062056.1|DFIC	LOC120779448|XP_039967629.1|BTRY
OG0000456	LOC108090038|XP_017044021.1|DFIC	LOC120768512|XP_039951171.1|BTRY
OG0000457	LOC108093464|XP_017049035.1|DFIC	LOC120781641|XP_039969806.1|BTRY
OG0000457	LOC108092999|XP_017048384.1|DFIC	LOC120768879|XP_039951566.1|BTRY
OG0000458	LOC108092260|XP_017047272.1|DFIC	LOC120768030|XP_039950444.1|BTRY
OG0000460	LOC108094179|XP_017050127.1|DFIC	LOC120768381|XP_039950981.1|BTRY
OG0000462	LOC108101066|XP_017060744.1|DFIC, LOC108101065|XP_017060743.1|DFIC, LOC108101067|XP_017060745.1|DFIC	LOC120766648|XP_039948245.1|BTRY
OG0000463	LOC108091622|XP_017046407.1|DFIC, LOC108092776|XP_017047998.1|DFIC, LOC108091621|XP_017046406.1|DFIC	LOC120772993|XP_039957840.1|BTRY
OG0000465	LOC108099673|XP_017058801.1|DFIC	LOC120780110|XP_039968359.1|BTRY
OG0000465	LOC108099533|XP_017058594.1|DFIC	LOC120772118|XP_039956467.1|BTRY
OG0000466	LOC108091068|XP_017045558.1|DFIC	LOC120773729|XP_039958719.1|BTRY
OG0000466	LOC108091481|XP_017046190.1|DFIC	LOC120768513|XP_039951175.1|BTRY
OG0000467	LOC108094263|XP_017050218.1|DFIC	LOC120772136|XP_039956488.1|BTRY
OG0000467	LOC108094198|XP_017050140.1|DFIC	LOC120772332|XP_039956808.1|BTRY
OG0000468	LOC108100752|XP_017060273.1|DFIC	LOC120766448|XP_039947890.1|BTRY
OG0000468	LOC108093750|XP_017049506.1|DFIC	LOC120772763|XP_039957470.1|BTRY
OG0000469	LOC108094498|XP_017050587.1|DFIC	LOC120767613|XP_039949700.1|BTRY
OG0000470	LOC108088820|XP_017042277.1|DFIC	LOC120778542|XP_039966325.1|BTRY
OG0000470	LOC108100575|XP_017060041.1|DFIC	LOC120782030|XP_039970120.1|BTRY
OG0000471	LOC108100720|XP_017060242.1|DFIC, LOC108092566|XP_017047695.1|DFIC	LOC120767631|XP_039949725.1|BTRY, LOC120769192|XP_039952020.1|BTRY
OG0000472	LOC108094242|XP_017050190.1|DFIC, LOC108094321|XP_017050351.1|DFIC	LOC120767472|XP_039949529.1|BTRY, LOC120770657|XP_039954184.1|BTRY, LOC120781188|XP_039969245.1|BTRY, LOC120780761|XP_039968948.1|BTRY, LOC120780810|XP_039968990.1|BTRY, LOC120782422|XP_039970608.1|BTRY, LOC120781189|XP_039969246.1|BTRY, LOC120781936|XP_039970037.1|BTRY, LOC120780319|XP_039968546.1|BTRY, LOC120779517|XP_039967781.1|BTRY, LOC120768797|XP_039951487.1|BTRY, LOC120781655|XP_039969813.1|BTRY, LOC120766387|XP_039947759.1|BTRY, LOC120781765|XP_039969931.1|BTRY, LOC120780732|XP_039968924.1|BTRY, LOC120773791|XP_039958820.1|BTRY, LOC120781063|XP_039969149.1|BTRY, LOC120779523|XP_039967786.1|BTRY, LOC120780824|XP_039969002.1|BTRY, LOC120779778|XP_039968089.1|BTRY, LOC120779741|XP_039968049.1|BTRY, LOC120778353|XP_039966076.1|BTRY, LOC120781148|XP_039969215.1|BTRY, LOC120781365|XP_039969507.1|BTRY, LOC120780877|XP_039969045.1|BTRY, LOC120780873|XP_039969041.1|BTRY, LOC120768838|XP_039951524.1|BTRY, LOC120780711|XP_039968904.1|BTRY, LOC120779530|XP_039967810.1|BTRY, LOC120779348|XP_039967478.1|BTRY, LOC120780752|XP_039968941.1|BTRY, LOC120780540|XP_039968736.1|BTRY
OG0000473	LOC108088725|XP_017042161.1|DFIC	LOC120775766|XP_039962033.1|BTRY
OG0000473	LOC108097332|XP_017055052.1|DFIC	LOC120775662|XP_039961864.1|BTRY
OG0000474	LOC108098060|XP_017056236.1|DFIC, LOC108100185|XP_017059443.1|DFIC	LOC120775186|XP_039961175.1|BTRY
OG0000475	LOC108099555|XP_017058627.1|DFIC	LOC120767162|XP_039948919.1|BTRY
OG0000475	LOC108098809|XP_017057445.1|DFIC, LOC108099483|XP_017058531.1|DFIC	LOC120770612|XP_039954148.1|BTRY
OG0000476	LOC108099272|XP_017058137.1|DFIC, LOC108099316|XP_017058216.1|DFIC	LOC120766557|XP_039948077.1|BTRY
OG0000476	LOC108099650|XP_017058769.1|DFIC	LOC120770518|XP_039953995.1|BTRY
OG0000477	LOC108099636|XP_017058755.1|DFIC	LOC120775069|XP_039960995.1|BTRY
OG0000477	LOC108099637|XP_017058756.1|DFIC	LOC120782442|XP_039970662.1|BTRY, LOC120774017|XP_039959237.1|BTRY, LOC120774008|XP_039959225.1|BTRY
OG0000478	LOC108102203|XP_017062394.1|DFIC, LOC108095881|XP_017052677.1|DFIC	LOC120772691|XP_039957364.1|BTRY, LOC120773038|XP_039957901.1|BTRY
OG0000479	LOC108099581|XP_017058675.1|DFIC, LOC108099300|XP_017058185.1|DFIC	LOC120782720|XP_039971077.1|BTRY, LOC120779825|XP_039968130.1|BTRY, LOC120766753|XP_039948360.1|BTRY
OG0000480	LOC108092360|XP_017047385.1|DFIC, LOC108086341|XP_017038731.1|DFIC, LOC108089619|XP_017043473.1|DFIC, LOC108092357|XP_017047381.1|DFIC	LOC120768928|XP_039951642.1|BTRY
OG0000482	LOC108088084|XP_017041228.1|DFIC	LOC120766731|XP_039948318.1|BTRY
OG0000483	LOC108091937|XP_017046814.1|DFIC, LOC108091898|XP_017046771.1|DFIC	LOC120766986|XP_039948724.1|BTRY
OG0000484	LOC108101061|XP_017060736.1|DFIC	LOC120766420|XP_039947886.1|BTRY
OG0000484	LOC108101062|XP_017060737.1|DFIC	LOC120766487|XP_039948012.1|BTRY
OG0000485	LOC108099937|XP_017059096.1|DFIC	LOC120777647|XP_039965033.1|BTRY
OG0000486	LOC108087696|XP_017040698.1|DFIC, LOC108087694|XP_017040695.1|DFIC	LOC120771363|XP_039955254.1|BTRY, LOC120772509|XP_039957088.1|BTRY
OG0000487	LOC108101466|XP_017061300.1|DFIC	LOC120771254|XP_039955105.1|BTRY
OG0000487	LOC108101580|XP_017061481.1|DFIC	LOC120770707|XP_039954222.1|BTRY, LOC120771626|XP_039955650.1|BTRY, LOC120772506|XP_039957085.1|BTRY
OG0000489	LOC108098686|XP_017057284.1|DFIC	LOC120766213|XP_039947516.1|BTRY
OG0000489	LOC108091156|XP_017045681.1|DFIC	LOC120769711|XP_039952787.1|BTRY
OG0000490	LOC108097318|XP_017055027.1|DFIC	LOC120775304|XP_039961372.1|BTRY
OG0000490	LOC108092804|XP_017048063.1|DFIC	LOC120776015|XP_039962394.1|BTRY
OG0000491	LOC108087109|XP_017039780.1|DFIC, LOC108087734|XP_017040744.1|DFIC, LOC108093952|XP_017049841.1|DFIC, LOC108087733|XP_017040743.1|DFIC	LOC120772631|XP_039957287.1|BTRY
OG0000492	LOC108090324|XP_017044425.1|DFIC	LOC120772323|XP_039956787.1|BTRY
OG0000492	LOC108101359|XP_017061158.1|DFIC, LOC108102104|XP_017062259.1|DFIC	LOC120774473|XP_039960063.1|BTRY
OG0000493	LOC108086286|XP_017038664.1|DFIC, LOC108086287|XP_017038665.1|DFIC	LOC120768974|XP_039951710.1|BTRY
OG0000494	LOC108094925|XP_017051276.1|DFIC, LOC108101739|XP_017061687.1|DFIC	LOC120769283|XP_039952138.1|BTRY
OG0000495	LOC108092967|XP_017048345.1|DFIC	LOC120770491|XP_039953940.1|BTRY, LOC120772615|XP_039957263.1|BTRY
OG0000495	LOC108087627|XP_017040573.1|DFIC	LOC120770492|XP_039953943.1|BTRY
OG0000496	LOC108091896|XP_017046806.1|DFIC	LOC120768068|XP_039950524.1|BTRY
OG0000497	LOC108100122|XP_017059364.1|DFIC	LOC120768950|XP_039951670.1|BTRY
OG0000497	LOC108100088|XP_017059320.1|DFIC, LOC108093314|XP_017048790.1|DFIC	LOC120769545|XP_039952523.1|BTRY
OG0000498	LOC108091845|XP_017046715.1|DFIC	LOC120782315|XP_039970465.1|BTRY
OG0000498	LOC108091921|XP_017046796.1|DFIC	LOC120768227|XP_039950745.1|BTRY
OG0000499	LOC108101874|XP_017061899.1|DFIC	LOC120774341|XP_039959837.1|BTRY
OG0000499	LOC108092944|XP_017048301.1|DFIC	LOC120766275|XP_039947611.1|BTRY
OG0000500	LOC108099769|XP_017058886.1|DFIC	LOC120778821|XP_039966760.1|BTRY
OG0000500	LOC108099953|XP_017059118.1|DFIC	LOC120778259|XP_039965970.1|BTRY
OG0000501	LOC108090554|XP_017044783.1|DFIC, LOC108090315|XP_017044416.1|DFIC, LOC108101147|XP_017060859.1|DFIC	LOC120771118|XP_039954902.1|BTRY
OG0000504	LOC108089401|XP_017043079.1|DFIC	LOC120776440|XP_039963029.1|BTRY, LOC120776441|XP_039963032.1|BTRY, LOC120778621|XP_039966438.1|BTRY, LOC120776645|XP_039963412.1|BTRY, LOC120777904|XP_039965419.1|BTRY
