Orthogroup	DFIC.longest_only	CPIP.longest_only
OG0001809	LOC108091397|XP_017046070.1|DFIC	LOC120424387|XP_039444421.1|CPIP
OG0001810	LOC108091669|XP_017046471.1|DFIC	LOC120416840|XP_039434663.1|CPIP, LOC120421221|XP_039440360.1|CPIP
OG0001811	LOC108101599|XP_017061501.1|DFIC	LOC120422717|XP_039442178.1|CPIP
OG0001812	LOC108097419|XP_017055172.1|DFIC	LOC120422747|XP_039442224.1|CPIP, LOC120418264|XP_039436515.1|CPIP
OG0001813	LOC108101043|XP_017060711.1|DFIC	LOC120419408|XP_039438016.1|CPIP
OG0001814	LOC108098574|XP_017057097.1|DFIC	LOC120429061|XP_039450138.1|CPIP
OG0001815	LOC108090209|XP_017044290.1|DFIC	LOC120431023|XP_039452112.1|CPIP
OG0001816	LOC108094911|XP_017051246.1|DFIC	LOC120423156|XP_039442769.1|CPIP
OG0001817	LOC108090696|XP_017044968.1|DFIC	LOC120421367|XP_039440490.1|CPIP
OG0001818	LOC108091233|XP_017045828.1|DFIC	LOC120416654|XP_039434399.1|CPIP, LOC120416656|XP_039434400.1|CPIP
OG0001819	LOC108090819|XP_017045168.1|DFIC	LOC120424753|XP_039444880.1|CPIP, LOC120414223|XP_039431267.1|CPIP
OG0001821	LOC108101940|XP_017062013.1|DFIC	LOC120415251|XP_039432651.1|CPIP
OG0001822	LOC108096971|XP_017054438.1|DFIC	LOC120426052|XP_039446668.1|CPIP
OG0001823	LOC108099834|XP_017058955.1|DFIC	LOC120415280|XP_039432684.1|CPIP, LOC120415308|XP_039432720.1|CPIP
OG0001824	LOC108094140|XP_017050061.1|DFIC	LOC120425104|XP_039445436.1|CPIP, LOC120425222|XP_039445590.1|CPIP
OG0001825	LOC108094763|XP_017051010.1|DFIC	LOC120418446|XP_039436787.1|CPIP
OG0001826	LOC108096791|XP_017054159.1|DFIC	LOC120414889|XP_039432146.1|CPIP
OG0001827	LOC108093680|XP_017049346.1|DFIC	LOC120427761|XP_039448605.1|CPIP, LOC120427760|XP_039448604.1|CPIP
OG0001828	LOC108088652|XP_017042068.1|DFIC	LOC120427284|XP_039448066.1|CPIP, LOC120415447|XP_039432929.1|CPIP
OG0001829	LOC108087754|XP_017040771.1|DFIC	LOC120412766|XP_039429291.1|CPIP
OG0001830	LOC108096956|XP_017054413.1|DFIC	LOC120429987|XP_039451014.1|CPIP
OG0001831	LOC108099747|XP_017058861.1|DFIC	LOC120425250|XP_039445630.1|CPIP, LOC120425252|XP_039445632.1|CPIP
OG0001832	LOC108097324|XP_017055034.1|DFIC	LOC120415194|XP_039432585.1|CPIP
OG0001833	LOC108090729|XP_017045032.1|DFIC	LOC120415845|XP_039433414.1|CPIP
OG0001834	LOC108098849|XP_017057500.1|DFIC	LOC120427429|XP_039448220.1|CPIP, LOC120426063|XP_039446683.1|CPIP
OG0001848	LOC108098859|XP_017057519.1|DFIC, LOC108094954|XP_017051309.1|DFIC	LOC120415033|XP_039432335.1|CPIP
OG0001849	LOC108087271|XP_017040067.1|DFIC	LOC120415057|XP_039432376.1|CPIP
OG0001850	LOC108095032|XP_017051395.1|DFIC	LOC120413283|XP_039429951.1|CPIP
OG0001851	LOC108095012|XP_017051344.1|DFIC	LOC120413275|XP_039429938.1|CPIP
OG0001852	LOC108098984|XP_017057689.1|DFIC	LOC120413287|XP_039429958.1|CPIP, LOC120413313|XP_039430014.1|CPIP
OG0001853	LOC108095764|XP_017052447.1|DFIC	LOC120413290|XP_039429965.1|CPIP
OG0001854	LOC108094722|XP_017050953.1|DFIC	LOC120417681|XP_039435750.1|CPIP, LOC120432279|XP_039453399.1|CPIP
OG0001855	LOC108090281|XP_017044382.1|DFIC	LOC120431217|XP_039452295.1|CPIP, LOC120430280|XP_039451306.1|CPIP
OG0001856	LOC108088710|XP_017042142.1|DFIC	LOC120432215|XP_039453313.1|CPIP
OG0001857	LOC108097484|XP_017055272.1|DFIC	LOC120427567|XP_039448403.1|CPIP, LOC120430610|XP_039451949.1|CPIP
OG0001858	LOC108088631|XP_017042037.1|DFIC	LOC120432212|XP_039453305.1|CPIP
OG0001859	LOC108092794|XP_017048055.1|DFIC	LOC120416215|XP_039433880.1|CPIP
OG0001860	LOC108099847|XP_017058983.1|DFIC	LOC120432252|XP_039453361.1|CPIP, LOC120422822|XP_039442291.1|CPIP
OG0001861	LOC108095797|XP_017052549.1|DFIC	LOC120414178|XP_039431186.1|CPIP
OG0001862	LOC108097958|XP_017056055.1|DFIC	LOC120424282|XP_039444287.1|CPIP, LOC120424297|XP_039444314.1|CPIP
OG0001863	LOC108097559|XP_017055429.1|DFIC	LOC120424288|XP_039444295.1|CPIP
OG0001864	LOC108098808|XP_017057438.1|DFIC	LOC120417696|XP_039435771.1|CPIP
OG0001865	LOC108098063|XP_017056241.1|DFIC	LOC120432161|XP_039453263.1|CPIP
OG0001866	LOC108087065|XP_017039729.1|DFIC	LOC120424588|XP_039444715.1|CPIP
OG0001867	LOC108099839|XP_017058959.1|DFIC	LOC120424690|XP_039444799.1|CPIP, LOC120413652|XP_039430503.1|CPIP
OG0001868	LOC108093425|XP_017048967.1|DFIC	LOC120424695|XP_039444808.1|CPIP
OG0001869	LOC108093362|XP_017048871.1|DFIC	LOC120425313|XP_039445713.1|CPIP
OG0001870	LOC108092888|XP_017048221.1|DFIC	LOC120424530|XP_039444625.1|CPIP
OG0001871	LOC108091125|XP_017045645.1|DFIC	LOC120432495|XP_039453645.1|CPIP
OG0001872	LOC108099605|XP_017058713.1|DFIC	LOC120416400|XP_039434080.1|CPIP
OG0001873	LOC108098601|XP_017057152.1|DFIC	LOC120415625|XP_039433159.1|CPIP
OG0001874	LOC108095829|XP_017052600.1|DFIC	LOC120416923|XP_039434763.1|CPIP
OG0001875	LOC108086828|XP_017039363.1|DFIC	LOC120418476|XP_039436877.1|CPIP, LOC120423876|XP_039443758.1|CPIP
OG0001876	LOC108094646|XP_017050845.1|DFIC	LOC120418093|XP_039436295.1|CPIP, LOC120419900|XP_039438702.1|CPIP
OG0001877	LOC108097201|XP_017054835.1|DFIC	LOC120418096|XP_039436298.1|CPIP, LOC120419899|XP_039438701.1|CPIP
OG0001878	LOC108091582|XP_017046347.1|DFIC	LOC120426437|XP_039447133.1|CPIP
OG0001879	LOC108095783|XP_017052525.1|DFIC	LOC120427444|XP_039448246.1|CPIP
OG0001880	LOC108088007|XP_017041108.1|DFIC	LOC120417856|XP_039436010.1|CPIP
OG0001881	LOC108098489|XP_017056891.1|DFIC	LOC120417206|XP_039435105.1|CPIP
OG0001882	LOC108086529|XP_017038947.1|DFIC	LOC120417207|XP_039435107.1|CPIP
OG0001883	LOC108091638|XP_017046428.1|DFIC	LOC120429671|XP_039450634.1|CPIP, LOC120424512|XP_039444600.1|CPIP
OG0001884	LOC108093323|XP_017048800.1|DFIC	LOC120427183|XP_039447981.1|CPIP
OG0001886	LOC108099347|XP_017058316.1|DFIC	LOC120426734|XP_039447440.1|CPIP
OG0001887	LOC108096702|XP_017054025.1|DFIC	LOC120421810|XP_039441022.1|CPIP, LOC120420156|XP_039439056.1|CPIP
OG0001888	LOC108089800|XP_017043688.1|DFIC, LOC108090240|XP_017044326.1|DFIC	LOC120421794|XP_039440999.1|CPIP
OG0001889	LOC108088657|XP_017042072.1|DFIC	LOC120421817|XP_039441029.1|CPIP
OG0001890	LOC108100578|XP_017060046.1|DFIC	LOC120421819|XP_039441031.1|CPIP
OG0001891	LOC108093344|XP_017048841.1|DFIC	LOC120421797|XP_039441002.1|CPIP
OG0001892	LOC108093335|XP_017048863.1|DFIC	LOC120415681|XP_039433204.1|CPIP
OG0001893	LOC108088517|XP_017041845.1|DFIC	LOC120425738|XP_039446277.1|CPIP
OG0001894	LOC108101589|XP_017061490.1|DFIC	LOC120425748|XP_039446287.1|CPIP
OG0001895	LOC108095026|XP_017051383.1|DFIC	LOC120418343|XP_039436626.1|CPIP
OG0001896	LOC108102089|XP_017062231.1|DFIC	LOC120415694|XP_039433223.1|CPIP
OG0001897	LOC108098890|XP_017057568.1|DFIC	LOC120427898|XP_039448767.1|CPIP
OG0001898	LOC108094618|XP_017050789.1|DFIC	LOC120416658|XP_039434404.1|CPIP
OG0001899	LOC108088035|XP_017041154.1|DFIC	LOC120428908|XP_039449983.1|CPIP
OG0001900	LOC108088933|XP_017042446.1|DFIC	LOC120416618|XP_039434352.1|CPIP
OG0001901	LOC108088164|XP_017041319.1|DFIC	LOC120426679|XP_039447386.1|CPIP
OG0001902	LOC108094733|XP_017051008.1|DFIC, LOC108096982|XP_017054455.1|DFIC, LOC108101991|XP_017062076.1|DFIC	LOC120431651|XP_039452692.1|CPIP
OG0001903	LOC108098608|XP_017057160.1|DFIC	LOC120430274|XP_039451297.1|CPIP
OG0001904	LOC108088427|XP_017041682.1|DFIC	LOC120432505|XP_039453659.1|CPIP, LOC120415965|XP_039433543.1|CPIP, LOC120431715|XP_039452771.1|CPIP
OG0001906	LOC108098543|XP_017057020.1|DFIC	LOC120429813|XP_039450797.1|CPIP
OG0001907	LOC108102135|XP_017062294.1|DFIC	LOC120421012|XP_039440065.1|CPIP
OG0001908	LOC108095805|XP_017052563.1|DFIC	LOC120423816|XP_039443671.1|CPIP
OG0001909	LOC108088635|XP_017042042.1|DFIC	LOC120417097|XP_039435009.1|CPIP
OG0001910	LOC108098927|XP_017057619.1|DFIC	LOC120420775|XP_039439820.1|CPIP, LOC120420773|XP_039439816.1|CPIP
OG0001911	LOC108087012|XP_017039650.1|DFIC	LOC120428292|XP_039449219.1|CPIP, LOC120423330|XP_039443025.1|CPIP
OG0001912	LOC108101945|XP_017062019.1|DFIC	LOC120423593|XP_039443389.1|CPIP
OG0001913	LOC108100001|XP_017059192.1|DFIC	LOC120423525|XP_039443306.1|CPIP, LOC120423522|XP_039443304.1|CPIP, LOC120423523|XP_039443305.1|CPIP, LOC120423565|XP_039443350.1|CPIP, LOC120423584|XP_039443378.1|CPIP
OG0001914	LOC108092001|XP_017046916.1|DFIC	LOC120428358|XP_039449297.1|CPIP, LOC120432115|XP_039453184.1|CPIP, LOC120423554|XP_039443332.1|CPIP
OG0001915	LOC108100018|XP_017059217.1|DFIC	LOC120428071|XP_039448978.1|CPIP
OG0001916	LOC108095214|XP_017051714.1|DFIC	LOC120428687|XP_039449691.1|CPIP
OG0001917	LOC108096221|XP_017053095.1|DFIC	LOC120423008|XP_039442572.1|CPIP
OG0001918	LOC108096393|XP_017053449.1|DFIC	LOC120421757|XP_039440964.1|CPIP, LOC120413534|XP_039430343.1|CPIP, LOC120418882|XP_039437350.1|CPIP
OG0001919	LOC108101870|XP_017061895.1|DFIC	LOC120424196|XP_039444189.1|CPIP
OG0001920	LOC108086499|XP_017038952.1|DFIC, LOC108099137|XP_017057965.1|DFIC	LOC120429774|XP_039450765.1|CPIP
OG0001921	LOC108094962|XP_017051314.1|DFIC	LOC120417829|XP_039435979.1|CPIP
OG0001922	LOC108096820|XP_017054206.1|DFIC	LOC120419738|XP_039438474.1|CPIP, LOC120426631|XP_039447357.1|CPIP
OG0001924	LOC108101512|XP_017061365.1|DFIC, LOC108094419|XP_017050479.1|DFIC	LOC120417414|XP_039435391.1|CPIP
OG0001925	LOC108088984|XP_017042516.1|DFIC	LOC120426340|XP_039447039.1|CPIP
OG0001926	LOC108089047|XP_017042644.1|DFIC	LOC120424376|XP_039444407.1|CPIP
OG0001927	LOC108086697|XP_017039185.1|DFIC	LOC120422853|XP_039442336.1|CPIP
OG0001928	LOC108089741|XP_017043612.1|DFIC	LOC120422882|XP_039442376.1|CPIP
OG0001929	LOC108089717|XP_017043553.1|DFIC	LOC120425920|XP_039446477.1|CPIP
OG0001930	LOC108096611|XP_017053844.1|DFIC	LOC120424411|XP_039444453.1|CPIP, LOC120426050|XP_039446672.1|CPIP
OG0001932	LOC108099851|XP_017058986.1|DFIC	LOC120420572|XP_039439584.1|CPIP
OG0001933	LOC108093992|XP_017049892.1|DFIC	LOC120429654|XP_039450614.1|CPIP
OG0001934	LOC108089760|XP_017043639.1|DFIC	LOC120415740|XP_039433276.1|CPIP
OG0001935	LOC108089571|XP_017043413.1|DFIC	LOC120424879|XP_039445074.1|CPIP
OG0001937	LOC108101861|XP_017061877.1|DFIC	LOC120429902|XP_039450933.1|CPIP
OG0001938	LOC108086433|XP_017038829.1|DFIC	LOC120430101|XP_039451124.1|CPIP
OG0001939	LOC108095200|XP_017051696.1|DFIC	LOC120430953|XP_039452015.1|CPIP
OG0001940	LOC108101497|XP_017061344.1|DFIC	LOC120421328|XP_039440429.1|CPIP
OG0001941	LOC108099079|XP_017057866.1|DFIC	LOC120412386|XP_039428757.1|CPIP
OG0001942	LOC108094309|XP_017050319.1|DFIC	LOC120428746|XP_039449758.1|CPIP, LOC120428752|XP_039449767.1|CPIP
OG0001943	LOC108089343|XP_017043013.1|DFIC	LOC120424832|XP_039444994.1|CPIP
OG0001944	LOC108099056|XP_017057813.1|DFIC	LOC120413226|XP_039429886.1|CPIP
OG0001945	LOC108101535|XP_017061401.1|DFIC	LOC120418475|XP_039436842.1|CPIP
OG0001946	LOC108093823|XP_017049628.1|DFIC	LOC120420123|XP_039439006.1|CPIP
OG0001947	LOC108093902|XP_017049750.1|DFIC	LOC120420099|XP_039438979.1|CPIP
OG0001948	LOC108088655|XP_017042071.1|DFIC	LOC120418050|XP_039436235.1|CPIP
OG0001949	LOC108093123|XP_017048556.1|DFIC	LOC120420658|XP_039439682.1|CPIP
OG0001950	LOC108090115|XP_017044128.1|DFIC	LOC120412372|XP_039428727.1|CPIP
OG0001951	LOC108096661|XP_017053916.1|DFIC	LOC120420155|XP_039439052.1|CPIP
OG0001952	LOC108095722|XP_017052389.1|DFIC	LOC120412591|XP_039429053.1|CPIP
OG0001953	LOC108096828|XP_017054222.1|DFIC	LOC120412898|XP_039429463.1|CPIP
OG0001954	LOC108096677|XP_017053949.1|DFIC	LOC120428611|XP_039449573.1|CPIP, LOC120423613|XP_039443414.1|CPIP
OG0001955	LOC108096517|XP_017053636.1|DFIC	LOC120423605|XP_039443404.1|CPIP
OG0001956	LOC108096230|XP_017053113.1|DFIC	LOC120416540|XP_039434197.1|CPIP
OG0001957	LOC108087796|XP_017040828.1|DFIC	LOC120420076|XP_039438934.1|CPIP
OG0001958	LOC108096821|XP_017054208.1|DFIC	LOC120418538|XP_039436908.1|CPIP
OG0001959	LOC108100246|XP_017059512.1|DFIC	LOC120414470|XP_039431599.1|CPIP, LOC120424420|XP_039444468.1|CPIP
OG0001960	LOC108100336|XP_017059643.1|DFIC	LOC120417614|XP_039435662.1|CPIP
OG0001961	LOC108090928|XP_017045347.1|DFIC	LOC120423619|XP_039443423.1|CPIP, LOC120416060|XP_039433658.1|CPIP
OG0001962	LOC108101588|XP_017061488.1|DFIC	LOC120419531|XP_039438176.1|CPIP
OG0001963	LOC108089549|XP_017043374.1|DFIC	LOC120424975|XP_039445265.1|CPIP
OG0001964	LOC108088244|XP_017041448.1|DFIC	LOC120414117|XP_039431078.1|CPIP
OG0001966	LOC108092122|XP_017047111.1|DFIC	LOC120415806|XP_039433364.1|CPIP, LOC120426922|XP_039447663.1|CPIP
OG0001967	LOC108087872|XP_017040945.1|DFIC	LOC120427113|XP_039447896.1|CPIP
OG0001968	LOC108089748|XP_017043623.1|DFIC	LOC120427121|XP_039447908.1|CPIP
OG0001969	LOC108093832|XP_017049650.1|DFIC	LOC120422690|XP_039442133.1|CPIP
OG0001970	LOC108096876|XP_017054298.1|DFIC	LOC120417470|XP_039435472.1|CPIP
OG0001971	LOC108094814|XP_017051074.1|DFIC	LOC120421398|XP_039440533.1|CPIP
OG0001972	LOC108086318|XP_017038710.1|DFIC	LOC120421381|XP_039440511.1|CPIP
OG0001973	LOC108087714|XP_017040723.1|DFIC	LOC120429163|XP_039450304.1|CPIP, LOC120430005|XP_039451041.1|CPIP
OG0001974	LOC108089165|XP_017042785.1|DFIC, LOC108090417|XP_017044563.1|DFIC	LOC120414968|XP_039432233.1|CPIP
OG0001975	LOC108099214|XP_017058086.1|DFIC	LOC120416053|XP_039433649.1|CPIP
OG0001976	LOC108087683|XP_017040676.1|DFIC	LOC120416313|XP_039433969.1|CPIP
OG0001977	LOC108088156|XP_017041309.1|DFIC	LOC120426547|XP_039447251.1|CPIP, LOC120426354|XP_039447050.1|CPIP
OG0001978	LOC108101505|XP_017061747.1|DFIC, LOC108095088|XP_017051513.1|DFIC	LOC120427687|XP_039448510.1|CPIP
OG0001979	LOC108100811|XP_017060367.1|DFIC	LOC120419194|XP_039437800.1|CPIP
OG0001980	LOC108091528|XP_017046279.1|DFIC	LOC120415672|XP_039433189.1|CPIP
OG0001982	LOC108101717|XP_017061645.1|DFIC	LOC120419190|XP_039437794.1|CPIP
OG0001983	LOC108098848|XP_017057543.1|DFIC	LOC120414077|XP_039431032.1|CPIP
OG0001984	LOC108093430|XP_017048979.1|DFIC	LOC120414105|XP_039431063.1|CPIP
OG0001985	LOC108101145|XP_017060856.1|DFIC, LOC108101203|XP_017060939.1|DFIC	LOC120422386|XP_039441733.1|CPIP
OG0001986	LOC108093573|XP_017049164.1|DFIC, LOC108088146|XP_017041300.1|DFIC	LOC120430331|XP_039451366.1|CPIP
OG0001987	LOC108097020|XP_017054521.1|DFIC	LOC120431823|XP_039452877.1|CPIP, LOC120414770|XP_039432018.1|CPIP
OG0001988	LOC108093869|XP_017049700.1|DFIC	LOC120418943|XP_039437415.1|CPIP
OG0001989	LOC108091415|XP_017046094.1|DFIC	LOC120414766|XP_039432013.1|CPIP
OG0001990	LOC108089258|XP_017042913.1|DFIC, LOC108095888|XP_017052691.1|DFIC	LOC120427784|XP_039448642.1|CPIP
OG0001992	LOC108101998|XP_017062084.1|DFIC	LOC120429761|XP_039450747.1|CPIP, LOC120430622|XP_039451649.1|CPIP, LOC120431608|XP_039452646.1|CPIP
OG0001993	LOC108094376|XP_017050412.1|DFIC	LOC120415092|XP_039432445.1|CPIP, LOC120420891|XP_039439947.1|CPIP
OG0001994	LOC108093352|XP_017048851.1|DFIC	LOC120420105|XP_039438990.1|CPIP
OG0001995	LOC108094467|XP_017050539.1|DFIC	LOC120423638|XP_039443446.1|CPIP
OG0001996	LOC108090420|XP_017044974.1|DFIC	LOC120429700|XP_039450668.1|CPIP
OG0001997	LOC108090781|XP_017045117.1|DFIC	LOC120423172|XP_039442793.1|CPIP
OG0001998	LOC108090778|XP_017045111.1|DFIC	LOC120422362|XP_039441707.1|CPIP
OG0001999	LOC108096687|XP_017053978.1|DFIC	LOC120424412|XP_039444454.1|CPIP
OG0002000	LOC108092617|XP_017047744.1|DFIC, LOC108095046|XP_017051477.1|DFIC	LOC120416072|XP_039433675.1|CPIP
OG0002001	LOC108095076|XP_017051488.1|DFIC, LOC108101596|XP_017061500.1|DFIC, LOC108101573|XP_017061478.1|DFIC	LOC120430517|XP_039451561.1|CPIP
OG0002002	LOC108086747|XP_017039276.1|DFIC	LOC120419842|XP_039438611.1|CPIP
OG0002003	LOC108094098|XP_017050013.1|DFIC, LOC108098751|XP_017057374.1|DFIC	LOC120412842|XP_039429398.1|CPIP
OG0002004	LOC108090620|XP_017044885.1|DFIC	LOC120413518|XP_039430313.1|CPIP
OG0002005	LOC108098252|XP_017056535.1|DFIC	LOC120416771|XP_039434563.1|CPIP
OG0002006	LOC108100863|XP_017060431.1|DFIC	LOC120423468|XP_039443227.1|CPIP
OG0002008	LOC108095006|XP_017051335.1|DFIC	LOC120415534|XP_039433027.1|CPIP
OG0002009	LOC108096547|XP_017053724.1|DFIC	LOC120415589|XP_039433114.1|CPIP
OG0002010	LOC108098747|XP_017057371.1|DFIC, LOC108091421|XP_017046137.1|DFIC	LOC120421995|XP_039441241.1|CPIP
OG0002011	LOC108098358|XP_017056692.1|DFIC	LOC120421156|XP_039440280.1|CPIP
OG0002012	LOC108089818|XP_017043709.1|DFIC	LOC120417784|XP_039435880.1|CPIP, LOC120412482|XP_039428907.1|CPIP
OG0002013	LOC108101236|XP_017060975.1|DFIC	LOC120415549|XP_039433053.1|CPIP
OG0002014	LOC108095188|XP_017051670.1|DFIC	LOC120418715|XP_039437122.1|CPIP
OG0002015	LOC108100810|XP_017060366.1|DFIC	LOC120419666|XP_039438364.1|CPIP
OG0002016	LOC108090449|XP_017044621.1|DFIC	LOC120432429|XP_039453578.1|CPIP
OG0002017	LOC108100059|XP_017059281.1|DFIC	LOC120432426|XP_039453565.1|CPIP
OG0002018	LOC108094353|XP_017050382.1|DFIC	LOC120423389|XP_039443107.1|CPIP
OG0002019	LOC108094174|XP_017050155.1|DFIC, LOC108094512|XP_017050601.1|DFIC	LOC120412660|XP_039429156.1|CPIP
OG0002020	LOC108094457|XP_017050524.1|DFIC	LOC120423990|XP_039443921.1|CPIP
OG0002021	LOC108087825|XP_017040883.1|DFIC	LOC120430575|XP_039451616.1|CPIP, LOC120423971|XP_039443897.1|CPIP
OG0002022	LOC108089932|XP_017043908.1|DFIC	LOC120414027|XP_039430984.1|CPIP
OG0002023	LOC108087117|XP_017039786.1|DFIC	LOC120412669|XP_039429165.1|CPIP
OG0002024	LOC108089253|XP_017042908.1|DFIC	LOC120419040|XP_039437540.1|CPIP
OG0002025	LOC108098702|XP_017057304.1|DFIC, LOC108087273|XP_017040109.1|DFIC	LOC120429066|XP_039450141.1|CPIP
OG0002026	LOC108093584|XP_017049198.1|DFIC	LOC120423191|XP_039442824.1|CPIP
OG0002027	LOC108096603|XP_017053790.1|DFIC	LOC120420630|XP_039439637.1|CPIP
OG0002028	LOC108090805|XP_017045148.1|DFIC	LOC120420635|XP_039439645.1|CPIP
OG0002029	LOC108089723|XP_017043591.1|DFIC	LOC120416142|XP_039433752.1|CPIP
OG0002030	LOC108101920|XP_017061987.1|DFIC	LOC120416219|XP_039433852.1|CPIP
OG0002031	LOC108096918|XP_017054358.1|DFIC	LOC120415104|XP_039432456.1|CPIP
OG0002032	LOC108098503|XP_017056920.1|DFIC	LOC120419421|XP_039438033.1|CPIP
OG0002033	LOC108091226|XP_017045820.1|DFIC	LOC120418864|XP_039437335.1|CPIP
OG0002034	LOC108097225|XP_017054873.1|DFIC	LOC120419537|XP_039438184.1|CPIP
OG0002035	LOC108099615|XP_017058727.1|DFIC	LOC120418911|XP_039437376.1|CPIP
OG0002036	LOC108098765|XP_017057386.1|DFIC	LOC120413806|XP_039430699.1|CPIP
OG0002037	LOC108100207|XP_017059470.1|DFIC	LOC120426341|XP_039447036.1|CPIP
OG0002038	LOC108093113|XP_017048547.1|DFIC, LOC108101118|XP_017060827.1|DFIC	LOC120419712|XP_039438434.1|CPIP
OG0002039	LOC108091718|XP_017046549.1|DFIC	LOC120432387|XP_039453516.1|CPIP
OG0002040	LOC108100432|XP_017059842.1|DFIC	LOC120424088|XP_039444039.1|CPIP
OG0002041	LOC108090432|XP_017044594.1|DFIC	LOC120417055|XP_039434941.1|CPIP
OG0002042	LOC108093543|XP_017049126.1|DFIC	LOC120421220|XP_039440356.1|CPIP
OG0002043	LOC108090217|XP_017044299.1|DFIC	LOC120428111|XP_039449028.1|CPIP
OG0002044	LOC108088454|XP_017041723.1|DFIC	LOC120413784|XP_039430662.1|CPIP
OG0002045	LOC108099658|XP_017058781.1|DFIC	LOC120422098|XP_039441384.1|CPIP
OG0002046	LOC108092801|XP_017048061.1|DFIC	LOC120413953|XP_039430890.1|CPIP
OG0002047	LOC108097406|XP_017055150.1|DFIC	LOC120413023|XP_039429625.1|CPIP
OG0002048	LOC108087914|XP_017040988.1|DFIC	LOC120413048|XP_039429675.1|CPIP
OG0002049	LOC108102032|XP_017062136.1|DFIC	LOC120413018|XP_039429611.1|CPIP
OG0002050	LOC108097145|XP_017054747.1|DFIC	LOC120430297|XP_039451330.1|CPIP
OG0002053	LOC108099557|XP_017058632.1|DFIC	LOC120421361|XP_039440494.1|CPIP
OG0002054	LOC108090130|XP_017044155.1|DFIC	LOC120422046|XP_039441311.1|CPIP
OG0002055	LOC108088037|XP_017041160.1|DFIC	LOC120432078|XP_039453145.1|CPIP
OG0002056	LOC108089435|XP_017043154.1|DFIC	LOC120422725|XP_039442187.1|CPIP
OG0002057	LOC108089142|XP_017042752.1|DFIC	LOC120422721|XP_039442185.1|CPIP
OG0002058	LOC108099146|XP_017057981.1|DFIC	LOC120422720|XP_039442184.1|CPIP
OG0002059	LOC108095851|XP_017052638.1|DFIC	LOC120422719|XP_039442181.1|CPIP
OG0002060	LOC108086738|XP_017039259.1|DFIC	LOC120418253|XP_039436500.1|CPIP, LOC120422711|XP_039442170.1|CPIP
OG0002061	LOC108090902|XP_017045307.1|DFIC	LOC120422716|XP_039442176.1|CPIP, LOC120418238|XP_039436475.1|CPIP
OG0002064	LOC108100466|XP_017059885.1|DFIC	LOC120427824|XP_039448680.1|CPIP
OG0002066	LOC108096604|XP_017053800.1|DFIC	LOC120424112|XP_039444072.1|CPIP
OG0002067	LOC108090806|XP_017045151.1|DFIC	LOC120424122|XP_039444097.1|CPIP
OG0002068	LOC108096882|XP_017054312.1|DFIC	LOC120429305|XP_039450465.1|CPIP
OG0002069	LOC108095714|XP_017052378.1|DFIC	LOC120416648|XP_039434392.1|CPIP
OG0002070	LOC108092146|XP_017047150.1|DFIC	LOC120416657|XP_039434401.1|CPIP
OG0002071	LOC108095773|XP_017052507.1|DFIC	LOC120414983|XP_039432267.1|CPIP
OG0002072	LOC108093922|XP_017049780.1|DFIC	LOC120419937|XP_039438734.1|CPIP
OG0002073	LOC108087462|XP_017040313.1|DFIC	LOC120414173|XP_039431171.1|CPIP
OG0002074	LOC108101925|XP_017061993.1|DFIC	LOC120430722|XP_039451768.1|CPIP
OG0002075	LOC108095010|XP_017051346.1|DFIC, LOC108100895|XP_017060493.1|DFIC	LOC120429589|XP_039450560.1|CPIP, LOC120424597|XP_039444695.1|CPIP
OG0002076	LOC108096691|XP_017053983.1|DFIC	LOC120421685|XP_039440849.1|CPIP
OG0002077	LOC108100294|XP_017059581.1|DFIC	LOC120421681|XP_039440845.1|CPIP
OG0002079	LOC108100380|XP_017059723.1|DFIC	LOC120425808|XP_039446361.1|CPIP
OG0002080	LOC108093803|XP_017049598.1|DFIC	LOC120425571|XP_039446070.1|CPIP
OG0002081	LOC108090855|XP_017045225.1|DFIC	LOC120415329|XP_039432751.1|CPIP, LOC120415281|XP_039432685.1|CPIP
OG0002082	LOC108090419|XP_017044567.1|DFIC	LOC120416205|XP_039433827.1|CPIP
OG0002083	LOC108092874|XP_017048199.1|DFIC	LOC120421448|XP_039440588.1|CPIP
OG0002084	LOC108096922|XP_017054362.1|DFIC	LOC120431265|XP_039452332.1|CPIP
OG0002085	LOC108096706|XP_017054028.1|DFIC	LOC120417969|XP_039436139.1|CPIP
OG0002086	LOC108096941|XP_017054388.1|DFIC	LOC120431538|XP_039452581.1|CPIP
OG0002087	LOC108100270|XP_017059543.1|DFIC	LOC120412754|XP_039429281.1|CPIP, LOC120424471|XP_039444539.1|CPIP
OG0002088	LOC108100427|XP_017059821.1|DFIC	LOC120415883|XP_039433454.1|CPIP
OG0002089	LOC108090405|XP_017044546.1|DFIC	LOC120415358|XP_039432781.1|CPIP
OG0002090	LOC108095443|XP_017052041.1|DFIC	LOC120415870|XP_039433440.1|CPIP
OG0002091	LOC108090675|XP_017044950.1|DFIC	LOC120416853|XP_039434677.1|CPIP
OG0002092	LOC108089469|XP_017043211.1|DFIC	LOC120416818|XP_039434633.1|CPIP, LOC120412524|XP_039428953.1|CPIP
OG0002093	LOC108090763|XP_017045092.1|DFIC	LOC120413492|XP_039430283.1|CPIP, LOC120421859|XP_039441091.1|CPIP
OG0002094	LOC108090687|XP_017044962.1|DFIC	LOC120413273|XP_039429936.1|CPIP, LOC120414977|XP_039432245.1|CPIP
