Orthogroup	DFIC.longest_only	HILL.longest_only
OG0001849	LOC108087271|XP_017040067.1|DFIC	LOC119650802|XP_037909869.1|HILL
OG0001850	LOC108095032|XP_017051395.1|DFIC	LOC119660900|XP_037925766.1|HILL
OG0001851	LOC108095012|XP_017051344.1|DFIC	LOC119660999|XP_037926025.1|HILL
OG0001852	LOC108098984|XP_017057689.1|DFIC	LOC119648791|XP_037906565.1|HILL
OG0001853	LOC108095764|XP_017052447.1|DFIC	LOC119651794|XP_037911489.1|HILL
OG0001854	LOC108094722|XP_017050953.1|DFIC	LOC119657167|XP_037919880.1|HILL
OG0001855	LOC108090281|XP_017044382.1|DFIC	LOC119657085|XP_037919768.1|HILL
OG0001856	LOC108088710|XP_017042142.1|DFIC	LOC119656794|XP_037919330.1|HILL
OG0001857	LOC108097484|XP_017055272.1|DFIC	LOC119658348|XP_037921631.1|HILL
OG0001858	LOC108088631|XP_017042037.1|DFIC	LOC119658315|XP_037921567.1|HILL
OG0001859	LOC108092794|XP_017048055.1|DFIC	LOC119656734|XP_037919204.1|HILL
OG0001860	LOC108099847|XP_017058983.1|DFIC	LOC119648757|XP_037906511.1|HILL
OG0001861	LOC108095797|XP_017052549.1|DFIC	LOC119657655|XP_037920607.1|HILL, LOC119657656|XP_037920608.1|HILL
OG0001862	LOC108097958|XP_017056055.1|DFIC	LOC119656726|XP_037919181.1|HILL, LOC119656727|XP_037919183.1|HILL
OG0001863	LOC108097559|XP_017055429.1|DFIC	LOC119657322|XP_037920111.1|HILL
OG0001864	LOC108098808|XP_017057438.1|DFIC	LOC119661721|XP_037927106.1|HILL
OG0001865	LOC108098063|XP_017056241.1|DFIC	LOC119657944|XP_037921064.1|HILL
OG0001866	LOC108087065|XP_017039729.1|DFIC	LOC119659495|XP_037923540.1|HILL
OG0001867	LOC108099839|XP_017058959.1|DFIC	LOC119647424|XP_037904251.1|HILL
OG0001868	LOC108093425|XP_017048967.1|DFIC	LOC119652674|XP_037912867.1|HILL
OG0001869	LOC108093362|XP_017048871.1|DFIC	LOC119660246|XP_037924627.1|HILL, LOC119660334|XP_037924745.1|HILL
OG0001870	LOC108092888|XP_017048221.1|DFIC	LOC119646980|XP_037903618.1|HILL
OG0001871	LOC108091125|XP_017045645.1|DFIC	LOC119657333|XP_037920130.1|HILL, LOC119657197|XP_037919930.1|HILL, LOC119657102|XP_037919785.1|HILL, LOC119657440|XP_037920276.1|HILL, LOC119657585|XP_037920492.1|HILL, LOC119657304|XP_037920092.1|HILL
OG0001872	LOC108099605|XP_017058713.1|DFIC	LOC119657360|XP_037920160.1|HILL
OG0001873	LOC108098601|XP_017057152.1|DFIC	LOC119652394|XP_037912429.1|HILL
OG0001874	LOC108095829|XP_017052600.1|DFIC	LOC119657327|XP_037920118.1|HILL
OG0001875	LOC108086828|XP_017039363.1|DFIC	LOC119646791|XP_037903303.1|HILL
OG0001876	LOC108094646|XP_017050845.1|DFIC	LOC119658387|XP_037921683.1|HILL
OG0001877	LOC108097201|XP_017054835.1|DFIC	LOC119657237|XP_037919979.1|HILL
OG0001878	LOC108091582|XP_017046347.1|DFIC	LOC119656553|XP_037918847.1|HILL
OG0001879	LOC108095783|XP_017052525.1|DFIC	LOC119658469|XP_037921815.1|HILL
OG0001880	LOC108088007|XP_017041108.1|DFIC	LOC119653041|XP_037913425.1|HILL, LOC119651221|XP_037910605.1|HILL
OG0001881	LOC108098489|XP_017056891.1|DFIC	LOC119658476|XP_037921841.1|HILL
OG0001882	LOC108086529|XP_017038947.1|DFIC	LOC119657673|XP_037920627.1|HILL
OG0001883	LOC108091638|XP_017046428.1|DFIC	LOC119651092|XP_037910374.1|HILL
OG0001884	LOC108093323|XP_017048800.1|DFIC	LOC119650850|XP_037909924.1|HILL
OG0001885	LOC108093513|XP_017049094.1|DFIC	LOC119657133|XP_037919832.1|HILL
OG0001886	LOC108099347|XP_017058316.1|DFIC	LOC119651262|XP_037910690.1|HILL
OG0001887	LOC108096702|XP_017054025.1|DFIC	LOC119654633|XP_037916033.1|HILL
OG0001888	LOC108089800|XP_017043688.1|DFIC, LOC108090240|XP_017044326.1|DFIC	LOC119646671|XP_037903129.1|HILL
OG0001889	LOC108088657|XP_017042072.1|DFIC	LOC119656485|XP_037918737.1|HILL
OG0001890	LOC108100578|XP_017060046.1|DFIC	LOC119651162|XP_037910508.1|HILL
OG0001891	LOC108093344|XP_017048841.1|DFIC	LOC119652430|XP_037912482.1|HILL
OG0001892	LOC108093335|XP_017048863.1|DFIC	LOC119650670|XP_037909548.1|HILL
OG0001893	LOC108088517|XP_017041845.1|DFIC	LOC119652824|XP_037913081.1|HILL
OG0001894	LOC108101589|XP_017061490.1|DFIC	LOC119652620|XP_037912792.1|HILL
OG0001895	LOC108095026|XP_017051383.1|DFIC	LOC119658873|XP_037922570.1|HILL
OG0001897	LOC108098890|XP_017057568.1|DFIC	LOC119656602|XP_037918959.1|HILL
OG0001898	LOC108094618|XP_017050789.1|DFIC	LOC119658001|XP_037921149.1|HILL
OG0001899	LOC108088035|XP_017041154.1|DFIC	LOC119651575|XP_037911139.1|HILL
OG0001900	LOC108088933|XP_017042446.1|DFIC	LOC119648331|XP_037905953.1|HILL
OG0001901	LOC108088164|XP_017041319.1|DFIC	LOC119651068|XP_037910333.1|HILL
OG0001902	LOC108094733|XP_017051008.1|DFIC, LOC108096982|XP_017054455.1|DFIC, LOC108101991|XP_017062076.1|DFIC	LOC119652347|XP_037912302.1|HILL
OG0001903	LOC108098608|XP_017057160.1|DFIC	LOC119652506|XP_037912622.1|HILL
OG0001904	LOC108088427|XP_017041682.1|DFIC	LOC119652679|XP_037912878.1|HILL
OG0001906	LOC108098543|XP_017057020.1|DFIC	LOC119650954|XP_037910123.1|HILL, LOC119650953|XP_037910117.1|HILL
OG0001907	LOC108102135|XP_017062294.1|DFIC	LOC119652852|XP_037913137.1|HILL
OG0001908	LOC108095805|XP_017052563.1|DFIC	LOC119651753|XP_037911418.1|HILL
OG0001909	LOC108088635|XP_017042042.1|DFIC	LOC119657004|XP_037919671.1|HILL
OG0001910	LOC108098927|XP_017057619.1|DFIC	LOC119652713|XP_037912926.1|HILL
OG0001911	LOC108087012|XP_017039650.1|DFIC	LOC119651203|XP_037910572.1|HILL
OG0001912	LOC108101945|XP_017062019.1|DFIC	LOC119647546|XP_037904464.1|HILL, LOC119647543|XP_037904461.1|HILL, LOC119647547|XP_037904465.1|HILL, LOC119647548|XP_037904466.1|HILL
OG0001914	LOC108092001|XP_017046916.1|DFIC	LOC119650748|XP_037909758.1|HILL
OG0001915	LOC108100018|XP_017059217.1|DFIC	LOC119649037|XP_037906924.1|HILL
OG0001916	LOC108095214|XP_017051714.1|DFIC	LOC119659318|XP_037923266.1|HILL
OG0001917	LOC108096221|XP_017053095.1|DFIC	LOC119648161|XP_037905664.1|HILL
OG0001918	LOC108096393|XP_017053449.1|DFIC	LOC119648279|XP_037905861.1|HILL
OG0001919	LOC108101870|XP_017061895.1|DFIC	LOC119661109|XP_037926233.1|HILL, LOC119660811|XP_037925584.1|HILL
OG0001920	LOC108086499|XP_017038952.1|DFIC, LOC108099137|XP_017057965.1|DFIC	LOC119650198|XP_037908693.1|HILL
OG0001921	LOC108094962|XP_017051314.1|DFIC	LOC119650073|XP_037908499.1|HILL
OG0001922	LOC108096820|XP_017054206.1|DFIC	LOC119650082|XP_037908513.1|HILL
OG0001923	LOC108089476|XP_017043226.1|DFIC	LOC119650384|XP_037909052.1|HILL
OG0001924	LOC108101512|XP_017061365.1|DFIC, LOC108094419|XP_017050479.1|DFIC	LOC119647996|XP_037905309.1|HILL
OG0001925	LOC108088984|XP_017042516.1|DFIC	LOC119649855|XP_037908139.1|HILL, LOC119650048|XP_037908461.1|HILL
OG0001926	LOC108089047|XP_017042644.1|DFIC	LOC119649480|XP_037907577.1|HILL
OG0001927	LOC108086697|XP_017039185.1|DFIC	LOC119646736|XP_037903241.1|HILL
OG0001928	LOC108089741|XP_017043612.1|DFIC	LOC119647619|XP_037904589.1|HILL
OG0001929	LOC108089717|XP_017043553.1|DFIC	LOC119656183|XP_037918461.1|HILL, LOC119647768|XP_037904830.1|HILL
OG0001930	LOC108096611|XP_017053844.1|DFIC	LOC119651261|XP_037910688.1|HILL
OG0001931	LOC108099955|XP_017059123.1|DFIC	LOC119648402|XP_037906072.1|HILL
OG0001932	LOC108099851|XP_017058986.1|DFIC	LOC119648398|XP_037906067.1|HILL
OG0001933	LOC108093992|XP_017049892.1|DFIC	LOC119648765|XP_037906522.1|HILL
OG0001934	LOC108089760|XP_017043639.1|DFIC	LOC119649388|XP_037907437.1|HILL
OG0001935	LOC108089571|XP_017043413.1|DFIC	LOC119648672|XP_037906388.1|HILL, LOC119649360|XP_037907401.1|HILL
OG0001937	LOC108101861|XP_017061877.1|DFIC	LOC119661170|XP_037926313.1|HILL
OG0001938	LOC108086433|XP_017038829.1|DFIC	LOC119661149|XP_037926289.1|HILL
OG0001939	LOC108095200|XP_017051696.1|DFIC	LOC119659184|XP_037923072.1|HILL
OG0001940	LOC108101497|XP_017061344.1|DFIC	LOC119647200|XP_037903942.1|HILL
OG0001941	LOC108099079|XP_017057866.1|DFIC	LOC119648112|XP_037905558.1|HILL
OG0001943	LOC108089343|XP_017043013.1|DFIC	LOC119649455|XP_037907537.1|HILL, LOC119649625|XP_037907788.1|HILL, LOC119649112|XP_037907039.1|HILL
OG0001944	LOC108099056|XP_017057813.1|DFIC	LOC119649745|XP_037907962.1|HILL
OG0001945	LOC108101535|XP_017061401.1|DFIC	LOC119661393|XP_037926646.1|HILL
OG0001946	LOC108093823|XP_017049628.1|DFIC	LOC119653908|XP_037914985.1|HILL
OG0001947	LOC108093902|XP_017049750.1|DFIC	LOC119661314|XP_037926534.1|HILL
OG0001948	LOC108088655|XP_017042071.1|DFIC	LOC119648154|XP_037905653.1|HILL
OG0001949	LOC108093123|XP_017048556.1|DFIC	LOC119649181|XP_037907136.1|HILL
OG0001950	LOC108090115|XP_017044128.1|DFIC	LOC119661016|XP_037926092.1|HILL
OG0001951	LOC108096661|XP_017053916.1|DFIC	LOC119647100|XP_037903799.1|HILL
OG0001952	LOC108095722|XP_017052389.1|DFIC	LOC119659888|XP_037924136.1|HILL
OG0001953	LOC108096828|XP_017054222.1|DFIC	LOC119661457|XP_037926741.1|HILL
OG0001954	LOC108096677|XP_017053949.1|DFIC	LOC119647112|XP_037903819.1|HILL
OG0001955	LOC108096517|XP_017053636.1|DFIC	LOC119647118|XP_037903833.1|HILL
OG0001956	LOC108096230|XP_017053113.1|DFIC	LOC119647496|XP_037904382.1|HILL
OG0001957	LOC108087796|XP_017040828.1|DFIC	LOC119659267|XP_037923194.1|HILL
OG0001958	LOC108096821|XP_017054208.1|DFIC	LOC119661584|XP_037926911.1|HILL
OG0001959	LOC108100246|XP_017059512.1|DFIC	LOC119648719|XP_037906455.1|HILL
OG0001960	LOC108100336|XP_017059643.1|DFIC	LOC119647828|XP_037904996.1|HILL
OG0001961	LOC108090928|XP_017045347.1|DFIC	LOC119661384|XP_037926630.1|HILL
OG0001962	LOC108101588|XP_017061488.1|DFIC	LOC119653650|XP_037914398.1|HILL
OG0001963	LOC108089549|XP_017043374.1|DFIC	LOC119648319|XP_037905928.1|HILL
OG0001964	LOC108088244|XP_017041448.1|DFIC	LOC119648632|XP_037906330.1|HILL, LOC119648643|XP_037906341.1|HILL
OG0001965	LOC108093097|XP_017048522.1|DFIC	LOC119649847|XP_037908129.1|HILL
OG0001966	LOC108092122|XP_017047111.1|DFIC	LOC119646800|XP_037903318.1|HILL
OG0001967	LOC108087872|XP_017040945.1|DFIC	LOC119659887|XP_037924171.1|HILL
OG0001968	LOC108089748|XP_017043623.1|DFIC	LOC119649424|XP_037907499.1|HILL
OG0001969	LOC108093832|XP_017049650.1|DFIC	LOC119661195|XP_037926345.1|HILL
OG0001970	LOC108096876|XP_017054298.1|DFIC	LOC119648481|XP_037906174.1|HILL
OG0001971	LOC108094814|XP_017051074.1|DFIC	LOC119655219|XP_037916926.1|HILL
OG0001972	LOC108086318|XP_017038710.1|DFIC	LOC119659168|XP_037923047.1|HILL
OG0001973	LOC108087714|XP_017040723.1|DFIC	LOC119646351|XP_037902713.1|HILL
OG0001974	LOC108089165|XP_017042785.1|DFIC, LOC108090417|XP_017044563.1|DFIC	LOC119646579|XP_037902999.1|HILL
OG0001975	LOC108099214|XP_017058086.1|DFIC	LOC119648358|XP_037905999.1|HILL
OG0001976	LOC108087683|XP_017040676.1|DFIC	LOC119654729|XP_037916185.1|HILL
OG0001978	LOC108101505|XP_017061747.1|DFIC, LOC108095088|XP_017051513.1|DFIC	LOC119646769|XP_037903279.1|HILL
OG0001979	LOC108100811|XP_017060367.1|DFIC	LOC119661563|XP_037926885.1|HILL
OG0001980	LOC108091528|XP_017046279.1|DFIC	LOC119649846|XP_037908130.1|HILL
OG0001981	LOC108089951|XP_017043930.1|DFIC	LOC119653257|XP_037913793.1|HILL
OG0001982	LOC108101717|XP_017061645.1|DFIC	LOC119651562|XP_037911123.1|HILL
OG0001983	LOC108098848|XP_017057543.1|DFIC	LOC119660966|XP_037925954.1|HILL
OG0001984	LOC108093430|XP_017048979.1|DFIC	LOC119651214|XP_037910593.1|HILL
OG0001985	LOC108101145|XP_017060856.1|DFIC, LOC108101203|XP_017060939.1|DFIC	LOC119650304|XP_037908878.1|HILL
OG0001986	LOC108093573|XP_017049164.1|DFIC, LOC108088146|XP_017041300.1|DFIC	LOC119647314|XP_037904168.1|HILL
OG0001987	LOC108097020|XP_017054521.1|DFIC	LOC119660727|XP_037925308.1|HILL
OG0001988	LOC108093869|XP_017049700.1|DFIC	LOC119661433|XP_037926706.1|HILL
OG0001989	LOC108091415|XP_017046094.1|DFIC	LOC119651051|XP_037910305.1|HILL, LOC119652146|XP_037912018.1|HILL
OG0001990	LOC108089258|XP_017042913.1|DFIC, LOC108095888|XP_017052691.1|DFIC	LOC119653176|XP_037913650.1|HILL, LOC119652300|XP_037912228.1|HILL
OG0001992	LOC108101998|XP_017062084.1|DFIC	LOC119647247|XP_037904053.1|HILL
OG0001993	LOC108094376|XP_017050412.1|DFIC	LOC119651039|XP_037910285.1|HILL
OG0001994	LOC108093352|XP_017048851.1|DFIC	LOC119661576|XP_037926903.1|HILL
OG0001995	LOC108094467|XP_017050539.1|DFIC	LOC119652957|XP_037913281.1|HILL
OG0001996	LOC108089969|XP_017043961.1|DFIC	LOC119646634|XP_037903074.1|HILL
OG0001997	LOC108090781|XP_017045117.1|DFIC	LOC119661401|XP_037926657.1|HILL
OG0001998	LOC108090778|XP_017045111.1|DFIC	LOC119646269|XP_037902604.1|HILL
OG0001999	LOC108096687|XP_017053978.1|DFIC	LOC119654824|XP_037916320.1|HILL
OG0002000	LOC108092617|XP_017047744.1|DFIC, LOC108095046|XP_017051477.1|DFIC	LOC119657620|XP_037920554.1|HILL
OG0002001	LOC108095076|XP_017051488.1|DFIC, LOC108101596|XP_017061500.1|DFIC, LOC108101573|XP_017061478.1|DFIC	LOC119651608|XP_037911192.1|HILL
OG0002002	LOC108086747|XP_017039276.1|DFIC	LOC119646462|XP_037902838.1|HILL
OG0002003	LOC108094098|XP_017050013.1|DFIC, LOC108098751|XP_017057374.1|DFIC	LOC119653100|XP_037913542.1|HILL, LOC119651921|XP_037911677.1|HILL
OG0002004	LOC108090620|XP_017044885.1|DFIC	LOC119652691|XP_037912896.1|HILL
OG0002005	LOC108098252|XP_017056535.1|DFIC	LOC119652676|XP_037912873.1|HILL
OG0002006	LOC108100863|XP_017060431.1|DFIC	LOC119652692|XP_037912901.1|HILL
OG0002007	LOC108086321|XP_017038712.1|DFIC, LOC108100975|XP_017060617.1|DFIC	LOC119647145|XP_037903867.1|HILL
OG0002008	LOC108095006|XP_017051335.1|DFIC	LOC119660773|XP_037925469.1|HILL
OG0002009	LOC108096547|XP_017053724.1|DFIC	LOC119661080|XP_037926200.1|HILL
OG0002010	LOC108098747|XP_017057371.1|DFIC, LOC108091421|XP_017046137.1|DFIC	LOC119652866|XP_037913151.1|HILL
OG0002011	LOC108098358|XP_017056692.1|DFIC	LOC119646725|XP_037903232.1|HILL
OG0002012	LOC108089818|XP_017043709.1|DFIC	LOC119656680|XP_037919095.1|HILL
OG0002013	LOC108101236|XP_017060975.1|DFIC	LOC119650589|XP_037909361.1|HILL
OG0002014	LOC108095188|XP_017051670.1|DFIC	LOC119650239|XP_037908753.1|HILL, LOC119650220|XP_037908725.1|HILL
OG0002015	LOC108100810|XP_017060366.1|DFIC	LOC119646430|XP_037902808.1|HILL
OG0002016	LOC108090449|XP_017044621.1|DFIC	LOC119646971|XP_037903601.1|HILL
OG0002017	LOC108100059|XP_017059281.1|DFIC	LOC119651134|XP_037910456.1|HILL
OG0002018	LOC108094353|XP_017050382.1|DFIC	LOC119651428|XP_037910953.1|HILL
OG0002019	LOC108094174|XP_017050155.1|DFIC, LOC108094512|XP_017050601.1|DFIC	LOC119646570|XP_037902989.1|HILL
OG0002020	LOC108094457|XP_017050524.1|DFIC	LOC119652879|XP_037913171.1|HILL
OG0002021	LOC108087825|XP_017040883.1|DFIC	LOC119659470|XP_037923533.1|HILL
OG0002022	LOC108089932|XP_017043908.1|DFIC	LOC119646797|XP_037903314.1|HILL, LOC119650151|XP_037908617.1|HILL
OG0002023	LOC108087117|XP_017039786.1|DFIC	LOC119656328|XP_037918719.1|HILL
OG0002024	LOC108089253|XP_017042908.1|DFIC	LOC119658398|XP_037921718.1|HILL
OG0002025	LOC108098702|XP_017057304.1|DFIC	LOC119661327|XP_037926555.1|HILL
OG0002026	LOC108093584|XP_017049198.1|DFIC	LOC119647988|XP_037905301.1|HILL
OG0002027	LOC108096603|XP_017053790.1|DFIC	LOC119655920|XP_037918014.1|HILL
OG0002028	LOC108090805|XP_017045148.1|DFIC	LOC119654882|XP_037916419.1|HILL
OG0002029	LOC108089723|XP_017043591.1|DFIC	LOC119659931|XP_037924197.1|HILL
OG0002030	LOC108101920|XP_017061987.1|DFIC	LOC119659276|XP_037923212.1|HILL
OG0002031	LOC108096918|XP_017054358.1|DFIC	LOC119655014|XP_037916612.1|HILL
OG0002032	LOC108098503|XP_017056920.1|DFIC	LOC119653873|XP_037914909.1|HILL
OG0002033	LOC108091226|XP_017045820.1|DFIC	LOC119656155|XP_037918417.1|HILL
OG0002034	LOC108097225|XP_017054873.1|DFIC	LOC119654370|XP_037915646.1|HILL
OG0002035	LOC108099615|XP_017058727.1|DFIC	LOC119660316|XP_037924719.1|HILL
OG0002036	LOC108098765|XP_017057386.1|DFIC	LOC119660612|XP_037925233.1|HILL
OG0002037	LOC108100207|XP_017059470.1|DFIC	LOC119649129|XP_037907062.1|HILL
OG0002038	LOC108093113|XP_017048547.1|DFIC, LOC108101118|XP_017060827.1|DFIC	LOC119647281|XP_037904102.1|HILL
OG0002039	LOC108091718|XP_017046549.1|DFIC	LOC119658624|XP_037922050.1|HILL
OG0002040	LOC108100432|XP_017059842.1|DFIC	LOC119660134|XP_037924461.1|HILL
OG0002041	LOC108090432|XP_017044594.1|DFIC	LOC119653539|XP_037914144.1|HILL
OG0002042	LOC108093543|XP_017049126.1|DFIC	LOC119659806|XP_037924004.1|HILL
OG0002043	LOC108090217|XP_017044299.1|DFIC	LOC119658578|XP_037921956.1|HILL
OG0002044	LOC108088454|XP_017041723.1|DFIC	LOC119658718|XP_037922266.1|HILL
OG0002045	LOC108099658|XP_017058781.1|DFIC	LOC119659915|XP_037924168.1|HILL
OG0002046	LOC108092801|XP_017048061.1|DFIC	LOC119659215|XP_037923116.1|HILL
OG0002047	LOC108097406|XP_017055150.1|DFIC	LOC119655731|XP_037917709.1|HILL
OG0002048	LOC108087914|XP_017040988.1|DFIC	LOC119659298|XP_037923237.1|HILL
OG0002049	LOC108102032|XP_017062136.1|DFIC	LOC119658688|XP_037922201.1|HILL
OG0002050	LOC108097145|XP_017054747.1|DFIC	LOC119658589|XP_037921977.1|HILL
OG0002051	LOC108086407|XP_017038798.1|DFIC	LOC119655921|XP_037918017.1|HILL, LOC119649941|XP_037908287.1|HILL
OG0002052	LOC108089347|XP_017043017.1|DFIC	LOC119659533|XP_037923602.1|HILL
OG0002053	LOC108099557|XP_017058632.1|DFIC	LOC119659501|XP_037923555.1|HILL
OG0002054	LOC108090130|XP_017044155.1|DFIC	LOC119660002|XP_037924308.1|HILL
OG0002055	LOC108088037|XP_017041160.1|DFIC	LOC119659025|XP_037922848.1|HILL
OG0002056	LOC108089435|XP_017043154.1|DFIC	LOC119653891|XP_037914941.1|HILL
OG0002057	LOC108089142|XP_017042752.1|DFIC	LOC119655930|XP_037918040.1|HILL
OG0002058	LOC108099146|XP_017057981.1|DFIC	LOC119655360|XP_037917145.1|HILL
OG0002059	LOC108095851|XP_017052638.1|DFIC	LOC119655733|XP_037917711.1|HILL
OG0002060	LOC108086738|XP_017039259.1|DFIC	LOC119655395|XP_037917200.1|HILL
OG0002061	LOC108090902|XP_017045307.1|DFIC	LOC119653456|XP_037913993.1|HILL
OG0002062	LOC108092779|XP_017048013.1|DFIC	LOC119653676|XP_037914444.1|HILL
OG0002063	LOC108097034|XP_017054542.1|DFIC, LOC108095242|XP_017051761.1|DFIC, LOC108098190|XP_017056414.1|DFIC, LOC108097363|XP_017055096.1|DFIC	LOC119655005|XP_037916601.1|HILL
OG0002064	LOC108100466|XP_017059885.1|DFIC	LOC119654268|XP_037915463.1|HILL, LOC119655743|XP_037917724.1|HILL
OG0002065	LOC108099106|XP_017057917.1|DFIC	LOC119648983|XP_037906831.1|HILL
OG0002066	LOC108096604|XP_017053800.1|DFIC	LOC119659689|XP_037923854.1|HILL
OG0002067	LOC108090806|XP_017045151.1|DFIC	LOC119660524|XP_037925073.1|HILL
OG0002068	LOC108096882|XP_017054312.1|DFIC	LOC119659187|XP_037923075.1|HILL
OG0002069	LOC108095714|XP_017052378.1|DFIC	LOC119653847|XP_037914822.1|HILL
OG0002070	LOC108092146|XP_017047150.1|DFIC	LOC119656700|XP_037919135.1|HILL
OG0002071	LOC108095773|XP_017052507.1|DFIC	LOC119655665|XP_037917579.1|HILL
OG0002072	LOC108093922|XP_017049780.1|DFIC	LOC119659080|XP_037922923.1|HILL
OG0002073	LOC108087462|XP_017040313.1|DFIC	LOC119650208|XP_037908702.1|HILL
OG0002074	LOC108101925|XP_017061993.1|DFIC	LOC119655850|XP_037917896.1|HILL
OG0002075	LOC108095010|XP_017051346.1|DFIC, LOC108100895|XP_017060493.1|DFIC	LOC119649972|XP_037908337.1|HILL
OG0002076	LOC108096691|XP_017053983.1|DFIC	LOC119656236|XP_037918582.1|HILL
OG0002077	LOC108100294|XP_017059581.1|DFIC	LOC119654575|XP_037915958.1|HILL
OG0002078	LOC108094753|XP_017050999.1|DFIC	LOC119655664|XP_037917578.1|HILL
OG0002079	LOC108100380|XP_017059723.1|DFIC	LOC119650394|XP_037909083.1|HILL
OG0002080	LOC108093803|XP_017049598.1|DFIC	LOC119654626|XP_037916026.1|HILL
OG0002081	LOC108090855|XP_017045225.1|DFIC	LOC119654662|XP_037916081.1|HILL
OG0002082	LOC108090419|XP_017044567.1|DFIC	LOC119656303|XP_037918675.1|HILL
OG0002083	LOC108092874|XP_017048199.1|DFIC	LOC119653504|XP_037914088.1|HILL
OG0002084	LOC108096922|XP_017054362.1|DFIC	LOC119656315|XP_037918691.1|HILL
OG0002085	LOC108096706|XP_017054028.1|DFIC	LOC119656233|XP_037918577.1|HILL, LOC119655275|XP_037917019.1|HILL, LOC119655274|XP_037917014.1|HILL
OG0002086	LOC108096941|XP_017054388.1|DFIC	LOC119655635|XP_037917536.1|HILL
OG0002087	LOC108100270|XP_017059543.1|DFIC	LOC119654374|XP_037915655.1|HILL
OG0002088	LOC108100427|XP_017059821.1|DFIC	LOC119647909|XP_037905155.1|HILL
OG0002089	LOC108090405|XP_017044546.1|DFIC	LOC119654913|XP_037916475.1|HILL
OG0002090	LOC108095443|XP_017052041.1|DFIC	LOC119648685|XP_037906409.1|HILL
OG0002091	LOC108090675|XP_017044950.1|DFIC	LOC119653647|XP_037914390.1|HILL, LOC119653648|XP_037914392.1|HILL, LOC119653646|XP_037914389.1|HILL
OG0002092	LOC108089469|XP_017043211.1|DFIC	LOC119647664|XP_037904667.1|HILL
OG0002093	LOC108090763|XP_017045092.1|DFIC	LOC119653692|XP_037914490.1|HILL
OG0002094	LOC108090687|XP_017044962.1|DFIC	LOC119653481|XP_037914036.1|HILL
OG0002095	LOC108097765|XP_017055776.1|DFIC	LOC119653426|XP_037913933.1|HILL
OG0002096	LOC108086724|XP_017039236.1|DFIC	LOC119653799|XP_037914741.1|HILL, LOC119655532|XP_037917374.1|HILL
OG0002097	LOC108090753|XP_017045074.1|DFIC	LOC119654127|XP_037915218.1|HILL
OG0002098	LOC108088876|XP_017042359.1|DFIC	LOC119649830|XP_037908100.1|HILL
OG0002099	LOC108097612|XP_017055510.1|DFIC	LOC119653875|XP_037914911.1|HILL
OG0002100	LOC108096419|XP_017053489.1|DFIC	LOC119647613|XP_037904574.1|HILL
OG0002101	LOC108090364|XP_017044482.1|DFIC	LOC119655574|XP_037917430.1|HILL
OG0002102	LOC108094881|XP_017051201.1|DFIC	LOC119653572|XP_037914228.1|HILL
OG0002103	LOC108097689|XP_017055646.1|DFIC	LOC119652473|XP_037912571.1|HILL
OG0002107	LOC108100064|XP_017059287.1|DFIC	LOC119646747|XP_037903252.1|HILL
OG0002110	LOC108092661|XP_017047811.1|DFIC	LOC119647779|XP_037904889.1|HILL
OG0002117	LOC108094936|XP_017051284.1|DFIC	LOC119657828|XP_037920874.1|HILL
OG0002118	LOC108101139|XP_017060850.1|DFIC	LOC119656808|XP_037919354.1|HILL
OG0002119	LOC108095813|XP_017052575.1|DFIC	LOC119658634|XP_037922087.1|HILL
OG0002120	LOC108095035|XP_017051407.1|DFIC	LOC119660744|XP_037925393.1|HILL
OG0002121	LOC108086560|XP_017039002.1|DFIC	LOC119651294|XP_037910741.1|HILL
OG0002123	LOC108100797|XP_017060340.1|DFIC	LOC119648401|XP_037906075.1|HILL
OG0002124	LOC108088720|XP_017042154.1|DFIC, LOC108088713|XP_017042146.1|DFIC	LOC119657220|XP_037919960.1|HILL
OG0002125	LOC108087657|XP_017040634.1|DFIC	LOC119650671|XP_037909550.1|HILL
OG0002126	LOC108096461|XP_017053557.1|DFIC	LOC119647832|XP_037905001.1|HILL
OG0002127	LOC108098082|XP_017056273.1|DFIC	LOC119657602|XP_037920529.1|HILL
OG0002128	LOC108088610|XP_017041984.1|DFIC	LOC119656607|XP_037918970.1|HILL
OG0002129	LOC108087986|XP_017041076.1|DFIC	LOC119652830|XP_037913086.1|HILL
OG0002130	LOC108097058|XP_017054583.1|DFIC	LOC119657247|XP_037919992.1|HILL
OG0002131	LOC108087342|XP_017040171.1|DFIC	LOC119651496|XP_037911040.1|HILL
OG0002132	LOC108089239|XP_017042889.1|DFIC	LOC119651555|XP_037911116.1|HILL
OG0002133	LOC108095573|XP_017052213.1|DFIC	LOC119656658|XP_037919062.1|HILL
OG0002134	LOC108092787|XP_017048041.1|DFIC	LOC119653848|XP_037914824.1|HILL
OG0002135	LOC108097921|XP_017055959.1|DFIC	LOC119656668|XP_037919077.1|HILL
OG0002136	LOC108088506|XP_017041826.1|DFIC	LOC119659975|XP_037924269.1|HILL
OG0002137	LOC108087143|XP_017039843.1|DFIC	LOC119656530|XP_037918803.1|HILL
OG0002138	LOC108091108|XP_017045620.1|DFIC	LOC119661326|XP_037926552.1|HILL
OG0002139	LOC108091302|XP_017045914.1|DFIC	LOC119646344|XP_037902706.1|HILL
OG0002140	LOC108088683|XP_017042113.1|DFIC	LOC119658046|XP_037921217.1|HILL
