Orthogroup	DSER.longest_only	BCOP.longest_only
OG0001224	LOC110176761|XP_020798869.1|DSER	LOC119071511|XP_037032275.1|BCOP
OG0001225	LOC110189173|XP_020814798.1|DSER	LOC119085402|XP_037051703.1|BCOP
OG0001225	LOC110180045|XP_020803317.1|DSER	LOC119079331|XP_037043024.1|BCOP
OG0001226	LOC110179328|XP_020802479.1|DSER	LOC119079509|XP_037043359.1|BCOP
OG0001227	LOC110182673|XP_020806413.1|DSER, LOC110180309|XP_020803622.1|DSER	LOC119072561|XP_037033694.1|BCOP, LOC119072562|XP_037033697.1|BCOP
OG0001229	LOC110185535|XP_020810101.1|DSER	LOC119080001|XP_037044068.1|BCOP
OG0001230	LOC110182355|XP_020806057.1|DSER	LOC119075518|XP_037037885.1|BCOP
OG0001231	LOC110182819|XP_020806614.1|DSER	LOC119069408|XP_037029352.1|BCOP, LOC119085250|XP_037051481.1|BCOP
OG0001233	LOC110176905|XP_020799051.1|DSER	LOC119077143|XP_037040222.1|BCOP
OG0001234	LOC110188933|XP_020814530.1|DSER, LOC110176381|XP_020798371.1|DSER, LOC110178517|XP_020801328.1|DSER	LOC119080165|XP_037044281.1|BCOP
OG0001235	LOC110178124|XP_020800804.1|DSER	LOC119066204|XP_037024418.1|BCOP
OG0001236	LOC110184617|XP_020808869.1|DSER	LOC119076423|XP_037039060.1|BCOP
OG0001237	LOC110188234|XP_020813550.1|DSER	LOC119066412|XP_037024783.1|BCOP
OG0001238	LOC110186135|XP_020810840.1|DSER	LOC119067592|XP_037026588.1|BCOP
OG0001240	LOC110186155|XP_020810864.1|DSER	LOC119071571|XP_037032408.1|BCOP, LOC119071617|XP_037032455.1|BCOP, LOC119069733|XP_037029759.1|BCOP
OG0001241	LOC110178227|XP_020800935.1|DSER	LOC119076890|XP_037039790.1|BCOP
OG0001242	LOC110185597|XP_020810195.1|DSER, LOC110181928|XP_020805523.1|DSER	LOC119074893|XP_037037134.1|BCOP
OG0001243	LOC110189879|XP_020815782.1|DSER	LOC119080215|XP_037044349.1|BCOP
OG0001244	LOC110176507|XP_020798539.1|DSER	LOC119081757|XP_037046842.1|BCOP, LOC119084826|XP_037050801.1|BCOP
OG0001245	LOC110188646|XP_020814083.1|DSER	LOC119072143|XP_037033181.1|BCOP
OG0001246	LOC110191492|XP_020818015.1|DSER	LOC119082098|XP_037047361.1|BCOP
OG0001248	LOC110190488|XP_020816663.1|DSER	LOC119075245|XP_037037539.1|BCOP
OG0001249	LOC110182831|XP_020806623.1|DSER	LOC119080457|XP_037044720.1|BCOP
OG0001257	LOC110185455|XP_020809950.1|DSER	LOC119085040|XP_037051135.1|BCOP
OG0001258	LOC110186697|XP_020811628.1|DSER	LOC119069519|XP_037029493.1|BCOP, LOC119076546|XP_037039236.1|BCOP
OG0001259	LOC110178561|XP_020801392.1|DSER	LOC119070552|XP_037030845.1|BCOP
OG0001260	LOC110188452|XP_020813840.1|DSER, LOC110188355|XP_020813722.1|DSER	LOC119068993|XP_037028764.1|BCOP
OG0001261	LOC110190230|XP_020816250.1|DSER, LOC110176049|XP_020797922.1|DSER	LOC119070076|XP_037030271.1|BCOP
OG0001262	LOC110189926|XP_020815864.1|DSER	LOC119085722|XP_037052066.1|BCOP
OG0001263	LOC110188014|XP_020813197.1|DSER	LOC119070353|XP_037030541.1|BCOP
OG0001264	LOC110178214|XP_020800915.1|DSER	LOC119078566|XP_037042032.1|BCOP, LOC119068128|XP_037027482.1|BCOP
OG0001265	LOC110182507|XP_020806217.1|DSER	LOC119069911|XP_037030014.1|BCOP
OG0001266	LOC110176927|XP_020799086.1|DSER	LOC119077021|XP_037040031.1|BCOP
OG0001267	LOC110188013|XP_020813196.1|DSER	LOC119084811|XP_037050775.1|BCOP, LOC119069963|XP_037030093.1|BCOP
OG0001269	LOC110180266|XP_020803581.1|DSER	LOC119070358|XP_037030547.1|BCOP
OG0001270	LOC110177268|XP_020799579.1|DSER	LOC119077657|XP_037040770.1|BCOP
OG0001271	LOC110178003|XP_020800662.1|DSER	LOC119080744|XP_037045188.1|BCOP, LOC119084964|XP_037051008.1|BCOP
OG0001272	LOC110188883|XP_020814459.1|DSER	LOC119066265|XP_037024514.1|BCOP, LOC119080600|XP_037044897.1|BCOP, LOC119080172|XP_037044289.1|BCOP
OG0001273	LOC110188047|XP_020813255.1|DSER	LOC119085730|XP_037052091.1|BCOP
OG0001274	LOC110178986|XP_020801960.1|DSER	LOC119071667|XP_037032541.1|BCOP
OG0001275	LOC110191974|XP_020818654.1|DSER	LOC119077876|XP_037041124.1|BCOP
OG0001276	LOC110183641|XP_020807621.1|DSER	LOC119078766|XP_037042372.1|BCOP
OG0001278	LOC110190777|XP_020817067.1|DSER	LOC119083449|XP_037049066.1|BCOP, LOC119082191|XP_037047510.1|BCOP
OG0001279	LOC110190634|XP_020816889.1|DSER	LOC119082184|XP_037047501.1|BCOP, LOC119083062|XP_037048580.1|BCOP
OG0001280	LOC110178813|XP_020801731.1|DSER, LOC110178814|XP_020801734.1|DSER, LOC110178718|XP_020801581.1|DSER	LOC119073374|XP_037034692.1|BCOP
OG0001281	LOC110177548|XP_020799976.1|DSER	LOC119080644|XP_037044952.1|BCOP, LOC119080642|XP_037044951.1|BCOP
OG0001282	LOC110186109|XP_020810815.1|DSER	LOC119070562|XP_037030865.1|BCOP
OG0001283	LOC110188939|XP_020814537.1|DSER	LOC119082204|XP_037047534.1|BCOP, LOC119076452|XP_037039114.1|BCOP
OG0001284	LOC110182846|XP_020806637.1|DSER	LOC119072278|XP_037033366.1|BCOP
OG0001285	LOC110183656|XP_020807643.1|DSER	LOC119071935|XP_037032952.1|BCOP, LOC119073343|XP_037034632.1|BCOP
OG0001286	LOC110187276|XP_020812324.1|DSER	LOC119075691|XP_037038109.1|BCOP, LOC119074449|XP_037036475.1|BCOP, LOC119075693|XP_037038110.1|BCOP, LOC119075696|XP_037038117.1|BCOP, LOC119078022|XP_037041313.1|BCOP, LOC119075694|XP_037038115.1|BCOP, LOC119072764|XP_037033954.1|BCOP, LOC119075695|XP_037038116.1|BCOP
OG0001287	LOC110188353|XP_020813720.1|DSER	LOC119068416|XP_037027883.1|BCOP
OG0001288	LOC110178188|XP_020800882.1|DSER	LOC119077031|XP_037040049.1|BCOP
OG0001289	LOC110187458|XP_020812504.1|DSER	LOC119070699|XP_037031045.1|BCOP
OG0001290	LOC110187380|XP_020812427.1|DSER	LOC119077062|XP_037040094.1|BCOP
OG0001291	LOC110191499|XP_020818024.1|DSER	LOC119072054|XP_037033079.1|BCOP
OG0001292	LOC110183703|XP_020807741.1|DSER, LOC110183245|XP_020807129.1|DSER	LOC119071121|XP_037031664.1|BCOP
OG0001293	LOC110181963|XP_020805571.1|DSER	LOC119072053|XP_037033082.1|BCOP
OG0001294	LOC110184142|XP_020808214.1|DSER	LOC119086076|XP_037052546.1|BCOP
OG0001295	LOC110187073|XP_020812122.1|DSER	LOC119074602|XP_037036749.1|BCOP
OG0001296	LOC110189783|XP_020815671.1|DSER	LOC119074741|XP_037036898.1|BCOP
OG0001297	LOC110190384|XP_020816477.1|DSER	LOC119076741|XP_037039580.1|BCOP
OG0001298	LOC110188270|XP_020813618.1|DSER	LOC119085776|XP_037052167.1|BCOP, LOC119067013|XP_037025637.1|BCOP
OG0001299	LOC110185144|XP_020809505.1|DSER	LOC119074935|XP_037037221.1|BCOP
OG0001300	LOC110191216|XP_020817641.1|DSER	LOC119083181|XP_037048736.1|BCOP
OG0001301	LOC110185822|XP_020810488.1|DSER	LOC119068447|XP_037027923.1|BCOP
OG0001302	LOC110191930|XP_020818604.1|DSER	LOC119082840|XP_037048392.1|BCOP, LOC119084858|XP_037050887.1|BCOP
OG0001303	LOC110191212|XP_020817638.1|DSER	LOC119067286|XP_037026066.1|BCOP
OG0001304	LOC110178260|XP_020800981.1|DSER	LOC119078465|XP_037041902.1|BCOP
OG0001305	LOC110177242|XP_020799538.1|DSER	LOC119078132|XP_037041498.1|BCOP
OG0001306	LOC110190363|XP_020816437.1|DSER	LOC119069549|XP_037029523.1|BCOP
OG0001307	LOC110190465|XP_020816633.1|DSER	LOC119074401|XP_037036417.1|BCOP
OG0001309	LOC110177283|XP_020799591.1|DSER	LOC119077885|XP_037041144.1|BCOP
OG0001310	LOC110184129|XP_020808196.1|DSER	LOC119084874|XP_037050909.1|BCOP, LOC119085692|XP_037052037.1|BCOP
OG0001311	LOC110182638|XP_020806365.1|DSER	LOC119083176|XP_037048730.1|BCOP, LOC119070013|XP_037030187.1|BCOP, LOC119070031|XP_037030212.1|BCOP
OG0001313	LOC110178474|XP_020801275.1|DSER	LOC119072484|XP_037033612.1|BCOP
OG0001315	LOC110180451|XP_020803786.1|DSER	LOC119083708|XP_037049392.1|BCOP, LOC119071029|XP_037031519.1|BCOP
OG0001326	LOC110186766|XP_020811687.1|DSER	LOC119068673|XP_037028250.1|BCOP
OG0001328	LOC110181715|XP_020805223.1|DSER	LOC119070657|XP_037030983.1|BCOP, LOC119067324|XP_037026125.1|BCOP
OG0001329	LOC110181481|XP_020804893.1|DSER	LOC119067609|XP_037026597.1|BCOP
OG0001330	LOC110179252|XP_020802369.1|DSER	LOC119082152|XP_037047448.1|BCOP
OG0001331	LOC110182448|XP_020806142.1|DSER	LOC119069973|XP_037030111.1|BCOP
OG0001332	LOC110179723|XP_020803001.1|DSER	LOC119068843|XP_037028545.1|BCOP, LOC119068844|XP_037028552.1|BCOP
OG0001333	LOC110183753|XP_020807768.1|DSER	LOC119069998|XP_037030145.1|BCOP, LOC119070001|XP_037030147.1|BCOP
OG0001334	LOC110186443|XP_020811286.1|DSER	LOC119067734|XP_037026742.1|BCOP
OG0001335	LOC110176574|XP_020798642.1|DSER	LOC119068138|XP_037027494.1|BCOP, LOC119068921|XP_037028678.1|BCOP
OG0001337	LOC110191969|XP_020818643.1|DSER	LOC119067232|XP_037025981.1|BCOP
OG0001338	LOC110179656|XP_020802916.1|DSER	LOC119085777|XP_037052168.1|BCOP
OG0001339	LOC110180030|XP_020803296.1|DSER	LOC119068739|XP_037028335.1|BCOP, LOC119079641|XP_037043560.1|BCOP
OG0001340	LOC110185353|XP_020809791.1|DSER	LOC119068557|XP_037028078.1|BCOP, LOC119068772|XP_037028422.1|BCOP
OG0001341	LOC110190867|XP_020817177.1|DSER	LOC119067839|XP_037026909.1|BCOP
OG0001343	LOC110176656|XP_020798749.1|DSER	LOC119068821|XP_037028489.1|BCOP, LOC119068819|XP_037028488.1|BCOP
OG0001344	LOC110186634|XP_020811552.1|DSER	LOC119067089|XP_037025743.1|BCOP, LOC119067088|XP_037025742.1|BCOP
OG0001345	LOC110188450|XP_020813838.1|DSER	LOC119068712|XP_037028296.1|BCOP
OG0001346	LOC110186545|XP_020811407.1|DSER	LOC119070059|XP_037030247.1|BCOP
OG0001347	LOC110184801|XP_020809095.1|DSER	LOC119068588|XP_037028129.1|BCOP
OG0001348	LOC110186642|XP_020811561.1|DSER	LOC119081782|XP_037046887.1|BCOP
OG0001349	LOC110190514|XP_020816703.1|DSER	LOC119076108|XP_037038668.1|BCOP
OG0001350	LOC110181246|XP_020804609.1|DSER, LOC110181243|XP_020804607.1|DSER, LOC110181245|XP_020804608.1|DSER	LOC119069222|XP_037029139.1|BCOP
OG0001351	LOC110178004|XP_020800663.1|DSER, LOC110178011|XP_020800684.1|DSER	LOC119084977|XP_037051024.1|BCOP, LOC119084881|XP_037050921.1|BCOP
OG0001352	LOC110189271|XP_020814946.1|DSER	LOC119073437|XP_037034814.1|BCOP
OG0001353	LOC110176147|XP_020798043.1|DSER	LOC119067652|XP_037026648.1|BCOP
OG0001354	LOC110181140|XP_020804469.1|DSER, LOC110181101|XP_020804431.1|DSER	LOC119075131|XP_037037410.1|BCOP, LOC119084554|XP_037050464.1|BCOP, LOC119084538|XP_037050441.1|BCOP, LOC119073015|XP_037034233.1|BCOP
OG0001355	LOC110176356|XP_020798347.1|DSER	LOC119076251|XP_037038813.1|BCOP, LOC119078126|XP_037041488.1|BCOP
OG0001356	LOC110187982|XP_020813162.1|DSER	LOC119079525|XP_037043401.1|BCOP
OG0001357	LOC110189116|XP_020814749.1|DSER	LOC119080183|XP_037044308.1|BCOP, LOC119080187|XP_037044319.1|BCOP, LOC119071034|XP_037031528.1|BCOP, LOC119071033|XP_037031527.1|BCOP, LOC119080460|XP_037044726.1|BCOP
OG0001358	LOC110176678|XP_020798774.1|DSER, LOC110185177|XP_020809554.1|DSER	LOC119080184|XP_037044309.1|BCOP, LOC119083376|XP_037048985.1|BCOP
OG0001359	LOC110186033|XP_020810729.1|DSER	LOC119076426|XP_037039066.1|BCOP
OG0001360	LOC110180786|XP_020804157.1|DSER	LOC119074489|XP_037036534.1|BCOP
OG0001361	LOC110190504|XP_020816681.1|DSER	LOC119076931|XP_037039861.1|BCOP
OG0001362	LOC110190780|XP_020817077.1|DSER	LOC119082193|XP_037047522.1|BCOP, LOC119083450|XP_037049069.1|BCOP
OG0001363	LOC110188349|XP_020813716.1|DSER	LOC119076875|XP_037039779.1|BCOP, LOC119080901|XP_037045380.1|BCOP
OG0001364	LOC110191559|XP_020818093.1|DSER	LOC119073335|XP_037034624.1|BCOP
OG0001365	LOC110191304|XP_020817774.1|DSER	LOC119084893|XP_037050938.1|BCOP
OG0001366	LOC110189082|XP_020814712.1|DSER, LOC110189080|XP_020814710.1|DSER	LOC119082924|XP_037048474.1|BCOP
OG0001367	LOC110180165|XP_020803499.1|DSER	LOC119078008|XP_037041291.1|BCOP
OG0001368	LOC110188968|XP_020814572.1|DSER	LOC119081869|XP_037046996.1|BCOP, LOC119081865|XP_037046989.1|BCOP, LOC119081866|XP_037046990.1|BCOP
OG0001369	LOC110183634|XP_020807611.1|DSER	LOC119080425|XP_037044670.1|BCOP, LOC119076370|XP_037038973.1|BCOP
OG0001370	LOC110178462|XP_020801260.1|DSER	LOC119079586|XP_037043471.1|BCOP
OG0001372	LOC110176859|XP_020798993.1|DSER	LOC119081890|XP_037047013.1|BCOP, LOC119073081|XP_037034289.1|BCOP
OG0001373	LOC110182721|XP_020806480.1|DSER	LOC119071460|XP_037032211.1|BCOP
OG0001374	LOC110189535|XP_020815323.1|DSER, LOC110176776|XP_020798873.1|DSER	LOC119081445|XP_037046274.1|BCOP
OG0001375	LOC110187945|XP_020813118.1|DSER	LOC119077671|XP_037040810.1|BCOP, LOC119077676|XP_037040822.1|BCOP, LOC119072638|XP_037033781.1|BCOP, LOC119078464|XP_037041896.1|BCOP, LOC119077673|XP_037040816.1|BCOP, LOC119077675|XP_037040820.1|BCOP
OG0001376	LOC110179351|XP_020802520.1|DSER	LOC119073483|XP_037034883.1|BCOP
OG0001377	LOC110176816|XP_020798916.1|DSER	LOC119085360|XP_037051633.1|BCOP
OG0001378	LOC110185914|XP_020810585.1|DSER	LOC119073535|XP_037034971.1|BCOP
OG0001380	LOC110189757|XP_020815630.1|DSER	LOC119081665|XP_037046643.1|BCOP
OG0001381	LOC110182389|XP_020806091.1|DSER	LOC119068711|XP_037028295.1|BCOP, LOC119068709|XP_037028294.1|BCOP
OG0001382	LOC110187249|XP_020812306.1|DSER	LOC119076360|XP_037038954.1|BCOP
OG0001383	LOC110176382|XP_020798372.1|DSER, LOC110188936|XP_020814534.1|DSER	LOC119078241|XP_037041605.1|BCOP
OG0001384	LOC110181428|XP_020804830.1|DSER	LOC119074606|XP_037036758.1|BCOP, LOC119072248|XP_037033323.1|BCOP, LOC119072247|XP_037033322.1|BCOP
OG0001385	LOC110177889|XP_020800514.1|DSER	LOC119082316|XP_037047712.1|BCOP
OG0001386	LOC110177636|XP_020800143.1|DSER, LOC110177123|XP_020799376.1|DSER	LOC119081244|XP_037045865.1|BCOP, LOC119082514|XP_037047921.1|BCOP, LOC119081242|XP_037045862.1|BCOP, LOC119081592|XP_037046522.1|BCOP, LOC119070351|XP_037030533.1|BCOP
OG0001387	LOC110182657|XP_020806388.1|DSER	LOC119077011|XP_037040019.1|BCOP, LOC119073952|XP_037035732.1|BCOP
OG0001388	LOC110183323|XP_020807228.1|DSER	LOC119078838|XP_037042435.1|BCOP
OG0001389	LOC110185063|XP_020809402.1|DSER	LOC119070229|XP_037030392.1|BCOP
OG0001390	LOC110183025|XP_020806871.1|DSER, LOC110183011|XP_020806857.1|DSER, LOC110185616|XP_020810223.1|DSER	LOC119066921|XP_037025519.1|BCOP, LOC119076711|XP_037039523.1|BCOP, LOC119079002|XP_037042664.1|BCOP, LOC119067954|XP_037027173.1|BCOP
OG0001391	LOC110181410|XP_020804806.1|DSER	LOC119066428|XP_037024846.1|BCOP
OG0001392	LOC110191965|XP_020818642.1|DSER	LOC119074919|XP_037037205.1|BCOP
OG0001393	LOC110178053|XP_020800722.1|DSER, LOC110183752|XP_020807767.1|DSER	LOC119076493|XP_037039173.1|BCOP
OG0001394	LOC110183308|XP_020807207.1|DSER	LOC119075488|XP_037037849.1|BCOP
OG0001395	LOC110188685|XP_020814146.1|DSER, LOC110191803|XP_020818413.1|DSER	LOC119074955|XP_037037239.1|BCOP
OG0001396	LOC110175946|XP_020797792.1|DSER	LOC119083406|XP_037049020.1|BCOP, LOC119076413|XP_037039043.1|BCOP
OG0001397	LOC110186482|XP_020811328.1|DSER	LOC119084135|XP_037049881.1|BCOP
OG0001398	LOC110180297|XP_020803612.1|DSER	LOC119073267|XP_037034539.1|BCOP
OG0001399	LOC110185364|XP_020809805.1|DSER	LOC119066910|XP_037025505.1|BCOP
OG0001400	LOC110188075|XP_020813285.1|DSER	LOC119075955|XP_037038417.1|BCOP
OG0001401	LOC110178575|XP_020801406.1|DSER	LOC119080499|XP_037044793.1|BCOP, LOC119071758|XP_037032692.1|BCOP, LOC119081901|XP_037047030.1|BCOP, LOC119070024|XP_037030205.1|BCOP
OG0001402	LOC110190062|XP_020816026.1|DSER, LOC110190149|XP_020816137.1|DSER	LOC119078307|XP_037041703.1|BCOP
OG0001403	LOC110190054|XP_020816019.1|DSER, LOC110187847|XP_020812993.1|DSER	LOC119072446|XP_037033558.1|BCOP
OG0001404	LOC110191336|XP_020817845.1|DSER	LOC119075529|XP_037037893.1|BCOP
OG0001405	LOC110177815|XP_020800363.1|DSER	LOC119071739|XP_037032666.1|BCOP
OG0001406	LOC110190619|XP_020816873.1|DSER, LOC110181774|XP_020805307.1|DSER, LOC110181886|XP_020805474.1|DSER	LOC119071455|XP_037032202.1|BCOP
OG0001407	LOC110190043|XP_020816008.1|DSER	LOC119072463|XP_037033582.1|BCOP
OG0001411	LOC110186926|XP_020811911.1|DSER	LOC119083601|XP_037049232.1|BCOP, LOC119077377|XP_037040463.1|BCOP, LOC119083602|XP_037049233.1|BCOP, LOC119070386|XP_037030600.1|BCOP, LOC119074488|XP_037036531.1|BCOP
OG0001429	LOC110190782|XP_020817082.1|DSER	LOC119069720|XP_037029741.1|BCOP, LOC119069004|XP_037028776.1|BCOP
OG0001430	LOC110185626|XP_020810239.1|DSER	LOC119069695|XP_037029719.1|BCOP
OG0001431	LOC110184409|XP_020808600.1|DSER	LOC119068849|XP_037028560.1|BCOP
OG0001432	LOC110184278|XP_020808408.1|DSER	LOC119068544|XP_037028058.1|BCOP
OG0001433	LOC110177389|XP_020799751.1|DSER	LOC119085603|XP_037051921.1|BCOP, LOC119085621|XP_037051939.1|BCOP
OG0001434	LOC110184378|XP_020808538.1|DSER	LOC119067814|XP_037026864.1|BCOP
OG0001435	LOC110180755|XP_020804097.1|DSER	LOC119070281|XP_037030442.1|BCOP
OG0001436	LOC110181808|XP_020805354.1|DSER, LOC110180462|XP_020803797.1|DSER	LOC119070372|XP_037030568.1|BCOP
OG0001437	LOC110183823|XP_020807834.1|DSER	LOC119077714|XP_037040888.1|BCOP
OG0001438	LOC110184190|XP_020808280.1|DSER	LOC119070579|XP_037030882.1|BCOP
OG0001439	LOC110177143|XP_020799378.1|DSER	LOC119068124|XP_037027476.1|BCOP
OG0001440	LOC110180646|XP_020803999.1|DSER	LOC119070767|XP_037031143.1|BCOP
OG0001442	LOC110185799|XP_020810461.1|DSER	LOC119085588|XP_037051900.1|BCOP
OG0001443	LOC110186978|XP_020811988.1|DSER	LOC119068350|XP_037027809.1|BCOP
OG0001444	LOC110191153|XP_020817569.1|DSER	LOC119074569|XP_037036689.1|BCOP, LOC119082837|XP_037048387.1|BCOP
OG0001445	LOC110176425|XP_020798430.1|DSER	LOC119066291|XP_037024561.1|BCOP
OG0001446	LOC110191320|XP_020817801.1|DSER	LOC119067925|XP_037027128.1|BCOP, LOC119066853|XP_037025416.1|BCOP, LOC119067923|XP_037027122.1|BCOP
OG0001447	LOC110188747|XP_020814247.1|DSER	LOC119067041|XP_037025676.1|BCOP
OG0001448	LOC110186586|XP_020811465.1|DSER	LOC119084574|XP_037050524.1|BCOP, LOC119068674|XP_037028251.1|BCOP
OG0001449	LOC110189258|XP_020814928.1|DSER	LOC119067787|XP_037026829.1|BCOP
OG0001450	LOC110183117|XP_020806966.1|DSER	LOC119068156|XP_037027525.1|BCOP
OG0001451	LOC110189725|XP_020815575.1|DSER	LOC119083373|XP_037048982.1|BCOP, LOC119083330|XP_037048911.1|BCOP
OG0001452	LOC110182858|XP_020806666.1|DSER, LOC110181671|XP_020805167.1|DSER	LOC119084935|XP_037050969.1|BCOP
OG0001453	LOC110189931|XP_020815874.1|DSER	LOC119080452|XP_037044714.1|BCOP, LOC119080451|XP_037044711.1|BCOP
OG0001454	LOC110191026|XP_020817404.1|DSER	LOC119068491|XP_037027998.1|BCOP, LOC119069190|XP_037029031.1|BCOP
OG0001455	LOC110189837|XP_020815692.1|DSER	LOC119077311|XP_037040372.1|BCOP
OG0001456	LOC110178293|XP_020801025.1|DSER	LOC119083642|XP_037049278.1|BCOP
OG0001457	LOC110189247|XP_020814910.1|DSER	LOC119081950|XP_037047134.1|BCOP, LOC119072427|XP_037033540.1|BCOP
OG0001458	LOC110189202|XP_020814831.1|DSER	LOC119079434|XP_037043242.1|BCOP
OG0001459	LOC110184770|XP_020809064.1|DSER	LOC119081762|XP_037046850.1|BCOP
OG0001460	LOC110191532|XP_020818062.1|DSER	LOC119079206|XP_037042887.1|BCOP, LOC119079363|XP_037043106.1|BCOP, LOC119079207|XP_037042889.1|BCOP
OG0001461	LOC110187641|XP_020812708.1|DSER	LOC119084438|XP_037050343.1|BCOP, LOC119085389|XP_037051678.1|BCOP
OG0001462	LOC110182799|XP_020806591.1|DSER	LOC119080004|XP_037044071.1|BCOP
OG0001463	LOC110191853|XP_020818488.1|DSER	LOC119081083|XP_037045720.1|BCOP, LOC119082702|XP_037048175.1|BCOP, LOC119074416|XP_037036440.1|BCOP
OG0001464	LOC110179535|XP_020802773.1|DSER	LOC119073222|XP_037034428.1|BCOP, LOC119085508|XP_037051817.1|BCOP, LOC119085075|XP_037051210.1|BCOP, LOC119085507|XP_037051816.1|BCOP, LOC119085501|XP_037051812.1|BCOP, LOC119082133|XP_037047406.1|BCOP, LOC119085074|XP_037051207.1|BCOP, LOC119073018|XP_037034235.1|BCOP
OG0001465	LOC110189630|XP_020815428.1|DSER	LOC119081152|XP_037045800.1|BCOP
OG0001466	LOC110183931|XP_020807954.1|DSER	LOC119079375|XP_037043143.1|BCOP, LOC119079376|XP_037043148.1|BCOP
OG0001468	LOC110190555|XP_020816769.1|DSER	LOC119080863|XP_037045335.1|BCOP
OG0001469	LOC110179277|XP_020802424.1|DSER	LOC119081330|XP_037046012.1|BCOP
OG0001470	LOC110190035|XP_020815996.1|DSER	LOC119074223|XP_037036130.1|BCOP, LOC119074224|XP_037036133.1|BCOP, LOC119074272|XP_037036189.1|BCOP
OG0001471	LOC110178592|XP_020801437.1|DSER	LOC119075238|XP_037037529.1|BCOP
OG0001472	LOC110183597|XP_020807570.1|DSER	LOC119073631|XP_037035117.1|BCOP
OG0001473	LOC110188672|XP_020814128.1|DSER	LOC119068774|XP_037028428.1|BCOP
OG0001474	LOC110181936|XP_020805532.1|DSER	LOC119083216|XP_037048778.1|BCOP
OG0001475	LOC110177996|XP_020800654.1|DSER	LOC119085938|XP_037052386.1|BCOP
OG0001476	LOC110187605|XP_020812657.1|DSER, LOC110176554|XP_020798645.1|DSER	LOC119073252|XP_037034502.1|BCOP
OG0001477	LOC110189026|XP_020814648.1|DSER	LOC119080073|XP_037044187.1|BCOP
OG0001478	LOC110187548|XP_020812595.1|DSER	LOC119084634|XP_037050598.1|BCOP, LOC119066327|XP_037024619.1|BCOP
OG0001479	LOC110179676|XP_020802946.1|DSER, LOC110191223|XP_020817649.1|DSER	LOC119081696|XP_037046691.1|BCOP
OG0001480	LOC110187553|XP_020812601.1|DSER, LOC110187552|XP_020812599.1|DSER	LOC119079619|XP_037043510.1|BCOP
OG0001481	LOC110176876|XP_020799011.1|DSER	LOC119085854|XP_037052259.1|BCOP
OG0001482	LOC110181265|XP_020804634.1|DSER	LOC119078892|XP_037042517.1|BCOP
OG0001483	LOC110182816|XP_020806611.1|DSER	LOC119069194|XP_037029036.1|BCOP
OG0001485	LOC110185243|XP_020809638.1|DSER	LOC119066875|XP_037025444.1|BCOP
OG0001486	LOC110176805|XP_020798902.1|DSER	LOC119075372|XP_037037693.1|BCOP
OG0001487	LOC110188788|XP_020814294.1|DSER	LOC119071292|XP_037032057.1|BCOP
OG0001488	LOC110177414|XP_020799794.1|DSER	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP
OG0001489	LOC110181343|XP_020804721.1|DSER	LOC119082548|XP_037047954.1|BCOP
OG0001490	LOC110185769|XP_020810431.1|DSER	LOC119082084|XP_037047339.1|BCOP
OG0001491	LOC110187309|XP_020812357.1|DSER	LOC119078712|XP_037042279.1|BCOP
OG0001493	LOC110180168|XP_020803485.1|DSER	LOC119075234|XP_037037521.1|BCOP
OG0001494	LOC110178035|XP_020800710.1|DSER	LOC119077643|XP_037040759.1|BCOP
OG0001495	LOC110180734|XP_020804078.1|DSER	LOC119074897|XP_037037139.1|BCOP
OG0001496	LOC110184335|XP_020808490.1|DSER	LOC119074211|XP_037036147.1|BCOP
OG0001497	LOC110176866|XP_020799000.1|DSER	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP
OG0001498	LOC110188548|XP_020813964.1|DSER	LOC119074573|XP_037036695.1|BCOP
OG0001500	LOC110184038|XP_020808072.1|DSER	LOC119068893|XP_037028658.1|BCOP
OG0001501	LOC110176661|XP_020798758.1|DSER	LOC119080610|XP_037044907.1|BCOP
OG0001502	LOC110177834|XP_020800438.1|DSER	LOC119079851|XP_037043814.1|BCOP
OG0001503	LOC110189457|XP_020815191.1|DSER	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP
OG0001504	LOC110180420|XP_020803743.1|DSER	LOC119072387|XP_037033490.1|BCOP
OG0001506	LOC110182469|XP_020806170.1|DSER	LOC119079020|XP_037042692.1|BCOP
OG0001507	LOC110177671|XP_020800152.1|DSER	LOC119071742|XP_037032669.1|BCOP
OG0001508	LOC110176894|XP_020799041.1|DSER	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP
OG0001509	LOC110177772|XP_020800297.1|DSER	LOC119083247|XP_037048804.1|BCOP
OG0001510	LOC110185704|XP_020810334.1|DSER	LOC119081977|XP_037047185.1|BCOP, LOC119072757|XP_037033941.1|BCOP
OG0001511	LOC110180232|XP_020803545.1|DSER, LOC110180249|XP_020803565.1|DSER	LOC119066136|XP_037024322.1|BCOP
