Orthogroup	DSER.longest_only	AAEG.longest_only
OG0001560	LOC110185398|XP_020809843.1|DSER	LOC5571521|XP_021692958.1|AAEG
OG0001561	LOC110187697|XP_020812791.1|DSER	LOC5566484|XP_001650872.2|AAEG
OG0001562	LOC110185599|XP_020810201.1|DSER	LOC5575241|XP_001655653.2|AAEG, LOC5578936|XP_001657224.1|AAEG
OG0001563	LOC110179403|XP_020802586.1|DSER	LOC110680825|XP_021712300.1|AAEG, LOC5578929|XP_021693198.1|AAEG
OG0001564	LOC110191232|XP_020817661.1|DSER	LOC5563715|XP_021693227.1|AAEG
OG0001565	LOC110185603|XP_020810208.1|DSER	LOC5568915|XP_021693421.1|AAEG, LOC5567502|XP_021693419.1|AAEG
OG0001566	LOC110188333|XP_020813700.1|DSER	LOC5573433|XP_021693607.1|AAEG
OG0001567	LOC110179297|XP_020802442.1|DSER	LOC110674687|XP_021694425.1|AAEG
OG0001568	LOC110176511|XP_020798546.1|DSER	LOC5577645|XP_021693829.1|AAEG
OG0001569	LOC110191285|XP_020817751.1|DSER	LOC5577638|XP_001656636.2|AAEG
OG0001570	LOC110184133|XP_020808204.1|DSER	LOC110674220|XP_021694063.1|AAEG
OG0001571	LOC110183341|XP_020807251.1|DSER	LOC5567760|XP_021701214.1|AAEG, LOC110681398|XP_021712833.1|AAEG
OG0001572	LOC110175939|XP_020797779.1|DSER	LOC5570664|XP_001659257.1|AAEG, LOC5570661|XP_001659256.2|AAEG
OG0001573	LOC110189850|XP_020815719.1|DSER	LOC5565109|XP_021696153.1|AAEG
OG0001574	LOC110182651|XP_020806378.1|DSER	LOC5577758|XP_021704696.1|AAEG, LOC5572893|XP_001654247.1|AAEG
OG0001575	LOC110188133|XP_020813380.1|DSER	LOC5566212|XP_021696849.1|AAEG
OG0001576	LOC110190997|XP_020817369.1|DSER	LOC5578812|XP_001657176.1|AAEG, LOC5572040|XP_001660148.2|AAEG
OG0001577	LOC110176408|XP_020798407.1|DSER	LOC5565563|XP_021697730.1|AAEG
OG0001578	LOC110189352|XP_020815053.1|DSER	LOC5574933|XP_001661731.2|AAEG
OG0001579	LOC110180100|XP_020803384.1|DSER	LOC5571186|XP_001653502.2|AAEG
OG0001580	LOC110189292|XP_020814982.1|DSER	LOC5569161|XP_021698161.1|AAEG
OG0001581	LOC110179377|XP_020802550.1|DSER	LOC5564093|XP_021698438.1|AAEG
OG0001582	LOC110180013|XP_020803265.1|DSER	LOC5571407|XP_001653659.2|AAEG
OG0001583	LOC110182941|XP_020806780.1|DSER	LOC5566023|XP_021698931.1|AAEG
OG0001584	LOC110178634|XP_020801480.1|DSER	LOC5578855|XP_001664062.1|AAEG
OG0001586	LOC110176704|XP_020798801.1|DSER, LOC110182108|XP_020805774.1|DSER	LOC5570327|XP_021699512.1|AAEG
OG0001587	LOC110176671|XP_020798765.1|DSER	LOC23687759|XP_021699543.1|AAEG
OG0001588	LOC110191903|XP_020818551.1|DSER	LOC5572049|XP_001660155.1|AAEG
OG0001589	LOC110188771|XP_020814263.1|DSER	LOC5569987|XP_021700011.1|AAEG
OG0001590	LOC110179414|XP_020802604.1|DSER	LOC110681105|XP_021712562.1|AAEG, LOC5574388|XP_001661416.2|AAEG
OG0001591	LOC110186457|XP_020811300.1|DSER	LOC5579514|XP_021700145.1|AAEG
OG0001593	LOC110184822|XP_020809124.1|DSER	LOC5569501|XP_021700473.1|AAEG
OG0001594	LOC110179174|XP_020802234.1|DSER	LOC5576948|XP_021700494.1|AAEG
OG0001595	LOC110179333|XP_020802486.1|DSER	LOC5578360|XP_021700530.1|AAEG
OG0001596	LOC110185795|XP_020810458.1|DSER	LOC5570924|XP_021700598.1|AAEG
OG0001597	LOC110184514|XP_020808741.1|DSER, LOC110184512|XP_020808733.1|DSER	LOC110676562|XP_021700652.1|AAEG
OG0001598	LOC110185984|XP_020810666.1|DSER	LOC5570897|XP_021700673.1|AAEG
OG0001599	LOC110185981|XP_020810664.1|DSER	LOC5572929|XP_001654264.1|AAEG, LOC5572930|XP_001654265.1|AAEG
OG0001600	LOC110185546|XP_020810121.1|DSER	LOC110680217|XP_021711724.1|AAEG, LOC5571423|XP_021700753.1|AAEG
OG0001601	LOC110185872|XP_020810542.1|DSER	LOC5572640|XP_001654136.1|AAEG
OG0001602	LOC110183735|XP_020807740.1|DSER	LOC5572642|XP_001654141.2|AAEG
OG0001603	LOC110177883|XP_020800506.1|DSER	LOC5564850|XP_021695270.1|AAEG, LOC5564834|XP_001649171.2|AAEG
OG0001604	LOC110188612|XP_020814040.1|DSER, LOC110184676|XP_020808943.1|DSER, LOC110179581|XP_020802833.1|DSER	LOC5564487|XP_001648846.1|AAEG
OG0001605	LOC110190889|XP_020817209.1|DSER	LOC5564503|XP_021701082.1|AAEG
OG0001606	LOC110185536|XP_020810103.1|DSER, LOC110187183|XP_020812241.1|DSER	LOC5566522|XP_001650915.1|AAEG
OG0001607	LOC110184865|XP_020809169.1|DSER	LOC5574484|XP_001655145.1|AAEG
OG0001608	LOC110185092|XP_020809442.1|DSER	LOC5573863|XP_001654894.1|AAEG
OG0001609	LOC110177790|XP_020800318.1|DSER	LOC5568884|XP_021701480.1|AAEG
OG0001610	LOC110185752|XP_020810410.1|DSER	LOC5569343|XP_001658432.1|AAEG
OG0001611	LOC110184973|XP_020809283.1|DSER	LOC110680619|XP_021712109.1|AAEG, LOC5564671|XP_001649019.1|AAEG
OG0001612	LOC110177030|XP_020799206.1|DSER	LOC5563775|XP_001648054.1|AAEG, LOC5563773|XP_001648053.1|AAEG
OG0001613	LOC110183325|XP_020807231.1|DSER	LOC5570616|XP_021702082.1|AAEG, LOC5567253|XP_001651695.1|AAEG
OG0001614	LOC110188952|XP_020814551.1|DSER	LOC5572013|XP_001660121.2|AAEG, LOC5576817|XP_021702116.1|AAEG
OG0001615	LOC110185059|XP_020809394.1|DSER, LOC110185017|XP_020809328.1|DSER, LOC110185014|XP_020809326.1|DSER	LOC5572431|XP_021702419.1|AAEG
OG0001616	LOC110180777|XP_020804116.1|DSER, LOC110184944|XP_020809249.1|DSER	LOC5573821|XP_021702976.1|AAEG
OG0001617	LOC110181353|XP_020804732.1|DSER	LOC5568922|XP_021703195.1|AAEG
OG0001618	LOC110183368|XP_020807289.1|DSER	LOC5573901|XP_021703341.1|AAEG, LOC5571476|XP_021706414.1|AAEG
OG0001619	LOC110179866|XP_020803125.1|DSER, LOC110181417|XP_020804817.1|DSER	LOC5566978|XP_001651398.1|AAEG
OG0001620	LOC110180997|XP_020804335.1|DSER	LOC5572053|XP_001653822.1|AAEG
OG0001621	LOC110188940|XP_020814538.1|DSER	LOC5572062|XP_001653826.2|AAEG
OG0001622	LOC110179079|XP_020802118.1|DSER	LOC5572078|XP_021703583.1|AAEG, LOC5566371|XP_021709853.1|AAEG
OG0001623	LOC110178195|XP_020800888.1|DSER	LOC5565851|XP_021703618.1|AAEG
OG0001624	LOC110180584|XP_020803935.1|DSER	LOC5564939|XP_001649275.2|AAEG
OG0001625	LOC110185136|XP_020809495.1|DSER	LOC5564921|XP_001649284.1|AAEG
OG0001626	LOC110176832|XP_020798943.1|DSER	LOC5563786|XP_001648064.1|AAEG
OG0001627	LOC110188305|XP_020813671.1|DSER	LOC110680893|XP_021712375.1|AAEG, LOC5566572|XP_001650950.2|AAEG, LOC5578569|XP_021705473.1|AAEG
OG0001628	LOC110186154|XP_020810863.1|DSER	LOC5567669|XP_001657611.1|AAEG
OG0001630	LOC110188658|XP_020814103.1|DSER	LOC5575302|XP_021709547.1|AAEG
OG0001631	LOC110187837|XP_020812975.1|DSER	LOC23687582|XP_021705609.1|AAEG
OG0001632	LOC110183479|XP_020807418.1|DSER	LOC5572968|XP_001654299.1|AAEG
OG0001633	LOC110186992|XP_020812008.1|DSER	LOC5567329|XP_001657349.1|AAEG, LOC110681114|XP_021712573.1|AAEG
OG0001635	LOC110176436|XP_020798445.1|DSER	LOC5570884|XP_021711607.1|AAEG, LOC5570885|XP_021706429.1|AAEG
OG0001636	LOC110183894|XP_020807899.1|DSER, LOC110188003|XP_020813184.1|DSER	LOC5570879|XP_001659394.1|AAEG
OG0001637	LOC110188002|XP_020813187.1|DSER	LOC5578555|XP_021707594.1|AAEG, LOC5578556|XP_001663948.2|AAEG
OG0001638	LOC110183246|XP_020807126.1|DSER, LOC110183253|XP_020807137.1|DSER	LOC5577363|XP_001656443.1|AAEG
OG0001639	LOC110189588|XP_020815379.1|DSER	LOC5575051|XP_021708404.1|AAEG
OG0001640	LOC110177161|XP_020799405.1|DSER	LOC5571752|XP_001653779.1|AAEG
OG0001641	LOC110188231|XP_020813543.1|DSER	LOC5574761|XP_001661645.1|AAEG, LOC5565701|XP_001650058.1|AAEG
OG0001642	LOC110179721|XP_020802999.1|DSER, LOC110185296|XP_020809703.1|DSER	LOC5577033|XP_021711258.1|AAEG
OG0001643	LOC110176906|XP_020799054.1|DSER	LOC5574553|XP_021707189.1|AAEG
OG0001644	LOC110190968|XP_020817317.1|DSER	LOC5577243|XP_021706769.1|AAEG
OG0001645	LOC110177791|XP_020800319.1|DSER	LOC5571017|XP_021706817.1|AAEG
OG0001646	LOC110182597|XP_020806315.1|DSER	LOC5575278|XP_021711349.1|AAEG
OG0001647	LOC110189703|XP_020815538.1|DSER	LOC5573626|XP_021705548.1|AAEG
OG0001648	LOC110185328|XP_020809759.1|DSER	LOC110681024|XP_021712484.1|AAEG, LOC5572713|XP_021706136.1|AAEG, LOC110677878|XP_021705310.1|AAEG
OG0001649	LOC110176775|XP_020798872.1|DSER, LOC110189607|XP_020815401.1|DSER	LOC5575690|XP_021707280.1|AAEG
OG0001650	LOC110177865|XP_020800470.1|DSER	LOC110678810|XP_021707903.1|AAEG
OG0001651	LOC110177581|XP_020800026.1|DSER	LOC5565802|XP_021709626.1|AAEG, LOC5565810|XP_021710986.1|AAEG
OG0001652	LOC110178956|XP_020801917.1|DSER	LOC5572084|XP_001660159.2|AAEG, LOC110678816|XP_021707935.1|AAEG
OG0001653	LOC110179817|XP_020803082.1|DSER	LOC5578118|XP_001656816.2|AAEG
OG0001654	LOC110184242|XP_020808394.1|DSER	LOC5579924|XP_021705915.1|AAEG
OG0001655	LOC110191811|XP_020818427.1|DSER	LOC5571922|XP_021708628.1|AAEG
OG0001656	LOC110185925|XP_020810596.1|DSER	LOC5571621|XP_001659816.2|AAEG
OG0001657	LOC110176149|XP_020798045.1|DSER	LOC5565452|XP_001649800.1|AAEG
OG0001658	LOC110179017|XP_020802018.1|DSER	LOC5565458|XP_001649769.1|AAEG
OG0001659	LOC110189966|XP_020815914.1|DSER	LOC5568591|XP_021711611.1|AAEG
OG0001678	LOC110184410|XP_020808603.1|DSER	LOC5576541|XP_021694779.1|AAEG
OG0001679	LOC110181508|XP_020804936.1|DSER	LOC5574426|XP_001661441.2|AAEG, LOC5564668|XP_021694874.1|AAEG, LOC5564669|XP_021694873.1|AAEG
OG0001680	LOC110184253|XP_020808373.1|DSER	LOC5565192|XP_021695113.1|AAEG, LOC110681481|XP_021712935.1|AAEG
OG0001681	LOC110175960|XP_020797808.1|DSER	LOC110681219|XP_021712681.1|AAEG, LOC5576756|XP_001656258.2|AAEG, LOC5566677|XP_021707319.1|AAEG
OG0001682	LOC110187775|XP_020812898.1|DSER	LOC5569201|XP_021694213.1|AAEG
OG0001683	LOC110183824|XP_020807835.1|DSER	LOC5569198|XP_001658368.2|AAEG, LOC5573947|XP_001654984.1|AAEG
OG0001684	LOC110185402|XP_020809861.1|DSER	LOC5574020|XP_021708632.1|AAEG
OG0001685	LOC110181199|XP_020804539.1|DSER	LOC5571142|XP_021700260.1|AAEG, LOC110674271|XP_021694235.1|AAEG, LOC110674435|XP_021694357.1|AAEG, LOC5570684|XP_001659281.2|AAEG
OG0001686	LOC110182030|XP_020805619.1|DSER	LOC5571315|XP_001653630.1|AAEG
OG0001687	LOC110185531|XP_020810098.1|DSER	LOC5568417|XP_021712495.1|AAEG, LOC5570453|XP_001659150.2|AAEG, LOC5570447|XP_001659152.1|AAEG
OG0001688	LOC110181533|XP_020804972.1|DSER	LOC5576585|XP_021697492.1|AAEG
OG0001689	LOC110179493|XP_020802726.1|DSER	LOC5578880|XP_021697511.1|AAEG
OG0001690	LOC110190827|XP_020817145.1|DSER	LOC5570415|XP_021698783.1|AAEG
OG0001691	LOC110177061|XP_020799236.1|DSER	LOC5571995|XP_001660101.2|AAEG
OG0001693	LOC110187861|XP_020813005.1|DSER	LOC5571564|XP_001653696.1|AAEG
OG0001694	LOC110183673|XP_020807671.1|DSER, LOC110187998|XP_020813180.1|DSER	LOC5565017|XP_021702011.1|AAEG
OG0001695	LOC110189435|XP_020815165.1|DSER	LOC5564056|XP_001648394.2|AAEG
OG0001696	LOC110186234|XP_020810957.1|DSER	LOC5565053|XP_021705226.1|AAEG
OG0001697	LOC110191120|XP_020817528.1|DSER	LOC5565067|XP_001649393.1|AAEG
OG0001698	LOC110184187|XP_020808257.1|DSER	LOC5576012|XP_021706064.1|AAEG
OG0001699	LOC110189749|XP_020815619.1|DSER	LOC5575091|XP_021694263.1|AAEG
OG0001700	LOC110184928|XP_020809234.1|DSER	LOC110678498|XP_021707151.1|AAEG, LOC110678596|XP_021707345.1|AAEG, LOC110678598|XP_021707352.1|AAEG
OG0001701	LOC110191392|XP_020817907.1|DSER	LOC110681093|XP_021712554.1|AAEG, LOC5569913|XP_021708647.1|AAEG
OG0001702	LOC110183213|XP_020807085.1|DSER	LOC110679165|XP_021708953.1|AAEG, LOC5567455|XP_001657455.1|AAEG, LOC110681250|XP_021712711.1|AAEG
OG0001703	LOC110191141|XP_020817554.1|DSER	LOC5570645|XP_001653277.2|AAEG
OG0001704	LOC110191123|XP_020817534.1|DSER	LOC5570641|XP_021709166.1|AAEG
OG0001705	LOC110176417|XP_020798418.1|DSER	LOC5569385|XP_021709272.1|AAEG
OG0001706	LOC110188790|XP_020814302.1|DSER, LOC110188787|XP_020814293.1|DSER	LOC5574607|XP_001655208.2|AAEG
OG0001707	LOC110191323|XP_020817805.1|DSER	LOC5574593|XP_021709672.1|AAEG
OG0001708	LOC110191291|XP_020817759.1|DSER	LOC110681130|XP_021712595.1|AAEG, LOC5577403|XP_001656483.2|AAEG
OG0001709	LOC110183571|XP_020807538.1|DSER	LOC110680896|XP_021712376.1|AAEG, LOC5567785|XP_001657688.2|AAEG, LOC110680897|XP_021712377.1|AAEG
OG0001710	LOC110191114|XP_020817518.1|DSER	LOC5577564|XP_001663437.2|AAEG, LOC5566404|XP_021713013.1|AAEG
OG0001711	LOC110188278|XP_020813631.1|DSER	LOC5578517|XP_021713311.1|AAEG
OG0001712	LOC110191382|XP_020817896.1|DSER	LOC5578276|XP_001663804.1|AAEG
OG0001713	LOC110177416|XP_020799792.1|DSER	LOC5575986|XP_011493660.2|AAEG
OG0001714	LOC110188055|XP_020813264.1|DSER	LOC5564681|XP_021692980.1|AAEG
OG0001715	LOC110179103|XP_020802150.1|DSER	LOC5573668|XP_021698214.1|AAEG, LOC110681428|XP_021712862.1|AAEG, LOC5566465|XP_001650847.2|AAEG
OG0001716	LOC110179735|XP_020803011.1|DSER	LOC110681112|XP_021712571.1|AAEG, LOC23687829|XP_011493203.2|AAEG, LOC5576349|XP_001656084.1|AAEG, LOC110678113|XP_021706410.1|AAEG
OG0001717	LOC110191357|XP_020817863.1|DSER, LOC110191276|XP_020817731.1|DSER	LOC110680473|XP_021711973.1|AAEG, LOC5573435|XP_021693609.1|AAEG
OG0001718	LOC110177371|XP_020799727.1|DSER	LOC110674147|XP_021693644.1|AAEG, LOC5576566|XP_021693645.1|AAEG
OG0001719	LOC110190942|XP_020817276.1|DSER	LOC5579075|XP_021694078.1|AAEG
OG0001720	LOC110191107|XP_020817511.1|DSER	LOC5576117|XP_001662463.2|AAEG
OG0001721	LOC110186912|XP_020811891.1|DSER	LOC5565136|XP_001649519.2|AAEG, LOC5565189|XP_001649518.2|AAEG, LOC5565137|XP_001649517.2|AAEG
OG0001722	LOC110190597|XP_020816849.1|DSER	LOC5571453|XP_021695480.1|AAEG
OG0001723	LOC110189385|XP_020815094.1|DSER	LOC5571265|XP_001653563.1|AAEG
OG0001724	LOC110176796|XP_020798891.1|DSER, LOC110189504|XP_020815271.1|DSER	LOC5579032|XP_021695970.1|AAEG
OG0001725	LOC110178005|XP_020800666.1|DSER	LOC5568472|XP_021696007.1|AAEG
OG0001726	LOC110190130|XP_020816113.1|DSER	LOC110680966|XP_021712431.1|AAEG, LOC5574101|XP_021696096.1|AAEG
OG0001727	LOC110188409|XP_020813793.1|DSER	LOC5577067|XP_021696347.1|AAEG, LOC5576405|XP_021709876.1|AAEG
OG0001728	LOC110178286|XP_020801016.1|DSER	LOC5570509|XP_001659196.2|AAEG
OG0001729	LOC110180250|XP_020803566.1|DSER	LOC5570505|XP_001659192.2|AAEG
OG0001730	LOC110184955|XP_020809261.1|DSER	LOC5569450|XP_021696659.1|AAEG
OG0001731	LOC110189248|XP_020814911.1|DSER	LOC23687490|XP_021696706.1|AAEG, LOC5574280|XP_021696705.1|AAEG
OG0001732	LOC110185791|XP_020810454.1|DSER	LOC110675629|XP_021696818.1|AAEG
OG0001733	LOC110179330|XP_020802482.1|DSER	LOC5565207|XP_001649550.1|AAEG, LOC5565221|XP_001649551.1|AAEG
OG0001734	LOC110188963|XP_020814565.1|DSER	LOC5565228|XP_021696985.1|AAEG
OG0001735	LOC110190783|XP_020817079.1|DSER, LOC110190784|XP_020817080.1|DSER	LOC5579981|XP_001658609.2|AAEG
OG0001736	LOC110178468|XP_020801267.1|DSER, LOC110178492|XP_020801299.1|DSER	LOC5578900|XP_001664110.1|AAEG
OG0001737	LOC110177053|XP_020799230.1|DSER	LOC110675836|XP_021697399.1|AAEG, LOC110675119|XP_021695189.1|AAEG
OG0001738	LOC110190299|XP_020816343.1|DSER	LOC5576851|XP_021697531.1|AAEG
OG0001739	LOC110182624|XP_020806346.1|DSER, LOC110184026|XP_020808050.1|DSER	LOC5575248|XP_001655655.1|AAEG
OG0001740	LOC110178533|XP_020801350.1|DSER	LOC110675914|XP_021697629.1|AAEG, LOC5572758|XP_021712795.1|AAEG
OG0001742	LOC110178302|XP_020801050.1|DSER	LOC5576166|XP_001662518.1|AAEG
OG0001743	LOC110177583|XP_020800023.1|DSER	LOC5576175|XP_021697664.1|AAEG
OG0001744	LOC110189667|XP_020815470.1|DSER	LOC5573987|XP_021697960.1|AAEG
OG0001745	LOC110181156|XP_020804493.1|DSER	LOC5573042|XP_021695213.1|AAEG
OG0001746	LOC110185160|XP_020809524.1|DSER	LOC5564250|XP_001648596.1|AAEG
OG0001747	LOC110177915|XP_020800551.1|DSER	LOC5564305|XP_021698368.1|AAEG
OG0001748	LOC110190693|XP_020816965.1|DSER	LOC110676122|XP_021698446.1|AAEG
OG0001749	LOC110178200|XP_020800897.1|DSER	LOC5572527|XP_001654051.1|AAEG
OG0001750	LOC110178180|XP_020800875.1|DSER	LOC5572528|XP_021698705.1|AAEG
OG0001751	LOC110189902|XP_020815824.1|DSER	LOC5574043|XP_021698767.1|AAEG
OG0001752	LOC110190701|XP_020816972.1|DSER	LOC110676202|XP_021698832.1|AAEG
OG0001753	LOC110177580|XP_020800020.1|DSER	LOC5566011|XP_021698869.1|AAEG
OG0001754	LOC110190951|XP_020817294.1|DSER	LOC5575704|XP_021699108.1|AAEG
OG0001755	LOC110177593|XP_020800036.1|DSER	LOC5565278|XP_021699140.1|AAEG
OG0001756	LOC110188948|XP_020814547.1|DSER	LOC5577289|XP_021699173.1|AAEG
OG0001757	LOC110189713|XP_020815561.1|DSER	LOC5572865|XP_001660624.1|AAEG
OG0001758	LOC110189895|XP_020815807.1|DSER	LOC5579195|XP_021699414.1|AAEG
OG0001759	LOC110176785|XP_020798880.1|DSER, LOC110189489|XP_020815238.1|DSER	LOC5575922|XP_021699452.1|AAEG
OG0001760	LOC110188979|XP_020814587.1|DSER	LOC5566072|XP_001650438.2|AAEG
OG0001761	LOC110179315|XP_020802462.1|DSER	LOC5576993|XP_021699573.1|AAEG
OG0001762	LOC110185565|XP_020810144.1|DSER	LOC5572235|XP_001653920.3|AAEG, LOC5574685|XP_021700044.1|AAEG
OG0001763	LOC110185560|XP_020810138.1|DSER	LOC5574378|XP_021700079.1|AAEG
OG0001764	LOC110177353|XP_020799704.1|DSER	LOC5569117|XP_001652716.2|AAEG
OG0001765	LOC110189309|XP_020815042.1|DSER	LOC5570381|XP_021700177.1|AAEG
OG0001766	LOC110183867|XP_020807879.1|DSER	LOC5567651|XP_021700353.1|AAEG
OG0001767	LOC110187214|XP_020812272.1|DSER	LOC5569370|XP_021700467.1|AAEG
OG0001768	LOC110187558|XP_020812606.1|DSER	LOC5565839|XP_001650193.1|AAEG, LOC5578368|XP_001656939.1|AAEG
OG0001769	LOC110183086|XP_020806935.1|DSER	LOC5566448|XP_021700544.1|AAEG, LOC110680496|XP_021711988.1|AAEG
OG0001770	LOC110183453|XP_020807391.1|DSER	LOC5572645|XP_001654144.2|AAEG
OG0001771	LOC110176931|XP_020799087.1|DSER	LOC5572651|XP_001654151.1|AAEG
OG0001772	LOC110183356|XP_020807276.1|DSER	LOC110680439|XP_021711928.1|AAEG, LOC5573651|XP_001660977.2|AAEG
OG0001774	LOC110189614|XP_020815409.1|DSER	LOC5564490|XP_021701074.1|AAEG, LOC5564489|XP_021695283.1|AAEG
OG0001776	LOC110181459|XP_020804865.1|DSER, LOC110180587|XP_020803938.1|DSER	LOC5575680|XP_021701220.1|AAEG
OG0001777	LOC110182656|XP_020806387.1|DSER	LOC5573805|XP_021701314.1|AAEG
OG0001778	LOC110181205|XP_020804545.1|DSER	LOC110675190|XP_021695289.1|AAEG, LOC110677148|XP_021703649.1|AAEG
OG0001779	LOC110187368|XP_020812418.1|DSER, LOC110187369|XP_020812419.1|DSER	LOC110681009|XP_021712466.1|AAEG, LOC5563749|XP_021701405.1|AAEG
OG0001780	LOC110189579|XP_020815371.1|DSER	LOC5565277|XP_021701490.1|AAEG
OG0001781	LOC110190216|XP_020816231.1|DSER, LOC110185643|XP_020810260.1|DSER	LOC5569344|XP_021701612.1|AAEG
OG0001782	LOC110185134|XP_020809490.1|DSER	LOC5564192|XP_021701622.1|AAEG
OG0001783	LOC110183017|XP_020806864.1|DSER, LOC110183032|XP_020806877.1|DSER, LOC110180605|XP_020803949.1|DSER	LOC5576440|XP_021701742.1|AAEG
OG0001784	LOC110179930|XP_020803187.1|DSER	LOC5568160|XP_021701820.1|AAEG, LOC5573090|XP_021701819.1|AAEG
OG0001785	LOC110177048|XP_020799227.1|DSER	LOC5569041|XP_021701853.1|AAEG
OG0001786	LOC110180228|XP_020803537.1|DSER, LOC110182659|XP_020806393.1|DSER	LOC5569034|XP_001652680.1|AAEG
OG0001787	LOC110182677|XP_020806423.1|DSER	LOC5569031|XP_021701868.1|AAEG
OG0001788	LOC110189786|XP_020815677.1|DSER	LOC5573248|XP_001654457.1|AAEG
OG0001789	LOC110184064|XP_020808101.1|DSER	LOC5567954|XP_001657769.1|AAEG
OG0001790	LOC110182675|XP_020806419.1|DSER, LOC110180302|XP_020803615.1|DSER	LOC5573696|XP_001661021.2|AAEG
OG0001791	LOC110179372|XP_020802549.1|DSER	LOC5575748|XP_021703199.1|AAEG
OG0001792	LOC110176918|XP_020799069.1|DSER	LOC23687649|XP_021703560.1|AAEG
OG0001793	LOC110189201|XP_020814830.1|DSER	LOC5572054|XP_021703576.1|AAEG, LOC110680890|XP_021712373.1|AAEG
OG0001794	LOC110181207|XP_020804546.1|DSER	LOC5565922|XP_001650267.3|AAEG
OG0001795	LOC110181163|XP_020804497.1|DSER, LOC110181155|XP_020804490.1|DSER	LOC5567339|XP_021704045.1|AAEG
OG0001797	LOC110185486|XP_020810018.1|DSER	LOC5572508|XP_021711425.1|AAEG, LOC5566756|XP_021706948.1|AAEG
OG0001798	LOC110189592|XP_020815383.1|DSER	LOC5566370|XP_001650782.1|AAEG
OG0001799	LOC110176010|XP_020797874.1|DSER	LOC5580274|XP_001662901.1|AAEG
OG0001800	LOC110182665|XP_020806402.1|DSER	LOC5570552|XP_021709728.1|AAEG
OG0001801	LOC110190517|XP_020816709.1|DSER	LOC110680785|XP_021712265.1|AAEG, LOC5564279|XP_021712264.1|AAEG, LOC110679411|XP_021709622.1|AAEG
OG0001802	LOC110188484|XP_020813873.1|DSER	LOC5564547|XP_001648902.1|AAEG
OG0001803	LOC110188467|XP_020813855.1|DSER	LOC5577692|XP_001663474.2|AAEG
OG0001804	LOC110177266|XP_020799576.1|DSER	LOC5564652|XP_001649004.2|AAEG, LOC110680554|XP_021712038.1|AAEG
OG0001805	LOC110191301|XP_020817771.1|DSER	LOC5575007|XP_001661741.3|AAEG
OG0001806	LOC110186238|XP_020810967.1|DSER	LOC5567255|XP_021706781.1|AAEG
OG0001808	LOC110186492|XP_020811344.1|DSER	LOC5572949|XP_021709443.1|AAEG
OG0001809	LOC110187669|XP_020812748.1|DSER	LOC5564168|XP_021707416.1|AAEG
OG0001810	LOC110191045|XP_020817428.1|DSER	LOC110678349|XP_021706798.1|AAEG, LOC5570367|XP_021710434.1|AAEG, LOC110677948|XP_021705715.1|AAEG
OG0001811	LOC110182922|XP_020806745.1|DSER	LOC5577351|XP_001656427.1|AAEG, LOC110680308|XP_021711836.1|AAEG, LOC110678676|XP_021707574.1|AAEG
OG0001812	LOC110180134|XP_020803436.1|DSER	LOC5577364|XP_001656444.1|AAEG
OG0001813	LOC110188541|XP_020813956.1|DSER	LOC5568213|XP_021706440.1|AAEG
OG0001814	LOC110186621|XP_020811530.1|DSER	LOC110679259|XP_021709176.1|AAEG, LOC110679258|XP_021709173.1|AAEG
OG0001815	LOC110187651|XP_020812719.1|DSER	LOC5572470|XP_001660415.1|AAEG, LOC110677764|XP_021704810.1|AAEG
OG0001816	LOC110189460|XP_020815194.1|DSER	LOC5564769|XP_001649137.1|AAEG
OG0001817	LOC110189251|XP_020814915.1|DSER	LOC5572254|XP_021707503.1|AAEG
OG0001818	LOC110181517|XP_020804949.1|DSER	LOC5570038|XP_021705809.1|AAEG, LOC5570034|XP_021704393.1|AAEG
OG0001819	LOC110177726|XP_020800230.1|DSER	LOC5565232|XP_001649570.2|AAEG
OG0001820	LOC110183531|XP_020807487.1|DSER	LOC5578522|XP_021711359.1|AAEG
OG0001821	LOC110178279|XP_020801011.1|DSER	LOC5575338|XP_021712568.1|AAEG, LOC110678161|XP_021706474.1|AAEG
OG0001822	LOC110179618|XP_020802886.1|DSER	LOC5571100|XP_021710962.1|AAEG
OG0001823	LOC110190064|XP_020816029.1|DSER	LOC5573745|XP_021705990.1|AAEG, LOC5573744|XP_001654772.1|AAEG
OG0001824	LOC110181151|XP_020804484.1|DSER	LOC5579661|XP_001648135.2|AAEG, LOC5579660|XP_001648134.2|AAEG
OG0001825	LOC110178948|XP_020801909.1|DSER	LOC5572228|XP_021707395.1|AAEG
OG0001826	LOC110189294|XP_020814984.1|DSER	LOC5577483|XP_001663403.2|AAEG
OG0001827	LOC110179183|XP_020802253.1|DSER	LOC5572357|XP_001660316.1|AAEG, LOC5572356|XP_001660315.1|AAEG
OG0001828	LOC110182093|XP_020805734.1|DSER	LOC5567362|XP_021706896.1|AAEG
OG0001829	LOC110176332|XP_020798313.1|DSER	LOC5576206|XP_021708780.1|AAEG, LOC110680523|XP_021712012.1|AAEG
OG0001830	LOC110177331|XP_020799672.1|DSER	LOC5571911|XP_001660008.2|AAEG, LOC110679573|XP_021710291.1|AAEG
OG0001831	LOC110178876|XP_020801808.1|DSER	LOC110680266|XP_021711773.1|AAEG, LOC5566067|XP_021705399.1|AAEG, LOC23687723|XP_021711781.1|AAEG, LOC23687612|XP_021707469.1|AAEG
