Orthogroup	DSER.longest_only	ASTE.longest_only
OG0001183	LOC110186583|XP_020811456.1|DSER	LOC118506509|XP_035899620.1|ASTE, LOC118506511|XP_035899628.1|ASTE
OG0001185	LOC110188193|XP_020813445.1|DSER, LOC110188191|XP_020813430.1|DSER	LOC118507718|XP_035902509.1|ASTE
OG0001186	LOC110184532|XP_020808771.1|DSER	LOC118506012|XP_035898491.1|ASTE
OG0001187	LOC110190345|XP_020816445.1|DSER	LOC118504060|XP_035893987.1|ASTE, LOC118504073|XP_035894019.1|ASTE
OG0001188	LOC110182476|XP_020806184.1|DSER	LOC118507751|XP_035902650.1|ASTE, LOC118503704|XP_035893160.1|ASTE
OG0001189	LOC110179310|XP_020802458.1|DSER	LOC118506041|XP_035898563.1|ASTE, LOC118516408|XP_035918164.1|ASTE, LOC118505894|XP_035898241.1|ASTE, LOC118516472|XP_035918283.1|ASTE
OG0001190	LOC110180335|XP_020803653.1|DSER	LOC118508563|XP_035904355.1|ASTE, LOC118508561|XP_035904352.1|ASTE
OG0001191	LOC110183786|XP_020807802.1|DSER	LOC118508197|XP_035903654.1|ASTE, LOC118508190|XP_035903644.1|ASTE
OG0001192	LOC110185723|XP_020810364.1|DSER	LOC118507442|XP_035901817.1|ASTE
OG0001193	LOC110177158|XP_020799402.1|DSER	LOC118506106|XP_035898685.1|ASTE
OG0001194	LOC110182835|XP_020806627.1|DSER	LOC118505981|XP_035898435.1|ASTE
OG0001195	LOC110177613|XP_020800076.1|DSER	LOC118517297|XP_035919177.1|ASTE, LOC118517296|XP_035919175.1|ASTE, LOC118503111|XP_035891943.1|ASTE
OG0001201	LOC110186280|XP_020811053.1|DSER	LOC118507003|XP_035900789.1|ASTE
OG0001202	LOC110180344|XP_020803665.1|DSER	LOC118517404|XP_035919371.1|ASTE
OG0001203	LOC110185435|XP_020809918.1|DSER	LOC118509632|XP_035906421.1|ASTE, LOC118509691|XP_035906644.1|ASTE
OG0001204	LOC110185637|XP_020810253.1|DSER	LOC118516568|XP_035918429.1|ASTE
OG0001205	LOC110177265|XP_020799575.1|DSER	LOC118517643|XP_035919856.1|ASTE
OG0001206	LOC110188679|XP_020814141.1|DSER	LOC118507373|XP_035901708.1|ASTE, LOC118510114|XP_035907474.1|ASTE
OG0001207	LOC110184356|XP_020808509.1|DSER	LOC118517362|XP_035919272.1|ASTE, LOC118512174|XP_035912154.1|ASTE
OG0001208	LOC110179065|XP_020802086.1|DSER	LOC118505348|XP_035897352.1|ASTE
OG0001209	LOC110187828|XP_020812966.1|DSER	LOC118503498|XP_035892723.1|ASTE, LOC118503492|XP_035892710.1|ASTE
OG0001210	LOC110181932|XP_020805526.1|DSER	LOC118506747|XP_035900223.1|ASTE, LOC118506743|XP_035900201.1|ASTE
OG0001211	LOC110188460|XP_020813849.1|DSER	LOC118504432|XP_035894765.1|ASTE
OG0001212	LOC110183232|XP_020807106.1|DSER	LOC118506149|XP_035898795.1|ASTE, LOC118503033|XP_035891757.1|ASTE
OG0001213	LOC110188588|XP_020814009.1|DSER	LOC118505302|XP_035896814.1|ASTE, LOC118505303|XP_035896816.1|ASTE
OG0001214	LOC110177301|XP_020799625.1|DSER	LOC118507998|XP_035903262.1|ASTE
OG0001215	LOC110189040|XP_020814671.1|DSER	LOC118508007|XP_035903285.1|ASTE, LOC118508004|XP_035903271.1|ASTE
OG0001216	LOC110186167|XP_020810879.1|DSER	LOC118507996|XP_035903258.1|ASTE
OG0001217	LOC110185069|XP_020809408.1|DSER	LOC118503463|XP_035892642.1|ASTE
OG0001218	LOC110191013|XP_020817390.1|DSER	LOC118507811|XP_035902772.1|ASTE
OG0001220	LOC110189573|XP_020815362.1|DSER	LOC118508888|XP_035904614.1|ASTE, LOC118508889|XP_035904615.1|ASTE
OG0001221	LOC110182910|XP_020806728.1|DSER	LOC118511247|XP_035909988.1|ASTE, LOC118516930|XP_035918670.1|ASTE, LOC118516931|XP_035918671.1|ASTE, LOC118511246|XP_035909985.1|ASTE, LOC118510589|XP_035908483.1|ASTE
OG0001223	LOC110176670|XP_020798763.1|DSER	LOC118514347|XP_035917058.1|ASTE
OG0001224	LOC110176761|XP_020798869.1|DSER	LOC118506033|XP_035898545.1|ASTE
OG0001225	LOC110180045|XP_020803317.1|DSER	LOC118509675|XP_035906574.1|ASTE
OG0001226	LOC110179328|XP_020802479.1|DSER	LOC118511394|XP_035910317.1|ASTE
OG0001227	LOC110182673|XP_020806413.1|DSER, LOC110180309|XP_020803622.1|DSER	LOC118511067|XP_035909568.1|ASTE
OG0001228	LOC110179641|XP_020802912.1|DSER	LOC118512395|XP_035912669.1|ASTE
OG0001229	LOC110185535|XP_020810101.1|DSER	LOC118514527|XP_035917400.1|ASTE
OG0001230	LOC110182355|XP_020806057.1|DSER	LOC118509042|XP_035905008.1|ASTE
OG0001231	LOC110182819|XP_020806614.1|DSER	LOC118511796|XP_035911219.1|ASTE
OG0001233	LOC110176905|XP_020799051.1|DSER	LOC118508945|XP_035904747.1|ASTE
OG0001234	LOC110188933|XP_020814530.1|DSER, LOC110176381|XP_020798371.1|DSER, LOC110178517|XP_020801328.1|DSER	LOC118511242|XP_035909975.1|ASTE
OG0001235	LOC110178124|XP_020800804.1|DSER	LOC118510723|XP_035908825.1|ASTE
OG0001236	LOC110184617|XP_020808869.1|DSER	LOC118505735|XP_035897816.1|ASTE
OG0001237	LOC110188234|XP_020813550.1|DSER	LOC118505306|XP_035896830.1|ASTE
OG0001238	LOC110186135|XP_020810840.1|DSER	LOC118504642|XP_035895262.1|ASTE
OG0001240	LOC110186155|XP_020810864.1|DSER	LOC118508254|XP_035903765.1|ASTE, LOC118515267|XP_035917851.1|ASTE, LOC118503513|XP_035892757.1|ASTE
OG0001241	LOC110178227|XP_020800935.1|DSER	LOC118506705|XP_035900090.1|ASTE
OG0001242	LOC110185597|XP_020810195.1|DSER, LOC110181928|XP_020805523.1|DSER	LOC118502640|XP_035890980.1|ASTE
OG0001244	LOC110176507|XP_020798539.1|DSER	LOC118509322|XP_035905679.1|ASTE
OG0001246	LOC110191492|XP_020818015.1|DSER	LOC118504887|XP_035895838.1|ASTE, LOC118504885|XP_035895835.1|ASTE, LOC118504884|XP_035895834.1|ASTE
OG0001247	LOC110189412|XP_020815126.1|DSER	LOC118508155|XP_035903585.1|ASTE
OG0001249	LOC110182831|XP_020806623.1|DSER	LOC118508107|XP_035903494.1|ASTE
OG0001257	LOC110185455|XP_020809950.1|DSER	LOC118509652|XP_035906493.1|ASTE
OG0001258	LOC110186697|XP_020811628.1|DSER	LOC118505200|XP_035896573.1|ASTE
OG0001259	LOC110178561|XP_020801392.1|DSER	LOC118517449|XP_035919488.1|ASTE, LOC118506304|XP_035899145.1|ASTE
OG0001260	LOC110188452|XP_020813840.1|DSER, LOC110188355|XP_020813722.1|DSER	LOC118512715|XP_035913451.1|ASTE
OG0001261	LOC110190230|XP_020816250.1|DSER, LOC110176049|XP_020797922.1|DSER	LOC118509960|XP_035907260.1|ASTE, LOC118514207|XP_035916793.1|ASTE
OG0001263	LOC110188014|XP_020813197.1|DSER	LOC118508293|XP_035903835.1|ASTE
OG0001264	LOC110178214|XP_020800915.1|DSER	LOC118509213|XP_035905380.1|ASTE, LOC118517408|XP_035919375.1|ASTE
OG0001266	LOC110176927|XP_020799086.1|DSER	LOC118507536|XP_035902006.1|ASTE
OG0001267	LOC110188013|XP_020813196.1|DSER	LOC118502916|XP_035891542.1|ASTE, LOC118502906|XP_035891520.1|ASTE
OG0001269	LOC110180732|XP_020804073.1|DSER, LOC110180266|XP_020803581.1|DSER	LOC118507188|XP_035901153.1|ASTE
OG0001270	LOC110177268|XP_020799579.1|DSER	LOC118503699|XP_035893154.1|ASTE, LOC118508000|XP_035903266.1|ASTE
OG0001271	LOC110178003|XP_020800662.1|DSER	LOC118511452|XP_035910445.1|ASTE, LOC118511451|XP_035910444.1|ASTE, LOC118508844|XP_035904487.1|ASTE
OG0001272	LOC110188883|XP_020814459.1|DSER	LOC118509409|XP_035905868.1|ASTE
OG0001273	LOC110188047|XP_020813255.1|DSER	LOC118507925|XP_035903121.1|ASTE
OG0001274	LOC110178986|XP_020801960.1|DSER	LOC118516387|XP_035918144.1|ASTE, LOC118512763|XP_035913553.1|ASTE, LOC118512772|XP_035913569.1|ASTE, LOC118516384|XP_035918138.1|ASTE, LOC118516383|XP_035918137.1|ASTE, LOC118512771|XP_035913568.1|ASTE
OG0001276	LOC110183641|XP_020807621.1|DSER	LOC118513068|XP_035914309.1|ASTE
OG0001277	LOC110185326|XP_020809757.1|DSER	LOC118512920|XP_035913964.1|ASTE
OG0001278	LOC110190777|XP_020817067.1|DSER	LOC118512294|XP_035912414.1|ASTE
OG0001279	LOC110190634|XP_020816889.1|DSER	LOC118512298|XP_035912422.1|ASTE
OG0001280	LOC110178813|XP_020801731.1|DSER, LOC110178814|XP_020801734.1|DSER, LOC110178718|XP_020801581.1|DSER	LOC118514238|XP_035916834.1|ASTE
OG0001281	LOC110177548|XP_020799976.1|DSER	LOC118512634|XP_035913223.1|ASTE
OG0001282	LOC110186109|XP_020810815.1|DSER	LOC118514262|XP_035916871.1|ASTE
OG0001283	LOC110188939|XP_020814537.1|DSER	LOC118511551|XP_035910663.1|ASTE
OG0001284	LOC110182846|XP_020806637.1|DSER	LOC118513903|XP_035916119.1|ASTE
OG0001285	LOC110183656|XP_020807643.1|DSER	LOC118503095|XP_035891886.1|ASTE, LOC118512716|XP_035913448.1|ASTE
OG0001286	LOC110187276|XP_020812324.1|DSER	LOC118512447|XP_035912804.1|ASTE
OG0001287	LOC110188353|XP_020813720.1|DSER	LOC118512730|XP_035913483.1|ASTE
OG0001288	LOC110178188|XP_020800882.1|DSER	LOC118512489|XP_035912886.1|ASTE
OG0001289	LOC110187458|XP_020812504.1|DSER	LOC118514047|XP_035916431.1|ASTE
OG0001290	LOC110187380|XP_020812427.1|DSER	LOC118510651|XP_035908659.1|ASTE
OG0001291	LOC110191499|XP_020818024.1|DSER	LOC118506591|XP_035899841.1|ASTE
OG0001292	LOC110183703|XP_020807741.1|DSER, LOC110183245|XP_020807129.1|DSER	LOC118503098|XP_035891890.1|ASTE, LOC118503104|XP_035891929.1|ASTE
OG0001293	LOC110181963|XP_020805571.1|DSER	LOC118506581|XP_035899830.1|ASTE
OG0001294	LOC110184142|XP_020808214.1|DSER	LOC118504858|XP_035895786.1|ASTE
OG0001295	LOC110187073|XP_020812122.1|DSER	LOC118505807|XP_035898040.1|ASTE
OG0001296	LOC110189783|XP_020815671.1|DSER	LOC118508335|XP_035903896.1|ASTE, LOC118517059|XP_035918802.1|ASTE
OG0001297	LOC110190384|XP_020816477.1|DSER	LOC118505340|XP_035896889.1|ASTE
OG0001298	LOC110188270|XP_020813618.1|DSER	LOC118502576|XP_035890795.1|ASTE, LOC118506506|XP_035899615.1|ASTE
OG0001299	LOC110185144|XP_020809505.1|DSER	LOC118505511|XP_035897300.1|ASTE, LOC118505510|XP_035897296.1|ASTE
OG0001300	LOC110191216|XP_020817641.1|DSER	LOC118505015|XP_035896097.1|ASTE
OG0001301	LOC110185822|XP_020810488.1|DSER	LOC118517591|XP_035919764.1|ASTE, LOC118505292|XP_035896780.1|ASTE, LOC118517184|XP_035918995.1|ASTE
OG0001302	LOC110191930|XP_020818604.1|DSER	LOC118506830|XP_035900433.1|ASTE
OG0001303	LOC110191212|XP_020817638.1|DSER	LOC118517568|XP_035919706.1|ASTE
OG0001304	LOC110178260|XP_020800981.1|DSER	LOC118502579|XP_035890806.1|ASTE
OG0001305	LOC110177242|XP_020799538.1|DSER	LOC118508529|XP_035904296.1|ASTE
OG0001306	LOC110190363|XP_020816437.1|DSER	LOC118507719|XP_035902560.1|ASTE
OG0001307	LOC110190465|XP_020816633.1|DSER	LOC118502798|XP_035891298.1|ASTE
OG0001308	LOC110183250|XP_020807132.1|DSER	LOC118506555|XP_035899757.1|ASTE
OG0001309	LOC110177283|XP_020799591.1|DSER	LOC118507709|XP_035902497.1|ASTE, LOC118507710|XP_035902498.1|ASTE
OG0001311	LOC110182638|XP_020806365.1|DSER	LOC118503317|XP_035892341.1|ASTE, LOC118517427|XP_035919433.1|ASTE
OG0001312	LOC110185195|XP_020809579.1|DSER	LOC118503305|XP_035892318.1|ASTE
OG0001313	LOC110178474|XP_020801275.1|DSER	LOC118507236|XP_035901379.1|ASTE
OG0001314	LOC110185638|XP_020810254.1|DSER	LOC118512881|XP_035914293.1|ASTE
OG0001315	LOC110180451|XP_020803786.1|DSER	LOC118506659|XP_035899970.1|ASTE
OG0001326	LOC110186766|XP_020811687.1|DSER	LOC118508303|XP_035903851.1|ASTE
OG0001328	LOC110181715|XP_020805223.1|DSER	LOC118503066|XP_035891829.1|ASTE
OG0001329	LOC110181481|XP_020804893.1|DSER	LOC118509272|XP_035905520.1|ASTE
OG0001330	LOC110179252|XP_020802369.1|DSER	LOC118517158|XP_035918929.1|ASTE
OG0001331	LOC110182448|XP_020806142.1|DSER	LOC118512722|XP_035913464.1|ASTE
OG0001332	LOC110179723|XP_020803001.1|DSER	LOC118511331|XP_035910159.1|ASTE, LOC118511265|XP_035910034.1|ASTE
OG0001333	LOC110183753|XP_020807768.1|DSER	LOC118509806|XP_035906845.1|ASTE, LOC118509778|XP_035906813.1|ASTE
OG0001334	LOC110186443|XP_020811286.1|DSER	LOC118502597|XP_035890857.1|ASTE, LOC118502813|XP_035891349.1|ASTE
OG0001335	LOC110176574|XP_020798642.1|DSER	LOC118505565|XP_035897415.1|ASTE, LOC118505566|XP_035897416.1|ASTE
OG0001337	LOC110191969|XP_020818643.1|DSER	LOC118511391|XP_035910312.1|ASTE
OG0001338	LOC110179656|XP_020802916.1|DSER	LOC118505063|XP_035896234.1|ASTE, LOC118516461|XP_035918252.1|ASTE
OG0001339	LOC110180030|XP_020803296.1|DSER	LOC118502918|XP_035891545.1|ASTE, LOC118512193|XP_035912188.1|ASTE
OG0001340	LOC110185353|XP_020809791.1|DSER	LOC118506774|XP_035900262.1|ASTE
OG0001341	LOC110190867|XP_020817177.1|DSER	LOC118507844|XP_035902868.1|ASTE
OG0001343	LOC110176656|XP_020798749.1|DSER	LOC118502423|XP_035890543.1|ASTE
OG0001344	LOC110186634|XP_020811552.1|DSER	LOC118506366|XP_035899279.1|ASTE, LOC118506365|XP_035899272.1|ASTE
OG0001345	LOC110188450|XP_020813838.1|DSER	LOC118516458|XP_035918249.1|ASTE, LOC118505112|XP_035896307.1|ASTE, LOC118516457|XP_035918247.1|ASTE, LOC118505111|XP_035896305.1|ASTE
OG0001346	LOC110186545|XP_020811407.1|DSER	LOC118505438|XP_035897125.1|ASTE
OG0001347	LOC110184801|XP_020809095.1|DSER	LOC118508585|XP_035904383.1|ASTE
OG0001348	LOC110186642|XP_020811561.1|DSER	LOC118517273|XP_035919140.1|ASTE, LOC118514280|XP_035916915.1|ASTE
OG0001349	LOC110190514|XP_020816703.1|DSER	LOC118510488|XP_035908267.1|ASTE
OG0001350	LOC110181246|XP_020804609.1|DSER, LOC110181243|XP_020804607.1|DSER, LOC110181245|XP_020804608.1|DSER	LOC118512205|XP_035912208.1|ASTE
OG0001351	LOC110178004|XP_020800663.1|DSER, LOC110178011|XP_020800684.1|DSER	LOC118512096|XP_035911955.1|ASTE
OG0001352	LOC110189271|XP_020814946.1|DSER	LOC118509480|XP_035906015.1|ASTE
OG0001353	LOC110176147|XP_020798043.1|DSER	LOC118504607|XP_035895177.1|ASTE, LOC118509513|XP_035906095.1|ASTE
OG0001354	LOC110181140|XP_020804469.1|DSER, LOC110181101|XP_020804431.1|DSER	LOC118511541|XP_035910637.1|ASTE
OG0001355	LOC110176356|XP_020798347.1|DSER	LOC118511525|XP_035910607.1|ASTE
OG0001356	LOC110187982|XP_020813162.1|DSER	LOC118513488|XP_035915204.1|ASTE, LOC118509738|XP_035906760.1|ASTE
OG0001357	LOC110189116|XP_020814749.1|DSER	LOC118512759|XP_035913542.1|ASTE, LOC118516367|XP_035918113.1|ASTE
OG0001358	LOC110176678|XP_020798774.1|DSER, LOC110185177|XP_020809554.1|DSER	LOC118512760|XP_035913544.1|ASTE, LOC118516364|XP_035918093.1|ASTE
OG0001359	LOC110186033|XP_020810729.1|DSER	LOC118514604|XP_035917493.1|ASTE, LOC118512664|XP_035913309.1|ASTE
OG0001360	LOC110180786|XP_020804157.1|DSER	LOC118514357|XP_035917072.1|ASTE
OG0001361	LOC110190504|XP_020816681.1|DSER	LOC118509799|XP_035906828.1|ASTE, LOC118509800|XP_035906829.1|ASTE
OG0001362	LOC110190780|XP_020817077.1|DSER	LOC118512297|XP_035912420.1|ASTE
OG0001363	LOC110188349|XP_020813716.1|DSER	LOC118503687|XP_035893121.1|ASTE, LOC118512288|XP_035912404.1|ASTE
OG0001364	LOC110191559|XP_020818093.1|DSER	LOC118514188|XP_035916767.1|ASTE, LOC118513327|XP_035914827.1|ASTE
OG0001365	LOC110191304|XP_020817774.1|DSER	LOC118513191|XP_035914572.1|ASTE
OG0001367	LOC110180165|XP_020803499.1|DSER	LOC118509863|XP_035906966.1|ASTE
OG0001368	LOC110188968|XP_020814572.1|DSER	LOC118513233|XP_035914671.1|ASTE
OG0001369	LOC110183634|XP_020807611.1|DSER	LOC118514260|XP_035916869.1|ASTE
OG0001370	LOC110178462|XP_020801260.1|DSER	LOC118517323|XP_035919196.1|ASTE, LOC118509379|XP_035905813.1|ASTE
OG0001372	LOC110176859|XP_020798993.1|DSER	LOC118512013|XP_035911681.1|ASTE
OG0001373	LOC110182721|XP_020806480.1|DSER	LOC118511033|XP_035909507.1|ASTE
OG0001374	LOC110189535|XP_020815323.1|DSER, LOC110176776|XP_020798873.1|DSER	LOC118513899|XP_035916109.1|ASTE
OG0001376	LOC110179351|XP_020802520.1|DSER	LOC118515231|XP_035917809.1|ASTE, LOC118513577|XP_035915418.1|ASTE, LOC118515229|XP_035917808.1|ASTE, LOC118513576|XP_035915417.1|ASTE
OG0001377	LOC110176816|XP_020798916.1|DSER	LOC118513915|XP_035916158.1|ASTE
OG0001378	LOC110185914|XP_020810585.1|DSER	LOC118512644|XP_035913253.1|ASTE
OG0001379	LOC110182598|XP_020806311.1|DSER	LOC118513885|XP_035916092.1|ASTE
OG0001380	LOC110189757|XP_020815630.1|DSER	LOC118508988|XP_035904879.1|ASTE
OG0001381	LOC110182389|XP_020806091.1|DSER	LOC118514539|XP_035917415.1|ASTE
OG0001382	LOC110187249|XP_020812306.1|DSER	LOC118512516|XP_035912927.1|ASTE
OG0001383	LOC110176382|XP_020798372.1|DSER, LOC110188936|XP_020814534.1|DSER	LOC118511029|XP_035909502.1|ASTE
OG0001384	LOC110181428|XP_020804830.1|DSER	LOC118509868|XP_035906984.1|ASTE
OG0001385	LOC110177889|XP_020800514.1|DSER	LOC118513824|XP_035915953.1|ASTE, LOC118506497|XP_035899585.1|ASTE
OG0001387	LOC110182657|XP_020806388.1|DSER	LOC118510806|XP_035909014.1|ASTE, LOC118510807|XP_035909016.1|ASTE
OG0001388	LOC110183323|XP_020807228.1|DSER	LOC118510750|XP_035908882.1|ASTE, LOC118510751|XP_035908887.1|ASTE
OG0001389	LOC110185063|XP_020809402.1|DSER	LOC118504458|XP_035894846.1|ASTE, LOC118504454|XP_035894839.1|ASTE
OG0001390	LOC110183025|XP_020806871.1|DSER, LOC110183011|XP_020806857.1|DSER, LOC110185616|XP_020810223.1|DSER	LOC118506752|XP_035900235.1|ASTE
OG0001391	LOC110181410|XP_020804806.1|DSER	LOC118504503|XP_035894922.1|ASTE
OG0001392	LOC110191965|XP_020818642.1|DSER	LOC118506657|XP_035899968.1|ASTE
OG0001393	LOC110178053|XP_020800722.1|DSER, LOC110183752|XP_020807767.1|DSER	LOC118502606|XP_035890863.1|ASTE
OG0001394	LOC110183308|XP_020807207.1|DSER	LOC118507094|XP_035900977.1|ASTE, LOC118504798|XP_035895669.1|ASTE
OG0001395	LOC110188685|XP_020814146.1|DSER, LOC110191803|XP_020818413.1|DSER	LOC118505832|XP_035898080.1|ASTE
OG0001396	LOC110175946|XP_020797792.1|DSER	LOC118506543|XP_035899727.1|ASTE
OG0001397	LOC110186482|XP_020811328.1|DSER	LOC118508436|XP_035904108.1|ASTE, LOC118507361|XP_035901666.1|ASTE
OG0001399	LOC110185364|XP_020809805.1|DSER	LOC118512891|XP_035913888.1|ASTE
OG0001400	LOC110188075|XP_020813285.1|DSER	LOC118503474|XP_035892665.1|ASTE
OG0001401	LOC110178575|XP_020801406.1|DSER	LOC118508071|XP_035903427.1|ASTE, LOC118509254|XP_035905482.1|ASTE
OG0001402	LOC110190062|XP_020816026.1|DSER, LOC110190149|XP_020816137.1|DSER	LOC118508085|XP_035903453.1|ASTE
OG0001403	LOC110190054|XP_020816019.1|DSER, LOC110187847|XP_020812993.1|DSER	LOC118512335|XP_035912510.1|ASTE
OG0001404	LOC110191336|XP_020817845.1|DSER	LOC118505990|XP_035898449.1|ASTE
OG0001405	LOC110177815|XP_020800363.1|DSER	LOC118516517|XP_035918344.1|ASTE, LOC118516525|XP_035918353.1|ASTE, LOC118506091|XP_035898664.1|ASTE
OG0001406	LOC110190619|XP_020816873.1|DSER, LOC110181774|XP_020805307.1|DSER, LOC110181886|XP_020805474.1|DSER	LOC118506116|XP_035898717.1|ASTE
OG0001407	LOC110190043|XP_020816008.1|DSER	LOC118508052|XP_035903398.1|ASTE
OG0001408	LOC110178481|XP_020801281.1|DSER	LOC118509985|XP_035907259.1|ASTE
OG0001429	LOC110190782|XP_020817082.1|DSER	LOC118504939|XP_035895931.1|ASTE, LOC118504930|XP_035895920.1|ASTE
OG0001430	LOC110185626|XP_020810239.1|DSER	LOC118513099|XP_035914393.1|ASTE, LOC118510660|XP_035908704.1|ASTE
OG0001431	LOC110184409|XP_020808600.1|DSER	LOC118502803|XP_035891317.1|ASTE
OG0001432	LOC110184278|XP_020808408.1|DSER	LOC118517173|XP_035918974.1|ASTE, LOC118505181|XP_035896528.1|ASTE
OG0001433	LOC110177389|XP_020799751.1|DSER	LOC118503728|XP_035893234.1|ASTE
OG0001434	LOC110184378|XP_020808538.1|DSER	LOC118503987|XP_035893827.1|ASTE
OG0001435	LOC110180755|XP_020804097.1|DSER	LOC118511737|XP_035911080.1|ASTE
OG0001436	LOC110181808|XP_020805354.1|DSER, LOC110180462|XP_020803797.1|DSER	LOC118517432|XP_035919444.1|ASTE
OG0001437	LOC110183823|XP_020807834.1|DSER	LOC118513084|XP_035914345.1|ASTE
OG0001438	LOC110184190|XP_020808280.1|DSER	LOC118503425|XP_035892562.1|ASTE, LOC118511093|XP_035909688.1|ASTE
OG0001439	LOC110177143|XP_020799378.1|DSER	LOC118506957|XP_035900670.1|ASTE, LOC118505187|XP_035896539.1|ASTE
OG0001440	LOC110180646|XP_020803999.1|DSER	LOC118508086|XP_035903459.1|ASTE
OG0001442	LOC110185799|XP_020810461.1|DSER	LOC118508483|XP_035904197.1|ASTE, LOC118505129|XP_035896339.1|ASTE
OG0001443	LOC110186978|XP_020811988.1|DSER	LOC118506833|XP_035900438.1|ASTE, LOC118506832|XP_035900437.1|ASTE
OG0001444	LOC110191153|XP_020817569.1|DSER	LOC118502379|XP_035890493.1|ASTE
OG0001445	LOC110176425|XP_020798430.1|DSER	LOC118503034|XP_035891758.1|ASTE
OG0001446	LOC110191320|XP_020817801.1|DSER	LOC118505222|XP_035896639.1|ASTE
OG0001447	LOC110188747|XP_020814247.1|DSER	LOC118504441|XP_035894794.1|ASTE
OG0001448	LOC110186586|XP_020811465.1|DSER	LOC118508304|XP_035903852.1|ASTE
OG0001449	LOC110189258|XP_020814928.1|DSER	LOC118502961|XP_035891617.1|ASTE
OG0001450	LOC110183117|XP_020806966.1|DSER	LOC118512095|XP_035911953.1|ASTE
OG0001451	LOC110189725|XP_020815575.1|DSER	LOC118510862|XP_035909101.1|ASTE
OG0001452	LOC110182858|XP_020806666.1|DSER, LOC110181671|XP_020805167.1|DSER	LOC118508899|XP_035904631.1|ASTE
OG0001453	LOC110189931|XP_020815874.1|DSER	LOC118513011|XP_035914178.1|ASTE, LOC118513010|XP_035914177.1|ASTE
OG0001454	LOC110191026|XP_020817404.1|DSER	LOC118511629|XP_035910833.1|ASTE, LOC118512994|XP_035914143.1|ASTE
OG0001455	LOC110189837|XP_020815692.1|DSER	LOC118512978|XP_035914115.1|ASTE
OG0001456	LOC110178293|XP_020801025.1|DSER	LOC118513600|XP_035915513.1|ASTE, LOC118517282|XP_035919146.1|ASTE
OG0001457	LOC110189247|XP_020814910.1|DSER	LOC118512050|XP_035911786.1|ASTE
OG0001458	LOC110189202|XP_020814831.1|DSER	LOC118512939|XP_035914013.1|ASTE, LOC118508836|XP_035904476.1|ASTE
OG0001459	LOC110184770|XP_020809064.1|DSER	LOC118514612|XP_035917501.1|ASTE, LOC118512686|XP_035913362.1|ASTE
OG0001460	LOC110191532|XP_020818062.1|DSER	LOC118509617|XP_035906336.1|ASTE
OG0001461	LOC110187641|XP_020812708.1|DSER	LOC118512844|XP_035913798.1|ASTE
OG0001462	LOC110182799|XP_020806591.1|DSER	LOC118514225|XP_035916816.1|ASTE, LOC118514224|XP_035916815.1|ASTE, LOC118514226|XP_035916817.1|ASTE
OG0001464	LOC110179535|XP_020802773.1|DSER	LOC118510298|XP_035907815.1|ASTE
OG0001466	LOC110183931|XP_020807954.1|DSER	LOC118509517|XP_035906111.1|ASTE
OG0001468	LOC110190555|XP_020816769.1|DSER	LOC118517241|XP_035919108.1|ASTE, LOC118509363|XP_035905779.1|ASTE
OG0001469	LOC110179277|XP_020802424.1|DSER	LOC118512310|XP_035912446.1|ASTE
OG0001470	LOC110190035|XP_020815996.1|DSER	LOC118509554|XP_035906198.1|ASTE, LOC118509555|XP_035906200.1|ASTE
OG0001471	LOC110178592|XP_020801437.1|DSER	LOC118509952|XP_035907180.1|ASTE
OG0001472	LOC110183597|XP_020807570.1|DSER	LOC118511819|XP_035911252.1|ASTE
OG0001473	LOC110188672|XP_020814128.1|DSER	LOC118509034|XP_035904965.1|ASTE, LOC118509031|XP_035904961.1|ASTE, LOC118509018|XP_035904929.1|ASTE
OG0001474	LOC110181936|XP_020805532.1|DSER	LOC118511983|XP_035911615.1|ASTE
OG0001475	LOC110177996|XP_020800654.1|DSER	LOC118505830|XP_035898077.1|ASTE
OG0001476	LOC110187605|XP_020812657.1|DSER, LOC110176554|XP_020798645.1|DSER	LOC118510956|XP_035909305.1|ASTE
OG0001477	LOC110189026|XP_020814648.1|DSER	LOC118513902|XP_035916117.1|ASTE
OG0001478	LOC110187548|XP_020812595.1|DSER	LOC118509976|XP_035907249.1|ASTE, LOC118513674|XP_035915670.1|ASTE
OG0001479	LOC110179676|XP_020802946.1|DSER, LOC110191223|XP_020817649.1|DSER	LOC118513844|XP_035916015.1|ASTE
OG0001480	LOC110187553|XP_020812601.1|DSER, LOC110187552|XP_020812599.1|DSER	LOC118513940|XP_035916216.1|ASTE
OG0001481	LOC110176876|XP_020799011.1|DSER	LOC118511126|XP_035909752.1|ASTE
OG0001482	LOC110181265|XP_020804634.1|DSER	LOC118514014|XP_035916376.1|ASTE
OG0001483	LOC110182816|XP_020806611.1|DSER	LOC118510033|XP_035907314.1|ASTE
OG0001484	LOC110183754|XP_020807772.1|DSER	LOC118511672|XP_035910923.1|ASTE
OG0001485	LOC110185243|XP_020809638.1|DSER	LOC118512587|XP_035913119.1|ASTE
OG0001486	LOC110176805|XP_020798902.1|DSER	LOC118513256|XP_035914712.1|ASTE, LOC118513257|XP_035914713.1|ASTE
OG0001487	LOC110188788|XP_020814294.1|DSER	LOC118511555|XP_035910677.1|ASTE
OG0001488	LOC110177414|XP_020799794.1|DSER	LOC118509962|XP_035907234.1|ASTE
