Orthogroup	DSER.longest_only	DALB.longest_only
OG0000771	LOC110183717|XP_020807725.1|DSER	LOC117570925|XP_034108746.1|DALB
OG0000772	LOC110184043|XP_020808076.1|DSER, LOC110178317|XP_020801087.1|DSER	LOC117571008|XP_034108857.1|DALB
OG0000773	LOC110180078|XP_020803359.1|DSER	LOC117570853|XP_034108623.1|DALB, LOC117577238|XP_034118118.1|DALB, LOC117571192|XP_034109122.1|DALB
OG0000774	LOC110191633|XP_020818181.1|DSER, LOC110191632|XP_020818180.1|DSER	LOC117570836|XP_034108602.1|DALB, LOC117570839|XP_034108606.1|DALB
OG0000775	LOC110189771|XP_020815650.1|DSER	LOC117567754|XP_034103833.1|DALB
OG0000775	LOC110178303|XP_020801052.1|DSER	LOC117568491|XP_034105071.1|DALB
OG0000776	LOC110189923|XP_020815859.1|DSER	LOC117569411|XP_034106438.1|DALB
OG0000779	LOC110181856|XP_020805433.1|DSER	LOC117572674|XP_034111596.1|DALB
OG0000780	LOC110189273|XP_020814951.1|DSER	LOC117569209|XP_034106172.1|DALB, LOC117569208|XP_034106170.1|DALB
OG0000781	LOC110184279|XP_020808409.1|DSER	LOC117563918|XP_034098379.1|DALB
OG0000781	LOC110190118|XP_020816091.1|DSER	LOC117567871|XP_034104030.1|DALB
OG0000782	LOC110179034|XP_020802047.1|DSER	LOC117572470|XP_034111208.1|DALB
OG0000782	LOC110184210|XP_020808316.1|DSER	LOC117577755|XP_034118560.1|DALB
OG0000783	LOC110182099|XP_020805743.1|DSER	LOC117577545|XP_034118266.1|DALB
OG0000784	LOC110176119|XP_020798016.1|DSER	LOC117577783|XP_034118599.1|DALB
OG0000785	LOC110177462|XP_020799859.1|DSER, LOC110177359|XP_020799711.1|DSER	LOC117573608|XP_034112796.1|DALB
OG0000786	LOC110177248|XP_020799555.1|DSER	LOC117576152|XP_034116613.1|DALB
OG0000787	LOC110190765|XP_020817054.1|DSER	LOC117571502|XP_034109561.1|DALB
OG0000788	LOC110180004|XP_020803253.1|DSER, LOC110176705|XP_020798802.1|DSER	LOC117571425|XP_034109455.1|DALB
OG0000789	LOC110182717|XP_020806475.1|DSER	LOC117563724|XP_034098077.1|DALB
OG0000789	LOC110182720|XP_020806479.1|DSER	LOC117564469|XP_034099157.1|DALB
OG0000790	LOC110177004|XP_020799173.1|DSER	LOC117565021|XP_034099856.1|DALB
OG0000790	LOC110176935|XP_020799093.1|DSER	LOC117565505|XP_034100527.1|DALB
OG0000791	LOC110186319|XP_020811114.1|DSER	LOC117574096|XP_034113625.1|DALB
OG0000792	LOC110185702|XP_020810332.1|DSER	LOC117565572|XP_034100640.1|DALB
OG0000793	LOC110188258|XP_020813603.1|DSER	LOC117576167|XP_034116638.1|DALB
OG0000794	LOC110179550|XP_020802792.1|DSER	LOC117577528|XP_034118257.1|DALB
OG0000795	LOC110184426|XP_020808621.1|DSER	LOC117565826|XP_034101029.1|DALB
OG0000795	LOC110188563|XP_020813980.1|DSER	LOC117574662|XP_034114458.1|DALB
OG0000796	LOC110191800|XP_020818410.1|DSER	LOC117574816|XP_034114675.1|DALB
OG0000796	LOC110181565|XP_020805014.1|DSER	LOC117568855|XP_034105629.1|DALB
OG0000797	LOC110184153|XP_020808223.1|DSER	LOC117576924|XP_034117958.1|DALB
OG0000798	LOC110179895|XP_020803154.1|DSER	LOC117570303|XP_034107719.1|DALB
OG0000798	LOC110188120|XP_020813400.1|DSER	LOC117568150|XP_034104449.1|DALB
OG0000799	LOC110176608|XP_020798690.1|DSER	LOC117570043|XP_034107359.1|DALB
OG0000799	LOC110179502|XP_020802737.1|DSER	LOC117564754|XP_034099539.1|DALB
OG0000800	LOC110178758|XP_020801650.1|DSER	LOC117570358|XP_034107820.1|DALB, LOC117567864|XP_034104018.1|DALB, LOC117567863|XP_034104017.1|DALB
OG0000801	LOC110177673|XP_020800154.1|DSER	LOC117569202|XP_034106161.1|DALB
OG0000801	LOC110177942|XP_020800583.1|DSER	LOC117570288|XP_034107699.1|DALB
OG0000802	LOC110188344|XP_020813711.1|DSER, LOC110182002|XP_020805595.1|DSER	LOC117577880|XP_034118750.1|DALB
OG0000803	LOC110178613|XP_020801457.1|DSER	LOC117568135|XP_034104434.1|DALB
OG0000804	LOC110178301|XP_020801049.1|DSER	LOC117566768|XP_034102202.1|DALB
OG0000805	LOC110178285|XP_020801060.1|DSER	LOC117565329|XP_034100266.1|DALB
OG0000806	LOC110183087|XP_020806936.1|DSER	LOC117564430|XP_034099056.1|DALB
OG0000808	LOC110186284|XP_020811056.1|DSER, LOC110186626|XP_020811536.1|DSER	LOC117574422|XP_034114151.1|DALB, LOC117573778|XP_034113069.1|DALB
OG0000810	LOC110189241|XP_020814901.1|DSER, LOC110189242|XP_020814902.1|DSER, LOC110189243|XP_020814904.1|DSER	LOC117566663|XP_034102099.1|DALB
OG0000811	LOC110187803|XP_020812936.1|DSER	LOC117574484|XP_034114213.1|DALB
OG0000811	LOC110181534|XP_020804978.1|DSER	LOC117566860|XP_034102345.1|DALB
OG0000812	LOC110181725|XP_020805242.1|DSER	LOC117571219|XP_034109162.1|DALB, LOC117566004|XP_034101313.1|DALB
OG0000813	LOC110189495|XP_020815244.1|DSER	LOC117571344|XP_034109343.1|DALB
OG0000814	LOC110181192|XP_020804532.1|DSER	LOC117564229|XP_034098812.1|DALB
OG0000815	LOC110187383|XP_020812431.1|DSER, LOC110177656|XP_020800127.1|DSER	LOC117563814|XP_034098238.1|DALB
OG0000816	LOC110181540|XP_020804981.1|DSER	LOC117576180|XP_034116662.1|DALB
OG0000816	LOC110188695|XP_020814158.1|DSER	LOC117576460|XP_034117122.1|DALB
OG0000817	LOC110186202|XP_020810921.1|DSER	LOC117576120|XP_034116569.1|DALB
OG0000817	LOC110186220|XP_020810941.1|DSER	LOC117574846|XP_034114734.1|DALB
OG0000818	LOC110179675|XP_020802945.1|DSER	LOC117577975|XP_034118947.1|DALB
OG0000818	LOC110184006|XP_020808030.1|DSER	LOC117563856|XP_034098280.1|DALB
OG0000819	LOC110181626|XP_020805094.1|DSER	LOC117569146|XP_034106098.1|DALB
OG0000819	LOC110181526|XP_020804962.1|DSER	LOC117577966|XP_034118909.1|DALB
OG0000820	LOC110180121|XP_020803424.1|DSER	LOC117578329|XP_034119683.1|DALB
OG0000820	LOC110189629|XP_020815427.1|DSER	LOC117569058|XP_034105962.1|DALB
OG0000821	LOC110179265|XP_020802379.1|DSER	LOC117570756|XP_034108470.1|DALB
OG0000822	LOC110183847|XP_020807856.1|DSER	LOC117564603|XP_034099350.1|DALB
OG0000824	LOC110183984|XP_020808000.1|DSER	LOC117565859|XP_034101085.1|DALB
OG0000825	LOC110190343|XP_020816403.1|DSER	LOC117575366|XP_034115422.1|DALB, LOC117572490|XP_034111232.1|DALB
OG0000825	LOC110182392|XP_020806090.1|DSER	LOC117565009|XP_034099844.1|DALB
OG0000826	LOC110189298|XP_020814988.1|DSER, LOC110176788|XP_020798885.1|DSER	LOC117567653|XP_034103656.1|DALB
OG0000828	LOC110187912|XP_020813074.1|DSER, LOC110188016|XP_020813200.1|DSER	LOC117574651|XP_034114446.1|DALB, LOC117574650|XP_034114445.1|DALB, LOC117574652|XP_034114448.1|DALB
OG0000830	LOC110184189|XP_020808274.1|DSER	LOC117577972|XP_034118944.1|DALB
OG0000831	LOC110178896|XP_020801831.1|DSER	LOC117568142|XP_034104440.1|DALB, LOC117570015|XP_034107322.1|DALB
OG0000832	LOC110188937|XP_020814535.1|DSER, LOC110188955|XP_020814553.1|DSER, LOC110176380|XP_020798370.1|DSER	LOC117571986|XP_034110385.1|DALB
OG0000833	LOC110185247|XP_020809641.1|DSER	LOC117572217|XP_034110784.1|DALB
OG0000834	LOC110176493|XP_020798525.1|DSER	LOC117575087|XP_034115075.1|DALB
OG0000835	LOC110187766|XP_020812890.1|DSER	LOC117567566|XP_034103517.1|DALB
OG0000836	LOC110185048|XP_020809369.1|DSER, LOC110183299|XP_020807196.1|DSER	LOC117563664|XP_034097971.1|DALB
OG0000837	LOC110183264|XP_020807148.1|DSER	LOC117571457|XP_034109499.1|DALB
OG0000838	LOC110176998|XP_020799166.1|DSER	LOC117564192|XP_034098757.1|DALB
OG0000839	LOC110187666|XP_020812743.1|DSER	LOC117575398|XP_034115464.1|DALB
OG0000839	LOC110187831|XP_020812968.1|DSER	LOC117575446|XP_034115547.1|DALB
OG0000840	LOC110189280|XP_020814962.1|DSER, LOC110177961|XP_020800612.1|DSER, LOC110184582|XP_020808826.1|DSER	LOC117573869|XP_034113240.1|DALB
OG0000841	LOC110187844|XP_020812985.1|DSER	LOC117575081|XP_034115067.1|DALB
OG0000843	LOC110191478|XP_020817998.1|DSER	LOC117567698|XP_034103720.1|DALB
OG0000844	LOC110191858|XP_020818496.1|DSER	LOC117575495|XP_034115629.1|DALB
OG0000845	LOC110184127|XP_020808194.1|DSER, LOC110180458|XP_020803793.1|DSER	LOC117573836|XP_034113582.1|DALB
OG0000846	LOC110186481|XP_020811327.1|DSER	LOC117575142|XP_034115140.1|DALB, LOC117575144|XP_034115141.1|DALB
OG0000847	LOC110179209|XP_020802301.1|DSER, LOC110178258|XP_020800979.1|DSER	LOC117567017|XP_034102595.1|DALB, LOC117567016|XP_034102594.1|DALB, LOC117568790|XP_034105520.1|DALB
OG0000848	LOC110182287|XP_020805963.1|DSER	LOC117566163|XP_034101553.1|DALB
OG0000848	LOC110185076|XP_020809415.1|DSER	LOC117563377|XP_034097571.1|DALB
OG0000849	LOC110183981|XP_020807996.1|DSER	LOC117565268|XP_034100184.1|DALB
OG0000849	LOC110185935|XP_020810607.1|DSER	LOC117565869|XP_034101097.1|DALB
OG0000850	LOC110177691|XP_020800176.1|DSER	LOC117566587|XP_034102019.1|DALB
OG0000850	LOC110177682|XP_020800165.1|DSER	LOC117571257|XP_034109209.1|DALB
OG0000852	LOC110178466|XP_020801265.1|DSER	LOC117571313|XP_034109283.1|DALB
OG0000854	LOC110183060|XP_020806905.1|DSER	LOC117564351|XP_034098960.1|DALB
OG0000855	LOC110182211|XP_020805898.1|DSER	LOC117563386|XP_034097604.1|DALB
OG0000856	LOC110190257|XP_020816279.1|DSER	LOC117569733|XP_034106900.1|DALB
OG0000857	LOC110175918|XP_020797755.1|DSER	LOC117577736|XP_034118534.1|DALB
OG0000858	LOC110187658|XP_020812736.1|DSER	LOC117574039|XP_034113530.1|DALB
OG0000860	LOC110182767|XP_020806542.1|DSER	LOC117571603|XP_034109711.1|DALB
OG0000861	LOC110177036|XP_020799212.1|DSER, LOC110177022|XP_020799196.1|DSER	LOC117569502|XP_034106576.1|DALB, LOC117566681|XP_034102120.1|DALB, LOC117566680|XP_034102119.1|DALB, LOC117566679|XP_034102118.1|DALB
OG0000862	LOC110179194|XP_020802267.1|DSER, LOC110183130|XP_020806980.1|DSER	LOC117571590|XP_034109697.1|DALB
OG0000863	LOC110188028|XP_020813225.1|DSER	LOC117575971|XP_034116341.1|DALB
OG0000864	LOC110185084|XP_020809426.1|DSER	LOC117564202|XP_034098771.1|DALB
OG0000864	LOC110180328|XP_020803644.1|DSER	LOC117570321|XP_034107757.1|DALB
OG0000865	LOC110184090|XP_020808137.1|DSER	LOC117575252|XP_034115276.1|DALB
OG0000866	LOC110185946|XP_020810621.1|DSER, LOC110185898|XP_020810569.1|DSER	LOC117564052|XP_034098561.1|DALB
OG0000867	LOC110186025|XP_020810720.1|DSER	LOC117563227|XP_034097321.1|DALB
OG0000867	LOC110183343|XP_020807256.1|DSER	LOC117563463|XP_034097706.1|DALB
OG0000868	LOC110181529|XP_020804967.1|DSER	LOC117571006|XP_034108856.1|DALB
OG0000869	LOC110188405|XP_020813789.1|DSER	LOC117575920|XP_034116264.1|DALB
OG0000870	LOC110191503|XP_020818028.1|DSER	LOC117567202|XP_034102922.1|DALB
OG0000871	LOC110177856|XP_020800462.1|DSER	LOC117568338|XP_034104814.1|DALB
OG0000872	LOC110181811|XP_020805356.1|DSER	LOC117570794|XP_034108544.1|DALB
OG0000872	LOC110191668|XP_020818228.1|DSER	LOC117569913|XP_034107147.1|DALB
OG0000873	LOC110179846|XP_020803113.1|DSER	LOC117572458|XP_034111183.1|DALB
OG0000874	LOC110186326|XP_020811165.1|DSER	LOC117567168|XP_034102873.1|DALB
OG0000875	LOC110190111|XP_020816079.1|DSER	LOC117569159|XP_034106114.1|DALB
OG0000877	LOC110190319|XP_020816373.1|DSER, LOC110178557|XP_020801386.1|DSER	LOC117567651|XP_034103654.1|DALB
OG0000877	LOC110182652|XP_020806382.1|DSER	LOC117577654|XP_034118432.1|DALB
OG0000878	LOC110177972|XP_020800623.1|DSER	LOC117569782|XP_034106974.1|DALB
OG0000879	LOC110191981|XP_020818671.1|DSER	LOC117567924|XP_034104100.1|DALB
OG0000880	LOC110178178|XP_020800871.1|DSER	LOC117578164|XP_034119332.1|DALB
OG0000880	LOC110184692|XP_020808963.1|DSER	LOC117571659|XP_034109788.1|DALB
OG0000881	LOC110190224|XP_020816244.1|DSER, LOC110190112|XP_020816081.1|DSER, LOC110190110|XP_020816078.1|DSER	LOC117568171|XP_034104495.1|DALB
OG0000882	LOC110181618|XP_020805081.1|DSER	LOC117577749|XP_034118552.1|DALB
OG0000884	LOC110179175|XP_020802235.1|DSER	LOC117565015|XP_034099851.1|DALB
OG0000884	LOC110175962|XP_020797812.1|DSER	LOC117576785|XP_034117731.1|DALB
OG0000885	LOC110186809|XP_020811751.1|DSER	LOC117574622|XP_034114401.1|DALB
OG0000886	LOC110188142|XP_020813397.1|DSER	LOC117575750|XP_034115999.1|DALB, LOC117575749|XP_034115998.1|DALB
OG0000887	LOC110181528|XP_020804965.1|DSER	LOC117570999|XP_034108842.1|DALB
OG0000888	LOC110178720|XP_020801583.1|DSER	LOC117572636|XP_034111489.1|DALB
OG0000889	LOC110190342|XP_020816401.1|DSER	LOC117568569|XP_034105189.1|DALB
OG0000890	LOC110177323|XP_020799659.1|DSER	LOC117569594|XP_034106716.1|DALB
OG0000891	LOC110184987|XP_020809298.1|DSER	LOC117564662|XP_034099415.1|DALB
OG0000892	LOC110184645|XP_020808905.1|DSER	LOC117568130|XP_034104428.1|DALB
OG0000893	LOC110188553|XP_020813970.1|DSER	LOC117576917|XP_034117949.1|DALB
OG0000894	LOC110191855|XP_020818492.1|DSER	LOC117575006|XP_034114974.1|DALB
OG0000894	LOC110177192|XP_020799446.1|DSER	LOC117573664|XP_034112883.1|DALB
OG0000895	LOC110179750|XP_020803029.1|DSER, LOC110179729|XP_020803008.1|DSER, LOC110179740|XP_020803018.1|DSER	LOC117569175|XP_034106135.1|DALB, LOC117566582|XP_034102015.1|DALB
OG0000896	LOC110179542|XP_020802781.1|DSER	LOC117564767|XP_034099560.1|DALB
OG0000897	LOC110186216|XP_020810938.1|DSER	LOC117574931|XP_034114871.1|DALB
OG0000897	LOC110186217|XP_020810939.1|DSER	LOC117575471|XP_034115579.1|DALB
OG0000898	LOC110181308|XP_020804691.1|DSER, LOC110178240|XP_020800953.1|DSER	LOC117563873|XP_034098322.1|DALB, LOC117567227|XP_034102949.1|DALB, LOC117570101|XP_034107448.1|DALB
OG0000899	LOC110185903|XP_020810575.1|DSER, LOC110185828|XP_020810497.1|DSER, LOC110181221|XP_020804574.1|DSER, LOC110185850|XP_020810520.1|DSER, LOC110185839|XP_020810510.1|DSER, LOC110184754|XP_020809046.1|DSER	LOC117575903|XP_034116239.1|DALB
OG0000900	LOC110181215|XP_020804563.1|DSER	LOC117566584|XP_034102017.1|DALB
OG0000900	LOC110179162|XP_020802219.1|DSER	LOC117569985|XP_034107255.1|DALB
OG0000901	LOC110177783|XP_020800311.1|DSER, LOC110177818|XP_020800367.1|DSER	LOC117566776|XP_034102209.1|DALB, LOC117566777|XP_034102210.1|DALB
OG0000902	LOC110184546|XP_020808780.1|DSER	LOC117569181|XP_034106144.1|DALB
OG0000902	LOC110184571|XP_020808804.1|DSER	LOC117578119|XP_034119194.1|DALB
OG0000904	LOC110182764|XP_020806540.1|DSER, LOC110182766|XP_020806541.1|DSER, LOC110182783|XP_020806568.1|DSER	LOC117571846|XP_034110126.1|DALB, LOC117571848|XP_034110130.1|DALB
OG0000906	LOC110178768|XP_020801670.1|DSER	LOC117569193|XP_034106152.1|DALB
OG0000906	LOC110180329|XP_020803650.1|DSER	LOC117569191|XP_034106151.1|DALB, LOC117569194|XP_034106153.1|DALB
OG0000907	LOC110191514|XP_020818040.1|DSER	LOC117567700|XP_034103722.1|DALB
OG0000909	LOC110188066|XP_020813276.1|DSER	LOC117575793|XP_034116060.1|DALB
OG0000911	LOC110182053|XP_020805668.1|DSER, LOC110190550|XP_020816764.1|DSER	LOC117569329|XP_034106350.1|DALB
OG0000912	LOC110179982|XP_020803231.1|DSER	LOC117571931|XP_034110310.1|DALB
OG0000913	LOC110190681|XP_020816950.1|DSER	LOC117567402|XP_034103252.1|DALB
OG0000915	LOC110176347|XP_020798334.1|DSER	LOC117568462|XP_034105030.1|DALB
OG0000916	LOC110176819|XP_020798927.1|DSER	LOC117565140|XP_034100003.1|DALB
OG0000917	LOC110187781|XP_020812914.1|DSER	LOC117573932|XP_034113348.1|DALB
OG0000917	LOC110184978|XP_020809287.1|DSER	LOC117566187|XP_034101596.1|DALB
OG0000918	LOC110183429|XP_020807369.1|DSER, LOC110179401|XP_020802584.1|DSER, LOC110181166|XP_020804499.1|DSER	LOC117566068|XP_034101417.1|DALB
OG0000920	LOC110176007|XP_020797871.1|DSER	LOC117578265|XP_034119578.1|DALB
OG0000922	LOC110183692|XP_020807690.1|DSER	LOC117566843|XP_034102322.1|DALB
OG0000923	LOC110178928|XP_020801878.1|DSER, LOC110187921|XP_020813091.1|DSER	LOC117574976|XP_034114933.1|DALB
OG0000924	LOC110178852|XP_020801770.1|DSER	LOC117569933|XP_034107186.1|DALB
OG0000925	LOC110186884|XP_020811843.1|DSER	LOC117576127|XP_034116577.1|DALB
OG0000926	LOC110191915|XP_020818559.1|DSER	LOC117574374|XP_034114098.1|DALB
OG0000926	LOC110191835|XP_020818459.1|DSER	LOC117574600|XP_034114378.1|DALB
OG0000927	LOC110186825|XP_020811771.1|DSER	LOC117573509|XP_034112629.1|DALB
OG0000927	LOC110186603|XP_020811493.1|DSER	LOC117573508|XP_034112628.1|DALB
OG0000928	LOC110181418|XP_020804818.1|DSER, LOC110179867|XP_020803126.1|DSER, LOC110181438|XP_020804840.1|DSER, LOC110179869|XP_020803128.1|DSER	LOC117563587|XP_034097864.1|DALB, LOC117563589|XP_034097865.1|DALB, LOC117563209|XP_034097289.1|DALB
OG0000929	LOC110184904|XP_020809209.1|DSER	LOC117563995|XP_034098476.1|DALB
OG0000929	LOC110184903|XP_020809207.1|DSER	LOC117563996|XP_034098477.1|DALB
OG0000930	LOC110190660|XP_020816920.1|DSER, LOC110190770|XP_020817060.1|DSER, LOC110190732|XP_020817013.1|DSER	LOC117571734|XP_034109944.1|DALB
OG0000931	LOC110177956|XP_020800605.1|DSER	LOC117571251|XP_034109196.1|DALB
OG0000931	LOC110185849|XP_020810516.1|DSER	LOC117563946|XP_034098408.1|DALB
OG0000932	LOC110178565|XP_020801396.1|DSER	LOC117564370|XP_034098978.1|DALB, LOC117564667|XP_034099422.1|DALB
OG0000933	LOC110182975|XP_020806827.1|DSER	LOC117570383|XP_034107869.1|DALB
OG0000933	LOC110182971|XP_020806824.1|DSER	LOC117570384|XP_034107872.1|DALB
OG0000934	LOC110176216|XP_020798154.1|DSER, LOC110180242|XP_020803559.1|DSER	LOC117569622|XP_034106750.1|DALB, LOC117569623|XP_034106751.1|DALB
OG0000935	LOC110184806|XP_020809106.1|DSER	LOC117573817|XP_034113134.1|DALB
OG0000936	LOC110190125|XP_020816107.1|DSER	LOC117575759|XP_034116013.1|DALB
OG0000936	LOC110179559|XP_020802800.1|DSER	LOC117570689|XP_034108386.1|DALB
OG0000938	LOC110187021|XP_020812044.1|DSER	LOC117573958|XP_034113392.1|DALB
OG0000939	LOC110176875|XP_020799010.1|DSER	LOC117564610|XP_034099357.1|DALB
OG0000940	LOC110178024|XP_020800698.1|DSER	LOC117577954|XP_034118888.1|DALB
OG0000940	LOC110178740|XP_020801627.1|DSER	LOC117569688|XP_034106829.1|DALB
OG0000941	LOC110184374|XP_020808532.1|DSER	LOC117577589|XP_034118324.1|DALB
OG0000942	LOC110189909|XP_020815833.1|DSER	LOC117566829|XP_034102289.1|DALB
OG0000943	LOC110180258|XP_020803573.1|DSER	LOC117567542|XP_034103480.1|DALB
OG0000944	LOC110179445|XP_020802650.1|DSER	LOC117577556|XP_034118280.1|DALB
OG0000945	LOC110178660|XP_020801515.1|DSER, LOC110178661|XP_020801516.1|DSER	LOC117567513|XP_034103449.1|DALB
OG0000946	LOC110176806|XP_020798903.1|DSER	LOC117571608|XP_034109716.1|DALB, LOC117571681|XP_034109813.1|DALB, LOC117564716|XP_034099489.1|DALB
OG0000947	LOC110191660|XP_020818217.1|DSER	LOC117571451|XP_034109489.1|DALB
OG0000948	LOC110177609|XP_020800067.1|DSER	LOC117572178|XP_034110721.1|DALB
OG0000949	LOC110182551|XP_020806256.1|DSER	LOC117565923|XP_034101190.1|DALB, LOC117565933|XP_034101213.1|DALB
OG0000950	LOC110180105|XP_020803396.1|DSER	LOC117578179|XP_034119384.1|DALB
OG0000950	LOC110188413|XP_020813796.1|DSER	LOC117576214|XP_034116710.1|DALB
OG0000951	LOC110189023|XP_020814646.1|DSER	LOC117576018|XP_034116417.1|DALB
OG0000952	LOC110184999|XP_020809312.1|DSER	LOC117563833|XP_034098252.1|DALB
OG0000954	LOC110189617|XP_020815415.1|DSER	LOC117572679|XP_034111603.1|DALB, LOC117568521|XP_034105114.1|DALB, LOC117572680|XP_034111604.1|DALB, LOC117572678|XP_034111602.1|DALB, LOC117568611|XP_034105263.1|DALB, LOC117572681|XP_034111606.1|DALB
OG0000955	LOC110185860|XP_020810531.1|DSER	LOC117573900|XP_034113299.1|DALB
OG0000955	LOC110185870|XP_020810543.1|DSER	LOC117574481|XP_034114209.1|DALB
OG0000956	LOC110188391|XP_020813772.1|DSER	LOC117576792|XP_034117742.1|DALB
OG0000956	LOC110188557|XP_020813975.1|DSER	LOC117576100|XP_034116549.1|DALB
OG0000957	LOC110177927|XP_020800566.1|DSER	LOC117566541|XP_034101973.1|DALB
OG0000958	LOC110188130|XP_020813376.1|DSER, LOC110176075|XP_020797956.1|DSER, LOC110180245|XP_020803561.1|DSER	LOC117568423|XP_034104963.1|DALB
OG0000959	LOC110185232|XP_020809625.1|DSER	LOC117565374|XP_034100334.1|DALB, LOC117574475|XP_034114204.1|DALB
OG0000960	LOC110182189|XP_020805857.1|DSER	LOC117575827|XP_034116122.1|DALB, LOC117576993|XP_034118070.1|DALB, LOC117575902|XP_034116238.1|DALB, LOC117574508|XP_034114258.1|DALB, LOC117575901|XP_034116235.1|DALB, LOC117569004|XP_034105882.1|DALB, LOC117577091|XP_034118083.1|DALB
OG0000961	LOC110189861|XP_020815739.1|DSER	LOC117571816|XP_034110078.1|DALB
OG0000961	LOC110189859|XP_020815737.1|DSER	LOC117571815|XP_034110076.1|DALB
OG0000963	LOC110182642|XP_020806370.1|DSER	LOC117577968|XP_034118914.1|DALB
OG0000964	LOC110176313|XP_020798287.1|DSER	LOC117570877|XP_034108661.1|DALB
OG0000965	LOC110184194|XP_020808284.1|DSER	LOC117576869|XP_034117866.1|DALB
OG0000966	LOC110186607|XP_020811498.1|DSER	LOC117568065|XP_034104314.1|DALB
OG0000968	LOC110187148|XP_020812224.1|DSER	LOC117568512|XP_034105105.1|DALB
OG0000969	LOC110179188|XP_020802261.1|DSER	LOC117567320|XP_034103110.1|DALB
OG0000970	LOC110177435|XP_020799820.1|DSER, LOC110177436|XP_020799822.1|DSER	LOC117573597|XP_034112782.1|DALB
OG0000971	LOC110179782|XP_020803054.1|DSER, LOC110184905|XP_020809210.1|DSER	LOC117564194|XP_034098759.1|DALB
OG0000972	LOC110184722|XP_020809008.1|DSER	LOC117567498|XP_034103419.1|DALB
OG0000973	LOC110182558|XP_020806269.1|DSER	LOC117570199|XP_034107580.1|DALB
OG0000974	LOC110178643|XP_020801494.1|DSER	LOC117566391|XP_034101790.1|DALB
OG0000975	LOC110186308|XP_020811089.1|DSER	LOC117573970|XP_034113401.1|DALB
OG0000976	LOC110177225|XP_020799505.1|DSER, LOC110177226|XP_020799506.1|DSER	LOC117574839|XP_034114721.1|DALB
OG0000977	LOC110188650|XP_020814086.1|DSER	LOC117573533|XP_034112674.1|DALB
OG0000978	LOC110191641|XP_020818190.1|DSER, LOC110177422|XP_020799799.1|DSER	LOC117573698|XP_034112951.1|DALB
OG0000979	LOC110176012|XP_020797880.1|DSER	LOC117572496|XP_034111238.1|DALB
OG0000980	LOC110191195|XP_020817623.1|DSER	LOC117576728|XP_034117640.1|DALB
OG0000981	LOC110183369|XP_020807290.1|DSER	LOC117565479|XP_034100475.1|DALB
OG0000982	LOC110186816|XP_020811761.1|DSER	LOC117575424|XP_034115515.1|DALB
OG0000984	LOC110185886|XP_020810557.1|DSER	LOC117563897|XP_034098349.1|DALB
OG0000985	LOC110190929|XP_020817252.1|DSER	LOC117567459|XP_034103365.1|DALB
OG0000985	LOC110190930|XP_020817253.1|DSER	LOC117568882|XP_034105673.1|DALB
OG0000986	LOC110185026|XP_020809337.1|DSER	LOC117565557|XP_034100616.1|DALB
OG0000987	LOC110183765|XP_020807780.1|DSER	LOC117564830|XP_034099646.1|DALB
OG0000988	LOC110177967|XP_020800618.1|DSER	LOC117565941|XP_034101218.1|DALB
OG0000990	LOC110180127|XP_020803426.1|DSER	LOC117578241|XP_034119552.1|DALB
OG0000991	LOC110191984|XP_020818670.1|DSER	LOC117577906|XP_034118798.1|DALB
OG0000992	LOC110191607|XP_020818153.1|DSER, LOC110191103|XP_020817509.1|DSER	LOC117573420|XP_034112517.1|DALB
OG0000993	LOC110186182|XP_020810900.1|DSER, LOC110186175|XP_020810887.1|DSER	LOC117575298|XP_034115339.1|DALB
OG0000994	LOC110181872|XP_020805454.1|DSER	LOC117577746|XP_034118548.1|DALB
OG0000995	LOC110189848|XP_020815722.1|DSER	LOC117567794|XP_034103912.1|DALB
OG0000996	LOC110178273|XP_020800998.1|DSER	LOC117569493|XP_034106565.1|DALB
OG0000997	LOC110189343|XP_020815045.1|DSER	LOC117570903|XP_034108698.1|DALB
OG0000998	LOC110184497|XP_020808710.1|DSER	LOC117572254|XP_034110833.1|DALB
OG0000999	LOC110177966|XP_020800616.1|DSER, LOC110183542|XP_020807500.1|DSER	LOC117565821|XP_034101016.1|DALB
OG0001000	LOC110188914|XP_020814494.1|DSER	LOC117567199|XP_034102918.1|DALB
OG0001001	LOC110177734|XP_020800246.1|DSER	LOC117569255|XP_034106219.1|DALB
OG0001002	LOC110178122|XP_020800801.1|DSER	LOC117565196|XP_034100091.1|DALB
OG0001003	LOC110185350|XP_020809787.1|DSER, LOC110177019|XP_020799191.1|DSER	LOC117575955|XP_034116324.1|DALB
OG0001004	LOC110187940|XP_020813114.1|DSER	LOC117575813|XP_034116097.1|DALB
OG0001005	LOC110181430|XP_020804832.1|DSER, LOC110181815|XP_020805366.1|DSER	LOC117570208|XP_034107592.1|DALB
OG0001006	LOC110188543|XP_020813959.1|DSER, LOC110179033|XP_020802046.1|DSER	LOC117571697|XP_034109882.1|DALB
OG0001007	LOC110179412|XP_020802599.1|DSER	LOC117573232|XP_034112174.1|DALB, LOC117568272|XP_034104654.1|DALB
OG0001008	LOC110176491|XP_020798524.1|DSER, LOC110184258|XP_020808381.1|DSER	LOC117567040|XP_034102641.1|DALB, LOC117576153|XP_034116621.1|DALB
OG0001009	LOC110191050|XP_020817434.1|DSER	LOC117575770|XP_034116027.1|DALB
