Orthogroup	DSER.longest_only	CQUI.longest_only
OG0001046	LOC110191181|XP_020817606.1|DSER	LOC6037425|XP_001847339.1|CQUI
OG0001047	LOC110176237|XP_020798197.1|DSER, LOC110180086|XP_020803372.1|DSER, LOC110179213|XP_020802306.1|DSER	LOC6052938|XP_001869113.1|CQUI
OG0001048	LOC110177668|XP_020800149.1|DSER	LOC6030972|XP_001841824.2|CQUI, LOC6037859|XP_038106191.1|CQUI, LOC6036643|XP_038113731.1|CQUI
OG0001049	LOC110182684|XP_020806435.1|DSER, LOC110190262|XP_020816286.1|DSER	LOC6043980|XP_038117725.1|CQUI
OG0001050	LOC110187589|XP_020812637.1|DSER, LOC110183595|XP_020807568.1|DSER	LOC6033574|XP_038117779.1|CQUI
OG0001051	LOC110177900|XP_020800528.1|DSER	LOC6044460|XP_038112405.1|CQUI
OG0001052	LOC110183831|XP_020807843.1|DSER	LOC6034904|XP_038107542.1|CQUI
OG0001053	LOC110176117|XP_020798013.1|DSER	LOC6040511|XP_038120753.1|CQUI
OG0001054	LOC110177291|XP_020799612.1|DSER, LOC110177292|XP_020799613.1|DSER	LOC6046359|XP_001863576.2|CQUI
OG0001055	LOC110186865|XP_020811817.1|DSER, LOC110186425|XP_020811266.1|DSER	LOC6046753|XP_038118273.1|CQUI
OG0001056	LOC110190878|XP_020817194.1|DSER, LOC110179638|XP_020802909.1|DSER	LOC6034033|XP_038120245.1|CQUI
OG0001057	LOC110181079|XP_020804407.1|DSER, LOC110183748|XP_020807763.1|DSER	LOC6039782|XP_001849304.1|CQUI
OG0001058	LOC110179596|XP_020802854.1|DSER, LOC110179597|XP_020802855.1|DSER, LOC110176000|XP_020797858.1|DSER, LOC110184134|XP_020808201.1|DSER, LOC110179617|XP_020802884.1|DSER, LOC110176107|XP_020798005.1|DSER, LOC110175999|XP_020797856.1|DSER, LOC110176058|XP_020797931.1|DSER, LOC110181617|XP_020805080.1|DSER, LOC110181619|XP_020805082.1|DSER, LOC110181620|XP_020805087.1|DSER, LOC110181217|XP_020804564.1|DSER, LOC110181219|XP_020804565.1|DSER, LOC110180178|XP_020803498.1|DSER, LOC110180084|XP_020803368.1|DSER, LOC110179521|XP_020802757.1|DSER	LOC6031449|XP_038109731.1|CQUI
OG0001072	LOC110182209|XP_020805895.1|DSER	LOC6047035|XP_001864144.1|CQUI
OG0001073	LOC110186981|XP_020811993.1|DSER	LOC6040802|XP_038122600.1|CQUI
OG0001074	LOC110179292|XP_020802475.1|DSER	LOC6040958|XP_001850279.1|CQUI
OG0001077	LOC110184788|XP_020809086.1|DSER, LOC110180480|XP_020803823.1|DSER, LOC110179986|XP_020803235.1|DSER	LOC6037330|XP_001847254.1|CQUI
OG0001078	LOC110181859|XP_020805437.1|DSER	LOC6032040|XP_001842707.2|CQUI, LOC6048058|XP_001865029.2|CQUI
OG0001079	LOC110183567|XP_020807532.1|DSER	LOC6051664|XP_001868064.2|CQUI
OG0001080	LOC110188394|XP_020813775.1|DSER	LOC6041053|XP_001850364.2|CQUI
OG0001081	LOC110188255|XP_020813599.1|DSER	LOC6041039|XP_001850350.2|CQUI, LOC6042831|XP_001870828.1|CQUI
OG0001082	LOC110182906|XP_020806724.1|DSER	LOC6043330|XP_038119590.1|CQUI
OG0001083	LOC110187069|XP_020812118.1|DSER, LOC110190515|XP_020816706.1|DSER	LOC6031062|XP_038119861.1|CQUI
OG0001084	LOC110189244|XP_020814906.1|DSER	LOC6042294|XP_038114789.1|CQUI, LOC6047368|XP_038115486.1|CQUI
OG0001085	LOC110189390|XP_020815099.1|DSER	LOC6042005|XP_038115817.1|CQUI
OG0001086	LOC110191634|XP_020818184.1|DSER	LOC6036258|XP_001846326.2|CQUI
OG0001088	LOC110190671|XP_020816935.1|DSER	LOC6040518|XP_001849904.2|CQUI, LOC6033568|XP_038117163.1|CQUI, LOC6049750|XP_038119401.1|CQUI
OG0001089	LOC110183572|XP_020807539.1|DSER	LOC6037275|XP_038117998.1|CQUI
OG0001090	LOC110178624|XP_020801468.1|DSER	LOC6034576|XP_038120156.1|CQUI, LOC6034579|XP_038120153.1|CQUI, LOC6034580|XP_038120154.1|CQUI
OG0001092	LOC110185798|XP_020810460.1|DSER	LOC6036149|XP_038109368.1|CQUI
OG0001093	LOC110186006|XP_020810699.1|DSER	LOC6036146|XP_001846236.2|CQUI
OG0001094	LOC110185938|XP_020810612.1|DSER	LOC6031336|XP_038112557.1|CQUI
OG0001095	LOC110177854|XP_020800460.1|DSER	LOC6049911|XP_001866601.1|CQUI, LOC6049910|XP_038111983.1|CQUI, LOC6049913|XP_001866603.1|CQUI
OG0001096	LOC110187519|XP_020812573.1|DSER, LOC110187490|XP_020812539.1|DSER, LOC110179885|XP_020803145.1|DSER	LOC6031955|XP_038113300.1|CQUI, LOC6031954|XP_038108739.1|CQUI
OG0001097	LOC110184028|XP_020808051.1|DSER, LOC110184029|XP_020808052.1|DSER, LOC110182849|XP_020806643.1|DSER	LOC6031863|XP_038109276.1|CQUI
OG0001099	LOC110189944|XP_020815890.1|DSER, LOC110190067|XP_020816032.1|DSER	LOC6040335|XP_001849740.2|CQUI
OG0001100	LOC110188035|XP_020813231.1|DSER	LOC6052097|XP_038112579.1|CQUI
OG0001101	LOC110182198|XP_020805874.1|DSER	LOC6037726|XP_038113843.1|CQUI
OG0001102	LOC110185321|XP_020809746.1|DSER	LOC6040098|XP_038110990.1|CQUI, LOC6040089|XP_038110333.1|CQUI
OG0001103	LOC110191011|XP_020817388.1|DSER	LOC6040179|XP_001849630.2|CQUI, LOC6040178|XP_038112931.1|CQUI, LOC6040177|XP_001849628.2|CQUI
OG0001104	LOC110178278|XP_020801006.1|DSER	LOC6051930|XP_001868284.2|CQUI
OG0001105	LOC110175972|XP_020797825.1|DSER	LOC6036714|XP_001846718.1|CQUI
OG0001106	LOC110185475|XP_020809997.1|DSER	LOC6047766|XP_038112893.1|CQUI, LOC6047173|XP_038113034.1|CQUI
OG0001118	LOC110189172|XP_020814802.1|DSER	LOC6053773|XP_001869802.1|CQUI
OG0001119	LOC110183954|XP_020807971.1|DSER	LOC6040361|XP_038114062.1|CQUI, LOC6048162|XP_038104643.1|CQUI
OG0001120	LOC110190896|XP_020817214.1|DSER	LOC6033952|XP_038104598.1|CQUI, LOC6033958|XP_038105273.1|CQUI
OG0001122	LOC110178657|XP_020801507.1|DSER	LOC6047533|XP_038119301.1|CQUI
OG0001124	LOC110191214|XP_020817639.1|DSER	LOC6044079|XP_038120683.1|CQUI
OG0001125	LOC110188383|XP_020813761.1|DSER	LOC6039443|XP_001849053.2|CQUI
OG0001126	LOC110176234|XP_020798187.1|DSER	LOC6049107|XP_038118915.1|CQUI
OG0001127	LOC110178887|XP_020801819.1|DSER	LOC6052725|XP_001868949.2|CQUI, LOC6034690|XP_001844974.2|CQUI
OG0001128	LOC110177911|XP_020800541.1|DSER	LOC6030950|XP_038115818.1|CQUI, LOC6040847|XP_038111443.1|CQUI
OG0001129	LOC110185865|XP_020810533.1|DSER	LOC6041308|XP_038109340.1|CQUI
OG0001130	LOC110183191|XP_020807053.1|DSER	LOC6046734|XP_001863893.2|CQUI
OG0001131	LOC110185470|XP_020809985.1|DSER	LOC6044602|XP_038107721.1|CQUI, LOC6042975|XP_038110225.1|CQUI, LOC6044604|XP_038107498.1|CQUI
OG0001133	LOC110180308|XP_020803621.1|DSER, LOC110182695|XP_020806449.1|DSER	LOC6043724|XP_038111216.1|CQUI
OG0001134	LOC110178469|XP_020801271.1|DSER	LOC6033084|XP_038114885.1|CQUI, LOC119767284|XP_038111486.1|CQUI, LOC119768949|XP_038116716.1|CQUI
OG0001135	LOC110191174|XP_020817596.1|DSER	LOC6034993|XP_038120309.1|CQUI, LOC6039748|XP_001849295.2|CQUI
OG0001136	LOC110186892|XP_020811850.1|DSER	LOC6050340|XP_038118633.1|CQUI
OG0001137	LOC110186364|XP_020811172.1|DSER	LOC6050281|XP_001866914.2|CQUI
OG0001138	LOC110188494|XP_020813883.1|DSER	LOC6044622|XP_038109992.1|CQUI
OG0001139	LOC110177508|XP_020799921.1|DSER	LOC6034191|XP_001844546.2|CQUI
OG0001153	LOC110191482|XP_020818005.1|DSER	LOC6047706|XP_038117452.1|CQUI
OG0001154	LOC110187359|XP_020812409.1|DSER	LOC6031240|XP_038109888.1|CQUI, LOC6044142|XP_038112928.1|CQUI
OG0001155	LOC110187109|XP_020812177.1|DSER	LOC119771163|XP_038122554.1|CQUI
OG0001157	LOC110184882|XP_020809190.1|DSER	LOC6031419|XP_001842227.2|CQUI
OG0001158	LOC110187418|XP_020812466.1|DSER	LOC6038004|XP_001847851.2|CQUI
OG0001159	LOC110186958|XP_020811958.1|DSER	LOC6047617|XP_038105916.1|CQUI
OG0001160	LOC110188410|XP_020813797.1|DSER	LOC6035059|XP_038105567.1|CQUI, LOC119765010|XP_001845295.2|CQUI
OG0001162	LOC110185498|XP_020810055.1|DSER	LOC6037355|XP_038105872.1|CQUI
OG0001164	LOC110187971|XP_020813150.1|DSER	LOC6053766|XP_038105500.1|CQUI, LOC6042425|XP_038104494.1|CQUI
OG0001165	LOC110178508|XP_020801316.1|DSER	LOC6040940|XP_001850268.2|CQUI
OG0001167	LOC110178257|XP_020800970.1|DSER	LOC6053462|XP_038118279.1|CQUI
OG0001168	LOC110191628|XP_020818176.1|DSER	LOC119769703|XP_038119060.1|CQUI
OG0001169	LOC110184292|XP_020808436.1|DSER	LOC6050237|XP_038120378.1|CQUI, LOC6050236|XP_001866875.2|CQUI, LOC6046275|XP_001863502.2|CQUI
OG0001171	LOC110190349|XP_020816409.1|DSER, LOC110190076|XP_020816041.1|DSER	LOC6038611|XP_038115237.1|CQUI
OG0001172	LOC110178488|XP_020801292.1|DSER	LOC6040017|XP_038120821.1|CQUI
OG0001173	LOC110186390|XP_020811209.1|DSER	LOC6044092|XP_001861654.2|CQUI, LOC6039973|XP_038108775.1|CQUI, LOC6034249|XP_038113447.1|CQUI, LOC6048284|XP_001865224.1|CQUI
OG0001174	LOC110184681|XP_020808953.1|DSER	LOC6030890|XP_001841766.1|CQUI
OG0001175	LOC110190945|XP_020817278.1|DSER	LOC6041411|XP_001850674.1|CQUI
OG0001176	LOC110189215|XP_020814846.1|DSER	LOC6032450|XP_038112002.1|CQUI
OG0001177	LOC110184819|XP_020809119.1|DSER	LOC6033652|XP_038114034.1|CQUI
OG0001178	LOC110182997|XP_020806848.1|DSER	LOC6033262|XP_038111957.1|CQUI
OG0001179	LOC110179311|XP_020802455.1|DSER	LOC6036453|XP_038114387.1|CQUI
OG0001180	LOC110185430|XP_020809909.1|DSER	LOC6033626|XP_038112234.1|CQUI
OG0001181	LOC110176209|XP_020798132.1|DSER	LOC6046070|XP_038119931.1|CQUI
OG0001182	LOC110185043|XP_020809358.1|DSER	LOC6051010|XP_038121521.1|CQUI, LOC6051011|XP_038115128.1|CQUI
OG0001183	LOC110186583|XP_020811456.1|DSER	LOC6050625|XP_038121048.1|CQUI
OG0001185	LOC110188193|XP_020813445.1|DSER, LOC110188191|XP_020813430.1|DSER	LOC6047138|XP_038115095.1|CQUI
OG0001186	LOC110184532|XP_020808771.1|DSER	LOC6041144|XP_001850444.1|CQUI
OG0001187	LOC110190345|XP_020816445.1|DSER	LOC6033407|XP_038110520.1|CQUI, LOC6033409|XP_001843862.2|CQUI
OG0001188	LOC110182476|XP_020806184.1|DSER	LOC6043678|XP_001861307.2|CQUI, LOC6043677|XP_001861306.2|CQUI
OG0001189	LOC110179310|XP_020802458.1|DSER	LOC6044185|XP_038112058.1|CQUI, LOC6032264|XP_038112626.1|CQUI
OG0001190	LOC110180335|XP_020803653.1|DSER	LOC6035971|XP_001846078.2|CQUI, LOC6035970|XP_038112722.1|CQUI
OG0001191	LOC110183786|XP_020807802.1|DSER	LOC6040784|XP_038113888.1|CQUI, LOC6054211|XP_038113931.1|CQUI
OG0001192	LOC110185723|XP_020810364.1|DSER	LOC6039652|XP_038112370.1|CQUI
OG0001193	LOC110177158|XP_020799402.1|DSER	LOC119771227|XP_038122924.1|CQUI, LOC6052191|XP_038104147.1|CQUI, LOC6044486|XP_001861998.2|CQUI, LOC6038340|XP_001848155.1|CQUI
OG0001194	LOC110182835|XP_020806627.1|DSER	LOC6042351|XP_001851478.1|CQUI
OG0001195	LOC110177613|XP_020800076.1|DSER	LOC119767685|XP_038112768.1|CQUI
OG0001201	LOC110186280|XP_020811053.1|DSER	LOC6050447|XP_001867055.2|CQUI
OG0001202	LOC110180344|XP_020803665.1|DSER	LOC6038175|XP_038104882.1|CQUI, LOC6038173|XP_001848004.2|CQUI, LOC6038176|XP_001848007.2|CQUI
OG0001203	LOC110185435|XP_020809918.1|DSER	LOC6038320|XP_038122940.1|CQUI, LOC6038329|XP_038110286.1|CQUI
OG0001204	LOC110185637|XP_020810253.1|DSER	LOC6053090|XP_001869239.2|CQUI, LOC6054712|XP_038106720.1|CQUI, LOC6033906|XP_038106238.1|CQUI, LOC6039955|XP_038115960.1|CQUI, LOC6039125|XP_038113258.1|CQUI, LOC6039327|XP_001848955.2|CQUI
OG0001205	LOC110177265|XP_020799575.1|DSER	LOC6052900|XP_001869076.2|CQUI
OG0001206	LOC110188679|XP_020814141.1|DSER	LOC6049919|XP_038114189.1|CQUI
OG0001207	LOC110184356|XP_020808509.1|DSER	LOC6035127|XP_038117837.1|CQUI
OG0001208	LOC110179065|XP_020802086.1|DSER	LOC6044973|XP_038105992.1|CQUI
OG0001209	LOC110187828|XP_020812966.1|DSER	LOC6051353|XP_038122782.1|CQUI
OG0001210	LOC110181932|XP_020805526.1|DSER	LOC6052130|XP_038104165.1|CQUI, LOC6050694|XP_038104085.1|CQUI
OG0001211	LOC110188460|XP_020813849.1|DSER	LOC6034927|XP_001845192.2|CQUI
OG0001212	LOC110183232|XP_020807106.1|DSER	LOC6031554|XP_001842338.2|CQUI, LOC6031553|XP_001842337.1|CQUI, LOC6049227|XP_001866023.2|CQUI, LOC119770564|XP_038121603.1|CQUI, LOC6049222|XP_001866022.2|CQUI
OG0001213	LOC110188588|XP_020814009.1|DSER	LOC6039669|XP_001849233.2|CQUI, LOC6039670|XP_001849234.2|CQUI
OG0001214	LOC110177301|XP_020799625.1|DSER	LOC6037486|XP_001847396.2|CQUI
OG0001215	LOC110189040|XP_020814671.1|DSER	LOC6045600|XP_038104162.1|CQUI, LOC6045598|XP_038105791.1|CQUI
OG0001216	LOC110186167|XP_020810879.1|DSER	LOC6045604|XP_038104859.1|CQUI, LOC6045606|XP_038106016.1|CQUI
OG0001217	LOC110185069|XP_020809408.1|DSER	LOC6042395|XP_001851520.2|CQUI
OG0001218	LOC110191013|XP_020817390.1|DSER	LOC6040898|XP_001850226.1|CQUI
OG0001220	LOC110189573|XP_020815362.1|DSER	LOC6045532|XP_001862887.1|CQUI, LOC119769797|XP_038119366.1|CQUI
OG0001221	LOC110182910|XP_020806728.1|DSER	LOC6043322|XP_038116069.1|CQUI
OG0001223	LOC110176670|XP_020798763.1|DSER	LOC6036538|XP_038119459.1|CQUI
OG0001224	LOC110176761|XP_020798869.1|DSER	LOC6036744|XP_001846743.1|CQUI
OG0001225	LOC110180045|XP_020803317.1|DSER	LOC6033514|XP_038117574.1|CQUI, LOC6033515|XP_001843955.2|CQUI
OG0001226	LOC110179328|XP_020802479.1|DSER	LOC6030868|XP_038117520.1|CQUI
OG0001227	LOC110182673|XP_020806413.1|DSER, LOC110180309|XP_020803622.1|DSER	LOC6037379|XP_038112500.1|CQUI
OG0001228	LOC110179641|XP_020802912.1|DSER	LOC6050448|XP_001867052.2|CQUI
OG0001229	LOC110185535|XP_020810101.1|DSER	LOC6033208|XP_038108952.1|CQUI
OG0001230	LOC110182355|XP_020806057.1|DSER	LOC6042866|XP_038109988.1|CQUI
OG0001233	LOC110176905|XP_020799051.1|DSER	LOC6034829|XP_038112300.1|CQUI
OG0001234	LOC110188933|XP_020814530.1|DSER, LOC110176381|XP_020798371.1|DSER, LOC110178517|XP_020801328.1|DSER	LOC6036123|XP_001846216.1|CQUI
OG0001235	LOC110178124|XP_020800804.1|DSER	LOC119766514|XP_038107036.1|CQUI, LOC6033616|XP_001844043.2|CQUI, LOC6033618|XP_001844045.2|CQUI
OG0001236	LOC110184617|XP_020808869.1|DSER	LOC6046075|XP_001863329.2|CQUI
OG0001237	LOC110188234|XP_020813550.1|DSER	LOC6040473|XP_038114997.1|CQUI
OG0001238	LOC110186135|XP_020810840.1|DSER	LOC6043265|XP_038121140.1|CQUI
OG0001240	LOC110186155|XP_020810864.1|DSER	LOC6045142|XP_001862540.2|CQUI, LOC6045143|XP_001862541.2|CQUI
OG0001241	LOC110178227|XP_020800935.1|DSER	LOC6046394|XP_038116205.1|CQUI
OG0001242	LOC110185597|XP_020810195.1|DSER, LOC110181928|XP_020805523.1|DSER	LOC6032717|XP_001843269.1|CQUI
OG0001244	LOC110176507|XP_020798539.1|DSER	LOC6051908|XP_001868265.2|CQUI
OG0001245	LOC110188646|XP_020814083.1|DSER	LOC6039632|XP_038111436.1|CQUI, LOC6039633|XP_038111530.1|CQUI, LOC6039631|XP_038106272.1|CQUI, LOC6053173|XP_038106273.1|CQUI
OG0001246	LOC110191492|XP_020818015.1|DSER	LOC6046496|XP_038112281.1|CQUI, LOC119767076|XP_038110479.1|CQUI, LOC6046495|XP_001863681.2|CQUI
OG0001247	LOC110189412|XP_020815126.1|DSER	LOC6036721|XP_038108755.1|CQUI
OG0001248	LOC110190488|XP_020816663.1|DSER	LOC6047152|XP_038112085.1|CQUI
OG0001249	LOC110182831|XP_020806623.1|DSER	LOC6037219|XP_038111368.1|CQUI
OG0001257	LOC110185455|XP_020809950.1|DSER	LOC6038325|XP_038121277.1|CQUI
OG0001259	LOC110178561|XP_020801392.1|DSER	LOC6052314|XP_001868608.2|CQUI, LOC119767551|XP_038112327.1|CQUI
OG0001260	LOC110188452|XP_020813840.1|DSER, LOC110188355|XP_020813722.1|DSER	LOC6047698|XP_001864721.2|CQUI, LOC6047703|XP_038122417.1|CQUI
OG0001261	LOC110190230|XP_020816250.1|DSER, LOC110176049|XP_020797922.1|DSER	LOC6036966|XP_038105068.1|CQUI
OG0001263	LOC110188014|XP_020813197.1|DSER	LOC6047408|XP_038111894.1|CQUI
OG0001264	LOC110178214|XP_020800915.1|DSER	LOC6031873|XP_038111151.1|CQUI
OG0001265	LOC110182507|XP_020806217.1|DSER	LOC6034456|XP_038105093.1|CQUI
OG0001266	LOC110176927|XP_020799086.1|DSER	LOC6035643|XP_001845783.2|CQUI
OG0001267	LOC110188013|XP_020813196.1|DSER	LOC6051047|XP_038122925.1|CQUI, LOC6044839|XP_038105651.1|CQUI
OG0001269	LOC110180732|XP_020804073.1|DSER, LOC110180266|XP_020803581.1|DSER	LOC6034952|XP_001845211.1|CQUI
OG0001270	LOC110177268|XP_020799579.1|DSER	LOC119767815|XP_038113307.1|CQUI, LOC6037485|XP_038104290.1|CQUI
OG0001271	LOC110178003|XP_020800662.1|DSER	LOC6043921|XP_001861500.2|CQUI, LOC6043922|XP_001861501.1|CQUI
OG0001272	LOC110188883|XP_020814459.1|DSER	LOC6038800|XP_038115010.1|CQUI
OG0001273	LOC110188047|XP_020813255.1|DSER	LOC6044636|XP_001862124.1|CQUI, LOC6047353|XP_001864428.2|CQUI, LOC119767645|XP_038112581.1|CQUI, LOC6047352|XP_038106332.1|CQUI
OG0001274	LOC110178986|XP_020801960.1|DSER	LOC6048052|XP_038120536.1|CQUI
OG0001276	LOC110183641|XP_020807621.1|DSER	LOC6041249|XP_001850539.2|CQUI
OG0001277	LOC110185326|XP_020809757.1|DSER	LOC6037285|XP_038119469.1|CQUI
OG0001278	LOC110190777|XP_020817067.1|DSER	LOC6036217|XP_038115918.1|CQUI
OG0001279	LOC110190634|XP_020816889.1|DSER	LOC6036221|XP_001846296.1|CQUI
OG0001280	LOC110178813|XP_020801731.1|DSER, LOC110178814|XP_020801734.1|DSER, LOC110178718|XP_020801581.1|DSER	LOC6038254|XP_038118225.1|CQUI
OG0001281	LOC110177548|XP_020799976.1|DSER	LOC6034616|XP_038118327.1|CQUI, LOC6052807|XP_001869012.2|CQUI, LOC6052810|XP_038116188.1|CQUI
OG0001282	LOC110186109|XP_020810815.1|DSER	LOC6035619|XP_001845768.2|CQUI, LOC119767190|XP_038111103.1|CQUI
OG0001283	LOC110188939|XP_020814537.1|DSER	LOC6053152|XP_038119033.1|CQUI
OG0001284	LOC110182846|XP_020806637.1|DSER	LOC6032448|XP_001843044.1|CQUI
OG0001285	LOC110183656|XP_020807643.1|DSER	LOC6040540|XP_001849924.2|CQUI, LOC6032470|XP_001843063.1|CQUI
OG0001286	LOC110187276|XP_020812324.1|DSER	LOC6048784|XP_038109129.1|CQUI
OG0001287	LOC110188353|XP_020813720.1|DSER	LOC6041527|XP_001850775.2|CQUI, LOC6042657|XP_001853256.2|CQUI
OG0001288	LOC110178188|XP_020800882.1|DSER	LOC6049426|XP_038107510.1|CQUI
OG0001289	LOC110187458|XP_020812504.1|DSER	LOC6049419|XP_001866187.2|CQUI, LOC6049418|XP_001866186.2|CQUI, LOC6049417|XP_038107259.1|CQUI
OG0001290	LOC110187380|XP_020812427.1|DSER	LOC6048341|XP_038111865.1|CQUI
OG0001291	LOC110191499|XP_020818024.1|DSER	LOC6048800|XP_001865667.2|CQUI
OG0001292	LOC110183703|XP_020807741.1|DSER, LOC110183245|XP_020807129.1|DSER	LOC6037255|XP_038109974.1|CQUI, LOC6037188|XP_038109977.1|CQUI
OG0001293	LOC110181963|XP_020805571.1|DSER	LOC6040512|XP_001849898.1|CQUI
OG0001294	LOC110184142|XP_020808214.1|DSER	LOC6032208|XP_038117537.1|CQUI
OG0001295	LOC110187073|XP_020812122.1|DSER	LOC6034917|XP_001845183.1|CQUI
OG0001296	LOC110189783|XP_020815671.1|DSER	LOC6047495|XP_038119702.1|CQUI
OG0001297	LOC110190384|XP_020816477.1|DSER	LOC6046059|XP_038117659.1|CQUI
OG0001298	LOC110188270|XP_020813618.1|DSER	LOC6051290|XP_038120986.1|CQUI, LOC6045184|XP_038120344.1|CQUI
OG0001299	LOC110185144|XP_020809505.1|DSER	LOC6049643|XP_038121699.1|CQUI, LOC6045696|XP_038115784.1|CQUI
OG0001300	LOC110191216|XP_020817641.1|DSER	LOC6035030|XP_001845275.1|CQUI
OG0001301	LOC110185822|XP_020810488.1|DSER	LOC6039153|XP_001848808.2|CQUI, LOC6039154|XP_001848809.2|CQUI
OG0001302	LOC110191930|XP_020818604.1|DSER	LOC6047583|XP_001864626.2|CQUI
OG0001303	LOC110191212|XP_020817638.1|DSER	LOC6045151|XP_001862551.1|CQUI
OG0001304	LOC110178260|XP_020800981.1|DSER	LOC6051294|XP_038115861.1|CQUI
OG0001305	LOC110177242|XP_020799538.1|DSER	LOC6042960|XP_038116247.1|CQUI
OG0001306	LOC110190363|XP_020816437.1|DSER	LOC6047141|XP_038115120.1|CQUI
OG0001307	LOC110190465|XP_020816633.1|DSER	LOC6045564|XP_038118987.1|CQUI
OG0001308	LOC110183250|XP_020807132.1|DSER	LOC6042267|XP_038118191.1|CQUI
OG0001309	LOC110177283|XP_020799591.1|DSER	LOC6037560|XP_038120045.1|CQUI, LOC6037559|XP_001847457.2|CQUI
OG0001310	LOC110184129|XP_020808196.1|DSER	LOC6047951|XP_038121204.1|CQUI
OG0001311	LOC110182638|XP_020806365.1|DSER	LOC6033402|XP_038108518.1|CQUI, LOC6050205|XP_038104691.1|CQUI
OG0001312	LOC110185195|XP_020809579.1|DSER	LOC6043662|XP_038113256.1|CQUI
OG0001313	LOC110178474|XP_020801275.1|DSER	LOC6042364|XP_001851491.2|CQUI
OG0001314	LOC110185638|XP_020810254.1|DSER	LOC119765376|XP_038105034.1|CQUI, LOC119768586|XP_038114575.1|CQUI, LOC6053091|XP_001869240.2|CQUI, LOC6047348|XP_038113711.1|CQUI, LOC6033905|XP_038106239.1|CQUI
OG0001315	LOC110180451|XP_020803786.1|DSER	LOC6038959|XP_038120814.1|CQUI
OG0001326	LOC110186766|XP_020811687.1|DSER	LOC6035538|XP_001845699.1|CQUI, LOC6040423|XP_038104928.1|CQUI
OG0001328	LOC110181715|XP_020805223.1|DSER	LOC6040979|XP_001850277.2|CQUI
OG0001329	LOC110181481|XP_020804893.1|DSER	LOC6042511|XP_001870667.2|CQUI
OG0001330	LOC110179252|XP_020802369.1|DSER	LOC6051124|XP_038112631.1|CQUI
OG0001331	LOC110182448|XP_020806142.1|DSER	LOC6048186|XP_001865140.2|CQUI, LOC6048182|XP_001865139.2|CQUI
OG0001332	LOC110179723|XP_020803001.1|DSER	LOC6039048|XP_001848726.2|CQUI, LOC6039047|XP_001848725.2|CQUI
OG0001333	LOC110183753|XP_020807768.1|DSER	LOC6045950|XP_038105005.1|CQUI, LOC6045951|XP_038117371.1|CQUI
OG0001334	LOC110186443|XP_020811286.1|DSER	LOC6037928|XP_038116113.1|CQUI, LOC6054650|XP_038122534.1|CQUI
OG0001335	LOC110176574|XP_020798642.1|DSER	LOC6034790|XP_038104487.1|CQUI, LOC6034789|XP_038104575.1|CQUI
OG0001337	LOC110191969|XP_020818643.1|DSER	LOC6051267|XP_038106593.1|CQUI
OG0001338	LOC110179656|XP_020802916.1|DSER	LOC6052081|XP_001868402.1|CQUI
OG0001339	LOC110180030|XP_020803296.1|DSER	LOC6041047|XP_001850358.2|CQUI
OG0001340	LOC110185353|XP_020809791.1|DSER	LOC6035081|XP_001845316.2|CQUI
OG0001341	LOC110190867|XP_020817177.1|DSER	LOC6037322|XP_001847247.2|CQUI
OG0001343	LOC110176656|XP_020798749.1|DSER	LOC6040250|XP_001849691.2|CQUI
OG0001344	LOC110186634|XP_020811552.1|DSER	LOC6049262|XP_038111703.1|CQUI, LOC6049278|XP_038113436.1|CQUI
OG0001345	LOC110188450|XP_020813838.1|DSER	LOC6039603|XP_001849176.2|CQUI, LOC6035067|XP_001845303.1|CQUI
OG0001346	LOC110186545|XP_020811407.1|DSER	LOC119768737|XP_038115561.1|CQUI
OG0001347	LOC110184801|XP_020809095.1|DSER	LOC6037351|XP_001847274.2|CQUI
OG0001348	LOC110186642|XP_020811561.1|DSER	LOC6035324|XP_001845539.2|CQUI
OG0001349	LOC110190514|XP_020816703.1|DSER	LOC6031053|XP_038118485.1|CQUI
OG0001350	LOC110181246|XP_020804609.1|DSER, LOC110181243|XP_020804607.1|DSER, LOC110181245|XP_020804608.1|DSER	LOC6031018|XP_038118484.1|CQUI
OG0001351	LOC110178004|XP_020800663.1|DSER, LOC110178011|XP_020800684.1|DSER	LOC6039262|XP_001848897.2|CQUI
OG0001352	LOC110189271|XP_020814946.1|DSER	LOC6039281|XP_038119488.1|CQUI
OG0001353	LOC110176147|XP_020798043.1|DSER	LOC6047788|XP_001864800.2|CQUI, LOC6044635|XP_001862123.1|CQUI
OG0001354	LOC110181140|XP_020804469.1|DSER, LOC110181101|XP_020804431.1|DSER	LOC6047340|XP_038118747.1|CQUI
OG0001355	LOC110176356|XP_020798347.1|DSER	LOC6041332|XP_001850609.1|CQUI, LOC119768576|XP_038114525.1|CQUI, LOC6041748|XP_001850966.2|CQUI, LOC6045513|XP_001862876.1|CQUI, LOC6046214|XP_001863443.2|CQUI
OG0001356	LOC110187982|XP_020813162.1|DSER	LOC6036243|XP_038119253.1|CQUI, LOC6050488|XP_038120895.1|CQUI
OG0001357	LOC110189116|XP_020814749.1|DSER	LOC6040104|XP_001849570.2|CQUI
OG0001358	LOC110176678|XP_020798774.1|DSER, LOC110185177|XP_020809554.1|DSER	LOC6048059|XP_038118974.1|CQUI
OG0001359	LOC110186033|XP_020810729.1|DSER	LOC6050003|XP_038119402.1|CQUI, LOC6050011|XP_001866683.2|CQUI
