Orthogroup	DSER.longest_only	HILL.longest_only
OG0000253	LOC110191627|XP_020818175.1|DSER, LOC110191643|XP_020818196.1|DSER, LOC110191621|XP_020818168.1|DSER, LOC110191616|XP_020818165.1|DSER, LOC110191629|XP_020818178.1|DSER	LOC119648606|XP_037906303.1|HILL, LOC119648745|XP_037906493.1|HILL, LOC119648744|XP_037906491.1|HILL, LOC119649467|XP_037907552.1|HILL, LOC119649468|XP_037907553.1|HILL, LOC119649263|XP_037907277.1|HILL
OG0000255	LOC110189620|XP_020815418.1|DSER	LOC119655916|XP_037918009.1|HILL
OG0000256	LOC110184065|XP_020808103.1|DSER	LOC119661283|XP_037926488.1|HILL, LOC119661669|XP_037927034.1|HILL, LOC119661186|XP_037926333.1|HILL
OG0000256	LOC110184032|XP_020808063.1|DSER	LOC119653252|XP_037913787.1|HILL, LOC119653253|XP_037913788.1|HILL, LOC119653256|XP_037913792.1|HILL, LOC119653175|XP_037913654.1|HILL, LOC119653168|XP_037913642.1|HILL
OG0000257	LOC110185491|XP_020810045.1|DSER	LOC119655760|XP_037917744.1|HILL
OG0000258	LOC110189661|XP_020815465.1|DSER, LOC110189659|XP_020815463.1|DSER, LOC110189660|XP_020815464.1|DSER	LOC119656999|XP_037919667.1|HILL
OG0000260	LOC110177891|XP_020800521.1|DSER, LOC110186163|XP_020810873.1|DSER, LOC110177937|XP_020800581.1|DSER	LOC119659089|XP_037922930.1|HILL
OG0000261	LOC110187400|XP_020812449.1|DSER, LOC110187398|XP_020812448.1|DSER	LOC119661127|XP_037926254.1|HILL
OG0000262	LOC110184685|XP_020808957.1|DSER, LOC110184684|XP_020808956.1|DSER	LOC119649136|XP_037907069.1|HILL, LOC119649243|XP_037907237.1|HILL
OG0000262	LOC110189285|XP_020814969.1|DSER	LOC119650341|XP_037908940.1|HILL, LOC119646143|XP_037902428.1|HILL
OG0000263	LOC110178332|XP_020801100.1|DSER	LOC119658702|XP_037922223.1|HILL
OG0000263	LOC110184756|XP_020809044.1|DSER	LOC119649510|XP_037907610.1|HILL
OG0000264	LOC110186245|XP_020810973.1|DSER	LOC119647562|XP_037904486.1|HILL
OG0000267	LOC110186401|XP_020811224.1|DSER, LOC110186508|XP_020811362.1|DSER	LOC119657829|XP_037920875.1|HILL, LOC119657821|XP_037920863.1|HILL
OG0000268	LOC110190729|XP_020817012.1|DSER, LOC110190453|XP_020816616.1|DSER	LOC119656880|XP_037919472.1|HILL
OG0000269	LOC110191250|XP_020817689.1|DSER	LOC119658426|XP_037921752.1|HILL, LOC119660431|XP_037924909.1|HILL
OG0000271	LOC110185632|XP_020810247.1|DSER, LOC110190984|XP_020817355.1|DSER	LOC119650559|XP_037909294.1|HILL
OG0000272	LOC110176724|XP_020798825.1|DSER	LOC119648082|XP_037905498.1|HILL
OG0000272	LOC110185477|XP_020810007.1|DSER	LOC119661039|XP_037926141.1|HILL
OG0000273	LOC110191849|XP_020818484.1|DSER, LOC110183291|XP_020807182.1|DSER, LOC110191065|XP_020817453.1|DSER	LOC119659411|XP_037923411.1|HILL
OG0000274	LOC110190539|XP_020816789.1|DSER, LOC110190617|XP_020816908.1|DSER, LOC110187177|XP_020812237.1|DSER, LOC110179189|XP_020802265.1|DSER	LOC119654856|XP_037916366.1|HILL, LOC119657250|XP_037919997.1|HILL, LOC119657249|XP_037919996.1|HILL, LOC119658132|XP_037921329.1|HILL
OG0000276	LOC110177855|XP_020800461.1|DSER, LOC110176939|XP_020799100.1|DSER	LOC119655436|XP_037917257.1|HILL
OG0000279	LOC110190337|XP_020816394.1|DSER, LOC110190205|XP_020816218.1|DSER	LOC119648349|XP_037905974.1|HILL, LOC119651339|XP_037910820.1|HILL, LOC119651606|XP_037911187.1|HILL
OG0000280	LOC110190395|XP_020816507.1|DSER, LOC110190396|XP_020816508.1|DSER, LOC110190394|XP_020816506.1|DSER	LOC119649948|XP_037908300.1|HILL
OG0000281	LOC110178737|XP_020801622.1|DSER, LOC110179112|XP_020802161.1|DSER, LOC110181851|XP_020805420.1|DSER	LOC119648901|XP_037906733.1|HILL
OG0000282	LOC110178644|XP_020801495.1|DSER, LOC110182582|XP_020806287.1|DSER	LOC119648542|XP_037906238.1|HILL
OG0000283	LOC110178344|XP_020801122.1|DSER	LOC119651801|XP_037911514.1|HILL
OG0000283	LOC110186757|XP_020811678.1|DSER	LOC119657390|XP_037920204.1|HILL
OG0000284	LOC110185830|XP_020810495.1|DSER	LOC119652994|XP_037913347.1|HILL
OG0000284	LOC110185802|XP_020810466.1|DSER	LOC119653211|XP_037913708.1|HILL
OG0000285	LOC110184059|XP_020808095.1|DSER	LOC119661769|XP_037927171.1|HILL, LOC119647013|XP_037903679.1|HILL, LOC119646589|XP_037903010.1|HILL, LOC119646308|XP_037902653.1|HILL, LOC119661368|XP_037926613.1|HILL, LOC119657159|XP_037919872.1|HILL, LOC119655559|XP_037917424.1|HILL
OG0000286	LOC110186123|XP_020810831.1|DSER, LOC110186126|XP_020810835.1|DSER	LOC119652118|XP_037911987.1|HILL, LOC119653198|XP_037913689.1|HILL
OG0000287	LOC110181615|XP_020805078.1|DSER, LOC110181616|XP_020805079.1|DSER, LOC110181553|XP_020804995.1|DSER	LOC119661760|XP_037927158.1|HILL, LOC119650310|XP_037908894.1|HILL, LOC119661756|XP_037927154.1|HILL, LOC119661758|XP_037927156.1|HILL, LOC119661761|XP_037927159.1|HILL, LOC119661757|XP_037927155.1|HILL
OG0000289	LOC110190086|XP_020816051.1|DSER, LOC110185271|XP_020809676.1|DSER, LOC110190087|XP_020816052.1|DSER	LOC119649394|XP_037907443.1|HILL, LOC119655333|XP_037917105.1|HILL, LOC119655535|XP_037917377.1|HILL
OG0000292	LOC110177531|XP_020799951.1|DSER	LOC119650309|XP_037908882.1|HILL
OG0000293	LOC110184823|XP_020809130.1|DSER	LOC119651863|XP_037911598.1|HILL, LOC119653005|XP_037913361.1|HILL
OG0000294	LOC110186075|XP_020810770.1|DSER	LOC119660711|XP_037925282.1|HILL
OG0000294	LOC110182064|XP_020805685.1|DSER	LOC119653695|XP_037914493.1|HILL
OG0000296	LOC110185083|XP_020809423.1|DSER, LOC110178762|XP_020801659.1|DSER, LOC110182554|XP_020806263.1|DSER, LOC110191882|XP_020818528.1|DSER	LOC119655576|XP_037917437.1|HILL
OG0000299	LOC110183991|XP_020808010.1|DSER, LOC110184033|XP_020808068.1|DSER, LOC110185254|XP_020809654.1|DSER	LOC119650966|XP_037910149.1|HILL
OG0000300	LOC110178879|XP_020801812.1|DSER, LOC110178878|XP_020801811.1|DSER, LOC110178967|XP_020801931.1|DSER	LOC119649524|XP_037907636.1|HILL, LOC119649059|XP_037906970.1|HILL
OG0000301	LOC110185425|XP_020809898.1|DSER	LOC119660745|XP_037925398.1|HILL
OG0000301	LOC110177021|XP_020799194.1|DSER	LOC119647749|XP_037904835.1|HILL
OG0000302	LOC110189890|XP_020815799.1|DSER, LOC110189891|XP_020815803.1|DSER	LOC119647947|XP_037905238.1|HILL, LOC119647950|XP_037905264.1|HILL, LOC119647948|XP_037905240.1|HILL
OG0000303	LOC110179035|XP_020802048.1|DSER, LOC110181812|XP_020805357.1|DSER, LOC110176908|XP_020799056.1|DSER	LOC119660764|XP_037925458.1|HILL, LOC119659394|XP_037923385.1|HILL
OG0000304	LOC110186994|XP_020812009.1|DSER, LOC110186501|XP_020811354.1|DSER, LOC110186995|XP_020812010.1|DSER	LOC119658827|XP_037922489.1|HILL
OG0000305	LOC110176298|XP_020798277.1|DSER	LOC119648121|XP_037905571.1|HILL
OG0000305	LOC110176264|XP_020798237.1|DSER	LOC119648118|XP_037905569.1|HILL, LOC119658064|XP_037921245.1|HILL, LOC119648122|XP_037905572.1|HILL
OG0000306	LOC110185487|XP_020810019.1|DSER, LOC110179742|XP_020803016.1|DSER, LOC110177947|XP_020800590.1|DSER, LOC110181522|XP_020804956.1|DSER	LOC119656830|XP_037919404.1|HILL
OG0000307	LOC110191435|XP_020817957.1|DSER	LOC119659134|XP_037922987.1|HILL
OG0000307	LOC110177424|XP_020799801.1|DSER	LOC119653191|XP_037913676.1|HILL
OG0000308	LOC110186804|XP_020811745.1|DSER, LOC110178071|XP_020800735.1|DSER, LOC110183860|XP_020807873.1|DSER	LOC119659315|XP_037923260.1|HILL
OG0000309	LOC110190628|XP_020816885.1|DSER, LOC110189989|XP_020815944.1|DSER, LOC110189980|XP_020815931.1|DSER	LOC119655217|XP_037916921.1|HILL
OG0000310	LOC110183227|XP_020807102.1|DSER, LOC110186029|XP_020810723.1|DSER, LOC110186003|XP_020810691.1|DSER, LOC110185817|XP_020810482.1|DSER	LOC119656747|XP_037919234.1|HILL
OG0000311	LOC110177428|XP_020799810.1|DSER, LOC110177207|XP_020799485.1|DSER, LOC110176044|XP_020797914.1|DSER	LOC119657657|XP_037920609.1|HILL
OG0000312	LOC110183747|XP_020807761.1|DSER	LOC119646613|XP_037903043.1|HILL
OG0000312	LOC110178155|XP_020800844.1|DSER	LOC119657839|XP_037920892.1|HILL
OG0000313	LOC110183874|XP_020807886.1|DSER, LOC110185592|XP_020810186.1|DSER	LOC119652119|XP_037911988.1|HILL
OG0000314	LOC110183767|XP_020807782.1|DSER, LOC110183766|XP_020807781.1|DSER	LOC119658937|XP_037922718.1|HILL
OG0000315	LOC110187529|XP_020812582.1|DSER, LOC110179901|XP_020803157.1|DSER, LOC110187514|XP_020812568.1|DSER, LOC110179900|XP_020803156.1|DSER	LOC119660970|XP_037925963.1|HILL
OG0000316	LOC110184082|XP_020808126.1|DSER, LOC110184091|XP_020808134.1|DSER	LOC119652481|XP_037912583.1|HILL, LOC119649734|XP_037907944.1|HILL, LOC119648354|XP_037905994.1|HILL, LOC119649297|XP_037907319.1|HILL, LOC119649023|XP_037906906.1|HILL, LOC119648914|XP_037906748.1|HILL, LOC119648693|XP_037906427.1|HILL
OG0000317	LOC110185808|XP_020810475.1|DSER, LOC110177787|XP_020800314.1|DSER, LOC110177789|XP_020800317.1|DSER, LOC110185756|XP_020810418.1|DSER, LOC110185674|XP_020810302.1|DSER, LOC110185661|XP_020810283.1|DSER	LOC119646248|XP_037902573.1|HILL
OG0000320	LOC110186494|XP_020811348.1|DSER, LOC110177031|XP_020799207.1|DSER, LOC110186461|XP_020811308.1|DSER	LOC119656552|XP_037918846.1|HILL
OG0000321	LOC110183964|XP_020807979.1|DSER, LOC110179932|XP_020803189.1|DSER, LOC110183965|XP_020807980.1|DSER, LOC110179933|XP_020803190.1|DSER	LOC119655812|XP_037917845.1|HILL
OG0000322	LOC110191768|XP_020818369.1|DSER, LOC110183231|XP_020807105.1|DSER, LOC110177768|XP_020800293.1|DSER, LOC110178861|XP_020801794.1|DSER, LOC110182584|XP_020806289.1|DSER	LOC119654593|XP_037915985.1|HILL
OG0000323	LOC110185569|XP_020810153.1|DSER, LOC110190961|XP_020817310.1|DSER, LOC110190960|XP_020817309.1|DSER	LOC119651179|XP_037910534.1|HILL
OG0000324	LOC110184629|XP_020808923.1|DSER	LOC119650355|XP_037908964.1|HILL
OG0000325	LOC110185248|XP_020809643.1|DSER, LOC110185249|XP_020809644.1|DSER	LOC119647540|XP_037904458.1|HILL, LOC119649224|XP_037907211.1|HILL
OG0000328	LOC110179044|XP_020802060.1|DSER, LOC110184688|XP_020808959.1|DSER, LOC110184689|XP_020808960.1|DSER	LOC119647671|XP_037904677.1|HILL
OG0000331	LOC110182599|XP_020806314.1|DSER, LOC110182610|XP_020806331.1|DSER	LOC119660750|XP_037925426.1|HILL
OG0000332	LOC110187060|XP_020812104.1|DSER	LOC119652961|XP_037913288.1|HILL
OG0000332	LOC110184202|XP_020808308.1|DSER, LOC110184176|XP_020808246.1|DSER, LOC110184161|XP_020808228.1|DSER	LOC119655894|XP_037917968.1|HILL
OG0000333	LOC110190778|XP_020817073.1|DSER, LOC110184708|XP_020808983.1|DSER	LOC119648073|XP_037905483.1|HILL
OG0000334	LOC110184488|XP_020808703.1|DSER, LOC110185826|XP_020810492.1|DSER, LOC110178231|XP_020800942.1|DSER	LOC119648594|XP_037906294.1|HILL
OG0000335	LOC110186071|XP_020810765.1|DSER, LOC110185809|XP_020810472.1|DSER	LOC119651925|XP_037911683.1|HILL, LOC119651821|XP_037911539.1|HILL, LOC119652176|XP_037912049.1|HILL
OG0000336	LOC110186378|XP_020811190.1|DSER, LOC110186366|XP_020811175.1|DSER, LOC110186764|XP_020811685.1|DSER	LOC119660296|XP_037924696.1|HILL
OG0000337	LOC110190393|XP_020816505.1|DSER, LOC110182589|XP_020806300.1|DSER, LOC110190143|XP_020816131.1|DSER	LOC119660061|XP_037924368.1|HILL
OG0000338	LOC110177639|XP_020800110.1|DSER	LOC119647611|XP_037904571.1|HILL
OG0000338	LOC110178259|XP_020800976.1|DSER	LOC119646654|XP_037903104.1|HILL
OG0000339	LOC110190609|XP_020816861.1|DSER	LOC119649031|XP_037906916.1|HILL
OG0000340	LOC110182004|XP_020805598.1|DSER	LOC119656287|XP_037918646.1|HILL
OG0000342	LOC110184256|XP_020808379.1|DSER, LOC110178751|XP_020801645.1|DSER	LOC119656749|XP_037919236.1|HILL
OG0000343	LOC110189161|XP_020814790.1|DSER	LOC119656580|XP_037918899.1|HILL
OG0000343	LOC110188362|XP_020813731.1|DSER	LOC119652869|XP_037913156.1|HILL, LOC119651334|XP_037910808.1|HILL, LOC119651190|XP_037910556.1|HILL
OG0000344	LOC110191127|XP_020817539.1|DSER, LOC110186990|XP_020812006.1|DSER	LOC119653101|XP_037913544.1|HILL, LOC119646209|XP_037902520.1|HILL, LOC119655037|XP_037916641.1|HILL, LOC119650620|XP_037909437.1|HILL
OG0000345	LOC110182943|XP_020806785.1|DSER	LOC119657419|XP_037920250.1|HILL
OG0000346	LOC110177761|XP_020800284.1|DSER, LOC110176582|XP_020798655.1|DSER	LOC119646519|XP_037902907.1|HILL, LOC119659886|XP_037924134.1|HILL
OG0000347	LOC110176227|XP_020798172.1|DSER	LOC119648357|XP_037905998.1|HILL
OG0000347	LOC110185622|XP_020810230.1|DSER	LOC119650775|XP_037909808.1|HILL
OG0000348	LOC110179172|XP_020802232.1|DSER	LOC119646268|XP_037902599.1|HILL, LOC119661392|XP_037926644.1|HILL, LOC119661101|XP_037926218.1|HILL
OG0000349	LOC110185639|XP_020810255.1|DSER	LOC119655419|XP_037917235.1|HILL
OG0000350	LOC110186748|XP_020811670.1|DSER	LOC119647587|XP_037904524.1|HILL
OG0000351	LOC110177763|XP_020800288.1|DSER, LOC110177764|XP_020800289.1|DSER	LOC119650765|XP_037909794.1|HILL, LOC119651405|XP_037910922.1|HILL
OG0000353	LOC110186717|XP_020811648.1|DSER	LOC119651137|XP_037910460.1|HILL, LOC119651138|XP_037910461.1|HILL
OG0000353	LOC110185629|XP_020810240.1|DSER	LOC119650632|XP_037909467.1|HILL
OG0000353	LOC110180978|XP_020804312.1|DSER	LOC119651081|XP_037910354.1|HILL
OG0000354	LOC110182267|XP_020805943.1|DSER, LOC110178541|XP_020801360.1|DSER	LOC119646851|XP_037903400.1|HILL
OG0000354	LOC110177650|XP_020800122.1|DSER, LOC110187333|XP_020812379.1|DSER	LOC119661529|XP_037926835.1|HILL, LOC119661530|XP_037926836.1|HILL
OG0000355	LOC110182888|XP_020806691.1|DSER, LOC110189463|XP_020815198.1|DSER	LOC119651943|XP_037911727.1|HILL, LOC119651919|XP_037911679.1|HILL
OG0000356	LOC110176940|XP_020799101.1|DSER, LOC110176868|XP_020799003.1|DSER	LOC119653869|XP_037914896.1|HILL
OG0000358	LOC110188642|XP_020814076.1|DSER, LOC110188561|XP_020813978.1|DSER, LOC110188681|XP_020814144.1|DSER	LOC119652921|XP_037913238.1|HILL
OG0000361	LOC110182815|XP_020806608.1|DSER, LOC110182824|XP_020806619.1|DSER, LOC110182593|XP_020806306.1|DSER	LOC119650707|XP_037909637.1|HILL
OG0000362	LOC110184521|XP_020808748.1|DSER	LOC119661014|XP_037926089.1|HILL
OG0000362	LOC110190414|XP_020816537.1|DSER	LOC119650343|XP_037908936.1|HILL
OG0000363	LOC110191942|XP_020818618.1|DSER	LOC119658613|XP_037922027.1|HILL
OG0000363	LOC110190616|XP_020816871.1|DSER	LOC119647856|XP_037905052.1|HILL
OG0000365	LOC110182973|XP_020806825.1|DSER	LOC119661181|XP_037926327.1|HILL
OG0000366	LOC110175921|XP_020797758.1|DSER	LOC119657659|XP_037920611.1|HILL
OG0000366	LOC110186439|XP_020811281.1|DSER	LOC119660260|XP_037924646.1|HILL
OG0000367	LOC110190468|XP_020816636.1|DSER, LOC110179453|XP_020802663.1|DSER	LOC119656020|XP_037918200.1|HILL
OG0000376	LOC110184803|XP_020809096.1|DSER, LOC110184804|XP_020809097.1|DSER	LOC119657981|XP_037921121.1|HILL
OG0000377	LOC110181509|XP_020804937.1|DSER, LOC110187718|XP_020812821.1|DSER	LOC119657714|XP_037920682.1|HILL, LOC119658208|XP_037921402.1|HILL
OG0000378	LOC110190907|XP_020817227.1|DSER	LOC119653626|XP_037914331.1|HILL
OG0000378	LOC110182542|XP_020806250.1|DSER	LOC119661275|XP_037926471.1|HILL
OG0000379	LOC110191655|XP_020818214.1|DSER, LOC110191640|XP_020818194.1|DSER, LOC110185096|XP_020809482.1|DSER	LOC119654960|XP_037916550.1|HILL
OG0000380	LOC110189590|XP_020815381.1|DSER	LOC119649204|XP_037907185.1|HILL
OG0000380	LOC110184706|XP_020808981.1|DSER	LOC119648894|XP_037906719.1|HILL
OG0000381	LOC110185989|XP_020810675.1|DSER, LOC110181415|XP_020804812.1|DSER, LOC110179859|XP_020803117.1|DSER	LOC119650994|XP_037910191.1|HILL
OG0000382	LOC110190039|XP_020816003.1|DSER, LOC110184773|XP_020809067.1|DSER, LOC110179426|XP_020802614.1|DSER	LOC119655629|XP_037917527.1|HILL
OG0000383	LOC110187287|XP_020812336.1|DSER	LOC119651324|XP_037910786.1|HILL, LOC119651323|XP_037910785.1|HILL
OG0000384	LOC110179316|XP_020802464.1|DSER	LOC119646972|XP_037903604.1|HILL
OG0000384	LOC110179317|XP_020802465.1|DSER	LOC119646908|XP_037903506.1|HILL
OG0000385	LOC110182946|XP_020806791.1|DSER, LOC110187151|XP_020812223.1|DSER	LOC119657567|XP_037920455.1|HILL
OG0000385	LOC110187150|XP_020812222.1|DSER	LOC119657354|XP_037920156.1|HILL
OG0000386	LOC110186322|XP_020811120.1|DSER	LOC119654213|XP_037915353.1|HILL
OG0000389	LOC110190500|XP_020816675.1|DSER	LOC119654826|XP_037916319.1|HILL, LOC119654630|XP_037916029.1|HILL
OG0000390	LOC110183484|XP_020807423.1|DSER	LOC119650215|XP_037908712.1|HILL, LOC119652123|XP_037911993.1|HILL
OG0000391	LOC110184084|XP_020808129.1|DSER	LOC119661658|XP_037927019.1|HILL
OG0000391	LOC110184039|XP_020808073.1|DSER	LOC119655871|XP_037917926.1|HILL
OG0000392	LOC110187426|XP_020812475.1|DSER, LOC110187386|XP_020812436.1|DSER	LOC119646917|XP_037903517.1|HILL
OG0000393	LOC110187261|XP_020812308.1|DSER	LOC119647833|XP_037905009.1|HILL
OG0000394	LOC110181592|XP_020805044.1|DSER, LOC110181549|XP_020804991.1|DSER	LOC119655819|XP_037917852.1|HILL, LOC119655820|XP_037917854.1|HILL, LOC119655818|XP_037917851.1|HILL, LOC119655817|XP_037917850.1|HILL, LOC119650578|XP_037909332.1|HILL
OG0000396	LOC110177020|XP_020799192.1|DSER	LOC119647873|XP_037905127.1|HILL, LOC119646202|XP_037902512.1|HILL
OG0000399	LOC110190647|XP_020816909.1|DSER	LOC119650688|XP_037909578.1|HILL
OG0000399	LOC110182956|XP_020806809.1|DSER	LOC119652689|XP_037912891.1|HILL
OG0000400	LOC110175976|XP_020797830.1|DSER, LOC110176062|XP_020797940.1|DSER, LOC110176063|XP_020797941.1|DSER	LOC119658131|XP_037921328.1|HILL
OG0000402	LOC110182009|XP_020805599.1|DSER	LOC119657088|XP_037919771.1|HILL
OG0000403	LOC110176449|XP_020798459.1|DSER	LOC119660792|XP_037925527.1|HILL, LOC119661317|XP_037926537.1|HILL
OG0000404	LOC110186276|XP_020811049.1|DSER	LOC119653035|XP_037913410.1|HILL
OG0000405	LOC110183048|XP_020806891.1|DSER	LOC119651780|XP_037911463.1|HILL
OG0000406	LOC110189994|XP_020815951.1|DSER, LOC110179321|XP_020802472.1|DSER	LOC119649727|XP_037907936.1|HILL
OG0000407	LOC110190437|XP_020816579.1|DSER	LOC119647699|XP_037904709.1|HILL
OG0000408	LOC110185489|XP_020810028.1|DSER, LOC110182730|XP_020806490.1|DSER	LOC119652449|XP_037912523.1|HILL
OG0000409	LOC110178483|XP_020801284.1|DSER, LOC110188995|XP_020814606.1|DSER	LOC119652426|XP_037912477.1|HILL
OG0000410	LOC110187235|XP_020812291.1|DSER, LOC110187213|XP_020812271.1|DSER	LOC119651826|XP_037911546.1|HILL
OG0000411	LOC110188761|XP_020814261.1|DSER	LOC119660621|XP_037925251.1|HILL
OG0000411	LOC110183779|XP_020807795.1|DSER, LOC110179290|XP_020802434.1|DSER	LOC119653223|XP_037913732.1|HILL
OG0000412	LOC110182869|XP_020806671.1|DSER	LOC119660752|XP_037925442.1|HILL
OG0000412	LOC110182789|XP_020806573.1|DSER	LOC119648053|XP_037905443.1|HILL
OG0000413	LOC110188011|XP_020813194.1|DSER	LOC119659104|XP_037922954.1|HILL, LOC119659105|XP_037922955.1|HILL
OG0000413	LOC110177256|XP_020799566.1|DSER	LOC119659106|XP_037922957.1|HILL
OG0000414	LOC110189433|XP_020815163.1|DSER	LOC119653685|XP_037914474.1|HILL
OG0000415	LOC110177775|XP_020800300.1|DSER	LOC119655557|XP_037917409.1|HILL
OG0000416	LOC110182834|XP_020806626.1|DSER	LOC119657449|XP_037920289.1|HILL
OG0000416	LOC110183220|XP_020807093.1|DSER	LOC119657276|XP_037920043.1|HILL
OG0000417	LOC110187777|XP_020812900.1|DSER	LOC119651515|XP_037911072.1|HILL
OG0000417	LOC110186618|XP_020811512.1|DSER	LOC119650792|XP_037909843.1|HILL
OG0000418	LOC110180442|XP_020803771.1|DSER, LOC110180440|XP_020803769.1|DSER, LOC110182635|XP_020806361.1|DSER	LOC119658337|XP_037921610.1|HILL
OG0000419	LOC110177822|XP_020800371.1|DSER	LOC119647268|XP_037904086.1|HILL
OG0000421	LOC110185660|XP_020810278.1|DSER	LOC119650957|XP_037910126.1|HILL
OG0000421	LOC110182698|XP_020806452.1|DSER	LOC119653923|XP_037915014.1|HILL
OG0000422	LOC110180482|XP_020803826.1|DSER	LOC119659457|XP_037923469.1|HILL
OG0000423	LOC110189417|XP_020815135.1|DSER, LOC110189506|XP_020815273.1|DSER	LOC119653623|XP_037914324.1|HILL, LOC119653616|XP_037914313.1|HILL, LOC119653433|XP_037913942.1|HILL
OG0000424	LOC110184074|XP_020808117.1|DSER	LOC119654257|XP_037915442.1|HILL, LOC119654258|XP_037915448.1|HILL
OG0000425	LOC110178776|XP_020801682.1|DSER	LOC119656034|XP_037918229.1|HILL
OG0000425	LOC110182873|XP_020806674.1|DSER	LOC119654479|XP_037915828.1|HILL
OG0000426	LOC110191606|XP_020818152.1|DSER, LOC110191605|XP_020818151.1|DSER	LOC119652996|XP_037913351.1|HILL, LOC119650213|XP_037908706.1|HILL, LOC119648772|XP_037906533.1|HILL, LOC119649890|XP_037908208.1|HILL
OG0000428	LOC110189967|XP_020815915.1|DSER, LOC110190310|XP_020816358.1|DSER, LOC110190300|XP_020816344.1|DSER	LOC119654020|XP_037915111.1|HILL
OG0000433	LOC110184324|XP_020808476.1|DSER	LOC119658708|XP_037922249.1|HILL
OG0000433	LOC110190627|XP_020816880.1|DSER	LOC119650212|XP_037908705.1|HILL
OG0000435	LOC110179047|XP_020802062.1|DSER	LOC119657374|XP_037920187.1|HILL
OG0000437	LOC110183318|XP_020807223.1|DSER	LOC119651355|XP_037910846.1|HILL
OG0000437	LOC110183414|XP_020807350.1|DSER	LOC119661162|XP_037926307.1|HILL
OG0000438	LOC110186178|XP_020810895.1|DSER	LOC119661411|XP_037926673.1|HILL
OG0000439	LOC110183899|XP_020807900.1|DSER	LOC119651351|XP_037910838.1|HILL
OG0000439	LOC110190278|XP_020816311.1|DSER	LOC119650255|XP_037908775.1|HILL
OG0000440	LOC110176942|XP_020799106.1|DSER, LOC110179341|XP_020802503.1|DSER	LOC119647315|XP_037904170.1|HILL
OG0000441	LOC110189671|XP_020815486.1|DSER, LOC110189653|XP_020815458.1|DSER	LOC119657627|XP_037920559.1|HILL, LOC119658141|XP_037921337.1|HILL, LOC119657726|XP_037920697.1|HILL, LOC119656852|XP_037919432.1|HILL
OG0000442	LOC110185170|XP_020809540.1|DSER	LOC119655225|XP_037916933.1|HILL
OG0000443	LOC110183676|XP_020807673.1|DSER, LOC110183678|XP_020807674.1|DSER, LOC110183646|XP_020807627.1|DSER	LOC119649255|XP_037907251.1|HILL
OG0000444	LOC110183892|XP_020807896.1|DSER, LOC110178072|XP_020800736.1|DSER	LOC119650202|XP_037908696.1|HILL
OG0000444	LOC110183893|XP_020807897.1|DSER	LOC119648810|XP_037906588.1|HILL
OG0000445	LOC110185382|XP_020809823.1|DSER	LOC119661154|XP_037926298.1|HILL, LOC119660098|XP_037924403.1|HILL, LOC119652099|XP_037911965.1|HILL, LOC119648503|XP_037906200.1|HILL, LOC119654162|XP_037915252.1|HILL
OG0000446	LOC110184182|XP_020808251.1|DSER, LOC110185138|XP_020809498.1|DSER, LOC110185139|XP_020809499.1|DSER	LOC119647818|XP_037904975.1|HILL
OG0000448	LOC110186701|XP_020811633.1|DSER, LOC110186601|XP_020811491.1|DSER	LOC119650667|XP_037909547.1|HILL
OG0000449	LOC110185203|XP_020809588.1|DSER	LOC119654328|XP_037915585.1|HILL
OG0000449	LOC110185970|XP_020810648.1|DSER	LOC119654797|XP_037916274.1|HILL
OG0000450	LOC110180292|XP_020803608.1|DSER	LOC119657601|XP_037920517.1|HILL
OG0000450	LOC110175936|XP_020797776.1|DSER	LOC119656646|XP_037919031.1|HILL
OG0000451	LOC110182461|XP_020806156.1|DSER	LOC119656757|XP_037919252.1|HILL
OG0000451	LOC110182460|XP_020806155.1|DSER	LOC119657306|XP_037920093.1|HILL
OG0000453	LOC110186460|XP_020811307.1|DSER	LOC119658366|XP_037921655.1|HILL
OG0000454	LOC110190971|XP_020817321.1|DSER, LOC110177627|XP_020800100.1|DSER	LOC119646996|XP_037903646.1|HILL
OG0000456	LOC110185447|XP_020809934.1|DSER	LOC119660708|XP_037925268.1|HILL
OG0000456	LOC110185733|XP_020810377.1|DSER	LOC119650840|XP_037909908.1|HILL
OG0000457	LOC110181409|XP_020804804.1|DSER	LOC119650711|XP_037909644.1|HILL
OG0000457	LOC110185761|XP_020810422.1|DSER	LOC119651240|XP_037910647.1|HILL
OG0000458	LOC110183917|XP_020807935.1|DSER	LOC119658491|XP_037921882.1|HILL
OG0000460	LOC110183094|XP_020806946.1|DSER	LOC119661481|XP_037926774.1|HILL
OG0000462	LOC110188619|XP_020814045.1|DSER, LOC110188618|XP_020814044.1|DSER, LOC110188620|XP_020814046.1|DSER	LOC119660442|XP_037924924.1|HILL
OG0000465	LOC110190848|XP_020817156.1|DSER	LOC119651652|XP_037911262.1|HILL
OG0000465	LOC110190999|XP_020817371.1|DSER	LOC119651651|XP_037911257.1|HILL
OG0000466	LOC110176019|XP_020797889.1|DSER	LOC119652476|XP_037912578.1|HILL
OG0000466	LOC110177034|XP_020799210.1|DSER	LOC119661330|XP_037926559.1|HILL
OG0000467	LOC110189658|XP_020815461.1|DSER, LOC110189600|XP_020815393.1|DSER	LOC119661560|XP_037926879.1|HILL
