Orthogroup	DSIM.longest_only	BCOP.longest_only
OG0000658	LOC6726228|XP_016039756.1|DSIM, LOC6728039|XP_002103391.1|DSIM	LOC119071304|XP_037032078.1|BCOP
OG0000659	LOC6730797|XP_002077965.1|DSIM, LOC6732787|XP_016025500.1|DSIM	LOC119081960|XP_037047158.1|BCOP
OG0000660	LOC6739184|XP_016023229.1|DSIM	LOC119076100|XP_037038651.1|BCOP, LOC119080500|XP_037044794.1|BCOP, LOC119080471|XP_037044744.1|BCOP, LOC119077116|XP_037040180.1|BCOP, LOC119077115|XP_037040178.1|BCOP
OG0000661	LOC27206244|XP_016030737.1|DSIM, LOC6731004|XP_016023467.1|DSIM	LOC119082339|XP_037047743.1|BCOP
OG0000662	LOC6736668|XP_002083524.1|DSIM, LOC27208006|XP_016034047.1|DSIM	LOC119084304|XP_037050118.1|BCOP
OG0000663	LOC6736154|XP_016029553.1|DSIM	LOC119083526|XP_037049138.1|BCOP, LOC119084562|XP_037050476.1|BCOP
OG0000664	LOC6739975|XP_016038087.1|DSIM	LOC119084314|XP_037050128.1|BCOP
OG0000666	LOC6735358|XP_002082305.1|DSIM, LOC27208266|XP_016038838.1|DSIM	LOC119074750|XP_037036911.1|BCOP
OG0000667	LOC6739958|XP_002076843.1|DSIM, LOC6728590|XP_002103931.1|DSIM	LOC119083972|XP_037049670.1|BCOP
OG0000668	LOC6739822|XP_002076714.1|DSIM	LOC119081834|XP_037046967.1|BCOP
OG0000669	LOC6726564|XP_002107518.2|DSIM, LOC6726565|XP_002107519.1|DSIM	LOC119074873|XP_037037104.1|BCOP
OG0000670	LOC6731625|XP_016024307.1|DSIM, LOC6725106|XP_002106132.1|DSIM	LOC119066550|XP_037024984.1|BCOP
OG0000671	LOC27208816|XP_016025871.1|DSIM, LOC6729923|XP_016036681.1|DSIM	LOC119083639|XP_037049271.1|BCOP
OG0000672	LOC6725743|XP_039152633.1|DSIM, LOC6740238|XP_002077119.2|DSIM	LOC119072493|XP_037033628.1|BCOP
OG0000673	LOC6725851|XP_039154027.1|DSIM, LOC6738127|XP_002084940.1|DSIM	LOC119085042|XP_037051146.1|BCOP, LOC119070959|XP_037031418.1|BCOP
OG0000677	LOC27206657|XP_039152419.1|DSIM	LOC119069211|XP_037029077.1|BCOP
OG0000678	LOC6727764|XP_016034341.1|DSIM, LOC6730493|XP_002077674.1|DSIM	LOC119072581|XP_037033726.1|BCOP
OG0000679	LOC6725730|XP_016039005.1|DSIM	LOC119082586|XP_037048025.1|BCOP
OG0000680	LOC6726431|XP_016039991.1|DSIM, LOC6726443|XP_016040004.1|DSIM	LOC119068909|XP_037028663.1|BCOP
OG0000681	LOC6728168|XP_016034776.1|DSIM, LOC6725845|XP_016039168.1|DSIM	LOC119067235|XP_037025986.1|BCOP
OG0000683	LOC6729354|XP_016035990.1|DSIM	LOC119070419|XP_037030650.1|BCOP, LOC119084212|XP_037050002.1|BCOP, LOC119078992|XP_037042650.1|BCOP, LOC119070420|XP_037030652.1|BCOP
OG0000684	LOC6728418|XP_002103764.1|DSIM, LOC6729256|XP_002104576.1|DSIM	LOC119070467|XP_037030717.1|BCOP
OG0000685	LOC6727215|XP_002102607.1|DSIM	LOC119067026|XP_037025653.1|BCOP
OG0000686	LOC6733272|XP_002080335.1|DSIM, LOC6726395|XP_039152885.1|DSIM	LOC119076703|XP_037039511.1|BCOP
OG0000687	LOC6735306|XP_002082266.1|DSIM, LOC6736483|XP_002083353.1|DSIM	LOC119068625|XP_037028186.1|BCOP
OG0000688	LOC6735017|XP_002081998.1|DSIM	LOC119077281|XP_037040326.1|BCOP
OG0000689	LOC6733810|XP_016026779.1|DSIM, LOC27209189|XP_016026781.1|DSIM	LOC119072600|XP_037033753.1|BCOP
OG0000690	LOC6740257|XP_016040162.1|DSIM	LOC119074983|XP_037037281.1|BCOP, LOC119074701|XP_037036884.1|BCOP, LOC119074703|XP_037036886.1|BCOP
OG0000691	LOC6731556|XP_002078697.1|DSIM, LOC6738604|XP_002085408.1|DSIM	LOC119080294|XP_037044461.1|BCOP
OG0000692	LOC6738316|XP_016032164.1|DSIM, LOC6738317|XP_002085127.1|DSIM	LOC119081061|XP_037045671.1|BCOP
OG0000694	LOC6740066|XP_016038815.1|DSIM, LOC6737707|XP_002084539.1|DSIM	LOC119076648|XP_037039417.1|BCOP
OG0000695	LOC6731185|XP_039148020.1|DSIM, LOC6731190|XP_016023734.1|DSIM	LOC119070822|XP_037031215.1|BCOP
OG0000696	LOC6731427|XP_002078579.1|DSIM	LOC119079130|XP_037042854.1|BCOP
OG0000697	LOC6740261|XP_002077141.3|DSIM, LOC6731164|XP_002078322.1|DSIM	LOC119066369|XP_037024688.1|BCOP
OG0000698	LOC6730923|XP_016023369.1|DSIM, LOC27208493|XP_039152058.1|DSIM	LOC119078762|XP_037042365.1|BCOP
OG0000699	LOC6731322|XP_016023898.1|DSIM, LOC27208327|XP_016035823.1|DSIM	LOC119066436|XP_037024823.1|BCOP
OG0000700	LOC6730516|XP_039148418.1|DSIM, LOC6730750|XP_016023167.1|DSIM	LOC119066147|XP_037024337.1|BCOP
OG0000701	LOC6734308|XP_002081336.1|DSIM, LOC6725953|XP_002106936.2|DSIM	LOC119073563|XP_037035015.1|BCOP
OG0000702	LOC6729656|XP_039151625.1|DSIM, LOC6729655|XP_016036306.1|DSIM	LOC119084342|XP_037050169.1|BCOP
OG0000703	LOC6732238|XP_002079367.1|DSIM, LOC6734665|XP_016027854.1|DSIM	LOC119083168|XP_037048717.1|BCOP
OG0000704	LOC6739955|XP_039153241.1|DSIM, LOC6730332|XP_002105614.1|DSIM	LOC119074966|XP_037037253.1|BCOP, LOC119076501|XP_037039177.1|BCOP
OG0000705	LOC6736357|XP_002083233.1|DSIM, LOC6736356|XP_016029846.1|DSIM	LOC119084181|XP_037049937.1|BCOP
OG0000706	LOC6732667|XP_002079784.1|DSIM, LOC6725299|XP_016038338.2|DSIM	LOC119069039|XP_037028806.1|BCOP
OG0000707	LOC6735833|XP_002082743.1|DSIM, LOC6740162|XP_002077042.1|DSIM	LOC119075958|XP_037038430.1|BCOP
OG0000708	LOC6725140|XP_016038111.1|DSIM, LOC6725695|XP_039153353.1|DSIM	LOC119068541|XP_037028054.1|BCOP
OG0000709	LOC6730263|XP_016037035.1|DSIM, LOC6726140|XP_016039666.1|DSIM	LOC119084049|XP_037049780.1|BCOP
OG0000710	LOC6727098|XP_002102491.1|DSIM, LOC6726569|XP_016040235.1|DSIM, LOC27206610|XP_016028282.1|DSIM	LOC119084227|XP_037050021.1|BCOP
OG0000711	LOC27206289|XP_016031333.1|DSIM, LOC27207522|XP_016039895.1|DSIM	LOC119066858|XP_037025427.1|BCOP
OG0000712	LOC6727380|XP_016033917.1|DSIM, LOC6727379|XP_002102764.2|DSIM	LOC119071224|XP_037031933.1|BCOP
OG0000713	LOC6726921|XP_002102323.1|DSIM, LOC6734643|XP_002081650.1|DSIM	LOC119068151|XP_037027518.1|BCOP
OG0000714	LOC6726246|XP_002107209.1|DSIM, LOC6736809|XP_002083665.1|DSIM	LOC119071230|XP_037031942.1|BCOP
OG0000716	LOC6725213|XP_002106236.2|DSIM, LOC6738094|XP_002084908.1|DSIM	LOC119082038|XP_037047261.1|BCOP
OG0000717	LOC6739130|XP_002085923.2|DSIM	LOC119066304|XP_037024582.1|BCOP, LOC119071962|XP_037032988.1|BCOP, LOC119075911|XP_037038390.1|BCOP, LOC119071961|XP_037032987.1|BCOP, LOC119075675|XP_037038088.1|BCOP, LOC119080157|XP_037044276.1|BCOP, LOC119073186|XP_037034388.1|BCOP
OG0000718	LOC6724745|XP_016037438.1|DSIM, LOC6724717|XP_039152035.1|DSIM	LOC119079854|XP_037043819.1|BCOP
OG0000719	LOC6737483|XP_002084319.2|DSIM, LOC6737533|XP_002084368.1|DSIM	LOC119066568|XP_037025011.1|BCOP, LOC119078939|XP_037042584.1|BCOP
OG0000724	LOC6726590|XP_002107540.1|DSIM, LOC6730249|XP_002105532.1|DSIM	LOC119067821|XP_037026879.1|BCOP
OG0000726	LOC6727812|XP_016034399.1|DSIM, LOC6727813|XP_016034400.1|DSIM	LOC119077102|XP_037040156.1|BCOP
OG0000727	LOC6727453|XP_016034052.1|DSIM, LOC120285052|XP_039151567.1|DSIM	LOC119068219|XP_037027607.1|BCOP
OG0000728	LOC6728806|XP_016035495.1|DSIM	LOC119069282|XP_037029239.1|BCOP
OG0000729	LOC27208835|XP_016036538.1|DSIM, LOC6729836|XP_002105139.2|DSIM	LOC119067929|XP_037027138.1|BCOP, LOC119077431|XP_037040541.1|BCOP
OG0000730	LOC6726139|XP_002107115.1|DSIM, LOC6730625|XP_002077802.2|DSIM	LOC119081281|XP_037045937.1|BCOP
OG0000731	LOC6736796|XP_016030440.1|DSIM, LOC6734627|XP_016027788.1|DSIM	LOC119071760|XP_037032699.1|BCOP
OG0000732	LOC27206300|XP_016032224.1|DSIM, LOC6738395|XP_002085204.2|DSIM	LOC119081475|XP_037046368.1|BCOP
OG0000733	LOC6730026|XP_016036795.1|DSIM, LOC6736870|XP_002083723.1|DSIM	LOC119081060|XP_037045670.1|BCOP
OG0000734	LOC6740069|XP_016038851.2|DSIM, LOC6736719|XP_016030333.1|DSIM	LOC119080046|XP_037044143.1|BCOP
OG0000735	LOC27206575|XP_016038141.1|DSIM, LOC6731652|XP_002078792.1|DSIM	LOC119083131|XP_037048665.1|BCOP
OG0000736	LOC6730816|XP_016023240.1|DSIM, LOC6730817|XP_016023242.1|DSIM	LOC119078601|XP_037042085.1|BCOP
OG0000737	LOC6733245|XP_016026121.2|DSIM	LOC119069714|XP_037029733.1|BCOP
OG0000738	LOC6731419|XP_002078571.1|DSIM, LOC27206503|XP_016024990.1|DSIM	LOC119071595|XP_037032445.1|BCOP
OG0000739	LOC6728040|XP_002103392.2|DSIM, LOC6728038|XP_016034655.1|DSIM	LOC119080521|XP_037044826.1|BCOP
OG0000740	LOC6728751|XP_016035423.1|DSIM	LOC119084094|XP_037049828.1|BCOP
OG0000741	LOC6740167|XP_016039635.1|DSIM, LOC27208394|XP_016034362.1|DSIM	LOC119074818|XP_037037001.1|BCOP, LOC119076670|XP_037039459.1|BCOP
OG0000742	LOC27209423|XP_039152588.1|DSIM, LOC27209474|XP_039152589.1|DSIM	LOC119072457|XP_037033579.1|BCOP
OG0000743	LOC6736315|XP_016029790.1|DSIM, LOC6735829|XP_016029204.1|DSIM	LOC119075774|XP_037038222.1|BCOP
OG0000744	LOC6733923|XP_016026971.1|DSIM	LOC119072391|XP_037033495.1|BCOP, LOC119072390|XP_037033494.1|BCOP
OG0000745	LOC6735453|XP_002082393.1|DSIM, LOC6733898|XP_002080942.1|DSIM	LOC119077588|XP_037040691.1|BCOP
OG0000746	LOC27207080|XP_016026429.1|DSIM, LOC6739315|XP_002076223.1|DSIM	LOC119071521|XP_037032289.1|BCOP, LOC119084193|XP_037049965.1|BCOP
OG0000747	LOC6739166|XP_016033023.1|DSIM, LOC6739165|XP_016033017.1|DSIM	LOC119071913|XP_037032930.1|BCOP
OG0000748	LOC6730739|XP_002077907.2|DSIM, LOC27208188|XP_016037673.1|DSIM	LOC119067557|XP_037026516.1|BCOP
OG0000749	LOC6727432|XP_016033999.1|DSIM, LOC6733799|XP_039148337.1|DSIM, LOC6729257|XP_002104577.1|DSIM, LOC6729258|XP_016035908.1|DSIM, LOC6727431|XP_016033998.1|DSIM	LOC119067451|XP_037026330.1|BCOP
OG0000753	LOC6728365|XP_002103713.1|DSIM, LOC6737391|XP_002084229.2|DSIM	LOC119081088|XP_037045727.1|BCOP
OG0000754	LOC6726191|XP_016039717.1|DSIM, LOC6725745|XP_002106745.1|DSIM	LOC119080422|XP_037044658.1|BCOP
OG0000755	LOC6728236|XP_039150937.1|DSIM, LOC6728235|XP_016034877.1|DSIM	LOC119070065|XP_037030253.1|BCOP
OG0000756	LOC6740495|XP_002077330.2|DSIM	LOC119069805|XP_037029857.1|BCOP
OG0000756	LOC6729539|XP_002104847.2|DSIM	LOC119069813|XP_037029868.1|BCOP
OG0000757	LOC6736609|XP_016030198.1|DSIM	LOC119081608|XP_037046545.1|BCOP
OG0000758	LOC6738324|XP_016032168.1|DSIM, LOC6738325|XP_016032170.1|DSIM	LOC119080295|XP_037044462.1|BCOP, LOC119073870|XP_037035636.1|BCOP
OG0000759	LOC6736481|XP_016030016.2|DSIM, LOC6736479|XP_039149263.1|DSIM	LOC119078818|XP_037042423.1|BCOP
OG0000760	LOC6735763|XP_016029140.1|DSIM	LOC119074093|XP_037035947.1|BCOP
OG0000761	LOC6731835|XP_016024517.1|DSIM, LOC6731838|XP_039148571.1|DSIM	LOC119082602|XP_037048054.1|BCOP
OG0000762	LOC6731494|XP_002078643.1|DSIM	LOC119076339|XP_037038927.1|BCOP
OG0000762	LOC6730726|XP_002077894.1|DSIM	LOC119078534|XP_037041996.1|BCOP
OG0000763	LOC6733030|XP_002080109.2|DSIM, LOC6733031|XP_016025720.2|DSIM	LOC119070925|XP_037031362.1|BCOP
OG0000764	LOC6729060|XP_016035713.1|DSIM	LOC119074476|XP_037036512.1|BCOP
OG0000765	LOC6736344|XP_002083221.1|DSIM, LOC6739906|XP_016037644.1|DSIM	LOC119066365|XP_037024682.1|BCOP
OG0000766	LOC6731598|XP_002078739.1|DSIM, LOC6724806|XP_039153057.1|DSIM	LOC119067516|XP_037026432.1|BCOP
OG0000767	LOC6726823|XP_002102230.2|DSIM, LOC6738708|XP_002085509.1|DSIM, LOC120284814|XP_039150081.1|DSIM	LOC119079320|XP_037043010.1|BCOP
OG0000768	LOC6738827|XP_039149768.1|DSIM	LOC119074908|XP_037037150.1|BCOP
OG0000769	LOC6729630|XP_002104938.1|DSIM, LOC6726572|XP_016040241.1|DSIM	LOC119084810|XP_037050774.1|BCOP
OG0000771	LOC6736667|XP_002083523.2|DSIM, LOC6736666|XP_002083522.2|DSIM	LOC119085304|XP_037051547.1|BCOP, LOC119070582|XP_037030885.1|BCOP, LOC119070583|XP_037030886.1|BCOP
OG0000772	LOC6736161|XP_039147474.1|DSIM, LOC6734663|XP_016027853.1|DSIM	LOC119078461|XP_037041893.1|BCOP, LOC119085562|XP_037051890.1|BCOP, LOC119069554|XP_037029530.1|BCOP
OG0000778	LOC27206247|XP_016030540.1|DSIM	LOC119067498|XP_037026398.1|BCOP
OG0000779	LOC6725866|XP_002106862.1|DSIM	LOC119072148|XP_037033186.1|BCOP, LOC119070336|XP_037030511.1|BCOP
OG0000780	LOC6733772|XP_002080816.1|DSIM	LOC119069133|XP_037028934.1|BCOP, LOC119074652|XP_037036825.1|BCOP, LOC119067816|XP_037026870.1|BCOP, LOC119075273|XP_037037562.1|BCOP
OG0000781	LOC6725434|XP_016038515.1|DSIM, LOC6739119|XP_002085912.2|DSIM	LOC119067818|XP_037026875.1|BCOP
OG0000782	LOC6739639|XP_002076534.1|DSIM, LOC6725861|XP_002106857.1|DSIM	LOC119085853|XP_037052258.1|BCOP
OG0000783	LOC6737741|XP_002084570.1|DSIM, LOC27208963|XP_016038285.1|DSIM	LOC119074637|XP_037036808.1|BCOP
OG0000784	LOC6738438|XP_002085246.1|DSIM, LOC6726278|XP_002107239.1|DSIM	LOC119083273|XP_037048859.1|BCOP
OG0000785	LOC6729992|XP_002105286.1|DSIM, LOC27207137|XP_016036574.1|DSIM	LOC119071481|XP_037032226.1|BCOP
OG0000786	LOC6726662|XP_002102073.1|DSIM	LOC119083249|XP_037048807.1|BCOP
OG0000786	LOC6727259|XP_016033785.1|DSIM	LOC119067170|XP_037025869.1|BCOP
OG0000787	LOC6737435|XP_002084272.1|DSIM, LOC6725756|XP_016039070.1|DSIM	LOC119073161|XP_037034357.1|BCOP, LOC119073160|XP_037034356.1|BCOP
OG0000788	LOC27208661|XP_016025339.1|DSIM, LOC6737128|XP_016030759.1|DSIM	LOC119081625|XP_037046569.1|BCOP
OG0000789	LOC6731106|XP_002078263.1|DSIM, LOC6731105|XP_002078262.2|DSIM	LOC119085993|XP_037052459.1|BCOP
OG0000791	LOC6729733|XP_016036394.1|DSIM, LOC6730063|XP_016036835.1|DSIM	LOC119069590|XP_037029575.1|BCOP
OG0000792	LOC6730572|XP_002077751.3|DSIM	LOC119084707|XP_037050684.1|BCOP, LOC119072704|XP_037033871.1|BCOP
OG0000793	LOC6727408|XP_002102793.1|DSIM, LOC27206354|XP_016038689.1|DSIM	LOC119076761|XP_037039614.1|BCOP, LOC119068736|XP_037028329.1|BCOP
OG0000794	LOC6730550|XP_002077729.1|DSIM	LOC119082300|XP_037047679.1|BCOP, LOC119066181|XP_037024381.1|BCOP, LOC119082299|XP_037047678.1|BCOP
OG0000795	LOC6725619|XP_002106626.1|DSIM, LOC6727652|XP_002103029.2|DSIM	LOC119084406|XP_037050268.1|BCOP
OG0000796	LOC6728732|XP_016035403.1|DSIM, LOC27209353|XP_016038871.1|DSIM	LOC119084327|XP_037050152.1|BCOP
OG0000797	LOC6728766|XP_002104101.1|DSIM, LOC6728767|XP_016035446.1|DSIM	LOC119076167|XP_037038747.1|BCOP
OG0000798	LOC6734339|XP_039147291.1|DSIM, LOC6734336|XP_016027413.1|DSIM	LOC119071212|XP_037031903.1|BCOP
OG0000799	LOC6728428|XP_016035030.1|DSIM, LOC27208541|XP_039153756.1|DSIM	LOC119074621|XP_037036780.1|BCOP
OG0000800	LOC6737021|XP_016030645.1|DSIM	LOC119080459|XP_037044724.1|BCOP, LOC119066846|XP_037025409.1|BCOP, LOC119066057|XP_037024177.1|BCOP
OG0000801	LOC6735838|XP_002082748.1|DSIM, LOC6735596|XP_002082516.2|DSIM	LOC119071073|XP_037031606.1|BCOP
OG0000802	LOC6725260|XP_002106282.2|DSIM, LOC6725259|XP_002106281.1|DSIM	LOC119081430|XP_037046246.1|BCOP, LOC119084813|XP_037050780.1|BCOP, LOC119070483|XP_037030768.1|BCOP
OG0000803	LOC6731875|XP_002079010.1|DSIM, LOC6736710|XP_016030323.1|DSIM	LOC119075633|XP_037038009.1|BCOP
OG0000804	LOC6734107|XP_002081140.1|DSIM, LOC27208324|XP_016033486.1|DSIM	LOC119071673|XP_037032547.1|BCOP
OG0000805	LOC6734293|XP_002081322.1|DSIM, LOC6734292|XP_016027355.1|DSIM	LOC119076350|XP_037038942.1|BCOP
OG0000811	LOC6734760|XP_016027971.1|DSIM	LOC119084745|XP_037050710.1|BCOP, LOC119072707|XP_037033872.1|BCOP
OG0000812	LOC6726077|XP_016039463.1|DSIM, LOC27207423|XP_016031955.1|DSIM	LOC119083724|XP_037049416.1|BCOP
OG0000813	LOC6734232|XP_016027279.1|DSIM	LOC119067956|XP_037027175.1|BCOP
OG0000813	LOC27206532|XP_016022936.1|DSIM	LOC119080286|XP_037044451.1|BCOP
OG0000814	LOC27208847|XP_016025170.1|DSIM	LOC119078943|XP_037042585.1|BCOP, LOC119069742|XP_037029776.1|BCOP, LOC119075556|XP_037037919.1|BCOP, LOC119085690|XP_037052031.1|BCOP, LOC119070575|XP_037030881.1|BCOP, LOC119084670|XP_037050642.1|BCOP, LOC119066154|XP_037024353.1|BCOP, LOC119078433|XP_037041841.1|BCOP, LOC119078432|XP_037041840.1|BCOP, LOC119075461|XP_037037800.1|BCOP, LOC119082399|XP_037047825.1|BCOP, LOC119077705|XP_037040876.1|BCOP, LOC119077703|XP_037040874.1|BCOP, LOC119077704|XP_037040875.1|BCOP, LOC119074417|XP_037036441.1|BCOP, LOC119079959|XP_037043966.1|BCOP, LOC119073096|XP_037034309.1|BCOP
OG0000815	LOC6731071|XP_002078230.1|DSIM	LOC119082603|XP_037048059.1|BCOP, LOC119080426|XP_037044671.1|BCOP
OG0000816	LOC27206392|XP_016038862.1|DSIM, LOC6727096|XP_002102489.1|DSIM	LOC119070839|XP_037031244.1|BCOP
OG0000818	LOC6724790|XP_002105832.2|DSIM, LOC27208325|XP_016024751.1|DSIM	LOC119075904|XP_037038375.1|BCOP
OG0000819	LOC6726299|XP_016039841.1|DSIM, LOC27206675|XP_016039839.1|DSIM	LOC119068462|XP_037027949.1|BCOP
OG0000820	LOC6726453|XP_002107410.1|DSIM	LOC119072983|XP_037034198.1|BCOP
OG0000821	LOC6728297|XP_002103646.1|DSIM, LOC6735811|XP_002082722.1|DSIM	LOC119083527|XP_037049139.1|BCOP
OG0000822	LOC6738444|XP_002085251.2|DSIM, LOC6731509|XP_002078657.2|DSIM	LOC119074660|XP_037036836.1|BCOP
OG0000824	LOC6732085|XP_002079217.1|DSIM	LOC119069942|XP_037030062.1|BCOP
OG0000830	LOC6740352|XP_016040121.1|DSIM	LOC119081667|XP_037046645.1|BCOP, LOC119066986|XP_037025607.1|BCOP, LOC119081668|XP_037046646.1|BCOP, LOC119081676|XP_037046656.1|BCOP
OG0000831	LOC6737773|XP_002084601.2|DSIM	LOC119068183|XP_037027573.1|BCOP, LOC119068182|XP_037027572.1|BCOP, LOC119081077|XP_037045715.1|BCOP, LOC119069201|XP_037029057.1|BCOP, LOC119068184|XP_037027574.1|BCOP, LOC119068185|XP_037027575.1|BCOP
OG0000832	LOC6734693|XP_016027891.1|DSIM	LOC119081551|XP_037046469.1|BCOP
OG0000836	LOC6733108|XP_016025823.1|DSIM, LOC6731817|XP_002078952.1|DSIM	LOC119085395|XP_037051689.1|BCOP
OG0000837	LOC6725118|XP_016038092.1|DSIM	LOC119076471|XP_037039142.1|BCOP
OG0000838	LOC27207718|XP_016025445.1|DSIM, LOC27209469|XP_039150405.1|DSIM	LOC119068074|XP_037027375.1|BCOP
OG0000839	LOC6726841|XP_016033353.1|DSIM, LOC6727369|XP_002102754.1|DSIM	LOC119070071|XP_037030263.1|BCOP
OG0000840	LOC6733220|XP_002080283.1|DSIM, LOC6725379|XP_016038437.1|DSIM	LOC119080753|XP_037045206.1|BCOP
OG0000841	LOC6740373|XP_016022669.1|DSIM	LOC119084366|XP_037050211.1|BCOP
OG0000842	LOC6739314|XP_016026415.1|DSIM, LOC6727322|XP_002102708.1|DSIM	LOC119072389|XP_037033493.1|BCOP, LOC119072384|XP_037033480.1|BCOP
OG0000843	LOC6735977|XP_002082886.1|DSIM	LOC119079035|XP_037042717.1|BCOP
OG0000844	LOC6739509|XP_016029392.1|DSIM, LOC6727042|XP_016033530.1|DSIM	LOC119083170|XP_037048724.1|BCOP
OG0000846	LOC6730078|XP_002105371.1|DSIM	LOC119068707|XP_037028291.1|BCOP, LOC119070787|XP_037031160.1|BCOP, LOC119079003|XP_037042665.1|BCOP
OG0000847	LOC6734226|XP_016027269.1|DSIM, LOC6736107|XP_002083007.2|DSIM	LOC119072346|XP_037033430.1|BCOP
OG0000854	LOC6725205|XP_016038231.1|DSIM, LOC6725208|XP_002106231.3|DSIM	LOC119069498|XP_037029463.1|BCOP
OG0000855	LOC6739917|XP_002076807.1|DSIM, LOC6728956|XP_002104284.3|DSIM	LOC119068890|XP_037028652.1|BCOP
OG0000856	LOC27208055|XP_016039310.1|DSIM, LOC6739014|XP_016032853.1|DSIM	LOC119067987|XP_037027238.1|BCOP
OG0000857	LOC6726562|XP_002107516.2|DSIM	LOC119068999|XP_037028771.1|BCOP, LOC119072698|XP_037033864.1|BCOP
OG0000858	LOC6728285|XP_002103634.1|DSIM, LOC6728284|XP_002103633.1|DSIM	LOC119083251|XP_037048820.1|BCOP, LOC119067888|XP_037027065.1|BCOP
OG0000860	LOC6738877|XP_002085672.2|DSIM, LOC6736569|XP_016030160.1|DSIM	LOC119079717|XP_037043668.1|BCOP, LOC119075551|XP_037037913.1|BCOP
OG0000861	LOC6735913|XP_002082823.3|DSIM	LOC119074061|XP_037035907.1|BCOP
OG0000862	LOC6735479|XP_002082418.1|DSIM, LOC6731117|XP_002078274.1|DSIM	LOC119073900|XP_037035684.1|BCOP
OG0000863	LOC6729083|XP_002104404.1|DSIM	LOC119066209|XP_037024425.1|BCOP
OG0000864	LOC6732212|XP_002079341.1|DSIM, LOC27206792|XP_016039129.1|DSIM	LOC119066527|XP_037024946.1|BCOP
OG0000865	LOC6726638|XP_016040376.1|DSIM, LOC6728775|XP_016035453.1|DSIM	LOC119073880|XP_037035655.1|BCOP
OG0000866	LOC6730547|XP_016022999.1|DSIM, LOC6730548|XP_039150675.1|DSIM	LOC119066067|XP_037024188.1|BCOP
OG0000867	LOC6732361|XP_016025009.1|DSIM, LOC6731776|XP_016024471.1|DSIM	LOC119067861|XP_037027007.1|BCOP
OG0000868	LOC6725650|XP_016038863.1|DSIM	LOC119072834|XP_037034037.1|BCOP
OG0000869	LOC6727058|XP_002102455.1|DSIM	LOC119071912|XP_037032926.1|BCOP
OG0000870	LOC6735965|XP_016029314.1|DSIM	LOC119079910|XP_037043895.1|BCOP
OG0000871	LOC6734093|XP_016027088.1|DSIM	LOC119066342|XP_037024650.1|BCOP, LOC119080211|XP_037044344.1|BCOP, LOC119084154|XP_037049900.1|BCOP, LOC119073231|XP_037034438.1|BCOP, LOC119073153|XP_037034349.1|BCOP, LOC119084536|XP_037050440.1|BCOP, LOC119079324|XP_037043015.1|BCOP, LOC119069709|XP_037029728.1|BCOP, LOC119069530|XP_037029500.1|BCOP, LOC119070130|XP_037030348.1|BCOP, LOC119071216|XP_037031920.1|BCOP, LOC119079423|XP_037043223.1|BCOP, LOC119082646|XP_037048121.1|BCOP, LOC119071173|XP_037031831.1|BCOP
OG0000872	LOC27206337|XP_016022765.1|DSIM	LOC119072985|XP_037034201.1|BCOP
OG0000873	LOC6739100|XP_016032941.2|DSIM	LOC119066871|XP_037025438.1|BCOP, LOC119066872|XP_037025441.1|BCOP
OG0000874	LOC6725130|XP_002106156.2|DSIM, LOC6734802|XP_016028012.1|DSIM	LOC119071112|XP_037031653.1|BCOP
OG0000875	LOC6738776|XP_002085576.1|DSIM	LOC119085447|XP_037051763.1|BCOP
OG0000877	LOC6738716|XP_016032529.1|DSIM, LOC6724764|XP_016037515.1|DSIM	LOC119080405|XP_037044630.1|BCOP
OG0000882	LOC6726164|XP_016039699.1|DSIM, LOC120285248|XP_039152511.1|DSIM, LOC6733058|XP_039154259.1|DSIM	LOC119067316|XP_037026121.1|BCOP
OG0000883	LOC6725941|XP_002106924.1|DSIM	LOC119068362|XP_037027826.1|BCOP, LOC119068300|XP_037027736.1|BCOP, LOC119080995|XP_037045546.1|BCOP, LOC119080818|XP_037045280.1|BCOP, LOC119085737|XP_037052100.1|BCOP, LOC119080377|XP_037044580.1|BCOP, LOC119085741|XP_037052103.1|BCOP, LOC119073230|XP_037034437.1|BCOP, LOC119078909|XP_037042534.1|BCOP
OG0000884	LOC6730988|XP_016023454.1|DSIM, LOC6740029|XP_039152469.1|DSIM	LOC119068721|XP_037028308.1|BCOP
OG0000885	LOC6727510|XP_016034090.1|DSIM	LOC119068824|XP_037028491.1|BCOP
OG0000886	LOC6727553|XP_016034129.1|DSIM	LOC119083322|XP_037048902.1|BCOP, LOC119083347|XP_037048934.1|BCOP
OG0000887	LOC6725644|XP_016038865.1|DSIM	LOC119070304|XP_037030468.1|BCOP
OG0000888	LOC6734411|XP_016029676.1|DSIM	LOC119080382|XP_037044584.1|BCOP
OG0000889	LOC6739135|XP_039149460.1|DSIM	LOC119080079|XP_037044194.1|BCOP
OG0000890	LOC27206331|XP_039147269.1|DSIM, LOC120285365|XP_039153789.1|DSIM	LOC119074495|XP_037036542.1|BCOP
OG0000891	LOC6732232|XP_016024910.1|DSIM, LOC6732042|XP_002079174.1|DSIM	LOC119071905|XP_037032913.1|BCOP
OG0000892	LOC6737650|XP_002084482.1|DSIM, LOC6738871|XP_039149421.1|DSIM	LOC119078708|XP_037042273.1|BCOP
