Orthogroup	DSIM.longest_only	BTRY.longest_only
OG0002428	LOC27206829|XP_039152615.1|DSIM	LOC120775449|XP_039961568.1|BTRY
OG0002429	LOC6736521|XP_016030099.1|DSIM	LOC120779062|XP_039967129.1|BTRY
OG0002430	LOC6733353|XP_016026265.1|DSIM	LOC120771257|XP_039955108.1|BTRY
OG0002431	LOC6735260|XP_016028609.1|DSIM	LOC120770134|XP_039953251.1|BTRY
OG0002432	LOC6725116|XP_002106142.2|DSIM	LOC120775497|XP_039961638.1|BTRY
OG0002433	LOC27206449|XP_016034079.2|DSIM	LOC120772986|XP_039957833.1|BTRY, LOC120766556|XP_039948074.1|BTRY
OG0002434	LOC6728754|XP_016035429.1|DSIM	LOC120782031|XP_039970121.1|BTRY
OG0002435	LOC6740059|XP_039153669.1|DSIM	LOC120773655|XP_039958601.1|BTRY
OG0002436	LOC6734390|XP_016027512.1|DSIM	LOC120771066|XP_039954806.1|BTRY
OG0002437	LOC6734351|XP_016027426.1|DSIM	LOC120770736|XP_039954258.1|BTRY
OG0002438	LOC6724893|XP_039152674.1|DSIM	LOC120772843|XP_039957589.1|BTRY
OG0002439	LOC6731158|XP_016023708.1|DSIM	LOC120769154|XP_039951970.1|BTRY
OG0002440	LOC6738521|XP_016032364.1|DSIM	LOC120777611|XP_039964994.1|BTRY
OG0002441	LOC6733748|XP_016026708.1|DSIM	LOC120781985|XP_039970089.1|BTRY
OG0002442	LOC6734940|XP_002081937.1|DSIM	LOC120771280|XP_039955140.1|BTRY, LOC120771819|XP_039955970.1|BTRY
OG0002443	LOC6733918|XP_039147981.1|DSIM	LOC120770424|XP_039953807.1|BTRY
OG0002444	LOC27208017|XP_039148137.1|DSIM	LOC120771392|XP_039955292.1|BTRY
OG0002445	LOC6734368|XP_016027449.1|DSIM	LOC120771921|XP_039956145.1|BTRY
OG0002446	LOC6734532|XP_002081541.1|DSIM	LOC120771129|XP_039954919.1|BTRY
OG0002447	LOC6737879|XP_016031661.1|DSIM	LOC120777891|XP_039965388.1|BTRY
OG0002448	LOC6735605|XP_016028967.1|DSIM	LOC120768487|XP_039951137.1|BTRY
OG0002449	LOC6734830|XP_016028063.1|DSIM	LOC120777834|XP_039965305.1|BTRY, LOC120772658|XP_039957323.1|BTRY
OG0002450	LOC6728624|XP_002103965.2|DSIM	LOC120777182|XP_039964280.1|BTRY
OG0002451	LOC6733615|XP_016026573.1|DSIM	LOC120770096|XP_039953188.1|BTRY
OG0002452	LOC6735693|XP_002082609.1|DSIM	LOC120771019|XP_039954728.1|BTRY
OG0002453	LOC6735692|XP_002082608.2|DSIM	LOC120771706|XP_039955774.1|BTRY
OG0002454	LOC6736263|XP_016029752.1|DSIM	LOC120777671|XP_039965064.1|BTRY
OG0002455	LOC6736264|XP_002083148.2|DSIM	LOC120777669|XP_039965061.1|BTRY
OG0002456	LOC6735799|XP_039147421.1|DSIM	LOC120772805|XP_039957521.1|BTRY
OG0002457	LOC6733400|XP_016026322.1|DSIM	LOC120781234|XP_039969306.1|BTRY
OG0002458	LOC6739222|XP_002076132.2|DSIM	LOC120779032|XP_039967088.1|BTRY
OG0002459	LOC6734330|XP_016027403.1|DSIM	LOC120770448|XP_039953858.1|BTRY
OG0002460	LOC27206597|XP_039148049.1|DSIM	LOC120771644|XP_039955689.1|BTRY
OG0002461	LOC6734861|XP_002081862.2|DSIM	LOC120772043|XP_039956349.1|BTRY
OG0002462	LOC6735220|XP_016028533.1|DSIM	LOC120772889|XP_039957674.1|BTRY
OG0002463	LOC6735995|XP_002082904.1|DSIM	LOC120771625|XP_039955649.1|BTRY
OG0002464	LOC6734938|XP_002081935.1|DSIM	LOC120771338|XP_039955217.1|BTRY, LOC120771330|XP_039955209.1|BTRY
OG0002465	LOC6733187|XP_002080263.1|DSIM	LOC120772423|XP_039956968.1|BTRY, LOC120772199|XP_039956599.1|BTRY
OG0002466	LOC27207985|XP_016037292.1|DSIM	LOC120772969|XP_039957810.1|BTRY
OG0002467	LOC6736882|XP_016030527.1|DSIM	LOC120778616|XP_039966428.1|BTRY, LOC120777648|XP_039965034.1|BTRY
OG0002468	LOC6737920|XP_016031688.1|DSIM	LOC120777808|XP_039965277.1|BTRY, LOC120777065|XP_039964124.1|BTRY
OG0002469	LOC6726651|XP_016033139.1|DSIM	LOC120780051|XP_039968258.1|BTRY, LOC120768776|XP_039951473.1|BTRY
OG0002470	LOC6739364|XP_002076270.2|DSIM	LOC120770392|XP_039953756.1|BTRY
OG0002471	LOC6733713|XP_016026681.1|DSIM	LOC120772957|XP_039957795.1|BTRY
OG0002472	LOC6734111|XP_016027123.1|DSIM	LOC120772377|XP_039956895.1|BTRY
OG0002473	LOC6734044|XP_002081080.1|DSIM	LOC120772947|XP_039957784.1|BTRY
OG0002474	LOC6738170|XP_039150306.1|DSIM	LOC120779129|XP_039967267.1|BTRY
OG0002475	LOC6730195|XP_016036951.1|DSIM	LOC120782329|XP_039970489.1|BTRY
OG0002476	LOC6735718|XP_002082634.1|DSIM	LOC120772437|XP_039956988.1|BTRY
OG0002477	LOC6735341|XP_002082289.2|DSIM	LOC120772891|XP_039957695.1|BTRY
OG0002478	LOC27206180|XP_039147460.1|DSIM	LOC120771501|XP_039955488.1|BTRY
OG0002479	LOC6734436|XP_002081456.1|DSIM	LOC120772626|XP_039957276.1|BTRY
OG0002480	LOC6739534|XP_039148378.1|DSIM	LOC120771008|XP_039954707.1|BTRY
OG0002481	LOC27206677|XP_016037722.1|DSIM	LOC120775556|XP_039961716.1|BTRY
OG0002482	LOC6734349|XP_016027425.1|DSIM	LOC120772446|XP_039957000.1|BTRY
OG0002483	LOC6735956|XP_002082865.1|DSIM	LOC120772494|XP_039957075.1|BTRY
OG0002484	LOC6734926|XP_002081923.1|DSIM	LOC120772191|XP_039956591.1|BTRY
OG0002485	LOC6733595|XP_002080649.1|DSIM	LOC120771032|XP_039954749.1|BTRY
OG0002486	LOC6738783|XP_002085583.1|DSIM	LOC120776531|XP_039963198.1|BTRY
OG0002487	LOC27207868|XP_016025850.1|DSIM	LOC120769616|XP_039952650.1|BTRY
OG0002488	LOC27206187|XP_016029013.1|DSIM	LOC120779561|XP_039967836.1|BTRY, LOC120780372|XP_039968595.1|BTRY
OG0002489	LOC6738658|XP_016032479.1|DSIM	LOC120776802|XP_039963730.1|BTRY
OG0002490	LOC6735345|XP_002082292.2|DSIM	LOC120772999|XP_039957845.1|BTRY
OG0002491	LOC6739035|XP_016032873.1|DSIM	LOC120776601|XP_039963319.1|BTRY
OG0002492	LOC6735051|XP_039148567.1|DSIM	LOC120772808|XP_039957532.1|BTRY
OG0002493	LOC6733606|XP_002080660.1|DSIM	LOC120774414|XP_039959974.1|BTRY
OG0002494	LOC6728761|XP_016035440.1|DSIM	LOC120782638|XP_039970940.1|BTRY
OG0002495	LOC6734584|XP_039148632.1|DSIM	LOC120771466|XP_039955411.1|BTRY
OG0002496	LOC6729701|XP_002105007.1|DSIM	LOC120779431|XP_039967601.1|BTRY
OG0002497	LOC6738273|XP_002085084.3|DSIM	LOC120778318|XP_039966047.1|BTRY
OG0002498	LOC6738991|XP_016032817.1|DSIM	LOC120777732|XP_039965156.1|BTRY
OG0002499	LOC6736239|XP_016029742.1|DSIM	LOC120777009|XP_039964044.1|BTRY
OG0002500	LOC6740232|XP_002077111.1|DSIM, LOC27206426|XP_016036653.1|DSIM	LOC120766723|XP_039948304.1|BTRY
OG0002501	LOC6731012|XP_002078173.2|DSIM	LOC120768913|XP_039951614.1|BTRY, LOC120774038|XP_039959309.1|BTRY, LOC120766516|XP_039948015.1|BTRY, LOC120769151|XP_039951964.1|BTRY
OG0002502	LOC27209259|XP_016027031.1|DSIM, LOC6739390|XP_002076296.1|DSIM	LOC120770066|XP_039953120.1|BTRY
OG0002504	LOC6737891|XP_016031675.1|DSIM	LOC120781950|XP_039970046.1|BTRY, LOC120781949|XP_039970045.1|BTRY
OG0002508	LOC27208156|XP_016022757.1|DSIM	LOC120776174|XP_039962721.1|BTRY
OG0002509	LOC6733412|XP_016026349.1|DSIM	LOC120774089|XP_039959356.1|BTRY
OG0002510	LOC6726633|XP_016040360.1|DSIM	LOC120775817|XP_039962105.1|BTRY
OG0002511	LOC6728198|XP_039151553.1|DSIM	LOC120766976|XP_039948702.1|BTRY
OG0002512	LOC6724706|XP_016022628.1|DSIM	LOC120779451|XP_039967636.1|BTRY
OG0002513	LOC6728730|XP_039150607.1|DSIM	LOC120774790|XP_039960505.1|BTRY, LOC120766379|XP_039947746.1|BTRY
OG0002514	LOC6736303|XP_039148933.1|DSIM	LOC120774386|XP_039959930.1|BTRY
OG0002516	LOC6729653|XP_016036300.1|DSIM	LOC120766939|XP_039948623.1|BTRY
OG0002517	LOC6725884|XP_039153766.1|DSIM	LOC120775195|XP_039961184.1|BTRY
OG0002518	LOC6727579|XP_039150905.1|DSIM	LOC120766202|XP_039947500.1|BTRY
OG0002519	LOC6735485|XP_002082424.1|DSIM	LOC120771419|XP_039955335.1|BTRY
OG0002520	LOC27208731|XP_016038237.1|DSIM	LOC120774525|XP_039960168.1|BTRY
OG0002521	LOC27208320|XP_016039926.1|DSIM	LOC120775279|XP_039961311.1|BTRY
OG0002522	LOC6727573|XP_002102952.1|DSIM	LOC120766689|XP_039948269.1|BTRY
OG0002523	LOC6730321|XP_016037084.1|DSIM	LOC120779779|XP_039968090.1|BTRY
OG0002524	LOC6725161|XP_039153209.1|DSIM	LOC120774070|XP_039959315.1|BTRY
OG0002525	LOC6736859|XP_002083715.1|DSIM	LOC120777853|XP_039965329.1|BTRY
OG0002526	LOC6727983|XP_002103335.1|DSIM	LOC120780785|XP_039968972.1|BTRY
OG0002528	LOC6725313|XP_039153645.1|DSIM	LOC120776176|XP_039962723.1|BTRY
OG0002529	LOC6739736|XP_016034340.1|DSIM	LOC120775011|XP_039960890.1|BTRY
OG0002530	LOC6732850|XP_002079960.1|DSIM	LOC120770598|XP_039954134.1|BTRY
OG0002531	LOC6731162|XP_016023712.1|DSIM	LOC120781428|XP_039969583.1|BTRY
OG0002533	LOC6726623|XP_016040317.1|DSIM	LOC120774798|XP_039960524.1|BTRY
OG0002534	LOC6734019|XP_002081058.2|DSIM	LOC120772082|XP_039956413.1|BTRY
OG0002535	LOC6738638|XP_002085440.1|DSIM	LOC120779003|XP_039967041.1|BTRY
OG0002536	LOC6730074|XP_016036844.1|DSIM	LOC120766844|XP_039948493.1|BTRY
OG0002537	LOC6735993|XP_016029362.1|DSIM	LOC120776668|XP_039963511.1|BTRY, LOC120776403|XP_039963005.1|BTRY
OG0002539	LOC6736131|XP_002083031.2|DSIM	LOC120771997|XP_039956288.1|BTRY
OG0002540	LOC6727979|XP_016034570.1|DSIM	LOC120775436|XP_039961556.1|BTRY
OG0002541	LOC6726291|XP_016039782.1|DSIM	LOC120782582|XP_039970863.1|BTRY
OG0002542	LOC6726463|XP_002107420.1|DSIM	LOC120775248|XP_039961262.1|BTRY
OG0002543	LOC6725831|XP_002106827.1|DSIM	LOC120775563|XP_039961722.1|BTRY
OG0002544	LOC6729076|XP_002104397.3|DSIM	LOC120782783|XP_039971185.1|BTRY
OG0002545	LOC6724869|XP_016037676.1|DSIM	LOC120775569|XP_039961731.1|BTRY
OG0002547	LOC6725263|XP_016038268.1|DSIM	LOC120774963|XP_039960785.1|BTRY
OG0002548	LOC27207333|XP_039152306.1|DSIM	LOC120774506|XP_039960120.1|BTRY
OG0002549	LOC6726209|XP_039153554.1|DSIM	LOC120774204|XP_039959581.1|BTRY
OG0002550	LOC6725894|XP_039152434.1|DSIM	LOC120773756|XP_039958758.1|BTRY
OG0002551	LOC6730384|XP_002105666.1|DSIM	LOC120782701|XP_039971035.1|BTRY
OG0002552	LOC6733021|XP_002080100.1|DSIM	LOC120778824|XP_039966767.1|BTRY
OG0002553	LOC6726624|XP_016040328.1|DSIM	LOC120782163|XP_039970228.1|BTRY
OG0002554	LOC6725276|XP_016038287.1|DSIM	LOC120774761|XP_039960454.1|BTRY
OG0002555	LOC6725198|XP_016038226.1|DSIM	LOC120774754|XP_039960447.1|BTRY
OG0002556	LOC6731161|XP_016023711.1|DSIM	LOC120767779|XP_039949958.1|BTRY
OG0002557	LOC6725859|XP_002106855.1|DSIM	LOC120774276|XP_039959700.1|BTRY
OG0002558	LOC6729276|XP_002104596.1|DSIM	LOC120770004|XP_039953032.1|BTRY
OG0002559	LOC27206972|XP_039154255.1|DSIM	LOC120780847|XP_039969020.1|BTRY
OG0002560	LOC27206459|XP_016033794.1|DSIM	LOC120782401|XP_039970581.1|BTRY
OG0002561	LOC6727484|XP_016034074.1|DSIM	LOC120778473|XP_039966224.1|BTRY
OG0002562	LOC6740627|XP_016038944.1|DSIM	LOC120775682|XP_039961915.1|BTRY
OG0002563	LOC6726226|XP_016039754.2|DSIM	LOC120775787|XP_039962058.1|BTRY
OG0002564	LOC6730225|XP_016036978.1|DSIM	LOC120766905|XP_039948589.1|BTRY
OG0002565	LOC6728826|XP_002104160.1|DSIM	LOC120777614|XP_039965000.1|BTRY
OG0002566	LOC6727578|XP_016034172.2|DSIM	LOC120766603|XP_039948145.1|BTRY
OG0002567	LOC6725224|XP_016038238.1|DSIM	LOC120773937|XP_039959082.1|BTRY
OG0002568	LOC6728881|XP_002104214.2|DSIM	LOC120774976|XP_039960806.1|BTRY
OG0002569	LOC6738837|XP_002085637.1|DSIM	LOC120768414|XP_039951032.1|BTRY
OG0002570	LOC6727548|XP_039150875.1|DSIM	LOC120781432|XP_039969590.1|BTRY
OG0002571	LOC6727550|XP_016034124.1|DSIM	LOC120766966|XP_039948690.1|BTRY
OG0002573	LOC27206424|XP_016034153.1|DSIM	LOC120768694|XP_039951403.1|BTRY
OG0002574	LOC6727575|XP_002102954.1|DSIM	LOC120766393|XP_039947769.1|BTRY
OG0002575	LOC6728453|XP_016035067.1|DSIM	LOC120782433|XP_039970651.1|BTRY
OG0002576	LOC27207928|XP_016026097.1|DSIM, LOC120285625|XP_039154187.1|DSIM	LOC120774322|XP_039959798.1|BTRY
OG0002577	LOC6738455|XP_016032289.1|DSIM	LOC120778665|XP_039966528.1|BTRY
OG0002578	LOC6730967|XP_002078129.2|DSIM	LOC120767323|XP_039949191.1|BTRY
OG0002580	LOC6734210|XP_002081239.2|DSIM	LOC120776072|XP_039962476.1|BTRY
OG0002581	LOC6729301|XP_039151509.1|DSIM	LOC120771228|XP_039955076.1|BTRY
OG0002582	LOC27206689|XP_016035406.1|DSIM	LOC120780647|XP_039968845.1|BTRY
OG0002583	LOC6728657|XP_016035302.1|DSIM	LOC120782751|XP_039971130.1|BTRY
OG0002584	LOC6738662|XP_016032483.1|DSIM	LOC120776878|XP_039963871.1|BTRY
OG0002585	LOC6738661|XP_002085463.1|DSIM	LOC120776879|XP_039963872.1|BTRY
OG0002586	LOC6727508|XP_016034088.1|DSIM	LOC120771027|XP_039954742.1|BTRY
OG0002587	LOC6728968|XP_002104296.1|DSIM	LOC120782263|XP_039970366.1|BTRY
OG0002588	LOC27206438|XP_016035396.1|DSIM	LOC120782594|XP_039970880.1|BTRY
OG0002589	LOC6729769|XP_016036456.1|DSIM	LOC120770803|XP_039954319.1|BTRY
OG0002590	LOC6726148|XP_016039673.1|DSIM	LOC120781096|XP_039969172.1|BTRY
OG0002591	LOC6730270|XP_039151131.1|DSIM	LOC120767022|XP_039948788.1|BTRY
OG0002592	LOC6729873|XP_016036636.2|DSIM	LOC120767201|XP_039948942.1|BTRY
OG0002593	LOC6729869|XP_016036619.1|DSIM	LOC120766946|XP_039948629.1|BTRY
OG0002594	LOC6728148|XP_016034761.1|DSIM	LOC120770540|XP_039954034.1|BTRY
OG0002595	LOC6727500|XP_039150710.1|DSIM	LOC120768537|XP_039951212.1|BTRY
OG0002596	LOC6728211|XP_016034849.1|DSIM	LOC120774297|XP_039959757.1|BTRY
OG0002597	LOC6728672|XP_016035336.1|DSIM	LOC120770030|XP_039953079.1|BTRY
OG0002598	LOC6729174|XP_016035824.1|DSIM	LOC120782302|XP_039970446.1|BTRY
OG0002599	LOC6728737|XP_002104072.1|DSIM	LOC120780465|XP_039968677.1|BTRY
OG0002600	LOC6733798|XP_016026757.1|DSIM	LOC120781239|XP_039969313.1|BTRY
OG0002601	LOC6727192|XP_016033680.1|DSIM	LOC120782853|XP_039971318.1|BTRY
OG0002602	LOC27206707|XP_016036711.1|DSIM	LOC120772346|XP_039956847.1|BTRY
OG0002603	LOC6730177|XP_016036935.1|DSIM	LOC120770503|XP_039953964.1|BTRY
OG0002604	LOC6730176|XP_039150406.1|DSIM	LOC120766442|XP_039947884.1|BTRY
OG0002605	LOC27208744|XP_016034960.1|DSIM	LOC120782573|XP_039970845.1|BTRY
OG0002606	LOC6728189|XP_016034819.1|DSIM	LOC120776239|XP_039962779.1|BTRY
OG0002607	LOC6727153|XP_002102546.1|DSIM	LOC120766720|XP_039948301.1|BTRY
OG0002608	LOC6727857|XP_039151843.1|DSIM	LOC120769344|XP_039952242.1|BTRY
OG0002609	LOC6734070|XP_002081105.1|DSIM	LOC120781249|XP_039969331.1|BTRY
OG0002610	LOC6727222|XP_002102614.1|DSIM	LOC120771858|XP_039956044.1|BTRY
OG0002611	LOC6728795|XP_002104130.1|DSIM	LOC120780483|XP_039968693.1|BTRY
OG0002612	LOC6727353|XP_002102738.1|DSIM	LOC120766321|XP_039947677.1|BTRY
OG0002613	LOC6729338|XP_016035980.1|DSIM	LOC120778961|XP_039966973.1|BTRY
OG0002614	LOC6729747|XP_016036406.1|DSIM	LOC120782415|XP_039970598.1|BTRY
OG0002615	LOC6736527|XP_016030114.1|DSIM	LOC120777118|XP_039964190.1|BTRY
OG0002616	LOC6729855|XP_016036590.1|DSIM	LOC120768750|XP_039951458.1|BTRY
OG0002617	LOC6728755|XP_002104090.1|DSIM	LOC120780337|XP_039968568.1|BTRY, LOC120780336|XP_039968567.1|BTRY
OG0002618	LOC6726693|XP_016033181.1|DSIM	LOC120770826|XP_039954349.1|BTRY
OG0002619	LOC6727743|XP_016034312.1|DSIM	LOC120766878|XP_039948542.1|BTRY
OG0002620	LOC6729436|XP_016036076.1|DSIM	LOC120766933|XP_039948614.1|BTRY
OG0002621	LOC6729140|XP_002104461.1|DSIM	LOC120782319|XP_039970474.1|BTRY
OG0002622	LOC6738261|XP_016032139.1|DSIM	LOC120777737|XP_039965162.1|BTRY
OG0002623	LOC6728825|XP_002104159.1|DSIM	LOC120766885|XP_039948563.1|BTRY
OG0002624	LOC6729027|XP_002104348.1|DSIM	LOC120779463|XP_039967662.1|BTRY
OG0002625	LOC6729034|XP_016035692.2|DSIM	LOC120767079|XP_039948880.1|BTRY
OG0002626	LOC6725396|XP_002106412.1|DSIM	LOC120774446|XP_039960029.1|BTRY
OG0002627	LOC6729109|XP_016035753.1|DSIM	LOC120766368|XP_039947731.1|BTRY
OG0002628	LOC6726889|XP_039151683.1|DSIM	LOC120770331|XP_039953662.1|BTRY
OG0002629	LOC6728529|XP_039151773.1|DSIM	LOC120766805|XP_039948481.1|BTRY
OG0002630	LOC6727913|XP_016034530.1|DSIM	LOC120769544|XP_039952527.1|BTRY
OG0002631	LOC6729501|XP_016036174.1|DSIM	LOC120766188|XP_039947477.1|BTRY
OG0002632	LOC6728137|XP_002103488.1|DSIM	LOC120782551|XP_039970814.1|BTRY
OG0002633	LOC6727562|XP_002102941.2|DSIM	LOC120780591|XP_039968787.1|BTRY
OG0002634	LOC6728111|XP_016034730.1|DSIM	LOC120782332|XP_039970492.1|BTRY
OG0002635	LOC27209030|XP_016035380.1|DSIM	LOC120767297|XP_039949116.1|BTRY
OG0002636	LOC6726648|XP_002102059.1|DSIM	LOC120773877|XP_039958974.1|BTRY
OG0002637	LOC6732050|XP_016024733.1|DSIM	LOC120767432|XP_039949413.1|BTRY
OG0002638	LOC6730149|XP_016036913.1|DSIM	LOC120775408|XP_039961510.1|BTRY
OG0002639	LOC6728464|XP_016035086.1|DSIM	LOC120775245|XP_039961263.1|BTRY
OG0002640	LOC6728175|XP_016034793.1|DSIM	LOC120776873|XP_039963868.1|BTRY
OG0002641	LOC6728174|XP_039151562.1|DSIM	LOC120769759|XP_039952860.1|BTRY
OG0002642	LOC6728173|XP_002103522.1|DSIM	LOC120778518|XP_039966290.1|BTRY
OG0002643	LOC6728172|XP_016034783.1|DSIM	LOC120778499|XP_039966262.1|BTRY
OG0002644	LOC6726936|XP_002102338.1|DSIM	LOC120766996|XP_039948737.1|BTRY
OG0002645	LOC6726929|XP_039150857.1|DSIM	LOC120766920|XP_039948599.1|BTRY
OG0002646	LOC6739769|XP_002076660.1|DSIM	LOC120782709|XP_039971061.1|BTRY
OG0002647	LOC6728986|XP_002104308.1|DSIM	LOC120775580|XP_039961753.1|BTRY
OG0002648	LOC6727152|XP_016033637.1|DSIM	LOC120782554|XP_039970819.1|BTRY
OG0002649	LOC6729002|XP_002104323.2|DSIM	LOC120782856|XP_039971321.1|BTRY
OG0002650	LOC6728987|XP_002104309.1|DSIM	LOC120768405|XP_039951022.1|BTRY
OG0002651	LOC6727855|XP_002103210.2|DSIM	LOC120782434|XP_039970653.1|BTRY
OG0002652	LOC6727256|XP_016033762.1|DSIM	LOC120766612|XP_039948154.1|BTRY
OG0002653	LOC6729929|XP_039151206.1|DSIM	LOC120782161|XP_039970227.1|BTRY
OG0002654	LOC6729927|XP_016036686.1|DSIM	LOC120775625|XP_039961852.1|BTRY
OG0002655	LOC6727355|XP_016033885.1|DSIM	LOC120782326|XP_039970485.1|BTRY
OG0002656	LOC6728232|XP_016034870.1|DSIM	LOC120772194|XP_039956597.1|BTRY
OG0002657	LOC6728727|XP_016035381.1|DSIM	LOC120767296|XP_039949114.1|BTRY
OG0002658	LOC6730315|XP_002105598.2|DSIM	LOC120782542|XP_039970807.1|BTRY
OG0002659	LOC6729956|XP_016036720.1|DSIM	LOC120778754|XP_039966667.1|BTRY
OG0002660	LOC6740116|XP_002076998.2|DSIM	LOC120773856|XP_039958934.1|BTRY
OG0002661	LOC6729921|XP_039151701.1|DSIM	LOC120782454|XP_039970676.1|BTRY
OG0002662	LOC6736133|XP_016029523.1|DSIM	LOC120770978|XP_039954650.1|BTRY
OG0002663	LOC6729376|XP_016036014.1|DSIM	LOC120782589|XP_039970874.1|BTRY
OG0002664	LOC6733135|XP_016022836.1|DSIM	LOC120767690|XP_039949815.1|BTRY
OG0002665	LOC6739329|XP_016026474.1|DSIM	LOC120771651|XP_039955699.1|BTRY
OG0002666	LOC6733503|XP_016026461.1|DSIM	LOC120771788|XP_039955915.1|BTRY
OG0002667	LOC6733816|XP_016026787.1|DSIM	LOC120781205|XP_039969255.1|BTRY
OG0002668	LOC6736393|XP_016029898.1|DSIM	LOC120777015|XP_039964053.1|BTRY
OG0002669	LOC6731532|XP_002078679.1|DSIM	LOC120777942|XP_039965478.1|BTRY
OG0002670	LOC6737178|XP_002084024.1|DSIM	LOC120776639|XP_039963398.1|BTRY
OG0002671	LOC6737174|XP_016030859.1|DSIM	LOC120777372|XP_039964584.1|BTRY
OG0002672	LOC6735511|XP_016028849.1|DSIM	LOC120772222|XP_039956636.1|BTRY
OG0002673	LOC6736002|XP_002082911.1|DSIM	LOC120771432|XP_039955362.1|BTRY
OG0002674	LOC6733813|XP_016026783.1|DSIM	LOC120771779|XP_039955904.1|BTRY
OG0002675	LOC6737112|XP_016030738.1|DSIM	LOC120777385|XP_039964611.1|BTRY
OG0002676	LOC6736121|XP_002083021.2|DSIM	LOC120770119|XP_039953231.1|BTRY
OG0002677	LOC6733349|XP_039148769.1|DSIM	LOC120773011|XP_039957867.1|BTRY
OG0002678	LOC6733968|XP_016027007.1|DSIM	LOC120770195|XP_039953369.1|BTRY
OG0002679	LOC6735991|XP_016029355.1|DSIM	LOC120771358|XP_039955246.1|BTRY, LOC120770055|XP_039953108.1|BTRY
OG0002680	LOC6724792|XP_016037567.1|DSIM	LOC120774733|XP_039960420.1|BTRY
OG0002681	LOC6735503|XP_016028839.1|DSIM	LOC120770849|XP_039954385.1|BTRY
OG0002682	LOC6736804|XP_002083660.2|DSIM	LOC120777809|XP_039965278.1|BTRY
OG0002683	LOC6728937|XP_016035614.2|DSIM	LOC120769170|XP_039951992.1|BTRY
OG0002684	LOC6740159|XP_016039619.1|DSIM	LOC120771292|XP_039955157.1|BTRY, LOC120776132|XP_039962597.1|BTRY
OG0002685	LOC6736283|XP_039149010.1|DSIM	LOC120778700|XP_039966589.1|BTRY
OG0002686	LOC6736488|XP_002083358.1|DSIM	LOC120776961|XP_039963986.1|BTRY
OG0002687	LOC6738670|XP_016032488.1|DSIM	LOC120776629|XP_039963372.1|BTRY
OG0002688	LOC6738426|XP_016032268.1|DSIM	LOC120779162|XP_039967321.1|BTRY, LOC120777649|XP_039965035.1|BTRY
OG0002689	LOC6725747|XP_002106747.1|DSIM	LOC120771267|XP_039955121.1|BTRY
OG0002690	LOC6737636|XP_002084468.1|DSIM	LOC120772018|XP_039956317.1|BTRY
OG0002691	LOC6735784|XP_002082697.2|DSIM	LOC120771518|XP_039955510.1|BTRY
OG0002692	LOC6736011|XP_016029387.1|DSIM	LOC120771138|XP_039954939.1|BTRY
OG0002693	LOC6736377|XP_016029880.2|DSIM	LOC120778893|XP_039966875.1|BTRY
OG0002694	LOC6733840|XP_002080884.1|DSIM	LOC120770453|XP_039953878.1|BTRY
OG0002695	LOC6736914|XP_016030559.1|DSIM	LOC120777495|XP_039964774.1|BTRY
OG0002696	LOC6738349|XP_016032194.1|DSIM	LOC120776495|XP_039963112.1|BTRY
OG0002697	LOC6737182|XP_016030883.1|DSIM	LOC120777720|XP_039965144.1|BTRY
OG0002698	LOC6736557|XP_016030135.1|DSIM	LOC120778888|XP_039966868.1|BTRY
OG0002699	LOC27206243|XP_016030742.2|DSIM	LOC120778889|XP_039966872.1|BTRY
OG0002700	LOC6738237|XP_039148944.1|DSIM	LOC120776527|XP_039963190.1|BTRY
OG0002701	LOC6735869|XP_039147824.1|DSIM	LOC120770537|XP_039954026.1|BTRY
OG0002702	LOC6735926|XP_016029283.1|DSIM	LOC120770193|XP_039953366.1|BTRY
OG0002703	LOC6733176|XP_016026055.1|DSIM	LOC120770831|XP_039954354.1|BTRY
OG0002704	LOC6734593|XP_002081601.1|DSIM	LOC120771410|XP_039955320.1|BTRY
OG0002705	LOC6737026|XP_016030648.1|DSIM	LOC120777051|XP_039964096.1|BTRY
OG0002706	LOC6739380|XP_016027009.1|DSIM	LOC120771879|XP_039956072.1|BTRY
OG0002707	LOC6736198|XP_016029629.1|DSIM	LOC120776947|XP_039963967.1|BTRY
OG0002708	LOC6738281|XP_002085092.2|DSIM	LOC120777180|XP_039964273.1|BTRY
OG0002709	LOC6733671|XP_039148251.1|DSIM	LOC120772265|XP_039956702.1|BTRY
OG0002710	LOC6735462|XP_002082401.1|DSIM	LOC120771919|XP_039956143.1|BTRY
OG0002711	LOC6735460|XP_002082399.2|DSIM	LOC120773039|XP_039957903.1|BTRY
OG0002712	LOC6735020|XP_016028295.1|DSIM	LOC120770290|XP_039953562.1|BTRY
OG0002713	LOC6734189|XP_039148073.1|DSIM	LOC120772629|XP_039957281.1|BTRY
OG0002714	LOC6733424|XP_016026366.1|DSIM	LOC120770160|XP_039953295.1|BTRY
OG0002715	LOC27206343|XP_016039730.1|DSIM	LOC120775777|XP_039962048.1|BTRY
OG0002716	LOC6736152|XP_016029543.1|DSIM	LOC120772702|XP_039957378.1|BTRY
OG0002717	LOC6728928|XP_016035607.1|DSIM	LOC120766417|XP_039947810.1|BTRY
OG0002718	LOC6737070|XP_002083917.1|DSIM	LOC120778316|XP_039966044.1|BTRY
OG0002719	LOC6728614|XP_002103955.1|DSIM	LOC120766803|XP_039948442.1|BTRY
