Orthogroup	DSIM.longest_only	HILL.longest_only
OG0001545	LOC6726613|XP_039153154.1|DSIM, LOC120285318|XP_039153151.1|DSIM	LOC119657564|XP_037920451.1|HILL, LOC119657548|XP_037920428.1|HILL
OG0001546	LOC6740416|XP_016040293.1|DSIM	LOC119656786|XP_037919302.1|HILL
OG0001548	LOC6726145|XP_039154018.1|DSIM	LOC119657373|XP_037920185.1|HILL
OG0001549	LOC6732556|XP_039147045.1|DSIM	LOC119650735|XP_037909704.1|HILL
OG0001550	LOC6728661|XP_016035313.1|DSIM	LOC119658946|XP_037922743.1|HILL
OG0001551	LOC6729170|XP_016035825.1|DSIM	LOC119652541|XP_037912674.1|HILL
OG0001552	LOC6728818|XP_002104152.1|DSIM	LOC119651886|XP_037911635.1|HILL
OG0001553	LOC6725030|XP_016037985.1|DSIM	LOC119653576|XP_037914245.1|HILL
OG0001554	LOC6728630|XP_016035265.1|DSIM	LOC119651111|XP_037910405.1|HILL
OG0001555	LOC6732735|XP_016025467.1|DSIM	LOC119661540|XP_037926852.1|HILL, LOC119659822|XP_037924038.1|HILL
OG0001556	LOC6735067|XP_002082044.1|DSIM	LOC119659266|XP_037923193.1|HILL
OG0001557	LOC6725701|XP_002106704.1|DSIM	LOC119660775|XP_037925478.1|HILL
OG0001558	LOC6726081|XP_016039499.1|DSIM	LOC119658461|XP_037921793.1|HILL
OG0001559	LOC6729382|XP_016036023.1|DSIM	LOC119652859|XP_037913143.1|HILL
OG0001560	LOC6727147|XP_016033629.1|DSIM	LOC119658725|XP_037922308.1|HILL
OG0001561	LOC6727716|XP_016034291.1|DSIM	LOC119652816|XP_037913068.1|HILL, LOC119652603|XP_037912763.1|HILL
OG0001562	LOC27206999|XP_016023789.1|DSIM	LOC119649645|XP_037907828.1|HILL
OG0001563	LOC27206984|XP_016025855.1|DSIM	LOC119656807|XP_037919347.1|HILL
OG0001564	LOC6729005|XP_039151349.1|DSIM	LOC119650926|XP_037910081.1|HILL
OG0001565	LOC6728976|XP_039150804.1|DSIM	LOC119659375|XP_037923359.1|HILL
OG0001566	LOC6728595|XP_016035226.1|DSIM	LOC119653247|XP_037913780.1|HILL
OG0001567	LOC6739388|XP_002076290.1|DSIM	LOC119655577|XP_037917438.1|HILL
OG0001569	LOC6728185|XP_002103534.1|DSIM	LOC119651771|XP_037911451.1|HILL
OG0001570	LOC6728230|XP_002103579.3|DSIM	LOC119650909|XP_037910058.1|HILL
OG0001571	LOC6731803|XP_016024487.1|DSIM	LOC119653208|XP_037913703.1|HILL
OG0001572	LOC6726122|XP_016039623.1|DSIM	LOC119661524|XP_037926828.1|HILL
OG0001573	LOC6736820|XP_016030472.1|DSIM	LOC119649346|XP_037907382.1|HILL
OG0001574	LOC6724763|XP_016037512.1|DSIM	LOC119649303|XP_037907328.1|HILL, LOC119661447|XP_037926718.1|HILL
OG0001575	LOC6729365|XP_016036001.1|DSIM	LOC119653103|XP_037913546.1|HILL
OG0001576	LOC6728555|XP_016035191.1|DSIM	LOC119646441|XP_037902819.1|HILL
OG0001577	LOC6730117|XP_016036878.1|DSIM	LOC119649888|XP_037908198.1|HILL
OG0001578	LOC6735123|XP_002082100.2|DSIM	LOC119646947|XP_037903570.1|HILL
OG0001579	LOC27207981|XP_016040090.1|DSIM	LOC119661610|XP_037926958.1|HILL
OG0001580	LOC6733904|XP_016026946.1|DSIM	LOC119648793|XP_037906607.1|HILL
OG0001581	LOC6725549|XP_039153936.1|DSIM	LOC119656055|XP_037918254.1|HILL, LOC119649348|XP_037907384.1|HILL
OG0001582	LOC6734175|XP_039147274.1|DSIM, LOC27207112|XP_039147277.1|DSIM	LOC119651815|XP_037911536.1|HILL
OG0001583	LOC6733442|XP_039148744.1|DSIM	LOC119659720|XP_037923903.1|HILL
OG0001585	LOC6725696|XP_039153357.1|DSIM	LOC119656002|XP_037918168.1|HILL
OG0001586	LOC6737129|XP_016030762.1|DSIM	LOC119647932|XP_037905200.1|HILL
OG0001587	LOC6733142|XP_002080219.1|DSIM	LOC119659167|XP_037923046.1|HILL
OG0001588	LOC6733415|XP_002080472.1|DSIM	LOC119658583|XP_037921967.1|HILL
OG0001589	LOC27207463|XP_016025926.1|DSIM	LOC119651375|XP_037910878.1|HILL
OG0001590	LOC6735254|XP_016028585.1|DSIM	LOC119655218|XP_037916923.1|HILL
OG0001591	LOC6726142|XP_016039669.1|DSIM, LOC6725765|XP_002106764.2|DSIM, LOC6730041|XP_016036813.1|DSIM	LOC119650695|XP_037909607.1|HILL
OG0001592	LOC6732105|XP_016024769.1|DSIM	LOC119661690|XP_037927063.1|HILL
OG0001593	LOC6732094|XP_016024767.1|DSIM	LOC119652228|XP_037912113.1|HILL, LOC119652545|XP_037912677.1|HILL
OG0001594	LOC6730979|XP_039148785.1|DSIM	LOC119655867|XP_037917922.1|HILL
OG0001595	LOC6734004|XP_039147438.1|DSIM	LOC119655772|XP_037917759.1|HILL
OG0001596	LOC6732838|XP_002079951.2|DSIM	LOC119648895|XP_037906722.1|HILL, LOC119651016|XP_037910244.1|HILL
OG0001597	LOC27207476|XP_016022815.2|DSIM	LOC119653034|XP_037913409.1|HILL
OG0001598	LOC6732313|XP_016024974.1|DSIM	LOC119653202|XP_037913698.1|HILL
OG0001599	LOC6731269|XP_002078427.1|DSIM	LOC119651069|XP_037910334.1|HILL
OG0001600	LOC6732377|XP_016025029.1|DSIM	LOC119652819|XP_037913074.1|HILL
OG0001601	LOC6731168|XP_002078326.1|DSIM	LOC119650829|XP_037909894.1|HILL
OG0001602	LOC6731628|XP_016024312.1|DSIM	LOC119651030|XP_037910270.1|HILL
OG0001603	LOC6731647|XP_016024331.1|DSIM	LOC119651768|XP_037911436.1|HILL
OG0001604	LOC27206643|XP_039153757.1|DSIM	LOC119655583|XP_037917451.1|HILL
OG0001605	LOC6733562|XP_016026509.1|DSIM	LOC119661250|XP_037926426.1|HILL
OG0001606	LOC27206808|XP_016025960.1|DSIM	LOC119660918|XP_037925818.1|HILL, LOC119646508|XP_037902892.1|HILL
OG0001607	LOC6732548|XP_002079667.1|DSIM	LOC119653772|XP_037914699.1|HILL
OG0001608	LOC27207160|XP_002080157.1|DSIM	LOC119651382|XP_037910884.1|HILL
OG0001609	LOC6734607|XP_039147895.1|DSIM	LOC119661337|XP_037926568.1|HILL
OG0001610	LOC27208850|XP_016025614.1|DSIM	LOC119651658|XP_037911273.1|HILL
OG0001611	LOC6732994|XP_002080073.1|DSIM	LOC119659808|XP_037924012.1|HILL
OG0001612	LOC6731466|XP_002078617.1|DSIM	LOC119661586|XP_037926916.1|HILL
OG0001613	LOC27206551|XP_016024509.1|DSIM	LOC119652539|XP_037912671.1|HILL
OG0001614	LOC6733633|XP_016026593.1|DSIM	LOC119646811|XP_037903340.1|HILL
OG0001615	LOC27208639|XP_039148991.1|DSIM	LOC119652569|XP_037912710.1|HILL
OG0001616	LOC6732038|XP_016024727.1|DSIM	LOC119653567|XP_037914212.1|HILL
OG0001617	LOC6732865|XP_016025590.1|DSIM	LOC119650668|XP_037909544.1|HILL
OG0001618	LOC6731795|XP_002078930.2|DSIM	LOC119660942|XP_037925872.1|HILL
OG0001619	LOC6731594|XP_002078735.1|DSIM	LOC119652825|XP_037913082.1|HILL
OG0001620	LOC6735939|XP_002082849.1|DSIM	LOC119653577|XP_037914248.1|HILL
OG0001621	LOC6734696|XP_016027896.1|DSIM	LOC119660108|XP_037924418.1|HILL
OG0001622	LOC6725502|XP_016038644.1|DSIM	LOC119656639|XP_037919011.1|HILL
OG0001623	LOC6730466|XP_039146931.1|DSIM	LOC119646591|XP_037903012.1|HILL
OG0001624	LOC6731220|XP_016023763.1|DSIM	LOC119650947|XP_037910108.1|HILL, LOC119650944|XP_037910102.1|HILL, LOC119650943|XP_037910101.1|HILL, LOC119650946|XP_037910106.1|HILL, LOC119650941|XP_037910099.1|HILL, LOC119650942|XP_037910100.1|HILL
OG0001625	LOC6733091|XP_002080168.1|DSIM	LOC119653174|XP_037913649.1|HILL
OG0001626	LOC27209178|XP_016024053.1|DSIM	LOC119646282|XP_037902618.1|HILL
OG0001627	LOC6727997|XP_016034597.1|DSIM	LOC119659569|XP_037923651.1|HILL
OG0001628	LOC6729734|XP_002105040.1|DSIM	LOC119659955|XP_037924234.1|HILL
OG0001630	LOC6729364|XP_039151831.1|DSIM	LOC119654480|XP_037915829.1|HILL
OG0001631	LOC6726713|XP_016033191.1|DSIM	LOC119660345|XP_037924763.1|HILL
OG0001632	LOC6731690|XP_016024372.1|DSIM	LOC119656711|XP_037919159.1|HILL
OG0001633	LOC6728508|XP_016035148.1|DSIM	LOC119660487|XP_037925004.1|HILL, LOC119659363|XP_037923342.1|HILL, LOC119659880|XP_037924127.1|HILL
OG0001635	LOC6729689|XP_016036356.1|DSIM	LOC119660055|XP_037924362.1|HILL
OG0001636	LOC27209087|XP_016033535.1|DSIM	LOC119659847|XP_037924072.1|HILL
OG0001637	LOC6728803|XP_016035493.1|DSIM	LOC119652943|XP_037913260.1|HILL
OG0001638	LOC6725147|XP_002106173.1|DSIM, LOC6724944|XP_002105981.1|DSIM	LOC119651073|XP_037910342.1|HILL
OG0001639	LOC6733180|XP_002080256.1|DSIM	LOC119656255|XP_037918601.1|HILL, LOC119656164|XP_037918435.1|HILL
OG0001640	LOC27206457|XP_016033523.1|DSIM	LOC119659939|XP_037924206.1|HILL
OG0001641	LOC6728463|XP_016035085.1|DSIM	LOC119659197|XP_037923087.1|HILL
OG0001642	LOC6725421|XP_002106437.2|DSIM	LOC119654177|XP_037915290.1|HILL
OG0001643	LOC6731410|XP_002078562.1|DSIM	LOC119649971|XP_037908335.1|HILL
OG0001644	LOC6737945|XP_002084764.1|DSIM	LOC119650290|XP_037908848.1|HILL
OG0001645	LOC6735660|XP_002082578.1|DSIM	LOC119655084|XP_037916711.1|HILL
OG0001646	LOC6734866|XP_016028127.1|DSIM	LOC119656068|XP_037918274.1|HILL
OG0001647	LOC6733350|XP_039148143.1|DSIM	LOC119655711|XP_037917661.1|HILL
OG0001648	LOC6738036|XP_016031855.1|DSIM	LOC119649751|XP_037907972.1|HILL
OG0001649	LOC6734457|XP_016027579.1|DSIM	LOC119654460|XP_037915801.1|HILL
OG0001650	LOC6735238|XP_016028560.1|DSIM	LOC119656320|XP_037918700.1|HILL
OG0001651	LOC6735747|XP_016029114.1|DSIM	LOC119658370|XP_037921662.1|HILL
OG0001652	LOC6738518|XP_002085324.2|DSIM	LOC119649034|XP_037906920.1|HILL
OG0001653	LOC6739045|XP_002085839.1|DSIM	LOC119648676|XP_037906396.1|HILL
OG0001654	LOC6734944|XP_016028252.1|DSIM	LOC119653883|XP_037914928.1|HILL
OG0001655	LOC6733734|XP_002080780.1|DSIM	LOC119655938|XP_037918053.1|HILL
OG0001656	LOC6730779|XP_016023194.1|DSIM	LOC119651883|XP_037911629.1|HILL
OG0001657	LOC6738147|XP_002084960.1|DSIM	LOC119647486|XP_037904372.1|HILL
OG0001658	LOC6737725|XP_002084554.1|DSIM	LOC119649775|XP_037908004.1|HILL
OG0001659	LOC6737967|XP_016031712.1|DSIM	LOC119648041|XP_037905398.1|HILL
OG0001660	LOC6739602|XP_002076492.1|DSIM	LOC119649885|XP_037908191.1|HILL
OG0001661	LOC6728596|XP_016035227.1|DSIM	LOC119654424|XP_037915743.1|HILL
OG0001662	LOC6737231|XP_002084071.2|DSIM	LOC119655308|XP_037917064.1|HILL, LOC119648390|XP_037906056.1|HILL
OG0001664	LOC6735253|XP_002082226.1|DSIM	LOC119659739|XP_037923928.1|HILL, LOC119659643|XP_037923773.1|HILL
OG0001666	LOC6730844|XP_002078008.1|DSIM	LOC119655541|XP_037917385.1|HILL, LOC119654517|XP_037915884.1|HILL, LOC119654717|XP_037916166.1|HILL, LOC119654455|XP_037915794.1|HILL
OG0001667	LOC6735019|XP_002082000.2|DSIM	LOC119647002|XP_037903655.1|HILL
OG0001669	LOC6736704|XP_002083560.1|DSIM	LOC119648541|XP_037906237.1|HILL
OG0001678	LOC6726285|XP_016039786.1|DSIM	LOC119656538|XP_037918812.1|HILL
OG0001679	LOC6725238|XP_002106260.1|DSIM	LOC119657988|XP_037921133.1|HILL
OG0001680	LOC27209313|XP_016038432.1|DSIM	LOC119657819|XP_037920861.1|HILL
OG0001681	LOC6740045|XP_039153259.1|DSIM	LOC119657551|XP_037920432.1|HILL, LOC119656765|XP_037919272.1|HILL
OG0001682	LOC6726323|XP_016039879.1|DSIM	LOC119652960|XP_037913284.1|HILL
OG0001683	LOC6731501|XP_016024177.1|DSIM	LOC119647325|XP_037904184.1|HILL
OG0001684	LOC6739827|XP_016037276.1|DSIM	LOC119660953|XP_037925916.1|HILL
OG0001685	LOC6732499|XP_002079619.1|DSIM	LOC119647007|XP_037903673.1|HILL
OG0001686	LOC27207183|XP_039153699.1|DSIM, LOC6726378|XP_039153698.1|DSIM	LOC119657886|XP_037920953.1|HILL
OG0001687	LOC27206376|XP_016037527.1|DSIM	LOC119658373|XP_037921663.1|HILL
OG0001688	LOC6725232|XP_002106254.1|DSIM, LOC6725230|XP_039152811.1|DSIM	LOC119656875|XP_037919467.1|HILL
OG0001689	LOC6725711|XP_039153549.1|DSIM	LOC119656983|XP_037919646.1|HILL, LOC119658473|XP_037921832.1|HILL, LOC119658329|XP_037921595.1|HILL, LOC119656968|XP_037919621.1|HILL
OG0001690	LOC6739620|XP_016030577.1|DSIM	LOC119648964|XP_037906811.1|HILL
OG0001691	LOC6731406|XP_002078559.1|DSIM	LOC119658271|XP_037921489.1|HILL, LOC119660760|XP_037925454.1|HILL
OG0001692	LOC6727527|XP_016034103.2|DSIM	LOC119652052|XP_037911916.1|HILL
OG0001693	LOC6725853|XP_016039179.1|DSIM	LOC119658052|XP_037921225.1|HILL
OG0001694	LOC6727549|XP_016034123.1|DSIM	LOC119650616|XP_037909427.1|HILL
OG0001695	LOC6735146|XP_002082123.1|DSIM	LOC119657243|XP_037919985.1|HILL
OG0001696	LOC6728668|XP_016035326.1|DSIM	LOC119660622|XP_037925253.1|HILL
OG0001697	LOC6729524|XP_002104832.1|DSIM	LOC119652005|XP_037911863.1|HILL
OG0001698	LOC6726503|XP_039153526.1|DSIM	LOC119658486|XP_037921860.1|HILL
OG0001699	LOC6728636|XP_002103977.1|DSIM	LOC119651502|XP_037911048.1|HILL
OG0001700	LOC6728757|XP_016035430.1|DSIM	LOC119659448|XP_037923460.1|HILL
OG0001701	LOC6726902|XP_039150462.1|DSIM	LOC119656877|XP_037919470.1|HILL
OG0001702	LOC6731710|XP_002078845.1|DSIM	LOC119652737|XP_037912963.1|HILL
OG0001703	LOC6729181|XP_016035827.1|DSIM	LOC119651551|XP_037911111.1|HILL
OG0001704	LOC6729182|XP_016035829.1|DSIM	LOC119651685|XP_037911314.1|HILL
OG0001705	LOC6730112|XP_016036871.1|DSIM	LOC119650660|XP_037909524.1|HILL
OG0001706	LOC6733159|XP_016026032.1|DSIM	LOC119650414|XP_037909135.1|HILL
OG0001707	LOC6729215|XP_016035868.1|DSIM	LOC119655036|XP_037916644.1|HILL
OG0001708	LOC6728183|XP_039151564.1|DSIM	LOC119654721|XP_037916171.1|HILL, LOC119654653|XP_037916069.1|HILL, LOC119654493|XP_037915844.1|HILL
OG0001709	LOC6736767|XP_016030391.1|DSIM	LOC119658818|XP_037922470.1|HILL
OG0001710	LOC6729020|XP_016035682.1|DSIM	LOC119650640|XP_037909490.1|HILL
OG0001711	LOC6729093|XP_016035745.1|DSIM	LOC119658449|XP_037921781.1|HILL
OG0001712	LOC6729323|XP_016035959.1|DSIM	LOC119656973|XP_037919631.1|HILL
OG0001713	LOC6728537|XP_002103882.1|DSIM	LOC119658767|XP_037922392.1|HILL
OG0001714	LOC6726760|XP_016033245.1|DSIM	LOC119660448|XP_037924929.1|HILL
OG0001715	LOC6726194|XP_039153193.1|DSIM	LOC119651565|XP_037911127.1|HILL
OG0001716	LOC6725423|XP_002106439.2|DSIM	LOC119652970|XP_037913302.1|HILL
OG0001717	LOC6730144|XP_016036910.1|DSIM	LOC119651035|XP_037910280.1|HILL
OG0001718	LOC6729137|XP_039151090.1|DSIM	LOC119650787|XP_037909830.1|HILL
OG0001719	LOC6729221|XP_016035872.1|DSIM	LOC119656637|XP_037919005.1|HILL
OG0001720	LOC6728605|XP_016035239.1|DSIM	LOC119650761|XP_037909780.1|HILL
OG0001721	LOC6728957|XP_016035637.1|DSIM	LOC119652390|XP_037912419.1|HILL
OG0001722	LOC6738236|XP_016032085.1|DSIM	LOC119648853|XP_037906658.1|HILL, LOC119649076|XP_037906998.1|HILL, LOC119650269|XP_037908820.1|HILL
OG0001723	LOC6733165|XP_016026040.1|DSIM	LOC119659078|XP_037922919.1|HILL, LOC119660005|XP_037924311.1|HILL, LOC119649821|XP_037908084.1|HILL
OG0001724	LOC6735565|XP_039148415.1|DSIM	LOC119647260|XP_037904068.1|HILL
OG0001725	LOC6733823|XP_016026803.1|DSIM	LOC119658869|XP_037922558.1|HILL
OG0001726	LOC6738922|XP_016032750.1|DSIM	LOC119650313|XP_037908896.1|HILL
OG0001727	LOC6729123|XP_002104444.1|DSIM	LOC119652567|XP_037912708.1|HILL
OG0001728	LOC6734055|XP_002081091.1|DSIM	LOC119653008|XP_037913368.1|HILL, LOC119652940|XP_037913258.1|HILL
OG0001729	LOC6736168|XP_039147471.1|DSIM	LOC119661747|XP_037927141.1|HILL
OG0001730	LOC6732049|XP_016024732.1|DSIM	LOC119646998|XP_037903652.1|HILL
OG0001731	LOC6734262|XP_039148430.1|DSIM	LOC119661387|XP_037926637.1|HILL
OG0001732	LOC6731177|XP_002078336.1|DSIM	LOC119648975|XP_037906825.1|HILL
OG0001733	LOC6735525|XP_039147347.1|DSIM	LOC119646388|XP_037902759.1|HILL
OG0001734	LOC6733646|XP_016026610.1|DSIM	LOC119661548|XP_037926861.1|HILL
OG0001735	LOC27206655|XP_016032825.1|DSIM	LOC119650184|XP_037908668.1|HILL
OG0001736	LOC6735178|XP_016028461.1|DSIM	LOC119661518|XP_037926821.1|HILL
OG0001737	LOC6735917|XP_016029272.1|DSIM	LOC119660090|XP_037924397.1|HILL
OG0001738	LOC6738442|XP_016032279.1|DSIM	LOC119648310|XP_037905918.1|HILL
OG0001739	LOC27208348|XP_016025988.1|DSIM	LOC119660084|XP_037924392.1|HILL
OG0001740	LOC6735861|XP_016029226.1|DSIM	LOC119661112|XP_037926235.1|HILL
OG0001741	LOC6730369|XP_002105651.1|DSIM	LOC119646911|XP_037903510.1|HILL
OG0001742	LOC6733825|XP_002080869.2|DSIM	LOC119649624|XP_037907787.1|HILL
OG0001743	LOC6736402|XP_002083274.2|DSIM	LOC119648346|XP_037905970.1|HILL
OG0001744	LOC6733259|XP_039148793.1|DSIM	LOC119649874|XP_037908212.1|HILL
OG0001745	LOC6735757|XP_016029126.1|DSIM	LOC119660852|XP_037925677.1|HILL
OG0001746	LOC6737566|XP_002084399.1|DSIM	LOC119648796|XP_037906569.1|HILL
OG0001747	LOC6735014|XP_016028287.2|DSIM	LOC119661675|XP_037927040.1|HILL
OG0001748	LOC6737353|XP_016031087.1|DSIM	LOC119648513|XP_037906210.1|HILL
OG0001749	LOC6736090|XP_002082991.1|DSIM	LOC119647052|XP_037903738.1|HILL
OG0001750	LOC6736089|XP_016029485.1|DSIM	LOC119656311|XP_037918690.1|HILL
OG0001751	LOC6738452|XP_016032286.1|DSIM	LOC119647600|XP_037904554.1|HILL
OG0001752	LOC6736936|XP_002083783.1|DSIM	LOC119648958|XP_037906804.1|HILL
OG0001753	LOC6736651|XP_016030245.2|DSIM	LOC119649117|XP_037907046.1|HILL
OG0001754	LOC6734193|XP_016027225.1|DSIM	LOC119661680|XP_037927046.1|HILL
OG0001755	LOC6736659|XP_016030272.1|DSIM	LOC119649001|XP_037906870.1|HILL, LOC119648998|XP_037906857.1|HILL
OG0001756	LOC6734703|XP_016027903.1|DSIM	LOC119646516|XP_037902900.1|HILL
OG0001757	LOC6735112|XP_002082089.1|DSIM	LOC119655543|XP_037917390.1|HILL
OG0001758	LOC6737975|XP_016031748.1|DSIM	LOC119648834|XP_037906624.1|HILL
OG0001759	LOC6734900|XP_002081897.3|DSIM	LOC119646476|XP_037902858.1|HILL
OG0001760	LOC6733677|XP_002080724.1|DSIM	LOC119648400|XP_037906104.1|HILL
OG0001761	LOC6735523|XP_039147344.1|DSIM	LOC119652565|XP_037912706.1|HILL
OG0001762	LOC6731255|XP_016023807.1|DSIM	LOC119651874|XP_037911610.1|HILL
OG0001763	LOC6731274|XP_016023843.1|DSIM	LOC119651913|XP_037911667.1|HILL
OG0001764	LOC6727811|XP_002103172.1|DSIM	LOC119659463|XP_037923478.1|HILL
OG0001765	LOC6739367|XP_039148519.1|DSIM	LOC119661249|XP_037926416.1|HILL
OG0001766	LOC6731541|XP_016024216.1|DSIM	LOC119650699|XP_037909613.1|HILL
OG0001767	LOC6730837|XP_039149525.1|DSIM	LOC119647214|XP_037903968.1|HILL
OG0001768	LOC6730456|XP_002077637.1|DSIM	LOC119654969|XP_037916560.1|HILL
OG0001769	LOC6731130|XP_016023682.1|DSIM	LOC119652173|XP_037912046.1|HILL
OG0001770	LOC6731899|XP_016024567.1|DSIM	LOC119647062|XP_037903747.1|HILL
OG0001771	LOC6730873|XP_002078037.1|DSIM	LOC119651116|XP_037910422.1|HILL
OG0001772	LOC6731785|XP_002078920.1|DSIM	LOC119661431|XP_037926704.1|HILL
OG0001773	LOC6731717|XP_016024392.2|DSIM	LOC119652398|XP_037912433.1|HILL
OG0001774	LOC6736128|XP_016029521.1|DSIM	LOC119647111|XP_037903818.1|HILL
OG0001776	LOC6731227|XP_002078386.1|DSIM	LOC119651493|XP_037911035.1|HILL
OG0001777	LOC6731350|XP_016023938.2|DSIM	LOC119650180|XP_037908664.1|HILL
OG0001778	LOC6732505|XP_002079625.1|DSIM	LOC119653702|XP_037914504.1|HILL
OG0001779	LOC6731732|XP_039146990.1|DSIM	LOC119651725|XP_037911377.1|HILL
OG0001780	LOC6733166|XP_002080242.1|DSIM	LOC119646630|XP_037903066.1|HILL
OG0001781	LOC6732893|XP_039154289.1|DSIM	LOC119653022|XP_037913393.1|HILL
OG0001782	LOC6732220|XP_016024890.1|DSIM	LOC119652414|XP_037912459.1|HILL
OG0001783	LOC6731577|XP_016024253.1|DSIM	LOC119652306|XP_037912244.1|HILL
OG0001784	LOC6730587|XP_016023032.1|DSIM	LOC119646844|XP_037903394.1|HILL
OG0001785	LOC6733729|XP_002080775.2|DSIM	LOC119646632|XP_037903070.1|HILL, LOC119646635|XP_037903076.1|HILL
OG0001786	LOC6731324|XP_039147166.1|DSIM	LOC119646394|XP_037902766.1|HILL
OG0001787	LOC6731326|XP_016023907.1|DSIM	LOC119646256|XP_037902584.1|HILL
OG0001788	LOC6734370|XP_002081391.1|DSIM	LOC119657844|XP_037920894.1|HILL
OG0001789	LOC6735813|XP_002082723.2|DSIM	LOC119648971|XP_037906821.1|HILL
OG0001790	LOC6731346|XP_016023937.1|DSIM	LOC119646437|XP_037902816.1|HILL
OG0001791	LOC6734009|XP_002081050.3|DSIM	LOC119650337|XP_037908927.1|HILL
OG0001792	LOC6732716|XP_039150243.1|DSIM	LOC119646135|XP_037902415.1|HILL
OG0001793	LOC6734463|XP_016027585.1|DSIM	LOC119647243|XP_037904036.1|HILL
OG0001794	LOC6732506|XP_016025162.1|DSIM	LOC119647312|XP_037904158.1|HILL
OG0001796	LOC6726190|XP_016039714.1|DSIM	LOC119653945|XP_037915034.1|HILL
OG0001797	LOC6724694|XP_016037248.1|DSIM	LOC119661047|XP_037926168.1|HILL
OG0001800	LOC6731356|XP_016023948.1|DSIM	LOC119647110|XP_037903816.1|HILL
OG0001801	LOC6737479|XP_016031263.1|DSIM	LOC119649603|XP_037907747.1|HILL
OG0001802	LOC6728899|XP_002104232.1|DSIM	LOC119660149|XP_037924477.1|HILL
OG0001803	LOC6727169|XP_039150783.1|DSIM	LOC119659364|XP_037923344.1|HILL
OG0001804	LOC6726826|XP_016033329.1|DSIM	LOC119659141|XP_037923003.1|HILL
OG0001805	LOC6737255|XP_016030965.1|DSIM	LOC119648083|XP_037905500.1|HILL
OG0001806	LOC6729423|XP_039151892.1|DSIM	LOC119658939|XP_037922721.1|HILL
OG0001807	LOC6739729|XP_016034578.1|DSIM	LOC119658706|XP_037922243.1|HILL
OG0001809	LOC27206414|XP_016033198.1|DSIM	LOC119660235|XP_037924611.1|HILL
OG0001810	LOC6729199|XP_002104520.1|DSIM	LOC119648878|XP_037906698.1|HILL
OG0001811	LOC6733477|XP_016026433.2|DSIM	LOC119656076|XP_037918285.1|HILL
OG0001812	LOC27209425|XP_016022814.2|DSIM, LOC120285467|XP_039154115.1|DSIM, LOC6726449|XP_016040016.2|DSIM	LOC119651076|XP_037910345.1|HILL
OG0001813	LOC6727447|XP_016034021.1|DSIM	LOC119660390|XP_037924842.1|HILL
OG0001814	LOC6727138|XP_016033615.1|DSIM	LOC119658850|XP_037922528.1|HILL
OG0001815	LOC6726844|XP_002102248.1|DSIM	LOC119660115|XP_037924432.1|HILL
OG0001816	LOC6734340|XP_002081362.1|DSIM	LOC119655746|XP_037917728.1|HILL
OG0001817	LOC6733779|XP_016026730.1|DSIM	LOC119653661|XP_037914419.1|HILL
OG0001818	LOC6725637|XP_039152539.1|DSIM	LOC119655406|XP_037917217.1|HILL
OG0001819	LOC6739485|XP_002076382.1|DSIM	LOC119655833|XP_037917869.1|HILL
OG0001820	LOC6725357|XP_016038409.1|DSIM	LOC119654292|XP_037915524.1|HILL
OG0001821	LOC6736109|XP_016029498.1|DSIM	LOC119654320|XP_037915574.1|HILL
OG0001822	LOC6735778|XP_002082691.1|DSIM	LOC119654392|XP_037915694.1|HILL, LOC119654840|XP_037916346.1|HILL
OG0001823	LOC6737625|XP_002084457.1|DSIM	LOC119649125|XP_037907058.1|HILL
OG0001824	LOC6730596|XP_002077775.1|DSIM	LOC119660170|XP_037924504.1|HILL
OG0001825	LOC6735278|XP_016028642.1|DSIM	LOC119655946|XP_037918065.1|HILL
OG0001826	LOC6733911|XP_002080955.1|DSIM	LOC119655762|XP_037917745.1|HILL
OG0001827	LOC6734857|XP_002081858.2|DSIM	LOC119654394|XP_037915702.1|HILL
OG0001828	LOC6725867|XP_039153913.1|DSIM	LOC119653863|XP_037914848.1|HILL
OG0001829	LOC6734085|XP_016027083.1|DSIM	LOC119655295|XP_037917043.1|HILL
OG0001830	LOC6735805|XP_002082718.1|DSIM	LOC119655843|XP_037917883.1|HILL
OG0001831	LOC6738529|XP_016032371.1|DSIM	LOC119647884|XP_037905100.1|HILL
OG0001832	LOC6725262|XP_016038267.1|DSIM	LOC119660892|XP_037925751.1|HILL
OG0001833	LOC6735972|XP_002082881.2|DSIM	LOC119654266|XP_037915461.1|HILL
OG0001834	LOC6728045|XP_002103397.1|DSIM	LOC119651393|XP_037910903.1|HILL
OG0001848	LOC27208523|XP_039149102.1|DSIM	LOC119650675|XP_037909558.1|HILL
OG0001849	LOC6729309|XP_002104626.1|DSIM	LOC119650802|XP_037909869.1|HILL
OG0001850	LOC6724728|XP_016037363.1|DSIM	LOC119660900|XP_037925766.1|HILL
OG0001851	LOC6724712|XP_039152130.1|DSIM	LOC119660999|XP_037926025.1|HILL
OG0001852	LOC6734424|XP_039149373.1|DSIM	LOC119648791|XP_037906565.1|HILL
OG0001853	LOC6729749|XP_039151401.1|DSIM	LOC119651794|XP_037911489.1|HILL
OG0001854	LOC6726011|XP_002106993.2|DSIM	LOC119657167|XP_037919880.1|HILL
OG0001855	LOC6734816|XP_002081819.1|DSIM	LOC119657085|XP_037919768.1|HILL
