Orthogroup	DVIR.longest_only	DMIR.longest_only
OG0000283	LOC6630450|XP_002053911.1|DVIR	LOC108157047|XP_017144352.1|DMIR
OG0000284	LOC6634264|XP_032293579.1|DVIR	LOC108163992|XP_017155050.1|DMIR
OG0000284	LOC6634169|XP_032289004.1|DVIR	LOC108163893|XP_017154901.1|DMIR
OG0000285	LOC6627167|XP_002050952.1|DVIR	LOC117191103|XP_033251957.1|DMIR, LOC108158465|XP_017146245.1|DMIR
OG0000285	LOC6627166|XP_002050951.1|DVIR	LOC108160636|XP_017150254.1|DMIR
OG0000286	LOC6634030|XP_032289046.1|DVIR	LOC108163808|XP_017154787.1|DMIR
OG0000286	LOC6634041|XP_002057495.2|DVIR	LOC108163810|XP_017154789.2|DMIR
OG0000287	LOC6631524|XP_002055331.2|DVIR	LOC108160022|XP_017149251.1|DMIR
OG0000287	LOC6631510|XP_002055329.1|DVIR	LOC108160038|XP_017149274.1|DMIR
OG0000287	LOC6631523|XP_002055330.3|DVIR	LOC108160049|XP_017149286.1|DMIR
OG0000288	LOC26530596|XP_032293590.1|DVIR, LOC6628811|XP_002051234.1|DVIR	LOC108162875|XP_017153317.1|DMIR, LOC108162876|XP_017153318.1|DMIR, LOC108162874|XP_033248530.1|DMIR
OG0000289	LOC6636587|XP_002060024.2|DVIR	LOC108153715|XP_017139331.2|DMIR
OG0000289	LOC6636555|XP_002060059.2|DVIR	LOC117186597|XP_033243467.1|DMIR
OG0000290	LOC26530682|XP_015031635.1|DVIR, LOC6623767|XP_002047815.2|DVIR	LOC108157933|XP_017145565.1|DMIR, LOC108157932|XP_017145564.1|DMIR
OG0000292	LOC6625271|XP_002049362.1|DVIR, LOC6627221|XP_002049850.1|DVIR, LOC6627220|XP_002049849.2|DVIR, LOC6625512|XP_002049848.1|DVIR	LOC108159781|XP_017148830.1|DMIR
OG0000292	LOC6622738|XP_002048459.1|DVIR	LOC108151616|XP_017135802.1|DMIR
OG0000293	LOC6630605|XP_002054480.1|DVIR, LOC6630029|XP_002054479.2|DVIR	LOC108156517|XP_017143511.1|DMIR
OG0000294	LOC6634166|XP_032289001.1|DVIR	LOC108161670|XP_017151464.1|DMIR
OG0000294	LOC6631395|XP_015026374.1|DVIR	LOC108156392|XP_033251250.1|DMIR
OG0000295	LOC6625008|XP_002049758.1|DVIR	LOC117189989|XP_033250965.1|DMIR, LOC108160763|XP_017150451.1|DMIR
OG0000295	LOC6629789|XP_002054751.1|DVIR	LOC108153975|XP_017139561.2|DMIR
OG0000296	LOC6628745|XP_002051561.1|DVIR	LOC108162304|XP_017152461.1|DMIR
OG0000296	LOC6636845|XP_002060317.1|DVIR	LOC108152099|XP_017136639.1|DMIR
OG0000296	LOC6632044|XP_002055241.1|DVIR	LOC108156710|XP_017143851.1|DMIR
OG0000298	LOC6631929|XP_002055477.1|DVIR	LOC108164760|XP_017156159.1|DMIR
OG0000298	LOC6631930|XP_002055478.1|DVIR	LOC108157795|XP_017145517.1|DMIR, LOC108161510|XP_017151276.2|DMIR
OG0000298	LOC6623045|XP_002047090.1|DVIR	LOC108161683|XP_017151482.1|DMIR
OG0000299	LOC6632241|XP_032289479.1|DVIR	LOC108156548|XP_017143555.1|DMIR
OG0000299	LOC6632243|XP_032289601.1|DVIR	LOC108157078|XP_033244438.1|DMIR
OG0000300	LOC6623993|XP_002048402.3|DVIR	LOC108150753|XP_017134535.1|DMIR
OG0000300	LOC26530779|XP_032290045.1|DVIR	LOC108165338|XP_017156861.1|DMIR
OG0000300	LOC6622311|XP_002048403.1|DVIR	LOC108150752|XP_017134534.1|DMIR
OG0000301	LOC6623814|XP_002047905.1|DVIR	LOC108164510|XP_017155780.1|DMIR
OG0000301	LOC6629144|XP_002052892.1|DVIR	LOC108163241|XP_017153893.1|DMIR
OG0000302	LOC6624313|XP_015030738.1|DVIR	LOC108152257|XP_017136955.1|DMIR
OG0000302	LOC6624371|XP_002047166.1|DVIR	LOC108152258|XP_017136956.1|DMIR
OG0000303	LOC6623695|XP_032289998.1|DVIR	LOC108150856|XP_017134648.1|DMIR
OG0000303	LOC6628429|XP_002051868.1|DVIR	LOC108162383|XP_017152589.1|DMIR
OG0000304	LOC6627457|XP_002052479.1|DVIR	LOC108163311|XP_017154023.1|DMIR, LOC108163587|XP_017154453.1|DMIR
OG0000304	LOC6629751|XP_015027061.1|DVIR	LOC108154781|XP_017140656.1|DMIR
OG0000304	LOC6629752|XP_002053894.2|DVIR	LOC108154782|XP_017140657.1|DMIR
OG0000305	LOC6624552|XP_002048253.2|DVIR	LOC108165274|XP_033243770.1|DMIR
OG0000305	LOC6624672|XP_002048250.1|DVIR	LOC108165275|XP_017156799.1|DMIR
OG0000306	LOC6624940|XP_002049039.1|DVIR	LOC117191814|XP_033252468.1|DMIR, LOC108159378|XP_017148095.1|DMIR
OG0000306	LOC6633321|XP_032296574.1|DVIR	LOC108153322|XP_017138730.1|DMIR
OG0000307	LOC6629363|XP_032292253.1|DVIR	LOC117187161|XP_033245138.1|DMIR, LOC117185911|XP_033245140.1|DMIR, LOC117187162|XP_033245144.1|DMIR, LOC117187163|XP_033245145.1|DMIR, LOC117187431|XP_033245982.1|DMIR, LOC117187159|XP_033245134.1|DMIR, LOC108155797|XP_033245124.1|DMIR
OG0000307	LOC6632309|XP_032289777.1|DVIR	LOC108155584|XP_017141979.1|DMIR
OG0000308	LOC6630424|XP_002053736.1|DVIR	LOC108161210|XP_017150921.1|DMIR, LOC108161209|XP_017150920.1|DMIR
OG0000308	LOC6634058|XP_002057891.1|DVIR	LOC108162719|XP_017153073.1|DMIR
OG0000309	LOC6629955|XP_002053613.1|DVIR	LOC108157346|XP_017144855.1|DMIR, LOC108157344|XP_033245520.1|DMIR
OG0000310	LOC6631531|XP_002055338.1|DVIR, LOC116650489|XP_032290122.1|DVIR, LOC6626471|XP_002050373.1|DVIR	LOC117191251|XP_033252061.1|DMIR, LOC108154958|XP_017140960.1|DMIR, LOC108154159|XP_017139812.1|DMIR
OG0000311	LOC6630806|XP_015026962.1|DVIR, LOC6627632|XP_002051098.2|DVIR	LOC108156694|XP_017143826.2|DMIR, LOC108154193|XP_017139898.1|DMIR
OG0000311	LOC6632056|XP_002055109.1|DVIR	LOC108158976|XP_017147311.1|DMIR
OG0000312	LOC6634109|XP_032293864.1|DVIR	LOC108163577|XP_033249056.1|DMIR
OG0000312	LOC6627720|XP_015028651.1|DVIR	LOC108164058|XP_017155126.1|DMIR
OG0000313	LOC6628146|XP_002052433.1|DVIR	LOC108162090|XP_033249311.1|DMIR
OG0000313	LOC6633976|XP_002057484.1|DVIR	LOC108163596|XP_033249805.1|DMIR, LOC108163597|XP_033249765.1|DMIR, LOC108163732|XP_017154678.1|DMIR
OG0000314	LOC6628315|XP_002052739.1|DVIR	LOC108163016|XP_033248883.1|DMIR
OG0000314	LOC6628314|XP_032293982.1|DVIR	LOC108162880|XP_033248880.1|DMIR
OG0000315	LOC6629170|XP_002051909.1|DVIR	LOC108163636|XP_017154534.1|DMIR
OG0000316	LOC6627031|XP_002050946.2|DVIR	LOC108160107|XP_017149388.2|DMIR, LOC117188142|XP_033247423.1|DMIR
OG0000316	LOC6627033|XP_032292256.1|DVIR	LOC108160109|XP_017149390.2|DMIR, LOC117190410|XP_033251377.1|DMIR, LOC117188410|XP_033248139.1|DMIR, LOC108160108|XP_017149389.1|DMIR
OG0000318	LOC6628967|XP_002051572.1|DVIR	LOC117194276|XP_033254759.1|DMIR, LOC108163279|XP_017153972.1|DMIR, LOC117186728|XP_033243735.1|DMIR, LOC117192093|XP_033252684.1|DMIR
OG0000318	LOC116650280|XP_032289469.1|DVIR	LOC117186227|XP_033242547.1|DMIR
OG0000319	LOC6629575|XP_002054858.1|DVIR, LOC6629723|XP_002053603.2|DVIR, LOC6629724|XP_002053604.1|DVIR, LOC6630416|XP_002053291.1|DVIR	LOC108154220|XP_017139935.2|DMIR, LOC108154221|XP_017139936.2|DMIR
OG0000320	LOC6633166|XP_002055796.2|DVIR	LOC108155884|XP_017142509.1|DMIR
OG0000321	LOC6627886|XP_032294458.1|DVIR	LOC108162503|XP_033250000.1|DMIR
OG0000321	LOC6627887|XP_002052293.2|DVIR	LOC108162504|XP_017152768.1|DMIR
OG0000322	LOC6633096|XP_002056279.2|DVIR, LOC6634783|XP_032296376.1|DVIR	LOC108152355|XP_017137115.1|DMIR
OG0000322	LOC6633392|XP_002056776.1|DVIR	LOC108157042|XP_017144350.1|DMIR
OG0000323	LOC6634317|XP_002057457.1|DVIR	LOC108162173|XP_017152255.1|DMIR
OG0000323	LOC6635151|XP_002058635.2|DVIR	LOC108157251|XP_017144716.1|DMIR
OG0000324	LOC6635346|XP_002058873.2|DVIR	LOC117191147|XP_033252003.1|DMIR, LOC117191148|XP_033252004.1|DMIR, LOC117191153|XP_033252011.1|DMIR, LOC117191149|XP_033252005.1|DMIR, LOC117191157|XP_033252015.1|DMIR, LOC117191145|XP_033252001.1|DMIR, LOC117191150|XP_033252008.1|DMIR, LOC117191144|XP_033251999.1|DMIR, LOC117191645|XP_033252344.1|DMIR, LOC117191161|XP_033252018.1|DMIR, LOC117191139|XP_033251993.1|DMIR, LOC117191652|XP_033252350.1|DMIR, LOC117191133|XP_033251985.1|DMIR, LOC117191135|XP_033251987.1|DMIR, LOC117191126|XP_033251979.1|DMIR, LOC117191146|XP_033252002.1|DMIR, LOC117191131|XP_033251983.1|DMIR, LOC117190751|XP_033251704.1|DMIR, LOC117191653|XP_033252351.1|DMIR, LOC117191140|XP_033251994.1|DMIR, LOC117191136|XP_033251988.1|DMIR, LOC117191644|XP_033252343.1|DMIR, LOC117191647|XP_033252345.1|DMIR, LOC117191138|XP_033251992.1|DMIR, LOC117191129|XP_033251982.1|DMIR, LOC117191127|XP_033251980.1|DMIR, LOC117191122|XP_033251975.1|DMIR, LOC117187764|XP_033246469.1|DMIR, LOC117191117|XP_033251968.1|DMIR, LOC117191651|XP_033252349.1|DMIR, LOC117191132|XP_033251984.1|DMIR, LOC117191650|XP_033252347.1|DMIR, LOC117191142|XP_033251996.1|DMIR, LOC117191154|XP_033252012.1|DMIR, LOC117191155|XP_033252013.1|DMIR, LOC117191152|XP_033252010.1|DMIR, LOC117191159|XP_033252017.1|DMIR, LOC117191143|XP_033251998.1|DMIR, LOC117191654|XP_033252352.1|DMIR, LOC117191158|XP_033252016.1|DMIR, LOC117191125|XP_033251976.1|DMIR, LOC117191121|XP_033251974.1|DMIR, LOC117191120|XP_033251971.1|DMIR, LOC117191118|XP_033251969.1|DMIR, LOC117191119|XP_033251970.1|DMIR, LOC108158946|XP_017147258.2|DMIR, LOC117188145|XP_033247429.1|DMIR
OG0000325	LOC6624446|XP_002047583.1|DVIR	LOC108152056|XP_017136549.1|DMIR
OG0000325	LOC6624325|XP_002047582.1|DVIR	LOC108152057|XP_017136551.1|DMIR
OG0000326	LOC6627854|XP_032294374.1|DVIR, LOC6630108|XP_032288878.1|DVIR, LOC6630841|XP_032294533.1|DVIR	LOC117186932|XP_033244183.1|DMIR, LOC117186933|XP_033244195.1|DMIR, LOC117186931|XP_033244182.1|DMIR, LOC117186926|XP_033244169.1|DMIR
OG0000327	LOC6625259|XP_002050688.1|DVIR	LOC108158102|XP_017145760.1|DMIR
OG0000327	LOC6625258|XP_002050687.2|DVIR	LOC108158103|XP_017145761.1|DMIR, LOC117192804|XP_033253450.1|DMIR
OG0000327	LOC6625257|XP_002050686.2|DVIR	LOC108158104|XP_017145762.1|DMIR
OG0000328	LOC6623998|XP_002047840.2|DVIR	LOC108158070|XP_017145709.1|DMIR
OG0000328	LOC6623939|XP_002047839.1|DVIR	LOC108165319|XP_017156842.1|DMIR
OG0000329	LOC6627805|XP_002051767.1|DVIR	LOC108163275|XP_017153964.1|DMIR
OG0000330	LOC6635030|XP_002058609.1|DVIR	LOC108154421|XP_017140179.1|DMIR
OG0000331	LOC6628041|XP_015028515.1|DVIR	LOC108162573|XP_017152865.2|DMIR
OG0000332	LOC6633382|XP_002056793.1|DVIR	LOC108154931|XP_017140898.1|DMIR
OG0000332	LOC6632187|XP_002055642.2|DVIR	LOC108155061|XP_033247517.1|DMIR
OG0000333	LOC6623853|XP_002047831.2|DVIR	LOC108152973|XP_017138188.1|DMIR, LOC108152972|XP_017138184.1|DMIR
OG0000334	LOC6626702|XP_002049901.1|DVIR	LOC117186323|XP_033242842.1|DMIR
OG0000334	LOC6625879|XP_002049329.1|DVIR	LOC117191291|XP_033252090.1|DMIR, LOC108159190|XP_017147734.1|DMIR
OG0000335	LOC6633943|XP_002057613.1|DVIR	LOC108161600|XP_017151376.1|DMIR
OG0000335	LOC6633922|XP_032293633.1|DVIR	LOC108164304|XP_033249914.1|DMIR
OG0000336	LOC6632571|XP_002056330.1|DVIR	LOC108155221|XP_017141394.1|DMIR
OG0000336	LOC6630488|XP_002053195.1|DVIR	LOC108156934|XP_017144183.1|DMIR
OG0000336	LOC6630487|XP_015027238.1|DVIR	LOC108156641|XP_017143730.1|DMIR
OG0000337	LOC6624346|XP_032291252.1|DVIR	LOC108151160|XP_017135079.2|DMIR
OG0000337	LOC6622621|XP_032290498.1|DVIR	LOC108153109|XP_017138384.1|DMIR
OG0000337	LOC116649788|XP_032288798.1|DVIR	LOC108165326|XP_017156848.1|DMIR
OG0000338	LOC6624390|XP_032290896.1|DVIR	LOC108153019|XP_017138255.1|DMIR
OG0000338	LOC6627233|XP_002050522.1|DVIR	LOC108159926|XP_017149057.2|DMIR, LOC117185755|XP_033247238.1|DMIR
OG0000339	LOC6623523|XP_002046195.1|DVIR	LOC108150890|XP_017134689.1|DMIR, LOC108153728|XP_017139345.1|DMIR, LOC108153741|XP_017139360.1|DMIR
OG0000340	LOC6627223|XP_002049852.1|DVIR	LOC108159780|XP_017148829.2|DMIR, LOC117187970|XP_033246897.1|DMIR
OG0000341	LOC6622426|XP_002048426.1|DVIR	LOC108165271|XP_017156795.1|DMIR, LOC108151553|XP_017135709.1|DMIR, LOC108150897|XP_017134696.1|DMIR
OG0000342	LOC6636671|XP_002060149.1|DVIR	LOC108163960|XP_017155000.1|DMIR, LOC108153306|XP_017138706.1|DMIR
OG0000342	LOC6631407|XP_002055416.1|DVIR, LOC6624973|XP_002049481.2|DVIR	LOC108158235|XP_017145956.1|DMIR
OG0000343	LOC6629592|XP_002052999.1|DVIR	LOC108155775|XP_017142323.1|DMIR
OG0000343	LOC6634993|XP_002058495.3|DVIR	LOC108154366|XP_017140120.1|DMIR
OG0000344	LOC6625816|XP_002050598.2|DVIR	LOC108159576|XP_017148509.1|DMIR
OG0000344	LOC6635085|XP_002058415.1|DVIR	LOC108155393|XP_017141666.1|DMIR
OG0000345	LOC6635881|XP_002059354.1|DVIR	LOC117193057|XP_033253681.1|DMIR, LOC108159911|XP_017149032.1|DMIR
OG0000345	LOC6626995|XP_032293082.1|DVIR	LOC108158417|XP_033248151.1|DMIR, LOC117192612|XP_033253220.1|DMIR
OG0000346	LOC6636472|XP_002059921.1|DVIR	LOC117191074|XP_033251934.1|DMIR, LOC108158475|XP_017146268.1|DMIR
OG0000347	LOC6624009|XP_002047401.1|DVIR	LOC108152709|XP_033242512.1|DMIR
OG0000347	LOC6627535|XP_015028234.1|DVIR	LOC108161768|XP_017151591.1|DMIR
OG0000348	LOC6628887|XP_032294611.1|DVIR	LOC108162283|XP_017152431.2|DMIR
OG0000348	LOC6627480|XP_032294250.1|DVIR	LOC108163481|XP_017154277.1|DMIR
OG0000349	LOC6634352|XP_002057816.1|DVIR	LOC108162746|XP_017153112.1|DMIR, LOC117185993|XP_033241910.1|DMIR, LOC117185991|XP_033241906.1|DMIR, LOC117186000|XP_033241922.1|DMIR, LOC117185999|XP_033241921.1|DMIR, LOC117185998|XP_033241919.1|DMIR, LOC117185996|XP_033241914.1|DMIR, LOC117185995|XP_033241913.1|DMIR, LOC117185994|XP_033241911.1|DMIR, LOC117185997|XP_033241918.1|DMIR, LOC117185990|XP_033241905.1|DMIR, LOC117185992|XP_033241908.1|DMIR, LOC117186001|XP_033241923.1|DMIR, LOC117186004|XP_033241928.1|DMIR, LOC117186002|XP_033241925.1|DMIR, LOC117186003|XP_033241927.1|DMIR, LOC108165003|XP_033241903.1|DMIR, LOC108155699|XP_017142209.2|DMIR, LOC117186006|XP_033241930.1|DMIR, LOC117186005|XP_033241929.1|DMIR, LOC117189036|XP_033249813.1|DMIR, LOC108161148|XP_033249510.1|DMIR, LOC117188894|XP_033249331.1|DMIR, LOC117188895|XP_033249334.1|DMIR, LOC108163101|XP_017153678.1|DMIR, LOC117186007|XP_033241931.1|DMIR, LOC117194190|XP_033254738.1|DMIR, LOC117188893|XP_033249327.1|DMIR, LOC108163098|XP_033248519.1|DMIR
OG0000350	LOC6624163|XP_032291194.1|DVIR	LOC108151012|XP_017134862.1|DMIR
OG0000350	LOC6624215|XP_032291193.1|DVIR	LOC108151011|XP_017134861.1|DMIR
OG0000350	LOC6630571|XP_002053920.2|DVIR	LOC108157039|XP_017144344.1|DMIR
OG0000351	LOC6627015|XP_032292806.1|DVIR	LOC108159766|XP_017148814.1|DMIR
OG0000351	LOC116651100|XP_032292810.1|DVIR	LOC117192964|XP_033253577.1|DMIR, LOC108159768|XP_017148816.1|DMIR
OG0000353	LOC6629839|XP_002054539.1|DVIR	LOC108155801|XP_017142371.1|DMIR
OG0000353	LOC6628915|XP_002051383.1|DVIR	LOC108162840|XP_017153270.1|DMIR
OG0000354	LOC6628416|XP_002052329.2|DVIR	LOC108163352|XP_017154083.1|DMIR
OG0000354	LOC6628870|XP_002052336.1|DVIR	LOC108163353|XP_017154084.1|DMIR
OG0000355	LOC6626312|XP_002050391.1|DVIR	LOC108158852|XP_017147065.1|DMIR
OG0000355	LOC6625536|XP_002051018.1|DVIR	LOC108158708|XP_017146737.1|DMIR
OG0000358	LOC6630382|XP_002054008.1|DVIR	LOC108154502|XP_017140290.1|DMIR
OG0000358	LOC6629899|XP_002053994.1|DVIR	LOC108155916|XP_017142556.1|DMIR
OG0000359	LOC6622131|XP_002048427.1|DVIR	LOC108165272|XP_017156796.1|DMIR, LOC108151551|XP_017135706.1|DMIR, LOC108150883|XP_017134681.1|DMIR
OG0000360	LOC6630633|XP_002053631.3|DVIR	LOC108154688|XP_017140525.1|DMIR
OG0000361	LOC6629248|XP_002051272.2|DVIR	LOC108161910|XP_017151802.1|DMIR
OG0000361	LOC6629004|XP_032293481.1|DVIR	LOC108164081|XP_017155155.2|DMIR
OG0000362	LOC6636218|XP_002059719.1|DVIR	LOC108164439|XP_017155629.1|DMIR
OG0000362	LOC6622984|XP_002047666.1|DVIR	LOC108151433|XP_017135517.1|DMIR
OG0000363	LOC6632747|XP_032289618.1|DVIR	LOC108155053|XP_017141122.1|DMIR
OG0000363	LOC6624106|XP_032290277.1|DVIR	LOC108152147|XP_017136746.1|DMIR
OG0000365	LOC6635815|XP_015024216.1|DVIR	LOC108160626|XP_017150234.2|DMIR, LOC117185766|XP_033247459.1|DMIR
OG0000365	LOC6635784|XP_002059180.3|DVIR	LOC108164206|XP_017155325.1|DMIR
OG0000366	LOC6631804|XP_032295746.1|DVIR	LOC108158188|XP_017145911.1|DMIR
OG0000366	LOC6630235|XP_032294927.1|DVIR	LOC108157635|XP_017145265.1|DMIR
OG0000367	LOC6624243|XP_002047113.1|DVIR	LOC108151828|XP_017136186.1|DMIR
OG0000367	LOC6626796|XP_002049947.1|DVIR	LOC108159321|XP_017148001.1|DMIR
OG0000368	LOC6623736|XP_002048595.2|DVIR	LOC108153602|XP_017139182.1|DMIR
OG0000370	LOC6626754|XP_002050257.1|DVIR, LOC6626753|XP_002050256.1|DVIR	LOC117190896|XP_033251793.1|DMIR
OG0000370	LOC26531085|XP_032290566.1|DVIR, LOC6623033|XP_002047218.1|DVIR	LOC117189608|XP_033250621.1|DMIR, LOC108160644|XP_033246990.1|DMIR
OG0000371	LOC6636006|XP_002059506.2|DVIR	LOC108153834|XP_033253230.1|DMIR
OG0000373	LOC26531311|XP_015027887.1|DVIR, LOC26531040|XP_015027850.1|DVIR	LOC108153922|XP_033245243.1|DMIR, LOC108154898|XP_017140836.2|DMIR, LOC108159980|XP_017149162.2|DMIR, LOC117185735|XP_033248332.1|DMIR
OG0000373	LOC6622149|XP_002047559.2|DVIR	LOC108160847|XP_017150592.2|DMIR, LOC117185685|XP_033246890.1|DMIR
OG0000374	LOC6622613|XP_002047522.1|DVIR	LOC108163021|XP_017153549.1|DMIR
OG0000375	LOC116650537|XP_032290365.1|DVIR, LOC6623269|XP_002047274.2|DVIR	LOC108151440|XP_017135538.1|DMIR, LOC108151441|XP_017135539.1|DMIR
OG0000377	LOC6636655|XP_002060133.2|DVIR	LOC108152091|XP_017136629.1|DMIR
OG0000378	LOC6626616|XP_002050600.1|DVIR	LOC117188117|XP_033247349.1|DMIR, LOC108159574|XP_033254204.1|DMIR
OG0000378	LOC6633790|XP_002056962.1|DVIR	LOC108154592|XP_017140388.1|DMIR
OG0000379	LOC6626307|XP_032291609.1|DVIR	LOC117191418|XP_033252182.1|DMIR, LOC108158658|XP_017146644.1|DMIR, LOC117190967|XP_033251846.1|DMIR, LOC108158657|XP_017146642.1|DMIR, LOC108160190|XP_017149513.1|DMIR
OG0000380	LOC26531320|XP_032292952.1|DVIR, LOC116651570|XP_032294229.1|DVIR, LOC116651219|XP_032293001.1|DVIR, LOC116651134|XP_032292898.1|DVIR	LOC117190133|XP_033251106.1|DMIR, LOC108160350|XP_017149801.1|DMIR
OG0000380	LOC6623355|XP_002047314.1|DVIR	LOC108165496|XP_017157042.1|DMIR
OG0000381	LOC6628737|XP_002051074.1|DVIR	LOC108164221|XP_017155343.1|DMIR
OG0000381	LOC6627386|XP_002051076.1|DVIR	LOC108163723|XP_017154662.1|DMIR
OG0000382	LOC6622325|XP_002047918.1|DVIR	LOC108153118|XP_017138395.1|DMIR, LOC117187181|XP_033245186.1|DMIR, LOC108154017|XP_017139599.1|DMIR, LOC117187178|XP_033245182.1|DMIR, LOC108155287|XP_017141492.2|DMIR, LOC117187179|XP_033245183.1|DMIR, LOC117187177|XP_033245181.1|DMIR, LOC117187180|XP_033245185.1|DMIR
OG0000382	LOC6622330|XP_002047920.1|DVIR	LOC117193937|XP_033254492.1|DMIR, LOC108164157|XP_017155254.2|DMIR
OG0000383	LOC6628922|XP_002052345.1|DVIR	LOC108162652|XP_017152974.1|DMIR
OG0000383	LOC6628955|XP_002052358.2|DVIR	LOC108161945|XP_017151870.1|DMIR
OG0000384	LOC6624930|XP_032292262.1|DVIR	LOC117191391|XP_033252165.1|DMIR, LOC108160312|XP_017149722.1|DMIR
OG0000384	LOC6624931|XP_002050131.3|DVIR	LOC108160611|XP_017150214.1|DMIR, LOC117191066|XP_033251923.1|DMIR
OG0000385	LOC6634703|XP_002058314.3|DVIR	LOC108157827|XP_033245501.1|DMIR
OG0000385	LOC6634704|XP_002058315.2|DVIR	LOC108157800|XP_017145485.1|DMIR
OG0000386	LOC6636608|XP_002060045.2|DVIR, LOC116650022|XP_032289247.1|DVIR	LOC108153778|XP_033243910.1|DMIR
OG0000386	LOC6632705|XP_002055843.1|DVIR	LOC108157181|XP_017144593.1|DMIR
OG0000388	LOC6622484|XP_002047952.1|DVIR, LOC6624196|XP_002047435.1|DVIR, LOC6623529|XP_032291310.1|DVIR	LOC108153544|XP_017139101.1|DMIR, LOC108150814|XP_017134607.1|DMIR
OG0000389	LOC6635270|XP_002058731.2|DVIR	LOC108155707|XP_033245171.1|DMIR
OG0000389	LOC6623180|XP_015031013.1|DVIR	LOC108153105|XP_017138379.1|DMIR
OG0000390	LOC6627760|XP_002051133.2|DVIR	LOC117188720|XP_033248889.1|DMIR, LOC108162565|XP_017152852.1|DMIR
OG0000391	LOC6626810|XP_002050927.1|DVIR	LOC117190429|XP_033251401.1|DMIR, LOC108158732|XP_017146825.1|DMIR
OG0000391	LOC6626946|XP_032291914.1|DVIR	LOC108160797|XP_017150503.1|DMIR
OG0000392	LOC6628186|XP_002052920.1|DVIR	LOC108163883|XP_017154887.2|DMIR
OG0000392	LOC6628188|XP_002052921.1|DVIR	LOC108164101|XP_033249493.1|DMIR
OG0000393	LOC6628271|XP_032294358.1|DVIR	LOC108162496|XP_033249836.1|DMIR
OG0000393	LOC6628273|XP_015028603.2|DVIR	LOC108163840|XP_017154842.1|DMIR
OG0000394	LOC6633270|XP_002057151.2|DVIR	LOC108153357|XP_017138816.1|DMIR
OG0000394	LOC6633271|XP_002057152.1|DVIR	LOC108153373|XP_017138836.1|DMIR
OG0000395	LOC26531070|XP_015031685.1|DVIR	LOC108151023|XP_017134872.2|DMIR
OG0000395	LOC6624124|XP_002048329.3|DVIR	LOC108151021|XP_017134869.1|DMIR
OG0000396	LOC6629146|XP_002052893.1|DVIR	LOC108163242|XP_017153894.1|DMIR
OG0000397	LOC6625356|XP_002050323.2|DVIR, LOC6625355|XP_002050322.1|DVIR, LOC116651146|XP_032292922.1|DVIR, LOC6626740|XP_032292920.1|DVIR	LOC108160285|XP_017149662.1|DMIR, LOC108160283|XP_017149658.1|DMIR, LOC108160284|XP_017149661.1|DMIR
OG0000398	LOC6625599|XP_002050259.2|DVIR	LOC108156576|XP_017143599.1|DMIR
OG0000398	LOC6624519|XP_002047653.2|DVIR, LOC6624349|XP_002047652.1|DVIR	LOC108156575|XP_017143597.1|DMIR, LOC117188001|XP_033246991.1|DMIR, LOC108160645|XP_017150267.1|DMIR, LOC108158296|XP_017146026.1|DMIR, LOC108158303|XP_033248183.1|DMIR, LOC117193514|XP_033254149.1|DMIR, LOC117188859|XP_033249265.1|DMIR, LOC108150906|XP_017134715.1|DMIR
OG0000399	LOC6631075|XP_015027615.1|DVIR	LOC108157406|XP_017144941.1|DMIR
OG0000399	LOC6631076|XP_032295388.1|DVIR, LOC116651955|XP_032295392.1|DVIR	LOC108153671|XP_017139274.2|DMIR, LOC108165276|XP_033243088.1|DMIR, LOC108155544|XP_017141912.1|DMIR
OG0000401	LOC6631915|XP_032296271.1|DVIR	LOC108153134|XP_017138418.1|DMIR, LOC108165538|XP_017157101.1|DMIR, LOC108159778|XP_017148831.2|DMIR
OG0000402	LOC6631433|XP_002055541.1|DVIR	LOC108164649|XP_017155990.1|DMIR
OG0000403	LOC6631267|XP_002053819.1|DVIR	LOC108156639|XP_017143726.1|DMIR
OG0000403	LOC6626077|XP_032292570.1|DVIR	LOC108159904|XP_033251488.1|DMIR, LOC117188200|XP_033247574.1|DMIR, LOC108158715|XP_017146747.1|DMIR
OG0000404	LOC6632793|XP_002056111.3|DVIR	LOC108157375|XP_017144892.1|DMIR
OG0000405	LOC6634524|XP_032296377.1|DVIR	LOC108164865|XP_017156289.1|DMIR
OG0000405	LOC6631219|XP_002053962.1|DVIR	LOC108164269|XP_017155401.1|DMIR, LOC117189064|XP_033249911.1|DMIR, LOC108155002|XP_017141039.1|DMIR
OG0000406	LOC6623096|XP_002046615.1|DVIR	LOC108152980|XP_017138196.1|DMIR
OG0000406	LOC6636490|XP_002059852.1|DVIR	LOC108159836|XP_017148915.1|DMIR
OG0000407	LOC6623995|XP_002046273.1|DVIR	LOC108151557|XP_033243525.1|DMIR
OG0000407	LOC6623973|XP_032290458.1|DVIR	LOC108151555|XP_017135710.1|DMIR
OG0000408	LOC6634016|XP_002057859.1|DVIR, LOC6634015|XP_032293425.1|DVIR, LOC26531741|XP_015025408.1|DVIR, LOC6634012|XP_002057855.2|DVIR	LOC108157814|XP_017145501.1|DMIR
OG0000408	LOC6628005|XP_002051411.1|DVIR	LOC108163090|XP_017153665.1|DMIR
OG0000409	LOC6626944|XP_002050082.1|DVIR	LOC117195109|XP_033255654.1|DMIR, LOC108160963|XP_017150747.1|DMIR
