Orthogroup	DVIR.longest_only	CQUI.longest_only
OG0001454	LOC6632733|XP_002055808.1|DVIR	LOC6032932|XP_001843452.2|CQUI
OG0001455	LOC6622658|XP_032290460.1|DVIR	LOC6051546|XP_038119698.1|CQUI
OG0001456	LOC6625753|XP_032291770.1|DVIR	LOC6052304|XP_038116089.1|CQUI
OG0001457	LOC6626642|XP_002048778.1|DVIR	LOC6039266|XP_038118474.1|CQUI
OG0001458	LOC6624799|XP_032292295.1|DVIR	LOC6041453|XP_038116471.1|CQUI, LOC6041452|XP_038117278.1|CQUI
OG0001459	LOC6623855|XP_032290329.1|DVIR	LOC6052886|XP_038112076.1|CQUI, LOC6045671|XP_038117105.1|CQUI
OG0001460	LOC6625478|XP_002050334.1|DVIR	LOC6043365|XP_038120741.1|CQUI
OG0001461	LOC6634669|XP_002057985.1|DVIR	LOC6048746|XP_038116352.1|CQUI
OG0001464	LOC6633517|XP_002057235.1|DVIR	LOC6043979|XP_038118854.1|CQUI
OG0001465	LOC6626800|XP_032292567.1|DVIR	LOC6052932|XP_038120832.1|CQUI
OG0001466	LOC6635759|XP_002059225.3|DVIR	LOC6036432|XP_038121604.1|CQUI
OG0001467	LOC6629226|XP_002051252.1|DVIR	LOC6050213|XP_001866857.1|CQUI, LOC6036548|XP_001846591.2|CQUI
OG0001468	LOC6623123|XP_015031289.1|DVIR	LOC6038227|XP_001848055.2|CQUI
OG0001469	LOC6626756|XP_002050707.1|DVIR	LOC6041964|XP_038118490.1|CQUI
OG0001470	LOC6622971|XP_032290604.1|DVIR	LOC6050356|XP_038121253.1|CQUI, LOC6050354|XP_038117145.1|CQUI
OG0001471	LOC6623201|XP_032291106.1|DVIR	LOC6037170|XP_038117414.1|CQUI
OG0001472	LOC6622973|XP_002046502.1|DVIR	LOC6035488|XP_001845669.1|CQUI
OG0001473	LOC6634992|XP_002058494.2|DVIR	LOC6043807|XP_001861406.2|CQUI, LOC6043808|XP_038122295.1|CQUI
OG0001474	LOC6634511|XP_032296365.1|DVIR, LOC6626275|XP_002050041.1|DVIR	LOC6040681|XP_038105414.1|CQUI
OG0001475	LOC6625986|XP_002050064.1|DVIR	LOC6043752|XP_038110406.1|CQUI
OG0001476	LOC6625997|XP_032291595.1|DVIR	LOC6048642|XP_038110160.1|CQUI
OG0001477	LOC6632261|XP_002055896.1|DVIR	LOC6032451|XP_001843047.1|CQUI
OG0001478	LOC6627773|XP_002052835.1|DVIR	LOC6034120|XP_001844488.2|CQUI
OG0001480	LOC6627597|XP_002052828.2|DVIR	LOC6043201|XP_001857542.2|CQUI
OG0001481	LOC6628319|XP_032293983.1|DVIR	LOC6031364|XP_038107828.1|CQUI
OG0001482	LOC6627216|XP_032292693.1|DVIR	LOC6031947|XP_001842625.2|CQUI
OG0001483	LOC6627304|XP_002051285.2|DVIR	LOC6043303|XP_038106817.1|CQUI
OG0001484	LOC6628237|XP_002051807.1|DVIR	LOC6031200|XP_001842038.2|CQUI, LOC6036994|XP_038106889.1|CQUI
OG0001485	LOC6623646|XP_032291095.1|DVIR	LOC6036177|XP_038106782.1|CQUI, LOC119766360|XP_038106781.1|CQUI, LOC6036179|XP_038113696.1|CQUI
OG0001486	LOC6628345|XP_015028510.1|DVIR	LOC6034896|XP_038107061.1|CQUI
OG0001487	LOC26530854|XP_015028867.1|DVIR	LOC6053489|XP_038110588.1|CQUI
OG0001488	LOC6627147|XP_002048716.1|DVIR	LOC6047908|XP_038114121.1|CQUI
OG0001489	LOC6628302|XP_032293705.1|DVIR	LOC6032104|XP_038107020.1|CQUI, LOC6032110|XP_038112609.1|CQUI
OG0001490	LOC6628805|XP_002051228.2|DVIR	LOC6032134|XP_001842788.1|CQUI
OG0001491	LOC6628875|XP_002052341.2|DVIR, LOC6628874|XP_002052340.1|DVIR, LOC6628876|XP_002052342.1|DVIR	LOC6033331|XP_001843796.1|CQUI
OG0001492	LOC26530471|XP_002059192.2|DVIR, LOC116650129|XP_032289339.1|DVIR	LOC6048340|XP_038111871.1|CQUI
OG0001493	LOC6634276|XP_002057693.2|DVIR, LOC6634813|XP_002058139.1|DVIR	LOC6040502|XP_001849888.1|CQUI
OG0001494	LOC6631633|XP_002055136.1|DVIR	LOC119770364|XP_038121011.1|CQUI, LOC6045228|XP_001862626.2|CQUI, LOC119770518|XP_038121458.1|CQUI, LOC119770266|XP_038120748.1|CQUI, LOC6054405|XP_001870323.1|CQUI
OG0001495	LOC6627251|XP_002050402.1|DVIR	LOC6041805|XP_001851019.2|CQUI
OG0001496	LOC6634496|XP_002058234.1|DVIR	LOC119769667|XP_038118888.1|CQUI
OG0001497	LOC6625685|XP_002050318.1|DVIR	LOC6048948|XP_038120703.1|CQUI
OG0001500	LOC6635366|XP_002058890.1|DVIR	LOC6050346|XP_038118495.1|CQUI
OG0001501	LOC116651718|XP_032294565.1|DVIR, LOC6630896|XP_002053125.2|DVIR	LOC6037771|XP_001847650.2|CQUI, LOC6037770|XP_001847649.2|CQUI
OG0001502	LOC6626454|XP_015029404.1|DVIR	LOC6033994|XP_001844381.1|CQUI
OG0001503	LOC6625422|XP_032292789.1|DVIR	LOC6031515|XP_038110033.1|CQUI
OG0001504	LOC6633630|XP_032295937.1|DVIR	LOC6036866|XP_038107420.1|CQUI
OG0001506	LOC6625521|XP_002048997.1|DVIR	LOC6043675|XP_038109186.1|CQUI
OG0001507	LOC6624736|XP_002049739.1|DVIR	LOC6036616|XP_038108568.1|CQUI, LOC6049887|XP_038108917.1|CQUI
OG0001508	LOC6625073|XP_002049086.1|DVIR	LOC6047098|XP_038110554.1|CQUI, LOC6051703|XP_038112138.1|CQUI
OG0001509	LOC6626252|XP_032293162.1|DVIR	LOC6042455|XP_038114123.1|CQUI
OG0001510	LOC6628916|XP_002051384.1|DVIR	LOC6049879|XP_001866569.2|CQUI, LOC6053362|XP_038112276.1|CQUI
OG0001511	LOC6627116|XP_015029652.1|DVIR	LOC6034200|XP_001844554.2|CQUI
OG0001512	LOC6622570|XP_002046662.1|DVIR	LOC6034555|XP_038113919.1|CQUI
OG0001513	LOC6624512|XP_032291000.1|DVIR	LOC6034558|XP_038106054.1|CQUI
OG0001515	LOC6635503|XP_002059043.1|DVIR	LOC6032502|XP_001843091.1|CQUI
OG0001534	LOC6633419|XP_002056818.2|DVIR, LOC6633420|XP_015025564.2|DVIR	LOC119768890|XP_038116590.1|CQUI, LOC6050116|XP_038116548.1|CQUI
OG0001535	LOC6632158|XP_002055767.1|DVIR	LOC6049759|XP_001866470.2|CQUI
OG0001536	LOC6633483|XP_002056992.1|DVIR	LOC6047702|XP_001864725.2|CQUI, LOC119769391|XP_038117458.1|CQUI
OG0001537	LOC6627849|XP_002052844.1|DVIR	LOC6036962|XP_038104622.1|CQUI
OG0001538	LOC6636137|XP_002059531.1|DVIR	LOC6051448|XP_001867887.1|CQUI
OG0001539	LOC6626037|XP_002050804.1|DVIR	LOC6047629|XP_038111858.1|CQUI
OG0001540	LOC6628382|XP_002052634.2|DVIR	LOC6045246|XP_038104466.1|CQUI
OG0001541	LOC6622387|XP_002047931.1|DVIR	LOC6040730|XP_038108263.1|CQUI
OG0001542	LOC6632523|XP_015025960.1|DVIR	LOC6040719|XP_038122365.1|CQUI
OG0001543	LOC6631988|XP_032296213.1|DVIR	LOC6049648|XP_038119626.1|CQUI, LOC119766019|XP_038106279.1|CQUI
OG0001545	LOC6633675|XP_002057280.2|DVIR	LOC6041845|XP_001851055.2|CQUI
OG0001546	LOC6633293|XP_032296587.1|DVIR	LOC6041847|XP_038105040.1|CQUI, LOC6041843|XP_001851053.2|CQUI
OG0001547	LOC6635603|XP_032296130.1|DVIR	LOC6034424|XP_038104911.1|CQUI
OG0001548	LOC6632140|XP_015026672.1|DVIR	LOC6031444|XP_038107826.1|CQUI
OG0001549	LOC6627927|XP_032294527.1|DVIR	LOC119771149|XP_038122501.1|CQUI, LOC6031765|XP_038110368.1|CQUI
OG0001551	LOC6635098|XP_002058360.2|DVIR	LOC6048977|XP_038105432.1|CQUI, LOC6048979|XP_038123020.1|CQUI
OG0001552	LOC6632817|XP_002055904.2|DVIR, LOC6636395|XP_002059964.1|DVIR	LOC6042417|XP_001851537.1|CQUI
OG0001553	LOC6631643|XP_002055362.1|DVIR	LOC6049664|XP_038117806.1|CQUI
OG0001554	LOC6629711|XP_015027366.2|DVIR, LOC26531409|XP_015027896.1|DVIR	LOC6047921|XP_038115900.1|CQUI
OG0001555	LOC6627939|XP_002052664.1|DVIR	LOC6041540|XP_038112803.1|CQUI, LOC6035547|XP_038111901.1|CQUI
OG0001556	LOC6626809|XP_002050926.1|DVIR	LOC6036277|XP_001846343.1|CQUI
OG0001557	LOC6634812|XP_032296285.1|DVIR	LOC6032557|XP_038117789.1|CQUI
OG0001559	LOC6630035|XP_002054026.1|DVIR	LOC6032627|XP_038117581.1|CQUI
OG0001560	LOC6633147|XP_032289549.1|DVIR	LOC6035520|XP_038105194.1|CQUI
OG0001561	LOC6630692|XP_002054399.1|DVIR	LOC6039613|XP_001849187.2|CQUI
OG0001562	LOC6627453|XP_002052475.1|DVIR	LOC6041461|XP_001850718.2|CQUI, LOC6047991|XP_001864968.2|CQUI, LOC6041457|XP_038118003.1|CQUI
OG0001563	LOC6635263|XP_002058739.1|DVIR	LOC6037333|XP_038119352.1|CQUI
OG0001564	LOC6634940|XP_032294819.1|DVIR	LOC6032190|XP_038114038.1|CQUI
OG0001565	LOC6631006|XP_032291625.1|DVIR	LOC6049260|XP_038122779.1|CQUI, LOC6040673|XP_038108211.1|CQUI
OG0001566	LOC6631194|XP_002054839.1|DVIR	LOC6045590|XP_001862931.1|CQUI
OG0001567	LOC6626729|XP_032293014.1|DVIR	LOC6032066|XP_001842732.1|CQUI
OG0001568	LOC6630739|XP_032294785.1|DVIR	LOC6032078|XP_038104758.1|CQUI
OG0001569	LOC6635004|XP_002058517.1|DVIR	LOC6032085|XP_001842751.2|CQUI
OG0001570	LOC6632235|XP_002056084.1|DVIR	LOC6033929|XP_038104685.1|CQUI
OG0001571	LOC6627384|XP_002052404.2|DVIR	LOC6031781|XP_038112990.1|CQUI
OG0001572	LOC6631909|XP_002055590.1|DVIR	LOC6031115|XP_001841960.1|CQUI, LOC6031114|XP_038118150.1|CQUI
OG0001573	LOC6636548|XP_032291461.1|DVIR	LOC6047431|XP_038117579.1|CQUI
OG0001574	LOC6631446|XP_032295885.1|DVIR	LOC6032294|XP_038113921.1|CQUI, LOC6043339|XP_001870938.1|CQUI
OG0001575	LOC6635056|XP_032295162.1|DVIR, LOC6635055|XP_002058622.1|DVIR	LOC6044655|XP_001862135.2|CQUI
OG0001576	LOC6629579|XP_002054871.1|DVIR	LOC6036108|XP_038113191.1|CQUI
OG0001577	LOC6635038|XP_015024840.1|DVIR	LOC6052635|XP_001868870.2|CQUI
OG0001578	LOC6624886|XP_002050976.2|DVIR	LOC6043960|XP_001861544.2|CQUI
OG0001580	LOC6626554|XP_015029140.1|DVIR	LOC6044030|XP_038120827.1|CQUI
OG0001581	LOC6631895|XP_032295271.1|DVIR	LOC6033567|XP_038117164.1|CQUI
OG0001582	LOC6635942|XP_002059294.2|DVIR	LOC6040624|XP_038117190.1|CQUI
OG0001583	LOC6635884|XP_032292196.1|DVIR	LOC6033584|XP_038119265.1|CQUI
OG0001584	LOC6623401|XP_002047781.1|DVIR	LOC6037160|XP_001847097.2|CQUI
OG0001586	LOC6624641|XP_002046648.1|DVIR	LOC6033454|XP_038119090.1|CQUI
OG0001587	LOC6626124|XP_002050031.1|DVIR	LOC119768753|XP_038115649.1|CQUI
OG0001588	LOC6626346|XP_002050347.1|DVIR	LOC6044356|XP_038107986.1|CQUI
OG0001589	LOC6629177|XP_002052372.1|DVIR	LOC6039992|XP_038107604.1|CQUI
OG0001590	LOC6625510|XP_032292927.1|DVIR	LOC6041414|XP_038114421.1|CQUI
OG0001591	LOC6635029|XP_015024843.1|DVIR	LOC6041386|XP_038110439.1|CQUI
OG0001593	LOC6635669|XP_032294680.1|DVIR	LOC6037875|XP_038113769.1|CQUI
OG0001594	LOC6627370|XP_032294134.1|DVIR	LOC6048482|XP_038113910.1|CQUI
OG0001595	LOC6625393|XP_002050138.2|DVIR	LOC6048886|XP_038109078.1|CQUI
OG0001596	LOC26531871|XP_015025417.1|DVIR, LOC6633940|XP_002057610.1|DVIR	LOC6045156|XP_001862557.2|CQUI
OG0001597	LOC6629005|XP_032293487.1|DVIR	LOC6046049|XP_001863305.1|CQUI
OG0001598	LOC6634131|XP_002057519.1|DVIR	LOC6036156|XP_038107213.1|CQUI
OG0001599	LOC6628073|XP_002051438.1|DVIR	LOC6038712|XP_001848456.2|CQUI
OG0001600	LOC6628579|XP_032293419.1|DVIR	LOC6045655|XP_038110464.1|CQUI
OG0001601	LOC6628167|XP_002051463.1|DVIR	LOC6043313|XP_001870928.1|CQUI
OG0001602	LOC6634071|XP_002057873.1|DVIR	LOC6043309|XP_038108452.1|CQUI
OG0001603	LOC6634034|XP_002057771.3|DVIR	LOC6038292|XP_038111276.1|CQUI, LOC6038293|XP_038114208.1|CQUI
OG0001604	LOC6633240|XP_002057410.1|DVIR, LOC6629656|XP_002053595.1|DVIR	LOC6050057|XP_001866724.1|CQUI
OG0001605	LOC6626807|XP_002050924.1|DVIR	LOC6050058|XP_038109855.1|CQUI
OG0001606	LOC6626144|XP_032292508.1|DVIR	LOC6037122|XP_001847065.1|CQUI
OG0001607	LOC6627701|XP_002051985.1|DVIR	LOC6031810|XP_001842517.1|CQUI
OG0001608	LOC6633945|XP_002057832.1|DVIR	LOC6044446|XP_038112177.1|CQUI
OG0001609	LOC6636380|XP_002059909.1|DVIR	LOC6051399|XP_038111691.1|CQUI
OG0001610	LOC6634354|XP_002057818.2|DVIR	LOC6042259|XP_001851397.2|CQUI
OG0001611	LOC6634650|XP_002058301.3|DVIR, LOC6627980|XP_002052692.2|DVIR	LOC6036366|XP_001846424.1|CQUI
OG0001612	LOC6628384|XP_002052636.1|DVIR	LOC6031731|XP_038111935.1|CQUI, LOC6031732|XP_038113681.1|CQUI
OG0001613	LOC6628091|XP_002051151.1|DVIR	LOC6048990|XP_001865824.1|CQUI, LOC6048992|XP_038113614.1|CQUI
OG0001614	LOC6625998|XP_032292709.1|DVIR	LOC6043183|XP_038111683.1|CQUI
OG0001615	LOC6627742|XP_015028037.1|DVIR	LOC6043231|XP_038112460.1|CQUI
OG0001616	LOC6628926|XP_002052349.1|DVIR	LOC6034894|XP_038112470.1|CQUI
OG0001617	LOC6628393|XP_015028130.1|DVIR	LOC6045785|XP_038113684.1|CQUI
OG0001619	LOC6627417|XP_002051090.1|DVIR	LOC6044501|XP_038117207.1|CQUI, LOC6043468|XP_038108133.1|CQUI
OG0001620	LOC6633678|XP_002057283.2|DVIR, LOC6633679|XP_002057284.1|DVIR	LOC6053699|XP_038111510.1|CQUI
OG0001621	LOC6624982|XP_032292122.1|DVIR	LOC6047973|XP_038111062.1|CQUI
OG0001622	LOC6636031|XP_002059636.1|DVIR	LOC6052415|XP_038108162.1|CQUI, LOC6033089|XP_038116420.1|CQUI
OG0001623	LOC6627777|XP_032294236.1|DVIR	LOC6033347|XP_001843810.2|CQUI
OG0001624	LOC6634215|XP_002057808.1|DVIR	LOC6032136|XP_001842790.2|CQUI
OG0001625	LOC6624951|XP_002049175.2|DVIR, LOC6628782|XP_002051065.1|DVIR	LOC6032148|XP_038113764.1|CQUI
OG0001626	LOC6627793|XP_002052681.2|DVIR	LOC6042208|XP_001851349.1|CQUI
OG0001627	LOC6630269|XP_002053698.1|DVIR	LOC6045488|XP_038122368.1|CQUI, LOC6038139|XP_001847974.1|CQUI
OG0001628	LOC6630020|XP_032292713.1|DVIR	LOC6033095|XP_038111732.1|CQUI
OG0001630	LOC6635057|XP_002058624.1|DVIR	LOC6039823|XP_038117663.1|CQUI
OG0001631	LOC6629460|XP_002054707.1|DVIR	LOC6046005|XP_038120722.1|CQUI
OG0001632	LOC6629097|XP_002052442.1|DVIR	LOC6043429|XP_038116389.1|CQUI
OG0001633	LOC6632294|XP_002056736.1|DVIR	LOC6053368|XP_001869468.1|CQUI
OG0001634	LOC6635246|XP_032296667.1|DVIR	LOC6046393|XP_038116204.1|CQUI
OG0001635	LOC6630863|XP_002053465.1|DVIR	LOC6037793|XP_038115973.1|CQUI, LOC6037794|XP_038119882.1|CQUI
OG0001636	LOC6630794|XP_002054652.1|DVIR	LOC6040818|XP_038121776.1|CQUI, LOC6037782|XP_038121472.1|CQUI
OG0001637	LOC6629588|XP_002052995.1|DVIR	LOC6043581|XP_001860242.2|CQUI
OG0001638	LOC6633428|XP_002057221.2|DVIR	LOC6033998|XP_001844385.2|CQUI
OG0001639	LOC6635865|XP_002059339.2|DVIR	LOC6041876|XP_001851074.2|CQUI
OG0001640	LOC6630700|XP_015027746.1|DVIR	LOC6046196|XP_001863427.1|CQUI
OG0001641	LOC6630119|XP_002053390.1|DVIR	LOC119767400|XP_038111848.1|CQUI, LOC6039957|XP_001849450.1|CQUI
OG0001642	LOC6631893|XP_002055494.1|DVIR	LOC119768029|XP_038114244.1|CQUI
OG0001643	LOC6628428|XP_032294349.1|DVIR	LOC6047363|XP_038112326.1|CQUI
OG0001644	LOC6623223|XP_002047631.2|DVIR	LOC6053964|XP_038112903.1|CQUI
OG0001645	LOC6626701|XP_032292740.1|DVIR	LOC6038116|XP_038112719.1|CQUI
OG0001646	LOC6625117|XP_002049497.1|DVIR	LOC6037723|XP_038106396.1|CQUI
OG0001647	LOC6625419|XP_032292754.1|DVIR	LOC6037737|XP_038109785.1|CQUI
OG0001648	LOC6624082|XP_032294396.1|DVIR, LOC116650710|XP_032291056.1|DVIR	LOC6040102|XP_038112402.1|CQUI
OG0001649	LOC6626679|XP_002050874.1|DVIR	LOC6048211|XP_038112527.1|CQUI
OG0001650	LOC6626085|XP_032293018.1|DVIR	LOC6031714|XP_038108789.1|CQUI
OG0001651	LOC6626016|XP_002050240.2|DVIR	LOC6041652|XP_038107260.1|CQUI, LOC6043155|XP_038107430.1|CQUI
OG0001652	LOC6624475|XP_002048399.1|DVIR	LOC6038348|XP_001848163.2|CQUI
OG0001653	LOC6624244|XP_002048656.1|DVIR	LOC6040184|XP_038112148.1|CQUI
OG0001654	LOC6625050|XP_002049171.1|DVIR	LOC6043055|XP_001855187.2|CQUI
OG0001655	LOC6625107|XP_002049281.2|DVIR	LOC6040170|XP_038118838.1|CQUI, LOC6049138|XP_001865945.2|CQUI
OG0001656	LOC6628735|XP_002051072.2|DVIR	LOC6051216|XP_038107612.1|CQUI
OG0001657	LOC6623640|XP_002048241.1|DVIR	LOC6052468|XP_038112062.1|CQUI
OG0001658	LOC6624681|XP_002047644.1|DVIR	LOC6047164|XP_038111356.1|CQUI
OG0001659	LOC6622043|XP_002047961.1|DVIR	LOC6037205|XP_038111675.1|CQUI
OG0001660	LOC6624689|XP_002046642.1|DVIR	LOC6034452|XP_038110838.1|CQUI
OG0001661	LOC6629172|XP_002051911.1|DVIR, LOC6632467|XP_002055803.1|DVIR	LOC6035035|XP_001845278.1|CQUI
OG0001666	LOC6627997|XP_002051786.1|DVIR	LOC6041378|XP_001850642.2|CQUI
OG0001678	LOC6631416|XP_032295640.1|DVIR	LOC6040414|XP_038104840.1|CQUI
OG0001680	LOC6629747|XP_002053889.1|DVIR, LOC6634612|XP_002058097.3|DVIR	LOC6045214|XP_001862604.2|CQUI
OG0001681	LOC6632197|XP_032295509.1|DVIR	LOC6052447|XP_038121734.1|CQUI
OG0001682	LOC6633484|XP_002056993.1|DVIR	LOC6041755|XP_038105185.1|CQUI
OG0001683	LOC6634310|XP_002057560.1|DVIR	LOC6038194|XP_001848024.2|CQUI, LOC6034883|XP_038108971.1|CQUI
OG0001684	LOC6636231|XP_002059711.1|DVIR	LOC6047707|XP_038112375.1|CQUI
OG0001685	LOC6627830|XP_002051754.1|DVIR	LOC6032441|XP_001843038.1|CQUI, LOC6031862|XP_001842563.2|CQUI
OG0001686	LOC6636719|XP_002060192.1|DVIR	LOC6045350|XP_001862738.2|CQUI
OG0001687	LOC6634595|XP_002058250.1|DVIR	LOC6052845|XP_001869041.1|CQUI, LOC6040466|XP_038122912.1|CQUI
OG0001688	LOC6636043|XP_002059570.1|DVIR	LOC6048190|XP_001865144.2|CQUI
OG0001689	LOC6636165|XP_032295804.1|DVIR	LOC6048192|XP_001865146.2|CQUI
OG0001690	LOC6622427|XP_002047201.1|DVIR	LOC6040726|XP_001850079.1|CQUI
OG0001691	LOC6628425|XP_002051864.1|DVIR	LOC6039041|XP_001848719.1|CQUI
OG0001694	LOC6632586|XP_015025869.2|DVIR	LOC6045627|XP_038105482.1|CQUI, LOC6054003|XP_038113589.1|CQUI
OG0001695	LOC6629748|XP_002053890.1|DVIR, LOC6636636|XP_002060103.1|DVIR	LOC6038271|XP_038107999.1|CQUI, LOC6034418|XP_001844736.1|CQUI
OG0001696	LOC6631252|XP_032288902.1|DVIR	LOC6034727|XP_038122578.1|CQUI
OG0001697	LOC6635230|XP_032296693.1|DVIR	LOC119765468|XP_038105276.1|CQUI
OG0001698	LOC6634422|XP_032289268.1|DVIR	LOC6031437|XP_038105157.1|CQUI
OG0001699	LOC6629707|XP_015027257.1|DVIR	LOC6045521|XP_038105211.1|CQUI
OG0001700	LOC6631235|XP_002054664.2|DVIR	LOC6033579|XP_001844007.2|CQUI, LOC6033580|XP_038121073.1|CQUI
OG0001701	LOC6635179|XP_032294978.1|DVIR	LOC6039306|XP_038104058.1|CQUI
OG0001702	LOC6633956|XP_002057759.1|DVIR	LOC6031800|XP_001842507.1|CQUI
OG0001703	LOC6635096|XP_002058358.2|DVIR	LOC6036490|XP_001846536.2|CQUI, LOC119765219|XP_038104576.1|CQUI
OG0001704	LOC6635095|XP_032289349.1|DVIR	LOC6036489|XP_038105371.1|CQUI, LOC119765234|XP_038104634.1|CQUI
OG0001705	LOC6626145|XP_015030170.1|DVIR	LOC6036505|XP_038105296.1|CQUI
OG0001706	LOC6633908|XP_002057601.1|DVIR	LOC6039889|XP_038104652.1|CQUI
OG0001707	LOC6631175|XP_002054305.2|DVIR	LOC6042423|XP_038104240.1|CQUI
OG0001708	LOC6634839|XP_002058519.1|DVIR	LOC6039909|XP_001849407.2|CQUI
OG0001709	LOC6622167|XP_002047079.1|DVIR	LOC6041726|XP_038122907.1|CQUI
OG0001710	LOC6630410|XP_002054198.1|DVIR	LOC6040133|XP_001849591.2|CQUI, LOC6040873|XP_001850203.1|CQUI
OG0001711	LOC6630563|XP_015027683.1|DVIR	LOC119766888|XP_038109163.1|CQUI, LOC6046294|XP_038106161.1|CQUI
OG0001712	LOC6630773|XP_002054831.1|DVIR	LOC6041358|XP_001850628.1|CQUI
OG0001713	LOC6630414|XP_002053289.1|DVIR, LOC6630597|XP_002053288.1|DVIR	LOC6035505|XP_001845679.1|CQUI
OG0001714	LOC6633102|XP_002056582.1|DVIR	LOC6039666|XP_038122615.1|CQUI
OG0001715	LOC6632005|XP_032295440.1|DVIR	LOC6048329|XP_038118337.1|CQUI, LOC6040675|XP_038122584.1|CQUI
OG0001716	LOC6633711|XP_002057115.2|DVIR, LOC6632032|XP_002055498.1|DVIR	LOC6035411|XP_001845604.1|CQUI
OG0001717	LOC6635214|XP_002058402.3|DVIR	LOC6045596|XP_038105790.1|CQUI
OG0001719	LOC6630924|XP_002054313.2|DVIR	LOC6040900|XP_038104586.1|CQUI
OG0001720	LOC26531126|XP_032288916.1|DVIR	LOC6040916|XP_038104970.1|CQUI
OG0001721	LOC26531576|XP_015026293.1|DVIR	LOC6036809|XP_001846803.2|CQUI, LOC6036808|XP_001846802.2|CQUI, LOC6036807|XP_001846801.2|CQUI
OG0001722	LOC6624468|XP_032290389.1|DVIR	LOC6032833|XP_001843370.1|CQUI
OG0001723	LOC6636375|XP_002059904.3|DVIR	LOC6050945|XP_001867458.1|CQUI
OG0001724	LOC6624772|XP_032291921.1|DVIR	LOC6052662|XP_038121953.1|CQUI
OG0001725	LOC6626499|XP_015030158.2|DVIR	LOC6041022|XP_038122386.1|CQUI
OG0001726	LOC6623914|XP_002046289.1|DVIR	LOC6049583|XP_038121941.1|CQUI
OG0001727	LOC6631214|XP_002053957.1|DVIR	LOC6035294|XP_001845514.2|CQUI
OG0001728	LOC6635967|XP_002059331.1|DVIR	LOC6049347|XP_038118815.1|CQUI
OG0001729	LOC6625208|XP_032292042.1|DVIR	LOC6049354|XP_038118662.1|CQUI
OG0001730	LOC6627881|XP_015028332.1|DVIR	LOC6041179|XP_038117743.1|CQUI, LOC6041180|XP_038117741.1|CQUI
OG0001731	LOC116650166|XP_032289361.1|DVIR, LOC116650167|XP_032289362.1|DVIR	LOC6039260|XP_038121415.1|CQUI
OG0001732	LOC6628972|XP_015028169.1|DVIR	LOC6052396|XP_001868677.2|CQUI, LOC119767123|XP_038110744.1|CQUI, LOC6031836|XP_038117068.1|CQUI, LOC6044964|XP_001862389.2|CQUI
OG0001733	LOC6635985|XP_002059303.2|DVIR	LOC6043697|XP_001861323.2|CQUI
OG0001734	LOC6625613|XP_032291913.1|DVIR	LOC6043698|XP_038117261.1|CQUI
OG0001735	LOC6624372|XP_032290677.1|DVIR	LOC6040583|XP_001849963.2|CQUI
OG0001736	LOC6627203|XP_002050275.1|DVIR	LOC6048738|XP_001865614.2|CQUI
OG0001737	LOC6625580|XP_002048841.2|DVIR	LOC6037311|XP_038115534.1|CQUI
OG0001739	LOC6629241|XP_002052617.1|DVIR	LOC6041340|XP_001850617.1|CQUI
OG0001740	LOC6626639|XP_032292025.1|DVIR	LOC6036294|XP_038116515.1|CQUI
OG0001741	LOC6629328|XP_002053869.3|DVIR	LOC6036269|XP_038120968.1|CQUI
OG0001742	LOC6625338|XP_015029205.1|DVIR	LOC6036265|XP_001846332.2|CQUI
OG0001743	LOC6636853|XP_002060283.1|DVIR	LOC6036262|XP_038119186.1|CQUI
OG0001744	LOC6625773|XP_002050475.2|DVIR	LOC6054588|XP_038121964.1|CQUI
OG0001745	LOC6626749|XP_032291853.1|DVIR	LOC119769222|XP_038117074.1|CQUI, LOC6038595|XP_038118253.1|CQUI, LOC6038593|XP_038118254.1|CQUI
OG0001746	LOC6624110|XP_002047859.1|DVIR	LOC6036558|XP_001846598.2|CQUI
OG0001747	LOC6624956|XP_032291897.1|DVIR	LOC6036201|XP_038120017.1|CQUI
OG0001748	LOC6623520|XP_015030866.1|DVIR	LOC6033564|XP_038117165.1|CQUI
OG0001749	LOC6626419|XP_002050363.2|DVIR	LOC6036422|XP_001846474.1|CQUI
OG0001750	LOC6626420|XP_015029230.1|DVIR	LOC6036421|XP_038119048.1|CQUI
OG0001751	LOC6622950|XP_032290643.1|DVIR	LOC6042855|XP_038114678.1|CQUI
OG0001752	LOC6624699|XP_002047193.1|DVIR	LOC6040996|XP_038119438.1|CQUI
OG0001753	LOC6623717|XP_015030902.1|DVIR	LOC6054690|XP_038115069.1|CQUI, LOC6031315|XP_038115068.1|CQUI
OG0001754	LOC6626216|XP_002050744.1|DVIR	LOC6050843|XP_001867373.2|CQUI
OG0001755	LOC6624298|XP_032290740.1|DVIR, LOC116650008|XP_032289218.1|DVIR	LOC6052250|XP_038120707.1|CQUI
OG0001756	LOC6626720|XP_002050670.1|DVIR, LOC6626322|XP_002050699.2|DVIR	LOC6053151|XP_038114960.1|CQUI
OG0001757	LOC6625449|XP_002050985.1|DVIR, LOC116651117|XP_032292870.1|DVIR	LOC6043790|XP_038121470.1|CQUI
OG0001758	LOC6623466|XP_032290223.1|DVIR	LOC6043689|XP_038120429.1|CQUI
OG0001759	LOC6625894|XP_002050115.3|DVIR	LOC6033506|XP_001843947.2|CQUI
