Orthogroup	DVIR.longest_only	HILL.longest_only
OG0001438	LOC6629695|XP_002053976.1|DVIR	LOC119656888|XP_037919486.1|HILL
OG0001439	LOC6629735|XP_002054139.1|DVIR	LOC119659035|XP_037922858.1|HILL
OG0001440	LOC6636102|XP_002059644.2|DVIR	LOC119651352|XP_037910839.1|HILL
OG0001441	LOC6634423|XP_002057935.1|DVIR	LOC119656960|XP_037919608.1|HILL
OG0001442	LOC6627447|XP_002052469.1|DVIR, LOC6636690|XP_002060168.1|DVIR	LOC119657508|XP_037920372.1|HILL
OG0001443	LOC6632428|XP_002056100.1|DVIR	LOC119653014|XP_037913378.1|HILL
OG0001444	LOC6630854|XP_002053936.2|DVIR	LOC119657226|XP_037919966.1|HILL, LOC119657317|XP_037920104.1|HILL, LOC119658133|XP_037921330.1|HILL
OG0001445	LOC6634918|XP_002058678.1|DVIR	LOC119650719|XP_037909661.1|HILL
OG0001446	LOC6635157|XP_032289357.1|DVIR	LOC119650743|XP_037909739.1|HILL
OG0001447	LOC6632961|XP_002056351.2|DVIR	LOC119655582|XP_037917453.1|HILL
OG0001448	LOC6632800|XP_015025888.1|DVIR	LOC119652654|XP_037912834.1|HILL
OG0001449	LOC6627186|XP_002049928.2|DVIR, LOC6622057|XP_002047515.2|DVIR, LOC6624254|XP_002047514.2|DVIR	LOC119650287|XP_037908845.1|HILL
OG0001450	LOC6630067|XP_002054373.2|DVIR, LOC6627491|XP_032293600.1|DVIR, LOC6629022|XP_002051368.1|DVIR	LOC119657746|XP_037920724.1|HILL
OG0001451	LOC6636418|XP_032292154.1|DVIR	LOC119661787|XP_037927198.1|HILL
OG0001452	LOC6625664|XP_032292281.1|DVIR	LOC119647289|XP_037904121.1|HILL
OG0001453	LOC6623388|XP_002046152.1|DVIR	LOC119649865|XP_037908164.1|HILL
OG0001454	LOC6632733|XP_002055808.1|DVIR	LOC119659256|XP_037923175.1|HILL
OG0001455	LOC6622658|XP_032290460.1|DVIR	LOC119648164|XP_037905667.1|HILL
OG0001456	LOC6625753|XP_032291770.1|DVIR	LOC119649465|XP_037907551.1|HILL
OG0001457	LOC6626642|XP_002048778.1|DVIR	LOC119661698|XP_037927072.1|HILL
OG0001458	LOC6624799|XP_032292295.1|DVIR	LOC119646766|XP_037903273.1|HILL
OG0001459	LOC6623855|XP_032290329.1|DVIR	LOC119649746|XP_037907963.1|HILL
OG0001460	LOC6625478|XP_002050334.1|DVIR	LOC119647907|XP_037905148.1|HILL
OG0001461	LOC6634669|XP_002057985.1|DVIR	LOC119655555|XP_037917406.1|HILL
OG0001462	LOC6622415|XP_002046978.1|DVIR	LOC119647439|XP_037904286.1|HILL
OG0001463	LOC6632755|XP_002056477.2|DVIR	LOC119658997|XP_037922807.1|HILL
OG0001464	LOC6633517|XP_002057235.1|DVIR	LOC119660865|XP_037925689.1|HILL
OG0001465	LOC6626800|XP_032292567.1|DVIR	LOC119661306|XP_037926524.1|HILL
OG0001466	LOC6635759|XP_002059225.3|DVIR	LOC119647116|XP_037903831.1|HILL
OG0001467	LOC6629226|XP_002051252.1|DVIR	LOC119646387|XP_037902758.1|HILL
OG0001468	LOC6623123|XP_015031289.1|DVIR	LOC119649357|XP_037907395.1|HILL
OG0001469	LOC6626756|XP_002050707.1|DVIR	LOC119660627|XP_037925261.1|HILL
OG0001470	LOC6622971|XP_032290604.1|DVIR	LOC119650028|XP_037908433.1|HILL
OG0001471	LOC6623201|XP_032291106.1|DVIR	LOC119650245|XP_037908763.1|HILL
OG0001472	LOC6622973|XP_002046502.1|DVIR	LOC119648953|XP_037906799.1|HILL
OG0001474	LOC6634511|XP_032296365.1|DVIR, LOC6626275|XP_002050041.1|DVIR	LOC119655942|XP_037918063.1|HILL
OG0001475	LOC6625986|XP_002050064.1|DVIR	LOC119646535|XP_037902929.1|HILL
OG0001476	LOC6625997|XP_032291595.1|DVIR	LOC119646631|XP_037903069.1|HILL
OG0001477	LOC6632261|XP_002055896.1|DVIR	LOC119653829|XP_037914803.1|HILL
OG0001478	LOC6627773|XP_002052835.1|DVIR	LOC119652561|XP_037912697.1|HILL, LOC119652209|XP_037912077.1|HILL
OG0001480	LOC6627597|XP_002052828.2|DVIR	LOC119661320|XP_037926543.1|HILL
OG0001481	LOC6628319|XP_032293983.1|DVIR	LOC119652936|XP_037913257.1|HILL
OG0001482	LOC6627216|XP_032292693.1|DVIR	LOC119653980|XP_037915070.1|HILL
OG0001483	LOC6627304|XP_002051285.2|DVIR	LOC119653092|XP_037913523.1|HILL
OG0001484	LOC6628237|XP_002051807.1|DVIR	LOC119647542|XP_037904460.1|HILL, LOC119647544|XP_037904463.1|HILL
OG0001485	LOC6623646|XP_032291095.1|DVIR	LOC119649244|XP_037907238.1|HILL
OG0001486	LOC6628345|XP_015028510.1|DVIR	LOC119652475|XP_037912573.1|HILL
OG0001487	LOC26530854|XP_015028867.1|DVIR	LOC119651066|XP_037910330.1|HILL
OG0001488	LOC6627147|XP_002048716.1|DVIR	LOC119661214|XP_037926365.1|HILL, LOC119657365|XP_037920176.1|HILL, LOC119661305|XP_037926523.1|HILL, LOC119651417|XP_037910940.1|HILL, LOC119661215|XP_037926367.1|HILL
OG0001489	LOC6628302|XP_032293705.1|DVIR	LOC119651713|XP_037911355.1|HILL
OG0001490	LOC6628805|XP_002051228.2|DVIR	LOC119651715|XP_037911364.1|HILL
OG0001491	LOC6628875|XP_002052341.2|DVIR, LOC6628874|XP_002052340.1|DVIR, LOC6628876|XP_002052342.1|DVIR	LOC119646618|XP_037903052.1|HILL
OG0001492	LOC26530471|XP_002059192.2|DVIR	LOC119646771|XP_037903281.1|HILL
OG0001493	LOC6634276|XP_002057693.2|DVIR, LOC6634813|XP_002058139.1|DVIR	LOC119655859|XP_037917907.1|HILL
OG0001494	LOC6631633|XP_002055136.1|DVIR	LOC119655481|XP_037917309.1|HILL
OG0001495	LOC6627251|XP_002050402.1|DVIR	LOC119653406|XP_037913898.1|HILL
OG0001496	LOC6634496|XP_002058234.1|DVIR	LOC119655329|XP_037917098.1|HILL
OG0001497	LOC6625685|XP_002050318.1|DVIR	LOC119657909|XP_037921011.1|HILL
OG0001498	LOC6632276|XP_002056414.3|DVIR	LOC119659865|XP_037924105.1|HILL
OG0001500	LOC6635366|XP_002058890.1|DVIR	LOC119655204|XP_037916903.1|HILL
OG0001501	LOC116651718|XP_032294565.1|DVIR, LOC6630896|XP_002053125.2|DVIR	LOC119659833|XP_037924057.1|HILL, LOC119660373|XP_037924818.1|HILL
OG0001502	LOC6626454|XP_015029404.1|DVIR	LOC119652025|XP_037911887.1|HILL, LOC119660909|XP_037925784.1|HILL
OG0001503	LOC6625422|XP_032292789.1|DVIR	LOC119655492|XP_037917322.1|HILL
OG0001504	LOC6633630|XP_032295937.1|DVIR	LOC119656214|XP_037918538.1|HILL
OG0001506	LOC6625521|XP_002048997.1|DVIR	LOC119655596|XP_037917481.1|HILL
OG0001507	LOC6624736|XP_002049739.1|DVIR	LOC119655846|XP_037917889.1|HILL
OG0001508	LOC6625073|XP_002049086.1|DVIR	LOC119655979|XP_037918140.1|HILL, LOC119655613|XP_037917511.1|HILL
OG0001509	LOC6626252|XP_032293162.1|DVIR	LOC119656162|XP_037918432.1|HILL
OG0001510	LOC6628916|XP_002051384.1|DVIR	LOC119650653|XP_037909517.1|HILL
OG0001511	LOC6627116|XP_015029652.1|DVIR	LOC119653884|XP_037914930.1|HILL
OG0001512	LOC6622570|XP_002046662.1|DVIR	LOC119655067|XP_037916688.1|HILL
OG0001513	LOC6624512|XP_032291000.1|DVIR	LOC119649806|XP_037908045.1|HILL
OG0001515	LOC6635503|XP_002059043.1|DVIR	LOC119655346|XP_037917125.1|HILL
OG0001517	LOC26530359|XP_032289499.1|DVIR, LOC6633220|XP_002055985.1|DVIR	LOC119657938|XP_037921054.1|HILL
OG0001518	LOC6631991|XP_032296168.1|DVIR	LOC119651003|XP_037910217.1|HILL, LOC119651847|XP_037911574.1|HILL, LOC119651848|XP_037911577.1|HILL, LOC119651841|XP_037911567.1|HILL, LOC119651846|XP_037911573.1|HILL, LOC119651844|XP_037911571.1|HILL, LOC119651843|XP_037911570.1|HILL, LOC119651842|XP_037911568.1|HILL
OG0001519	LOC6632496|XP_032289569.1|DVIR	LOC119648557|XP_037906255.1|HILL, LOC119659587|XP_037923674.1|HILL, LOC119648556|XP_037906254.1|HILL
OG0001524	LOC6625065|XP_032293034.1|DVIR, LOC6625064|XP_002049211.1|DVIR	LOC119646742|XP_037903249.1|HILL
OG0001527	LOC6631625|XP_015026695.1|DVIR	LOC119657502|XP_037920364.1|HILL
OG0001534	LOC6633419|XP_002056818.2|DVIR, LOC6633420|XP_015025564.2|DVIR	LOC119656541|XP_037918815.1|HILL
OG0001535	LOC6632158|XP_002055767.1|DVIR	LOC119657486|XP_037920336.1|HILL
OG0001536	LOC6633483|XP_002056992.1|DVIR	LOC119646612|XP_037903042.1|HILL
OG0001537	LOC6627849|XP_002052844.1|DVIR	LOC119657890|XP_037920961.1|HILL
OG0001538	LOC6636137|XP_002059531.1|DVIR	LOC119657148|XP_037919853.1|HILL, LOC119649612|XP_037907760.1|HILL, LOC119656720|XP_037919175.1|HILL, LOC119656719|XP_037919174.1|HILL
OG0001539	LOC6626037|XP_002050804.1|DVIR	LOC119656642|XP_037919018.1|HILL
OG0001540	LOC6628382|XP_002052634.2|DVIR	LOC119652333|XP_037912272.1|HILL
OG0001541	LOC6622387|XP_002047931.1|DVIR	LOC119661222|XP_037926404.1|HILL, LOC119660851|XP_037926108.1|HILL, LOC119660158|XP_037924890.1|HILL, LOC119646856|XP_037903407.1|HILL, LOC119658780|XP_037922410.1|HILL
OG0001542	LOC6632523|XP_015025960.1|DVIR	LOC119655166|XP_037916846.1|HILL
OG0001543	LOC6631988|XP_032296213.1|DVIR	LOC119656597|XP_037918952.1|HILL
OG0001544	LOC6633701|XP_032295821.1|DVIR	LOC119657629|XP_037920561.1|HILL
OG0001545	LOC6633675|XP_002057280.2|DVIR	LOC119657564|XP_037920451.1|HILL, LOC119657548|XP_037920428.1|HILL
OG0001546	LOC6633293|XP_032296587.1|DVIR	LOC119656786|XP_037919302.1|HILL
OG0001548	LOC6632140|XP_015026672.1|DVIR	LOC119657373|XP_037920185.1|HILL
OG0001549	LOC6627927|XP_032294527.1|DVIR	LOC119650735|XP_037909704.1|HILL
OG0001550	LOC6631201|XP_002053043.1|DVIR	LOC119658946|XP_037922743.1|HILL
OG0001551	LOC6635098|XP_002058360.2|DVIR	LOC119652541|XP_037912674.1|HILL
OG0001552	LOC6632817|XP_002055904.2|DVIR, LOC6636395|XP_002059964.1|DVIR	LOC119651886|XP_037911635.1|HILL
OG0001553	LOC6631643|XP_002055362.1|DVIR	LOC119653576|XP_037914245.1|HILL
OG0001554	LOC6629711|XP_015027366.2|DVIR, LOC26531409|XP_015027896.1|DVIR	LOC119651111|XP_037910405.1|HILL
OG0001555	LOC6627939|XP_002052664.1|DVIR	LOC119661540|XP_037926852.1|HILL, LOC119659822|XP_037924038.1|HILL
OG0001556	LOC6626809|XP_002050926.1|DVIR	LOC119659266|XP_037923193.1|HILL
OG0001557	LOC6634812|XP_032296285.1|DVIR	LOC119660775|XP_037925478.1|HILL
OG0001558	LOC6636517|XP_002060007.1|DVIR	LOC119658461|XP_037921793.1|HILL
OG0001559	LOC6630035|XP_002054026.1|DVIR	LOC119652859|XP_037913143.1|HILL
OG0001560	LOC6633147|XP_032289549.1|DVIR	LOC119658725|XP_037922308.1|HILL
OG0001561	LOC6630692|XP_002054399.1|DVIR	LOC119652816|XP_037913068.1|HILL, LOC119652603|XP_037912763.1|HILL
OG0001562	LOC6627453|XP_002052475.1|DVIR	LOC119649645|XP_037907828.1|HILL
OG0001563	LOC6635263|XP_002058739.1|DVIR	LOC119656807|XP_037919347.1|HILL
OG0001564	LOC6634940|XP_032294819.1|DVIR	LOC119650926|XP_037910081.1|HILL
OG0001565	LOC6631006|XP_032291625.1|DVIR	LOC119659375|XP_037923359.1|HILL
OG0001566	LOC6631194|XP_002054839.1|DVIR	LOC119653247|XP_037913780.1|HILL
OG0001567	LOC6626729|XP_032293014.1|DVIR	LOC119655577|XP_037917438.1|HILL
OG0001569	LOC6635004|XP_002058517.1|DVIR	LOC119651771|XP_037911451.1|HILL
OG0001570	LOC6632235|XP_002056084.1|DVIR	LOC119650909|XP_037910058.1|HILL
OG0001571	LOC6627384|XP_002052404.2|DVIR	LOC119653208|XP_037913703.1|HILL
OG0001572	LOC6631909|XP_002055590.1|DVIR	LOC119661524|XP_037926828.1|HILL
OG0001573	LOC6636548|XP_032291461.1|DVIR	LOC119649346|XP_037907382.1|HILL
OG0001574	LOC6631446|XP_032295885.1|DVIR	LOC119649303|XP_037907328.1|HILL, LOC119661447|XP_037926718.1|HILL
OG0001575	LOC6635056|XP_032295162.1|DVIR, LOC6635055|XP_002058622.1|DVIR	LOC119653103|XP_037913546.1|HILL
OG0001576	LOC6629579|XP_002054871.1|DVIR	LOC119646441|XP_037902819.1|HILL
OG0001577	LOC6635038|XP_015024840.1|DVIR	LOC119649888|XP_037908198.1|HILL
OG0001578	LOC6624886|XP_002050976.2|DVIR	LOC119646947|XP_037903570.1|HILL
OG0001579	LOC6634558|XP_032296467.1|DVIR	LOC119661610|XP_037926958.1|HILL
OG0001580	LOC6626554|XP_015029140.1|DVIR	LOC119648793|XP_037906607.1|HILL
OG0001581	LOC6631895|XP_032295271.1|DVIR	LOC119656055|XP_037918254.1|HILL, LOC119649348|XP_037907384.1|HILL
OG0001582	LOC6635942|XP_002059294.2|DVIR	LOC119651815|XP_037911536.1|HILL
OG0001583	LOC6635884|XP_032292196.1|DVIR	LOC119659720|XP_037923903.1|HILL
OG0001585	LOC6634799|XP_002058134.3|DVIR	LOC119656002|XP_037918168.1|HILL
OG0001586	LOC6624641|XP_002046648.1|DVIR	LOC119647932|XP_037905200.1|HILL
OG0001587	LOC6626124|XP_002050031.1|DVIR	LOC119659167|XP_037923046.1|HILL
OG0001588	LOC6626346|XP_002050347.1|DVIR	LOC119658583|XP_037921967.1|HILL
OG0001589	LOC6629177|XP_002052372.1|DVIR	LOC119651375|XP_037910878.1|HILL
OG0001590	LOC6625510|XP_032292927.1|DVIR	LOC119655218|XP_037916923.1|HILL
OG0001591	LOC6635029|XP_015024843.1|DVIR	LOC119650695|XP_037909607.1|HILL
OG0001592	LOC6635672|XP_015024410.2|DVIR	LOC119661690|XP_037927063.1|HILL
OG0001593	LOC6635669|XP_032294680.1|DVIR	LOC119652228|XP_037912113.1|HILL, LOC119652545|XP_037912677.1|HILL
OG0001594	LOC6627370|XP_032294134.1|DVIR	LOC119655867|XP_037917922.1|HILL
OG0001595	LOC6625393|XP_002050138.2|DVIR	LOC119655772|XP_037917759.1|HILL
OG0001596	LOC26531871|XP_015025417.1|DVIR, LOC6633940|XP_002057610.1|DVIR	LOC119648895|XP_037906722.1|HILL, LOC119651016|XP_037910244.1|HILL
OG0001597	LOC6629005|XP_032293487.1|DVIR	LOC119653034|XP_037913409.1|HILL
OG0001598	LOC6634131|XP_002057519.1|DVIR	LOC119653202|XP_037913698.1|HILL
OG0001599	LOC6628073|XP_002051438.1|DVIR	LOC119651069|XP_037910334.1|HILL
OG0001600	LOC6628579|XP_032293419.1|DVIR	LOC119652819|XP_037913074.1|HILL
OG0001601	LOC6628167|XP_002051463.1|DVIR	LOC119650829|XP_037909894.1|HILL
OG0001602	LOC6634071|XP_002057873.1|DVIR	LOC119651030|XP_037910270.1|HILL
OG0001603	LOC6634034|XP_002057771.3|DVIR	LOC119651768|XP_037911436.1|HILL
OG0001604	LOC6633240|XP_002057410.1|DVIR, LOC6629656|XP_002053595.1|DVIR	LOC119655583|XP_037917451.1|HILL
OG0001605	LOC6626807|XP_002050924.1|DVIR	LOC119661250|XP_037926426.1|HILL
OG0001606	LOC6626144|XP_032292508.1|DVIR	LOC119660918|XP_037925818.1|HILL, LOC119646508|XP_037902892.1|HILL
OG0001607	LOC6627701|XP_002051985.1|DVIR	LOC119653772|XP_037914699.1|HILL
OG0001608	LOC6633945|XP_002057832.1|DVIR	LOC119651382|XP_037910884.1|HILL
OG0001609	LOC6636380|XP_002059909.1|DVIR	LOC119661337|XP_037926568.1|HILL
OG0001610	LOC6634354|XP_002057818.2|DVIR	LOC119651658|XP_037911273.1|HILL
OG0001611	LOC6634650|XP_002058301.3|DVIR, LOC6627980|XP_002052692.2|DVIR	LOC119659808|XP_037924012.1|HILL
OG0001612	LOC6628384|XP_002052636.1|DVIR	LOC119661586|XP_037926916.1|HILL
OG0001613	LOC6628091|XP_002051151.1|DVIR	LOC119652539|XP_037912671.1|HILL
OG0001614	LOC6625998|XP_032292709.1|DVIR	LOC119646811|XP_037903340.1|HILL
OG0001615	LOC6627742|XP_015028037.1|DVIR	LOC119652569|XP_037912710.1|HILL
OG0001616	LOC6628926|XP_002052349.1|DVIR	LOC119653567|XP_037914212.1|HILL
OG0001617	LOC6628393|XP_015028130.1|DVIR	LOC119650668|XP_037909544.1|HILL
OG0001618	LOC6636275|XP_002059688.3|DVIR	LOC119660942|XP_037925872.1|HILL
OG0001619	LOC6627417|XP_002051090.1|DVIR	LOC119652825|XP_037913082.1|HILL
OG0001620	LOC6633678|XP_002057283.2|DVIR, LOC6633679|XP_002057284.1|DVIR	LOC119653577|XP_037914248.1|HILL
OG0001621	LOC6624982|XP_032292122.1|DVIR	LOC119660108|XP_037924418.1|HILL
OG0001622	LOC6636031|XP_002059636.1|DVIR	LOC119656639|XP_037919011.1|HILL
OG0001623	LOC6627777|XP_032294236.1|DVIR	LOC119646591|XP_037903012.1|HILL
OG0001624	LOC6634215|XP_002057808.1|DVIR	LOC119650947|XP_037910108.1|HILL, LOC119650944|XP_037910102.1|HILL, LOC119650943|XP_037910101.1|HILL, LOC119650946|XP_037910106.1|HILL, LOC119650941|XP_037910099.1|HILL, LOC119650942|XP_037910100.1|HILL
OG0001625	LOC6624951|XP_002049175.2|DVIR, LOC6628782|XP_002051065.1|DVIR	LOC119653174|XP_037913649.1|HILL
OG0001626	LOC6627793|XP_002052681.2|DVIR	LOC119646282|XP_037902618.1|HILL
OG0001627	LOC6630269|XP_002053698.1|DVIR	LOC119659569|XP_037923651.1|HILL
OG0001628	LOC6630020|XP_032292713.1|DVIR	LOC119659955|XP_037924234.1|HILL
OG0001629	LOC6635260|XP_032296678.1|DVIR	LOC119658826|XP_037922488.1|HILL
OG0001630	LOC6635057|XP_002058624.1|DVIR	LOC119654480|XP_037915829.1|HILL
OG0001631	LOC6629460|XP_002054707.1|DVIR	LOC119660345|XP_037924763.1|HILL
OG0001632	LOC6629097|XP_002052442.1|DVIR	LOC119656711|XP_037919159.1|HILL
OG0001633	LOC6632294|XP_002056736.1|DVIR	LOC119660487|XP_037925004.1|HILL, LOC119659363|XP_037923342.1|HILL, LOC119659880|XP_037924127.1|HILL
OG0001634	LOC6635246|XP_032296667.1|DVIR	LOC119658764|XP_037922390.1|HILL
OG0001635	LOC6630863|XP_002053465.1|DVIR	LOC119660055|XP_037924362.1|HILL
OG0001636	LOC6630794|XP_002054652.1|DVIR	LOC119659847|XP_037924072.1|HILL
OG0001637	LOC6629588|XP_002052995.1|DVIR	LOC119652943|XP_037913260.1|HILL
OG0001638	LOC6633428|XP_002057221.2|DVIR	LOC119651073|XP_037910342.1|HILL
OG0001639	LOC6635865|XP_002059339.2|DVIR	LOC119656255|XP_037918601.1|HILL, LOC119656164|XP_037918435.1|HILL
OG0001640	LOC6630700|XP_015027746.1|DVIR	LOC119659939|XP_037924206.1|HILL
OG0001641	LOC6630119|XP_002053390.1|DVIR	LOC119659197|XP_037923087.1|HILL
OG0001642	LOC6631893|XP_002055494.1|DVIR	LOC119654177|XP_037915290.1|HILL
OG0001643	LOC6628428|XP_032294349.1|DVIR	LOC119649971|XP_037908335.1|HILL
OG0001644	LOC6623223|XP_002047631.2|DVIR	LOC119650290|XP_037908848.1|HILL
OG0001645	LOC6626701|XP_032292740.1|DVIR	LOC119655084|XP_037916711.1|HILL
OG0001646	LOC6625117|XP_002049497.1|DVIR	LOC119656068|XP_037918274.1|HILL
OG0001647	LOC6625419|XP_032292754.1|DVIR	LOC119655711|XP_037917661.1|HILL
OG0001648	LOC6624082|XP_032294396.1|DVIR, LOC116650710|XP_032291056.1|DVIR	LOC119649751|XP_037907972.1|HILL
OG0001649	LOC6626679|XP_002050874.1|DVIR	LOC119654460|XP_037915801.1|HILL
OG0001650	LOC6626085|XP_032293018.1|DVIR	LOC119656320|XP_037918700.1|HILL
OG0001651	LOC6626016|XP_002050240.2|DVIR	LOC119658370|XP_037921662.1|HILL
OG0001652	LOC6624475|XP_002048399.1|DVIR	LOC119649034|XP_037906920.1|HILL
OG0001653	LOC6624244|XP_002048656.1|DVIR	LOC119648676|XP_037906396.1|HILL
OG0001654	LOC6625050|XP_002049171.1|DVIR	LOC119653883|XP_037914928.1|HILL
OG0001655	LOC6625107|XP_002049281.2|DVIR	LOC119655938|XP_037918053.1|HILL
OG0001656	LOC6628735|XP_002051072.2|DVIR	LOC119651883|XP_037911629.1|HILL
OG0001657	LOC6623640|XP_002048241.1|DVIR	LOC119647486|XP_037904372.1|HILL
OG0001658	LOC6624681|XP_002047644.1|DVIR	LOC119649775|XP_037908004.1|HILL
OG0001659	LOC6622043|XP_002047961.1|DVIR	LOC119648041|XP_037905398.1|HILL
OG0001660	LOC6624689|XP_002046642.1|DVIR	LOC119649885|XP_037908191.1|HILL
OG0001661	LOC6629172|XP_002051911.1|DVIR, LOC6632467|XP_002055803.1|DVIR	LOC119654424|XP_037915743.1|HILL
OG0001662	LOC6622471|XP_002046420.2|DVIR	LOC119655308|XP_037917064.1|HILL, LOC119648390|XP_037906056.1|HILL
OG0001664	LOC6625097|XP_002049548.1|DVIR	LOC119655572|XP_037917428.1|HILL
OG0001664	LOC6625272|XP_002049363.1|DVIR	LOC119659739|XP_037923928.1|HILL, LOC119659643|XP_037923773.1|HILL
OG0001666	LOC6627997|XP_002051786.1|DVIR	LOC119655541|XP_037917385.1|HILL, LOC119654517|XP_037915884.1|HILL, LOC119654717|XP_037916166.1|HILL, LOC119654455|XP_037915794.1|HILL
OG0001667	LOC6625155|XP_002050616.2|DVIR	LOC119647002|XP_037903655.1|HILL
OG0001669	LOC6623370|XP_002047775.3|DVIR	LOC119648541|XP_037906237.1|HILL
OG0001678	LOC6631416|XP_032295640.1|DVIR	LOC119656538|XP_037918812.1|HILL
OG0001679	LOC6636177|XP_002059563.1|DVIR	LOC119657988|XP_037921133.1|HILL
OG0001680	LOC6629747|XP_002053889.1|DVIR, LOC6634612|XP_002058097.3|DVIR	LOC119657819|XP_037920861.1|HILL
OG0001681	LOC6632197|XP_032295509.1|DVIR	LOC119657551|XP_037920432.1|HILL, LOC119656765|XP_037919272.1|HILL
OG0001682	LOC6633484|XP_002056993.1|DVIR	LOC119652960|XP_037913284.1|HILL
OG0001683	LOC6634310|XP_002057560.1|DVIR	LOC119647325|XP_037904184.1|HILL
OG0001684	LOC6636231|XP_002059711.1|DVIR	LOC119660953|XP_037925916.1|HILL
OG0001685	LOC6627830|XP_002051754.1|DVIR	LOC119647007|XP_037903673.1|HILL
OG0001686	LOC6636719|XP_002060192.1|DVIR	LOC119657886|XP_037920953.1|HILL
OG0001687	LOC6634595|XP_002058250.1|DVIR	LOC119658373|XP_037921663.1|HILL
OG0001688	LOC6636043|XP_002059570.1|DVIR	LOC119656875|XP_037919467.1|HILL
OG0001689	LOC6636165|XP_032295804.1|DVIR	LOC119656983|XP_037919646.1|HILL, LOC119658473|XP_037921832.1|HILL, LOC119658329|XP_037921595.1|HILL, LOC119656968|XP_037919621.1|HILL
OG0001690	LOC6622427|XP_002047201.1|DVIR	LOC119648964|XP_037906811.1|HILL
OG0001691	LOC6628425|XP_002051864.1|DVIR	LOC119658271|XP_037921489.1|HILL, LOC119660760|XP_037925454.1|HILL
OG0001692	LOC6635101|XP_002058661.3|DVIR	LOC119652052|XP_037911916.1|HILL
OG0001693	LOC6634552|XP_002057969.1|DVIR	LOC119658052|XP_037921225.1|HILL
OG0001694	LOC6632586|XP_015025869.2|DVIR	LOC119650616|XP_037909427.1|HILL
OG0001695	LOC6629748|XP_002053890.1|DVIR, LOC6636636|XP_002060103.1|DVIR	LOC119657243|XP_037919985.1|HILL
OG0001696	LOC6631252|XP_032288902.1|DVIR	LOC119660622|XP_037925253.1|HILL
OG0001697	LOC6635230|XP_032296693.1|DVIR	LOC119652005|XP_037911863.1|HILL
OG0001698	LOC6634422|XP_032289268.1|DVIR	LOC119658486|XP_037921860.1|HILL
OG0001699	LOC6629707|XP_015027257.1|DVIR	LOC119651502|XP_037911048.1|HILL
OG0001700	LOC6631235|XP_002054664.2|DVIR	LOC119659448|XP_037923460.1|HILL
OG0001701	LOC6635179|XP_032294978.1|DVIR	LOC119656877|XP_037919470.1|HILL
OG0001702	LOC6633956|XP_002057759.1|DVIR	LOC119652737|XP_037912963.1|HILL
OG0001703	LOC6635096|XP_002058358.2|DVIR	LOC119651551|XP_037911111.1|HILL
OG0001704	LOC6635095|XP_032289349.1|DVIR	LOC119651685|XP_037911314.1|HILL
OG0001705	LOC6626145|XP_015030170.1|DVIR	LOC119650660|XP_037909524.1|HILL
OG0001706	LOC6633908|XP_002057601.1|DVIR	LOC119650414|XP_037909135.1|HILL
OG0001707	LOC6631175|XP_002054305.2|DVIR	LOC119655036|XP_037916644.1|HILL
OG0001708	LOC6634839|XP_002058519.1|DVIR	LOC119654721|XP_037916171.1|HILL, LOC119654653|XP_037916069.1|HILL, LOC119654493|XP_037915844.1|HILL
OG0001709	LOC6622167|XP_002047079.1|DVIR	LOC119658818|XP_037922470.1|HILL
OG0001710	LOC6630410|XP_002054198.1|DVIR	LOC119650640|XP_037909490.1|HILL
OG0001711	LOC6630563|XP_015027683.1|DVIR	LOC119658449|XP_037921781.1|HILL
OG0001712	LOC6630773|XP_002054831.1|DVIR	LOC119656973|XP_037919631.1|HILL
OG0001713	LOC6630414|XP_002053289.1|DVIR, LOC6630597|XP_002053288.1|DVIR	LOC119658767|XP_037922392.1|HILL
OG0001714	LOC6633102|XP_002056582.1|DVIR	LOC119660448|XP_037924929.1|HILL
OG0001715	LOC6632005|XP_032295440.1|DVIR	LOC119651565|XP_037911127.1|HILL
OG0001716	LOC6633711|XP_002057115.2|DVIR, LOC6632032|XP_002055498.1|DVIR	LOC119652970|XP_037913302.1|HILL
OG0001717	LOC6635214|XP_002058402.3|DVIR	LOC119651035|XP_037910280.1|HILL
OG0001718	LOC6632386|XP_032289423.1|DVIR	LOC119650787|XP_037909830.1|HILL
OG0001719	LOC6630924|XP_002054313.2|DVIR	LOC119656637|XP_037919005.1|HILL
OG0001720	LOC26531126|XP_032288916.1|DVIR	LOC119650761|XP_037909780.1|HILL
OG0001721	LOC26531576|XP_015026293.1|DVIR	LOC119652390|XP_037912419.1|HILL
OG0001722	LOC6624468|XP_032290389.1|DVIR	LOC119648853|XP_037906658.1|HILL, LOC119649076|XP_037906998.1|HILL, LOC119650269|XP_037908820.1|HILL
OG0001723	LOC6636375|XP_002059904.3|DVIR	LOC119659078|XP_037922919.1|HILL, LOC119660005|XP_037924311.1|HILL, LOC119649821|XP_037908084.1|HILL
OG0001724	LOC6624772|XP_032291921.1|DVIR	LOC119647260|XP_037904068.1|HILL
OG0001725	LOC6626499|XP_015030158.2|DVIR	LOC119658869|XP_037922558.1|HILL
OG0001726	LOC6623914|XP_002046289.1|DVIR	LOC119650313|XP_037908896.1|HILL
OG0001727	LOC6631214|XP_002053957.1|DVIR	LOC119652567|XP_037912708.1|HILL
