Orthogroup	DVIR.longest_only	DBIA.longest_only
OG0002070	LOC6630130|XP_002053682.1|DVIR	LOC108024855|XP_016950486.1|DBIA
OG0002071	LOC6631122|XP_002054242.1|DVIR	LOC108026131|XP_016952334.1|DBIA
OG0002072	LOC6626533|XP_002050657.1|DVIR	LOC108036536|XP_016968249.1|DBIA
OG0002073	LOC6622626|XP_032290694.1|DVIR	LOC108034899|XP_016965602.1|DBIA
OG0002074	LOC6626580|XP_002049693.1|DVIR	LOC108026911|XP_016953609.1|DBIA
OG0002075	LOC26530442|XP_015028814.1|DVIR	LOC108036769|XP_016968598.1|DBIA
OG0002076	LOC6626692|XP_032292959.1|DVIR	LOC108022782|XP_016947384.1|DBIA
OG0002077	LOC6622532|XP_032291318.1|DVIR	LOC108029177|XP_016956828.1|DBIA, LOC108029160|XP_016956793.1|DBIA
OG0002078	LOC6625145|XP_002049554.1|DVIR	LOC108029667|XP_016957584.1|DBIA
OG0002079	LOC6624462|XP_002048071.1|DVIR	LOC108028294|XP_016955502.1|DBIA
OG0002080	LOC6625119|XP_002049499.1|DVIR	LOC108022999|XP_016947719.1|DBIA
OG0002081	LOC6624784|XP_002049437.1|DVIR	LOC108026959|XP_016953663.1|DBIA
OG0002082	LOC6625656|XP_032293288.1|DVIR	LOC108036374|XP_016967963.1|DBIA
OG0002083	LOC6633873|XP_032296511.1|DVIR	LOC108023395|XP_016948322.1|DBIA
OG0002084	LOC6625624|XP_002049068.1|DVIR	LOC108023060|XP_016947796.1|DBIA
OG0002085	LOC6626264|XP_002050906.1|DVIR	LOC108026658|XP_016953185.1|DBIA
OG0002086	LOC6626480|XP_002049074.1|DVIR	LOC108022809|XP_016947432.1|DBIA
OG0002087	LOC26531396|XP_032289985.1|DVIR	LOC108028017|XP_016955138.1|DBIA
OG0002088	LOC6624726|XP_015030511.1|DVIR	LOC108028348|XP_016955589.1|DBIA
OG0002089	LOC6635359|XP_002058905.1|DVIR	LOC108029607|XP_016957475.1|DBIA
OG0002090	LOC6624051|XP_002047469.1|DVIR	LOC108028596|XP_016956000.1|DBIA
OG0002091	LOC6626001|XP_032293005.1|DVIR	LOC108026606|XP_016953068.1|DBIA
OG0002092	LOC6623949|XP_032291244.1|DVIR	LOC108035213|XP_016966217.1|DBIA
OG0002093	LOC6627267|XP_002049909.1|DVIR	LOC108022843|XP_016947504.1|DBIA
OG0002094	LOC6624979|XP_032289448.1|DVIR, LOC116650951|XP_032292149.1|DVIR	LOC108026593|XP_016953054.1|DBIA
OG0002095	LOC6634544|XP_002058288.1|DVIR	LOC108024093|XP_016949357.1|DBIA
OG0002096	LOC6626956|XP_032292980.1|DVIR	LOC108022612|XP_016947137.1|DBIA
OG0002097	LOC6625109|XP_002049283.2|DVIR	LOC108036327|XP_016967829.1|DBIA
OG0002098	LOC6624287|XP_015031432.1|DVIR	LOC108030845|XP_016959471.1|DBIA
OG0002099	LOC6629885|XP_002054545.1|DVIR	LOC108031104|XP_016959804.1|DBIA, LOC108032054|XP_016961359.1|DBIA
OG0002100	LOC6623652|XP_002048244.3|DVIR	LOC108030656|XP_016959164.1|DBIA
OG0002101	LOC6625848|XP_032292941.1|DVIR	LOC108029579|XP_016957430.1|DBIA
OG0002102	LOC6626790|XP_002049829.2|DVIR	LOC108029639|XP_016957531.1|DBIA
OG0002103	LOC6629840|XP_002054540.2|DVIR	LOC108031937|XP_016961206.1|DBIA
OG0002106	LOC6629940|XP_002054368.2|DVIR	LOC108031737|XP_016960916.1|DBIA
OG0002107	LOC6629238|XP_002052614.1|DVIR	LOC108033919|XP_016964079.1|DBIA
OG0002108	LOC6630695|XP_002054402.2|DVIR	LOC108024420|XP_016949826.1|DBIA
OG0002109	LOC6629275|XP_002052981.2|DVIR	LOC108025171|XP_016950937.1|DBIA
OG0002110	LOC6628810|XP_002051233.2|DVIR	LOC108032327|XP_016961625.1|DBIA
OG0002111	LOC116651459|XP_032293700.1|DVIR	LOC108036817|XP_016968656.1|DBIA, LOC108036714|XP_016968504.1|DBIA
OG0002112	LOC6629115|XP_015028760.2|DVIR	LOC108033587|XP_016963422.1|DBIA
OG0002113	LOC6630550|XP_002054421.3|DVIR	LOC108031030|XP_016959720.1|DBIA
OG0002114	LOC6633067|XP_002056139.2|DVIR	LOC108025293|XP_016951169.1|DBIA, LOC108025292|XP_016951168.1|DBIA
OG0002115	LOC26531333|XP_015030311.1|DVIR	LOC108026630|XP_016953137.1|DBIA, LOC108026629|XP_016953135.1|DBIA
OG0002117	LOC6635550|XP_002059097.1|DVIR	LOC108026695|XP_016953272.1|DBIA
OG0002118	LOC26531314|XP_032296684.1|DVIR	LOC108032961|XP_016962524.1|DBIA
OG0002119	LOC6631147|XP_015026969.1|DVIR	LOC108026199|XP_016952480.1|DBIA
OG0002120	LOC6636209|XP_002059699.1|DVIR	LOC108036012|XP_016967414.1|DBIA
OG0002121	LOC6634874|XP_032295296.1|DVIR	LOC108026235|XP_016952559.1|DBIA
OG0002123	LOC6628453|XP_032294579.1|DVIR	LOC108033850|XP_016963974.1|DBIA
OG0002124	LOC6635457|XP_002059059.2|DVIR	LOC108035796|XP_016967027.1|DBIA
OG0002125	LOC6626451|XP_002049681.1|DVIR	LOC108030030|XP_016958074.1|DBIA
OG0002126	LOC6622481|XP_015030519.1|DVIR	LOC108028833|XP_016956310.1|DBIA
OG0002127	LOC6631364|XP_032296113.1|DVIR	LOC108023591|XP_016948683.1|DBIA
OG0002128	LOC6635484|XP_032296156.1|DVIR	LOC108035766|XP_016966958.1|DBIA
OG0002129	LOC6635015|XP_002058659.2|DVIR	LOC108031580|XP_016960634.1|DBIA
OG0002130	LOC6634737|XP_032289213.1|DVIR	LOC108023316|XP_016948108.1|DBIA
OG0002131	LOC6632912|XP_002056257.1|DVIR	LOC108025363|XP_016951315.1|DBIA
OG0002132	LOC6634124|XP_002057725.1|DVIR	LOC108034811|XP_016965348.1|DBIA
OG0002133	LOC6633868|XP_002056970.1|DVIR	LOC108036294|XP_016967797.1|DBIA
OG0002134	LOC6634526|XP_002057955.1|DVIR	LOC108023559|XP_016948635.1|DBIA
OG0002135	LOC6633633|XP_032296266.1|DVIR	LOC108023951|XP_016949132.1|DBIA
OG0002136	LOC6633024|XP_002055941.1|DVIR	LOC108025326|XP_016951241.1|DBIA
OG0002137	LOC6630771|XP_032294881.1|DVIR	LOC108026146|XP_016952366.1|DBIA
OG0002138	LOC6633690|XP_002057007.1|DVIR	LOC108023692|XP_016948805.1|DBIA
OG0002139	LOC6634723|XP_032289223.1|DVIR	LOC108033054|XP_016962670.1|DBIA
OG0002140	LOC6636033|XP_032296209.1|DVIR	LOC108023214|XP_016947973.1|DBIA
OG0002141	LOC6628236|XP_002051806.1|DVIR, LOC6635239|XP_002058767.1|DVIR	LOC108024077|XP_016949341.1|DBIA
OG0002142	LOC116651839|XP_032294831.1|DVIR, LOC6631029|XP_002054120.1|DVIR	LOC108024995|XP_016950740.1|DBIA
OG0002143	LOC6629068|XP_002051612.1|DVIR	LOC108027786|XP_016954842.1|DBIA
OG0002144	LOC6636217|XP_002059718.2|DVIR	LOC108036687|XP_016968468.1|DBIA, LOC108033014|XP_016962633.1|DBIA
OG0002145	LOC6630186|XP_002053255.2|DVIR	LOC108031903|XP_016961159.1|DBIA
OG0002146	LOC6633035|XP_002056062.1|DVIR	LOC108024962|XP_016950689.1|DBIA
OG0002147	LOC6631667|XP_032295642.1|DVIR	LOC108025764|XP_016951847.1|DBIA
OG0002148	LOC6636821|XP_002060303.1|DVIR	LOC108034563|XP_016964981.1|DBIA
OG0002149	LOC6636273|XP_002059686.2|DVIR	LOC108036005|XP_016967390.1|DBIA
OG0002150	LOC6634442|XP_002058057.1|DVIR	LOC108026580|XP_016953026.1|DBIA
OG0002151	LOC6627819|XP_002051144.2|DVIR, LOC116651415|XP_032293610.1|DVIR	LOC108033385|XP_016963193.1|DBIA
OG0002152	LOC6632813|XP_015026071.2|DVIR	LOC108025125|XP_016950885.1|DBIA
OG0002153	LOC6632214|XP_002055882.1|DVIR	LOC108026066|XP_016952250.1|DBIA
OG0002154	LOC6634683|XP_015025121.1|DVIR	LOC108023601|XP_016948698.1|DBIA
OG0002155	LOC6629478|XP_002054093.1|DVIR	LOC108025109|XP_016950863.1|DBIA
OG0002156	LOC6622839|XP_002047681.1|DVIR	LOC108030806|XP_016959390.1|DBIA
OG0002157	LOC6632474|XP_002056175.1|DVIR	LOC108024344|XP_016949738.1|DBIA
OG0002158	LOC6626071|XP_015029587.1|DVIR	LOC108030378|XP_016958737.1|DBIA
OG0002159	LOC6626895|XP_002050817.1|DVIR	LOC108022600|XP_016947123.1|DBIA
OG0002160	LOC6630552|XP_032295302.1|DVIR	LOC108031111|XP_016959811.1|DBIA
OG0002161	LOC6631150|XP_002054253.1|DVIR	LOC108031804|XP_016961013.1|DBIA
OG0002162	LOC6631254|XP_015027358.1|DVIR	LOC108024705|XP_016950278.1|DBIA
OG0002163	LOC6633681|XP_002057286.2|DVIR, LOC6623976|XP_002047394.1|DVIR	LOC108036566|XP_016968306.1|DBIA
OG0002164	LOC6632752|XP_002056475.1|DVIR	LOC108026438|XP_016952864.1|DBIA
OG0002165	LOC6630211|XP_002053714.1|DVIR	LOC108033622|XP_016963484.1|DBIA
OG0002166	LOC6627363|XP_002051670.1|DVIR	LOC108036799|XP_016968635.1|DBIA
OG0002167	LOC6635352|XP_002058898.1|DVIR	LOC108030451|XP_016958832.1|DBIA
OG0002168	LOC116651107|XP_032292837.1|DVIR, LOC6626797|XP_002049948.2|DVIR	LOC108026917|XP_016953617.1|DBIA
OG0002169	LOC6622909|XP_002047074.1|DVIR	LOC108035317|XP_016966379.1|DBIA
OG0002170	LOC6636192|XP_002059738.1|DVIR	LOC108024903|XP_016950557.1|DBIA
OG0002171	LOC6631188|XP_002054833.1|DVIR	LOC108026205|XP_016952496.1|DBIA
OG0002172	LOC6630961|XP_002054738.1|DVIR	LOC108032234|XP_016961585.1|DBIA
OG0002173	LOC6629109|XP_002052603.1|DVIR	LOC108033327|XP_016963101.1|DBIA
OG0002174	LOC6630756|XP_002054495.1|DVIR	LOC108024757|XP_016950355.1|DBIA
OG0002175	LOC6630755|XP_002054494.1|DVIR	LOC108024758|XP_016950356.1|DBIA
OG0002176	LOC6631181|XP_002053236.1|DVIR	LOC108032126|XP_016961447.1|DBIA
OG0002177	LOC6630372|XP_002054347.1|DVIR	LOC108023355|XP_016948207.1|DBIA
OG0002178	LOC6630849|XP_015027057.1|DVIR	LOC108025240|XP_016951075.1|DBIA
OG0002179	LOC6630295|XP_002052947.2|DVIR	LOC108026414|XP_016952831.1|DBIA
OG0002180	LOC6632798|XP_002056114.3|DVIR	LOC108025207|XP_016951029.1|DBIA
OG0002181	LOC6632209|XP_002055523.1|DVIR	LOC108023675|XP_016948785.1|DBIA
OG0002182	LOC6634890|XP_015024853.1|DVIR	LOC108031489|XP_016960466.1|DBIA
OG0002183	LOC6635358|XP_002058904.1|DVIR	LOC108036244|XP_016967741.1|DBIA
OG0002184	LOC6630008|XP_002054770.1|DVIR	LOC108031751|XP_016960944.1|DBIA
OG0002185	LOC6633080|XP_002055958.2|DVIR	LOC108023846|XP_016948980.1|DBIA, LOC108026323|XP_016952702.1|DBIA
OG0002186	LOC6627578|XP_002051391.1|DVIR	LOC108023829|XP_016948965.1|DBIA
OG0002187	LOC6635187|XP_002058386.1|DVIR	LOC108032093|XP_016961408.1|DBIA
OG0002188	LOC6625790|XP_032292638.1|DVIR	LOC108026653|XP_016953180.1|DBIA
OG0002189	LOC26531700|XP_015027924.1|DVIR	LOC108022847|XP_016947550.1|DBIA
OG0002190	LOC6630253|XP_002053767.1|DVIR	LOC108026239|XP_016952563.1|DBIA
OG0002191	LOC6622313|XP_002048080.1|DVIR	LOC108028321|XP_016955543.1|DBIA
OG0002192	LOC6624612|XP_002048264.1|DVIR	LOC108028575|XP_016955969.1|DBIA
OG0002193	LOC6631138|XP_002053034.1|DVIR	LOC108031839|XP_016961078.1|DBIA
OG0002194	LOC6632310|XP_002055999.1|DVIR	LOC108024407|XP_016949809.1|DBIA
OG0002195	LOC6634854|XP_002058644.1|DVIR	LOC108026398|XP_016952810.1|DBIA
OG0002196	LOC6629731|XP_002053607.1|DVIR	LOC108031127|XP_016959830.1|DBIA
OG0002197	LOC6622573|XP_002046440.3|DVIR, LOC116650597|XP_032290572.1|DVIR	LOC108030958|XP_016959650.1|DBIA
OG0002198	LOC6632743|XP_032289508.1|DVIR	LOC108027260|XP_016954111.1|DBIA
OG0002199	LOC6631217|XP_002053960.1|DVIR	LOC108031630|XP_016960724.1|DBIA
OG0002200	LOC6629698|XP_002052956.1|DVIR	LOC108025770|XP_016951856.1|DBIA
OG0002202	LOC6634848|XP_032295190.1|DVIR	LOC108031728|XP_016960889.1|DBIA
OG0002203	LOC6630351|XP_032295456.1|DVIR	LOC108024702|XP_016950272.1|DBIA
OG0002204	LOC6631146|XP_002054249.1|DVIR	LOC108026389|XP_016952800.1|DBIA
OG0002205	LOC6632422|XP_002056094.1|DVIR	LOC108023712|XP_016948835.1|DBIA
OG0002206	LOC6632381|XP_032289422.1|DVIR	LOC108031187|XP_016959895.1|DBIA
OG0002207	LOC6634938|XP_002058708.2|DVIR	LOC108024688|XP_016950253.1|DBIA
OG0002208	LOC6634934|XP_002058704.1|DVIR	LOC108024870|XP_016950503.1|DBIA
OG0002209	LOC6633415|XP_002056814.1|DVIR	LOC108023592|XP_016948685.1|DBIA
OG0002210	LOC6630804|XP_015026964.1|DVIR	LOC108027372|XP_016954286.1|DBIA
OG0002211	LOC6632236|XP_002056085.1|DVIR	LOC108031916|XP_016961175.1|DBIA
OG0002212	LOC6632549|XP_002055828.1|DVIR	LOC108031977|XP_016961260.1|DBIA
OG0002213	LOC6629314|XP_002053533.1|DVIR	LOC108027441|XP_016954379.1|DBIA
OG0002215	LOC6630827|XP_032296148.1|DVIR	LOC108031383|XP_016960231.1|DBIA
OG0002216	LOC6626204|XP_002049790.1|DVIR	LOC108026376|XP_016952786.1|DBIA
OG0002217	LOC6630403|XP_002054268.1|DVIR	LOC108024808|XP_016950419.1|DBIA
OG0002218	LOC6633846|XP_002057198.1|DVIR	LOC108026620|XP_016953106.1|DBIA
OG0002219	LOC6633129|XP_002056072.2|DVIR	LOC108032044|XP_016961345.1|DBIA
OG0002220	LOC6633128|XP_002056071.2|DVIR	LOC108030971|XP_016959659.1|DBIA
OG0002221	LOC6623193|XP_032291353.1|DVIR	LOC108035386|XP_016966482.1|DBIA
OG0002222	LOC6626423|XP_002050367.1|DVIR	LOC108022738|XP_016947317.1|DBIA
OG0002224	LOC6626188|XP_032292180.1|DVIR	LOC108030034|XP_016958083.1|DBIA
OG0002225	LOC6623942|XP_032290647.1|DVIR	LOC108028666|XP_016956087.1|DBIA
OG0002226	LOC6626479|XP_002050464.1|DVIR	LOC108030057|XP_016958130.1|DBIA
OG0002227	LOC6625061|XP_032291796.1|DVIR	LOC108022543|XP_016947010.1|DBIA
OG0002228	LOC6627283|XP_002049625.1|DVIR	LOC108029709|XP_016957673.1|DBIA
OG0002229	LOC6626985|XP_015029593.1|DVIR	LOC108022551|XP_016947028.1|DBIA
OG0002230	LOC6636411|XP_015023923.1|DVIR, LOC116649746|XP_032292217.1|DVIR	LOC108029635|XP_016957523.1|DBIA
OG0002231	LOC6624866|XP_002048885.1|DVIR	LOC108030256|XP_016958565.1|DBIA
OG0002232	LOC6626278|XP_002050165.1|DVIR	LOC108022735|XP_016947313.1|DBIA
OG0002233	LOC6624109|XP_002047132.2|DVIR	LOC108030689|XP_016959212.1|DBIA
OG0002235	LOC6625800|XP_032291862.1|DVIR	LOC108026632|XP_016953139.1|DBIA
OG0002236	LOC6625978|XP_002049993.1|DVIR	LOC108026688|XP_016953265.1|DBIA
OG0002237	LOC6635397|XP_002058840.1|DVIR	LOC108026650|XP_016953176.1|DBIA
OG0002238	LOC6625720|XP_015030021.1|DVIR	LOC108030221|XP_016958487.1|DBIA
OG0002239	LOC6626218|XP_002050746.1|DVIR	LOC108029733|XP_016957709.1|DBIA
OG0002240	LOC6625868|XP_002050789.1|DVIR	LOC108026702|XP_016953284.1|DBIA
OG0002241	LOC6622463|XP_032291045.1|DVIR	LOC108035287|XP_016966343.1|DBIA
OG0002242	LOC6624361|XP_032290406.1|DVIR	LOC108035256|XP_016966291.1|DBIA
OG0002243	LOC6630396|XP_002054004.1|DVIR	LOC108031643|XP_016960763.1|DBIA
OG0002244	LOC6623800|XP_002047364.1|DVIR	LOC108028313|XP_016955525.1|DBIA
OG0002245	LOC6623941|XP_002048294.1|DVIR	LOC108035055|XP_016965924.1|DBIA
OG0002246	LOC6625722|XP_032291755.1|DVIR	LOC108030324|XP_016958670.1|DBIA
OG0002247	LOC116651108|XP_032292838.1|DVIR, LOC26530812|XP_015030250.2|DVIR	LOC108026897|XP_016953595.1|DBIA
OG0002248	LOC6624262|XP_002046345.1|DVIR	LOC108035357|XP_016966442.1|DBIA
OG0002249	LOC6624459|XP_002046587.1|DVIR	LOC108034754|XP_016965192.1|DBIA
OG0002250	LOC6635890|XP_032291823.1|DVIR	LOC108022882|XP_016947568.1|DBIA
OG0002251	LOC6635893|XP_032291831.1|DVIR	LOC108023070|XP_016947806.1|DBIA
OG0002252	LOC6635816|XP_002059439.2|DVIR	LOC108022983|XP_016947698.1|DBIA
OG0002253	LOC26531451|XP_032291885.1|DVIR, LOC116650363|XP_032289761.1|DVIR	LOC108022755|XP_016947342.1|DBIA
OG0002254	LOC6631021|XP_002053826.1|DVIR	LOC108031743|XP_016960929.1|DBIA
OG0002255	LOC6634678|XP_002057994.1|DVIR	LOC108024203|XP_016949542.1|DBIA
OG0002256	LOC6626553|XP_032292560.1|DVIR	LOC108036412|XP_016968027.1|DBIA
OG0002257	LOC6636401|XP_032292991.1|DVIR, LOC116649742|XP_032292211.1|DVIR	LOC108022698|XP_016947261.1|DBIA
OG0002258	LOC6623085|XP_002046860.1|DVIR	LOC108028518|XP_016955890.1|DBIA
OG0002259	LOC6636518|XP_002060008.1|DVIR	LOC108025803|XP_016951936.1|DBIA
OG0002260	LOC6623074|XP_002048501.1|DVIR	LOC108028464|XP_016955811.1|DBIA
OG0002261	LOC6622893|XP_002047551.1|DVIR	LOC108030802|XP_016959376.1|DBIA
OG0002262	LOC6625927|XP_002049297.2|DVIR	LOC108036476|XP_016968146.1|DBIA
OG0002263	LOC6624228|XP_002046537.1|DVIR	LOC108034545|XP_016964961.1|DBIA
OG0002264	LOC6626422|XP_032292315.1|DVIR	LOC108022737|XP_016947316.1|DBIA
OG0002265	LOC6624019|XP_002046274.3|DVIR	LOC108034612|XP_016965036.1|DBIA
OG0002266	LOC6622661|XP_002048145.1|DVIR	LOC108028055|XP_016955182.1|DBIA
OG0002267	LOC6623557|XP_002046799.1|DVIR	LOC108027863|XP_016954967.1|DBIA
OG0002268	LOC6624415|XP_002047167.2|DVIR	LOC108028315|XP_016955533.1|DBIA
OG0002269	LOC6635935|XP_002059374.2|DVIR	LOC108030220|XP_016958484.1|DBIA
OG0002270	LOC6624983|XP_002050663.1|DVIR	LOC108036519|XP_016968214.1|DBIA
OG0002271	LOC6624113|XP_032291245.1|DVIR	LOC108030704|XP_016959237.1|DBIA
OG0002272	LOC6622054|XP_002046380.1|DVIR	LOC108035467|XP_016966604.1|DBIA
OG0002273	LOC6624476|XP_032289890.1|DVIR	LOC108030579|XP_016959004.1|DBIA
OG0002274	LOC6624237|XP_032290937.1|DVIR	LOC108030786|XP_016959327.1|DBIA
OG0002275	LOC6624314|XP_002046608.1|DVIR	LOC108035435|XP_016966556.1|DBIA
OG0002276	LOC6622911|XP_032290373.1|DVIR	LOC108030398|XP_016958775.1|DBIA
OG0002277	LOC6622850|XP_002046490.1|DVIR	LOC108030096|XP_016958254.1|DBIA
OG0002278	LOC6623905|XP_002047374.1|DVIR	LOC108034400|XP_016964771.1|DBIA
OG0002279	LOC6622863|XP_002047729.1|DVIR	LOC108029691|XP_016957643.1|DBIA
OG0002280	LOC6622432|XP_032291143.1|DVIR	LOC108035244|XP_016966267.1|DBIA
OG0002281	LOC6622656|XP_002047021.1|DVIR	LOC108035142|XP_016966072.1|DBIA
OG0002282	LOC6622238|XP_002046364.1|DVIR	LOC108035509|XP_016966659.1|DBIA
OG0002283	LOC6636324|XP_002059884.2|DVIR	LOC108022788|XP_016947403.1|DBIA
OG0002284	LOC6626310|XP_002050389.1|DVIR	LOC108029395|XP_016957112.1|DBIA
OG0002285	LOC6636011|XP_002059511.1|DVIR	LOC108032037|XP_016961341.1|DBIA
OG0002286	LOC6626596|XP_002049032.2|DVIR	LOC108022914|XP_016947610.1|DBIA
OG0002287	LOC6624984|XP_032291922.1|DVIR	LOC108036564|XP_016968301.1|DBIA
OG0002288	LOC6624139|XP_002047865.2|DVIR	LOC108029736|XP_016957715.1|DBIA
OG0002289	LOC6623221|XP_002046743.2|DVIR, LOC6623251|XP_002046745.1|DVIR	LOC108034882|XP_016965579.1|DBIA
OG0002290	LOC6628971|XP_002051363.1|DVIR	LOC108022489|XP_016946971.1|DBIA
OG0002291	LOC6635939|XP_032291551.1|DVIR	LOC108030129|XP_016958327.1|DBIA
OG0002292	LOC6635956|XP_032292235.1|DVIR	LOC108030207|XP_016958453.1|DBIA
OG0002293	LOC6626122|XP_002050029.2|DVIR	LOC108032781|XP_016962276.1|DBIA
OG0002294	LOC6632783|XP_002055865.1|DVIR	LOC108032002|XP_016961287.1|DBIA
OG0002295	LOC6627602|XP_015028027.2|DVIR	LOC108033695|XP_016963683.1|DBIA
OG0002296	LOC6633964|XP_002057766.2|DVIR	LOC108032590|XP_016961986.1|DBIA
OG0002297	LOC6630203|XP_002053706.1|DVIR	LOC108031415|XP_016960304.1|DBIA
OG0002298	LOC6625548|XP_002049983.1|DVIR	LOC108026529|XP_016952966.1|DBIA
OG0002299	LOC6635913|XP_002059291.1|DVIR	LOC108022229|XP_016946576.1|DBIA
OG0002300	LOC6627945|XP_032293516.1|DVIR	LOC108034325|XP_016964686.1|DBIA
OG0002301	LOC6628213|XP_032293508.1|DVIR	LOC108033974|XP_016964178.1|DBIA
OG0002302	LOC6629194|XP_032293634.1|DVIR	LOC108033761|XP_016963823.1|DBIA
OG0002303	LOC6636013|XP_002059513.1|DVIR	LOC108032156|XP_016961494.1|DBIA
OG0002304	LOC6628577|XP_002051511.1|DVIR	LOC108029171|XP_016956805.1|DBIA
OG0002305	LOC6624224|XP_002047607.1|DVIR	LOC108028581|XP_016955978.1|DBIA
OG0002306	LOC6634379|XP_002057573.3|DVIR	LOC108036114|XP_016967578.1|DBIA
OG0002307	LOC6628443|XP_002052228.2|DVIR	LOC108032575|XP_016961963.1|DBIA
OG0002308	LOC6634031|XP_002057768.1|DVIR	LOC108022273|XP_016946624.1|DBIA, LOC108032632|XP_016962062.1|DBIA
OG0002309	LOC6628100|XP_002052424.1|DVIR	LOC108029080|XP_016956654.1|DBIA
OG0002310	LOC6628028|XP_032293906.1|DVIR	LOC108034171|XP_016964469.1|DBIA
OG0002311	LOC6628327|XP_015028059.1|DVIR	LOC108032368|XP_016961670.1|DBIA
OG0002312	LOC6634330|XP_002057683.1|DVIR	LOC108032784|XP_016962274.1|DBIA
OG0002314	LOC6626806|XP_002050923.1|DVIR	LOC108029416|XP_016957141.1|DBIA
OG0002315	LOC6624831|XP_032292938.1|DVIR	LOC108030435|XP_016958810.1|DBIA
OG0002316	LOC6627974|XP_032294633.1|DVIR	LOC108033377|XP_016963185.1|DBIA
OG0002317	LOC6622655|XP_015031427.1|DVIR	LOC108035250|XP_016966275.1|DBIA
OG0002318	LOC6628661|XP_002051817.1|DVIR	LOC108034073|XP_016964321.1|DBIA
OG0002319	LOC6634362|XP_002057703.1|DVIR	LOC108032804|XP_016962300.1|DBIA
OG0002320	LOC6626277|XP_002050164.1|DVIR	LOC108022591|XP_016947107.1|DBIA
OG0002321	LOC6625950|XP_032292975.1|DVIR	LOC108023088|XP_016947832.1|DBIA
OG0002322	LOC6634055|XP_032293582.1|DVIR	LOC108034199|XP_016964518.1|DBIA
OG0002323	LOC6635638|XP_002059243.1|DVIR	LOC108034229|XP_016964564.1|DBIA
OG0002324	LOC6622062|XP_002047554.2|DVIR	LOC108030801|XP_016959373.1|DBIA
OG0002325	LOC6623601|XP_002047799.2|DVIR	LOC108028529|XP_016955910.1|DBIA
OG0002326	LOC6623534|XP_015031376.1|DVIR	LOC108028651|XP_016956064.1|DBIA
OG0002328	LOC6628299|XP_002051184.1|DVIR	LOC108032793|XP_016962286.1|DBIA
OG0002329	LOC6628256|XP_002052935.1|DVIR	LOC108027926|XP_016955039.1|DBIA
OG0002330	LOC116649761|XP_032294345.1|DVIR	LOC108027913|XP_016955023.1|DBIA
OG0002331	LOC6631879|XP_002054972.1|DVIR	LOC108035772|XP_016966967.1|DBIA
OG0002332	LOC6622348|XP_002047742.1|DVIR	LOC108027496|XP_016954432.1|DBIA, LOC108035554|XP_016966712.1|DBIA
OG0002333	LOC6627257|XP_032291711.1|DVIR	LOC108022607|XP_016947132.1|DBIA
OG0002334	LOC6628590|XP_002051483.2|DVIR	LOC108034141|XP_016964424.1|DBIA
OG0002335	LOC6627145|XP_002048957.2|DVIR	LOC108029708|XP_016957671.1|DBIA
OG0002336	LOC6623037|XP_032291128.1|DVIR	LOC108035916|XP_016967179.1|DBIA
OG0002337	LOC6636462|XP_032291653.1|DVIR, LOC116650814|XP_032291460.1|DVIR	LOC108036330|XP_016967851.1|DBIA
OG0002338	LOC6628626|XP_015028494.1|DVIR	LOC108034180|XP_016964486.1|DBIA
OG0002339	LOC6628249|XP_015028561.1|DVIR	LOC108027830|XP_016954904.1|DBIA
OG0002340	LOC6627551|XP_002052286.2|DVIR	LOC108033967|XP_016964165.1|DBIA
OG0002341	LOC6625590|XP_002051040.2|DVIR	LOC108022165|XP_016946498.1|DBIA
OG0002342	LOC6627616|XP_015028794.1|DVIR	LOC108029107|XP_016956707.1|DBIA
OG0002343	LOC6628673|XP_002051847.2|DVIR	LOC108029043|XP_016956583.1|DBIA
OG0002344	LOC6629054|XP_015028433.1|DVIR	LOC108028907|XP_016956417.1|DBIA, LOC108023835|XP_016948968.1|DBIA
OG0002345	LOC6636329|XP_002059928.3|DVIR	LOC108029520|XP_016957308.1|DBIA
OG0002346	LOC6627295|XP_032293971.1|DVIR	LOC108034074|XP_016964323.1|DBIA
OG0002347	LOC6626765|XP_002050919.1|DVIR	LOC108030291|XP_016958611.1|DBIA
OG0002348	LOC6627562|XP_002052646.1|DVIR	LOC108036101|XP_016967555.1|DBIA
OG0002349	LOC26531264|XP_015024380.1|DVIR	LOC108029523|XP_016957312.1|DBIA
OG0002350	LOC6636328|XP_002059927.1|DVIR	LOC108029518|XP_016957305.1|DBIA
OG0002351	LOC6625636|XP_002050761.1|DVIR	LOC108023113|XP_016947868.1|DBIA
OG0002352	LOC6626008|XP_032291567.1|DVIR	LOC108030262|XP_016958574.1|DBIA
OG0002353	LOC6627490|XP_002051295.2|DVIR	LOC108031771|XP_016960971.1|DBIA
OG0002354	LOC6633987|XP_002057851.2|DVIR	LOC108036795|XP_016968631.1|DBIA
OG0002355	LOC6627306|XP_015028042.1|DVIR	LOC108026994|XP_016953680.1|DBIA
OG0002356	LOC6627693|XP_002052253.1|DVIR	LOC108034517|XP_016964933.1|DBIA
OG0002357	LOC6630941|XP_032296187.1|DVIR	LOC108024539|XP_016949996.1|DBIA
OG0002358	LOC6627420|XP_002052405.1|DVIR	LOC108034499|XP_016964898.1|DBIA
OG0002359	LOC6631726|XP_002055573.1|DVIR	LOC108025857|XP_016952013.1|DBIA
OG0002360	LOC6628896|XP_002052193.1|DVIR	LOC108033774|XP_016963861.1|DBIA
