Orthogroup	DMAU.longest_only	CQUI.longest_only
OG0002317	LOC117142017|XP_033161770.1|DMAU	LOC6050062|XP_038111373.1|CQUI
OG0002318	LOC117146583|XP_033168792.1|DMAU	LOC6031952|XP_038108738.1|CQUI
OG0002319	LOC117149997|XP_033172778.1|DMAU	LOC119767871|XP_038113550.1|CQUI, LOC6039423|XP_038106730.1|CQUI
OG0002320	LOC117138176|XP_033155956.1|DMAU	LOC6031812|XP_001842519.2|CQUI
OG0002321	LOC117137428|XP_033154749.1|DMAU	LOC6038275|XP_001848098.1|CQUI
OG0002322	LOC117150522|XP_033173333.1|DMAU	LOC6044453|XP_038109073.1|CQUI
OG0002323	LOC117136596|XP_033153473.1|DMAU	LOC6041510|XP_001850760.2|CQUI
OG0002324	LOC117140132|XP_033158787.1|DMAU	LOC6043907|XP_001861490.1|CQUI
OG0002325	LOC117140965|XP_033160082.1|DMAU	LOC6043898|XP_038113606.1|CQUI
OG0002326	LOC117139870|XP_033158418.1|DMAU	LOC6043897|XP_038106830.1|CQUI
OG0002327	LOC117145809|XP_033167501.1|DMAU, LOC117145811|XP_033167504.1|DMAU	LOC6043899|XP_038108302.1|CQUI
OG0002328	LOC117146661|XP_033168897.1|DMAU	LOC6036378|XP_001846433.2|CQUI
OG0002329	LOC117135233|XP_033151246.1|DMAU	LOC6036369|XP_038110618.1|CQUI
OG0002330	LOC117135234|XP_033151247.1|DMAU	LOC6031186|XP_038106119.1|CQUI
OG0002331	LOC117148617|XP_033171996.1|DMAU	LOC6031208|XP_001842042.2|CQUI
OG0002332	LOC117140844|XP_033159859.1|DMAU	LOC6042252|XP_001851390.2|CQUI
OG0002333	LOC117138652|XP_033156771.1|DMAU	LOC6032002|XP_038113463.1|CQUI
OG0002334	LOC117148490|XP_033171764.1|DMAU	LOC6037004|XP_001846968.2|CQUI
OG0002335	LOC117138199|XP_033156018.1|DMAU	LOC6031823|XP_038109961.1|CQUI
OG0002336	LOC117141775|XP_033161296.1|DMAU	LOC6033193|XP_038109781.1|CQUI
OG0002337	LOC117136453|XP_033153263.1|DMAU	LOC6040014|XP_038106019.1|CQUI
OG0002338	LOC117148187|XP_033171351.1|DMAU	LOC6040854|XP_038109267.1|CQUI
OG0002339	LOC117139204|XP_033157271.1|DMAU	LOC6031261|XP_038109126.1|CQUI, LOC6036110|XP_001846158.2|CQUI
OG0002340	LOC117139907|XP_033158514.1|DMAU	LOC6041523|XP_001850773.2|CQUI
OG0002341	LOC117137433|XP_033154755.1|DMAU	LOC6040128|XP_001849587.2|CQUI
OG0002342	LOC117137768|XP_033155659.1|DMAU	LOC6040132|XP_038114414.1|CQUI
OG0002343	LOC117151013|XP_033174114.1|DMAU	LOC6036647|XP_038106750.1|CQUI
OG0002344	LOC117135601|XP_033151839.1|DMAU	LOC6036655|XP_038114418.1|CQUI
OG0002345	LOC117138268|XP_033156124.1|DMAU	LOC6033169|XP_038112404.1|CQUI
OG0002346	LOC117150598|XP_033173446.1|DMAU	LOC6033282|XP_001843752.2|CQUI
OG0002347	LOC117136705|XP_033153615.1|DMAU	LOC6048996|XP_001865830.2|CQUI
OG0002348	LOC117136916|XP_033153945.1|DMAU	LOC6050418|XP_038113237.1|CQUI
OG0002349	LOC117138275|XP_033156133.1|DMAU	LOC6044752|XP_038122121.1|CQUI, LOC6039494|XP_038105822.1|CQUI, LOC119766897|XP_038109217.1|CQUI
OG0002350	LOC117138264|XP_033156119.1|DMAU	LOC6031634|XP_038119250.1|CQUI, LOC6033104|XP_001843599.2|CQUI
OG0002351	LOC117137955|XP_033155608.1|DMAU	LOC6042105|XP_038114014.1|CQUI
OG0002352	LOC117137886|XP_033155507.1|DMAU	LOC6042118|XP_038112064.1|CQUI
OG0002353	LOC117137326|XP_033154604.1|DMAU	LOC6043228|XP_001857727.2|CQUI
OG0002354	LOC117145910|XP_033167659.1|DMAU	LOC6033274|XP_038113892.1|CQUI
OG0002355	LOC117138171|XP_033155944.1|DMAU	LOC6038937|XP_038108240.1|CQUI
OG0002356	LOC117140066|XP_033158706.1|DMAU	LOC6044243|XP_038114335.1|CQUI
OG0002357	LOC117142500|XP_033162424.1|DMAU	LOC6052967|XP_038113574.1|CQUI, LOC6052659|XP_038106613.1|CQUI, LOC6044241|XP_001861780.2|CQUI
OG0002358	LOC117136165|XP_033152801.1|DMAU	LOC6031859|XP_038106717.1|CQUI
OG0002359	LOC117147754|XP_033170656.1|DMAU, LOC117147700|XP_033170579.1|DMAU	LOC6031881|XP_038111803.1|CQUI
OG0002360	LOC117143165|XP_033163572.1|DMAU	LOC6036445|XP_001846496.2|CQUI
OG0002361	LOC117139541|XP_033157807.1|DMAU	LOC119766965|XP_038109659.1|CQUI
OG0002362	LOC117140434|XP_033159247.1|DMAU	LOC6054587|XP_038107867.1|CQUI
OG0002363	LOC117148381|XP_033171633.1|DMAU	LOC6038008|XP_001847855.1|CQUI
OG0002364	LOC117137822|XP_033155401.1|DMAU	LOC6038009|XP_038113072.1|CQUI
OG0002365	LOC117143796|XP_033164534.1|DMAU	LOC6038010|XP_001847857.2|CQUI
OG0002366	LOC117139700|XP_033158106.1|DMAU	LOC6036339|XP_038111196.1|CQUI
OG0002367	LOC117141606|XP_033161016.1|DMAU	LOC6034393|XP_038109097.1|CQUI
OG0002368	LOC117135162|XP_033151114.1|DMAU	LOC6039844|XP_038108567.1|CQUI
OG0002369	LOC117147568|XP_033170402.1|DMAU	LOC6034866|XP_001845136.2|CQUI
OG0002370	LOC117150525|XP_033173339.1|DMAU	LOC6042079|XP_038107575.1|CQUI
OG0002371	LOC117146264|XP_033168134.1|DMAU	LOC6042074|XP_038107576.1|CQUI
OG0002372	LOC117150697|XP_033173600.1|DMAU	LOC6033604|XP_038107033.1|CQUI
OG0002373	LOC117135205|XP_033151181.1|DMAU	LOC6042945|XP_001870884.2|CQUI, LOC6053051|XP_001869210.1|CQUI
OG0002374	LOC117142274|XP_033162043.1|DMAU	LOC6048336|XP_038110935.1|CQUI
OG0002375	LOC117142777|XP_033162856.1|DMAU	LOC6037683|XP_038108247.1|CQUI
OG0002376	LOC117140820|XP_033159821.1|DMAU	LOC6048804|XP_038122078.1|CQUI
OG0002377	LOC117144383|XP_033165407.1|DMAU	LOC6040478|XP_001849864.2|CQUI
OG0002378	LOC117142104|XP_033161880.1|DMAU	LOC6042670|XP_001853364.1|CQUI
OG0002379	LOC117141491|XP_033160871.1|DMAU	LOC6039013|XP_001848695.2|CQUI
OG0002380	LOC117147062|XP_033169712.1|DMAU	LOC6047575|XP_001864617.1|CQUI
OG0002381	LOC117138445|XP_033156449.1|DMAU	LOC6032249|XP_001842887.1|CQUI
OG0002382	LOC117146594|XP_033168807.1|DMAU	LOC6048718|XP_038115337.1|CQUI
OG0002383	LOC117140391|XP_033159149.1|DMAU	LOC6054417|XP_038118937.1|CQUI
OG0002384	LOC117146766|XP_033169158.1|DMAU	LOC6048311|XP_038119472.1|CQUI, LOC6048302|XP_038116611.1|CQUI
OG0002386	LOC117145512|XP_033167092.1|DMAU	LOC6033077|XP_038120640.1|CQUI
OG0002387	LOC117144477|XP_033165544.1|DMAU	LOC6051016|XP_038115133.1|CQUI
OG0002388	LOC117142705|XP_033162755.1|DMAU	LOC6053486|XP_038122199.1|CQUI
OG0002389	LOC117145535|XP_033167120.1|DMAU	LOC6047438|XP_001864493.1|CQUI, LOC6034238|XP_038106278.1|CQUI
OG0002390	LOC117150414|XP_033173172.1|DMAU	LOC6049310|XP_001866082.2|CQUI
OG0002391	LOC117137438|XP_033154764.1|DMAU	LOC6039477|XP_038119173.1|CQUI
OG0002392	LOC117141322|XP_033160607.1|DMAU	LOC6044685|XP_038120275.1|CQUI
OG0002393	LOC117139630|XP_033157979.1|DMAU	LOC6045689|XP_038119329.1|CQUI
OG0002394	LOC117142308|XP_033162091.1|DMAU	LOC6039388|XP_038121848.1|CQUI
OG0002395	LOC117144465|XP_033165518.1|DMAU	LOC6046522|XP_038121760.1|CQUI
OG0002396	LOC117138417|XP_033156405.1|DMAU	LOC6035019|XP_038119412.1|CQUI
OG0002397	LOC117137696|XP_033155156.1|DMAU	LOC6043888|XP_001861470.1|CQUI
OG0002398	LOC117146953|XP_033169505.1|DMAU	LOC6050951|XP_001867465.2|CQUI
OG0002399	LOC117137773|XP_033155286.1|DMAU	LOC119768868|XP_038116323.1|CQUI
OG0002400	LOC117136047|XP_033152581.1|DMAU	LOC6049235|XP_038120383.1|CQUI
OG0002401	LOC117146322|XP_033168276.1|DMAU	LOC6050680|XP_001867244.2|CQUI
OG0002402	LOC117144737|XP_033165976.1|DMAU	LOC6047584|XP_038116540.1|CQUI
OG0002403	LOC117145260|XP_033166734.1|DMAU	LOC6053670|XP_038118861.1|CQUI
OG0002404	LOC117145996|XP_033167801.1|DMAU	LOC6044716|XP_038118794.1|CQUI
OG0002405	LOC117144879|XP_033166181.1|DMAU	LOC6042040|XP_038118600.1|CQUI
OG0002406	LOC117140489|XP_033159339.1|DMAU	LOC119768831|XP_038116131.1|CQUI
OG0002407	LOC117142537|XP_033162474.1|DMAU	LOC6039819|XP_038116523.1|CQUI
OG0002408	LOC117143065|XP_033163413.1|DMAU	LOC6039804|XP_038119512.1|CQUI
OG0002410	LOC117144167|XP_033165093.1|DMAU	LOC6054177|XP_038119593.1|CQUI
OG0002411	LOC117143397|XP_033163977.1|DMAU	LOC6032563|XP_001843139.1|CQUI
OG0002412	LOC117141953|XP_033161600.1|DMAU	LOC6032566|XP_038122161.1|CQUI
OG0002413	LOC117146537|XP_033168703.1|DMAU	LOC6048880|XP_001865726.1|CQUI
OG0002414	LOC117141932|XP_033161561.1|DMAU	LOC6048854|XP_001865693.2|CQUI
OG0002415	LOC117143530|XP_033164152.1|DMAU	LOC6047147|XP_038117524.1|CQUI
OG0002417	LOC117135176|XP_033151132.1|DMAU	LOC6050407|XP_001867022.2|CQUI
OG0002418	LOC117139388|XP_033157541.1|DMAU	LOC6046399|XP_038121391.1|CQUI
OG0002419	LOC117147567|XP_033170401.1|DMAU	LOC6037577|XP_038116558.1|CQUI, LOC6050586|XP_001867168.2|CQUI
OG0002420	LOC117141967|XP_033161655.1|DMAU	LOC6037564|XP_038119772.1|CQUI
OG0002421	LOC117145765|XP_033167422.1|DMAU	LOC6048010|XP_001864984.2|CQUI
OG0002422	LOC117143695|XP_033164381.1|DMAU	LOC6032747|XP_038118698.1|CQUI
OG0002423	LOC117141946|XP_033161594.1|DMAU	LOC6033816|XP_038118435.1|CQUI
OG0002424	LOC117146288|XP_033168185.1|DMAU	LOC6040845|XP_038118999.1|CQUI
OG0002425	LOC117146905|XP_033169406.1|DMAU	LOC6053197|XP_038120572.1|CQUI, LOC6040839|XP_038122185.1|CQUI
OG0002426	LOC117140523|XP_033159393.1|DMAU	LOC6033988|XP_038115446.1|CQUI
OG0002427	LOC117146304|XP_033168234.1|DMAU	LOC6033992|XP_001844380.1|CQUI
OG0002428	LOC117148820|XP_033172358.1|DMAU	LOC6034042|XP_038116028.1|CQUI
OG0002429	LOC117139709|XP_033158116.1|DMAU	LOC6050578|XP_038121197.1|CQUI
OG0002430	LOC117138383|XP_033156343.1|DMAU	LOC6039947|XP_001849442.1|CQUI
OG0002431	LOC117138527|XP_033156556.1|DMAU	LOC6046184|XP_001863416.2|CQUI
OG0002432	LOC117148848|XP_033172398.1|DMAU	LOC6045833|XP_038112946.1|CQUI
OG0002434	LOC117143056|XP_033163395.1|DMAU	LOC6033790|XP_001844192.2|CQUI
OG0002435	LOC117146372|XP_033168419.1|DMAU	LOC6046932|XP_038109485.1|CQUI
OG0002436	LOC117135825|XP_033152224.1|DMAU	LOC6054064|XP_001870042.2|CQUI, LOC119767530|XP_038112259.1|CQUI
OG0002437	LOC117136420|XP_033153222.1|DMAU	LOC6051233|XP_038109096.1|CQUI
OG0002438	LOC117146990|XP_033169552.1|DMAU	LOC6043548|XP_038110094.1|CQUI, LOC6032484|XP_038116010.1|CQUI
OG0002439	LOC117135150|XP_033151099.1|DMAU	LOC119766963|XP_038109630.1|CQUI
OG0002440	LOC117140022|XP_033158643.1|DMAU	LOC6048677|XP_001865561.2|CQUI
OG0002441	LOC117137564|XP_033154960.1|DMAU, LOC117137563|XP_033154958.1|DMAU	LOC6032364|XP_038107613.1|CQUI
OG0002442	LOC117137180|XP_033154393.1|DMAU	LOC6038122|XP_038111278.1|CQUI
OG0002443	LOC117135552|XP_033151742.1|DMAU	LOC6053099|XP_038108249.1|CQUI
OG0002444	LOC117135452|XP_033151527.1|DMAU	LOC6052487|XP_038106064.1|CQUI
OG0002445	LOC117135496|XP_033151609.1|DMAU	LOC6038541|XP_001848328.1|CQUI
OG0002446	LOC117137944|XP_033155597.1|DMAU	LOC6033408|XP_001843861.2|CQUI
OG0002447	LOC117139419|XP_033157589.1|DMAU	LOC6052098|XP_038111823.1|CQUI
OG0002448	LOC117136219|XP_033152885.1|DMAU	LOC6051563|XP_001867979.2|CQUI
OG0002449	LOC117137906|XP_033155542.1|DMAU	LOC6053515|XP_001869584.1|CQUI
OG0002450	LOC117144611|XP_033165794.1|DMAU	LOC6043656|XP_038114104.1|CQUI
OG0002451	LOC117137394|XP_033154705.1|DMAU	LOC6043669|XP_038109669.1|CQUI
OG0002452	LOC117135980|XP_033152485.1|DMAU	LOC6050180|XP_038110120.1|CQUI
OG0002453	LOC117135969|XP_033152466.1|DMAU	LOC6038085|XP_038109782.1|CQUI
OG0002454	LOC117139638|XP_033157989.1|DMAU	LOC6047683|XP_038108688.1|CQUI
OG0002455	LOC117139637|XP_033157988.1|DMAU	LOC6047681|XP_001864711.2|CQUI
OG0002456	LOC117136876|XP_033153870.1|DMAU	LOC6036749|XP_038106369.1|CQUI
OG0002457	LOC117136650|XP_033153536.1|DMAU	LOC6037973|XP_038109981.1|CQUI
OG0002459	LOC117135942|XP_033152413.1|DMAU	LOC6040278|XP_038110319.1|CQUI
OG0002460	LOC117137521|XP_033154896.1|DMAU	LOC6046545|XP_038107177.1|CQUI
OG0002461	LOC117138571|XP_033156634.1|DMAU	LOC6037728|XP_001847609.2|CQUI
OG0002462	LOC117136162|XP_033152775.1|DMAU	LOC6036728|XP_038106021.1|CQUI
OG0002463	LOC117136232|XP_033152905.1|DMAU	LOC6035951|XP_038107997.1|CQUI
OG0002464	LOC117137182|XP_033154395.1|DMAU	LOC6035936|XP_038113029.1|CQUI
OG0002465	LOC117137215|XP_033154462.1|DMAU	LOC6035937|XP_038107822.1|CQUI
OG0002466	LOC117146344|XP_033168372.1|DMAU	LOC6035693|XP_038106107.1|CQUI
OG0002467	LOC117141462|XP_033160810.1|DMAU	LOC6045031|XP_038113008.1|CQUI
OG0002468	LOC117140006|XP_033158611.1|DMAU	LOC6040091|XP_038107963.1|CQUI
OG0002469	LOC117144065|XP_033164965.1|DMAU	LOC6036071|XP_038108768.1|CQUI
OG0002470	LOC117138201|XP_033156022.1|DMAU	LOC6036080|XP_001846173.1|CQUI
OG0002471	LOC117137386|XP_033154691.1|DMAU	LOC6040384|XP_038107221.1|CQUI
OG0002472	LOC117137522|XP_033154897.1|DMAU	LOC6042946|XP_038108067.1|CQUI
OG0002473	LOC117137044|XP_033154144.1|DMAU	LOC6042941|XP_001870880.2|CQUI
OG0002474	LOC117141904|XP_033161501.1|DMAU	LOC6049842|XP_038108015.1|CQUI
OG0002475	LOC117142295|XP_033162073.1|DMAU	LOC6038339|XP_001848154.1|CQUI
OG0002476	LOC117136008|XP_033152515.1|DMAU	LOC6040191|XP_001849641.1|CQUI
OG0002477	LOC117138100|XP_033155848.1|DMAU	LOC6043951|XP_038110645.1|CQUI
OG0002478	LOC117136687|XP_033153591.1|DMAU	LOC6043127|XP_001855949.2|CQUI
OG0002479	LOC117136375|XP_033153156.1|DMAU	LOC6046503|XP_001863689.2|CQUI
OG0002480	LOC117138285|XP_033156147.1|DMAU	LOC6036095|XP_038111231.1|CQUI
OG0002481	LOC117146626|XP_033168850.1|DMAU	LOC6037433|XP_001847344.2|CQUI
OG0002482	LOC117137010|XP_033154090.1|DMAU	LOC6054086|XP_001870060.2|CQUI
OG0002483	LOC117137162|XP_033154364.1|DMAU	LOC6043110|XP_001855883.2|CQUI
OG0002484	LOC117137474|XP_033154839.1|DMAU	LOC6043115|XP_001855904.1|CQUI
OG0002485	LOC117135898|XP_033152335.1|DMAU	LOC6051768|XP_001868152.2|CQUI
OG0002486	LOC117140703|XP_033159659.1|DMAU	LOC6050978|XP_001867487.1|CQUI
OG0002487	LOC117136694|XP_033153605.1|DMAU	LOC6052913|XP_038108954.1|CQUI
OG0002488	LOC117135675|XP_033151963.1|DMAU	LOC6053873|XP_038111830.1|CQUI
OG0002489	LOC117140763|XP_033159735.1|DMAU	LOC6037239|XP_038114170.1|CQUI
OG0002490	LOC117136682|XP_033153583.1|DMAU	LOC6037217|XP_038112765.1|CQUI
OG0002491	LOC117139150|XP_033157199.1|DMAU	LOC6040530|XP_001849914.2|CQUI
OG0002492	LOC117135667|XP_033151950.1|DMAU	LOC6040552|XP_001849934.2|CQUI
OG0002493	LOC117138544|XP_033156593.1|DMAU	LOC6040556|XP_038111560.1|CQUI
OG0002494	LOC117144785|XP_033166044.1|DMAU	LOC6045149|XP_038118792.1|CQUI
OG0002495	LOC117137702|XP_033155162.1|DMAU	LOC6036631|XP_038111990.1|CQUI
OG0002508	LOC117148800|XP_033172304.1|DMAU	LOC6035088|XP_038122670.1|CQUI
OG0002509	LOC117137082|XP_033154201.1|DMAU	LOC119765394|XP_038105104.1|CQUI, LOC119770056|XP_038120124.1|CQUI
OG0002510	LOC117147785|XP_033170719.1|DMAU	LOC6038187|XP_001848017.1|CQUI
OG0002511	LOC117142906|XP_033163079.1|DMAU	LOC6044330|XP_038110665.1|CQUI
OG0002512	LOC117146258|XP_033168103.1|DMAU	LOC6038318|XP_038117657.1|CQUI
OG0002513	LOC117143813|XP_033164550.1|DMAU	LOC6038305|XP_001848124.2|CQUI
OG0002514	LOC117140149|XP_033158809.1|DMAU	LOC6044319|XP_001861845.1|CQUI
OG0002516	LOC117145119|XP_033166530.1|DMAU	LOC6042706|XP_038116833.1|CQUI
OG0002517	LOC117148730|XP_033172178.1|DMAU	LOC6053207|XP_038116640.1|CQUI, LOC6053206|XP_038121940.1|CQUI, LOC119770678|XP_038121928.1|CQUI
OG0002518	LOC117145681|XP_033167314.1|DMAU	LOC6040416|XP_038105923.1|CQUI
OG0002519	LOC117138618|XP_033156718.1|DMAU	LOC119765096|XP_038104153.1|CQUI
OG0002520	LOC117148192|XP_033171353.1|DMAU	LOC119765152|XP_038104337.1|CQUI
OG0002521	LOC117148320|XP_033171543.1|DMAU	LOC6045823|XP_038115345.1|CQUI
OG0002522	LOC117143356|XP_033163920.1|DMAU	LOC6041768|XP_001850986.2|CQUI
OG0002523	LOC117142923|XP_033163111.1|DMAU	LOC6040429|XP_038121903.1|CQUI
OG0002524	LOC117146915|XP_033169431.1|DMAU	LOC6043383|XP_038116054.1|CQUI
OG0002525	LOC117140716|XP_033159673.1|DMAU	LOC6041756|XP_038104229.1|CQUI
OG0002526	LOC117143274|XP_033163744.1|DMAU	LOC6041757|XP_001850972.2|CQUI
OG0002527	LOC117144950|XP_033166296.1|DMAU	LOC6053287|XP_038105571.1|CQUI
OG0002528	LOC117147925|XP_033170938.1|DMAU	LOC6053284|XP_038111580.1|CQUI
OG0002529	LOC117143292|XP_033163778.1|DMAU	LOC6049217|XP_001866017.1|CQUI
OG0002530	LOC117147264|XP_033169983.1|DMAU	LOC6049213|XP_001866014.1|CQUI
OG0002531	LOC117135154|XP_033151105.1|DMAU	LOC6048445|XP_038113332.1|CQUI
OG0002532	LOC117141097|XP_033160304.1|DMAU	LOC6040445|XP_038111080.1|CQUI
OG0002533	LOC117146493|XP_033168628.1|DMAU	LOC6035125|XP_038116394.1|CQUI
OG0002534	LOC117138362|XP_033156320.1|DMAU	LOC6035133|XP_001845368.2|CQUI
OG0002535	LOC117139978|XP_033158572.1|DMAU	LOC6049268|XP_038105706.1|CQUI, LOC6049269|XP_038105686.1|CQUI
OG0002536	LOC117144812|XP_033166079.1|DMAU	LOC6050127|XP_001866784.1|CQUI
OG0002537	LOC117136230|XP_033152901.1|DMAU	LOC6050067|XP_001866735.2|CQUI
OG0002539	LOC117138058|XP_033155771.1|DMAU	LOC6049760|XP_038105192.1|CQUI
OG0002540	LOC117143276|XP_033163746.1|DMAU	LOC6044376|XP_038104046.1|CQUI
OG0002541	LOC117147259|XP_033169971.1|DMAU	LOC6051486|XP_001867921.2|CQUI
OG0002542	LOC117147399|XP_033170161.1|DMAU	LOC6050195|XP_001866841.2|CQUI
OG0002543	LOC117148128|XP_033171244.1|DMAU	LOC6053285|XP_001869398.2|CQUI
OG0002544	LOC117143836|XP_033164578.1|DMAU	LOC6054124|XP_001870091.2|CQUI
OG0002545	LOC117146517|XP_033168675.1|DMAU	LOC6048459|XP_038122651.1|CQUI
OG0002547	LOC117148546|XP_033171871.1|DMAU	LOC119771193|XP_038122754.1|CQUI
OG0002548	LOC117147594|XP_033170434.1|DMAU	LOC119765155|XP_038104372.1|CQUI
OG0002549	LOC117146650|XP_033168874.1|DMAU	LOC119765154|XP_038104350.1|CQUI
OG0002550	LOC117146752|XP_033169123.1|DMAU	LOC6049174|XP_038105810.1|CQUI
OG0002551	LOC117145784|XP_033167454.1|DMAU	LOC6037404|XP_001847321.2|CQUI, LOC6038454|XP_038105325.1|CQUI
OG0002552	LOC117135706|XP_033152019.1|DMAU	LOC6038452|XP_001848249.2|CQUI
OG0002553	LOC117146492|XP_033168621.1|DMAU	LOC6045347|XP_038122761.1|CQUI
OG0002554	LOC117148646|XP_033172038.1|DMAU	LOC6035101|XP_001845337.1|CQUI
OG0002555	LOC117148950|XP_033172582.1|DMAU	LOC6035102|XP_001845338.2|CQUI
OG0002556	LOC117135158|XP_033151109.1|DMAU	LOC6044430|XP_038122718.1|CQUI
OG0002557	LOC117147485|XP_033170274.1|DMAU	LOC6052596|XP_001868839.1|CQUI
OG0002558	LOC117145076|XP_033166484.1|DMAU	LOC6049816|XP_001866517.1|CQUI
OG0002559	LOC117139092|XP_033157103.1|DMAU	LOC6044997|XP_038122831.1|CQUI
OG0002560	LOC117145238|XP_033166705.1|DMAU	LOC6045244|XP_038122871.1|CQUI
OG0002561	LOC117142391|XP_033162224.1|DMAU	LOC6052529|XP_001868783.1|CQUI
OG0002563	LOC117148496|XP_033171769.1|DMAU	LOC6039045|XP_001848723.2|CQUI
OG0002564	LOC117145641|XP_033167252.1|DMAU	LOC119771222|XP_038122902.1|CQUI
OG0002565	LOC117143906|XP_033164705.1|DMAU	LOC119771165|XP_038122575.1|CQUI
OG0002566	LOC117143443|XP_033164042.1|DMAU	LOC6038465|XP_038112671.1|CQUI
OG0002567	LOC117148193|XP_033171354.1|DMAU	LOC6042686|XP_001853447.1|CQUI
OG0002568	LOC117145113|XP_033166524.1|DMAU	LOC6053666|XP_001869712.2|CQUI
OG0002569	LOC117140318|XP_033159057.1|DMAU	LOC6053776|XP_038105020.1|CQUI
OG0002570	LOC117143089|XP_033163457.1|DMAU	LOC6045624|XP_038112684.1|CQUI
OG0002572	LOC117137131|XP_033154321.1|DMAU	LOC6048780|XP_001865647.1|CQUI
OG0002573	LOC117143176|XP_033163581.1|DMAU	LOC6043596|XP_038111932.1|CQUI
OG0002574	LOC117143354|XP_033163918.1|DMAU	LOC6045003|XP_038104193.1|CQUI
OG0002575	LOC117143304|XP_033163802.1|DMAU	LOC6038492|XP_038112605.1|CQUI
OG0002576	LOC117148907|XP_033172508.1|DMAU, LOC117148908|XP_033172509.1|DMAU	LOC6035137|XP_038104095.1|CQUI
OG0002577	LOC117141446|XP_033160791.1|DMAU	LOC6051202|XP_001867678.2|CQUI
OG0002578	LOC117142691|XP_033162742.1|DMAU	LOC119768616|XP_038114721.1|CQUI, LOC119766588|XP_038107355.1|CQUI
OG0002579	LOC117146520|XP_033168680.1|DMAU	LOC6046334|XP_001863546.1|CQUI, LOC6036611|XP_001846641.1|CQUI
OG0002580	LOC117137559|XP_033154953.1|DMAU	LOC6053493|XP_038122769.1|CQUI
OG0002581	LOC117142211|XP_033161933.1|DMAU	LOC6034486|XP_038105426.1|CQUI
OG0002582	LOC117145775|XP_033167442.1|DMAU	LOC6034722|XP_001845004.2|CQUI
OG0002583	LOC117145928|XP_033167682.1|DMAU	LOC6034748|XP_038104664.1|CQUI
OG0002585	LOC117139785|XP_033158290.1|DMAU	LOC119766613|XP_038107483.1|CQUI
OG0002586	LOC117143300|XP_033163796.1|DMAU	LOC6034720|XP_038104422.1|CQUI
OG0002587	LOC117142868|XP_033163027.1|DMAU	LOC6034719|XP_038104581.1|CQUI
OG0002588	LOC117142480|XP_033162389.1|DMAU	LOC6044481|XP_001861994.2|CQUI, LOC119765226|XP_038104620.1|CQUI
OG0002589	LOC117143057|XP_033163397.1|DMAU	LOC6053547|XP_038105601.1|CQUI
OG0002590	LOC117147015|XP_033169590.1|DMAU	LOC6053918|XP_038122805.1|CQUI
OG0002591	LOC117142669|XP_033162693.1|DMAU	LOC6052322|XP_038111789.1|CQUI
OG0002592	LOC117144121|XP_033165034.1|DMAU	LOC6046471|XP_038104522.1|CQUI
OG0002593	LOC117144704|XP_033165924.1|DMAU	LOC6046477|XP_038122167.1|CQUI
OG0002594	LOC117143338|XP_033163891.1|DMAU	LOC6050545|XP_038106001.1|CQUI
OG0002595	LOC117143102|XP_033163473.1|DMAU	LOC6046772|XP_038106619.1|CQUI
OG0002596	LOC117143494|XP_033164099.1|DMAU	LOC6035372|XP_038122549.1|CQUI
OG0002597	LOC117143019|XP_033163288.1|DMAU	LOC6035360|XP_038104383.1|CQUI
OG0002598	LOC117144462|XP_033165513.1|DMAU	LOC6048982|XP_038115404.1|CQUI
OG0002599	LOC117144927|XP_033166270.1|DMAU	LOC6051236|XP_038104285.1|CQUI
OG0002600	LOC117137375|XP_033154677.1|DMAU	LOC6042018|XP_001851182.1|CQUI
OG0002601	LOC117143425|XP_033164022.1|DMAU	LOC6035637|XP_038117863.1|CQUI
OG0002602	LOC117143623|XP_033164280.1|DMAU	LOC6035648|XP_038104109.1|CQUI
OG0002603	LOC117143554|XP_033164187.1|DMAU	LOC6035230|XP_038104327.1|CQUI
OG0002604	LOC117143555|XP_033164188.1|DMAU	LOC6048390|XP_001865317.2|CQUI
OG0002605	LOC117145288|XP_033166768.1|DMAU	LOC119765196|XP_038104518.1|CQUI
OG0002606	LOC117142745|XP_033162806.1|DMAU	LOC6038063|XP_038105789.1|CQUI
OG0002607	LOC117145794|XP_033167471.1|DMAU	LOC6035056|XP_001845293.1|CQUI, LOC119766361|XP_038106787.1|CQUI
OG0002609	LOC117135768|XP_033152125.1|DMAU	LOC6033577|XP_001844006.2|CQUI
OG0002610	LOC117145699|XP_033167331.1|DMAU	LOC6035548|XP_038122591.1|CQUI
OG0002611	LOC117142438|XP_033162292.1|DMAU	LOC6035544|XP_038122712.1|CQUI
OG0002612	LOC117144722|XP_033165953.1|DMAU	LOC6050614|XP_038104404.1|CQUI
OG0002613	LOC117142346|XP_033162153.1|DMAU	LOC6044853|XP_038104158.1|CQUI
OG0002614	LOC117145960|XP_033167747.1|DMAU	LOC6047067|XP_038105087.1|CQUI, LOC6053941|XP_038106907.1|CQUI, LOC6044854|XP_038114256.1|CQUI
OG0002615	LOC117139161|XP_033157210.1|DMAU	LOC6048165|XP_038104471.1|CQUI
OG0002616	LOC117142533|XP_033162470.1|DMAU, LOC117142536|XP_033162473.1|DMAU	LOC6032671|XP_038110774.1|CQUI
OG0002617	LOC117143492|XP_033164096.1|DMAU	LOC6039169|XP_001848824.2|CQUI
