Orthogroup	DMAU.longest_only	AEAL.longest_only
OG0002141	LOC117140339|XP_033159079.1|DMAU	LOC109400383|XP_019528433.1|AEAL, LOC109398405|XP_019526300.1|AEAL
OG0002142	LOC117144311|XP_033165314.1|DMAU	LOC109432703|XP_029710954.1|AEAL, LOC115256464|XP_029710965.1|AEAL
OG0002143	LOC117145346|XP_033166856.1|DMAU	LOC115269819|XP_029734464.1|AEAL, LOC109409465|XP_019538451.2|AEAL, LOC115256471|XP_029710976.1|AEAL, LOC115256566|XP_029711182.1|AEAL, LOC109412985|XP_029736288.1|AEAL
OG0002144	LOC117146334|XP_033168330.1|DMAU	LOC109409483|XP_019538480.1|AEAL, LOC109397642|XP_029736274.1|AEAL
OG0002145	LOC117145142|XP_033166573.1|DMAU	LOC109432989|XP_019564906.1|AEAL, LOC115269579|XP_029734256.1|AEAL, LOC109397705|XP_019525563.1|AEAL
OG0002146	LOC117142654|XP_033162669.1|DMAU	LOC115253959|XP_029710181.1|AEAL, LOC109414087|XP_029710185.1|AEAL
OG0002148	LOC117141143|XP_033160366.1|DMAU	LOC109403530|XP_019531897.2|AEAL, LOC115260591|XP_029717441.1|AEAL
OG0002149	LOC117146339|XP_033168354.1|DMAU	LOC115264860|XP_029724755.1|AEAL, LOC109422960|XP_029717434.1|AEAL, LOC109403555|XP_029717407.1|AEAL
OG0002150	LOC117147674|XP_033170541.1|DMAU	LOC109422966|XP_029717424.1|AEAL, LOC109403567|XP_029717393.1|AEAL
OG0002151	LOC117148417|XP_033171679.1|DMAU	LOC109403568|XP_029717394.1|AEAL, LOC109422967|XP_019553412.2|AEAL
OG0002152	LOC117143174|XP_033163579.1|DMAU	LOC115269504|XP_029734147.1|AEAL, LOC109422825|XP_029734151.1|AEAL, LOC115260611|XP_029717502.1|AEAL, LOC115260636|XP_029717563.1|AEAL
OG0002153	LOC117142487|XP_033162403.1|DMAU	LOC109422812|XP_029723052.1|AEAL, LOC109400888|XP_029717582.1|AEAL, LOC109400890|XP_029717516.1|AEAL
OG0002154	LOC117146518|XP_033168676.1|DMAU	LOC115260628|XP_029717547.1|AEAL, LOC109422801|XP_019553227.1|AEAL, LOC109421815|XP_019551916.1|AEAL
OG0002155	LOC117145249|XP_033166721.1|DMAU	LOC109425456|XP_019556274.2|AEAL, LOC115260961|XP_029718182.1|AEAL, LOC109412969|XP_019542172.2|AEAL
OG0002156	LOC117140223|XP_033158912.1|DMAU	LOC109431451|XP_019563200.2|AEAL, LOC109427678|XP_029717851.1|AEAL, LOC115260560|XP_029717336.1|AEAL
OG0002157	LOC117142521|XP_033162455.1|DMAU	LOC109431463|XP_029717880.1|AEAL
OG0002158	LOC117136804|XP_033153760.1|DMAU	LOC109415571|XP_019545000.2|AEAL
OG0002159	LOC117138560|XP_033156610.1|DMAU	LOC109415590|XP_029717899.1|AEAL
OG0002160	LOC117143481|XP_033164084.1|DMAU	LOC115260910|XP_029718110.1|AEAL, LOC109415593|XP_019545034.2|AEAL
OG0002161	LOC117143301|XP_033163797.1|DMAU	LOC109417113|XP_019546784.1|AEAL, LOC109405961|XP_019534556.2|AEAL
OG0002162	LOC117143721|XP_033164412.1|DMAU	LOC109405955|XP_029729107.1|AEAL, LOC109406950|XP_029728642.1|AEAL
OG0002163	LOC117147294|XP_033170033.1|DMAU	LOC109405962|XP_029729123.1|AEAL, LOC109406932|XP_029728673.1|AEAL
OG0002164	LOC117142312|XP_033162102.1|DMAU	LOC109412138|XP_019541329.2|AEAL
OG0002165	LOC117136887|XP_033153894.1|DMAU	LOC109412145|XP_019541339.2|AEAL
OG0002166	LOC117148065|XP_033171150.1|DMAU	LOC109431508|XP_019563280.1|AEAL
OG0002167	LOC117137327|XP_033154607.1|DMAU	LOC109431514|XP_019563288.2|AEAL
OG0002168	LOC117136437|XP_033153243.1|DMAU	LOC109404025|XP_019532466.2|AEAL
OG0002169	LOC117139479|XP_033157689.1|DMAU	LOC109405634|XP_019534250.2|AEAL
OG0002170	LOC117146283|XP_033168178.1|DMAU	LOC115269231|XP_029733621.1|AEAL, LOC109419457|XP_029733623.1|AEAL, LOC109423119|XP_029708011.1|AEAL
OG0002171	LOC117142974|XP_033163215.1|DMAU	LOC109419102|XP_019548870.2|AEAL
OG0002172	LOC117143858|XP_033164613.1|DMAU	LOC109397306|XP_019525181.1|AEAL, LOC109423199|XP_029729631.1|AEAL, LOC115254539|XP_029707966.1|AEAL
OG0002173	LOC117150496|XP_033173291.1|DMAU	LOC115267000|XP_029729627.1|AEAL, LOC109423204|XP_029707961.1|AEAL, LOC109397302|XP_029712444.1|AEAL
OG0002174	LOC117142374|XP_033162195.1|DMAU	LOC115254535|XP_029707951.1|AEAL, LOC109397290|XP_029712407.1|AEAL, LOC109423210|XP_029729619.1|AEAL
OG0002175	LOC117142376|XP_033162196.1|DMAU	LOC115266999|XP_029729622.1|AEAL, LOC109423177|XP_029707955.1|AEAL, LOC109397291|XP_019525159.1|AEAL, LOC115258245|XP_029714174.1|AEAL
OG0002176	LOC117143104|XP_033163477.1|DMAU	LOC109397239|XP_019525111.2|AEAL
OG0002177	LOC117145174|XP_033166614.1|DMAU	LOC109423481|XP_019553999.1|AEAL, LOC109432158|XP_019564021.1|AEAL
OG0002178	LOC117142631|XP_033162626.1|DMAU	LOC109425435|XP_029713496.1|AEAL, LOC115263710|XP_029722815.1|AEAL, LOC115262275|XP_029720532.1|AEAL, LOC115263719|XP_029722830.1|AEAL
OG0002179	LOC117143717|XP_033164406.1|DMAU	LOC109430250|XP_029722714.1|AEAL
OG0002180	LOC117142604|XP_033162574.1|DMAU	LOC109430353|XP_029722918.1|AEAL
OG0002181	LOC117146867|XP_033169347.1|DMAU	LOC109412455|XP_019541637.2|AEAL
OG0002182	LOC117145789|XP_033167460.1|DMAU	LOC115253587|XP_029707694.1|AEAL, LOC109400069|XP_029707661.1|AEAL
OG0002183	LOC117135853|XP_033152263.1|DMAU	LOC109399271|XP_019527254.2|AEAL, LOC109429086|XP_019560469.2|AEAL, LOC115254315|XP_029707582.1|AEAL, LOC109621635|XP_019931279.1|AEAL
OG0002184	LOC117142950|XP_033163165.1|DMAU	LOC109621573|XP_019931184.2|AEAL, LOC109400064|XP_019528077.2|AEAL
OG0002185	LOC117145552|XP_033167142.1|DMAU, LOC117145549|XP_033167135.1|DMAU	LOC115254377|XP_029707733.1|AEAL, LOC109400080|XP_019528093.2|AEAL
OG0002186	LOC117150361|XP_033173112.1|DMAU	LOC109400056|XP_019528074.1|AEAL, LOC115260226|XP_029717018.1|AEAL, LOC109621569|XP_019931181.2|AEAL
OG0002187	LOC117144359|XP_033165367.1|DMAU	LOC109430224|XP_019561821.2|AEAL, LOC115257371|XP_029712746.1|AEAL, LOC109410080|XP_029712795.1|AEAL
OG0002188	LOC117136238|XP_033152914.1|DMAU	LOC109410076|XP_019539152.1|AEAL, LOC115257638|XP_029713324.1|AEAL
OG0002189	LOC117140585|XP_033159482.1|DMAU	LOC109429966|XP_029713118.1|AEAL, LOC115253993|XP_029713018.1|AEAL, LOC115257535|XP_029713121.1|AEAL
OG0002190	LOC117142814|XP_033162920.1|DMAU	LOC109430715|XP_029713413.1|AEAL, LOC109429732|XP_029726723.1|AEAL
OG0002191	LOC117138961|XP_033156894.1|DMAU	LOC109430737|XP_019562359.2|AEAL, LOC109429722|XP_029726726.1|AEAL, LOC115257509|XP_029713043.1|AEAL
OG0002192	LOC117139854|XP_033158394.1|DMAU	LOC109623330|XP_029721189.1|AEAL, LOC109426920|XP_019558024.2|AEAL
OG0002193	LOC117143050|XP_033163390.1|DMAU	LOC109425392|XP_019556204.1|AEAL
OG0002194	LOC117143447|XP_033164045.1|DMAU	LOC115267008|XP_029729638.1|AEAL, LOC109399871|XP_019527903.2|AEAL, LOC109425377|XP_029729744.1|AEAL
OG0002195	LOC117144197|XP_033165137.1|DMAU	LOC115267044|XP_029729697.1|AEAL, LOC109399844|XP_029729686.1|AEAL, LOC109425353|XP_019556149.2|AEAL, LOC115267045|XP_029729698.1|AEAL
OG0002196	LOC117145204|XP_033166659.1|DMAU	LOC109415615|XP_029716428.1|AEAL, LOC109416905|XP_029716224.1|AEAL
OG0002197	LOC117141192|XP_033160430.1|DMAU	LOC109417742|XP_029716104.1|AEAL, LOC109400529|XP_019528592.2|AEAL
OG0002198	LOC117142567|XP_033162510.1|DMAU	LOC109429334|XP_029715865.1|AEAL, LOC109401162|XP_029716539.1|AEAL
OG0002199	LOC117142862|XP_033163010.1|DMAU	LOC109412570|XP_029715959.1|AEAL, LOC109397026|XP_019524896.2|AEAL, LOC109397016|XP_029715958.1|AEAL
OG0002200	LOC117148560|XP_033171894.1|DMAU	LOC109433542|XP_029716275.1|AEAL, LOC109412591|XP_029716183.1|AEAL
OG0002202	LOC117144448|XP_033165492.1|DMAU	LOC109622975|XP_029713509.1|AEAL, LOC109409074|XP_029713480.1|AEAL
OG0002203	LOC117142371|XP_033162192.1|DMAU	LOC109403600|XP_029730135.1|AEAL, LOC115262426|XP_029720677.1|AEAL, LOC109414766|XP_029730133.1|AEAL
OG0002204	LOC117143196|XP_033163627.1|DMAU	LOC115267359|XP_029730189.1|AEAL, LOC109416347|XP_019545918.2|AEAL
OG0002205	LOC117144730|XP_033165965.1|DMAU	LOC109416386|XP_019545972.2|AEAL, LOC109430007|XP_019561563.2|AEAL, LOC115267392|XP_029730237.1|AEAL, LOC115267395|XP_029730239.1|AEAL
OG0002206	LOC117142678|XP_033162707.1|DMAU	LOC115258242|XP_029714173.1|AEAL, LOC109623211|XP_029733779.1|AEAL, LOC115269315|XP_029733783.1|AEAL, LOC109415281|XP_019544703.2|AEAL
OG0002207	LOC117144525|XP_033165638.1|DMAU	LOC109411048|XP_019540032.1|AEAL, LOC109400268|XP_019528295.1|AEAL, LOC109411047|XP_019540031.2|AEAL
OG0002208	LOC117144919|XP_033166257.1|DMAU	LOC115266888|XP_029729352.1|AEAL, LOC109411045|XP_019540030.2|AEAL, LOC109400265|XP_029734082.1|AEAL, LOC115264165|XP_029723415.1|AEAL
OG0002209	LOC117147137|XP_033169807.1|DMAU	LOC115264148|XP_029723387.1|AEAL, LOC115264135|XP_029723360.1|AEAL, LOC109423636|XP_019554170.2|AEAL
OG0002210	LOC117145123|XP_033166532.1|DMAU	LOC109398580|XP_029714106.1|AEAL, LOC109423634|XP_029723339.1|AEAL, LOC115264139|XP_029723374.1|AEAL, LOC115264133|XP_029723349.1|AEAL, LOC115264142|XP_029723382.1|AEAL
OG0002211	LOC117143846|XP_033164593.1|DMAU	LOC109400248|XP_029723293.1|AEAL, LOC109423623|XP_029723318.1|AEAL
OG0002212	LOC117143106|XP_033163479.1|DMAU	LOC115254058|XP_029717996.1|AEAL, LOC115260814|XP_029717995.1|AEAL, LOC109405457|XP_029717119.1|AEAL, LOC109402442|XP_029732771.1|AEAL
OG0002213	LOC117145724|XP_033167364.1|DMAU	LOC115269183|XP_029733457.1|AEAL, LOC109405423|XP_019534033.1|AEAL, LOC109402447|XP_019530682.1|AEAL
OG0002214	LOC117143713|XP_033164403.1|DMAU	LOC109402950|XP_019531235.2|AEAL, LOC109416092|XP_019545605.2|AEAL
OG0002215	LOC117143000|XP_033163250.1|DMAU	LOC109406392|XP_029723522.1|AEAL, LOC109423654|XP_029723532.1|AEAL
OG0002216	LOC117142485|XP_033162400.1|DMAU	LOC109432052|XP_029723608.1|AEAL, LOC109404013|XP_029723675.1|AEAL
OG0002217	LOC117143383|XP_033163954.1|DMAU	LOC109405208|XP_019533769.2|AEAL
OG0002218	LOC117148606|XP_033171977.1|DMAU, LOC117148607|XP_033171979.1|DMAU	LOC109432048|XP_019532443.2|AEAL
OG0002219	LOC117145144|XP_033166575.1|DMAU	LOC115264234|XP_029723655.1|AEAL
OG0002220	LOC117145441|XP_033166989.1|DMAU	LOC109432041|XP_029723883.1|AEAL, LOC109432033|XP_019563879.2|AEAL
OG0002221	LOC117140700|XP_033159654.1|DMAU	LOC109409660|XP_029726005.1|AEAL, LOC115265367|XP_029725982.1|AEAL
OG0002222	LOC117136329|XP_033153074.1|DMAU	LOC109409670|XP_029726002.1|AEAL, LOC109406068|XP_029725978.1|AEAL
OG0002224	LOC117136078|XP_033152637.1|DMAU	LOC109409684|XP_029725970.1|AEAL, LOC109406048|XP_029726015.1|AEAL
OG0002225	LOC117140967|XP_033160083.1|DMAU	LOC109404745|XP_029726135.1|AEAL
OG0002226	LOC117136178|XP_033152811.1|DMAU	LOC109410099|XP_019539184.2|AEAL
OG0002227	LOC117136100|XP_033152685.1|DMAU	LOC115265424|XP_029726304.1|AEAL, LOC109622509|XP_029726305.1|AEAL, LOC109408817|XP_029716641.1|AEAL
OG0002228	LOC117136665|XP_033153556.1|DMAU	LOC109621310|XP_029726341.1|AEAL, LOC109408584|XP_029733122.1|AEAL
OG0002229	LOC117135533|XP_033151695.1|DMAU	LOC109408654|XP_029726355.1|AEAL
OG0002230	LOC117137764|XP_033155274.1|DMAU	LOC109408557|XP_029733135.1|AEAL, LOC115268988|XP_029733139.1|AEAL, LOC109622493|XP_029726357.1|AEAL
OG0002231	LOC117136271|XP_033152991.1|DMAU	LOC115257528|XP_029713106.1|AEAL, LOC109423370|XP_019553901.2|AEAL
OG0002232	LOC117135755|XP_033152102.1|DMAU	LOC109623143|XP_019933185.2|AEAL, LOC109623152|XP_019933198.2|AEAL
OG0002233	LOC117139820|XP_033158343.1|DMAU	LOC109413983|XP_019543258.2|AEAL
OG0002234	LOC117137667|XP_033155117.1|DMAU	LOC109413996|XP_019543268.1|AEAL, LOC109418734|XP_019548509.2|AEAL, LOC109406485|XP_019535110.2|AEAL, LOC109418736|XP_019548511.2|AEAL, LOC109418733|XP_019548508.2|AEAL, LOC109413995|XP_019543267.1|AEAL
OG0002235	LOC117135967|XP_033152460.1|DMAU	LOC109418028|XP_029726616.1|AEAL, LOC109622785|XP_029711997.1|AEAL
OG0002236	LOC117138523|XP_033156552.1|DMAU	LOC109418106|XP_029716549.1|AEAL, LOC109413127|XP_029726746.1|AEAL
OG0002237	LOC117136231|XP_033152902.1|DMAU	LOC109418107|XP_029716558.1|AEAL, LOC109413107|XP_029726748.1|AEAL
OG0002238	LOC117135940|XP_033152411.1|DMAU	LOC109397786|XP_029733578.1|AEAL
OG0002239	LOC117135780|XP_033152144.1|DMAU	LOC109419721|XP_019549532.1|AEAL, LOC109398638|XP_019526570.1|AEAL
OG0002240	LOC117135866|XP_033152286.1|DMAU	LOC109419705|XP_029709832.1|AEAL, LOC109398274|XP_019526143.2|AEAL
OG0002241	LOC117141574|XP_033160978.1|DMAU	LOC109419674|XP_019549454.2|AEAL, LOC115265750|XP_029727559.1|AEAL
OG0002243	LOC117144170|XP_033165103.1|DMAU	LOC115260850|XP_029718037.1|AEAL, LOC109409986|XP_019539057.2|AEAL
OG0002244	LOC117139964|XP_033158554.1|DMAU	LOC109420213|XP_019550082.2|AEAL, LOC109409980|XP_029715797.1|AEAL
OG0002245	LOC117139865|XP_033158413.1|DMAU	LOC109420236|XP_029725779.1|AEAL, LOC109397351|XP_029725794.1|AEAL
OG0002246	LOC117137110|XP_033154288.1|DMAU	LOC109420166|XP_029725764.1|AEAL, LOC109397311|XP_029725744.1|AEAL
OG0002247	LOC117136438|XP_033153244.1|DMAU	LOC109402590|XP_019530834.2|AEAL
OG0002248	LOC117139501|XP_033157723.1|DMAU	LOC109417270|XP_029725741.1|AEAL, LOC109406422|XP_029725716.1|AEAL
OG0002249	LOC117141202|XP_033160445.1|DMAU	LOC109414720|XP_019544101.1|AEAL, LOC115265296|XP_029725649.1|AEAL, LOC109427302|XP_029725650.1|AEAL
OG0002250	LOC117137931|XP_033155575.1|DMAU	LOC115267292|XP_029730066.1|AEAL, LOC109410520|XP_029725554.1|AEAL
OG0002251	LOC117137656|XP_033155084.1|DMAU	LOC109426672|XP_019557749.1|AEAL, LOC115265276|XP_029725587.1|AEAL, LOC115264036|XP_029723201.1|AEAL
OG0002252	LOC117137419|XP_033154739.1|DMAU	LOC109426637|XP_019557710.2|AEAL, LOC109417608|XP_029727509.1|AEAL
OG0002253	LOC117138302|XP_033156193.1|DMAU	LOC109417779|XP_029725534.1|AEAL, LOC109426682|XP_029725544.1|AEAL
OG0002254	LOC117143114|XP_033163490.1|DMAU	LOC109417615|XP_029725485.1|AEAL
OG0002255	LOC117146438|XP_033168542.1|DMAU	LOC109417839|XP_019547558.2|AEAL
OG0002256	LOC117135421|XP_033151465.1|DMAU	LOC109417951|XP_029727476.1|AEAL, LOC115257221|XP_029712523.1|AEAL, LOC109426839|XP_029725396.1|AEAL
OG0002257	LOC117138324|XP_033156251.1|DMAU	LOC109417975|XP_029728213.1|AEAL, LOC109426855|XP_029732512.1|AEAL
OG0002258	LOC117140748|XP_033159720.1|DMAU	LOC109417992|XP_029732384.1|AEAL, LOC109621930|XP_019931682.2|AEAL
OG0002259	LOC117148462|XP_033171725.1|DMAU	LOC109417936|XP_029732491.1|AEAL, LOC109417994|XP_029732393.1|AEAL, LOC109621924|XP_029732386.1|AEAL
OG0002260	LOC117139535|XP_033157799.1|DMAU	LOC115268514|XP_029732466.1|AEAL, LOC109406026|XP_029732398.1|AEAL, LOC109418001|XP_029732394.1|AEAL
OG0002261	LOC117139398|XP_033157556.1|DMAU	LOC109403655|XP_029735114.1|AEAL, LOC109403654|XP_019532014.1|AEAL
OG0002263	LOC117139338|XP_033157476.1|DMAU	LOC109407927|XP_019536667.1|AEAL, LOC109413862|XP_029732340.1|AEAL
OG0002264	LOC117136327|XP_033153073.1|DMAU	LOC109405140|XP_019533693.2|AEAL
OG0002265	LOC117139851|XP_033158389.1|DMAU	LOC109410793|XP_019539874.2|AEAL
OG0002266	LOC117140229|XP_033158919.1|DMAU	LOC109404951|XP_029735001.1|AEAL, LOC109400616|XP_029735015.1|AEAL, LOC115270126|XP_029735070.1|AEAL, LOC115270128|XP_029735075.1|AEAL
OG0002267	LOC117139740|XP_033158188.1|DMAU	LOC109400684|XP_019528725.2|AEAL, LOC115270088|XP_029734914.1|AEAL, LOC115254247|XP_029734929.1|AEAL
OG0002268	LOC117139324|XP_033157460.1|DMAU	LOC115270092|XP_029734916.1|AEAL, LOC109400649|XP_029734931.1|AEAL, LOC109404580|XP_019533021.2|AEAL
OG0002269	LOC117136099|XP_033152671.1|DMAU	LOC115269977|XP_029734705.1|AEAL, LOC115265078|XP_029725149.1|AEAL
OG0002270	LOC117136449|XP_033153257.1|DMAU	LOC109430547|XP_029716894.1|AEAL
OG0002271	LOC117141543|XP_033160937.1|DMAU	LOC109415881|XP_019932697.2|AEAL, LOC109622621|XP_029712527.1|AEAL
OG0002272	LOC117142116|XP_033161903.1|DMAU	LOC109416729|XP_019546327.1|AEAL, LOC115254100|XP_029721898.1|AEAL, LOC115263107|XP_029721881.1|AEAL
OG0002273	LOC117140423|XP_033159199.1|DMAU	LOC115263250|XP_029722167.1|AEAL, LOC109407385|XP_029722197.1|AEAL, LOC109415948|XP_029722154.1|AEAL
OG0002274	LOC117140838|XP_033159837.1|DMAU	LOC109419413|XP_029722137.1|AEAL, LOC109407441|XP_029722088.1|AEAL, LOC115263249|XP_029722161.1|AEAL, LOC115263368|XP_029722526.1|AEAL
OG0002275	LOC117140282|XP_033159001.1|DMAU	LOC109424157|XP_029722011.1|AEAL, LOC109430833|XP_029722024.1|AEAL
OG0002276	LOC117140015|XP_033158626.1|DMAU	LOC109430907|XP_019562550.2|AEAL, LOC115263178|XP_029721969.1|AEAL, LOC115263184|XP_029721980.1|AEAL, LOC115263171|XP_029721961.1|AEAL
OG0002277	LOC117140594|XP_033159493.1|DMAU	LOC109431677|XP_019563481.1|AEAL
OG0002278	LOC117140077|XP_033158720.1|DMAU	LOC109397949|XP_029719548.1|AEAL, LOC109431607|XP_029730328.1|AEAL, LOC115261799|XP_029719545.1|AEAL, LOC115267489|XP_029730366.1|AEAL
OG0002279	LOC117139560|XP_033157846.1|DMAU	LOC115267504|XP_029730441.1|AEAL, LOC109398044|XP_029730350.1|AEAL, LOC109431683|XP_029730337.1|AEAL
OG0002280	LOC117140990|XP_033160132.1|DMAU	LOC109431655|XP_029730342.1|AEAL
OG0002281	LOC117139189|XP_033157249.1|DMAU	LOC115267621|XP_029730624.1|AEAL, LOC109431688|XP_019563499.2|AEAL, LOC115267609|XP_029730598.1|AEAL
OG0002282	LOC117141966|XP_033161654.1|DMAU	LOC109398065|XP_019525973.2|AEAL
OG0002283	LOC117138076|XP_033155790.1|DMAU	LOC109399443|XP_029730631.1|AEAL, LOC109398118|XP_029730550.1|AEAL
OG0002284	LOC117138421|XP_033156418.1|DMAU	LOC115267575|XP_029730512.1|AEAL, LOC109398015|XP_019525900.1|AEAL
OG0002285	LOC117147380|XP_033170141.1|DMAU	LOC115270392|XP_029735812.1|AEAL, LOC109403077|XP_019531359.2|AEAL, LOC115259999|XP_029716697.1|AEAL
OG0002286	LOC117136949|XP_033153989.1|DMAU	LOC115254000|XP_029713825.1|AEAL, LOC109412526|XP_019541694.2|AEAL
OG0002287	LOC117136310|XP_033153048.1|DMAU	LOC109411069|XP_029736017.1|AEAL, LOC109420856|XP_029735935.1|AEAL
OG0002288	LOC117141542|XP_033160932.1|DMAU	LOC109420858|XP_019550876.2|AEAL, LOC109411068|XP_029736012.1|AEAL
OG0002289	LOC117141424|XP_033160747.1|DMAU	LOC109401025|XP_029735943.1|AEAL, LOC109420869|XP_019550899.2|AEAL
OG0002290	LOC117143128|XP_033163513.1|DMAU	LOC109430645|XP_019562284.2|AEAL, LOC109423806|XP_019554383.1|AEAL
OG0002291	LOC117137345|XP_033154630.1|DMAU	LOC109423813|XP_029735409.1|AEAL, LOC109430616|XP_029735435.1|AEAL
OG0002292	LOC117137065|XP_033154170.1|DMAU	LOC115270289|XP_029735482.1|AEAL, LOC109430619|XP_029735511.1|AEAL
OG0002293	LOC117137532|XP_033154909.1|DMAU	LOC109423753|XP_019554301.2|AEAL, LOC109414259|XP_019543618.2|AEAL
OG0002294	LOC117143864|XP_033164621.1|DMAU	LOC109423740|XP_019554279.2|AEAL, LOC109414246|XP_019543602.2|AEAL
OG0002295	LOC117149886|XP_033172721.1|DMAU	LOC109403746|XP_029709909.1|AEAL
OG0002296	LOC117144011|XP_033164860.1|DMAU	LOC109421801|XP_019551899.2|AEAL
OG0002297	LOC117142435|XP_033162287.1|DMAU	LOC109414457|XP_019543832.1|AEAL, LOC115266329|XP_029728280.1|AEAL, LOC109622265|XP_029728161.1|AEAL
OG0002298	LOC117138456|XP_033156474.1|DMAU	LOC109414431|XP_029732967.1|AEAL, LOC115266339|XP_029728304.1|AEAL
OG0002299	LOC117138375|XP_033156334.1|DMAU	LOC109414429|XP_019543790.1|AEAL, LOC109622536|XP_029732969.1|AEAL
OG0002300	LOC117150662|XP_033173542.1|DMAU	LOC109428278|XP_029728476.1|AEAL, LOC109397796|XP_029728316.1|AEAL, LOC115263960|XP_029723122.1|AEAL, LOC115266385|XP_029728473.1|AEAL, LOC115266381|XP_029728472.1|AEAL
OG0002301	LOC117147318|XP_033170098.1|DMAU	LOC115258271|XP_029714204.1|AEAL, LOC109427908|XP_029728376.1|AEAL, LOC109428225|XP_029714343.1|AEAL, LOC115258317|XP_029714262.1|AEAL
OG0002302	LOC117135264|XP_033151305.1|DMAU	LOC115254026|XP_029715311.1|AEAL, LOC115259146|XP_029715524.1|AEAL, LOC109427864|XP_029715428.1|AEAL
OG0002303	LOC117148887|XP_033172482.1|DMAU	LOC109406191|XP_029730920.1|AEAL, LOC109400867|XP_019528896.1|AEAL
OG0002304	LOC117148870|XP_033172436.1|DMAU	LOC115258551|XP_029714572.1|AEAL, LOC109622896|XP_029714419.1|AEAL, LOC115258243|XP_029714175.1|AEAL
OG0002305	LOC117140177|XP_033158843.1|DMAU	LOC109622876|XP_019932887.2|AEAL, LOC115258013|XP_029713870.1|AEAL
OG0002306	LOC117150885|XP_033173913.1|DMAU	LOC115257984|XP_029713826.1|AEAL, LOC115258034|XP_029713888.1|AEAL, LOC109622864|XP_019932872.2|AEAL
OG0002307	LOC117150512|XP_033173310.1|DMAU	LOC115255964|XP_029710054.1|AEAL, LOC109400958|XP_029712853.1|AEAL, LOC115257432|XP_029712874.1|AEAL, LOC109401076|XP_029713061.1|AEAL
OG0002308	LOC117136654|XP_033153548.1|DMAU	LOC109401379|XP_029711758.1|AEAL, LOC109432898|XP_029711973.1|AEAL
OG0002309	LOC117150704|XP_033173607.1|DMAU	LOC115261809|XP_029719553.1|AEAL, LOC109433039|XP_019564964.1|AEAL
OG0002310	LOC117138580|XP_033156651.1|DMAU	LOC109420544|XP_029710543.1|AEAL, LOC109621254|XP_029710641.1|AEAL
OG0002311	LOC117140604|XP_033159509.1|DMAU	LOC109425214|XP_029724846.1|AEAL
OG0002313	LOC117137603|XP_033155012.1|DMAU	LOC115253565|XP_029734367.1|AEAL, LOC109425089|XP_029725015.1|AEAL
OG0002314	LOC117135894|XP_033152332.1|DMAU	LOC115258458|XP_029714418.1|AEAL, LOC109429411|XP_019560907.2|AEAL
OG0002315	LOC117136771|XP_033153709.1|DMAU	LOC109419028|XP_019548792.1|AEAL
OG0002316	LOC117150773|XP_033173705.1|DMAU	LOC109425118|XP_019555857.2|AEAL, LOC115266964|XP_029729542.1|AEAL, LOC109429382|XP_019560837.2|AEAL
OG0002317	LOC117142017|XP_033161770.1|DMAU	LOC109413695|XP_029729448.1|AEAL
OG0002318	LOC117146583|XP_033168792.1|DMAU	LOC109419065|XP_029729417.1|AEAL, LOC109408111|XP_029729382.1|AEAL
OG0002319	LOC117149997|XP_033172778.1|DMAU	LOC109419070|XP_019548826.2|AEAL
OG0002320	LOC117138176|XP_033155956.1|DMAU	LOC109419100|XP_019548865.2|AEAL, LOC115262905|XP_029721655.1|AEAL, LOC109409325|XP_019538319.2|AEAL
OG0002321	LOC117137428|XP_033154749.1|DMAU	LOC115258589|XP_029714704.1|AEAL, LOC109409318|XP_029714773.1|AEAL, LOC109419106|XP_029721666.1|AEAL
OG0002322	LOC117150522|XP_033173333.1|DMAU	LOC115258593|XP_029714708.1|AEAL, LOC109409301|XP_029718139.1|AEAL, LOC115258648|XP_029714815.1|AEAL
OG0002323	LOC117136596|XP_033153473.1|DMAU	LOC109622810|XP_019932811.2|AEAL, LOC115258600|XP_029714742.1|AEAL, LOC109397528|XP_019525373.2|AEAL
OG0002324	LOC117140132|XP_033158787.1|DMAU	LOC109398624|XP_029715039.1|AEAL
OG0002325	LOC117140965|XP_033160082.1|DMAU	LOC109398702|XP_029715228.1|AEAL, LOC115258909|XP_029715231.1|AEAL, LOC109404843|XP_029715250.1|AEAL
OG0002326	LOC117139870|XP_033158418.1|DMAU	LOC115258651|XP_029714818.1|AEAL, LOC115258916|XP_029715253.1|AEAL, LOC109404860|XP_029725189.1|AEAL
OG0002327	LOC117145809|XP_033167501.1|DMAU, LOC117145811|XP_033167504.1|DMAU	LOC109398703|XP_029715053.1|AEAL, LOC109404878|XP_029725171.1|AEAL
OG0002328	LOC117146661|XP_033168897.1|DMAU	LOC109398714|XP_029708249.1|AEAL, LOC109406928|XP_029723176.1|AEAL
OG0002329	LOC117135233|XP_033151246.1|DMAU	LOC109407009|XP_029714678.1|AEAL
OG0002330	LOC117135234|XP_033151247.1|DMAU	LOC109398728|XP_019526668.1|AEAL
OG0002331	LOC117148617|XP_033171996.1|DMAU	LOC109407202|XP_019535727.2|AEAL, LOC109405876|XP_019534481.2|AEAL
OG0002332	LOC117140844|XP_033159859.1|DMAU	LOC115258606|XP_029714748.1|AEAL, LOC109407255|XP_019535807.2|AEAL
