Orthogroup	DMAU.longest_only	ASTE.longest_only
OG0000694	LOC117147667|XP_033170532.1|DMAU, LOC117140570|XP_033159460.1|DMAU	LOC118510934|XP_035909249.1|ASTE
OG0000695	LOC117138088|XP_033155832.1|DMAU, LOC117141657|XP_033161138.1|DMAU	LOC118511743|XP_035911086.1|ASTE
OG0000696	LOC117150595|XP_033173442.1|DMAU	LOC118511732|XP_035911071.1|ASTE
OG0000697	LOC117147112|XP_033169771.1|DMAU, LOC117147113|XP_033169772.1|DMAU, LOC117147109|XP_033169770.1|DMAU, LOC117135164|XP_033151116.1|DMAU	LOC118513307|XP_035914782.1|ASTE
OG0000698	LOC117150465|XP_033173251.1|DMAU, LOC117150344|XP_033173082.1|DMAU	LOC118514551|XP_035917435.1|ASTE
OG0000699	LOC117141378|XP_033160690.1|DMAU, LOC117143668|XP_033164340.1|DMAU	LOC118509221|XP_035905398.1|ASTE
OG0000700	LOC117150347|XP_033173089.1|DMAU, LOC117150288|XP_033172998.1|DMAU	LOC118513242|XP_035914691.1|ASTE
OG0000701	LOC117136478|XP_033153306.1|DMAU, LOC117147326|XP_033170067.1|DMAU	LOC118513211|XP_035914617.1|ASTE
OG0000702	LOC117145139|XP_033166570.1|DMAU, LOC117145138|XP_033166550.1|DMAU	LOC118504572|XP_035895108.1|ASTE
OG0000703	LOC117150353|XP_033173100.1|DMAU, LOC117137321|XP_033154597.1|DMAU	LOC118506324|XP_035899167.1|ASTE
OG0000704	LOC117148286|XP_033171490.1|DMAU, LOC117144597|XP_033165777.1|DMAU	LOC118506332|XP_035899195.1|ASTE
OG0000705	LOC117139463|XP_033157666.1|DMAU, LOC117139461|XP_033157664.1|DMAU	LOC118506683|XP_035900034.1|ASTE
OG0000706	LOC117150737|XP_033173663.1|DMAU, LOC117148625|XP_033172008.1|DMAU	LOC118504359|XP_035894644.1|ASTE
OG0000707	LOC117136581|XP_033153445.1|DMAU, LOC117146347|XP_033168378.1|DMAU	LOC118507672|XP_035902354.1|ASTE
OG0000708	LOC117146575|XP_033168773.1|DMAU, LOC117146996|XP_033169564.1|DMAU	LOC118506391|XP_035899324.1|ASTE
OG0000709	LOC117145554|XP_033167146.1|DMAU, LOC117147035|XP_033169620.1|DMAU	LOC118505365|XP_035896954.1|ASTE
OG0000710	LOC117144280|XP_033165273.1|DMAU, LOC117135890|XP_033152328.1|DMAU	LOC118517718|XP_035920058.1|ASTE
OG0000711	LOC117141615|XP_033161026.1|DMAU, LOC117147180|XP_033169869.1|DMAU	LOC118507227|XP_035901286.1|ASTE
OG0000713	LOC117143545|XP_033164175.1|DMAU, LOC117138191|XP_033155988.1|DMAU	LOC118508307|XP_035903858.1|ASTE
OG0000714	LOC117148743|XP_033172210.1|DMAU, LOC117139004|XP_033156988.1|DMAU	LOC118517663|XP_035919932.1|ASTE
OG0000716	LOC117147508|XP_033170308.1|DMAU, LOC117139823|XP_033158350.1|DMAU	LOC118507309|XP_035901585.1|ASTE
OG0000717	LOC117140212|XP_033158891.1|DMAU	LOC118503816|XP_035893408.1|ASTE, LOC118506222|XP_035898952.1|ASTE, LOC118506238|XP_035898994.1|ASTE, LOC118503817|XP_035893410.1|ASTE, LOC118503814|XP_035893405.1|ASTE, LOC118506235|XP_035898977.1|ASTE, LOC118506234|XP_035898976.1|ASTE, LOC118506227|XP_035898958.1|ASTE, LOC118503805|XP_035893392.1|ASTE, LOC118503812|XP_035893403.1|ASTE, LOC118503819|XP_035893412.1|ASTE, LOC118503815|XP_035893407.1|ASTE, LOC118503811|XP_035893402.1|ASTE, LOC118506223|XP_035898953.1|ASTE, LOC118503808|XP_035893397.1|ASTE, LOC118503809|XP_035893400.1|ASTE, LOC118503810|XP_035893401.1|ASTE, LOC118503807|XP_035893396.1|ASTE, LOC118503813|XP_035893404.1|ASTE, LOC118503802|XP_035893389.1|ASTE
OG0000724	LOC117147487|XP_033170275.1|DMAU, LOC117144456|XP_033165503.1|DMAU	LOC118510219|XP_035907676.1|ASTE
OG0000726	LOC117143376|XP_033163943.1|DMAU, LOC117143675|XP_033164352.1|DMAU	LOC118502369|XP_035890481.1|ASTE
OG0000727	LOC117145237|XP_033166704.1|DMAU	LOC118502892|XP_035891505.1|ASTE, LOC118504672|XP_035895355.1|ASTE
OG0000728	LOC117147364|XP_033170122.1|DMAU	LOC118507572|XP_035902102.1|ASTE
OG0000729	LOC117143074|XP_033163431.1|DMAU, LOC117144604|XP_033165786.1|DMAU	LOC118502976|XP_035891641.1|ASTE
OG0000730	LOC117147240|XP_033169945.1|DMAU, LOC117136115|XP_033152706.1|DMAU	LOC118512111|XP_035911978.1|ASTE
OG0000731	LOC117140553|XP_033159440.1|DMAU, LOC117138055|XP_033155765.1|DMAU	LOC118508872|XP_035904568.1|ASTE
OG0000732	LOC117140995|XP_033160137.1|DMAU, LOC117140994|XP_033160135.1|DMAU	LOC118510311|XP_035907841.1|ASTE
OG0000733	LOC117144125|XP_033165039.1|DMAU, LOC117139622|XP_033157967.1|DMAU	LOC118514240|XP_035916836.1|ASTE
OG0000734	LOC117148442|XP_033171706.1|DMAU, LOC117138976|XP_033156930.1|DMAU	LOC118510367|XP_035907971.1|ASTE
OG0000735	LOC117148097|XP_033171201.1|DMAU, LOC117139116|XP_033157154.1|DMAU	LOC118510613|XP_035908523.1|ASTE
OG0000736	LOC117135306|XP_033151385.1|DMAU, LOC117135305|XP_033151384.1|DMAU	LOC118512534|XP_035912979.1|ASTE
OG0000738	LOC117148370|XP_033171620.1|DMAU, LOC117147635|XP_033170894.1|DMAU	LOC118512619|XP_035913193.1|ASTE
OG0000739	LOC117143470|XP_033164074.1|DMAU, LOC117143469|XP_033164073.1|DMAU	LOC118510845|XP_035909065.1|ASTE
OG0000740	LOC117149955|XP_033172745.1|DMAU	LOC118508897|XP_035904628.1|ASTE
OG0000740	LOC117144891|XP_033166204.1|DMAU	LOC118502780|XP_035891270.1|ASTE
OG0000741	LOC117146704|XP_033169007.1|DMAU, LOC117144627|XP_033165813.1|DMAU	LOC118502614|XP_035890878.1|ASTE
OG0000742	LOC117148000|XP_033171047.1|DMAU, LOC117148383|XP_033171635.1|DMAU	LOC118505726|XP_035897798.1|ASTE
OG0000743	LOC117141929|XP_033161558.1|DMAU, LOC117137776|XP_033155289.1|DMAU	LOC118505694|XP_035897727.1|ASTE
OG0000744	LOC117136903|XP_033153912.1|DMAU	LOC118507220|XP_035901268.1|ASTE
OG0000746	LOC117137312|XP_033154584.1|DMAU, LOC117136402|XP_033153188.1|DMAU	LOC118503396|XP_035892491.1|ASTE
OG0000753	LOC117145169|XP_033166608.1|DMAU, LOC117140487|XP_033159337.1|DMAU	LOC118503883|XP_035893534.1|ASTE
OG0000754	LOC117147262|XP_033169974.1|DMAU, LOC117147592|XP_033170433.1|DMAU	LOC118508359|XP_035903974.1|ASTE
OG0000755	LOC117144999|XP_033166371.1|DMAU, LOC117143265|XP_033163726.1|DMAU	LOC118505431|XP_035897100.1|ASTE
OG0000756	LOC117145661|XP_033167284.1|DMAU	LOC118516633|XP_035918505.1|ASTE, LOC118508314|XP_035903875.1|ASTE
OG0000756	LOC117144340|XP_033165344.1|DMAU	LOC118508313|XP_035903874.1|ASTE
OG0000757	LOC117141295|XP_033160565.1|DMAU	LOC118509782|XP_035906815.1|ASTE
OG0000758	LOC117140437|XP_033159250.1|DMAU, LOC117140436|XP_033159248.1|DMAU	LOC118511395|XP_035910318.1|ASTE
OG0000759	LOC117141447|XP_033160792.1|DMAU, LOC117141453|XP_033160798.1|DMAU	LOC118511963|XP_035911580.1|ASTE
OG0000761	LOC117145919|XP_033167712.1|DMAU, LOC117146161|XP_033168027.1|DMAU	LOC118509871|XP_035906989.1|ASTE
OG0000762	LOC117149367|XP_033172661.1|DMAU, LOC117150715|XP_033173621.1|DMAU	LOC118508964|XP_035904800.1|ASTE
OG0000764	LOC117145702|XP_033167335.1|DMAU, LOC117146526|XP_033168684.1|DMAU	LOC118506994|XP_035900771.1|ASTE, LOC118517555|XP_035919689.1|ASTE
OG0000765	LOC117140438|XP_033159252.1|DMAU, LOC117148551|XP_033171876.1|DMAU	LOC118502717|XP_035891164.1|ASTE
OG0000766	LOC117144571|XP_033165719.1|DMAU, LOC117147273|XP_033169995.1|DMAU	LOC118504471|XP_035894874.1|ASTE
OG0000767	LOC117144994|XP_033166359.1|DMAU, LOC117141955|XP_033161604.1|DMAU	LOC118506406|XP_035899371.1|ASTE
OG0000768	LOC117141755|XP_033161268.1|DMAU	LOC118506386|XP_035899318.1|ASTE
OG0000769	LOC117145670|XP_033167294.1|DMAU, LOC117147742|XP_033170633.1|DMAU	LOC118508062|XP_035903410.1|ASTE
OG0000770	LOC117135829|XP_033152230.1|DMAU	LOC118504847|XP_035895750.1|ASTE
OG0000771	LOC117140495|XP_033159349.1|DMAU, LOC117140494|XP_033159348.1|DMAU	LOC118508053|XP_035903399.1|ASTE
OG0000778	LOC117139069|XP_033157071.1|DMAU, LOC117142388|XP_033162221.1|DMAU	LOC118502985|XP_035891673.1|ASTE
OG0000779	LOC117147611|XP_033170460.1|DMAU	LOC118510036|XP_035907320.1|ASTE, LOC118510076|XP_035907371.1|ASTE, LOC118514377|XP_035917175.1|ASTE, LOC118504315|XP_035894516.1|ASTE
OG0000780	LOC117135803|XP_033152192.1|DMAU	LOC118507912|XP_035903104.1|ASTE, LOC118507895|XP_035903042.1|ASTE
OG0000781	LOC117146364|XP_033168405.1|DMAU, LOC117141558|XP_033160956.1|DMAU	LOC118516713|XP_035918561.1|ASTE
OG0000782	LOC117139135|XP_033157175.1|DMAU, LOC117147483|XP_033170272.1|DMAU	LOC118506476|XP_035899547.1|ASTE
OG0000783	LOC117139134|XP_033157174.1|DMAU, LOC117148644|XP_033172036.1|DMAU	LOC118506473|XP_035899542.1|ASTE
OG0000784	LOC117140653|XP_033159585.1|DMAU, LOC117146896|XP_033169393.1|DMAU	LOC118504553|XP_035895058.1|ASTE
OG0000785	LOC117146034|XP_033167857.1|DMAU, LOC117143936|XP_033164744.1|DMAU	LOC118506908|XP_035900594.1|ASTE
OG0000786	LOC117144658|XP_033165849.1|DMAU, LOC117144885|XP_033166190.1|DMAU	LOC118504398|XP_035894700.1|ASTE
OG0000787	LOC117141575|XP_033160979.1|DMAU, LOC117146908|XP_033169417.1|DMAU	LOC118512886|XP_035913880.1|ASTE
OG0000788	LOC117150775|XP_033173711.1|DMAU, LOC117140353|XP_033159096.1|DMAU	LOC118513493|XP_035915210.1|ASTE
OG0000789	LOC117135134|XP_033151079.1|DMAU, LOC117135188|XP_033151146.1|DMAU	LOC118513383|XP_035914940.1|ASTE
OG0000790	LOC117144447|XP_033165496.1|DMAU, LOC117135173|XP_033151130.1|DMAU	LOC118508984|XP_035904869.1|ASTE
OG0000791	LOC117142911|XP_033163087.1|DMAU, LOC117149220|XP_033172648.1|DMAU, LOC117146104|XP_033167976.1|DMAU	LOC118513700|XP_035915717.1|ASTE
OG0000792	LOC117150622|XP_033173483.1|DMAU	LOC118508943|XP_035904744.1|ASTE
OG0000793	LOC117145925|XP_033167676.1|DMAU, LOC117148701|XP_033172135.1|DMAU	LOC118505346|XP_035896898.1|ASTE
OG0000794	LOC117150943|XP_033174007.1|DMAU	LOC118506964|XP_035900693.1|ASTE, LOC118504524|XP_035894959.1|ASTE, LOC118505512|XP_035897304.1|ASTE
OG0000795	LOC117147747|XP_033170644.1|DMAU	LOC118505016|XP_035896098.1|ASTE
OG0000796	LOC117145553|XP_033167144.1|DMAU, LOC117147308|XP_033170047.1|DMAU	LOC118503583|XP_035892915.1|ASTE
OG0000797	LOC117144443|XP_033165488.1|DMAU, LOC117144444|XP_033165489.1|DMAU	LOC118511901|XP_035911428.1|ASTE
OG0000798	LOC117135606|XP_033151853.1|DMAU, LOC117135605|XP_033151846.1|DMAU	LOC118507980|XP_035903226.1|ASTE
OG0000799	LOC117145665|XP_033167291.1|DMAU, LOC117147093|XP_033169748.1|DMAU	LOC118503939|XP_035893704.1|ASTE
OG0000801	LOC117136679|XP_033153578.1|DMAU, LOC117137379|XP_033154683.1|DMAU	LOC118507171|XP_035901133.1|ASTE
OG0000802	LOC117147379|XP_033170139.1|DMAU, LOC117148102|XP_033171208.1|DMAU	LOC118507962|XP_035903182.1|ASTE
OG0000810	LOC117135817|XP_033152214.1|DMAU, LOC117137673|XP_033155123.1|DMAU	LOC118504299|XP_035894489.1|ASTE
OG0000811	LOC117136095|XP_033152668.1|DMAU	LOC118511463|XP_035910457.1|ASTE
OG0000812	LOC117146712|XP_033169020.1|DMAU, LOC117141790|XP_033161320.1|DMAU	LOC118510520|XP_035908347.1|ASTE
OG0000813	LOC117150318|XP_033173044.1|DMAU	LOC118514358|XP_035917073.1|ASTE
OG0000814	LOC117150689|XP_033173590.1|DMAU	LOC118512011|XP_035911674.1|ASTE
OG0000815	LOC117145718|XP_033167358.1|DMAU	LOC118512513|XP_035912925.1|ASTE
OG0000816	LOC117148007|XP_033171058.1|DMAU, LOC117144776|XP_033166034.1|DMAU	LOC118513340|XP_035914856.1|ASTE
OG0000817	LOC117145525|XP_033167107.1|DMAU, LOC117145526|XP_033167108.1|DMAU	LOC118504936|XP_035895926.1|ASTE
OG0000818	LOC117148885|XP_033172478.1|DMAU, LOC117137765|XP_033155279.1|DMAU	LOC118504767|XP_035895590.1|ASTE
OG0000819	LOC117147288|XP_033170024.1|DMAU, LOC117147609|XP_033170457.1|DMAU	LOC118505231|XP_035896654.1|ASTE
OG0000820	LOC117147212|XP_033169917.1|DMAU, LOC117137622|XP_033155044.1|DMAU	LOC118503948|XP_035893722.1|ASTE
OG0000821	LOC117143980|XP_033164809.1|DMAU, LOC117137505|XP_033154876.1|DMAU	LOC118508179|XP_035903630.1|ASTE
OG0000822	LOC117141203|XP_033160446.1|DMAU, LOC117148540|XP_033171863.1|DMAU	LOC118510923|XP_035909226.1|ASTE
OG0000830	LOC117148500|XP_033171793.1|DMAU	LOC118507870|XP_035902970.1|ASTE, LOC118507868|XP_035902968.1|ASTE, LOC118507869|XP_035902969.1|ASTE
OG0000831	LOC117140810|XP_033159803.1|DMAU	LOC118505182|XP_035896530.1|ASTE, LOC118505183|XP_035896531.1|ASTE, LOC118506541|XP_035899725.1|ASTE
OG0000832	LOC117137739|XP_033155213.1|DMAU	LOC118507813|XP_035902776.1|ASTE
OG0000833	LOC117139322|XP_033157457.1|DMAU	LOC118509033|XP_035904964.1|ASTE
OG0000834	LOC117142856|XP_033162993.1|DMAU	LOC118513021|XP_035914191.1|ASTE
OG0000836	LOC117150736|XP_033173661.1|DMAU, LOC117137036|XP_033154136.1|DMAU	LOC118512536|XP_035912997.1|ASTE
OG0000837	LOC117135739|XP_033152075.1|DMAU, LOC117147384|XP_033170147.1|DMAU	LOC118504361|XP_035894647.1|ASTE
OG0000838	LOC117150566|XP_033173408.1|DMAU, LOC117141968|XP_033161660.1|DMAU	LOC118507063|XP_035900934.1|ASTE
OG0000839	LOC117145758|XP_033167414.1|DMAU, LOC117145452|XP_033167011.1|DMAU	LOC118506969|XP_035900705.1|ASTE
OG0000840	LOC117135673|XP_033151959.1|DMAU, LOC117148905|XP_033172504.1|DMAU	LOC118514125|XP_035916603.1|ASTE
OG0000842	LOC117137584|XP_033154981.1|DMAU, LOC117142640|XP_033162635.1|DMAU	LOC118503475|XP_035892667.1|ASTE
OG0000843	LOC117136942|XP_033153980.1|DMAU	LOC118512372|XP_035912615.1|ASTE
OG0000844	LOC117136183|XP_033152819.1|DMAU, LOC117142382|XP_033162212.1|DMAU	LOC118503051|XP_035891779.1|ASTE
OG0000853	LOC117150493|XP_033173288.1|DMAU, LOC117137782|XP_033155298.1|DMAU	LOC118507437|XP_035901843.1|ASTE, LOC118503408|XP_035892566.1|ASTE
OG0000854	LOC117146605|XP_033168822.1|DMAU, LOC117146602|XP_033168818.1|DMAU	LOC118505768|XP_035897909.1|ASTE
OG0000855	LOC117147898|XP_033170896.1|DMAU, LOC117144461|XP_033165512.1|DMAU	LOC118506430|XP_035899436.1|ASTE
OG0000856	LOC117147730|XP_033170620.1|DMAU	LOC118507098|XP_035900991.1|ASTE, LOC118516466|XP_035918262.1|ASTE
OG0000856	LOC117147410|XP_033170177.1|DMAU, LOC117140416|XP_033159180.1|DMAU	LOC118517387|XP_035919330.1|ASTE
OG0000857	LOC117147353|XP_033170108.1|DMAU	LOC118512907|XP_035913931.1|ASTE, LOC118512913|XP_035913953.1|ASTE
OG0000858	LOC117142694|XP_033162741.1|DMAU, LOC117142693|XP_033162740.1|DMAU	LOC118502828|XP_035891395.1|ASTE, LOC118505410|XP_035897052.1|ASTE, LOC118505411|XP_035897053.1|ASTE
OG0000860	LOC117139425|XP_033157607.1|DMAU, LOC117139780|XP_033158282.1|DMAU	LOC118510209|XP_035907640.1|ASTE
OG0000861	LOC117138623|XP_033156725.1|DMAU	LOC118511440|XP_035910432.1|ASTE, LOC118516310|XP_035918020.1|ASTE
OG0000862	LOC117136308|XP_033153046.1|DMAU, LOC117140424|XP_033159220.1|DMAU	LOC118510301|XP_035907820.1|ASTE
OG0000863	LOC117143832|XP_033164574.1|DMAU	LOC118510334|XP_035907885.1|ASTE
OG0000864	LOC117141314|XP_033160595.1|DMAU, LOC117147677|XP_033170544.1|DMAU	LOC118505094|XP_035896286.1|ASTE
OG0000865	LOC117147783|XP_033170717.1|DMAU, LOC117145359|XP_033166872.1|DMAU	LOC118510634|XP_035908571.1|ASTE
OG0000866	LOC117150893|XP_033173926.1|DMAU, LOC117150906|XP_033173947.1|DMAU	LOC118512498|XP_035912899.1|ASTE
OG0000867	LOC117150841|XP_033173801.1|DMAU, LOC117135108|XP_033151061.1|DMAU	LOC118511650|XP_035910878.1|ASTE
OG0000868	LOC117147913|XP_033170917.1|DMAU	LOC118508503|XP_035904232.1|ASTE, LOC118511600|XP_035910774.1|ASTE
OG0000870	LOC117135520|XP_033151671.1|DMAU	LOC118507300|XP_035901561.1|ASTE
OG0000871	LOC117136623|XP_033153503.1|DMAU	LOC118508182|XP_035903632.1|ASTE, LOC118508160|XP_035903595.1|ASTE, LOC118508183|XP_035903633.1|ASTE, LOC118508387|XP_035904023.1|ASTE
OG0000872	LOC117147778|XP_033170705.1|DMAU, LOC117135485|XP_033151595.1|DMAU	LOC118503950|XP_035893728.1|ASTE
OG0000873	LOC117140829|XP_033159827.1|DMAU	LOC118507145|XP_035901074.1|ASTE, LOC118507460|XP_035901845.1|ASTE, LOC118506271|XP_035899073.1|ASTE
OG0000874	LOC117147689|XP_033170566.1|DMAU, LOC117137445|XP_033154774.1|DMAU	LOC118503109|XP_035891939.1|ASTE
OG0000875	LOC117140284|XP_033159006.1|DMAU	LOC118508404|XP_035904058.1|ASTE
OG0000882	LOC117147726|XP_033170617.1|DMAU, LOC117143446|XP_033164049.1|DMAU, LOC117150892|XP_033173920.1|DMAU, LOC117145413|XP_033166949.1|DMAU	LOC118517489|XP_035919578.1|ASTE
OG0000883	LOC117146801|XP_033169234.1|DMAU	LOC118504614|XP_035895188.1|ASTE, LOC118506063|XP_035898609.1|ASTE
OG0000884	LOC117145448|XP_033167007.1|DMAU, LOC117146543|XP_033168723.1|DMAU	LOC118506119|XP_035898727.1|ASTE
OG0000885	LOC117143302|XP_033163799.1|DMAU	LOC118502903|XP_035891519.1|ASTE, LOC118502902|XP_035891517.1|ASTE, LOC118502901|XP_035891516.1|ASTE
OG0000887	LOC117147170|XP_033169847.1|DMAU	LOC118511357|XP_035910211.1|ASTE, LOC118516345|XP_035918050.1|ASTE, LOC118511356|XP_035910210.1|ASTE, LOC118516344|XP_035918049.1|ASTE, LOC118509257|XP_035905485.1|ASTE, LOC118509232|XP_035905433.1|ASTE, LOC118505610|XP_035897542.1|ASTE, LOC118505611|XP_035897544.1|ASTE
OG0000888	LOC117141630|XP_033161056.1|DMAU	LOC118516418|XP_035918174.1|ASTE, LOC118509543|XP_035906181.1|ASTE
OG0000889	LOC117141535|XP_033160916.1|DMAU	LOC118512813|XP_035913661.1|ASTE
OG0000890	LOC117136586|XP_033153449.1|DMAU	LOC118511842|XP_035911278.1|ASTE, LOC118511843|XP_035911279.1|ASTE
OG0000891	LOC117150911|XP_033173954.1|DMAU, LOC117150506|XP_033173307.1|DMAU	LOC118513936|XP_035916207.1|ASTE
OG0000892	LOC117140120|XP_033158774.1|DMAU, LOC117138990|XP_033156952.1|DMAU	LOC118511588|XP_035910732.1|ASTE
OG0000893	LOC117144433|XP_033165471.1|DMAU	LOC118503679|XP_035893114.1|ASTE, LOC118517096|XP_035918846.1|ASTE, LOC118503676|XP_035893110.1|ASTE, LOC118502462|XP_035890585.1|ASTE
OG0000894	LOC117144040|XP_033164899.1|DMAU	LOC118502648|XP_035890990.1|ASTE
OG0000895	LOC117136194|XP_033152830.1|DMAU	LOC118504523|XP_035894958.1|ASTE
OG0000896	LOC117136098|XP_033152670.1|DMAU, LOC117147473|XP_033170257.1|DMAU	LOC118508161|XP_035903597.1|ASTE, LOC118508158|XP_035903594.1|ASTE
OG0000907	LOC117136943|XP_033153981.1|DMAU	LOC118511869|XP_035911366.1|ASTE
OG0000909	LOC117146488|XP_033168619.1|DMAU, LOC117145347|XP_033166853.1|DMAU	LOC118503116|XP_035891954.1|ASTE
OG0000910	LOC117146065|XP_033167895.1|DMAU, LOC117148952|XP_033172587.1|DMAU	LOC118514476|XP_035917293.1|ASTE
OG0000911	LOC117135648|XP_033151923.1|DMAU	LOC118510415|XP_035908076.1|ASTE
OG0000912	LOC117141364|XP_033160661.1|DMAU, LOC117140832|XP_033159831.1|DMAU	LOC118512824|XP_035913692.1|ASTE, LOC118512823|XP_035913691.1|ASTE
OG0000913	LOC117139694|XP_033158091.1|DMAU	LOC118509679|XP_035906610.1|ASTE
OG0000914	LOC117136763|XP_033153689.1|DMAU	LOC118513367|XP_035914891.1|ASTE
OG0000915	LOC117137288|XP_033154553.1|DMAU, LOC117147464|XP_033170246.1|DMAU	LOC118514577|XP_035917472.1|ASTE
OG0000916	LOC117150551|XP_033173377.1|DMAU	LOC118509337|XP_035905708.1|ASTE
OG0000917	LOC117140481|XP_033159846.1|DMAU	LOC118510102|XP_035907426.1|ASTE
OG0000918	LOC117137078|XP_033154197.1|DMAU, LOC117135322|XP_033151411.1|DMAU	LOC118512612|XP_035913178.1|ASTE
OG0000920	LOC117148873|XP_033172435.1|DMAU	LOC118512070|XP_035911849.1|ASTE, LOC118506537|XP_035899703.1|ASTE
OG0000921	LOC117146764|XP_033169156.1|DMAU, LOC117146765|XP_033169157.1|DMAU	LOC118503009|XP_035891716.1|ASTE
OG0000922	LOC117139029|XP_033157018.1|DMAU, LOC117139027|XP_033157016.1|DMAU	LOC118503253|XP_035892184.1|ASTE, LOC118503255|XP_035892188.1|ASTE
OG0000923	LOC117141567|XP_033160969.1|DMAU, LOC117143945|XP_033164770.1|DMAU	LOC118504234|XP_035894347.1|ASTE
OG0000924	LOC117146721|XP_033169050.1|DMAU	LOC118507197|XP_035901164.1|ASTE
OG0000925	LOC117145095|XP_033166504.1|DMAU, LOC117145094|XP_033166503.1|DMAU	LOC118504737|XP_035895507.1|ASTE
OG0000935	LOC117144531|XP_033165653.1|DMAU	LOC118508431|XP_035904105.1|ASTE, LOC118507553|XP_035902028.1|ASTE
OG0000936	LOC117144628|XP_033165814.1|DMAU, LOC117147763|XP_033170679.1|DMAU	LOC118512980|XP_035914130.1|ASTE
OG0000938	LOC117136677|XP_033153575.1|DMAU, LOC117147676|XP_033170543.1|DMAU	LOC118508148|XP_035903581.1|ASTE
OG0000939	LOC117151025|XP_033174125.1|DMAU, LOC117137072|XP_033154193.1|DMAU	LOC118513339|XP_035914854.1|ASTE
OG0000940	LOC117146969|XP_033169528.1|DMAU, LOC117140908|XP_033159971.1|DMAU	LOC118504529|XP_035894966.1|ASTE
OG0000942	LOC117140515|XP_033159384.1|DMAU	LOC118504770|XP_035895593.1|ASTE
OG0000943	LOC117135554|XP_033151743.1|DMAU, LOC117135555|XP_033151746.1|DMAU	LOC118512854|XP_035913820.1|ASTE
OG0000944	LOC117147668|XP_033170534.1|DMAU, LOC117146835|XP_033169713.1|DMAU	LOC118509354|XP_035905765.1|ASTE
OG0000945	LOC117139195|XP_033157258.1|DMAU, LOC117139196|XP_033157260.1|DMAU	LOC118509858|XP_035906959.1|ASTE
OG0000946	LOC117150285|XP_033172994.1|DMAU	LOC118510035|XP_035907316.1|ASTE, LOC118512577|XP_035913093.1|ASTE
OG0000947	LOC117136239|XP_033152915.1|DMAU	LOC118513802|XP_035915895.1|ASTE, LOC118513803|XP_035915898.1|ASTE, LOC118513801|XP_035915893.1|ASTE, LOC118513800|XP_035915891.1|ASTE
OG0000948	LOC117140564|XP_033159452.1|DMAU	LOC118507585|XP_035902140.1|ASTE
OG0000949	LOC117146770|XP_033169175.1|DMAU	LOC118504586|XP_035895128.1|ASTE, LOC118504585|XP_035895126.1|ASTE
OG0000950	LOC117143634|XP_033164301.1|DMAU	LOC118505342|XP_035896892.1|ASTE
OG0000951	LOC117142512|XP_033162441.1|DMAU	LOC118505491|XP_035897238.1|ASTE
OG0000952	LOC117150067|XP_033172811.1|DMAU, LOC117138330|XP_033156261.1|DMAU	LOC118514194|XP_035916776.1|ASTE
OG0000953	LOC117150169|XP_033172853.1|DMAU	LOC118511951|XP_035911559.1|ASTE
OG0000963	LOC117148452|XP_033171717.1|DMAU	LOC118516900|XP_035918640.1|ASTE
OG0000964	LOC117148485|XP_033171756.1|DMAU, LOC117148416|XP_033171675.1|DMAU, LOC117137287|XP_033154552.1|DMAU	LOC118508300|XP_035903846.1|ASTE
OG0000965	LOC117148285|XP_033171489.1|DMAU	LOC118508969|XP_035904831.1|ASTE
OG0000966	LOC117136072|XP_033152617.1|DMAU, LOC117142670|XP_033162694.1|DMAU	LOC118516206|XP_035918003.1|ASTE
OG0000968	LOC117141114|XP_033160328.1|DMAU	LOC118514249|XP_035916854.1|ASTE
OG0000969	LOC117138177|XP_033155958.1|DMAU, LOC117143933|XP_033164741.1|DMAU	LOC118511848|XP_035911286.1|ASTE
OG0000970	LOC117142955|XP_033163171.1|DMAU	LOC118511626|XP_035910826.1|ASTE
OG0000971	LOC117140377|XP_033159137.1|DMAU, LOC117149475|XP_033172674.1|DMAU, LOC117149457|XP_033172669.1|DMAU	LOC118514114|XP_035916583.1|ASTE, LOC118514113|XP_035916582.1|ASTE, LOC118514112|XP_035916581.1|ASTE, LOC118512504|XP_035912908.1|ASTE
OG0000972	LOC117142065|XP_033161833.1|DMAU, LOC117147478|XP_033170265.1|DMAU	LOC118513280|XP_035914739.1|ASTE
OG0000974	LOC117141227|XP_033160476.1|DMAU	LOC118508940|XP_035904742.1|ASTE
OG0000975	LOC117142852|XP_033162983.1|DMAU	LOC118502571|XP_035890786.1|ASTE
OG0000977	LOC117142709|XP_033162759.1|DMAU, LOC117142703|XP_033162750.1|DMAU	LOC118510938|XP_035909267.1|ASTE
OG0000978	LOC117136500|XP_033153335.1|DMAU, LOC117136501|XP_033153336.1|DMAU, LOC117145408|XP_033166939.1|DMAU	LOC118508060|XP_035903408.1|ASTE
OG0000988	LOC117140076|XP_033158757.1|DMAU	LOC118511282|XP_035910069.1|ASTE
OG0000990	LOC117142690|XP_033162738.1|DMAU, LOC117147400|XP_033170163.1|DMAU	LOC118517440|XP_035919462.1|ASTE
OG0000991	LOC117146545|XP_033168727.1|DMAU	LOC118512066|XP_035911834.1|ASTE
OG0000992	LOC117136497|XP_033153331.1|DMAU, LOC117136495|XP_033153330.1|DMAU, LOC117145677|XP_033167303.1|DMAU	LOC118505427|XP_035897082.1|ASTE
OG0000994	LOC117148155|XP_033171279.1|DMAU	LOC118504833|XP_035895730.1|ASTE
