Orthogroup	DMAU.longest_only	CCAP.longest_only
OG0001950	LOC117144259|XP_033165248.1|DMAU	CCAP1982_LOCUS4560|CAD6995859.1|CCAP
OG0001951	LOC117137839|XP_033155422.1|DMAU	CCAP1982_LOCUS23274|CAD7015329.1|CCAP
OG0001952	LOC117138225|XP_033156061.1|DMAU, LOC117138224|XP_033156060.1|DMAU	CCAP1982_LOCUS23010|CAD7015053.1|CCAP
OG0001953	LOC117137857|XP_033155461.1|DMAU	CCAP1982_LOCUS22980|CAD7015023.1|CCAP, CCAP1982_LOCUS22978|CAD7015021.1|CCAP
OG0001954	LOC117135569|XP_033151775.1|DMAU	CCAP1982_LOCUS23202|CAD7015253.1|CCAP
OG0001955	LOC117137756|XP_033155261.1|DMAU	CCAP1982_LOCUS22670|CAD7014686.1|CCAP
OG0001957	LOC117137963|XP_033155625.1|DMAU	CCAP1982_LOCUS22307|CAD7014307.1|CCAP
OG0001958	LOC117137177|XP_033154382.1|DMAU	CCAP1982_LOCUS23338|CAD7015394.1|CCAP, CCAP1982_LOCUS23339|CAD7015395.1|CCAP
OG0001959	LOC117139984|XP_033158579.1|DMAU	CCAP1982_LOCUS14238|CAD7005898.1|CCAP
OG0001960	LOC117140017|XP_033158636.1|DMAU	CCAP1982_LOCUS12222|CAD7003786.1|CCAP
OG0001961	LOC117136055|XP_033152592.1|DMAU	CCAP1982_LOCUS22414|CAD7014418.1|CCAP, CCAP1982_LOCUS22415|CAD7014419.1|CCAP
OG0001962	LOC117137007|XP_033154085.1|DMAU	CCAP1982_LOCUS22716|CAD7014738.1|CCAP, CCAP1982_LOCUS22717|CAD7014739.1|CCAP
OG0001963	LOC117139437|XP_033157629.1|DMAU	CCAP1982_LOCUS12183|CAD7003747.1|CCAP
OG0001964	LOC117139888|XP_033158457.1|DMAU	CCAP1982_LOCUS12354|CAD7003931.1|CCAP
OG0001965	LOC117141983|XP_033161683.1|DMAU	CCAP1982_LOCUS12704|CAD7004284.1|CCAP
OG0001966	LOC117145559|XP_033167153.1|DMAU	CCAP1982_LOCUS3040|CAD6994279.1|CCAP
OG0001967	LOC117137536|XP_033154921.1|DMAU	CCAP1982_LOCUS22780|CAD7014812.1|CCAP
OG0001968	LOC117141284|XP_033160545.1|DMAU	CCAP1982_LOCUS14972|CAD7006670.1|CCAP
OG0001969	LOC117136246|XP_033152941.1|DMAU	CCAP1982_LOCUS21687|CAD7013643.1|CCAP
OG0001970	LOC117136601|XP_033153475.1|DMAU	CCAP1982_LOCUS23267|CAD7015322.1|CCAP
OG0001971	LOC117138048|XP_033155753.1|DMAU	CCAP1982_LOCUS8403|CAD6999893.1|CCAP
OG0001972	LOC117137533|XP_033154911.1|DMAU	CCAP1982_LOCUS23021|CAD7015065.1|CCAP
OG0001973	LOC117137414|XP_033154733.1|DMAU	CCAP1982_LOCUS22029|CAD7014023.1|CCAP
OG0001974	LOC117138072|XP_033155787.1|DMAU	CCAP1982_LOCUS23362|CAD7015420.1|CCAP, CCAP1982_LOCUS23363|CAD7015421.1|CCAP
OG0001975	LOC117140196|XP_033158870.1|DMAU	CCAP1982_LOCUS11501|CAD7003038.1|CCAP
OG0001976	LOC117135652|XP_033151927.1|DMAU	CCAP1982_LOCUS22353|CAD7014356.1|CCAP
OG0001977	LOC117146348|XP_033168384.1|DMAU	CCAP1982_LOCUS10531|CAD7002043.1|CCAP, CCAP1982_LOCUS5765|CAD6997116.1|CCAP, CCAP1982_LOCUS10528|CAD7002040.1|CCAP
OG0001978	LOC117150269|XP_033172966.1|DMAU	CCAP1982_LOCUS7617|CAD6999071.1|CCAP
OG0001979	LOC117150684|XP_033173587.1|DMAU	CCAP1982_LOCUS8860|CAD7000384.1|CCAP
OG0001980	LOC117135239|XP_033151268.1|DMAU	CCAP1982_LOCUS6688|CAD6998074.1|CCAP, CCAP1982_LOCUS6687|CAD6998073.1|CCAP
OG0001981	LOC117145727|XP_033167371.1|DMAU	CCAP1982_LOCUS7875|CAD6999348.1|CCAP
OG0001982	LOC117150047|XP_033172803.1|DMAU	CCAP1982_LOCUS5569|CAD6996896.1|CCAP
OG0001983	LOC117139408|XP_033157573.1|DMAU	CCAP1982_LOCUS3020|CAD6994259.1|CCAP
OG0001984	LOC117135161|XP_033151113.1|DMAU	CCAP1982_LOCUS9240|CAD7000765.1|CCAP
OG0001985	LOC117147033|XP_033169622.1|DMAU	CCAP1982_LOCUS5651|CAD6996989.1|CCAP
OG0001986	LOC117150431|XP_033173200.1|DMAU	CCAP1982_LOCUS6409|CAD6997784.1|CCAP
OG0001988	LOC117138366|XP_033156323.1|DMAU	CCAP1982_LOCUS22258|CAD7014255.1|CCAP
OG0001989	LOC117150202|XP_033172883.1|DMAU	CCAP1982_LOCUS6085|CAD6997439.1|CCAP, CCAP1982_LOCUS20246|CAD7012149.1|CCAP
OG0001990	LOC117150332|XP_033173068.1|DMAU	CCAP1982_LOCUS6088|CAD6997442.1|CCAP
OG0001991	LOC117150634|XP_033173497.1|DMAU	CCAP1982_LOCUS5893|CAD6997260.1|CCAP, CCAP1982_LOCUS5892|CAD6997259.1|CCAP
OG0001992	LOC117144104|XP_033165017.1|DMAU	CCAP1982_LOCUS7304|CAD6998750.1|CCAP
OG0001993	LOC117150858|XP_033173845.1|DMAU	CCAP1982_LOCUS6510|CAD6997891.1|CCAP
OG0001994	LOC117142641|XP_033162637.1|DMAU	CCAP1982_LOCUS4040|CAD6995322.1|CCAP
OG0001995	LOC117136696|XP_033153645.1|DMAU	CCAP1982_LOCUS7864|CAD6999337.1|CCAP
OG0001996	LOC117150329|XP_033173064.1|DMAU	CCAP1982_LOCUS6834|CAD6998223.1|CCAP
OG0001997	LOC117135726|XP_033152060.1|DMAU	CCAP1982_LOCUS22833|CAD7014869.1|CCAP
OG0001998	LOC117135720|XP_033152046.1|DMAU	CCAP1982_LOCUS22838|CAD7014874.1|CCAP
OG0001999	LOC117136120|XP_033152710.1|DMAU	CCAP1982_LOCUS23209|CAD7015261.1|CCAP, CCAP1982_LOCUS23214|CAD7015266.1|CCAP
OG0002000	LOC117142310|XP_033162108.1|DMAU	CCAP1982_LOCUS8817|CAD7000334.1|CCAP
OG0002001	LOC117151095|XP_033174235.1|DMAU	CCAP1982_LOCUS8682|CAD7000189.1|CCAP
OG0002003	LOC117136070|XP_033152659.1|DMAU	CCAP1982_LOCUS9016|CAD7000540.1|CCAP
OG0002004	LOC117150958|XP_033174028.1|DMAU	CCAP1982_LOCUS7661|CAD6999117.1|CCAP
OG0002005	LOC117144331|XP_033165338.1|DMAU	CCAP1982_LOCUS9022|CAD7000546.1|CCAP
OG0002006	LOC117135302|XP_033151371.1|DMAU	CCAP1982_LOCUS8852|CAD7000372.1|CCAP
OG0002007	LOC117139414|XP_033157794.1|DMAU	CCAP1982_LOCUS5813|CAD6997170.1|CCAP
OG0002008	LOC117146238|XP_033168037.1|DMAU	CCAP1982_LOCUS10577|CAD7002089.1|CCAP, CCAP1982_LOCUS10575|CAD7002087.1|CCAP, CCAP1982_LOCUS10578|CAD7002090.1|CCAP
OG0002009	LOC117136380|XP_033153162.1|DMAU	CCAP1982_LOCUS7153|CAD6998573.1|CCAP
OG0002010	LOC117145889|XP_033167626.1|DMAU	CCAP1982_LOCUS9018|CAD7000542.1|CCAP
OG0002011	LOC117146550|XP_033168742.1|DMAU	CCAP1982_LOCUS5797|CAD6997153.1|CCAP
OG0002012	LOC117150197|XP_033172877.1|DMAU	CCAP1982_LOCUS8101|CAD6999576.1|CCAP
OG0002013	LOC117150248|XP_033172935.1|DMAU	CCAP1982_LOCUS5842|CAD6997203.1|CCAP
OG0002014	LOC117137311|XP_033154582.1|DMAU	CCAP1982_LOCUS20407|CAD7012313.1|CCAP
OG0002015	LOC117150747|XP_033173671.1|DMAU	CCAP1982_LOCUS8287|CAD6999764.1|CCAP
OG0002016	LOC117135472|XP_033151576.1|DMAU	CCAP1982_LOCUS22546|CAD7014545.1|CCAP
OG0002017	LOC117150424|XP_033173189.1|DMAU	CCAP1982_LOCUS7916|CAD6999390.1|CCAP, CCAP1982_LOCUS7914|CAD6999388.1|CCAP
OG0002018	LOC117150857|XP_033173843.1|DMAU	CCAP1982_LOCUS5457|CAD6996782.1|CCAP
OG0002019	LOC117146280|XP_033168171.1|DMAU	CCAP1982_LOCUS7335|CAD6998781.1|CCAP
OG0002020	LOC117147440|XP_033170216.1|DMAU	CCAP1982_LOCUS5558|CAD6996885.1|CCAP
OG0002021	LOC117138433|XP_033156435.1|DMAU	CCAP1982_LOCUS22781|CAD7014814.1|CCAP, CCAP1982_LOCUS22783|CAD7014816.1|CCAP
OG0002022	LOC117138718|XP_033156857.1|DMAU	CCAP1982_LOCUS7961|CAD6999437.1|CCAP
OG0002023	LOC117144218|XP_033165163.1|DMAU	CCAP1982_LOCUS2755|CAD6993970.1|CCAP
OG0002024	LOC117135185|XP_033151186.1|DMAU	CCAP1982_LOCUS5710|CAD6997056.1|CCAP
OG0002025	LOC117138135|XP_033155899.1|DMAU	CCAP1982_LOCUS8538|CAD7000034.1|CCAP
OG0002026	LOC117141705|XP_033161207.1|DMAU	CCAP1982_LOCUS11688|CAD7003227.1|CCAP, CCAP1982_LOCUS11689|CAD7003228.1|CCAP
OG0002027	LOC117135962|XP_033152451.1|DMAU	CCAP1982_LOCUS20430|CAD7012336.1|CCAP, CCAP1982_LOCUS20431|CAD7012337.1|CCAP
OG0002028	LOC117136785|XP_033153731.1|DMAU	CCAP1982_LOCUS20133|CAD7012029.1|CCAP
OG0002029	LOC117141146|XP_033160370.1|DMAU	CCAP1982_LOCUS12945|CAD7004548.1|CCAP
OG0002030	LOC117136336|XP_033153087.1|DMAU	CCAP1982_LOCUS21186|CAD7013113.1|CCAP
OG0002031	LOC117136069|XP_033152614.1|DMAU	CCAP1982_LOCUS19460|CAD7011357.1|CCAP
OG0002032	LOC117143784|XP_033164516.1|DMAU	CCAP1982_LOCUS23288|CAD7015343.1|CCAP, CCAP1982_LOCUS508|CAD6991591.1|CCAP
OG0002035	LOC117145582|XP_033167179.1|DMAU	CCAP1982_LOCUS4823|CAD6996129.1|CCAP
OG0002036	LOC117145832|XP_033167524.1|DMAU	CCAP1982_LOCUS4283|CAD6995573.1|CCAP, CCAP1982_LOCUS4277|CAD6995566.1|CCAP, CCAP1982_LOCUS4286|CAD6995576.1|CCAP
OG0002038	LOC117143600|XP_033164242.1|DMAU	CCAP1982_LOCUS630|CAD6991717.1|CCAP
OG0002039	LOC117141356|XP_033160655.1|DMAU	CCAP1982_LOCUS5672|CAD6997011.1|CCAP
OG0002040	LOC117139300|XP_033157426.1|DMAU, LOC117139299|XP_033157423.1|DMAU	CCAP1982_LOCUS4199|CAD6995484.1|CCAP
OG0002041	LOC117135698|XP_033151995.1|DMAU	CCAP1982_LOCUS19975|CAD7011863.1|CCAP
OG0002042	LOC117143380|XP_033163949.1|DMAU	CCAP1982_LOCUS4396|CAD6995689.1|CCAP, CCAP1982_LOCUS4389|CAD6995682.1|CCAP
OG0002043	LOC117145716|XP_033167353.1|DMAU	CCAP1982_LOCUS561|CAD6991647.1|CCAP
OG0002044	LOC117142452|XP_033162313.1|DMAU	CCAP1982_LOCUS4877|CAD6996185.1|CCAP, CCAP1982_LOCUS4875|CAD6996183.1|CCAP
OG0002045	LOC117143740|XP_033164441.1|DMAU	CCAP1982_LOCUS278|CAD6991349.1|CCAP
OG0002048	LOC117144863|XP_033166158.1|DMAU	CCAP1982_LOCUS826|CAD6991936.1|CCAP
OG0002049	LOC117145332|XP_033166828.1|DMAU	CCAP1982_LOCUS4976|CAD6996293.1|CCAP
OG0002050	LOC117145882|XP_033167598.1|DMAU	CCAP1982_LOCUS5116|CAD6996444.1|CCAP
OG0002051	LOC117136703|XP_033153612.1|DMAU	CCAP1982_LOCUS22484|CAD7014482.1|CCAP
OG0002052	LOC117140934|XP_033160021.1|DMAU	CCAP1982_LOCUS14831|CAD7006517.1|CCAP
OG0002053	LOC117143518|XP_033164131.1|DMAU	CCAP1982_LOCUS268|CAD6991339.1|CCAP
OG0002054	LOC117142520|XP_033162454.1|DMAU	CCAP1982_LOCUS2427|CAD6993617.1|CCAP
OG0002055	LOC117143327|XP_033163874.1|DMAU	CCAP1982_LOCUS382|CAD6991457.1|CCAP
OG0002056	LOC117140636|XP_033159554.1|DMAU	CCAP1982_LOCUS10781|CAD7002289.1|CCAP
OG0002057	LOC117146442|XP_033168592.1|DMAU	CCAP1982_LOCUS7071|CAD6998476.1|CCAP
OG0002058	LOC117142096|XP_033161871.1|DMAU	CCAP1982_LOCUS2599|CAD6993803.1|CCAP, CCAP1982_LOCUS12120|CAD7003683.1|CCAP
OG0002059	LOC117142839|XP_033162963.1|DMAU	CCAP1982_LOCUS862|CAD6991975.1|CCAP
OG0002060	LOC117137935|XP_033155580.1|DMAU	CCAP1982_LOCUS20652|CAD7012567.1|CCAP
OG0002061	LOC117138453|XP_033156470.1|DMAU	CCAP1982_LOCUS21100|CAD7013011.1|CCAP
OG0002065	LOC117141237|XP_033160491.1|DMAU	CCAP1982_LOCUS10902|CAD7002410.1|CCAP, CCAP1982_LOCUS10901|CAD7002409.1|CCAP
OG0002066	LOC117143765|XP_033164474.1|DMAU	CCAP1982_LOCUS4585|CAD6995884.1|CCAP, CCAP1982_LOCUS4583|CAD6995882.1|CCAP
OG0002067	LOC117136786|XP_033153733.1|DMAU	CCAP1982_LOCUS20152|CAD7012050.1|CCAP
OG0002068	LOC117136801|XP_033153756.1|DMAU	CCAP1982_LOCUS21706|CAD7013663.1|CCAP
OG0002070	LOC117144757|XP_033166007.1|DMAU	CCAP1982_LOCUS603|CAD6991690.1|CCAP
OG0002071	LOC117143742|XP_033164444.1|DMAU	CCAP1982_LOCUS2429|CAD6993619.1|CCAP
OG0002072	LOC117137737|XP_033155210.1|DMAU	CCAP1982_LOCUS22664|CAD7014680.1|CCAP
OG0002073	LOC117142016|XP_033161760.1|DMAU	CCAP1982_LOCUS12294|CAD7003864.1|CCAP
OG0002074	LOC117145044|XP_033166444.1|DMAU, LOC117137388|XP_033154695.1|DMAU	CCAP1982_LOCUS19998|CAD7011886.1|CCAP
OG0002076	LOC117135540|XP_033151710.1|DMAU	CCAP1982_LOCUS20493|CAD7012405.1|CCAP
OG0002077	LOC117139193|XP_033157254.1|DMAU	CCAP1982_LOCUS20706|CAD7012622.1|CCAP, CCAP1982_LOCUS20719|CAD7012632.1|CCAP
OG0002078	LOC117136281|XP_033153006.1|DMAU	CCAP1982_LOCUS11090|CAD7002606.1|CCAP, CCAP1982_LOCUS19774|CAD7011690.1|CCAP
OG0002079	LOC117138951|XP_033156882.1|DMAU	CCAP1982_LOCUS13468|CAD7005106.1|CCAP, CCAP1982_LOCUS13467|CAD7005105.1|CCAP, CCAP1982_LOCUS13469|CAD7005107.1|CCAP
OG0002081	LOC117136117|XP_033152704.1|DMAU	CCAP1982_LOCUS19470|CAD7011368.1|CCAP
OG0002082	LOC117135458|XP_033151534.1|DMAU	CCAP1982_LOCUS20250|CAD7012153.1|CCAP
OG0002084	LOC117136838|XP_033153810.1|DMAU	CCAP1982_LOCUS20885|CAD7012782.1|CCAP
OG0002085	LOC117135979|XP_033152483.1|DMAU	CCAP1982_LOCUS20467|CAD7012373.1|CCAP
OG0002086	LOC117137380|XP_033154684.1|DMAU	CCAP1982_LOCUS20236|CAD7012138.1|CCAP
OG0002087	LOC117140674|XP_033159618.1|DMAU	CCAP1982_LOCUS318|CAD6991391.1|CCAP, CCAP1982_LOCUS324|CAD6991397.1|CCAP, CCAP1982_LOCUS14474|CAD7006146.1|CCAP, CCAP1982_LOCUS14470|CAD7006142.1|CCAP
OG0002088	LOC117139421|XP_033157598.1|DMAU	CCAP1982_LOCUS13994|CAD7005636.1|CCAP, CCAP1982_LOCUS13982|CAD7005624.1|CCAP, CCAP1982_LOCUS13981|CAD7005623.1|CCAP, CCAP1982_LOCUS13995|CAD7005637.1|CCAP
OG0002089	LOC117135899|XP_033152338.1|DMAU	CCAP1982_LOCUS19383|CAD7011275.1|CCAP
OG0002090	LOC117140720|XP_033159676.1|DMAU	CCAP1982_LOCUS14391|CAD7006056.1|CCAP
OG0002091	LOC117136441|XP_033153249.1|DMAU	CCAP1982_LOCUS19481|CAD7011380.1|CCAP
OG0002092	LOC117139311|XP_033157444.1|DMAU	CCAP1982_LOCUS14442|CAD7006110.1|CCAP
OG0002093	LOC117135903|XP_033152356.1|DMAU	CCAP1982_LOCUS19982|CAD7011870.1|CCAP, CCAP1982_LOCUS19983|CAD7011871.1|CCAP, CCAP1982_LOCUS19984|CAD7011872.1|CCAP
OG0002094	LOC117137217|XP_033154464.1|DMAU	CCAP1982_LOCUS20508|CAD7012424.1|CCAP
OG0002096	LOC117135507|XP_033151630.1|DMAU	CCAP1982_LOCUS20399|CAD7012303.1|CCAP
OG0002097	LOC117137562|XP_033154956.1|DMAU	CCAP1982_LOCUS20691|CAD7012607.1|CCAP
OG0002098	LOC117140567|XP_033159455.1|DMAU	CCAP1982_LOCUS11791|CAD7003331.1|CCAP
OG0002099	LOC117143878|XP_033164655.1|DMAU	CCAP1982_LOCUS1590|CAD6992745.1|CCAP
OG0002100	LOC117139954|XP_033158533.1|DMAU	CCAP1982_LOCUS13404|CAD7005032.1|CCAP
OG0002101	LOC117138227|XP_033156063.1|DMAU	CCAP1982_LOCUS20972|CAD7012873.1|CCAP
OG0002102	LOC117135858|XP_033152272.1|DMAU	CCAP1982_LOCUS20632|CAD7012547.1|CCAP
OG0002103	LOC117144196|XP_033165136.1|DMAU	CCAP1982_LOCUS1632|CAD6992793.1|CCAP, CCAP1982_LOCUS1642|CAD6992803.1|CCAP
OG0002105	LOC117146874|XP_033169358.1|DMAU	CCAP1982_LOCUS10109|CAD7001615.1|CCAP
OG0002106	LOC117143522|XP_033164136.1|DMAU	CCAP1982_LOCUS11799|CAD7003340.1|CCAP, CCAP1982_LOCUS1564|CAD6992719.1|CCAP, CCAP1982_LOCUS1559|CAD6992714.1|CCAP
OG0002107	LOC117136767|XP_033153707.1|DMAU	CCAP1982_LOCUS10008|CAD7001511.1|CCAP, CCAP1982_LOCUS9526|CAD7001054.1|CCAP, CCAP1982_LOCUS10007|CAD7001510.1|CCAP, CCAP1982_LOCUS10009|CAD7001512.1|CCAP, CCAP1982_LOCUS9531|CAD7001059.1|CCAP, CCAP1982_LOCUS10003|CAD7001506.1|CCAP, CCAP1982_LOCUS10006|CAD7001509.1|CCAP, CCAP1982_LOCUS9516|CAD7001044.1|CCAP, CCAP1982_LOCUS9271|CAD7000796.1|CCAP, CCAP1982_LOCUS9273|CAD7000798.1|CCAP, CCAP1982_LOCUS9272|CAD7000797.1|CCAP, CCAP1982_LOCUS9530|CAD7001058.1|CCAP, CCAP1982_LOCUS7926|CAD6999400.1|CCAP
OG0002108	LOC117144187|XP_033165126.1|DMAU	CCAP1982_LOCUS3025|CAD6994264.1|CCAP
OG0002109	LOC117144422|XP_033165455.1|DMAU, LOC117144215|XP_033165157.1|DMAU	CCAP1982_LOCUS1350|CAD6992499.1|CCAP
OG0002110	LOC117141970|XP_033161659.1|DMAU, LOC117150944|XP_033174003.1|DMAU	CCAP1982_LOCUS14266|CAD7005928.1|CCAP, CCAP1982_LOCUS11344|CAD7002875.1|CCAP, CCAP1982_LOCUS2317|CAD6993504.1|CCAP
OG0002117	LOC117137084|XP_033154204.1|DMAU	CCAP1982_LOCUS9994|CAD7001497.1|CCAP, CCAP1982_LOCUS9998|CAD7001501.1|CCAP
OG0002118	LOC117139879|XP_033158428.1|DMAU	CCAP1982_LOCUS4162|CAD6995445.1|CCAP
OG0002119	LOC117143195|XP_033163626.1|DMAU	CCAP1982_LOCUS1582|CAD6992737.1|CCAP
OG0002120	LOC117146332|XP_033168320.1|DMAU	CCAP1982_LOCUS9323|CAD7000849.1|CCAP, CCAP1982_LOCUS9817|CAD7001320.1|CCAP
OG0002121	LOC117145818|XP_033167510.1|DMAU	CCAP1982_LOCUS38|CAD6991090.1|CCAP, CCAP1982_LOCUS37|CAD6991089.1|CCAP
OG0002123	LOC117151022|XP_033174119.1|DMAU	CCAP1982_LOCUS8567|CAD7000064.1|CCAP, CCAP1982_LOCUS8568|CAD7000065.1|CCAP
OG0002125	LOC117135952|XP_033152436.1|DMAU	CCAP1982_LOCUS19878|CAD7011766.1|CCAP, CCAP1982_LOCUS19879|CAD7011767.1|CCAP
OG0002126	LOC117141211|XP_033160456.1|DMAU	CCAP1982_LOCUS14264|CAD7005926.1|CCAP
OG0002129	LOC117145980|XP_033167778.1|DMAU	CCAP1982_LOCUS1207|CAD6992343.1|CCAP
OG0002131	LOC117144400|XP_033165427.1|DMAU	CCAP1982_LOCUS1884|CAD6993052.1|CCAP
OG0002132	LOC117135483|XP_033151596.1|DMAU	CCAP1982_LOCUS5552|CAD6996879.1|CCAP
OG0002136	LOC117143359|XP_033163923.1|DMAU	CCAP1982_LOCUS2138|CAD6993322.1|CCAP
OG0002142	LOC117144311|XP_033165314.1|DMAU	CCAP1982_LOCUS1997|CAD6993175.1|CCAP
OG0002143	LOC117145346|XP_033166856.1|DMAU	CCAP1982_LOCUS9161|CAD7000687.1|CCAP
OG0002144	LOC117146334|XP_033168330.1|DMAU	CCAP1982_LOCUS13418|CAD7005047.1|CCAP
OG0002145	LOC117145142|XP_033166573.1|DMAU	CCAP1982_LOCUS622|CAD6991709.1|CCAP
OG0002146	LOC117142654|XP_033162669.1|DMAU	CCAP1982_LOCUS1665|CAD6992828.1|CCAP
OG0002148	LOC117141143|XP_033160366.1|DMAU	CCAP1982_LOCUS13092|CAD7004699.1|CCAP
OG0002149	LOC117146339|XP_033168354.1|DMAU	CCAP1982_LOCUS10222|CAD7001732.1|CCAP, CCAP1982_LOCUS10223|CAD7001733.1|CCAP, CCAP1982_LOCUS10221|CAD7001731.1|CCAP
OG0002152	LOC117143174|XP_033163579.1|DMAU	CCAP1982_LOCUS2091|CAD6993275.1|CCAP
OG0002153	LOC117142487|XP_033162403.1|DMAU	CCAP1982_LOCUS1613|CAD6992772.1|CCAP
OG0002154	LOC117146518|XP_033168676.1|DMAU	CCAP1982_LOCUS6308|CAD6997677.1|CCAP
OG0002155	LOC117145249|XP_033166721.1|DMAU	CCAP1982_LOCUS1752|CAD6992919.1|CCAP, CCAP1982_LOCUS1751|CAD6992918.1|CCAP, CCAP1982_LOCUS1753|CAD6992920.1|CCAP
OG0002156	LOC117140223|XP_033158912.1|DMAU	CCAP1982_LOCUS13759|CAD7005399.1|CCAP
OG0002157	LOC117142521|XP_033162455.1|DMAU	CCAP1982_LOCUS4056|CAD6995338.1|CCAP
OG0002159	LOC117138560|XP_033156610.1|DMAU	CCAP1982_LOCUS2713|CAD6993925.1|CCAP
OG0002160	LOC117143481|XP_033164084.1|DMAU	CCAP1982_LOCUS3058|CAD6994297.1|CCAP
OG0002161	LOC117143301|XP_033163797.1|DMAU	CCAP1982_LOCUS1659|CAD6992820.1|CCAP
OG0002162	LOC117143721|XP_033164412.1|DMAU	CCAP1982_LOCUS2186|CAD6993368.1|CCAP, CCAP1982_LOCUS2185|CAD6993367.1|CCAP
OG0002164	LOC117142312|XP_033162102.1|DMAU	CCAP1982_LOCUS11815|CAD7003356.1|CCAP
OG0002165	LOC117136887|XP_033153894.1|DMAU	CCAP1982_LOCUS3691|CAD6994959.1|CCAP
OG0002166	LOC117148065|XP_033171150.1|DMAU	CCAP1982_LOCUS6734|CAD6998123.1|CCAP
OG0002167	LOC117137327|XP_033154607.1|DMAU	CCAP1982_LOCUS19368|CAD7011260.1|CCAP
OG0002169	LOC117139479|XP_033157689.1|DMAU	CCAP1982_LOCUS12749|CAD7004330.1|CCAP
OG0002170	LOC117146283|XP_033168178.1|DMAU	CCAP1982_LOCUS10174|CAD7001683.1|CCAP, CCAP1982_LOCUS10177|CAD7001687.1|CCAP
OG0002171	LOC117142974|XP_033163215.1|DMAU	CCAP1982_LOCUS3355|CAD6994620.1|CCAP
OG0002172	LOC117143858|XP_033164613.1|DMAU	CCAP1982_LOCUS2672|CAD6993878.1|CCAP, CCAP1982_LOCUS2670|CAD6993876.1|CCAP
OG0002173	LOC117150496|XP_033173291.1|DMAU	CCAP1982_LOCUS7908|CAD6999382.1|CCAP
OG0002174	LOC117142374|XP_033162195.1|DMAU	CCAP1982_LOCUS2681|CAD6993887.1|CCAP
OG0002175	LOC117142376|XP_033162196.1|DMAU	CCAP1982_LOCUS2682|CAD6993889.1|CCAP
OG0002176	LOC117143104|XP_033163477.1|DMAU	CCAP1982_LOCUS1364|CAD6992515.1|CCAP
OG0002177	LOC117145174|XP_033166614.1|DMAU	CCAP1982_LOCUS3852|CAD6995130.1|CCAP
OG0002178	LOC117142631|XP_033162626.1|DMAU	CCAP1982_LOCUS1381|CAD6992532.1|CCAP
OG0002179	LOC117143717|XP_033164406.1|DMAU	CCAP1982_LOCUS3487|CAD6994754.1|CCAP
OG0002180	LOC117142604|XP_033162574.1|DMAU	CCAP1982_LOCUS1104|CAD6992234.1|CCAP, CCAP1982_LOCUS1116|CAD6992246.1|CCAP
OG0002182	LOC117145789|XP_033167460.1|DMAU	CCAP1982_LOCUS1440|CAD6992591.1|CCAP
OG0002183	LOC117135853|XP_033152263.1|DMAU	CCAP1982_LOCUS19379|CAD7011271.1|CCAP
OG0002184	LOC117142950|XP_033163165.1|DMAU	CCAP1982_LOCUS9213|CAD7000740.1|CCAP, CCAP1982_LOCUS2019|CAD6993197.1|CCAP
OG0002185	LOC117145552|XP_033167142.1|DMAU, LOC117145549|XP_033167135.1|DMAU	CCAP1982_LOCUS3699|CAD6994967.1|CCAP
OG0002186	LOC117150361|XP_033173112.1|DMAU	CCAP1982_LOCUS2857|CAD6994088.1|CCAP
OG0002187	LOC117144359|XP_033165367.1|DMAU	CCAP1982_LOCUS3865|CAD6995142.1|CCAP
OG0002188	LOC117136238|XP_033152914.1|DMAU	CCAP1982_LOCUS19577|CAD7011477.1|CCAP
OG0002189	LOC117140585|XP_033159482.1|DMAU	CCAP1982_LOCUS4100|CAD6995382.1|CCAP
OG0002191	LOC117138961|XP_033156894.1|DMAU	CCAP1982_LOCUS13802|CAD7005442.1|CCAP
OG0002192	LOC117139854|XP_033158394.1|DMAU	CCAP1982_LOCUS14127|CAD7005778.1|CCAP
OG0002193	LOC117143050|XP_033163390.1|DMAU	CCAP1982_LOCUS3660|CAD6994927.1|CCAP
OG0002194	LOC117143447|XP_033164045.1|DMAU	CCAP1982_LOCUS2698|CAD6993906.1|CCAP
OG0002195	LOC117144197|XP_033165137.1|DMAU	CCAP1982_LOCUS2686|CAD6993893.1|CCAP, CCAP1982_LOCUS2687|CAD6993894.1|CCAP
OG0002197	LOC117141192|XP_033160430.1|DMAU	CCAP1982_LOCUS3658|CAD6994925.1|CCAP
OG0002198	LOC117142567|XP_033162510.1|DMAU	CCAP1982_LOCUS4689|CAD6995982.1|CCAP
OG0002199	LOC117142862|XP_033163010.1|DMAU	CCAP1982_LOCUS2211|CAD6993395.1|CCAP
OG0002200	LOC117148560|XP_033171894.1|DMAU	CCAP1982_LOCUS3278|CAD6994535.1|CCAP, CCAP1982_LOCUS3279|CAD6994536.1|CCAP, CCAP1982_LOCUS3251|CAD6994507.1|CCAP
OG0002202	LOC117144448|XP_033165492.1|DMAU	CCAP1982_LOCUS1281|CAD6992417.1|CCAP
OG0002203	LOC117142371|XP_033162192.1|DMAU	CCAP1982_LOCUS2054|CAD6993237.1|CCAP
OG0002204	LOC117143196|XP_033163627.1|DMAU	CCAP1982_LOCUS1580|CAD6992735.1|CCAP
OG0002205	LOC117144730|XP_033165965.1|DMAU	CCAP1982_LOCUS2381|CAD6993569.1|CCAP
