Orthogroup	DMAU.longest_only	AAEG.longest_only
OG0001054	LOC117144668|XP_033165877.1|DMAU, LOC117144669|XP_033165878.1|DMAU	LOC5574413|XP_001655120.1|AAEG
OG0001055	LOC117144141|XP_033165058.1|DMAU, LOC117145345|XP_033166852.1|DMAU	LOC5567606|XP_001657583.2|AAEG
OG0001056	LOC117150848|XP_033173809.1|DMAU, LOC117147691|XP_033170569.1|DMAU	LOC5570986|XP_001659451.2|AAEG
OG0001057	LOC117143767|XP_033164484.1|DMAU	LOC5571397|XP_001653648.2|AAEG
OG0001058	LOC117147900|XP_033170898.1|DMAU	LOC5570053|XP_021707851.1|AAEG
OG0001059	LOC117140865|XP_033159894.1|DMAU	LOC5577278|XP_021706770.1|AAEG, LOC5577282|XP_001663322.2|AAEG
OG0001073	LOC117145592|XP_033167189.1|DMAU	LOC5563637|XP_021708988.1|AAEG, LOC5569408|XP_021703075.1|AAEG, LOC5578273|XP_021694310.1|AAEG, LOC5564186|XP_021708718.1|AAEG
OG0001074	LOC117137602|XP_033155011.1|DMAU	LOC5568441|XP_001652273.1|AAEG
OG0001077	LOC117139669|XP_033158037.1|DMAU, LOC117141255|XP_033160514.1|DMAU	LOC5578932|XP_021693197.1|AAEG, LOC110680824|XP_021712296.1|AAEG
OG0001078	LOC117147392|XP_033170152.1|DMAU	LOC5565588|XP_001649970.1|AAEG, LOC5573424|XP_021697821.1|AAEG
OG0001079	LOC117140380|XP_033159136.1|DMAU	LOC5575758|XP_001662179.2|AAEG
OG0001080	LOC117139716|XP_033158122.1|DMAU	LOC5563731|XP_001648022.2|AAEG
OG0001081	LOC117145921|XP_033167670.1|DMAU	LOC5571775|XP_001659906.2|AAEG, LOC5568116|XP_001652055.1|AAEG
OG0001082	LOC117137630|XP_033155053.1|DMAU	LOC5572898|XP_001654240.1|AAEG
OG0001083	LOC117147646|XP_033170507.1|DMAU, LOC117140875|XP_033159909.1|DMAU, LOC117148593|XP_033171962.1|DMAU, LOC117147840|XP_033170789.1|DMAU	LOC5566297|XP_001650674.2|AAEG
OG0001084	LOC117136168|XP_033152800.1|DMAU	LOC5567273|XP_021707529.1|AAEG, LOC5565651|XP_021696900.1|AAEG
OG0001085	LOC117138186|XP_033155976.1|DMAU	LOC5574897|XP_021697029.1|AAEG
OG0001086	LOC117143507|XP_033164119.1|DMAU, LOC117135450|XP_033151523.1|DMAU	LOC5573548|XP_001654683.1|AAEG
OG0001087	LOC117140923|XP_033160009.1|DMAU, LOC117137371|XP_033154668.1|DMAU	LOC110681082|XP_021712548.1|AAEG, LOC110681081|XP_021712547.1|AAEG, LOC5578606|XP_021697940.1|AAEG, LOC5565122|XP_021712549.1|AAEG
OG0001088	LOC117139743|XP_033158195.1|DMAU	LOC5574153|XP_001655060.1|AAEG, LOC5574154|XP_021698437.1|AAEG, LOC110676121|XP_021698436.1|AAEG, LOC5566830|XP_001651230.2|AAEG
OG0001089	LOC117139009|XP_033156993.1|DMAU	LOC5573682|XP_001661004.2|AAEG
OG0001090	LOC117141127|XP_033160341.1|DMAU	LOC5577314|XP_021699017.1|AAEG, LOC5578577|XP_021699015.1|AAEG, LOC5574562|XP_021699013.1|AAEG
OG0001092	LOC117149947|XP_033172740.1|DMAU	LOC5570895|XP_021700677.1|AAEG
OG0001093	LOC117150686|XP_033173589.1|DMAU	LOC110680777|XP_021712253.1|AAEG, LOC110676568|XP_021700678.1|AAEG, LOC5572918|XP_001654252.1|AAEG
OG0001094	LOC117148773|XP_033172264.1|DMAU	LOC5565811|XP_021695262.1|AAEG
OG0001095	LOC117136201|XP_033152841.1|DMAU	LOC23687873|XP_021701025.1|AAEG, LOC5565367|XP_001649745.1|AAEG, LOC5565366|XP_021701024.1|AAEG
OG0001096	LOC117146591|XP_033168805.1|DMAU	LOC5571654|XP_021701198.1|AAEG
OG0001097	LOC117138506|XP_033156529.1|DMAU	LOC5570690|XP_001659280.2|AAEG
OG0001098	LOC117139252|XP_033157358.1|DMAU	LOC5567389|XP_001651791.1|AAEG
OG0001099	LOC117141294|XP_033160564.1|DMAU	LOC5579278|XP_001647586.2|AAEG
OG0001100	LOC117139977|XP_033158570.1|DMAU	LOC5575334|XP_001655711.1|AAEG
OG0001101	LOC117138569|XP_033156630.1|DMAU	LOC5578976|XP_021704495.1|AAEG
OG0001102	LOC117138978|XP_033156936.1|DMAU	LOC5572716|XP_021705283.1|AAEG, LOC5577310|XP_021711284.1|AAEG
OG0001103	LOC117143515|XP_033164129.1|DMAU	LOC5578111|XP_001656809.1|AAEG, LOC5578112|XP_001656810.1|AAEG
OG0001104	LOC117136429|XP_033153234.1|DMAU	LOC5566543|XP_001650938.1|AAEG, LOC110680201|XP_021711712.1|AAEG
OG0001105	LOC117147234|XP_033169937.1|DMAU, LOC117137695|XP_033155155.1|DMAU	LOC5566551|XP_001650928.1|AAEG
OG0001106	LOC117146335|XP_033168337.1|DMAU, LOC117146336|XP_033168344.1|DMAU	LOC5565423|XP_001649806.1|AAEG, LOC5565437|XP_021710521.1|AAEG
OG0001118	LOC117146542|XP_033168722.1|DMAU, LOC117147662|XP_033170529.1|DMAU	LOC5576587|XP_001656164.1|AAEG
OG0001119	LOC117140618|XP_033159525.1|DMAU	LOC5578575|XP_001663964.2|AAEG, LOC5578993|XP_001664172.2|AAEG
OG0001120	LOC117142265|XP_033162022.1|DMAU	LOC5579964|XP_021694051.1|AAEG, LOC5579967|XP_021694034.1|AAEG
OG0001121	LOC117135704|XP_033152011.1|DMAU	LOC5576746|XP_021695668.1|AAEG
OG0001122	LOC117139749|XP_033158201.1|DMAU	LOC5580002|XP_021696287.1|AAEG
OG0001124	LOC117144496|XP_033165574.1|DMAU, LOC117143886|XP_033164675.1|DMAU	LOC5566358|XP_011493024.2|AAEG
OG0001125	LOC117145250|XP_033166722.1|DMAU	LOC5564459|XP_001648807.1|AAEG, LOC5564448|XP_021697773.1|AAEG
OG0001127	LOC117139129|XP_033157170.1|DMAU	LOC110676270|XP_021699174.1|AAEG, LOC5577767|XP_001663540.2|AAEG
OG0001128	LOC117137883|XP_033155504.1|DMAU	LOC5569022|XP_021699805.1|AAEG, LOC5568978|XP_001658266.2|AAEG, LOC110680432|XP_021711921.1|AAEG
OG0001129	LOC117137095|XP_033154311.1|DMAU	LOC5580253|XP_021700216.1|AAEG
OG0001130	LOC117148663|XP_033172071.1|DMAU, LOC117150150|XP_033172843.1|DMAU, LOC117150147|XP_033172841.1|DMAU	LOC5565380|XP_001649719.1|AAEG
OG0001131	LOC117146307|XP_033168237.1|DMAU	LOC5569186|XP_021701055.1|AAEG, LOC5569188|XP_021701062.1|AAEG, LOC5569187|XP_021701057.1|AAEG
OG0001133	LOC117146590|XP_033168841.1|DMAU	LOC5567743|XP_021702162.1|AAEG
OG0001134	LOC117136270|XP_033152990.1|DMAU	LOC5566394|XP_001650777.2|AAEG
OG0001135	LOC117144238|XP_033165198.1|DMAU	LOC110681483|XP_021712937.1|AAEG, LOC5577456|XP_001663382.1|AAEG, LOC5578027|XP_001656767.1|AAEG
OG0001136	LOC117146122|XP_033168010.1|DMAU	LOC5576263|XP_021705682.1|AAEG
OG0001137	LOC117145541|XP_033167127.1|DMAU	LOC110680734|XP_021712217.1|AAEG, LOC5578514|XP_001663904.1|AAEG
OG0001138	LOC117139717|XP_033158123.1|DMAU	LOC5572135|XP_021705094.1|AAEG
OG0001139	LOC117142102|XP_033161878.1|DMAU	LOC5574958|XP_021709947.1|AAEG
OG0001153	LOC117136781|XP_033153723.1|DMAU, LOC117140045|XP_033158669.1|DMAU	LOC110679098|XP_021708772.1|AAEG
OG0001154	LOC117141760|XP_033161279.1|DMAU	LOC5568239|XP_021701587.1|AAEG, LOC5570838|XP_021694225.1|AAEG, LOC110679193|XP_021708992.1|AAEG, LOC23687831|XP_021702807.1|AAEG, LOC110676973|XP_021702808.1|AAEG, LOC5576517|XP_001662707.2|AAEG, LOC5571238|XP_021704526.1|AAEG, LOC5573547|XP_001654682.2|AAEG, LOC5568242|XP_021712402.1|AAEG, LOC110675196|XP_021695299.1|AAEG, LOC110675139|XP_021695212.1|AAEG
OG0001155	LOC117147133|XP_033169802.1|DMAU	LOC5572551|XP_021698157.1|AAEG
OG0001157	LOC117142764|XP_033162836.1|DMAU	LOC5575867|XP_021704769.1|AAEG
OG0001158	LOC117140202|XP_033158882.1|DMAU	LOC5579227|XP_001664307.1|AAEG
OG0001159	LOC117145378|XP_033166894.1|DMAU	LOC5577246|XP_021710377.1|AAEG
OG0001160	LOC117145793|XP_033167469.1|DMAU	LOC5577411|XP_001656491.2|AAEG
OG0001161	LOC117143257|XP_033163717.1|DMAU	LOC5566642|XP_021711748.1|AAEG
OG0001162	LOC117142422|XP_033162273.1|DMAU	LOC5576344|XP_021693313.1|AAEG
OG0001164	LOC117145632|XP_033167243.1|DMAU	LOC5575602|XP_001662091.2|AAEG
OG0001165	LOC117138556|XP_033156607.1|DMAU	LOC5565600|XP_021693794.1|AAEG
OG0001167	LOC117137870|XP_033155479.1|DMAU	LOC5577554|XP_021696671.1|AAEG
OG0001168	LOC117135764|XP_033152120.1|DMAU	LOC5572693|XP_001660512.1|AAEG
OG0001169	LOC117148354|XP_033171603.1|DMAU	LOC5567092|XP_021697463.1|AAEG, LOC5566849|XP_001651270.2|AAEG
OG0001170	LOC117143475|XP_033164080.1|DMAU	LOC5568877|XP_001652599.2|AAEG
OG0001171	LOC117138994|XP_033156955.1|DMAU	LOC5572977|XP_021698415.1|AAEG
OG0001172	LOC117136589|XP_033153453.1|DMAU	LOC5566033|XP_021698883.1|AAEG
OG0001173	LOC117142538|XP_033162477.1|DMAU	LOC5576977|XP_001663072.2|AAEG
OG0001174	LOC117139876|XP_033158424.1|DMAU	LOC5569279|XP_001652811.1|AAEG
OG0001175	LOC117136286|XP_033153012.1|DMAU	LOC5574385|XP_001661410.2|AAEG
OG0001176	LOC117135787|XP_033152166.1|DMAU	LOC5571149|XP_021700283.1|AAEG
OG0001177	LOC117138273|XP_033156135.1|DMAU	LOC5569526|XP_021704024.1|AAEG
OG0001178	LOC117136036|XP_033152550.1|DMAU	LOC110676927|XP_021702495.1|AAEG
OG0001179	LOC117137140|XP_033154331.1|DMAU	LOC5577540|XP_001656556.3|AAEG
OG0001180	LOC117146295|XP_033168200.1|DMAU	LOC5568068|XP_001652002.1|AAEG
OG0001181	LOC117139857|XP_033158398.1|DMAU	LOC5575371|XP_001661902.2|AAEG
OG0001182	LOC117145299|XP_033166782.1|DMAU	LOC5571228|XP_001653528.1|AAEG, LOC5571227|XP_021707004.1|AAEG
OG0001183	LOC117143015|XP_033163273.1|DMAU	LOC5564518|XP_021705619.1|AAEG
OG0001185	LOC117144514|XP_033165622.1|DMAU, LOC117144512|XP_033165601.1|DMAU	LOC5575995|XP_021707351.1|AAEG
OG0001186	LOC117142573|XP_033162532.1|DMAU	LOC5568008|XP_021708299.1|AAEG
OG0001187	LOC117137936|XP_033155583.1|DMAU	LOC5578526|XP_001663917.1|AAEG, LOC5578524|XP_001663915.2|AAEG
OG0001188	LOC117136156|XP_033152768.1|DMAU	LOC5579654|XP_001648128.2|AAEG
OG0001189	LOC117137352|XP_033154641.1|DMAU	LOC5565498|XP_021705339.1|AAEG, LOC5568971|XP_001652631.2|AAEG
OG0001190	LOC117148909|XP_033172510.1|DMAU	LOC5565484|XP_021707036.1|AAEG, LOC110680425|XP_021711915.1|AAEG, LOC5565483|XP_021706750.1|AAEG
OG0001191	LOC117147354|XP_033170111.1|DMAU	LOC5574691|XP_021708304.1|AAEG, LOC5574688|XP_021707897.1|AAEG
OG0001192	LOC117150487|XP_033173281.1|DMAU	LOC5563930|XP_021705115.1|AAEG
OG0001193	LOC117143581|XP_033164220.1|DMAU	LOC5572088|XP_001660168.1|AAEG, LOC110680475|XP_021711974.1|AAEG
OG0001194	LOC117148665|XP_033172069.1|DMAU, LOC117148662|XP_033172067.1|DMAU	LOC5578080|XP_001656773.1|AAEG
OG0001195	LOC117136540|XP_033153382.1|DMAU	LOC5568267|XP_001657964.2|AAEG
OG0001201	LOC117142848|XP_033162973.1|DMAU	LOC5564649|XP_001648985.2|AAEG, LOC5572031|XP_001660136.1|AAEG, LOC110678423|XP_021706974.1|AAEG, LOC5564633|XP_001648987.2|AAEG
OG0001202	LOC117147733|XP_033170622.1|DMAU, LOC117147728|XP_033170619.1|DMAU	LOC5572017|XP_001660128.1|AAEG
OG0001203	LOC117146265|XP_033168130.1|DMAU	LOC5574322|XP_021694574.1|AAEG, LOC110681443|XP_021712896.1|AAEG, LOC110674735|XP_021694562.1|AAEG
OG0001204	LOC117139772|XP_033158274.1|DMAU	LOC5574716|XP_001655300.2|AAEG
OG0001205	LOC117142990|XP_033163233.1|DMAU	LOC5575088|XP_001661798.1|AAEG
OG0001206	LOC117145892|XP_033167624.1|DMAU	LOC5572256|XP_021695027.1|AAEG
OG0001207	LOC117147117|XP_033169776.1|DMAU	LOC5578378|XP_021695131.1|AAEG
OG0001208	LOC117146812|XP_033169253.1|DMAU	LOC5576373|XP_021695474.1|AAEG
OG0001209	LOC117143553|XP_033164185.1|DMAU	LOC5579262|XP_021696013.1|AAEG, LOC5571213|XP_021696002.1|AAEG
OG0001210	LOC117148006|XP_033171056.1|DMAU	LOC5576886|XP_021703422.1|AAEG, LOC5576881|XP_021703451.1|AAEG
OG0001212	LOC117146758|XP_033169145.1|DMAU	LOC5580010|XP_001653890.2|AAEG
OG0001213	LOC117144782|XP_033166042.1|DMAU	LOC5564694|XP_021692994.1|AAEG, LOC5564683|XP_001649031.3|AAEG, LOC5564679|XP_001649029.3|AAEG, LOC5564684|XP_001649030.2|AAEG
OG0001214	LOC117142676|XP_033162706.1|DMAU	LOC5576401|XP_001662611.1|AAEG
OG0001215	LOC117145244|XP_033166716.1|DMAU	LOC5573442|XP_021693624.1|AAEG, LOC5573437|XP_021693618.1|AAEG
OG0001216	LOC117142586|XP_033162547.1|DMAU	LOC5564193|XP_001648534.2|AAEG, LOC5576567|XP_021693630.1|AAEG
OG0001217	LOC117138113|XP_033155907.1|DMAU	LOC5564004|XP_021693760.1|AAEG
OG0001218	LOC117142256|XP_033162009.1|DMAU	LOC5578916|XP_001657200.2|AAEG, LOC110674344|XP_021694332.1|AAEG
OG0001220	LOC117137745|XP_033155220.1|DMAU	LOC5568477|XP_001652310.1|AAEG, LOC5568476|XP_021695984.1|AAEG
OG0001221	LOC117137636|XP_033155058.1|DMAU	LOC23687552|XP_021696190.1|AAEG, LOC5579458|XP_021696193.1|AAEG, LOC110676294|XP_021699295.1|AAEG, LOC110676293|XP_021699294.1|AAEG
OG0001223	LOC117138446|XP_033156450.1|DMAU	LOC5576043|XP_001662373.2|AAEG
OG0001224	LOC117137597|XP_033154999.1|DMAU	LOC110681315|XP_021712765.1|AAEG, LOC5565487|XP_001649850.1|AAEG
OG0001225	LOC117135503|XP_033151618.1|DMAU	LOC5575931|XP_021699426.1|AAEG, LOC5575933|XP_001655925.2|AAEG
OG0001226	LOC117135732|XP_033152067.1|DMAU	LOC5578269|XP_001663796.1|AAEG
OG0001227	LOC117144657|XP_033165851.1|DMAU	LOC5574306|XP_001655087.1|AAEG
OG0001228	LOC117147312|XP_033170050.1|DMAU	LOC5572246|XP_001653940.1|AAEG
OG0001229	LOC117136207|XP_033152853.1|DMAU	LOC5572327|XP_021701837.1|AAEG
OG0001230	LOC117135745|XP_033152086.1|DMAU	LOC5564611|XP_021701962.1|AAEG
OG0001231	LOC117145595|XP_033167204.1|DMAU	LOC5576034|XP_001655975.1|AAEG
OG0001232	LOC117150641|XP_033173507.1|DMAU	LOC5573898|XP_001654934.2|AAEG
OG0001233	LOC117150670|XP_033173561.1|DMAU	LOC5573900|XP_021703334.1|AAEG
OG0001234	LOC117137741|XP_033155215.1|DMAU	LOC5567996|XP_001657823.1|AAEG
OG0001235	LOC117150322|XP_033173051.1|DMAU	LOC5568075|XP_001652011.2|AAEG, LOC5568073|XP_011493035.2|AAEG
OG0001236	LOC117140025|XP_033158647.1|DMAU	LOC5575375|XP_021706184.1|AAEG, LOC110681257|XP_021712720.1|AAEG
OG0001237	LOC117140868|XP_033159898.1|DMAU, LOC117145515|XP_033167095.1|DMAU	LOC5579027|XP_021708950.1|AAEG
OG0001238	LOC117142360|XP_033162175.1|DMAU	LOC5573338|XP_021705177.1|AAEG
OG0001239	LOC117143288|XP_033163760.1|DMAU	LOC5570022|XP_021709007.1|AAEG, LOC5565203|XP_021706967.1|AAEG, LOC5577994|XP_021707759.1|AAEG
OG0001240	LOC117145127|XP_033166538.1|DMAU	LOC5575403|XP_001661923.2|AAEG, LOC5575404|XP_021707219.1|AAEG, LOC5575406|XP_021707233.1|AAEG
OG0001241	LOC117138021|XP_033155719.1|DMAU	LOC5573887|XP_021709538.1|AAEG
OG0001242	LOC117146832|XP_033169277.1|DMAU	LOC5563955|XP_001648308.1|AAEG
OG0001244	LOC117142718|XP_033162771.1|DMAU	LOC110677631|XP_021704120.1|AAEG
OG0001245	LOC117145201|XP_033166654.1|DMAU	LOC5574238|XP_001661286.2|AAEG
OG0001246	LOC117138120|XP_033155872.1|DMAU	LOC5566857|XP_021710437.1|AAEG, LOC5566854|XP_001651279.2|AAEG, LOC5566856|XP_001651282.2|AAEG
OG0001247	LOC117138439|XP_033156440.1|DMAU	LOC5566538|XP_021708940.1|AAEG
OG0001248	LOC117141138|XP_033160360.1|DMAU	LOC5565422|XP_021710530.1|AAEG
OG0001249	LOC117148190|XP_033171350.1|DMAU	LOC5569493|XP_021711683.1|AAEG
OG0001257	LOC117146323|XP_033168280.1|DMAU	LOC5574316|XP_021694563.1|AAEG
OG0001258	LOC117144508|XP_033165589.1|DMAU	LOC5577550|XP_001663426.1|AAEG
OG0001259	LOC117147027|XP_033169611.1|DMAU	LOC5573522|XP_021703730.1|AAEG, LOC110678884|XP_021708156.1|AAEG
OG0001260	LOC117144726|XP_033165960.1|DMAU	LOC5571803|XP_001659934.2|AAEG, LOC5571799|XP_021709524.1|AAEG
OG0001261	LOC117146601|XP_033168816.1|DMAU	LOC5572383|XP_001654039.1|AAEG
OG0001263	LOC117142271|XP_033162038.1|DMAU	LOC5572162|XP_021701521.1|AAEG
OG0001264	LOC117151015|XP_033174112.1|DMAU	LOC5575506|XP_021702723.1|AAEG, LOC5576313|XP_021702589.1|AAEG
OG0001265	LOC117146840|XP_033169286.1|DMAU	LOC110677665|XP_021704331.1|AAEG
OG0001266	LOC117135964|XP_033152457.1|DMAU	LOC110681386|XP_021712818.1|AAEG, LOC5575369|XP_001661899.2|AAEG, LOC5565134|XP_021710211.1|AAEG, LOC110680911|XP_021712391.1|AAEG, LOC5566192|XP_021712276.1|AAEG
OG0001267	LOC117145054|XP_033166454.1|DMAU	LOC5577500|XP_021711550.1|AAEG, LOC5577506|XP_021711759.1|AAEG
OG0001269	LOC117136556|XP_033153400.1|DMAU	LOC5578532|XP_001663924.1|AAEG
OG0001270	LOC117145234|XP_033166699.1|DMAU	LOC5579659|XP_021706346.1|AAEG, LOC5576400|XP_001662612.2|AAEG
OG0001271	LOC117136325|XP_033153070.1|DMAU	LOC110675398|XP_021696016.1|AAEG, LOC5573476|XP_021696019.1|AAEG
OG0001272	LOC117139445|XP_033157641.1|DMAU	LOC5576415|XP_001656118.2|AAEG
OG0001273	LOC117144074|XP_033164975.1|DMAU	LOC5568324|XP_001652203.1|AAEG, LOC5574558|XP_001661508.2|AAEG, LOC5579347|XP_001647653.1|AAEG
OG0001274	LOC117139532|XP_033157793.1|DMAU	LOC5573423|XP_021697822.1|AAEG, LOC5573422|XP_001654598.1|AAEG
OG0001276	LOC117140779|XP_033159755.1|DMAU	LOC5574001|XP_021698011.1|AAEG
OG0001277	LOC117140824|XP_033159822.1|DMAU	LOC5573676|XP_021698208.1|AAEG
OG0001278	LOC117141025|XP_033160192.1|DMAU	LOC5564225|XP_021698341.1|AAEG
OG0001279	LOC117139579|XP_033157879.1|DMAU	LOC110680939|XP_021712413.1|AAEG, LOC5564226|XP_001648567.1|AAEG
OG0001280	LOC117141774|XP_033161295.1|DMAU	LOC5570785|XP_001653294.1|AAEG
OG0001281	LOC117141245|XP_033160502.1|DMAU	LOC5574271|XP_021698956.1|AAEG, LOC5574268|XP_021698957.1|AAEG
OG0001282	LOC117136399|XP_033153189.1|DMAU	LOC5563618|XP_001647854.2|AAEG
OG0001283	LOC117138593|XP_033156665.1|DMAU	LOC5577288|XP_021699171.1|AAEG
OG0001284	LOC117137290|XP_033154555.1|DMAU	LOC5571151|XP_001653462.1|AAEG
OG0001285	LOC117139924|XP_033158499.1|DMAU	LOC5569141|XP_001652750.1|AAEG, LOC5568649|XP_021700323.1|AAEG
OG0001286	LOC117144084|XP_033164993.1|DMAU	LOC5564989|XP_001649339.1|AAEG
OG0001287	LOC117146100|XP_033167971.1|DMAU	LOC110676842|XP_021701923.1|AAEG, LOC5577104|XP_021701924.1|AAEG, LOC5568562|XP_021710811.1|AAEG
OG0001288	LOC117150199|XP_033172880.1|DMAU	LOC5567008|XP_021703513.1|AAEG
OG0001289	LOC117150534|XP_033173349.1|DMAU	LOC5568175|XP_001652111.2|AAEG
OG0001290	LOC117150514|XP_033173321.1|DMAU	LOC110675257|XP_021695397.1|AAEG, LOC5569762|XP_021704073.1|AAEG
OG0001291	LOC117135519|XP_033151670.1|DMAU	LOC5566684|XP_001651086.1|AAEG
OG0001292	LOC117138561|XP_033156611.1|DMAU	LOC5568574|XP_021711516.1|AAEG, LOC5568577|XP_021711532.1|AAEG, LOC5570321|XP_001653147.2|AAEG
OG0001293	LOC117147210|XP_033169914.1|DMAU	LOC5571889|XP_001653807.1|AAEG
OG0001294	LOC117144437|XP_033165475.1|DMAU	LOC5575103|XP_001661825.1|AAEG
OG0001295	LOC117148713|XP_033172153.1|DMAU	LOC5568526|XP_001652354.1|AAEG
OG0001296	LOC117136188|XP_033152825.1|DMAU	LOC5566412|XP_021706306.1|AAEG
OG0001297	LOC117143113|XP_033163487.1|DMAU	LOC110680522|XP_021712011.1|AAEG, LOC5570070|XP_001653056.1|AAEG
OG0001298	LOC117145398|XP_033166926.1|DMAU	LOC5567321|XP_021706418.1|AAEG, LOC5572310|XP_021710720.1|AAEG, LOC5578735|XP_021707558.1|AAEG
OG0001299	LOC117140247|XP_033158940.1|DMAU	LOC5574559|XP_021704813.1|AAEG, LOC5567394|XP_021706377.1|AAEG
OG0001300	LOC117145814|XP_033167506.1|DMAU	LOC5579186|XP_001664282.1|AAEG
OG0001301	LOC117150485|XP_033173275.1|DMAU	LOC5569995|XP_001658885.2|AAEG, LOC5569998|XP_021707205.1|AAEG
OG0001302	LOC117137477|XP_033154841.1|DMAU	LOC5564892|XP_021705408.1|AAEG
OG0001303	LOC117144495|XP_033165573.1|DMAU, LOC117143885|XP_033164674.1|DMAU	LOC5575416|XP_001661937.2|AAEG
OG0001304	LOC117135821|XP_033152220.1|DMAU	LOC5572317|XP_021709111.1|AAEG
OG0001305	LOC117145235|XP_033166701.1|DMAU	LOC5569430|XP_021710293.1|AAEG
OG0001306	LOC117144423|XP_033165456.1|DMAU	LOC5575994|XP_021707386.1|AAEG
OG0001307	LOC117139434|XP_033157621.1|DMAU	LOC5569652|XP_001652914.1|AAEG, LOC110673996|XP_021712917.1|AAEG
OG0001308	LOC117147216|XP_033169921.1|DMAU, LOC117148458|XP_033171720.1|DMAU	LOC5564183|XP_021710068.1|AAEG
OG0001309	LOC117146052|XP_033167882.1|DMAU	LOC5578478|XP_001657001.1|AAEG, LOC110678731|XP_021707688.1|AAEG, LOC5578477|XP_001657000.2|AAEG, LOC110678628|XP_021707438.1|AAEG
OG0001311	LOC117148484|XP_033171755.1|DMAU	LOC5569532|XP_021706093.1|AAEG
OG0001312	LOC117140140|XP_033158799.1|DMAU, LOC117140142|XP_033158800.1|DMAU	LOC110680920|XP_021712398.1|AAEG, LOC5579662|XP_001648136.1|AAEG
OG0001313	LOC117136606|XP_033153482.1|DMAU	LOC5578093|XP_001656789.2|AAEG
OG0001326	LOC117143150|XP_033163539.1|DMAU	LOC5573308|XP_021709312.1|AAEG, LOC5569122|XP_021693345.1|AAEG, LOC5580073|XP_001654814.1|AAEG, LOC5564577|XP_001648938.1|AAEG
OG0001328	LOC117147759|XP_033170669.1|DMAU	LOC5575093|XP_001661817.1|AAEG, LOC5573724|XP_021694929.1|AAEG
OG0001329	LOC117147856|XP_033170822.1|DMAU	LOC5579474|XP_001647772.2|AAEG
OG0001330	LOC117146784|XP_033169202.1|DMAU	LOC5565026|XP_021712659.1|AAEG, LOC5579479|XP_021697265.1|AAEG
OG0001331	LOC117148048|XP_033171124.1|DMAU	LOC5578307|XP_021693230.1|AAEG, LOC5578306|XP_001656898.2|AAEG, LOC5570111|XP_001653091.2|AAEG
OG0001332	LOC117147795|XP_033170735.1|DMAU	LOC5571993|XP_021699097.1|AAEG, LOC110676249|XP_021699084.1|AAEG
OG0001333	LOC117150795|XP_033173740.1|DMAU	LOC5565276|XP_021701702.1|AAEG, LOC5565260|XP_021701714.1|AAEG
OG0001334	LOC117144636|XP_033165822.1|DMAU	LOC5568678|XP_001658093.2|AAEG, LOC5568674|XP_021703072.1|AAEG
OG0001335	LOC117144751|XP_033165998.1|DMAU	LOC5565031|XP_001649402.2|AAEG, LOC5565073|XP_021705369.1|AAEG
OG0001337	LOC117146432|XP_033168530.1|DMAU	LOC5571583|XP_021707527.1|AAEG
OG0001338	LOC117138576|XP_033156639.1|DMAU	LOC5577517|XP_021711315.1|AAEG, LOC110673984|XP_001656538.2|AAEG
OG0001339	LOC117138676|XP_033156818.1|DMAU	LOC5577497|XP_021711599.1|AAEG, LOC5571779|XP_001659911.2|AAEG
OG0001340	LOC117141377|XP_033160676.1|DMAU	LOC5575707|XP_001662155.1|AAEG, LOC5572595|XP_021713033.1|AAEG
OG0001341	LOC117146020|XP_033167842.1|DMAU	LOC5578941|XP_001657229.1|AAEG
OG0001344	LOC117142321|XP_033162119.1|DMAU	LOC5572158|XP_021693679.1|AAEG, LOC5575465|XP_021693677.1|AAEG
OG0001345	LOC117143223|XP_033163663.1|DMAU	LOC5565630|XP_001649986.2|AAEG, LOC5576523|XP_001662716.2|AAEG
OG0001346	LOC117144484|XP_033165555.1|DMAU	LOC5564378|XP_021693779.1|AAEG
OG0001347	LOC117147918|XP_033170926.1|DMAU	LOC5575230|XP_001655636.2|AAEG
OG0001348	LOC117146570|XP_033168761.1|DMAU	LOC5564709|XP_001649052.1|AAEG
OG0001349	LOC117140871|XP_033159900.1|DMAU	LOC5564096|XP_021696524.1|AAEG
OG0001350	LOC117140188|XP_033158854.1|DMAU	LOC5569213|XP_021696606.1|AAEG
OG0001351	LOC117135564|XP_033151762.1|DMAU	LOC5574289|XP_001661326.1|AAEG
OG0001352	LOC117138579|XP_033156643.1|DMAU	LOC5574802|XP_021697012.1|AAEG
OG0001353	LOC117140837|XP_033159836.1|DMAU	LOC5566373|XP_001650785.1|AAEG, LOC5568325|XP_001652204.1|AAEG
OG0001354	LOC117135867|XP_033152289.1|DMAU	LOC5573660|XP_021697339.1|AAEG
OG0001355	LOC117136014|XP_033152522.1|DMAU	LOC5565624|XP_001649979.1|AAEG
OG0001356	LOC117144134|XP_033165050.1|DMAU	LOC5571699|XP_001659842.2|AAEG, LOC5571704|XP_021695196.1|AAEG, LOC5572766|XP_021697637.1|AAEG
OG0001357	LOC117140957|XP_033160069.1|DMAU	LOC5564469|XP_001648811.1|AAEG
OG0001358	LOC117139186|XP_033157244.1|DMAU	LOC5573425|XP_021697813.1|AAEG, LOC110681441|XP_021712887.1|AAEG
OG0001359	LOC117146447|XP_033168562.1|DMAU	LOC5563725|XP_021698111.1|AAEG, LOC5563726|XP_001648011.1|AAEG
