Orthogroup	DMAU.longest_only	CPIP.longest_only
OG0001861	LOC117144970|XP_033166322.1|DMAU	LOC120414178|XP_039431186.1|CPIP
OG0001862	LOC117147352|XP_033170106.1|DMAU	LOC120424282|XP_039444287.1|CPIP, LOC120424297|XP_039444314.1|CPIP
OG0001863	LOC117146761|XP_033169150.1|DMAU	LOC120424288|XP_039444295.1|CPIP
OG0001864	LOC117144458|XP_033165504.1|DMAU	LOC120417696|XP_039435771.1|CPIP
OG0001865	LOC117148095|XP_033171198.1|DMAU	LOC120432161|XP_039453263.1|CPIP
OG0001866	LOC117144886|XP_033166194.1|DMAU	LOC120424588|XP_039444715.1|CPIP
OG0001867	LOC117141083|XP_033160273.1|DMAU	LOC120424690|XP_039444799.1|CPIP, LOC120413652|XP_039430503.1|CPIP
OG0001868	LOC117137783|XP_033155301.1|DMAU	LOC120424695|XP_039444808.1|CPIP
OG0001869	LOC117145210|XP_033166666.1|DMAU	LOC120425313|XP_039445713.1|CPIP
OG0001870	LOC117148788|XP_033172289.1|DMAU	LOC120424530|XP_039444625.1|CPIP
OG0001871	LOC117148942|XP_033172558.1|DMAU	LOC120432495|XP_039453645.1|CPIP
OG0001872	LOC117145282|XP_033166761.1|DMAU	LOC120416400|XP_039434080.1|CPIP
OG0001873	LOC117143067|XP_033163416.1|DMAU	LOC120415625|XP_039433159.1|CPIP
OG0001874	LOC117143203|XP_033163639.1|DMAU	LOC120416923|XP_039434763.1|CPIP
OG0001875	LOC117144951|XP_033166299.1|DMAU	LOC120418476|XP_039436877.1|CPIP, LOC120423876|XP_039443758.1|CPIP
OG0001876	LOC117146430|XP_033168528.1|DMAU	LOC120418093|XP_039436295.1|CPIP, LOC120419900|XP_039438702.1|CPIP
OG0001877	LOC117147395|XP_033170155.1|DMAU	LOC120418096|XP_039436298.1|CPIP, LOC120419899|XP_039438701.1|CPIP
OG0001878	LOC117143973|XP_033164800.1|DMAU	LOC120426437|XP_039447133.1|CPIP
OG0001879	LOC117143194|XP_033163621.1|DMAU	LOC120427444|XP_039448246.1|CPIP
OG0001880	LOC117143107|XP_033163480.1|DMAU	LOC120417856|XP_039436010.1|CPIP
OG0001881	LOC117143780|XP_033164504.1|DMAU	LOC120417206|XP_039435105.1|CPIP
OG0001882	LOC117143895|XP_033164690.1|DMAU	LOC120417207|XP_039435107.1|CPIP
OG0001883	LOC117145908|XP_033167653.1|DMAU	LOC120429671|XP_039450634.1|CPIP, LOC120424512|XP_039444600.1|CPIP
OG0001884	LOC117144102|XP_033165011.1|DMAU	LOC120427183|XP_039447981.1|CPIP
OG0001886	LOC117142439|XP_033162294.1|DMAU	LOC120426734|XP_039447440.1|CPIP
OG0001887	LOC117138376|XP_033156335.1|DMAU	LOC120421810|XP_039441022.1|CPIP, LOC120420156|XP_039439056.1|CPIP
OG0001888	LOC117145098|XP_033166508.1|DMAU	LOC120421794|XP_039440999.1|CPIP
OG0001889	LOC117147800|XP_033170741.1|DMAU	LOC120421817|XP_039441029.1|CPIP
OG0001890	LOC117139848|XP_033158386.1|DMAU	LOC120421819|XP_039441031.1|CPIP
OG0001891	LOC117144169|XP_033165102.1|DMAU	LOC120421797|XP_039441002.1|CPIP
OG0001892	LOC117139156|XP_033157206.1|DMAU	LOC120415681|XP_039433204.1|CPIP
OG0001893	LOC117143031|XP_033163311.1|DMAU	LOC120425738|XP_039446277.1|CPIP
OG0001894	LOC117137008|XP_033154087.1|DMAU	LOC120425748|XP_039446287.1|CPIP
OG0001895	LOC117146235|XP_033168031.1|DMAU	LOC120418343|XP_039436626.1|CPIP
OG0001896	LOC117137794|XP_033155349.1|DMAU	LOC120415694|XP_039433223.1|CPIP
OG0001897	LOC117146040|XP_033167868.1|DMAU	LOC120427898|XP_039448767.1|CPIP
OG0001898	LOC117148600|XP_033171972.1|DMAU, LOC117148601|XP_033171973.1|DMAU	LOC120416658|XP_039434404.1|CPIP
OG0001899	LOC117143115|XP_033163491.1|DMAU	LOC120428908|XP_039449983.1|CPIP
OG0001900	LOC117140396|XP_033159154.1|DMAU	LOC120416618|XP_039434352.1|CPIP
OG0001901	LOC117150513|XP_033173313.1|DMAU	LOC120426679|XP_039447386.1|CPIP
OG0001902	LOC117141917|XP_033161537.1|DMAU	LOC120431651|XP_039452692.1|CPIP
OG0001903	LOC117143453|XP_033164053.1|DMAU	LOC120430274|XP_039451297.1|CPIP
OG0001904	LOC117145527|XP_033167110.1|DMAU	LOC120432505|XP_039453659.1|CPIP, LOC120415965|XP_039433543.1|CPIP, LOC120431715|XP_039452771.1|CPIP
OG0001906	LOC117143289|XP_033163767.1|DMAU	LOC120429813|XP_039450797.1|CPIP
OG0001907	LOC117147626|XP_033170481.1|DMAU	LOC120421012|XP_039440065.1|CPIP
OG0001908	LOC117145943|XP_033167714.1|DMAU	LOC120423816|XP_039443671.1|CPIP
OG0001909	LOC117148752|XP_033172234.1|DMAU	LOC120417097|XP_039435009.1|CPIP
OG0001910	LOC117143974|XP_033164802.1|DMAU	LOC120420775|XP_039439820.1|CPIP, LOC120420773|XP_039439816.1|CPIP
OG0001911	LOC117146088|XP_033167931.1|DMAU	LOC120428292|XP_039449219.1|CPIP, LOC120423330|XP_039443025.1|CPIP
OG0001912	LOC117136466|XP_033153288.1|DMAU	LOC120423593|XP_039443389.1|CPIP
OG0001913	LOC117150413|XP_033173171.1|DMAU	LOC120423525|XP_039443306.1|CPIP, LOC120423522|XP_039443304.1|CPIP, LOC120423523|XP_039443305.1|CPIP, LOC120423565|XP_039443350.1|CPIP, LOC120423584|XP_039443378.1|CPIP
OG0001914	LOC117142681|XP_033162711.1|DMAU	LOC120428358|XP_039449297.1|CPIP, LOC120432115|XP_039453184.1|CPIP, LOC120423554|XP_039443332.1|CPIP
OG0001915	LOC117140447|XP_033159263.1|DMAU	LOC120428071|XP_039448978.1|CPIP
OG0001916	LOC117136515|XP_033153350.1|DMAU	LOC120428687|XP_039449691.1|CPIP
OG0001917	LOC117140951|XP_033160060.1|DMAU	LOC120423008|XP_039442572.1|CPIP
OG0001918	LOC117139412|XP_033157580.1|DMAU	LOC120421757|XP_039440964.1|CPIP, LOC120413534|XP_039430343.1|CPIP, LOC120418882|XP_039437350.1|CPIP
OG0001919	LOC117135662|XP_033151944.1|DMAU	LOC120424196|XP_039444189.1|CPIP
OG0001920	LOC117142126|XP_033161913.1|DMAU	LOC120429774|XP_039450765.1|CPIP
OG0001921	LOC117135628|XP_033151891.1|DMAU	LOC120417829|XP_039435979.1|CPIP
OG0001922	LOC117135431|XP_033151484.1|DMAU	LOC120419738|XP_039438474.1|CPIP, LOC120426631|XP_039447357.1|CPIP
OG0001924	LOC117135844|XP_033152248.1|DMAU	LOC120417414|XP_039435391.1|CPIP
OG0001925	LOC117139245|XP_033157347.1|DMAU	LOC120426340|XP_039447039.1|CPIP
OG0001926	LOC117139146|XP_033157195.1|DMAU	LOC120424376|XP_039444407.1|CPIP
OG0001927	LOC117135791|XP_033152174.1|DMAU	LOC120422853|XP_039442336.1|CPIP
OG0001928	LOC117141730|XP_033161238.1|DMAU	LOC120422882|XP_039442376.1|CPIP
OG0001929	LOC117141641|XP_033161087.1|DMAU	LOC120425920|XP_039446477.1|CPIP
OG0001930	LOC117135510|XP_033151637.1|DMAU	LOC120424411|XP_039444453.1|CPIP, LOC120426050|XP_039446672.1|CPIP
OG0001932	LOC117139963|XP_033158553.1|DMAU	LOC120420572|XP_039439584.1|CPIP
OG0001933	LOC117137475|XP_033154840.1|DMAU	LOC120429654|XP_039450614.1|CPIP
OG0001934	LOC117140427|XP_033159232.1|DMAU	LOC120415740|XP_039433276.1|CPIP
OG0001935	LOC117140603|XP_033159505.1|DMAU	LOC120424879|XP_039445074.1|CPIP
OG0001937	LOC117138654|XP_033156773.1|DMAU	LOC120429902|XP_039450933.1|CPIP
OG0001938	LOC117138328|XP_033156256.1|DMAU	LOC120430101|XP_039451124.1|CPIP
OG0001939	LOC117137232|XP_033154481.1|DMAU	LOC120430953|XP_039452015.1|CPIP
OG0001940	LOC117137818|XP_033155387.1|DMAU	LOC120421328|XP_039440429.1|CPIP
OG0001941	LOC117139746|XP_033158197.1|DMAU	LOC120412386|XP_039428757.1|CPIP
OG0001942	LOC117137073|XP_033154192.1|DMAU	LOC120428746|XP_039449758.1|CPIP, LOC120428752|XP_039449767.1|CPIP
OG0001943	LOC117140426|XP_033159231.1|DMAU	LOC120424832|XP_039444994.1|CPIP
OG0001944	LOC117141194|XP_033160433.1|DMAU	LOC120413226|XP_039429886.1|CPIP
OG0001945	LOC117136038|XP_033152559.1|DMAU	LOC120418475|XP_039436842.1|CPIP
OG0001946	LOC117136659|XP_033153551.1|DMAU	LOC120420123|XP_039439006.1|CPIP
OG0001947	LOC117136488|XP_033153318.1|DMAU	LOC120420099|XP_039438979.1|CPIP
OG0001948	LOC117147188|XP_033169881.1|DMAU	LOC120418050|XP_039436235.1|CPIP
OG0001949	LOC117139563|XP_033157850.1|DMAU	LOC120420658|XP_039439682.1|CPIP
OG0001950	LOC117144259|XP_033165248.1|DMAU	LOC120412372|XP_039428727.1|CPIP
OG0001951	LOC117137839|XP_033155422.1|DMAU	LOC120420155|XP_039439052.1|CPIP
OG0001952	LOC117138225|XP_033156061.1|DMAU, LOC117138224|XP_033156060.1|DMAU	LOC120412591|XP_039429053.1|CPIP
OG0001953	LOC117137857|XP_033155461.1|DMAU	LOC120412898|XP_039429463.1|CPIP
OG0001954	LOC117135569|XP_033151775.1|DMAU	LOC120428611|XP_039449573.1|CPIP, LOC120423613|XP_039443414.1|CPIP
OG0001955	LOC117137756|XP_033155261.1|DMAU	LOC120423605|XP_039443404.1|CPIP
OG0001956	LOC117141197|XP_033160439.1|DMAU	LOC120416540|XP_039434197.1|CPIP
OG0001957	LOC117137963|XP_033155625.1|DMAU	LOC120420076|XP_039438934.1|CPIP
OG0001958	LOC117137177|XP_033154382.1|DMAU	LOC120418538|XP_039436908.1|CPIP
OG0001959	LOC117139984|XP_033158579.1|DMAU	LOC120414470|XP_039431599.1|CPIP, LOC120424420|XP_039444468.1|CPIP
OG0001960	LOC117140017|XP_033158636.1|DMAU	LOC120417614|XP_039435662.1|CPIP
OG0001961	LOC117136055|XP_033152592.1|DMAU	LOC120423619|XP_039443423.1|CPIP, LOC120416060|XP_039433658.1|CPIP
OG0001962	LOC117137007|XP_033154085.1|DMAU	LOC120419531|XP_039438176.1|CPIP
OG0001963	LOC117139437|XP_033157629.1|DMAU	LOC120424975|XP_039445265.1|CPIP
OG0001964	LOC117139888|XP_033158457.1|DMAU	LOC120414117|XP_039431078.1|CPIP
OG0001966	LOC117145559|XP_033167153.1|DMAU	LOC120415806|XP_039433364.1|CPIP, LOC120426922|XP_039447663.1|CPIP
OG0001967	LOC117137536|XP_033154921.1|DMAU	LOC120427113|XP_039447896.1|CPIP
OG0001968	LOC117141284|XP_033160545.1|DMAU	LOC120427121|XP_039447908.1|CPIP
OG0001969	LOC117136246|XP_033152941.1|DMAU	LOC120422690|XP_039442133.1|CPIP
OG0001970	LOC117136601|XP_033153475.1|DMAU	LOC120417470|XP_039435472.1|CPIP
OG0001971	LOC117138048|XP_033155753.1|DMAU	LOC120421398|XP_039440533.1|CPIP
OG0001972	LOC117137533|XP_033154911.1|DMAU	LOC120421381|XP_039440511.1|CPIP
OG0001973	LOC117137414|XP_033154733.1|DMAU	LOC120429163|XP_039450304.1|CPIP, LOC120430005|XP_039451041.1|CPIP
OG0001974	LOC117138072|XP_033155787.1|DMAU	LOC120414968|XP_039432233.1|CPIP
OG0001975	LOC117140196|XP_033158870.1|DMAU	LOC120416053|XP_039433649.1|CPIP
OG0001976	LOC117135652|XP_033151927.1|DMAU	LOC120416313|XP_039433969.1|CPIP
OG0001977	LOC117146348|XP_033168384.1|DMAU	LOC120426547|XP_039447251.1|CPIP, LOC120426354|XP_039447050.1|CPIP
OG0001978	LOC117150269|XP_033172966.1|DMAU	LOC120427687|XP_039448510.1|CPIP
OG0001979	LOC117150684|XP_033173587.1|DMAU	LOC120419194|XP_039437800.1|CPIP
OG0001980	LOC117135239|XP_033151268.1|DMAU	LOC120415672|XP_039433189.1|CPIP
OG0001982	LOC117150047|XP_033172803.1|DMAU	LOC120419190|XP_039437794.1|CPIP
OG0001983	LOC117139408|XP_033157573.1|DMAU	LOC120414077|XP_039431032.1|CPIP
OG0001984	LOC117135161|XP_033151113.1|DMAU	LOC120414105|XP_039431063.1|CPIP
OG0001985	LOC117147033|XP_033169622.1|DMAU	LOC120422386|XP_039441733.1|CPIP
OG0001986	LOC117150431|XP_033173200.1|DMAU	LOC120430331|XP_039451366.1|CPIP
OG0001987	LOC117148473|XP_033171738.1|DMAU	LOC120431823|XP_039452877.1|CPIP, LOC120414770|XP_039432018.1|CPIP
OG0001988	LOC117138366|XP_033156323.1|DMAU	LOC120418943|XP_039437415.1|CPIP
OG0001989	LOC117150202|XP_033172883.1|DMAU	LOC120414766|XP_039432013.1|CPIP
OG0001990	LOC117150332|XP_033173068.1|DMAU	LOC120427784|XP_039448642.1|CPIP
OG0001991	LOC117150634|XP_033173497.1|DMAU	LOC120414782|XP_039432028.1|CPIP
OG0001992	LOC117144104|XP_033165017.1|DMAU	LOC120429761|XP_039450747.1|CPIP, LOC120430622|XP_039451649.1|CPIP, LOC120431608|XP_039452646.1|CPIP
OG0001993	LOC117150858|XP_033173845.1|DMAU	LOC120415092|XP_039432445.1|CPIP, LOC120420891|XP_039439947.1|CPIP
OG0001994	LOC117142641|XP_033162637.1|DMAU	LOC120420105|XP_039438990.1|CPIP
OG0001995	LOC117136696|XP_033153645.1|DMAU	LOC120423638|XP_039443446.1|CPIP
OG0001997	LOC117135726|XP_033152060.1|DMAU	LOC120423172|XP_039442793.1|CPIP
OG0001998	LOC117135720|XP_033152046.1|DMAU	LOC120422362|XP_039441707.1|CPIP
OG0001999	LOC117136120|XP_033152710.1|DMAU	LOC120424412|XP_039444454.1|CPIP
OG0002000	LOC117142310|XP_033162108.1|DMAU	LOC120416072|XP_039433675.1|CPIP
OG0002001	LOC117151095|XP_033174235.1|DMAU	LOC120430517|XP_039451561.1|CPIP
OG0002002	LOC117135794|XP_033152178.1|DMAU	LOC120419842|XP_039438611.1|CPIP
OG0002003	LOC117136070|XP_033152659.1|DMAU	LOC120412842|XP_039429398.1|CPIP
OG0002004	LOC117150958|XP_033174028.1|DMAU	LOC120413518|XP_039430313.1|CPIP
OG0002005	LOC117144331|XP_033165338.1|DMAU	LOC120416771|XP_039434563.1|CPIP
OG0002006	LOC117135302|XP_033151371.1|DMAU	LOC120423468|XP_039443227.1|CPIP
OG0002008	LOC117146238|XP_033168037.1|DMAU	LOC120415534|XP_039433027.1|CPIP
OG0002009	LOC117136380|XP_033153162.1|DMAU	LOC120415589|XP_039433114.1|CPIP
OG0002010	LOC117145889|XP_033167626.1|DMAU	LOC120421995|XP_039441241.1|CPIP
OG0002011	LOC117146550|XP_033168742.1|DMAU	LOC120421156|XP_039440280.1|CPIP
OG0002012	LOC117150197|XP_033172877.1|DMAU	LOC120417784|XP_039435880.1|CPIP, LOC120412482|XP_039428907.1|CPIP
OG0002013	LOC117150248|XP_033172935.1|DMAU	LOC120415549|XP_039433053.1|CPIP
OG0002014	LOC117137311|XP_033154582.1|DMAU	LOC120418715|XP_039437122.1|CPIP
OG0002015	LOC117150747|XP_033173671.1|DMAU	LOC120419666|XP_039438364.1|CPIP
OG0002016	LOC117135472|XP_033151576.1|DMAU	LOC120432429|XP_039453578.1|CPIP
OG0002017	LOC117150424|XP_033173189.1|DMAU	LOC120432426|XP_039453565.1|CPIP
OG0002018	LOC117150857|XP_033173843.1|DMAU	LOC120423389|XP_039443107.1|CPIP
OG0002019	LOC117146280|XP_033168171.1|DMAU	LOC120412660|XP_039429156.1|CPIP
OG0002020	LOC117147440|XP_033170216.1|DMAU	LOC120423990|XP_039443921.1|CPIP
OG0002021	LOC117138433|XP_033156435.1|DMAU	LOC120430575|XP_039451616.1|CPIP, LOC120423971|XP_039443897.1|CPIP
OG0002022	LOC117138718|XP_033156857.1|DMAU	LOC120414027|XP_039430984.1|CPIP
OG0002023	LOC117144218|XP_033165163.1|DMAU	LOC120412669|XP_039429165.1|CPIP
OG0002024	LOC117135185|XP_033151186.1|DMAU	LOC120419040|XP_039437540.1|CPIP
OG0002025	LOC117138135|XP_033155899.1|DMAU	LOC120429066|XP_039450141.1|CPIP
OG0002026	LOC117141705|XP_033161207.1|DMAU	LOC120423191|XP_039442824.1|CPIP
OG0002027	LOC117135962|XP_033152451.1|DMAU	LOC120420630|XP_039439637.1|CPIP
OG0002028	LOC117136785|XP_033153731.1|DMAU	LOC120420635|XP_039439645.1|CPIP
OG0002029	LOC117141146|XP_033160370.1|DMAU	LOC120416142|XP_039433752.1|CPIP
OG0002030	LOC117136336|XP_033153087.1|DMAU	LOC120416219|XP_039433852.1|CPIP
OG0002031	LOC117136069|XP_033152614.1|DMAU	LOC120415104|XP_039432456.1|CPIP
OG0002032	LOC117143784|XP_033164516.1|DMAU	LOC120419421|XP_039438033.1|CPIP
OG0002033	LOC117147922|XP_033170936.1|DMAU	LOC120418864|XP_039437335.1|CPIP
OG0002034	LOC117146668|XP_033168906.1|DMAU	LOC120419537|XP_039438184.1|CPIP
OG0002035	LOC117145582|XP_033167179.1|DMAU	LOC120418911|XP_039437376.1|CPIP
OG0002036	LOC117145832|XP_033167524.1|DMAU	LOC120413806|XP_039430699.1|CPIP
OG0002037	LOC117140049|XP_033158677.1|DMAU	LOC120426341|XP_039447036.1|CPIP
OG0002038	LOC117143600|XP_033164242.1|DMAU	LOC120419712|XP_039438434.1|CPIP
OG0002039	LOC117141356|XP_033160655.1|DMAU	LOC120432387|XP_039453516.1|CPIP
OG0002040	LOC117139300|XP_033157426.1|DMAU, LOC117139299|XP_033157423.1|DMAU	LOC120424088|XP_039444039.1|CPIP
OG0002041	LOC117135698|XP_033151995.1|DMAU	LOC120417055|XP_039434941.1|CPIP
OG0002042	LOC117143380|XP_033163949.1|DMAU	LOC120421220|XP_039440356.1|CPIP
OG0002043	LOC117145716|XP_033167353.1|DMAU	LOC120428111|XP_039449028.1|CPIP
OG0002044	LOC117142452|XP_033162313.1|DMAU	LOC120413784|XP_039430662.1|CPIP
OG0002045	LOC117143740|XP_033164441.1|DMAU	LOC120422098|XP_039441384.1|CPIP
OG0002046	LOC117146270|XP_033168154.1|DMAU	LOC120413953|XP_039430890.1|CPIP
OG0002047	LOC117146433|XP_033168532.1|DMAU	LOC120413023|XP_039429625.1|CPIP
OG0002048	LOC117144863|XP_033166158.1|DMAU	LOC120413048|XP_039429675.1|CPIP
OG0002049	LOC117145332|XP_033166828.1|DMAU	LOC120413018|XP_039429611.1|CPIP
OG0002050	LOC117145882|XP_033167598.1|DMAU	LOC120430297|XP_039451330.1|CPIP
OG0002053	LOC117143518|XP_033164131.1|DMAU	LOC120421361|XP_039440494.1|CPIP
OG0002054	LOC117142520|XP_033162454.1|DMAU	LOC120422046|XP_039441311.1|CPIP
OG0002055	LOC117143327|XP_033163874.1|DMAU	LOC120432078|XP_039453145.1|CPIP
OG0002056	LOC117140636|XP_033159554.1|DMAU	LOC120422725|XP_039442187.1|CPIP
OG0002057	LOC117146442|XP_033168592.1|DMAU	LOC120422721|XP_039442185.1|CPIP
OG0002058	LOC117142096|XP_033161871.1|DMAU	LOC120422720|XP_039442184.1|CPIP
OG0002059	LOC117142839|XP_033162963.1|DMAU	LOC120422719|XP_039442181.1|CPIP
OG0002060	LOC117137935|XP_033155580.1|DMAU	LOC120418253|XP_039436500.1|CPIP, LOC120422711|XP_039442170.1|CPIP
OG0002061	LOC117138453|XP_033156470.1|DMAU	LOC120422716|XP_039442176.1|CPIP, LOC120418238|XP_039436475.1|CPIP
OG0002064	LOC117139026|XP_033157015.1|DMAU	LOC120427824|XP_039448680.1|CPIP
OG0002066	LOC117143765|XP_033164474.1|DMAU	LOC120424112|XP_039444072.1|CPIP
OG0002067	LOC117136786|XP_033153733.1|DMAU	LOC120424122|XP_039444097.1|CPIP
OG0002068	LOC117136801|XP_033153756.1|DMAU	LOC120429305|XP_039450465.1|CPIP
OG0002069	LOC117135593|XP_033151819.1|DMAU	LOC120416648|XP_039434392.1|CPIP
OG0002070	LOC117144757|XP_033166007.1|DMAU	LOC120416657|XP_039434401.1|CPIP
OG0002071	LOC117143742|XP_033164444.1|DMAU	LOC120414983|XP_039432267.1|CPIP
OG0002072	LOC117137737|XP_033155210.1|DMAU	LOC120419937|XP_039438734.1|CPIP
OG0002073	LOC117142016|XP_033161760.1|DMAU	LOC120414173|XP_039431171.1|CPIP
OG0002074	LOC117145044|XP_033166444.1|DMAU, LOC117137388|XP_033154695.1|DMAU	LOC120430722|XP_039451768.1|CPIP
OG0002075	LOC117145514|XP_033167098.1|DMAU	LOC120429589|XP_039450560.1|CPIP, LOC120424597|XP_039444695.1|CPIP
OG0002076	LOC117135540|XP_033151710.1|DMAU	LOC120421685|XP_039440849.1|CPIP
OG0002077	LOC117139193|XP_033157254.1|DMAU	LOC120421681|XP_039440845.1|CPIP
OG0002079	LOC117138951|XP_033156882.1|DMAU	LOC120425808|XP_039446361.1|CPIP
OG0002080	LOC117137411|XP_033154729.1|DMAU	LOC120425571|XP_039446070.1|CPIP
OG0002081	LOC117136117|XP_033152704.1|DMAU	LOC120415329|XP_039432751.1|CPIP, LOC120415281|XP_039432685.1|CPIP
OG0002082	LOC117135458|XP_033151534.1|DMAU	LOC120416205|XP_039433827.1|CPIP
OG0002083	LOC117148582|XP_033171940.1|DMAU	LOC120421448|XP_039440588.1|CPIP
OG0002084	LOC117136838|XP_033153810.1|DMAU	LOC120431265|XP_039452332.1|CPIP
OG0002085	LOC117135979|XP_033152483.1|DMAU	LOC120417969|XP_039436139.1|CPIP
OG0002086	LOC117137380|XP_033154684.1|DMAU	LOC120431538|XP_039452581.1|CPIP
OG0002087	LOC117140674|XP_033159618.1|DMAU	LOC120412754|XP_039429281.1|CPIP, LOC120424471|XP_039444539.1|CPIP
OG0002088	LOC117139421|XP_033157598.1|DMAU	LOC120415883|XP_039433454.1|CPIP
OG0002089	LOC117135899|XP_033152338.1|DMAU	LOC120415358|XP_039432781.1|CPIP
OG0002090	LOC117140720|XP_033159676.1|DMAU	LOC120415870|XP_039433440.1|CPIP
OG0002091	LOC117136441|XP_033153249.1|DMAU	LOC120416853|XP_039434677.1|CPIP
OG0002092	LOC117139311|XP_033157444.1|DMAU	LOC120416818|XP_039434633.1|CPIP, LOC120412524|XP_039428953.1|CPIP
OG0002093	LOC117135903|XP_033152356.1|DMAU	LOC120413492|XP_039430283.1|CPIP, LOC120421859|XP_039441091.1|CPIP
OG0002094	LOC117137217|XP_033154464.1|DMAU	LOC120413273|XP_039429936.1|CPIP, LOC120414977|XP_039432245.1|CPIP
OG0002095	LOC117150808|XP_033173757.1|DMAU, LOC117148039|XP_033171106.1|DMAU	LOC120415199|XP_039432591.1|CPIP
OG0002096	LOC117135507|XP_033151630.1|DMAU	LOC120424725|XP_039444841.1|CPIP
OG0002097	LOC117137562|XP_033154956.1|DMAU	LOC120421572|XP_039440737.1|CPIP
OG0002098	LOC117140567|XP_033159455.1|DMAU	LOC120432554|XP_039453717.1|CPIP, LOC120432556|XP_039453719.1|CPIP
OG0002099	LOC117143878|XP_033164655.1|DMAU	LOC120425826|XP_039446378.1|CPIP, LOC120416713|XP_039434469.1|CPIP
OG0002100	LOC117139954|XP_033158533.1|DMAU	LOC120431445|XP_039452497.1|CPIP, LOC120422226|XP_039441545.1|CPIP, LOC120422221|XP_039441539.1|CPIP
OG0002101	LOC117138227|XP_033156063.1|DMAU	LOC120423808|XP_039443658.1|CPIP
OG0002102	LOC117135858|XP_033152272.1|DMAU	LOC120428249|XP_039449169.1|CPIP
OG0002103	LOC117144196|XP_033165136.1|DMAU	LOC120424261|XP_039444257.1|CPIP
OG0002105	LOC117146874|XP_033169358.1|DMAU	LOC120423727|XP_039443567.1|CPIP
OG0002117	LOC117137084|XP_033154204.1|DMAU	LOC120422063|XP_039441333.1|CPIP
OG0002119	LOC117143195|XP_033163626.1|DMAU	LOC120428556|XP_039449519.1|CPIP, LOC120413279|XP_039429944.1|CPIP
OG0002120	LOC117146332|XP_033168320.1|DMAU	LOC120413305|XP_039430000.1|CPIP
OG0002121	LOC117145818|XP_033167510.1|DMAU	LOC120431490|XP_039452556.1|CPIP
OG0002123	LOC117151022|XP_033174119.1|DMAU	LOC120419276|XP_039437875.1|CPIP
OG0002124	LOC117148433|XP_033171697.1|DMAU	LOC120428874|XP_039449934.1|CPIP
OG0002125	LOC117135952|XP_033152436.1|DMAU	LOC120431117|XP_039452206.1|CPIP
OG0002126	LOC117141211|XP_033160456.1|DMAU	LOC120422458|XP_039441834.1|CPIP
OG0002127	LOC117147022|XP_033169601.1|DMAU	LOC120420229|XP_039439152.1|CPIP
OG0002128	LOC117148483|XP_033171753.1|DMAU	LOC120420212|XP_039439133.1|CPIP
OG0002129	LOC117145980|XP_033167778.1|DMAU	LOC120432319|XP_039453437.1|CPIP
OG0002130	LOC117146519|XP_033168677.1|DMAU	LOC120413375|XP_039430100.1|CPIP
OG0002131	LOC117144400|XP_033165427.1|DMAU	LOC120430730|XP_039451775.1|CPIP, LOC120413341|XP_039430054.1|CPIP
OG0002132	LOC117135483|XP_033151596.1|DMAU	LOC120428359|XP_039449300.1|CPIP
OG0002133	LOC117147788|XP_033170720.1|DMAU	LOC120413362|XP_039430081.1|CPIP
OG0002134	LOC117147996|XP_033171041.1|DMAU	LOC120417703|XP_039435782.1|CPIP
OG0002135	LOC117148523|XP_033171827.1|DMAU	LOC120432195|XP_039453283.1|CPIP, LOC120427666|XP_039448477.1|CPIP
OG0002136	LOC117143359|XP_033163923.1|DMAU	LOC120417027|XP_039434901.1|CPIP
OG0002137	LOC117146119|XP_033168004.1|DMAU	LOC120422079|XP_039441358.1|CPIP
OG0002138	LOC117147690|XP_033170568.1|DMAU	LOC120413337|XP_039430047.1|CPIP
OG0002139	LOC117148181|XP_033171342.1|DMAU	LOC120413324|XP_039430031.1|CPIP
OG0002140	LOC117147534|XP_033170357.1|DMAU	LOC120431394|XP_039452455.1|CPIP
OG0002141	LOC117140339|XP_033159079.1|DMAU	LOC120424691|XP_039444804.1|CPIP
OG0002142	LOC117144311|XP_033165314.1|DMAU	LOC120416920|XP_039434760.1|CPIP, LOC120430553|XP_039451603.1|CPIP
OG0002143	LOC117145346|XP_033166856.1|DMAU	LOC120430599|XP_039451639.1|CPIP
OG0002144	LOC117146334|XP_033168330.1|DMAU	LOC120426029|XP_039446642.1|CPIP
OG0002145	LOC117145142|XP_033166573.1|DMAU	LOC120427971|XP_039448861.1|CPIP
OG0002146	LOC117142654|XP_033162669.1|DMAU	LOC120429017|XP_039450091.1|CPIP
OG0002147	LOC117148581|XP_033171939.1|DMAU	LOC120413718|XP_039430575.1|CPIP
OG0002148	LOC117141143|XP_033160366.1|DMAU	LOC120416248|XP_039433884.1|CPIP, LOC120416247|XP_039433883.1|CPIP, LOC120416256|XP_039433892.1|CPIP
OG0002149	LOC117146339|XP_033168354.1|DMAU	LOC120431264|XP_039452335.1|CPIP
OG0002150	LOC117147674|XP_033170541.1|DMAU	LOC120419617|XP_039438292.1|CPIP
OG0002151	LOC117148417|XP_033171679.1|DMAU	LOC120419620|XP_039438294.1|CPIP
OG0002152	LOC117143174|XP_033163579.1|DMAU	LOC120416903|XP_039434733.1|CPIP
OG0002153	LOC117142487|XP_033162403.1|DMAU	LOC120424542|XP_039444640.1|CPIP, LOC120429007|XP_039450079.1|CPIP
OG0002154	LOC117146518|XP_033168676.1|DMAU	LOC120426470|XP_039447167.1|CPIP
