Orthogroup	SLEB.longest_only	BCOP.longest_only
OG0000225	LOC115625417|XP_030376317.1|SLEB, LOC115625425|XP_030376324.1|SLEB, LOC115625419|XP_030376319.1|SLEB, LOC115625418|XP_030376318.1|SLEB	LOC119066756|XP_037025327.1|BCOP
OG0000226	LOC115622367|XP_030372144.1|SLEB, LOC115623114|XP_030373183.1|SLEB, LOC115623113|XP_030373182.1|SLEB	LOC119074792|XP_037036969.1|BCOP, LOC119069766|XP_037029798.1|BCOP, LOC119066837|XP_037025395.1|BCOP
OG0000228	LOC115628655|XP_030380684.1|SLEB, LOC115623731|XP_030374101.1|SLEB, LOC115631739|XP_030384438.1|SLEB	LOC119085720|XP_037052063.1|BCOP
OG0000229	LOC115620323|XP_030369376.1|SLEB, LOC115621978|XP_030371689.1|SLEB	LOC119085369|XP_037051647.1|BCOP
OG0000229	LOC115624302|XP_030374784.1|SLEB	LOC119077980|XP_037041257.1|BCOP
OG0000230	LOC115620034|XP_030369003.1|SLEB, LOC115628487|XP_030380518.1|SLEB	LOC119081748|XP_037046818.1|BCOP, LOC119067276|XP_037026048.1|BCOP
OG0000232	LOC115622840|XP_030372779.1|SLEB, LOC115633034|XP_030386277.1|SLEB, LOC115632955|XP_030386155.1|SLEB	LOC119083575|XP_037049216.1|BCOP
OG0000233	LOC115620298|XP_030369340.1|SLEB, LOC115621547|XP_030371075.1|SLEB, LOC115621471|XP_030370990.1|SLEB	LOC119067908|XP_037027095.1|BCOP
OG0000234	LOC115620229|XP_030369230.1|SLEB, LOC115634729|XP_030388473.1|SLEB, LOC115634736|XP_030388484.1|SLEB	LOC119077414|XP_037040522.1|BCOP, LOC119070520|XP_037030787.1|BCOP, LOC119080769|XP_037045230.1|BCOP, LOC119084387|XP_037050246.1|BCOP
OG0000235	LOC115620737|XP_030369982.1|SLEB, LOC115628006|XP_030379828.1|SLEB, LOC115628076|XP_030379943.1|SLEB, LOC115620405|XP_030369484.1|SLEB	LOC119076788|XP_037039645.1|BCOP
OG0000236	LOC115631143|XP_030383673.1|SLEB, LOC115622109|XP_030371810.1|SLEB, LOC115626745|XP_030378056.1|SLEB	LOC119074337|XP_037036323.1|BCOP
OG0000237	LOC115620066|XP_030369068.1|SLEB	LOC119081803|XP_037046924.1|BCOP
OG0000238	LOC115631222|XP_030383788.1|SLEB, LOC115630687|XP_030383194.1|SLEB, LOC115630659|XP_030383160.1|SLEB	LOC119081216|XP_037045834.1|BCOP, LOC119075688|XP_037038103.1|BCOP
OG0000239	LOC115625266|XP_030376126.1|SLEB	LOC119076101|XP_037038653.1|BCOP
OG0000240	LOC115623585|XP_030373845.1|SLEB, LOC115623904|XP_030374320.1|SLEB, LOC115623901|XP_030374315.1|SLEB	LOC119075202|XP_037037489.1|BCOP
OG0000241	LOC115624179|XP_030374634.1|SLEB	LOC119082363|XP_037047778.1|BCOP, LOC119081579|XP_037046508.1|BCOP, LOC119067568|XP_037026548.1|BCOP
OG0000246	LOC115629487|XP_030381821.1|SLEB	LOC119069188|XP_037029028.1|BCOP, LOC119080408|XP_037044634.1|BCOP, LOC119076819|XP_037039708.1|BCOP, LOC119085359|XP_037051632.1|BCOP, LOC119071035|XP_037031529.1|BCOP, LOC119066563|XP_037025006.1|BCOP, LOC119085226|XP_037051434.1|BCOP, LOC119085228|XP_037051435.1|BCOP, LOC119074268|XP_037036185.1|BCOP
OG0000247	LOC115632325|XP_030385289.1|SLEB, LOC115632745|XP_030385853.1|SLEB	LOC119080017|XP_037044090.1|BCOP, LOC119079054|XP_037042754.1|BCOP
OG0000248	LOC115632342|XP_030385308.1|SLEB, LOC115632240|XP_030385162.1|SLEB, LOC115633718|XP_030387043.1|SLEB	LOC119077491|XP_037040605.1|BCOP
OG0000249	LOC115631616|XP_030384281.1|SLEB, LOC115631615|XP_030384280.1|SLEB, LOC115631840|XP_030384543.1|SLEB	LOC119070944|XP_037031391.1|BCOP, LOC119070945|XP_037031393.1|BCOP
OG0000250	LOC115630965|XP_030383404.1|SLEB, LOC115631061|XP_030383560.1|SLEB, LOC115630961|XP_030383396.1|SLEB	LOC119067470|XP_037026366.1|BCOP
OG0000251	LOC115629102|XP_030381282.1|SLEB, LOC115634025|XP_030387420.1|SLEB, LOC115632180|XP_030385074.1|SLEB	LOC119077899|XP_037041162.1|BCOP
OG0000252	LOC115624779|XP_030375471.1|SLEB, LOC115624892|XP_030375600.1|SLEB, LOC115624819|XP_030375527.1|SLEB	LOC119080880|XP_037045353.1|BCOP
OG0000253	LOC115628483|XP_030380472.1|SLEB, LOC115634093|XP_030387508.1|SLEB, LOC115630450|XP_030382874.1|SLEB	LOC119075166|XP_037037454.1|BCOP, LOC119073638|XP_037035125.1|BCOP, LOC119073632|XP_037035118.1|BCOP
OG0000255	LOC115626265|XP_030377437.1|SLEB, LOC115626264|XP_030377434.1|SLEB	LOC119067390|XP_037026215.1|BCOP, LOC119076680|XP_037039474.1|BCOP, LOC119076681|XP_037039476.1|BCOP
OG0000256	LOC115625928|XP_030377028.1|SLEB	LOC119074087|XP_037035939.1|BCOP
OG0000257	LOC115628176|XP_030380023.1|SLEB	LOC119081285|XP_037045942.1|BCOP
OG0000261	LOC115630786|XP_030383302.1|SLEB	LOC119071644|XP_037032502.1|BCOP, LOC119073127|XP_037034324.1|BCOP, LOC119077384|XP_037040476.1|BCOP
OG0000262	LOC115632269|XP_030385209.1|SLEB, LOC115632169|XP_030385057.1|SLEB	LOC119075466|XP_037037805.1|BCOP, LOC119075467|XP_037037810.1|BCOP
OG0000263	LOC115634810|XP_030388582.1|SLEB	LOC119081500|XP_037046401.1|BCOP
OG0000263	LOC115632680|XP_030385773.1|SLEB	LOC119080526|XP_037044832.1|BCOP
OG0000264	LOC115627036|XP_030378427.1|SLEB, LOC115626719|XP_030378023.1|SLEB, LOC115620694|XP_030369924.1|SLEB	LOC119081053|XP_037045658.1|BCOP
OG0000267	LOC115621311|XP_030370785.1|SLEB, LOC115620877|XP_030370214.1|SLEB, LOC115620876|XP_030370213.1|SLEB	LOC119067735|XP_037026747.1|BCOP, LOC119073037|XP_037034249.1|BCOP, LOC119072699|XP_037033868.1|BCOP, LOC119085531|XP_037051841.1|BCOP
OG0000268	LOC115621958|XP_030371665.1|SLEB	LOC119069105|XP_037028892.1|BCOP
OG0000268	LOC115621611|XP_030371164.1|SLEB, LOC115621817|XP_030371465.1|SLEB	LOC119069107|XP_037028893.1|BCOP, LOC119081535|XP_037046432.1|BCOP, LOC119075972|XP_037038453.1|BCOP
OG0000269	LOC115622094|XP_030371796.1|SLEB, LOC115622036|XP_030371763.1|SLEB	LOC119068927|XP_037028684.1|BCOP, LOC119071687|XP_037032573.1|BCOP
OG0000270	LOC115633989|XP_030387372.1|SLEB	LOC119076114|XP_037038671.1|BCOP, LOC119070011|XP_037030184.1|BCOP, LOC119071637|XP_037032493.1|BCOP, LOC119070010|XP_037030183.1|BCOP, LOC119066588|XP_037025040.1|BCOP, LOC119083580|XP_037049220.1|BCOP
OG0000271	LOC115626627|XP_030377890.1|SLEB, LOC115626251|XP_030377404.1|SLEB, LOC115631517|XP_030384150.1|SLEB	LOC119085151|XP_037051336.1|BCOP
OG0000272	LOC115622375|XP_030372157.1|SLEB	LOC119076509|XP_037039186.1|BCOP
OG0000272	LOC115628054|XP_030379870.1|SLEB	LOC119085049|XP_037051156.1|BCOP
OG0000273	LOC115625162|XP_030375954.1|SLEB, LOC115630640|XP_030383140.1|SLEB, LOC115623182|XP_030373262.1|SLEB, LOC115624315|XP_030374804.1|SLEB	LOC119078097|XP_037041457.1|BCOP
OG0000276	LOC115634709|XP_030388453.1|SLEB, LOC115627351|XP_030378859.1|SLEB	LOC119072863|XP_037034065.1|BCOP
OG0000279	LOC115632514|XP_030385565.1|SLEB, LOC115632545|XP_030385620.1|SLEB	LOC119074446|XP_037036476.1|BCOP
OG0000280	LOC115634463|XP_030388049.1|SLEB, LOC115634464|XP_030388050.1|SLEB, LOC115634462|XP_030388048.1|SLEB	LOC119081780|XP_037046881.1|BCOP, LOC119071043|XP_037031539.1|BCOP
OG0000281	LOC115622662|XP_030372535.1|SLEB, LOC115627309|XP_030378812.1|SLEB, LOC115633344|XP_030386638.1|SLEB	LOC119082705|XP_037048177.1|BCOP
OG0000282	LOC115623288|XP_030373432.1|SLEB, LOC115626968|XP_030378343.1|SLEB	LOC119082792|XP_037048336.1|BCOP, LOC119082852|XP_037048444.1|BCOP
OG0000282	LOC115622407|XP_030372199.1|SLEB	LOC119073564|XP_037035018.1|BCOP
OG0000283	LOC115621703|XP_030371271.1|SLEB	LOC119081027|XP_037045614.1|BCOP, LOC119069348|XP_037029318.1|BCOP
OG0000284	LOC115624494|XP_030375057.1|SLEB	LOC119066298|XP_037024568.1|BCOP
OG0000284	LOC115626017|XP_030377125.1|SLEB	LOC119066303|XP_037024578.1|BCOP
OG0000285	LOC115634699|XP_030388437.1|SLEB	LOC119075164|XP_037037452.1|BCOP, LOC119075552|XP_037037916.1|BCOP, LOC119079724|XP_037043684.1|BCOP, LOC119081768|XP_037046857.1|BCOP, LOC119078006|XP_037041289.1|BCOP
OG0000285	LOC115634700|XP_030388438.1|SLEB	LOC119082387|XP_037047813.1|BCOP
OG0000287	LOC115629191|XP_030381451.1|SLEB, LOC115629189|XP_030381449.1|SLEB, LOC115629190|XP_030381450.1|SLEB	LOC119069532|XP_037029503.1|BCOP
OG0000292	LOC115622507|XP_030372316.1|SLEB	LOC119071208|XP_037031894.1|BCOP, LOC119076683|XP_037039478.1|BCOP, LOC119071211|XP_037031901.1|BCOP
OG0000294	LOC115626156|XP_030377280.1|SLEB	LOC119084999|XP_037051065.1|BCOP
OG0000294	LOC115628011|XP_030379794.1|SLEB	LOC119074772|XP_037036939.1|BCOP
OG0000295	LOC115634207|XP_030387660.1|SLEB, LOC115621438|XP_030370951.1|SLEB, LOC115631150|XP_030383684.1|SLEB, LOC115620577|XP_030369741.1|SLEB	LOC119075574|XP_037037937.1|BCOP, LOC119076095|XP_037038645.1|BCOP
OG0000296	LOC115626003|XP_030377110.1|SLEB, LOC115632655|XP_030385746.1|SLEB, LOC115633248|XP_030386505.1|SLEB	LOC119077601|XP_037040709.1|BCOP
OG0000299	LOC115621106|XP_030370505.1|SLEB, LOC115621107|XP_030370508.1|SLEB, LOC115620994|XP_030370374.1|SLEB	LOC119070052|XP_037030237.1|BCOP
OG0000301	LOC115627835|XP_030379540.1|SLEB	LOC119074149|XP_037036044.1|BCOP
OG0000301	LOC115631508|XP_030384133.1|SLEB	LOC119077138|XP_037040212.1|BCOP
OG0000302	LOC115622720|XP_030372621.1|SLEB, LOC115622723|XP_030372624.1|SLEB	LOC119080494|XP_037044783.1|BCOP, LOC119072861|XP_037034064.1|BCOP, LOC119073588|XP_037035055.1|BCOP, LOC119074028|XP_037035864.1|BCOP, LOC119073577|XP_037035038.1|BCOP
OG0000303	LOC115623204|XP_030373289.1|SLEB, LOC115627907|XP_030379662.1|SLEB, LOC115627884|XP_030379630.1|SLEB	LOC119085022|XP_037051095.1|BCOP
OG0000304	LOC115626437|XP_030377672.1|SLEB, LOC115620846|XP_030370149.1|SLEB, LOC115620932|XP_030370299.1|SLEB	LOC119082809|XP_037048352.1|BCOP
OG0000305	LOC115624852|XP_030375557.1|SLEB	LOC119071780|XP_037032733.1|BCOP, LOC119071775|XP_037032725.1|BCOP, LOC119071803|XP_037032764.1|BCOP
OG0000306	LOC115630964|XP_030383407.1|SLEB, LOC115627989|XP_030379748.1|SLEB, LOC115626971|XP_030378346.1|SLEB	LOC119067200|XP_037025932.1|BCOP
OG0000307	LOC115623546|XP_030373791.1|SLEB	LOC119082217|XP_037047562.1|BCOP
OG0000307	LOC115620661|XP_030369872.1|SLEB	LOC119069966|XP_037030095.1|BCOP
OG0000310	LOC115627310|XP_030378813.1|SLEB, LOC115633228|XP_030386481.1|SLEB	LOC119079621|XP_037043512.1|BCOP, LOC119072803|XP_037033995.1|BCOP
OG0000311	LOC115627454|XP_030378982.1|SLEB	LOC119068547|XP_037028070.1|BCOP
OG0000312	LOC115626574|XP_030377813.1|SLEB	LOC119073038|XP_037034250.1|BCOP
OG0000312	LOC115631394|XP_030383976.1|SLEB	LOC119073030|XP_037034242.1|BCOP
OG0000313	LOC115629415|XP_030381760.1|SLEB, LOC115628461|XP_030380441.1|SLEB, LOC115625678|XP_030376674.1|SLEB	LOC119076263|XP_037038832.1|BCOP
OG0000314	LOC115631544|XP_030384179.1|SLEB, LOC115630940|XP_030383367.1|SLEB	LOC119079033|XP_037042712.1|BCOP
OG0000315	LOC115631181|XP_030383731.1|SLEB	LOC119081600|XP_037046530.1|BCOP
OG0000316	LOC115633897|XP_030387261.1|SLEB, LOC115634085|XP_030387500.1|SLEB	LOC119077155|XP_037040238.1|BCOP, LOC119077157|XP_037040242.1|BCOP
OG0000320	LOC115629981|XP_030382463.1|SLEB, LOC115624240|XP_030374718.1|SLEB, LOC115621638|XP_030371199.1|SLEB	LOC119070506|XP_037030758.1|BCOP
OG0000321	LOC115630950|XP_030383380.1|SLEB, LOC115630952|XP_030383384.1|SLEB	LOC119077080|XP_037040136.1|BCOP, LOC119066402|XP_037024758.1|BCOP, LOC119077079|XP_037040134.1|BCOP
OG0000322	LOC115623960|XP_030374387.1|SLEB, LOC115629237|XP_030381511.1|SLEB, LOC115628052|XP_030379861.1|SLEB	LOC119073840|XP_037035607.1|BCOP
OG0000323	LOC115625779|XP_030376810.1|SLEB	LOC119082091|XP_037047353.1|BCOP
OG0000324	LOC115623632|XP_030373937.1|SLEB	LOC119083568|XP_037049210.1|BCOP, LOC119066852|XP_037025414.1|BCOP, LOC119084265|XP_037050074.1|BCOP
OG0000325	LOC115628210|XP_030380066.1|SLEB	LOC119067532|XP_037026481.1|BCOP, LOC119072810|XP_037033999.1|BCOP, LOC119071922|XP_037032939.1|BCOP
OG0000326	LOC115630340|XP_030382733.1|SLEB, LOC115633592|XP_030386896.1|SLEB, LOC115630341|XP_030382735.1|SLEB	LOC119077566|XP_037040671.1|BCOP, LOC119077546|XP_037040650.1|BCOP
OG0000331	LOC115631121|XP_030383644.1|SLEB	LOC119085094|XP_037051233.1|BCOP
OG0000332	LOC115627530|XP_030379091.1|SLEB	LOC119074533|XP_037036595.1|BCOP
OG0000332	LOC115627528|XP_030379088.1|SLEB	LOC119069770|XP_037029801.1|BCOP
OG0000333	LOC115622388|XP_030372172.1|SLEB, LOC115622978|XP_030372989.1|SLEB, LOC115623119|XP_030373187.1|SLEB, LOC115622149|XP_030371875.1|SLEB	LOC119077073|XP_037040116.1|BCOP
OG0000334	LOC115632839|XP_030385955.1|SLEB, LOC115627411|XP_030378931.1|SLEB, LOC115634426|XP_030387996.1|SLEB	LOC119072496|XP_037033633.1|BCOP
OG0000335	LOC115634471|XP_030388058.1|SLEB, LOC115626000|XP_030377106.1|SLEB	LOC119084089|XP_037049821.1|BCOP, LOC119082721|XP_037048196.1|BCOP, LOC119085128|XP_037051293.1|BCOP, LOC119076242|XP_037038801.1|BCOP
OG0000338	LOC115628270|XP_030380153.1|SLEB	LOC119078007|XP_037041294.1|BCOP
OG0000338	LOC115620062|XP_030369062.1|SLEB	LOC119066489|XP_037024892.1|BCOP, LOC119083850|XP_037049552.1|BCOP
OG0000340	LOC115634708|XP_030388448.1|SLEB	LOC119071512|XP_037032276.1|BCOP
OG0000342	LOC115627804|XP_030379494.1|SLEB, LOC115625975|XP_030377078.1|SLEB	LOC119081258|XP_037045890.1|BCOP
OG0000343	LOC115625520|XP_030376444.1|SLEB	LOC119068531|XP_037028036.1|BCOP
OG0000344	LOC115633833|XP_030387180.1|SLEB, LOC115621889|XP_030371577.1|SLEB	LOC119081422|XP_037046227.1|BCOP, LOC119079476|XP_037043308.1|BCOP
OG0000345	LOC115630401|XP_030382791.1|SLEB	LOC119073774|XP_037035336.1|BCOP
OG0000345	LOC115624987|XP_030375709.1|SLEB	LOC119072359|XP_037033443.1|BCOP
OG0000346	LOC115631504|XP_030384128.1|SLEB	LOC119073446|XP_037034834.1|BCOP, LOC119073447|XP_037034835.1|BCOP
OG0000347	LOC115627038|XP_030378431.1|SLEB, LOC115624976|XP_030375691.1|SLEB	LOC119080480|XP_037044760.1|BCOP
OG0000347	LOC115631153|XP_030383685.1|SLEB	LOC119083271|XP_037048852.1|BCOP
OG0000348	LOC115630607|XP_030383089.1|SLEB, LOC115630561|XP_030383035.1|SLEB	LOC119078747|XP_037042342.1|BCOP
OG0000349	LOC115625747|XP_030376762.1|SLEB	LOC119066541|XP_037024966.1|BCOP
OG0000351	LOC115624890|XP_030375598.1|SLEB	LOC119086050|XP_037052519.1|BCOP, LOC119081793|XP_037046898.1|BCOP
OG0000353	LOC115620418|XP_030369502.1|SLEB	LOC119076419|XP_037039057.1|BCOP
OG0000353	LOC115626602|XP_030377851.1|SLEB	LOC119078690|XP_037042246.1|BCOP
OG0000354	LOC115631808|XP_030384505.1|SLEB	LOC119081704|XP_037046709.1|BCOP, LOC119083874|XP_037049582.1|BCOP
OG0000355	LOC115625225|XP_030376073.1|SLEB, LOC115620007|XP_030368969.1|SLEB, LOC115620002|XP_030368955.1|SLEB	LOC119073525|XP_037034957.1|BCOP, LOC119073519|XP_037034946.1|BCOP
OG0000356	LOC115631046|XP_030383538.1|SLEB, LOC115631471|XP_030384084.1|SLEB, LOC115631302|XP_030383876.1|SLEB, LOC115631047|XP_030383539.1|SLEB, LOC115631521|XP_030384151.1|SLEB	LOC119066150|XP_037024343.1|BCOP, LOC119082767|XP_037048255.1|BCOP, LOC119082769|XP_037048258.1|BCOP, LOC119082770|XP_037048260.1|BCOP
OG0000361	LOC115626293|XP_030377479.1|SLEB, LOC115626260|XP_030377429.1|SLEB	LOC119067236|XP_037025990.1|BCOP
OG0000362	LOC115627725|XP_030379337.1|SLEB	LOC119077956|XP_037041225.1|BCOP
OG0000362	LOC115632155|XP_030385034.1|SLEB	LOC119070686|XP_037031031.1|BCOP
OG0000363	LOC115625246|XP_030376098.1|SLEB	LOC119077736|XP_037040910.1|BCOP
OG0000363	LOC115622168|XP_030371903.1|SLEB	LOC119081248|XP_037045869.1|BCOP
OG0000364	LOC115622449|XP_030372251.1|SLEB	LOC119067630|XP_037026618.1|BCOP
OG0000364	LOC115622947|XP_030372939.1|SLEB	LOC119073731|XP_037035258.1|BCOP
OG0000365	LOC115620013|XP_030368974.1|SLEB	LOC119077426|XP_037040546.1|BCOP
OG0000365	LOC115631326|XP_030383906.1|SLEB	LOC119076237|XP_037038792.1|BCOP
OG0000366	LOC115627532|XP_030379093.1|SLEB	LOC119068589|XP_037028130.1|BCOP
OG0000366	LOC115624196|XP_030374658.1|SLEB	LOC119084358|XP_037050199.1|BCOP
OG0000367	LOC115632526|XP_030385583.1|SLEB, LOC115634265|XP_030387748.1|SLEB	LOC119083166|XP_037048708.1|BCOP
OG0000368	LOC115623210|XP_030373299.1|SLEB	LOC119077211|XP_037040291.1|BCOP
OG0000376	LOC115626726|XP_030378032.1|SLEB	LOC119067548|XP_037026508.1|BCOP
OG0000377	LOC115633207|XP_030386450.1|SLEB	LOC119068724|XP_037028311.1|BCOP, LOC119072152|XP_037033188.1|BCOP
OG0000378	LOC115625212|XP_030376046.1|SLEB	LOC119075875|XP_037038334.1|BCOP, LOC119070094|XP_037030300.1|BCOP, LOC119079900|XP_037043884.1|BCOP
OG0000378	LOC115627516|XP_030379070.1|SLEB	LOC119074113|XP_037035975.1|BCOP, LOC119067000|XP_037025623.1|BCOP
OG0000379	LOC115620056|XP_030369054.1|SLEB	LOC119079407|XP_037043192.1|BCOP
OG0000380	LOC115629241|XP_030381522.1|SLEB, LOC115628192|XP_030380049.1|SLEB, LOC115632566|XP_030385644.1|SLEB	LOC119077504|XP_037040628.1|BCOP
OG0000381	LOC115626332|XP_030377535.1|SLEB, LOC115626304|XP_030377494.1|SLEB	LOC119070927|XP_037031365.1|BCOP
OG0000382	LOC115632481|XP_030385514.1|SLEB, LOC115632203|XP_030385112.1|SLEB	LOC119085521|XP_037051831.1|BCOP, LOC119075789|XP_037038247.1|BCOP, LOC119076298|XP_037038857.1|BCOP
OG0000383	LOC115628524|XP_030380543.1|SLEB	LOC119078292|XP_037041681.1|BCOP, LOC119078293|XP_037041682.1|BCOP, LOC119075711|XP_037038129.1|BCOP, LOC119076382|XP_037038996.1|BCOP, LOC119073281|XP_037034560.1|BCOP
OG0000383	LOC115631890|XP_030384599.1|SLEB	LOC119077405|XP_037040510.1|BCOP
OG0000384	LOC115621918|XP_030371624.1|SLEB	LOC119081632|XP_037046579.1|BCOP
OG0000384	LOC115633876|XP_030387241.1|SLEB	LOC119081631|XP_037046578.1|BCOP
OG0000385	LOC115628811|XP_030380894.1|SLEB	LOC119069487|XP_037029452.1|BCOP
OG0000385	LOC115628867|XP_030380981.1|SLEB	LOC119073148|XP_037034343.1|BCOP, LOC119073149|XP_037034345.1|BCOP
OG0000386	LOC115622934|XP_030372924.1|SLEB, LOC115621527|XP_030371053.1|SLEB, LOC115621526|XP_030371052.1|SLEB	LOC119076950|XP_037039898.1|BCOP
OG0000389	LOC115628089|XP_030379926.1|SLEB	LOC119068236|XP_037027651.1|BCOP
OG0000389	LOC115632417|XP_030385414.1|SLEB	LOC119080247|XP_037044392.1|BCOP
OG0000390	LOC115630437|XP_030382857.1|SLEB, LOC115629233|XP_030381506.1|SLEB, LOC115620333|XP_030369390.1|SLEB, LOC115627576|XP_030379158.1|SLEB	LOC119069527|XP_037029496.1|BCOP, LOC119072159|XP_037033211.1|BCOP, LOC119075143|XP_037037430.1|BCOP, LOC119068172|XP_037027552.1|BCOP
OG0000391	LOC115625692|XP_030376696.1|SLEB	LOC119083572|XP_037049213.1|BCOP
OG0000391	LOC115627082|XP_030378494.1|SLEB	LOC119082568|XP_037047991.1|BCOP
OG0000392	LOC115628606|XP_030380650.1|SLEB, LOC115628605|XP_030380649.1|SLEB	LOC119076352|XP_037038944.1|BCOP, LOC119076375|XP_037038986.1|BCOP
OG0000393	LOC115630547|XP_030383016.1|SLEB	LOC119075844|XP_037038286.1|BCOP
OG0000394	LOC115630035|XP_030382527.1|SLEB	LOC119081515|XP_037046420.1|BCOP, LOC119081232|XP_037045853.1|BCOP
OG0000399	LOC115625106|XP_030375869.1|SLEB, LOC115625369|XP_030376265.1|SLEB, LOC115625363|XP_030376260.1|SLEB	LOC119069132|XP_037028932.1|BCOP
OG0000400	LOC115627473|XP_030379009.1|SLEB, LOC115627608|XP_030379197.1|SLEB	LOC119068343|XP_037027794.1|BCOP, LOC119071263|XP_037032012.1|BCOP
OG0000401	LOC115632886|XP_030386025.1|SLEB, LOC115627955|XP_030379709.1|SLEB	LOC119070397|XP_037030612.1|BCOP
OG0000402	LOC115629698|XP_030382077.1|SLEB	LOC119085779|XP_037052174.1|BCOP, LOC119085789|XP_037052185.1|BCOP, LOC119085815|XP_037052202.1|BCOP, LOC119074641|XP_037036812.1|BCOP, LOC119069172|XP_037028988.1|BCOP, LOC119085637|XP_037051976.1|BCOP, LOC119085750|XP_037052130.1|BCOP, LOC119085771|XP_037052162.1|BCOP, LOC119085617|XP_037051940.1|BCOP, LOC119068987|XP_037028754.1|BCOP, LOC119074271|XP_037036188.1|BCOP
OG0000404	LOC115620247|XP_030369256.1|SLEB	LOC119069038|XP_037028802.1|BCOP
OG0000405	LOC115629105|XP_030381287.1|SLEB	LOC119069670|XP_037029683.1|BCOP
OG0000406	LOC115622181|XP_030371929.1|SLEB, LOC115626215|XP_030377374.1|SLEB	LOC119081238|XP_037045860.1|BCOP
OG0000407	LOC115623259|XP_030373389.1|SLEB	LOC119075885|XP_037038349.1|BCOP, LOC119077364|XP_037040444.1|BCOP
OG0000407	LOC115633064|XP_030386285.1|SLEB	LOC119078083|XP_037041440.1|BCOP
OG0000408	LOC115626543|XP_030377781.1|SLEB, LOC115628619|XP_030380663.1|SLEB	LOC119085892|XP_037052324.1|BCOP, LOC119085890|XP_037052322.1|BCOP, LOC119071801|XP_037032762.1|BCOP
OG0000409	LOC115633694|XP_030387011.1|SLEB, LOC115622724|XP_030372628.1|SLEB	LOC119081920|XP_037047057.1|BCOP
OG0000410	LOC115630809|XP_030383337.1|SLEB	LOC119085985|XP_037052445.1|BCOP
OG0000411	LOC115623354|XP_030373497.1|SLEB	LOC119072768|XP_037033957.1|BCOP
OG0000411	LOC115626310|XP_030377505.1|SLEB	LOC119066259|XP_037024507.1|BCOP
OG0000412	LOC115624563|XP_030375152.1|SLEB	LOC119072266|XP_037033352.1|BCOP
OG0000412	LOC115633113|XP_030386358.1|SLEB	LOC119074392|XP_037036407.1|BCOP
OG0000413	LOC115623772|XP_030374168.1|SLEB, LOC115623920|XP_030374337.1|SLEB, LOC115623918|XP_030374334.1|SLEB	LOC119081075|XP_037045713.1|BCOP, LOC119083270|XP_037048851.1|BCOP
OG0000414	LOC115624742|XP_030375429.1|SLEB	LOC119071902|XP_037032907.1|BCOP, LOC119078540|XP_037042004.1|BCOP
OG0000415	LOC115629761|XP_030382167.1|SLEB, LOC115628916|XP_030381039.1|SLEB, LOC115628857|XP_030380967.1|SLEB, LOC115628856|XP_030380966.1|SLEB, LOC115628858|XP_030380969.1|SLEB, LOC115619954|XP_030368843.1|SLEB, LOC115619956|XP_030368844.1|SLEB	LOC119078879|XP_037042495.1|BCOP, LOC119072483|XP_037033610.1|BCOP
OG0000416	LOC115627013|XP_030378394.1|SLEB	LOC119068914|XP_037028672.1|BCOP
OG0000416	LOC115629177|XP_030381411.1|SLEB	LOC119070339|XP_037030522.1|BCOP
OG0000417	LOC115625178|XP_030376002.1|SLEB	LOC119067951|XP_037027166.1|BCOP
OG0000417	LOC115620783|XP_030370052.1|SLEB	LOC119072578|XP_037033722.1|BCOP, LOC119070102|XP_037030312.1|BCOP
OG0000418	LOC115628876|XP_030380992.1|SLEB, LOC115627496|XP_030379044.1|SLEB	LOC119069913|XP_037030024.1|BCOP, LOC119077957|XP_037041226.1|BCOP, LOC119069912|XP_037030021.1|BCOP
OG0000419	LOC115634225|XP_030387677.1|SLEB	LOC119080011|XP_037044082.1|BCOP
OG0000421	LOC115626292|XP_030377476.1|SLEB	LOC119070896|XP_037031317.1|BCOP
OG0000421	LOC115631970|XP_030384729.1|SLEB	LOC119075312|XP_037037621.1|BCOP
OG0000422	LOC115621841|XP_030371512.1|SLEB	LOC119082139|XP_037047413.1|BCOP, LOC119067832|XP_037026904.1|BCOP, LOC119066110|XP_037024282.1|BCOP, LOC119071053|XP_037031566.1|BCOP, LOC119078059|XP_037041429.1|BCOP, LOC119077681|XP_037040878.1|BCOP, LOC119077605|XP_037040750.1|BCOP, LOC119078233|XP_037041633.1|BCOP
OG0000423	LOC115632151|XP_030385032.1|SLEB, LOC115634186|XP_030387633.1|SLEB	LOC119071892|XP_037032887.1|BCOP
OG0000424	LOC115631983|XP_030384753.1|SLEB	LOC119066684|XP_037025172.1|BCOP, LOC119066686|XP_037025173.1|BCOP, LOC119066687|XP_037025174.1|BCOP
OG0000424	LOC115633676|XP_030386989.1|SLEB, LOC115628066|XP_030379897.1|SLEB	LOC119071386|XP_037032150.1|BCOP
OG0000425	LOC115634281|XP_030387775.1|SLEB, LOC115620163|XP_030369151.1|SLEB	LOC119085394|XP_037051687.1|BCOP
OG0000425	LOC115624910|XP_030375619.1|SLEB	LOC119085445|XP_037051761.1|BCOP
OG0000433	LOC115627040|XP_030378432.1|SLEB	LOC119067715|XP_037026723.1|BCOP
OG0000433	LOC115622874|XP_030372824.1|SLEB	LOC119080957|XP_037045481.1|BCOP
OG0000434	LOC115620785|XP_030370059.1|SLEB	LOC119081547|XP_037046463.1|BCOP
OG0000434	LOC115620044|XP_030369023.1|SLEB	LOC119081557|XP_037046485.1|BCOP
