Orthogroup	SLEB.longest_only	DSUP.longest_only
OG0001349	LOC115622456|XP_030372258.1|SLEB	LOC119552779|XP_037718518.1|DSUP
OG0001350	LOC115628722|XP_030380778.1|SLEB, LOC115629038|XP_030381199.1|SLEB	LOC119555171|XP_037722350.1|DSUP
OG0001351	LOC115634141|XP_030387576.1|SLEB, LOC115634413|XP_030387971.1|SLEB	LOC119550544|XP_037715202.1|DSUP, LOC119550066|XP_037714458.1|DSUP
OG0001352	LOC115622940|XP_030372934.1|SLEB	LOC119559373|XP_037728341.1|DSUP, LOC119559440|XP_037728468.1|DSUP
OG0001353	LOC115628682|XP_030380715.1|SLEB	LOC119554207|XP_037720937.1|DSUP
OG0001354	LOC115633280|XP_030386552.1|SLEB	LOC119558813|XP_037728007.1|DSUP, LOC119550630|XP_037715390.1|DSUP
OG0001355	LOC115631923|XP_030384637.1|SLEB	LOC119549953|XP_037714265.1|DSUP
OG0001356	LOC115632021|XP_030384824.1|SLEB	LOC119545786|XP_037707590.1|DSUP
OG0001357	LOC115622827|XP_030372765.1|SLEB	LOC119553082|XP_037719159.1|DSUP
OG0001358	LOC115622604|XP_030372466.1|SLEB	LOC119555505|XP_037722851.1|DSUP
OG0001359	LOC115626145|XP_030377269.1|SLEB	LOC119548053|XP_037711063.1|DSUP
OG0001360	LOC115633648|XP_030386949.1|SLEB	LOC119550027|XP_037714378.1|DSUP
OG0001361	LOC115632595|XP_030385680.1|SLEB	LOC119553103|XP_037719200.1|DSUP
OG0001362	LOC115634654|XP_030388371.1|SLEB, LOC115633091|XP_030386330.1|SLEB	LOC119555291|XP_037722535.1|DSUP
OG0001363	LOC115624011|XP_030374444.1|SLEB	LOC119560945|XP_037730611.1|DSUP
OG0001364	LOC115633595|XP_030386901.1|SLEB	LOC119550703|XP_037715506.1|DSUP
OG0001365	LOC115622793|XP_030372717.1|SLEB	LOC119552832|XP_037718615.1|DSUP
OG0001366	LOC115622894|XP_030372869.1|SLEB	LOC119552893|XP_037718736.1|DSUP
OG0001367	LOC115627533|XP_030379108.1|SLEB	LOC119549182|XP_037712920.1|DSUP
OG0001368	LOC115621807|XP_030371455.1|SLEB	LOC119550167|XP_037714630.1|DSUP, LOC119550161|XP_037714620.1|DSUP
OG0001369	LOC115630643|XP_030383143.1|SLEB, LOC115620631|XP_030369821.1|SLEB	LOC119557448|XP_037726141.1|DSUP, LOC119556755|XP_037725105.1|DSUP
OG0001370	LOC115623745|XP_030374124.1|SLEB	LOC119549036|XP_037712647.1|DSUP
OG0001372	LOC115634020|XP_030387406.1|SLEB, LOC115629500|XP_030381869.1|SLEB	LOC119549941|XP_037714251.1|DSUP
OG0001373	LOC115622103|XP_030371805.1|SLEB	LOC119548312|XP_037711416.1|DSUP
OG0001374	LOC115629270|XP_030381557.1|SLEB	LOC119551721|XP_037717150.1|DSUP
OG0001375	LOC115623511|XP_030373750.1|SLEB	LOC119560413|XP_037729776.1|DSUP
OG0001376	LOC115633526|XP_030386848.1|SLEB	LOC119552021|XP_037717686.1|DSUP
OG0001377	LOC115630998|XP_030383451.1|SLEB, LOC115622102|XP_030371804.1|SLEB	LOC119546178|XP_037708229.1|DSUP
OG0001378	LOC115629004|XP_030381150.1|SLEB	LOC119546918|XP_037709475.1|DSUP
OG0001379	LOC115631432|XP_030384027.1|SLEB	LOC119548001|XP_037710988.1|DSUP
OG0001380	LOC115625281|XP_030376154.1|SLEB	LOC119559143|XP_037728133.1|DSUP, LOC119559153|XP_037728151.1|DSUP
OG0001381	LOC115621260|XP_030370721.1|SLEB	LOC119549051|XP_037712673.1|DSUP
OG0001382	LOC115628493|XP_030380486.1|SLEB	LOC119548673|XP_037712040.1|DSUP
OG0001383	LOC115634117|XP_030387541.1|SLEB	LOC119550522|XP_037715160.1|DSUP
OG0001384	LOC115625769|XP_030376796.1|SLEB	LOC119548600|XP_037711884.1|DSUP, LOC119548597|XP_037711881.1|DSUP
OG0001385	LOC115625756|XP_030376773.1|SLEB	LOC119546162|XP_037708209.1|DSUP
OG0001387	LOC115631079|XP_030383586.1|SLEB	LOC119548180|XP_037711222.1|DSUP
OG0001388	LOC115631132|XP_030383659.1|SLEB	LOC119548680|XP_037712052.1|DSUP
OG0001389	LOC115621466|XP_030370986.1|SLEB	LOC119563272|XP_037732522.1|DSUP
OG0001390	LOC115630474|XP_030382907.1|SLEB	LOC119548425|XP_037711593.1|DSUP
OG0001391	LOC115626151|XP_030377276.1|SLEB	LOC119547480|XP_037710293.1|DSUP
OG0001392	LOC115628718|XP_030380775.1|SLEB	LOC119556605|XP_037724846.1|DSUP
OG0001393	LOC115627766|XP_030379421.1|SLEB	LOC119546571|XP_037708892.1|DSUP
OG0001394	LOC115627741|XP_030379376.1|SLEB	LOC119547700|XP_037710602.1|DSUP
OG0001395	LOC115625571|XP_030376528.1|SLEB	LOC119560179|XP_037729471.1|DSUP
OG0001396	LOC115627786|XP_030379465.1|SLEB	LOC119556634|XP_037724888.1|DSUP
OG0001397	LOC115623971|XP_030374400.1|SLEB	LOC119563138|XP_037732323.1|DSUP
OG0001398	LOC115629486|XP_030381817.1|SLEB	LOC119558395|XP_037727850.1|DSUP
OG0001399	LOC115634253|XP_030387707.1|SLEB	LOC119559607|XP_037728548.1|DSUP
OG0001400	LOC115623393|XP_030373560.1|SLEB, LOC115620327|XP_030369381.1|SLEB	LOC119562986|XP_037732092.1|DSUP
OG0001401	LOC115622270|XP_030372032.1|SLEB	LOC119553731|XP_037720247.1|DSUP
OG0001402	LOC115633960|XP_030387340.1|SLEB	LOC119555472|XP_037722806.1|DSUP, LOC119555462|XP_037722796.1|DSUP
OG0001403	LOC115620320|XP_030369377.1|SLEB	LOC119554938|XP_037721975.1|DSUP
OG0001404	LOC115622818|XP_030372754.1|SLEB	LOC119549017|XP_037712589.1|DSUP
OG0001405	LOC115622325|XP_030372094.1|SLEB	LOC119551134|XP_037716252.1|DSUP
OG0001406	LOC115628668|XP_030380697.1|SLEB	LOC119556079|XP_037723859.1|DSUP
OG0001407	LOC115632337|XP_030385302.1|SLEB	LOC119555297|XP_037722541.1|DSUP
OG0001408	LOC115625752|XP_030376771.1|SLEB	LOC119550043|XP_037714424.1|DSUP
OG0001411	LOC115623718|XP_030374059.1|SLEB	LOC119560586|XP_037730040.1|DSUP
OG0001412	LOC115631486|XP_030384102.1|SLEB	LOC119546053|XP_037708045.1|DSUP, LOC119547293|XP_037710009.1|DSUP
OG0001413	LOC115632243|XP_030385207.1|SLEB	LOC119551129|XP_037716241.1|DSUP, LOC119550766|XP_037715619.1|DSUP
OG0001414	LOC115634692|XP_030388428.1|SLEB, LOC115634694|XP_030388429.1|SLEB	LOC119551624|XP_037716975.1|DSUP
OG0001415	LOC115627376|XP_030378889.1|SLEB	LOC119549650|XP_037713763.1|DSUP
OG0001416	LOC115625987|XP_030377093.1|SLEB	LOC119548431|XP_037711603.1|DSUP
OG0001416	LOC115624834|XP_030375540.1|SLEB	LOC119555347|XP_037722613.1|DSUP
OG0001417	LOC115629935|XP_030382401.1|SLEB	LOC119557879|XP_037726808.1|DSUP, LOC119557141|XP_037725651.1|DSUP
OG0001418	LOC115622488|XP_030372294.1|SLEB, LOC115622492|XP_030372297.1|SLEB	LOC119553899|XP_037720497.1|DSUP, LOC119553289|XP_037719528.1|DSUP
OG0001419	LOC115626115|XP_030377230.1|SLEB	LOC119546375|XP_037708535.1|DSUP, LOC119547515|XP_037710336.1|DSUP
OG0001420	LOC115622823|XP_030372758.1|SLEB	LOC119563108|XP_037732279.1|DSUP
OG0001421	LOC115631332|XP_030383913.1|SLEB	LOC119548585|XP_037711846.1|DSUP, LOC119546058|XP_037708054.1|DSUP, LOC119546425|XP_037708621.1|DSUP
OG0001422	LOC115624683|XP_030375345.1|SLEB	LOC119555349|XP_037722615.1|DSUP, LOC119555345|XP_037722611.1|DSUP
OG0001423	LOC115623524|XP_030373767.1|SLEB	LOC119554548|XP_037721442.1|DSUP
OG0001425	LOC115621289|XP_030370755.1|SLEB, LOC115620957|XP_030370340.1|SLEB, LOC115631157|XP_030383697.1|SLEB	LOC119551553|XP_037716876.1|DSUP, LOC119551552|XP_037716875.1|DSUP
OG0001426	LOC115631562|XP_030384213.1|SLEB	LOC119548530|XP_037711752.1|DSUP
OG0001426	LOC115630719|XP_030383231.1|SLEB	LOC119555812|XP_037723358.1|DSUP
OG0001427	LOC115634539|XP_030388209.1|SLEB	LOC119551811|XP_037717300.1|DSUP, LOC119547357|XP_037710102.1|DSUP
OG0001429	LOC115620216|XP_030369214.1|SLEB	LOC119559983|XP_037729169.1|DSUP
OG0001430	LOC115621464|XP_030370983.1|SLEB	LOC119559866|XP_037728902.1|DSUP
OG0001431	LOC115627276|XP_030378766.1|SLEB	LOC119556661|XP_037724937.1|DSUP, LOC119556061|XP_037723796.1|DSUP
OG0001432	LOC115626646|XP_030377911.1|SLEB	LOC119558189|XP_037727396.1|DSUP
OG0001433	LOC115620859|XP_030370178.1|SLEB	LOC119549033|XP_037712648.1|DSUP
OG0001434	LOC115626798|XP_030378125.1|SLEB	LOC119557942|XP_037726888.1|DSUP
OG0001435	LOC115634053|XP_030387458.1|SLEB	LOC119549241|XP_037713067.1|DSUP
OG0001436	LOC115628845|XP_030380950.1|SLEB	LOC119557524|XP_037726225.1|DSUP
OG0001437	LOC115625555|XP_030376507.1|SLEB	LOC119546569|XP_037708889.1|DSUP
OG0001438	LOC115620546|XP_030369689.1|SLEB	LOC119548441|XP_037711632.1|DSUP
OG0001439	LOC115620346|XP_030369406.1|SLEB	LOC119563005|XP_037732122.1|DSUP
OG0001440	LOC115629685|XP_030382067.1|SLEB	LOC119557887|XP_037726818.1|DSUP
OG0001441	LOC115627199|XP_030378677.1|SLEB	LOC119557700|XP_037726502.1|DSUP
OG0001442	LOC115625875|XP_030376950.1|SLEB	LOC119546787|XP_037709272.1|DSUP
OG0001443	LOC115621688|XP_030371258.1|SLEB	LOC119550919|XP_037715863.1|DSUP
OG0001444	LOC115621254|XP_030370710.1|SLEB	LOC119560748|XP_037730293.1|DSUP, LOC119559263|XP_037728262.1|DSUP
OG0001445	LOC115621156|XP_030370572.1|SLEB	LOC119560809|XP_037730370.1|DSUP
OG0001446	LOC115621219|XP_030370662.1|SLEB	LOC119557719|XP_037726532.1|DSUP
OG0001447	LOC115623416|XP_030373587.1|SLEB	LOC119555489|XP_037722830.1|DSUP
OG0001448	LOC115621787|XP_030371413.1|SLEB	LOC119549123|XP_037712818.1|DSUP
OG0001449	LOC115633051|XP_030386257.1|SLEB	LOC119548997|XP_037712531.1|DSUP
OG0001450	LOC115626281|XP_030377464.1|SLEB	LOC119561544|XP_037731121.1|DSUP
OG0001451	LOC115634567|XP_030388250.1|SLEB	LOC119551046|XP_037716084.1|DSUP
OG0001452	LOC115628284|XP_030380179.1|SLEB	LOC119549876|XP_037714105.1|DSUP
OG0001453	LOC115632313|XP_030385274.1|SLEB	LOC119554241|XP_037721004.1|DSUP
OG0001454	LOC115620384|XP_030369452.1|SLEB	LOC119559279|XP_037728274.1|DSUP, LOC119556014|XP_037723714.1|DSUP
OG0001455	LOC115632173|XP_030385064.1|SLEB, LOC115632713|XP_030385815.1|SLEB	LOC119555325|XP_037722580.1|DSUP
OG0001456	LOC115620079|XP_030369119.1|SLEB	LOC119551941|XP_037717560.1|DSUP
OG0001457	LOC115622956|XP_030372995.1|SLEB	LOC119549335|XP_037713244.1|DSUP
OG0001458	LOC115634745|XP_030388497.1|SLEB	LOC119551741|XP_037717170.1|DSUP
OG0001459	LOC115632893|XP_030386044.1|SLEB	LOC119554998|XP_037722065.1|DSUP
OG0001460	LOC115634522|XP_030388188.1|SLEB	LOC119551473|XP_037716760.1|DSUP
OG0001461	LOC115629720|XP_030382101.1|SLEB	LOC119556094|XP_037723878.1|DSUP
OG0001462	LOC115632918|XP_030386069.1|SLEB	LOC119552693|XP_037718348.1|DSUP
OG0001463	LOC115623701|XP_030374037.1|SLEB	LOC119562355|XP_037731450.1|DSUP
OG0001464	LOC115633263|XP_030386527.1|SLEB	LOC119556024|XP_037723732.1|DSUP
OG0001465	LOC115630699|XP_030383215.1|SLEB	LOC119551797|XP_037717272.1|DSUP
OG0001466	LOC115630555|XP_030383027.1|SLEB, LOC115630706|XP_030383219.1|SLEB	LOC119546850|XP_037709376.1|DSUP
OG0001467	LOC115631409|XP_030383992.1|SLEB	LOC119548553|XP_037711778.1|DSUP
OG0001468	LOC115622726|XP_030372626.1|SLEB	LOC119552636|XP_037718253.1|DSUP
OG0001469	LOC115634286|XP_030387797.1|SLEB	LOC119551513|XP_037716822.1|DSUP
OG0001470	LOC115622302|XP_030372066.1|SLEB	LOC119554630|XP_037721553.1|DSUP
OG0001472	LOC115621565|XP_030371106.1|SLEB, LOC115632305|XP_030385267.1|SLEB	LOC119552932|XP_037718804.1|DSUP
OG0001473	LOC115621532|XP_030371057.1|SLEB	LOC119560640|XP_037730120.1|DSUP
OG0001474	LOC115626092|XP_030377208.1|SLEB	LOC119557077|XP_037725558.1|DSUP
OG0001475	LOC115628012|XP_030379799.1|SLEB	LOC119551606|XP_037716940.1|DSUP, LOC119562712|XP_037731828.1|DSUP
OG0001476	LOC115630811|XP_030383347.1|SLEB	LOC119556085|XP_037723864.1|DSUP
OG0001477	LOC115620857|XP_030370163.1|SLEB	LOC119545640|XP_037707280.1|DSUP
OG0001478	LOC115632027|XP_030384834.1|SLEB	LOC119548528|XP_037711749.1|DSUP
OG0001479	LOC115627207|XP_030378685.1|SLEB	LOC119556707|XP_037725031.1|DSUP
OG0001480	LOC115631073|XP_030383579.1|SLEB	LOC119546946|XP_037709514.1|DSUP
OG0001481	LOC115631596|XP_030384256.1|SLEB	LOC119548729|XP_037712161.1|DSUP
OG0001482	LOC115634823|XP_030388602.1|SLEB	LOC119551711|XP_037717113.1|DSUP
OG0001483	LOC115625935|XP_030377032.1|SLEB	LOC119559697|XP_037728683.1|DSUP
OG0001484	LOC115627427|XP_030378991.1|SLEB, LOC115631837|XP_030384539.1|SLEB	LOC119547061|XP_037709671.1|DSUP
OG0001485	LOC115620949|XP_030370327.1|SLEB	LOC119554455|XP_037721295.1|DSUP
OG0001486	LOC115631201|XP_030383754.1|SLEB	LOC119546089|XP_037708097.1|DSUP, LOC119548517|XP_037711735.1|DSUP, LOC119547719|XP_037710621.1|DSUP
OG0001487	LOC115633452|XP_030386767.1|SLEB	LOC119562550|XP_037731680.1|DSUP
OG0001488	LOC115633695|XP_030387012.1|SLEB	LOC119550471|XP_037715088.1|DSUP
OG0001490	LOC115629015|XP_030381171.1|SLEB	LOC119546873|XP_037709407.1|DSUP
OG0001491	LOC115631062|XP_030383561.1|SLEB	LOC119548384|XP_037711533.1|DSUP
OG0001493	LOC115628859|XP_030380970.1|SLEB	LOC119550107|XP_037714516.1|DSUP, LOC119556109|XP_037723908.1|DSUP
OG0001494	LOC115629372|XP_030381690.1|SLEB	LOC119557372|XP_037726044.1|DSUP
OG0001495	LOC115627452|XP_030378981.1|SLEB	LOC119549245|XP_037713072.1|DSUP
OG0001496	LOC115632984|XP_030386159.1|SLEB	LOC119553385|XP_037719670.1|DSUP
OG0001496	LOC115629645|XP_030382016.1|SLEB	LOC119557683|XP_037726482.1|DSUP
OG0001497	LOC115625974|XP_030377081.1|SLEB	LOC119551570|XP_037716898.1|DSUP
OG0001500	LOC115633759|XP_030387094.1|SLEB	LOC119549409|XP_037713399.1|DSUP
OG0001501	LOC115623967|XP_030374395.1|SLEB	LOC119552623|XP_037718222.1|DSUP
OG0001502	LOC115634029|XP_030387425.1|SLEB	LOC119549856|XP_037714080.1|DSUP
OG0001503	LOC115631102|XP_030383617.1|SLEB	LOC119549552|XP_037713630.1|DSUP
OG0001504	LOC115627738|XP_030379368.1|SLEB	LOC119558184|XP_037727379.1|DSUP
OG0001505	LOC115633923|XP_030387293.1|SLEB	LOC119549356|XP_037713273.1|DSUP
OG0001506	LOC115634816|XP_030388593.1|SLEB	LOC119550212|XP_037714695.1|DSUP
OG0001507	LOC115624896|XP_030375603.1|SLEB	LOC119549000|XP_037712535.1|DSUP
OG0001508	LOC115631975|XP_030384739.1|SLEB	LOC119550713|XP_037715520.1|DSUP
OG0001509	LOC115634468|XP_030388056.1|SLEB	LOC119550199|XP_037714671.1|DSUP
OG0001510	LOC115626306|XP_030377496.1|SLEB	LOC119562476|XP_037731599.1|DSUP
OG0001511	LOC115624551|XP_030375136.1|SLEB	LOC119551616|XP_037716957.1|DSUP
OG0001512	LOC115628355|XP_030380290.1|SLEB	LOC119553430|XP_037719741.1|DSUP
OG0001515	LOC115627023|XP_030378409.1|SLEB	LOC119557919|XP_037726855.1|DSUP
OG0001516	LOC115621763|XP_030371355.1|SLEB	LOC119554029|XP_037720677.1|DSUP, LOC119554915|XP_037721950.1|DSUP, LOC119554037|XP_037720692.1|DSUP
OG0001517	LOC115620656|XP_030369866.1|SLEB	LOC119552705|XP_037718381.1|DSUP, LOC119562901|XP_037731954.1|DSUP
OG0001518	LOC115627257|XP_030378744.1|SLEB, LOC115629469|XP_030381800.1|SLEB	LOC119557552|XP_037726262.1|DSUP
OG0001520	LOC115625584|XP_030376548.1|SLEB	LOC119560563|XP_037730008.1|DSUP, LOC119561041|XP_037730798.1|DSUP
OG0001521	LOC115626583|XP_030377824.1|SLEB, LOC115625949|XP_030377045.1|SLEB, LOC115625950|XP_030377048.1|SLEB	LOC119546214|XP_037708278.1|DSUP
OG0001522	LOC115625712|XP_030376717.1|SLEB	LOC119546158|XP_037708196.1|DSUP, LOC119547084|XP_037709711.1|DSUP, LOC119556569|XP_037724795.1|DSUP, LOC119556639|XP_037724896.1|DSUP, LOC119556638|XP_037724895.1|DSUP
OG0001524	LOC115624879|XP_030375585.1|SLEB	LOC119549756|XP_037713928.1|DSUP
OG0001525	LOC115628949|XP_030381084.1|SLEB	LOC119556966|XP_037725403.1|DSUP
OG0001525	LOC115628948|XP_030381083.1|SLEB	LOC119557397|XP_037726069.1|DSUP
OG0001526	LOC115633314|XP_030386603.1|SLEB	LOC119557948|XP_037726896.1|DSUP, LOC119556780|XP_037725142.1|DSUP
OG0001527	LOC115627897|XP_030379651.1|SLEB, LOC115627965|XP_030379719.1|SLEB	LOC119557043|XP_037725517.1|DSUP
OG0001529	LOC115629531|XP_030381867.1|SLEB	LOC119557408|XP_037726084.1|DSUP
OG0001531	LOC115633729|XP_030387057.1|SLEB	LOC119550581|XP_037715303.1|DSUP
OG0001534	LOC115628931|XP_030381053.1|SLEB	LOC119558159|XP_037727349.1|DSUP
OG0001535	LOC115629620|XP_030381979.1|SLEB	LOC119556008|XP_037723701.1|DSUP
OG0001536	LOC115626742|XP_030378053.1|SLEB	LOC119557785|XP_037726612.1|DSUP
OG0001537	LOC115631070|XP_030383576.1|SLEB	LOC119548457|XP_037711651.1|DSUP
OG0001538	LOC115632568|XP_030385648.1|SLEB, LOC115632500|XP_030385538.1|SLEB, LOC115624012|XP_030374445.1|SLEB	LOC119556416|XP_037724539.1|DSUP
OG0001539	LOC115634432|XP_030387999.1|SLEB	LOC119550793|XP_037715653.1|DSUP
OG0001540	LOC115631990|XP_030384779.1|SLEB	LOC119546071|XP_037708070.1|DSUP
OG0001541	LOC115632840|XP_030385957.1|SLEB	LOC119554256|XP_037721022.1|DSUP
OG0001542	LOC115630005|XP_030382491.1|SLEB	LOC119559282|XP_037728279.1|DSUP, LOC119558402|XP_037727864.1|DSUP
OG0001543	LOC115627054|XP_030378457.1|SLEB	LOC119558171|XP_037727364.1|DSUP
OG0001544	LOC115627383|XP_030378896.1|SLEB	LOC119557293|XP_037725923.1|DSUP
OG0001545	LOC115626842|XP_030378189.1|SLEB	LOC119556683|XP_037724983.1|DSUP
OG0001546	LOC115626805|XP_030378135.1|SLEB	LOC119556827|XP_037725211.1|DSUP
OG0001547	LOC115629201|XP_030381461.1|SLEB	LOC119556407|XP_037724520.1|DSUP
OG0001548	LOC115626771|XP_030378090.1|SLEB	LOC119556739|XP_037725076.1|DSUP
OG0001549	LOC115631967|XP_030384714.1|SLEB	LOC119546049|XP_037708026.1|DSUP
OG0001550	LOC115622986|XP_030372999.1|SLEB	LOC119545815|XP_037707638.1|DSUP
OG0001551	LOC115621796|XP_030371430.1|SLEB	LOC119550944|XP_037715900.1|DSUP
OG0001552	LOC115622140|XP_030371860.1|SLEB, LOC115620750|XP_030370005.1|SLEB	LOC119555610|XP_037723041.1|DSUP
OG0001553	LOC115628765|XP_030380841.1|SLEB	LOC119557826|XP_037726712.1|DSUP
OG0001554	LOC115620975|XP_030370356.1|SLEB	LOC119553707|XP_037720216.1|DSUP
OG0001555	LOC115631515|XP_030384145.1|SLEB	LOC119546186|XP_037708240.1|DSUP
OG0001556	LOC115633634|XP_030386932.1|SLEB	LOC119551171|XP_037716297.1|DSUP
OG0001557	LOC115628830|XP_030380926.1|SLEB	LOC119556652|XP_037724915.1|DSUP
OG0001558	LOC115627299|XP_030378792.1|SLEB	LOC119556758|XP_037725107.1|DSUP
OG0001559	LOC115625421|XP_030376321.1|SLEB	LOC119562489|XP_037731625.1|DSUP
OG0001560	LOC115624322|XP_030374811.1|SLEB	LOC119560312|XP_037729614.1|DSUP
OG0001561	LOC115621109|XP_030370511.1|SLEB	LOC119546430|XP_037708630.1|DSUP
OG0001562	LOC115625891|XP_030376979.1|SLEB	LOC119548055|XP_037711065.1|DSUP
OG0001563	LOC115628079|XP_030379913.1|SLEB	LOC119560136|XP_037729415.1|DSUP
OG0001564	LOC115621769|XP_030371368.1|SLEB	LOC119560709|XP_037730234.1|DSUP
OG0001565	LOC115621465|XP_030370985.1|SLEB	LOC119560023|XP_037729241.1|DSUP
OG0001566	LOC115621095|XP_030370490.1|SLEB	LOC119563053|XP_037732189.1|DSUP
OG0001567	LOC115634246|XP_030387703.1|SLEB	LOC119549912|XP_037714160.1|DSUP, LOC119552118|XP_037717832.1|DSUP
OG0001568	LOC115620377|XP_030369443.1|SLEB	LOC119545840|XP_037707730.1|DSUP
OG0001569	LOC115621500|XP_030371027.1|SLEB, LOC115625323|XP_030376204.1|SLEB	LOC119560676|XP_037730176.1|DSUP
OG0001570	LOC115620462|XP_030369553.1|SLEB	LOC119551498|XP_037716795.1|DSUP, LOC119554596|XP_037721511.1|DSUP
OG0001571	LOC115631104|XP_030383619.1|SLEB	LOC119546662|XP_037709048.1|DSUP
OG0001572	LOC115627827|XP_030379522.1|SLEB	LOC119557746|XP_037726561.1|DSUP
OG0001573	LOC115622596|XP_030372453.1|SLEB	LOC119552851|XP_037718653.1|DSUP
OG0001574	LOC115629815|XP_030382243.1|SLEB	LOC119557457|XP_037726150.1|DSUP
OG0001575	LOC115627180|XP_030378641.1|SLEB	LOC119562867|XP_037731909.1|DSUP
OG0001576	LOC115624016|XP_030374448.1|SLEB	LOC119563371|XP_037732650.1|DSUP
OG0001577	LOC115620731|XP_030369976.1|SLEB	LOC119548644|XP_037711980.1|DSUP
OG0001578	LOC115628828|XP_030380963.1|SLEB	LOC119550118|XP_037714528.1|DSUP
OG0001579	LOC115627283|XP_030378774.1|SLEB	LOC119558041|XP_037727116.1|DSUP
OG0001580	LOC115625939|XP_030377038.1|SLEB	LOC119549867|XP_037714091.1|DSUP
OG0001581	LOC115629205|XP_030381464.1|SLEB	LOC119558108|XP_037727261.1|DSUP, LOC119559340|XP_037728316.1|DSUP, LOC119546092|XP_037708100.1|DSUP
OG0001582	LOC115634275|XP_030387763.1|SLEB	LOC119551060|XP_037716109.1|DSUP, LOC119551255|XP_037716431.1|DSUP
OG0001583	LOC115620039|XP_030369014.1|SLEB	LOC119550251|XP_037714754.1|DSUP
OG0001584	LOC115622910|XP_030372893.1|SLEB	LOC119553345|XP_037719609.1|DSUP
OG0001585	LOC115628804|XP_030380877.1|SLEB	LOC119558363|XP_037727795.1|DSUP
OG0001586	LOC115628268|XP_030380148.1|SLEB	LOC119552878|XP_037718706.1|DSUP
OG0001587	LOC115630391|XP_030382778.1|SLEB	LOC119561865|XP_037731273.1|DSUP
OG0001588	LOC115630636|XP_030383138.1|SLEB	LOC119551562|XP_037716888.1|DSUP
OG0001589	LOC115633461|XP_030386776.1|SLEB	LOC119562468|XP_037731589.1|DSUP
OG0001590	LOC115629433|XP_030381751.1|SLEB	LOC119551897|XP_037717437.1|DSUP
OG0001591	LOC115624846|XP_030375550.1|SLEB, LOC115622040|XP_030371768.1|SLEB	LOC119561055|XP_037730821.1|DSUP
OG0001592	LOC115628559|XP_030380580.1|SLEB	LOC119546495|XP_037708723.1|DSUP
OG0001593	LOC115628459|XP_030380437.1|SLEB	LOC119548476|XP_037711672.1|DSUP
OG0001594	LOC115630493|XP_030382939.1|SLEB	LOC119546348|XP_037708487.1|DSUP
OG0001595	LOC115620020|XP_030368984.1|SLEB	LOC119550621|XP_037715379.1|DSUP
OG0001596	LOC115625793|XP_030376829.1|SLEB	LOC119546956|XP_037709529.1|DSUP
OG0001597	LOC115626261|XP_030377430.1|SLEB	LOC119562367|XP_037731459.1|DSUP
OG0001598	LOC115626020|XP_030377128.1|SLEB	LOC119546396|XP_037708569.1|DSUP
OG0001599	LOC115628979|XP_030381119.1|SLEB	LOC119546301|XP_037708420.1|DSUP
OG0001600	LOC115626578|XP_030377819.1|SLEB	LOC119547092|XP_037709719.1|DSUP
OG0001601	LOC115626408|XP_030377633.1|SLEB	LOC119562630|XP_037731785.1|DSUP
OG0001602	LOC115625927|XP_030377024.1|SLEB	LOC119547523|XP_037710345.1|DSUP
OG0001603	LOC115626063|XP_030377176.1|SLEB	LOC119547916|XP_037710884.1|DSUP
OG0001604	LOC115629795|XP_030382214.1|SLEB	LOC119556047|XP_037723768.1|DSUP
OG0001605	LOC115633724|XP_030387051.1|SLEB	LOC119550882|XP_037715797.1|DSUP
OG0001606	LOC115629429|XP_030381747.1|SLEB	LOC119562732|XP_037731862.1|DSUP
OG0001607	LOC115631141|XP_030383671.1|SLEB	LOC119547350|XP_037710093.1|DSUP
OG0001608	LOC115624797|XP_030375501.1|SLEB, LOC115625966|XP_030377068.1|SLEB	LOC119547001|XP_037709595.1|DSUP
OG0001609	LOC115634163|XP_030387604.1|SLEB	LOC119550665|XP_037715439.1|DSUP, LOC119550668|XP_037715441.1|DSUP, LOC119549602|XP_037713693.1|DSUP
OG0001610	LOC115625965|XP_030377067.1|SLEB	LOC119547635|XP_037710501.1|DSUP
OG0001611	LOC115630814|XP_030383343.1|SLEB	LOC119547077|XP_037709697.1|DSUP
OG0001612	LOC115631993|XP_030384782.1|SLEB	LOC119547263|XP_037709972.1|DSUP
OG0001613	LOC115632000|XP_030384789.1|SLEB	LOC119547340|XP_037710079.1|DSUP
OG0001614	LOC115619968|XP_030368864.1|SLEB	LOC119550819|XP_037715689.1|DSUP
OG0001616	LOC115631980|XP_030384744.1|SLEB	LOC119546403|XP_037708589.1|DSUP
OG0001617	LOC115628985|XP_030381124.1|SLEB	LOC119546042|XP_037707990.1|DSUP
OG0001618	LOC115627879|XP_030379623.1|SLEB	LOC119547284|XP_037709996.1|DSUP
OG0001619	LOC115626329|XP_030377533.1|SLEB	LOC119548510|XP_037711725.1|DSUP
OG0001620	LOC115633869|XP_030387225.1|SLEB	LOC119551598|XP_037716928.1|DSUP
OG0001621	LOC115628321|XP_030380278.1|SLEB	LOC119550978|XP_037715941.1|DSUP
OG0001622	LOC115633417|XP_030386735.1|SLEB	LOC119556117|XP_037723920.1|DSUP
OG0001623	LOC115631096|XP_030383608.1|SLEB	LOC119546563|XP_037708861.1|DSUP
OG0001624	LOC115626075|XP_030377188.1|SLEB	LOC119546154|XP_037708191.1|DSUP
OG0001625	LOC115629057|XP_030381232.1|SLEB	LOC119546437|XP_037708635.1|DSUP
