Orthogroup	SLEB.longest_only	DMIR.longest_only
OG0000858	LOC115620449|XP_030369539.1|SLEB	LOC108154170|XP_033244277.1|DMIR
OG0000860	LOC115632420|XP_030385419.1|SLEB	LOC108151758|XP_017136088.1|DMIR
OG0000861	LOC115634652|XP_030388369.1|SLEB	LOC108158687|XP_017146709.1|DMIR, LOC117194131|XP_033254669.1|DMIR, LOC108158683|XP_017146704.1|DMIR, LOC117194128|XP_033254665.1|DMIR, LOC117193108|XP_033253720.1|DMIR
OG0000862	LOC115634668|XP_030388388.1|SLEB	LOC117192274|XP_033252821.1|DMIR, LOC108158863|XP_017147085.1|DMIR, LOC108163211|XP_017153855.1|DMIR
OG0000863	LOC115625341|XP_030376227.1|SLEB	LOC108155197|XP_017141358.1|DMIR
OG0000864	LOC115629280|XP_030381572.1|SLEB	LOC108152880|XP_017138002.1|DMIR
OG0000865	LOC115623571|XP_030373827.1|SLEB	LOC108156918|XP_017144154.1|DMIR
OG0000866	LOC115632046|XP_030384877.1|SLEB	LOC117188611|XP_033248498.1|DMIR, LOC108161761|XP_033248503.1|DMIR
OG0000867	LOC115629843|XP_030382284.1|SLEB	LOC108163864|XP_017154869.1|DMIR
OG0000868	LOC115626754|XP_030378069.1|SLEB	LOC108164990|XP_017156505.1|DMIR, LOC108163639|XP_017154539.1|DMIR, LOC108163345|XP_017154074.1|DMIR, LOC108157316|XP_017144814.1|DMIR, LOC108162651|XP_017152977.1|DMIR
OG0000869	LOC115624085|XP_030374534.1|SLEB	LOC108157765|XP_017145436.1|DMIR
OG0000870	LOC115631395|XP_030384015.1|SLEB	LOC117191037|XP_033251898.1|DMIR, LOC108160499|XP_017150025.1|DMIR
OG0000871	LOC115623615|XP_030373897.1|SLEB	LOC108159137|XP_017147620.2|DMIR, LOC117188403|XP_033248129.1|DMIR
OG0000872	LOC115633646|XP_030386947.1|SLEB	LOC108158750|XP_017146849.1|DMIR
OG0000873	LOC115634051|XP_030387456.1|SLEB	LOC108152656|XP_017137639.1|DMIR
OG0000874	LOC115633322|XP_030386614.1|SLEB, LOC115628366|XP_030380306.1|SLEB	LOC117193456|XP_033254103.1|DMIR, LOC108160532|XP_017150083.1|DMIR
OG0000875	LOC115624168|XP_030374625.1|SLEB	LOC108153984|XP_033246109.1|DMIR
OG0000875	LOC115624766|XP_030375459.1|SLEB	LOC108153332|XP_017138738.1|DMIR
OG0000877	LOC115633565|XP_030386882.1|SLEB	LOC108151444|XP_017135545.1|DMIR
OG0000877	LOC115629824|XP_030382255.1|SLEB	LOC108165148|XP_017156704.1|DMIR
OG0000878	LOC115627482|XP_030379021.1|SLEB	LOC117188132|XP_033247376.1|DMIR, LOC117188133|XP_033247377.1|DMIR, LOC108160693|XP_033252287.1|DMIR, LOC117188131|XP_033247374.1|DMIR
OG0000879	LOC115634304|XP_030387816.1|SLEB	LOC117190299|XP_033251273.1|DMIR, LOC117190298|XP_033251272.1|DMIR, LOC117190297|XP_033251271.1|DMIR, LOC117190300|XP_033251274.1|DMIR, LOC117190301|XP_033251276.1|DMIR, LOC117190292|XP_033251265.1|DMIR, LOC117190290|XP_033251263.1|DMIR, LOC117190288|XP_033251261.1|DMIR, LOC117190284|XP_033251256.1|DMIR, LOC117190285|XP_033251257.1|DMIR, LOC117190283|XP_033251255.1|DMIR, LOC117190295|XP_033251268.1|DMIR, LOC117190294|XP_033251267.1|DMIR, LOC117190287|XP_033251260.1|DMIR, LOC117190291|XP_033251264.1|DMIR, LOC117190286|XP_033251259.1|DMIR, LOC117190289|XP_033251262.1|DMIR, LOC117190269|XP_033251223.1|DMIR, LOC117190270|XP_033251228.1|DMIR, LOC108159433|XP_033251231.1|DMIR, LOC117190239|XP_033251180.1|DMIR, LOC117188243|XP_033247685.1|DMIR, LOC108159435|XP_033247671.1|DMIR, LOC117190282|XP_033251254.1|DMIR, LOC117190278|XP_033251247.1|DMIR, LOC117190280|XP_033251252.1|DMIR, LOC117191693|XP_033252382.1|DMIR, LOC117188217|XP_033247608.1|DMIR, LOC117188262|XP_033247712.1|DMIR, LOC117190279|XP_033251251.1|DMIR, LOC117190281|XP_033251253.1|DMIR
OG0000880	LOC115626970|XP_030378345.1|SLEB	LOC108152240|XP_017136928.1|DMIR
OG0000880	LOC115622390|XP_030372175.1|SLEB	LOC108152817|XP_017137894.1|DMIR
OG0000881	LOC115632920|XP_030386071.1|SLEB	LOC108153419|XP_017138910.1|DMIR
OG0000882	LOC115629213|XP_030381474.1|SLEB	LOC108160058|XP_017149297.1|DMIR
OG0000883	LOC115629813|XP_030382240.1|SLEB	LOC108150812|XP_017134609.1|DMIR
OG0000884	LOC115629830|XP_030382265.1|SLEB	LOC117188641|XP_033248686.1|DMIR, LOC108163482|XP_017154278.2|DMIR, LOC117188639|XP_033248684.1|DMIR, LOC108159126|XP_017147604.1|DMIR
OG0000885	LOC115621601|XP_030371153.1|SLEB	LOC108156404|XP_017143332.1|DMIR
OG0000886	LOC115621674|XP_030371245.1|SLEB	LOC108155876|XP_017142488.1|DMIR
OG0000887	LOC115626660|XP_030377932.1|SLEB	LOC108165075|XP_017156615.1|DMIR
OG0000888	LOC115632606|XP_030385693.1|SLEB	LOC108152097|XP_017136636.2|DMIR
OG0000889	LOC115632962|XP_030386122.1|SLEB	LOC108152556|XP_017137466.1|DMIR
OG0000890	LOC115620765|XP_030370030.1|SLEB	LOC117185730|XP_033246507.1|DMIR, LOC108160187|XP_017149506.2|DMIR
OG0000891	LOC115631138|XP_030383667.1|SLEB	LOC108163385|XP_017154128.1|DMIR
OG0000892	LOC115623089|XP_030373155.1|SLEB	LOC108152201|XP_017136849.1|DMIR
OG0000892	LOC115630075|XP_030382571.1|SLEB	LOC108152050|XP_017136541.1|DMIR
OG0000893	LOC115623838|XP_030374239.1|SLEB	LOC108153859|XP_017139447.1|DMIR
OG0000894	LOC115625115|XP_030375881.1|SLEB	LOC108156893|XP_017144122.1|DMIR, LOC108156892|XP_017144119.1|DMIR, LOC108156884|XP_017144108.1|DMIR
OG0000895	LOC115633662|XP_030386967.1|SLEB	LOC108159148|XP_017147634.2|DMIR, LOC108159147|XP_017147633.1|DMIR
OG0000896	LOC115629791|XP_030382210.1|SLEB	LOC108156265|XP_017143123.1|DMIR
OG0000897	LOC115625529|XP_030376463.1|SLEB	LOC108157492|XP_017145078.1|DMIR
OG0000897	LOC115625442|XP_030376350.1|SLEB	LOC108154232|XP_017139948.1|DMIR
OG0000898	LOC115626286|XP_030377474.1|SLEB, LOC115629699|XP_030382081.1|SLEB	LOC108160358|XP_017149816.1|DMIR, LOC108158359|XP_017146102.1|DMIR, LOC117192426|XP_033252989.1|DMIR
OG0000899	LOC115620964|XP_030370345.1|SLEB	LOC108157561|XP_017145166.1|DMIR
OG0000900	LOC115634772|XP_030388527.1|SLEB	LOC108158571|XP_017146496.1|DMIR
OG0000900	LOC115634771|XP_030388526.1|SLEB	LOC108158570|XP_017146494.1|DMIR
OG0000901	LOC115624900|XP_030375609.1|SLEB	LOC108160946|XP_033247342.1|DMIR, LOC117192270|XP_033252815.1|DMIR
OG0000902	LOC115627660|XP_030379261.1|SLEB	LOC108156386|XP_017143336.1|DMIR
OG0000902	LOC115627661|XP_030379263.1|SLEB	LOC108152189|XP_017136828.1|DMIR
OG0000903	LOC115632649|XP_030385739.1|SLEB, LOC115632862|XP_030385986.1|SLEB	LOC108150766|XP_017134549.1|DMIR, LOC108153652|XP_017139247.1|DMIR
OG0000906	LOC115634598|XP_030388307.1|SLEB, LOC115634386|XP_030387931.1|SLEB	LOC108160203|XP_017149527.1|DMIR, LOC117193696|XP_033254313.1|DMIR, LOC108160844|XP_017150588.1|DMIR
OG0000907	LOC115623688|XP_030374022.1|SLEB	LOC117191628|XP_033252332.1|DMIR, LOC117191629|XP_033252333.1|DMIR, LOC117191626|XP_033252331.1|DMIR, LOC117191630|XP_033252334.1|DMIR, LOC117191631|XP_033252335.1|DMIR, LOC117187719|XP_033246358.1|DMIR, LOC117190340|XP_033251312.1|DMIR, LOC117190343|XP_033251314.1|DMIR, LOC117190629|XP_033251565.1|DMIR, LOC117189528|XP_033250560.1|DMIR, LOC117190628|XP_033251564.1|DMIR, LOC117191098|XP_033251952.1|DMIR, LOC117190169|XP_033251122.1|DMIR, LOC117190348|XP_033251320.1|DMIR, LOC117190342|XP_033251313.1|DMIR, LOC117190352|XP_033251323.1|DMIR, LOC117190344|XP_033251315.1|DMIR, LOC117190346|XP_033251318.1|DMIR, LOC117190347|XP_033251319.1|DMIR, LOC117190345|XP_033251316.1|DMIR, LOC117190350|XP_033251322.1|DMIR, LOC117190349|XP_033251321.1|DMIR
OG0000909	LOC115629921|XP_030382386.1|SLEB, LOC115629451|XP_030381776.1|SLEB	LOC117188014|XP_033247036.1|DMIR, LOC108164962|XP_017156460.1|DMIR, LOC108157387|XP_017144912.1|DMIR, LOC117188275|XP_033247725.1|DMIR, LOC117188015|XP_033247042.1|DMIR, LOC117188925|XP_033249448.1|DMIR, LOC117188272|XP_033247720.1|DMIR
OG0000911	LOC115628689|XP_030380728.1|SLEB	LOC117188192|XP_033247563.1|DMIR, LOC117188202|XP_033247578.1|DMIR, LOC117188206|XP_033247585.1|DMIR, LOC108160576|XP_033247584.1|DMIR, LOC117188193|XP_033247564.1|DMIR, LOC117187404|XP_033245897.1|DMIR, LOC108158058|XP_033247456.1|DMIR, LOC117188050|XP_033247157.1|DMIR, LOC117188212|XP_033247594.1|DMIR, LOC117188211|XP_033247593.1|DMIR, LOC117188189|XP_033247560.1|DMIR, LOC117194106|XP_033254637.1|DMIR, LOC117194107|XP_033254638.1|DMIR, LOC117194105|XP_033254636.1|DMIR, LOC117194118|XP_033254652.1|DMIR, LOC117194108|XP_033254641.1|DMIR, LOC108155394|XP_033254654.1|DMIR, LOC117194119|XP_033254653.1|DMIR, LOC117194109|XP_033254642.1|DMIR
OG0000912	LOC115633636|XP_030386934.1|SLEB	LOC108153104|XP_017138376.1|DMIR
OG0000913	LOC115624511|XP_030375083.1|SLEB	LOC108151512|XP_017135645.1|DMIR
OG0000913	LOC115624512|XP_030375084.1|SLEB	LOC108151510|XP_017135644.1|DMIR
OG0000914	LOC115634220|XP_030387671.1|SLEB	LOC108160970|XP_017150757.2|DMIR, LOC117188428|XP_033248198.1|DMIR
OG0000915	LOC115634001|XP_030387386.1|SLEB	LOC108160172|XP_017149485.1|DMIR, LOC117191242|XP_033252050.1|DMIR
OG0000916	LOC115631986|XP_030384763.1|SLEB	LOC108163426|XP_033248996.1|DMIR
OG0000917	LOC115632603|XP_030385688.1|SLEB	LOC108156937|XP_033245053.1|DMIR
OG0000917	LOC115632019|XP_030384822.1|SLEB	LOC108162455|XP_033249421.1|DMIR
OG0000918	LOC115625872|XP_030376943.1|SLEB	LOC108163084|XP_017153652.1|DMIR
OG0000920	LOC115633279|XP_030386550.1|SLEB	LOC108165043|XP_017156570.1|DMIR
OG0000921	LOC115630018|XP_030382512.1|SLEB	LOC117186269|XP_033242682.1|DMIR, LOC108151703|XP_033242034.1|DMIR
OG0000922	LOC115628430|XP_030380378.1|SLEB	LOC108152685|XP_017137673.1|DMIR
OG0000923	LOC115623827|XP_030374230.1|SLEB	LOC108155715|XP_017142201.1|DMIR
OG0000924	LOC115629931|XP_030382395.1|SLEB	LOC117186525|XP_033243335.1|DMIR, LOC117186531|XP_033243346.1|DMIR, LOC117186528|XP_033243343.1|DMIR, LOC117186539|XP_033243357.1|DMIR, LOC117186745|XP_033243837.1|DMIR, LOC117186534|XP_033243349.1|DMIR, LOC117186533|XP_033243348.1|DMIR, LOC117186532|XP_033243347.1|DMIR, LOC117186542|XP_033243361.1|DMIR, LOC117186535|XP_033243352.1|DMIR, LOC117186536|XP_033243353.1|DMIR, LOC117195294|XP_033255792.1|DMIR, LOC117186537|XP_033243355.1|DMIR, LOC117186530|XP_033243345.1|DMIR, LOC117186529|XP_033243344.1|DMIR, LOC117186541|XP_033243360.1|DMIR, LOC117186540|XP_033243358.1|DMIR, LOC117186538|XP_033243356.1|DMIR, LOC108153145|XP_033243286.1|DMIR
OG0000925	LOC115621220|XP_030370664.1|SLEB	LOC108156033|XP_017142774.1|DMIR
OG0000926	LOC115623884|XP_030374296.1|SLEB	LOC108154229|XP_017139945.1|DMIR
OG0000926	LOC115624201|XP_030374664.1|SLEB	LOC108154420|XP_017140178.1|DMIR
OG0000927	LOC115621447|XP_030370961.1|SLEB	LOC108154503|XP_017140291.1|DMIR
OG0000927	LOC115620365|XP_030369430.1|SLEB	LOC108154584|XP_017140376.1|DMIR
OG0000928	LOC115626331|XP_030377534.1|SLEB	LOC108163357|XP_033248877.1|DMIR, LOC108163358|XP_017154091.1|DMIR
OG0000929	LOC115631368|XP_030383946.1|SLEB, LOC115631284|XP_030383857.1|SLEB	LOC108162289|XP_017152438.2|DMIR
OG0000929	LOC115631556|XP_030384203.1|SLEB	LOC108162290|XP_017152439.2|DMIR
OG0000930	LOC115622376|XP_030372159.1|SLEB	LOC108165283|XP_017156807.2|DMIR, LOC108151252|XP_017135257.1|DMIR
OG0000931	LOC115624492|XP_030375055.1|SLEB	LOC108159382|XP_017148102.1|DMIR, LOC117190898|XP_033251795.1|DMIR
OG0000931	LOC115634172|XP_030387617.1|SLEB	LOC108164077|XP_017155150.1|DMIR
OG0000932	LOC115622269|XP_030372031.1|SLEB, LOC115629206|XP_030381465.1|SLEB	LOC108165579|XP_017157141.1|DMIR
OG0000932	LOC115622267|XP_030372029.1|SLEB	LOC108153624|XP_017139216.1|DMIR
OG0000933	LOC115634678|XP_030388396.1|SLEB	LOC117190986|XP_033251857.1|DMIR, LOC117189410|XP_033250429.1|DMIR, LOC117189389|XP_033250400.1|DMIR, LOC108160975|XP_017150764.1|DMIR
OG0000933	LOC115634677|XP_030388395.1|SLEB	LOC108161004|XP_017150799.1|DMIR
OG0000934	LOC115634663|XP_030388383.1|SLEB	LOC108158295|XP_017146025.1|DMIR, LOC108158286|XP_017146012.1|DMIR, LOC117191189|XP_033252021.1|DMIR, LOC117192026|XP_033252636.1|DMIR
OG0000935	LOC115620735|XP_030369981.1|SLEB	LOC108155300|XP_017141504.2|DMIR
OG0000936	LOC115630040|XP_030382533.1|SLEB	LOC117187223|XP_033245321.1|DMIR
OG0000937	LOC115621318|XP_030370797.1|SLEB	LOC108157203|XP_017144624.1|DMIR
OG0000938	LOC115629870|XP_030382325.1|SLEB	LOC108164361|XP_017155475.1|DMIR
OG0000939	LOC115631095|XP_030383606.1|SLEB	LOC108163156|XP_017153762.2|DMIR, LOC117185883|XP_033249325.1|DMIR
OG0000940	LOC115628257|XP_030380135.1|SLEB	LOC108153229|XP_017138551.1|DMIR
OG0000941	LOC115630089|XP_030382576.1|SLEB	LOC108159334|XP_017148024.1|DMIR
OG0000942	LOC115623244|XP_030373364.1|SLEB	LOC108152313|XP_017137035.1|DMIR
OG0000943	LOC115620354|XP_030369421.1|SLEB	LOC108160030|XP_017149258.1|DMIR, LOC117190065|XP_033251037.1|DMIR
OG0000944	LOC115627130|XP_030378563.1|SLEB	LOC108164647|XP_017155986.1|DMIR
OG0000945	LOC115624796|XP_030375500.1|SLEB	LOC108152464|XP_017137321.1|DMIR
OG0000946	LOC115630459|XP_030382884.1|SLEB	LOC108163484|XP_017154282.1|DMIR
OG0000947	LOC115634584|XP_030388277.1|SLEB	LOC108160478|XP_017149987.1|DMIR, LOC117189835|XP_033250789.1|DMIR
OG0000948	LOC115632809|XP_030385921.1|SLEB	LOC117186253|XP_033242659.1|DMIR, LOC108151885|XP_033242660.1|DMIR, LOC108151887|XP_033242658.1|DMIR, LOC117186254|XP_033242662.1|DMIR, LOC117186252|XP_033242657.1|DMIR, LOC108151884|XP_033242654.1|DMIR, LOC117186250|XP_033242655.1|DMIR, LOC117186317|XP_033242837.1|DMIR, LOC117186251|XP_033242656.1|DMIR
OG0000949	LOC115629933|XP_030382398.1|SLEB	LOC108155578|XP_017141973.1|DMIR
OG0000949	LOC115629932|XP_030382397.1|SLEB	LOC108155592|XP_017142002.1|DMIR
OG0000950	LOC115624154|XP_030374611.1|SLEB	LOC108152594|XP_017137542.1|DMIR, LOC108154333|XP_017140084.1|DMIR
OG0000951	LOC115620607|XP_030369781.1|SLEB	LOC117191277|XP_033252078.1|DMIR, LOC108155628|XP_017142048.1|DMIR, LOC117191967|XP_033252600.1|DMIR
OG0000951	LOC115631589|XP_030384250.1|SLEB, LOC115629565|XP_030381917.1|SLEB, LOC115629566|XP_030381918.1|SLEB, LOC115630781|XP_030383297.1|SLEB	LOC108161568|XP_017151346.2|DMIR
OG0000952	LOC115631113|XP_030383633.1|SLEB	LOC108162292|XP_017152442.1|DMIR
OG0000954	LOC115624830|XP_030375537.1|SLEB	LOC117194151|XP_033254696.1|DMIR, LOC108158315|XP_017146046.1|DMIR, LOC117193634|XP_033254270.1|DMIR, LOC117194152|XP_033254697.1|DMIR, LOC108158308|XP_017146036.1|DMIR
OG0000955	LOC115620968|XP_030370348.1|SLEB	LOC108154037|XP_017139619.1|DMIR
OG0000956	LOC115623812|XP_030374216.1|SLEB	LOC117187007|XP_033244457.1|DMIR, LOC108157771|XP_017145445.2|DMIR
OG0000957	LOC115632493|XP_030385572.1|SLEB	LOC117191432|XP_033252192.1|DMIR, LOC108157987|XP_017145621.1|DMIR
OG0000957	LOC115632571|XP_030385690.1|SLEB	LOC108157986|XP_017145620.1|DMIR, LOC117191433|XP_033252193.1|DMIR
OG0000958	LOC115621983|XP_030371695.1|SLEB	LOC108157624|XP_017145250.1|DMIR, LOC117187928|XP_033246793.1|DMIR, LOC108158330|XP_017146059.2|DMIR
OG0000959	LOC115622295|XP_030372058.1|SLEB, LOC115622622|XP_030372489.1|SLEB	LOC108153447|XP_017138953.1|DMIR
OG0000960	LOC115626902|XP_030378272.1|SLEB	LOC108165256|XP_017156782.1|DMIR
OG0000961	LOC115633964|XP_030387344.1|SLEB	LOC108151879|XP_017136264.1|DMIR
OG0000961	LOC115633962|XP_030387342.1|SLEB	LOC108151880|XP_017136265.1|DMIR
OG0000963	LOC115627565|XP_030379148.1|SLEB	LOC108165112|XP_017156660.1|DMIR
OG0000964	LOC115629928|XP_030382396.1|SLEB	LOC117191441|XP_033252198.1|DMIR, LOC117190486|XP_033251444.1|DMIR, LOC117191998|XP_033252613.1|DMIR, LOC108161245|XP_017150989.1|DMIR
OG0000965	LOC115633244|XP_030386499.1|SLEB	LOC117187003|XP_033244446.1|DMIR, LOC117187013|XP_033244505.1|DMIR, LOC117187426|XP_033245975.1|DMIR, LOC117187419|XP_033245965.1|DMIR, LOC117187427|XP_033245976.1|DMIR, LOC117187423|XP_033245971.1|DMIR, LOC117187049|XP_033244666.1|DMIR, LOC117187033|XP_033244601.1|DMIR, LOC117187005|XP_033244454.1|DMIR, LOC117186984|XP_033244352.1|DMIR, LOC117187001|XP_033244441.1|DMIR, LOC108164947|XP_017156425.2|DMIR
OG0000966	LOC115633760|XP_030387095.1|SLEB	LOC108157490|XP_017145076.1|DMIR
OG0000968	LOC115628295|XP_030380202.1|SLEB	LOC108151665|XP_017135893.1|DMIR
OG0000969	LOC115629995|XP_030382487.1|SLEB	LOC117193545|XP_033254181.1|DMIR, LOC108158362|XP_017146105.1|DMIR
OG0000970	LOC115620768|XP_030370032.1|SLEB	LOC108154284|XP_017140027.1|DMIR, LOC108154274|XP_017140016.1|DMIR, LOC108156262|XP_017143114.1|DMIR
OG0000971	LOC115631506|XP_030384125.1|SLEB	LOC108164143|XP_017155236.1|DMIR
OG0000972	LOC115632559|XP_030385633.1|SLEB	LOC108151938|XP_017136357.1|DMIR
OG0000973	LOC115633334|XP_030386626.1|SLEB	LOC108151298|XP_017135326.1|DMIR, LOC108165138|XP_017156692.2|DMIR, LOC117186022|XP_033241943.1|DMIR, LOC117186023|XP_033241944.1|DMIR, LOC117192452|XP_033253032.1|DMIR, LOC117188885|XP_033249306.1|DMIR, LOC117188888|XP_033249312.1|DMIR, LOC117192910|XP_033253540.1|DMIR
OG0000974	LOC115622411|XP_030372204.1|SLEB	LOC108151837|XP_017136203.2|DMIR
OG0000975	LOC115621202|XP_030370641.1|SLEB	LOC108154784|XP_017140660.1|DMIR
OG0000975	LOC115623709|XP_030374048.1|SLEB	LOC108155522|XP_017141858.1|DMIR
OG0000976	LOC115625384|XP_030376281.1|SLEB	LOC108154943|XP_017140929.2|DMIR
OG0000976	LOC115625075|XP_030375823.1|SLEB	LOC117187205|XP_033245262.1|DMIR
OG0000977	LOC115625370|XP_030376266.1|SLEB	LOC108154819|XP_017140708.1|DMIR, LOC108154818|XP_017140707.1|DMIR
OG0000978	LOC115623541|XP_030373784.1|SLEB	LOC108154967|XP_017140970.1|DMIR
OG0000979	LOC115628156|XP_030379990.1|SLEB	LOC108159698|XP_017148699.1|DMIR
OG0000980	LOC115621034|XP_030370416.1|SLEB	LOC108154783|XP_017140659.1|DMIR
OG0000980	LOC115621874|XP_030371560.1|SLEB	LOC108154194|XP_017139899.1|DMIR
OG0000981	LOC115632018|XP_030384815.1|SLEB	LOC108163919|XP_033249068.1|DMIR
OG0000982	LOC115624236|XP_030374717.1|SLEB, LOC115624076|XP_030374526.1|SLEB	LOC108157511|XP_017145101.1|DMIR
OG0000984	LOC115626561|XP_030377800.1|SLEB	LOC108162134|XP_017152204.2|DMIR
OG0000985	LOC115633230|XP_030386484.1|SLEB	LOC108159824|XP_033246889.1|DMIR, LOC108159825|XP_017148887.2|DMIR
OG0000986	LOC115631939|XP_030384651.1|SLEB	LOC108161981|XP_017151936.1|DMIR
OG0000986	LOC115632119|XP_030384984.1|SLEB	LOC108162301|XP_017152456.1|DMIR
OG0000987	LOC115621692|XP_030371261.1|SLEB	LOC108152203|XP_017136854.1|DMIR, LOC108154038|XP_017139620.1|DMIR
OG0000988	LOC115631590|XP_030384251.1|SLEB, LOC115629834|XP_030382271.1|SLEB	LOC108162923|XP_017153394.1|DMIR
OG0000990	LOC115626648|XP_030377913.1|SLEB	LOC117190487|XP_033251445.1|DMIR, LOC108152683|XP_017137675.1|DMIR
OG0000991	LOC115620234|XP_030369238.1|SLEB	LOC108153942|XP_017139527.1|DMIR
OG0000991	LOC115629805|XP_030382228.1|SLEB	LOC108159144|XP_017147632.1|DMIR
OG0000992	LOC115621203|XP_030370644.1|SLEB	LOC108157393|XP_033245963.1|DMIR
OG0000993	LOC115621783|XP_030371401.1|SLEB	LOC108154921|XP_017140869.1|DMIR, LOC108154919|XP_017140867.1|DMIR
OG0000994	LOC115628886|XP_030381003.1|SLEB	LOC108165057|XP_017156591.1|DMIR
OG0000995	LOC115625662|XP_030376654.1|SLEB	LOC108163937|XP_017154961.2|DMIR
OG0000996	LOC115631694|XP_030384380.1|SLEB	LOC108160227|XP_017149568.1|DMIR
OG0000997	LOC115626266|XP_030377478.1|SLEB	LOC108160787|XP_017150483.2|DMIR, LOC117190405|XP_033251374.1|DMIR, LOC117187782|XP_033246511.1|DMIR
OG0000998	LOC115624642|XP_030375270.1|SLEB	LOC108151389|XP_017135454.1|DMIR
OG0000999	LOC115626649|XP_030377914.1|SLEB	LOC108155745|XP_017142259.1|DMIR
OG0001000	LOC115620263|XP_030369285.1|SLEB	LOC117188052|XP_033247167.1|DMIR, LOC117190773|XP_033251724.1|DMIR
OG0001001	LOC115632602|XP_030385691.1|SLEB	LOC117192545|XP_033253132.1|DMIR, LOC108160074|XP_017149319.1|DMIR
OG0001002	LOC115631311|XP_030383885.1|SLEB	LOC108162981|XP_017153476.1|DMIR
OG0001003	LOC115621145|XP_030370561.1|SLEB	LOC108154975|XP_017140984.1|DMIR
OG0001004	LOC115623593|XP_030373853.1|SLEB	LOC108155115|XP_017141243.1|DMIR
OG0001005	LOC115633224|XP_030386476.1|SLEB	LOC108158674|XP_017146682.1|DMIR
OG0001006	LOC115632081|XP_030384901.1|SLEB	LOC108151405|XP_017135482.1|DMIR
OG0001008	LOC115627803|XP_030379493.1|SLEB	LOC108164832|XP_017156243.1|DMIR
OG0001009	LOC115625207|XP_030376036.1|SLEB	LOC108155068|XP_017141144.1|DMIR, LOC108155777|XP_033245461.1|DMIR
OG0001010	LOC115633402|XP_030386704.1|SLEB	LOC108161850|XP_017151707.1|DMIR, LOC108154304|XP_017140051.1|DMIR
OG0001011	LOC115633326|XP_030386618.1|SLEB	LOC108152873|XP_017137991.1|DMIR
OG0001011	LOC115630723|XP_030383239.1|SLEB	LOC108163761|XP_017154723.1|DMIR
OG0001012	LOC115629567|XP_030381919.1|SLEB, LOC115629568|XP_030381920.1|SLEB	LOC108158109|XP_033241939.1|DMIR, LOC108165086|XP_017156626.2|DMIR
OG0001013	LOC115622265|XP_030372026.1|SLEB	LOC108165547|XP_017157112.1|DMIR
OG0001014	LOC115622694|XP_030372582.1|SLEB	LOC108151720|XP_017135985.1|DMIR
OG0001014	LOC115622870|XP_030372817.1|SLEB	LOC108151550|XP_017135704.1|DMIR
OG0001015	LOC115627832|XP_030379534.1|SLEB	LOC108165059|XP_033252597.1|DMIR
OG0001015	LOC115627898|XP_030379652.1|SLEB	LOC108165058|XP_017156592.1|DMIR
OG0001017	LOC115625904|XP_030376994.1|SLEB	LOC108159558|XP_017148475.2|DMIR
OG0001017	LOC115634369|XP_030387893.1|SLEB	LOC108159001|XP_017147354.1|DMIR, LOC117191611|XP_033252320.1|DMIR, LOC117187864|XP_033246636.1|DMIR
OG0001018	LOC115628898|XP_030381017.1|SLEB, LOC115628901|XP_030381020.1|SLEB, LOC115621330|XP_030370811.1|SLEB, LOC115628942|XP_030381075.1|SLEB, LOC115628926|XP_030381048.1|SLEB	LOC108164980|XP_017156491.1|DMIR, LOC108157312|XP_017144806.1|DMIR
OG0001019	LOC115621697|XP_030371263.1|SLEB	LOC108157038|XP_017144341.1|DMIR
OG0001020	LOC115627705|XP_030379308.1|SLEB	LOC108164937|XP_017156415.1|DMIR
OG0001021	LOC115628996|XP_030381140.1|SLEB	LOC108163627|XP_017154516.1|DMIR
OG0001022	LOC115629232|XP_030381503.1|SLEB	LOC117186231|XP_033242563.1|DMIR
OG0001024	LOC115621057|XP_030370438.1|SLEB	LOC108156052|XP_017142814.1|DMIR
OG0001025	LOC115632296|XP_030385249.1|SLEB	LOC108151123|XP_017135032.1|DMIR
OG0001026	LOC115634218|XP_030387668.1|SLEB	LOC108158200|XP_017145912.1|DMIR, LOC117191865|XP_033252522.1|DMIR
OG0001027	LOC115634679|XP_030388398.1|SLEB	LOC108152654|XP_017137637.1|DMIR
OG0001028	LOC115631799|XP_030384497.1|SLEB	LOC108164203|XP_017155322.1|DMIR
OG0001031	LOC115626140|XP_030377262.1|SLEB	LOC108161349|XP_033249163.1|DMIR
OG0001032	LOC115626259|XP_030377427.1|SLEB	LOC108161911|XP_017151807.1|DMIR
OG0001033	LOC115626759|XP_030378075.1|SLEB	LOC108163110|XP_017153694.1|DMIR, LOC117188476|XP_033248288.1|DMIR, LOC108158001|XP_017145636.2|DMIR
OG0001034	LOC115624857|XP_030375562.1|SLEB	LOC108163659|XP_033249196.1|DMIR, LOC108153130|XP_017138408.1|DMIR
OG0001035	LOC115628902|XP_030381021.1|SLEB	LOC108165133|XP_017156688.1|DMIR
OG0001035	LOC115628904|XP_030381022.1|SLEB	LOC108165134|XP_017156689.1|DMIR
OG0001036	LOC115628688|XP_030380723.1|SLEB	LOC108164602|XP_017155929.1|DMIR
OG0001036	LOC115624002|XP_030374434.1|SLEB	LOC108154348|XP_017140103.1|DMIR
OG0001037	LOC115622928|XP_030372913.1|SLEB, LOC115622927|XP_030372912.1|SLEB, LOC115622432|XP_030372233.1|SLEB	LOC108152121|XP_017136694.1|DMIR, LOC108161014|XP_017150812.1|DMIR, LOC117191553|XP_033252274.1|DMIR
