Orthogroup	SLEB.longest_only	BTRY.longest_only
OG0001496	LOC115632984|XP_030386159.1|SLEB, LOC115629645|XP_030382016.1|SLEB	LOC120774130|XP_039959440.1|BTRY
OG0001497	LOC115625974|XP_030377081.1|SLEB	LOC120771775|XP_039955900.1|BTRY, LOC120769646|XP_039952685.1|BTRY
OG0001498	LOC115623651|XP_030373964.1|SLEB, LOC115623848|XP_030374251.1|SLEB	LOC120766179|XP_039947470.1|BTRY
OG0001500	LOC115633759|XP_030387094.1|SLEB	LOC120771482|XP_039955453.1|BTRY
OG0001501	LOC115623967|XP_030374395.1|SLEB	LOC120772387|XP_039956914.1|BTRY, LOC120782885|XP_039971368.1|BTRY
OG0001502	LOC115634029|XP_030387425.1|SLEB	LOC120770256|XP_039953493.1|BTRY
OG0001503	LOC115631102|XP_030383617.1|SLEB	LOC120771588|XP_039955593.1|BTRY, LOC120770730|XP_039954254.1|BTRY, LOC120770732|XP_039954256.1|BTRY, LOC120772319|XP_039956771.1|BTRY
OG0001504	LOC115627738|XP_030379368.1|SLEB	LOC120774259|XP_039959659.1|BTRY
OG0001505	LOC115633923|XP_030387293.1|SLEB	LOC120770074|XP_039953137.1|BTRY
OG0001506	LOC115634816|XP_030388593.1|SLEB	LOC120773003|XP_039957855.1|BTRY
OG0001507	LOC115624896|XP_030375603.1|SLEB	LOC120770341|XP_039953673.1|BTRY
OG0001508	LOC115631975|XP_030384739.1|SLEB	LOC120772145|XP_039956512.1|BTRY
OG0001509	LOC115634468|XP_030388056.1|SLEB	LOC120771580|XP_039955582.1|BTRY
OG0001510	LOC115626306|XP_030377496.1|SLEB	LOC120781615|XP_039969785.1|BTRY
OG0001511	LOC115624907|XP_030375615.1|SLEB	LOC120770749|XP_039954270.1|BTRY
OG0001512	LOC115628355|XP_030380290.1|SLEB	LOC120777746|XP_039965173.1|BTRY
OG0001513	LOC115632156|XP_030385036.1|SLEB	LOC120778691|XP_039966570.1|BTRY
OG0001515	LOC115627023|XP_030378409.1|SLEB	LOC120775510|XP_039961653.1|BTRY
OG0001517	LOC115620656|XP_030369866.1|SLEB	LOC120782375|XP_039970550.1|BTRY
OG0001518	LOC115627257|XP_030378744.1|SLEB, LOC115629469|XP_030381800.1|SLEB	LOC120779306|XP_039967452.1|BTRY, LOC120766787|XP_039948417.1|BTRY, LOC120775873|XP_039962180.1|BTRY
OG0001519	LOC115624042|XP_030374479.1|SLEB, LOC115623820|XP_030374224.1|SLEB, LOC115623818|XP_030374222.1|SLEB	LOC120780565|XP_039968760.1|BTRY
OG0001520	LOC115625584|XP_030376548.1|SLEB	LOC120767096|XP_039948911.1|BTRY
OG0001521	LOC115626583|XP_030377824.1|SLEB, LOC115625949|XP_030377045.1|SLEB, LOC115625950|XP_030377048.1|SLEB	LOC120767572|XP_039949643.1|BTRY
OG0001522	LOC115625712|XP_030376717.1|SLEB	LOC120767581|XP_039949660.1|BTRY
OG0001524	LOC115624878|XP_030375583.1|SLEB, LOC115624879|XP_030375585.1|SLEB	LOC120769997|XP_039953020.1|BTRY
OG0001525	LOC115628949|XP_030381084.1|SLEB, LOC115628948|XP_030381083.1|SLEB	LOC120775416|XP_039961527.1|BTRY
OG0001526	LOC115633314|XP_030386603.1|SLEB	LOC120773750|XP_039958748.1|BTRY, LOC120775799|XP_039962077.1|BTRY
OG0001527	LOC115627965|XP_030379719.1|SLEB	LOC120775206|XP_039961204.1|BTRY
OG0001534	LOC115628931|XP_030381053.1|SLEB	LOC120773392|XP_039958161.1|BTRY
OG0001535	LOC115629620|XP_030381979.1|SLEB	LOC120775729|XP_039961981.1|BTRY
OG0001536	LOC115626742|XP_030378053.1|SLEB	LOC120775631|XP_039961819.1|BTRY
OG0001537	LOC115631070|XP_030383576.1|SLEB	LOC120769213|XP_039952040.1|BTRY
OG0001538	LOC115632568|XP_030385648.1|SLEB, LOC115632500|XP_030385538.1|SLEB, LOC115624012|XP_030374445.1|SLEB	LOC120774223|XP_039959615.1|BTRY
OG0001539	LOC115634432|XP_030387999.1|SLEB	LOC120769993|XP_039953013.1|BTRY
OG0001540	LOC115631990|XP_030384779.1|SLEB	LOC120767701|XP_039949832.1|BTRY
OG0001541	LOC115632840|XP_030385957.1|SLEB	LOC120778886|XP_039966865.1|BTRY
OG0001542	LOC115630003|XP_030382490.1|SLEB	LOC120780462|XP_039968670.1|BTRY
OG0001542	LOC115630005|XP_030382491.1|SLEB	LOC120780966|XP_039969127.1|BTRY
OG0001543	LOC115627054|XP_030378457.1|SLEB	LOC120776148|XP_039962623.1|BTRY
OG0001544	LOC115627383|XP_030378896.1|SLEB	LOC120774774|XP_039960479.1|BTRY
OG0001545	LOC115626842|XP_030378189.1|SLEB	LOC120774829|XP_039960574.1|BTRY
OG0001546	LOC115626805|XP_030378135.1|SLEB	LOC120774220|XP_039959610.1|BTRY
OG0001547	LOC115629201|XP_030381461.1|SLEB	LOC120774592|XP_039960258.1|BTRY
OG0001548	LOC115626771|XP_030378090.1|SLEB	LOC120775951|XP_039962296.1|BTRY
OG0001549	LOC115631967|XP_030384714.1|SLEB	LOC120768282|XP_039950846.1|BTRY
OG0001550	LOC115622986|XP_030372999.1|SLEB	LOC120769353|XP_039952286.1|BTRY
OG0001551	LOC115625685|XP_030376681.1|SLEB, LOC115621796|XP_030371430.1|SLEB	LOC120781953|XP_039970050.1|BTRY
OG0001552	LOC115622140|XP_030371860.1|SLEB, LOC115620750|XP_030370005.1|SLEB	LOC120766190|XP_039947481.1|BTRY
OG0001553	LOC115628765|XP_030380841.1|SLEB	LOC120773720|XP_039958701.1|BTRY, LOC120776008|XP_039962377.1|BTRY
OG0001554	LOC115620367|XP_030369432.1|SLEB, LOC115620975|XP_030370356.1|SLEB	LOC120773438|XP_039958258.1|BTRY
OG0001555	LOC115631515|XP_030384145.1|SLEB	LOC120769338|XP_039952228.1|BTRY
OG0001556	LOC115633634|XP_030386932.1|SLEB	LOC120770110|XP_039953215.1|BTRY
OG0001557	LOC115628830|XP_030380926.1|SLEB	LOC120774237|XP_039959632.1|BTRY
OG0001558	LOC115627299|XP_030378792.1|SLEB	LOC120776051|XP_039962442.1|BTRY
OG0001559	LOC115625421|XP_030376321.1|SLEB	LOC120766322|XP_039947680.1|BTRY
OG0001561	LOC115621109|XP_030370511.1|SLEB	LOC120766537|XP_039948049.1|BTRY, LOC120766528|XP_039948032.1|BTRY
OG0001562	LOC115625891|XP_030376979.1|SLEB	LOC120782857|XP_039971324.1|BTRY
OG0001563	LOC115628079|XP_030379913.1|SLEB	LOC120771274|XP_039955133.1|BTRY
OG0001564	LOC115621769|XP_030371368.1|SLEB	LOC120766484|XP_039947962.1|BTRY
OG0001565	LOC115621465|XP_030370985.1|SLEB	LOC120766874|XP_039948539.1|BTRY
OG0001566	LOC115621095|XP_030370490.1|SLEB	LOC120782328|XP_039970487.1|BTRY
OG0001567	LOC115634246|XP_030387703.1|SLEB	LOC120772164|XP_039956538.1|BTRY
OG0001568	LOC115620377|XP_030369443.1|SLEB	LOC120782686|XP_039971015.1|BTRY
OG0001569	LOC115621500|XP_030371027.1|SLEB, LOC115625323|XP_030376204.1|SLEB	LOC120782487|XP_039970722.1|BTRY
OG0001569	LOC115622012|XP_030371727.1|SLEB	LOC120778635|XP_039966469.1|BTRY
OG0001570	LOC115620462|XP_030369553.1|SLEB	LOC120782368|XP_039970540.1|BTRY
OG0001572	LOC115627827|XP_030379522.1|SLEB	LOC120775782|XP_039962053.1|BTRY
OG0001573	LOC115622596|XP_030372453.1|SLEB	LOC120777599|XP_039964971.1|BTRY, LOC120777157|XP_039964235.1|BTRY
OG0001574	LOC115629815|XP_030382243.1|SLEB	LOC120776055|XP_039962447.1|BTRY, LOC120781219|XP_039969282.1|BTRY
OG0001575	LOC115627180|XP_030378641.1|SLEB	LOC120780662|XP_039968858.1|BTRY
OG0001576	LOC115628827|XP_030380921.1|SLEB, LOC115624016|XP_030374448.1|SLEB	LOC120766533|XP_039948038.1|BTRY
OG0001577	LOC115620731|XP_030369976.1|SLEB	LOC120768550|XP_039951227.1|BTRY, LOC120769307|XP_039952174.1|BTRY
OG0001578	LOC115628828|XP_030380963.1|SLEB	LOC120772667|XP_039957335.1|BTRY
OG0001579	LOC115627283|XP_030378774.1|SLEB	LOC120774265|XP_039959669.1|BTRY
OG0001580	LOC115625939|XP_030377038.1|SLEB	LOC120770174|XP_039953322.1|BTRY
OG0001581	LOC115629205|XP_030381464.1|SLEB	LOC120773814|XP_039958855.1|BTRY
OG0001582	LOC115634275|XP_030387763.1|SLEB	LOC120770043|XP_039953092.1|BTRY
OG0001583	LOC115620039|XP_030369014.1|SLEB	LOC120771741|XP_039955847.1|BTRY
OG0001584	LOC115622910|XP_030372893.1|SLEB	LOC120777659|XP_039965046.1|BTRY
OG0001585	LOC115628804|XP_030380877.1|SLEB	LOC120775963|XP_039962308.1|BTRY
OG0001586	LOC115628268|XP_030380148.1|SLEB	LOC120777890|XP_039965386.1|BTRY
OG0001587	LOC115630391|XP_030382778.1|SLEB	LOC120771025|XP_039954735.1|BTRY
OG0001588	LOC115630636|XP_030383138.1|SLEB	LOC120781566|XP_039969737.1|BTRY, LOC120779466|XP_039967663.1|BTRY, LOC120780829|XP_039969007.1|BTRY, LOC120781620|XP_039969787.1|BTRY, LOC120778336|XP_039966064.1|BTRY, LOC120778376|XP_039966097.1|BTRY, LOC120772130|XP_039956480.1|BTRY
OG0001589	LOC115633461|XP_030386776.1|SLEB, LOC115633449|XP_030386761.1|SLEB	LOC120767539|XP_039949577.1|BTRY
OG0001590	LOC115629433|XP_030381751.1|SLEB	LOC120772466|XP_039957038.1|BTRY
OG0001591	LOC115624846|XP_030375550.1|SLEB, LOC115622040|XP_030371768.1|SLEB	LOC120774435|XP_039960013.1|BTRY
OG0001592	LOC115628559|XP_030380580.1|SLEB	LOC120768200|XP_039950706.1|BTRY
OG0001593	LOC115628459|XP_030380437.1|SLEB	LOC120768303|XP_039950867.1|BTRY
OG0001594	LOC115630493|XP_030382939.1|SLEB	LOC120769207|XP_039952035.1|BTRY
OG0001595	LOC115620020|XP_030368984.1|SLEB	LOC120768888|XP_039951575.1|BTRY, LOC120770067|XP_039953123.1|BTRY
OG0001596	LOC115625793|XP_030376829.1|SLEB	LOC120767379|XP_039949302.1|BTRY
OG0001597	LOC115626261|XP_030377430.1|SLEB	LOC120768904|XP_039951600.1|BTRY, LOC120767560|XP_039949631.1|BTRY
OG0001598	LOC115626020|XP_030377128.1|SLEB	LOC120769351|XP_039952248.1|BTRY
OG0001599	LOC115628979|XP_030381119.1|SLEB	LOC120767223|XP_039949018.1|BTRY, LOC120769042|XP_039951823.1|BTRY
OG0001600	LOC115626578|XP_030377819.1|SLEB	LOC120769367|XP_039952262.1|BTRY
OG0001601	LOC115626408|XP_030377633.1|SLEB	LOC120769383|XP_039952285.1|BTRY
OG0001602	LOC115625927|XP_030377024.1|SLEB	LOC120769016|XP_039951794.1|BTRY, LOC120768423|XP_039951038.1|BTRY
OG0001603	LOC115626063|XP_030377176.1|SLEB	LOC120781755|XP_039969921.1|BTRY
OG0001604	LOC115629795|XP_030382214.1|SLEB, LOC115631643|XP_030384314.1|SLEB	LOC120775318|XP_039961389.1|BTRY
OG0001605	LOC115633724|XP_030387051.1|SLEB	LOC120771906|XP_039956122.1|BTRY
OG0001606	LOC115629429|XP_030381747.1|SLEB	LOC120771194|XP_039955024.1|BTRY
OG0001607	LOC115631141|XP_030383671.1|SLEB	LOC120768129|XP_039950617.1|BTRY
OG0001608	LOC115624797|XP_030375501.1|SLEB, LOC115625966|XP_030377068.1|SLEB	LOC120767966|XP_039950303.1|BTRY
OG0001609	LOC115634163|XP_030387604.1|SLEB	LOC120771513|XP_039955502.1|BTRY
OG0001610	LOC115625965|XP_030377067.1|SLEB	LOC120768040|XP_039950474.1|BTRY
OG0001611	LOC115630814|XP_030383343.1|SLEB	LOC120767394|XP_039949347.1|BTRY
OG0001612	LOC115631993|XP_030384782.1|SLEB	LOC120769047|XP_039951829.1|BTRY
OG0001613	LOC115632000|XP_030384789.1|SLEB	LOC120781708|XP_039969874.1|BTRY
OG0001614	LOC115619968|XP_030368864.1|SLEB	LOC120770261|XP_039953505.1|BTRY
OG0001615	LOC115626188|XP_030377326.1|SLEB, LOC115626189|XP_030377328.1|SLEB	LOC120768094|XP_039950567.1|BTRY
OG0001616	LOC115631980|XP_030384744.1|SLEB	LOC120768168|XP_039950666.1|BTRY
OG0001617	LOC115628985|XP_030381124.1|SLEB	LOC120767737|XP_039949880.1|BTRY
OG0001618	LOC115627879|XP_030379623.1|SLEB	LOC120781739|XP_039969906.1|BTRY, LOC120779501|XP_039967728.1|BTRY
OG0001619	LOC115626329|XP_030377533.1|SLEB	LOC120768673|XP_039951384.1|BTRY
OG0001620	LOC115633869|XP_030387225.1|SLEB	LOC120771749|XP_039955854.1|BTRY
OG0001621	LOC115628321|XP_030380278.1|SLEB	LOC120771724|XP_039955812.1|BTRY, LOC120771723|XP_039955811.1|BTRY
OG0001622	LOC115633417|XP_030386735.1|SLEB	LOC120773571|XP_039958475.1|BTRY
OG0001623	LOC115631096|XP_030383608.1|SLEB	LOC120769015|XP_039951792.1|BTRY
OG0001624	LOC115626075|XP_030377188.1|SLEB	LOC120768671|XP_039951382.1|BTRY
OG0001625	LOC115629057|XP_030381232.1|SLEB	LOC120767589|XP_039949671.1|BTRY
OG0001626	LOC115631206|XP_030383770.1|SLEB	LOC120769165|XP_039951984.1|BTRY, LOC120780775|XP_039968961.1|BTRY, LOC120781525|XP_039969681.1|BTRY, LOC120768868|XP_039951592.1|BTRY, LOC120780853|XP_039969025.1|BTRY, LOC120780708|XP_039968902.1|BTRY
OG0001627	LOC115624677|XP_030375335.1|SLEB	LOC120766512|XP_039948013.1|BTRY
OG0001628	LOC115625427|XP_030376327.1|SLEB	LOC120782304|XP_039970448.1|BTRY
OG0001629	LOC115621741|XP_030371333.1|SLEB	LOC120780301|XP_039968525.1|BTRY
OG0001630	LOC115625146|XP_030375928.1|SLEB, LOC115623996|XP_030374425.1|SLEB	LOC120774406|XP_039959964.1|BTRY
OG0001631	LOC115623595|XP_030373857.1|SLEB	LOC120766490|XP_039947975.1|BTRY
OG0001632	LOC115625694|XP_030376694.1|SLEB	LOC120773864|XP_039958954.1|BTRY
OG0001633	LOC115623401|XP_030373570.1|SLEB	LOC120782174|XP_039970245.1|BTRY
OG0001634	LOC115620840|XP_030370134.1|SLEB	LOC120780977|XP_039969136.1|BTRY
OG0001635	LOC115623935|XP_030374356.1|SLEB	LOC120767014|XP_039948776.1|BTRY
OG0001636	LOC115624230|XP_030374706.1|SLEB	LOC120782607|XP_039970905.1|BTRY
OG0001637	LOC115625174|XP_030375996.1|SLEB	LOC120782767|XP_039971163.1|BTRY
OG0001638	LOC115627807|XP_030379496.1|SLEB	LOC120775623|XP_039961806.1|BTRY
OG0001639	LOC115633730|XP_030387060.1|SLEB	LOC120773453|XP_039958280.1|BTRY
OG0001640	LOC115625339|XP_030376224.1|SLEB, LOC115628150|XP_030379984.1|SLEB	LOC120782481|XP_039970709.1|BTRY
OG0001641	LOC115624386|XP_030374957.1|SLEB	LOC120776372|XP_039962892.1|BTRY, LOC120776378|XP_039962907.1|BTRY
OG0001642	LOC115623363|XP_030373509.1|SLEB	LOC120768516|XP_039951178.1|BTRY
OG0001643	LOC115631197|XP_030383748.1|SLEB	LOC120778751|XP_039966661.1|BTRY
OG0001644	LOC115628333|XP_030380256.1|SLEB	LOC120777827|XP_039965298.1|BTRY
OG0001645	LOC115624955|XP_030375667.1|SLEB	LOC120771713|XP_039955796.1|BTRY
OG0001646	LOC115634533|XP_030388202.1|SLEB	LOC120771007|XP_039954704.1|BTRY
OG0001647	LOC115629414|XP_030381730.1|SLEB	LOC120773110|XP_039958038.1|BTRY
OG0001648	LOC115633105|XP_030386348.1|SLEB, LOC115632805|XP_030385916.1|SLEB	LOC120777228|XP_039964342.1|BTRY
OG0001649	LOC115633661|XP_030386966.1|SLEB	LOC120771979|XP_039956268.1|BTRY
OG0001650	LOC115628166|XP_030380009.1|SLEB	LOC120770854|XP_039954397.1|BTRY, LOC120771106|XP_039954884.1|BTRY
OG0001651	LOC115631836|XP_030384542.1|SLEB	LOC120773100|XP_039958005.1|BTRY
OG0001652	LOC115632256|XP_030385189.1|SLEB	LOC120777615|XP_039964997.1|BTRY, LOC120777616|XP_039964998.1|BTRY, LOC120777612|XP_039964995.1|BTRY, LOC120778126|XP_039965763.1|BTRY, LOC120777630|XP_039965017.1|BTRY
OG0001653	LOC115632790|XP_030385901.1|SLEB	LOC120779006|XP_039967059.1|BTRY
OG0001654	LOC115624654|XP_030375294.1|SLEB	LOC120770472|XP_039953901.1|BTRY
OG0001655	LOC115633712|XP_030387033.1|SLEB	LOC120771349|XP_039955230.1|BTRY
OG0001656	LOC115626509|XP_030377757.1|SLEB, LOC115626593|XP_030377836.1|SLEB, LOC115626478|XP_030377723.1|SLEB	LOC120769468|XP_039952417.1|BTRY
OG0001657	LOC115624729|XP_030375415.1|SLEB	LOC120779047|XP_039967118.1|BTRY
OG0001658	LOC115632477|XP_030385511.1|SLEB	LOC120778524|XP_039966293.1|BTRY
OG0001659	LOC115622281|XP_030372043.1|SLEB	LOC120778116|XP_039965752.1|BTRY
OG0001660	LOC115628397|XP_030380346.1|SLEB	LOC120778098|XP_039965734.1|BTRY
OG0001661	LOC115620748|XP_030370003.1|SLEB	LOC120780265|XP_039968455.1|BTRY
OG0001662	LOC115633134|XP_030386396.1|SLEB	LOC120776586|XP_039963289.1|BTRY
OG0001663	LOC115621870|XP_030371552.1|SLEB	LOC120766620|XP_039948165.1|BTRY
OG0001666	LOC115630994|XP_030383445.1|SLEB	LOC120769107|XP_039951903.1|BTRY, LOC120775078|XP_039961006.1|BTRY, LOC120777641|XP_039965027.1|BTRY
OG0001667	LOC115624013|XP_030374449.1|SLEB	LOC120772049|XP_039956355.1|BTRY
OG0001668	LOC115632726|XP_030385832.1|SLEB	LOC120777563|XP_039964893.1|BTRY
OG0001670	LOC115624911|XP_030375620.1|SLEB	LOC120777810|XP_039965279.1|BTRY
OG0001678	LOC115628697|XP_030380737.1|SLEB	LOC120774610|XP_039960272.1|BTRY, LOC120774609|XP_039960271.1|BTRY, LOC120773994|XP_039959194.1|BTRY
OG0001679	LOC115628814|XP_030380899.1|SLEB	LOC120775406|XP_039961504.1|BTRY
OG0001680	LOC115627556|XP_030379134.1|SLEB	LOC120774834|XP_039960583.1|BTRY
OG0001681	LOC115633378|XP_030386681.1|SLEB	LOC120775858|XP_039962162.1|BTRY
OG0001682	LOC115626835|XP_030378176.1|SLEB	LOC120775617|XP_039961798.1|BTRY
OG0001683	LOC115625707|XP_030376709.1|SLEB	LOC120767545|XP_039949590.1|BTRY
OG0001684	LOC115628023|XP_030379816.1|SLEB	LOC120779634|XP_039967915.1|BTRY
OG0001685	LOC115631653|XP_030384325.1|SLEB	LOC120767886|XP_039950144.1|BTRY
OG0001686	LOC115629599|XP_030381950.1|SLEB	LOC120773689|XP_039958656.1|BTRY
OG0001687	LOC115626890|XP_030378260.1|SLEB	LOC120775256|XP_039961272.1|BTRY
OG0001688	LOC115628823|XP_030380914.1|SLEB	LOC120775415|XP_039961525.1|BTRY
OG0001689	LOC115627385|XP_030378898.1|SLEB	LOC120774050|XP_039959286.1|BTRY
OG0001690	LOC115632364|XP_030385342.1|SLEB	LOC120778546|XP_039966329.1|BTRY
OG0001691	LOC115631196|XP_030383747.1|SLEB	LOC120767694|XP_039949819.1|BTRY
OG0001693	LOC115627103|XP_030378520.1|SLEB	LOC120773621|XP_039958558.1|BTRY
OG0001694	LOC115621672|XP_030371243.1|SLEB	LOC120766963|XP_039948686.1|BTRY
OG0001695	LOC115631973|XP_030384735.1|SLEB	LOC120775207|XP_039961205.1|BTRY
OG0001696	LOC115620879|XP_030370216.1|SLEB	LOC120766771|XP_039948385.1|BTRY
OG0001697	LOC115621368|XP_030370851.1|SLEB	LOC120780525|XP_039968725.1|BTRY
OG0001698	LOC115634530|XP_030388200.1|SLEB, LOC115627428|XP_030378960.1|SLEB	LOC120773831|XP_039958878.1|BTRY
OG0001699	LOC115620556|XP_030369703.1|SLEB	LOC120766782|XP_039948408.1|BTRY
OG0001700	LOC115624141|XP_030374597.1|SLEB	LOC120782051|XP_039970139.1|BTRY
OG0001701	LOC115620710|XP_030369945.1|SLEB	LOC120770465|XP_039953898.1|BTRY
OG0001702	LOC115625833|XP_030376888.1|SLEB	LOC120767466|XP_039949488.1|BTRY
OG0001703	LOC115621459|XP_030370976.1|SLEB	LOC120778914|XP_039966898.1|BTRY
OG0001704	LOC115621495|XP_030371023.1|SLEB	LOC120782453|XP_039970675.1|BTRY
OG0001705	LOC115620784|XP_030370053.1|SLEB	LOC120782483|XP_039970714.1|BTRY
OG0001706	LOC115625728|XP_030376737.1|SLEB	LOC120769700|XP_039952761.1|BTRY
OG0001707	LOC115620904|XP_030370253.1|SLEB	LOC120766391|XP_039947766.1|BTRY
OG0001708	LOC115621122|XP_030370527.1|SLEB	LOC120777881|XP_039965377.1|BTRY
OG0001709	LOC115622489|XP_030372295.1|SLEB	LOC120778146|XP_039965804.1|BTRY
OG0001710	LOC115622044|XP_030371776.1|SLEB, LOC115620596|XP_030369766.1|SLEB	LOC120766504|XP_039947995.1|BTRY
OG0001711	LOC115621862|XP_030371541.1|SLEB	LOC120766563|XP_039948091.1|BTRY
OG0001712	LOC115620220|XP_030369220.1|SLEB	LOC120766578|XP_039948105.1|BTRY
OG0001713	LOC115623552|XP_030373803.1|SLEB	LOC120781943|XP_039970043.1|BTRY
OG0001714	LOC115624368|XP_030374888.1|SLEB	LOC120782578|XP_039970855.1|BTRY
OG0001715	LOC115626987|XP_030378363.1|SLEB	LOC120773976|XP_039959157.1|BTRY
OG0001716	LOC115626997|XP_030378371.1|SLEB	LOC120774900|XP_039960702.1|BTRY
OG0001717	LOC115621806|XP_030371449.1|SLEB	LOC120768973|XP_039951709.1|BTRY
OG0001718	LOC115620217|XP_030369216.1|SLEB	LOC120774975|XP_039960810.1|BTRY
OG0001719	LOC115620717|XP_030369954.1|SLEB, LOC115622091|XP_030371793.1|SLEB	LOC120782615|XP_039970917.1|BTRY
OG0001720	LOC115629973|XP_030382454.1|SLEB	LOC120780383|XP_039968604.1|BTRY
OG0001721	LOC115625526|XP_030376455.1|SLEB	LOC120782003|XP_039970102.1|BTRY
OG0001722	LOC115622516|XP_030372330.1|SLEB	LOC120779073|XP_039967145.1|BTRY
OG0001723	LOC115632752|XP_030385863.1|SLEB	LOC120771972|XP_039956257.1|BTRY
OG0001724	LOC115621866|XP_030371550.1|SLEB	LOC120770913|XP_039954526.1|BTRY
OG0001725	LOC115621193|XP_030370650.1|SLEB	LOC120771944|XP_039956185.1|BTRY
OG0001726	LOC115632617|XP_030385705.1|SLEB	LOC120778418|XP_039966135.1|BTRY
OG0001727	LOC115621422|XP_030370934.1|SLEB	LOC120766308|XP_039947658.1|BTRY
OG0001728	LOC115629315|XP_030381626.1|SLEB	LOC120770885|XP_039954461.1|BTRY
OG0001729	LOC115634592|XP_030388285.1|SLEB	LOC120770998|XP_039954688.1|BTRY
OG0001730	LOC115631663|XP_030384337.1|SLEB	LOC120769487|XP_039952451.1|BTRY, LOC120769486|XP_039952448.1|BTRY
OG0001731	LOC115622817|XP_030372790.1|SLEB	LOC120772903|XP_039957724.1|BTRY
OG0001732	LOC115626439|XP_030377674.1|SLEB	LOC120782146|XP_039970217.1|BTRY
OG0001733	LOC115633922|XP_030387292.1|SLEB	LOC120770114|XP_039953220.1|BTRY
OG0001734	LOC115632459|XP_030385480.1|SLEB	LOC120770997|XP_039954678.1|BTRY
OG0001735	LOC115622206|XP_030371962.1|SLEB, LOC115622512|XP_030372325.1|SLEB	LOC120776488|XP_039963103.1|BTRY
OG0001736	LOC115625575|XP_030376536.1|SLEB	LOC120771460|XP_039955406.1|BTRY
OG0001737	LOC115621155|XP_030370576.1|SLEB	LOC120770561|XP_039954074.1|BTRY
OG0001738	LOC115632426|XP_030385426.1|SLEB	LOC120776367|XP_039962879.1|BTRY
OG0001739	LOC115626706|XP_030378003.1|SLEB	LOC120771361|XP_039955251.1|BTRY
OG0001740	LOC115619948|XP_030368837.1|SLEB	LOC120771162|XP_039954975.1|BTRY
OG0001741	LOC115620445|XP_030369534.1|SLEB	LOC120778593|XP_039966402.1|BTRY
OG0001742	LOC115626663|XP_030377943.1|SLEB	LOC120772299|XP_039956742.1|BTRY
OG0001743	LOC115628298|XP_030380206.1|SLEB	LOC120777835|XP_039965306.1|BTRY
OG0001744	LOC115619994|XP_030368926.1|SLEB	LOC120770428|XP_039953815.1|BTRY
OG0001745	LOC115620772|XP_030370043.1|SLEB	LOC120773048|XP_039957913.1|BTRY
OG0001746	LOC115622830|XP_030372768.1|SLEB	LOC120778508|XP_039966274.1|BTRY
OG0001747	LOC115624220|XP_030374698.1|SLEB	LOC120770033|XP_039953077.1|BTRY
OG0001748	LOC115632122|XP_030384985.1|SLEB	LOC120777796|XP_039965262.1|BTRY
OG0001749	LOC115624782|XP_030375477.1|SLEB	LOC120771928|XP_039956159.1|BTRY
OG0001750	LOC115624771|XP_030375466.1|SLEB	LOC120772894|XP_039957700.1|BTRY
OG0001751	LOC115632431|XP_030385433.1|SLEB	LOC120776536|XP_039963204.1|BTRY
OG0001753	LOC115632567|XP_030385646.1|SLEB	LOC120778234|XP_039965926.1|BTRY
OG0001754	LOC115623383|XP_030373545.1|SLEB	LOC120771219|XP_039955060.1|BTRY
OG0001755	LOC115632971|XP_030386132.1|SLEB	LOC120778132|XP_039965777.1|BTRY
OG0001756	LOC115620729|XP_030370009.1|SLEB	LOC120781251|XP_039969333.1|BTRY
OG0001757	LOC115631638|XP_030384310.1|SLEB	LOC120772752|XP_039957449.1|BTRY
OG0001758	LOC115624964|XP_030375679.1|SLEB	LOC120776614|XP_039963338.1|BTRY
OG0001759	LOC115622535|XP_030372362.1|SLEB	LOC120772921|XP_039957754.1|BTRY, LOC120772922|XP_039957755.1|BTRY
OG0001761	LOC115629853|XP_030382300.1|SLEB	LOC120770593|XP_039954123.1|BTRY
OG0001762	LOC115628995|XP_030381136.1|SLEB	LOC120769031|XP_039951807.1|BTRY
OG0001763	LOC115625839|XP_030376901.1|SLEB	LOC120768518|XP_039951180.1|BTRY, LOC120768856|XP_039951546.1|BTRY
OG0001764	LOC115623880|XP_030374290.1|SLEB	LOC120769804|XP_039952937.1|BTRY, LOC120779183|XP_039967369.1|BTRY
OG0001765	LOC115620072|XP_030369094.1|SLEB	LOC120773539|XP_039958431.1|BTRY
OG0001766	LOC115628501|XP_030380500.1|SLEB	LOC120769442|XP_039952359.1|BTRY
OG0001768	LOC115631123|XP_030383649.1|SLEB	LOC120774275|XP_039959698.1|BTRY
OG0001769	LOC115626459|XP_030377699.1|SLEB	LOC120768870|XP_039951559.1|BTRY
OG0001770	LOC115632041|XP_030384868.1|SLEB	LOC120767908|XP_039950193.1|BTRY
OG0001771	LOC115631363|XP_030383942.1|SLEB	LOC120769517|XP_039952489.1|BTRY
OG0001772	LOC115631091|XP_030383599.1|SLEB	LOC120768053|XP_039950504.1|BTRY, LOC120768993|XP_039951761.1|BTRY
OG0001773	LOC115625998|XP_030377104.1|SLEB	LOC120769306|XP_039952173.1|BTRY
OG0001774	LOC115634713|XP_030388456.1|SLEB	LOC120770925|XP_039954562.1|BTRY
OG0001775	LOC115633384|XP_030386688.1|SLEB	LOC120771054|XP_039954795.1|BTRY
OG0001775	LOC115628880|XP_030380997.1|SLEB	LOC120773459|XP_039958293.1|BTRY
OG0001776	LOC115625978|XP_030377083.1|SLEB	LOC120768559|XP_039951237.1|BTRY
