Orthogroup	SLEB.longest_only	CQUI.longest_only
OG0000301	LOC115631508|XP_030384133.1|SLEB	LOC6034863|XP_001845133.1|CQUI
OG0000302	LOC115622720|XP_030372621.1|SLEB, LOC115622723|XP_030372624.1|SLEB	LOC6032144|XP_001842798.2|CQUI, LOC6032143|XP_001842797.2|CQUI, LOC119767038|XP_038110222.1|CQUI, LOC6032141|XP_001842795.2|CQUI
OG0000303	LOC115623204|XP_030373289.1|SLEB, LOC115627907|XP_030379662.1|SLEB, LOC115627884|XP_030379630.1|SLEB	LOC6052242|XP_038120948.1|CQUI
OG0000304	LOC115626437|XP_030377672.1|SLEB, LOC115620846|XP_030370149.1|SLEB, LOC115620932|XP_030370299.1|SLEB	LOC6042769|XP_038116430.1|CQUI
OG0000305	LOC115624852|XP_030375557.1|SLEB	LOC6035458|XP_001845644.2|CQUI
OG0000306	LOC115630964|XP_030383407.1|SLEB, LOC115627989|XP_030379748.1|SLEB, LOC115626971|XP_030378346.1|SLEB	LOC6049473|XP_038122439.1|CQUI
OG0000307	LOC115623546|XP_030373791.1|SLEB	LOC6048080|XP_038107440.1|CQUI
OG0000307	LOC115620661|XP_030369872.1|SLEB	LOC6032667|XP_038106011.1|CQUI
OG0000311	LOC115627454|XP_030378982.1|SLEB	LOC6038299|XP_038123051.1|CQUI
OG0000312	LOC115626574|XP_030377813.1|SLEB	LOC119766616|XP_038107494.1|CQUI
OG0000312	LOC115631394|XP_030383976.1|SLEB	LOC6051796|XP_038114098.1|CQUI, LOC6033298|XP_038108136.1|CQUI
OG0000313	LOC115629415|XP_030381760.1|SLEB, LOC115628461|XP_030380441.1|SLEB, LOC115625678|XP_030376674.1|SLEB	LOC6042070|XP_038107572.1|CQUI, LOC6042069|XP_038107570.1|CQUI
OG0000315	LOC115631181|XP_030383731.1|SLEB	LOC6053118|XP_001869267.2|CQUI, LOC6053120|XP_038112347.1|CQUI
OG0000320	LOC115629981|XP_030382463.1|SLEB, LOC115624240|XP_030374718.1|SLEB, LOC115621638|XP_030371199.1|SLEB	LOC6035063|XP_038114234.1|CQUI
OG0000321	LOC115630950|XP_030383380.1|SLEB, LOC115630952|XP_030383384.1|SLEB	LOC6046508|XP_001863695.2|CQUI, LOC6044682|XP_001862157.2|CQUI, LOC6046507|XP_001863694.2|CQUI, LOC6053869|XP_001869887.2|CQUI
OG0000322	LOC115623960|XP_030374387.1|SLEB, LOC115629237|XP_030381511.1|SLEB, LOC115628052|XP_030379861.1|SLEB	LOC6046615|XP_038120091.1|CQUI, LOC119769501|XP_038118112.1|CQUI, LOC119769502|XP_038118113.1|CQUI
OG0000323	LOC115625779|XP_030376810.1|SLEB	LOC6033388|XP_038109505.1|CQUI
OG0000324	LOC115623632|XP_030373937.1|SLEB	LOC6032322|XP_038109936.1|CQUI
OG0000325	LOC115628210|XP_030380066.1|SLEB	LOC6034529|XP_001844829.1|CQUI, LOC6034530|XP_001844830.2|CQUI, LOC6043286|XP_001858177.2|CQUI
OG0000331	LOC115631121|XP_030383644.1|SLEB	LOC6033593|XP_038107031.1|CQUI, LOC6053126|XP_038104862.1|CQUI, LOC119766830|XP_038108839.1|CQUI
OG0000332	LOC115627530|XP_030379091.1|SLEB	LOC119770165|XP_038120507.1|CQUI
OG0000332	LOC115627528|XP_030379088.1|SLEB	LOC119765344|XP_038104986.1|CQUI, LOC6046361|XP_038121114.1|CQUI
OG0000333	LOC115622388|XP_030372172.1|SLEB, LOC115622978|XP_030372989.1|SLEB, LOC115623119|XP_030373187.1|SLEB, LOC115622149|XP_030371875.1|SLEB	LOC6037279|XP_038115324.1|CQUI
OG0000334	LOC115632839|XP_030385955.1|SLEB, LOC115627411|XP_030378931.1|SLEB, LOC115634426|XP_030387996.1|SLEB	LOC6037101|XP_001847049.1|CQUI
OG0000335	LOC115634471|XP_030388058.1|SLEB, LOC115626000|XP_030377106.1|SLEB	LOC6038268|XP_001848092.2|CQUI, LOC6043220|XP_001857710.2|CQUI
OG0000338	LOC115628270|XP_030380153.1|SLEB	LOC6042304|XP_038118860.1|CQUI
OG0000338	LOC115620062|XP_030369062.1|SLEB	LOC6052391|XP_038116274.1|CQUI
OG0000339	LOC115632471|XP_030385500.1|SLEB, LOC115633000|XP_030386185.1|SLEB	LOC119770586|XP_038121683.1|CQUI
OG0000340	LOC115634708|XP_030388448.1|SLEB	LOC6042260|XP_001851398.2|CQUI
OG0000342	LOC115627804|XP_030379494.1|SLEB, LOC115625975|XP_030377078.1|SLEB	LOC6039057|XP_038104470.1|CQUI
OG0000343	LOC115625520|XP_030376444.1|SLEB	LOC6047925|XP_038105326.1|CQUI
OG0000343	LOC115620639|XP_030369836.1|SLEB	LOC6047918|XP_001864906.2|CQUI, LOC6047916|XP_001864904.2|CQUI, LOC6047922|XP_001864903.2|CQUI, LOC6047917|XP_001864905.1|CQUI
OG0000344	LOC115633833|XP_030387180.1|SLEB, LOC115621889|XP_030371577.1|SLEB	LOC6031612|XP_038122864.1|CQUI, LOC6031624|XP_038104631.1|CQUI, LOC6031626|XP_001842376.2|CQUI
OG0000345	LOC115630401|XP_030382791.1|SLEB	LOC6043920|XP_001861505.1|CQUI
OG0000345	LOC115624987|XP_030375709.1|SLEB	LOC6048424|XP_038108064.1|CQUI
OG0000346	LOC115631504|XP_030384128.1|SLEB	LOC6047939|XP_038119570.1|CQUI
OG0000347	LOC115627038|XP_030378431.1|SLEB, LOC115624976|XP_030375691.1|SLEB	LOC6053028|XP_001869188.1|CQUI
OG0000347	LOC115631153|XP_030383685.1|SLEB	LOC6035234|XP_038108929.1|CQUI
OG0000348	LOC115630607|XP_030383089.1|SLEB, LOC115630561|XP_030383035.1|SLEB	LOC6052178|XP_038112049.1|CQUI
OG0000349	LOC115625747|XP_030376762.1|SLEB	LOC6044701|XP_038109328.1|CQUI
OG0000351	LOC115624890|XP_030375598.1|SLEB	LOC6035566|XP_001845722.1|CQUI, LOC119766460|XP_038106947.1|CQUI, LOC6051460|XP_038108559.1|CQUI, LOC119765222|XP_038104585.1|CQUI, LOC6035564|XP_001845720.2|CQUI, LOC119765223|XP_038104588.1|CQUI
OG0000353	LOC115620418|XP_030369502.1|SLEB	LOC6053768|XP_038115591.1|CQUI
OG0000353	LOC115626602|XP_030377851.1|SLEB	LOC6032433|XP_001843031.1|CQUI
OG0000355	LOC115625225|XP_030376073.1|SLEB, LOC115620007|XP_030368969.1|SLEB, LOC115620002|XP_030368955.1|SLEB	LOC6052795|XP_001868999.1|CQUI, LOC6053794|XP_001869822.2|CQUI
OG0000356	LOC115631046|XP_030383538.1|SLEB, LOC115631471|XP_030384084.1|SLEB, LOC115631302|XP_030383876.1|SLEB, LOC115631047|XP_030383539.1|SLEB, LOC115631521|XP_030384151.1|SLEB	LOC6036029|XP_001846132.2|CQUI, LOC6036024|XP_038108101.1|CQUI
OG0000361	LOC115626293|XP_030377479.1|SLEB, LOC115626260|XP_030377429.1|SLEB	LOC6053088|XP_001869241.2|CQUI
OG0000362	LOC115627725|XP_030379337.1|SLEB	LOC6034794|XP_001845067.1|CQUI
OG0000362	LOC115632155|XP_030385034.1|SLEB	LOC6035685|XP_001845819.1|CQUI
OG0000363	LOC115625246|XP_030376098.1|SLEB	LOC6039378|XP_038117966.1|CQUI
OG0000363	LOC115622168|XP_030371903.1|SLEB	LOC6040951|XP_038117956.1|CQUI
OG0000364	LOC115622449|XP_030372251.1|SLEB	LOC6039275|XP_038114684.1|CQUI
OG0000364	LOC115622947|XP_030372939.1|SLEB	LOC6039278|XP_038114688.1|CQUI
OG0000365	LOC115620013|XP_030368974.1|SLEB	LOC6046162|XP_038120872.1|CQUI
OG0000365	LOC115631326|XP_030383906.1|SLEB	LOC6041372|XP_038113037.1|CQUI
OG0000366	LOC115627532|XP_030379093.1|SLEB	LOC6033823|XP_038120114.1|CQUI
OG0000366	LOC115624196|XP_030374658.1|SLEB	LOC6052602|XP_038120752.1|CQUI
OG0000367	LOC115632526|XP_030385583.1|SLEB, LOC115634265|XP_030387748.1|SLEB	LOC6042616|XP_038111624.1|CQUI, LOC6042617|XP_038108533.1|CQUI, LOC6042618|XP_038108524.1|CQUI
OG0000368	LOC115623210|XP_030373299.1|SLEB	LOC6034536|XP_038111824.1|CQUI, LOC6034538|XP_001844838.2|CQUI
OG0000376	LOC115626726|XP_030378032.1|SLEB	LOC119765395|XP_038105106.1|CQUI
OG0000377	LOC115633207|XP_030386450.1|SLEB	LOC6038728|XP_001848468.2|CQUI, LOC6039325|XP_038116617.1|CQUI, LOC6039830|XP_001849342.2|CQUI
OG0000378	LOC115625212|XP_030376046.1|SLEB	LOC6037751|XP_001847631.2|CQUI, LOC6034070|XP_001844445.1|CQUI, LOC6034072|XP_001844447.1|CQUI
OG0000379	LOC115620056|XP_030369054.1|SLEB	LOC6054491|XP_038116536.1|CQUI
OG0000380	LOC115629241|XP_030381522.1|SLEB, LOC115628192|XP_030380049.1|SLEB, LOC115632566|XP_030385644.1|SLEB	LOC6050294|XP_001866924.2|CQUI
OG0000381	LOC115626332|XP_030377535.1|SLEB, LOC115626304|XP_030377494.1|SLEB	LOC6034141|XP_038110237.1|CQUI
OG0000382	LOC115632481|XP_030385514.1|SLEB, LOC115632203|XP_030385112.1|SLEB	LOC6033030|XP_001843536.2|CQUI, LOC6032454|XP_001843050.1|CQUI, LOC6033101|XP_001843596.2|CQUI
OG0000383	LOC115628524|XP_030380543.1|SLEB, LOC115631890|XP_030384599.1|SLEB	LOC6047999|XP_001864974.2|CQUI, LOC6031746|XP_038110977.1|CQUI
OG0000384	LOC115621918|XP_030371624.1|SLEB	LOC6043083|XP_001855521.2|CQUI
OG0000384	LOC115633876|XP_030387241.1|SLEB	LOC6052961|XP_038112129.1|CQUI
OG0000385	LOC115628811|XP_030380894.1|SLEB	LOC6033386|XP_038111698.1|CQUI
OG0000385	LOC115628867|XP_030380981.1|SLEB	LOC6034706|XP_001844987.2|CQUI
OG0000386	LOC115622934|XP_030372924.1|SLEB, LOC115621527|XP_030371053.1|SLEB, LOC115621526|XP_030371052.1|SLEB	LOC6051258|XP_001867726.2|CQUI
OG0000389	LOC115628089|XP_030379926.1|SLEB	LOC6044336|XP_038104141.1|CQUI
OG0000389	LOC115632417|XP_030385414.1|SLEB	LOC119768065|XP_038114337.1|CQUI
OG0000390	LOC115630437|XP_030382857.1|SLEB, LOC115629233|XP_030381506.1|SLEB, LOC115620333|XP_030369390.1|SLEB, LOC115627576|XP_030379158.1|SLEB	LOC6051517|XP_038107785.1|CQUI, LOC6051512|XP_038107787.1|CQUI, LOC6043601|XP_038122427.1|CQUI, LOC6033596|XP_038111911.1|CQUI, LOC6033640|XP_001844067.2|CQUI, LOC6033641|XP_038107557.1|CQUI
OG0000391	LOC115625692|XP_030376696.1|SLEB	LOC6035291|XP_038120263.1|CQUI
OG0000391	LOC115627082|XP_030378494.1|SLEB	LOC6044436|XP_038107548.1|CQUI
OG0000392	LOC115628606|XP_030380650.1|SLEB, LOC115628605|XP_030380649.1|SLEB	LOC6031277|XP_038112487.1|CQUI, LOC6040869|XP_038111082.1|CQUI
OG0000393	LOC115630547|XP_030383016.1|SLEB	LOC6051324|XP_038109507.1|CQUI
OG0000393	LOC115630548|XP_030383018.1|SLEB	LOC6037920|XP_038107003.1|CQUI
OG0000394	LOC115630035|XP_030382527.1|SLEB	LOC6045636|XP_001862965.2|CQUI, LOC119769911|XP_038119665.1|CQUI, LOC6042215|XP_001851356.2|CQUI, LOC6031460|XP_001842264.1|CQUI, LOC119767415|XP_038111890.1|CQUI, LOC119767659|XP_038112639.1|CQUI, LOC119769986|XP_038119914.1|CQUI
OG0000395	LOC115623008|XP_030373039.1|SLEB, LOC115622275|XP_030372036.1|SLEB	LOC119766736|XP_038108203.1|CQUI
OG0000399	LOC115625106|XP_030375869.1|SLEB, LOC115625369|XP_030376265.1|SLEB, LOC115625363|XP_030376260.1|SLEB	LOC6049034|XP_038104118.1|CQUI
OG0000400	LOC115627473|XP_030379009.1|SLEB, LOC115627608|XP_030379197.1|SLEB	LOC6040422|XP_038104927.1|CQUI
OG0000401	LOC115632886|XP_030386025.1|SLEB	LOC119770742|XP_038122093.1|CQUI, LOC6045345|XP_001862733.2|CQUI
OG0000402	LOC115629698|XP_030382077.1|SLEB	LOC6044718|XP_038119575.1|CQUI, LOC6047997|XP_001864961.2|CQUI, LOC6035773|XP_001845896.2|CQUI, LOC6053930|XP_001869933.2|CQUI, LOC6053931|XP_001869934.2|CQUI, LOC6053933|XP_038122341.1|CQUI, LOC6053909|XP_038122873.1|CQUI
OG0000404	LOC115620247|XP_030369256.1|SLEB	LOC6054458|XP_001870365.2|CQUI, LOC6035436|XP_038104425.1|CQUI, LOC6035437|XP_001845626.2|CQUI, LOC6035435|XP_038106179.1|CQUI, LOC6035438|XP_038123010.1|CQUI, LOC6035440|XP_038105339.1|CQUI, LOC6035439|XP_038123023.1|CQUI
OG0000405	LOC115629105|XP_030381287.1|SLEB	LOC6040923|XP_001850251.2|CQUI
OG0000405	LOC115621256|XP_030370712.1|SLEB	LOC6040924|XP_001850252.2|CQUI
OG0000406	LOC115622181|XP_030371929.1|SLEB, LOC115626215|XP_030377374.1|SLEB	LOC6045472|XP_038119856.1|CQUI, LOC6034068|XP_001844444.1|CQUI
OG0000407	LOC115623259|XP_030373389.1|SLEB	LOC6033066|XP_038117490.1|CQUI
OG0000407	LOC115633064|XP_030386285.1|SLEB	LOC6054107|XP_038118605.1|CQUI
OG0000408	LOC115626543|XP_030377781.1|SLEB, LOC115628619|XP_030380663.1|SLEB	LOC119765130|XP_038104238.1|CQUI
OG0000409	LOC115633694|XP_030387011.1|SLEB, LOC115622724|XP_030372628.1|SLEB	LOC6050527|XP_038113781.1|CQUI
OG0000410	LOC115630809|XP_030383337.1|SLEB	LOC6036181|XP_038113692.1|CQUI
OG0000411	LOC115623354|XP_030373497.1|SLEB	LOC6038155|XP_001847988.1|CQUI
OG0000411	LOC115626310|XP_030377505.1|SLEB	LOC6048269|XP_001865212.1|CQUI
OG0000412	LOC115624563|XP_030375152.1|SLEB, LOC115633113|XP_030386358.1|SLEB	LOC6046234|XP_038120897.1|CQUI, LOC6046235|XP_001863463.1|CQUI
OG0000413	LOC115623772|XP_030374168.1|SLEB, LOC115623920|XP_030374337.1|SLEB, LOC115623918|XP_030374334.1|SLEB	LOC6042051|XP_038120468.1|CQUI
OG0000414	LOC115624742|XP_030375429.1|SLEB	LOC6045442|XP_038106424.1|CQUI, LOC6045443|XP_038109329.1|CQUI
OG0000415	LOC115629761|XP_030382167.1|SLEB, LOC115628916|XP_030381039.1|SLEB, LOC115628857|XP_030380967.1|SLEB, LOC115628856|XP_030380966.1|SLEB, LOC115628858|XP_030380969.1|SLEB, LOC115619954|XP_030368843.1|SLEB, LOC115619956|XP_030368844.1|SLEB	LOC6034217|XP_001844570.1|CQUI
OG0000416	LOC115627013|XP_030378394.1|SLEB	LOC6052843|XP_001869039.2|CQUI
OG0000417	LOC115625178|XP_030376002.1|SLEB	LOC6036777|XP_038113609.1|CQUI
OG0000417	LOC115620783|XP_030370052.1|SLEB	LOC6045382|XP_038122609.1|CQUI
OG0000418	LOC115628876|XP_030380992.1|SLEB, LOC115627496|XP_030379044.1|SLEB	LOC6051484|XP_001867920.1|CQUI, LOC6051483|XP_001867919.2|CQUI
OG0000419	LOC115634225|XP_030387677.1|SLEB	LOC6042303|XP_001851438.1|CQUI
OG0000421	LOC115626292|XP_030377476.1|SLEB	LOC6035780|XP_038108560.1|CQUI
OG0000421	LOC115631970|XP_030384729.1|SLEB	LOC6033111|XP_038111263.1|CQUI
OG0000422	LOC115621841|XP_030371512.1|SLEB	LOC6034864|XP_038111635.1|CQUI, LOC6034865|XP_001845135.2|CQUI, LOC6040477|XP_001849863.2|CQUI
OG0000423	LOC115632151|XP_030385032.1|SLEB, LOC115634186|XP_030387633.1|SLEB	LOC6043479|XP_001859363.2|CQUI, LOC6043483|XP_001859378.1|CQUI, LOC6043484|XP_001859368.2|CQUI
OG0000424	LOC115633676|XP_030386989.1|SLEB, LOC115628066|XP_030379897.1|SLEB	LOC6032379|XP_038109405.1|CQUI
OG0000425	LOC115634281|XP_030387775.1|SLEB, LOC115620163|XP_030369151.1|SLEB	LOC6051878|XP_038111177.1|CQUI
OG0000425	LOC115624910|XP_030375619.1|SLEB	LOC6049711|XP_038113311.1|CQUI
OG0000426	LOC115632134|XP_030385010.1|SLEB	LOC6043942|XP_001861525.2|CQUI
OG0000429	LOC115634049|XP_030387453.1|SLEB, LOC115634048|XP_030387452.1|SLEB, LOC115634047|XP_030387450.1|SLEB	LOC6048181|XP_001865138.2|CQUI
OG0000433	LOC115627040|XP_030378432.1|SLEB	LOC6042750|XP_001870760.2|CQUI
OG0000433	LOC115622874|XP_030372824.1|SLEB	LOC6040995|XP_038119615.1|CQUI
OG0000434	LOC115620785|XP_030370059.1|SLEB	LOC6042411|XP_001851531.2|CQUI
OG0000434	LOC115620044|XP_030369023.1|SLEB	LOC119765343|XP_038104983.1|CQUI
OG0000435	LOC115627968|XP_030379722.1|SLEB	LOC6038210|XP_001848042.2|CQUI, LOC6038215|XP_001848044.2|CQUI, LOC6038528|XP_038106285.1|CQUI, LOC6038862|XP_038117185.1|CQUI, LOC6033440|XP_001843891.2|CQUI, LOC6033751|XP_001844161.2|CQUI, LOC6040045|XP_001849517.2|CQUI, LOC6038217|XP_001848046.2|CQUI, LOC6038216|XP_001848045.2|CQUI, LOC6038860|XP_001848565.2|CQUI, LOC6038859|XP_001848564.2|CQUI, LOC6037532|XP_038109452.1|CQUI, LOC6037531|XP_001847431.2|CQUI, LOC6054227|XP_038119514.1|CQUI, LOC6039205|XP_038104995.1|CQUI
OG0000437	LOC115629368|XP_030381686.1|SLEB, LOC115628646|XP_030380674.1|SLEB	LOC6052828|XP_001869024.1|CQUI
OG0000437	LOC115630407|XP_030382798.1|SLEB	LOC6048330|XP_001865266.2|CQUI
OG0000438	LOC115621779|XP_030371394.1|SLEB	LOC6034110|XP_038111570.1|CQUI
OG0000439	LOC115626416|XP_030377644.1|SLEB	LOC6039581|XP_038109671.1|CQUI
OG0000439	LOC115622178|XP_030371926.1|SLEB	LOC6051719|XP_038113453.1|CQUI
OG0000440	LOC115632822|XP_030385936.1|SLEB, LOC115621641|XP_030371204.1|SLEB	LOC6036645|XP_001846671.2|CQUI
OG0000441	LOC115625376|XP_030376310.1|SLEB, LOC115625478|XP_030376426.1|SLEB	LOC6050426|XP_038113065.1|CQUI
OG0000442	LOC115628380|XP_030380321.1|SLEB	LOC6035011|XP_038119411.1|CQUI
OG0000443	LOC115622480|XP_030372285.1|SLEB, LOC115622482|XP_030372286.1|SLEB, LOC115622808|XP_030372736.1|SLEB	LOC6034172|XP_001844528.2|CQUI, LOC6034174|XP_001844529.2|CQUI
OG0000444	LOC115628613|XP_030380657.1|SLEB, LOC115626051|XP_030377163.1|SLEB	LOC6034653|XP_001844941.2|CQUI, LOC6036079|XP_001846172.1|CQUI
OG0000448	LOC115621335|XP_030370816.1|SLEB, LOC115620305|XP_030369349.1|SLEB	LOC6044342|XP_001861872.2|CQUI, LOC6044340|XP_038105584.1|CQUI
OG0000449	LOC115632130|XP_030384997.1|SLEB	LOC6033785|XP_038109492.1|CQUI
OG0000450	LOC115629485|XP_030381816.1|SLEB	LOC6050628|XP_038113806.1|CQUI
OG0000450	LOC115628723|XP_030380780.1|SLEB	LOC6042731|XP_038116979.1|CQUI
OG0000451	LOC115627137|XP_030378572.1|SLEB	LOC6034433|XP_001844750.1|CQUI
OG0000451	LOC115627136|XP_030378568.1|SLEB	LOC6034434|XP_038105282.1|CQUI
OG0000453	LOC115620982|XP_030370362.1|SLEB	LOC6041371|XP_038105173.1|CQUI, LOC6041353|XP_001850627.1|CQUI
OG0000454	LOC115633980|XP_030387361.1|SLEB, LOC115632098|XP_030384944.1|SLEB	LOC6031085|XP_001841933.2|CQUI
OG0000456	LOC115627769|XP_030379427.1|SLEB	LOC6047972|XP_038113525.1|CQUI
OG0000456	LOC115625920|XP_030377014.1|SLEB	LOC6036162|XP_038107996.1|CQUI
OG0000457	LOC115626588|XP_030377830.1|SLEB	LOC6047780|XP_038111522.1|CQUI
OG0000457	LOC115626095|XP_030377207.1|SLEB	LOC6054790|XP_038111518.1|CQUI
OG0000458	LOC115620069|XP_030369087.1|SLEB, LOC115620409|XP_030369493.1|SLEB, LOC115634573|XP_030388257.1|SLEB, LOC115631161|XP_030383698.1|SLEB	LOC119766621|XP_038107556.1|CQUI, LOC6033358|XP_001843821.2|CQUI, LOC6033359|XP_001843822.2|CQUI, LOC6044558|XP_038108730.1|CQUI, LOC6044563|XP_038108731.1|CQUI
OG0000460	LOC115631631|XP_030384300.1|SLEB	LOC6044256|XP_001861795.2|CQUI
OG0000465	LOC115625456|XP_030376364.1|SLEB, LOC115625275|XP_030376137.1|SLEB	LOC119768676|XP_038115066.1|CQUI, LOC6045189|XP_038112218.1|CQUI
OG0000466	LOC115628771|XP_030380846.1|SLEB	LOC6035082|XP_038122526.1|CQUI
OG0000466	LOC115628623|XP_030380671.1|SLEB	LOC6044248|XP_038107808.1|CQUI
OG0000467	LOC115633767|XP_030387102.1|SLEB, LOC115624417|XP_030375028.1|SLEB	LOC6045537|XP_038118816.1|CQUI
OG0000468	LOC115620412|XP_030369494.1|SLEB	LOC6042212|XP_001851353.1|CQUI
OG0000468	LOC115622529|XP_030372750.1|SLEB	LOC6041607|XP_038115266.1|CQUI
OG0000469	LOC115632031|XP_030384837.1|SLEB, LOC115632024|XP_030384829.1|SLEB	LOC6049763|XP_038113824.1|CQUI
OG0000470	LOC115624838|XP_030375544.1|SLEB	LOC6036814|XP_038111507.1|CQUI
OG0000470	LOC115633902|XP_030387266.1|SLEB	LOC6047359|XP_038112314.1|CQUI
OG0000471	LOC115625554|XP_030376545.1|SLEB, LOC115631733|XP_030384432.1|SLEB	LOC6036133|XP_001846226.2|CQUI
OG0000473	LOC115630196|XP_030382623.1|SLEB, LOC115627938|XP_030379690.1|SLEB, LOC115627821|XP_030379515.1|SLEB	LOC6052350|XP_001868639.1|CQUI
OG0000474	LOC115627241|XP_030378724.1|SLEB, LOC115623087|XP_030373152.1|SLEB	LOC6049175|XP_038105811.1|CQUI
OG0000475	LOC115620839|XP_030370131.1|SLEB, LOC115620793|XP_030370073.1|SLEB	LOC6039907|XP_001849405.1|CQUI
OG0000476	LOC115625076|XP_030375824.1|SLEB	LOC6042382|XP_038105827.1|CQUI
OG0000478	LOC115627237|XP_030378720.1|SLEB	LOC6044656|XP_038115788.1|CQUI, LOC6044657|XP_001862137.1|CQUI, LOC6044659|XP_038115789.1|CQUI
OG0000479	LOC115625158|XP_030375946.1|SLEB	LOC6038213|XP_001848039.2|CQUI, LOC6038214|XP_001848040.2|CQUI, LOC6038209|XP_001848041.2|CQUI
OG0000480	LOC115630445|XP_030382867.1|SLEB, LOC115630429|XP_030382845.1|SLEB, LOC115630764|XP_030383280.1|SLEB	LOC6041494|XP_001850745.1|CQUI
OG0000482	LOC115623707|XP_030374046.1|SLEB	LOC6044292|XP_038118091.1|CQUI, LOC6044289|XP_001861821.1|CQUI
OG0000483	LOC115625416|XP_030376316.1|SLEB, LOC115625422|XP_030376322.1|SLEB	LOC6048006|XP_038120391.1|CQUI, LOC6048008|XP_038120760.1|CQUI, LOC6048016|XP_001864979.2|CQUI
OG0000484	LOC115624356|XP_030374874.1|SLEB, LOC115624354|XP_030374872.1|SLEB	LOC6051912|XP_001868269.2|CQUI, LOC6051911|XP_001868268.2|CQUI
OG0000485	LOC115622735|XP_030372635.1|SLEB, LOC115622734|XP_030372634.1|SLEB	LOC6041153|XP_038107076.1|CQUI
OG0000486	LOC115622380|XP_030372201.1|SLEB, LOC115622284|XP_030372084.1|SLEB	LOC6041660|XP_001850887.2|CQUI
OG0000489	LOC115621523|XP_030371049.1|SLEB, LOC115627675|XP_030379277.1|SLEB	LOC6045222|XP_038122215.1|CQUI
OG0000490	LOC115628761|XP_030380837.1|SLEB	LOC6054008|XP_038122876.1|CQUI
OG0000491	LOC115634774|XP_030388530.1|SLEB	LOC6048388|XP_038107947.1|CQUI
OG0000492	LOC115634517|XP_030388144.1|SLEB	LOC6040913|XP_001850241.1|CQUI
OG0000492	LOC115624481|XP_030375044.1|SLEB	LOC6044260|XP_001861799.2|CQUI
OG0000493	LOC115620380|XP_030369447.1|SLEB, LOC115627587|XP_030379171.1|SLEB	LOC6040999|XP_038119325.1|CQUI
OG0000494	LOC115626394|XP_030377615.1|SLEB	LOC119766647|XP_038107694.1|CQUI
OG0000495	LOC115623768|XP_030374167.1|SLEB, LOC115623777|XP_030374179.1|SLEB	LOC6031986|XP_038106727.1|CQUI
OG0000496	LOC115628991|XP_030381133.1|SLEB	LOC6035746|XP_038113161.1|CQUI
OG0000496	LOC115631192|XP_030383742.1|SLEB	LOC6035745|XP_038112206.1|CQUI
OG0000497	LOC115631277|XP_030383851.1|SLEB, LOC115631501|XP_030384121.1|SLEB	LOC6048339|XP_038111873.1|CQUI
OG0000498	LOC115625411|XP_030376311.1|SLEB, LOC115625406|XP_030376305.1|SLEB	LOC6039237|XP_001848874.2|CQUI
OG0000499	LOC115626780|XP_030378109.1|SLEB	LOC6048807|XP_038112168.1|CQUI
OG0000499	LOC115626831|XP_030378172.1|SLEB	LOC6042113|XP_001851263.2|CQUI
OG0000500	LOC115622311|XP_030372077.1|SLEB, LOC115622310|XP_030372075.1|SLEB	LOC6043030|XP_001854846.2|CQUI, LOC6043544|XP_038111294.1|CQUI
OG0000504	LOC115633045|XP_030386249.1|SLEB	LOC6041004|XP_001850319.2|CQUI, LOC119768650|XP_038114938.1|CQUI, LOC6041003|XP_038114937.1|CQUI, LOC6041005|XP_038114939.1|CQUI, LOC6047053|XP_038122845.1|CQUI, LOC6041006|XP_001850321.1|CQUI
OG0000505	LOC115633292|XP_030386564.1|SLEB, LOC115633257|XP_030386521.1|SLEB	LOC6041848|XP_038111190.1|CQUI, LOC6038636|XP_038113279.1|CQUI
OG0000507	LOC115627058|XP_030378464.1|SLEB	LOC6045928|XP_001863205.1|CQUI
OG0000507	LOC115627426|XP_030378959.1|SLEB	LOC6037479|XP_038113105.1|CQUI
OG0000508	LOC115624934|XP_030375645.1|SLEB, LOC115624935|XP_030375646.1|SLEB	LOC6049261|XP_001866046.2|CQUI
OG0000509	LOC115620075|XP_030369098.1|SLEB	LOC6051070|XP_038117205.1|CQUI
OG0000510	LOC115630820|XP_030383345.1|SLEB, LOC115630586|XP_030383068.1|SLEB, LOC115634284|XP_030387793.1|SLEB	LOC6052252|XP_001868549.2|CQUI
OG0000511	LOC115631969|XP_030384727.1|SLEB, LOC115631594|XP_030384255.1|SLEB	LOC6031766|XP_001842477.2|CQUI, LOC6031767|XP_001842478.2|CQUI
OG0000512	LOC115631331|XP_030383912.1|SLEB	LOC6041515|XP_038107055.1|CQUI, LOC119766432|XP_038106904.1|CQUI, LOC6041512|XP_038106906.1|CQUI
OG0000513	LOC115621232|XP_030370686.1|SLEB, LOC115625905|XP_030376995.1|SLEB	LOC6036436|XP_001846489.2|CQUI
OG0000514	LOC115628526|XP_030380546.1|SLEB, LOC115628516|XP_030380527.1|SLEB	LOC6033627|XP_038108381.1|CQUI
OG0000515	LOC115627805|XP_030379495.1|SLEB, LOC115622643|XP_030372511.1|SLEB	LOC6038107|XP_038110142.1|CQUI
OG0000516	LOC115626944|XP_030378319.1|SLEB, LOC115626938|XP_030378313.1|SLEB	LOC6032715|XP_038122030.1|CQUI, LOC6032713|XP_038122029.1|CQUI
