Orthogroup	SLEB.longest_only	CCAP.longest_only
OG0000368	LOC115623210|XP_030373299.1|SLEB	CCAP1982_LOCUS14032|CAD7005679.1|CCAP
OG0000378	LOC115627516|XP_030379070.1|SLEB	CCAP1982_LOCUS6736|CAD6998125.1|CCAP
OG0000379	LOC115620056|XP_030369054.1|SLEB	CCAP1982_LOCUS21660|CAD7013606.1|CCAP
OG0000380	LOC115629241|XP_030381522.1|SLEB, LOC115628192|XP_030380049.1|SLEB	CCAP1982_LOCUS12650|CAD7004231.1|CCAP
OG0000380	LOC115632566|XP_030385644.1|SLEB	CCAP1982_LOCUS12649|CAD7004230.1|CCAP
OG0000381	LOC115626304|XP_030377494.1|SLEB	CCAP1982_LOCUS5374|CAD6996690.1|CCAP
OG0000383	LOC115628524|XP_030380543.1|SLEB	CCAP1982_LOCUS8613|CAD7000118.1|CCAP
OG0000383	LOC115631890|XP_030384599.1|SLEB	CCAP1982_LOCUS8611|CAD7000116.1|CCAP
OG0000384	LOC115621918|XP_030371624.1|SLEB	CCAP1982_LOCUS21415|CAD7013347.1|CCAP
OG0000384	LOC115633876|XP_030387241.1|SLEB	CCAP1982_LOCUS21411|CAD7013343.1|CCAP, CCAP1982_LOCUS21405|CAD7013337.1|CCAP
OG0000386	LOC115622934|XP_030372924.1|SLEB, LOC115621527|XP_030371053.1|SLEB, LOC115621526|XP_030371052.1|SLEB	CCAP1982_LOCUS2499|CAD6993693.1|CCAP
OG0000389	LOC115628089|XP_030379926.1|SLEB	CCAP1982_LOCUS4106|CAD6995388.1|CCAP, CCAP1982_LOCUS4103|CAD6995385.1|CCAP
OG0000389	LOC115632417|XP_030385414.1|SLEB	CCAP1982_LOCUS19656|CAD7011568.1|CCAP
OG0000390	LOC115630437|XP_030382857.1|SLEB, LOC115629233|XP_030381506.1|SLEB, LOC115620333|XP_030369390.1|SLEB, LOC115627576|XP_030379158.1|SLEB	CCAP1982_LOCUS21890|CAD7013874.1|CCAP
OG0000391	LOC115625692|XP_030376696.1|SLEB	CCAP1982_LOCUS21905|CAD7013892.1|CCAP
OG0000391	LOC115627082|XP_030378494.1|SLEB	CCAP1982_LOCUS21907|CAD7013893.1|CCAP
OG0000392	LOC115628605|XP_030380649.1|SLEB	CCAP1982_LOCUS6845|CAD6998235.1|CCAP
OG0000393	LOC115630547|XP_030383016.1|SLEB	CCAP1982_LOCUS7644|CAD6999099.1|CCAP
OG0000393	LOC115630548|XP_030383018.1|SLEB	CCAP1982_LOCUS7637|CAD6999091.1|CCAP
OG0000395	LOC115623008|XP_030373039.1|SLEB, LOC115622275|XP_030372036.1|SLEB	CCAP1982_LOCUS13447|CAD7005084.1|CCAP
OG0000396	LOC115632052|XP_030384886.1|SLEB	CCAP1982_LOCUS8304|CAD6999782.1|CCAP, CCAP1982_LOCUS8303|CAD6999781.1|CCAP, CCAP1982_LOCUS8305|CAD6999783.1|CCAP
OG0000399	LOC115625106|XP_030375869.1|SLEB	CCAP1982_LOCUS1621|CAD6992781.1|CCAP
OG0000399	LOC115625369|XP_030376265.1|SLEB, LOC115625363|XP_030376260.1|SLEB	CCAP1982_LOCUS3083|CAD6994327.1|CCAP
OG0000403	LOC115620470|XP_030369561.1|SLEB	CCAP1982_LOCUS1259|CAD6992395.1|CCAP
OG0000403	LOC115634726|XP_030388468.1|SLEB	CCAP1982_LOCUS22013|CAD7014006.1|CCAP
OG0000404	LOC115620247|XP_030369256.1|SLEB	CCAP1982_LOCUS1096|CAD6992226.1|CCAP, CCAP1982_LOCUS1097|CAD6992227.1|CCAP
OG0000406	LOC115622181|XP_030371929.1|SLEB	CCAP1982_LOCUS11897|CAD7003443.1|CCAP
OG0000406	LOC115626215|XP_030377374.1|SLEB	CCAP1982_LOCUS21278|CAD7013207.1|CCAP
OG0000407	LOC115623259|XP_030373389.1|SLEB	CCAP1982_LOCUS12843|CAD7004436.1|CCAP
OG0000407	LOC115633064|XP_030386285.1|SLEB	CCAP1982_LOCUS12844|CAD7004437.1|CCAP
OG0000408	LOC115626543|XP_030377781.1|SLEB, LOC115628619|XP_030380663.1|SLEB	CCAP1982_LOCUS7779|CAD6999248.1|CCAP
OG0000409	LOC115633694|XP_030387011.1|SLEB, LOC115622724|XP_030372628.1|SLEB	CCAP1982_LOCUS21376|CAD7013305.1|CCAP, CCAP1982_LOCUS21379|CAD7013308.1|CCAP
OG0000411	LOC115623354|XP_030373497.1|SLEB	CCAP1982_LOCUS957|CAD6992077.1|CCAP
OG0000411	LOC115626310|XP_030377505.1|SLEB	CCAP1982_LOCUS6392|CAD6997762.1|CCAP
OG0000412	LOC115633113|XP_030386358.1|SLEB	CCAP1982_LOCUS13595|CAD7005237.1|CCAP
OG0000413	LOC115623772|XP_030374168.1|SLEB	CCAP1982_LOCUS275|CAD6991346.1|CCAP
OG0000413	LOC115623920|XP_030374337.1|SLEB, LOC115623918|XP_030374334.1|SLEB	CCAP1982_LOCUS5039|CAD6996361.1|CCAP, CCAP1982_LOCUS5038|CAD6996360.1|CCAP, CCAP1982_LOCUS5040|CAD6996362.1|CCAP
OG0000414	LOC115624742|XP_030375429.1|SLEB	CCAP1982_LOCUS19440|CAD7011335.1|CCAP
OG0000415	LOC115629761|XP_030382167.1|SLEB, LOC115628916|XP_030381039.1|SLEB, LOC115628857|XP_030380967.1|SLEB, LOC115628856|XP_030380966.1|SLEB, LOC115628858|XP_030380969.1|SLEB, LOC115619954|XP_030368843.1|SLEB	CCAP1982_LOCUS19715|CAD7011626.1|CCAP
OG0000415	LOC115619956|XP_030368844.1|SLEB	CCAP1982_LOCUS19713|CAD7011624.1|CCAP
OG0000417	LOC115625178|XP_030376002.1|SLEB	CCAP1982_LOCUS1624|CAD6992785.1|CCAP
OG0000417	LOC115620783|XP_030370052.1|SLEB	CCAP1982_LOCUS1860|CAD6993024.1|CCAP, CCAP1982_LOCUS1861|CAD6993025.1|CCAP
OG0000419	LOC115634225|XP_030387677.1|SLEB	CCAP1982_LOCUS21861|CAD7013841.1|CCAP
OG0000421	LOC115626292|XP_030377476.1|SLEB	CCAP1982_LOCUS8404|CAD6999894.1|CCAP
OG0000421	LOC115631970|XP_030384729.1|SLEB	CCAP1982_LOCUS8319|CAD6999803.1|CCAP
OG0000422	LOC115621841|XP_030371512.1|SLEB	CCAP1982_LOCUS4204|CAD6995489.1|CCAP
OG0000423	LOC115632151|XP_030385032.1|SLEB	CCAP1982_LOCUS19616|CAD7011527.1|CCAP
OG0000423	LOC115634186|XP_030387633.1|SLEB	CCAP1982_LOCUS19615|CAD7011526.1|CCAP
OG0000424	LOC115631983|XP_030384753.1|SLEB	CCAP1982_LOCUS19629|CAD7011540.1|CCAP
OG0000424	LOC115633676|XP_030386989.1|SLEB, LOC115628066|XP_030379897.1|SLEB	CCAP1982_LOCUS19630|CAD7011542.1|CCAP
OG0000425	LOC115634281|XP_030387775.1|SLEB, LOC115620163|XP_030369151.1|SLEB	CCAP1982_LOCUS20315|CAD7012217.1|CCAP
OG0000425	LOC115624910|XP_030375619.1|SLEB	CCAP1982_LOCUS20895|CAD7012794.1|CCAP
OG0000426	LOC115632134|XP_030385010.1|SLEB	CCAP1982_LOCUS4810|CAD6996114.1|CCAP, CCAP1982_LOCUS6894|CAD6998285.1|CCAP
OG0000428	LOC115632132|XP_030385001.1|SLEB, LOC115632131|XP_030384999.1|SLEB	CCAP1982_LOCUS20636|CAD7012551.1|CCAP, CCAP1982_LOCUS20637|CAD7012552.1|CCAP
OG0000429	LOC115634048|XP_030387452.1|SLEB	CCAP1982_LOCUS20662|CAD7012577.1|CCAP, CCAP1982_LOCUS20663|CAD7012578.1|CCAP
OG0000429	LOC115634047|XP_030387450.1|SLEB	CCAP1982_LOCUS20666|CAD7012581.1|CCAP, CCAP1982_LOCUS20665|CAD7012580.1|CCAP, CCAP1982_LOCUS20664|CAD7012579.1|CCAP
OG0000433	LOC115622874|XP_030372824.1|SLEB	CCAP1982_LOCUS10907|CAD7002416.1|CCAP
OG0000434	LOC115620785|XP_030370059.1|SLEB	CCAP1982_LOCUS20167|CAD7012067.1|CCAP
OG0000434	LOC115620044|XP_030369023.1|SLEB	CCAP1982_LOCUS22714|CAD7014736.1|CCAP
OG0000437	LOC115629368|XP_030381686.1|SLEB, LOC115628646|XP_030380674.1|SLEB	CCAP1982_LOCUS5654|CAD6996993.1|CCAP
OG0000437	LOC115630407|XP_030382798.1|SLEB	CCAP1982_LOCUS7931|CAD6999405.1|CCAP
OG0000438	LOC115621779|XP_030371394.1|SLEB	CCAP1982_LOCUS1066|CAD6992194.1|CCAP, CCAP1982_LOCUS1067|CAD6992195.1|CCAP
OG0000439	LOC115626416|XP_030377644.1|SLEB	CCAP1982_LOCUS6443|CAD6997819.1|CCAP
OG0000439	LOC115622178|XP_030371926.1|SLEB	CCAP1982_LOCUS12270|CAD7003837.1|CCAP
OG0000440	LOC115632822|XP_030385936.1|SLEB	CCAP1982_LOCUS22496|CAD7014494.1|CCAP
OG0000440	LOC115621641|XP_030371204.1|SLEB	CCAP1982_LOCUS22497|CAD7014495.1|CCAP
OG0000441	LOC115625376|XP_030376310.1|SLEB	CCAP1982_LOCUS21648|CAD7013593.1|CCAP, CCAP1982_LOCUS21647|CAD7013592.1|CCAP
OG0000441	LOC115625478|XP_030376426.1|SLEB	CCAP1982_LOCUS21646|CAD7013591.1|CCAP
OG0000443	LOC115622480|XP_030372285.1|SLEB, LOC115622482|XP_030372286.1|SLEB, LOC115622808|XP_030372736.1|SLEB	CCAP1982_LOCUS7793|CAD6999263.1|CCAP
OG0000444	LOC115628613|XP_030380657.1|SLEB	CCAP1982_LOCUS11680|CAD7003219.1|CCAP
OG0000444	LOC115626051|XP_030377163.1|SLEB	CCAP1982_LOCUS11679|CAD7003218.1|CCAP
OG0000446	LOC115629768|XP_030382180.1|SLEB	CCAP1982_LOCUS20865|CAD7012761.1|CCAP
OG0000446	LOC115634410|XP_030387966.1|SLEB	CCAP1982_LOCUS13488|CAD7005126.1|CCAP
OG0000448	LOC115621335|XP_030370816.1|SLEB	CCAP1982_LOCUS3324|CAD6994585.1|CCAP, CCAP1982_LOCUS3323|CAD6994584.1|CCAP
OG0000449	LOC115632130|XP_030384997.1|SLEB	CCAP1982_LOCUS11067|CAD7002580.1|CCAP
OG0000449	LOC115625806|XP_030376848.1|SLEB	CCAP1982_LOCUS6102|CAD6997459.1|CCAP
OG0000453	LOC115621529|XP_030371055.1|SLEB	CCAP1982_LOCUS3225|CAD6994480.1|CCAP
OG0000453	LOC115620982|XP_030370362.1|SLEB	CCAP1982_LOCUS3229|CAD6994484.1|CCAP, CCAP1982_LOCUS3228|CAD6994483.1|CCAP
OG0000454	LOC115633980|XP_030387361.1|SLEB, LOC115632098|XP_030384944.1|SLEB	CCAP1982_LOCUS23327|CAD7015383.1|CCAP, CCAP1982_LOCUS23322|CAD7015378.1|CCAP, CCAP1982_LOCUS23324|CAD7015380.1|CCAP, CCAP1982_LOCUS23323|CAD7015379.1|CCAP, CCAP1982_LOCUS23320|CAD7015376.1|CCAP, CCAP1982_LOCUS23326|CAD7015382.1|CCAP, CCAP1982_LOCUS23321|CAD7015377.1|CCAP, CCAP1982_LOCUS23325|CAD7015381.1|CCAP
OG0000455	LOC115622166|XP_030371933.1|SLEB	CCAP1982_LOCUS22328|CAD7014331.1|CCAP, CCAP1982_LOCUS22327|CAD7014330.1|CCAP
OG0000456	LOC115627769|XP_030379427.1|SLEB	CCAP1982_LOCUS10154|CAD7001662.1|CCAP
OG0000456	LOC115625920|XP_030377014.1|SLEB	CCAP1982_LOCUS6580|CAD6997962.1|CCAP
OG0000457	LOC115626588|XP_030377830.1|SLEB	CCAP1982_LOCUS5601|CAD6996931.1|CCAP
OG0000457	LOC115626095|XP_030377207.1|SLEB	CCAP1982_LOCUS6131|CAD6997489.1|CCAP
OG0000458	LOC115620069|XP_030369087.1|SLEB, LOC115620409|XP_030369493.1|SLEB, LOC115634573|XP_030388257.1|SLEB, LOC115631161|XP_030383698.1|SLEB	CCAP1982_LOCUS8276|CAD6999754.1|CCAP
OG0000460	LOC115631631|XP_030384300.1|SLEB	CCAP1982_LOCUS8651|CAD7000158.1|CCAP
OG0000462	LOC115624359|XP_030374879.1|SLEB, LOC115624358|XP_030374877.1|SLEB	CCAP1982_LOCUS4493|CAD6995789.1|CCAP
OG0000465	LOC115625456|XP_030376364.1|SLEB	CCAP1982_LOCUS3256|CAD6994512.1|CCAP, CCAP1982_LOCUS3257|CAD6994513.1|CCAP
OG0000465	LOC115625275|XP_030376137.1|SLEB	CCAP1982_LOCUS3258|CAD6994514.1|CCAP
OG0000466	LOC115628623|XP_030380671.1|SLEB	CCAP1982_LOCUS7016|CAD6998416.1|CCAP
OG0000467	LOC115633767|XP_030387102.1|SLEB	CCAP1982_LOCUS21515|CAD7013450.1|CCAP, CCAP1982_LOCUS21512|CAD7013447.1|CCAP
OG0000467	LOC115624417|XP_030375028.1|SLEB	CCAP1982_LOCUS21490|CAD7013426.1|CCAP, CCAP1982_LOCUS21482|CAD7013418.1|CCAP
OG0000468	LOC115620412|XP_030369494.1|SLEB	CCAP1982_LOCUS150|CAD6991212.1|CCAP
OG0000468	LOC115622529|XP_030372750.1|SLEB	CCAP1982_LOCUS22943|CAD7014985.1|CCAP
OG0000469	LOC115632031|XP_030384837.1|SLEB	CCAP1982_LOCUS7328|CAD6998774.1|CCAP
OG0000469	LOC115632024|XP_030384829.1|SLEB	CCAP1982_LOCUS7318|CAD6998764.1|CCAP
OG0000471	LOC115625554|XP_030376545.1|SLEB, LOC115631733|XP_030384432.1|SLEB	CCAP1982_LOCUS8931|CAD7000454.1|CCAP
OG0000473	LOC115630196|XP_030382623.1|SLEB	CCAP1982_LOCUS9253|CAD7000778.1|CCAP
OG0000473	LOC115627938|XP_030379690.1|SLEB, LOC115627821|XP_030379515.1|SLEB	CCAP1982_LOCUS9254|CAD7000779.1|CCAP
OG0000475	LOC115620839|XP_030370131.1|SLEB	CCAP1982_LOCUS2720|CAD6993933.1|CCAP
OG0000476	LOC115625076|XP_030375824.1|SLEB	CCAP1982_LOCUS3784|CAD6995059.1|CCAP
OG0000477	LOC115620781|XP_030370050.1|SLEB	CCAP1982_LOCUS3910|CAD6995190.1|CCAP
OG0000477	LOC115620952|XP_030370328.1|SLEB	CCAP1982_LOCUS5900|CAD6997267.1|CCAP, CCAP1982_LOCUS3911|CAD6995191.1|CCAP, CCAP1982_LOCUS3912|CAD6995192.1|CCAP
OG0000478	LOC115627237|XP_030378720.1|SLEB	CCAP1982_LOCUS23105|CAD7015155.1|CCAP
OG0000479	LOC115625158|XP_030375946.1|SLEB	CCAP1982_LOCUS1329|CAD6992477.1|CCAP, CCAP1982_LOCUS1331|CAD6992479.1|CCAP, CCAP1982_LOCUS1330|CAD6992478.1|CCAP
OG0000480	LOC115630445|XP_030382867.1|SLEB, LOC115630429|XP_030382845.1|SLEB, LOC115630764|XP_030383280.1|SLEB	CCAP1982_LOCUS7806|CAD6999277.1|CCAP
OG0000482	LOC115624007|XP_030374439.1|SLEB	CCAP1982_LOCUS441|CAD6991522.1|CCAP
OG0000483	LOC115625416|XP_030376316.1|SLEB, LOC115625422|XP_030376322.1|SLEB	CCAP1982_LOCUS408|CAD6991483.1|CCAP
OG0000484	LOC115624356|XP_030374874.1|SLEB	CCAP1982_LOCUS4492|CAD6995788.1|CCAP, CCAP1982_LOCUS4488|CAD6995784.1|CCAP
OG0000484	LOC115624354|XP_030374872.1|SLEB	CCAP1982_LOCUS4489|CAD6995785.1|CCAP
OG0000485	LOC115622735|XP_030372635.1|SLEB	CCAP1982_LOCUS14116|CAD7005768.1|CCAP
OG0000486	LOC115622380|XP_030372201.1|SLEB, LOC115622284|XP_030372084.1|SLEB	CCAP1982_LOCUS21710|CAD7013667.1|CCAP, CCAP1982_LOCUS22884|CAD7014920.1|CCAP
OG0000487	LOC115633973|XP_030387353.1|SLEB	CCAP1982_LOCUS21983|CAD7013974.1|CCAP
OG0000487	LOC115625551|XP_030376502.1|SLEB	CCAP1982_LOCUS21979|CAD7013970.1|CCAP, CCAP1982_LOCUS21981|CAD7013972.1|CCAP, CCAP1982_LOCUS21980|CAD7013971.1|CCAP, CCAP1982_LOCUS21976|CAD7013967.1|CCAP
OG0000489	LOC115621523|XP_030371049.1|SLEB	CCAP1982_LOCUS1170|CAD6992302.1|CCAP
OG0000489	LOC115627675|XP_030379277.1|SLEB	CCAP1982_LOCUS1171|CAD6992303.1|CCAP
OG0000491	LOC115634774|XP_030388530.1|SLEB	CCAP1982_LOCUS12181|CAD7003745.1|CCAP, CCAP1982_LOCUS12180|CAD7003744.1|CCAP
OG0000492	LOC115634517|XP_030388144.1|SLEB	CCAP1982_LOCUS22810|CAD7014843.1|CCAP
OG0000494	LOC115626394|XP_030377615.1|SLEB	CCAP1982_LOCUS6227|CAD6997588.1|CCAP
OG0000495	LOC115623768|XP_030374167.1|SLEB	CCAP1982_LOCUS22934|CAD7014974.1|CCAP, CCAP1982_LOCUS22857|CAD7014893.1|CCAP
OG0000495	LOC115623777|XP_030374179.1|SLEB	CCAP1982_LOCUS22933|CAD7014973.1|CCAP
OG0000496	LOC115628991|XP_030381133.1|SLEB	CCAP1982_LOCUS7748|CAD6999214.1|CCAP
OG0000497	LOC115631277|XP_030383851.1|SLEB	CCAP1982_LOCUS7339|CAD6998785.1|CCAP
OG0000497	LOC115631501|XP_030384121.1|SLEB	CCAP1982_LOCUS7343|CAD6998789.1|CCAP, CCAP1982_LOCUS7347|CAD6998793.1|CCAP
OG0000498	LOC115625411|XP_030376311.1|SLEB	CCAP1982_LOCUS412|CAD6991488.1|CCAP
OG0000498	LOC115625406|XP_030376305.1|SLEB	CCAP1982_LOCUS414|CAD6991490.1|CCAP
OG0000499	LOC115626831|XP_030378172.1|SLEB	CCAP1982_LOCUS1341|CAD6992489.1|CCAP
OG0000500	LOC115622311|XP_030372077.1|SLEB	CCAP1982_LOCUS14122|CAD7005774.1|CCAP
OG0000500	LOC115622310|XP_030372075.1|SLEB	CCAP1982_LOCUS14118|CAD7005770.1|CCAP
OG0000501	LOC115634627|XP_030388342.1|SLEB	CCAP1982_LOCUS20961|CAD7012862.1|CCAP
OG0000504	LOC115633045|XP_030386249.1|SLEB	CCAP1982_LOCUS11753|CAD7003291.1|CCAP
OG0000508	LOC115624934|XP_030375645.1|SLEB, LOC115624935|XP_030375646.1|SLEB	CCAP1982_LOCUS11138|CAD7002655.1|CCAP
OG0000509	LOC115620075|XP_030369098.1|SLEB	CCAP1982_LOCUS22430|CAD7014434.1|CCAP
OG0000509	LOC115633699|XP_030387022.1|SLEB	CCAP1982_LOCUS22451|CAD7014456.1|CCAP
OG0000510	LOC115630820|XP_030383345.1|SLEB, LOC115630586|XP_030383068.1|SLEB, LOC115634284|XP_030387793.1|SLEB	CCAP1982_LOCUS22883|CAD7014919.1|CCAP
OG0000511	LOC115631969|XP_030384727.1|SLEB	CCAP1982_LOCUS7895|CAD6999368.1|CCAP
OG0000511	LOC115631594|XP_030384255.1|SLEB	CCAP1982_LOCUS7894|CAD6999367.1|CCAP
OG0000512	LOC115631331|XP_030383912.1|SLEB	CCAP1982_LOCUS6661|CAD6998045.1|CCAP
OG0000513	LOC115621232|XP_030370686.1|SLEB	CCAP1982_LOCUS7011|CAD6998411.1|CCAP
OG0000514	LOC115628526|XP_030380546.1|SLEB	CCAP1982_LOCUS6954|CAD6998353.1|CCAP
OG0000514	LOC115628516|XP_030380527.1|SLEB	CCAP1982_LOCUS6964|CAD6998363.1|CCAP
OG0000515	LOC115627805|XP_030379495.1|SLEB	CCAP1982_LOCUS9878|CAD7001381.1|CCAP
OG0000515	LOC115622643|XP_030372511.1|SLEB	CCAP1982_LOCUS5206|CAD6996538.1|CCAP, CCAP1982_LOCUS1034|CAD6992156.1|CCAP
OG0000517	LOC115633963|XP_030387343.1|SLEB, LOC115633966|XP_030387347.1|SLEB, LOC115633965|XP_030387346.1|SLEB	CCAP1982_LOCUS14093|CAD7005742.1|CCAP, CCAP1982_LOCUS14091|CAD7005740.1|CCAP, CCAP1982_LOCUS14092|CAD7005741.1|CCAP
OG0000518	LOC115622453|XP_030372256.1|SLEB, LOC115622443|XP_030372244.1|SLEB, LOC115626535|XP_030377774.1|SLEB	CCAP1982_LOCUS21631|CAD7013575.1|CCAP
OG0000523	LOC115628128|XP_030379968.1|SLEB	CCAP1982_LOCUS4144|CAD6995427.1|CCAP
OG0000524	LOC115621872|XP_030371557.1|SLEB	CCAP1982_LOCUS2835|CAD6994063.1|CCAP
OG0000525	LOC115632582|XP_030385667.1|SLEB	CCAP1982_LOCUS22367|CAD7014370.1|CCAP, CCAP1982_LOCUS22369|CAD7014372.1|CCAP, CCAP1982_LOCUS22368|CAD7014371.1|CCAP, CCAP1982_LOCUS22373|CAD7014378.1|CCAP
OG0000526	LOC115625930|XP_030377026.1|SLEB, LOC115634755|XP_030388507.1|SLEB	CCAP1982_LOCUS5509|CAD6996836.1|CCAP
OG0000527	LOC115631125|XP_030383652.1|SLEB	CCAP1982_LOCUS9186|CAD7000713.1|CCAP
OG0000528	LOC115631996|XP_030384785.1|SLEB	CCAP1982_LOCUS6932|CAD6998327.1|CCAP
OG0000529	LOC115631155|XP_030383692.1|SLEB, LOC115631625|XP_030384292.1|SLEB, LOC115631377|XP_030383958.1|SLEB, LOC115631156|XP_030383693.1|SLEB	CCAP1982_LOCUS8941|CAD7000464.1|CCAP
OG0000530	LOC115623076|XP_030373137.1|SLEB	CCAP1982_LOCUS11031|CAD7002542.1|CCAP, CCAP1982_LOCUS11032|CAD7002543.1|CCAP
OG0000530	LOC115623065|XP_030373118.1|SLEB	CCAP1982_LOCUS11386|CAD7002920.1|CCAP
OG0000531	LOC115622018|XP_030371734.1|SLEB, LOC115631103|XP_030383618.1|SLEB, LOC115625670|XP_030376665.1|SLEB	CCAP1982_LOCUS6164|CAD6997524.1|CCAP
OG0000532	LOC115623782|XP_030374183.1|SLEB	CCAP1982_LOCUS606|CAD6991693.1|CCAP
OG0000535	LOC115625013|XP_030375736.1|SLEB, LOC115633870|XP_030387227.1|SLEB	CCAP1982_LOCUS21016|CAD7012917.1|CCAP
OG0000536	LOC115622558|XP_030372387.1|SLEB	CCAP1982_LOCUS14724|CAD7006404.1|CCAP
OG0000537	LOC115627460|XP_030378995.1|SLEB	CCAP1982_LOCUS21949|CAD7013938.1|CCAP
OG0000538	LOC115624785|XP_030375476.1|SLEB	CCAP1982_LOCUS19765|CAD7011681.1|CCAP
OG0000538	LOC115634404|XP_030387957.1|SLEB	CCAP1982_LOCUS19763|CAD7011678.1|CCAP
OG0000539	LOC115625371|XP_030376267.1|SLEB	CCAP1982_LOCUS338|CAD6991411.1|CCAP
OG0000539	LOC115625298|XP_030376173.1|SLEB	CCAP1982_LOCUS341|CAD6991414.1|CCAP
OG0000540	LOC115630655|XP_030383157.1|SLEB	CCAP1982_LOCUS7995|CAD6999471.1|CCAP
OG0000542	LOC115625535|XP_030376474.1|SLEB	CCAP1982_LOCUS700|CAD6991796.1|CCAP
OG0000542	LOC115627777|XP_030379446.1|SLEB	CCAP1982_LOCUS5512|CAD6996839.1|CCAP
OG0000543	LOC115623333|XP_030373463.1|SLEB	CCAP1982_LOCUS22601|CAD7014610.1|CCAP
OG0000544	LOC115623316|XP_030373436.1|SLEB, LOC115622707|XP_030372596.1|SLEB	CCAP1982_LOCUS11870|CAD7003414.1|CCAP
OG0000544	LOC115624019|XP_030374454.1|SLEB	CCAP1982_LOCUS4262|CAD6995551.1|CCAP
OG0000545	LOC115621211|XP_030370653.1|SLEB	CCAP1982_LOCUS2546|CAD6993748.1|CCAP
OG0000548	LOC115632986|XP_030386163.1|SLEB, LOC115622433|XP_030372234.1|SLEB, LOC115622434|XP_030372235.1|SLEB	CCAP1982_LOCUS13084|CAD7004690.1|CCAP
OG0000549	LOC115633990|XP_030387373.1|SLEB	CCAP1982_LOCUS23354|CAD7015411.1|CCAP
OG0000550	LOC115632900|XP_030386051.1|SLEB	CCAP1982_LOCUS12168|CAD7003731.1|CCAP
OG0000550	LOC115632608|XP_030385696.1|SLEB	CCAP1982_LOCUS12162|CAD7003725.1|CCAP
OG0000551	LOC115634798|XP_030388566.1|SLEB	CCAP1982_LOCUS22914|CAD7014951.1|CCAP, CCAP1982_LOCUS22915|CAD7014952.1|CCAP
OG0000553	LOC115625739|XP_030376752.1|SLEB, LOC115625738|XP_030376751.1|SLEB	CCAP1982_LOCUS7725|CAD6999189.1|CCAP, CCAP1982_LOCUS7726|CAD6999190.1|CCAP, CCAP1982_LOCUS7729|CAD6999193.1|CCAP
OG0000554	LOC115621598|XP_030371150.1|SLEB, LOC115621473|XP_030370992.1|SLEB, LOC115621559|XP_030371092.1|SLEB	CCAP1982_LOCUS1799|CAD6992967.1|CCAP
OG0000555	LOC115628310|XP_030380224.1|SLEB, LOC115628303|XP_030380210.1|SLEB	CCAP1982_LOCUS11538|CAD7003075.1|CCAP
OG0000556	LOC115623458|XP_030373674.1|SLEB	CCAP1982_LOCUS743|CAD6991844.1|CCAP
OG0000557	LOC115624100|XP_030374550.1|SLEB	CCAP1982_LOCUS805|CAD6991916.1|CCAP
OG0000557	LOC115624200|XP_030374663.1|SLEB, LOC115623910|XP_030374325.1|SLEB, LOC115624180|XP_030374635.1|SLEB, LOC115624158|XP_030374614.1|SLEB	CCAP1982_LOCUS804|CAD6991915.1|CCAP
OG0000559	LOC115621713|XP_030371282.1|SLEB	CCAP1982_LOCUS2187|CAD6993371.1|CCAP
OG0000559	LOC115633935|XP_030387313.1|SLEB	CCAP1982_LOCUS13911|CAD7005551.1|CCAP, CCAP1982_LOCUS13913|CAD7005553.1|CCAP
OG0000560	LOC115624641|XP_030375269.1|SLEB, LOC115624640|XP_030375268.1|SLEB	CCAP1982_LOCUS20229|CAD7012131.1|CCAP
OG0000561	LOC115632645|XP_030385734.1|SLEB	CCAP1982_LOCUS14402|CAD7006067.1|CCAP
OG0000561	LOC115632520|XP_030385575.1|SLEB	CCAP1982_LOCUS14409|CAD7006074.1|CCAP
OG0000562	LOC115622396|XP_030372181.1|SLEB	CCAP1982_LOCUS13630|CAD7005273.1|CCAP
OG0000562	LOC115622789|XP_030372709.1|SLEB	CCAP1982_LOCUS13660|CAD7005303.1|CCAP
OG0000564	LOC115623105|XP_030373171.1|SLEB	CCAP1982_LOCUS10820|CAD7002332.1|CCAP
OG0000564	LOC115622510|XP_030372323.1|SLEB	CCAP1982_LOCUS10822|CAD7002334.1|CCAP
OG0000566	LOC115625079|XP_030375829.1|SLEB	CCAP1982_LOCUS3532|CAD6994801.1|CCAP
OG0000566	LOC115622614|XP_030372474.1|SLEB	CCAP1982_LOCUS14944|CAD7006638.1|CCAP
OG0000568	LOC115620709|XP_030369944.1|SLEB	CCAP1982_LOCUS1992|CAD6993168.1|CCAP
OG0000569	LOC115620436|XP_030369524.1|SLEB	CCAP1982_LOCUS3605|CAD6994870.1|CCAP, CCAP1982_LOCUS3641|CAD6994906.1|CCAP
OG0000569	LOC115628654|XP_030380682.1|SLEB	CCAP1982_LOCUS4158|CAD6995441.1|CCAP
OG0000570	LOC115625135|XP_030375914.1|SLEB	CCAP1982_LOCUS1165|CAD6992297.1|CCAP
OG0000570	LOC115625181|XP_030376006.1|SLEB	CCAP1982_LOCUS1164|CAD6992296.1|CCAP
OG0000571	LOC115620833|XP_030370125.1|SLEB	CCAP1982_LOCUS3952|CAD6995233.1|CCAP, CCAP1982_LOCUS3937|CAD6995218.1|CCAP
OG0000571	LOC115621121|XP_030370525.1|SLEB	CCAP1982_LOCUS3940|CAD6995221.1|CCAP
OG0000572	LOC115621322|XP_030370800.1|SLEB	CCAP1982_LOCUS1969|CAD6993143.1|CCAP
