Orthogroup	SLEB.longest_only	CPIP.longest_only
OG0000380	LOC115629241|XP_030381522.1|SLEB, LOC115628192|XP_030380049.1|SLEB, LOC115632566|XP_030385644.1|SLEB	LOC120412615|XP_039429100.1|CPIP
OG0000381	LOC115626332|XP_030377535.1|SLEB, LOC115626304|XP_030377494.1|SLEB	LOC120422795|XP_039442269.1|CPIP
OG0000382	LOC115632481|XP_030385514.1|SLEB, LOC115632203|XP_030385112.1|SLEB	LOC120419098|XP_039437626.1|CPIP, LOC120414668|XP_039431879.1|CPIP, LOC120426131|XP_039446768.1|CPIP, LOC120427967|XP_039448857.1|CPIP
OG0000383	LOC115628524|XP_030380543.1|SLEB, LOC115631890|XP_030384599.1|SLEB	LOC120418645|XP_039437024.1|CPIP, LOC120413507|XP_039430300.1|CPIP
OG0000384	LOC115621918|XP_030371624.1|SLEB	LOC120430008|XP_039451042.1|CPIP
OG0000384	LOC115633876|XP_030387241.1|SLEB	LOC120427187|XP_039447985.1|CPIP, LOC120432418|XP_039453552.1|CPIP
OG0000385	LOC115628811|XP_030380894.1|SLEB	LOC120417574|XP_039435617.1|CPIP
OG0000385	LOC115628867|XP_030380981.1|SLEB	LOC120429081|XP_039450174.1|CPIP
OG0000386	LOC115622934|XP_030372924.1|SLEB, LOC115621527|XP_030371053.1|SLEB, LOC115621526|XP_030371052.1|SLEB	LOC120416721|XP_039434481.1|CPIP
OG0000389	LOC115628089|XP_030379926.1|SLEB	LOC120415028|XP_039432327.1|CPIP
OG0000389	LOC115632417|XP_030385414.1|SLEB	LOC120422935|XP_039442448.1|CPIP, LOC120431851|XP_039452911.1|CPIP
OG0000390	LOC115630437|XP_030382857.1|SLEB, LOC115629233|XP_030381506.1|SLEB, LOC115620333|XP_030369390.1|SLEB, LOC115627576|XP_030379158.1|SLEB	LOC120414874|XP_039432130.1|CPIP, LOC120414875|XP_039432132.1|CPIP, LOC120416901|XP_039434732.1|CPIP, LOC120417294|XP_039435179.1|CPIP, LOC120419049|XP_039437548.1|CPIP, LOC120419077|XP_039437596.1|CPIP
OG0000391	LOC115625692|XP_030376696.1|SLEB	LOC120422918|XP_039442423.1|CPIP
OG0000391	LOC115627082|XP_030378494.1|SLEB	LOC120424996|XP_039445300.1|CPIP, LOC120416738|XP_039434503.1|CPIP, LOC120431359|XP_039452421.1|CPIP
OG0000392	LOC115628606|XP_030380650.1|SLEB, LOC115628605|XP_030380649.1|SLEB	LOC120428941|XP_039450020.1|CPIP, LOC120420899|XP_039439954.1|CPIP
OG0000393	LOC115630547|XP_030383016.1|SLEB	LOC120421038|XP_039440110.1|CPIP
OG0000393	LOC115630548|XP_030383018.1|SLEB	LOC120425239|XP_039445607.1|CPIP
OG0000394	LOC115630035|XP_030382527.1|SLEB	LOC120414379|XP_039431488.1|CPIP, LOC120416671|XP_039434420.1|CPIP, LOC120416672|XP_039434421.1|CPIP, LOC120416670|XP_039434419.1|CPIP, LOC120414653|XP_039431848.1|CPIP
OG0000399	LOC115625106|XP_030375869.1|SLEB, LOC115625369|XP_030376265.1|SLEB, LOC115625363|XP_030376260.1|SLEB	LOC120418112|XP_039436316.1|CPIP
OG0000400	LOC115627473|XP_030379009.1|SLEB, LOC115627608|XP_030379197.1|SLEB	LOC120419277|XP_039437877.1|CPIP
OG0000401	LOC115632886|XP_030386025.1|SLEB	LOC120429625|XP_039450589.1|CPIP, LOC120413771|XP_039430641.1|CPIP, LOC120423042|XP_039442635.1|CPIP
OG0000402	LOC115629698|XP_030382077.1|SLEB	LOC120416154|XP_039433766.1|CPIP, LOC120423494|XP_039443268.1|CPIP, LOC120412465|XP_039428874.1|CPIP, LOC120417671|XP_039435738.1|CPIP, LOC120424023|XP_039443978.1|CPIP, LOC120424051|XP_039444009.1|CPIP, LOC120424030|XP_039443989.1|CPIP, LOC120424040|XP_039443999.1|CPIP, LOC120417683|XP_039435752.1|CPIP
OG0000404	LOC115620247|XP_030369256.1|SLEB	LOC120423304|XP_039443003.1|CPIP, LOC120423298|XP_039442996.1|CPIP, LOC120423297|XP_039442995.1|CPIP, LOC120423303|XP_039443001.1|CPIP, LOC120423296|XP_039442994.1|CPIP, LOC120423305|XP_039443004.1|CPIP, LOC120423306|XP_039443005.1|CPIP
OG0000406	LOC115622181|XP_030371929.1|SLEB, LOC115626215|XP_030377374.1|SLEB	LOC120412614|XP_039429097.1|CPIP, LOC120432595|XP_039453767.1|CPIP
OG0000407	LOC115623259|XP_030373389.1|SLEB	LOC120418636|XP_039437019.1|CPIP
OG0000407	LOC115633064|XP_030386285.1|SLEB	LOC120430781|XP_039451828.1|CPIP
OG0000408	LOC115626543|XP_030377781.1|SLEB, LOC115628619|XP_030380663.1|SLEB	LOC120421205|XP_039440343.1|CPIP
OG0000409	LOC115633694|XP_030387011.1|SLEB, LOC115622724|XP_030372628.1|SLEB	LOC120422968|XP_039442490.1|CPIP
OG0000410	LOC115630809|XP_030383337.1|SLEB	LOC120413556|XP_039430370.1|CPIP
OG0000411	LOC115623354|XP_030373497.1|SLEB	LOC120414899|XP_039432164.1|CPIP
OG0000411	LOC115626310|XP_030377505.1|SLEB	LOC120423399|XP_039443132.1|CPIP
OG0000412	LOC115624563|XP_030375152.1|SLEB, LOC115633113|XP_030386358.1|SLEB	LOC120426326|XP_039447020.1|CPIP, LOC120426327|XP_039447021.1|CPIP
OG0000413	LOC115623772|XP_030374168.1|SLEB, LOC115623920|XP_030374337.1|SLEB, LOC115623918|XP_030374334.1|SLEB	LOC120421219|XP_039440355.1|CPIP
OG0000414	LOC115624742|XP_030375429.1|SLEB	LOC120412527|XP_039428958.1|CPIP
OG0000415	LOC115629761|XP_030382167.1|SLEB, LOC115628916|XP_030381039.1|SLEB, LOC115628857|XP_030380967.1|SLEB, LOC115628856|XP_030380966.1|SLEB, LOC115628858|XP_030380969.1|SLEB, LOC115619954|XP_030368843.1|SLEB, LOC115619956|XP_030368844.1|SLEB	LOC120415123|XP_039432478.1|CPIP
OG0000416	LOC115627013|XP_030378394.1|SLEB	LOC120420679|XP_039439741.1|CPIP
OG0000416	LOC115629177|XP_030381411.1|SLEB	LOC120418060|XP_039436250.1|CPIP
OG0000417	LOC115625178|XP_030376002.1|SLEB	LOC120431669|XP_039452720.1|CPIP
OG0000417	LOC115620783|XP_030370052.1|SLEB	LOC120416402|XP_039434086.1|CPIP
OG0000418	LOC115628876|XP_030380992.1|SLEB, LOC115627496|XP_030379044.1|SLEB	LOC120414537|XP_039431681.1|CPIP
OG0000419	LOC115634225|XP_030387677.1|SLEB	LOC120421536|XP_039440691.1|CPIP
OG0000421	LOC115626292|XP_030377476.1|SLEB	LOC120417741|XP_039435836.1|CPIP, LOC120412467|XP_039428877.1|CPIP
OG0000421	LOC115631970|XP_030384729.1|SLEB	LOC120427954|XP_039448841.1|CPIP
OG0000422	LOC115621841|XP_030371512.1|SLEB	LOC120429917|XP_039450945.1|CPIP, LOC120429905|XP_039450932.1|CPIP, LOC120414303|XP_039431376.1|CPIP
OG0000423	LOC115632151|XP_030385032.1|SLEB, LOC115634186|XP_030387633.1|SLEB	LOC120417114|XP_039435031.1|CPIP, LOC120417115|XP_039435032.1|CPIP, LOC120417116|XP_039435033.1|CPIP
OG0000424	LOC115633676|XP_030386989.1|SLEB, LOC115628066|XP_030379897.1|SLEB	LOC120420435|XP_039439392.1|CPIP
OG0000425	LOC115634281|XP_030387775.1|SLEB, LOC115620163|XP_030369151.1|SLEB	LOC120427988|XP_039448878.1|CPIP
OG0000425	LOC115624910|XP_030375619.1|SLEB	LOC120427992|XP_039448884.1|CPIP
OG0000426	LOC115632134|XP_030385010.1|SLEB	LOC120418578|XP_039436957.1|CPIP
OG0000429	LOC115634049|XP_030387453.1|SLEB, LOC115634048|XP_030387452.1|SLEB, LOC115634047|XP_030387450.1|SLEB	LOC120417695|XP_039435769.1|CPIP
OG0000433	LOC115627040|XP_030378432.1|SLEB	LOC120421058|XP_039440137.1|CPIP
OG0000433	LOC115622874|XP_030372824.1|SLEB	LOC120420042|XP_039438878.1|CPIP
OG0000434	LOC115620785|XP_030370059.1|SLEB	LOC120423849|XP_039443732.1|CPIP
OG0000434	LOC115620044|XP_030369023.1|SLEB	LOC120412456|XP_039428864.1|CPIP
OG0000435	LOC115627968|XP_030379722.1|SLEB	LOC120414452|XP_039431574.1|CPIP, LOC120414451|XP_039431573.1|CPIP, LOC120420256|XP_039439186.1|CPIP, LOC120414458|XP_039431578.1|CPIP, LOC120424325|XP_039444355.1|CPIP, LOC120416868|XP_039434698.1|CPIP, LOC120417973|XP_039436146.1|CPIP, LOC120417972|XP_039436145.1|CPIP, LOC120414449|XP_039431572.1|CPIP, LOC120414460|XP_039431582.1|CPIP, LOC120414459|XP_039431580.1|CPIP, LOC120421258|XP_039440388.1|CPIP, LOC120421273|XP_039440402.1|CPIP, LOC120418623|XP_039437000.1|CPIP, LOC120412322|XP_039432290.1|CPIP
OG0000437	LOC115629368|XP_030381686.1|SLEB, LOC115628646|XP_030380674.1|SLEB	LOC120419801|XP_039438570.1|CPIP
OG0000437	LOC115630407|XP_030382798.1|SLEB	LOC120412912|XP_039429481.1|CPIP
OG0000438	LOC115621779|XP_030371394.1|SLEB	LOC120431197|XP_039452273.1|CPIP
OG0000439	LOC115626416|XP_030377644.1|SLEB	LOC120416076|XP_039433680.1|CPIP
OG0000439	LOC115622178|XP_030371926.1|SLEB	LOC120426729|XP_039447436.1|CPIP
OG0000440	LOC115632822|XP_030385936.1|SLEB, LOC115621641|XP_030371204.1|SLEB	LOC120415469|XP_039432963.1|CPIP
OG0000441	LOC115625376|XP_030376310.1|SLEB, LOC115625478|XP_030376426.1|SLEB	LOC120416108|XP_039433725.1|CPIP
OG0000442	LOC115629340|XP_030381648.1|SLEB	LOC120414543|XP_039431694.1|CPIP
OG0000443	LOC115622480|XP_030372285.1|SLEB, LOC115622482|XP_030372286.1|SLEB, LOC115622808|XP_030372736.1|SLEB	LOC120415117|XP_039432468.1|CPIP, LOC120415100|XP_039432452.1|CPIP
OG0000444	LOC115628613|XP_030380657.1|SLEB, LOC115626051|XP_030377163.1|SLEB	LOC120428867|XP_039449928.1|CPIP, LOC120415196|XP_039432588.1|CPIP
OG0000448	LOC115621335|XP_030370816.1|SLEB, LOC115620305|XP_030369349.1|SLEB	LOC120415029|XP_039432328.1|CPIP, LOC120415026|XP_039432325.1|CPIP
OG0000449	LOC115625806|XP_030376848.1|SLEB	LOC120421081|XP_039440162.1|CPIP
OG0000450	LOC115629485|XP_030381816.1|SLEB	LOC120413717|XP_039430573.1|CPIP
OG0000450	LOC115628723|XP_030380780.1|SLEB	LOC120416596|XP_039434341.1|CPIP
OG0000451	LOC115627137|XP_030378572.1|SLEB	LOC120418056|XP_039436242.1|CPIP, LOC120419880|XP_039438678.1|CPIP
OG0000451	LOC115627136|XP_030378568.1|SLEB	LOC120418057|XP_039436244.1|CPIP, LOC120419879|XP_039438677.1|CPIP
OG0000453	LOC115620982|XP_030370362.1|SLEB	LOC120420717|XP_039439749.1|CPIP, LOC120420725|XP_039439756.1|CPIP
OG0000454	LOC115633980|XP_030387361.1|SLEB, LOC115632098|XP_030384944.1|SLEB	LOC120424417|XP_039444462.1|CPIP
OG0000456	LOC115627769|XP_030379427.1|SLEB	LOC120432463|XP_039453619.1|CPIP
OG0000456	LOC115625920|XP_030377014.1|SLEB	LOC120413530|XP_039430338.1|CPIP
OG0000457	LOC115626588|XP_030377830.1|SLEB	LOC120414078|XP_039431034.1|CPIP
OG0000457	LOC115626095|XP_030377207.1|SLEB	LOC120430699|XP_039451741.1|CPIP
OG0000458	LOC115620069|XP_030369087.1|SLEB, LOC115620409|XP_030369493.1|SLEB, LOC115634573|XP_030388257.1|SLEB, LOC115631161|XP_030383698.1|SLEB	LOC120420484|XP_039439460.1|CPIP, LOC120420485|XP_039439461.1|CPIP, LOC120420501|XP_039439488.1|CPIP, LOC120422898|XP_039442391.1|CPIP, LOC120422907|XP_039442406.1|CPIP
OG0000460	LOC115631631|XP_030384300.1|SLEB	LOC120412817|XP_039429355.1|CPIP
OG0000465	LOC115625456|XP_030376364.1|SLEB, LOC115625275|XP_030376137.1|SLEB	LOC120419750|XP_039438500.1|CPIP, LOC120428665|XP_039449647.1|CPIP, LOC120427076|XP_039447848.1|CPIP
OG0000466	LOC115628771|XP_030380846.1|SLEB	LOC120431993|XP_039453062.1|CPIP, LOC120425156|XP_039445519.1|CPIP
OG0000466	LOC115628623|XP_030380671.1|SLEB	LOC120412806|XP_039429340.1|CPIP
OG0000467	LOC115633767|XP_030387102.1|SLEB, LOC115624417|XP_030375028.1|SLEB	LOC120419489|XP_039438111.1|CPIP
OG0000468	LOC115620412|XP_030369494.1|SLEB	LOC120413760|XP_039430632.1|CPIP
OG0000468	LOC115622529|XP_030372750.1|SLEB	LOC120427560|XP_039448371.1|CPIP
OG0000469	LOC115632031|XP_030384837.1|SLEB, LOC115632024|XP_030384829.1|SLEB	LOC120412659|XP_039429152.1|CPIP
OG0000470	LOC115624838|XP_030375544.1|SLEB	LOC120426361|XP_039447055.1|CPIP
OG0000470	LOC115633902|XP_030387266.1|SLEB	LOC120424591|XP_039444688.1|CPIP
OG0000471	LOC115625554|XP_030376545.1|SLEB, LOC115631733|XP_030384432.1|SLEB	LOC120414579|XP_039431749.1|CPIP
OG0000473	LOC115630196|XP_030382623.1|SLEB, LOC115627938|XP_030379690.1|SLEB, LOC115627821|XP_030379515.1|SLEB	LOC120422534|XP_039441930.1|CPIP
OG0000474	LOC115627241|XP_030378724.1|SLEB, LOC115623087|XP_030373152.1|SLEB	LOC120430806|XP_039451890.1|CPIP
OG0000475	LOC115620839|XP_030370131.1|SLEB, LOC115620793|XP_030370073.1|SLEB	LOC120424232|XP_039444225.1|CPIP
OG0000476	LOC115625076|XP_030375824.1|SLEB	LOC120428008|XP_039448912.1|CPIP
OG0000477	LOC115620781|XP_030370050.1|SLEB, LOC115620952|XP_030370328.1|SLEB	LOC120423579|XP_039443373.1|CPIP
OG0000478	LOC115627237|XP_030378720.1|SLEB	LOC120429962|XP_039450993.1|CPIP, LOC120429967|XP_039451000.1|CPIP, LOC120429975|XP_039451005.1|CPIP, LOC120425699|XP_039446221.1|CPIP
OG0000479	LOC115625158|XP_030375946.1|SLEB	LOC120414477|XP_039431605.1|CPIP, LOC120414434|XP_039431553.1|CPIP, LOC120414435|XP_039431554.1|CPIP
OG0000480	LOC115630445|XP_030382867.1|SLEB, LOC115630429|XP_030382845.1|SLEB, LOC115630764|XP_030383280.1|SLEB	LOC120422963|XP_039442489.1|CPIP
OG0000482	LOC115623707|XP_030374046.1|SLEB	LOC120424395|XP_039444427.1|CPIP, LOC120424394|XP_039444426.1|CPIP
OG0000483	LOC115625416|XP_030376316.1|SLEB, LOC115625422|XP_030376322.1|SLEB	LOC120425946|XP_039446517.1|CPIP, LOC120425945|XP_039446515.1|CPIP, LOC120425947|XP_039446518.1|CPIP
OG0000484	LOC115624356|XP_030374874.1|SLEB, LOC115624354|XP_030374872.1|SLEB	LOC120421837|XP_039441054.1|CPIP, LOC120421845|XP_039441068.1|CPIP
OG0000485	LOC115622735|XP_030372635.1|SLEB, LOC115622734|XP_030372634.1|SLEB	LOC120416669|XP_039434418.1|CPIP
OG0000486	LOC115622380|XP_030372201.1|SLEB, LOC115622284|XP_030372084.1|SLEB	LOC120419307|XP_039437909.1|CPIP
OG0000489	LOC115621523|XP_030371049.1|SLEB, LOC115627675|XP_030379277.1|SLEB	LOC120418130|XP_039436342.1|CPIP, LOC120418126|XP_039436337.1|CPIP
OG0000490	LOC115628761|XP_030380837.1|SLEB	LOC120414538|XP_039431683.1|CPIP
OG0000491	LOC115634774|XP_030388530.1|SLEB	LOC120430223|XP_039451236.1|CPIP
OG0000492	LOC115624481|XP_030375044.1|SLEB	LOC120412808|XP_039429343.1|CPIP
OG0000493	LOC115620380|XP_030369447.1|SLEB, LOC115627587|XP_030379171.1|SLEB	LOC120420047|XP_039438888.1|CPIP
OG0000496	LOC115628991|XP_030381133.1|SLEB	LOC120417351|XP_039435289.1|CPIP
OG0000496	LOC115631192|XP_030383742.1|SLEB	LOC120418242|XP_039436492.1|CPIP
OG0000497	LOC115631277|XP_030383851.1|SLEB, LOC115631501|XP_030384121.1|SLEB	LOC120429075|XP_039450164.1|CPIP
OG0000498	LOC115625411|XP_030376311.1|SLEB, LOC115625406|XP_030376305.1|SLEB	LOC120425951|XP_039446523.1|CPIP
OG0000499	LOC115626780|XP_030378109.1|SLEB	LOC120429629|XP_039450596.1|CPIP, LOC120426655|XP_039447382.1|CPIP
OG0000499	LOC115626831|XP_030378172.1|SLEB	LOC120427332|XP_039448115.1|CPIP
OG0000500	LOC115622311|XP_030372077.1|SLEB, LOC115622310|XP_030372075.1|SLEB	LOC120423742|XP_039443588.1|CPIP, LOC120425271|XP_039445651.1|CPIP
OG0000504	LOC115633045|XP_030386249.1|SLEB	LOC120420034|XP_039438869.1|CPIP, LOC120420053|XP_039438899.1|CPIP, LOC120420033|XP_039438868.1|CPIP, LOC120420050|XP_039438896.1|CPIP, LOC120420032|XP_039438867.1|CPIP
OG0000505	LOC115633292|XP_030386564.1|SLEB, LOC115633257|XP_030386521.1|SLEB	LOC120420407|XP_039439358.1|CPIP, LOC120430294|XP_039451324.1|CPIP
OG0000507	LOC115627058|XP_030378464.1|SLEB	LOC120416489|XP_039434142.1|CPIP
OG0000507	LOC115627426|XP_030378959.1|SLEB	LOC120431083|XP_039452173.1|CPIP
OG0000508	LOC115624934|XP_030375645.1|SLEB, LOC115624935|XP_030375646.1|SLEB	LOC120422027|XP_039441285.1|CPIP
OG0000509	LOC115620075|XP_030369098.1|SLEB	LOC120412892|XP_039429456.1|CPIP
OG0000510	LOC115630820|XP_030383345.1|SLEB, LOC115630586|XP_030383068.1|SLEB, LOC115634284|XP_030387793.1|SLEB	LOC120430997|XP_039452090.1|CPIP
OG0000511	LOC115631969|XP_030384727.1|SLEB, LOC115631594|XP_030384255.1|SLEB	LOC120424968|XP_039445259.1|CPIP, LOC120424959|XP_039445246.1|CPIP
OG0000512	LOC115631331|XP_030383912.1|SLEB	LOC120424352|XP_039444380.1|CPIP, LOC120424370|XP_039444400.1|CPIP
OG0000513	LOC115621232|XP_030370686.1|SLEB, LOC115625905|XP_030376995.1|SLEB	LOC120415521|XP_039433012.1|CPIP
OG0000514	LOC115628526|XP_030380546.1|SLEB, LOC115628516|XP_030380527.1|SLEB	LOC120427085|XP_039447860.1|CPIP
OG0000515	LOC115627805|XP_030379495.1|SLEB, LOC115622643|XP_030372511.1|SLEB	LOC120418437|XP_039436779.1|CPIP
OG0000516	LOC115626944|XP_030378319.1|SLEB, LOC115626938|XP_030378313.1|SLEB	LOC120425668|XP_039446186.1|CPIP, LOC120425662|XP_039446176.1|CPIP, LOC120425669|XP_039446187.1|CPIP
OG0000517	LOC115633963|XP_030387343.1|SLEB, LOC115633966|XP_030387347.1|SLEB, LOC115633965|XP_030387346.1|SLEB	LOC120415407|XP_039432869.1|CPIP, LOC120415408|XP_039432870.1|CPIP
OG0000521	LOC115629576|XP_030381928.1|SLEB, LOC115629574|XP_030381925.1|SLEB	LOC120415088|XP_039432438.1|CPIP
OG0000522	LOC115627854|XP_030379575.1|SLEB	LOC120431780|XP_039452835.1|CPIP, LOC120414515|XP_039431656.1|CPIP
OG0000523	LOC115633249|XP_030386507.1|SLEB	LOC120414519|XP_039431662.1|CPIP
OG0000524	LOC115621872|XP_030371557.1|SLEB	LOC120428395|XP_039449339.1|CPIP
OG0000525	LOC115632582|XP_030385667.1|SLEB	LOC120430954|XP_039452016.1|CPIP, LOC120430952|XP_039452011.1|CPIP
OG0000526	LOC115625930|XP_030377026.1|SLEB, LOC115634755|XP_030388507.1|SLEB	LOC120422198|XP_039441514.1|CPIP
OG0000527	LOC115632044|XP_030384874.1|SLEB, LOC115631125|XP_030383652.1|SLEB	LOC120415668|XP_039433183.1|CPIP
OG0000528	LOC115631996|XP_030384785.1|SLEB	LOC120413594|XP_039430436.1|CPIP, LOC120418630|XP_039437007.1|CPIP, LOC120418634|XP_039437013.1|CPIP, LOC120418635|XP_039437015.1|CPIP, LOC120418638|XP_039437017.1|CPIP
OG0000529	LOC115631155|XP_030383692.1|SLEB, LOC115631625|XP_030384292.1|SLEB, LOC115631377|XP_030383958.1|SLEB, LOC115631156|XP_030383693.1|SLEB, LOC115630789|XP_030383304.1|SLEB	LOC120420612|XP_039439623.1|CPIP
OG0000530	LOC115623076|XP_030373137.1|SLEB, LOC115623065|XP_030373118.1|SLEB	LOC120420815|XP_039439870.1|CPIP
OG0000531	LOC115622018|XP_030371734.1|SLEB, LOC115631103|XP_030383618.1|SLEB, LOC115625670|XP_030376665.1|SLEB	LOC120418596|XP_039436976.1|CPIP
OG0000532	LOC115623782|XP_030374183.1|SLEB	LOC120415086|XP_039432439.1|CPIP
OG0000533	LOC115633432|XP_030386752.1|SLEB	LOC120427980|XP_039448871.1|CPIP
OG0000533	LOC115623569|XP_030373826.1|SLEB	LOC120423795|XP_039443648.1|CPIP
OG0000535	LOC115625013|XP_030375736.1|SLEB, LOC115633870|XP_030387227.1|SLEB	LOC120419938|XP_039438736.1|CPIP
OG0000536	LOC115622558|XP_030372387.1|SLEB	LOC120420853|XP_039439905.1|CPIP, LOC120429579|XP_039450557.1|CPIP, LOC120429576|XP_039450554.1|CPIP
OG0000537	LOC115627460|XP_030378995.1|SLEB	LOC120412729|XP_039429253.1|CPIP
OG0000538	LOC115624785|XP_030375476.1|SLEB, LOC115634404|XP_030387957.1|SLEB	LOC120415393|XP_039432853.1|CPIP
OG0000539	LOC115625371|XP_030376267.1|SLEB, LOC115625298|XP_030376173.1|SLEB	LOC120423804|XP_039443655.1|CPIP
OG0000542	LOC115625535|XP_030376474.1|SLEB, LOC115627777|XP_030379446.1|SLEB	LOC120415062|XP_039432384.1|CPIP
OG0000543	LOC115621143|XP_030370560.1|SLEB, LOC115623333|XP_030373463.1|SLEB	LOC120414176|XP_039431183.1|CPIP, LOC120414177|XP_039431184.1|CPIP
OG0000544	LOC115623316|XP_030373436.1|SLEB, LOC115622707|XP_030372596.1|SLEB, LOC115624019|XP_030374454.1|SLEB	LOC120413340|XP_039430050.1|CPIP
OG0000545	LOC115621211|XP_030370653.1|SLEB, LOC115621286|XP_030370749.1|SLEB	LOC120432499|XP_039453646.1|CPIP, LOC120430290|XP_039451318.1|CPIP
OG0000546	LOC115623697|XP_030374032.1|SLEB, LOC115627177|XP_030378637.1|SLEB	LOC120425411|XP_039445875.1|CPIP
OG0000547	LOC115630037|XP_030382529.1|SLEB, LOC115633068|XP_030386299.1|SLEB	LOC120429775|XP_039450766.1|CPIP
OG0000548	LOC115632986|XP_030386163.1|SLEB, LOC115622433|XP_030372234.1|SLEB, LOC115622434|XP_030372235.1|SLEB	LOC120420653|XP_039439671.1|CPIP
OG0000549	LOC115633990|XP_030387373.1|SLEB	LOC120429126|XP_039450252.1|CPIP, LOC120429130|XP_039450259.1|CPIP, LOC120429127|XP_039450254.1|CPIP
OG0000550	LOC115632900|XP_030386051.1|SLEB, LOC115632608|XP_030385696.1|SLEB	LOC120430650|XP_039451689.1|CPIP, LOC120425137|XP_039445498.1|CPIP
OG0000552	LOC115621198|XP_030370637.1|SLEB, LOC115620920|XP_030370279.1|SLEB	LOC120430491|XP_039451519.1|CPIP, LOC120417370|XP_039435317.1|CPIP
OG0000553	LOC115625739|XP_030376752.1|SLEB, LOC115625738|XP_030376751.1|SLEB	LOC120428198|XP_039449114.1|CPIP, LOC120428547|XP_039449516.1|CPIP, LOC120428493|XP_039449443.1|CPIP
OG0000554	LOC115621598|XP_030371150.1|SLEB, LOC115621473|XP_030370992.1|SLEB, LOC115621559|XP_030371092.1|SLEB	LOC120420637|XP_039439649.1|CPIP
OG0000555	LOC115628310|XP_030380224.1|SLEB, LOC115628303|XP_030380210.1|SLEB	LOC120415906|XP_039433483.1|CPIP
OG0000556	LOC115623458|XP_030373674.1|SLEB	LOC120417500|XP_039435511.1|CPIP
OG0000557	LOC115624100|XP_030374550.1|SLEB, LOC115624200|XP_030374663.1|SLEB, LOC115623910|XP_030374325.1|SLEB, LOC115624180|XP_030374635.1|SLEB, LOC115624158|XP_030374614.1|SLEB	LOC120413021|XP_039429623.1|CPIP
OG0000558	LOC115623799|XP_030374201.1|SLEB, LOC115627610|XP_030379199.1|SLEB	LOC120427435|XP_039448225.1|CPIP
OG0000559	LOC115621713|XP_030371282.1|SLEB, LOC115633935|XP_030387313.1|SLEB	LOC120426477|XP_039447174.1|CPIP
OG0000560	LOC115624641|XP_030375269.1|SLEB, LOC115624640|XP_030375268.1|SLEB	LOC120420416|XP_039439369.1|CPIP
OG0000561	LOC115632645|XP_030385734.1|SLEB, LOC115632520|XP_030385575.1|SLEB	LOC120429693|XP_039450666.1|CPIP
OG0000562	LOC115622396|XP_030372181.1|SLEB, LOC115622789|XP_030372709.1|SLEB	LOC120420548|XP_039439551.1|CPIP
OG0000566	LOC115625079|XP_030375829.1|SLEB, LOC115622614|XP_030372474.1|SLEB	LOC120415037|XP_039432342.1|CPIP
OG0000567	LOC115628870|XP_030380986.1|SLEB	LOC120432277|XP_039453398.1|CPIP
OG0000567	LOC115628899|XP_030381018.1|SLEB	LOC120432280|XP_039453400.1|CPIP
OG0000568	LOC115620709|XP_030369944.1|SLEB	LOC120430557|XP_039451606.1|CPIP, LOC120416898|XP_039434730.1|CPIP
OG0000569	LOC115628654|XP_030380682.1|SLEB	LOC120428788|XP_039449810.1|CPIP
OG0000570	LOC115625135|XP_030375914.1|SLEB, LOC115625181|XP_030376006.1|SLEB	LOC120418345|XP_039436631.1|CPIP
OG0000571	LOC115620833|XP_030370125.1|SLEB, LOC115621121|XP_030370525.1|SLEB	LOC120422115|XP_039441417.1|CPIP
OG0000572	LOC115621322|XP_030370800.1|SLEB, LOC115620609|XP_030369783.1|SLEB	LOC120417835|XP_039435984.1|CPIP
OG0000573	LOC115632462|XP_030385479.1|SLEB, LOC115625591|XP_030376570.1|SLEB	LOC120416539|XP_039434194.1|CPIP
OG0000574	LOC115632504|XP_030385552.1|SLEB	LOC120413383|XP_039430115.1|CPIP
OG0000575	LOC115624630|XP_030375246.1|SLEB, LOC115624639|XP_030375267.1|SLEB	LOC120426920|XP_039447658.1|CPIP
OG0000576	LOC115623717|XP_030374058.1|SLEB, LOC115623855|XP_030374259.1|SLEB	LOC120432079|XP_039453146.1|CPIP, LOC120418632|XP_039437011.1|CPIP
OG0000577	LOC115630934|XP_030383361.1|SLEB	LOC120412653|XP_039429141.1|CPIP
OG0000578	LOC115630624|XP_030383119.1|SLEB, LOC115624580|XP_030375178.1|SLEB	LOC120420633|XP_039439643.1|CPIP
OG0000579	LOC115621378|XP_030370867.1|SLEB, LOC115622675|XP_030372549.1|SLEB	LOC120429903|XP_039450930.1|CPIP
OG0000580	LOC115624313|XP_030374798.1|SLEB, LOC115623669|XP_030373995.1|SLEB	LOC120413757|XP_039430626.1|CPIP
OG0000581	LOC115624401|XP_030374991.1|SLEB	LOC120413933|XP_039430859.1|CPIP
OG0000582	LOC115623225|XP_030373327.1|SLEB, LOC115629425|XP_030381740.1|SLEB	LOC120424290|XP_039444311.1|CPIP
OG0000583	LOC115634436|XP_030388003.1|SLEB	LOC120416812|XP_039434621.1|CPIP
OG0000589	LOC115629184|XP_030381427.1|SLEB	LOC120426454|XP_039447150.1|CPIP
OG0000590	LOC115628967|XP_030381105.1|SLEB	LOC120421456|XP_039440638.1|CPIP
OG0000592	LOC115620051|XP_030369040.1|SLEB, LOC115626440|XP_030377714.1|SLEB, LOC115634746|XP_030388498.1|SLEB	LOC120413276|XP_039429940.1|CPIP
