Orthogroup	SLEB.longest_only	HILL.longest_only
OG0000635	LOC115620742|XP_030369999.1|SLEB, LOC115629274|XP_030381560.1|SLEB	LOC119654737|XP_037916196.1|HILL
OG0000636	LOC115626223|XP_030377382.1|SLEB, LOC115626226|XP_030377385.1|SLEB, LOC115626225|XP_030377383.1|SLEB, LOC115626227|XP_030377387.1|SLEB	LOC119655022|XP_037916625.1|HILL
OG0000637	LOC115627962|XP_030379716.1|SLEB, LOC115627960|XP_030379713.1|SLEB	LOC119654896|XP_037916444.1|HILL
OG0000638	LOC115627144|XP_030378581.1|SLEB	LOC119655413|XP_037917226.1|HILL
OG0000639	LOC115633115|XP_030386361.1|SLEB	LOC119650418|XP_037909141.1|HILL
OG0000642	LOC115632622|XP_030385714.1|SLEB, LOC115626067|XP_030377180.1|SLEB, LOC115626065|XP_030377178.1|SLEB, LOC115626066|XP_030377179.1|SLEB, LOC115625957|XP_030377055.1|SLEB, LOC115625960|XP_030377061.1|SLEB	LOC119660062|XP_037924369.1|HILL
OG0000644	LOC115631644|XP_030384315.1|SLEB	LOC119661516|XP_037926820.1|HILL
OG0000645	LOC115630472|XP_030382903.1|SLEB, LOC115630471|XP_030382902.1|SLEB, LOC115630469|XP_030382899.1|SLEB	LOC119655188|XP_037916881.1|HILL, LOC119654809|XP_037916292.1|HILL, LOC119653941|XP_037915029.1|HILL, LOC119656165|XP_037918438.1|HILL, LOC119656265|XP_037918614.1|HILL
OG0000646	LOC115620235|XP_030369240.1|SLEB, LOC115621842|XP_030371513.1|SLEB	LOC119652293|XP_037912218.1|HILL
OG0000647	LOC115621967|XP_030371674.1|SLEB, LOC115629630|XP_030381990.1|SLEB	LOC119657425|XP_037920255.1|HILL
OG0000648	LOC115627942|XP_030379695.1|SLEB	LOC119657729|XP_037920700.1|HILL
OG0000649	LOC115627568|XP_030379152.1|SLEB, LOC115627550|XP_030379125.1|SLEB	LOC119656729|XP_037919190.1|HILL
OG0000650	LOC115620503|XP_030369617.1|SLEB	LOC119656608|XP_037918973.1|HILL
OG0000650	LOC115627753|XP_030379398.1|SLEB	LOC119660809|XP_037925577.1|HILL
OG0000651	LOC115632259|XP_030385191.1|SLEB, LOC115622859|XP_030372803.1|SLEB	LOC119651087|XP_037910365.1|HILL
OG0000652	LOC115628872|XP_030380991.1|SLEB, LOC115629665|XP_030382040.1|SLEB	LOC119647563|XP_037904526.1|HILL
OG0000653	LOC115620491|XP_030369592.1|SLEB	LOC119652971|XP_037913303.1|HILL
OG0000654	LOC115632989|XP_030386166.1|SLEB	LOC119648654|XP_037906354.1|HILL
OG0000655	LOC115621850|XP_030371563.1|SLEB, LOC115630722|XP_030383235.1|SLEB	LOC119661453|XP_037926732.1|HILL
OG0000656	LOC115623639|XP_030373943.1|SLEB, LOC115627596|XP_030379180.1|SLEB	LOC119659574|XP_037923659.1|HILL
OG0000657	LOC115624836|XP_030375543.1|SLEB	LOC119647275|XP_037904095.1|HILL
OG0000657	LOC115631152|XP_030383683.1|SLEB	LOC119661159|XP_037926303.1|HILL, LOC119651892|XP_037911641.1|HILL
OG0000658	LOC115627088|XP_030378498.1|SLEB, LOC115626258|XP_030377426.1|SLEB	LOC119653510|XP_037914098.1|HILL
OG0000660	LOC115631511|XP_030384136.1|SLEB	LOC119646862|XP_037903412.1|HILL
OG0000661	LOC115622386|XP_030372170.1|SLEB, LOC115630509|XP_030382967.1|SLEB	LOC119658210|XP_037921405.1|HILL
OG0000662	LOC115632944|XP_030386100.1|SLEB, LOC115627291|XP_030378783.1|SLEB	LOC119649469|XP_037907554.1|HILL
OG0000664	LOC115629221|XP_030381490.1|SLEB	LOC119653762|XP_037914671.1|HILL
OG0000665	LOC115623916|XP_030374332.1|SLEB	LOC119660145|XP_037924473.1|HILL
OG0000666	LOC115624988|XP_030375715.1|SLEB, LOC115627419|XP_030378949.1|SLEB	LOC119659675|XP_037923827.1|HILL
OG0000667	LOC115623576|XP_030373834.1|SLEB	LOC119659459|XP_037923471.1|HILL
OG0000668	LOC115620304|XP_030369348.1|SLEB, LOC115622050|XP_030371784.1|SLEB	LOC119658829|XP_037922491.1|HILL
OG0000670	LOC115626707|XP_030378000.1|SLEB	LOC119654928|XP_037916507.1|HILL
OG0000671	LOC115620863|XP_030370184.1|SLEB, LOC115621283|XP_030370746.1|SLEB	LOC119660816|XP_037925587.1|HILL
OG0000672	LOC115627870|XP_030379614.1|SLEB, LOC115624926|XP_030375637.1|SLEB	LOC119650087|XP_037908523.1|HILL
OG0000673	LOC115627417|XP_030378947.1|SLEB, LOC115626494|XP_030377738.1|SLEB	LOC119660964|XP_037925936.1|HILL
OG0000677	LOC115623186|XP_030373268.1|SLEB, LOC115627739|XP_030379369.1|SLEB	LOC119656746|XP_037919233.1|HILL
OG0000678	LOC115621186|XP_030370620.1|SLEB, LOC115631717|XP_030384411.1|SLEB	LOC119659257|XP_037923177.1|HILL
OG0000679	LOC115633757|XP_030387092.1|SLEB	LOC119656788|XP_037919316.1|HILL
OG0000680	LOC115627844|XP_030379560.1|SLEB	LOC119657277|XP_037920044.1|HILL
OG0000681	LOC115621828|XP_030371496.1|SLEB, LOC115627476|XP_030379015.1|SLEB	LOC119656887|XP_037919485.1|HILL
OG0000683	LOC115620499|XP_030369611.1|SLEB	LOC119650893|XP_037910000.1|HILL
OG0000684	LOC115624151|XP_030374608.1|SLEB, LOC115620565|XP_030369714.1|SLEB	LOC119651814|XP_037911533.1|HILL
OG0000685	LOC115629499|XP_030381839.1|SLEB, LOC115623675|XP_030374005.1|SLEB	LOC119650879|XP_037909972.1|HILL
OG0000686	LOC115625171|XP_030375975.1|SLEB, LOC115633274|XP_030386545.1|SLEB	LOC119661265|XP_037926448.1|HILL
OG0000687	LOC115630042|XP_030382535.1|SLEB, LOC115630047|XP_030382538.1|SLEB, LOC115630043|XP_030382536.1|SLEB, LOC115630049|XP_030382540.1|SLEB, LOC115630046|XP_030382537.1|SLEB, LOC115633169|XP_030386442.1|SLEB	LOC119648898|XP_037906728.1|HILL
OG0000688	LOC115634831|XP_030388608.1|SLEB	LOC119655131|XP_037916797.1|HILL
OG0000689	LOC115628671|XP_030380705.1|SLEB, LOC115628661|XP_030380693.1|SLEB	LOC119657177|XP_037919895.1|HILL
OG0000690	LOC115629307|XP_030381612.1|SLEB	LOC119653596|XP_037914274.1|HILL
OG0000691	LOC115626605|XP_030377857.1|SLEB, LOC115634680|XP_030388399.1|SLEB	LOC119649978|XP_037908346.1|HILL
OG0000692	LOC115632631|XP_030385721.1|SLEB, LOC115632633|XP_030385722.1|SLEB	LOC119648625|XP_037906323.1|HILL, LOC119647809|XP_037904952.1|HILL, LOC119652487|XP_037912595.1|HILL
OG0000693	LOC115627792|XP_030379472.1|SLEB	LOC119657578|XP_037920474.1|HILL
OG0000693	LOC115623630|XP_030373932.1|SLEB	LOC119657891|XP_037920962.1|HILL
OG0000694	LOC115622249|XP_030372007.1|SLEB	LOC119653610|XP_037914300.1|HILL
OG0000695	LOC115626345|XP_030377554.1|SLEB, LOC115626555|XP_030377793.1|SLEB	LOC119652336|XP_037912278.1|HILL
OG0000696	LOC115631699|XP_030384387.1|SLEB	LOC119646793|XP_037903310.1|HILL
OG0000696	LOC115631207|XP_030383771.1|SLEB	LOC119661444|XP_037926717.1|HILL
OG0000697	LOC115626630|XP_030377894.1|SLEB	LOC119650562|XP_037909296.1|HILL
OG0000698	LOC115631784|XP_030384478.1|SLEB	LOC119658246|XP_037921452.1|HILL
OG0000698	LOC115631797|XP_030384494.1|SLEB	LOC119647067|XP_037903752.1|HILL
OG0000699	LOC115631361|XP_030383939.1|SLEB, LOC115621427|XP_030370939.1|SLEB	LOC119651230|XP_037910634.1|HILL
OG0000700	LOC115630522|XP_030382986.1|SLEB	LOC119646407|XP_037902779.1|HILL
OG0000701	LOC115633828|XP_030387176.1|SLEB, LOC115627353|XP_030378861.1|SLEB	LOC119646960|XP_037903587.1|HILL
OG0000702	LOC115623432|XP_030373638.1|SLEB, LOC115623431|XP_030373622.1|SLEB	LOC119660330|XP_037924740.1|HILL
OG0000703	LOC115626522|XP_030377762.1|SLEB, LOC115632207|XP_030385123.1|SLEB	LOC119654345|XP_037915612.1|HILL
OG0000704	LOC115629751|XP_030382150.1|SLEB, LOC115620514|XP_030369639.1|SLEB	LOC119656221|XP_037918548.1|HILL
OG0000705	LOC115632166|XP_030385053.1|SLEB	LOC119647711|XP_037904729.1|HILL
OG0000707	LOC115634062|XP_030387466.1|SLEB, LOC115628046|XP_030379850.1|SLEB	LOC119653490|XP_037914046.1|HILL
OG0000708	LOC115627708|XP_030379316.1|SLEB, LOC115627653|XP_030379253.1|SLEB	LOC119656653|XP_037919046.1|HILL
OG0000709	LOC115621323|XP_030370803.1|SLEB, LOC115626872|XP_030378240.1|SLEB	LOC119653532|XP_037914134.1|HILL
OG0000710	LOC115623330|XP_030373453.1|SLEB, LOC115634159|XP_030387599.1|SLEB	LOC119654565|XP_037915943.1|HILL
OG0000711	LOC115622779|XP_030372697.1|SLEB, LOC115621892|XP_030371581.1|SLEB, LOC115629865|XP_030382313.1|SLEB	LOC119656215|XP_037918541.1|HILL
OG0000713	LOC115621208|XP_030370649.1|SLEB, LOC115628094|XP_030379931.1|SLEB	LOC119655497|XP_037917327.1|HILL
OG0000714	LOC115633315|XP_030386605.1|SLEB, LOC115623265|XP_030373395.1|SLEB	LOC119648844|XP_037906647.1|HILL
OG0000716	LOC115633996|XP_030387379.1|SLEB, LOC115624701|XP_030375377.1|SLEB	LOC119649173|XP_037907129.1|HILL
OG0000717	LOC115632838|XP_030385954.1|SLEB	LOC119646150|XP_037902445.1|HILL, LOC119648535|XP_037906231.1|HILL, LOC119650388|XP_037909075.1|HILL, LOC119648930|XP_037906771.1|HILL
OG0000718	LOC115627755|XP_030379400.1|SLEB	LOC119660961|XP_037925932.1|HILL
OG0000719	LOC115622473|XP_030372276.1|SLEB, LOC115622387|XP_030372171.1|SLEB	LOC119649989|XP_037908372.1|HILL, LOC119649354|XP_037907390.1|HILL
OG0000724	LOC115633429|XP_030386749.1|SLEB, LOC115626300|XP_030377488.1|SLEB	LOC119657926|XP_037921041.1|HILL
OG0000726	LOC115624214|XP_030374686.1|SLEB	LOC119653055|XP_037913462.1|HILL
OG0000727	LOC115624337|XP_030374846.1|SLEB, LOC115624335|XP_030374844.1|SLEB	LOC119658886|XP_037922601.1|HILL
OG0000728	LOC115630207|XP_030382636.1|SLEB	LOC119650595|XP_037909372.1|HILL
OG0000729	LOC115620938|XP_030370310.1|SLEB, LOC115620939|XP_030370311.1|SLEB	LOC119652827|XP_037913083.1|HILL
OG0000730	LOC115632855|XP_030385975.1|SLEB	LOC119647745|XP_037904788.1|HILL
OG0000731	LOC115622743|XP_030372650.1|SLEB, LOC115633836|XP_030387186.1|SLEB	LOC119646681|XP_037903161.1|HILL
OG0000732	LOC115632506|XP_030385555.1|SLEB, LOC115632505|XP_030385554.1|SLEB	LOC119648801|XP_037906578.1|HILL
OG0000733	LOC115621490|XP_030371018.1|SLEB, LOC115622518|XP_030372333.1|SLEB	LOC119648378|XP_037906038.1|HILL
OG0000734	LOC115629183|XP_030381425.1|SLEB, LOC115622143|XP_030371864.1|SLEB	LOC119650154|XP_037908624.1|HILL
OG0000735	LOC115627337|XP_030378842.1|SLEB	LOC119651169|XP_037910516.1|HILL
OG0000736	LOC115630795|XP_030383313.1|SLEB, LOC115630588|XP_030383066.1|SLEB	LOC119651873|XP_037911608.1|HILL
OG0000738	LOC115630461|XP_030382886.1|SLEB, LOC115626486|XP_030377730.1|SLEB	LOC119651288|XP_037910731.1|HILL
OG0000739	LOC115623627|XP_030373927.1|SLEB	LOC119659661|XP_037923798.1|HILL
OG0000740	LOC115628455|XP_030380428.1|SLEB	LOC119660242|XP_037924623.1|HILL
OG0000741	LOC115628044|XP_030379847.1|SLEB	LOC119660617|XP_037925245.1|HILL
OG0000742	LOC115627583|XP_030379167.1|SLEB, LOC115627481|XP_030379020.1|SLEB	LOC119655245|XP_037916962.1|HILL
OG0000743	LOC115633054|XP_030386259.1|SLEB, LOC115634620|XP_030388329.1|SLEB	LOC119647882|XP_037905097.1|HILL
OG0000744	LOC115629175|XP_030381413.1|SLEB	LOC119654872|XP_037916395.1|HILL, LOC119655078|XP_037916705.1|HILL, LOC119655079|XP_037916706.1|HILL, LOC119653866|XP_037914852.1|HILL
OG0000745	LOC115634146|XP_030387579.1|SLEB, LOC115627071|XP_030378479.1|SLEB, LOC115634664|XP_030388387.1|SLEB	LOC119659729|XP_037923913.1|HILL, LOC119657154|XP_037919858.1|HILL
OG0000746	LOC115633815|XP_030387160.1|SLEB, LOC115620015|XP_030368977.1|SLEB	LOC119654765|XP_037916233.1|HILL
OG0000747	LOC115632487|XP_030385525.1|SLEB, LOC115632957|XP_030386116.1|SLEB	LOC119653703|XP_037914507.1|HILL
OG0000748	LOC115630703|XP_030383216.1|SLEB, LOC115626976|XP_030378352.1|SLEB	LOC119657475|XP_037920323.1|HILL
OG0000750	LOC115625460|XP_030376367.1|SLEB, LOC115625461|XP_030376368.1|SLEB	LOC119649340|XP_037907375.1|HILL, LOC119649569|XP_037907732.1|HILL, LOC119651028|XP_037910304.1|HILL, LOC119651099|XP_037910421.1|HILL
OG0000753	LOC115621110|XP_030370512.1|SLEB	LOC119651896|XP_037911650.1|HILL
OG0000754	LOC115627163|XP_030378607.1|SLEB, LOC115627856|XP_030379577.1|SLEB	LOC119657544|XP_037920415.1|HILL
OG0000755	LOC115620993|XP_030370373.1|SLEB, LOC115620992|XP_030370371.1|SLEB	LOC119652498|XP_037912609.1|HILL
OG0000756	LOC115629548|XP_030381890.1|SLEB	LOC119651830|XP_037911552.1|HILL
OG0000757	LOC115630488|XP_030382932.1|SLEB, LOC115628322|XP_030380237.1|SLEB	LOC119647880|XP_037905096.1|HILL
OG0000758	LOC115624504|XP_030375069.1|SLEB	LOC119648790|XP_037906564.1|HILL
OG0000759	LOC115632664|XP_030385757.1|SLEB, LOC115632137|XP_030385012.1|SLEB	LOC119648906|XP_037906739.1|HILL
OG0000760	LOC115634764|XP_030388519.1|SLEB	LOC119661608|XP_037926952.1|HILL
OG0000760	LOC115633671|XP_030386976.1|SLEB	LOC119651140|XP_037910471.1|HILL
OG0000761	LOC115631320|XP_030383897.1|SLEB, LOC115632011|XP_030384801.1|SLEB	LOC119650713|XP_037909650.1|HILL
OG0000762	LOC115625652|XP_030376640.1|SLEB	LOC119661373|XP_037926619.1|HILL
OG0000763	LOC115630747|XP_030383261.1|SLEB, LOC115630695|XP_030383207.1|SLEB	LOC119646339|XP_037902693.1|HILL, LOC119647079|XP_037903764.1|HILL
OG0000764	LOC115621927|XP_030371631.1|SLEB	LOC119654962|XP_037916548.1|HILL
OG0000765	LOC115628365|XP_030380302.1|SLEB, LOC115627771|XP_030379429.1|SLEB	LOC119654298|XP_037915532.1|HILL
OG0000766	LOC115629736|XP_030382131.1|SLEB	LOC119654919|XP_037916494.1|HILL
OG0000767	LOC115625324|XP_030376207.1|SLEB, LOC115628797|XP_030380869.1|SLEB	LOC119649895|XP_037908215.1|HILL
OG0000768	LOC115627924|XP_030379678.1|SLEB, LOC115629400|XP_030381717.1|SLEB	LOC119650429|XP_037909174.1|HILL
OG0000769	LOC115627782|XP_030379452.1|SLEB	LOC119657753|XP_037920735.1|HILL
OG0000770	LOC115628059|XP_030379884.1|SLEB	LOC119661185|XP_037926332.1|HILL, LOC119653991|XP_037915091.1|HILL, LOC119661671|XP_037927036.1|HILL, LOC119653978|XP_037915071.1|HILL, LOC119654016|XP_037915109.1|HILL, LOC119653984|XP_037915075.1|HILL, LOC119658450|XP_037921786.1|HILL
OG0000771	LOC115632497|XP_030385534.1|SLEB	LOC119658887|XP_037922605.1|HILL
OG0000772	LOC115634665|XP_030388384.1|SLEB	LOC119647072|XP_037903758.1|HILL, LOC119646422|XP_037902795.1|HILL, LOC119661462|XP_037926751.1|HILL, LOC119646139|XP_037902424.1|HILL
OG0000774	LOC115634000|XP_030387384.1|SLEB	LOC119657784|XP_037920791.1|HILL
OG0000778	LOC115620701|XP_030369933.1|SLEB, LOC115628096|XP_030379935.1|SLEB	LOC119657401|XP_037920220.1|HILL, LOC119657973|XP_037921113.1|HILL
OG0000779	LOC115626746|XP_030378057.1|SLEB	LOC119657107|XP_037919794.1|HILL
OG0000780	LOC115623469|XP_030373696.1|SLEB	LOC119657989|XP_037921134.1|HILL
OG0000781	LOC115626655|XP_030377922.1|SLEB, LOC115632546|XP_030385621.1|SLEB	LOC119658295|XP_037921520.1|HILL
OG0000782	LOC115623231|XP_030373340.1|SLEB, LOC115629137|XP_030381342.1|SLEB	LOC119657096|XP_037919779.1|HILL
OG0000783	LOC115633212|XP_030386459.1|SLEB	LOC119657280|XP_037920052.1|HILL
OG0000784	LOC115632956|XP_030386115.1|SLEB, LOC115622106|XP_030371808.1|SLEB, LOC115628703|XP_030380744.1|SLEB	LOC119646893|XP_037903460.1|HILL
OG0000785	LOC115621118|XP_030370522.1|SLEB	LOC119652372|XP_037912397.1|HILL, LOC119651286|XP_037910728.1|HILL
OG0000786	LOC115620536|XP_030369671.1|SLEB	LOC119650690|XP_037909584.1|HILL
OG0000787	LOC115632438|XP_030385442.1|SLEB, LOC115629947|XP_030382416.1|SLEB	LOC119649883|XP_037908188.1|HILL
OG0000788	LOC115631634|XP_030384303.1|SLEB, LOC115628252|XP_030380128.1|SLEB	LOC119647630|XP_037904613.1|HILL
OG0000789	LOC115629061|XP_030381237.1|SLEB, LOC115629060|XP_030381236.1|SLEB	LOC119651528|XP_037911088.1|HILL
OG0000790	LOC115628530|XP_030380551.1|SLEB	LOC119658287|XP_037921510.1|HILL
OG0000791	LOC115629879|XP_030382336.1|SLEB, LOC115621525|XP_030371051.1|SLEB	LOC119653209|XP_037913704.1|HILL
OG0000793	LOC115623565|XP_030373822.1|SLEB	LOC119659841|XP_037924067.1|HILL
OG0000794	LOC115629864|XP_030382312.1|SLEB	LOC119658328|XP_037921598.1|HILL, LOC119661720|XP_037927102.1|HILL
OG0000795	LOC115629651|XP_030382021.1|SLEB, LOC115625331|XP_030376215.1|SLEB	LOC119654215|XP_037915356.1|HILL
OG0000796	LOC115620420|XP_030369504.1|SLEB, LOC115626807|XP_030378137.1|SLEB	LOC119654527|XP_037915899.1|HILL
OG0000797	LOC115623362|XP_030373508.1|SLEB	LOC119659393|XP_037923383.1|HILL
OG0000798	LOC115626864|XP_030378234.1|SLEB, LOC115628315|XP_030380233.1|SLEB	LOC119653731|XP_037914572.1|HILL
OG0000799	LOC115622877|XP_030372826.1|SLEB, LOC115629792|XP_030382211.1|SLEB	LOC119653680|XP_037914462.1|HILL
OG0000801	LOC115626800|XP_030378133.1|SLEB	LOC119655634|XP_037917534.1|HILL
OG0000802	LOC115628822|XP_030380912.1|SLEB	LOC119655789|XP_037917810.1|HILL
OG0000803	LOC115630694|XP_030383206.1|SLEB, LOC115622649|XP_030372516.1|SLEB	LOC119661390|XP_037926641.1|HILL
OG0000804	LOC115623042|XP_030373079.1|SLEB, LOC115622933|XP_030372921.1|SLEB	LOC119655918|XP_037918011.1|HILL
OG0000805	LOC115633725|XP_030387052.1|SLEB, LOC115633387|XP_030386694.1|SLEB, LOC115633782|XP_030387119.1|SLEB, LOC115631591|XP_030384252.1|SLEB	LOC119658085|XP_037921276.1|HILL
OG0000807	LOC115626077|XP_030377190.1|SLEB	LOC119651447|XP_037910980.1|HILL
OG0000810	LOC115633165|XP_030386437.1|SLEB	LOC119652580|XP_037912724.1|HILL
OG0000811	LOC115634013|XP_030387397.1|SLEB, LOC115627523|XP_030379086.1|SLEB	LOC119659042|XP_037922871.1|HILL
OG0000812	LOC115628035|XP_030379838.1|SLEB	LOC119647943|XP_037905233.1|HILL
OG0000813	LOC115621588|XP_030371142.1|SLEB	LOC119659686|XP_037923852.1|HILL
OG0000813	LOC115631533|XP_030384166.1|SLEB	LOC119649371|XP_037907416.1|HILL
OG0000814	LOC115631370|XP_030383951.1|SLEB	LOC119646163|XP_037902464.1|HILL, LOC119661727|XP_037927120.1|HILL, LOC119646661|XP_037903122.1|HILL, LOC119646655|XP_037903113.1|HILL, LOC119661251|XP_037926427.1|HILL, LOC119660561|XP_037925132.1|HILL
OG0000815	LOC115628494|XP_030380489.1|SLEB	LOC119661476|XP_037926767.1|HILL, LOC119652622|XP_037912797.1|HILL
OG0000816	LOC115626829|XP_030378170.1|SLEB, LOC115623329|XP_030373452.1|SLEB	LOC119652594|XP_037912747.1|HILL, LOC119646619|XP_037903054.1|HILL
OG0000818	LOC115627273|XP_030378763.1|SLEB, LOC115627208|XP_030378687.1|SLEB	LOC119653492|XP_037914048.1|HILL
OG0000819	LOC115629908|XP_030382373.1|SLEB, LOC115629909|XP_030382374.1|SLEB	LOC119655961|XP_037918111.1|HILL
OG0000820	LOC115629748|XP_030382144.1|SLEB, LOC115633748|XP_030387083.1|SLEB	LOC119654911|XP_037916472.1|HILL
OG0000821	LOC115634734|XP_030388480.1|SLEB	LOC119649066|XP_037906982.1|HILL
OG0000824	LOC115634217|XP_030387667.1|SLEB, LOC115631358|XP_030383935.1|SLEB, LOC115631355|XP_030383932.1|SLEB	LOC119661374|XP_037926621.1|HILL
OG0000830	LOC115627051|XP_030378454.1|SLEB	LOC119657934|XP_037921050.1|HILL, LOC119652615|XP_037912781.1|HILL, LOC119651988|XP_037911831.1|HILL
OG0000831	LOC115620550|XP_030369694.1|SLEB	LOC119651526|XP_037911086.1|HILL, LOC119651216|XP_037910598.1|HILL
OG0000832	LOC115630056|XP_030382550.1|SLEB, LOC115626117|XP_030377232.1|SLEB	LOC119646406|XP_037902778.1|HILL
OG0000833	LOC115633915|XP_030387287.1|SLEB	LOC119648899|XP_037906731.1|HILL
OG0000834	LOC115622025|XP_030371744.1|SLEB	LOC119650167|XP_037908642.1|HILL
OG0000835	LOC115630731|XP_030383245.1|SLEB	LOC119649256|XP_037907253.1|HILL
OG0000836	LOC115631033|XP_030383516.1|SLEB	LOC119651568|XP_037911131.1|HILL
OG0000837	LOC115629286|XP_030381586.1|SLEB	LOC119653598|XP_037914275.1|HILL
OG0000838	LOC115631443|XP_030384046.1|SLEB, LOC115631811|XP_030384508.1|SLEB	LOC119656045|XP_037918241.1|HILL
OG0000839	LOC115623518|XP_030373759.1|SLEB, LOC115623788|XP_030374190.1|SLEB	LOC119659633|XP_037923760.1|HILL
OG0000840	LOC115629508|XP_030381849.1|SLEB, LOC115627464|XP_030378996.1|SLEB	LOC119646376|XP_037902743.1|HILL, LOC119660962|XP_037925935.1|HILL
OG0000841	LOC115621899|XP_030371588.1|SLEB	LOC119660594|XP_037925196.1|HILL
OG0000841	LOC115620566|XP_030369715.1|SLEB	LOC119660163|XP_037924495.1|HILL
OG0000842	LOC115634348|XP_030387864.1|SLEB, LOC115620792|XP_030370072.1|SLEB	LOC119653816|XP_037914775.1|HILL
OG0000843	LOC115623677|XP_030374010.1|SLEB	LOC119654815|XP_037916301.1|HILL
OG0000844	LOC115620021|XP_030368985.1|SLEB, LOC115623803|XP_030374206.1|SLEB	LOC119653876|XP_037914916.1|HILL
OG0000846	LOC115621852|XP_030371524.1|SLEB	LOC119651372|XP_037910875.1|HILL, LOC119652727|XP_037912953.1|HILL, LOC119654612|XP_037916012.1|HILL
OG0000848	LOC115632007|XP_030384796.1|SLEB, LOC115626119|XP_030377233.1|SLEB	LOC119658671|XP_037922165.1|HILL
OG0000849	LOC115630527|XP_030382990.1|SLEB, LOC115623659|XP_030373977.1|SLEB	LOC119647307|XP_037904149.1|HILL
OG0000850	LOC115634453|XP_030388034.1|SLEB, LOC115633707|XP_030387028.1|SLEB	LOC119653529|XP_037914170.1|HILL, LOC119646372|XP_037902736.1|HILL
OG0000854	LOC115627108|XP_030378530.1|SLEB	LOC119658525|XP_037921931.1|HILL
OG0000855	LOC115626856|XP_030378217.1|SLEB, LOC115620282|XP_030369316.1|SLEB	LOC119657117|XP_037919806.1|HILL, LOC119658156|XP_037921351.1|HILL
OG0000856	LOC115624521|XP_030375100.1|SLEB	LOC119661011|XP_037926086.1|HILL
OG0000857	LOC115633358|XP_030386658.1|SLEB	LOC119657417|XP_037920242.1|HILL, LOC119658236|XP_037921441.1|HILL
OG0000858	LOC115620449|XP_030369539.1|SLEB	LOC119651400|XP_037910915.1|HILL
OG0000860	LOC115632420|XP_030385419.1|SLEB	LOC119650458|XP_037909242.1|HILL
OG0000861	LOC115634652|XP_030388369.1|SLEB	LOC119660138|XP_037924469.1|HILL
OG0000862	LOC115634668|XP_030388388.1|SLEB	LOC119647046|XP_037903730.1|HILL
OG0000864	LOC115626614|XP_030377867.1|SLEB, LOC115629280|XP_030381572.1|SLEB	LOC119655864|XP_037917914.1|HILL
OG0000865	LOC115623571|XP_030373827.1|SLEB	LOC119660267|XP_037924654.1|HILL
OG0000866	LOC115632046|XP_030384877.1|SLEB	LOC119651344|XP_037910827.1|HILL
OG0000867	LOC115629843|XP_030382284.1|SLEB	LOC119661534|XP_037926842.1|HILL
OG0000868	LOC115626754|XP_030378069.1|SLEB	LOC119651020|XP_037910251.1|HILL
OG0000869	LOC115624085|XP_030374534.1|SLEB	LOC119659879|XP_037924126.1|HILL
OG0000870	LOC115631395|XP_030384015.1|SLEB	LOC119655994|XP_037918160.1|HILL
OG0000871	LOC115623615|XP_030373897.1|SLEB	LOC119655804|XP_037917831.1|HILL
OG0000872	LOC115629607|XP_030381963.1|SLEB, LOC115633646|XP_030386947.1|SLEB	LOC119653635|XP_037914344.1|HILL
OG0000873	LOC115624746|XP_030375434.1|SLEB, LOC115634051|XP_030387456.1|SLEB	LOC119649384|XP_037907430.1|HILL
OG0000874	LOC115633322|XP_030386614.1|SLEB, LOC115628366|XP_030380306.1|SLEB	LOC119653451|XP_037913986.1|HILL
OG0000875	LOC115624168|XP_030374625.1|SLEB, LOC115624766|XP_030375459.1|SLEB	LOC119648335|XP_037905957.1|HILL
OG0000877	LOC115633565|XP_030386882.1|SLEB, LOC115629824|XP_030382255.1|SLEB	LOC119647632|XP_037904617.1|HILL, LOC119648809|XP_037906587.1|HILL
OG0000878	LOC115627482|XP_030379021.1|SLEB, LOC115632195|XP_030385101.1|SLEB	LOC119654988|XP_037916580.1|HILL
OG0000879	LOC115634304|XP_030387816.1|SLEB	LOC119655355|XP_037917134.1|HILL
OG0000880	LOC115626970|XP_030378345.1|SLEB, LOC115622390|XP_030372175.1|SLEB	LOC119646237|XP_037902555.1|HILL, LOC119661511|XP_037926810.1|HILL, LOC119647788|XP_037904907.1|HILL
OG0000882	LOC115629213|XP_030381474.1|SLEB	LOC119657550|XP_037920431.1|HILL
OG0000883	LOC115629813|XP_030382240.1|SLEB	LOC119658367|XP_037921656.1|HILL
OG0000884	LOC115629830|XP_030382265.1|SLEB	LOC119657713|XP_037920680.1|HILL
OG0000886	LOC115621674|XP_030371245.1|SLEB	LOC119650614|XP_037909425.1|HILL
OG0000887	LOC115626660|XP_030377932.1|SLEB	LOC119654667|XP_037916090.1|HILL, LOC119654834|XP_037916334.1|HILL
OG0000888	LOC115633127|XP_030386383.1|SLEB, LOC115632606|XP_030385693.1|SLEB	LOC119647432|XP_037904268.1|HILL
OG0000889	LOC115632962|XP_030386122.1|SLEB	LOC119649708|XP_037907907.1|HILL
OG0000890	LOC115620765|XP_030370030.1|SLEB	LOC119647425|XP_037904258.1|HILL
OG0000891	LOC115631029|XP_030383507.1|SLEB, LOC115631138|XP_030383667.1|SLEB	LOC119651506|XP_037911062.1|HILL
OG0000892	LOC115623089|XP_030373155.1|SLEB, LOC115630075|XP_030382571.1|SLEB	LOC119650186|XP_037908674.1|HILL
