Orthogroup	AAEG.longest_only	DANA.longest_only
OG0000543	LOC5577559|XP_021694639.1|AAEG, LOC5579016|XP_001664196.2|AAEG	LOC6501538|XP_001955443.1|DANA, LOC6494091|XP_001960999.2|DANA
OG0000544	LOC5578623|XP_001657045.2|AAEG	LOC6493752|XP_001958371.1|DANA, LOC6499639|XP_001954243.1|DANA
OG0000545	LOC5564746|XP_021693658.1|AAEG, LOC5566409|XP_021693084.1|AAEG	LOC6499680|XP_001954162.1|DANA, LOC6499679|XP_001954164.3|DANA
OG0000546	LOC5575232|XP_021694125.1|AAEG	LOC6505789|XP_001964379.1|DANA, LOC6501976|XP_001966799.1|DANA
OG0000547	LOC5571763|XP_021695756.1|AAEG	LOC6503097|XP_001963419.1|DANA, LOC6506723|XP_001965235.1|DANA
OG0000548	LOC5575141|XP_021697915.1|AAEG	LOC6493050|XP_001956952.1|DANA, LOC6493051|XP_001956953.3|DANA
OG0000549	LOC5577716|XP_001663497.1|AAEG, LOC5577704|XP_021698193.1|AAEG, LOC5577714|XP_001663495.1|AAEG, LOC5573687|XP_001661010.2|AAEG, LOC5573688|XP_001661011.1|AAEG, LOC5577711|XP_001663492.1|AAEG, LOC5577713|XP_001663494.1|AAEG, LOC5577709|XP_001663490.2|AAEG, LOC5577717|XP_001663499.2|AAEG	LOC6494691|XP_014762917.1|DANA
OG0000550	LOC5578287|XP_001663815.1|AAEG	LOC6507377|XP_001956134.1|DANA
OG0000551	LOC5569002|XP_021706828.1|AAEG	LOC6496176|XP_032306028.1|DANA
OG0000552	LOC110676642|XP_021701014.1|AAEG	LOC6498999|XP_001955539.1|DANA, LOC6499000|XP_001955538.1|DANA
OG0000553	LOC5573859|XP_001654890.1|AAEG, LOC5573858|XP_001654889.1|AAEG, LOC5573855|XP_001654886.2|AAEG	LOC6505463|XP_001964922.1|DANA
OG0000554	LOC5573301|XP_021708251.1|AAEG	LOC6499045|XP_032311101.1|DANA, LOC6499046|XP_001955416.1|DANA
OG0000555	LOC5575012|XP_021710949.1|AAEG	LOC6507388|XP_014765207.1|DANA, LOC6507011|XP_001956830.1|DANA
OG0000556	LOC110681197|XP_021712666.1|AAEG, LOC5564890|XP_001649215.1|AAEG	LOC6504498|XP_001967017.2|DANA, LOC6501319|XP_001954981.1|DANA
OG0000557	LOC5568513|XP_001652336.1|AAEG	LOC6500520|XP_001953384.1|DANA, LOC6500521|XP_032305478.1|DANA
OG0000558	LOC5575971|XP_001662322.1|AAEG	LOC6501324|XP_001954996.1|DANA, LOC6503932|XP_001963866.2|DANA
OG0000559	LOC110681168|XP_021712631.1|AAEG, LOC5577241|XP_021709285.1|AAEG	LOC6500319|XP_014766499.1|DANA, LOC6493601|XP_001958081.1|DANA
OG0000560	LOC5563762|XP_021707462.1|AAEG	LOC6494812|XP_001959615.1|DANA, LOC6495801|XP_001959614.1|DANA
OG0000561	LOC110678585|XP_021707316.1|AAEG	LOC6507606|XP_001955993.1|DANA, LOC6507607|XP_001955994.1|DANA
OG0000562	LOC5569968|XP_021710058.1|AAEG	LOC6507891|XP_001956536.1|DANA, LOC6507880|XP_001956516.1|DANA
OG0000566	LOC5579820|XP_001651051.1|AAEG	LOC26514623|XP_032311277.1|DANA, LOC6500700|XP_001953753.1|DANA, LOC6493113|XP_001957070.1|DANA
OG0000567	LOC5570128|XP_001653107.2|AAEG	LOC6504736|XP_001966298.1|DANA
OG0000567	LOC5570126|XP_001653106.2|AAEG	LOC6504735|XP_001966299.1|DANA
OG0000568	LOC5577017|XP_001656302.2|AAEG	LOC6504459|XP_001966948.1|DANA, LOC6499606|XP_001954309.1|DANA
OG0000569	LOC5565055|XP_021705510.1|AAEG	LOC6505838|XP_001964463.1|DANA, LOC26515550|XP_032309778.1|DANA
OG0000570	LOC5576289|XP_001662579.2|AAEG	LOC6498916|XP_001955680.1|DANA, LOC6498917|XP_001955679.1|DANA
OG0000571	LOC5571436|XP_021693888.1|AAEG	LOC6501642|XP_001955663.3|DANA, LOC6501640|XP_032312130.1|DANA
OG0000572	LOC5570663|XP_021695778.1|AAEG	LOC6500873|XP_032305338.1|DANA, LOC6500875|XP_032305461.1|DANA
OG0000573	LOC5574096|XP_021696111.1|AAEG	LOC6507491|XP_032310560.1|DANA, LOC6494687|XP_001959858.1|DANA
OG0000574	LOC5572198|XP_021698798.1|AAEG	LOC6493369|XP_001957616.1|DANA, LOC6500120|XP_001953183.1|DANA
OG0000575	LOC5569243|XP_021699828.1|AAEG	LOC6507320|XP_001956252.1|DANA, LOC6507319|XP_032310085.1|DANA
OG0000576	LOC5568781|XP_021700712.1|AAEG	LOC6500100|XP_032312094.1|DANA, LOC6500099|XP_001953228.1|DANA, LOC6500101|XP_001953226.2|DANA
OG0000577	LOC5575668|XP_001662127.2|AAEG	LOC6498229|XP_001962346.1|DANA
OG0000578	LOC5564323|XP_021710053.1|AAEG	LOC6496915|XP_001963147.1|DANA, LOC6496399|XP_032306449.1|DANA
OG0000579	LOC5577308|XP_021707576.1|AAEG, LOC5579901|XP_001657881.1|AAEG	LOC6501563|XP_001955477.1|DANA, LOC6507259|XP_001956372.1|DANA
OG0000580	LOC23687878|XP_011493518.1|AAEG	LOC6498976|XP_001955577.1|DANA, LOC6498977|XP_001955576.2|DANA, LOC6498974|XP_001955578.1|DANA
OG0000581	LOC5574667|XP_021708899.1|AAEG	LOC6499289|XP_014766000.1|DANA
OG0000582	LOC5575223|XP_021710179.1|AAEG	LOC6507133|XP_001956613.1|DANA, LOC6495460|XP_014763318.1|DANA
OG0000583	LOC5578117|XP_001656815.1|AAEG	LOC6495982|XP_001959976.2|DANA, LOC6495894|XP_001959798.1|DANA
OG0000589	LOC5563768|XP_021695117.1|AAEG	LOC6501919|XP_032308315.1|DANA
OG0000590	LOC110675318|XP_021695560.1|AAEG, LOC5574244|XP_001661299.1|AAEG	LOC6503867|XP_001963746.1|DANA
OG0000592	LOC5567565|XP_001657556.2|AAEG	LOC6494100|XP_001960976.1|DANA, LOC6496343|XP_001960731.2|DANA
OG0000593	LOC5569992|XP_001658881.1|AAEG, LOC110678504|XP_021707160.1|AAEG	LOC6505986|XP_001964735.1|DANA, LOC6505992|XP_001964744.1|DANA, LOC6502716|XP_001963652.1|DANA
OG0000594	LOC5567423|XP_001657403.1|AAEG	LOC6505934|XP_001964645.1|DANA, LOC6500519|XP_001953382.1|DANA
OG0000595	LOC5573372|XP_021712996.1|AAEG	LOC6500152|XP_001953122.1|DANA, LOC6501354|XP_014767006.2|DANA
OG0000596	LOC5569242|XP_021713275.1|AAEG	LOC6504714|XP_001966344.1|DANA, LOC6500223|XP_032305324.1|DANA
OG0000597	LOC5580165|XP_021692926.1|AAEG	LOC6500786|XP_001953918.1|DANA, LOC6500562|XP_001953482.2|DANA
OG0000598	LOC5564380|XP_001648725.1|AAEG, LOC5564382|XP_001648727.1|AAEG, LOC5564381|XP_001648726.1|AAEG	LOC6499714|XP_001954078.1|DANA
OG0000599	LOC5574457|XP_001661473.2|AAEG, LOC5563655|XP_021709330.1|AAEG	LOC6492960|XP_001956754.1|DANA, LOC6507045|XP_032310803.1|DANA
OG0000600	LOC5574458|XP_001661472.1|AAEG	LOC6495777|XP_001959554.1|DANA, LOC6502531|XP_014763919.1|DANA
OG0000601	LOC110676327|XP_021699471.1|AAEG	LOC6497771|XP_032307485.1|DANA, LOC6498748|XP_014760128.1|DANA
OG0000602	LOC5565773|XP_001650121.1|AAEG	LOC6505743|XP_001964997.1|DANA, LOC6505747|XP_001964998.1|DANA
OG0000603	LOC5569072|XP_021703041.1|AAEG	LOC6498114|XP_001962104.3|DANA, LOC6498090|XP_001962059.1|DANA
OG0000604	LOC5566987|XP_001651390.1|AAEG	LOC6496728|XP_001967343.1|DANA, LOC6496707|XP_001967342.1|DANA
OG0000605	LOC5568178|XP_021703896.1|AAEG, LOC5568172|XP_001652108.2|AAEG, LOC5568173|XP_001652109.1|AAEG, LOC5568169|XP_021703894.1|AAEG, LOC5568164|XP_001652105.2|AAEG	LOC26514587|XP_014760653.1|DANA
OG0000606	LOC5570005|XP_001658888.1|AAEG	LOC6499509|XP_001954474.1|DANA
OG0000607	LOC5570154|XP_001658956.1|AAEG	LOC6499868|XP_001953739.1|DANA, LOC6505715|XP_001964401.1|DANA
OG0000608	LOC5567031|XP_001651423.1|AAEG	LOC6503425|XP_001967457.1|DANA, LOC6498836|XP_032312288.1|DANA
OG0000609	LOC5574870|XP_021709064.1|AAEG	LOC6504937|XP_014759877.1|DANA, LOC6497994|XP_001961854.1|DANA
OG0000610	LOC5579045|XP_011493105.1|AAEG	LOC6506285|XP_032310746.1|DANA, LOC6496110|XP_001960245.1|DANA
OG0000611	LOC5572224|XP_021705793.1|AAEG	LOC6494789|XP_032307152.1|DANA, LOC6496433|XP_001960907.1|DANA
OG0000615	LOC5569196|XP_021699444.1|AAEG	LOC6505069|XP_001965519.1|DANA, LOC6505683|XP_001964462.1|DANA
OG0000616	LOC5564988|XP_001649322.2|AAEG	LOC6505164|XP_032307916.1|DANA, LOC6505163|XP_032307945.1|DANA
OG0000617	LOC5577523|XP_001656544.2|AAEG, LOC110674002|XP_021711205.1|AAEG	LOC6501471|XP_001955320.2|DANA, LOC6500739|XP_001953822.1|DANA
OG0000618	LOC5566485|XP_001650875.1|AAEG	LOC6506144|XP_032310050.1|DANA
OG0000619	LOC5566457|XP_001650838.1|AAEG	LOC6493977|XP_001961218.2|DANA
OG0000620	LOC5570947|XP_001653412.2|AAEG	LOC6502942|XP_001963550.1|DANA, LOC6503165|XP_001963554.1|DANA, LOC6506373|XP_001958003.2|DANA
OG0000621	LOC5568436|XP_001652269.1|AAEG	LOC6505674|XP_001964486.1|DANA, LOC6504612|XP_001966528.1|DANA
OG0000622	LOC5569846|XP_021696307.1|AAEG	LOC6506186|XP_001958386.1|DANA, LOC6493727|XP_032310024.1|DANA
OG0000623	LOC5572347|XP_001660306.2|AAEG	LOC6492943|XP_001956701.1|DANA, LOC6506427|XP_001957899.1|DANA
OG0000624	LOC5569174|XP_001658351.2|AAEG	LOC6494833|XP_001959578.1|DANA, LOC6494834|XP_001959577.1|DANA
OG0000625	LOC5564078|XP_021698835.1|AAEG	LOC6506641|XP_001957487.2|DANA, LOC6506640|XP_001957488.1|DANA
OG0000626	LOC5569119|XP_001652722.1|AAEG	LOC6496225|XP_001960487.2|DANA, LOC6494700|XP_001959831.1|DANA
OG0000627	LOC5564979|XP_001649333.2|AAEG	LOC6506838|XP_001957141.1|DANA, LOC6503058|XP_014761293.1|DANA
OG0000628	LOC5565869|XP_001650228.1|AAEG	LOC6505736|XP_001964994.2|DANA, LOC6498556|XP_001963056.2|DANA
OG0000629	LOC5580315|XP_001663037.1|AAEG	LOC6499524|XP_001954442.2|DANA, LOC6497563|XP_001961809.1|DANA
OG0000630	LOC5575168|XP_021702281.1|AAEG	LOC6498013|XP_001961891.2|DANA, LOC6497531|XP_001961896.3|DANA
OG0000631	LOC5569442|XP_021702401.1|AAEG	LOC26515063|XP_014762398.1|DANA, LOC6498365|XP_001962630.1|DANA
OG0000632	LOC5573892|XP_021703330.1|AAEG	LOC6504082|XP_032311174.1|DANA, LOC6497974|XP_001961825.1|DANA
OG0000634	LOC5569647|XP_001652909.2|AAEG	LOC6496787|XP_001967613.1|DANA, LOC6503255|XP_032309156.1|DANA
OG0000635	LOC5572315|XP_001654005.2|AAEG	LOC6494613|XP_001960013.1|DANA, LOC6498706|XP_001967112.1|DANA
OG0000636	LOC5578295|XP_001656875.1|AAEG	LOC6498014|XP_001961893.1|DANA, LOC6498015|XP_001961894.1|DANA, LOC6497532|XP_001961892.1|DANA
OG0000637	LOC5564774|XP_021704609.1|AAEG	LOC6503878|XP_032308557.1|DANA, LOC6503778|XP_001963763.1|DANA
OG0000638	LOC5573827|XP_021706608.1|AAEG	LOC6499811|XP_001953863.1|DANA, LOC6503711|XP_001963881.1|DANA
OG0000639	LOC5567245|XP_021710885.1|AAEG	LOC6506927|XP_001956975.1|DANA
OG0000646	LOC110674862|XP_021695067.1|AAEG	LOC6498908|XP_001955695.1|DANA, LOC6499219|XP_032308587.1|DANA
OG0000647	LOC5579005|XP_021694209.1|AAEG	LOC6501397|XP_001955174.1|DANA, LOC6504457|XP_001966949.3|DANA
OG0000648	LOC5570655|XP_021706985.1|AAEG	LOC6492915|XP_032307971.1|DANA
OG0000649	LOC5571800|XP_001659930.2|AAEG	LOC6505088|XP_032307922.1|DANA, LOC6505089|XP_001965491.1|DANA
OG0000650	LOC5573407|XP_001654581.2|AAEG	LOC6505653|XP_001964524.1|DANA
OG0000651	LOC5565048|XP_001649404.1|AAEG	LOC6492974|XP_001956774.1|DANA, LOC6492973|XP_001956773.1|DANA
OG0000652	LOC5573370|XP_001660865.1|AAEG	LOC6496043|XP_001960107.1|DANA
OG0000653	LOC5576350|XP_021693310.1|AAEG, LOC5576348|XP_001656086.1|AAEG, LOC5576346|XP_001656087.2|AAEG	LOC6500733|XP_001953811.1|DANA, LOC6500284|XP_001952884.1|DANA
OG0000654	LOC5568292|XP_021697103.1|AAEG	LOC6506582|XP_001957601.1|DANA
OG0000655	LOC5575242|XP_001655652.1|AAEG	LOC6495936|XP_014763550.1|DANA, LOC6506765|XP_001965246.1|DANA
OG0000656	LOC5574633|XP_001661549.2|AAEG	LOC6505688|XP_001964456.1|DANA, LOC6505687|XP_001964455.2|DANA, LOC6505689|XP_001964454.1|DANA
OG0000657	LOC5580250|XP_001662649.1|AAEG	LOC6507528|XP_001955862.2|DANA, LOC6497488|XP_001961978.1|DANA
OG0000658	LOC5578313|XP_001656889.1|AAEG	LOC6505041|XP_001965577.1|DANA, LOC6499957|XP_001953559.1|DANA
OG0000659	LOC5576865|XP_001662960.1|AAEG	LOC6497808|XP_001961488.1|DANA, LOC6498017|XP_032307432.1|DANA
OG0000660	LOC5565850|XP_001650194.1|AAEG	LOC6497573|XP_032307646.1|DANA
OG0000661	LOC5567335|XP_001651759.1|AAEG	LOC6506497|XP_001957764.1|DANA, LOC6498300|XP_001962494.2|DANA
OG0000662	LOC5568430|XP_001652258.1|AAEG	LOC6506858|XP_001957107.1|DANA, LOC6504704|XP_001966363.1|DANA
OG0000663	LOC5568431|XP_001652261.2|AAEG	LOC6494394|XP_001960413.1|DANA
OG0000664	LOC5572517|XP_001660456.1|AAEG	LOC6504102|XP_001964181.1|DANA
OG0000665	LOC5575634|XP_001655779.1|AAEG, LOC110681162|XP_021712622.1|AAEG	LOC6500338|XP_032305368.1|DANA
OG0000666	LOC5567515|XP_021710706.1|AAEG	LOC6495525|XP_001959035.1|DANA, LOC6502973|XP_001963490.1|DANA
OG0000667	LOC5564165|XP_021705035.1|AAEG	LOC6504600|XP_001966551.2|DANA, LOC6501607|XP_001955580.3|DANA
OG0000668	LOC5573885|XP_001654923.1|AAEG	LOC6502731|XP_001965834.2|DANA, LOC6500923|XP_001954176.1|DANA
OG0000669	LOC5563963|XP_021710654.1|AAEG	LOC6502193|XP_001966057.1|DANA, LOC6502192|XP_001966058.1|DANA
OG0000670	LOC110680765|XP_021712244.1|AAEG, LOC5572992|XP_001654319.1|AAEG	LOC6504136|XP_001964255.1|DANA, LOC6502287|XP_001966174.1|DANA, LOC6501172|XP_001954688.1|DANA, LOC6503854|XP_001963720.1|DANA
OG0000671	LOC5572082|XP_001660161.1|AAEG	LOC6505781|XP_001964362.2|DANA, LOC6498925|XP_001955668.1|DANA
OG0000672	LOC5568965|XP_001652618.1|AAEG	LOC6502062|XP_001967144.1|DANA, LOC6502989|XP_001963460.1|DANA
OG0000673	LOC5564117|XP_001648452.3|AAEG	LOC6502161|XP_001966103.1|DANA, LOC6506310|XP_001958144.1|DANA
OG0000677	LOC110674775|XP_021694756.1|AAEG	LOC6507920|XP_001956603.1|DANA, LOC6505243|XP_001965610.1|DANA
OG0000678	LOC5573033|XP_001654349.2|AAEG	LOC6499862|XP_001953749.1|DANA, LOC6497849|XP_001961564.2|DANA
OG0000679	LOC5572891|XP_001654245.2|AAEG, LOC5572888|XP_001654244.1|AAEG, LOC5576067|XP_021713213.1|AAEG, LOC5568749|XP_001658126.1|AAEG, LOC5568745|XP_001658124.1|AAEG, LOC5568746|XP_021698051.1|AAEG, LOC5568744|XP_021698049.1|AAEG	LOC6504250|XP_032308844.1|DANA
OG0000680	LOC5570450|XP_021696861.1|AAEG	LOC6498798|XP_032308230.1|DANA, LOC6498797|XP_032308181.1|DANA
OG0000681	LOC5571511|XP_021704098.1|AAEG	LOC6499194|XP_001955140.2|DANA, LOC6504094|XP_001964162.1|DANA
OG0000683	LOC5567780|XP_021712292.1|AAEG, LOC5567781|XP_001657682.1|AAEG, LOC5567779|XP_001657680.2|AAEG, LOC5565951|XP_021693916.1|AAEG	LOC6498906|XP_001955699.1|DANA
OG0000684	LOC110681498|XP_021713031.1|AAEG, LOC5572598|XP_021711785.1|AAEG	LOC6500525|XP_001953392.1|DANA, LOC6499047|XP_001955414.1|DANA
OG0000685	LOC5565927|XP_001650303.1|AAEG	LOC6502100|XP_001966211.1|DANA, LOC6500048|XP_001953321.1|DANA
OG0000686	LOC5573238|XP_001660815.1|AAEG	LOC6493938|XP_001961283.1|DANA
OG0000687	LOC5571869|XP_001659976.1|AAEG, LOC110681189|XP_021712657.1|AAEG	LOC6494600|XP_001960033.1|DANA, LOC6507542|XP_001955885.1|DANA
OG0000688	LOC5579438|XP_021697177.1|AAEG	LOC6494546|XP_014762835.1|DANA
OG0000689	LOC5575898|XP_001655893.1|AAEG	LOC6494869|XP_032307169.1|DANA, LOC6494870|XP_001959518.2|DANA
OG0000690	LOC5563622|XP_001647922.2|AAEG, LOC5576180|XP_001655977.1|AAEG, LOC5563613|XP_001647923.1|AAEG, LOC5563595|XP_001647921.1|AAEG	LOC6502174|XP_001966079.1|DANA
OG0000691	LOC5577893|XP_001663600.1|AAEG	LOC6498348|XP_001962597.1|DANA, LOC6506282|XP_001958202.1|DANA
OG0000692	LOC5577134|XP_021699126.1|AAEG	LOC6492991|XP_001956808.1|DANA, LOC6492992|XP_001956809.1|DANA
OG0000693	LOC110676378|XP_021699721.1|AAEG	LOC6505271|XP_001965660.1|DANA, LOC6500122|XP_001953179.1|DANA
OG0000694	LOC5569581|XP_001658647.1|AAEG	LOC6503517|XP_001964225.1|DANA, LOC6507910|XP_001956582.3|DANA
OG0000695	LOC110675169|XP_021695251.1|AAEG, LOC5575443|XP_021700367.1|AAEG	LOC6497333|XP_001962300.3|DANA, LOC6497336|XP_032307472.1|DANA
OG0000696	LOC5570960|XP_001659424.1|AAEG	LOC6497395|XP_001962169.1|DANA, LOC6504372|XP_001967763.1|DANA
OG0000697	LOC5569502|XP_001658586.1|AAEG	LOC6504376|XP_001967091.1|DANA, LOC6497323|XP_001962319.1|DANA
OG0000698	LOC5572825|XP_001654210.2|AAEG	LOC6497852|XP_001961572.2|DANA, LOC6497853|XP_001961573.1|DANA
OG0000699	LOC5572903|XP_021702732.1|AAEG	LOC6503501|XP_014760389.1|DANA, LOC6501055|XP_001954475.2|DANA
OG0000700	LOC5572373|XP_021695335.1|AAEG	LOC6497888|XP_001961650.2|DANA, LOC6496721|XP_001967330.2|DANA
OG0000701	LOC5572067|XP_001653834.1|AAEG	LOC6494056|XP_001961071.1|DANA, LOC6502057|XP_001967439.1|DANA
OG0000702	LOC5576021|XP_021711648.1|AAEG	LOC6501012|XP_014766847.1|DANA, LOC6501013|XP_001954375.2|DANA
OG0000703	LOC5579187|XP_021706766.1|AAEG	LOC6505643|XP_001964978.1|DANA, LOC6496208|XP_032306686.1|DANA
OG0000704	LOC5566167|XP_021710754.1|AAEG	LOC6504901|XP_032309322.1|DANA, LOC6500565|XP_001953486.1|DANA
OG0000705	LOC5575011|XP_021708260.1|AAEG	LOC6507404|XP_001956082.1|DANA, LOC6507402|XP_001956083.1|DANA
OG0000706	LOC5564887|XP_001649217.2|AAEG, LOC110677898|XP_021705469.1|AAEG	LOC6497867|XP_001961605.2|DANA, LOC6504935|XP_001966614.3|DANA
OG0000707	LOC5576097|XP_001662443.1|AAEG	LOC6496152|XP_001960339.1|DANA, LOC6502349|XP_001967161.1|DANA
OG0000708	LOC5575809|XP_021705328.1|AAEG	LOC6503061|XP_032308922.1|DANA, LOC6502202|XP_032308816.1|DANA
OG0000709	LOC5563960|XP_001648293.2|AAEG	LOC6505569|XP_001964679.2|DANA, LOC6502274|XP_001966145.3|DANA
OG0000710	LOC5570014|XP_001658903.1|AAEG	LOC6500084|XP_001953258.1|DANA, LOC6496062|XP_001960142.1|DANA
OG0000711	LOC5577132|XP_021709303.1|AAEG	LOC6493462|XP_001957808.1|DANA, LOC6503033|XP_001963372.1|DANA
OG0000712	LOC5573740|XP_001654768.2|AAEG	LOC6500125|XP_001953174.2|DANA, LOC6500418|XP_001953177.1|DANA
OG0000713	LOC5574816|XP_001655376.1|AAEG	LOC6499165|XP_032305669.1|DANA, LOC6496218|XP_001960470.1|DANA
OG0000714	LOC5566058|XP_001650424.1|AAEG	LOC6505281|XP_001965683.1|DANA, LOC6507712|XP_001956193.2|DANA
OG0000715	LOC5566056|XP_001650428.1|AAEG	LOC6504379|XP_001967083.2|DANA, LOC26515276|XP_014765713.1|DANA, LOC6493681|XP_001958222.1|DANA, LOC6506263|XP_001958234.1|DANA
OG0000716	LOC5578121|XP_001656819.1|AAEG	LOC6503897|XP_001963801.1|DANA, LOC6506437|XP_001957882.1|DANA
OG0000724	LOC5565085|XP_001649429.1|AAEG	LOC6504397|XP_001967051.1|DANA, LOC6505964|XP_001964693.1|DANA
OG0000726	LOC5577130|XP_021712611.1|AAEG	LOC6501275|XP_032312145.1|DANA, LOC6501274|XP_001954898.1|DANA
OG0000727	LOC5565705|XP_021713193.1|AAEG	LOC6499347|XP_001954818.2|DANA
OG0000728	LOC5573065|XP_021693529.1|AAEG	LOC6501967|XP_001966781.1|DANA, LOC6499993|XP_014766306.2|DANA
OG0000729	LOC5568367|XP_001658021.2|AAEG	LOC26515185|XP_014760940.1|DANA, LOC6505592|XP_001964634.3|DANA
OG0000730	LOC5570667|XP_001659264.1|AAEG	LOC6493111|XP_001957066.1|DANA, LOC6498126|XP_001962132.2|DANA
OG0000731	LOC5579031|XP_001664210.1|AAEG	LOC6507706|XP_032310233.1|DANA, LOC6494004|XP_032305981.1|DANA
OG0000732	LOC5572199|XP_001653865.1|AAEG	LOC6506572|XP_001957619.1|DANA, LOC6506573|XP_001957618.1|DANA
OG0000733	LOC5575492|XP_001662013.1|AAEG	LOC6501182|XP_001954710.1|DANA, LOC6506611|XP_001957547.1|DANA
OG0000734	LOC5578486|XP_021699525.1|AAEG	LOC6503179|XP_001963592.1|DANA, LOC6507038|XP_032310189.1|DANA
OG0000735	LOC5573851|XP_001654878.1|AAEG	LOC6503641|XP_001964015.1|DANA, LOC6505433|XP_001964901.1|DANA
OG0000736	LOC5568814|XP_001658180.2|AAEG	LOC6497225|XP_001962524.1|DANA, LOC6497226|XP_001962523.2|DANA
OG0000738	LOC5577544|XP_001656560.1|AAEG	LOC6497393|XP_001962176.1|DANA, LOC6497826|XP_001961529.1|DANA
OG0000739	LOC5575848|XP_001662256.1|AAEG	LOC6499959|XP_001953557.3|DANA, LOC6499956|XP_001953560.1|DANA
OG0000740	LOC5568948|XP_021703190.1|AAEG	LOC116655353|XP_032309000.1|DANA, LOC26514706|XP_032308998.1|DANA
OG0000740	LOC5572569|XP_001654085.2|AAEG	LOC6501177|XP_032308561.1|DANA
OG0000741	LOC23687536|XP_021705281.1|AAEG	LOC6502028|XP_032311969.1|DANA
OG0000742	LOC5570003|XP_021705592.1|AAEG	LOC6498762|XP_001967255.1|DANA, LOC6498763|XP_001967254.2|DANA
OG0000743	LOC5574874|XP_001655398.1|AAEG, LOC110681160|XP_021712620.1|AAEG	LOC6507084|XP_032310269.1|DANA, LOC6494428|XP_001960341.1|DANA
OG0000744	LOC5565206|XP_001649565.2|AAEG, LOC5565220|XP_001649576.2|AAEG	LOC6496618|XP_001961274.3|DANA
OG0000745	LOC5578669|XP_001657064.2|AAEG	LOC6495061|XP_001959146.1|DANA, LOC6496609|XP_001961251.1|DANA
OG0000746	LOC110679049|XP_021708670.1|AAEG, LOC5569724|XP_001652949.1|AAEG	LOC6496492|XP_001961010.1|DANA
OG0000753	LOC5574701|XP_021698366.1|AAEG	LOC6500734|XP_001953812.1|DANA, LOC6506222|XP_001958318.1|DANA
OG0000754	LOC23687751|XP_021706737.1|AAEG	LOC6504422|XP_014759463.1|DANA, LOC6502050|XP_001967147.2|DANA, LOC116656434|XP_032311924.1|DANA
OG0000755	LOC5578924|XP_001657210.3|AAEG	LOC26514073|XP_032312069.1|DANA, LOC6500378|XP_001953087.1|DANA
OG0000756	LOC5576731|XP_001656241.1|AAEG	LOC6500669|XP_001953690.1|DANA
OG0000756	LOC5576736|XP_001656242.2|AAEG	LOC6500670|XP_001953691.1|DANA
OG0000757	LOC5573994|XP_001661080.1|AAEG	LOC6492998|XP_001956828.1|DANA
OG0000758	LOC5573302|XP_021698645.1|AAEG	LOC6493089|XP_014764209.1|DANA, LOC6493088|XP_001957018.1|DANA
OG0000759	LOC5567691|XP_001651852.3|AAEG	LOC6507541|XP_001955883.3|DANA, LOC6507540|XP_001955882.2|DANA
OG0000761	LOC5569446|XP_021702395.1|AAEG	LOC6496921|XP_014761432.1|DANA, LOC6498601|XP_001963138.2|DANA
OG0000762	LOC5569068|XP_001658297.1|AAEG	LOC6498036|XP_001961942.1|DANA, LOC6503303|XP_001967574.1|DANA
OG0000763	LOC5568174|XP_021703903.1|AAEG	LOC6506819|XP_001965255.1|DANA, LOC6506808|XP_001965254.1|DANA
OG0000764	LOC5567685|XP_021708653.1|AAEG	LOC6500851|XP_014766760.1|DANA, LOC6504254|XP_032308873.1|DANA
OG0000765	LOC5576262|XP_001656034.2|AAEG	LOC6507661|XP_001956095.1|DANA, LOC6503696|XP_032308471.1|DANA
OG0000766	LOC5571467|XP_001659718.2|AAEG	LOC6504762|XP_001964849.1|DANA, LOC6503864|XP_001963741.1|DANA
OG0000767	LOC5568661|XP_021705791.1|AAEG	LOC6498840|XP_001955833.2|DANA, LOC6506348|XP_001958055.1|DANA
OG0000768	LOC5577816|XP_001663586.1|AAEG	LOC6492926|XP_001956664.1|DANA
OG0000769	LOC5572989|XP_021706132.1|AAEG	LOC6500057|XP_001953306.1|DANA, LOC6504386|XP_001967068.1|DANA
OG0000770	LOC5579099|XP_001657293.2|AAEG, LOC110680759|XP_021712238.1|AAEG, LOC5579095|XP_001657289.2|AAEG, LOC5579094|XP_001657288.2|AAEG	LOC6495760|XP_001959516.1|DANA
OG0000771	LOC5565457|XP_001649766.2|AAEG	LOC6493130|XP_014764227.1|DANA, LOC6493131|XP_001957110.1|DANA
OG0000778	LOC5572380|XP_021694486.1|AAEG	LOC6493326|XP_001957529.1|DANA, LOC6502732|XP_032310545.1|DANA
OG0000779	LOC5576071|XP_001662401.2|AAEG, LOC5576070|XP_001662400.2|AAEG, LOC5567791|XP_021712201.1|AAEG, LOC5569560|XP_001658622.2|AAEG, LOC5564166|XP_001648508.2|AAEG	LOC6505084|XP_001965500.2|DANA
OG0000780	LOC5564012|XP_001648334.2|AAEG, LOC5564011|XP_021697098.1|AAEG	LOC6496620|XP_001961277.1|DANA
OG0000781	LOC5576472|XP_021700484.1|AAEG	LOC6502133|XP_001966148.2|DANA, LOC6506100|XP_001958552.1|DANA
OG0000782	LOC5565070|XP_001649412.1|AAEG	LOC6507135|XP_001956608.1|DANA, LOC6502168|XP_001966093.1|DANA
OG0000783	LOC5565051|XP_001649399.1|AAEG	LOC6507131|XP_001956616.1|DANA, LOC6503710|XP_001963883.1|DANA
