Orthogroup	AAEG.longest_only	DBIA.longest_only
OG0000736	LOC5568814|XP_001658180.2|AAEG	LOC108027663|XP_016954691.1|DBIA, LOC108027662|XP_016954690.1|DBIA
OG0000737	LOC5573076|XP_021702138.1|AAEG	LOC108026062|XP_016952246.1|DBIA
OG0000738	LOC5577544|XP_001656560.1|AAEG	LOC108036739|XP_016968537.1|DBIA, LOC108032452|XP_016961767.1|DBIA
OG0000739	LOC5575848|XP_001662256.1|AAEG	LOC108031098|XP_016959797.1|DBIA, LOC108032103|XP_016961421.1|DBIA
OG0000740	LOC5568948|XP_021703190.1|AAEG	LOC108034609|XP_016965460.1|DBIA
OG0000740	LOC5572569|XP_001654085.2|AAEG	LOC108031622|XP_016960716.1|DBIA
OG0000741	LOC23687536|XP_021705281.1|AAEG	LOC108025774|XP_016951861.1|DBIA, LOC108023204|XP_016947959.1|DBIA
OG0000742	LOC5570003|XP_021705592.1|AAEG	LOC108027567|XP_016954543.1|DBIA, LOC108027568|XP_016954546.1|DBIA
OG0000743	LOC5574874|XP_001655398.1|AAEG, LOC110681160|XP_021712620.1|AAEG	LOC108029604|XP_016957473.1|DBIA, LOC108022318|XP_016946666.1|DBIA, LOC108022141|XP_016946472.1|DBIA
OG0000744	LOC5565206|XP_001649565.2|AAEG, LOC5565220|XP_001649576.2|AAEG	LOC108036599|XP_016968348.1|DBIA
OG0000745	LOC5578669|XP_001657064.2|AAEG	LOC108022305|XP_016946654.1|DBIA, LOC108036358|XP_016967925.1|DBIA
OG0000746	LOC110679049|XP_021708670.1|AAEG, LOC5569724|XP_001652949.1|AAEG	LOC108026954|XP_016953656.1|DBIA, LOC108029399|XP_016957118.1|DBIA, LOC108029792|XP_016957794.1|DBIA
OG0000753	LOC5574701|XP_021698366.1|AAEG	LOC108027421|XP_016954354.1|DBIA, LOC108028458|XP_016955804.1|DBIA
OG0000754	LOC23687751|XP_021706737.1|AAEG	LOC108033179|XP_016962907.1|DBIA, LOC108025623|XP_016951647.1|DBIA
OG0000755	LOC5578924|XP_001657210.3|AAEG	LOC108032125|XP_016961446.1|DBIA, LOC108031065|XP_016959759.1|DBIA
OG0000756	LOC5576731|XP_001656241.1|AAEG	LOC108026053|XP_016952236.1|DBIA
OG0000756	LOC5576736|XP_001656242.2|AAEG	LOC108026065|XP_016952249.1|DBIA
OG0000757	LOC5573994|XP_001661080.1|AAEG	LOC108035695|XP_016966903.1|DBIA
OG0000758	LOC5573302|XP_021698645.1|AAEG	LOC108035675|XP_016966872.1|DBIA, LOC108035594|XP_016966756.1|DBIA
OG0000759	LOC5567691|XP_001651852.3|AAEG	LOC108035597|XP_016966762.1|DBIA, LOC108035598|XP_016966763.1|DBIA
OG0000761	LOC5569446|XP_021702395.1|AAEG	LOC108034138|XP_016964417.1|DBIA, LOC108034210|XP_016964533.1|DBIA
OG0000762	LOC5569068|XP_001658297.1|AAEG	LOC108036149|XP_016967625.1|DBIA, LOC108028919|XP_016956427.1|DBIA
OG0000763	LOC5568174|XP_021703903.1|AAEG	LOC108034359|XP_016964736.1|DBIA, LOC108033353|XP_016963152.1|DBIA
OG0000764	LOC5567685|XP_021708653.1|AAEG	LOC108031376|XP_016960212.1|DBIA, LOC108025767|XP_016951851.1|DBIA
OG0000765	LOC5576262|XP_001656034.2|AAEG	LOC108028454|XP_016955791.1|DBIA, LOC108023523|XP_016948565.1|DBIA
OG0000766	LOC5571467|XP_001659718.2|AAEG	LOC108032442|XP_016961756.1|DBIA, LOC108023738|XP_016948865.1|DBIA
OG0000767	LOC5568661|XP_021705791.1|AAEG	LOC108036673|XP_016946133.1|DBIA, LOC108030915|XP_016959594.1|DBIA
OG0000768	LOC5577816|XP_001663586.1|AAEG	LOC108028723|XP_016956173.1|DBIA
OG0000769	LOC5572989|XP_021706132.1|AAEG	LOC108026044|XP_016952228.1|DBIA, LOC108027588|XP_016954594.1|DBIA
OG0000770	LOC5579099|XP_001657293.2|AAEG, LOC110680759|XP_021712238.1|AAEG, LOC5579095|XP_001657289.2|AAEG, LOC5579094|XP_001657288.2|AAEG	LOC108022680|XP_016947240.1|DBIA
OG0000771	LOC5565457|XP_001649766.2|AAEG	LOC108035495|XP_016966637.1|DBIA, LOC108035494|XP_016966636.1|DBIA
OG0000778	LOC5572380|XP_021694486.1|AAEG	LOC108028478|XP_016955829.1|DBIA, LOC108031447|XP_016960372.1|DBIA
OG0000779	LOC5576071|XP_001662401.2|AAEG, LOC5576070|XP_001662400.2|AAEG, LOC5567791|XP_021712201.1|AAEG, LOC5569560|XP_001658622.2|AAEG, LOC5564166|XP_001648508.2|AAEG	LOC108033144|XP_016962855.1|DBIA
OG0000780	LOC5564012|XP_001648334.2|AAEG, LOC5564011|XP_021697098.1|AAEG	LOC108036440|XP_016968067.1|DBIA
OG0000781	LOC5576472|XP_021700484.1|AAEG	LOC108033115|XP_016962808.1|DBIA, LOC108030739|XP_016959275.1|DBIA
OG0000782	LOC5565070|XP_001649412.1|AAEG	LOC108035092|XP_016966002.1|DBIA, LOC108036484|XP_016968163.1|DBIA
OG0000783	LOC5565051|XP_001649399.1|AAEG	LOC108035514|XP_016966666.1|DBIA, LOC108023666|XP_016948777.1|DBIA
OG0000784	LOC5566654|XP_001651019.1|AAEG	LOC108034664|XP_016965092.1|DBIA, LOC108023493|XP_016948510.1|DBIA
OG0000785	LOC5567616|XP_021713394.1|AAEG	LOC108025060|XP_016950806.1|DBIA, LOC108024774|XP_016950376.1|DBIA
OG0000786	LOC5575790|XP_021693483.1|AAEG	LOC108027163|XP_016953912.1|DBIA
OG0000787	LOC5574159|XP_001655068.1|AAEG	LOC108034920|XP_016965664.1|DBIA, LOC108024415|XP_016949819.1|DBIA
OG0000788	LOC5575938|XP_021699162.1|AAEG	LOC108033866|XP_016963998.1|DBIA, LOC108028513|XP_016955884.1|DBIA
OG0000789	LOC5570933|XP_001659405.2|AAEG	LOC108033319|XP_016963086.1|DBIA, LOC108033318|XP_016963085.1|DBIA
OG0000790	LOC5572784|XP_001654187.2|AAEG	LOC108036835|XP_016968671.1|DBIA, LOC108036834|XP_016968670.1|DBIA
OG0000791	LOC5577917|XP_021702814.1|AAEG	LOC108025364|XP_016951312.1|DBIA, LOC108026284|XP_016952639.1|DBIA
OG0000792	LOC110675237|XP_021695378.1|AAEG	LOC108027946|XP_016955064.1|DBIA, LOC108027945|XP_016955063.1|DBIA
OG0000793	LOC5570063|XP_001653054.1|AAEG	LOC108031540|XP_016960566.1|DBIA, LOC108023431|XP_016948407.1|DBIA
OG0000794	LOC5578434|XP_001656949.2|AAEG, LOC5578484|XP_001656950.2|AAEG, LOC5578432|XP_021705735.1|AAEG	LOC108027802|XP_016954870.1|DBIA, LOC108023334|XP_016948150.1|DBIA
OG0000795	LOC5568843|XP_001652571.1|AAEG	LOC108025744|XP_016951821.1|DBIA, LOC108025147|XP_016950912.1|DBIA
OG0000796	LOC5568998|XP_021709572.1|AAEG	LOC108031143|XP_016959846.1|DBIA, LOC108025835|XP_016951982.1|DBIA
OG0000797	LOC5571755|XP_001653781.1|AAEG	LOC108024609|XP_016950117.1|DBIA, LOC108024608|XP_016950115.1|DBIA
OG0000798	LOC5573757|XP_021708658.1|AAEG	LOC108029669|XP_016957594.1|DBIA, LOC108029646|XP_016957545.1|DBIA
OG0000799	LOC5575386|XP_001655738.1|AAEG	LOC108031195|XP_016959905.1|DBIA, LOC108023502|XP_016948526.1|DBIA
OG0000800	LOC5563996|XP_021707646.1|AAEG	LOC108028026|XP_016955151.1|DBIA
OG0000801	LOC5568707|XP_001652531.1|AAEG	LOC108022339|XP_016946690.1|DBIA, LOC108022806|XP_016947429.1|DBIA
OG0000802	LOC5567358|XP_001657370.2|AAEG	LOC108033222|XP_016962975.1|DBIA, LOC108033034|XP_016962649.1|DBIA
OG0000810	LOC5578919|XP_001657205.2|AAEG	LOC108030287|XP_016958607.1|DBIA, LOC108030286|XP_016958605.1|DBIA, LOC108030430|XP_016958806.1|DBIA
OG0000811	LOC5566120|XP_001650490.2|AAEG	LOC108024956|XP_016950679.1|DBIA, LOC108036336|XP_016967866.1|DBIA
OG0000812	LOC5568127|XP_021696627.1|AAEG	LOC108032985|XP_016962551.1|DBIA, LOC108030494|XP_016958872.1|DBIA
OG0000813	LOC5576046|XP_001662369.1|AAEG	LOC108029232|XP_016956915.1|DBIA
OG0000814	LOC5567710|XP_001651876.1|AAEG	LOC108033733|XP_016963777.1|DBIA
OG0000815	LOC5564950|XP_021701900.1|AAEG, LOC5575209|XP_021701902.1|AAEG, LOC5575211|XP_001661846.2|AAEG	LOC108029237|XP_016956920.1|DBIA
OG0000816	LOC5564019|XP_021702806.1|AAEG	LOC108025951|XP_016952138.1|DBIA, LOC108027246|XP_016954087.1|DBIA
OG0000817	LOC5579022|XP_001664202.1|AAEG	LOC108025082|XP_016950830.1|DBIA, LOC108025081|XP_016950829.1|DBIA
OG0000818	LOC5576102|XP_001662447.1|AAEG	LOC108023739|XP_016948866.1|DBIA, LOC108033682|XP_016963637.1|DBIA
OG0000819	LOC5568992|XP_021707431.1|AAEG	LOC108023181|XP_016947912.1|DBIA, LOC108023746|XP_016948873.1|DBIA
OG0000820	LOC5579797|XP_021706989.1|AAEG	LOC108024118|XP_016949387.1|DBIA, LOC108036674|XP_016968445.1|DBIA
OG0000821	LOC5573067|XP_001654398.2|AAEG	LOC108023050|XP_016947786.1|DBIA, LOC108023119|XP_016947875.1|DBIA
OG0000822	LOC5573841|XP_001654866.1|AAEG	LOC108034700|XP_016965130.1|DBIA, LOC108036136|XP_016967611.1|DBIA
OG0000830	LOC5566467|XP_001650849.1|AAEG, LOC5566468|XP_001650850.1|AAEG, LOC5566471|XP_001650855.1|AAEG, LOC5566470|XP_001650852.2|AAEG	LOC108025903|XP_016952075.1|DBIA
OG0000831	LOC5578573|XP_001663963.2|AAEG, LOC5574451|XP_001661466.2|AAEG, LOC5571091|XP_001659531.1|AAEG	LOC108034924|XP_016965669.1|DBIA
OG0000832	LOC5575640|XP_001655787.1|AAEG	LOC108036537|XP_016968250.1|DBIA, LOC108033940|XP_016964113.1|DBIA
OG0000833	LOC5572312|XP_001654001.2|AAEG	LOC108035942|XP_016967227.1|DBIA
OG0000834	LOC5578133|XP_021696267.1|AAEG	LOC108025122|XP_016950877.1|DBIA
OG0000836	LOC5571557|XP_001659779.1|AAEG	LOC108033338|XP_016963113.1|DBIA, LOC108034206|XP_016964527.1|DBIA
OG0000837	LOC110681194|XP_021712664.1|AAEG	LOC108026768|XP_016953401.1|DBIA
OG0000837	LOC5564880|XP_021710587.1|AAEG	LOC108021962|XP_016946283.1|DBIA
OG0000838	LOC5571070|XP_001659510.2|AAEG	LOC108034357|XP_016964733.1|DBIA, LOC108033381|XP_016963190.1|DBIA
OG0000839	LOC5567590|XP_021704529.1|AAEG	LOC108027201|XP_016953997.1|DBIA, LOC108030966|XP_016959655.1|DBIA
OG0000840	LOC5568658|XP_021705463.1|AAEG	LOC108029605|XP_016957468.1|DBIA, LOC108022027|XP_016946362.1|DBIA
OG0000842	LOC5565224|XP_001649557.2|AAEG	LOC108029795|XP_016957798.1|DBIA, LOC108031707|XP_016960861.1|DBIA
OG0000843	LOC5575084|XP_001661802.1|AAEG	LOC108026772|XP_016953405.1|DBIA
OG0000844	LOC5568444|XP_021706258.1|AAEG	LOC108026789|XP_016953439.1|DBIA, LOC108027182|XP_016953971.1|DBIA
OG0000854	LOC5575256|XP_021694868.1|AAEG	LOC108034803|XP_016965362.1|DBIA, LOC108034482|XP_016964917.1|DBIA
OG0000855	LOC5564916|XP_001649261.1|AAEG	LOC108023617|XP_016948712.1|DBIA, LOC108031321|XP_016960056.1|DBIA
OG0000856	LOC5569202|XP_021699577.1|AAEG	LOC108025655|XP_016951682.1|DBIA, LOC108030887|XP_016959542.1|DBIA
OG0000857	LOC5568410|XP_021706344.1|AAEG, LOC5568408|XP_001658060.1|AAEG, LOC5572935|XP_001660658.2|AAEG, LOC110681143|XP_021712605.1|AAEG	LOC108027617|XP_016954627.1|DBIA
OG0000858	LOC5563593|XP_001647843.2|AAEG, LOC5563570|XP_021693065.1|AAEG	LOC108024920|XP_016950618.1|DBIA, LOC108025444|XP_016951433.1|DBIA
OG0000860	LOC23687882|XP_021695499.1|AAEG	LOC108028350|XP_016955593.1|DBIA, LOC108035212|XP_016966212.1|DBIA
OG0000861	LOC5579974|XP_021697396.1|AAEG	LOC108022326|XP_016946676.1|DBIA
OG0000862	LOC5578595|XP_021697871.1|AAEG	LOC108022781|XP_016947383.1|DBIA, LOC108033848|XP_016963971.1|DBIA
OG0000863	LOC5569153|XP_021712379.1|AAEG, LOC5579040|XP_001664217.2|AAEG	LOC108032081|XP_016961394.1|DBIA, LOC108031572|XP_016960618.1|DBIA
OG0000864	LOC5574382|XP_021700100.1|AAEG	LOC108032431|XP_016961741.1|DBIA, LOC108036375|XP_016967966.1|DBIA
OG0000865	LOC110676550|XP_021700543.1|AAEG	LOC108024549|XP_016950017.1|DBIA
OG0000866	LOC5565764|XP_021700881.1|AAEG	LOC108027889|XP_016954996.1|DBIA, LOC108027801|XP_016954867.1|DBIA
OG0000867	LOC5566526|XP_001650903.1|AAEG	LOC108028994|XP_016956525.1|DBIA, LOC108033664|XP_016963592.1|DBIA
OG0000868	LOC5575799|XP_001662225.1|AAEG	LOC108025924|XP_016952104.1|DBIA
OG0000869	LOC110679428|XP_021709657.1|AAEG	LOC108027241|XP_016954081.1|DBIA
OG0000871	LOC5563912|XP_021709764.1|AAEG	LOC108030336|XP_016958688.1|DBIA
OG0000872	LOC5579795|XP_001648107.1|AAEG	LOC108026733|XP_016953335.1|DBIA
OG0000873	LOC5570660|XP_021705398.1|AAEG, LOC5578723|XP_021705681.1|AAEG, LOC5574699|XP_021710974.1|AAEG	LOC108030805|XP_016959388.1|DBIA
OG0000874	LOC5568583|XP_021711564.1|AAEG	LOC108021941|XP_016946257.1|DBIA, LOC108036511|XP_016968202.1|DBIA
OG0000875	LOC5569144|XP_021704184.1|AAEG	LOC108028672|XP_016956093.1|DBIA
OG0000882	LOC5574255|XP_001661310.1|AAEG	LOC108033194|XP_016962927.1|DBIA
OG0000883	LOC5572260|XP_021706275.1|AAEG, LOC5577890|XP_001663596.2|AAEG, LOC5576983|XP_001663083.2|AAEG, LOC110681455|XP_021712908.1|AAEG, LOC5564732|XP_001649072.2|AAEG	LOC108023924|XP_016949098.1|DBIA
OG0000884	LOC5578384|XP_021707387.1|AAEG	LOC108027723|XP_016954765.1|DBIA, LOC108033082|XP_016962741.1|DBIA
OG0000885	LOC5576671|XP_021712970.1|AAEG, LOC5576669|XP_001662811.1|AAEG, LOC5576675|XP_001662810.2|AAEG, LOC5576677|XP_001662809.2|AAEG, LOC5576673|XP_001662808.1|AAEG	LOC108031805|XP_016961014.1|DBIA
OG0000887	LOC5574709|XP_021697236.1|AAEG, LOC110675781|XP_021697241.1|AAEG, LOC5574710|XP_001661611.2|AAEG, LOC5564321|XP_001648679.1|AAEG	LOC108025607|XP_016951631.1|DBIA
OG0000888	LOC5577573|XP_021697247.1|AAEG	LOC108029387|XP_016957107.1|DBIA
OG0000889	LOC5565345|XP_001649691.2|AAEG, LOC5569614|XP_001652895.2|AAEG, LOC5569613|XP_001652894.2|AAEG, LOC5569626|XP_001652896.2|AAEG, LOC5569611|XP_001652892.2|AAEG, LOC5569610|XP_001652891.1|AAEG, LOC5569609|XP_001652890.1|AAEG	LOC108030753|XP_016959289.1|DBIA
OG0000890	LOC5572876|XP_001660628.1|AAEG	LOC108026855|XP_016953523.1|DBIA
OG0000891	LOC5571677|XP_021701172.1|AAEG	LOC108032583|XP_016961976.1|DBIA, LOC108033990|XP_016964204.1|DBIA
OG0000892	LOC5573804|XP_001661052.1|AAEG	LOC108027964|XP_016955077.1|DBIA, LOC108028343|XP_016955584.1|DBIA
OG0000893	LOC5577455|XP_021710131.1|AAEG, LOC110679543|XP_021710135.1|AAEG	LOC108027010|XP_016953697.1|DBIA
OG0000894	LOC5572954|XP_001654283.2|AAEG	LOC108027393|XP_016954318.1|DBIA
OG0000895	LOC5578431|XP_021704726.1|AAEG	LOC108036594|XP_016968343.1|DBIA
OG0000907	LOC5569936|XP_001658828.2|AAEG	LOC108026771|XP_016953404.1|DBIA
OG0000909	LOC5580100|XP_001654851.1|AAEG	LOC108024413|XP_016949817.1|DBIA
OG0000910	LOC5570090|XP_021696583.1|AAEG	LOC108036100|XP_016967559.1|DBIA, LOC108031801|XP_016961010.1|DBIA
OG0000911	LOC5568878|XP_021698401.1|AAEG	LOC108023061|XP_016947797.1|DBIA
OG0000912	LOC5569590|XP_001652874.1|AAEG	LOC108030517|XP_016958895.1|DBIA
OG0000913	LOC5572905|XP_021699829.1|AAEG	LOC108030589|XP_016959050.1|DBIA
OG0000914	LOC5565692|XP_001650041.1|AAEG, LOC5577609|XP_001656603.1|AAEG, LOC5577610|XP_001656604.1|AAEG, LOC5577605|XP_001656599.2|AAEG, LOC5577607|XP_001656601.2|AAEG	LOC108022208|XP_016946551.1|DBIA
OG0000915	LOC110675850|XP_021697446.1|AAEG, LOC110681284|XP_021712741.1|AAEG	LOC108036285|XP_016967785.1|DBIA, LOC108021942|XP_016946258.1|DBIA
OG0000916	LOC5563777|XP_021702027.1|AAEG	LOC108036094|XP_016967534.1|DBIA
OG0000917	LOC5567991|XP_021703538.1|AAEG	LOC108032529|XP_016961877.1|DBIA
OG0000918	LOC5565834|XP_021703643.1|AAEG	LOC108032861|XP_016962354.1|DBIA, LOC108027669|XP_016954703.1|DBIA
OG0000920	LOC5567191|XP_021707974.1|AAEG, LOC5567193|XP_021707701.1|AAEG, LOC5567194|XP_001651623.2|AAEG, LOC5571093|XP_021706131.1|AAEG	LOC108033176|XP_016962902.1|DBIA
OG0000921	LOC23687653|XP_021704447.1|AAEG, LOC110677691|XP_021704448.1|AAEG	LOC108023465|XP_016948470.1|DBIA, LOC108023469|XP_016948475.1|DBIA
OG0000922	LOC5573598|XP_001654732.1|AAEG	LOC108034389|XP_016964760.1|DBIA, LOC108035163|XP_016966108.1|DBIA
OG0000923	LOC5564768|XP_001649141.1|AAEG	LOC108028090|XP_016955223.1|DBIA, LOC108031671|XP_016960800.1|DBIA
OG0000924	LOC5574190|XP_021707483.1|AAEG	LOC108034936|XP_016965734.1|DBIA
OG0000925	LOC5564141|XP_001648436.1|AAEG	LOC108025092|XP_016950843.1|DBIA, LOC108025088|XP_016950838.1|DBIA
OG0000935	LOC5570105|XP_021693271.1|AAEG	LOC108024492|XP_016949915.1|DBIA
OG0000936	LOC5574975|XP_001655445.1|AAEG	LOC108023944|XP_016949121.1|DBIA
OG0000937	LOC5577955|XP_021703650.1|AAEG, LOC5577953|XP_021703600.1|AAEG	LOC108025470|XP_016951462.1|DBIA
OG0000938	LOC23687618|XP_011493218.1|AAEG	LOC108022327|XP_016946677.1|DBIA, LOC108026675|XP_016953240.1|DBIA
OG0000939	LOC5575294|XP_001655660.2|AAEG	LOC108033849|XP_016963972.1|DBIA, LOC108036720|XP_016968510.1|DBIA
OG0000940	LOC5568539|XP_001652369.2|AAEG	LOC108021992|XP_016946321.1|DBIA, LOC108031095|XP_016959796.1|DBIA
OG0000941	LOC5568465|XP_001652294.1|AAEG	LOC108025168|XP_016950935.1|DBIA, LOC108023734|XP_016948861.1|DBIA
OG0000942	LOC5575951|XP_021697898.1|AAEG	LOC108028254|XP_016955428.1|DBIA
OG0000944	LOC5564895|XP_021698610.1|AAEG	LOC108024028|XP_016949284.1|DBIA, LOC108032445|XP_016961759.1|DBIA
OG0000945	LOC5567118|XP_001651535.2|AAEG	LOC108029172|XP_016956812.1|DBIA, LOC108029257|XP_016956945.1|DBIA
OG0000946	LOC5563808|XP_001648088.2|AAEG, LOC5563807|XP_021701297.1|AAEG	LOC108036735|XP_016968529.1|DBIA
OG0000947	LOC5573138|XP_001660754.1|AAEG, LOC5573170|XP_021703267.1|AAEG, LOC5573169|XP_001660785.1|AAEG	LOC108026655|XP_016953181.1|DBIA
OG0000948	LOC5570305|XP_001653129.2|AAEG	LOC108035440|XP_016966563.1|DBIA
OG0000949	LOC5577433|XP_021706252.1|AAEG	LOC108032497|XP_016961846.1|DBIA
OG0000950	LOC5570062|XP_021710514.1|AAEG	LOC108027072|XP_016953775.1|DBIA
OG0000951	LOC5567383|XP_001651784.1|AAEG	LOC108027414|XP_016954341.1|DBIA
OG0000963	LOC5578882|XP_001664091.2|AAEG, LOC5565507|XP_001649836.2|AAEG	LOC108035825|XP_016967064.1|DBIA
OG0000964	LOC5570125|XP_021694878.1|AAEG, LOC5572710|XP_001660530.2|AAEG, LOC110679470|XP_021709836.1|AAEG	LOC108035768|XP_016966961.1|DBIA, LOC108022663|XP_016947219.1|DBIA
OG0000965	LOC5580119|XP_021699182.1|AAEG, LOC110674016|XP_021711922.1|AAEG	LOC108023687|XP_016948797.1|DBIA
OG0000966	LOC5564065|XP_001648396.2|AAEG	LOC108029326|XP_016957010.1|DBIA, LOC108025117|XP_016950871.1|DBIA
OG0000968	LOC5565995|XP_021697516.1|AAEG, LOC5574905|XP_021697282.1|AAEG	LOC108035402|XP_016966511.1|DBIA
OG0000969	LOC5572867|XP_001660626.1|AAEG	LOC108022171|XP_016946505.1|DBIA, LOC108025129|XP_016950886.1|DBIA
OG0000970	LOC5577323|XP_001656398.1|AAEG, LOC5578971|XP_001664152.2|AAEG	LOC108026396|XP_016952808.1|DBIA
OG0000971	LOC5574512|XP_021701876.1|AAEG	LOC108035276|XP_016966329.1|DBIA, LOC108034965|XP_016965767.1|DBIA
OG0000972	LOC5570688|XP_001659285.2|AAEG	LOC108028304|XP_016955515.1|DBIA, LOC108023245|XP_016948013.1|DBIA
OG0000973	LOC5566318|XP_001650701.1|AAEG, LOC110677834|XP_021705147.1|AAEG, LOC5576015|XP_021712722.1|AAEG	LOC108025685|XP_016951709.1|DBIA
OG0000974	LOC5563607|XP_021706393.1|AAEG, LOC5563653|XP_001647877.2|AAEG	LOC108034728|XP_016965156.1|DBIA
OG0000975	LOC5567322|XP_021711286.1|AAEG	LOC108024728|XP_016950310.1|DBIA
OG0000977	LOC5572481|XP_001660429.2|AAEG	LOC108032003|XP_016961288.1|DBIA
OG0000978	LOC5570996|XP_001653423.1|AAEG	LOC108036251|XP_016967749.1|DBIA, LOC108024518|XP_016949958.1|DBIA
OG0000988	LOC5574742|XP_021708813.1|AAEG	LOC108034136|XP_016964414.1|DBIA
OG0000990	LOC5573413|XP_001654587.1|AAEG	LOC108024263|XP_016949639.1|DBIA
OG0000991	LOC110676690|XP_021701229.1|AAEG	LOC108033083|XP_016962746.1|DBIA
OG0000992	LOC110680585|XP_021712076.1|AAEG, LOC5574605|XP_001655224.2|AAEG	LOC108036245|XP_016967742.1|DBIA, LOC108024866|XP_016950497.1|DBIA
OG0000993	LOC5568340|XP_001657995.2|AAEG	LOC108025362|XP_016951311.1|DBIA, LOC108025013|XP_016950757.1|DBIA
OG0000994	LOC5565293|XP_021693612.1|AAEG	LOC108033218|XP_016962970.1|DBIA
OG0000995	LOC5570516|XP_001659204.1|AAEG	LOC108033495|XP_016963323.1|DBIA
OG0000996	LOC5570524|XP_001659180.1|AAEG	LOC108030191|XP_016958431.1|DBIA
OG0000997	LOC5572107|XP_021699025.1|AAEG	LOC108036898|XP_016968767.1|DBIA, LOC108029851|XP_016957829.1|DBIA
OG0000998	LOC5574213|XP_021699075.1|AAEG, LOC5574214|XP_021699069.1|AAEG	LOC108027963|XP_016955080.1|DBIA
OG0000999	LOC5569582|XP_011492944.1|AAEG	LOC108022270|XP_016946617.1|DBIA, LOC108023695|XP_016948808.1|DBIA
OG0001000	LOC5565618|XP_021700536.1|AAEG	LOC108022035|XP_016946370.1|DBIA
OG0001001	LOC5574039|XP_021712731.1|AAEG, LOC5570957|XP_021701483.1|AAEG, LOC5568887|XP_021701482.1|AAEG	LOC108026741|XP_016953350.1|DBIA
OG0001002	LOC5572439|XP_021702436.1|AAEG, LOC5572427|XP_001660379.1|AAEG, LOC5572436|XP_021702424.1|AAEG, LOC110676920|XP_021702428.1|AAEG	LOC108034190|XP_016964501.1|DBIA
OG0001003	LOC5573879|XP_001654917.1|AAEG	LOC108036864|XP_016968729.1|DBIA, LOC108029597|XP_016957458.1|DBIA
OG0001004	LOC5577327|XP_001656404.1|AAEG	LOC108027003|XP_016953691.1|DBIA, LOC108031123|XP_016959824.1|DBIA
OG0001005	LOC5574438|XP_001661452.2|AAEG	LOC108033263|XP_016963019.1|DBIA, LOC108023450|XP_016948430.1|DBIA
OG0001006	LOC5577478|XP_001656504.1|AAEG	LOC108031212|XP_016959936.1|DBIA, LOC108030675|XP_016959192.1|DBIA
OG0001007	LOC5579111|XP_021709409.1|AAEG, LOC110680228|XP_021711736.1|AAEG	LOC108026951|XP_016953653.1|DBIA, LOC108028678|XP_016956107.1|DBIA
OG0001008	LOC5569738|XP_001652964.1|AAEG	LOC108024457|XP_016949863.1|DBIA, LOC108025611|XP_016951635.1|DBIA
OG0001019	LOC23687425|XP_021696098.1|AAEG, LOC5570400|XP_021694766.1|AAEG	LOC108025031|XP_016950776.1|DBIA
OG0001020	LOC5571386|XP_001659667.2|AAEG, LOC5571385|XP_021694971.1|AAEG, LOC5571381|XP_021694972.1|AAEG	LOC108027548|XP_016954498.1|DBIA
OG0001021	LOC5569206|XP_021698876.1|AAEG	LOC108034022|XP_016964246.1|DBIA
OG0001022	LOC5564053|XP_001648383.1|AAEG	LOC108031309|XP_016960043.1|DBIA, LOC108025890|XP_016952057.1|DBIA
OG0001024	LOC5563729|XP_001648014.1|AAEG, LOC5572673|XP_001660495.2|AAEG	LOC108025335|XP_016951253.1|DBIA
OG0001025	LOC5566344|XP_021696749.1|AAEG	LOC108035492|XP_016966632.1|DBIA, LOC108034440|XP_016964814.1|DBIA
OG0001026	LOC5563943|XP_021698255.1|AAEG, LOC110675339|XP_021695627.1|AAEG	LOC108029578|XP_016957429.1|DBIA
OG0001027	LOC5572532|XP_021698700.1|AAEG, LOC5572539|XP_001654056.2|AAEG, LOC5572530|XP_021698692.1|AAEG	LOC108035934|XP_016967212.1|DBIA
OG0001028	LOC5578865|XP_021699358.1|AAEG, LOC5578864|XP_001664073.1|AAEG, LOC5566028|XP_001650394.1|AAEG	LOC108029018|XP_016956552.1|DBIA
OG0001029	LOC110675155|XP_021695234.1|AAEG, LOC110678123|XP_021706417.1|AAEG	LOC108036516|XP_016968211.1|DBIA
OG0001031	LOC5564557|XP_021702651.1|AAEG	LOC108025776|XP_016951916.1|DBIA, LOC108035855|XP_016967089.1|DBIA, LOC108021917|XP_016946233.1|DBIA, LOC108035588|XP_016966751.1|DBIA
OG0001032	LOC5568797|XP_021703170.1|AAEG	LOC108027376|XP_016954296.1|DBIA
OG0001033	LOC5572990|XP_021705665.1|AAEG	LOC108027962|XP_016955076.1|DBIA, LOC108023754|XP_016948880.1|DBIA
OG0001042	LOC5569920|XP_021695787.1|AAEG, LOC5569919|XP_021695812.1|AAEG, LOC5569917|XP_001658816.2|AAEG	LOC108025420|XP_016951392.1|DBIA
OG0001043	LOC5580112|XP_001655052.2|AAEG, LOC5580113|XP_001655051.2|AAEG	LOC108024013|XP_016949261.1|DBIA
OG0001044	LOC5574123|XP_001661192.2|AAEG, LOC5574477|XP_021699627.1|AAEG	LOC108036671|XP_016968442.1|DBIA
OG0001045	LOC5569642|XP_001658665.2|AAEG, LOC5569640|XP_001658664.2|AAEG, LOC5573336|XP_021693470.1|AAEG	LOC108030415|XP_016958789.1|DBIA
OG0001046	LOC5572371|XP_001660329.1|AAEG	LOC108022771|XP_016947368.1|DBIA, LOC108022770|XP_016947367.1|DBIA
