Orthogroup	AAEG.longest_only	DMIR.longest_only
OG0000275	LOC110678179|XP_021706494.1|AAEG	LOC108155793|XP_033244453.1|DMIR
OG0000279	LOC110676788|XP_021701651.1|AAEG, LOC5567804|XP_001657687.1|AAEG	LOC108152584|XP_017137517.1|DMIR, LOC117186680|XP_033243620.1|DMIR, LOC117186678|XP_033243615.1|DMIR, LOC108152585|XP_017137518.2|DMIR, LOC117192828|XP_033253483.1|DMIR, LOC117186679|XP_033243617.1|DMIR
OG0000280	LOC5570515|XP_021696423.1|AAEG	LOC108151165|XP_017135084.1|DMIR, LOC108151166|XP_017135085.1|DMIR, LOC108151164|XP_017135083.1|DMIR
OG0000281	LOC5568297|XP_001652174.1|AAEG	LOC108151701|XP_017135944.1|DMIR, LOC108165119|XP_033241899.1|DMIR, LOC108161621|XP_017151411.1|DMIR
OG0000282	LOC5563657|XP_001647874.3|AAEG, LOC5563649|XP_001647875.1|AAEG	LOC108151838|XP_033242686.1|DMIR
OG0000283	LOC5579518|XP_021693660.1|AAEG	LOC108158203|XP_017145915.1|DMIR
OG0000283	LOC5571996|XP_001660100.2|AAEG, LOC23687435|XP_011492937.1|AAEG	LOC108157047|XP_017144352.1|DMIR
OG0000284	LOC5572937|XP_021702540.1|AAEG	LOC108163992|XP_017155050.1|DMIR
OG0000284	LOC5566816|XP_021702545.1|AAEG	LOC108163893|XP_017154901.1|DMIR
OG0000285	LOC5574682|XP_001661591.1|AAEG, LOC5574675|XP_001661590.1|AAEG	LOC117191103|XP_033251957.1|DMIR, LOC108158465|XP_017146245.1|DMIR
OG0000292	LOC5574023|XP_001661118.2|AAEG	LOC108159781|XP_017148830.1|DMIR
OG0000292	LOC5579014|XP_001664194.1|AAEG, LOC5579015|XP_001664195.2|AAEG, LOC5570295|XP_001659064.2|AAEG	LOC108151616|XP_017135802.1|DMIR
OG0000293	LOC5578272|XP_001663800.2|AAEG	LOC108156517|XP_017143511.1|DMIR, LOC108164007|XP_017155070.2|DMIR
OG0000294	LOC5574639|XP_021699869.1|AAEG	LOC108161670|XP_017151464.1|DMIR
OG0000294	LOC5564339|XP_021710357.1|AAEG	LOC108156392|XP_033251250.1|DMIR
OG0000295	LOC5563871|XP_001648185.1|AAEG	LOC117189989|XP_033250965.1|DMIR, LOC108160763|XP_017150451.1|DMIR, LOC108153975|XP_017139561.2|DMIR
OG0000296	LOC5567537|XP_001657532.1|AAEG	LOC108162304|XP_017152461.1|DMIR, LOC108152099|XP_017136639.1|DMIR, LOC108156710|XP_017143851.1|DMIR
OG0000299	LOC5568916|XP_021693426.1|AAEG	LOC108156548|XP_017143555.1|DMIR, LOC108157076|XP_017144401.1|DMIR, LOC108157078|XP_033244438.1|DMIR
OG0000300	LOC5573857|XP_001654888.2|AAEG, LOC5573852|XP_021701278.1|AAEG, LOC5573856|XP_001654887.2|AAEG	LOC108150753|XP_017134535.1|DMIR, LOC108165338|XP_017156861.1|DMIR, LOC108150752|XP_017134534.1|DMIR
OG0000301	LOC5573698|XP_001661017.2|AAEG	LOC108164510|XP_017155780.1|DMIR
OG0000301	LOC5573926|XP_021703364.1|AAEG	LOC108163241|XP_017153893.1|DMIR
OG0000302	LOC5564942|XP_001649281.2|AAEG, LOC5564943|XP_001649279.2|AAEG, LOC5564934|XP_001649277.2|AAEG	LOC108152257|XP_017136955.1|DMIR, LOC108152258|XP_017136956.1|DMIR
OG0000303	LOC5570147|XP_001658948.1|AAEG	LOC108150856|XP_017134648.1|DMIR, LOC117192266|XP_033252816.1|DMIR, LOC108162383|XP_017152589.1|DMIR
OG0000304	LOC5578546|XP_001663937.2|AAEG	LOC108163311|XP_017154023.1|DMIR, LOC108163587|XP_017154453.1|DMIR, LOC108154781|XP_017140656.1|DMIR, LOC108154782|XP_017140657.1|DMIR
OG0000306	LOC5564400|XP_021700130.1|AAEG	LOC117191814|XP_033252468.1|DMIR, LOC108159378|XP_017148095.1|DMIR, LOC108153322|XP_017138730.1|DMIR
OG0000307	LOC5579157|XP_001664252.1|AAEG	LOC117187161|XP_033245138.1|DMIR, LOC117185911|XP_033245140.1|DMIR, LOC117187162|XP_033245144.1|DMIR, LOC117187163|XP_033245145.1|DMIR, LOC117187431|XP_033245982.1|DMIR, LOC117187159|XP_033245134.1|DMIR, LOC108155797|XP_033245124.1|DMIR
OG0000307	LOC5570245|XP_021713081.1|AAEG	LOC108155584|XP_017141979.1|DMIR
OG0000311	LOC5568685|XP_021703015.1|AAEG	LOC108156694|XP_017143826.2|DMIR, LOC108154193|XP_017139898.1|DMIR, LOC108158976|XP_017147311.1|DMIR
OG0000312	LOC110677026|XP_021703144.1|AAEG	LOC108163577|XP_033249056.1|DMIR
OG0000312	LOC5568798|XP_021703147.1|AAEG, LOC5568795|XP_021703150.1|AAEG	LOC108164058|XP_017155126.1|DMIR
OG0000313	LOC23687880|XP_011493088.2|AAEG, LOC23687871|XP_021703472.1|AAEG	LOC108162090|XP_033249311.1|DMIR, LOC108163596|XP_033249805.1|DMIR, LOC108163597|XP_033249765.1|DMIR, LOC108163732|XP_017154678.1|DMIR
OG0000314	LOC5570863|XP_021703791.1|AAEG	LOC108163016|XP_033248883.1|DMIR, LOC108162880|XP_033248880.1|DMIR
OG0000315	LOC5567901|XP_001651940.1|AAEG, LOC5567900|XP_021710624.1|AAEG	LOC108163636|XP_017154534.1|DMIR
OG0000320	LOC110675562|XP_021696575.1|AAEG, LOC5570092|XP_001653079.2|AAEG, LOC5577406|XP_001656487.1|AAEG	LOC108155884|XP_017142509.1|DMIR, LOC108161455|XP_017151206.1|DMIR, LOC108157794|XP_017145478.1|DMIR
OG0000321	LOC5565074|XP_021707666.1|AAEG, LOC5573490|XP_001660908.1|AAEG, LOC5573497|XP_001660907.2|AAEG, LOC5573491|XP_001660906.2|AAEG	LOC108162503|XP_033250000.1|DMIR, LOC108162504|XP_017152768.1|DMIR
OG0000322	LOC5574431|XP_001661445.1|AAEG	LOC108152355|XP_017137115.1|DMIR, LOC108157042|XP_017144350.1|DMIR
OG0000323	LOC5570571|XP_001653239.1|AAEG	LOC108162173|XP_017152255.1|DMIR, LOC108157250|XP_017144715.1|DMIR, LOC108157251|XP_017144716.1|DMIR
OG0000324	LOC5579105|XP_021705724.1|AAEG	LOC117191147|XP_033252003.1|DMIR, LOC117191148|XP_033252004.1|DMIR, LOC117191153|XP_033252011.1|DMIR, LOC117191149|XP_033252005.1|DMIR, LOC117191157|XP_033252015.1|DMIR, LOC117191145|XP_033252001.1|DMIR, LOC117191150|XP_033252008.1|DMIR, LOC117191144|XP_033251999.1|DMIR, LOC117191645|XP_033252344.1|DMIR, LOC117191161|XP_033252018.1|DMIR, LOC117191139|XP_033251993.1|DMIR, LOC117191652|XP_033252350.1|DMIR, LOC117191133|XP_033251985.1|DMIR, LOC117191135|XP_033251987.1|DMIR, LOC117191126|XP_033251979.1|DMIR, LOC117191146|XP_033252002.1|DMIR, LOC117191131|XP_033251983.1|DMIR, LOC117190751|XP_033251704.1|DMIR, LOC117191653|XP_033252351.1|DMIR, LOC117191140|XP_033251994.1|DMIR, LOC117191136|XP_033251988.1|DMIR, LOC117191644|XP_033252343.1|DMIR, LOC117191647|XP_033252345.1|DMIR, LOC117191138|XP_033251992.1|DMIR, LOC117191129|XP_033251982.1|DMIR, LOC117191127|XP_033251980.1|DMIR, LOC117191122|XP_033251975.1|DMIR, LOC117187764|XP_033246469.1|DMIR, LOC117191117|XP_033251968.1|DMIR, LOC117191651|XP_033252349.1|DMIR, LOC117191132|XP_033251984.1|DMIR, LOC117191650|XP_033252347.1|DMIR, LOC117191142|XP_033251996.1|DMIR, LOC117191154|XP_033252012.1|DMIR, LOC117191155|XP_033252013.1|DMIR, LOC117191152|XP_033252010.1|DMIR, LOC117191159|XP_033252017.1|DMIR, LOC117191143|XP_033251998.1|DMIR, LOC117191654|XP_033252352.1|DMIR, LOC117191158|XP_033252016.1|DMIR, LOC117191125|XP_033251976.1|DMIR, LOC117191121|XP_033251974.1|DMIR, LOC117191120|XP_033251971.1|DMIR, LOC117191118|XP_033251969.1|DMIR, LOC117191119|XP_033251970.1|DMIR, LOC108158946|XP_017147258.2|DMIR, LOC117188145|XP_033247429.1|DMIR
OG0000325	LOC5564107|XP_001648468.1|AAEG, LOC5564111|XP_001648469.1|AAEG, LOC5567878|XP_001651911.2|AAEG, LOC5567879|XP_001651912.2|AAEG	LOC108152056|XP_017136549.1|DMIR, LOC108152057|XP_017136551.1|DMIR
OG0000331	LOC110681173|XP_021712637.1|AAEG, LOC5578713|XP_021707823.1|AAEG	LOC108162578|XP_017152880.1|DMIR, LOC108162576|XP_017152874.2|DMIR, LOC117185724|XP_017152878.2|DMIR, LOC108162574|XP_017152867.1|DMIR, LOC108162577|XP_033248544.1|DMIR, LOC108162575|XP_033248541.1|DMIR, LOC108162573|XP_017152865.2|DMIR
OG0000332	LOC5571218|XP_001659599.2|AAEG	LOC108154931|XP_017140898.1|DMIR
OG0000332	LOC5574395|XP_001655100.1|AAEG, LOC5568345|XP_021710678.1|AAEG	LOC108155061|XP_033247517.1|DMIR
OG0000333	LOC5573678|XP_021698199.1|AAEG	LOC108152973|XP_017138188.1|DMIR, LOC108152972|XP_017138184.1|DMIR
OG0000334	LOC23687404|XP_011493026.1|AAEG	LOC117186323|XP_033242842.1|DMIR, LOC117191291|XP_033252090.1|DMIR, LOC108159190|XP_017147734.1|DMIR
OG0000335	LOC5574493|XP_001655155.1|AAEG, LOC5572424|XP_001660370.1|AAEG	LOC108161600|XP_017151376.1|DMIR, LOC108164304|XP_033249914.1|DMIR
OG0000338	LOC110675820|XP_021697366.1|AAEG	LOC108153019|XP_017138255.1|DMIR
OG0000338	LOC5578234|XP_021696668.1|AAEG	LOC108159926|XP_017149057.2|DMIR, LOC117185755|XP_033247238.1|DMIR
OG0000339	LOC110675727|XP_021697128.1|AAEG, LOC110675726|XP_021697127.1|AAEG	LOC108151311|XP_017135339.1|DMIR, LOC108153743|XP_017139361.1|DMIR, LOC108153729|XP_017139347.1|DMIR, LOC108150887|XP_017134685.1|DMIR, LOC108150890|XP_017134689.1|DMIR, LOC108153728|XP_017139345.1|DMIR, LOC108153741|XP_017139360.1|DMIR
OG0000340	LOC5578444|XP_001656965.1|AAEG	LOC117194323|XP_033254784.1|DMIR, LOC117194848|XP_033255210.1|DMIR, LOC117194647|XP_033255054.1|DMIR, LOC117190576|XP_033251523.1|DMIR, LOC117194325|XP_033254786.1|DMIR, LOC117194490|XP_033254939.1|DMIR, LOC117189638|XP_033250648.1|DMIR, LOC117194438|XP_033254897.1|DMIR, LOC117190570|XP_033251518.1|DMIR, LOC117191725|XP_033252402.1|DMIR, LOC117191100|XP_033251954.1|DMIR, LOC117195133|XP_033255676.1|DMIR, LOC117194433|XP_033254890.1|DMIR, LOC117191727|XP_033252405.1|DMIR, LOC117193148|XP_033253768.1|DMIR, LOC117194465|XP_033254919.1|DMIR, LOC117194501|XP_033254945.1|DMIR, LOC117190575|XP_033251522.1|DMIR, LOC117194439|XP_033254898.1|DMIR, LOC117194611|XP_033255033.1|DMIR, LOC117194326|XP_033254787.1|DMIR, LOC117194440|XP_033254900.1|DMIR, LOC117194441|XP_033254901.1|DMIR, LOC117194442|XP_033254902.1|DMIR, LOC117190573|XP_033251521.1|DMIR, LOC117194648|XP_033255055.1|DMIR, LOC117190577|XP_033251525.1|DMIR, LOC117195148|XP_033255687.1|DMIR, LOC117193809|XP_033254414.1|DMIR, LOC117191724|XP_033252401.1|DMIR, LOC117190571|XP_033251520.1|DMIR, LOC117194850|XP_033255212.1|DMIR, LOC117195149|XP_033255688.1|DMIR, LOC117194489|XP_033254938.1|DMIR, LOC117195166|XP_033255696.1|DMIR, LOC117194364|XP_033254827.1|DMIR, LOC117193149|XP_033253769.1|DMIR, LOC117190569|XP_033251517.1|DMIR, LOC117189636|XP_033250646.1|DMIR, LOC117194435|XP_033254896.1|DMIR, LOC117189637|XP_033250647.1|DMIR, LOC117191726|XP_033252404.1|DMIR, LOC117193414|XP_033254056.1|DMIR, LOC117194646|XP_033255053.1|DMIR, LOC117189640|XP_033250651.1|DMIR, LOC108159780|XP_017148829.2|DMIR, LOC117187970|XP_033246897.1|DMIR
OG0000342	LOC5567100|XP_001651498.1|AAEG	LOC108163960|XP_017155000.1|DMIR, LOC108153306|XP_017138706.1|DMIR, LOC108158235|XP_017145956.1|DMIR
OG0000343	LOC5567772|XP_001657673.2|AAEG	LOC108155775|XP_017142323.1|DMIR
OG0000343	LOC5567773|XP_001657674.2|AAEG, LOC5567770|XP_001657671.1|AAEG	LOC108154366|XP_017140120.1|DMIR
OG0000344	LOC5575730|XP_001662165.1|AAEG, LOC5575728|XP_021713110.1|AAEG, LOC5575729|XP_021713111.1|AAEG	LOC108159576|XP_017148509.1|DMIR, LOC108155393|XP_017141666.1|DMIR
OG0000345	LOC5573483|XP_021696026.1|AAEG	LOC117193057|XP_033253681.1|DMIR, LOC108159911|XP_017149032.1|DMIR
OG0000345	LOC5570369|XP_021712626.1|AAEG, LOC5570368|XP_001659085.2|AAEG, LOC110681148|XP_021712608.1|AAEG	LOC108158417|XP_033248151.1|DMIR, LOC117192612|XP_033253220.1|DMIR
OG0000346	LOC5574270|XP_021698952.1|AAEG	LOC117191074|XP_033251934.1|DMIR, LOC108158475|XP_017146268.1|DMIR
OG0000347	LOC5568488|XP_021701773.1|AAEG	LOC108161768|XP_017151591.1|DMIR
OG0000348	LOC5572802|XP_021702685.1|AAEG	LOC108162283|XP_017152431.2|DMIR, LOC108163481|XP_017154277.1|DMIR
OG0000349	LOC5567301|XP_001651734.2|AAEG	LOC108162746|XP_017153112.1|DMIR, LOC117185993|XP_033241910.1|DMIR, LOC117185991|XP_033241906.1|DMIR, LOC117186000|XP_033241922.1|DMIR, LOC117185999|XP_033241921.1|DMIR, LOC117185998|XP_033241919.1|DMIR, LOC117185996|XP_033241914.1|DMIR, LOC117185995|XP_033241913.1|DMIR, LOC117185994|XP_033241911.1|DMIR, LOC117185997|XP_033241918.1|DMIR, LOC117185990|XP_033241905.1|DMIR, LOC117185992|XP_033241908.1|DMIR, LOC117186001|XP_033241923.1|DMIR, LOC117186004|XP_033241928.1|DMIR, LOC117186002|XP_033241925.1|DMIR, LOC117186003|XP_033241927.1|DMIR, LOC108165003|XP_033241903.1|DMIR, LOC108155699|XP_017142209.2|DMIR, LOC117186006|XP_033241930.1|DMIR, LOC117186005|XP_033241929.1|DMIR, LOC117189036|XP_033249813.1|DMIR, LOC108161148|XP_033249510.1|DMIR, LOC117188894|XP_033249331.1|DMIR, LOC117188895|XP_033249334.1|DMIR, LOC108163101|XP_017153678.1|DMIR, LOC117186007|XP_033241931.1|DMIR, LOC117194190|XP_033254738.1|DMIR, LOC117188893|XP_033249327.1|DMIR, LOC108163098|XP_033248519.1|DMIR
OG0000351	LOC5569262|XP_001658407.1|AAEG, LOC5568831|XP_001658197.2|AAEG, LOC5569260|XP_021712585.1|AAEG, LOC5564699|XP_001649042.2|AAEG	LOC108159766|XP_017148814.1|DMIR, LOC117192964|XP_033253577.1|DMIR, LOC108159768|XP_017148816.1|DMIR
OG0000353	LOC5564379|XP_001648723.1|AAEG	LOC108155801|XP_017142371.1|DMIR
OG0000353	LOC5577723|XP_001656676.1|AAEG	LOC108162840|XP_017153270.1|DMIR
OG0000355	LOC5567698|XP_021699785.1|AAEG, LOC5567699|XP_021699787.1|AAEG	LOC108158852|XP_017147065.1|DMIR, LOC108158706|XP_017146735.1|DMIR, LOC108158708|XP_017146737.1|DMIR
OG0000356	LOC5565896|XP_001650274.2|AAEG, LOC5575669|XP_001662128.2|AAEG	LOC108161706|XP_017151513.1|DMIR, LOC108161707|XP_017151516.1|DMIR
OG0000361	LOC5574713|XP_021694717.1|AAEG	LOC108161910|XP_017151802.1|DMIR, LOC108164081|XP_017155155.2|DMIR
OG0000362	LOC5565060|XP_021705306.1|AAEG	LOC108164439|XP_017155629.1|DMIR
OG0000362	LOC5568690|XP_021707623.1|AAEG	LOC108151433|XP_017135517.1|DMIR
OG0000363	LOC5567380|XP_021708774.1|AAEG	LOC108155053|XP_017141122.1|DMIR
OG0000363	LOC5566288|XP_021696532.1|AAEG	LOC108152147|XP_017136746.1|DMIR
OG0000364	LOC5566333|XP_021712565.1|AAEG, LOC5566332|XP_021696722.1|AAEG, LOC5566335|XP_021696726.1|AAEG	LOC108151049|XP_033242186.1|DMIR
OG0000365	LOC5571839|XP_021697172.1|AAEG	LOC108160626|XP_017150234.2|DMIR, LOC117185766|XP_033247459.1|DMIR
OG0000365	LOC5568775|XP_021700717.1|AAEG	LOC108164206|XP_017155325.1|DMIR
OG0000366	LOC5568664|XP_021705763.1|AAEG	LOC108158188|XP_017145911.1|DMIR
OG0000366	LOC5567388|XP_021707665.1|AAEG	LOC108157635|XP_017145265.1|DMIR
OG0000367	LOC5579666|XP_001648122.2|AAEG, LOC5579650|XP_021705459.1|AAEG, LOC5579651|XP_021708583.1|AAEG	LOC108151828|XP_017136186.1|DMIR, LOC108159321|XP_017148001.1|DMIR
OG0000368	LOC5564133|XP_001648461.1|AAEG, LOC5564130|XP_001648458.1|AAEG	LOC108153602|XP_017139182.1|DMIR
OG0000376	LOC5566228|XP_001650616.1|AAEG	LOC108153979|XP_017139567.1|DMIR, LOC108153969|XP_017139558.1|DMIR
OG0000377	LOC5566613|XP_021700697.1|AAEG, LOC5579903|XP_001657883.2|AAEG, LOC5579904|XP_021711596.1|AAEG, LOC5578379|XP_021707368.1|AAEG	LOC108152091|XP_017136629.1|DMIR, LOC108154927|XP_017140878.2|DMIR
OG0000378	LOC5570810|XP_021704356.1|AAEG, LOC5566281|XP_001650659.2|AAEG	LOC117188117|XP_033247349.1|DMIR, LOC108159574|XP_033254204.1|DMIR
OG0000379	LOC5571189|XP_001653515.1|AAEG	LOC117191418|XP_033252182.1|DMIR, LOC108158658|XP_017146644.1|DMIR, LOC117190967|XP_033251846.1|DMIR, LOC108158657|XP_017146642.1|DMIR, LOC108160190|XP_017149513.1|DMIR
OG0000380	LOC5575706|XP_001662150.1|AAEG	LOC108160953|XP_017150733.1|DMIR, LOC117190133|XP_033251106.1|DMIR, LOC108160350|XP_017149801.1|DMIR, LOC108165496|XP_017157042.1|DMIR
OG0000381	LOC5569374|XP_021700452.1|AAEG	LOC108164221|XP_017155343.1|DMIR, LOC108163723|XP_017154662.1|DMIR
OG0000382	LOC5567819|XP_021704185.1|AAEG, LOC5570832|XP_001653339.1|AAEG	LOC108153118|XP_017138395.1|DMIR, LOC117187181|XP_033245186.1|DMIR, LOC108154017|XP_017139599.1|DMIR, LOC117187178|XP_033245182.1|DMIR, LOC108155287|XP_017141492.2|DMIR, LOC117187179|XP_033245183.1|DMIR, LOC117187177|XP_033245181.1|DMIR, LOC117187180|XP_033245185.1|DMIR, LOC117193937|XP_033254492.1|DMIR, LOC108164157|XP_017155254.2|DMIR
OG0000383	LOC5572674|XP_001660494.2|AAEG, LOC5575161|XP_001655538.2|AAEG	LOC108162652|XP_017152974.1|DMIR, LOC108161945|XP_017151870.1|DMIR
OG0000384	LOC5564813|XP_001649162.2|AAEG	LOC117191391|XP_033252165.1|DMIR, LOC108160312|XP_017149722.1|DMIR
OG0000384	LOC110677033|XP_021703202.1|AAEG	LOC108160611|XP_017150214.1|DMIR, LOC117191066|XP_033251923.1|DMIR
OG0000385	LOC5570568|XP_001653236.2|AAEG	LOC108157827|XP_033245501.1|DMIR
OG0000385	LOC5577771|XP_001663546.2|AAEG	LOC108157800|XP_017145485.1|DMIR
OG0000386	LOC23687815|XP_021704948.1|AAEG	LOC108153778|XP_033243910.1|DMIR, LOC108157181|XP_017144593.1|DMIR
OG0000389	LOC5575835|XP_021694446.1|AAEG	LOC108155707|XP_033245171.1|DMIR
OG0000389	LOC5578678|XP_021708389.1|AAEG	LOC108153105|XP_017138379.1|DMIR
OG0000390	LOC5577491|XP_021707307.1|AAEG, LOC5577490|XP_021707306.1|AAEG, LOC110680865|XP_021712346.1|AAEG, LOC5567714|XP_001657626.2|AAEG, LOC5578405|XP_001663870.2|AAEG, LOC5570107|XP_001653082.1|AAEG, LOC5569521|XP_001652831.1|AAEG	LOC117188720|XP_033248889.1|DMIR, LOC108162565|XP_017152852.1|DMIR
OG0000391	LOC5570464|XP_021701402.1|AAEG	LOC117190429|XP_033251401.1|DMIR, LOC108158732|XP_017146825.1|DMIR
OG0000391	LOC23687692|XP_021704615.1|AAEG	LOC108160797|XP_017150503.1|DMIR
OG0000392	LOC5570445|XP_021701887.1|AAEG, LOC5564419|XP_021701877.1|AAEG	LOC108163883|XP_017154887.2|DMIR, LOC108164101|XP_033249493.1|DMIR
OG0000393	LOC110675223|XP_021695341.1|AAEG	LOC108162496|XP_033249836.1|DMIR
OG0000393	LOC5569062|XP_021703018.1|AAEG	LOC108163840|XP_017154842.1|DMIR
OG0000394	LOC5570039|XP_001658928.1|AAEG	LOC108153357|XP_017138816.1|DMIR, LOC108153373|XP_017138836.1|DMIR
OG0000399	LOC5567097|XP_001651486.2|AAEG	LOC108157406|XP_017144941.1|DMIR, LOC108153671|XP_017139274.2|DMIR, LOC108165276|XP_033243088.1|DMIR, LOC108155544|XP_017141912.1|DMIR
OG0000400	LOC5580067|XP_021694881.1|AAEG	LOC108164521|XP_017155800.1|DMIR, LOC108164522|XP_033245941.1|DMIR
OG0000402	LOC5569079|XP_001658308.1|AAEG, LOC5576656|XP_001656196.1|AAEG, LOC5576654|XP_021705495.1|AAEG, LOC5574467|XP_001655129.2|AAEG, LOC5576651|XP_001656193.1|AAEG, LOC5576652|XP_001656194.1|AAEG, LOC5564404|XP_021700208.1|AAEG	LOC108164649|XP_017155990.1|DMIR
OG0000404	LOC5578688|XP_001657086.2|AAEG, LOC5578691|XP_001657089.2|AAEG, LOC5579410|XP_021711070.1|AAEG, LOC5578692|XP_021711033.1|AAEG, LOC5578689|XP_001657087.2|AAEG	LOC108157376|XP_017144894.1|DMIR, LOC108157375|XP_017144892.1|DMIR
OG0000405	LOC5576131|XP_001662477.2|AAEG	LOC108164865|XP_017156289.1|DMIR
OG0000406	LOC5568131|XP_021698131.1|AAEG, LOC5566267|XP_001650660.1|AAEG	LOC108152980|XP_017138196.1|DMIR, LOC108159836|XP_017148915.1|DMIR
OG0000407	LOC5567374|XP_001657389.1|AAEG	LOC108151557|XP_033243525.1|DMIR
OG0000407	LOC5571596|XP_021697332.1|AAEG	LOC108151555|XP_017135710.1|DMIR
OG0000408	LOC5570724|XP_001659317.1|AAEG	LOC108157814|XP_017145501.1|DMIR, LOC108163090|XP_017153665.1|DMIR
OG0000409	LOC5570907|XP_021700630.1|AAEG	LOC117195109|XP_033255654.1|DMIR, LOC108160963|XP_017150747.1|DMIR, LOC108159085|XP_017147529.2|DMIR, LOC117188028|XP_033247062.1|DMIR
OG0000410	LOC5575157|XP_001655534.1|AAEG	LOC108162315|XP_033250069.1|DMIR, LOC117188939|XP_033249482.1|DMIR, LOC108162314|XP_017152483.1|DMIR, LOC108162313|XP_017152481.1|DMIR
OG0000411	LOC5566158|XP_001650539.1|AAEG	LOC108155024|XP_017141068.1|DMIR
OG0000411	LOC5564918|XP_001649286.1|AAEG	LOC108163826|XP_017154803.1|DMIR
OG0000412	LOC5574516|XP_021708166.1|AAEG, LOC5574515|XP_021708169.1|AAEG	LOC117193225|XP_033253868.1|DMIR, LOC108160044|XP_017149277.1|DMIR, LOC117193217|XP_033253859.1|DMIR, LOC108153098|XP_033242182.1|DMIR
OG0000413	LOC5567054|XP_001651429.2|AAEG	LOC108153917|XP_017139502.1|DMIR, LOC108153886|XP_017139475.1|DMIR
OG0000414	LOC23687918|XP_021709829.1|AAEG, LOC5567300|XP_021709833.1|AAEG, LOC5567305|XP_021709831.1|AAEG	LOC108158700|XP_017146724.1|DMIR, LOC117193227|XP_033253871.1|DMIR, LOC108159639|XP_017148593.1|DMIR
OG0000415	LOC5574783|XP_001655340.1|AAEG	LOC108159910|XP_017149030.1|DMIR, LOC117192339|XP_033252877.1|DMIR, LOC117185889|XP_033253948.1|DMIR, LOC108160015|XP_017149237.1|DMIR, LOC117193778|XP_033254398.1|DMIR
OG0000416	LOC5568416|XP_001658068.2|AAEG	LOC108159601|XP_017148548.1|DMIR
OG0000416	LOC5564064|XP_001648376.1|AAEG	LOC108164922|XP_033249217.1|DMIR
OG0000417	LOC5566091|XP_021708981.1|AAEG	LOC108156857|XP_017144073.1|DMIR
OG0000417	LOC5567927|XP_021699404.1|AAEG	LOC108155690|XP_017142152.1|DMIR
OG0000418	LOC5564390|XP_001648753.2|AAEG, LOC5575420|XP_021699880.1|AAEG, LOC5575418|XP_021699898.1|AAEG	LOC108164708|XP_017156084.1|DMIR, LOC108164943|XP_017156420.1|DMIR
OG0000419	LOC5570733|XP_021697362.1|AAEG	LOC117188173|XP_033247510.1|DMIR, LOC108159405|XP_033252973.1|DMIR
OG0000419	LOC110674637|XP_021694407.1|AAEG	LOC108161978|XP_033241968.1|DMIR
OG0000421	LOC5569086|XP_021703057.1|AAEG	LOC108162793|XP_017153182.1|DMIR
OG0000421	LOC5570822|XP_021702186.1|AAEG	LOC108162228|XP_017152338.1|DMIR
OG0000422	LOC5573930|XP_021703369.1|AAEG, LOC110681118|XP_021712577.1|AAEG, LOC110675236|XP_021695377.1|AAEG, LOC5573929|XP_021703368.1|AAEG, LOC5573927|XP_001654963.2|AAEG, LOC5573931|XP_001654967.2|AAEG, LOC5570229|XP_001659008.2|AAEG	LOC108154969|XP_017140972.1|DMIR
OG0000423	LOC5563591|XP_001647935.2|AAEG, LOC5563575|XP_001647937.2|AAEG, LOC5563586|XP_001647936.2|AAEG	LOC108160457|XP_017149962.1|DMIR, LOC108160113|XP_017149394.1|DMIR
OG0000424	LOC23687932|XP_021710750.1|AAEG	LOC108160037|XP_033247441.1|DMIR
OG0000425	LOC5571033|XP_001659462.2|AAEG	LOC108160994|XP_017150789.2|DMIR, LOC117188432|XP_033248202.1|DMIR
OG0000425	LOC5571023|XP_021708459.1|AAEG	LOC117193080|XP_033253699.1|DMIR, LOC108160823|XP_017150543.1|DMIR
OG0000426	LOC5574193|XP_001661250.1|AAEG	LOC108159241|XP_017147854.1|DMIR
OG0000433	LOC5574521|XP_001655172.1|AAEG	LOC108156542|XP_017143542.1|DMIR
OG0000433	LOC5564077|XP_001648404.2|AAEG	LOC108153625|XP_017139217.1|DMIR
OG0000434	LOC5574590|XP_011493595.2|AAEG	LOC108156697|XP_033245001.1|DMIR
OG0000434	LOC5570528|XP_001659208.2|AAEG	LOC117192772|XP_033253409.1|DMIR, LOC117192771|XP_033253408.1|DMIR, LOC117192773|XP_033253411.1|DMIR, LOC117192832|XP_033253484.1|DMIR, LOC117192774|XP_033253413.1|DMIR, LOC117192776|XP_033253417.1|DMIR, LOC108158710|XP_017146739.1|DMIR
OG0000435	LOC5580076|XP_001654832.2|AAEG, LOC5580075|XP_021698638.1|AAEG, LOC5574934|XP_001661737.2|AAEG, LOC5565897|XP_001650275.2|AAEG, LOC5568375|XP_001658029.2|AAEG, LOC5568373|XP_001658027.2|AAEG, LOC5569828|XP_001658735.2|AAEG, LOC5574241|XP_021697225.1|AAEG	LOC108158891|XP_017147205.1|DMIR
OG0000437	LOC5577304|XP_001663334.1|AAEG	LOC108163191|XP_017153821.1|DMIR
OG0000437	LOC5573669|XP_001660991.1|AAEG	LOC108162928|XP_017153398.1|DMIR, LOC117188976|XP_033249646.1|DMIR
OG0000438	LOC5578150|XP_001663721.2|AAEG	LOC108165069|XP_017156606.1|DMIR, LOC108154916|XP_017140864.1|DMIR
OG0000439	LOC5564327|XP_001648654.2|AAEG	LOC108163683|XP_017154597.1|DMIR
