Orthogroup	AAEG.longest_only	DSUB.longest_only
OG0000583	LOC5578117|XP_001656815.1|AAEG	LOC117891055|XP_034652118.1|DSUB, LOC117891598|XP_034653020.1|DSUB
OG0000589	LOC5563768|XP_021695117.1|AAEG	LOC117894262|XP_034657111.1|DSUB
OG0000590	LOC110675318|XP_021695560.1|AAEG, LOC5574244|XP_001661299.1|AAEG	LOC117897370|XP_034662063.1|DSUB
OG0000592	LOC5567565|XP_001657556.2|AAEG	LOC117890975|XP_034652004.1|DSUB, LOC117891576|XP_034652991.1|DSUB
OG0000593	LOC5569992|XP_001658881.1|AAEG, LOC110678504|XP_021707160.1|AAEG	LOC117896778|XP_034661145.1|DSUB, LOC117903075|XP_034670764.1|DSUB
OG0000594	LOC5567423|XP_001657403.1|AAEG	LOC117896295|XP_034660407.1|DSUB, LOC117898096|XP_034663166.1|DSUB
OG0000595	LOC5573372|XP_021712996.1|AAEG	LOC117899688|XP_034665772.1|DSUB, LOC117896796|XP_034661183.1|DSUB
OG0000596	LOC5569242|XP_021713275.1|AAEG	LOC117903345|XP_034671185.1|DSUB, LOC117899582|XP_034665589.1|DSUB
OG0000597	LOC5580165|XP_021692926.1|AAEG	LOC117896050|XP_034659950.1|DSUB, LOC117897082|XP_034661611.1|DSUB
OG0000598	LOC5564380|XP_001648725.1|AAEG, LOC5564382|XP_001648727.1|AAEG, LOC5564381|XP_001648726.1|AAEG	LOC117896003|XP_034659890.1|DSUB
OG0000599	LOC5574457|XP_001661473.2|AAEG, LOC5563655|XP_021709330.1|AAEG	LOC117893545|XP_034656087.1|DSUB
OG0000600	LOC5574458|XP_001661472.1|AAEG	LOC117890088|XP_034650637.1|DSUB, LOC117890940|XP_034651965.1|DSUB
OG0000601	LOC110676327|XP_021699471.1|AAEG	LOC117900886|XP_034667306.1|DSUB, LOC117902109|XP_034669108.1|DSUB
OG0000602	LOC5565773|XP_001650121.1|AAEG	LOC117901788|XP_034668589.1|DSUB, LOC117901833|XP_034668657.1|DSUB
OG0000603	LOC5569072|XP_021703041.1|AAEG	LOC117902791|XP_034670297.1|DSUB
OG0000604	LOC5566987|XP_001651390.1|AAEG	LOC117900813|XP_034667195.1|DSUB, LOC117900814|XP_034667198.1|DSUB
OG0000605	LOC5568178|XP_021703896.1|AAEG, LOC5568172|XP_001652108.2|AAEG, LOC5568173|XP_001652109.1|AAEG, LOC5568169|XP_021703894.1|AAEG, LOC5568164|XP_001652105.2|AAEG	LOC117900080|XP_034666175.1|DSUB
OG0000606	LOC5570005|XP_001658888.1|AAEG	LOC117895970|XP_034659820.1|DSUB
OG0000607	LOC5570154|XP_001658956.1|AAEG	LOC117897649|XP_034662515.1|DSUB, LOC117898354|XP_034663578.1|DSUB
OG0000608	LOC5567031|XP_001651423.1|AAEG	LOC117898179|XP_034663278.1|DSUB, LOC117895953|XP_034659794.1|DSUB
OG0000609	LOC5574870|XP_021709064.1|AAEG	LOC117901148|XP_034667682.1|DSUB, LOC117903710|XP_034671947.1|DSUB
OG0000610	LOC5579045|XP_011493105.1|AAEG	LOC117894067|XP_034656810.1|DSUB, LOC117890436|XP_034651157.1|DSUB
OG0000611	LOC5572224|XP_021705793.1|AAEG	LOC117891655|XP_034653098.1|DSUB, LOC117889862|XP_034650255.1|DSUB
OG0000615	LOC5569196|XP_021699444.1|AAEG	LOC117893503|XP_034656032.1|DSUB, LOC117898117|XP_034663196.1|DSUB
OG0000616	LOC5564988|XP_001649322.2|AAEG	LOC117903577|XP_034671686.1|DSUB
OG0000617	LOC5577523|XP_001656544.2|AAEG, LOC110674002|XP_021711205.1|AAEG	LOC117896190|XP_034660171.1|DSUB, LOC117899355|XP_034665218.1|DSUB
OG0000618	LOC5566485|XP_001650875.1|AAEG	LOC117893094|XP_034655415.1|DSUB
OG0000619	LOC5566457|XP_001650838.1|AAEG	LOC117892470|XP_034654614.1|DSUB
OG0000620	LOC5570947|XP_001653412.2|AAEG	LOC117903415|XP_034671321.1|DSUB, LOC117894480|XP_034657473.1|DSUB
OG0000621	LOC5568436|XP_001652269.1|AAEG	LOC117896275|XP_034660368.1|DSUB, LOC117900158|XP_034666293.1|DSUB, LOC117903506|XP_034671478.1|DSUB
OG0000622	LOC5569846|XP_021696307.1|AAEG	LOC117894660|XP_034657725.1|DSUB, LOC117894157|XP_034656945.1|DSUB
OG0000623	LOC5572347|XP_001660306.2|AAEG	LOC117894704|XP_034657778.1|DSUB, LOC117895609|XP_034659248.1|DSUB
OG0000624	LOC5569174|XP_001658351.2|AAEG	LOC117891637|XP_034653074.1|DSUB, LOC117891636|XP_034653073.1|DSUB
OG0000625	LOC5564078|XP_021698835.1|AAEG	LOC117895500|XP_034659087.1|DSUB, LOC117895518|XP_034659113.1|DSUB
OG0000626	LOC5569119|XP_001652722.1|AAEG	LOC117890396|XP_034651091.1|DSUB, LOC117889978|XP_034650450.1|DSUB
OG0000627	LOC5564979|XP_001649333.2|AAEG	LOC117894438|XP_034657395.1|DSUB, LOC117901467|XP_034668124.1|DSUB
OG0000628	LOC5565869|XP_001650228.1|AAEG	LOC117901964|XP_034668835.1|DSUB, LOC117901746|XP_034668524.1|DSUB
OG0000629	LOC5580315|XP_001663037.1|AAEG	LOC117898001|XP_034663020.1|DSUB, LOC117902665|XP_034670086.1|DSUB
OG0000630	LOC5575168|XP_021702281.1|AAEG	LOC117900872|XP_034667287.1|DSUB, LOC117901539|XP_034668220.1|DSUB
OG0000631	LOC5569442|XP_021702401.1|AAEG	LOC117900289|XP_034666492.1|DSUB, LOC117900867|XP_034667283.1|DSUB
OG0000632	LOC5573892|XP_021703330.1|AAEG	LOC117900773|XP_034667145.1|DSUB, LOC117902747|XP_034670224.1|DSUB
OG0000634	LOC5569647|XP_001652909.2|AAEG	LOC117891797|XP_034653366.1|DSUB, LOC117890154|XP_034650736.1|DSUB
OG0000635	LOC5572315|XP_001654005.2|AAEG	LOC117891291|XP_034652575.1|DSUB, LOC117894878|XP_034658036.1|DSUB
OG0000636	LOC5578295|XP_001656875.1|AAEG	LOC117900468|XP_034666739.1|DSUB, LOC117900626|XP_034666946.1|DSUB
OG0000637	LOC5564774|XP_021704609.1|AAEG	LOC117890544|XP_034651363.1|DSUB, LOC117902569|XP_034669910.1|DSUB
OG0000638	LOC5573827|XP_021706608.1|AAEG	LOC117898033|XP_034663063.1|DSUB, LOC117900568|XP_034666870.1|DSUB
OG0000639	LOC5567245|XP_021710885.1|AAEG	LOC117895870|XP_034659736.1|DSUB
OG0000646	LOC110674862|XP_021695067.1|AAEG	LOC117896640|XP_034660977.1|DSUB, LOC117897928|XP_034662904.1|DSUB
OG0000647	LOC5579005|XP_021694209.1|AAEG	LOC117898247|XP_034663383.1|DSUB, LOC117898818|XP_034664375.1|DSUB
OG0000648	LOC5570655|XP_021706985.1|AAEG	LOC117899608|XP_034665632.1|DSUB
OG0000649	LOC5571800|XP_001659930.2|AAEG	LOC117895061|XP_034658335.1|DSUB, LOC117895051|XP_034658324.1|DSUB
OG0000650	LOC5573407|XP_001654581.2|AAEG	LOC117897037|XP_034661509.1|DSUB
OG0000651	LOC5565048|XP_001649404.1|AAEG	LOC117894146|XP_034656931.1|DSUB, LOC117892973|XP_034655204.1|DSUB
OG0000652	LOC5573370|XP_001660865.1|AAEG	LOC117891840|XP_034653481.1|DSUB, LOC117902185|XP_034669254.1|DSUB
OG0000653	LOC5576350|XP_021693310.1|AAEG, LOC5576348|XP_001656086.1|AAEG, LOC5576346|XP_001656087.2|AAEG	LOC117898588|XP_034664023.1|DSUB, LOC117898585|XP_034664020.1|DSUB, LOC117898396|XP_034663645.1|DSUB
OG0000654	LOC5568292|XP_021697103.1|AAEG	LOC117894074|XP_034656821.1|DSUB
OG0000655	LOC5575242|XP_001655652.1|AAEG	LOC117892334|XP_034654377.1|DSUB
OG0000656	LOC5574633|XP_001661549.2|AAEG	LOC117899271|XP_034665060.1|DSUB, LOC117899272|XP_034665061.1|DSUB
OG0000657	LOC5580250|XP_001662649.1|AAEG	LOC117893634|XP_034656211.1|DSUB, LOC117902372|XP_034669579.1|DSUB
OG0000658	LOC5578313|XP_001656889.1|AAEG	LOC117903395|XP_034671272.1|DSUB, LOC117898052|XP_034663104.1|DSUB
OG0000659	LOC5576865|XP_001662960.1|AAEG	LOC117902690|XP_034670123.1|DSUB, LOC117901765|XP_034668546.1|DSUB
OG0000660	LOC5565850|XP_001650194.1|AAEG	LOC117901555|XP_034668243.1|DSUB, LOC117900614|XP_034666929.1|DSUB, LOC117900616|XP_034666931.1|DSUB, LOC117900615|XP_034666930.1|DSUB, LOC117891191|XP_034652418.1|DSUB, LOC117900617|XP_034666932.1|DSUB
OG0000661	LOC5567335|XP_001651759.1|AAEG	LOC117893297|XP_034655763.1|DSUB, LOC117902430|XP_034669689.1|DSUB
OG0000662	LOC5568430|XP_001652258.1|AAEG	LOC117894923|XP_034658118.1|DSUB, LOC117890277|XP_034650932.1|DSUB
OG0000663	LOC5568431|XP_001652261.2|AAEG	LOC117891955|XP_034653705.1|DSUB
OG0000664	LOC5572517|XP_001660456.1|AAEG	LOC117889821|XP_034650195.1|DSUB
OG0000665	LOC5575634|XP_001655779.1|AAEG, LOC110681162|XP_021712622.1|AAEG	LOC117898714|XP_034664222.1|DSUB
OG0000666	LOC5567515|XP_021710706.1|AAEG	LOC117891175|XP_034652390.1|DSUB, LOC117903299|XP_034671122.1|DSUB
OG0000667	LOC5564165|XP_021705035.1|AAEG	LOC117903132|XP_034670855.1|DSUB, LOC117899787|XP_034665953.1|DSUB
OG0000668	LOC5573885|XP_001654923.1|AAEG	LOC117897948|XP_034662939.1|DSUB, LOC117896787|XP_034661175.1|DSUB
OG0000669	LOC5563963|XP_021710654.1|AAEG	LOC117903590|XP_034671706.1|DSUB, LOC117903581|XP_034671695.1|DSUB
OG0000670	LOC110680765|XP_021712244.1|AAEG, LOC5572992|XP_001654319.1|AAEG	LOC117900946|XP_034667445.1|DSUB, LOC117903175|XP_034670911.1|DSUB
OG0000671	LOC5572082|XP_001660161.1|AAEG	LOC117897063|XP_034661550.1|DSUB, LOC117897411|XP_034662129.1|DSUB
OG0000672	LOC5568965|XP_001652618.1|AAEG	LOC117889669|XP_034650023.1|DSUB, LOC117898434|XP_034663721.1|DSUB
OG0000673	LOC5564117|XP_001648452.3|AAEG	LOC117898979|XP_034664614.1|DSUB, LOC117895431|XP_034658972.1|DSUB
OG0000677	LOC110674775|XP_021694756.1|AAEG	LOC117893382|XP_034655868.1|DSUB, LOC117889597|XP_034649899.1|DSUB
OG0000678	LOC5573033|XP_001654349.2|AAEG	LOC117899128|XP_034664811.1|DSUB, LOC117900971|XP_034667446.1|DSUB
OG0000679	LOC5572891|XP_001654245.2|AAEG, LOC5572888|XP_001654244.1|AAEG, LOC5576067|XP_021713213.1|AAEG, LOC5568749|XP_001658126.1|AAEG, LOC5568745|XP_001658124.1|AAEG, LOC5568746|XP_021698051.1|AAEG, LOC5568744|XP_021698049.1|AAEG	LOC117903892|XP_034672285.1|DSUB
OG0000680	LOC5570450|XP_021696861.1|AAEG	LOC117899189|XP_034664946.1|DSUB, LOC117891385|XP_034652721.1|DSUB
OG0000681	LOC5571511|XP_021704098.1|AAEG	LOC117896218|XP_034660243.1|DSUB, LOC117897629|XP_034662530.1|DSUB
OG0000683	LOC5567780|XP_021712292.1|AAEG, LOC5567781|XP_001657682.1|AAEG, LOC5567779|XP_001657680.2|AAEG, LOC5565951|XP_021693916.1|AAEG	LOC117897028|XP_034661496.1|DSUB
OG0000684	LOC110681498|XP_021713031.1|AAEG, LOC5572598|XP_021711785.1|AAEG	LOC117898170|XP_034663270.1|DSUB, LOC117899045|XP_034664695.1|DSUB
OG0000685	LOC5565927|XP_001650303.1|AAEG	LOC117894778|XP_034657898.1|DSUB, LOC117899509|XP_034665451.1|DSUB
OG0000686	LOC5573238|XP_001660815.1|AAEG	LOC117890065|XP_034650595.1|DSUB, LOC117903733|XP_034671978.1|DSUB
OG0000687	LOC5571869|XP_001659976.1|AAEG, LOC110681189|XP_021712657.1|AAEG	LOC117895596|XP_034659237.1|DSUB
OG0000688	LOC5579438|XP_021697177.1|AAEG	LOC117890077|XP_034650622.1|DSUB
OG0000689	LOC5575898|XP_001655893.1|AAEG	LOC117891198|XP_034652425.1|DSUB, LOC117891197|XP_034652423.1|DSUB
OG0000690	LOC5563622|XP_001647922.2|AAEG, LOC5576180|XP_001655977.1|AAEG, LOC5563613|XP_001647923.1|AAEG, LOC5563595|XP_001647921.1|AAEG	LOC117902659|XP_034670082.1|DSUB
OG0000691	LOC5577893|XP_001663600.1|AAEG	LOC117902416|XP_034669658.1|DSUB, LOC117893852|XP_034656511.1|DSUB
OG0000692	LOC5577134|XP_021699126.1|AAEG	LOC117894808|XP_034657933.1|DSUB, LOC117894810|XP_034657936.1|DSUB
OG0000693	LOC110676378|XP_021699721.1|AAEG	LOC117900110|XP_034666228.1|DSUB, LOC117896746|XP_034661103.1|DSUB
OG0000694	LOC5569581|XP_001658647.1|AAEG	LOC117898165|XP_034663269.1|DSUB, LOC117893367|XP_034655851.1|DSUB
OG0000695	LOC110675169|XP_021695251.1|AAEG, LOC5575443|XP_021700367.1|AAEG	LOC117902352|XP_034669554.1|DSUB, LOC117902351|XP_034669553.1|DSUB
OG0000696	LOC5570960|XP_001659424.1|AAEG	LOC117902820|XP_034670337.1|DSUB
OG0000697	LOC5569502|XP_001658586.1|AAEG	LOC117903803|XP_034672129.1|DSUB, LOC117901739|XP_034668516.1|DSUB
OG0000698	LOC5572825|XP_001654210.2|AAEG	LOC117900365|XP_034666604.1|DSUB, LOC117901857|XP_034668702.1|DSUB
OG0000699	LOC5572903|XP_021702732.1|AAEG	LOC117900964|XP_034667430.1|DSUB, LOC117898332|XP_034663546.1|DSUB
OG0000700	LOC5572373|XP_021695335.1|AAEG	LOC117901425|XP_034668053.1|DSUB, LOC117901655|XP_034668384.1|DSUB
OG0000701	LOC5572067|XP_001653834.1|AAEG	LOC117890426|XP_034651137.1|DSUB, LOC117895351|XP_034658827.1|DSUB
OG0000702	LOC5576021|XP_021711648.1|AAEG	LOC117898915|XP_034664514.1|DSUB, LOC117898913|XP_034664493.1|DSUB
OG0000703	LOC5579187|XP_021706766.1|AAEG	LOC117900709|XP_034667058.1|DSUB, LOC117891886|XP_034653574.1|DSUB
OG0000704	LOC5566167|XP_021710754.1|AAEG	LOC117903571|XP_034671673.1|DSUB, LOC117898114|XP_034663192.1|DSUB
OG0000705	LOC5575011|XP_021708260.1|AAEG	LOC117893957|XP_034656642.1|DSUB, LOC117893515|XP_034656046.1|DSUB, LOC117893955|XP_034656638.1|DSUB
OG0000706	LOC5564887|XP_001649217.2|AAEG, LOC110677898|XP_021705469.1|AAEG	LOC117901849|XP_034668688.1|DSUB, LOC117903405|XP_034671292.1|DSUB
OG0000707	LOC5576097|XP_001662443.1|AAEG	LOC117895378|XP_034658892.1|DSUB
OG0000708	LOC5575809|XP_021705328.1|AAEG	LOC117903337|XP_034671178.1|DSUB, LOC117892901|XP_034655096.1|DSUB
OG0000709	LOC5563960|XP_001648293.2|AAEG	LOC117898286|XP_034663433.1|DSUB, LOC117903543|XP_034671624.1|DSUB
OG0000710	LOC5570014|XP_001658903.1|AAEG	LOC117896156|XP_034660126.1|DSUB, LOC117890590|XP_034651417.1|DSUB
OG0000711	LOC5577132|XP_021709303.1|AAEG	LOC117894862|XP_034658009.1|DSUB, LOC117903575|XP_034671682.1|DSUB
OG0000712	LOC5573740|XP_001654768.2|AAEG	LOC117896732|XP_034661087.1|DSUB, LOC117896729|XP_034661085.1|DSUB
OG0000713	LOC5574816|XP_001655376.1|AAEG	LOC117896866|XP_034661287.1|DSUB, LOC117891754|XP_034653257.1|DSUB
OG0000714	LOC5566058|XP_001650424.1|AAEG	LOC117899679|XP_034665762.1|DSUB, LOC117895852|XP_034659709.1|DSUB
OG0000715	LOC5566056|XP_001650428.1|AAEG	LOC117895891|XP_034659786.1|DSUB, LOC117900051|XP_034666141.1|DSUB, LOC117900345|XP_034666578.1|DSUB
OG0000716	LOC5578121|XP_001656819.1|AAEG	LOC117894851|XP_034658001.1|DSUB, LOC117893439|XP_034655949.1|DSUB
OG0000724	LOC5565085|XP_001649429.1|AAEG	LOC117895101|XP_034658392.1|DSUB, LOC117899447|XP_034665345.1|DSUB
OG0000726	LOC5577130|XP_021712611.1|AAEG	LOC117898248|XP_034663386.1|DSUB, LOC117896487|XP_034660718.1|DSUB
OG0000727	LOC5565705|XP_021713193.1|AAEG	LOC117898674|XP_034664145.1|DSUB, LOC117898673|XP_034664144.1|DSUB
OG0000728	LOC5573065|XP_021693529.1|AAEG	LOC117897113|XP_034661659.1|DSUB, LOC117899665|XP_034665740.1|DSUB
OG0000729	LOC5568367|XP_001658021.2|AAEG	LOC117896297|XP_034660409.1|DSUB, LOC117896296|XP_034660408.1|DSUB
OG0000730	LOC5570667|XP_001659264.1|AAEG	LOC117902590|XP_034669980.1|DSUB, LOC117895196|XP_034658568.1|DSUB
OG0000731	LOC5579031|XP_001664210.1|AAEG	LOC117895849|XP_034659704.1|DSUB, LOC117891664|XP_034653120.1|DSUB
OG0000732	LOC5572199|XP_001653865.1|AAEG	LOC117893767|XP_034656398.1|DSUB, LOC117893765|XP_034656396.1|DSUB
OG0000733	LOC5575492|XP_001662013.1|AAEG	LOC117896947|XP_034661382.1|DSUB, LOC117895368|XP_034658846.1|DSUB
OG0000734	LOC5578486|XP_021699525.1|AAEG	LOC117892980|XP_034655215.1|DSUB
OG0000735	LOC5573851|XP_001654878.1|AAEG	LOC117901030|XP_034667560.1|DSUB, LOC117900451|XP_034666714.1|DSUB
OG0000736	LOC5568814|XP_001658180.2|AAEG	LOC117900023|XP_034666101.1|DSUB, LOC117900024|XP_034666102.1|DSUB
OG0000738	LOC5577544|XP_001656560.1|AAEG	LOC117901194|XP_034667738.1|DSUB, LOC117900648|XP_034666971.1|DSUB
OG0000739	LOC5575848|XP_001662256.1|AAEG	LOC117899793|XP_034665964.1|DSUB, LOC117897901|XP_034662870.1|DSUB
OG0000740	LOC5572569|XP_001654085.2|AAEG	LOC117897065|XP_034661560.1|DSUB
OG0000741	LOC23687536|XP_021705281.1|AAEG	LOC117899283|XP_034665080.1|DSUB
OG0000742	LOC5570003|XP_021705592.1|AAEG	LOC117903872|XP_034672256.1|DSUB, LOC117903882|XP_034672266.1|DSUB
OG0000743	LOC5574874|XP_001655398.1|AAEG, LOC110681160|XP_021712620.1|AAEG	LOC117894681|XP_034657750.1|DSUB
OG0000744	LOC5565206|XP_001649565.2|AAEG, LOC5565220|XP_001649576.2|AAEG	LOC117892533|XP_034654729.1|DSUB
OG0000745	LOC5578669|XP_001657064.2|AAEG	LOC117890393|XP_034651089.1|DSUB, LOC117891680|XP_034653148.1|DSUB
OG0000746	LOC110679049|XP_021708670.1|AAEG, LOC5569724|XP_001652949.1|AAEG	LOC117890324|XP_034651004.1|DSUB
OG0000753	LOC5574701|XP_021698366.1|AAEG	LOC117898587|XP_034664022.1|DSUB, LOC117893540|XP_034656080.1|DSUB
OG0000754	LOC23687751|XP_021706737.1|AAEG	LOC117893823|XP_034656471.1|DSUB, LOC117889817|XP_034650229.1|DSUB
OG0000755	LOC5578924|XP_001657210.3|AAEG	LOC117897818|XP_034662759.1|DSUB, LOC117897819|XP_034662761.1|DSUB
OG0000756	LOC5576731|XP_001656241.1|AAEG	LOC117896830|XP_034661234.1|DSUB
OG0000757	LOC5573994|XP_001661080.1|AAEG	LOC117903266|XP_034671059.1|DSUB, LOC117899237|XP_034665002.1|DSUB, LOC117894852|XP_034657998.1|DSUB
OG0000758	LOC5573302|XP_021698645.1|AAEG	LOC117894802|XP_034657927.1|DSUB, LOC117894801|XP_034657925.1|DSUB
OG0000759	LOC5567691|XP_001651852.3|AAEG	LOC117894169|XP_034656962.1|DSUB, LOC117894168|XP_034656960.1|DSUB
OG0000761	LOC5569446|XP_021702395.1|AAEG	LOC117900793|XP_034667164.1|DSUB, LOC117900794|XP_034667167.1|DSUB
OG0000762	LOC5569068|XP_001658297.1|AAEG	LOC117901372|XP_034667973.1|DSUB, LOC117901251|XP_034667822.1|DSUB
OG0000763	LOC5568174|XP_021703903.1|AAEG	LOC117900081|XP_034666176.1|DSUB, LOC117900083|XP_034666179.1|DSUB
OG0000764	LOC5567685|XP_021708653.1|AAEG	LOC117897366|XP_034662045.1|DSUB, LOC117903883|XP_034672273.1|DSUB
OG0000765	LOC5576262|XP_001656034.2|AAEG	LOC117895701|XP_034659440.1|DSUB, LOC117902928|XP_034670412.1|DSUB
OG0000766	LOC5571467|XP_001659718.2|AAEG	LOC117900646|XP_034666969.1|DSUB, LOC117903369|XP_034671231.1|DSUB
OG0000767	LOC5568661|XP_021705791.1|AAEG	LOC117893833|XP_034656487.1|DSUB
OG0000768	LOC5577816|XP_001663586.1|AAEG	LOC117894686|XP_034657756.1|DSUB
OG0000769	LOC5572989|XP_021706132.1|AAEG	LOC117896770|XP_034661138.1|DSUB, LOC117897878|XP_034662848.1|DSUB
OG0000770	LOC5579099|XP_001657293.2|AAEG, LOC110680759|XP_021712238.1|AAEG, LOC5579095|XP_001657289.2|AAEG, LOC5579094|XP_001657288.2|AAEG	LOC117891196|XP_034652422.1|DSUB
OG0000771	LOC5565457|XP_001649766.2|AAEG	LOC117894925|XP_034658120.1|DSUB, LOC117894924|XP_034658119.1|DSUB
OG0000778	LOC5572380|XP_021694486.1|AAEG	LOC117893388|XP_034655874.1|DSUB, LOC117897412|XP_034662130.1|DSUB
OG0000779	LOC5576071|XP_001662401.2|AAEG, LOC5576070|XP_001662400.2|AAEG, LOC5567791|XP_021712201.1|AAEG, LOC5569560|XP_001658622.2|AAEG, LOC5564166|XP_001648508.2|AAEG	LOC117903358|XP_034671204.1|DSUB
OG0000780	LOC5564012|XP_001648334.2|AAEG, LOC5564011|XP_021697098.1|AAEG	LOC117892441|XP_034654573.1|DSUB, LOC117892535|XP_034654732.1|DSUB
OG0000781	LOC5576472|XP_021700484.1|AAEG	LOC117891052|XP_034652119.1|DSUB, LOC117894867|XP_034658018.1|DSUB
OG0000782	LOC5565070|XP_001649412.1|AAEG	LOC117893422|XP_034655930.1|DSUB, LOC117903737|XP_034671988.1|DSUB
OG0000783	LOC5565051|XP_001649399.1|AAEG	LOC117894610|XP_034657651.1|DSUB, LOC117903125|XP_034670845.1|DSUB
OG0000784	LOC5566654|XP_001651019.1|AAEG	LOC117893755|XP_034656381.1|DSUB, LOC117901396|XP_034668024.1|DSUB
OG0000785	LOC5567616|XP_021713394.1|AAEG	LOC117897562|XP_034662394.1|DSUB
OG0000786	LOC5575790|XP_021693483.1|AAEG	LOC117898451|XP_034663748.1|DSUB
OG0000787	LOC5574159|XP_001655068.1|AAEG	LOC117895215|XP_034658597.1|DSUB, LOC117890371|XP_034651062.1|DSUB
OG0000788	LOC5575938|XP_021699162.1|AAEG	LOC117895046|XP_034658315.1|DSUB
OG0000789	LOC5570933|XP_001659405.2|AAEG	LOC117901093|XP_034667611.1|DSUB, LOC117901504|XP_034668165.1|DSUB
OG0000790	LOC5572784|XP_001654187.2|AAEG	LOC117901664|XP_034668395.1|DSUB, LOC117901663|XP_034668393.1|DSUB
OG0000791	LOC5577917|XP_021702814.1|AAEG	LOC117900331|XP_034666560.1|DSUB, LOC117896441|XP_034660660.1|DSUB
OG0000792	LOC110675237|XP_021695378.1|AAEG	LOC117901144|XP_034667678.1|DSUB
OG0000793	LOC5570063|XP_001653054.1|AAEG	LOC117898508|XP_034663851.1|DSUB, LOC117894206|XP_034657014.1|DSUB
OG0000794	LOC5578434|XP_001656949.2|AAEG, LOC5578484|XP_001656950.2|AAEG, LOC5578432|XP_021705735.1|AAEG	LOC117902452|XP_034669742.1|DSUB
OG0000795	LOC5568843|XP_001652571.1|AAEG	LOC117898177|XP_034663280.1|DSUB, LOC117896595|XP_034660912.1|DSUB
OG0000796	LOC5568998|XP_021709572.1|AAEG	LOC117898171|XP_034663271.1|DSUB, LOC117898487|XP_034663818.1|DSUB
OG0000797	LOC5571755|XP_001653781.1|AAEG	LOC117899245|XP_034665016.1|DSUB, LOC117899246|XP_034665017.1|DSUB
OG0000798	LOC5573757|XP_021708658.1|AAEG	LOC117892671|XP_034654955.1|DSUB, LOC117892670|XP_034654950.1|DSUB
OG0000799	LOC5575386|XP_001655738.1|AAEG	LOC117898088|XP_034663159.1|DSUB, LOC117903858|XP_034672232.1|DSUB
OG0000800	LOC5563996|XP_021707646.1|AAEG	LOC117895643|XP_034659317.1|DSUB, LOC117895645|XP_034659320.1|DSUB, LOC117893939|XP_034656618.1|DSUB
OG0000801	LOC5568707|XP_001652531.1|AAEG	LOC117892090|XP_034653973.1|DSUB
OG0000802	LOC5567358|XP_001657370.2|AAEG	LOC117902832|XP_034670342.1|DSUB
OG0000810	LOC5578919|XP_001657205.2|AAEG	LOC117892745|XP_034655060.1|DSUB, LOC117892746|XP_034655061.1|DSUB, LOC117892744|XP_034655059.1|DSUB
OG0000811	LOC5566120|XP_001650490.2|AAEG	LOC117898282|XP_034663427.1|DSUB, LOC117896531|XP_034660795.1|DSUB, LOC117892243|XP_034654245.1|DSUB
OG0000812	LOC5568127|XP_021696627.1|AAEG	LOC117889570|XP_034649859.1|DSUB, LOC117895042|XP_034658310.1|DSUB
OG0000813	LOC5576046|XP_001662369.1|AAEG	LOC117901955|XP_034668822.1|DSUB
OG0000814	LOC5567710|XP_001651876.1|AAEG	LOC117901909|XP_034668766.1|DSUB
OG0000815	LOC5564950|XP_021701900.1|AAEG, LOC5575209|XP_021701902.1|AAEG, LOC5575211|XP_001661846.2|AAEG	LOC117902250|XP_034669396.1|DSUB
OG0000816	LOC5564019|XP_021702806.1|AAEG	LOC117898505|XP_034663852.1|DSUB, LOC117896154|XP_034660123.1|DSUB
OG0000817	LOC5579022|XP_001664202.1|AAEG	LOC117898094|XP_034663164.1|DSUB, LOC117898092|XP_034663163.1|DSUB
OG0000818	LOC5576102|XP_001662447.1|AAEG	LOC117895632|XP_034659282.1|DSUB
OG0000819	LOC5568992|XP_021707431.1|AAEG	LOC117903635|XP_034671800.1|DSUB, LOC117903632|XP_034671795.1|DSUB
OG0000820	LOC5579797|XP_021706989.1|AAEG	LOC117890362|XP_034651046.1|DSUB
OG0000821	LOC5573067|XP_001654398.2|AAEG	LOC117890092|XP_034650643.1|DSUB
OG0000822	LOC5573841|XP_001654866.1|AAEG	LOC117893590|XP_034656155.1|DSUB, LOC117902294|XP_034669466.1|DSUB
OG0000830	LOC5566467|XP_001650849.1|AAEG, LOC5566468|XP_001650850.1|AAEG, LOC5566471|XP_001650855.1|AAEG, LOC5566470|XP_001650852.2|AAEG	LOC117903200|XP_034670976.1|DSUB
OG0000831	LOC5578573|XP_001663963.2|AAEG, LOC5574451|XP_001661466.2|AAEG, LOC5571091|XP_001659531.1|AAEG	LOC117891696|XP_034653178.1|DSUB
OG0000832	LOC5575640|XP_001655787.1|AAEG	LOC117891712|XP_034653197.1|DSUB, LOC117901016|XP_034667505.1|DSUB
OG0000833	LOC5572312|XP_001654001.2|AAEG	LOC117894049|XP_034656793.1|DSUB
OG0000834	LOC5578133|XP_021696267.1|AAEG	LOC117896675|XP_034661012.1|DSUB
OG0000836	LOC5571557|XP_001659779.1|AAEG	LOC117901851|XP_034668692.1|DSUB, LOC117902392|XP_034669607.1|DSUB
OG0000837	LOC110681194|XP_021712664.1|AAEG	LOC117890852|XP_034651830.1|DSUB
OG0000837	LOC5564880|XP_021710587.1|AAEG	LOC117896533|XP_034660808.1|DSUB
OG0000838	LOC5571070|XP_001659510.2|AAEG	LOC117902262|XP_034669412.1|DSUB, LOC117902263|XP_034669413.1|DSUB
