Orthogroup	AAEG.longest_only	DPSE.longest_only
OG0000345	LOC5573483|XP_021696026.1|AAEG	LOC4805005|XP_001361475.1|DPSE
OG0000345	LOC5570369|XP_021712626.1|AAEG, LOC5570368|XP_001659085.2|AAEG, LOC110681148|XP_021712608.1|AAEG	LOC6898583|XP_015040086.2|DPSE
OG0000346	LOC5574270|XP_021698952.1|AAEG	LOC4803362|XP_001360105.3|DPSE
OG0000347	LOC5568488|XP_021701773.1|AAEG	LOC4817618|XP_015036377.1|DPSE
OG0000348	LOC5572802|XP_021702685.1|AAEG	LOC4816341|XP_001355982.3|DPSE, LOC4817695|XP_001357077.3|DPSE
OG0000349	LOC5567301|XP_001651734.2|AAEG	LOC4816365|XP_001356112.2|DPSE, LOC6901757|XP_033238691.1|DPSE, LOC117184562|XP_033238692.1|DPSE, LOC117184265|XP_033236925.1|DPSE, LOC6902615|XP_033236918.1|DPSE, LOC6902613|XP_033236922.1|DPSE, LOC6903865|XP_033236915.1|DPSE
OG0000351	LOC5569262|XP_001658407.1|AAEG, LOC5568831|XP_001658197.2|AAEG, LOC5569260|XP_021712585.1|AAEG, LOC5564699|XP_001649042.2|AAEG	LOC4805246|XP_001361678.3|DPSE, LOC4805245|XP_001361677.3|DPSE
OG0000353	LOC5564379|XP_001648723.1|AAEG	LOC4801811|XP_001358845.1|DPSE
OG0000353	LOC5577723|XP_001656676.1|AAEG	LOC4817945|XP_001357204.2|DPSE
OG0000355	LOC5567698|XP_021699785.1|AAEG, LOC5567699|XP_021699787.1|AAEG	LOC4804351|XP_001360924.2|DPSE, LOC4804849|XP_001361343.3|DPSE, LOC6898675|XP_002138680.2|DPSE
OG0000356	LOC5565896|XP_001650274.2|AAEG, LOC5575669|XP_001662128.2|AAEG	LOC4817331|XP_001356665.3|DPSE, LOC4816868|XP_001356663.2|DPSE
OG0000361	LOC5574713|XP_021694717.1|AAEG	LOC6902756|XP_002133268.2|DPSE, LOC4816455|XP_015036545.2|DPSE
OG0000362	LOC5565060|XP_021705306.1|AAEG	LOC4811758|XP_001352329.1|DPSE
OG0000362	LOC5568690|XP_021707623.1|AAEG	LOC4813437|XP_001353378.1|DPSE
OG0000363	LOC5567380|XP_021708774.1|AAEG	LOC6897597|XP_033241884.1|DPSE
OG0000363	LOC5566288|XP_021696532.1|AAEG	LOC6900901|XP_033240760.1|DPSE
OG0000364	LOC5566333|XP_021712565.1|AAEG, LOC5566332|XP_021696722.1|AAEG, LOC5566335|XP_021696726.1|AAEG	LOC6900857|XP_033241373.1|DPSE
OG0000365	LOC5571839|XP_021697172.1|AAEG	LOC6898484|XP_002138526.3|DPSE
OG0000365	LOC5568775|XP_021700717.1|AAEG	LOC6899816|XP_002135718.3|DPSE
OG0000366	LOC5568664|XP_021705763.1|AAEG	LOC4815236|XP_033239445.1|DPSE
OG0000366	LOC5567388|XP_021707665.1|AAEG	LOC4802650|XP_033236276.1|DPSE
OG0000367	LOC5579666|XP_001648122.2|AAEG, LOC5579650|XP_021705459.1|AAEG, LOC5579651|XP_021708583.1|AAEG	LOC4813290|XP_001353717.2|DPSE, LOC6898114|XP_033233883.1|DPSE
OG0000368	LOC5564133|XP_001648461.1|AAEG, LOC5564130|XP_001648458.1|AAEG	LOC4813333|XP_001353907.2|DPSE
OG0000376	LOC5566228|XP_001650616.1|AAEG	LOC6901972|XP_002133506.1|DPSE, LOC6899893|XP_002132196.1|DPSE, LOC6901971|XP_002133505.1|DPSE, LOC6903261|XP_002132960.1|DPSE
OG0000377	LOC5566613|XP_021700697.1|AAEG, LOC5579903|XP_001657883.2|AAEG, LOC5579904|XP_021711596.1|AAEG, LOC5578379|XP_021707368.1|AAEG	LOC4815330|XP_001354682.4|DPSE, LOC26532961|XP_015038960.2|DPSE
OG0000378	LOC5570810|XP_021704356.1|AAEG, LOC5566281|XP_001650659.2|AAEG	LOC4805369|XP_001361780.1|DPSE
OG0000379	LOC5571189|XP_001653515.1|AAEG	LOC4804130|XP_001360736.3|DPSE, LOC6898378|XP_002138431.2|DPSE, LOC4803645|XP_001360329.2|DPSE
OG0000380	LOC5575706|XP_001662150.1|AAEG	LOC6898812|XP_002138786.2|DPSE, LOC117183676|XP_033234300.1|DPSE, LOC4814156|XP_001354223.1|DPSE
OG0000381	LOC5569374|XP_021700452.1|AAEG	LOC6902654|XP_002133170.2|DPSE, LOC4816132|XP_033237037.1|DPSE
OG0000382	LOC5567819|XP_021704185.1|AAEG, LOC5570832|XP_001653339.1|AAEG	LOC6899927|XP_015043537.2|DPSE, LOC6899889|XP_002132197.2|DPSE, LOC117183290|XP_033232589.1|DPSE, LOC117183289|XP_033232580.1|DPSE, LOC117183288|XP_033232577.1|DPSE, LOC6896659|XP_002136875.3|DPSE
OG0000383	LOC5572674|XP_001660494.2|AAEG, LOC5575161|XP_001655538.2|AAEG	LOC4817398|XP_001356620.1|DPSE, LOC4816794|XP_001356532.4|DPSE
OG0000384	LOC5564813|XP_001649162.2|AAEG	LOC4803908|XP_001360552.2|DPSE
OG0000384	LOC110677033|XP_021703202.1|AAEG	LOC4803906|XP_001360550.3|DPSE
OG0000385	LOC5570568|XP_001653236.2|AAEG	LOC4815013|XP_015041789.2|DPSE
OG0000385	LOC5577771|XP_001663546.2|AAEG	LOC6901555|XP_033238724.1|DPSE
OG0000386	LOC23687815|XP_021704948.1|AAEG	LOC4811928|XP_001352656.2|DPSE, LOC4800489|XP_001357756.2|DPSE
OG0000389	LOC5575835|XP_021694446.1|AAEG	LOC6897476|XP_002137625.4|DPSE
OG0000389	LOC5578678|XP_021708389.1|AAEG	LOC4814022|XP_015042506.2|DPSE
OG0000390	LOC5577491|XP_021707307.1|AAEG, LOC5577490|XP_021707306.1|AAEG, LOC110680865|XP_021712346.1|AAEG, LOC5567714|XP_001657626.2|AAEG, LOC5578405|XP_001663870.2|AAEG, LOC5570107|XP_001653082.1|AAEG, LOC5569521|XP_001652831.1|AAEG	LOC117183186|XP_033235279.1|DPSE, LOC117184134|XP_033236349.1|DPSE, LOC4817993|XP_001357395.3|DPSE
OG0000391	LOC5570464|XP_021701402.1|AAEG	LOC4804073|XP_001360691.4|DPSE
OG0000391	LOC23687692|XP_021704615.1|AAEG	LOC4804068|XP_001360688.4|DPSE
OG0000392	LOC5570445|XP_021701887.1|AAEG, LOC5564419|XP_021701877.1|AAEG	LOC4817830|XP_001357470.3|DPSE, LOC6903579|XP_033236150.1|DPSE
OG0000393	LOC110675223|XP_021695341.1|AAEG	LOC6903230|XP_033236513.1|DPSE
OG0000393	LOC5569062|XP_021703018.1|AAEG	LOC4817666|XP_001357055.4|DPSE
OG0000394	LOC5570039|XP_001658928.1|AAEG	LOC4814727|XP_001354691.3|DPSE, LOC4815167|XP_001354690.2|DPSE
OG0000399	LOC5567097|XP_001651486.2|AAEG	LOC4800734|XP_001357952.1|DPSE, LOC117184843|XP_033239761.1|DPSE, LOC6900363|XP_002134758.3|DPSE, LOC6896976|XP_002137161.2|DPSE
OG0000400	LOC5580067|XP_021694881.1|AAEG	LOC6899165|XP_033241525.1|DPSE, LOC4815396|XP_033238558.1|DPSE, LOC4815397|XP_001354592.3|DPSE
OG0000402	LOC5569079|XP_001658308.1|AAEG, LOC5576656|XP_001656196.1|AAEG, LOC5576654|XP_021705495.1|AAEG, LOC5574467|XP_001655129.2|AAEG, LOC5576651|XP_001656193.1|AAEG, LOC5576652|XP_001656194.1|AAEG, LOC5564404|XP_021700208.1|AAEG	LOC4814351|XP_001354376.4|DPSE
OG0000404	LOC5578688|XP_001657086.2|AAEG, LOC5578691|XP_001657089.2|AAEG, LOC5579410|XP_021711070.1|AAEG, LOC5578692|XP_021711033.1|AAEG, LOC5578689|XP_001657087.2|AAEG	LOC4800401|XP_001357684.2|DPSE, LOC4800400|XP_001357683.2|DPSE
OG0000405	LOC5576131|XP_001662477.2|AAEG	LOC4814737|XP_001355161.3|DPSE
OG0000406	LOC5568131|XP_021698131.1|AAEG, LOC5566267|XP_001650660.1|AAEG	LOC6900898|XP_002135255.1|DPSE, LOC4804739|XP_001361251.2|DPSE
OG0000407	LOC5567374|XP_001657389.1|AAEG	LOC4814024|XP_001354161.2|DPSE
OG0000407	LOC5571596|XP_021697332.1|AAEG	LOC4814030|XP_001354162.1|DPSE
OG0000408	LOC5570724|XP_001659317.1|AAEG	LOC4801391|XP_001358492.1|DPSE, LOC6902594|XP_002133121.1|DPSE
OG0000409	LOC5570907|XP_021700630.1|AAEG	LOC4803947|XP_001360584.3|DPSE, LOC4804580|XP_001361118.3|DPSE
OG0000410	LOC5575157|XP_001655534.1|AAEG	LOC6903237|XP_002132936.2|DPSE, LOC117184072|XP_033236045.1|DPSE, LOC6903236|XP_002132935.2|DPSE, LOC117183167|XP_015036434.2|DPSE
OG0000411	LOC5566158|XP_001650539.1|AAEG	LOC4803006|XP_001359811.1|DPSE
OG0000411	LOC5564918|XP_001649286.1|AAEG	LOC6903372|XP_002132254.1|DPSE
OG0000412	LOC5574516|XP_021708166.1|AAEG, LOC5574515|XP_021708169.1|AAEG	LOC4804595|XP_001361130.1|DPSE, LOC4813787|XP_015043037.1|DPSE
OG0000413	LOC5567054|XP_001651429.2|AAEG	LOC4802030|XP_002137585.2|DPSE, LOC4802448|XP_033241730.1|DPSE
OG0000414	LOC23687918|XP_021709829.1|AAEG, LOC5567300|XP_021709833.1|AAEG, LOC5567305|XP_021709831.1|AAEG	LOC15382886|XP_004444506.3|DPSE, LOC4804827|XP_001361329.2|DPSE
OG0000415	LOC5574783|XP_001655340.1|AAEG	LOC15382902|XP_033234525.1|DPSE, LOC4805236|XP_001361671.2|DPSE
OG0000416	LOC5568416|XP_001658068.2|AAEG	LOC4814429|XP_001354787.1|DPSE
OG0000416	LOC5564064|XP_001648376.1|AAEG	LOC4814718|XP_033240459.1|DPSE
OG0000417	LOC5566091|XP_021708981.1|AAEG	LOC4800640|XP_001357876.3|DPSE
OG0000417	LOC5567927|XP_021699404.1|AAEG	LOC4800264|XP_001357609.2|DPSE
OG0000418	LOC5564390|XP_001648753.2|AAEG, LOC5575420|XP_021699880.1|AAEG, LOC5575418|XP_021699898.1|AAEG	LOC6901856|XP_002133394.2|DPSE, LOC4814339|XP_001354366.2|DPSE
OG0000419	LOC5570733|XP_021697362.1|AAEG	LOC4804852|XP_033233750.1|DPSE
OG0000419	LOC110674637|XP_021694407.1|AAEG	LOC6902261|XP_002133788.1|DPSE
OG0000421	LOC5569086|XP_021703057.1|AAEG	LOC4818109|XP_001357353.1|DPSE
OG0000421	LOC5570822|XP_021702186.1|AAEG	LOC4816811|XP_033236678.1|DPSE
OG0000422	LOC5573930|XP_021703369.1|AAEG, LOC110681118|XP_021712577.1|AAEG, LOC110675236|XP_021695377.1|AAEG, LOC5573929|XP_021703368.1|AAEG, LOC5573927|XP_001654963.2|AAEG, LOC5573931|XP_001654967.2|AAEG, LOC5570229|XP_001659008.2|AAEG	LOC6897794|XP_002137899.4|DPSE
OG0000423	LOC5563591|XP_001647935.2|AAEG, LOC5563575|XP_001647937.2|AAEG, LOC5563586|XP_001647936.2|AAEG	LOC4804371|XP_001360944.3|DPSE, LOC4804370|XP_001360943.2|DPSE
OG0000424	LOC23687932|XP_021710750.1|AAEG	LOC4805742|XP_015040858.1|DPSE
OG0000425	LOC5571033|XP_001659462.2|AAEG	LOC6899092|XP_002139009.3|DPSE
OG0000425	LOC5571023|XP_021708459.1|AAEG	LOC4804598|XP_001361132.5|DPSE
OG0000426	LOC5574193|XP_001661250.1|AAEG	LOC4804223|XP_001360817.1|DPSE
OG0000433	LOC5574521|XP_001655172.1|AAEG	LOC4815324|XP_001354830.1|DPSE
OG0000433	LOC5564077|XP_001648404.2|AAEG	LOC4811885|XP_001352698.1|DPSE
OG0000434	LOC5574590|XP_011493595.2|AAEG	LOC4800664|XP_001357896.1|DPSE
OG0000434	LOC5570528|XP_001659208.2|AAEG	LOC6898673|XP_002138678.2|DPSE
OG0000435	LOC5580076|XP_001654832.2|AAEG, LOC5580075|XP_021698638.1|AAEG, LOC5574934|XP_001661737.2|AAEG, LOC5565897|XP_001650275.2|AAEG, LOC5568375|XP_001658029.2|AAEG, LOC5568373|XP_001658027.2|AAEG, LOC5569828|XP_001658735.2|AAEG, LOC5574241|XP_021697225.1|AAEG	LOC4814312|XP_001354407.3|DPSE
OG0000437	LOC5577304|XP_001663334.1|AAEG	LOC117184174|XP_033236579.1|DPSE
OG0000437	LOC5573669|XP_001660991.1|AAEG	LOC4816490|XP_001356058.1|DPSE
OG0000438	LOC5578150|XP_001663721.2|AAEG	LOC117184376|XP_033237361.1|DPSE, LOC117184378|XP_033237363.1|DPSE, LOC117184379|XP_033237364.1|DPSE, LOC6901285|XP_002133986.2|DPSE, LOC117184377|XP_033237362.1|DPSE, LOC117184102|XP_033236174.1|DPSE, LOC6902487|XP_033236175.1|DPSE, LOC4800277|XP_033235108.1|DPSE
OG0000439	LOC5564327|XP_001648654.2|AAEG	LOC4816105|XP_001355808.4|DPSE
OG0000439	LOC5567214|XP_001651644.2|AAEG	LOC4813520|XP_033239763.1|DPSE
OG0000440	LOC110676860|XP_021701990.1|AAEG	LOC4804460|XP_001361019.3|DPSE, LOC4803541|XP_001360251.3|DPSE
OG0000441	LOC5573074|XP_001660703.2|AAEG	LOC4805718|XP_001362073.2|DPSE, LOC117183565|XP_033233708.1|DPSE
OG0000442	LOC5579172|XP_021710146.1|AAEG	LOC26532072|XP_015041572.2|DPSE
OG0000443	LOC5568713|XP_021709748.1|AAEG, LOC5569780|XP_001658722.1|AAEG	LOC4811919|XP_001352800.2|DPSE, LOC4812500|XP_001352801.2|DPSE
OG0000444	LOC5567217|XP_001651646.3|AAEG, LOC5567436|XP_021706495.1|AAEG	LOC4816224|XP_033235691.1|DPSE, LOC4816198|XP_001355816.1|DPSE
OG0000448	LOC23687587|XP_021694447.1|AAEG	LOC4800339|XP_001357574.4|DPSE, LOC6896664|XP_002136879.3|DPSE
OG0000449	LOC5572858|XP_001660618.2|AAEG	LOC4813182|XP_015042858.1|DPSE
OG0000449	LOC5574532|XP_021694481.1|AAEG	LOC6902390|XP_015036959.2|DPSE
OG0000450	LOC110680460|XP_021711955.1|AAEG, LOC5576465|XP_021700332.1|AAEG	LOC6901491|XP_033238347.1|DPSE
OG0000450	LOC110674772|XP_021694752.1|AAEG	LOC4814789|XP_033241509.1|DPSE
OG0000451	LOC5571503|XP_001659753.1|AAEG	LOC4815573|XP_033240197.1|DPSE
OG0000451	LOC5571502|XP_021704118.1|AAEG	LOC4815439|XP_015041153.1|DPSE
OG0000453	LOC5578274|XP_001663802.2|AAEG, LOC5578275|XP_001663803.2|AAEG	LOC6897293|XP_033232328.1|DPSE
OG0000454	LOC5569151|XP_021700040.1|AAEG	LOC4801918|XP_001358936.5|DPSE, LOC4813982|XP_001354138.3|DPSE
OG0000456	LOC5572063|XP_021703567.1|AAEG	LOC6899812|XP_033237282.1|DPSE
OG0000456	LOC5570893|XP_021700660.1|AAEG	LOC4816475|XP_033235273.1|DPSE
OG0000457	LOC5565766|XP_001650147.2|AAEG	LOC6902400|XP_033235312.1|DPSE
OG0000457	LOC5564329|XP_021700919.1|AAEG	LOC6902413|XP_015037006.2|DPSE
OG0000458	LOC5565843|XP_021703626.1|AAEG, LOC23687629|XP_021706599.1|AAEG, LOC5565841|XP_021703625.1|AAEG, LOC5565842|XP_001650218.2|AAEG, LOC5565387|XP_021700996.1|AAEG	LOC4816493|XP_033236608.1|DPSE
OG0000460	LOC5577624|XP_001656618.2|AAEG	LOC6903205|XP_002132905.2|DPSE, LOC6903204|XP_002132904.3|DPSE
OG0000465	LOC5571253|XP_001653551.1|AAEG, LOC5577529|XP_021712948.1|AAEG	LOC6896753|XP_002136960.3|DPSE, LOC4800439|XP_015038727.2|DPSE
OG0000466	LOC5577984|XP_021713022.1|AAEG	LOC4814594|XP_033240458.1|DPSE
OG0000466	LOC5572786|XP_001654185.1|AAEG	LOC117183175|XP_015035633.1|DPSE
OG0000467	LOC5568475|XP_021695985.1|AAEG	LOC4803477|XP_033234756.1|DPSE, LOC4803474|XP_001360192.3|DPSE
OG0000468	LOC23687721|XP_021709274.1|AAEG	LOC4801981|XP_001358993.1|DPSE
OG0000468	LOC23687516|XP_011493435.1|AAEG	LOC4805418|XP_001361821.2|DPSE
OG0000469	LOC5565883|XP_021703807.1|AAEG	LOC6902992|XP_033235476.1|DPSE, LOC6902998|XP_002132720.3|DPSE
OG0000470	LOC5578138|XP_021707709.1|AAEG	LOC4812830|XP_001353507.1|DPSE
OG0000470	LOC5574556|XP_001661506.1|AAEG	LOC4812027|XP_001352999.3|DPSE
OG0000471	LOC110674399|XP_021694347.1|AAEG, LOC110678109|XP_021706404.1|AAEG, LOC5567989|XP_001657815.1|AAEG	LOC4812228|XP_001352754.4|DPSE, LOC4816295|XP_001355971.4|DPSE
OG0000473	LOC5569934|XP_001658830.2|AAEG	LOC4815979|XP_001355633.1|DPSE, LOC6901835|XP_002133373.3|DPSE
OG0000474	LOC5569558|XP_001658624.2|AAEG	LOC4814191|XP_001354334.2|DPSE, LOC6897209|XP_002137381.2|DPSE, LOC117184096|XP_033236155.1|DPSE
OG0000475	LOC5565629|XP_001649983.1|AAEG	LOC6897308|XP_015037357.1|DPSE, LOC4801685|XP_001358734.3|DPSE
OG0000476	LOC5575604|XP_001662086.2|AAEG	LOC4800591|XP_001357837.4|DPSE, LOC4800590|XP_001357836.3|DPSE
OG0000477	LOC5564209|XP_001648552.1|AAEG	LOC4800956|XP_001358136.3|DPSE, LOC4800953|XP_001358135.3|DPSE
OG0000478	LOC5566225|XP_021696850.1|AAEG, LOC5566220|XP_001650605.1|AAEG	LOC4802188|XP_001359156.1|DPSE
OG0000479	LOC5571039|XP_001659472.1|AAEG, LOC5571038|XP_001659473.2|AAEG, LOC5571037|XP_001659474.1|AAEG	LOC4800707|XP_001357932.2|DPSE
OG0000480	LOC5565774|XP_001650133.1|AAEG	LOC4816379|XP_001355994.1|DPSE, LOC4816589|XP_033236296.1|DPSE
OG0000482	LOC5564156|XP_001648504.1|AAEG, LOC5564158|XP_001648505.2|AAEG, LOC110680419|XP_021711910.1|AAEG	LOC4802905|XP_001359731.2|DPSE
OG0000483	LOC5563950|XP_001648275.2|AAEG, LOC5563953|XP_001648304.2|AAEG	LOC6897483|XP_002137632.2|DPSE, LOC6897482|XP_002137631.2|DPSE
OG0000484	LOC5576159|XP_001662504.2|AAEG	LOC4803254|XP_001360026.2|DPSE, LOC4803255|XP_001360027.1|DPSE
OG0000485	LOC5570054|XP_001658946.1|AAEG	LOC4813554|XP_015043370.2|DPSE, LOC4813359|XP_001353982.3|DPSE
OG0000486	LOC5565804|XP_001650170.2|AAEG	LOC4804540|XP_015040001.2|DPSE, LOC6898517|XP_015040000.1|DPSE
OG0000489	LOC5566180|XP_021693011.1|AAEG, LOC5566818|XP_001651225.2|AAEG, LOC5566819|XP_001651227.2|AAEG, LOC5566178|XP_001650550.2|AAEG	LOC6897394|XP_002137546.2|DPSE, LOC6901327|XP_002134028.2|DPSE
OG0000490	LOC5564407|XP_021699908.1|AAEG	LOC6901640|XP_002134309.2|DPSE
OG0000490	LOC5564043|XP_021703783.1|AAEG	LOC6901900|XP_002133435.3|DPSE
OG0000491	LOC5568339|XP_021710734.1|AAEG	LOC6897132|XP_002137312.3|DPSE, LOC4804892|XP_001361380.2|DPSE
OG0000492	LOC5576114|XP_001662460.1|AAEG	LOC4804517|XP_001361068.1|DPSE
OG0000492	LOC5577628|XP_021702254.1|AAEG	LOC4816478|XP_001356185.1|DPSE
OG0000493	LOC5571043|XP_021696304.1|AAEG	LOC6897037|XP_002137222.1|DPSE, LOC4801087|XP_001358245.1|DPSE
OG0000494	LOC5569984|XP_001658869.1|AAEG	LOC4817837|XP_001357351.1|DPSE
OG0000495	LOC5576051|XP_021701656.1|AAEG, LOC5576056|XP_021701652.1|AAEG	LOC4815884|XP_001355565.2|DPSE, LOC4805723|XP_001362078.2|DPSE
OG0000496	LOC5575526|XP_021703709.1|AAEG	LOC4818067|XP_001357224.4|DPSE
OG0000496	LOC5575525|XP_021703714.1|AAEG	LOC4816668|XP_001355896.3|DPSE
OG0000497	LOC5569758|XP_021704072.1|AAEG	LOC4817718|XP_033236995.1|DPSE, LOC4817741|XP_015035668.2|DPSE
OG0000498	LOC5563949|XP_001648276.2|AAEG, LOC5563976|XP_001648277.2|AAEG	LOC6897480|XP_003736681.3|DPSE, LOC4802148|XP_001359125.3|DPSE
OG0000499	LOC5572478|XP_001660426.1|AAEG	LOC4804869|XP_001361358.1|DPSE
OG0000500	LOC5576162|XP_001662510.3|AAEG, LOC5577003|XP_021705393.1|AAEG	LOC6900819|XP_002135178.2|DPSE, LOC4813205|XP_033238702.1|DPSE
OG0000504	LOC5571710|XP_021698830.1|AAEG, LOC5565972|XP_001650340.2|AAEG, LOC110674831|XP_021694990.1|AAEG, LOC110676201|XP_021698831.1|AAEG, LOC5565973|XP_021698828.1|AAEG	LOC4812375|XP_001352827.2|DPSE
OG0000505	LOC5575878|XP_021703710.1|AAEG, LOC5575881|XP_021703689.1|AAEG	LOC4814983|XP_033237360.1|DPSE, LOC6901282|XP_002133983.3|DPSE
OG0000506	LOC5575876|XP_021709863.1|AAEG, LOC5575877|XP_021709869.1|AAEG, LOC5568369|XP_021693930.1|AAEG	LOC4802115|XP_001359096.4|DPSE
OG0000507	LOC5565544|XP_001649911.1|AAEG	LOC4814804|XP_001354869.1|DPSE
OG0000507	LOC5574054|XP_021713281.1|AAEG	LOC4814494|XP_001354870.1|DPSE
OG0000508	LOC5568311|XP_021695181.1|AAEG, LOC110677246|XP_021704041.1|AAEG	LOC4814140|XP_033239943.1|DPSE
OG0000509	LOC5567324|XP_021698227.1|AAEG	LOC6898238|XP_002138304.2|DPSE
OG0000510	LOC5567701|XP_021699791.1|AAEG	LOC4805292|XP_001361714.2|DPSE, LOC4805289|XP_001361711.3|DPSE
OG0000511	LOC5566989|XP_001651389.2|AAEG, LOC5564510|XP_001648852.1|AAEG	LOC4817417|XP_001356535.3|DPSE, LOC6902879|XP_033235822.1|DPSE
OG0000512	LOC23687743|XP_021701399.1|AAEG, LOC23687655|XP_011493370.2|AAEG	LOC4817038|XP_002132750.2|DPSE, LOC4812141|XP_033241147.1|DPSE
OG0000513	LOC5575852|XP_001662263.2|AAEG	LOC4803429|XP_001360144.1|DPSE, LOC4817864|XP_001357241.2|DPSE
OG0000514	LOC23687865|XP_021704006.1|AAEG	LOC4816915|XP_001356561.3|DPSE, LOC4816891|XP_033235890.1|DPSE
OG0000515	LOC5577999|XP_001656737.2|AAEG, LOC5576214|XP_001655991.1|AAEG	LOC4811700|XP_001352282.1|DPSE, LOC4812992|XP_001353265.3|DPSE
OG0000516	LOC5563973|XP_001648306.2|AAEG, LOC5563958|XP_001648307.2|AAEG, LOC5563956|XP_001648305.2|AAEG	LOC4815755|XP_001355513.3|DPSE, LOC4815593|XP_001355512.4|DPSE
OG0000517	LOC5565741|XP_001650092.2|AAEG	LOC4812631|XP_001353025.3|DPSE, LOC6900297|XP_002135619.2|DPSE
OG0000520	LOC110679388|XP_021709563.1|AAEG, LOC110674757|XP_021694716.1|AAEG, LOC5576730|XP_001656239.2|AAEG, LOC110675840|XP_021697402.1|AAEG	LOC26534381|XP_015037629.2|DPSE, LOC26532491|XP_015042392.2|DPSE, LOC26532434|XP_015038987.1|DPSE, LOC117185049|XP_033240547.1|DPSE, LOC26532270|XP_033234132.1|DPSE, LOC26533394|XP_033239935.1|DPSE, LOC26533191|XP_033232352.1|DPSE
OG0000521	LOC23687658|XP_021694216.1|AAEG	LOC6901041|XP_002134520.2|DPSE, LOC6901046|XP_002134525.3|DPSE
OG0000522	LOC5578806|XP_021699844.1|AAEG	LOC6902581|XP_002133109.2|DPSE, LOC4802950|XP_001359763.3|DPSE, LOC4815112|XP_001355111.1|DPSE
OG0000523	LOC5576121|XP_001662467.1|AAEG	LOC6904085|XP_002136435.2|DPSE
OG0000523	LOC5564391|XP_001648748.1|AAEG	LOC6901076|XP_015042262.1|DPSE
OG0000524	LOC5570276|XP_001659032.1|AAEG	LOC4800939|XP_001358125.3|DPSE, LOC4801022|XP_015038701.2|DPSE
OG0000525	LOC5571821|XP_001659953.1|AAEG, LOC5571822|XP_001659954.2|AAEG	LOC4805177|XP_001361624.2|DPSE, LOC5495504|XP_001361623.2|DPSE
OG0000526	LOC5580247|XP_001662644.1|AAEG	LOC4818140|XP_001357255.2|DPSE, LOC4804497|XP_001361053.1|DPSE
OG0000527	LOC5577413|XP_021700511.1|AAEG, LOC5564164|XP_021700512.1|AAEG	LOC4817240|XP_001356485.3|DPSE, LOC4816819|XP_015035861.2|DPSE
OG0000528	LOC5568778|XP_021700715.1|AAEG, LOC5568779|XP_001658144.1|AAEG, LOC5568783|XP_001658148.2|AAEG, LOC5568782|XP_001658147.1|AAEG, LOC5574730|XP_021700710.1|AAEG	LOC6903017|XP_002132739.2|DPSE
OG0000529	LOC5572655|XP_021700824.1|AAEG	LOC6902524|XP_002133066.2|DPSE
OG0000530	LOC5570472|XP_021701466.1|AAEG	LOC4812787|XP_001354024.4|DPSE
OG0000531	LOC5566804|XP_001651213.1|AAEG	LOC117184243|XP_033236764.1|DPSE, LOC4817140|XP_001356655.1|DPSE
OG0000532	LOC5577450|XP_001663376.2|AAEG	LOC4803054|XP_001359855.3|DPSE, LOC4803053|XP_001359854.2|DPSE
OG0000533	LOC5568210|XP_021707094.1|AAEG	LOC4802027|XP_001359027.3|DPSE
OG0000535	LOC110679157|XP_021708917.1|AAEG, LOC5579833|XP_001651508.2|AAEG	LOC6898885|XP_002138856.1|DPSE, LOC6898130|XP_002138209.2|DPSE
OG0000536	LOC5570239|XP_001659019.2|AAEG, LOC5574261|XP_001655077.2|AAEG, LOC5574259|XP_001655076.1|AAEG, LOC5574263|XP_021707712.1|AAEG	LOC4813683|XP_033238862.1|DPSE
OG0000537	LOC5572401|XP_001660343.2|AAEG	LOC6898108|XP_033234955.1|DPSE, LOC6898109|XP_033234956.1|DPSE
OG0000538	LOC5574674|XP_021709504.1|AAEG	LOC6898331|XP_002138386.1|DPSE, LOC4805047|XP_001361512.1|DPSE
OG0000539	LOC5564126|XP_001648447.1|AAEG	LOC4802207|XP_001359174.1|DPSE, LOC4802210|XP_001359178.1|DPSE
OG0000542	LOC5574746|XP_001655316.1|AAEG	LOC4803049|XP_001359850.3|DPSE, LOC6899378|XP_002136151.2|DPSE
OG0000543	LOC5577559|XP_021694639.1|AAEG, LOC5579016|XP_001664196.2|AAEG	LOC6896745|XP_002136952.1|DPSE, LOC4804019|XP_001360649.4|DPSE
OG0000544	LOC5578623|XP_001657045.2|AAEG	LOC4812104|XP_001352839.3|DPSE, LOC4802993|XP_033232452.1|DPSE
OG0000545	LOC5564746|XP_021693658.1|AAEG, LOC5566409|XP_021693084.1|AAEG	LOC4801212|XP_001358338.4|DPSE, LOC6897107|XP_002137291.1|DPSE
OG0000546	LOC5575232|XP_021694125.1|AAEG	LOC4802856|XP_033240635.1|DPSE, LOC6897824|XP_002137929.2|DPSE, LOC4814743|XP_001354896.1|DPSE
OG0000547	LOC5571763|XP_021695756.1|AAEG	LOC4815193|XP_001354693.1|DPSE
OG0000548	LOC5575141|XP_021697915.1|AAEG	LOC4813681|XP_001354072.2|DPSE, LOC6900873|XP_002135230.3|DPSE
