Orthogroup	AAEG.longest_only	DSER.longest_only
OG0000456	LOC5570893|XP_021700660.1|AAEG	LOC110185733|XP_020810377.1|DSER
OG0000457	LOC5565766|XP_001650147.2|AAEG	LOC110181409|XP_020804804.1|DSER
OG0000457	LOC5564329|XP_021700919.1|AAEG	LOC110185761|XP_020810422.1|DSER
OG0000458	LOC5565843|XP_021703626.1|AAEG, LOC23687629|XP_021706599.1|AAEG, LOC5565841|XP_021703625.1|AAEG, LOC5565842|XP_001650218.2|AAEG, LOC5565387|XP_021700996.1|AAEG	LOC110183917|XP_020807935.1|DSER
OG0000460	LOC5577624|XP_001656618.2|AAEG	LOC110183094|XP_020806946.1|DSER
OG0000465	LOC5571253|XP_001653551.1|AAEG, LOC5577529|XP_021712948.1|AAEG	LOC110190848|XP_020817156.1|DSER, LOC110190999|XP_020817371.1|DSER
OG0000466	LOC5577984|XP_021713022.1|AAEG	LOC110176019|XP_020797889.1|DSER
OG0000466	LOC5572786|XP_001654185.1|AAEG	LOC110177034|XP_020799210.1|DSER
OG0000467	LOC5568475|XP_021695985.1|AAEG	LOC110189658|XP_020815461.1|DSER, LOC110189600|XP_020815393.1|DSER
OG0000468	LOC23687721|XP_021709274.1|AAEG	LOC110186259|XP_020811025.1|DSER
OG0000468	LOC23687516|XP_011493435.1|AAEG	LOC110178299|XP_020801046.1|DSER
OG0000469	LOC5565883|XP_021703807.1|AAEG	LOC110183004|XP_020806853.1|DSER, LOC110180597|XP_020803943.1|DSER, LOC110184005|XP_020808021.1|DSER, LOC110183959|XP_020807973.1|DSER, LOC110183003|XP_020806852.1|DSER
OG0000470	LOC5578138|XP_021707709.1|AAEG	LOC110177527|XP_020799945.1|DSER
OG0000470	LOC5574556|XP_001661506.1|AAEG	LOC110179694|XP_020802963.1|DSER
OG0000471	LOC110674399|XP_021694347.1|AAEG, LOC110678109|XP_021706404.1|AAEG, LOC5567989|XP_001657815.1|AAEG	LOC110177592|XP_020800035.1|DSER, LOC110184959|XP_020809266.1|DSER, LOC110180495|XP_020803835.1|DSER
OG0000473	LOC5569934|XP_001658830.2|AAEG	LOC110184193|XP_020808283.1|DSER, LOC110180139|XP_020803444.1|DSER, LOC110180138|XP_020803443.1|DSER
OG0000474	LOC5569558|XP_001658624.2|AAEG	LOC110177012|XP_020799184.1|DSER, LOC110191202|XP_020817628.1|DSER, LOC110181260|XP_020804626.1|DSER
OG0000475	LOC5565629|XP_001649983.1|AAEG	LOC110187715|XP_020812811.1|DSER, LOC110188027|XP_020813224.1|DSER
OG0000476	LOC5575604|XP_001662086.2|AAEG	LOC110188422|XP_020813805.1|DSER, LOC110191003|XP_020817380.1|DSER, LOC110190847|XP_020817154.1|DSER
OG0000477	LOC5564209|XP_001648552.1|AAEG	LOC110184237|XP_020808356.1|DSER, LOC110184661|XP_020808928.1|DSER
OG0000478	LOC5566225|XP_021696850.1|AAEG, LOC5566220|XP_001650605.1|AAEG	LOC110184166|XP_020808236.1|DSER, LOC110186160|XP_020810870.1|DSER
OG0000479	LOC5571039|XP_001659472.1|AAEG, LOC5571038|XP_001659473.2|AAEG, LOC5571037|XP_001659474.1|AAEG	LOC110191129|XP_020817541.1|DSER, LOC110191372|XP_020817883.1|DSER, LOC110190998|XP_020817370.1|DSER
OG0000480	LOC5565774|XP_001650133.1|AAEG	LOC110182342|XP_020806042.1|DSER, LOC110182344|XP_020806043.1|DSER
OG0000482	LOC5564156|XP_001648504.1|AAEG, LOC5564158|XP_001648505.2|AAEG, LOC110680419|XP_021711910.1|AAEG	LOC110188404|XP_020813788.1|DSER
OG0000483	LOC5563950|XP_001648275.2|AAEG, LOC5563953|XP_001648304.2|AAEG	LOC110186151|XP_020810861.1|DSER, LOC110186225|XP_020810947.1|DSER
OG0000484	LOC5576159|XP_001662504.2|AAEG	LOC110188615|XP_020814041.1|DSER, LOC110188616|XP_020814042.1|DSER
OG0000485	LOC5570054|XP_001658946.1|AAEG	LOC110178952|XP_020801912.1|DSER, LOC110178935|XP_020801891.1|DSER
OG0000486	LOC5565804|XP_001650170.2|AAEG	LOC110181098|XP_020804426.1|DSER, LOC110181097|XP_020804425.1|DSER
OG0000489	LOC5566180|XP_021693011.1|AAEG, LOC5566818|XP_001651225.2|AAEG, LOC5566819|XP_001651227.2|AAEG, LOC5566178|XP_001650550.2|AAEG	LOC110176502|XP_020798535.1|DSER, LOC110176097|XP_020797995.1|DSER
OG0000490	LOC5564407|XP_021699908.1|AAEG	LOC110176103|XP_020798001.1|DSER
OG0000490	LOC5564043|XP_021703783.1|AAEG	LOC110181845|XP_020805411.1|DSER
OG0000491	LOC5568339|XP_021710734.1|AAEG	LOC110185453|XP_020809953.1|DSER, LOC110178525|XP_020801340.1|DSER
OG0000492	LOC5576114|XP_001662460.1|AAEG	LOC110177090|XP_020799277.1|DSER
OG0000492	LOC5577628|XP_021702254.1|AAEG	LOC110186030|XP_020810725.1|DSER
OG0000493	LOC5571043|XP_021696304.1|AAEG	LOC110176446|XP_020798454.1|DSER, LOC110176465|XP_020798483.1|DSER
OG0000494	LOC5569984|XP_001658869.1|AAEG	LOC110186083|XP_020810779.1|DSER
OG0000495	LOC5576051|XP_021701656.1|AAEG, LOC5576056|XP_021701652.1|AAEG	LOC110182569|XP_020806277.1|DSER, LOC110178319|XP_020801088.1|DSER
OG0000496	LOC5575526|XP_021703709.1|AAEG	LOC110183129|XP_020806976.1|DSER
OG0000496	LOC5575525|XP_021703714.1|AAEG	LOC110183927|XP_020807949.1|DSER
OG0000497	LOC5569758|XP_021704072.1|AAEG	LOC110181200|XP_020804540.1|DSER, LOC110179068|XP_020802094.1|DSER, LOC110181213|XP_020804554.1|DSER, LOC110182683|XP_020806434.1|DSER
OG0000498	LOC5563949|XP_001648276.2|AAEG, LOC5563976|XP_001648277.2|AAEG	LOC110186148|XP_020810858.1|DSER, LOC110186146|XP_020810856.1|DSER
OG0000499	LOC5572478|XP_001660426.1|AAEG	LOC110182915|XP_020806776.1|DSER
OG0000500	LOC5576162|XP_001662510.3|AAEG, LOC5577003|XP_021705393.1|AAEG	LOC110190890|XP_020817207.1|DSER, LOC110178950|XP_020801910.1|DSER
OG0000504	LOC5571710|XP_021698830.1|AAEG, LOC5565972|XP_001650340.2|AAEG, LOC110674831|XP_021694990.1|AAEG, LOC110676201|XP_021698831.1|AAEG, LOC5565973|XP_021698828.1|AAEG	LOC110183558|XP_020807518.1|DSER
OG0000505	LOC5575878|XP_021703710.1|AAEG, LOC5575881|XP_021703689.1|AAEG	LOC110179747|XP_020803021.1|DSER, LOC110179751|XP_020803026.1|DSER
OG0000506	LOC5575876|XP_021709863.1|AAEG, LOC5575877|XP_021709869.1|AAEG, LOC5568369|XP_021693930.1|AAEG	LOC110189034|XP_020814662.1|DSER, LOC110189038|XP_020814666.1|DSER, LOC110189014|XP_020814631.1|DSER
OG0000507	LOC5565544|XP_001649911.1|AAEG	LOC110182054|XP_020805669.1|DSER
OG0000507	LOC5574054|XP_021713281.1|AAEG	LOC110182092|XP_020805732.1|DSER
OG0000508	LOC5568311|XP_021695181.1|AAEG, LOC110677246|XP_021704041.1|AAEG	LOC110178795|XP_020801706.1|DSER, LOC110187907|XP_020813071.1|DSER, LOC110190180|XP_020816187.1|DSER
OG0000509	LOC5567324|XP_021698227.1|AAEG	LOC110177555|XP_020799989.1|DSER
OG0000510	LOC5567701|XP_021699791.1|AAEG	LOC110179275|XP_020802421.1|DSER, LOC110179276|XP_020802422.1|DSER
OG0000511	LOC5566989|XP_001651389.2|AAEG, LOC5564510|XP_001648852.1|AAEG	LOC110184918|XP_020809222.1|DSER, LOC110184891|XP_020809196.1|DSER
OG0000512	LOC23687743|XP_021701399.1|AAEG, LOC23687655|XP_011493370.2|AAEG	LOC110183165|XP_020807016.1|DSER, LOC110178868|XP_020801801.1|DSER
OG0000513	LOC5575852|XP_001662263.2|AAEG	LOC110189268|XP_020814942.1|DSER, LOC110183775|XP_020807791.1|DSER
OG0000514	LOC23687865|XP_021704006.1|AAEG	LOC110183926|XP_020807947.1|DSER, LOC110183923|XP_020807944.1|DSER, LOC110177981|XP_020800633.1|DSER, LOC110183911|XP_020807915.1|DSER
OG0000515	LOC5577999|XP_001656737.2|AAEG, LOC5576214|XP_001655991.1|AAEG	LOC110190531|XP_020816736.1|DSER, LOC110190530|XP_020816735.1|DSER
OG0000516	LOC5563973|XP_001648306.2|AAEG, LOC5563958|XP_001648307.2|AAEG, LOC5563956|XP_001648305.2|AAEG	LOC110187129|XP_020812199.1|DSER, LOC110187149|XP_020812221.1|DSER
OG0000517	LOC5565741|XP_001650092.2|AAEG	LOC110189862|XP_020815740.1|DSER, LOC110189860|XP_020815738.1|DSER
OG0000521	LOC23687658|XP_021694216.1|AAEG	LOC110182031|XP_020805620.1|DSER, LOC110182032|XP_020805621.1|DSER
OG0000522	LOC5578806|XP_021699844.1|AAEG	LOC110188505|XP_020813898.1|DSER, LOC110184251|XP_020808371.1|DSER
OG0000523	LOC5576121|XP_001662467.1|AAEG	LOC110191312|XP_020817790.1|DSER
OG0000523	LOC5564391|XP_001648748.1|AAEG	LOC110176082|XP_020797983.1|DSER
OG0000524	LOC5570276|XP_001659032.1|AAEG	LOC110177426|XP_020799807.1|DSER, LOC110191360|XP_020817867.1|DSER, LOC110189030|XP_020814659.1|DSER
OG0000525	LOC5571821|XP_001659953.1|AAEG, LOC5571822|XP_001659954.2|AAEG	LOC110188987|XP_020814595.1|DSER, LOC110188986|XP_020814594.1|DSER
OG0000526	LOC5580247|XP_001662644.1|AAEG	LOC110177188|XP_020799442.1|DSER, LOC110177140|XP_020799377.1|DSER
OG0000527	LOC5577413|XP_021700511.1|AAEG, LOC5564164|XP_021700512.1|AAEG	LOC110187498|XP_020812550.1|DSER, LOC110187536|XP_020812589.1|DSER
OG0000528	LOC5568778|XP_021700715.1|AAEG, LOC5568779|XP_001658144.1|AAEG, LOC5568783|XP_001658148.2|AAEG, LOC5568782|XP_001658147.1|AAEG, LOC5574730|XP_021700710.1|AAEG	LOC110183785|XP_020807801.1|DSER
OG0000529	LOC5572655|XP_021700824.1|AAEG	LOC110184964|XP_020809271.1|DSER, LOC110187374|XP_020812423.1|DSER
OG0000530	LOC5570472|XP_021701466.1|AAEG	LOC110178608|XP_020801452.1|DSER, LOC110188887|XP_020814463.1|DSER
OG0000531	LOC5566804|XP_001651213.1|AAEG	LOC110185061|XP_020809397.1|DSER, LOC110178108|XP_020800782.1|DSER
OG0000532	LOC5577450|XP_001663376.2|AAEG	LOC110188006|XP_020813188.1|DSER, LOC110188005|XP_020813186.1|DSER
OG0000533	LOC5568210|XP_021707094.1|AAEG	LOC110187943|XP_020813116.1|DSER
OG0000535	LOC110679157|XP_021708917.1|AAEG, LOC5579833|XP_001651508.2|AAEG	LOC110180040|XP_020803311.1|DSER, LOC110176886|XP_020799029.1|DSER
OG0000536	LOC5570239|XP_001659019.2|AAEG, LOC5574261|XP_001655077.2|AAEG, LOC5574259|XP_001655076.1|AAEG, LOC5574263|XP_021707712.1|AAEG	LOC110176177|XP_020798079.1|DSER
OG0000537	LOC5572401|XP_001660343.2|AAEG	LOC110189300|XP_020814989.1|DSER
OG0000538	LOC5574674|XP_021709504.1|AAEG	LOC110191630|XP_020818182.1|DSER, LOC110178407|XP_020801207.1|DSER
OG0000539	LOC5564126|XP_001648447.1|AAEG	LOC110186215|XP_020810937.1|DSER, LOC110186190|XP_020810907.1|DSER
OG0000542	LOC5574746|XP_001655316.1|AAEG	LOC110186788|XP_020811725.1|DSER, LOC110185410|XP_020809876.1|DSER
OG0000543	LOC5577559|XP_021694639.1|AAEG, LOC5579016|XP_001664196.2|AAEG	LOC110184670|XP_020808940.1|DSER, LOC110182885|XP_020806688.1|DSER
OG0000544	LOC5578623|XP_001657045.2|AAEG	LOC110178724|XP_020801589.1|DSER, LOC110184507|XP_020808731.1|DSER
OG0000545	LOC5564746|XP_021693658.1|AAEG, LOC5566409|XP_021693084.1|AAEG	LOC110187823|XP_020812958.1|DSER, LOC110187739|XP_020812855.1|DSER
OG0000546	LOC5575232|XP_021694125.1|AAEG	LOC110188731|XP_020814204.1|DSER, LOC110179470|XP_020802700.1|DSER
OG0000547	LOC5571763|XP_021695756.1|AAEG	LOC110181593|XP_020805045.1|DSER, LOC110187897|XP_020813051.1|DSER
OG0000548	LOC5575141|XP_021697915.1|AAEG	LOC110190295|XP_020816338.1|DSER, LOC110190296|XP_020816339.1|DSER
OG0000549	LOC5577716|XP_001663497.1|AAEG, LOC5577704|XP_021698193.1|AAEG, LOC5577714|XP_001663495.1|AAEG, LOC5573687|XP_001661010.2|AAEG, LOC5573688|XP_001661011.1|AAEG, LOC5577711|XP_001663492.1|AAEG, LOC5577713|XP_001663494.1|AAEG, LOC5577709|XP_001663490.2|AAEG, LOC5577717|XP_001663499.2|AAEG	LOC110177056|XP_020799233.1|DSER
OG0000550	LOC5578287|XP_001663815.1|AAEG	LOC110178745|XP_020801635.1|DSER, LOC110178791|XP_020801703.1|DSER
OG0000551	LOC5569002|XP_021706828.1|AAEG	LOC110178530|XP_020801347.1|DSER
OG0000552	LOC110676642|XP_021701014.1|AAEG	LOC110186838|XP_020811787.1|DSER, LOC110186668|XP_020811592.1|DSER
OG0000553	LOC5573859|XP_001654890.1|AAEG, LOC5573858|XP_001654889.1|AAEG, LOC5573855|XP_001654886.2|AAEG	LOC110177872|XP_020800488.1|DSER
OG0000554	LOC5573301|XP_021708251.1|AAEG	LOC110185315|XP_020809743.1|DSER, LOC110185264|XP_020809666.1|DSER
OG0000555	LOC5575012|XP_021710949.1|AAEG	LOC110179417|XP_020802605.1|DSER, LOC110181233|XP_020804594.1|DSER, LOC110180473|XP_020803815.1|DSER
OG0000556	LOC110681197|XP_021712666.1|AAEG, LOC5564890|XP_001649215.1|AAEG	LOC110179726|XP_020803004.1|DSER, LOC110191833|XP_020818457.1|DSER
OG0000557	LOC5568513|XP_001652336.1|AAEG	LOC110176580|XP_020798653.1|DSER, LOC110176610|XP_020798692.1|DSER
OG0000558	LOC5575971|XP_001662322.1|AAEG	LOC110191842|XP_020818469.1|DSER, LOC110184573|XP_020808806.1|DSER
OG0000559	LOC110681168|XP_021712631.1|AAEG, LOC5577241|XP_021709285.1|AAEG	LOC110186176|XP_020810888.1|DSER, LOC110176282|XP_020798260.1|DSER
OG0000560	LOC5563762|XP_021707462.1|AAEG	LOC110189432|XP_020815161.1|DSER, LOC110189431|XP_020815160.1|DSER
OG0000561	LOC110678585|XP_021707316.1|AAEG	LOC110190641|XP_020816898.1|DSER, LOC110190559|XP_020816778.1|DSER
OG0000562	LOC5569968|XP_021710058.1|AAEG	LOC110181239|XP_020804603.1|DSER, LOC110181232|XP_020804593.1|DSER
OG0000566	LOC5579820|XP_001651051.1|AAEG	LOC110190849|XP_020817157.1|DSER, LOC110185332|XP_020809767.1|DSER
OG0000567	LOC5570128|XP_001653107.2|AAEG	LOC110181567|XP_020805016.1|DSER
OG0000567	LOC5570126|XP_001653106.2|AAEG	LOC110181566|XP_020805015.1|DSER
OG0000568	LOC5577017|XP_001656302.2|AAEG	LOC110184417|XP_020808611.1|DSER, LOC110180560|XP_020803913.1|DSER, LOC110176469|XP_020798487.1|DSER
OG0000569	LOC5565055|XP_021705510.1|AAEG	LOC110191824|XP_020818448.1|DSER, LOC110180710|XP_020804050.1|DSER
OG0000570	LOC5576289|XP_001662579.2|AAEG	LOC110176422|XP_020798426.1|DSER, LOC110176424|XP_020798429.1|DSER
OG0000571	LOC5571436|XP_021693888.1|AAEG	LOC110176399|XP_020798393.1|DSER, LOC110176397|XP_020798388.1|DSER
OG0000572	LOC5570663|XP_021695778.1|AAEG	LOC110187812|XP_020812947.1|DSER, LOC110187757|XP_020812877.1|DSER
OG0000573	LOC5574096|XP_021696111.1|AAEG	LOC110188824|XP_020814373.1|DSER, LOC110176936|XP_020799095.1|DSER
OG0000574	LOC5572198|XP_021698798.1|AAEG	LOC110190321|XP_020816375.1|DSER, LOC110188049|XP_020813257.1|DSER
OG0000575	LOC5569243|XP_021699828.1|AAEG	LOC110190569|XP_020816803.1|DSER, LOC110190593|XP_020816844.1|DSER
OG0000576	LOC5568781|XP_021700712.1|AAEG	LOC110188526|XP_020813928.1|DSER, LOC110188412|XP_020813795.1|DSER
OG0000577	LOC5575668|XP_001662127.2|AAEG	LOC110176873|XP_020799007.1|DSER
OG0000578	LOC5564323|XP_021710053.1|AAEG	LOC110183305|XP_020807203.1|DSER, LOC110179138|XP_020802190.1|DSER
OG0000579	LOC5577308|XP_021707576.1|AAEG, LOC5579901|XP_001657881.1|AAEG	LOC110191052|XP_020817437.1|DSER, LOC110177486|XP_020799897.1|DSER
OG0000580	LOC23687878|XP_011493518.1|AAEG	LOC110187872|XP_020813015.1|DSER, LOC110188083|XP_020813295.1|DSER
OG0000581	LOC5574667|XP_021708899.1|AAEG	LOC110190173|XP_020816182.1|DSER
OG0000582	LOC5575223|XP_021710179.1|AAEG	LOC110176253|XP_020798223.1|DSER
OG0000583	LOC5578117|XP_001656815.1|AAEG	LOC110178512|XP_020801322.1|DSER, LOC110178511|XP_020801321.1|DSER
OG0000589	LOC5563768|XP_021695117.1|AAEG	LOC110183229|XP_020807104.1|DSER
OG0000590	LOC110675318|XP_021695560.1|AAEG, LOC5574244|XP_001661299.1|AAEG	LOC110183551|XP_020807510.1|DSER
OG0000592	LOC5567565|XP_001657556.2|AAEG	LOC110191585|XP_020818129.1|DSER, LOC110189203|XP_020814832.1|DSER
OG0000593	LOC5569992|XP_001658881.1|AAEG, LOC110678504|XP_021707160.1|AAEG	LOC110186802|XP_020811743.1|DSER, LOC110181831|XP_020805393.1|DSER
OG0000594	LOC5567423|XP_001657403.1|AAEG	LOC110186598|XP_020811485.1|DSER, LOC110176626|XP_020798710.1|DSER
OG0000595	LOC5573372|XP_021712996.1|AAEG	LOC110184071|XP_020808114.1|DSER, LOC110188373|XP_020813746.1|DSER
OG0000596	LOC5569242|XP_021713275.1|AAEG	LOC110179486|XP_020802719.1|DSER, LOC110176451|XP_020798462.1|DSER
OG0000597	LOC5580165|XP_021692926.1|AAEG	LOC110187848|XP_020812991.1|DSER, LOC110191370|XP_020817881.1|DSER
OG0000598	LOC5564380|XP_001648725.1|AAEG, LOC5564382|XP_001648727.1|AAEG, LOC5564381|XP_001648726.1|AAEG	LOC110188127|XP_020813374.1|DSER
OG0000599	LOC5574457|XP_001661473.2|AAEG, LOC5563655|XP_021709330.1|AAEG	LOC110178641|XP_020801492.1|DSER, LOC110178633|XP_020801479.1|DSER
OG0000600	LOC5574458|XP_001661472.1|AAEG	LOC110189482|XP_020815228.1|DSER, LOC110189256|XP_020814925.1|DSER
OG0000601	LOC110676327|XP_021699471.1|AAEG	LOC110185680|XP_020810306.1|DSER, LOC110177565|XP_020800001.1|DSER, LOC110188792|XP_020814306.1|DSER
OG0000602	LOC5565773|XP_001650121.1|AAEG	LOC110185847|XP_020810513.1|DSER, LOC110185754|XP_020810412.1|DSER
OG0000603	LOC5569072|XP_021703041.1|AAEG	LOC110176878|XP_020799013.1|DSER
OG0000604	LOC5566987|XP_001651390.1|AAEG	LOC110182327|XP_020806018.1|DSER, LOC110182326|XP_020806017.1|DSER
OG0000605	LOC5568178|XP_021703896.1|AAEG, LOC5568172|XP_001652108.2|AAEG, LOC5568173|XP_001652109.1|AAEG, LOC5568169|XP_021703894.1|AAEG, LOC5568164|XP_001652105.2|AAEG	LOC110179891|XP_020803150.1|DSER, LOC110187456|XP_020812503.1|DSER
OG0000606	LOC5570005|XP_001658888.1|AAEG	LOC110177352|XP_020799703.1|DSER
OG0000607	LOC5570154|XP_001658956.1|AAEG	LOC110190852|XP_020817160.1|DSER, LOC110187682|XP_020812772.1|DSER
OG0000608	LOC5567031|XP_001651423.1|AAEG	LOC110186172|XP_020810885.1|DSER, LOC110186241|XP_020810966.1|DSER
OG0000609	LOC5574870|XP_021709064.1|AAEG	LOC110185774|XP_020810436.1|DSER, LOC110176930|XP_020799085.1|DSER, LOC110180528|XP_020803855.1|DSER
OG0000610	LOC5579045|XP_011493105.1|AAEG	LOC110185216|XP_020809604.1|DSER, LOC110177774|XP_020800299.1|DSER
OG0000611	LOC5572224|XP_021705793.1|AAEG	LOC110179244|XP_020802359.1|DSER, LOC110181452|XP_020804861.1|DSER
OG0000614	LOC5578387|XP_021694851.1|AAEG	LOC110191097|XP_020817502.1|DSER, LOC110175982|XP_020797840.1|DSER
OG0000615	LOC5569196|XP_021699444.1|AAEG	LOC110182641|XP_020806369.1|DSER, LOC110188748|XP_020814248.1|DSER
OG0000616	LOC5564988|XP_001649322.2|AAEG	LOC110182634|XP_020806359.1|DSER, LOC110182633|XP_020806356.1|DSER, LOC110182632|XP_020806353.1|DSER
OG0000617	LOC5577523|XP_001656544.2|AAEG, LOC110674002|XP_021711205.1|AAEG	LOC110177319|XP_020799652.1|DSER, LOC110190963|XP_020817312.1|DSER
OG0000618	LOC5566485|XP_001650875.1|AAEG	LOC110191053|XP_020817438.1|DSER
OG0000619	LOC5566457|XP_001650838.1|AAEG	LOC110178445|XP_020801238.1|DSER
OG0000620	LOC5570947|XP_001653412.2|AAEG	LOC110184175|XP_020808245.1|DSER, LOC110190629|XP_020816881.1|DSER
OG0000621	LOC5568436|XP_001652269.1|AAEG	LOC110188201|XP_020813457.1|DSER, LOC110179492|XP_020802725.1|DSER
OG0000622	LOC5569846|XP_021696307.1|AAEG	LOC110178749|XP_020801640.1|DSER, LOC110190510|XP_020816691.1|DSER
OG0000623	LOC5572347|XP_001660306.2|AAEG	LOC110186983|XP_020812001.1|DSER, LOC110176698|XP_020798792.1|DSER
OG0000624	LOC5569174|XP_001658351.2|AAEG	LOC110189665|XP_020815469.1|DSER, LOC110189664|XP_020815468.1|DSER
OG0000625	LOC5564078|XP_021698835.1|AAEG	LOC110190464|XP_020816632.1|DSER, LOC110190571|XP_020816805.1|DSER
OG0000626	LOC5569119|XP_001652722.1|AAEG	LOC110178151|XP_020800842.1|DSER, LOC110181093|XP_020804421.1|DSER
OG0000627	LOC5564979|XP_001649333.2|AAEG	LOC110185256|XP_020809651.1|DSER, LOC110180617|XP_020803960.1|DSER
OG0000628	LOC5565869|XP_001650228.1|AAEG	LOC110182378|XP_020806079.1|DSER, LOC110183345|XP_020807258.1|DSER
OG0000629	LOC5580315|XP_001663037.1|AAEG	LOC110187758|XP_020812881.1|DSER, LOC110187447|XP_020812494.1|DSER
OG0000630	LOC5575168|XP_021702281.1|AAEG	LOC110181379|XP_020804767.1|DSER, LOC110181363|XP_020804746.1|DSER
OG0000631	LOC5569442|XP_021702401.1|AAEG	LOC110187312|XP_020812360.1|DSER, LOC110177653|XP_020800123.1|DSER, LOC110182406|XP_020806104.1|DSER, LOC110185944|XP_020810619.1|DSER
OG0000632	LOC5573892|XP_021703330.1|AAEG	LOC110179178|XP_020802238.1|DSER, LOC110186043|XP_020810741.1|DSER
OG0000635	LOC5572315|XP_001654005.2|AAEG	LOC110183000|XP_020806882.1|DSER, LOC110177595|XP_020800048.1|DSER
OG0000636	LOC5578295|XP_001656875.1|AAEG	LOC110181388|XP_020804778.1|DSER, LOC110181389|XP_020804779.1|DSER
OG0000637	LOC5564774|XP_021704609.1|AAEG	LOC110187038|XP_020812061.1|DSER, LOC110187034|XP_020812056.1|DSER
OG0000638	LOC5573827|XP_021706608.1|AAEG	LOC110191344|XP_020817850.1|DSER, LOC110181512|XP_020804945.1|DSER
OG0000639	LOC5567245|XP_021710885.1|AAEG	LOC110189840|XP_020815704.1|DSER
OG0000646	LOC110674862|XP_021695067.1|AAEG	LOC110189449|XP_020815185.1|DSER, LOC110184027|XP_020808054.1|DSER
OG0000647	LOC5579005|XP_021694209.1|AAEG	LOC110176668|XP_020798762.1|DSER, LOC110191092|XP_020817495.1|DSER, LOC110184420|XP_020808614.1|DSER
OG0000648	LOC5570655|XP_021706985.1|AAEG	LOC110184364|XP_020808516.1|DSER
OG0000649	LOC5571800|XP_001659930.2|AAEG	LOC110175956|XP_020797803.1|DSER, LOC110176001|XP_020797861.1|DSER
OG0000650	LOC5573407|XP_001654581.2|AAEG	LOC110191073|XP_020817465.1|DSER
OG0000651	LOC5565048|XP_001649404.1|AAEG	LOC110189963|XP_020815911.1|DSER, LOC110178651|XP_020801502.1|DSER
OG0000652	LOC5573370|XP_001660865.1|AAEG	LOC110182934|XP_020806772.1|DSER, LOC110183534|XP_020807493.1|DSER
OG0000653	LOC5576350|XP_021693310.1|AAEG, LOC5576348|XP_001656086.1|AAEG, LOC5576346|XP_001656087.2|AAEG	LOC110190581|XP_020816833.1|DSER, LOC110178713|XP_020801575.1|DSER
OG0000654	LOC5568292|XP_021697103.1|AAEG	LOC110190379|XP_020816468.1|DSER
OG0000655	LOC5575242|XP_001655652.1|AAEG	LOC110182239|XP_020805920.1|DSER, LOC110179530|XP_020802769.1|DSER, LOC110179523|XP_020802759.1|DSER
OG0000656	LOC5574633|XP_001661549.2|AAEG	LOC110176652|XP_020798742.1|DSER, LOC110176653|XP_020798745.1|DSER
OG0000657	LOC5580250|XP_001662649.1|AAEG	LOC110184492|XP_020808705.1|DSER, LOC110177050|XP_020799225.1|DSER
OG0000658	LOC5578313|XP_001656889.1|AAEG	LOC110179734|XP_020803010.1|DSER, LOC110187869|XP_020813012.1|DSER
OG0000659	LOC5576865|XP_001662960.1|AAEG	LOC110186108|XP_020810814.1|DSER, LOC110183249|XP_020807130.1|DSER
OG0000660	LOC5565850|XP_001650194.1|AAEG	LOC110183976|XP_020807990.1|DSER
OG0000661	LOC5567335|XP_001651759.1|AAEG	LOC110188715|XP_020814183.1|DSER, LOC110179184|XP_020802254.1|DSER
OG0000662	LOC5568430|XP_001652258.1|AAEG	LOC110183716|XP_020807724.1|DSER, LOC110182446|XP_020806141.1|DSER
OG0000663	LOC5568431|XP_001652261.2|AAEG	LOC110184096|XP_020808140.1|DSER
OG0000664	LOC5572517|XP_001660456.1|AAEG	LOC110183251|XP_020807135.1|DSER
OG0000665	LOC5575634|XP_001655779.1|AAEG, LOC110681162|XP_021712622.1|AAEG	LOC110186677|XP_020811603.1|DSER, LOC110186663|XP_020811587.1|DSER
OG0000666	LOC5567515|XP_021710706.1|AAEG	LOC110182066|XP_020805695.1|DSER, LOC110181908|XP_020805501.1|DSER
OG0000667	LOC5564165|XP_021705035.1|AAEG	LOC110182591|XP_020806302.1|DSER, LOC110188085|XP_020813297.1|DSER
OG0000668	LOC5573885|XP_001654923.1|AAEG	LOC110185349|XP_020809785.1|DSER, LOC110191288|XP_020817754.1|DSER
OG0000669	LOC5563963|XP_021710654.1|AAEG	LOC110187066|XP_020812114.1|DSER, LOC110187127|XP_020812197.1|DSER
OG0000670	LOC110680765|XP_021712244.1|AAEG, LOC5572992|XP_001654319.1|AAEG	LOC110187480|XP_020812525.1|DSER, LOC110181536|XP_020804976.1|DSER
OG0000671	LOC5572082|XP_001660161.1|AAEG	LOC110187898|XP_020813052.1|DSER, LOC110176415|XP_020798416.1|DSER
OG0000672	LOC5568965|XP_001652618.1|AAEG	LOC110181765|XP_020805294.1|DSER, LOC110180199|XP_020803511.1|DSER
OG0000673	LOC5564117|XP_001648452.3|AAEG	LOC110184244|XP_020808359.1|DSER, LOC110189976|XP_020815924.1|DSER
OG0000677	LOC110674775|XP_021694756.1|AAEG	LOC110179030|XP_020802040.1|DSER, LOC110175940|XP_020797780.1|DSER
OG0000678	LOC5573033|XP_001654349.2|AAEG	LOC110191412|XP_020817928.1|DSER, LOC110178189|XP_020800883.1|DSER
