Orthogroup	AAEG.longest_only	BCOP.longest_only
OG0000303	LOC5570147|XP_001658948.1|AAEG	LOC119085022|XP_037051095.1|BCOP
OG0000304	LOC5578546|XP_001663937.2|AAEG	LOC119082809|XP_037048352.1|BCOP
OG0000306	LOC5564400|XP_021700130.1|AAEG	LOC119067200|XP_037025932.1|BCOP
OG0000307	LOC5579157|XP_001664252.1|AAEG	LOC119082217|XP_037047562.1|BCOP
OG0000307	LOC5570245|XP_021713081.1|AAEG	LOC119069966|XP_037030095.1|BCOP
OG0000310	LOC5571152|XP_001653467.1|AAEG, LOC5570814|XP_001653321.1|AAEG, LOC5578732|XP_021694742.1|AAEG	LOC119071675|XP_037032550.1|BCOP
OG0000311	LOC5568685|XP_021703015.1|AAEG	LOC119068547|XP_037028070.1|BCOP
OG0000312	LOC110677026|XP_021703144.1|AAEG	LOC119073038|XP_037034250.1|BCOP
OG0000312	LOC5568798|XP_021703147.1|AAEG, LOC5568795|XP_021703150.1|AAEG	LOC119073030|XP_037034242.1|BCOP
OG0000313	LOC23687880|XP_011493088.2|AAEG, LOC23687871|XP_021703472.1|AAEG	LOC119076263|XP_037038832.1|BCOP
OG0000314	LOC5570863|XP_021703791.1|AAEG	LOC119079033|XP_037042712.1|BCOP
OG0000315	LOC5567901|XP_001651940.1|AAEG, LOC5567900|XP_021710624.1|AAEG	LOC119081600|XP_037046530.1|BCOP
OG0000320	LOC110675562|XP_021696575.1|AAEG, LOC5570092|XP_001653079.2|AAEG, LOC5577406|XP_001656487.1|AAEG	LOC119070506|XP_037030758.1|BCOP
OG0000321	LOC5565074|XP_021707666.1|AAEG, LOC5573490|XP_001660908.1|AAEG, LOC5573497|XP_001660907.2|AAEG	LOC119066402|XP_037024758.1|BCOP, LOC119077079|XP_037040134.1|BCOP
OG0000322	LOC5574431|XP_001661445.1|AAEG	LOC119073840|XP_037035607.1|BCOP
OG0000323	LOC5570571|XP_001653239.1|AAEG	LOC119082091|XP_037047353.1|BCOP
OG0000324	LOC5579105|XP_021705724.1|AAEG	LOC119083568|XP_037049210.1|BCOP, LOC119066852|XP_037025414.1|BCOP, LOC119084265|XP_037050074.1|BCOP
OG0000325	LOC5564107|XP_001648468.1|AAEG, LOC5564111|XP_001648469.1|AAEG, LOC5567878|XP_001651911.2|AAEG, LOC5567879|XP_001651912.2|AAEG	LOC119067532|XP_037026481.1|BCOP, LOC119072810|XP_037033999.1|BCOP, LOC119071922|XP_037032939.1|BCOP
OG0000331	LOC110681173|XP_021712637.1|AAEG, LOC5578713|XP_021707823.1|AAEG	LOC119085094|XP_037051233.1|BCOP
OG0000332	LOC5571218|XP_001659599.2|AAEG	LOC119074533|XP_037036595.1|BCOP
OG0000332	LOC5574395|XP_001655100.1|AAEG, LOC5568345|XP_021710678.1|AAEG	LOC119069770|XP_037029801.1|BCOP
OG0000333	LOC5573678|XP_021698199.1|AAEG	LOC119077073|XP_037040116.1|BCOP
OG0000334	LOC23687404|XP_011493026.1|AAEG	LOC119072496|XP_037033633.1|BCOP
OG0000335	LOC5574493|XP_001655155.1|AAEG, LOC5572424|XP_001660370.1|AAEG	LOC119084089|XP_037049821.1|BCOP, LOC119082721|XP_037048196.1|BCOP, LOC119085128|XP_037051293.1|BCOP, LOC119076242|XP_037038801.1|BCOP
OG0000338	LOC110675820|XP_021697366.1|AAEG	LOC119078007|XP_037041294.1|BCOP
OG0000338	LOC5578234|XP_021696668.1|AAEG	LOC119083732|XP_037049426.1|BCOP, LOC119066489|XP_037024892.1|BCOP, LOC119083850|XP_037049552.1|BCOP
OG0000340	LOC5578444|XP_001656965.1|AAEG	LOC119071512|XP_037032276.1|BCOP
OG0000342	LOC5567100|XP_001651498.1|AAEG	LOC119081258|XP_037045890.1|BCOP
OG0000343	LOC5567772|XP_001657673.2|AAEG	LOC119068531|XP_037028036.1|BCOP
OG0000344	LOC5575730|XP_001662165.1|AAEG, LOC5575728|XP_021713110.1|AAEG, LOC5575729|XP_021713111.1|AAEG	LOC119081422|XP_037046227.1|BCOP, LOC119079476|XP_037043308.1|BCOP
OG0000345	LOC5573483|XP_021696026.1|AAEG	LOC119073774|XP_037035336.1|BCOP
OG0000345	LOC5570369|XP_021712626.1|AAEG, LOC5570368|XP_001659085.2|AAEG, LOC110681148|XP_021712608.1|AAEG	LOC119072359|XP_037033443.1|BCOP
OG0000346	LOC5574270|XP_021698952.1|AAEG	LOC119073446|XP_037034834.1|BCOP, LOC119073447|XP_037034835.1|BCOP
OG0000347	LOC5568488|XP_021701773.1|AAEG	LOC119083271|XP_037048852.1|BCOP
OG0000348	LOC5572802|XP_021702685.1|AAEG	LOC119078747|XP_037042342.1|BCOP
OG0000349	LOC5567301|XP_001651734.2|AAEG	LOC119066541|XP_037024966.1|BCOP
OG0000351	LOC5569262|XP_001658407.1|AAEG	LOC119086050|XP_037052519.1|BCOP
OG0000351	LOC5564699|XP_001649042.2|AAEG	LOC119081793|XP_037046898.1|BCOP
OG0000352	LOC110674031|XP_021692971.1|AAEG	LOC119075497|XP_037037857.1|BCOP, LOC119078906|XP_037042530.1|BCOP, LOC119085660|XP_037052002.1|BCOP
OG0000353	LOC5564379|XP_001648723.1|AAEG	LOC119076419|XP_037039057.1|BCOP
OG0000353	LOC5577723|XP_001656676.1|AAEG	LOC119078690|XP_037042246.1|BCOP
OG0000355	LOC5567698|XP_021699785.1|AAEG, LOC5567699|XP_021699787.1|AAEG	LOC119073525|XP_037034957.1|BCOP, LOC119073519|XP_037034946.1|BCOP
OG0000356	LOC5565896|XP_001650274.2|AAEG	LOC119066150|XP_037024343.1|BCOP
OG0000356	LOC5575669|XP_001662128.2|AAEG	LOC119082767|XP_037048255.1|BCOP, LOC119082769|XP_037048258.1|BCOP, LOC119082770|XP_037048260.1|BCOP
OG0000361	LOC5574713|XP_021694717.1|AAEG	LOC119067236|XP_037025990.1|BCOP
OG0000362	LOC5565060|XP_021705306.1|AAEG	LOC119077956|XP_037041225.1|BCOP
OG0000362	LOC5568690|XP_021707623.1|AAEG	LOC119070686|XP_037031031.1|BCOP
OG0000363	LOC5567380|XP_021708774.1|AAEG	LOC119077736|XP_037040910.1|BCOP
OG0000363	LOC5566288|XP_021696532.1|AAEG	LOC119081248|XP_037045869.1|BCOP
OG0000364	LOC5566330|XP_021696724.1|AAEG	LOC119067630|XP_037026618.1|BCOP
OG0000364	LOC5566333|XP_021712565.1|AAEG, LOC5566332|XP_021696722.1|AAEG	LOC119073729|XP_037035242.1|BCOP
OG0000364	LOC5566335|XP_021696726.1|AAEG	LOC119073731|XP_037035258.1|BCOP
OG0000365	LOC5571839|XP_021697172.1|AAEG	LOC119077426|XP_037040546.1|BCOP
OG0000365	LOC5568775|XP_021700717.1|AAEG	LOC119076237|XP_037038792.1|BCOP
OG0000366	LOC5568664|XP_021705763.1|AAEG	LOC119068589|XP_037028130.1|BCOP
OG0000366	LOC5567388|XP_021707665.1|AAEG	LOC119084358|XP_037050199.1|BCOP
OG0000367	LOC5579666|XP_001648122.2|AAEG, LOC5579650|XP_021705459.1|AAEG, LOC5579651|XP_021708583.1|AAEG	LOC119083166|XP_037048708.1|BCOP
OG0000368	LOC5564133|XP_001648461.1|AAEG, LOC5564130|XP_001648458.1|AAEG	LOC119077211|XP_037040291.1|BCOP
OG0000376	LOC5566228|XP_001650616.1|AAEG	LOC119067548|XP_037026508.1|BCOP
OG0000377	LOC5566613|XP_021700697.1|AAEG, LOC5579903|XP_001657883.2|AAEG, LOC5579904|XP_021711596.1|AAEG, LOC5578379|XP_021707368.1|AAEG	LOC119068724|XP_037028311.1|BCOP, LOC119072152|XP_037033188.1|BCOP
OG0000378	LOC5570810|XP_021704356.1|AAEG, LOC5566281|XP_001650659.2|AAEG	LOC119075875|XP_037038334.1|BCOP, LOC119070094|XP_037030300.1|BCOP, LOC119079900|XP_037043884.1|BCOP
OG0000379	LOC5571189|XP_001653515.1|AAEG	LOC119079407|XP_037043192.1|BCOP
OG0000380	LOC5575706|XP_001662150.1|AAEG	LOC119077504|XP_037040628.1|BCOP
OG0000381	LOC5569374|XP_021700452.1|AAEG	LOC119070927|XP_037031365.1|BCOP
OG0000382	LOC5567819|XP_021704185.1|AAEG, LOC5570832|XP_001653339.1|AAEG	LOC119085521|XP_037051831.1|BCOP, LOC119075789|XP_037038247.1|BCOP, LOC119076298|XP_037038857.1|BCOP
OG0000383	LOC5572674|XP_001660494.2|AAEG, LOC5575161|XP_001655538.2|AAEG	LOC119078292|XP_037041681.1|BCOP, LOC119078293|XP_037041682.1|BCOP, LOC119075711|XP_037038129.1|BCOP, LOC119076382|XP_037038996.1|BCOP, LOC119073281|XP_037034560.1|BCOP, LOC119077405|XP_037040510.1|BCOP
OG0000384	LOC5564813|XP_001649162.2|AAEG	LOC119081632|XP_037046579.1|BCOP
OG0000384	LOC110677033|XP_021703202.1|AAEG	LOC119081631|XP_037046578.1|BCOP
OG0000385	LOC5570568|XP_001653236.2|AAEG	LOC119069487|XP_037029452.1|BCOP
OG0000385	LOC5577771|XP_001663546.2|AAEG	LOC119073148|XP_037034343.1|BCOP, LOC119073149|XP_037034345.1|BCOP
OG0000386	LOC23687815|XP_021704948.1|AAEG	LOC119076950|XP_037039898.1|BCOP
OG0000389	LOC5575835|XP_021694446.1|AAEG	LOC119068236|XP_037027651.1|BCOP
OG0000389	LOC5578678|XP_021708389.1|AAEG	LOC119080247|XP_037044392.1|BCOP
OG0000390	LOC5577491|XP_021707307.1|AAEG, LOC5577490|XP_021707306.1|AAEG, LOC110680865|XP_021712346.1|AAEG, LOC5567714|XP_001657626.2|AAEG, LOC5578405|XP_001663870.2|AAEG, LOC5570107|XP_001653082.1|AAEG, LOC5569521|XP_001652831.1|AAEG	LOC119069527|XP_037029496.1|BCOP, LOC119072159|XP_037033211.1|BCOP, LOC119075143|XP_037037430.1|BCOP, LOC119068172|XP_037027552.1|BCOP
OG0000391	LOC5570464|XP_021701402.1|AAEG	LOC119083572|XP_037049213.1|BCOP
OG0000391	LOC23687692|XP_021704615.1|AAEG	LOC119082568|XP_037047991.1|BCOP
OG0000392	LOC5570445|XP_021701887.1|AAEG, LOC5564419|XP_021701877.1|AAEG	LOC119076352|XP_037038944.1|BCOP, LOC119076375|XP_037038986.1|BCOP
OG0000393	LOC110675223|XP_021695341.1|AAEG	LOC119075844|XP_037038286.1|BCOP
OG0000394	LOC5570039|XP_001658928.1|AAEG	LOC119081515|XP_037046420.1|BCOP, LOC119081232|XP_037045853.1|BCOP
OG0000399	LOC5567097|XP_001651486.2|AAEG	LOC119069132|XP_037028932.1|BCOP
OG0000400	LOC5580067|XP_021694881.1|AAEG	LOC119068343|XP_037027794.1|BCOP, LOC119071263|XP_037032012.1|BCOP
OG0000401	LOC5571309|XP_001653624.2|AAEG	LOC119070397|XP_037030612.1|BCOP
OG0000402	LOC5569079|XP_001658308.1|AAEG, LOC5576656|XP_001656196.1|AAEG, LOC5576654|XP_021705495.1|AAEG, LOC5574467|XP_001655129.2|AAEG, LOC5576651|XP_001656193.1|AAEG, LOC5576652|XP_001656194.1|AAEG	LOC119085779|XP_037052174.1|BCOP, LOC119085789|XP_037052185.1|BCOP, LOC119085815|XP_037052202.1|BCOP, LOC119074641|XP_037036812.1|BCOP, LOC119069172|XP_037028988.1|BCOP, LOC119085637|XP_037051976.1|BCOP, LOC119085750|XP_037052130.1|BCOP, LOC119085771|XP_037052162.1|BCOP, LOC119085617|XP_037051940.1|BCOP
OG0000402	LOC5564404|XP_021700208.1|AAEG	LOC119068987|XP_037028754.1|BCOP, LOC119074271|XP_037036188.1|BCOP
OG0000403	LOC5575873|XP_021704883.1|AAEG	LOC119073963|XP_037035762.1|BCOP
OG0000404	LOC5578688|XP_001657086.2|AAEG, LOC5578691|XP_001657089.2|AAEG, LOC5579410|XP_021711070.1|AAEG, LOC5578692|XP_021711033.1|AAEG, LOC5578689|XP_001657087.2|AAEG	LOC119069038|XP_037028802.1|BCOP
OG0000405	LOC5576131|XP_001662477.2|AAEG	LOC119069670|XP_037029683.1|BCOP
OG0000406	LOC5568131|XP_021698131.1|AAEG, LOC5566267|XP_001650660.1|AAEG	LOC119081238|XP_037045860.1|BCOP
OG0000407	LOC5567374|XP_001657389.1|AAEG	LOC119075885|XP_037038349.1|BCOP, LOC119077364|XP_037040444.1|BCOP
OG0000407	LOC5571596|XP_021697332.1|AAEG	LOC119078083|XP_037041440.1|BCOP
OG0000408	LOC5570724|XP_001659317.1|AAEG	LOC119085892|XP_037052324.1|BCOP, LOC119085890|XP_037052322.1|BCOP, LOC119071801|XP_037032762.1|BCOP
OG0000409	LOC5570907|XP_021700630.1|AAEG	LOC119081920|XP_037047057.1|BCOP
OG0000410	LOC5575157|XP_001655534.1|AAEG	LOC119085985|XP_037052445.1|BCOP
OG0000411	LOC5566158|XP_001650539.1|AAEG	LOC119072768|XP_037033957.1|BCOP
OG0000411	LOC5564918|XP_001649286.1|AAEG	LOC119066259|XP_037024507.1|BCOP
OG0000412	LOC5574516|XP_021708166.1|AAEG, LOC5574515|XP_021708169.1|AAEG	LOC119072266|XP_037033352.1|BCOP, LOC119074392|XP_037036407.1|BCOP
OG0000413	LOC5567054|XP_001651429.2|AAEG	LOC119081075|XP_037045713.1|BCOP, LOC119083270|XP_037048851.1|BCOP
OG0000414	LOC23687918|XP_021709829.1|AAEG, LOC5567300|XP_021709833.1|AAEG, LOC5567305|XP_021709831.1|AAEG	LOC119071902|XP_037032907.1|BCOP, LOC119078540|XP_037042004.1|BCOP
OG0000415	LOC5574783|XP_001655340.1|AAEG	LOC119078879|XP_037042495.1|BCOP, LOC119072483|XP_037033610.1|BCOP
OG0000416	LOC5568416|XP_001658068.2|AAEG	LOC119068914|XP_037028672.1|BCOP
OG0000416	LOC5564064|XP_001648376.1|AAEG	LOC119070339|XP_037030522.1|BCOP
OG0000417	LOC5566091|XP_021708981.1|AAEG	LOC119067951|XP_037027166.1|BCOP
OG0000417	LOC5567927|XP_021699404.1|AAEG	LOC119072578|XP_037033722.1|BCOP, LOC119070102|XP_037030312.1|BCOP
OG0000418	LOC5564390|XP_001648753.2|AAEG, LOC5575420|XP_021699880.1|AAEG, LOC5575418|XP_021699898.1|AAEG	LOC119069913|XP_037030024.1|BCOP, LOC119077957|XP_037041226.1|BCOP, LOC119069912|XP_037030021.1|BCOP
OG0000419	LOC5570733|XP_021697362.1|AAEG	LOC119080011|XP_037044082.1|BCOP
OG0000420	LOC5578258|XP_021697485.1|AAEG, LOC5578901|XP_021697304.1|AAEG, LOC5575709|XP_001662156.2|AAEG, LOC5571594|XP_001653712.2|AAEG, LOC5571603|XP_001653713.2|AAEG, LOC5574913|XP_021697296.1|AAEG, LOC5575893|XP_001655897.2|AAEG, LOC5575894|XP_001655898.2|AAEG, LOC5575895|XP_021697299.1|AAEG, LOC110675122|XP_021695192.1|AAEG, LOC5578255|XP_021697488.1|AAEG, LOC5578253|XP_021697487.1|AAEG, LOC5578260|XP_021697489.1|AAEG, LOC5578259|XP_021697493.1|AAEG	LOC119071642|XP_037032499.1|BCOP
OG0000421	LOC5569086|XP_021703057.1|AAEG	LOC119070896|XP_037031317.1|BCOP
OG0000421	LOC5570822|XP_021702186.1|AAEG	LOC119075312|XP_037037621.1|BCOP
OG0000422	LOC5573930|XP_021703369.1|AAEG, LOC110681118|XP_021712577.1|AAEG, LOC110675236|XP_021695377.1|AAEG, LOC5573929|XP_021703368.1|AAEG, LOC5573927|XP_001654963.2|AAEG, LOC5573931|XP_001654967.2|AAEG	LOC119082139|XP_037047413.1|BCOP, LOC119067832|XP_037026904.1|BCOP, LOC119066110|XP_037024282.1|BCOP, LOC119071053|XP_037031566.1|BCOP
OG0000422	LOC5570229|XP_001659008.2|AAEG	LOC119078059|XP_037041429.1|BCOP, LOC119077681|XP_037040878.1|BCOP, LOC119077605|XP_037040750.1|BCOP, LOC119078233|XP_037041633.1|BCOP
OG0000423	LOC5563591|XP_001647935.2|AAEG, LOC5563575|XP_001647937.2|AAEG, LOC5563586|XP_001647936.2|AAEG	LOC119071892|XP_037032887.1|BCOP
OG0000424	LOC23687932|XP_021710750.1|AAEG	LOC119071386|XP_037032150.1|BCOP
OG0000425	LOC5571033|XP_001659462.2|AAEG	LOC119085394|XP_037051687.1|BCOP
OG0000425	LOC5571023|XP_021708459.1|AAEG	LOC119085445|XP_037051761.1|BCOP
OG0000433	LOC5574521|XP_001655172.1|AAEG	LOC119067715|XP_037026723.1|BCOP
OG0000433	LOC5564077|XP_001648404.2|AAEG	LOC119080957|XP_037045481.1|BCOP
OG0000434	LOC5574590|XP_011493595.2|AAEG	LOC119081547|XP_037046463.1|BCOP
OG0000434	LOC5570528|XP_001659208.2|AAEG	LOC119081557|XP_037046485.1|BCOP
OG0000435	LOC5580076|XP_001654832.2|AAEG, LOC5580075|XP_021698638.1|AAEG, LOC5574934|XP_001661737.2|AAEG, LOC5565897|XP_001650275.2|AAEG, LOC5568375|XP_001658029.2|AAEG, LOC5568373|XP_001658027.2|AAEG, LOC5569828|XP_001658735.2|AAEG, LOC5574241|XP_021697225.1|AAEG	LOC119069656|XP_037029670.1|BCOP
OG0000437	LOC5577304|XP_001663334.1|AAEG	LOC119082280|XP_037047651.1|BCOP
OG0000437	LOC5573669|XP_001660991.1|AAEG	LOC119084491|XP_037050396.1|BCOP
OG0000438	LOC5578150|XP_001663721.2|AAEG	LOC119081686|XP_037046672.1|BCOP
OG0000439	LOC5564327|XP_001648654.2|AAEG	LOC119072864|XP_037034066.1|BCOP
OG0000439	LOC5567214|XP_001651644.2|AAEG	LOC119066792|XP_037025350.1|BCOP
OG0000440	LOC110676860|XP_021701990.1|AAEG	LOC119081700|XP_037046700.1|BCOP
OG0000441	LOC5573074|XP_001660703.2|AAEG	LOC119068102|XP_037027421.1|BCOP
OG0000442	LOC5579172|XP_021710146.1|AAEG	LOC119082151|XP_037047447.1|BCOP, LOC119077460|XP_037040561.1|BCOP
OG0000444	LOC5567217|XP_001651646.3|AAEG, LOC5567436|XP_021706495.1|AAEG	LOC119066750|XP_037025276.1|BCOP, LOC119082651|XP_037048128.1|BCOP
OG0000448	LOC23687587|XP_021694447.1|AAEG	LOC119068228|XP_037027631.1|BCOP, LOC119078003|XP_037041277.1|BCOP, LOC119085502|XP_037051813.1|BCOP, LOC119073203|XP_037034408.1|BCOP
OG0000449	LOC5572858|XP_001660618.2|AAEG	LOC119074382|XP_037036392.1|BCOP
OG0000450	LOC110680460|XP_021711955.1|AAEG, LOC5576465|XP_021700332.1|AAEG	LOC119067806|XP_037026850.1|BCOP
OG0000450	LOC110674772|XP_021694752.1|AAEG	LOC119069185|XP_037029014.1|BCOP
OG0000451	LOC5571503|XP_001659753.1|AAEG	LOC119083054|XP_037048572.1|BCOP
OG0000451	LOC5571502|XP_021704118.1|AAEG	LOC119083043|XP_037048564.1|BCOP
OG0000453	LOC5578274|XP_001663802.2|AAEG, LOC5578275|XP_001663803.2|AAEG	LOC119069044|XP_037028809.1|BCOP
OG0000454	LOC5569151|XP_021700040.1|AAEG	LOC119081428|XP_037046244.1|BCOP
OG0000455	LOC5573467|XP_021697188.1|AAEG	LOC119084471|XP_037050351.1|BCOP
OG0000456	LOC5572063|XP_021703567.1|AAEG	LOC119081862|XP_037046991.1|BCOP
OG0000456	LOC5570893|XP_021700660.1|AAEG	LOC119081940|XP_037047096.1|BCOP
OG0000457	LOC5565766|XP_001650147.2|AAEG	LOC119078469|XP_037041917.1|BCOP
OG0000457	LOC5564329|XP_021700919.1|AAEG	LOC119078454|XP_037041880.1|BCOP
OG0000458	LOC5565843|XP_021703626.1|AAEG, LOC23687629|XP_021706599.1|AAEG, LOC5565841|XP_021703625.1|AAEG, LOC5565842|XP_001650218.2|AAEG	LOC119083128|XP_037048658.1|BCOP, LOC119075186|XP_037037472.1|BCOP
OG0000458	LOC5565387|XP_021700996.1|AAEG	LOC119079595|XP_037043484.1|BCOP, LOC119079594|XP_037043483.1|BCOP, LOC119084802|XP_037050764.1|BCOP, LOC119066719|XP_037025227.1|BCOP, LOC119076661|XP_037039440.1|BCOP
OG0000460	LOC5577624|XP_001656618.2|AAEG	LOC119078530|XP_037041991.1|BCOP
OG0000465	LOC5571253|XP_001653551.1|AAEG, LOC5577529|XP_021712948.1|AAEG	LOC119067946|XP_037027159.1|BCOP, LOC119081205|XP_037045819.1|BCOP
OG0000466	LOC5577984|XP_021713022.1|AAEG	LOC119068775|XP_037028429.1|BCOP
OG0000466	LOC5572786|XP_001654185.1|AAEG	LOC119066267|XP_037024515.1|BCOP
OG0000467	LOC5568475|XP_021695985.1|AAEG	LOC119074151|XP_037036046.1|BCOP, LOC119083429|XP_037049047.1|BCOP
OG0000468	LOC23687721|XP_021709274.1|AAEG	LOC119075149|XP_037037437.1|BCOP
OG0000468	LOC23687516|XP_011493435.1|AAEG	LOC119081771|XP_037046868.1|BCOP
OG0000469	LOC5565883|XP_021703807.1|AAEG	LOC119079084|XP_037042789.1|BCOP, LOC119079053|XP_037042746.1|BCOP
OG0000470	LOC5578138|XP_021707709.1|AAEG	LOC119078216|XP_037041569.1|BCOP
OG0000470	LOC5574556|XP_001661506.1|AAEG	LOC119078221|XP_037041577.1|BCOP
OG0000471	LOC110674399|XP_021694347.1|AAEG, LOC110678109|XP_021706404.1|AAEG, LOC5567989|XP_001657815.1|AAEG	LOC119085140|XP_037051312.1|BCOP
OG0000472	LOC110675412|XP_021696059.1|AAEG, LOC110674294|XP_021694267.1|AAEG, LOC110675342|XP_021695636.1|AAEG, LOC110679087|XP_021708727.1|AAEG, LOC110679611|XP_021710570.1|AAEG, LOC110679272|XP_021709271.1|AAEG, LOC110676899|XP_021702221.1|AAEG, LOC110678188|XP_021706502.1|AAEG, LOC110677233|XP_021703997.1|AAEG, LOC110675156|XP_021695236.1|AAEG, LOC110676674|XP_021701192.1|AAEG, LOC110678151|XP_021706464.1|AAEG, LOC110674326|XP_021694311.1|AAEG, LOC110676900|XP_021702229.1|AAEG, LOC5578923|XP_021703680.1|AAEG, LOC110675220|XP_021695334.1|AAEG	LOC119077528|XP_037040649.1|BCOP
OG0000473	LOC5569934|XP_001658830.2|AAEG	LOC119080264|XP_037044408.1|BCOP, LOC119069800|XP_037029850.1|BCOP
OG0000474	LOC5569558|XP_001658624.2|AAEG	LOC119081379|XP_037046155.1|BCOP
OG0000475	LOC5565629|XP_001649983.1|AAEG	LOC119070442|XP_037030687.1|BCOP
OG0000476	LOC5575604|XP_001662086.2|AAEG	LOC119067456|XP_037026334.1|BCOP
OG0000477	LOC5564209|XP_001648552.1|AAEG	LOC119081215|XP_037045836.1|BCOP
OG0000478	LOC5566225|XP_021696850.1|AAEG	LOC119071207|XP_037031898.1|BCOP
OG0000478	LOC5566220|XP_001650605.1|AAEG	LOC119080802|XP_037045267.1|BCOP, LOC119072042|XP_037033061.1|BCOP
OG0000479	LOC5571039|XP_001659472.1|AAEG, LOC5571038|XP_001659473.2|AAEG, LOC5571037|XP_001659474.1|AAEG	LOC119080776|XP_037045239.1|BCOP, LOC119069458|XP_037029404.1|BCOP
OG0000480	LOC5565774|XP_001650133.1|AAEG	LOC119085939|XP_037052387.1|BCOP
OG0000481	LOC110677210|XP_021703892.1|AAEG	LOC119066024|XP_037024136.1|BCOP, LOC119075260|XP_037037553.1|BCOP
OG0000482	LOC5564156|XP_001648504.1|AAEG, LOC5564158|XP_001648505.2|AAEG, LOC110680419|XP_021711910.1|AAEG	LOC119068376|XP_037027843.1|BCOP
OG0000483	LOC5563950|XP_001648275.2|AAEG, LOC5563953|XP_001648304.2|AAEG	LOC119079738|XP_037043739.1|BCOP
OG0000484	LOC5576159|XP_001662504.2|AAEG	LOC119083522|XP_037049136.1|BCOP, LOC119069580|XP_037029560.1|BCOP, LOC119077684|XP_037040840.1|BCOP, LOC119080355|XP_037044551.1|BCOP
OG0000485	LOC5570054|XP_001658946.1|AAEG	LOC119076451|XP_037039113.1|BCOP, LOC119084291|XP_037050113.1|BCOP, LOC119084458|XP_037050335.1|BCOP
OG0000486	LOC5565804|XP_001650170.2|AAEG	LOC119080487|XP_037044773.1|BCOP, LOC119066531|XP_037024947.1|BCOP, LOC119082804|XP_037048345.1|BCOP
OG0000489	LOC5566180|XP_021693011.1|AAEG, LOC5566818|XP_001651225.2|AAEG, LOC5566819|XP_001651227.2|AAEG, LOC5566178|XP_001650550.2|AAEG	LOC119070021|XP_037030197.1|BCOP
OG0000490	LOC5564407|XP_021699908.1|AAEG	LOC119068825|XP_037028492.1|BCOP
OG0000490	LOC5564043|XP_021703783.1|AAEG	LOC119078887|XP_037042505.1|BCOP
OG0000491	LOC5568339|XP_021710734.1|AAEG	LOC119073534|XP_037034970.1|BCOP
OG0000492	LOC5576114|XP_001662460.1|AAEG	LOC119070141|XP_037030362.1|BCOP
OG0000492	LOC5577628|XP_021702254.1|AAEG	LOC119066042|XP_037024161.1|BCOP
OG0000494	LOC5569984|XP_001658869.1|AAEG	LOC119079908|XP_037043894.1|BCOP
OG0000495	LOC5576051|XP_021701656.1|AAEG, LOC5576056|XP_021701652.1|AAEG	LOC119083767|XP_037049445.1|BCOP, LOC119083917|XP_037049624.1|BCOP, LOC119072727|XP_037033896.1|BCOP
OG0000496	LOC5575526|XP_021703709.1|AAEG	LOC119066241|XP_037024453.1|BCOP
OG0000497	LOC5569758|XP_021704072.1|AAEG	LOC119078655|XP_037042147.1|BCOP, LOC119079153|XP_037042864.1|BCOP
OG0000498	LOC5563949|XP_001648276.2|AAEG, LOC5563976|XP_001648277.2|AAEG	LOC119074352|XP_037036389.1|BCOP, LOC119074439|XP_037036505.1|BCOP, LOC119077710|XP_037040884.1|BCOP
OG0000499	LOC5572478|XP_001660426.1|AAEG	LOC119081984|XP_037047200.1|BCOP
OG0000500	LOC5576162|XP_001662510.3|AAEG	LOC119071040|XP_037031535.1|BCOP
OG0000500	LOC5577003|XP_021705393.1|AAEG	LOC119071045|XP_037031542.1|BCOP
OG0000504	LOC5571710|XP_021698830.1|AAEG, LOC5565972|XP_001650340.2|AAEG, LOC110674831|XP_021694990.1|AAEG, LOC110676201|XP_021698831.1|AAEG, LOC5565973|XP_021698828.1|AAEG	LOC119077990|XP_037041265.1|BCOP
OG0000505	LOC5575878|XP_021703710.1|AAEG, LOC5575881|XP_021703689.1|AAEG	LOC119067672|XP_037026673.1|BCOP
OG0000506	LOC5575876|XP_021709863.1|AAEG, LOC5575877|XP_021709869.1|AAEG, LOC5568369|XP_021693930.1|AAEG	LOC119068467|XP_037027957.1|BCOP, LOC119079970|XP_037044004.1|BCOP
OG0000507	LOC5565544|XP_001649911.1|AAEG	LOC119081653|XP_037046630.1|BCOP
OG0000507	LOC5574054|XP_021713281.1|AAEG	LOC119068763|XP_037028394.1|BCOP
OG0000508	LOC5568311|XP_021695181.1|AAEG, LOC110677246|XP_021704041.1|AAEG	LOC119081073|XP_037045709.1|BCOP
OG0000509	LOC5567324|XP_021698227.1|AAEG	LOC119073953|XP_037035734.1|BCOP
OG0000510	LOC5567701|XP_021699791.1|AAEG	LOC119081474|XP_037046366.1|BCOP
OG0000511	LOC5566989|XP_001651389.2|AAEG, LOC5564510|XP_001648852.1|AAEG	LOC119078667|XP_037042216.1|BCOP
OG0000513	LOC5575852|XP_001662263.2|AAEG	LOC119071560|XP_037032382.1|BCOP
OG0000514	LOC23687865|XP_021704006.1|AAEG	LOC119066747|XP_037025267.1|BCOP
OG0000515	LOC5577999|XP_001656737.2|AAEG, LOC5576214|XP_001655991.1|AAEG	LOC119080178|XP_037044299.1|BCOP
OG0000516	LOC5563973|XP_001648306.2|AAEG, LOC5563958|XP_001648307.2|AAEG, LOC5563956|XP_001648305.2|AAEG	LOC119074878|XP_037037111.1|BCOP
