Orthogroup	AAEG.longest_only	BTRY.longest_only
OG0000435	LOC5580076|XP_001654832.2|AAEG, LOC5580075|XP_021698638.1|AAEG, LOC5574934|XP_001661737.2|AAEG, LOC5565897|XP_001650275.2|AAEG, LOC5568375|XP_001658029.2|AAEG, LOC5568373|XP_001658027.2|AAEG, LOC5569828|XP_001658735.2|AAEG, LOC5574241|XP_021697225.1|AAEG	LOC120774231|XP_039959624.1|BTRY
OG0000436	LOC5570943|XP_001653409.2|AAEG	LOC120768968|XP_039951696.1|BTRY
OG0000437	LOC5577304|XP_001663334.1|AAEG	LOC120781389|XP_039969532.1|BTRY
OG0000437	LOC5573669|XP_001660991.1|AAEG	LOC120769054|XP_039951837.1|BTRY
OG0000438	LOC5578150|XP_001663721.2|AAEG	LOC120775835|XP_039962138.1|BTRY
OG0000439	LOC5564327|XP_001648654.2|AAEG	LOC120767996|XP_039950349.1|BTRY
OG0000439	LOC5567214|XP_001651644.2|AAEG	LOC120778369|XP_039966090.1|BTRY
OG0000440	LOC110676860|XP_021701990.1|AAEG	LOC120771326|XP_039955205.1|BTRY, LOC120771453|XP_039955398.1|BTRY
OG0000441	LOC5573074|XP_001660703.2|AAEG	LOC120773630|XP_039958570.1|BTRY, LOC120770035|XP_039953084.1|BTRY, LOC120772426|XP_039956971.1|BTRY, LOC120772252|XP_039956689.1|BTRY
OG0000443	LOC5568713|XP_021709748.1|AAEG, LOC5569780|XP_001658722.1|AAEG	LOC120767448|XP_039949449.1|BTRY
OG0000444	LOC5567217|XP_001651646.3|AAEG, LOC5567436|XP_021706495.1|AAEG	LOC120777609|XP_039964992.1|BTRY, LOC120777797|XP_039965263.1|BTRY
OG0000448	LOC23687587|XP_021694447.1|AAEG	LOC120782620|XP_039970921.1|BTRY
OG0000449	LOC5572858|XP_001660618.2|AAEG	LOC120776397|XP_039962951.1|BTRY
OG0000449	LOC5574532|XP_021694481.1|AAEG	LOC120767465|XP_039949487.1|BTRY
OG0000450	LOC110680460|XP_021711955.1|AAEG, LOC5576465|XP_021700332.1|AAEG	LOC120774365|XP_039959889.1|BTRY
OG0000450	LOC110674772|XP_021694752.1|AAEG	LOC120774824|XP_039960565.1|BTRY
OG0000451	LOC5571503|XP_001659753.1|AAEG	LOC120775737|XP_039961988.1|BTRY
OG0000451	LOC5571502|XP_021704118.1|AAEG	LOC120775735|XP_039961987.1|BTRY, LOC120775418|XP_039961530.1|BTRY
OG0000453	LOC5578274|XP_001663802.2|AAEG, LOC5578275|XP_001663803.2|AAEG	LOC120782890|XP_039971372.1|BTRY
OG0000454	LOC5569151|XP_021700040.1|AAEG	LOC120771593|XP_039955599.1|BTRY, LOC120771036|XP_039954758.1|BTRY
OG0000456	LOC5572063|XP_021703567.1|AAEG	LOC120779448|XP_039967629.1|BTRY
OG0000456	LOC5570893|XP_021700660.1|AAEG	LOC120768512|XP_039951171.1|BTRY
OG0000457	LOC5565766|XP_001650147.2|AAEG	LOC120781641|XP_039969806.1|BTRY
OG0000457	LOC5564329|XP_021700919.1|AAEG	LOC120768879|XP_039951566.1|BTRY
OG0000458	LOC5565843|XP_021703626.1|AAEG, LOC23687629|XP_021706599.1|AAEG, LOC5565841|XP_021703625.1|AAEG, LOC5565842|XP_001650218.2|AAEG, LOC5565387|XP_021700996.1|AAEG	LOC120768030|XP_039950444.1|BTRY
OG0000460	LOC5577624|XP_001656618.2|AAEG	LOC120768381|XP_039950981.1|BTRY
OG0000465	LOC5571253|XP_001653551.1|AAEG, LOC5577529|XP_021712948.1|AAEG	LOC120780110|XP_039968359.1|BTRY, LOC120772118|XP_039956467.1|BTRY
OG0000466	LOC5577984|XP_021713022.1|AAEG	LOC120773729|XP_039958719.1|BTRY
OG0000466	LOC5572786|XP_001654185.1|AAEG	LOC120768513|XP_039951175.1|BTRY
OG0000467	LOC5568475|XP_021695985.1|AAEG	LOC120772136|XP_039956488.1|BTRY, LOC120772332|XP_039956808.1|BTRY
OG0000468	LOC23687721|XP_021709274.1|AAEG	LOC120766448|XP_039947890.1|BTRY
OG0000468	LOC23687516|XP_011493435.1|AAEG	LOC120772763|XP_039957470.1|BTRY
OG0000469	LOC5565883|XP_021703807.1|AAEG	LOC120767891|XP_039950151.1|BTRY, LOC120767613|XP_039949700.1|BTRY
OG0000470	LOC5578138|XP_021707709.1|AAEG	LOC120778542|XP_039966325.1|BTRY
OG0000470	LOC5574556|XP_001661506.1|AAEG	LOC120782030|XP_039970120.1|BTRY
OG0000471	LOC110674399|XP_021694347.1|AAEG, LOC110678109|XP_021706404.1|AAEG, LOC5567989|XP_001657815.1|AAEG	LOC120767631|XP_039949725.1|BTRY, LOC120769192|XP_039952020.1|BTRY
OG0000472	LOC110675412|XP_021696059.1|AAEG, LOC110674294|XP_021694267.1|AAEG, LOC110675342|XP_021695636.1|AAEG, LOC110679087|XP_021708727.1|AAEG, LOC110679611|XP_021710570.1|AAEG, LOC110679272|XP_021709271.1|AAEG, LOC110676899|XP_021702221.1|AAEG, LOC110678188|XP_021706502.1|AAEG, LOC110677233|XP_021703997.1|AAEG, LOC110675156|XP_021695236.1|AAEG, LOC110676674|XP_021701192.1|AAEG, LOC110678151|XP_021706464.1|AAEG, LOC110674326|XP_021694311.1|AAEG, LOC110676900|XP_021702229.1|AAEG, LOC5578923|XP_021703680.1|AAEG, LOC110675220|XP_021695334.1|AAEG	LOC120780079|XP_039968283.1|BTRY, LOC120781524|XP_039969679.1|BTRY
OG0000473	LOC5569934|XP_001658830.2|AAEG	LOC120775766|XP_039962033.1|BTRY, LOC120775662|XP_039961864.1|BTRY
OG0000474	LOC5569558|XP_001658624.2|AAEG	LOC120775186|XP_039961175.1|BTRY
OG0000475	LOC5565629|XP_001649983.1|AAEG	LOC120767162|XP_039948919.1|BTRY, LOC120770612|XP_039954148.1|BTRY
OG0000476	LOC5575604|XP_001662086.2|AAEG	LOC120766557|XP_039948077.1|BTRY, LOC120770518|XP_039953995.1|BTRY
OG0000477	LOC5564209|XP_001648552.1|AAEG	LOC120775069|XP_039960995.1|BTRY, LOC120782442|XP_039970662.1|BTRY, LOC120774017|XP_039959237.1|BTRY, LOC120774008|XP_039959225.1|BTRY
OG0000478	LOC5566225|XP_021696850.1|AAEG, LOC5566220|XP_001650605.1|AAEG	LOC120772691|XP_039957364.1|BTRY, LOC120773038|XP_039957901.1|BTRY
OG0000479	LOC5571039|XP_001659472.1|AAEG, LOC5571038|XP_001659473.2|AAEG, LOC5571037|XP_001659474.1|AAEG	LOC120782720|XP_039971077.1|BTRY, LOC120779825|XP_039968130.1|BTRY, LOC120766753|XP_039948360.1|BTRY
OG0000480	LOC5565774|XP_001650133.1|AAEG	LOC120768928|XP_039951642.1|BTRY
OG0000481	LOC110677210|XP_021703892.1|AAEG	LOC120780528|XP_039968727.1|BTRY
OG0000483	LOC5563950|XP_001648275.2|AAEG, LOC5563953|XP_001648304.2|AAEG	LOC120766986|XP_039948724.1|BTRY
OG0000484	LOC5576159|XP_001662504.2|AAEG	LOC120766420|XP_039947886.1|BTRY, LOC120766487|XP_039948012.1|BTRY
OG0000485	LOC5570054|XP_001658946.1|AAEG	LOC120777647|XP_039965033.1|BTRY, LOC120777339|XP_039964522.1|BTRY
OG0000486	LOC5565804|XP_001650170.2|AAEG	LOC120771363|XP_039955254.1|BTRY, LOC120772509|XP_039957088.1|BTRY
OG0000489	LOC5566180|XP_021693011.1|AAEG, LOC5566818|XP_001651225.2|AAEG, LOC5566819|XP_001651227.2|AAEG, LOC5566178|XP_001650550.2|AAEG	LOC120766213|XP_039947516.1|BTRY, LOC120769711|XP_039952787.1|BTRY
OG0000490	LOC5564407|XP_021699908.1|AAEG	LOC120775304|XP_039961372.1|BTRY
OG0000490	LOC5564043|XP_021703783.1|AAEG	LOC120776015|XP_039962394.1|BTRY
OG0000491	LOC5568339|XP_021710734.1|AAEG	LOC120772631|XP_039957287.1|BTRY
OG0000492	LOC5576114|XP_001662460.1|AAEG	LOC120772323|XP_039956787.1|BTRY
OG0000492	LOC5577628|XP_021702254.1|AAEG	LOC120774473|XP_039960063.1|BTRY
OG0000493	LOC5571043|XP_021696304.1|AAEG	LOC120768974|XP_039951710.1|BTRY
OG0000494	LOC5569984|XP_001658869.1|AAEG	LOC120769283|XP_039952138.1|BTRY
OG0000495	LOC5576051|XP_021701656.1|AAEG, LOC5576056|XP_021701652.1|AAEG	LOC120770491|XP_039953940.1|BTRY, LOC120772615|XP_039957263.1|BTRY, LOC120770492|XP_039953943.1|BTRY
OG0000496	LOC5575526|XP_021703709.1|AAEG	LOC120768068|XP_039950524.1|BTRY
OG0000497	LOC5569758|XP_021704072.1|AAEG	LOC120768950|XP_039951670.1|BTRY, LOC120769545|XP_039952523.1|BTRY
OG0000498	LOC5563949|XP_001648276.2|AAEG, LOC5563976|XP_001648277.2|AAEG	LOC120782315|XP_039970465.1|BTRY, LOC120768227|XP_039950745.1|BTRY
OG0000499	LOC5572478|XP_001660426.1|AAEG	LOC120774341|XP_039959837.1|BTRY
OG0000500	LOC5576162|XP_001662510.3|AAEG, LOC5577003|XP_021705393.1|AAEG	LOC120778821|XP_039966760.1|BTRY, LOC120778855|XP_039966817.1|BTRY, LOC120778259|XP_039965970.1|BTRY
OG0000504	LOC5571710|XP_021698830.1|AAEG, LOC5565972|XP_001650340.2|AAEG, LOC110674831|XP_021694990.1|AAEG, LOC110676201|XP_021698831.1|AAEG, LOC5565973|XP_021698828.1|AAEG	LOC120776440|XP_039963029.1|BTRY, LOC120776441|XP_039963032.1|BTRY, LOC120778621|XP_039966438.1|BTRY, LOC120776645|XP_039963412.1|BTRY, LOC120777904|XP_039965419.1|BTRY
OG0000505	LOC5575878|XP_021703710.1|AAEG, LOC5575881|XP_021703689.1|AAEG	LOC120775324|XP_039961397.1|BTRY, LOC120774415|XP_039959976.1|BTRY
OG0000506	LOC5575876|XP_021709863.1|AAEG, LOC5575877|XP_021709869.1|AAEG, LOC5568369|XP_021693930.1|AAEG	LOC120766859|XP_039948522.1|BTRY, LOC120782649|XP_039970957.1|BTRY
OG0000507	LOC5565544|XP_001649911.1|AAEG	LOC120773974|XP_039959153.1|BTRY
OG0000507	LOC5574054|XP_021713281.1|AAEG	LOC120773975|XP_039959154.1|BTRY
OG0000508	LOC5568311|XP_021695181.1|AAEG, LOC110677246|XP_021704041.1|AAEG	LOC120776949|XP_039963970.1|BTRY
OG0000509	LOC5567324|XP_021698227.1|AAEG	LOC120772985|XP_039957831.1|BTRY
OG0000510	LOC5567701|XP_021699791.1|AAEG	LOC120768650|XP_039951355.1|BTRY, LOC120770550|XP_039954057.1|BTRY, LOC120772271|XP_039956709.1|BTRY
OG0000511	LOC5566989|XP_001651389.2|AAEG, LOC5564510|XP_001648852.1|AAEG	LOC120769370|XP_039952267.1|BTRY, LOC120769224|XP_039952054.1|BTRY
OG0000512	LOC23687743|XP_021701399.1|AAEG, LOC23687655|XP_011493370.2|AAEG	LOC120768852|XP_039951539.1|BTRY, LOC120767601|XP_039949685.1|BTRY, LOC120768275|XP_039950808.1|BTRY, LOC120767602|XP_039949686.1|BTRY
OG0000513	LOC5575852|XP_001662263.2|AAEG	LOC120769179|XP_039951999.1|BTRY, LOC120768966|XP_039951693.1|BTRY
OG0000514	LOC23687865|XP_021704006.1|AAEG	LOC120769684|XP_039952740.1|BTRY, LOC120769689|XP_039952749.1|BTRY
OG0000515	LOC5577999|XP_001656737.2|AAEG, LOC5576214|XP_001655991.1|AAEG	LOC120779487|XP_039967707.1|BTRY, LOC120779596|XP_039967875.1|BTRY, LOC120782348|XP_039970514.1|BTRY
OG0000516	LOC5563973|XP_001648306.2|AAEG, LOC5563958|XP_001648307.2|AAEG, LOC5563956|XP_001648305.2|AAEG	LOC120774305|XP_039959770.1|BTRY, LOC120774648|XP_039960307.1|BTRY
OG0000517	LOC5565741|XP_001650092.2|AAEG	LOC120777075|XP_039964137.1|BTRY, LOC120777077|XP_039964140.1|BTRY
OG0000521	LOC23687658|XP_021694216.1|AAEG	LOC120775638|XP_039961825.1|BTRY
OG0000522	LOC5578806|XP_021699844.1|AAEG	LOC120774539|XP_039960199.1|BTRY
OG0000523	LOC5576121|XP_001662467.1|AAEG	LOC120780298|XP_039968523.1|BTRY
OG0000523	LOC5564391|XP_001648748.1|AAEG	LOC120774979|XP_039960814.1|BTRY
OG0000524	LOC5570276|XP_001659032.1|AAEG	LOC120769532|XP_039952508.1|BTRY
OG0000525	LOC5571821|XP_001659953.1|AAEG, LOC5571822|XP_001659954.2|AAEG	LOC120770398|XP_039953764.1|BTRY, LOC120770397|XP_039953762.1|BTRY, LOC120770400|XP_039953768.1|BTRY, LOC120771845|XP_039956021.1|BTRY
OG0000526	LOC5580247|XP_001662644.1|AAEG	LOC120780162|XP_039968375.1|BTRY
OG0000527	LOC5577413|XP_021700511.1|AAEG, LOC5564164|XP_021700512.1|AAEG	LOC120767406|XP_039949378.1|BTRY, LOC120769357|XP_039952252.1|BTRY
OG0000528	LOC5568778|XP_021700715.1|AAEG, LOC5568779|XP_001658144.1|AAEG, LOC5568783|XP_001658148.2|AAEG, LOC5568782|XP_001658147.1|AAEG, LOC5574730|XP_021700710.1|AAEG	LOC120767683|XP_039949807.1|BTRY
OG0000529	LOC5572655|XP_021700824.1|AAEG	LOC120767635|XP_039949736.1|BTRY
OG0000530	LOC5570472|XP_021701466.1|AAEG	LOC120776537|XP_039963209.1|BTRY, LOC120778816|XP_039966756.1|BTRY
OG0000531	LOC5566804|XP_001651213.1|AAEG	LOC120767638|XP_039949739.1|BTRY
OG0000532	LOC5577450|XP_001663376.2|AAEG	LOC120766923|XP_039948602.1|BTRY
OG0000533	LOC5568210|XP_021707094.1|AAEG	LOC120776600|XP_039963320.1|BTRY
OG0000534	LOC5570046|XP_021708008.1|AAEG	LOC120774093|XP_039959362.1|BTRY
OG0000535	LOC110679157|XP_021708917.1|AAEG, LOC5579833|XP_001651508.2|AAEG	LOC120771683|XP_039955748.1|BTRY
OG0000536	LOC5570239|XP_001659019.2|AAEG, LOC5574261|XP_001655077.2|AAEG, LOC5574259|XP_001655076.1|AAEG, LOC5574263|XP_021707712.1|AAEG	LOC120778760|XP_039966672.1|BTRY
OG0000537	LOC5572401|XP_001660343.2|AAEG	LOC120772240|XP_039956668.1|BTRY
OG0000538	LOC5574674|XP_021709504.1|AAEG	LOC120771082|XP_039954840.1|BTRY, LOC120769984|XP_039952994.1|BTRY
OG0000539	LOC5564126|XP_001648447.1|AAEG	LOC120782873|XP_039971349.1|BTRY, LOC120766319|XP_039947675.1|BTRY
OG0000542	LOC5574746|XP_001655316.1|AAEG	LOC120770999|XP_039954690.1|BTRY, LOC120768572|XP_039951254.1|BTRY
OG0000543	LOC5577559|XP_021694639.1|AAEG, LOC5579016|XP_001664196.2|AAEG	LOC120775741|XP_039962000.1|BTRY, LOC120781210|XP_039969264.1|BTRY
OG0000544	LOC5578623|XP_001657045.2|AAEG	LOC120778784|XP_039966705.1|BTRY, LOC120782819|XP_039971267.1|BTRY
OG0000545	LOC5564746|XP_021693658.1|AAEG, LOC5566409|XP_021693084.1|AAEG	LOC120779132|XP_039967273.1|BTRY, LOC120777855|XP_039965332.1|BTRY
OG0000546	LOC5575232|XP_021694125.1|AAEG	LOC120774190|XP_039959553.1|BTRY
OG0000547	LOC5571763|XP_021695756.1|AAEG	LOC120775742|XP_039962001.1|BTRY
OG0000548	LOC5575141|XP_021697915.1|AAEG	LOC120778152|XP_039965809.1|BTRY
OG0000549	LOC5577716|XP_001663497.1|AAEG, LOC5577704|XP_021698193.1|AAEG, LOC5577714|XP_001663495.1|AAEG, LOC5573687|XP_001661010.2|AAEG, LOC5573688|XP_001661011.1|AAEG, LOC5577711|XP_001663492.1|AAEG, LOC5577713|XP_001663494.1|AAEG, LOC5577709|XP_001663490.2|AAEG, LOC5577717|XP_001663499.2|AAEG	LOC120770506|XP_039953967.1|BTRY
OG0000550	LOC5578287|XP_001663815.1|AAEG	LOC120777862|XP_039965345.1|BTRY, LOC120777763|XP_039965201.1|BTRY
OG0000552	LOC110676642|XP_021701014.1|AAEG	LOC120766712|XP_039948292.1|BTRY
OG0000553	LOC5573859|XP_001654890.1|AAEG, LOC5573858|XP_001654889.1|AAEG, LOC5573855|XP_001654886.2|AAEG	LOC120768198|XP_039950704.1|BTRY, LOC120768197|XP_039950702.1|BTRY, LOC120769626|XP_039952665.1|BTRY
OG0000554	LOC5573301|XP_021708251.1|AAEG	LOC120775942|XP_039962289.1|BTRY
OG0000555	LOC5575012|XP_021710949.1|AAEG	LOC120777453|XP_039964706.1|BTRY
OG0000556	LOC110681197|XP_021712666.1|AAEG, LOC5564890|XP_001649215.1|AAEG	LOC120766962|XP_039948685.1|BTRY
OG0000557	LOC5568513|XP_001652336.1|AAEG	LOC120766756|XP_039948364.1|BTRY, LOC120782350|XP_039970516.1|BTRY
OG0000558	LOC5575971|XP_001662322.1|AAEG	LOC120776305|XP_039962785.1|BTRY, LOC120776489|XP_039963107.1|BTRY
OG0000559	LOC110681168|XP_021712631.1|AAEG, LOC5577241|XP_021709285.1|AAEG	LOC120782203|XP_039970326.1|BTRY, LOC120778831|XP_039966776.1|BTRY, LOC120778424|XP_039966141.1|BTRY
OG0000560	LOC5563762|XP_021707462.1|AAEG	LOC120771404|XP_039955313.1|BTRY
OG0000561	LOC110678585|XP_021707316.1|AAEG	LOC120778148|XP_039965805.1|BTRY, LOC120778579|XP_039966376.1|BTRY
OG0000562	LOC5569968|XP_021710058.1|AAEG	LOC120776985|XP_039964018.1|BTRY, LOC120776671|XP_039963479.1|BTRY
OG0000566	LOC5579820|XP_001651051.1|AAEG	LOC120780611|XP_039968803.1|BTRY, LOC120778897|XP_039966879.1|BTRY
OG0000567	LOC5570128|XP_001653107.2|AAEG	LOC120775696|XP_039961941.1|BTRY
OG0000567	LOC5570126|XP_001653106.2|AAEG	LOC120774482|XP_039960077.1|BTRY
OG0000568	LOC5577017|XP_001656302.2|AAEG	LOC120782259|XP_039970358.1|BTRY
OG0000569	LOC5565055|XP_021705510.1|AAEG	LOC120782617|XP_039970920.1|BTRY, LOC120780914|XP_039969079.1|BTRY
OG0000570	LOC5576289|XP_001662579.2|AAEG	LOC120782352|XP_039970518.1|BTRY, LOC120781684|XP_039969839.1|BTRY
OG0000571	LOC5571436|XP_021693888.1|AAEG	LOC120776321|XP_039962789.1|BTRY, LOC120782759|XP_039971147.1|BTRY
OG0000572	LOC5570663|XP_021695778.1|AAEG	LOC120766363|XP_039947727.1|BTRY, LOC120766624|XP_039948170.1|BTRY
OG0000573	LOC5574096|XP_021696111.1|AAEG	LOC120777513|XP_039964812.1|BTRY, LOC120777517|XP_039964820.1|BTRY
OG0000574	LOC5572198|XP_021698798.1|AAEG	LOC120776636|XP_039963388.1|BTRY
OG0000575	LOC5569243|XP_021699828.1|AAEG	LOC120777122|XP_039964199.1|BTRY, LOC120778944|XP_039966939.1|BTRY, LOC120778817|XP_039966757.1|BTRY
OG0000576	LOC5568781|XP_021700712.1|AAEG	LOC120766767|XP_039948379.1|BTRY, LOC120766768|XP_039948381.1|BTRY, LOC120782247|XP_039970347.1|BTRY, LOC120781291|XP_039969427.1|BTRY, LOC120781613|XP_039969786.1|BTRY, LOC120766766|XP_039948378.1|BTRY, LOC120766695|XP_039948274.1|BTRY, LOC120766780|XP_039948406.1|BTRY
OG0000577	LOC5575668|XP_001662127.2|AAEG	LOC120769242|XP_039952076.1|BTRY
OG0000578	LOC5564323|XP_021710053.1|AAEG	LOC120768542|XP_039951215.1|BTRY, LOC120777900|XP_039965413.1|BTRY, LOC120769124|XP_039951920.1|BTRY
OG0000579	LOC5577308|XP_021707576.1|AAEG, LOC5579901|XP_001657881.1|AAEG	LOC120771467|XP_039955413.1|BTRY, LOC120778504|XP_039966267.1|BTRY
OG0000580	LOC23687878|XP_011493518.1|AAEG	LOC120766709|XP_039948290.1|BTRY, LOC120782512|XP_039970754.1|BTRY
OG0000581	LOC5574667|XP_021708899.1|AAEG	LOC120766216|XP_039947533.1|BTRY
OG0000582	LOC5575223|XP_021710179.1|AAEG	LOC120772613|XP_039957261.1|BTRY, LOC120770442|XP_039953845.1|BTRY
OG0000583	LOC5578117|XP_001656815.1|AAEG	LOC120772305|XP_039956751.1|BTRY
OG0000589	LOC5563768|XP_021695117.1|AAEG	LOC120775967|XP_039962317.1|BTRY
OG0000592	LOC5567565|XP_001657556.2|AAEG	LOC120772914|XP_039957748.1|BTRY
OG0000593	LOC5569992|XP_001658881.1|AAEG, LOC110678504|XP_021707160.1|AAEG	LOC120774484|XP_039960081.1|BTRY
OG0000594	LOC5567423|XP_001657403.1|AAEG	LOC120776937|XP_039963952.1|BTRY, LOC120776957|XP_039963985.1|BTRY
OG0000595	LOC5573372|XP_021712996.1|AAEG	LOC120778985|XP_039967021.1|BTRY, LOC120773103|XP_039958013.1|BTRY
OG0000596	LOC5569242|XP_021713275.1|AAEG	LOC120775092|XP_039961027.1|BTRY, LOC120766611|XP_039948152.1|BTRY, LOC120778360|XP_039966084.1|BTRY
OG0000597	LOC5580165|XP_021692926.1|AAEG	LOC120773972|XP_039959191.1|BTRY, LOC120766973|XP_039948698.1|BTRY
OG0000598	LOC5564380|XP_001648725.1|AAEG, LOC5564382|XP_001648727.1|AAEG, LOC5564381|XP_001648726.1|AAEG	LOC120766839|XP_039948484.1|BTRY, LOC120766841|XP_039948485.1|BTRY
OG0000599	LOC5574457|XP_001661473.2|AAEG, LOC5563655|XP_021709330.1|AAEG	LOC120777152|XP_039964231.1|BTRY
OG0000600	LOC5574458|XP_001661472.1|AAEG	LOC120771549|XP_039955542.1|BTRY
OG0000601	LOC110676327|XP_021699471.1|AAEG	LOC120769303|XP_039952170.1|BTRY
OG0000602	LOC5565773|XP_001650121.1|AAEG	LOC120768420|XP_039951035.1|BTRY, LOC120769465|XP_039952411.1|BTRY
OG0000603	LOC5569072|XP_021703041.1|AAEG	LOC120769731|XP_039952813.1|BTRY
OG0000604	LOC5566987|XP_001651390.1|AAEG	LOC120768047|XP_039950490.1|BTRY, LOC120768046|XP_039950487.1|BTRY
OG0000605	LOC5568178|XP_021703896.1|AAEG, LOC5568172|XP_001652108.2|AAEG, LOC5568173|XP_001652109.1|AAEG, LOC5568169|XP_021703894.1|AAEG, LOC5568164|XP_001652105.2|AAEG	LOC120769679|XP_039952733.1|BTRY, LOC120768195|XP_039950700.1|BTRY
OG0000606	LOC5570005|XP_001658888.1|AAEG	LOC120776032|XP_039962410.1|BTRY
OG0000606	LOC5570004|XP_021707221.1|AAEG, LOC5565720|XP_001650099.2|AAEG, LOC5565724|XP_001650098.1|AAEG, LOC5565723|XP_001650097.1|AAEG, LOC5578161|XP_001663734.2|AAEG	LOC120773634|XP_039958576.1|BTRY
OG0000607	LOC5570154|XP_001658956.1|AAEG	LOC120775170|XP_039961159.1|BTRY
OG0000608	LOC5567031|XP_001651423.1|AAEG	LOC120771362|XP_039955252.1|BTRY, LOC120768382|XP_039951008.1|BTRY
OG0000609	LOC5574870|XP_021709064.1|AAEG	LOC120774369|XP_039959897.1|BTRY
OG0000610	LOC5579045|XP_011493105.1|AAEG	LOC120776826|XP_039963780.1|BTRY
OG0000611	LOC5572224|XP_021705793.1|AAEG	LOC120771420|XP_039955336.1|BTRY
OG0000615	LOC5569196|XP_021699444.1|AAEG	LOC120766300|XP_039947638.1|BTRY
OG0000616	LOC5564988|XP_001649322.2|AAEG	LOC120775348|XP_039961431.1|BTRY, LOC120775714|XP_039961960.1|BTRY, LOC120775702|XP_039961947.1|BTRY, LOC120775470|XP_039961596.1|BTRY, LOC120775611|XP_039961785.1|BTRY
OG0000617	LOC5577523|XP_001656544.2|AAEG, LOC110674002|XP_021711205.1|AAEG	LOC120766658|XP_039948225.1|BTRY, LOC120766225|XP_039947535.1|BTRY
OG0000619	LOC5574109|XP_001661180.1|AAEG	LOC120770244|XP_039953476.1|BTRY
OG0000619	LOC5566457|XP_001650838.1|AAEG	LOC120770241|XP_039953473.1|BTRY
OG0000620	LOC5570947|XP_001653412.2|AAEG	LOC120770404|XP_039953772.1|BTRY
OG0000621	LOC5568436|XP_001652269.1|AAEG	LOC120775491|XP_039961630.1|BTRY
OG0000622	LOC5569846|XP_021696307.1|AAEG	LOC120778660|XP_039966517.1|BTRY
OG0000623	LOC5572347|XP_001660306.2|AAEG	LOC120776793|XP_039963713.1|BTRY, LOC120776685|XP_039963497.1|BTRY
OG0000624	LOC5569174|XP_001658351.2|AAEG	LOC120770040|XP_039953089.1|BTRY
OG0000625	LOC5564078|XP_021698835.1|AAEG	LOC120776452|XP_039963043.1|BTRY
OG0000626	LOC5569119|XP_001652722.1|AAEG	LOC120771101|XP_039954876.1|BTRY
OG0000627	LOC5564979|XP_001649333.2|AAEG	LOC120776359|XP_039962868.1|BTRY, LOC120774810|XP_039960545.1|BTRY, LOC120774493|XP_039960098.1|BTRY
OG0000628	LOC5565869|XP_001650228.1|AAEG	LOC120768533|XP_039951203.1|BTRY
OG0000629	LOC5580315|XP_001663037.1|AAEG	LOC120767240|XP_039949015.1|BTRY
OG0000630	LOC5575168|XP_021702281.1|AAEG	LOC120768594|XP_039951291.1|BTRY, LOC120768253|XP_039950781.1|BTRY
OG0000631	LOC5569442|XP_021702401.1|AAEG	LOC120769034|XP_039951813.1|BTRY
OG0000632	LOC5573892|XP_021703330.1|AAEG	LOC120768631|XP_039951330.1|BTRY
OG0000635	LOC5572315|XP_001654005.2|AAEG	LOC120771029|XP_039954743.1|BTRY
OG0000636	LOC5578295|XP_001656875.1|AAEG	LOC120774407|XP_039959966.1|BTRY
OG0000637	LOC5564774|XP_021704609.1|AAEG	LOC120774775|XP_039960480.1|BTRY, LOC120775765|XP_039962032.1|BTRY
OG0000638	LOC5573827|XP_021706608.1|AAEG	LOC120776108|XP_039962534.1|BTRY
OG0000639	LOC5567245|XP_021710885.1|AAEG	LOC120776470|XP_039963074.1|BTRY
OG0000646	LOC110674862|XP_021695067.1|AAEG	LOC120766994|XP_039948732.1|BTRY
OG0000647	LOC5579005|XP_021694209.1|AAEG	LOC120775839|XP_039962142.1|BTRY
OG0000648	LOC5570655|XP_021706985.1|AAEG	LOC120775350|XP_039961442.1|BTRY
OG0000649	LOC5571800|XP_001659930.2|AAEG	LOC120775972|XP_039962327.1|BTRY, LOC120773891|XP_039958997.1|BTRY
OG0000650	LOC5573407|XP_001654581.2|AAEG	LOC120773802|XP_039958844.1|BTRY, LOC120773804|XP_039958847.1|BTRY
OG0000651	LOC5565048|XP_001649404.1|AAEG	LOC120777253|XP_039964383.1|BTRY
OG0000652	LOC5573370|XP_001660865.1|AAEG	LOC120772025|XP_039956326.1|BTRY
OG0000653	LOC5576350|XP_021693310.1|AAEG, LOC5576348|XP_001656086.1|AAEG, LOC5576346|XP_001656087.2|AAEG	LOC120779703|XP_039968003.1|BTRY, LOC120771262|XP_039955118.1|BTRY
OG0000654	LOC5568292|XP_021697103.1|AAEG	LOC120777165|XP_039964249.1|BTRY
OG0000655	LOC5575242|XP_001655652.1|AAEG	LOC120781232|XP_039969302.1|BTRY
OG0000656	LOC5574633|XP_001661549.2|AAEG	LOC120767029|XP_039948809.1|BTRY, LOC120774595|XP_039960261.1|BTRY
OG0000657	LOC5580250|XP_001662649.1|AAEG	LOC120768026|XP_039950434.1|BTRY
OG0000658	LOC5578313|XP_001656889.1|AAEG	LOC120775403|XP_039961500.1|BTRY
OG0000659	LOC5576865|XP_001662960.1|AAEG	LOC120782147|XP_039970218.1|BTRY, LOC120767870|XP_039950124.1|BTRY
OG0000660	LOC5565850|XP_001650194.1|AAEG	LOC120771061|XP_039954801.1|BTRY
OG0000661	LOC5567335|XP_001651759.1|AAEG	LOC120767720|XP_039949850.1|BTRY
