Orthogroup	AAEG.longest_only	SLEB.longest_only
OG0000836	LOC5571557|XP_001659779.1|AAEG	LOC115631033|XP_030383516.1|SLEB
OG0000837	LOC110681194|XP_021712664.1|AAEG	LOC115633929|XP_030387306.1|SLEB
OG0000837	LOC5564880|XP_021710587.1|AAEG	LOC115629286|XP_030381586.1|SLEB
OG0000838	LOC5571070|XP_001659510.2|AAEG	LOC115631443|XP_030384046.1|SLEB, LOC115631811|XP_030384508.1|SLEB
OG0000839	LOC5567590|XP_021704529.1|AAEG	LOC115623518|XP_030373759.1|SLEB, LOC115623788|XP_030374190.1|SLEB
OG0000840	LOC5568658|XP_021705463.1|AAEG	LOC115629508|XP_030381849.1|SLEB, LOC115627464|XP_030378996.1|SLEB
OG0000841	LOC5578554|XP_021704510.1|AAEG	LOC115620566|XP_030369715.1|SLEB
OG0000842	LOC5565224|XP_001649557.2|AAEG	LOC115634348|XP_030387864.1|SLEB, LOC115620792|XP_030370072.1|SLEB
OG0000843	LOC5575084|XP_001661802.1|AAEG	LOC115623677|XP_030374010.1|SLEB
OG0000844	LOC5568444|XP_021706258.1|AAEG	LOC115620021|XP_030368985.1|SLEB, LOC115623803|XP_030374206.1|SLEB
OG0000854	LOC5575256|XP_021694868.1|AAEG	LOC115627108|XP_030378530.1|SLEB
OG0000855	LOC5564916|XP_001649261.1|AAEG	LOC115626856|XP_030378217.1|SLEB, LOC115620282|XP_030369316.1|SLEB
OG0000856	LOC5569202|XP_021699577.1|AAEG	LOC115624521|XP_030375100.1|SLEB
OG0000857	LOC5568410|XP_021706344.1|AAEG, LOC5568408|XP_001658060.1|AAEG, LOC5572935|XP_001660658.2|AAEG, LOC110681143|XP_021712605.1|AAEG	LOC115633358|XP_030386658.1|SLEB
OG0000858	LOC5563593|XP_001647843.2|AAEG, LOC5563570|XP_021693065.1|AAEG	LOC115620449|XP_030369539.1|SLEB
OG0000860	LOC23687882|XP_021695499.1|AAEG	LOC115632420|XP_030385419.1|SLEB
OG0000861	LOC5579974|XP_021697396.1|AAEG	LOC115634652|XP_030388369.1|SLEB
OG0000862	LOC5578595|XP_021697871.1|AAEG	LOC115634668|XP_030388388.1|SLEB
OG0000863	LOC5569153|XP_021712379.1|AAEG, LOC5579040|XP_001664217.2|AAEG	LOC115625341|XP_030376227.1|SLEB, LOC115623625|XP_030373924.1|SLEB, LOC115623958|XP_030374384.1|SLEB
OG0000864	LOC5574382|XP_021700100.1|AAEG	LOC115626614|XP_030377867.1|SLEB, LOC115629280|XP_030381572.1|SLEB
OG0000865	LOC110676550|XP_021700543.1|AAEG	LOC115623571|XP_030373827.1|SLEB
OG0000866	LOC5565764|XP_021700881.1|AAEG	LOC115632046|XP_030384877.1|SLEB
OG0000867	LOC5566526|XP_001650903.1|AAEG	LOC115629843|XP_030382284.1|SLEB
OG0000868	LOC5575799|XP_001662225.1|AAEG	LOC115626754|XP_030378069.1|SLEB
OG0000869	LOC110679428|XP_021709657.1|AAEG	LOC115624085|XP_030374534.1|SLEB
OG0000871	LOC5563912|XP_021709764.1|AAEG	LOC115623615|XP_030373897.1|SLEB
OG0000872	LOC5579795|XP_001648107.1|AAEG	LOC115633646|XP_030386947.1|SLEB
OG0000873	LOC5570660|XP_021705398.1|AAEG, LOC5578723|XP_021705681.1|AAEG, LOC5574699|XP_021710974.1|AAEG	LOC115624746|XP_030375434.1|SLEB, LOC115634051|XP_030387456.1|SLEB
OG0000874	LOC5568583|XP_021711564.1|AAEG	LOC115633322|XP_030386614.1|SLEB, LOC115628366|XP_030380306.1|SLEB
OG0000875	LOC5569144|XP_021704184.1|AAEG	LOC115624168|XP_030374625.1|SLEB, LOC115624766|XP_030375459.1|SLEB
OG0000882	LOC5574255|XP_001661310.1|AAEG	LOC115629213|XP_030381474.1|SLEB
OG0000883	LOC5572260|XP_021706275.1|AAEG, LOC5577890|XP_001663596.2|AAEG, LOC5576983|XP_001663083.2|AAEG, LOC110681455|XP_021712908.1|AAEG, LOC5564732|XP_001649072.2|AAEG	LOC115629813|XP_030382240.1|SLEB
OG0000884	LOC5578384|XP_021707387.1|AAEG	LOC115629830|XP_030382265.1|SLEB
OG0000885	LOC5576671|XP_021712970.1|AAEG, LOC5576669|XP_001662811.1|AAEG, LOC5576675|XP_001662810.2|AAEG, LOC5576677|XP_001662809.2|AAEG, LOC5576673|XP_001662808.1|AAEG	LOC115621601|XP_030371153.1|SLEB
OG0000887	LOC5574709|XP_021697236.1|AAEG, LOC110675781|XP_021697241.1|AAEG, LOC5574710|XP_001661611.2|AAEG, LOC5564321|XP_001648679.1|AAEG	LOC115626660|XP_030377932.1|SLEB
OG0000888	LOC5577573|XP_021697247.1|AAEG	LOC115633127|XP_030386383.1|SLEB, LOC115632606|XP_030385693.1|SLEB
OG0000889	LOC5565345|XP_001649691.2|AAEG, LOC5569614|XP_001652895.2|AAEG, LOC5569613|XP_001652894.2|AAEG, LOC5569626|XP_001652896.2|AAEG, LOC5569611|XP_001652892.2|AAEG, LOC5569610|XP_001652891.1|AAEG, LOC5569609|XP_001652890.1|AAEG	LOC115632962|XP_030386122.1|SLEB
OG0000890	LOC5572876|XP_001660628.1|AAEG	LOC115620765|XP_030370030.1|SLEB
OG0000891	LOC5571677|XP_021701172.1|AAEG	LOC115631029|XP_030383507.1|SLEB, LOC115631138|XP_030383667.1|SLEB
OG0000892	LOC5573804|XP_001661052.1|AAEG	LOC115623089|XP_030373155.1|SLEB, LOC115630075|XP_030382571.1|SLEB
OG0000893	LOC5577455|XP_021710131.1|AAEG, LOC110679543|XP_021710135.1|AAEG	LOC115623838|XP_030374239.1|SLEB
OG0000894	LOC5572954|XP_001654283.2|AAEG	LOC115625115|XP_030375881.1|SLEB
OG0000895	LOC5578431|XP_021704726.1|AAEG	LOC115633662|XP_030386967.1|SLEB
OG0000907	LOC5569936|XP_001658828.2|AAEG	LOC115623688|XP_030374022.1|SLEB
OG0000909	LOC5580100|XP_001654851.1|AAEG	LOC115629921|XP_030382386.1|SLEB, LOC115629451|XP_030381776.1|SLEB
OG0000910	LOC5570090|XP_021696583.1|AAEG	LOC115629094|XP_030381271.1|SLEB
OG0000911	LOC5568878|XP_021698401.1|AAEG	LOC115628689|XP_030380728.1|SLEB
OG0000912	LOC5569590|XP_001652874.1|AAEG	LOC115633636|XP_030386934.1|SLEB
OG0000913	LOC5572905|XP_021699829.1|AAEG	LOC115624512|XP_030375084.1|SLEB
OG0000914	LOC5565692|XP_001650041.1|AAEG, LOC5577609|XP_001656603.1|AAEG, LOC5577610|XP_001656604.1|AAEG, LOC5577605|XP_001656599.2|AAEG, LOC5577607|XP_001656601.2|AAEG	LOC115634220|XP_030387671.1|SLEB
OG0000915	LOC110675850|XP_021697446.1|AAEG, LOC110681284|XP_021712741.1|AAEG	LOC115634001|XP_030387386.1|SLEB
OG0000916	LOC5563777|XP_021702027.1|AAEG	LOC115631986|XP_030384763.1|SLEB
OG0000917	LOC5567991|XP_021703538.1|AAEG	LOC115632603|XP_030385688.1|SLEB, LOC115632019|XP_030384822.1|SLEB
OG0000918	LOC5565834|XP_021703643.1|AAEG	LOC115625872|XP_030376943.1|SLEB
OG0000920	LOC5567191|XP_021707974.1|AAEG, LOC5567193|XP_021707701.1|AAEG, LOC5567194|XP_001651623.2|AAEG, LOC5571093|XP_021706131.1|AAEG	LOC115633279|XP_030386550.1|SLEB
OG0000921	LOC23687653|XP_021704447.1|AAEG, LOC110677691|XP_021704448.1|AAEG	LOC115630018|XP_030382512.1|SLEB
OG0000922	LOC5573598|XP_001654732.1|AAEG	LOC115628430|XP_030380378.1|SLEB
OG0000923	LOC5564768|XP_001649141.1|AAEG	LOC115623827|XP_030374230.1|SLEB
OG0000924	LOC5574190|XP_021707483.1|AAEG	LOC115629931|XP_030382395.1|SLEB
OG0000925	LOC5564141|XP_001648436.1|AAEG	LOC115621220|XP_030370664.1|SLEB
OG0000935	LOC5570105|XP_021693271.1|AAEG	LOC115620735|XP_030369981.1|SLEB
OG0000936	LOC5574975|XP_001655445.1|AAEG	LOC115630040|XP_030382533.1|SLEB
OG0000937	LOC5577955|XP_021703650.1|AAEG, LOC5577953|XP_021703600.1|AAEG	LOC115621318|XP_030370797.1|SLEB
OG0000938	LOC23687618|XP_011493218.1|AAEG	LOC115629870|XP_030382325.1|SLEB
OG0000939	LOC5575294|XP_001655660.2|AAEG	LOC115631095|XP_030383606.1|SLEB
OG0000940	LOC5568539|XP_001652369.2|AAEG	LOC115629373|XP_030381691.1|SLEB, LOC115628257|XP_030380135.1|SLEB
OG0000941	LOC5568465|XP_001652294.1|AAEG	LOC115626463|XP_030377705.1|SLEB, LOC115630089|XP_030382576.1|SLEB
OG0000942	LOC5575951|XP_021697898.1|AAEG	LOC115623244|XP_030373364.1|SLEB
OG0000944	LOC5564895|XP_021698610.1|AAEG	LOC115627130|XP_030378563.1|SLEB
OG0000945	LOC5567118|XP_001651535.2|AAEG	LOC115624796|XP_030375500.1|SLEB
OG0000946	LOC5563808|XP_001648088.2|AAEG, LOC5563807|XP_021701297.1|AAEG	LOC115630459|XP_030382884.1|SLEB
OG0000947	LOC5573138|XP_001660754.1|AAEG, LOC5573170|XP_021703267.1|AAEG, LOC5573169|XP_001660785.1|AAEG	LOC115634584|XP_030388277.1|SLEB
OG0000948	LOC5570305|XP_001653129.2|AAEG	LOC115632809|XP_030385921.1|SLEB
OG0000949	LOC5577433|XP_021706252.1|AAEG	LOC115629932|XP_030382397.1|SLEB
OG0000950	LOC5570062|XP_021710514.1|AAEG	LOC115624154|XP_030374611.1|SLEB
OG0000951	LOC5567383|XP_001651784.1|AAEG	LOC115620607|XP_030369781.1|SLEB, LOC115631589|XP_030384250.1|SLEB, LOC115629565|XP_030381917.1|SLEB, LOC115629566|XP_030381918.1|SLEB, LOC115630781|XP_030383297.1|SLEB
OG0000963	LOC5578882|XP_001664091.2|AAEG, LOC5565507|XP_001649836.2|AAEG	LOC115627565|XP_030379148.1|SLEB
OG0000964	LOC5570125|XP_021694878.1|AAEG, LOC5572710|XP_001660530.2|AAEG, LOC110679470|XP_021709836.1|AAEG	LOC115629928|XP_030382396.1|SLEB
OG0000965	LOC5580119|XP_021699182.1|AAEG, LOC110674016|XP_021711922.1|AAEG	LOC115633244|XP_030386499.1|SLEB
OG0000966	LOC5564065|XP_001648396.2|AAEG	LOC115633760|XP_030387095.1|SLEB
OG0000968	LOC5565995|XP_021697516.1|AAEG, LOC5574905|XP_021697282.1|AAEG	LOC115628295|XP_030380202.1|SLEB
OG0000969	LOC5572867|XP_001660626.1|AAEG	LOC115629995|XP_030382487.1|SLEB, LOC115633028|XP_030386225.1|SLEB, LOC115621359|XP_030370843.1|SLEB
OG0000970	LOC5577323|XP_001656398.1|AAEG, LOC5578971|XP_001664152.2|AAEG	LOC115620768|XP_030370032.1|SLEB
OG0000971	LOC5574512|XP_021701876.1|AAEG	LOC115631506|XP_030384125.1|SLEB
OG0000972	LOC5570688|XP_001659285.2|AAEG	LOC115632559|XP_030385633.1|SLEB, LOC115633225|XP_030386479.1|SLEB
OG0000973	LOC5566318|XP_001650701.1|AAEG, LOC110677834|XP_021705147.1|AAEG, LOC5576015|XP_021712722.1|AAEG	LOC115633334|XP_030386626.1|SLEB
OG0000974	LOC5563607|XP_021706393.1|AAEG, LOC5563653|XP_001647877.2|AAEG	LOC115622411|XP_030372204.1|SLEB, LOC115622410|XP_030372203.1|SLEB
OG0000975	LOC5567322|XP_021711286.1|AAEG	LOC115621202|XP_030370641.1|SLEB, LOC115623709|XP_030374048.1|SLEB
OG0000977	LOC5572481|XP_001660429.2|AAEG	LOC115625370|XP_030376266.1|SLEB
OG0000978	LOC5570996|XP_001653423.1|AAEG	LOC115623541|XP_030373784.1|SLEB
OG0000988	LOC5574742|XP_021708813.1|AAEG	LOC115631067|XP_030383573.1|SLEB, LOC115631590|XP_030384251.1|SLEB, LOC115629834|XP_030382271.1|SLEB
OG0000990	LOC5573413|XP_001654587.1|AAEG	LOC115626648|XP_030377913.1|SLEB
OG0000991	LOC110676690|XP_021701229.1|AAEG	LOC115629805|XP_030382228.1|SLEB
OG0000992	LOC110680585|XP_021712076.1|AAEG, LOC5574605|XP_001655224.2|AAEG	LOC115621203|XP_030370644.1|SLEB
OG0000993	LOC5568340|XP_001657995.2|AAEG	LOC115621783|XP_030371401.1|SLEB
OG0000994	LOC5565293|XP_021693612.1|AAEG	LOC115628886|XP_030381003.1|SLEB
OG0000995	LOC5570516|XP_001659204.1|AAEG	LOC115625662|XP_030376654.1|SLEB
OG0000996	LOC5570524|XP_001659180.1|AAEG	LOC115631694|XP_030384380.1|SLEB, LOC115627128|XP_030378560.1|SLEB, LOC115627324|XP_030378828.1|SLEB, LOC115627312|XP_030378815.1|SLEB, LOC115622197|XP_030371949.1|SLEB, LOC115622196|XP_030371948.1|SLEB, LOC115627203|XP_030378681.1|SLEB, LOC115622171|XP_030371910.1|SLEB
OG0000997	LOC5572107|XP_021699025.1|AAEG	LOC115626266|XP_030377478.1|SLEB
OG0000998	LOC5574213|XP_021699075.1|AAEG, LOC5574214|XP_021699069.1|AAEG	LOC115624936|XP_030375647.1|SLEB, LOC115624642|XP_030375270.1|SLEB
OG0000999	LOC5569582|XP_011492944.1|AAEG	LOC115634097|XP_030387514.1|SLEB, LOC115626649|XP_030377914.1|SLEB
OG0001000	LOC5565618|XP_021700536.1|AAEG	LOC115620263|XP_030369285.1|SLEB
OG0001001	LOC5574039|XP_021712731.1|AAEG, LOC5570957|XP_021701483.1|AAEG, LOC5568887|XP_021701482.1|AAEG	LOC115632602|XP_030385691.1|SLEB
OG0001002	LOC5572439|XP_021702436.1|AAEG, LOC5572427|XP_001660379.1|AAEG, LOC5572436|XP_021702424.1|AAEG, LOC110676920|XP_021702428.1|AAEG	LOC115631311|XP_030383885.1|SLEB
OG0001003	LOC5573879|XP_001654917.1|AAEG	LOC115621145|XP_030370561.1|SLEB
OG0001004	LOC5577327|XP_001656404.1|AAEG	LOC115623593|XP_030373853.1|SLEB
OG0001005	LOC5574438|XP_001661452.2|AAEG	LOC115633224|XP_030386476.1|SLEB
OG0001006	LOC5577478|XP_001656504.1|AAEG	LOC115632081|XP_030384901.1|SLEB
OG0001007	LOC5579111|XP_021709409.1|AAEG, LOC110680228|XP_021711736.1|AAEG	LOC115628319|XP_030380235.1|SLEB, LOC115628165|XP_030380006.1|SLEB
OG0001008	LOC5569738|XP_001652964.1|AAEG	LOC115627803|XP_030379493.1|SLEB, LOC115622732|XP_030372672.1|SLEB
OG0001019	LOC23687425|XP_021696098.1|AAEG, LOC5570400|XP_021694766.1|AAEG	LOC115621697|XP_030371263.1|SLEB
OG0001020	LOC5571386|XP_001659667.2|AAEG, LOC5571385|XP_021694971.1|AAEG, LOC5571381|XP_021694972.1|AAEG	LOC115627705|XP_030379308.1|SLEB
OG0001021	LOC5569206|XP_021698876.1|AAEG, LOC5569974|XP_021700042.1|AAEG	LOC115628996|XP_030381140.1|SLEB
OG0001022	LOC5564053|XP_001648383.1|AAEG	LOC115629232|XP_030381503.1|SLEB
OG0001024	LOC5563729|XP_001648014.1|AAEG, LOC5572673|XP_001660495.2|AAEG	LOC115621057|XP_030370438.1|SLEB
OG0001025	LOC5566344|XP_021696749.1|AAEG	LOC115632296|XP_030385249.1|SLEB
OG0001026	LOC5563943|XP_021698255.1|AAEG, LOC110675339|XP_021695627.1|AAEG	LOC115634218|XP_030387668.1|SLEB
OG0001027	LOC5572532|XP_021698700.1|AAEG, LOC5572539|XP_001654056.2|AAEG, LOC5572530|XP_021698692.1|AAEG	LOC115634679|XP_030388398.1|SLEB
OG0001028	LOC5578865|XP_021699358.1|AAEG, LOC5578864|XP_001664073.1|AAEG, LOC5566028|XP_001650394.1|AAEG	LOC115631799|XP_030384497.1|SLEB
OG0001031	LOC5564557|XP_021702651.1|AAEG	LOC115626140|XP_030377262.1|SLEB
OG0001032	LOC5568797|XP_021703170.1|AAEG	LOC115626259|XP_030377427.1|SLEB
OG0001033	LOC5572990|XP_021705665.1|AAEG	LOC115626759|XP_030378075.1|SLEB
OG0001042	LOC5569920|XP_021695787.1|AAEG, LOC5569919|XP_021695812.1|AAEG, LOC5569917|XP_001658816.2|AAEG	LOC115620583|XP_030369748.1|SLEB
OG0001043	LOC5580112|XP_001655052.2|AAEG, LOC5580113|XP_001655051.2|AAEG	LOC115628817|XP_030380904.1|SLEB, LOC115626073|XP_030377185.1|SLEB
OG0001045	LOC5569642|XP_001658665.2|AAEG, LOC5569640|XP_001658664.2|AAEG, LOC5573336|XP_021693470.1|AAEG	LOC115623369|XP_030373520.1|SLEB
OG0001046	LOC5572371|XP_001660329.1|AAEG	LOC115634073|XP_030387480.1|SLEB
OG0001047	LOC110680988|XP_021712449.1|AAEG, LOC5571772|XP_021695747.1|AAEG	LOC115634088|XP_030387503.1|SLEB
OG0001048	LOC5571275|XP_021695905.1|AAEG	LOC115624518|XP_030375094.1|SLEB
OG0001049	LOC110675977|XP_021697855.1|AAEG	LOC115622282|XP_030372044.1|SLEB
OG0001050	LOC5573704|XP_021698920.1|AAEG	LOC115633103|XP_030386344.1|SLEB
OG0001051	LOC5573846|XP_001654884.2|AAEG	LOC115626170|XP_030377305.1|SLEB
OG0001052	LOC5568617|XP_001652449.1|AAEG	LOC115625856|XP_030376924.1|SLEB
OG0001053	LOC5571894|XP_001653808.2|AAEG	LOC115629515|XP_030381856.1|SLEB
OG0001054	LOC5574413|XP_001655120.1|AAEG	LOC115621268|XP_030370728.1|SLEB, LOC115621267|XP_030370726.1|SLEB
OG0001055	LOC5567606|XP_001657583.2|AAEG	LOC115623459|XP_030373676.1|SLEB
OG0001056	LOC5570986|XP_001659451.2|AAEG	LOC115629116|XP_030381305.1|SLEB
OG0001057	LOC5571397|XP_001653648.2|AAEG	LOC115626571|XP_030377810.1|SLEB
OG0001058	LOC5570053|XP_021707851.1|AAEG	LOC115626762|XP_030378079.1|SLEB
OG0001073	LOC5563637|XP_021708988.1|AAEG, LOC5569408|XP_021703075.1|AAEG, LOC5578273|XP_021694310.1|AAEG, LOC5564186|XP_021708718.1|AAEG	LOC115620613|XP_030369790.1|SLEB
OG0001074	LOC5568441|XP_001652273.1|AAEG	LOC115629282|XP_030381580.1|SLEB
OG0001076	LOC110676868|XP_021702024.1|AAEG, LOC110675167|XP_021695246.1|AAEG, LOC110675148|XP_021695222.1|AAEG, LOC110676784|XP_021701631.1|AAEG, LOC5575444|XP_021700366.1|AAEG, LOC110674309|XP_021694287.1|AAEG, LOC110679183|XP_021708974.1|AAEG	LOC115634059|XP_030387463.1|SLEB
OG0001077	LOC5578932|XP_021693197.1|AAEG, LOC110680824|XP_021712296.1|AAEG	LOC115628105|XP_030379946.1|SLEB, LOC115622189|XP_030371940.1|SLEB
OG0001078	LOC5565588|XP_001649970.1|AAEG, LOC5573424|XP_021697821.1|AAEG	LOC115629550|XP_030381894.1|SLEB
OG0001079	LOC5575758|XP_001662179.2|AAEG	LOC115628277|XP_030380166.1|SLEB, LOC115625668|XP_030376663.1|SLEB
OG0001080	LOC5563731|XP_001648022.2|AAEG	LOC115624602|XP_030375207.1|SLEB
OG0001081	LOC5571775|XP_001659906.2|AAEG, LOC5568116|XP_001652055.1|AAEG	LOC115623563|XP_030373819.1|SLEB
OG0001082	LOC5572898|XP_001654240.1|AAEG	LOC115633819|XP_030387165.1|SLEB
OG0001083	LOC5566297|XP_001650674.2|AAEG	LOC115622457|XP_030372260.1|SLEB
OG0001084	LOC5567273|XP_021707529.1|AAEG, LOC5565651|XP_021696900.1|AAEG	LOC115634450|XP_030388021.1|SLEB, LOC115626481|XP_030377728.1|SLEB
OG0001085	LOC5574897|XP_021697029.1|AAEG	LOC115620042|XP_030369021.1|SLEB
OG0001086	LOC5573548|XP_001654683.1|AAEG	LOC115633783|XP_030387120.1|SLEB
OG0001087	LOC110681082|XP_021712548.1|AAEG, LOC110681081|XP_021712547.1|AAEG, LOC5578606|XP_021697940.1|AAEG, LOC5565122|XP_021712549.1|AAEG	LOC115631479|XP_030384095.1|SLEB
OG0001088	LOC5574153|XP_001655060.1|AAEG, LOC5574154|XP_021698437.1|AAEG, LOC110676121|XP_021698436.1|AAEG, LOC5566830|XP_001651230.2|AAEG	LOC115632153|XP_030385030.1|SLEB
OG0001089	LOC5573682|XP_001661004.2|AAEG	LOC115624666|XP_030375317.1|SLEB
OG0001090	LOC5577314|XP_021699017.1|AAEG, LOC5578577|XP_021699015.1|AAEG, LOC5574562|XP_021699013.1|AAEG	LOC115632913|XP_030386063.1|SLEB
OG0001091	LOC5576970|XP_001663065.1|AAEG, LOC5576973|XP_021711761.1|AAEG, LOC110676363|XP_021699606.1|AAEG, LOC5576972|XP_001663067.1|AAEG, LOC110676364|XP_021699607.1|AAEG, LOC5576971|XP_001663066.1|AAEG	LOC115626977|XP_030378353.1|SLEB, LOC115622836|XP_030372776.1|SLEB
OG0001092	LOC5570895|XP_021700677.1|AAEG	LOC115626353|XP_030377564.1|SLEB
OG0001093	LOC110680777|XP_021712253.1|AAEG, LOC110676568|XP_021700678.1|AAEG, LOC5572918|XP_001654252.1|AAEG	LOC115625952|XP_030377051.1|SLEB
OG0001094	LOC5565811|XP_021695262.1|AAEG	LOC115626021|XP_030377129.1|SLEB
OG0001095	LOC23687873|XP_021701025.1|AAEG, LOC5565367|XP_001649745.1|AAEG, LOC5565366|XP_021701024.1|AAEG	LOC115631077|XP_030383583.1|SLEB
OG0001096	LOC5571654|XP_021701198.1|AAEG	LOC115630418|XP_030382814.1|SLEB
OG0001097	LOC5570690|XP_001659280.2|AAEG	LOC115631632|XP_030384301.1|SLEB
OG0001098	LOC5567389|XP_001651791.1|AAEG	LOC115625607|XP_030376601.1|SLEB, LOC115634115|XP_030387539.1|SLEB, LOC115623029|XP_030373068.1|SLEB
OG0001099	LOC5579278|XP_001647586.2|AAEG	LOC115622780|XP_030372698.1|SLEB, LOC115622709|XP_030372600.1|SLEB
OG0001100	LOC5575334|XP_001655711.1|AAEG	LOC115620897|XP_030370246.1|SLEB
OG0001101	LOC5578976|XP_021704495.1|AAEG	LOC115620481|XP_030369577.1|SLEB
OG0001102	LOC5572716|XP_021705283.1|AAEG, LOC5577310|XP_021711284.1|AAEG	LOC115632575|XP_030385656.1|SLEB
OG0001103	LOC5578111|XP_001656809.1|AAEG, LOC5578112|XP_001656810.1|AAEG	LOC115621774|XP_030371386.1|SLEB
OG0001104	LOC5566543|XP_001650938.1|AAEG, LOC110680201|XP_021711712.1|AAEG	LOC115627926|XP_030379680.1|SLEB, LOC115627925|XP_030379679.1|SLEB, LOC115624069|XP_030374515.1|SLEB
OG0001105	LOC5566551|XP_001650928.1|AAEG	LOC115628911|XP_030381032.1|SLEB, LOC115633755|XP_030387089.1|SLEB
OG0001106	LOC5565423|XP_001649806.1|AAEG, LOC5565437|XP_021710521.1|AAEG	LOC115627975|XP_030379731.1|SLEB, LOC115627822|XP_030379516.1|SLEB
OG0001118	LOC5576587|XP_001656164.1|AAEG	LOC115627305|XP_030378807.1|SLEB
OG0001119	LOC5578575|XP_001663964.2|AAEG, LOC5578993|XP_001664172.2|AAEG	LOC115630078|XP_030382561.1|SLEB
OG0001120	LOC5579964|XP_021694051.1|AAEG, LOC5579967|XP_021694034.1|AAEG	LOC115623083|XP_030373145.1|SLEB, LOC115621079|XP_030370469.1|SLEB
OG0001122	LOC5580002|XP_021696287.1|AAEG	LOC115632561|XP_030385637.1|SLEB
OG0001124	LOC5566358|XP_011493024.2|AAEG	LOC115625095|XP_030375854.1|SLEB
OG0001125	LOC5564459|XP_001648807.1|AAEG, LOC5564448|XP_021697773.1|AAEG	LOC115621080|XP_030370470.1|SLEB
OG0001127	LOC110676270|XP_021699174.1|AAEG, LOC5577767|XP_001663540.2|AAEG	LOC115622276|XP_030372037.1|SLEB
OG0001128	LOC5569022|XP_021699805.1|AAEG, LOC5568978|XP_001658266.2|AAEG, LOC110680432|XP_021711921.1|AAEG	LOC115632412|XP_030385447.1|SLEB
OG0001129	LOC5580253|XP_021700216.1|AAEG	LOC115626279|XP_030377461.1|SLEB
OG0001130	LOC5565380|XP_001649719.1|AAEG	LOC115625688|XP_030376687.1|SLEB
OG0001131	LOC5569186|XP_021701055.1|AAEG, LOC5569188|XP_021701062.1|AAEG, LOC5569187|XP_021701057.1|AAEG	LOC115628051|XP_030379856.1|SLEB
OG0001133	LOC5567743|XP_021702162.1|AAEG	LOC115630972|XP_030383412.1|SLEB, LOC115630971|XP_030383411.1|SLEB
OG0001134	LOC5566394|XP_001650777.2|AAEG	LOC115633664|XP_030386969.1|SLEB
OG0001135	LOC110681483|XP_021712937.1|AAEG, LOC5577456|XP_001663382.1|AAEG, LOC5578027|XP_001656767.1|AAEG	LOC115620845|XP_030370146.1|SLEB
OG0001136	LOC5576263|XP_021705682.1|AAEG	LOC115624234|XP_030374711.1|SLEB, LOC115623765|XP_030374161.1|SLEB
OG0001137	LOC110680734|XP_021712217.1|AAEG, LOC5578514|XP_001663904.1|AAEG	LOC115621022|XP_030370402.1|SLEB
OG0001138	LOC5572135|XP_021705094.1|AAEG	LOC115624755|XP_030375446.1|SLEB
OG0001139	LOC5574958|XP_021709947.1|AAEG	LOC115620983|XP_030370363.1|SLEB, LOC115622700|XP_030372586.1|SLEB
OG0001153	LOC110679098|XP_021708772.1|AAEG	LOC115620648|XP_030369860.1|SLEB, LOC115622749|XP_030372660.1|SLEB
OG0001154	LOC5568239|XP_021701587.1|AAEG, LOC5570838|XP_021694225.1|AAEG, LOC110679193|XP_021708992.1|AAEG, LOC23687831|XP_021702807.1|AAEG, LOC110676973|XP_021702808.1|AAEG, LOC5576517|XP_001662707.2|AAEG, LOC5571238|XP_021704526.1|AAEG, LOC5573547|XP_001654682.2|AAEG, LOC5568242|XP_021712402.1|AAEG, LOC110675196|XP_021695299.1|AAEG, LOC110675139|XP_021695212.1|AAEG	LOC115625958|XP_030377056.1|SLEB
OG0001155	LOC5572551|XP_021698157.1|AAEG	LOC115628850|XP_030380959.1|SLEB
OG0001157	LOC5575867|XP_021704769.1|AAEG	LOC115621126|XP_030370534.1|SLEB
OG0001158	LOC5579227|XP_001664307.1|AAEG	LOC115628463|XP_030380443.1|SLEB
OG0001159	LOC5577246|XP_021710377.1|AAEG	LOC115621479|XP_030370998.1|SLEB
OG0001160	LOC5577411|XP_001656491.2|AAEG	LOC115621486|XP_030371013.1|SLEB
OG0001161	LOC5566642|XP_021711748.1|AAEG	LOC115621649|XP_030371210.1|SLEB
OG0001162	LOC5576344|XP_021693313.1|AAEG	LOC115623523|XP_030373766.1|SLEB, LOC115621897|XP_030371587.1|SLEB
OG0001164	LOC5575602|XP_001662091.2|AAEG	LOC115621626|XP_030371183.1|SLEB
OG0001165	LOC5565600|XP_021693794.1|AAEG	LOC115634433|XP_030388000.1|SLEB, LOC115628474|XP_030380459.1|SLEB
OG0001167	LOC5577554|XP_021696671.1|AAEG	LOC115634688|XP_030388414.1|SLEB
OG0001168	LOC5572693|XP_001660512.1|AAEG	LOC115621605|XP_030371160.1|SLEB, LOC115633613|XP_030386910.1|SLEB, LOC115630383|XP_030382772.1|SLEB, LOC115630381|XP_030382771.1|SLEB, LOC115630388|XP_030382775.1|SLEB, LOC115630389|XP_030382776.1|SLEB, LOC115630387|XP_030382774.1|SLEB, LOC115630390|XP_030382777.1|SLEB, LOC115630379|XP_030382770.1|SLEB, LOC115633618|XP_030386915.1|SLEB, LOC115633616|XP_030386912.1|SLEB, LOC115633617|XP_030386914.1|SLEB, LOC115633615|XP_030386911.1|SLEB
OG0001169	LOC5567092|XP_021697463.1|AAEG, LOC5566849|XP_001651270.2|AAEG	LOC115633396|XP_030386699.1|SLEB, LOC115633425|XP_030386745.1|SLEB
