Orthogroup	AAEG.longest_only	DGUA.longest_only
OG0001763	LOC5574378|XP_021700079.1|AAEG	LOC117584792|XP_034129796.1|DGUA
OG0001764	LOC5569117|XP_001652716.2|AAEG	LOC117585464|XP_034130846.1|DGUA
OG0001765	LOC5570381|XP_021700177.1|AAEG	LOC117578807|XP_034120430.1|DGUA
OG0001766	LOC5567651|XP_021700353.1|AAEG	LOC117587946|XP_034134837.1|DGUA
OG0001767	LOC5569370|XP_021700467.1|AAEG	LOC117584521|XP_034129358.1|DGUA, LOC117584189|XP_034128847.1|DGUA
OG0001768	LOC5565839|XP_001650193.1|AAEG, LOC5578368|XP_001656939.1|AAEG	LOC117582643|XP_034126416.1|DGUA, LOC117591336|XP_034140452.1|DGUA
OG0001769	LOC5566448|XP_021700544.1|AAEG, LOC110680496|XP_021711988.1|AAEG	LOC117588178|XP_034135185.1|DGUA
OG0001770	LOC5572645|XP_001654144.2|AAEG	LOC117584137|XP_034128781.1|DGUA
OG0001771	LOC5572651|XP_001654151.1|AAEG	LOC117582107|XP_034125564.1|DGUA
OG0001772	LOC110680439|XP_021711928.1|AAEG, LOC5573651|XP_001660977.2|AAEG	LOC117584606|XP_034129506.1|DGUA
OG0001774	LOC5564490|XP_021701074.1|AAEG, LOC5564489|XP_021695283.1|AAEG	LOC117586571|XP_034132627.1|DGUA
OG0001776	LOC5575680|XP_021701220.1|AAEG	LOC117584191|XP_034128849.1|DGUA
OG0001777	LOC5573805|XP_021701314.1|AAEG	LOC117584341|XP_034129064.1|DGUA
OG0001778	LOC110675190|XP_021695289.1|AAEG, LOC110677148|XP_021703649.1|AAEG	LOC117584668|XP_034129587.1|DGUA
OG0001779	LOC110681009|XP_021712466.1|AAEG, LOC5563749|XP_021701405.1|AAEG	LOC117587522|XP_034134213.1|DGUA
OG0001780	LOC5565277|XP_021701490.1|AAEG	LOC117578755|XP_034120332.1|DGUA
OG0001781	LOC5569344|XP_021701612.1|AAEG	LOC117587628|XP_034134380.1|DGUA
OG0001782	LOC5564192|XP_021701622.1|AAEG	LOC117587616|XP_034134363.1|DGUA
OG0001783	LOC5576440|XP_021701742.1|AAEG	LOC117583901|XP_034128465.1|DGUA
OG0001784	LOC5568160|XP_021701820.1|AAEG, LOC5573090|XP_021701819.1|AAEG	LOC117582399|XP_034125977.1|DGUA
OG0001785	LOC5569041|XP_021701853.1|AAEG	LOC117592045|XP_034141420.1|DGUA
OG0001786	LOC5569034|XP_001652680.1|AAEG	LOC117584718|XP_034129659.1|DGUA
OG0001787	LOC5569031|XP_021701868.1|AAEG	LOC117581850|XP_034125198.1|DGUA
OG0001788	LOC5573248|XP_001654457.1|AAEG	LOC117578701|XP_034120238.1|DGUA
OG0001789	LOC5567954|XP_001657769.1|AAEG	LOC117591871|XP_034141140.1|DGUA
OG0001790	LOC5573696|XP_001661021.2|AAEG	LOC117584121|XP_034128763.1|DGUA
OG0001791	LOC5575748|XP_021703199.1|AAEG	LOC117592252|XP_034141780.1|DGUA
OG0001792	LOC23687649|XP_021703560.1|AAEG	LOC117581878|XP_034125235.1|DGUA
OG0001793	LOC5572054|XP_021703576.1|AAEG, LOC110680890|XP_021712373.1|AAEG	LOC117591608|XP_034140843.1|DGUA
OG0001794	LOC5565922|XP_001650267.3|AAEG	LOC117584666|XP_034129585.1|DGUA
OG0001795	LOC5567339|XP_021704045.1|AAEG	LOC117582435|XP_034126029.1|DGUA
OG0001797	LOC5572508|XP_021711425.1|AAEG, LOC5566756|XP_021706948.1|AAEG	LOC117590685|XP_034139476.1|DGUA
OG0001798	LOC5566370|XP_001650782.1|AAEG	LOC117592014|XP_034141359.1|DGUA
OG0001799	LOC5580274|XP_001662901.1|AAEG	LOC117580867|XP_034123507.1|DGUA
OG0001800	LOC5570552|XP_021709728.1|AAEG	LOC117584018|XP_034128640.1|DGUA
OG0001801	LOC110680785|XP_021712265.1|AAEG, LOC5564279|XP_021712264.1|AAEG, LOC110679411|XP_021709622.1|AAEG	LOC117589356|XP_034137133.1|DGUA
OG0001802	LOC5564547|XP_001648902.1|AAEG	LOC117586519|XP_034132542.1|DGUA
OG0001803	LOC5577692|XP_001663474.2|AAEG	LOC117586130|XP_034131886.1|DGUA, LOC117586117|XP_034131869.1|DGUA
OG0001804	LOC5564652|XP_001649004.2|AAEG, LOC110680554|XP_021712038.1|AAEG	LOC117586655|XP_034132785.1|DGUA
OG0001805	LOC5575007|XP_001661741.3|AAEG	LOC117589210|XP_034136846.1|DGUA
OG0001806	LOC5567255|XP_021706781.1|AAEG	LOC117585775|XP_034131351.1|DGUA
OG0001808	LOC5572949|XP_021709443.1|AAEG	LOC117590190|XP_034138504.1|DGUA
OG0001809	LOC5564168|XP_021707416.1|AAEG	LOC117585899|XP_034131546.1|DGUA
OG0001810	LOC110678349|XP_021706798.1|AAEG, LOC5570367|XP_021710434.1|AAEG, LOC110677948|XP_021705715.1|AAEG	LOC117583417|XP_034127599.1|DGUA
OG0001811	LOC5577351|XP_001656427.1|AAEG, LOC110680308|XP_021711836.1|AAEG, LOC110678676|XP_021707574.1|AAEG	LOC117583446|XP_034127640.1|DGUA
OG0001812	LOC5577364|XP_001656444.1|AAEG	LOC117591520|XP_034140706.1|DGUA
OG0001813	LOC5568213|XP_021706440.1|AAEG	LOC117586131|XP_034131907.1|DGUA
OG0001814	LOC110679259|XP_021709176.1|AAEG, LOC110679258|XP_021709173.1|AAEG	LOC117586612|XP_034132693.1|DGUA
OG0001815	LOC5572470|XP_001660415.1|AAEG, LOC110677764|XP_021704810.1|AAEG	LOC117585442|XP_034130808.1|DGUA
OG0001816	LOC5564769|XP_001649137.1|AAEG	LOC117591865|XP_034141124.1|DGUA
OG0001817	LOC5572254|XP_021707503.1|AAEG	LOC117578767|XP_034120363.1|DGUA
OG0001818	LOC5570038|XP_021705809.1|AAEG, LOC5570034|XP_021704393.1|AAEG	LOC117591287|XP_034140377.1|DGUA, LOC117591192|XP_034140221.1|DGUA
OG0001819	LOC5565232|XP_001649570.2|AAEG	LOC117591831|XP_034141063.1|DGUA
OG0001820	LOC5578522|XP_021711359.1|AAEG	LOC117582574|XP_034126311.1|DGUA
OG0001821	LOC5575338|XP_021712568.1|AAEG, LOC110678161|XP_021706474.1|AAEG	LOC117590876|XP_034139792.1|DGUA
OG0001822	LOC5571100|XP_021710962.1|AAEG	LOC117591918|XP_034141201.1|DGUA
OG0001823	LOC5573745|XP_021705990.1|AAEG, LOC5573744|XP_001654772.1|AAEG	LOC117579499|XP_034121292.1|DGUA
OG0001824	LOC5579661|XP_001648135.2|AAEG, LOC5579660|XP_001648134.2|AAEG	LOC117582112|XP_034125575.1|DGUA
OG0001825	LOC5572228|XP_021707395.1|AAEG	LOC117592453|XP_034142108.1|DGUA
OG0001826	LOC5577483|XP_001663403.2|AAEG	LOC117591286|XP_034140409.1|DGUA
OG0001827	LOC5572357|XP_001660316.1|AAEG, LOC5572356|XP_001660315.1|AAEG	LOC117591944|XP_034141248.1|DGUA
OG0001828	LOC5567362|XP_021706896.1|AAEG	LOC117581504|XP_034124663.1|DGUA, LOC117584839|XP_034129867.1|DGUA
OG0001829	LOC5576206|XP_021708780.1|AAEG, LOC110680523|XP_021712012.1|AAEG	LOC117578857|XP_034120538.1|DGUA
OG0001830	LOC5571911|XP_001660008.2|AAEG, LOC110679573|XP_021710291.1|AAEG	LOC117592655|XP_034142490.1|DGUA
OG0001831	LOC110680266|XP_021711773.1|AAEG, LOC5566067|XP_021705399.1|AAEG, LOC23687723|XP_021711781.1|AAEG, LOC23687612|XP_021707469.1|AAEG	LOC117579876|XP_034121887.1|DGUA
OG0001832	LOC5568452|XP_021706577.1|AAEG	LOC117588400|XP_034135546.1|DGUA
OG0001833	LOC5571930|XP_001660027.1|AAEG	LOC117580809|XP_034123455.1|DGUA
OG0001848	LOC5575825|XP_001655856.2|AAEG	LOC117585213|XP_034130487.1|DGUA
OG0001849	LOC5575828|XP_001655853.1|AAEG	LOC117585734|XP_034131270.1|DGUA
OG0001850	LOC110681442|XP_021712895.1|AAEG, LOC5579827|XP_001651058.2|AAEG	LOC117590611|XP_034139292.1|DGUA
OG0001851	LOC5578495|XP_021694587.1|AAEG	LOC117590618|XP_034139302.1|DGUA
OG0001852	LOC5565125|XP_021694596.1|AAEG	LOC117586830|XP_034133002.1|DGUA
OG0001853	LOC5574328|XP_021694599.1|AAEG	LOC117583486|XP_034127688.1|DGUA
OG0001854	LOC5569472|XP_001658557.1|AAEG	LOC117580708|XP_034123254.1|DGUA
OG0001855	LOC5574649|XP_001661572.1|AAEG	LOC117592232|XP_034141757.1|DGUA
OG0001856	LOC110674760|XP_021694723.1|AAEG	LOC117584269|XP_034128972.1|DGUA, LOC117590206|XP_034138549.1|DGUA
OG0001857	LOC5575262|XP_001661863.2|AAEG, LOC5575265|XP_021694857.1|AAEG	LOC117588282|XP_034135347.1|DGUA
OG0001858	LOC5567841|XP_021694869.1|AAEG	LOC117581181|XP_034124016.1|DGUA
OG0001859	LOC5580066|XP_001654807.1|AAEG	LOC117581658|XP_034124929.1|DGUA
OG0001860	LOC5564571|XP_021694963.1|AAEG, LOC5568118|XP_021696651.1|AAEG	LOC117579914|XP_034121943.1|DGUA
OG0001861	LOC5579466|XP_021693350.1|AAEG	LOC117583559|XP_034127817.1|DGUA
OG0001862	LOC5570649|XP_021706525.1|AAEG, LOC5570648|XP_001659242.1|AAEG	LOC117581282|XP_034124194.1|DGUA
OG0001863	LOC5570651|XP_001659247.1|AAEG	LOC117581556|XP_034124779.1|DGUA
OG0001864	LOC110674837|XP_021695016.1|AAEG, LOC5578628|XP_021694917.1|AAEG	LOC117589479|XP_034137328.1|DGUA
OG0001865	LOC110675288|XP_021695482.1|AAEG	LOC117580836|XP_034123466.1|DGUA
OG0001866	LOC5574246|XP_021695568.1|AAEG	LOC117589756|XP_034137828.1|DGUA
OG0001867	LOC5575004|XP_021697527.1|AAEG, LOC5570553|XP_021706976.1|AAEG	LOC117588883|XP_034136300.1|DGUA
OG0001868	LOC5574992|XP_001655465.2|AAEG, LOC5574991|XP_001655464.2|AAEG	LOC117588018|XP_034134944.1|DGUA
OG0001869	LOC5574987|XP_021697648.1|AAEG	LOC117589757|XP_034137833.1|DGUA
OG0001870	LOC110681030|XP_021712488.1|AAEG, LOC110674273|XP_021694239.1|AAEG, LOC110681059|XP_021712516.1|AAEG, LOC5575006|XP_021697806.1|AAEG	LOC117581432|XP_034124495.1|DGUA
OG0001871	LOC5571998|XP_001660103.3|AAEG	LOC117591015|XP_034139992.1|DGUA
OG0001872	LOC5574573|XP_021699531.1|AAEG	LOC117583082|XP_034127150.1|DGUA
OG0001873	LOC5578825|XP_021701935.1|AAEG	LOC117590064|XP_034138277.1|DGUA
OG0001874	LOC5567722|XP_021702328.1|AAEG	LOC117585551|XP_034130964.1|DGUA
OG0001875	LOC110677055|XP_021703299.1|AAEG	LOC117583805|XP_034128277.1|DGUA
OG0001876	LOC5564040|XP_001648384.2|AAEG	LOC117588803|XP_034136209.1|DGUA
OG0001877	LOC5571508|XP_001659759.2|AAEG	LOC117591663|XP_034140878.1|DGUA, LOC117588523|XP_034135769.1|DGUA
OG0001878	LOC5566087|XP_021704628.1|AAEG	LOC117589939|XP_034138116.1|DGUA
OG0001879	LOC5565257|XP_021705692.1|AAEG	LOC117584988|XP_034130102.1|DGUA
OG0001880	LOC5570606|XP_001653270.2|AAEG	LOC117585756|XP_034131303.1|DGUA
OG0001881	LOC5566189|XP_001650563.2|AAEG	LOC117583145|XP_034127225.1|DGUA
OG0001882	LOC110680416|XP_021711907.1|AAEG, LOC110679567|XP_021710262.1|AAEG, LOC5566197|XP_021711888.1|AAEG, LOC110679570|XP_021710271.1|AAEG, LOC110674299|XP_021694273.1|AAEG	LOC117583037|XP_034127089.1|DGUA
OG0001883	LOC5577698|XP_021711630.1|AAEG	LOC117582717|XP_034126530.1|DGUA
OG0001884	LOC5577407|XP_001656488.1|AAEG	LOC117589566|XP_034137507.1|DGUA
OG0001885	LOC5577423|XP_021711870.1|AAEG	LOC117584663|XP_034129582.1|DGUA
OG0001886	LOC5572728|XP_001660554.2|AAEG	LOC117583766|XP_034128209.1|DGUA
OG0001887	LOC5567793|XP_021712137.1|AAEG	LOC117592285|XP_034141838.1|DGUA
OG0001888	LOC110681150|XP_021712610.1|AAEG, LOC5567790|XP_001657693.2|AAEG	LOC117586548|XP_034132601.1|DGUA
OG0001889	LOC5567788|XP_001657691.1|AAEG	LOC117583305|XP_034127440.1|DGUA, LOC117590321|XP_034138704.1|DGUA
OG0001890	LOC5567782|XP_001657683.2|AAEG	LOC117589186|XP_034136801.1|DGUA
OG0001891	LOC5567775|XP_021712347.1|AAEG, LOC5567776|XP_021712762.1|AAEG	LOC117584985|XP_034130098.1|DGUA
OG0001892	LOC23687555|XP_021712394.1|AAEG, LOC110681196|XP_021712670.1|AAEG	LOC117590145|XP_034138411.1|DGUA
OG0001893	LOC5572443|XP_021695330.1|AAEG, LOC110675186|XP_021695285.1|AAEG, LOC5572571|XP_021713040.1|AAEG, LOC5569499|XP_021695253.1|AAEG	LOC117583364|XP_034127533.1|DGUA
OG0001894	LOC5572582|XP_001654091.1|AAEG	LOC117580383|XP_034122814.1|DGUA
OG0001895	LOC23687627|XP_021713176.1|AAEG	LOC117590642|XP_034139375.1|DGUA
OG0001896	LOC110680784|XP_021712262.1|AAEG, LOC5569234|XP_021713263.1|AAEG	LOC117584608|XP_034129510.1|DGUA
OG0001897	LOC5579206|XP_021713312.1|AAEG	LOC117589546|XP_034137441.1|DGUA
OG0001898	LOC5580016|XP_001653897.2|AAEG	LOC117581377|XP_034124406.1|DGUA
OG0001899	LOC5580177|XP_001655592.2|AAEG, LOC5580175|XP_021713419.1|AAEG	LOC117585235|XP_034130518.1|DGUA
OG0001901	LOC5563615|XP_021693058.1|AAEG	LOC117583903|XP_034128468.1|DGUA
OG0001902	LOC5576356|XP_021693302.1|AAEG	LOC117590020|XP_034138200.1|DGUA
OG0001903	LOC5573314|XP_021693438.1|AAEG	LOC117590077|XP_034138306.1|DGUA
OG0001904	LOC5573316|XP_021693443.1|AAEG	LOC117583679|XP_034128041.1|DGUA
OG0001905	LOC5569643|XP_001658667.1|AAEG	LOC117583820|XP_034128297.1|DGUA
OG0001906	LOC5576390|XP_021693504.1|AAEG	LOC117589498|XP_034137361.1|DGUA
OG0001907	LOC110674160|XP_021693697.1|AAEG, LOC5566429|XP_021695258.1|AAEG	LOC117588466|XP_034135646.1|DGUA
OG0001908	LOC5564006|XP_001648330.1|AAEG	LOC117583590|XP_034127870.1|DGUA
OG0001909	LOC5569687|XP_021693811.1|AAEG	LOC117580901|XP_034123552.1|DGUA, LOC117590458|XP_034138984.1|DGUA
OG0001910	LOC5565945|XP_001650321.1|AAEG, LOC5565940|XP_001650319.2|AAEG	LOC117583180|XP_034127271.1|DGUA
OG0001911	LOC110674205|XP_021693943.1|AAEG	LOC117582789|XP_034126663.1|DGUA
OG0001912	LOC110674342|XP_021694330.1|AAEG, LOC5576146|XP_021694069.1|AAEG	LOC117578673|XP_034120191.1|DGUA
OG0001913	LOC110674222|XP_021694070.1|AAEG, LOC5576149|XP_001662497.2|AAEG	LOC117583924|XP_034128494.1|DGUA
OG0001914	LOC5565160|XP_021694133.1|AAEG	LOC117585355|XP_034130693.1|DGUA
OG0001915	LOC5566122|XP_021695354.1|AAEG	LOC117589153|XP_034136741.1|DGUA
OG0001916	LOC5570941|XP_001653408.1|AAEG	LOC117579221|XP_034120887.1|DGUA
OG0001917	LOC5579868|XP_021695539.1|AAEG	LOC117589188|XP_034136803.1|DGUA
OG0001918	LOC5575750|XP_001662178.1|AAEG	LOC117589296|XP_034136979.1|DGUA
OG0001919	LOC5579460|XP_001647758.2|AAEG	LOC117588108|XP_034135074.1|DGUA
OG0001920	LOC5571764|XP_021695753.1|AAEG	LOC117588843|XP_034136227.1|DGUA
OG0001921	LOC5571757|XP_001659890.2|AAEG	LOC117591755|XP_034140957.1|DGUA
OG0001922	LOC5571267|XP_001653565.1|AAEG	LOC117590257|XP_034138636.1|DGUA
OG0001924	LOC23687479|XP_021696447.1|AAEG	LOC117587819|XP_034134667.1|DGUA
OG0001925	LOC5567637|XP_001657588.2|AAEG	LOC117588852|XP_034136243.1|DGUA
OG0001926	LOC5566295|XP_021696526.1|AAEG	LOC117587028|XP_034133344.1|DGUA, LOC117587027|XP_034133343.1|DGUA
OG0001927	LOC5568108|XP_021696643.1|AAEG	LOC117588597|XP_034135897.1|DGUA
OG0001928	LOC5568114|XP_001652053.1|AAEG	LOC117580358|XP_034122767.1|DGUA
OG0001929	LOC5568122|XP_021696657.1|AAEG	LOC117580174|XP_034122392.1|DGUA
OG0001930	LOC5569448|XP_021696661.1|AAEG	LOC117592698|XP_034142554.1|DGUA
OG0001932	LOC5574425|XP_021696832.1|AAEG	LOC117587265|XP_034133730.1|DGUA
OG0001933	LOC5566235|XP_001650598.2|AAEG	LOC117589373|XP_034137178.1|DGUA
OG0001934	LOC5565654|XP_001650004.2|AAEG	LOC117591104|XP_034140097.1|DGUA, LOC117591281|XP_034140370.1|DGUA
OG0001935	LOC5573776|XP_001654802.2|AAEG	LOC117588929|XP_034136395.1|DGUA
OG0001937	LOC5574901|XP_021697034.1|AAEG	LOC117592171|XP_034141658.1|DGUA
OG0001938	LOC5567330|XP_021697068.1|AAEG	LOC117591874|XP_034141139.1|DGUA
OG0001939	LOC5571823|XP_001659955.1|AAEG, LOC5571824|XP_001659956.1|AAEG	LOC117592507|XP_034142243.1|DGUA
OG0001940	LOC5578975|XP_021697211.1|AAEG	LOC117591519|XP_034140708.1|DGUA
OG0001941	LOC5577574|XP_001663445.2|AAEG	LOC117588991|XP_034136483.1|DGUA
OG0001942	LOC5565244|XP_021697467.1|AAEG, LOC5574904|XP_001661710.2|AAEG	LOC117578494|XP_034119919.1|DGUA
OG0001943	LOC110675827|XP_021697395.1|AAEG	LOC117588932|XP_034136399.1|DGUA
OG0001944	LOC5565994|XP_001650362.2|AAEG	LOC117587439|XP_034134012.1|DGUA
OG0001945	LOC5575250|XP_021697553.1|AAEG	LOC117580689|XP_034123209.1|DGUA
OG0001946	LOC5572759|XP_001660580.2|AAEG	LOC117581578|XP_034124823.1|DGUA
OG0001947	LOC110675915|XP_021697633.1|AAEG, LOC5572761|XP_021712888.1|AAEG	LOC117578773|XP_034120370.1|DGUA
OG0001948	LOC5573420|XP_001654595.2|AAEG	LOC117588570|XP_034135857.1|DGUA
OG0001949	LOC5575138|XP_021697912.1|AAEG	LOC117591735|XP_034140938.1|DGUA, LOC117586858|XP_034133045.1|DGUA
OG0001950	LOC5564815|XP_021697926.1|AAEG	LOC117586649|XP_034132774.1|DGUA
OG0001951	LOC5564736|XP_021698057.1|AAEG	LOC117592153|XP_034141610.1|DGUA
OG0001952	LOC5568132|XP_021698130.1|AAEG	LOC117592019|XP_034141406.1|DGUA
OG0001953	LOC5571480|XP_021698235.1|AAEG	LOC117589348|XP_034137151.1|DGUA
OG0001954	LOC5563832|XP_021698302.1|AAEG	LOC117578833|XP_034120498.1|DGUA
OG0001955	LOC5576039|XP_001662377.1|AAEG	LOC117591839|XP_034141096.1|DGUA
OG0001956	LOC5576036|XP_021698320.1|AAEG	LOC117589437|XP_034137267.1|DGUA
OG0001957	LOC5564212|XP_001648594.1|AAEG	LOC117578539|XP_034119998.1|DGUA
OG0001958	LOC5569618|XP_021698469.1|AAEG	LOC117581052|XP_034123784.1|DGUA
OG0001959	LOC5577966|XP_021698584.1|AAEG, LOC5575279|XP_021704623.1|AAEG	LOC117586942|XP_034133199.1|DGUA
OG0001960	LOC5576957|XP_021698653.1|AAEG	LOC117587164|XP_034133568.1|DGUA
OG0001961	LOC5572304|XP_021698709.1|AAEG	LOC117587841|XP_034134700.1|DGUA
OG0001962	LOC5572270|XP_021698749.1|AAEG	LOC117580375|XP_034122802.1|DGUA
OG0001963	LOC5574335|XP_001661369.2|AAEG	LOC117589225|XP_034136866.1|DGUA
OG0001964	LOC110677712|XP_021704551.1|AAEG, LOC5563554|XP_021699088.1|AAEG	LOC117580110|XP_034122277.1|DGUA
OG0001966	LOC5572494|XP_001660440.2|AAEG, LOC5568681|XP_001658084.2|AAEG	LOC117583052|XP_034127105.1|DGUA
OG0001967	LOC5578856|XP_021699344.1|AAEG	LOC117581879|XP_034125239.1|DGUA
OG0001968	LOC5578863|XP_001664072.2|AAEG	LOC117579502|XP_034121296.1|DGUA
OG0001969	LOC5572859|XP_021699398.1|AAEG	LOC117578592|XP_034120072.1|DGUA
OG0001970	LOC5575914|XP_001655906.1|AAEG	LOC117592242|XP_034141768.1|DGUA
OG0001971	LOC5563933|XP_021699532.1|AAEG, LOC110676342|XP_021699535.1|AAEG	LOC117586528|XP_034132556.1|DGUA
OG0001972	LOC5570728|XP_001659320.1|AAEG	LOC117590967|XP_034139919.1|DGUA
OG0001973	LOC23687899|XP_021699564.1|AAEG	LOC117580399|XP_034122839.1|DGUA
OG0001974	LOC5569574|XP_001658635.1|AAEG	LOC117591065|XP_034140061.1|DGUA
OG0001975	LOC110676393|XP_021699804.1|AAEG	LOC117589164|XP_034136761.1|DGUA
OG0001976	LOC5574834|XP_001661657.1|AAEG	LOC117592536|XP_034142296.1|DGUA
OG0001977	LOC5575445|XP_021700364.1|AAEG	LOC117584293|XP_034129005.1|DGUA
OG0001978	LOC5578159|XP_001663732.1|AAEG	LOC117582006|XP_034125393.1|DGUA
OG0001979	LOC5580329|XP_001663282.1|AAEG	LOC117581764|XP_034125057.1|DGUA
OG0001980	LOC110676547|XP_021700527.1|AAEG, LOC5578362|XP_001656933.2|AAEG	LOC117581827|XP_034125162.1|DGUA
OG0001982	LOC5570903|XP_001653381.1|AAEG	LOC117587604|XP_034134346.1|DGUA
OG0001983	LOC5569680|XP_001652945.1|AAEG	LOC117587792|XP_034134629.1|DGUA
OG0001984	LOC5572638|XP_001654135.1|AAEG	LOC117588101|XP_034135062.1|DGUA
OG0001985	LOC110680287|XP_021711813.1|AAEG, LOC5565763|XP_021700900.1|AAEG, LOC110680285|XP_021711797.1|AAEG	LOC117588104|XP_034135066.1|DGUA
OG0001986	LOC5564309|XP_001648656.2|AAEG	LOC117587675|XP_034134458.1|DGUA
OG0001987	LOC110680374|XP_021711872.1|AAEG, LOC5572849|XP_021711343.1|AAEG, LOC5566255|XP_021700957.1|AAEG	LOC117590974|XP_034139934.1|DGUA
OG0001988	LOC5574483|XP_021701245.1|AAEG	LOC117592008|XP_034141352.1|DGUA
OG0001989	LOC5574486|XP_001655150.2|AAEG	LOC117582355|XP_034125902.1|DGUA
OG0001990	LOC5574491|XP_021695288.1|AAEG	LOC117584274|XP_034128981.1|DGUA
OG0001991	LOC5568825|XP_021701340.1|AAEG	LOC117587920|XP_034134798.1|DGUA
OG0001992	LOC5564970|XP_021701369.1|AAEG	LOC117581820|XP_034125154.1|DGUA
OG0001993	LOC5573790|XP_001661042.1|AAEG, LOC5564972|XP_001649329.1|AAEG	LOC117591576|XP_034140784.1|DGUA
OG0001994	LOC5578318|XP_021701535.1|AAEG	LOC117585327|XP_034130657.1|DGUA
OG0001995	LOC5579212|XP_001664294.2|AAEG	LOC117588234|XP_034135275.1|DGUA
OG0001996	LOC5575210|XP_021701890.1|AAEG	LOC117584741|XP_034129714.1|DGUA
OG0001997	LOC5578032|XP_001663654.1|AAEG	LOC117586636|XP_034132755.1|DGUA
OG0001998	LOC5569849|XP_021701970.1|AAEG	LOC117586579|XP_034132639.1|DGUA
OG0001999	LOC5565997|XP_021702090.1|AAEG	LOC117580340|XP_034122740.1|DGUA
OG0002000	LOC110676888|XP_021702136.1|AAEG	LOC117582366|XP_034125915.1|DGUA
OG0002001	LOC5570817|XP_021702205.1|AAEG	LOC117582555|XP_034126272.1|DGUA
OG0002002	LOC5577613|XP_001656607.2|AAEG	LOC117583406|XP_034127583.1|DGUA
OG0002003	LOC5577626|XP_021702248.1|AAEG	LOC117584518|XP_034129353.1|DGUA
OG0002004	LOC5575148|XP_001655525.2|AAEG	LOC117582197|XP_034125695.1|DGUA
OG0002005	LOC5572463|XP_021702484.1|AAEG	LOC117590897|XP_034139819.1|DGUA
OG0002006	LOC5565314|XP_021702525.1|AAEG	LOC117584837|XP_034129859.1|DGUA
OG0002007	LOC5568618|XP_001652452.1|AAEG	LOC117587619|XP_034134367.1|DGUA
OG0002008	LOC5577545|XP_021702797.1|AAEG	LOC117590677|XP_034139444.1|DGUA
OG0002009	LOC5564025|XP_001648348.3|AAEG	LOC117581134|XP_034123955.1|DGUA
OG0002010	LOC5577897|XP_001656695.1|AAEG	LOC117583899|XP_034128461.1|DGUA
OG0002011	LOC110676987|XP_021702915.1|AAEG, LOC5573181|XP_001660798.1|AAEG	LOC117588149|XP_034135138.1|DGUA
OG0002012	LOC5575841|XP_021702942.1|AAEG	LOC117582589|XP_034126326.1|DGUA
OG0002013	LOC5568759|XP_021702968.1|AAEG	LOC117587837|XP_034134690.1|DGUA
OG0002014	LOC5568940|XP_021703175.1|AAEG	LOC117586040|XP_034131779.1|DGUA
OG0002015	LOC5573896|XP_001654930.1|AAEG	LOC117581959|XP_034125332.1|DGUA
OG0002016	LOC5572070|XP_021711903.1|AAEG, LOC5572069|XP_021703577.1|AAEG	LOC117578411|XP_034119760.1|DGUA
OG0002017	LOC5572370|XP_021703595.1|AAEG	LOC117584807|XP_034129816.1|DGUA
OG0002018	LOC5564935|XP_001649274.2|AAEG	LOC117591560|XP_034140755.1|DGUA
OG0002019	LOC5565904|XP_021703806.1|AAEG	LOC117582016|XP_034125428.1|DGUA
OG0002020	LOC5569705|XP_001658696.2|AAEG	LOC117587826|XP_034134677.1|DGUA
OG0002021	LOC5569712|XP_021703870.1|AAEG	LOC117581809|XP_034125145.1|DGUA
OG0002022	LOC5568180|XP_021703905.1|AAEG, LOC5578480|XP_021708702.1|AAEG	LOC117583871|XP_034128408.1|DGUA
OG0002023	LOC5564528|XP_001648863.2|AAEG, LOC5575671|XP_001662131.2|AAEG	LOC117589804|XP_034137907.1|DGUA
OG0002024	LOC5569515|XP_021704011.1|AAEG	LOC117584712|XP_034129648.1|DGUA
OG0002025	LOC110677254|XP_021704066.1|AAEG	LOC117581987|XP_034125370.1|DGUA
OG0002026	LOC5568423|XP_021710375.1|AAEG	LOC117579320|XP_034121023.1|DGUA
OG0002027	LOC5564326|XP_021708868.1|AAEG, LOC110681294|XP_021712747.1|AAEG	LOC117591197|XP_034140231.1|DGUA
OG0002028	LOC5564319|XP_001648667.1|AAEG	LOC117587745|XP_034134601.1|DGUA
OG0002029	LOC5570130|XP_021706330.1|AAEG	LOC117579619|XP_034121465.1|DGUA
OG0002030	LOC5573830|XP_021707251.1|AAEG, LOC5576485|XP_001662678.2|AAEG	LOC117578691|XP_034120217.1|DGUA
OG0002031	LOC5578200|XP_021707480.1|AAEG, LOC5577974|XP_021704605.1|AAEG	LOC117589792|XP_034137888.1|DGUA
OG0002032	LOC5566411|XP_021707212.1|AAEG	LOC117590127|XP_034138390.1|DGUA
OG0002033	LOC5577434|XP_021710157.1|AAEG	LOC117580659|XP_034123158.1|DGUA
OG0002034	LOC110680774|XP_021712249.1|AAEG, LOC5578948|XP_021708225.1|AAEG	LOC117588665|XP_034135998.1|DGUA, LOC117591777|XP_034140977.1|DGUA, LOC117591738|XP_034140940.1|DGUA
OG0002035	LOC5567371|XP_001657386.1|AAEG	LOC117584915|XP_034129953.1|DGUA
OG0002036	LOC5580311|XP_021709149.1|AAEG	LOC117583591|XP_034127871.1|DGUA
OG0002037	LOC5573964|XP_011493566.1|AAEG	LOC117579443|XP_034121222.1|DGUA
OG0002038	LOC5579885|XP_001657864.1|AAEG	LOC117586289|XP_034132133.1|DGUA
