Orthogroup	AAEG.longest_only	DEUG.longest_only
OG0001172	LOC5566033|XP_021698883.1|AAEG	LOC108109224|XP_017073183.1|DEUG
OG0001173	LOC5576977|XP_001663072.2|AAEG	LOC108109351|XP_017073300.1|DEUG
OG0001174	LOC5569279|XP_001652811.1|AAEG	LOC108107532|XP_017070562.1|DEUG, LOC108107533|XP_017070563.1|DEUG
OG0001175	LOC5574385|XP_001661410.2|AAEG	LOC108112577|XP_017078087.1|DEUG
OG0001176	LOC5571149|XP_021700283.1|AAEG	LOC108106448|XP_017068983.1|DEUG
OG0001177	LOC5569526|XP_021704024.1|AAEG	LOC108103071|XP_017063904.1|DEUG
OG0001178	LOC110676927|XP_021702495.1|AAEG	LOC108108976|XP_017072721.1|DEUG
OG0001179	LOC5577540|XP_001656556.3|AAEG	LOC108106560|XP_017069213.1|DEUG
OG0001180	LOC5568068|XP_001652002.1|AAEG	LOC108108898|XP_017072613.1|DEUG
OG0001181	LOC5575371|XP_001661902.2|AAEG	LOC108104295|XP_017065756.1|DEUG
OG0001182	LOC5571228|XP_001653528.1|AAEG, LOC5571227|XP_021707004.1|AAEG	LOC108116651|XP_017084129.1|DEUG
OG0001183	LOC5564518|XP_021705619.1|AAEG	LOC108116403|XP_017083763.1|DEUG
OG0001185	LOC5575995|XP_021707351.1|AAEG	LOC108105592|XP_017067745.1|DEUG, LOC108105589|XP_017067724.1|DEUG
OG0001186	LOC5568008|XP_021708299.1|AAEG	LOC108115168|XP_017081976.1|DEUG
OG0001187	LOC5578526|XP_001663917.1|AAEG, LOC5578524|XP_001663915.2|AAEG	LOC108106671|XP_017069391.1|DEUG
OG0001188	LOC5579654|XP_001648128.2|AAEG	LOC108112844|XP_017078645.1|DEUG
OG0001189	LOC5565498|XP_021705339.1|AAEG, LOC5568971|XP_001652631.2|AAEG	LOC108113326|XP_017079372.1|DEUG
OG0001190	LOC5565484|XP_021707036.1|AAEG, LOC110680425|XP_021711915.1|AAEG, LOC5565483|XP_021706750.1|AAEG	LOC108102416|XP_017062872.1|DEUG
OG0001191	LOC5574691|XP_021708304.1|AAEG, LOC5574688|XP_021707897.1|AAEG	LOC108108517|XP_017072080.1|DEUG
OG0001192	LOC5563930|XP_021705115.1|AAEG	LOC108106860|XP_017069593.1|DEUG, LOC108106858|XP_017069591.1|DEUG
OG0001193	LOC5572088|XP_001660168.1|AAEG, LOC110680475|XP_021711974.1|AAEG	LOC108110258|XP_017074735.1|DEUG
OG0001194	LOC5578080|XP_001656773.1|AAEG	LOC108105500|XP_017067609.1|DEUG
OG0001195	LOC5568267|XP_001657964.2|AAEG	LOC108105403|XP_017067436.1|DEUG
OG0001200	LOC5572374|XP_001660338.2|AAEG	LOC108118062|XP_017086094.1|DEUG
OG0001201	LOC5564649|XP_001648985.2|AAEG, LOC5572031|XP_001660136.1|AAEG, LOC110678423|XP_021706974.1|AAEG, LOC5564633|XP_001648987.2|AAEG	LOC108113717|XP_017079887.1|DEUG
OG0001202	LOC5572017|XP_001660128.1|AAEG	LOC108102421|XP_017062887.1|DEUG
OG0001203	LOC5574322|XP_021694574.1|AAEG, LOC110681443|XP_021712896.1|AAEG, LOC110674735|XP_021694562.1|AAEG	LOC108102342|XP_017062667.1|DEUG
OG0001204	LOC5574716|XP_001655300.2|AAEG	LOC108105878|XP_017068143.1|DEUG
OG0001205	LOC5575088|XP_001661798.1|AAEG	LOC108115325|XP_017082222.1|DEUG
OG0001206	LOC5572256|XP_021695027.1|AAEG	LOC108117134|XP_017084871.1|DEUG
OG0001207	LOC5578378|XP_021695131.1|AAEG	LOC108103973|XP_017065239.1|DEUG
OG0001208	LOC5576373|XP_021695474.1|AAEG	LOC108109684|XP_017073771.1|DEUG
OG0001209	LOC5579262|XP_021696013.1|AAEG, LOC5571213|XP_021696002.1|AAEG	LOC108112521|XP_017077960.1|DEUG, LOC108116950|XP_017084591.1|DEUG
OG0001210	LOC5576886|XP_021703422.1|AAEG, LOC5576881|XP_021703451.1|AAEG	LOC108102996|XP_017063800.1|DEUG
OG0001211	LOC5567066|XP_021712826.1|AAEG	LOC108110255|XP_017074731.1|DEUG
OG0001212	LOC5580010|XP_001653890.2|AAEG	LOC108102904|XP_017063615.1|DEUG
OG0001213	LOC5564694|XP_021692994.1|AAEG, LOC5564683|XP_001649031.3|AAEG, LOC5564679|XP_001649029.3|AAEG, LOC5564684|XP_001649030.2|AAEG	LOC108111568|XP_017076579.1|DEUG
OG0001214	LOC5576401|XP_001662611.1|AAEG	LOC108115699|XP_017082758.1|DEUG
OG0001215	LOC5573442|XP_021693624.1|AAEG, LOC5573437|XP_021693618.1|AAEG	LOC108115319|XP_017082212.1|DEUG
OG0001216	LOC5564193|XP_001648534.2|AAEG, LOC5576567|XP_021693630.1|AAEG	LOC108105231|XP_017067188.1|DEUG
OG0001217	LOC5564004|XP_021693760.1|AAEG	LOC108118120|XP_017086156.1|DEUG, LOC108113253|XP_017079294.1|DEUG
OG0001218	LOC5578916|XP_001657200.2|AAEG, LOC110674344|XP_021694332.1|AAEG	LOC108108836|XP_017072532.1|DEUG
OG0001220	LOC5568477|XP_001652310.1|AAEG, LOC5568476|XP_021695984.1|AAEG	LOC108112213|XP_017077519.1|DEUG
OG0001221	LOC23687552|XP_021696190.1|AAEG, LOC5579458|XP_021696193.1|AAEG, LOC110676294|XP_021699295.1|AAEG, LOC110676293|XP_021699294.1|AAEG	LOC108109208|XP_017073139.1|DEUG
OG0001223	LOC5576043|XP_001662373.2|AAEG	LOC108113659|XP_017079820.1|DEUG, LOC108118064|XP_017086096.1|DEUG
OG0001224	LOC110681315|XP_021712765.1|AAEG, LOC5565487|XP_001649850.1|AAEG	LOC108112183|XP_017077481.1|DEUG
OG0001225	LOC5575931|XP_021699426.1|AAEG, LOC5575933|XP_001655925.2|AAEG	LOC108112620|XP_017078202.1|DEUG
OG0001226	LOC5578269|XP_001663796.1|AAEG	LOC108106425|XP_017068943.1|DEUG
OG0001227	LOC5574306|XP_001655087.1|AAEG	LOC108106906|XP_017069644.1|DEUG
OG0001228	LOC5572246|XP_001653940.1|AAEG	LOC108110090|XP_017074471.1|DEUG
OG0001229	LOC5572327|XP_021701837.1|AAEG	LOC108117581|XP_017085572.1|DEUG, LOC108118111|XP_017086150.1|DEUG
OG0001230	LOC5564611|XP_021701962.1|AAEG	LOC108113038|XP_017078959.1|DEUG
OG0001231	LOC5576034|XP_001655975.1|AAEG	LOC108117464|XP_017085375.1|DEUG
OG0001232	LOC5573898|XP_001654934.2|AAEG	LOC108118322|XP_017086429.1|DEUG, LOC108106085|XP_017068433.1|DEUG, LOC108118323|XP_017086430.1|DEUG
OG0001233	LOC5573900|XP_021703334.1|AAEG	LOC108107159|XP_017070058.1|DEUG
OG0001234	LOC5567996|XP_001657823.1|AAEG	LOC108112788|XP_017078558.1|DEUG
OG0001235	LOC5568075|XP_001652011.2|AAEG, LOC5568073|XP_011493035.2|AAEG	LOC108110729|XP_017075409.1|DEUG
OG0001236	LOC5575375|XP_021706184.1|AAEG, LOC110681257|XP_021712720.1|AAEG	LOC108113933|XP_017080129.1|DEUG, LOC108114329|XP_017080739.1|DEUG
OG0001237	LOC5579027|XP_021708950.1|AAEG	LOC108105987|XP_017068307.1|DEUG, LOC108117102|XP_017084807.1|DEUG
OG0001238	LOC5573338|XP_021705177.1|AAEG	LOC108113593|XP_017079727.1|DEUG
OG0001239	LOC5570022|XP_021709007.1|AAEG, LOC5565203|XP_021706967.1|AAEG, LOC5577994|XP_021707759.1|AAEG	LOC108117165|XP_017084928.1|DEUG
OG0001240	LOC5575403|XP_001661923.2|AAEG, LOC5575404|XP_021707219.1|AAEG, LOC5575406|XP_021707233.1|AAEG	LOC108113540|XP_017079624.1|DEUG, LOC108109093|XP_017072966.1|DEUG
OG0001241	LOC5573887|XP_021709538.1|AAEG	LOC108106310|XP_017068770.1|DEUG
OG0001242	LOC5563955|XP_001648308.1|AAEG	LOC108114013|XP_017080249.1|DEUG, LOC108105099|XP_017067023.1|DEUG
OG0001244	LOC110677631|XP_021704120.1|AAEG	LOC108105226|XP_017067183.1|DEUG
OG0001245	LOC5574238|XP_001661286.2|AAEG	LOC108117094|XP_017084782.1|DEUG
OG0001246	LOC5566857|XP_021710437.1|AAEG, LOC5566854|XP_001651279.2|AAEG, LOC5566856|XP_001651282.2|AAEG	LOC108107415|XP_017070433.1|DEUG
OG0001247	LOC5566538|XP_021708940.1|AAEG	LOC108105576|XP_017067705.1|DEUG, LOC108111891|XP_017077014.1|DEUG
OG0001248	LOC5565422|XP_021710530.1|AAEG	LOC108108323|XP_017071840.1|DEUG
OG0001249	LOC5569493|XP_021711683.1|AAEG	LOC108115924|XP_017083048.1|DEUG, LOC108103271|XP_017064172.1|DEUG
OG0001257	LOC5574316|XP_021694563.1|AAEG	LOC108102318|XP_017062581.1|DEUG, LOC108102319|XP_017062583.1|DEUG, LOC108102315|XP_017062578.1|DEUG
OG0001258	LOC5577550|XP_001663426.1|AAEG	LOC108109560|XP_017073621.1|DEUG
OG0001259	LOC5573522|XP_021703730.1|AAEG, LOC110678884|XP_021708156.1|AAEG	LOC108105520|XP_017067635.1|DEUG
OG0001260	LOC5571803|XP_001659934.2|AAEG, LOC5571799|XP_021709524.1|AAEG	LOC108108394|XP_017071937.1|DEUG
OG0001261	LOC5572383|XP_001654039.1|AAEG	LOC108115596|XP_017082650.1|DEUG
OG0001263	LOC5572162|XP_021701521.1|AAEG	LOC108117538|XP_017085530.1|DEUG
OG0001264	LOC5575506|XP_021702723.1|AAEG, LOC5576313|XP_021702589.1|AAEG	LOC108111149|XP_017076006.1|DEUG
OG0001265	LOC110677665|XP_021704331.1|AAEG	LOC108104412|XP_017065951.1|DEUG
OG0001266	LOC110681386|XP_021712818.1|AAEG, LOC5575369|XP_001661899.2|AAEG, LOC5565134|XP_021710211.1|AAEG, LOC110680911|XP_021712391.1|AAEG, LOC5566192|XP_021712276.1|AAEG	LOC108113209|XP_017079232.1|DEUG
OG0001267	LOC5577500|XP_021711550.1|AAEG, LOC5577506|XP_021711759.1|AAEG	LOC108115712|XP_017082772.1|DEUG
OG0001269	LOC110680993|XP_021712453.1|AAEG	LOC108102584|XP_017063173.1|DEUG
OG0001269	LOC5578532|XP_001663924.1|AAEG	LOC108106338|XP_017068804.1|DEUG
OG0001270	LOC5579659|XP_021706346.1|AAEG, LOC5576400|XP_001662612.2|AAEG	LOC108115300|XP_017082184.1|DEUG
OG0001271	LOC110675398|XP_021696016.1|AAEG, LOC5573476|XP_021696019.1|AAEG	LOC108104861|XP_017066672.1|DEUG
OG0001272	LOC5576415|XP_001656118.2|AAEG	LOC108114016|XP_017080255.1|DEUG
OG0001273	LOC5568324|XP_001652203.1|AAEG, LOC5574558|XP_001661508.2|AAEG, LOC5579347|XP_001647653.1|AAEG	LOC108111583|XP_017076592.1|DEUG
OG0001274	LOC5573423|XP_021697822.1|AAEG, LOC5573422|XP_001654598.1|AAEG	LOC108108055|XP_017071419.1|DEUG
OG0001276	LOC5574001|XP_021698011.1|AAEG	LOC108108133|XP_017071543.1|DEUG, LOC108107584|XP_017070634.1|DEUG
OG0001277	LOC5573676|XP_021698208.1|AAEG	LOC108107683|XP_017070761.1|DEUG
OG0001278	LOC5564225|XP_021698341.1|AAEG	LOC108114314|XP_017080714.1|DEUG
OG0001279	LOC110680939|XP_021712413.1|AAEG, LOC5564226|XP_001648567.1|AAEG	LOC108117397|XP_017085292.1|DEUG
OG0001280	LOC5570785|XP_001653294.1|AAEG	LOC108104650|XP_017066320.1|DEUG
OG0001281	LOC5574271|XP_021698956.1|AAEG, LOC5574268|XP_021698957.1|AAEG	LOC108114070|XP_017080316.1|DEUG
OG0001282	LOC5563618|XP_001647854.2|AAEG	LOC108111183|XP_017076055.1|DEUG
OG0001283	LOC5577288|XP_021699171.1|AAEG	LOC108112812|XP_017078599.1|DEUG
OG0001284	LOC5571151|XP_001653462.1|AAEG	LOC108113475|XP_017079587.1|DEUG
OG0001285	LOC5569141|XP_001652750.1|AAEG, LOC5568649|XP_021700323.1|AAEG	LOC108104709|XP_017066417.1|DEUG
OG0001286	LOC5564989|XP_001649339.1|AAEG	LOC108115541|XP_017082534.1|DEUG
OG0001287	LOC110676842|XP_021701923.1|AAEG, LOC5577104|XP_021701924.1|AAEG, LOC5568562|XP_021710811.1|AAEG	LOC108103738|XP_017064832.1|DEUG
OG0001288	LOC5567008|XP_021703513.1|AAEG	LOC108111144|XP_017076002.1|DEUG
OG0001289	LOC5568175|XP_001652111.2|AAEG	LOC108115544|XP_017082536.1|DEUG
OG0001290	LOC110675257|XP_021695397.1|AAEG, LOC5569762|XP_021704073.1|AAEG	LOC108102515|XP_017063030.1|DEUG
OG0001291	LOC5566684|XP_001651086.1|AAEG	LOC108105438|XP_017067512.1|DEUG, LOC108107255|XP_017070173.1|DEUG
OG0001292	LOC5568574|XP_021711516.1|AAEG, LOC5568577|XP_021711532.1|AAEG, LOC5570321|XP_001653147.2|AAEG	LOC108112554|XP_017077988.1|DEUG
OG0001293	LOC5571889|XP_001653807.1|AAEG	LOC108103548|XP_017064565.1|DEUG
OG0001294	LOC5575103|XP_001661825.1|AAEG	LOC108113971|XP_017080176.1|DEUG, LOC108109888|XP_017074183.1|DEUG
OG0001295	LOC5568526|XP_001652354.1|AAEG	LOC108110058|XP_017074427.1|DEUG
OG0001296	LOC5566412|XP_021706306.1|AAEG	LOC108117564|XP_017085561.1|DEUG
OG0001297	LOC110680522|XP_021712011.1|AAEG, LOC5570070|XP_001653056.1|AAEG	LOC108117532|XP_017085520.1|DEUG
OG0001298	LOC5567321|XP_021706418.1|AAEG, LOC5572310|XP_021710720.1|AAEG, LOC5578735|XP_021707558.1|AAEG	LOC108110268|XP_017074747.1|DEUG
OG0001299	LOC5574559|XP_021704813.1|AAEG, LOC5567394|XP_021706377.1|AAEG	LOC108107756|XP_017070916.1|DEUG
OG0001300	LOC5579186|XP_001664282.1|AAEG	LOC108118313|XP_017086418.1|DEUG, LOC108116373|XP_017083702.1|DEUG
OG0001301	LOC5569995|XP_001658885.2|AAEG, LOC5569998|XP_021707205.1|AAEG	LOC108106892|XP_017069631.1|DEUG
OG0001302	LOC5564892|XP_021705408.1|AAEG	LOC108109266|XP_017073239.1|DEUG
OG0001303	LOC5575416|XP_001661937.2|AAEG	LOC108117293|XP_017085138.1|DEUG
OG0001304	LOC5572317|XP_021709111.1|AAEG	LOC108106633|XP_017069325.1|DEUG
OG0001305	LOC5569430|XP_021710293.1|AAEG	LOC108115301|XP_017082185.1|DEUG
OG0001306	LOC5575994|XP_021707386.1|AAEG	LOC108109605|XP_017073660.1|DEUG
OG0001307	LOC5569652|XP_001652914.1|AAEG, LOC110673996|XP_021712917.1|AAEG	LOC108107928|XP_017071241.1|DEUG
OG0001308	LOC5564183|XP_021710068.1|AAEG	LOC108103305|XP_017064217.1|DEUG
OG0001309	LOC5578478|XP_001657001.1|AAEG, LOC110678731|XP_021707688.1|AAEG, LOC5578477|XP_001657000.2|AAEG, LOC110678628|XP_021707438.1|AAEG	LOC108111487|XP_017076463.1|DEUG
OG0001311	LOC5569532|XP_021706093.1|AAEG	LOC108109935|XP_017074226.1|DEUG
OG0001312	LOC110680920|XP_021712398.1|AAEG, LOC5579662|XP_001648136.1|AAEG	LOC108108452|XP_017071994.1|DEUG, LOC108114608|XP_017081159.1|DEUG
OG0001313	LOC5578093|XP_001656789.2|AAEG	LOC108106612|XP_017069301.1|DEUG
OG0001326	LOC5573308|XP_021709312.1|AAEG, LOC5569122|XP_021693345.1|AAEG, LOC5580073|XP_001654814.1|AAEG, LOC5564577|XP_001648938.1|AAEG	LOC108111440|XP_017076397.1|DEUG
OG0001328	LOC5575093|XP_001661817.1|AAEG, LOC5573724|XP_021694929.1|AAEG	LOC108115210|XP_017082041.1|DEUG
OG0001329	LOC5579474|XP_001647772.2|AAEG	LOC108103968|XP_017065231.1|DEUG
OG0001330	LOC5565026|XP_021712659.1|AAEG, LOC5579479|XP_021697265.1|AAEG	LOC108102994|XP_017063796.1|DEUG
OG0001331	LOC5578307|XP_021693230.1|AAEG, LOC5578306|XP_001656898.2|AAEG, LOC5570111|XP_001653091.2|AAEG	LOC108102432|XP_017062899.1|DEUG
OG0001332	LOC5571993|XP_021699097.1|AAEG, LOC110676249|XP_021699084.1|AAEG	LOC108105370|XP_017067395.1|DEUG
OG0001333	LOC5565276|XP_021701702.1|AAEG, LOC5565260|XP_021701714.1|AAEG	LOC108111180|XP_017076051.1|DEUG
OG0001334	LOC5568678|XP_001658093.2|AAEG, LOC5568674|XP_021703072.1|AAEG	LOC108111436|XP_017076392.1|DEUG
OG0001335	LOC5565031|XP_001649402.2|AAEG, LOC5565073|XP_021705369.1|AAEG	LOC108111803|XP_017076884.1|DEUG
OG0001337	LOC5571583|XP_021707527.1|AAEG	LOC108103492|XP_017064489.1|DEUG
OG0001338	LOC5577517|XP_021711315.1|AAEG, LOC110673984|XP_001656538.2|AAEG	LOC108112477|XP_017077823.1|DEUG
OG0001339	LOC5577497|XP_021711599.1|AAEG, LOC5571779|XP_001659911.2|AAEG	LOC108106680|XP_017069400.1|DEUG
OG0001340	LOC5575707|XP_001662155.1|AAEG, LOC5572595|XP_021713033.1|AAEG	LOC108105200|XP_017067141.1|DEUG
OG0001341	LOC5578941|XP_001657229.1|AAEG	LOC108115499|XP_017082481.1|DEUG, LOC108117507|XP_017085484.1|DEUG
OG0001344	LOC5572158|XP_021693679.1|AAEG, LOC5575465|XP_021693677.1|AAEG	LOC108104230|XP_017065669.1|DEUG
OG0001345	LOC5565630|XP_001649986.2|AAEG, LOC5576523|XP_001662716.2|AAEG	LOC108108376|XP_017071913.1|DEUG
OG0001346	LOC5564378|XP_021693779.1|AAEG	LOC108112916|XP_017078795.1|DEUG
OG0001347	LOC5575230|XP_001655636.2|AAEG	LOC108112572|XP_017078070.1|DEUG
OG0001348	LOC5564709|XP_001649052.1|AAEG	LOC108103466|XP_017064450.1|DEUG
OG0001349	LOC5564096|XP_021696524.1|AAEG	LOC108109879|XP_017074164.1|DEUG
OG0001350	LOC5569213|XP_021696606.1|AAEG	LOC108114706|XP_017081293.1|DEUG
OG0001351	LOC5574289|XP_001661326.1|AAEG	LOC108104825|XP_017066603.1|DEUG
OG0001352	LOC5574802|XP_021697012.1|AAEG	LOC108110349|XP_017074872.1|DEUG
OG0001353	LOC5566373|XP_001650785.1|AAEG, LOC5568325|XP_001652204.1|AAEG	LOC108118223|XP_017086290.1|DEUG
OG0001354	LOC5573660|XP_021697339.1|AAEG	LOC108109203|XP_017073133.1|DEUG
OG0001355	LOC5565624|XP_001649979.1|AAEG	LOC108113190|XP_017079206.1|DEUG
OG0001356	LOC5571699|XP_001659842.2|AAEG, LOC5571704|XP_021695196.1|AAEG, LOC5572766|XP_021697637.1|AAEG	LOC108116506|XP_017083930.1|DEUG
OG0001357	LOC5564469|XP_001648811.1|AAEG	LOC108109814|XP_017074028.1|DEUG
OG0001358	LOC5573425|XP_021697813.1|AAEG, LOC110681441|XP_021712887.1|AAEG	LOC108108491|XP_017072034.1|DEUG
OG0001359	LOC5563725|XP_021698111.1|AAEG, LOC5563726|XP_001648011.1|AAEG	LOC108106931|XP_017069685.1|DEUG
OG0001360	LOC5576042|XP_001662374.1|AAEG	LOC108104760|XP_017066484.1|DEUG
OG0001361	LOC5564239|XP_021698328.1|AAEG, LOC110676099|XP_021698327.1|AAEG	LOC108114116|XP_017080377.1|DEUG
OG0001362	LOC5564232|XP_001648569.1|AAEG	LOC108114127|XP_017080388.1|DEUG
OG0001363	LOC5576835|XP_001662942.1|AAEG, LOC5568880|XP_001652605.1|AAEG	LOC108117198|XP_017084992.1|DEUG
OG0001364	LOC5572908|XP_021698679.1|AAEG, LOC5568166|XP_021703889.1|AAEG	LOC108106378|XP_017068856.1|DEUG
OG0001365	LOC5572285|XP_001653970.1|AAEG	LOC108109862|XP_017074134.1|DEUG
OG0001367	LOC5569059|XP_021698895.1|AAEG	LOC108112874|XP_017078697.1|DEUG
OG0001368	LOC5579484|XP_021698925.1|AAEG	LOC108104574|XP_017066216.1|DEUG
OG0001369	LOC5574546|XP_021699090.1|AAEG	LOC108118380|XP_017086544.1|DEUG
OG0001370	LOC5577000|XP_001663103.2|AAEG	LOC108109112|XP_017072992.1|DEUG
OG0001371	LOC5569579|XP_021699731.1|AAEG	LOC108112066|XP_017077301.1|DEUG, LOC108103519|XP_017064521.1|DEUG, LOC108118393|XP_017086559.1|DEUG
OG0001372	LOC5567708|XP_021699760.1|AAEG	LOC108112515|XP_017077897.1|DEUG
OG0001373	LOC5567451|XP_021700199.1|AAEG	LOC108103378|XP_017064313.1|DEUG
OG0001374	LOC5571153|XP_001653469.1|AAEG	LOC108106450|XP_017068986.1|DEUG
OG0001375	LOC5567653|XP_021700355.1|AAEG, LOC5565021|XP_001649362.2|AAEG, LOC5577084|XP_001663173.2|AAEG	LOC108103914|XP_017065192.1|DEUG, LOC108115026|XP_017081760.1|DEUG
OG0001376	LOC5578359|XP_001656930.2|AAEG, LOC5578358|XP_001656929.2|AAEG	LOC108106799|XP_017069532.1|DEUG
OG0001377	LOC5572648|XP_021700811.1|AAEG, LOC110674014|XP_021695263.1|AAEG	LOC108118327|XP_017086435.1|DEUG
OG0001378	LOC5564328|XP_001648655.2|AAEG	LOC108106862|XP_017069595.1|DEUG
OG0001379	LOC5564506|XP_021701067.1|AAEG	LOC108111141|XP_017075997.1|DEUG
OG0001380	LOC5574619|XP_021701493.1|AAEG	LOC108112064|XP_017077298.1|DEUG, LOC108103523|XP_017064523.1|DEUG
OG0001381	LOC5569383|XP_001658462.1|AAEG, LOC110680820|XP_021712291.1|AAEG	LOC108112838|XP_017078634.1|DEUG
OG0001382	LOC5575208|XP_021701904.1|AAEG	LOC108110542|XP_017075113.1|DEUG
OG0001383	LOC5572173|XP_001660268.1|AAEG	LOC108104522|XP_017066141.1|DEUG
OG0001384	LOC5573809|XP_001661057.2|AAEG	LOC108106845|XP_017069575.1|DEUG
OG0001385	LOC5573184|XP_001660801.2|AAEG, LOC5569015|XP_001652671.1|AAEG	LOC108110701|XP_017075332.1|DEUG
OG0001387	LOC5569816|XP_001653035.1|AAEG, LOC5569815|XP_021703690.1|AAEG	LOC108107040|XP_017069889.1|DEUG
OG0001388	LOC5570857|XP_021703776.1|AAEG, LOC5570856|XP_001653366.2|AAEG	LOC108110855|XP_017075591.1|DEUG
OG0001389	LOC5573307|XP_021707322.1|AAEG, LOC5564316|XP_021706875.1|AAEG	LOC108116689|XP_017084192.1|DEUG
OG0001390	LOC5580280|XP_021709147.1|AAEG	LOC108102698|XP_017063333.1|DEUG
OG0001391	LOC5568150|XP_001652096.1|AAEG	LOC108106839|XP_017069566.1|DEUG
OG0001392	LOC5578018|XP_001656757.2|AAEG	LOC108104306|XP_017065773.1|DEUG
OG0001393	LOC5565962|XP_021706834.1|AAEG	LOC108107047|XP_017069897.1|DEUG
OG0001394	LOC5566906|XP_021705325.1|AAEG, LOC5565212|XP_021706728.1|AAEG	LOC108110805|XP_017075524.1|DEUG
OG0001395	LOC5572564|XP_001654079.1|AAEG	LOC108103729|XP_017064817.1|DEUG
OG0001396	LOC5569944|XP_021708097.1|AAEG	LOC108103929|XP_017065169.1|DEUG
OG0001397	LOC5566745|XP_021706420.1|AAEG, LOC5566742|XP_021706887.1|AAEG	LOC108116501|XP_017083923.1|DEUG
OG0001399	LOC5577036|XP_021711031.1|AAEG	LOC108118098|XP_017086140.1|DEUG, LOC108118277|XP_017086363.1|DEUG
OG0001400	LOC5572994|XP_001654322.2|AAEG	LOC108116812|XP_017084349.1|DEUG
OG0001401	LOC5575307|XP_001655681.2|AAEG	LOC108113973|XP_017080179.1|DEUG
OG0001402	LOC5575317|XP_021708110.1|AAEG	LOC108117347|XP_017085209.1|DEUG, LOC108117342|XP_017085205.1|DEUG
OG0001403	LOC5566322|XP_021704181.1|AAEG	LOC108108676|XP_017072270.1|DEUG
OG0001404	LOC5564361|XP_021707780.1|AAEG	LOC108114906|XP_017081569.1|DEUG
OG0001405	LOC5565743|XP_001650083.2|AAEG	LOC108111905|XP_017077032.1|DEUG
OG0001406	LOC5567494|XP_001657489.1|AAEG	LOC108116955|XP_017084602.1|DEUG
OG0001407	LOC5571615|XP_001659808.1|AAEG	LOC108108521|XP_017072082.1|DEUG
OG0001429	LOC23687468|XP_021694460.1|AAEG, LOC5576812|XP_021694461.1|AAEG	LOC108116795|XP_017084332.1|DEUG
OG0001430	LOC5565963|XP_001650293.2|AAEG, LOC5579810|XP_021694535.1|AAEG	LOC108116891|XP_017084481.1|DEUG
OG0001431	LOC5569476|XP_001658562.1|AAEG	LOC108116948|XP_017084590.1|DEUG
OG0001432	LOC5576501|XP_001662693.2|AAEG	LOC108106131|XP_017068505.1|DEUG, LOC108103424|XP_017064380.1|DEUG
OG0001433	LOC5571723|XP_021695080.1|AAEG	LOC108115728|XP_017082791.1|DEUG
OG0001434	LOC5565190|XP_021695110.1|AAEG	LOC108118294|XP_017086391.1|DEUG
OG0001435	LOC5566771|XP_021700932.1|AAEG	LOC108109001|XP_017072757.1|DEUG
OG0001436	LOC5573409|XP_021712979.1|AAEG	LOC108105511|XP_017067625.1|DEUG
OG0001437	LOC5578625|XP_001657049.1|AAEG	LOC108106071|XP_017068418.1|DEUG
OG0001438	LOC5578886|XP_021695312.1|AAEG	LOC108116022|XP_017083198.1|DEUG
OG0001439	LOC5580030|XP_001653914.1|AAEG	LOC108110247|XP_017074724.1|DEUG
OG0001440	LOC5576685|XP_001662826.2|AAEG, LOC110674453|XP_021694361.1|AAEG	LOC108102934|XP_017063685.1|DEUG
OG0001442	LOC5566079|XP_001650445.1|AAEG	LOC108106983|XP_017069808.1|DEUG
OG0001443	LOC5565058|XP_021711166.1|AAEG, LOC5578680|XP_001657078.2|AAEG	LOC108111370|XP_017076291.1|DEUG
OG0001444	LOC5566780|XP_021712940.1|AAEG, LOC5567084|XP_021712899.1|AAEG	LOC108109557|XP_017073618.1|DEUG
OG0001445	LOC5564606|XP_021713380.1|AAEG	LOC108114976|XP_017081688.1|DEUG
OG0001446	LOC5567506|XP_021693409.1|AAEG, LOC5580163|XP_021692930.1|AAEG	LOC108115682|XP_017082740.1|DEUG
OG0001447	LOC5567294|XP_021693331.1|AAEG	LOC108116454|XP_017083862.1|DEUG
OG0001448	LOC5573303|XP_021706630.1|AAEG, LOC5569124|XP_021693346.1|AAEG	LOC108111429|XP_017076381.1|DEUG
OG0001449	LOC5576532|XP_001662725.1|AAEG	LOC108113217|XP_017079242.1|DEUG
OG0001450	LOC5571293|XP_021695848.1|AAEG	LOC108102502|XP_017063014.1|DEUG
OG0001451	LOC5571861|XP_001653785.1|AAEG, LOC5576847|XP_001662956.1|AAEG	LOC108112442|XP_017077775.1|DEUG
OG0001452	LOC5577804|XP_021696038.1|AAEG	LOC108112935|XP_017078817.1|DEUG, LOC108112134|XP_017077372.1|DEUG
OG0001453	LOC5579987|XP_001660253.2|AAEG, LOC5579988|XP_021696270.1|AAEG	LOC108114562|XP_017081101.1|DEUG
OG0001454	LOC5566419|XP_001650812.2|AAEG, LOC5570492|XP_021701567.1|AAEG	LOC108117252|XP_017085091.1|DEUG
OG0001455	LOC5570478|XP_021696470.1|AAEG, LOC110680369|XP_021711867.1|AAEG	LOC108114442|XP_017080924.1|DEUG
OG0001456	LOC5576943|XP_021696682.1|AAEG	LOC108106523|XP_017069120.1|DEUG, LOC108104835|XP_017066627.1|DEUG
OG0001457	LOC5574288|XP_001661330.2|AAEG	LOC108112558|XP_017077993.1|DEUG
OG0001458	LOC5570395|XP_021696799.1|AAEG, LOC5567138|XP_021696796.1|AAEG	LOC108106271|XP_017068725.1|DEUG
