Orthogroup	AAEG.longest_only	DSIM.longest_only
OG0001655	LOC5571922|XP_021708628.1|AAEG	LOC6733734|XP_002080780.1|DSIM
OG0001656	LOC5571621|XP_001659816.2|AAEG	LOC6730779|XP_016023194.1|DSIM
OG0001657	LOC5565452|XP_001649800.1|AAEG	LOC6738147|XP_002084960.1|DSIM
OG0001658	LOC5565458|XP_001649769.1|AAEG	LOC6737725|XP_002084554.1|DSIM
OG0001659	LOC5568591|XP_021711611.1|AAEG	LOC6737967|XP_016031712.1|DSIM
OG0001678	LOC5576541|XP_021694779.1|AAEG	LOC6726285|XP_016039786.1|DSIM
OG0001679	LOC5574426|XP_001661441.2|AAEG, LOC5564668|XP_021694874.1|AAEG, LOC5564669|XP_021694873.1|AAEG	LOC6725238|XP_002106260.1|DSIM
OG0001680	LOC5565192|XP_021695113.1|AAEG, LOC110681481|XP_021712935.1|AAEG	LOC27209313|XP_016038432.1|DSIM
OG0001681	LOC110681219|XP_021712681.1|AAEG, LOC5576756|XP_001656258.2|AAEG, LOC5566677|XP_021707319.1|AAEG	LOC6740045|XP_039153259.1|DSIM
OG0001682	LOC5569201|XP_021694213.1|AAEG	LOC6726323|XP_016039879.1|DSIM
OG0001683	LOC5569198|XP_001658368.2|AAEG, LOC5573947|XP_001654984.1|AAEG	LOC6731501|XP_016024177.1|DSIM
OG0001684	LOC5574020|XP_021708632.1|AAEG	LOC6739827|XP_016037276.1|DSIM
OG0001685	LOC5571142|XP_021700260.1|AAEG, LOC110674271|XP_021694235.1|AAEG, LOC110674435|XP_021694357.1|AAEG, LOC5570684|XP_001659281.2|AAEG	LOC6732499|XP_002079619.1|DSIM
OG0001686	LOC5571315|XP_001653630.1|AAEG	LOC27207183|XP_039153699.1|DSIM, LOC6726378|XP_039153698.1|DSIM
OG0001687	LOC5568417|XP_021712495.1|AAEG, LOC5570453|XP_001659150.2|AAEG, LOC5570447|XP_001659152.1|AAEG	LOC27206376|XP_016037527.1|DSIM
OG0001688	LOC5576585|XP_021697492.1|AAEG	LOC6725232|XP_002106254.1|DSIM, LOC6725230|XP_039152811.1|DSIM
OG0001689	LOC5578880|XP_021697511.1|AAEG	LOC6725711|XP_039153549.1|DSIM
OG0001690	LOC5570415|XP_021698783.1|AAEG	LOC6739620|XP_016030577.1|DSIM
OG0001691	LOC5571995|XP_001660101.2|AAEG	LOC6731406|XP_002078559.1|DSIM
OG0001692	LOC23687848|XP_021694245.1|AAEG	LOC6727527|XP_016034103.2|DSIM
OG0001694	LOC5565017|XP_021702011.1|AAEG	LOC6727549|XP_016034123.1|DSIM
OG0001695	LOC5564056|XP_001648394.2|AAEG	LOC6735146|XP_002082123.1|DSIM
OG0001696	LOC5565053|XP_021705226.1|AAEG	LOC6728668|XP_016035326.1|DSIM
OG0001697	LOC5565067|XP_001649393.1|AAEG	LOC6729524|XP_002104832.1|DSIM
OG0001698	LOC5576012|XP_021706064.1|AAEG	LOC6726503|XP_039153526.1|DSIM
OG0001699	LOC5575091|XP_021694263.1|AAEG	LOC6728636|XP_002103977.1|DSIM
OG0001700	LOC110678498|XP_021707151.1|AAEG, LOC110678596|XP_021707345.1|AAEG, LOC110678598|XP_021707352.1|AAEG	LOC6728757|XP_016035430.1|DSIM
OG0001701	LOC110681093|XP_021712554.1|AAEG, LOC5569913|XP_021708647.1|AAEG	LOC6726902|XP_039150462.1|DSIM
OG0001702	LOC110679165|XP_021708953.1|AAEG, LOC5567455|XP_001657455.1|AAEG, LOC110681250|XP_021712711.1|AAEG	LOC6731710|XP_002078845.1|DSIM
OG0001703	LOC5570645|XP_001653277.2|AAEG	LOC6729181|XP_016035827.1|DSIM
OG0001704	LOC5570641|XP_021709166.1|AAEG	LOC6729182|XP_016035829.1|DSIM
OG0001705	LOC5569385|XP_021709272.1|AAEG	LOC6730112|XP_016036871.1|DSIM
OG0001706	LOC5574607|XP_001655208.2|AAEG	LOC6733159|XP_016026032.1|DSIM
OG0001707	LOC5574593|XP_021709672.1|AAEG	LOC6729215|XP_016035868.1|DSIM
OG0001708	LOC110681130|XP_021712595.1|AAEG, LOC5577403|XP_001656483.2|AAEG	LOC6728183|XP_039151564.1|DSIM
OG0001709	LOC110680896|XP_021712376.1|AAEG, LOC5567785|XP_001657688.2|AAEG, LOC110680897|XP_021712377.1|AAEG	LOC6736767|XP_016030391.1|DSIM
OG0001710	LOC5577564|XP_001663437.2|AAEG, LOC5566404|XP_021713013.1|AAEG	LOC6729020|XP_016035682.1|DSIM
OG0001711	LOC5578517|XP_021713311.1|AAEG	LOC6729093|XP_016035745.1|DSIM
OG0001712	LOC5578276|XP_001663804.1|AAEG	LOC6729323|XP_016035959.1|DSIM
OG0001713	LOC5575986|XP_011493660.2|AAEG	LOC6728537|XP_002103882.1|DSIM
OG0001714	LOC5564681|XP_021692980.1|AAEG	LOC6726760|XP_016033245.1|DSIM
OG0001715	LOC5573668|XP_021698214.1|AAEG, LOC110681428|XP_021712862.1|AAEG, LOC5566465|XP_001650847.2|AAEG	LOC6726194|XP_039153193.1|DSIM
OG0001716	LOC110681112|XP_021712571.1|AAEG, LOC23687829|XP_011493203.2|AAEG, LOC5576349|XP_001656084.1|AAEG, LOC110678113|XP_021706410.1|AAEG	LOC6725423|XP_002106439.2|DSIM
OG0001717	LOC110680473|XP_021711973.1|AAEG, LOC5573435|XP_021693609.1|AAEG	LOC6730144|XP_016036910.1|DSIM
OG0001718	LOC110674147|XP_021693644.1|AAEG, LOC5576566|XP_021693645.1|AAEG	LOC6729137|XP_039151090.1|DSIM
OG0001719	LOC5579075|XP_021694078.1|AAEG	LOC6729221|XP_016035872.1|DSIM
OG0001720	LOC5576117|XP_001662463.2|AAEG	LOC6728605|XP_016035239.1|DSIM
OG0001721	LOC5565136|XP_001649519.2|AAEG, LOC5565189|XP_001649518.2|AAEG, LOC5565137|XP_001649517.2|AAEG	LOC6728957|XP_016035637.1|DSIM
OG0001722	LOC5571453|XP_021695480.1|AAEG	LOC6738236|XP_016032085.1|DSIM
OG0001723	LOC5571265|XP_001653563.1|AAEG	LOC6733165|XP_016026040.1|DSIM
OG0001724	LOC5579032|XP_021695970.1|AAEG	LOC6735565|XP_039148415.1|DSIM
OG0001725	LOC5568472|XP_021696007.1|AAEG	LOC6733823|XP_016026803.1|DSIM
OG0001726	LOC110680966|XP_021712431.1|AAEG, LOC5574101|XP_021696096.1|AAEG	LOC6738922|XP_016032750.1|DSIM
OG0001727	LOC5577067|XP_021696347.1|AAEG, LOC5576405|XP_021709876.1|AAEG	LOC6729123|XP_002104444.1|DSIM
OG0001728	LOC5570509|XP_001659196.2|AAEG	LOC6734055|XP_002081091.1|DSIM
OG0001729	LOC5570505|XP_001659192.2|AAEG	LOC6736168|XP_039147471.1|DSIM
OG0001730	LOC5569450|XP_021696659.1|AAEG	LOC6732049|XP_016024732.1|DSIM
OG0001732	LOC110675629|XP_021696818.1|AAEG	LOC6731177|XP_002078336.1|DSIM
OG0001733	LOC5565207|XP_001649550.1|AAEG, LOC5565221|XP_001649551.1|AAEG	LOC6735525|XP_039147347.1|DSIM
OG0001734	LOC5565228|XP_021696985.1|AAEG	LOC6733646|XP_016026610.1|DSIM
OG0001735	LOC5579981|XP_001658609.2|AAEG	LOC27206655|XP_016032825.1|DSIM
OG0001736	LOC5578900|XP_001664110.1|AAEG	LOC6735178|XP_016028461.1|DSIM
OG0001737	LOC110675836|XP_021697399.1|AAEG, LOC110675119|XP_021695189.1|AAEG	LOC6735917|XP_016029272.1|DSIM
OG0001738	LOC5576851|XP_021697531.1|AAEG	LOC6738442|XP_016032279.1|DSIM
OG0001739	LOC5575248|XP_001655655.1|AAEG	LOC27208348|XP_016025988.1|DSIM
OG0001740	LOC110675914|XP_021697629.1|AAEG, LOC5572758|XP_021712795.1|AAEG	LOC6735861|XP_016029226.1|DSIM
OG0001742	LOC5576166|XP_001662518.1|AAEG	LOC6733825|XP_002080869.2|DSIM
OG0001743	LOC5576175|XP_021697664.1|AAEG	LOC6736402|XP_002083274.2|DSIM
OG0001744	LOC5573987|XP_021697960.1|AAEG	LOC6733259|XP_039148793.1|DSIM
OG0001745	LOC5573042|XP_021695213.1|AAEG	LOC6735757|XP_016029126.1|DSIM
OG0001746	LOC5564250|XP_001648596.1|AAEG	LOC6737566|XP_002084399.1|DSIM
OG0001747	LOC5564305|XP_021698368.1|AAEG	LOC6735014|XP_016028287.2|DSIM
OG0001748	LOC110676122|XP_021698446.1|AAEG	LOC6737353|XP_016031087.1|DSIM
OG0001749	LOC5572527|XP_001654051.1|AAEG	LOC6736090|XP_002082991.1|DSIM
OG0001750	LOC5572528|XP_021698705.1|AAEG	LOC6736089|XP_016029485.1|DSIM
OG0001751	LOC5574043|XP_021698767.1|AAEG	LOC6738452|XP_016032286.1|DSIM
OG0001752	LOC110676202|XP_021698832.1|AAEG	LOC6736936|XP_002083783.1|DSIM
OG0001753	LOC5566011|XP_021698869.1|AAEG	LOC6736651|XP_016030245.2|DSIM
OG0001754	LOC5575704|XP_021699108.1|AAEG	LOC6734193|XP_016027225.1|DSIM
OG0001755	LOC5565278|XP_021699140.1|AAEG	LOC6736659|XP_016030272.1|DSIM
OG0001756	LOC5577289|XP_021699173.1|AAEG	LOC6734703|XP_016027903.1|DSIM
OG0001757	LOC5572865|XP_001660624.1|AAEG	LOC6735112|XP_002082089.1|DSIM
OG0001758	LOC5579195|XP_021699414.1|AAEG	LOC6737975|XP_016031748.1|DSIM
OG0001759	LOC5575922|XP_021699452.1|AAEG	LOC6734900|XP_002081897.3|DSIM
OG0001760	LOC5566072|XP_001650438.2|AAEG	LOC6733677|XP_002080724.1|DSIM
OG0001761	LOC5576993|XP_021699573.1|AAEG	LOC6735523|XP_039147344.1|DSIM
OG0001762	LOC5572235|XP_001653920.3|AAEG, LOC5574685|XP_021700044.1|AAEG	LOC6731255|XP_016023807.1|DSIM
OG0001763	LOC5574378|XP_021700079.1|AAEG	LOC6731274|XP_016023843.1|DSIM
OG0001764	LOC5569117|XP_001652716.2|AAEG	LOC6727811|XP_002103172.1|DSIM
OG0001765	LOC5570381|XP_021700177.1|AAEG	LOC6739367|XP_039148519.1|DSIM
OG0001766	LOC5567651|XP_021700353.1|AAEG	LOC6731541|XP_016024216.1|DSIM
OG0001767	LOC5569370|XP_021700467.1|AAEG	LOC6730837|XP_039149525.1|DSIM
OG0001768	LOC5565839|XP_001650193.1|AAEG, LOC5578368|XP_001656939.1|AAEG	LOC6730456|XP_002077637.1|DSIM
OG0001769	LOC5566448|XP_021700544.1|AAEG, LOC110680496|XP_021711988.1|AAEG	LOC6731130|XP_016023682.1|DSIM
OG0001770	LOC5572645|XP_001654144.2|AAEG	LOC6731899|XP_016024567.1|DSIM
OG0001771	LOC5572651|XP_001654151.1|AAEG	LOC6730873|XP_002078037.1|DSIM
OG0001772	LOC110680439|XP_021711928.1|AAEG, LOC5573651|XP_001660977.2|AAEG	LOC6731785|XP_002078920.1|DSIM
OG0001774	LOC5564490|XP_021701074.1|AAEG, LOC5564489|XP_021695283.1|AAEG	LOC6736128|XP_016029521.1|DSIM
OG0001776	LOC5575680|XP_021701220.1|AAEG	LOC6731227|XP_002078386.1|DSIM
OG0001777	LOC5573805|XP_021701314.1|AAEG	LOC6731350|XP_016023938.2|DSIM
OG0001778	LOC110675190|XP_021695289.1|AAEG, LOC110677148|XP_021703649.1|AAEG	LOC6732505|XP_002079625.1|DSIM
OG0001779	LOC110681009|XP_021712466.1|AAEG, LOC5563749|XP_021701405.1|AAEG	LOC6731732|XP_039146990.1|DSIM
OG0001780	LOC5565277|XP_021701490.1|AAEG	LOC6733166|XP_002080242.1|DSIM
OG0001781	LOC5569344|XP_021701612.1|AAEG	LOC6732893|XP_039154289.1|DSIM
OG0001782	LOC5564192|XP_021701622.1|AAEG	LOC6732220|XP_016024890.1|DSIM
OG0001783	LOC5576440|XP_021701742.1|AAEG	LOC6731577|XP_016024253.1|DSIM
OG0001784	LOC5568160|XP_021701820.1|AAEG, LOC5573090|XP_021701819.1|AAEG	LOC6730587|XP_016023032.1|DSIM
OG0001785	LOC5569041|XP_021701853.1|AAEG	LOC6733729|XP_002080775.2|DSIM
OG0001786	LOC5569034|XP_001652680.1|AAEG	LOC6731324|XP_039147166.1|DSIM
OG0001787	LOC5569031|XP_021701868.1|AAEG	LOC6731326|XP_016023907.1|DSIM
OG0001788	LOC5573248|XP_001654457.1|AAEG	LOC6734370|XP_002081391.1|DSIM
OG0001789	LOC5567954|XP_001657769.1|AAEG	LOC6735813|XP_002082723.2|DSIM
OG0001790	LOC5573696|XP_001661021.2|AAEG	LOC6731346|XP_016023937.1|DSIM
OG0001791	LOC5575748|XP_021703199.1|AAEG	LOC6734009|XP_002081050.3|DSIM
OG0001792	LOC23687649|XP_021703560.1|AAEG	LOC6732716|XP_039150243.1|DSIM
OG0001793	LOC5572054|XP_021703576.1|AAEG, LOC110680890|XP_021712373.1|AAEG	LOC6734463|XP_016027585.1|DSIM
OG0001794	LOC5565922|XP_001650267.3|AAEG	LOC6732506|XP_016025162.1|DSIM
OG0001795	LOC5567339|XP_021704045.1|AAEG	LOC6732532|XP_039154376.1|DSIM
OG0001797	LOC5572508|XP_021711425.1|AAEG, LOC5566756|XP_021706948.1|AAEG	LOC6724694|XP_016037248.1|DSIM
OG0001798	LOC5566370|XP_001650782.1|AAEG	LOC6734909|XP_002081906.1|DSIM
OG0001799	LOC5580274|XP_001662901.1|AAEG	LOC6740263|XP_039153806.1|DSIM
OG0001800	LOC5570552|XP_021709728.1|AAEG	LOC6731356|XP_016023948.1|DSIM
OG0001801	LOC110680785|XP_021712265.1|AAEG, LOC5564279|XP_021712264.1|AAEG, LOC110679411|XP_021709622.1|AAEG	LOC6737479|XP_016031263.1|DSIM
OG0001802	LOC5564547|XP_001648902.1|AAEG	LOC6728899|XP_002104232.1|DSIM
OG0001803	LOC5577692|XP_001663474.2|AAEG	LOC6727169|XP_039150783.1|DSIM
OG0001804	LOC5564652|XP_001649004.2|AAEG, LOC110680554|XP_021712038.1|AAEG	LOC6726826|XP_016033329.1|DSIM
OG0001805	LOC5575007|XP_001661741.3|AAEG	LOC6737255|XP_016030965.1|DSIM
OG0001806	LOC5567255|XP_021706781.1|AAEG	LOC6729423|XP_039151892.1|DSIM
OG0001808	LOC5572949|XP_021709443.1|AAEG	LOC6739711|XP_016035161.1|DSIM
OG0001809	LOC5564168|XP_021707416.1|AAEG	LOC27206414|XP_016033198.1|DSIM
OG0001810	LOC110678349|XP_021706798.1|AAEG, LOC5570367|XP_021710434.1|AAEG, LOC110677948|XP_021705715.1|AAEG	LOC6729199|XP_002104520.1|DSIM
OG0001811	LOC5577351|XP_001656427.1|AAEG, LOC110680308|XP_021711836.1|AAEG, LOC110678676|XP_021707574.1|AAEG	LOC6733477|XP_016026433.2|DSIM
OG0001812	LOC5577364|XP_001656444.1|AAEG	LOC27209425|XP_016022814.2|DSIM, LOC120285467|XP_039154115.1|DSIM, LOC6726449|XP_016040016.2|DSIM
OG0001813	LOC5568213|XP_021706440.1|AAEG	LOC6727447|XP_016034021.1|DSIM
OG0001814	LOC110679259|XP_021709176.1|AAEG, LOC110679258|XP_021709173.1|AAEG	LOC6727138|XP_016033615.1|DSIM
OG0001815	LOC5572470|XP_001660415.1|AAEG, LOC110677764|XP_021704810.1|AAEG	LOC6726844|XP_002102248.1|DSIM
OG0001816	LOC5564769|XP_001649137.1|AAEG	LOC6734340|XP_002081362.1|DSIM
OG0001817	LOC5572254|XP_021707503.1|AAEG	LOC6733779|XP_016026730.1|DSIM
OG0001818	LOC5570038|XP_021705809.1|AAEG, LOC5570034|XP_021704393.1|AAEG	LOC6725637|XP_039152539.1|DSIM
OG0001819	LOC5565232|XP_001649570.2|AAEG	LOC6739485|XP_002076382.1|DSIM
OG0001820	LOC5578522|XP_021711359.1|AAEG	LOC6725357|XP_016038409.1|DSIM
OG0001821	LOC5575338|XP_021712568.1|AAEG, LOC110678161|XP_021706474.1|AAEG	LOC6736109|XP_016029498.1|DSIM
OG0001822	LOC5571100|XP_021710962.1|AAEG	LOC6735778|XP_002082691.1|DSIM
OG0001823	LOC5573745|XP_021705990.1|AAEG, LOC5573744|XP_001654772.1|AAEG	LOC6737625|XP_002084457.1|DSIM
OG0001824	LOC5579661|XP_001648135.2|AAEG, LOC5579660|XP_001648134.2|AAEG	LOC6730596|XP_002077775.1|DSIM
OG0001825	LOC5572228|XP_021707395.1|AAEG	LOC6735278|XP_016028642.1|DSIM
OG0001826	LOC5577483|XP_001663403.2|AAEG	LOC6733911|XP_002080955.1|DSIM
OG0001827	LOC5572357|XP_001660316.1|AAEG, LOC5572356|XP_001660315.1|AAEG	LOC6734857|XP_002081858.2|DSIM
OG0001828	LOC5567362|XP_021706896.1|AAEG	LOC6725867|XP_039153913.1|DSIM
OG0001829	LOC5576206|XP_021708780.1|AAEG, LOC110680523|XP_021712012.1|AAEG	LOC6734085|XP_016027083.1|DSIM
OG0001830	LOC5571911|XP_001660008.2|AAEG, LOC110679573|XP_021710291.1|AAEG	LOC6735805|XP_002082718.1|DSIM
OG0001831	LOC110680266|XP_021711773.1|AAEG, LOC5566067|XP_021705399.1|AAEG, LOC23687723|XP_021711781.1|AAEG, LOC23687612|XP_021707469.1|AAEG	LOC6738529|XP_016032371.1|DSIM
OG0001832	LOC5568452|XP_021706577.1|AAEG	LOC6725262|XP_016038267.1|DSIM
OG0001833	LOC5571930|XP_001660027.1|AAEG	LOC6735972|XP_002082881.2|DSIM
OG0001848	LOC5575825|XP_001655856.2|AAEG	LOC27208523|XP_039149102.1|DSIM
OG0001849	LOC5575828|XP_001655853.1|AAEG	LOC6729309|XP_002104626.1|DSIM
OG0001850	LOC110681442|XP_021712895.1|AAEG, LOC5579827|XP_001651058.2|AAEG	LOC6724728|XP_016037363.1|DSIM
OG0001851	LOC5578495|XP_021694587.1|AAEG	LOC6724712|XP_039152130.1|DSIM
OG0001852	LOC5565125|XP_021694596.1|AAEG	LOC6734424|XP_039149373.1|DSIM
OG0001853	LOC5574328|XP_021694599.1|AAEG	LOC6729749|XP_039151401.1|DSIM
OG0001854	LOC5569472|XP_001658557.1|AAEG	LOC6726011|XP_002106993.2|DSIM
OG0001855	LOC5574649|XP_001661572.1|AAEG	LOC6734816|XP_002081819.1|DSIM
OG0001856	LOC110674760|XP_021694723.1|AAEG	LOC27206345|XP_016038609.1|DSIM
OG0001857	LOC5575262|XP_001661863.2|AAEG, LOC5575265|XP_021694857.1|AAEG	LOC6740541|XP_016040168.1|DSIM
OG0001858	LOC5567841|XP_021694869.1|AAEG	LOC6740206|XP_016022758.1|DSIM
OG0001859	LOC5580066|XP_001654807.1|AAEG	LOC120285321|XP_039153174.1|DSIM, LOC6726614|XP_039153175.1|DSIM
OG0001860	LOC5564571|XP_021694963.1|AAEG, LOC5568118|XP_021696651.1|AAEG	LOC6738547|XP_016032396.1|DSIM
OG0001861	LOC5579466|XP_021693350.1|AAEG	LOC6725914|XP_016039276.1|DSIM, LOC6729784|XP_002105089.2|DSIM
OG0001862	LOC5570649|XP_021706525.1|AAEG, LOC5570648|XP_001659242.1|AAEG	LOC6726557|XP_016040227.1|DSIM
OG0001863	LOC5570651|XP_001659247.1|AAEG	LOC6725886|XP_002106881.1|DSIM
OG0001864	LOC110674837|XP_021695016.1|AAEG, LOC5578628|XP_021694917.1|AAEG	LOC6728060|XP_016034672.1|DSIM
OG0001865	LOC110675288|XP_021695482.1|AAEG	LOC6726200|XP_039152449.1|DSIM
OG0001866	LOC5574246|XP_021695568.1|AAEG	LOC6728263|XP_039150828.1|DSIM
OG0001867	LOC5575004|XP_021697527.1|AAEG, LOC5570553|XP_021706976.1|AAEG	LOC6738476|XP_016032320.1|DSIM
OG0001868	LOC5574992|XP_001655465.2|AAEG, LOC5574991|XP_001655464.2|AAEG	LOC6733059|XP_016025744.1|DSIM
OG0001869	LOC5574987|XP_021697648.1|AAEG	LOC6727262|XP_039150747.1|DSIM
OG0001870	LOC110681030|XP_021712488.1|AAEG, LOC110674273|XP_021694239.1|AAEG, LOC110681059|XP_021712516.1|AAEG, LOC5575006|XP_021697806.1|AAEG	LOC6725226|XP_002106248.1|DSIM
OG0001871	LOC5571998|XP_001660103.3|AAEG	LOC6725683|XP_002106687.1|DSIM
OG0001872	LOC5574573|XP_021699531.1|AAEG	LOC6730224|XP_016036976.1|DSIM
OG0001873	LOC5578825|XP_021701935.1|AAEG	LOC6726643|XP_016033131.1|DSIM
OG0001874	LOC5567722|XP_021702328.1|AAEG	LOC6729519|XP_002104827.1|DSIM
OG0001875	LOC110677055|XP_021703299.1|AAEG	LOC6730277|XP_016037043.1|DSIM
OG0001876	LOC5564040|XP_001648384.2|AAEG	LOC27209364|XP_016039447.1|DSIM
OG0001877	LOC5571508|XP_001659759.2|AAEG	LOC6724969|XP_016037913.1|DSIM
OG0001878	LOC5566087|XP_021704628.1|AAEG	LOC6728224|XP_016034863.1|DSIM
OG0001879	LOC5565257|XP_021705692.1|AAEG	LOC6729526|XP_016036204.1|DSIM
OG0001880	LOC5570606|XP_001653270.2|AAEG	LOC6727499|XP_002102879.2|DSIM
OG0001881	LOC5566189|XP_001650563.2|AAEG	LOC6727184|XP_002102576.1|DSIM
OG0001882	LOC110680416|XP_021711907.1|AAEG, LOC110679567|XP_021710262.1|AAEG, LOC5566197|XP_021711888.1|AAEG, LOC110679570|XP_021710271.1|AAEG, LOC110674299|XP_021694273.1|AAEG	LOC27207590|XP_016036528.1|DSIM
OG0001883	LOC5577698|XP_021711630.1|AAEG	LOC6729190|XP_016035841.1|DSIM
OG0001884	LOC5577407|XP_001656488.1|AAEG	LOC6727281|XP_039150422.1|DSIM
OG0001885	LOC5577423|XP_021711870.1|AAEG	LOC27206507|XP_016024731.1|DSIM
OG0001886	LOC5572728|XP_001660554.2|AAEG	LOC6728797|XP_002104132.1|DSIM
OG0001887	LOC5567793|XP_021712137.1|AAEG	LOC6739378|XP_002076286.1|DSIM
OG0001888	LOC110681150|XP_021712610.1|AAEG, LOC5567790|XP_001657693.2|AAEG	LOC6726779|XP_002102187.1|DSIM
OG0001889	LOC5567788|XP_001657691.1|AAEG	LOC6725500|XP_002106514.2|DSIM
OG0001890	LOC5567782|XP_001657683.2|AAEG	LOC6738852|XP_016032670.1|DSIM
OG0001891	LOC5567775|XP_021712347.1|AAEG, LOC5567776|XP_021712762.1|AAEG	LOC6727349|XP_016033876.1|DSIM
OG0001892	LOC23687555|XP_021712394.1|AAEG, LOC110681196|XP_021712670.1|AAEG	LOC6740360|XP_016033113.1|DSIM
OG0001893	LOC5572443|XP_021695330.1|AAEG, LOC110675186|XP_021695285.1|AAEG, LOC5572571|XP_021713040.1|AAEG, LOC5569499|XP_021695253.1|AAEG	LOC6739775|XP_002076668.2|DSIM
OG0001894	LOC5572582|XP_001654091.1|AAEG	LOC6733438|XP_016026387.1|DSIM
OG0001895	LOC23687627|XP_021713176.1|AAEG	LOC6724730|XP_039152122.1|DSIM
OG0001896	LOC110680784|XP_021712262.1|AAEG, LOC5569234|XP_021713263.1|AAEG	LOC27208341|XP_039148281.1|DSIM
OG0001897	LOC5579206|XP_021713312.1|AAEG	LOC6728674|XP_016035340.1|DSIM
OG0001898	LOC5580016|XP_001653897.2|AAEG	LOC27209153|XP_039153571.1|DSIM, LOC120284223|XP_039153575.1|DSIM
OG0001899	LOC5580177|XP_001655592.2|AAEG, LOC5580175|XP_021713419.1|AAEG	LOC6727528|XP_016034104.1|DSIM
OG0001900	LOC5568029|XP_001657830.1|AAEG, LOC5563727|XP_001648015.1|AAEG	LOC6738710|XP_002085511.1|DSIM
OG0001901	LOC5563615|XP_021693058.1|AAEG	LOC6731241|XP_016023781.1|DSIM
OG0001902	LOC5576356|XP_021693302.1|AAEG	LOC120285683|XP_039154265.1|DSIM, LOC27206887|XP_039154264.1|DSIM, LOC27208787|XP_039154212.1|DSIM
OG0001903	LOC5573314|XP_021693438.1|AAEG	LOC6726673|XP_016033166.1|DSIM
OG0001904	LOC5573316|XP_021693443.1|AAEG	LOC6729900|XP_016036654.2|DSIM
OG0001905	LOC5569643|XP_001658667.1|AAEG	LOC6725660|XP_002106667.1|DSIM
OG0001906	LOC5576390|XP_021693504.1|AAEG	LOC6727257|XP_016033763.1|DSIM
OG0001907	LOC110674160|XP_021693697.1|AAEG, LOC5566429|XP_021695258.1|AAEG	LOC6726118|XP_039152921.1|DSIM
OG0001908	LOC5564006|XP_001648330.1|AAEG	LOC6729875|XP_016036637.1|DSIM
OG0001909	LOC5569687|XP_021693811.1|AAEG	LOC6725475|XP_016038583.1|DSIM
OG0001910	LOC5565945|XP_001650321.1|AAEG, LOC5565940|XP_001650319.2|AAEG	LOC6728694|XP_002104030.1|DSIM
OG0001911	LOC110674205|XP_021693943.1|AAEG	LOC6727805|XP_039151898.1|DSIM
OG0001912	LOC110674342|XP_021694330.1|AAEG, LOC5576146|XP_021694069.1|AAEG	LOC6734590|XP_002081598.1|DSIM
OG0001913	LOC110674222|XP_021694070.1|AAEG, LOC5576149|XP_001662497.2|AAEG	LOC6731870|XP_002079005.1|DSIM
OG0001914	LOC5565160|XP_021694133.1|AAEG	LOC6729375|XP_039151825.1|DSIM
OG0001915	LOC5566122|XP_021695354.1|AAEG	LOC6736468|XP_016030007.1|DSIM
OG0001916	LOC5570941|XP_001653408.1|AAEG	LOC6735204|XP_016028483.1|DSIM
OG0001917	LOC5579868|XP_021695539.1|AAEG	LOC27206240|XP_016030858.1|DSIM
OG0001918	LOC5575750|XP_001662178.1|AAEG	LOC6736769|XP_002083625.2|DSIM
OG0001919	LOC5579460|XP_001647758.2|AAEG	LOC6734628|XP_016027789.2|DSIM
OG0001920	LOC5571764|XP_021695753.1|AAEG	LOC6734412|XP_016029686.1|DSIM
OG0001921	LOC5571757|XP_001659890.2|AAEG	LOC6734325|XP_002081348.1|DSIM
OG0001922	LOC5571267|XP_001653565.1|AAEG	LOC6735782|XP_016029158.1|DSIM
OG0001924	LOC23687479|XP_021696447.1|AAEG	LOC6739824|XP_039147404.1|DSIM
OG0001925	LOC5567637|XP_001657588.2|AAEG	LOC27208441|XP_016030499.1|DSIM
OG0001926	LOC5566295|XP_021696526.1|AAEG	LOC6739625|XP_016030984.1|DSIM
OG0001927	LOC5568108|XP_021696643.1|AAEG	LOC6734161|XP_002081190.1|DSIM
OG0001928	LOC5568114|XP_001652053.1|AAEG	LOC27207739|XP_016031351.1|DSIM
OG0001929	LOC5568122|XP_021696657.1|AAEG	LOC6737554|XP_039149718.1|DSIM
OG0001930	LOC5569448|XP_021696661.1|AAEG	LOC6735135|XP_016028418.1|DSIM
OG0001932	LOC5574425|XP_021696832.1|AAEG	LOC6737614|XP_039149895.1|DSIM
OG0001933	LOC5566235|XP_001650598.2|AAEG	LOC6734927|XP_002081924.1|DSIM
OG0001934	LOC5565654|XP_001650004.2|AAEG	LOC6737550|XP_016031335.2|DSIM
OG0001935	LOC5573776|XP_001654802.2|AAEG	LOC6738265|XP_002085076.1|DSIM
OG0001937	LOC5574901|XP_021697034.1|AAEG	LOC6734595|XP_016027719.1|DSIM
OG0001938	LOC5567330|XP_021697068.1|AAEG	LOC6733971|XP_002081015.1|DSIM
OG0001939	LOC5571823|XP_001659955.1|AAEG, LOC5571824|XP_001659956.1|AAEG	LOC6735463|XP_002082402.2|DSIM
OG0001940	LOC5578975|XP_021697211.1|AAEG	LOC6733426|XP_016026374.1|DSIM
OG0001941	LOC5577574|XP_001663445.2|AAEG	LOC120284757|XP_039149394.1|DSIM, LOC6734415|XP_039149386.1|DSIM
OG0001942	LOC5565244|XP_021697467.1|AAEG, LOC5574904|XP_001661710.2|AAEG	LOC6733281|XP_016026178.1|DSIM
