Orthogroup	HILL.longest_only	DSIM.longest_only
OG0000322	LOC119654593|XP_037915985.1|HILL	LOC6727946|XP_016034548.1|DSIM, LOC6724859|XP_016037649.1|DSIM, LOC6725342|XP_039153479.1|DSIM
OG0000323	LOC119651179|XP_037910534.1|HILL	LOC6732246|XP_016024926.1|DSIM, LOC6729352|XP_016035987.1|DSIM, LOC6729353|XP_016035988.1|DSIM
OG0000324	LOC119650355|XP_037908964.1|HILL	LOC27208757|XP_016027401.1|DSIM
OG0000325	LOC119647540|XP_037904458.1|HILL, LOC119649224|XP_037907211.1|HILL	LOC6738627|XP_002085429.1|DSIM, LOC6738629|XP_016032466.1|DSIM
OG0000326	LOC119658188|XP_037921384.1|HILL	LOC120285010|XP_039151072.1|DSIM
OG0000328	LOC119647671|XP_037904677.1|HILL	LOC6736080|XP_002082981.2|DSIM, LOC6737546|XP_002084379.2|DSIM, LOC27206703|XP_039149307.1|DSIM
OG0000331	LOC119660750|XP_037925426.1|HILL	LOC6731438|XP_002078589.2|DSIM, LOC6731440|XP_016024071.1|DSIM
OG0000332	LOC119652961|XP_037913288.1|HILL	LOC6731820|XP_016024508.1|DSIM
OG0000332	LOC119655894|XP_037917968.1|HILL	LOC27207140|XP_016040116.1|DSIM
OG0000333	LOC119648073|XP_037905483.1|HILL	LOC6737534|XP_002084369.2|DSIM
OG0000334	LOC119648594|XP_037906294.1|HILL	LOC27206142|XP_016026378.1|DSIM, LOC27206399|XP_016039498.1|DSIM, LOC6734844|XP_002081846.1|DSIM
OG0000335	LOC119651925|XP_037911683.1|HILL, LOC119651821|XP_037911539.1|HILL, LOC119652176|XP_037912049.1|HILL	LOC6732843|XP_002079956.1|DSIM, LOC6732844|XP_002079957.2|DSIM
OG0000336	LOC119660296|XP_037924696.1|HILL	LOC6728489|XP_016035128.1|DSIM, LOC6729608|XP_002104916.1|DSIM, LOC6729609|XP_016036247.1|DSIM
OG0000337	LOC119660061|XP_037924368.1|HILL	LOC6738686|XP_016032509.1|DSIM, LOC27207455|XP_016037889.1|DSIM, LOC6738445|XP_002085252.2|DSIM
OG0000338	LOC119647611|XP_037904571.1|HILL	LOC6739599|XP_016029875.1|DSIM
OG0000338	LOC119646654|XP_037903104.1|HILL	LOC6733837|XP_016026852.1|DSIM
OG0000339	LOC119649031|XP_037906916.1|HILL	LOC27207110|XP_039148940.1|DSIM
OG0000340	LOC119656287|XP_037918646.1|HILL	LOC6734947|XP_016028253.1|DSIM
OG0000342	LOC119656749|XP_037919236.1|HILL	LOC27206746|XP_039152925.1|DSIM, LOC6727296|XP_002102683.1|DSIM, LOC6736073|XP_002082974.3|DSIM
OG0000343	LOC119656580|XP_037918899.1|HILL	LOC6728798|XP_002104133.1|DSIM
OG0000344	LOC119653101|XP_037913544.1|HILL, LOC119646209|XP_037902520.1|HILL, LOC119655037|XP_037916641.1|HILL, LOC119650620|XP_037909437.1|HILL	LOC6734996|XP_002081978.1|DSIM, LOC6730157|XP_002105448.2|DSIM
OG0000345	LOC119657419|XP_037920250.1|HILL	LOC6733446|XP_002080503.1|DSIM
OG0000346	LOC119646519|XP_037902907.1|HILL, LOC119659886|XP_037924134.1|HILL	LOC6734596|XP_016027721.1|DSIM, LOC6735900|XP_002082810.2|DSIM, LOC6734597|XP_002081605.2|DSIM
OG0000347	LOC119648357|XP_037905998.1|HILL	LOC6736906|XP_016030553.1|DSIM
OG0000347	LOC119650775|XP_037909808.1|HILL	LOC6730552|XP_016023007.1|DSIM
OG0000348	LOC119646268|XP_037902599.1|HILL, LOC119661392|XP_037926644.1|HILL, LOC119661101|XP_037926218.1|HILL	LOC6730986|XP_002078147.3|DSIM
OG0000349	LOC119655419|XP_037917235.1|HILL	LOC6732892|XP_016025612.1|DSIM
OG0000350	LOC119647587|XP_037904524.1|HILL	LOC6729808|XP_016036497.1|DSIM
OG0000351	LOC119650765|XP_037909794.1|HILL, LOC119651405|XP_037910922.1|HILL	LOC6735627|XP_002082547.1|DSIM, LOC6735626|XP_002082546.1|DSIM
OG0000353	LOC119651137|XP_037910460.1|HILL, LOC119651138|XP_037910461.1|HILL	LOC27209421|XP_016035628.1|DSIM
OG0000353	LOC119650632|XP_037909467.1|HILL	LOC6731143|XP_002078301.1|DSIM
OG0000354	LOC119646851|XP_037903400.1|HILL	LOC6730685|XP_002077855.1|DSIM
OG0000354	LOC119661529|XP_037926835.1|HILL, LOC119661530|XP_037926836.1|HILL	LOC6730695|XP_002077865.1|DSIM
OG0000355	LOC119651943|XP_037911727.1|HILL, LOC119651919|XP_037911679.1|HILL	LOC6733486|XP_002080543.1|DSIM, LOC6733178|XP_002080254.1|DSIM
OG0000356	LOC119653869|XP_037914896.1|HILL	LOC6732721|XP_016025453.1|DSIM, LOC6732720|XP_016025450.1|DSIM
OG0000358	LOC119652921|XP_037913238.1|HILL	LOC6739688|XP_002076583.1|DSIM, LOC6727339|XP_002102724.1|DSIM, LOC6727336|XP_002102721.1|DSIM
OG0000361	LOC119650707|XP_037909637.1|HILL	LOC6727732|XP_002103094.1|DSIM, LOC6726963|XP_016033455.1|DSIM, LOC6732148|XP_002079280.1|DSIM
OG0000362	LOC119661014|XP_037926089.1|HILL	LOC6728210|XP_002103559.1|DSIM
OG0000362	LOC119650343|XP_037908936.1|HILL	LOC6739157|XP_016033008.1|DSIM
OG0000363	LOC119658613|XP_037922027.1|HILL	LOC6729631|XP_016036270.1|DSIM
OG0000363	LOC119647856|XP_037905052.1|HILL	LOC6738429|XP_039150310.1|DSIM
OG0000364	LOC119647649|XP_037904638.1|HILL	LOC6736448|XP_039149552.1|DSIM
OG0000365	LOC119661181|XP_037926327.1|HILL	LOC6735433|XP_002082373.2|DSIM
OG0000366	LOC119657659|XP_037920611.1|HILL	LOC6725659|XP_016038886.1|DSIM
OG0000366	LOC119660260|XP_037924646.1|HILL	LOC6729674|XP_016036336.1|DSIM
OG0000367	LOC119656020|XP_037918200.1|HILL	LOC6737505|XP_002084341.1|DSIM, LOC6735257|XP_016028599.1|DSIM
OG0000376	LOC119657981|XP_037921121.1|HILL	LOC27208950|XP_039153224.1|DSIM, LOC6740014|XP_016038466.1|DSIM
OG0000377	LOC119657714|XP_037920682.1|HILL, LOC119658208|XP_037921402.1|HILL	LOC6725746|XP_002106746.3|DSIM, LOC6728062|XP_016034681.1|DSIM
OG0000378	LOC119653626|XP_037914331.1|HILL	LOC6735000|XP_002081982.1|DSIM
OG0000378	LOC119661275|XP_037926471.1|HILL	LOC6725326|XP_002106343.1|DSIM
OG0000379	LOC119654960|XP_037916550.1|HILL	LOC6733422|XP_002080479.1|DSIM, LOC6733421|XP_016026365.1|DSIM, LOC6739303|XP_002076212.2|DSIM
OG0000380	LOC119649204|XP_037907185.1|HILL	LOC6734344|XP_002081365.2|DSIM
OG0000380	LOC119648894|XP_037906719.1|HILL	LOC6737010|XP_016030636.1|DSIM
OG0000381	LOC119650994|XP_037910191.1|HILL	LOC6733506|XP_002080562.2|DSIM, LOC6731581|XP_016024254.1|DSIM
OG0000382	LOC119655629|XP_037917527.1|HILL	LOC6739139|XP_016032988.2|DSIM
OG0000383	LOC119651324|XP_037910786.1|HILL, LOC119651323|XP_037910785.1|HILL	LOC6730701|XP_016023138.1|DSIM
OG0000384	LOC119646972|XP_037903604.1|HILL	LOC6734012|XP_002081053.1|DSIM
OG0000384	LOC119646908|XP_037903506.1|HILL	LOC6734010|XP_016027038.1|DSIM
OG0000385	LOC119657567|XP_037920455.1|HILL	LOC6725045|XP_039152238.1|DSIM
OG0000385	LOC119657354|XP_037920156.1|HILL	LOC6725046|XP_016038020.1|DSIM
OG0000386	LOC119654213|XP_037915353.1|HILL	LOC6736811|XP_002083667.1|DSIM, LOC6736812|XP_002083668.1|DSIM, LOC6730066|XP_002105359.1|DSIM
OG0000389	LOC119652494|XP_037912607.1|HILL	LOC27207425|XP_039154269.1|DSIM
OG0000389	LOC119654826|XP_037916319.1|HILL, LOC119654630|XP_037916029.1|HILL	LOC27208474|XP_039149129.1|DSIM
OG0000390	LOC119650215|XP_037908712.1|HILL, LOC119652123|XP_037911993.1|HILL	LOC6731921|XP_016024593.1|DSIM
OG0000391	LOC119661658|XP_037927019.1|HILL	LOC6735213|XP_039147928.1|DSIM
OG0000391	LOC119655871|XP_037917926.1|HILL	LOC6735208|XP_016028486.1|DSIM
OG0000392	LOC119646917|XP_037903517.1|HILL	LOC6731078|XP_002078236.1|DSIM, LOC6731075|XP_039151124.1|DSIM
OG0000393	LOC119647833|XP_037905009.1|HILL	LOC6732634|XP_039154463.1|DSIM
OG0000394	LOC119655819|XP_037917852.1|HILL, LOC119655820|XP_037917854.1|HILL, LOC119655818|XP_037917851.1|HILL, LOC119655817|XP_037917850.1|HILL, LOC119650578|XP_037909332.1|HILL	LOC6740074|XP_002076955.1|DSIM, LOC27207627|XP_016038878.1|DSIM
OG0000396	LOC119647873|XP_037905127.1|HILL, LOC119646202|XP_037902512.1|HILL	LOC6731380|XP_016023999.1|DSIM, LOC6731379|XP_016023997.1|DSIM, LOC6731378|XP_016023996.1|DSIM, LOC6731381|XP_016024003.1|DSIM
OG0000399	LOC119650688|XP_037909578.1|HILL	LOC6729800|XP_016036486.1|DSIM
OG0000399	LOC119652689|XP_037912891.1|HILL	LOC6735791|XP_002082704.1|DSIM
OG0000400	LOC119658131|XP_037921328.1|HILL	LOC6725881|XP_002106877.1|DSIM, LOC6732097|XP_002079229.3|DSIM, LOC6725882|XP_002106878.2|DSIM
OG0000402	LOC119657088|XP_037919771.1|HILL	LOC6740084|XP_002076967.2|DSIM
OG0000403	LOC119660792|XP_037925527.1|HILL, LOC119661317|XP_037926537.1|HILL	LOC6730103|XP_002105396.2|DSIM
OG0000404	LOC119653035|XP_037913410.1|HILL	LOC6730205|XP_016036955.1|DSIM, LOC6730206|XP_039150794.1|DSIM
OG0000405	LOC119651780|XP_037911463.1|HILL	LOC6725057|XP_016038033.1|DSIM
OG0000406	LOC119649727|XP_037907936.1|HILL	LOC6738424|XP_002085233.1|DSIM, LOC6733963|XP_016027004.1|DSIM
OG0000407	LOC119647699|XP_037904709.1|HILL	LOC27209011|XP_016031120.1|DSIM
OG0000408	LOC119652449|XP_037912523.1|HILL	LOC6728258|XP_002103607.1|DSIM, LOC6731091|XP_016023624.1|DSIM
OG0000409	LOC119652426|XP_037912477.1|HILL	LOC6734543|XP_016027660.1|DSIM, LOC6733661|XP_016026622.1|DSIM
OG0000410	LOC119651826|XP_037911546.1|HILL	LOC6732624|XP_002079743.1|DSIM, LOC6732625|XP_016025330.1|DSIM, LOC6732626|XP_002079745.1|DSIM
OG0000411	LOC119660621|XP_037925251.1|HILL	LOC27206658|XP_016035586.1|DSIM
OG0000411	LOC119653223|XP_037913732.1|HILL	LOC6731617|XP_002078757.1|DSIM
OG0000412	LOC119660752|XP_037925442.1|HILL	LOC6735362|XP_016028692.1|DSIM
OG0000412	LOC119648053|XP_037905443.1|HILL	LOC6738040|XP_016031863.1|DSIM
OG0000413	LOC119659104|XP_037922954.1|HILL, LOC119659105|XP_037922955.1|HILL	LOC6728915|XP_002104243.1|DSIM
OG0000413	LOC119659106|XP_037922957.1|HILL	LOC27208983|XP_016033305.1|DSIM
OG0000414	LOC119653685|XP_037914474.1|HILL	LOC6734051|XP_002081087.1|DSIM, LOC6733185|XP_002080261.2|DSIM
OG0000415	LOC119655557|XP_037917409.1|HILL	LOC6735613|XP_016028973.1|DSIM
OG0000416	LOC119657449|XP_037920289.1|HILL	LOC6739898|XP_002076787.1|DSIM
OG0000416	LOC119657276|XP_037920043.1|HILL	LOC6725681|XP_002106685.1|DSIM
OG0000417	LOC119651515|XP_037911072.1|HILL	LOC6729479|XP_016036151.1|DSIM
OG0000417	LOC119650792|XP_037909843.1|HILL	LOC6730250|XP_002105533.1|DSIM
OG0000418	LOC119658337|XP_037921610.1|HILL	LOC6726640|XP_039153845.1|DSIM, LOC6740200|XP_016039938.2|DSIM
OG0000419	LOC119647268|XP_037904086.1|HILL	LOC6734612|XP_039148453.1|DSIM
OG0000421	LOC119650957|XP_037910126.1|HILL	LOC6732390|XP_016025038.1|DSIM
OG0000421	LOC119653923|XP_037915014.1|HILL	LOC6731371|XP_016023986.1|DSIM
OG0000422	LOC119659457|XP_037923469.1|HILL	LOC6739524|XP_016022793.1|DSIM
OG0000423	LOC119653623|XP_037914324.1|HILL, LOC119653616|XP_037914313.1|HILL, LOC119653433|XP_037913942.1|HILL	LOC6735131|XP_002082108.1|DSIM, LOC6735130|XP_002082107.1|DSIM
OG0000424	LOC119654257|XP_037915442.1|HILL, LOC119654258|XP_037915448.1|HILL	LOC6735215|XP_002082188.1|DSIM
OG0000425	LOC119656034|XP_037918229.1|HILL	LOC6734817|XP_016028048.1|DSIM
OG0000425	LOC119654479|XP_037915828.1|HILL	LOC6735365|XP_002082312.1|DSIM
OG0000426	LOC119652996|XP_037913351.1|HILL, LOC119650213|XP_037908706.1|HILL, LOC119648772|XP_037906533.1|HILL, LOC119649890|XP_037908208.1|HILL	LOC6733866|XP_016026889.1|DSIM, LOC27207204|XP_039147312.1|DSIM, LOC6733863|XP_039147311.1|DSIM, LOC27207150|XP_039147310.1|DSIM
OG0000428	LOC119654020|XP_037915111.1|HILL	LOC6738933|XP_016032766.1|DSIM, LOC6738932|XP_016032764.1|DSIM, LOC6738931|XP_002085726.2|DSIM
OG0000433	LOC119658708|XP_037922249.1|HILL	LOC6740186|XP_016039875.1|DSIM
OG0000433	LOC119650212|XP_037908705.1|HILL	LOC6736938|XP_002083785.1|DSIM
OG0000434	LOC119659474|XP_037923508.1|HILL	LOC6729870|XP_002105173.1|DSIM
OG0000435	LOC119657374|XP_037920187.1|HILL	LOC6725568|XP_002106579.2|DSIM
OG0000437	LOC119651355|XP_037910846.1|HILL	LOC6731825|XP_002078960.1|DSIM
OG0000437	LOC119661162|XP_037926307.1|HILL	LOC6731873|XP_016024550.1|DSIM
OG0000438	LOC119661411|XP_037926673.1|HILL	LOC6738691|XP_002085493.1|DSIM, LOC6730172|XP_016036931.1|DSIM
OG0000439	LOC119651351|XP_037910838.1|HILL	LOC6731565|XP_039148450.1|DSIM
OG0000439	LOC119650255|XP_037908775.1|HILL	LOC6738019|XP_016031818.1|DSIM
OG0000440	LOC119647315|XP_037904170.1|HILL	LOC6735704|XP_002082620.2|DSIM, LOC6734287|XP_002081316.1|DSIM
OG0000441	LOC119657627|XP_037920559.1|HILL, LOC119658141|XP_037921337.1|HILL, LOC119657726|XP_037920697.1|HILL, LOC119656852|XP_037919432.1|HILL	LOC6735557|XP_002082477.1|DSIM, LOC6735558|XP_002082478.1|DSIM
OG0000442	LOC119658576|XP_037921952.1|HILL	LOC27208440|XP_016038282.2|DSIM
OG0000442	LOC119655225|XP_037916933.1|HILL	LOC6736676|XP_039149855.1|DSIM
OG0000443	LOC119649255|XP_037907251.1|HILL	LOC6736236|XP_002083130.2|DSIM, LOC6736235|XP_002083129.2|DSIM
OG0000444	LOC119650202|XP_037908696.1|HILL	LOC6731547|XP_002078692.1|DSIM
OG0000444	LOC119648810|XP_037906588.1|HILL	LOC6731549|XP_016024219.1|DSIM
OG0000446	LOC119647818|XP_037904975.1|HILL	LOC27208073|XP_016039459.1|DSIM, LOC6725869|XP_016039197.1|DSIM, LOC27208799|XP_039148220.1|DSIM
OG0000448	LOC119650667|XP_037909547.1|HILL	LOC6730303|XP_002105586.1|DSIM, LOC6730306|XP_002105589.2|DSIM
OG0000449	LOC119654328|XP_037915585.1|HILL	LOC6738491|XP_016032337.1|DSIM
OG0000449	LOC119654797|XP_037916274.1|HILL	LOC27206496|XP_016025567.1|DSIM
OG0000450	LOC119657601|XP_037920517.1|HILL	LOC6725615|XP_039153373.1|DSIM
OG0000450	LOC119656646|XP_037919031.1|HILL	LOC6726282|XP_016039800.1|DSIM
OG0000451	LOC119656757|XP_037919252.1|HILL	LOC27207003|XP_016037668.2|DSIM
OG0000451	LOC119657306|XP_037920093.1|HILL	LOC27207524|XP_016037663.1|DSIM
OG0000453	LOC119658366|XP_037921655.1|HILL	LOC6728163|XP_002103513.1|DSIM
OG0000453	LOC119657350|XP_037920152.1|HILL	LOC6728164|XP_016034771.1|DSIM
OG0000454	LOC119646996|XP_037903646.1|HILL	LOC6726913|XP_002102315.2|DSIM, LOC6736394|XP_002083266.1|DSIM
OG0000455	LOC119661272|XP_037926468.1|HILL	LOC6734192|XP_016027223.1|DSIM, LOC6734191|XP_002081220.3|DSIM, LOC6734190|XP_039148085.1|DSIM
OG0000456	LOC119660708|XP_037925268.1|HILL	LOC6724709|XP_016037468.1|DSIM
OG0000456	LOC119650840|XP_037909908.1|HILL	LOC6732311|XP_039147151.1|DSIM
OG0000457	LOC119650711|XP_037909644.1|HILL	LOC6731599|XP_016024274.1|DSIM
OG0000457	LOC119651240|XP_037910647.1|HILL	LOC6731206|XP_016023750.1|DSIM
OG0000458	LOC119658491|XP_037921882.1|HILL	LOC6732128|XP_016024795.1|DSIM
OG0000460	LOC119661481|XP_037926774.1|HILL	LOC6730581|XP_002077760.1|DSIM
OG0000462	LOC119660442|XP_037924924.1|HILL	LOC6727464|XP_002102844.1|DSIM, LOC6727463|XP_016034059.1|DSIM, LOC6727462|XP_002102842.1|DSIM
OG0000465	LOC119651652|XP_037911262.1|HILL	LOC6729455|XP_039151173.1|DSIM
OG0000465	LOC119651651|XP_037911257.1|HILL	LOC6729454|XP_016036128.1|DSIM
OG0000466	LOC119652476|XP_037912578.1|HILL	LOC6725675|XP_039152393.1|DSIM
OG0000466	LOC119661330|XP_037926559.1|HILL	LOC27206536|XP_016022876.1|DSIM
OG0000467	LOC119661560|XP_037926879.1|HILL	LOC6733345|XP_039148295.1|DSIM, LOC6733330|XP_016026243.2|DSIM
OG0000468	LOC119660125|XP_037924447.1|HILL	LOC6730365|XP_016037139.1|DSIM
OG0000468	LOC119661743|XP_037927136.1|HILL	LOC27206161|XP_016027062.1|DSIM
OG0000469	LOC119647237|XP_037904027.1|HILL	LOC6732081|XP_039147055.1|DSIM
OG0000469	LOC119656080|XP_037918298.1|HILL	LOC6732078|XP_039146920.1|DSIM
OG0000470	LOC119650356|XP_037908966.1|HILL	LOC6739070|XP_039150244.1|DSIM
OG0000470	LOC119649541|XP_037907656.1|HILL	LOC6738890|XP_016032712.2|DSIM
OG0000471	LOC119646402|XP_037902775.1|HILL, LOC119647055|XP_037903740.1|HILL	LOC6739603|XP_002076499.2|DSIM, LOC6730706|XP_002077876.2|DSIM
OG0000473	LOC119657995|XP_037921141.1|HILL	LOC27207893|XP_016037795.1|DSIM
OG0000474	LOC119657943|XP_037921063.1|HILL	LOC6726201|XP_002107176.1|DSIM, LOC6737659|XP_016031424.1|DSIM
OG0000475	LOC119650677|XP_037909555.1|HILL	LOC6729081|XP_016035728.1|DSIM, LOC6729082|XP_002104403.2|DSIM
OG0000476	LOC119652617|XP_037912785.1|HILL	LOC6728789|XP_002104124.1|DSIM
OG0000476	LOC119650856|XP_037909934.1|HILL	LOC6728788|XP_016035478.1|DSIM
OG0000477	LOC119650705|XP_037909632.1|HILL, LOC119651325|XP_037910788.1|HILL	LOC6728990|XP_002104312.2|DSIM, LOC6728989|XP_002104311.1|DSIM
OG0000478	LOC119661441|XP_037926715.1|HILL	LOC6740109|XP_002076994.1|DSIM, LOC6729726|XP_002105032.1|DSIM
OG0000479	LOC119649774|XP_037908003.1|HILL, LOC119648325|XP_037905946.1|HILL	LOC6728810|XP_002104144.1|DSIM, LOC6728811|XP_002104145.1|DSIM
OG0000480	LOC119656137|XP_037918398.1|HILL	LOC6730757|XP_016023173.1|DSIM, LOC6730755|XP_002077923.2|DSIM
OG0000482	LOC119659577|XP_037923662.1|HILL	LOC6727405|XP_002102790.1|DSIM
OG0000483	LOC119659859|XP_037924096.1|HILL	LOC6729405|XP_002104720.1|DSIM, LOC27206920|XP_016036051.1|DSIM
OG0000484	LOC119658954|XP_037922754.1|HILL, LOC119658953|XP_037922753.1|HILL	LOC6727458|XP_039151565.1|DSIM, LOC6727460|XP_016034056.1|DSIM
OG0000485	LOC119648226|XP_037905772.1|HILL	LOC6738562|XP_016032422.1|DSIM, LOC6738563|XP_002085368.1|DSIM
OG0000486	LOC119653660|XP_037914412.1|HILL	LOC6735909|XP_016029260.1|DSIM, LOC6735907|XP_016029258.1|DSIM
OG0000489	LOC119658089|XP_037921281.1|HILL	LOC27206627|XP_016037155.1|DSIM, LOC6740080|XP_016038891.1|DSIM
OG0000490	LOC119657695|XP_037920656.1|HILL	LOC6725028|XP_016037976.1|DSIM
OG0000490	LOC119658436|XP_037921765.1|HILL	LOC6726609|XP_039152566.1|DSIM
OG0000491	LOC119648261|XP_037905837.1|HILL	LOC6734068|XP_002081103.1|DSIM, LOC6734069|XP_002081104.1|DSIM
OG0000492	LOC119659843|XP_037924069.1|HILL	LOC6733706|XP_016026674.1|DSIM
OG0000492	LOC119659794|XP_037923991.1|HILL	LOC6732477|XP_002079597.1|DSIM
OG0000493	LOC119654907|XP_037916463.1|HILL, LOC119651623|XP_037911213.1|HILL, LOC119654945|XP_037916531.1|HILL, LOC119649021|XP_037906904.1|HILL, LOC119649081|XP_037907006.1|HILL, LOC119657347|XP_037920148.1|HILL, LOC119655031|XP_037916636.1|HILL	LOC6729918|XP_002105220.1|DSIM, LOC6729917|XP_002105219.1|DSIM
OG0000494	LOC119660730|XP_037925321.1|HILL	LOC6732394|XP_016025045.1|DSIM
OG0000495	LOC119647993|XP_037905310.1|HILL	LOC6725339|XP_002106356.2|DSIM, LOC6734661|XP_016027852.1|DSIM
OG0000496	LOC119650970|XP_037910158.1|HILL	LOC6731116|XP_016023655.1|DSIM
OG0000496	LOC119651936|XP_037911713.1|HILL	LOC6732130|XP_039152868.1|DSIM
OG0000497	LOC119661602|XP_037926930.1|HILL	LOC6731319|XP_016023891.1|DSIM
OG0000497	LOC119661786|XP_037927197.1|HILL	LOC6731320|XP_039147220.1|DSIM
OG0000498	LOC119656972|XP_037919630.1|HILL, LOC119648555|XP_037906280.1|HILL, LOC119646198|XP_037902509.1|HILL, LOC119647192|XP_037903932.1|HILL	LOC6729410|XP_039151136.1|DSIM, LOC27208577|XP_016036059.1|DSIM
OG0000499	LOC119655299|XP_037917052.1|HILL	LOC6734630|XP_002081638.2|DSIM
OG0000499	LOC119659001|XP_037922814.1|HILL	LOC27207475|XP_016037878.1|DSIM
OG0000500	LOC119649406|XP_037907469.1|HILL	LOC6738567|XP_002085372.1|DSIM, LOC6738565|XP_016032423.1|DSIM
OG0000504	LOC119649782|XP_037908015.1|HILL	LOC6738379|XP_002085188.2|DSIM
OG0000505	LOC119657570|XP_037920458.1|HILL	LOC6724999|XP_016037951.1|DSIM, LOC6724994|XP_039154067.1|DSIM
OG0000506	LOC119651603|XP_037911184.1|HILL	LOC6729559|XP_002104867.1|DSIM, LOC6729560|XP_016036228.1|DSIM
OG0000507	LOC119648339|XP_037905962.1|HILL	LOC6725622|XP_016038817.1|DSIM
OG0000507	LOC119652182|XP_037912056.1|HILL	LOC6725623|XP_016038818.1|DSIM
OG0000508	LOC119648498|XP_037906193.1|HILL	LOC6736335|XP_016029810.2|DSIM, LOC6736194|XP_016029625.1|DSIM
OG0000509	LOC119658193|XP_037921390.1|HILL	LOC6734784|XP_016027983.1|DSIM
OG0000509	LOC119646503|XP_037902887.1|HILL	LOC6734768|XP_039148831.1|DSIM
OG0000510	LOC119660366|XP_037924803.1|HILL, LOC119660008|XP_037924313.1|HILL	LOC6734438|XP_002081458.1|DSIM, LOC6734439|XP_016027546.1|DSIM
OG0000511	LOC119652776|XP_037913012.1|HILL, LOC119652931|XP_037913249.1|HILL, LOC119652289|XP_037912214.1|HILL	LOC6732558|XP_002079677.1|DSIM, LOC6732559|XP_016025241.1|DSIM
OG0000512	LOC119653845|XP_037914818.1|HILL, LOC119655068|XP_037916690.1|HILL	LOC6731946|XP_002079081.1|DSIM, LOC6737709|XP_002084541.2|DSIM
OG0000513	LOC119652870|XP_037913157.1|HILL, LOC119651212|XP_037910591.1|HILL, LOC119651501|XP_037911047.1|HILL	LOC6739277|XP_016026129.1|DSIM
OG0000513	LOC119651635|XP_037911227.1|HILL	LOC6732762|XP_002079875.1|DSIM
OG0000514	LOC119646131|XP_037902408.1|HILL	LOC6732113|XP_016024784.1|DSIM
OG0000514	LOC119661601|XP_037926929.1|HILL	LOC6732109|XP_016024780.2|DSIM
OG0000515	LOC119660807|XP_037925575.1|HILL	LOC6724738|XP_016037401.2|DSIM
OG0000515	LOC119648428|XP_037906110.1|HILL	LOC27207145|XP_016032111.1|DSIM
OG0000516	LOC119655902|XP_037917986.1|HILL, LOC119655903|XP_037917987.1|HILL	LOC6740132|XP_016039324.1|DSIM, LOC6725967|XP_002106950.1|DSIM
OG0000517	LOC119647446|XP_037904299.1|HILL	LOC6738221|XP_002085033.1|DSIM, LOC6738222|XP_002085034.1|DSIM
OG0000521	LOC119658404|XP_037921721.1|HILL	LOC6726375|XP_002107334.2|DSIM, LOC6726369|XP_016022763.1|DSIM
OG0000522	LOC119656723|XP_037919178.1|HILL	LOC6727077|XP_002102474.1|DSIM, LOC6726119|XP_016039610.1|DSIM
OG0000523	LOC119650710|XP_037909643.1|HILL	LOC6729532|XP_016036205.1|DSIM
OG0000523	LOC119656872|XP_037919458.1|HILL	LOC6739891|XP_016040228.1|DSIM
OG0000524	LOC119651168|XP_037910515.1|HILL	LOC6729150|XP_002104471.1|DSIM, LOC6728643|XP_016035272.2|DSIM
OG0000525	LOC119659179|XP_037923064.1|HILL, LOC119659178|XP_037923063.1|HILL, LOC119659013|XP_037922825.1|HILL	LOC6733674|XP_016026647.1|DSIM, LOC6733673|XP_002080720.2|DSIM
OG0000526	LOC119651156|XP_037910492.1|HILL	LOC6732852|XP_002079962.1|DSIM, LOC6735353|XP_002082300.1|DSIM
OG0000527	LOC119649636|XP_037907814.1|HILL	LOC6730936|XP_016023386.1|DSIM, LOC6730930|XP_039154443.1|DSIM
OG0000528	LOC119656123|XP_037918378.1|HILL, LOC119655675|XP_037917593.1|HILL, LOC119654042|XP_037915133.1|HILL, LOC119654043|XP_037915134.1|HILL	LOC6730848|XP_002078012.1|DSIM
OG0000529	LOC119661253|XP_037926429.1|HILL	LOC6730711|XP_002077881.1|DSIM, LOC6731057|XP_016023577.1|DSIM
OG0000530	LOC119649071|XP_037906991.1|HILL, LOC119648770|XP_037906525.1|HILL	LOC6737598|XP_016031381.2|DSIM, LOC6736444|XP_002083315.1|DSIM
OG0000531	LOC119651247|XP_037910655.1|HILL	LOC6739542|XP_016025848.1|DSIM, LOC6732663|XP_002079780.1|DSIM
OG0000532	LOC119659773|XP_037923962.1|HILL, LOC119659624|XP_037923752.1|HILL, LOC119658879|XP_037922578.1|HILL, LOC119658880|XP_037922579.1|HILL, LOC119660520|XP_037925069.1|HILL	LOC6727358|XP_002102743.2|DSIM, LOC27208740|XP_016033896.2|DSIM
OG0000533	LOC119657802|XP_037920826.1|HILL	LOC27206330|XP_016040259.1|DSIM
OG0000533	LOC119659208|XP_037923104.1|HILL	LOC6728910|XP_002104240.1|DSIM
OG0000535	LOC119654975|XP_037916563.1|HILL	LOC6733869|XP_016026891.1|DSIM, LOC6733513|XP_002080568.1|DSIM
OG0000537	LOC119656131|XP_037918391.1|HILL	LOC6739283|XP_016026253.1|DSIM
OG0000538	LOC119653804|XP_037914750.1|HILL	LOC27207969|XP_016028250.1|DSIM, LOC27206155|XP_016026571.1|DSIM
OG0000539	LOC119659391|XP_037923380.1|HILL	LOC6729697|XP_002105003.1|DSIM
OG0000539	LOC119660385|XP_037924838.1|HILL, LOC119659605|XP_037923704.1|HILL, LOC119660298|XP_037924699.1|HILL	LOC6729698|XP_002105004.1|DSIM
