Orthogroup	HILL.longest_only	DSAN.longest_only
OG0001330	LOC119657748|XP_037920727.1|HILL	LOC120455102|XP_039496912.1|DSAN
OG0001331	LOC119656876|XP_037919468.1|HILL	LOC120457350|XP_039500799.1|DSAN
OG0001332	LOC119656586|XP_037918919.1|HILL	LOC120455478|XP_039497647.1|DSAN
OG0001333	LOC119656813|XP_037919365.1|HILL	LOC120458249|XP_039501772.1|DSAN
OG0001334	LOC119657942|XP_037921060.1|HILL	LOC120452874|XP_039493255.1|DSAN
OG0001335	LOC119652343|XP_037912293.1|HILL	LOC120452572|XP_039492788.1|DSAN
OG0001337	LOC119657100|XP_037919783.1|HILL	LOC120456473|XP_039499265.1|DSAN
OG0001338	LOC119657367|XP_037920178.1|HILL	LOC120446915|XP_039484087.1|DSAN
OG0001339	LOC119655050|XP_037916668.1|HILL	LOC120444579|XP_039480273.1|DSAN
OG0001340	LOC119649314|XP_037907349.1|HILL	LOC120457591|XP_039501035.1|DSAN
OG0001341	LOC119651654|XP_037911265.1|HILL	LOC120453145|XP_039493635.1|DSAN
OG0001342	LOC119653250|XP_037913786.1|HILL	LOC120454410|XP_039495612.1|DSAN
OG0001343	LOC119651876|XP_037911617.1|HILL	LOC120452834|XP_039493194.1|DSAN
OG0001344	LOC119651796|XP_037911507.1|HILL	LOC120452771|XP_039493094.1|DSAN
OG0001345	LOC119652847|XP_037913127.1|HILL	LOC120454454|XP_039495699.1|DSAN
OG0001346	LOC119651609|XP_037911190.1|HILL	LOC120453109|XP_039493578.1|DSAN
OG0001347	LOC119656995|XP_037919658.1|HILL	LOC120457279|XP_039500650.1|DSAN
OG0001348	LOC119646138|XP_037902422.1|HILL	LOC120455063|XP_039496848.1|DSAN
OG0001349	LOC119650338|XP_037908930.1|HILL, LOC119648621|XP_037906319.1|HILL	LOC120449527|XP_039487974.1|DSAN
OG0001350	LOC119656031|XP_037918222.1|HILL	LOC120449870|XP_039488463.1|DSAN
OG0001351	LOC119646934|XP_037903549.1|HILL	LOC120458654|XP_039502319.1|DSAN
OG0001352	LOC119646485|XP_037902868.1|HILL	LOC120458600|XP_039502234.1|DSAN
OG0001353	LOC119657814|XP_037920854.1|HILL	LOC120448202|XP_039486002.1|DSAN
OG0001354	LOC119661661|XP_037927022.1|HILL	LOC120445093|XP_039481156.1|DSAN
OG0001355	LOC119647144|XP_037903866.1|HILL	LOC120444536|XP_039480217.1|DSAN
OG0001356	LOC119659914|XP_037924167.1|HILL	LOC120451676|XP_039491491.1|DSAN
OG0001357	LOC119650158|XP_037908633.1|HILL, LOC119650159|XP_037908634.1|HILL, LOC119655198|XP_037916898.1|HILL	LOC120448070|XP_039485775.1|DSAN
OG0001358	LOC119649831|XP_037908101.1|HILL	LOC120447496|XP_039484827.1|DSAN
OG0001359	LOC119649801|XP_037908041.1|HILL	LOC120444189|XP_039479694.1|DSAN
OG0001360	LOC119660268|XP_037924655.1|HILL	LOC120458467|XP_039502054.1|DSAN
OG0001361	LOC119649638|XP_037907817.1|HILL	LOC120447505|XP_039484849.1|DSAN
OG0001362	LOC119649515|XP_037907624.1|HILL	LOC120448870|XP_039487016.1|DSAN
OG0001363	LOC119660259|XP_037924645.1|HILL	LOC120451521|XP_039491223.1|DSAN
OG0001364	LOC119653200|XP_037913699.1|HILL	LOC120445909|XP_039482499.1|DSAN
OG0001365	LOC119648268|XP_037905850.1|HILL	LOC120447935|XP_039485533.1|DSAN
OG0001366	LOC119649229|XP_037907216.1|HILL	LOC120448364|XP_039486265.1|DSAN
OG0001367	LOC119646490|XP_037902877.1|HILL	LOC120445401|XP_039481745.1|DSAN
OG0001368	LOC119658811|XP_037922460.1|HILL	LOC120447089|XP_039484430.1|DSAN
OG0001369	LOC119654759|XP_037916228.1|HILL	LOC120456639|XP_039499495.1|DSAN
OG0001370	LOC119646383|XP_037902755.1|HILL	LOC120446731|XP_039483782.1|DSAN
OG0001371	LOC119653164|XP_037913632.1|HILL	LOC120457838|XP_039501285.1|DSAN
OG0001373	LOC119653079|XP_037913495.1|HILL	LOC120449057|XP_039487326.1|DSAN
OG0001374	LOC119661235|XP_037926392.1|HILL	LOC120446722|XP_039483768.1|DSAN
OG0001375	LOC119659993|XP_037924293.1|HILL	LOC120451518|XP_039491213.1|DSAN
OG0001376	LOC119646276|XP_037902613.1|HILL	LOC120446545|XP_039483495.1|DSAN
OG0001377	LOC119650354|XP_037908968.1|HILL	LOC120449372|XP_039487741.1|DSAN, LOC120443995|XP_039479407.1|DSAN
OG0001378	LOC119656648|XP_037919037.1|HILL, LOC119657864|XP_037920917.1|HILL	LOC120458422|XP_039501994.1|DSAN
OG0001379	LOC119651100|XP_037910387.1|HILL	LOC120458073|XP_039501519.1|DSAN
OG0001380	LOC119661414|XP_037926677.1|HILL	LOC120458546|XP_039502161.1|DSAN, LOC120458562|XP_039502184.1|DSAN, LOC120457340|XP_039500787.1|DSAN
OG0001381	LOC119647953|XP_037905272.1|HILL	LOC120444314|XP_039479791.1|DSAN
OG0001382	LOC119661475|XP_037926765.1|HILL	LOC120458792|XP_039502510.1|DSAN
OG0001383	LOC119647254|XP_037904062.1|HILL	LOC120443692|XP_039478869.1|DSAN
OG0001384	LOC119650590|XP_037909365.1|HILL	LOC120446517|XP_039483462.1|DSAN
OG0001385	LOC119648519|XP_037906217.1|HILL	LOC120457912|XP_039501384.1|DSAN
OG0001387	LOC119658144|XP_037921342.1|HILL	LOC120458289|XP_039501821.1|DSAN
OG0001388	LOC119647241|XP_037904032.1|HILL	LOC120458876|XP_039502647.1|DSAN
OG0001389	LOC119652995|XP_037913350.1|HILL	LOC120453709|XP_039494465.1|DSAN
OG0001390	LOC119659069|XP_037922906.1|HILL	LOC120458781|XP_039502495.1|DSAN
OG0001391	LOC119659041|XP_037922869.1|HILL, LOC119660450|XP_037924937.1|HILL	LOC120444300|XP_039479755.1|DSAN
OG0001392	LOC119654285|XP_037915501.1|HILL	LOC120455323|XP_039497334.1|DSAN
OG0001393	LOC119658993|XP_037922803.1|HILL	LOC120444386|XP_039479928.1|DSAN
OG0001394	LOC119660939|XP_037925866.1|HILL	LOC120444588|XP_039480295.1|DSAN
OG0001395	LOC119659967|XP_037924255.1|HILL	LOC120454417|XP_039495622.1|DSAN
OG0001396	LOC119654659|XP_037916078.1|HILL	LOC120455605|XP_039497919.1|DSAN
OG0001397	LOC119660543|XP_037925106.1|HILL	LOC120453375|XP_039493983.1|DSAN
OG0001398	LOC119658900|XP_037922631.1|HILL, LOC119660834|XP_037925631.1|HILL	LOC120457276|XP_039500639.1|DSAN
OG0001399	LOC119653725|XP_037914561.1|HILL	LOC120455879|XP_039498300.1|DSAN
OG0001400	LOC119649562|XP_037907686.1|HILL, LOC119649358|XP_037907399.1|HILL	LOC120450810|XP_039489919.1|DSAN
OG0001401	LOC119650076|XP_037908503.1|HILL	LOC120448535|XP_039486513.1|DSAN
OG0001402	LOC119649300|XP_037907323.1|HILL	LOC120449566|XP_039488052.1|DSAN
OG0001403	LOC119657757|XP_037920740.1|HILL	LOC120449650|XP_039488176.1|DSAN
OG0001404	LOC119653478|XP_037914032.1|HILL	LOC120444774|XP_039480641.1|DSAN
OG0001405	LOC119654372|XP_037915653.1|HILL, LOC119654030|XP_037915121.1|HILL, LOC119655178|XP_037916858.1|HILL, LOC119654029|XP_037915120.1|HILL	LOC120444292|XP_039479747.1|DSAN
OG0001406	LOC119655945|XP_037918064.1|HILL	LOC120455196|XP_039497073.1|DSAN
OG0001407	LOC119649363|XP_037907405.1|HILL	LOC120450258|XP_039489082.1|DSAN
OG0001408	LOC119653786|XP_037914717.1|HILL, LOC119653785|XP_037914716.1|HILL, LOC119649778|XP_037908008.1|HILL, LOC119649900|XP_037908222.1|HILL, LOC119649959|XP_037908323.1|HILL, LOC119653782|XP_037914712.1|HILL, LOC119655494|XP_037917324.1|HILL, LOC119654611|XP_037916011.1|HILL	LOC120446677|XP_039483685.1|DSAN
OG0001411	LOC119661783|XP_037927187.1|HILL, LOC119652314|XP_037912255.1|HILL, LOC119646991|XP_037903634.1|HILL	LOC120451540|XP_039491254.1|DSAN
OG0001412	LOC119646959|XP_037903583.1|HILL	LOC120447069|XP_039484392.1|DSAN, LOC120451727|XP_039491610.1|DSAN
OG0001415	LOC119646748|XP_037903254.1|HILL, LOC119646710|XP_037903216.1|HILL	LOC120444584|XP_039480279.1|DSAN, LOC120444583|XP_039480278.1|DSAN
OG0001429	LOC119653219|XP_037913722.1|HILL, LOC119652468|XP_037912562.1|HILL	LOC120452313|XP_039492397.1|DSAN
OG0001430	LOC119647554|XP_037904478.1|HILL, LOC119656740|XP_037919217.1|HILL	LOC120454598|XP_039495984.1|DSAN
OG0001432	LOC119657036|XP_037919718.1|HILL	LOC120455952|XP_039498429.1|DSAN
OG0001433	LOC119652346|XP_037912300.1|HILL	LOC120452876|XP_039493260.1|DSAN
OG0001434	LOC119656546|XP_037918836.1|HILL	LOC120455292|XP_039497266.1|DSAN
OG0001435	LOC119656806|XP_037919345.1|HILL	LOC120443913|XP_039479288.1|DSAN
OG0001436	LOC119656606|XP_037918968.1|HILL	LOC120451187|XP_039490570.1|DSAN
OG0001437	LOC119659054|XP_037922891.1|HILL	LOC120446405|XP_039483283.1|DSAN
OG0001438	LOC119656888|XP_037919486.1|HILL	LOC120451039|XP_039490301.1|DSAN
OG0001439	LOC119659035|XP_037922858.1|HILL	LOC120452182|XP_039492226.1|DSAN
OG0001440	LOC119651352|XP_037910839.1|HILL	LOC120454970|XP_039496685.1|DSAN
OG0001441	LOC119656960|XP_037919608.1|HILL	LOC120456741|XP_039499664.1|DSAN
OG0001442	LOC119657508|XP_037920372.1|HILL	LOC120458487|XP_039502086.1|DSAN
OG0001443	LOC119653014|XP_037913378.1|HILL	LOC120452157|XP_039492187.1|DSAN
OG0001444	LOC119657226|XP_037919966.1|HILL, LOC119657317|XP_037920104.1|HILL, LOC119658133|XP_037921330.1|HILL	LOC120453851|XP_039494689.1|DSAN
OG0001445	LOC119650719|XP_037909661.1|HILL	LOC120450916|XP_039490107.1|DSAN
OG0001446	LOC119650743|XP_037909739.1|HILL	LOC120451008|XP_039490258.1|DSAN
OG0001447	LOC119655582|XP_037917453.1|HILL	LOC120451549|XP_039491270.1|DSAN
OG0001448	LOC119652654|XP_037912834.1|HILL	LOC120451383|XP_039490975.1|DSAN
OG0001449	LOC119650287|XP_037908845.1|HILL	LOC120447249|XP_039484709.1|DSAN
OG0001450	LOC119657746|XP_037920724.1|HILL	LOC120449578|XP_039488069.1|DSAN
OG0001451	LOC119661787|XP_037927198.1|HILL	LOC120456009|XP_039498504.1|DSAN
OG0001452	LOC119647289|XP_037904121.1|HILL	LOC120444979|XP_039480938.1|DSAN
OG0001453	LOC119649865|XP_037908164.1|HILL	LOC120448892|XP_039487043.1|DSAN
OG0001454	LOC119659256|XP_037923175.1|HILL	LOC120451241|XP_039490687.1|DSAN
OG0001455	LOC119648164|XP_037905667.1|HILL	LOC120449688|XP_039488238.1|DSAN
OG0001456	LOC119649465|XP_037907551.1|HILL	LOC120446604|XP_039483779.1|DSAN
OG0001457	LOC119661698|XP_037927072.1|HILL	LOC120446991|XP_039484226.1|DSAN
OG0001458	LOC119646766|XP_037903273.1|HILL	LOC120446034|XP_039482731.1|DSAN
OG0001459	LOC119649746|XP_037907963.1|HILL	LOC120449961|XP_039488597.1|DSAN
OG0001460	LOC119647907|XP_037905148.1|HILL	LOC120443760|XP_039479020.1|DSAN, LOC120450648|XP_039489743.1|DSAN
OG0001461	LOC119655555|XP_037917406.1|HILL	LOC120455077|XP_039496869.1|DSAN
OG0001462	LOC119647439|XP_037904286.1|HILL	LOC120447806|XP_039485316.1|DSAN
OG0001463	LOC119658997|XP_037922807.1|HILL	LOC120452566|XP_039492779.1|DSAN
OG0001464	LOC119660865|XP_037925689.1|HILL	LOC120455978|XP_039498465.1|DSAN
OG0001465	LOC119661306|XP_037926524.1|HILL	LOC120446228|XP_039483029.1|DSAN
OG0001466	LOC119647116|XP_037903831.1|HILL	LOC120444021|XP_039479459.1|DSAN
OG0001467	LOC119646387|XP_037902758.1|HILL	LOC120455306|XP_039497292.1|DSAN
OG0001468	LOC119649357|XP_037907395.1|HILL	LOC120449890|XP_039488503.1|DSAN
OG0001469	LOC119660627|XP_037925261.1|HILL	LOC120447043|XP_039484339.1|DSAN, LOC120452099|XP_039492109.1|DSAN
OG0001470	LOC119650028|XP_037908433.1|HILL	LOC120450602|XP_039489659.1|DSAN
OG0001471	LOC119650245|XP_037908763.1|HILL	LOC120450536|XP_039489561.1|DSAN
OG0001472	LOC119648953|XP_037906799.1|HILL	LOC120449869|XP_039488462.1|DSAN
OG0001474	LOC119655942|XP_037918063.1|HILL	LOC120455541|XP_039497813.1|DSAN
OG0001475	LOC119646535|XP_037902929.1|HILL	LOC120443989|XP_039479397.1|DSAN
OG0001476	LOC119646631|XP_037903069.1|HILL	LOC120457175|XP_039500402.1|DSAN
OG0001477	LOC119653829|XP_037914803.1|HILL	LOC120451227|XP_039490647.1|DSAN
OG0001478	LOC119652561|XP_037912697.1|HILL, LOC119652209|XP_037912077.1|HILL	LOC120454132|XP_039495113.1|DSAN
OG0001480	LOC119661320|XP_037926543.1|HILL	LOC120449709|XP_039488263.1|DSAN
OG0001481	LOC119652936|XP_037913257.1|HILL	LOC120446505|XP_039483446.1|DSAN
OG0001482	LOC119653980|XP_037915070.1|HILL	LOC120446188|XP_039482969.1|DSAN
OG0001483	LOC119653092|XP_037913523.1|HILL	LOC120457496|XP_039500983.1|DSAN
OG0001484	LOC119647542|XP_037904460.1|HILL, LOC119647544|XP_037904463.1|HILL	LOC120449856|XP_039488453.1|DSAN
OG0001485	LOC119649244|XP_037907238.1|HILL	LOC120449474|XP_039487883.1|DSAN
OG0001486	LOC119652475|XP_037912573.1|HILL	LOC120458211|XP_039501722.1|DSAN
OG0001487	LOC119651066|XP_037910330.1|HILL	LOC120447056|XP_039484383.1|DSAN
OG0001488	LOC119661214|XP_037926365.1|HILL, LOC119657365|XP_037920176.1|HILL, LOC119661305|XP_037926523.1|HILL, LOC119651417|XP_037910940.1|HILL, LOC119661215|XP_037926367.1|HILL	LOC120446626|XP_039483620.1|DSAN
OG0001489	LOC119651713|XP_037911355.1|HILL	LOC120446591|XP_039483546.1|DSAN
OG0001490	LOC119651715|XP_037911364.1|HILL	LOC120449264|XP_039487584.1|DSAN
OG0001491	LOC119646618|XP_037903052.1|HILL	LOC120450194|XP_039488997.1|DSAN
OG0001493	LOC119655859|XP_037917907.1|HILL	LOC120455096|XP_039496907.1|DSAN
OG0001494	LOC119655481|XP_037917309.1|HILL	LOC120455795|XP_039498186.1|DSAN
OG0001495	LOC119653406|XP_037913898.1|HILL	LOC120443949|XP_039479335.1|DSAN
OG0001496	LOC119655329|XP_037917098.1|HILL	LOC120456222|XP_039498839.1|DSAN
OG0001497	LOC119657909|XP_037921011.1|HILL	LOC120457997|XP_039501423.1|DSAN
OG0001498	LOC119659865|XP_037924105.1|HILL	LOC120451922|XP_039491869.1|DSAN
OG0001500	LOC119655204|XP_037916903.1|HILL	LOC120444633|XP_039480373.1|DSAN
OG0001501	LOC119659833|XP_037924057.1|HILL, LOC119660373|XP_037924818.1|HILL	LOC120453236|XP_039493771.1|DSAN
OG0001502	LOC119652025|XP_037911887.1|HILL, LOC119660909|XP_037925784.1|HILL	LOC120444919|XP_039480847.1|DSAN
OG0001503	LOC119655492|XP_037917322.1|HILL	LOC120450059|XP_039488754.1|DSAN
OG0001504	LOC119656214|XP_037918538.1|HILL	LOC120457172|XP_039500400.1|DSAN
OG0001506	LOC119655596|XP_037917481.1|HILL	LOC120446631|XP_039483627.1|DSAN
OG0001507	LOC119655846|XP_037917889.1|HILL	LOC120445640|XP_039482115.1|DSAN
OG0001508	LOC119655979|XP_037918140.1|HILL, LOC119655613|XP_037917511.1|HILL	LOC120445648|XP_039482124.1|DSAN
OG0001509	LOC119656162|XP_037918432.1|HILL	LOC120446804|XP_039483898.1|DSAN
OG0001510	LOC119650653|XP_037909517.1|HILL	LOC120443771|XP_039478999.1|DSAN
OG0001511	LOC119653884|XP_037914930.1|HILL	LOC120445892|XP_039482478.1|DSAN
OG0001512	LOC119655067|XP_037916688.1|HILL	LOC120448529|XP_039486503.1|DSAN
OG0001513	LOC119649806|XP_037908045.1|HILL	LOC120447830|XP_039485351.1|DSAN
OG0001515	LOC119655346|XP_037917125.1|HILL	LOC120454968|XP_039496683.1|DSAN
OG0001517	LOC119657938|XP_037921054.1|HILL	LOC120453454|XP_039494103.1|DSAN, LOC120452855|XP_039493230.1|DSAN
OG0001518	LOC119651003|XP_037910217.1|HILL, LOC119651847|XP_037911574.1|HILL, LOC119651848|XP_037911577.1|HILL, LOC119651841|XP_037911567.1|HILL, LOC119651846|XP_037911573.1|HILL, LOC119651844|XP_037911571.1|HILL, LOC119651843|XP_037911570.1|HILL, LOC119651842|XP_037911568.1|HILL	LOC120456500|XP_039499301.1|DSAN
OG0001519	LOC119648557|XP_037906255.1|HILL, LOC119659587|XP_037923674.1|HILL, LOC119648556|XP_037906254.1|HILL	LOC120452172|XP_039492213.1|DSAN
OG0001524	LOC119646742|XP_037903249.1|HILL	LOC120444930|XP_039480865.1|DSAN, LOC120446019|XP_039482708.1|DSAN
OG0001527	LOC119657502|XP_037920364.1|HILL	LOC120455960|XP_039498438.1|DSAN
OG0001534	LOC119656541|XP_037918815.1|HILL	LOC120457401|XP_039500914.1|DSAN
OG0001535	LOC119657486|XP_037920336.1|HILL	LOC120456328|XP_039499030.1|DSAN
OG0001536	LOC119646612|XP_037903042.1|HILL	LOC120456719|XP_039499634.1|DSAN
OG0001537	LOC119657890|XP_037920961.1|HILL	LOC120458334|XP_039501885.1|DSAN
OG0001538	LOC119657148|XP_037919853.1|HILL, LOC119649612|XP_037907760.1|HILL, LOC119656720|XP_037919175.1|HILL, LOC119656719|XP_037919174.1|HILL	LOC120455797|XP_039498189.1|DSAN
OG0001539	LOC119656642|XP_037919018.1|HILL	LOC120444548|XP_039480232.1|DSAN
OG0001540	LOC119652333|XP_037912272.1|HILL	LOC120443850|XP_039479145.1|DSAN
OG0001541	LOC119661222|XP_037926404.1|HILL, LOC119660851|XP_037926108.1|HILL, LOC119660158|XP_037924890.1|HILL, LOC119646856|XP_037903407.1|HILL, LOC119658780|XP_037922410.1|HILL	LOC120448849|XP_039486989.1|DSAN
OG0001542	LOC119655166|XP_037916846.1|HILL	LOC120452407|XP_039492559.1|DSAN
OG0001543	LOC119656597|XP_037918952.1|HILL	LOC120455706|XP_039498048.1|DSAN
OG0001544	LOC119657629|XP_037920561.1|HILL	LOC120456712|XP_039499628.1|DSAN
OG0001545	LOC119657564|XP_037920451.1|HILL, LOC119657548|XP_037920428.1|HILL	LOC120456805|XP_039499776.1|DSAN
OG0001546	LOC119656786|XP_037919302.1|HILL	LOC120455592|XP_039497898.1|DSAN
OG0001548	LOC119657373|XP_037920185.1|HILL	LOC120457264|XP_039500612.1|DSAN
OG0001549	LOC119650735|XP_037909704.1|HILL	LOC120445172|XP_039481306.1|DSAN
OG0001550	LOC119658946|XP_037922743.1|HILL	LOC120452823|XP_039493162.1|DSAN
OG0001551	LOC119652541|XP_037912674.1|HILL	LOC120452630|XP_039492873.1|DSAN
OG0001552	LOC119651886|XP_037911635.1|HILL	LOC120451418|XP_039491022.1|DSAN
OG0001553	LOC119653576|XP_037914245.1|HILL	LOC120456822|XP_039499805.1|DSAN
OG0001554	LOC119651111|XP_037910405.1|HILL	LOC120450988|XP_039490225.1|DSAN
OG0001555	LOC119661540|XP_037926852.1|HILL, LOC119659822|XP_037924038.1|HILL	LOC120446419|XP_039483312.1|DSAN
OG0001556	LOC119659266|XP_037923193.1|HILL	LOC120445918|XP_039482509.1|DSAN
OG0001557	LOC119660775|XP_037925478.1|HILL	LOC120455073|XP_039496858.1|DSAN
OG0001558	LOC119658461|XP_037921793.1|HILL	LOC120455877|XP_039498290.1|DSAN
OG0001559	LOC119652859|XP_037913143.1|HILL	LOC120453340|XP_039493939.1|DSAN
OG0001560	LOC119658725|XP_037922308.1|HILL	LOC120453140|XP_039493624.1|DSAN
OG0001561	LOC119652816|XP_037913068.1|HILL, LOC119652603|XP_037912763.1|HILL	LOC120452758|XP_039493074.1|DSAN
OG0001562	LOC119649645|XP_037907828.1|HILL	LOC120444248|XP_039479698.1|DSAN
OG0001563	LOC119656807|XP_037919347.1|HILL	LOC120448667|XP_039486738.1|DSAN
OG0001564	LOC119650926|XP_037910081.1|HILL	LOC120450767|XP_039489841.1|DSAN
OG0001565	LOC119659375|XP_037923359.1|HILL	LOC120453472|XP_039494135.1|DSAN
OG0001566	LOC119653247|XP_037913780.1|HILL	LOC120451453|XP_039491066.1|DSAN
OG0001567	LOC119655577|XP_037917438.1|HILL	LOC120446531|XP_039483478.1|DSAN
OG0001569	LOC119651771|XP_037911451.1|HILL	LOC120453901|XP_039494760.1|DSAN
OG0001570	LOC119650909|XP_037910058.1|HILL	LOC120451559|XP_039491296.1|DSAN
OG0001571	LOC119653208|XP_037913703.1|HILL	LOC120458298|XP_039501831.1|DSAN
OG0001572	LOC119661524|XP_037926828.1|HILL	LOC120456629|XP_039499485.1|DSAN
OG0001573	LOC119649346|XP_037907382.1|HILL	LOC120448051|XP_039485734.1|DSAN
OG0001574	LOC119649303|XP_037907328.1|HILL, LOC119661447|XP_037926718.1|HILL	LOC120456277|XP_039498949.1|DSAN
OG0001575	LOC119653103|XP_037913546.1|HILL	LOC120451656|XP_039491465.1|DSAN
OG0001576	LOC119646441|XP_037902819.1|HILL	LOC120453231|XP_039493765.1|DSAN
OG0001577	LOC119649888|XP_037908198.1|HILL	LOC120451305|XP_039490804.1|DSAN
OG0001578	LOC119646947|XP_037903570.1|HILL	LOC120444910|XP_039480836.1|DSAN
OG0001579	LOC119661610|XP_037926958.1|HILL	LOC120457217|XP_039500520.1|DSAN
OG0001580	LOC119648793|XP_037906607.1|HILL	LOC120445134|XP_039481219.1|DSAN
OG0001581	LOC119656055|XP_037918254.1|HILL, LOC119649348|XP_037907384.1|HILL	LOC120455705|XP_039498047.1|DSAN
OG0001582	LOC119651815|XP_037911536.1|HILL	LOC120446862|XP_039483996.1|DSAN
OG0001583	LOC119659720|XP_037923903.1|HILL	LOC120448826|XP_039486961.1|DSAN
OG0001585	LOC119656002|XP_037918168.1|HILL	LOC120455020|XP_039496780.1|DSAN
OG0001586	LOC119647932|XP_037905200.1|HILL	LOC120447943|XP_039485555.1|DSAN
OG0001587	LOC119659167|XP_037923046.1|HILL	LOC120458512|XP_039502117.1|DSAN
OG0001588	LOC119658583|XP_037921967.1|HILL	LOC120458150|XP_039501630.1|DSAN
OG0001589	LOC119651375|XP_037910878.1|HILL	LOC120448688|XP_039486773.1|DSAN
OG0001590	LOC119655218|XP_037916923.1|HILL	LOC120447008|XP_039484249.1|DSAN
OG0001591	LOC119650695|XP_037909607.1|HILL	LOC120452048|XP_039492043.1|DSAN
OG0001592	LOC119661690|XP_037927063.1|HILL	LOC120457394|XP_039500902.1|DSAN
OG0001593	LOC119652228|XP_037912113.1|HILL, LOC119652545|XP_037912677.1|HILL	LOC120455638|XP_039498000.1|DSAN
OG0001594	LOC119655867|XP_037917922.1|HILL	LOC120451455|XP_039491071.1|DSAN
OG0001595	LOC119655772|XP_037917759.1|HILL	LOC120445788|XP_039482327.1|DSAN
OG0001596	LOC119648895|XP_037906722.1|HILL, LOC119651016|XP_037910244.1|HILL	LOC120445322|XP_039481577.1|DSAN
OG0001597	LOC119653034|XP_037913409.1|HILL	LOC120455161|XP_039497021.1|DSAN
OG0001598	LOC119653202|XP_037913698.1|HILL	LOC120444216|XP_039479706.1|DSAN, LOC120444130|XP_039479627.1|DSAN
OG0001599	LOC119651069|XP_037910334.1|HILL	LOC120454710|XP_039496194.1|DSAN
OG0001600	LOC119652819|XP_037913074.1|HILL	LOC120449148|XP_039487420.1|DSAN
OG0001601	LOC119650829|XP_037909894.1|HILL	LOC120458579|XP_039502211.1|DSAN
OG0001602	LOC119651030|XP_037910270.1|HILL	LOC120457798|XP_039501232.1|DSAN
OG0001603	LOC119651768|XP_037911436.1|HILL	LOC120458661|XP_039502328.1|DSAN
OG0001604	LOC119655583|XP_037917451.1|HILL	LOC120456460|XP_039499241.1|DSAN
OG0001605	LOC119661250|XP_037926426.1|HILL	LOC120458269|XP_039501796.1|DSAN
OG0001607	LOC119653772|XP_037914699.1|HILL	LOC120445762|XP_039482292.1|DSAN, LOC120457611|XP_039501052.1|DSAN, LOC120457612|XP_039501053.1|DSAN, LOC120457613|XP_039501055.1|DSAN
OG0001608	LOC119651382|XP_037910884.1|HILL	LOC120447097|XP_039484439.1|DSAN
OG0001609	LOC119661337|XP_037926568.1|HILL	LOC120444912|XP_039480839.1|DSAN
OG0001610	LOC119651658|XP_037911273.1|HILL	LOC120445715|XP_039482214.1|DSAN
OG0001611	LOC119659808|XP_037924012.1|HILL	LOC120445690|XP_039482181.1|DSAN
OG0001612	LOC119661586|XP_037926916.1|HILL	LOC120458246|XP_039501768.1|DSAN
OG0001613	LOC119652539|XP_037912671.1|HILL	LOC120458205|XP_039501717.1|DSAN
OG0001614	LOC119646811|XP_037903340.1|HILL	LOC120458471|XP_039502059.1|DSAN
OG0001615	LOC119652569|XP_037912710.1|HILL	LOC120444367|XP_039479901.1|DSAN
OG0001616	LOC119653567|XP_037914212.1|HILL	LOC120444973|XP_039480932.1|DSAN
OG0001617	LOC119650668|XP_037909544.1|HILL	LOC120444587|XP_039480290.1|DSAN
OG0001618	LOC119660942|XP_037925872.1|HILL	LOC120449841|XP_039488435.1|DSAN
OG0001619	LOC119652825|XP_037913082.1|HILL	LOC120453174|XP_039493672.1|DSAN
OG0001620	LOC119653577|XP_037914248.1|HILL	LOC120444678|XP_039480472.1|DSAN
OG0001621	LOC119660108|XP_037924418.1|HILL	LOC120445725|XP_039482227.1|DSAN
OG0001622	LOC119656639|XP_037919011.1|HILL	LOC120455370|XP_039497411.1|DSAN
OG0001623	LOC119646591|XP_037903012.1|HILL	LOC120443867|XP_039479168.1|DSAN
OG0001624	LOC119650947|XP_037910108.1|HILL, LOC119650944|XP_037910102.1|HILL, LOC119650943|XP_037910101.1|HILL, LOC119650946|XP_037910106.1|HILL, LOC119650941|XP_037910099.1|HILL, LOC119650942|XP_037910100.1|HILL	LOC120444004|XP_039479417.1|DSAN
OG0001625	LOC119653174|XP_037913649.1|HILL	LOC120444929|XP_039480864.1|DSAN
OG0001626	LOC119646282|XP_037902618.1|HILL	LOC120458352|XP_039501903.1|DSAN
OG0001627	LOC119659569|XP_037923651.1|HILL	LOC120451479|XP_039491133.1|DSAN
OG0001628	LOC119659955|XP_037924234.1|HILL	LOC120454305|XP_039495437.1|DSAN
OG0001630	LOC119654480|XP_037915829.1|HILL	LOC120451654|XP_039491461.1|DSAN
OG0001631	LOC119660345|XP_037924763.1|HILL	LOC120451271|XP_039490742.1|DSAN
OG0001632	LOC119656711|XP_037919159.1|HILL	LOC120451245|XP_039490697.1|DSAN
OG0001633	LOC119660487|XP_037925004.1|HILL, LOC119659363|XP_037923342.1|HILL, LOC119659880|XP_037924127.1|HILL	LOC120454480|XP_039495748.1|DSAN
OG0001634	LOC119658764|XP_037922390.1|HILL	LOC120452843|XP_039493207.1|DSAN
OG0001635	LOC119660055|XP_037924362.1|HILL	LOC120451787|XP_039491672.1|DSAN
OG0001636	LOC119659847|XP_037924072.1|HILL	LOC120451991|XP_039491953.1|DSAN
OG0001637	LOC119652943|XP_037913260.1|HILL	LOC120451184|XP_039490566.1|DSAN
OG0001638	LOC119651073|XP_037910342.1|HILL	LOC120454984|XP_039496709.1|DSAN
