Orthogroup	HILL.longest_only	ASTE.longest_only
OG0000349	LOC119655419|XP_037917235.1|HILL	LOC118503550|XP_035892846.1|ASTE
OG0000351	LOC119650765|XP_037909794.1|HILL	LOC118511233|XP_035909963.1|ASTE
OG0000351	LOC119651405|XP_037910922.1|HILL	LOC118507479|XP_035901880.1|ASTE
OG0000353	LOC119651137|XP_037910460.1|HILL, LOC119651138|XP_037910461.1|HILL	LOC118505419|XP_035897067.1|ASTE
OG0000353	LOC119650632|XP_037909467.1|HILL	LOC118513375|XP_035914904.1|ASTE
OG0000355	LOC119651943|XP_037911727.1|HILL, LOC119651919|XP_037911679.1|HILL	LOC118511949|XP_035911551.1|ASTE, LOC118511957|XP_035911568.1|ASTE
OG0000356	LOC119653869|XP_037914896.1|HILL	LOC118514079|XP_035916500.1|ASTE, LOC118514082|XP_035916503.1|ASTE
OG0000361	LOC119650707|XP_037909637.1|HILL	LOC118513322|XP_035914823.1|ASTE
OG0000362	LOC119661014|XP_037926089.1|HILL	LOC118507649|XP_035902307.1|ASTE
OG0000362	LOC119650343|XP_037908936.1|HILL	LOC118503889|XP_035893547.1|ASTE
OG0000363	LOC119658613|XP_037922027.1|HILL	LOC118505486|XP_035897205.1|ASTE
OG0000363	LOC119647856|XP_037905052.1|HILL	LOC118516465|XP_035918259.1|ASTE
OG0000364	LOC119647649|XP_037904638.1|HILL	LOC118512126|XP_035911995.1|ASTE
OG0000365	LOC119661181|XP_037926327.1|HILL	LOC118509730|XP_035906745.1|ASTE, LOC118509732|XP_035906749.1|ASTE
OG0000366	LOC119657659|XP_037920611.1|HILL	LOC118506408|XP_035899375.1|ASTE
OG0000366	LOC119660260|XP_037924646.1|HILL	LOC118505495|XP_035897243.1|ASTE
OG0000367	LOC119656020|XP_037918200.1|HILL	LOC118503926|XP_035893649.1|ASTE, LOC118503925|XP_035893648.1|ASTE, LOC118503922|XP_035893639.1|ASTE
OG0000376	LOC119657981|XP_037921121.1|HILL	LOC118505175|XP_035896519.1|ASTE, LOC118502896|XP_035891510.1|ASTE
OG0000377	LOC119657714|XP_037920682.1|HILL, LOC119658208|XP_037921402.1|HILL	LOC118513966|XP_035916281.1|ASTE, LOC118513967|XP_035916284.1|ASTE, LOC118505230|XP_035896653.1|ASTE, LOC118513549|XP_035915329.1|ASTE
OG0000378	LOC119653626|XP_037914331.1|HILL	LOC118503389|XP_035892483.1|ASTE, LOC118503390|XP_035892484.1|ASTE
OG0000379	LOC119654960|XP_037916550.1|HILL	LOC118513082|XP_035914339.1|ASTE
OG0000380	LOC119649204|XP_037907185.1|HILL, LOC119648894|XP_037906719.1|HILL	LOC118512268|XP_035912349.1|ASTE
OG0000381	LOC119650994|XP_037910191.1|HILL	LOC118511804|XP_035911230.1|ASTE
OG0000382	LOC119655629|XP_037917527.1|HILL	LOC118516621|XP_035918491.1|ASTE, LOC118506622|XP_035899884.1|ASTE, LOC118517514|XP_035919631.1|ASTE, LOC118517513|XP_035919630.1|ASTE
OG0000383	LOC119651324|XP_037910786.1|HILL, LOC119651323|XP_037910785.1|HILL	LOC118512038|XP_035911729.1|ASTE, LOC118512580|XP_035913101.1|ASTE
OG0000384	LOC119646972|XP_037903604.1|HILL	LOC118513813|XP_035915934.1|ASTE
OG0000384	LOC119646908|XP_037903506.1|HILL	LOC118513810|XP_035915931.1|ASTE
OG0000385	LOC119657567|XP_037920455.1|HILL	LOC118504037|XP_035893918.1|ASTE
OG0000385	LOC119657354|XP_037920156.1|HILL	LOC118506198|XP_035898898.1|ASTE
OG0000386	LOC119654213|XP_037915353.1|HILL	LOC118503986|XP_035893826.1|ASTE
OG0000389	LOC119652494|XP_037912607.1|HILL	LOC118513407|XP_035915007.1|ASTE
OG0000389	LOC119654826|XP_037916319.1|HILL, LOC119654630|XP_037916029.1|HILL	LOC118504070|XP_035894009.1|ASTE
OG0000390	LOC119650215|XP_037908712.1|HILL, LOC119652123|XP_037911993.1|HILL	LOC118508212|XP_035903682.1|ASTE, LOC118510704|XP_035908796.1|ASTE
OG0000391	LOC119661658|XP_037927019.1|HILL	LOC118511366|XP_035910235.1|ASTE
OG0000391	LOC119655871|XP_037917926.1|HILL	LOC118507349|XP_035901647.1|ASTE
OG0000392	LOC119646917|XP_037903517.1|HILL	LOC118512507|XP_035912914.1|ASTE, LOC118512508|XP_035912916.1|ASTE, LOC118512509|XP_035912917.1|ASTE
OG0000393	LOC119647833|XP_037905009.1|HILL	LOC118509260|XP_035905488.1|ASTE
OG0000394	LOC119655819|XP_037917852.1|HILL, LOC119655820|XP_037917854.1|HILL, LOC119655818|XP_037917851.1|HILL, LOC119655817|XP_037917850.1|HILL, LOC119650578|XP_037909332.1|HILL	LOC118505143|XP_035896397.1|ASTE
OG0000399	LOC119650688|XP_037909578.1|HILL, LOC119652689|XP_037912891.1|HILL	LOC118512672|XP_035913371.1|ASTE
OG0000400	LOC119658131|XP_037921328.1|HILL	LOC118505958|XP_035898385.1|ASTE
OG0000402	LOC119657088|XP_037919771.1|HILL	LOC118505679|XP_035897704.1|ASTE, LOC118505680|XP_035897705.1|ASTE, LOC118505678|XP_035897703.1|ASTE, LOC118505677|XP_035897702.1|ASTE, LOC118505675|XP_035897700.1|ASTE
OG0000403	LOC119660792|XP_037925527.1|HILL, LOC119661317|XP_037926537.1|HILL	LOC118506336|XP_035899212.1|ASTE
OG0000404	LOC119653035|XP_037913410.1|HILL	LOC118502470|XP_035890595.1|ASTE
OG0000405	LOC119651780|XP_037911463.1|HILL	LOC118506903|XP_035900579.1|ASTE
OG0000406	LOC119649727|XP_037907936.1|HILL	LOC118511329|XP_035910149.1|ASTE, LOC118511325|XP_035910142.1|ASTE, LOC118511324|XP_035910141.1|ASTE, LOC118510574|XP_035908457.1|ASTE
OG0000407	LOC119647699|XP_037904709.1|HILL	LOC118512798|XP_035913616.1|ASTE
OG0000408	LOC119652449|XP_037912523.1|HILL	LOC118511339|XP_035910175.1|ASTE
OG0000409	LOC119652426|XP_037912477.1|HILL	LOC118509161|XP_035905302.1|ASTE
OG0000410	LOC119651826|XP_037911546.1|HILL	LOC118512584|XP_035913107.1|ASTE
OG0000411	LOC119660621|XP_037925251.1|HILL	LOC118502618|XP_035890884.1|ASTE
OG0000411	LOC119653223|XP_037913732.1|HILL	LOC118510782|XP_035908961.1|ASTE
OG0000412	LOC119660752|XP_037925442.1|HILL, LOC119648053|XP_037905443.1|HILL	LOC118504712|XP_035895440.1|ASTE, LOC118504711|XP_035895437.1|ASTE
OG0000413	LOC119659104|XP_037922954.1|HILL, LOC119659105|XP_037922955.1|HILL, LOC119659106|XP_037922957.1|HILL	LOC118508262|XP_035903785.1|ASTE
OG0000414	LOC119653685|XP_037914474.1|HILL	LOC118503670|XP_035893102.1|ASTE
OG0000415	LOC119655557|XP_037917409.1|HILL	LOC118508405|XP_035904060.1|ASTE
OG0000416	LOC119657449|XP_037920289.1|HILL	LOC118507749|XP_035902652.1|ASTE
OG0000416	LOC119657276|XP_037920043.1|HILL	LOC118504808|XP_035895706.1|ASTE
OG0000417	LOC119651515|XP_037911072.1|HILL	LOC118508484|XP_035904194.1|ASTE
OG0000417	LOC119650792|XP_037909843.1|HILL	LOC118503054|XP_035891810.1|ASTE
OG0000418	LOC119658337|XP_037921610.1|HILL	LOC118511011|XP_035909425.1|ASTE
OG0000419	LOC119647268|XP_037904086.1|HILL	LOC118509659|XP_035906513.1|ASTE
OG0000420	LOC119659376|XP_037923367.1|HILL	LOC118510305|XP_035907827.1|ASTE, LOC118512846|XP_035913802.1|ASTE, LOC118512852|XP_035913815.1|ASTE
OG0000421	LOC119650957|XP_037910126.1|HILL	LOC118509291|XP_035905600.1|ASTE
OG0000421	LOC119653923|XP_037915014.1|HILL	LOC118514675|XP_035917611.1|ASTE
OG0000422	LOC119659457|XP_037923469.1|HILL	LOC118514284|XP_035916919.1|ASTE, LOC118514285|XP_035916920.1|ASTE, LOC118506620|XP_035899881.1|ASTE
OG0000423	LOC119653623|XP_037914324.1|HILL, LOC119653616|XP_037914313.1|HILL, LOC119653433|XP_037913942.1|HILL	LOC118504619|XP_035895193.1|ASTE
OG0000424	LOC119654257|XP_037915442.1|HILL, LOC119654258|XP_037915448.1|HILL	LOC118517218|XP_035919093.1|ASTE, LOC118505272|XP_035896721.1|ASTE
OG0000425	LOC119656034|XP_037918229.1|HILL	LOC118517690|XP_035920002.1|ASTE
OG0000425	LOC119654479|XP_037915828.1|HILL	LOC118517694|XP_035920010.1|ASTE
OG0000426	LOC119652996|XP_037913351.1|HILL, LOC119650213|XP_037908706.1|HILL, LOC119648772|XP_037906533.1|HILL, LOC119649890|XP_037908208.1|HILL	LOC118507414|XP_035901770.1|ASTE
OG0000433	LOC119658708|XP_037922249.1|HILL	LOC118505165|XP_035896463.1|ASTE
OG0000433	LOC119650212|XP_037908705.1|HILL	LOC118512855|XP_035913824.1|ASTE
OG0000434	LOC119659474|XP_037923508.1|HILL	LOC118517616|XP_035919805.1|ASTE
OG0000435	LOC119657374|XP_037920187.1|HILL	LOC118507860|XP_035902949.1|ASTE
OG0000437	LOC119651355|XP_037910846.1|HILL	LOC118508849|XP_035904493.1|ASTE, LOC118511583|XP_035910726.1|ASTE
OG0000437	LOC119661162|XP_037926307.1|HILL	LOC118510312|XP_035907842.1|ASTE
OG0000438	LOC119661411|XP_037926673.1|HILL	LOC118513845|XP_035916016.1|ASTE
OG0000439	LOC119651351|XP_037910838.1|HILL	LOC118512646|XP_035913255.1|ASTE
OG0000439	LOC119650255|XP_037908775.1|HILL	LOC118507322|XP_035901602.1|ASTE
OG0000440	LOC119647315|XP_037904170.1|HILL	LOC118512560|XP_035913042.1|ASTE
OG0000441	LOC119659765|XP_037923953.1|HILL, LOC119657458|XP_037920302.1|HILL, LOC119657627|XP_037920559.1|HILL, LOC119658141|XP_037921337.1|HILL, LOC119657726|XP_037920697.1|HILL, LOC119656852|XP_037919432.1|HILL	LOC118514050|XP_035919001.1|ASTE, LOC118513749|XP_035915802.1|ASTE
OG0000442	LOC119658576|XP_037921952.1|HILL	LOC118504217|XP_035894316.1|ASTE
OG0000443	LOC119649255|XP_037907251.1|HILL	LOC118507285|XP_035901528.1|ASTE
OG0000444	LOC119648079|XP_037905493.1|HILL, LOC119648080|XP_037905494.1|HILL, LOC119650202|XP_037908696.1|HILL, LOC119648810|XP_037906588.1|HILL	LOC118507267|XP_035901459.1|ASTE, LOC118507257|XP_035901439.1|ASTE, LOC118504142|XP_035894133.1|ASTE
OG0000448	LOC119650667|XP_037909547.1|HILL	LOC118513273|XP_035914735.1|ASTE
OG0000449	LOC119654328|XP_037915585.1|HILL	LOC118517706|XP_035920035.1|ASTE
OG0000449	LOC119654797|XP_037916274.1|HILL	LOC118507943|XP_035903161.1|ASTE
OG0000450	LOC119657601|XP_037920517.1|HILL	LOC118517463|XP_035919517.1|ASTE
OG0000450	LOC119656646|XP_037919031.1|HILL	LOC118517465|XP_035919527.1|ASTE
OG0000451	LOC119656757|XP_037919252.1|HILL	LOC118511200|XP_035909872.1|ASTE, LOC118517335|XP_035919212.1|ASTE
OG0000451	LOC119657306|XP_037920093.1|HILL	LOC118517725|XP_035920069.1|ASTE
OG0000453	LOC119657350|XP_037920152.1|HILL	LOC118505626|XP_035897592.1|ASTE, LOC118505625|XP_035897590.1|ASTE
OG0000454	LOC119646996|XP_037903646.1|HILL	LOC118514430|XP_035917226.1|ASTE
OG0000455	LOC119661272|XP_037926468.1|HILL	LOC118509728|XP_035906743.1|ASTE
OG0000456	LOC119660708|XP_037925268.1|HILL	LOC118513206|XP_035914598.1|ASTE
OG0000456	LOC119650840|XP_037909908.1|HILL	LOC118514158|XP_035916683.1|ASTE
OG0000457	LOC119650711|XP_037909644.1|HILL	LOC118513461|XP_035915122.1|ASTE
OG0000457	LOC119651240|XP_037910647.1|HILL	LOC118512640|XP_035913235.1|ASTE
OG0000458	LOC119658491|XP_037921882.1|HILL	LOC118512626|XP_035913215.1|ASTE, LOC118512628|XP_035913217.1|ASTE, LOC118512625|XP_035913213.1|ASTE, LOC118512627|XP_035913216.1|ASTE, LOC118512621|XP_035913194.1|ASTE, LOC118513387|XP_035914949.1|ASTE
OG0000460	LOC119661481|XP_037926774.1|HILL	LOC118510053|XP_035907335.1|ASTE
OG0000465	LOC119651652|XP_037911262.1|HILL, LOC119651651|XP_037911257.1|HILL	LOC118507839|XP_035902847.1|ASTE
OG0000466	LOC119652476|XP_037912578.1|HILL	LOC118502878|XP_035891488.1|ASTE
OG0000466	LOC119661330|XP_037926559.1|HILL	LOC118508980|XP_035904859.1|ASTE
OG0000467	LOC119661560|XP_037926879.1|HILL, LOC119646298|XP_037902640.1|HILL	LOC118508869|XP_035904551.1|ASTE
OG0000468	LOC119660125|XP_037924447.1|HILL	LOC118504246|XP_035894362.1|ASTE
OG0000468	LOC119661743|XP_037927136.1|HILL	LOC118512945|XP_035914055.1|ASTE
OG0000469	LOC119647237|XP_037904027.1|HILL, LOC119656080|XP_037918298.1|HILL	LOC118510739|XP_035908849.1|ASTE
OG0000470	LOC119650356|XP_037908966.1|HILL	LOC118508249|XP_035903756.1|ASTE
OG0000470	LOC119649541|XP_037907656.1|HILL	LOC118507386|XP_035901732.1|ASTE
OG0000471	LOC119646402|XP_037902775.1|HILL, LOC119647055|XP_037903740.1|HILL	LOC118512976|XP_035914102.1|ASTE
OG0000474	LOC119657943|XP_037921063.1|HILL	LOC118513494|XP_035915262.1|ASTE
OG0000475	LOC119650677|XP_037909555.1|HILL	LOC118507516|XP_035901965.1|ASTE
OG0000476	LOC119652617|XP_037912785.1|HILL, LOC119650856|XP_037909934.1|HILL	LOC118507686|XP_035902381.1|ASTE
OG0000477	LOC119650705|XP_037909632.1|HILL, LOC119651325|XP_037910788.1|HILL	LOC118502859|XP_035891460.1|ASTE, LOC118502860|XP_035891461.1|ASTE
OG0000479	LOC119649774|XP_037908003.1|HILL, LOC119648325|XP_037905946.1|HILL	LOC118510580|XP_035908465.1|ASTE, LOC118511908|XP_035911436.1|ASTE
OG0000480	LOC119656137|XP_037918398.1|HILL	LOC118509317|XP_035905663.1|ASTE
OG0000482	LOC119659577|XP_037923662.1|HILL	LOC118506564|XP_035899779.1|ASTE
OG0000483	LOC119659859|XP_037924096.1|HILL, LOC119646250|XP_037902571.1|HILL, LOC119647184|XP_037903921.1|HILL, LOC119647183|XP_037903920.1|HILL	LOC118504510|XP_035894934.1|ASTE, LOC118504512|XP_035894937.1|ASTE
OG0000484	LOC119658954|XP_037922754.1|HILL, LOC119658953|XP_037922753.1|HILL	LOC118508428|XP_035904098.1|ASTE
OG0000485	LOC119648226|XP_037905772.1|HILL	LOC118504882|XP_035895831.1|ASTE
OG0000486	LOC119653660|XP_037914412.1|HILL	LOC118517681|XP_035919984.1|ASTE
OG0000489	LOC119658089|XP_037921281.1|HILL	LOC118516505|XP_035918331.1|ASTE
OG0000490	LOC119657695|XP_037920656.1|HILL	LOC118512589|XP_035913124.1|ASTE
OG0000490	LOC119658436|XP_037921765.1|HILL	LOC118508284|XP_035903822.1|ASTE
OG0000491	LOC119648261|XP_037905837.1|HILL	LOC118517081|XP_035918829.1|ASTE, LOC118504998|XP_035896068.1|ASTE
OG0000492	LOC119659843|XP_037924069.1|HILL	LOC118503196|XP_035892071.1|ASTE
OG0000492	LOC119659794|XP_037923991.1|HILL	LOC118511685|XP_035910960.1|ASTE
OG0000494	LOC119660730|XP_037925321.1|HILL	LOC118506499|XP_035899590.1|ASTE
OG0000495	LOC119647993|XP_037905310.1|HILL	LOC118510027|XP_035907307.1|ASTE, LOC118511763|XP_035911128.1|ASTE
OG0000496	LOC119650970|XP_037910158.1|HILL	LOC118510796|XP_035908995.1|ASTE
OG0000496	LOC119651936|XP_037911713.1|HILL	LOC118510797|XP_035909001.1|ASTE
OG0000497	LOC119661602|XP_037926930.1|HILL	LOC118510659|XP_035908677.1|ASTE
OG0000498	LOC119656972|XP_037919630.1|HILL, LOC119648555|XP_037906280.1|HILL, LOC119646198|XP_037902509.1|HILL, LOC119647192|XP_037903932.1|HILL	LOC118504511|XP_035894936.1|ASTE
OG0000499	LOC119655299|XP_037917052.1|HILL	LOC118510945|XP_035909276.1|ASTE
OG0000500	LOC119649406|XP_037907469.1|HILL	LOC118503087|XP_035891864.1|ASTE
OG0000504	LOC119649782|XP_037908015.1|HILL	LOC118509587|XP_035906250.1|ASTE, LOC118509584|XP_035906247.1|ASTE, LOC118509583|XP_035906246.1|ASTE, LOC118509586|XP_035906249.1|ASTE, LOC118509585|XP_035906248.1|ASTE
OG0000505	LOC119657570|XP_037920458.1|HILL, LOC119657413|XP_037920235.1|HILL	LOC118506652|XP_035899953.1|ASTE, LOC118506634|XP_035899902.1|ASTE
OG0000506	LOC119651603|XP_037911184.1|HILL	LOC118507793|XP_035902736.1|ASTE, LOC118502973|XP_035891637.1|ASTE, LOC118502974|XP_035891639.1|ASTE
OG0000507	LOC119648339|XP_037905962.1|HILL	LOC118514453|XP_035917263.1|ASTE
OG0000507	LOC119652182|XP_037912056.1|HILL	LOC118502886|XP_035891498.1|ASTE
OG0000508	LOC119648498|XP_037906193.1|HILL	LOC118510073|XP_035907361.1|ASTE
OG0000509	LOC119658193|XP_037921390.1|HILL	LOC118514336|XP_035917038.1|ASTE
OG0000509	LOC119646503|XP_037902887.1|HILL	LOC118515884|XP_035917966.1|ASTE, LOC118514333|XP_035917033.1|ASTE
OG0000510	LOC119660366|XP_037924803.1|HILL, LOC119660008|XP_037924313.1|HILL	LOC118511976|XP_035911605.1|ASTE
OG0000511	LOC119652776|XP_037913012.1|HILL, LOC119652931|XP_037913249.1|HILL, LOC119652289|XP_037912214.1|HILL	LOC118511104|XP_035909718.1|ASTE
OG0000512	LOC119653845|XP_037914818.1|HILL, LOC119655068|XP_037916690.1|HILL	LOC118513429|XP_035915048.1|ASTE, LOC118513428|XP_035915046.1|ASTE, LOC118513431|XP_035915052.1|ASTE
OG0000513	LOC119652870|XP_037913157.1|HILL, LOC119651212|XP_037910591.1|HILL, LOC119651501|XP_037911047.1|HILL, LOC119651635|XP_037911227.1|HILL	LOC118513330|XP_035914837.1|ASTE
OG0000514	LOC119646131|XP_037902408.1|HILL, LOC119661601|XP_037926929.1|HILL	LOC118510714|XP_035908806.1|ASTE
OG0000515	LOC119660807|XP_037925575.1|HILL, LOC119648428|XP_037906110.1|HILL	LOC118503970|XP_035893785.1|ASTE, LOC118503968|XP_035893780.1|ASTE
OG0000516	LOC119655902|XP_037917986.1|HILL, LOC119655903|XP_037917987.1|HILL	LOC118502624|XP_035890896.1|ASTE, LOC118502623|XP_035890894.1|ASTE
OG0000517	LOC119647446|XP_037904299.1|HILL	LOC118508089|XP_035903461.1|ASTE
OG0000521	LOC119658261|XP_037921481.1|HILL	LOC118503214|XP_035892100.1|ASTE
OG0000522	LOC119656723|XP_037919178.1|HILL	LOC118504331|XP_035894563.1|ASTE
OG0000523	LOC119650710|XP_037909643.1|HILL	LOC118506898|XP_035900571.1|ASTE
OG0000523	LOC119656872|XP_037919458.1|HILL	LOC118506073|XP_035898633.1|ASTE
OG0000524	LOC119651168|XP_037910515.1|HILL	LOC118510198|XP_035907622.1|ASTE
OG0000525	LOC119659179|XP_037923064.1|HILL, LOC119659178|XP_037923063.1|HILL, LOC119659013|XP_037922825.1|HILL	LOC118508949|XP_035904756.1|ASTE
OG0000526	LOC119651156|XP_037910492.1|HILL	LOC118511037|XP_035909521.1|ASTE
OG0000527	LOC119649636|XP_037907814.1|HILL	LOC118511075|XP_035909634.1|ASTE, LOC118511077|XP_035909640.1|ASTE
OG0000528	LOC119656123|XP_037918378.1|HILL, LOC119655675|XP_037917593.1|HILL, LOC119654042|XP_037915133.1|HILL, LOC119654043|XP_037915134.1|HILL	LOC118513942|XP_035916218.1|ASTE, LOC118513508|XP_035915251.1|ASTE
OG0000529	LOC119661253|XP_037926429.1|HILL	LOC118513864|XP_035916059.1|ASTE
OG0000530	LOC119649071|XP_037906991.1|HILL, LOC119648770|XP_037906525.1|HILL	LOC118509091|XP_035905129.1|ASTE
OG0000531	LOC119651247|XP_037910655.1|HILL	LOC118514636|XP_035917540.1|ASTE
OG0000532	LOC119659773|XP_037923962.1|HILL, LOC119659624|XP_037923752.1|HILL, LOC119658879|XP_037922578.1|HILL, LOC119658880|XP_037922579.1|HILL, LOC119660520|XP_037925069.1|HILL, LOC119659491|XP_037923537.1|HILL	LOC118503682|XP_035893117.1|ASTE, LOC118517098|XP_035918848.1|ASTE
OG0000533	LOC119657802|XP_037920826.1|HILL	LOC118517490|XP_035919581.1|ASTE
OG0000533	LOC119659208|XP_037923104.1|HILL	LOC118507960|XP_035903180.1|ASTE
OG0000534	LOC119654027|XP_037915117.1|HILL	LOC118508215|XP_035903689.1|ASTE
OG0000535	LOC119654975|XP_037916563.1|HILL	LOC118504114|XP_035894098.1|ASTE
OG0000536	LOC119649925|XP_037908256.1|HILL	LOC118504054|XP_035893978.1|ASTE
OG0000537	LOC119656131|XP_037918391.1|HILL	LOC118505997|XP_035898468.1|ASTE
OG0000538	LOC119653804|XP_037914750.1|HILL	LOC118506098|XP_035898675.1|ASTE
OG0000539	LOC119659391|XP_037923380.1|HILL, LOC119660385|XP_037924838.1|HILL, LOC119659605|XP_037923704.1|HILL, LOC119660298|XP_037924699.1|HILL	LOC118508392|XP_035904035.1|ASTE
OG0000542	LOC119658932|XP_037922694.1|HILL, LOC119659583|XP_037923667.1|HILL	LOC118515253|XP_035917832.1|ASTE, LOC118512691|XP_035913377.1|ASTE, LOC118507284|XP_035901526.1|ASTE
OG0000543	LOC119650586|XP_037909350.1|HILL	LOC118503113|XP_035891949.1|ASTE, LOC118503120|XP_035891962.1|ASTE
OG0000544	LOC119656656|XP_037919055.1|HILL	LOC118511902|XP_035911464.1|ASTE
OG0000545	LOC119658244|XP_037921449.1|HILL	LOC118507911|XP_035903096.1|ASTE
OG0000546	LOC119657382|XP_037920195.1|HILL	LOC118508578|XP_035904374.1|ASTE
OG0000547	LOC119647208|XP_037903959.1|HILL	LOC118517015|XP_035918760.1|ASTE, LOC118508923|XP_035904699.1|ASTE
OG0000548	LOC119648167|XP_037905674.1|HILL	LOC118514395|XP_035917169.1|ASTE
OG0000549	LOC119660128|XP_037924458.1|HILL	LOC118512873|XP_035913859.1|ASTE, LOC118510278|XP_035907786.1|ASTE, LOC118514282|XP_035916917.1|ASTE
OG0000550	LOC119650203|XP_037908697.1|HILL	LOC118513463|XP_035915131.1|ASTE
OG0000551	LOC119651002|XP_037910220.1|HILL	LOC118504535|XP_035894986.1|ASTE
OG0000551	LOC119661503|XP_037926798.1|HILL	LOC118502486|XP_035890611.1|ASTE
OG0000552	LOC119657020|XP_037919696.1|HILL, LOC119657023|XP_037919700.1|HILL, LOC119657073|XP_037919758.1|HILL, LOC119656915|XP_037919535.1|HILL	LOC118506896|XP_035900569.1|ASTE
OG0000553	LOC119652353|XP_037912361.1|HILL, LOC119651107|XP_037910399.1|HILL, LOC119652197|XP_037912068.1|HILL, LOC119652782|XP_037913025.1|HILL, LOC119652904|XP_037913208.1|HILL, LOC119652988|XP_037913340.1|HILL, LOC119653119|XP_037913572.1|HILL, LOC119652708|XP_037912917.1|HILL, LOC119652693|XP_037912898.1|HILL, LOC119651106|XP_037910398.1|HILL	LOC118510605|XP_035908506.1|ASTE
OG0000554	LOC119651856|XP_037911586.1|HILL, LOC119652805|XP_037913057.1|HILL	LOC118504452|XP_035894837.1|ASTE, LOC118502445|XP_035890567.1|ASTE
OG0000555	LOC119648055|XP_037905444.1|HILL	LOC118506682|XP_035900029.1|ASTE
OG0000556	LOC119659049|XP_037922885.1|HILL	LOC118505119|XP_035896326.1|ASTE
OG0000557	LOC119659626|XP_037923754.1|HILL	LOC118507592|XP_035902152.1|ASTE
OG0000558	LOC119659239|XP_037923147.1|HILL	LOC118507689|XP_035902384.1|ASTE
OG0000559	LOC119647433|XP_037904272.1|HILL	LOC118505970|XP_035898407.1|ASTE
OG0000560	LOC119654637|XP_037916040.1|HILL, LOC119654995|XP_037916590.1|HILL	LOC118507215|XP_035901208.1|ASTE
OG0000561	LOC119650153|XP_037908622.1|HILL	LOC118507251|XP_035901427.1|ASTE
OG0000562	LOC119649585|XP_037907718.1|HILL	LOC118507448|XP_035901825.1|ASTE
OG0000566	LOC119660791|XP_037925522.1|HILL	LOC118507292|XP_035901548.1|ASTE
OG0000567	LOC119657916|XP_037921030.1|HILL	LOC118503035|XP_035891764.1|ASTE
OG0000567	LOC119658459|XP_037921792.1|HILL	LOC118503006|XP_035891713.1|ASTE
OG0000568	LOC119651423|XP_037910946.1|HILL	LOC118504788|XP_035895651.1|ASTE
OG0000569	LOC119652715|XP_037912930.1|HILL	LOC118506489|XP_035899567.1|ASTE
OG0000570	LOC119651757|XP_037911423.1|HILL, LOC119651789|XP_037911477.1|HILL	LOC118504677|XP_035895376.1|ASTE, LOC118517181|XP_035918986.1|ASTE
OG0000571	LOC119650737|XP_037909726.1|HILL, LOC119651824|XP_037911543.1|HILL	LOC118511968|XP_035911592.1|ASTE
OG0000572	LOC119656874|XP_037919466.1|HILL	LOC118508887|XP_035904609.1|ASTE
OG0000573	LOC119647662|XP_037904661.1|HILL	LOC118513083|XP_035914344.1|ASTE, LOC118513081|XP_035914337.1|ASTE
OG0000574	LOC119648800|XP_037906577.1|HILL	LOC118510308|XP_035907837.1|ASTE
OG0000575	LOC119649338|XP_037907372.1|HILL	LOC118509655|XP_035906502.1|ASTE
OG0000576	LOC119654044|XP_037915135.1|HILL, LOC119656149|XP_037918413.1|HILL	LOC118513944|XP_035916225.1|ASTE
OG0000577	LOC119647125|XP_037903840.1|HILL	LOC118514080|XP_035916502.1|ASTE
OG0000578	LOC119653922|XP_037915010.1|HILL	LOC118504462|XP_035894854.1|ASTE
OG0000579	LOC119649997|XP_037908386.1|HILL	LOC118505261|XP_035896716.1|ASTE
OG0000580	LOC119659551|XP_037923629.1|HILL	LOC118502357|XP_035890448.1|ASTE
OG0000581	LOC119660219|XP_037924581.1|HILL	LOC118502634|XP_035890961.1|ASTE
OG0000582	LOC119654484|XP_037915832.1|HILL, LOC119655822|XP_037917856.1|HILL	LOC118507364|XP_035901672.1|ASTE
OG0000583	LOC119652023|XP_037911888.1|HILL	LOC118513513|XP_035915263.1|ASTE, LOC118503240|XP_035892142.1|ASTE
OG0000589	LOC119656678|XP_037919091.1|HILL	LOC118516222|XP_035918005.1|ASTE
OG0000590	LOC119657678|XP_037920635.1|HILL	LOC118517509|XP_035919627.1|ASTE
OG0000591	LOC119656505|XP_037918770.1|HILL, LOC119656506|XP_037918771.1|HILL, LOC119656501|XP_037918767.1|HILL, LOC119656502|XP_037918768.1|HILL, LOC119656504|XP_037918769.1|HILL, LOC119656500|XP_037918766.1|HILL, LOC119656507|XP_037918773.1|HILL, LOC119657958|XP_037921088.1|HILL, LOC119658170|XP_037921365.1|HILL, LOC119657615|XP_037920545.1|HILL, LOC119658274|XP_037921493.1|HILL, LOC119657042|XP_037919723.1|HILL	LOC118506959|XP_035900673.1|ASTE, LOC118506661|XP_035899973.1|ASTE, LOC118506660|XP_035899972.1|ASTE, LOC118514701|XP_035917659.1|ASTE, LOC118514702|XP_035917660.1|ASTE, LOC118514700|XP_035917658.1|ASTE, LOC118509953|XP_035907201.1|ASTE, LOC118506666|XP_035899988.1|ASTE
OG0000592	LOC119659301|XP_037923242.1|HILL	LOC118502774|XP_035891260.1|ASTE
OG0000593	LOC119657963|XP_037921095.1|HILL	LOC118505795|XP_035898021.1|ASTE, LOC118511944|XP_035911545.1|ASTE
OG0000594	LOC119650603|XP_037909390.1|HILL	LOC118506452|XP_035899484.1|ASTE
