Orthogroup	HILL.longest_only	DMIR.longest_only
OG0000637	LOC119654896|XP_037916444.1|HILL	LOC108164885|XP_017156323.1|DMIR, LOC108158187|XP_033248192.1|DMIR
OG0000638	LOC119655413|XP_037917226.1|HILL	LOC108157309|XP_017144802.1|DMIR, LOC108161453|XP_017151208.1|DMIR, LOC108164927|XP_017156404.1|DMIR, LOC117186182|XP_033242334.1|DMIR, LOC108151268|XP_017135279.1|DMIR
OG0000639	LOC119650418|XP_037909141.1|HILL	LOC108152078|XP_017136600.1|DMIR
OG0000640	LOC119650863|XP_037909950.1|HILL	LOC117193328|XP_033253947.1|DMIR
OG0000642	LOC119660062|XP_037924369.1|HILL	LOC108164517|XP_033250297.1|DMIR, LOC108163836|XP_017154837.1|DMIR, LOC108163837|XP_033249211.1|DMIR
OG0000644	LOC119661516|XP_037926820.1|HILL	LOC108151253|XP_017135258.1|DMIR, LOC108152757|XP_017137809.1|DMIR
OG0000645	LOC119655188|XP_037916881.1|HILL, LOC119654809|XP_037916292.1|HILL, LOC119653941|XP_037915029.1|HILL, LOC119656165|XP_037918438.1|HILL, LOC119656265|XP_037918614.1|HILL	LOC108163523|XP_033249621.1|DMIR, LOC108163524|XP_017154361.1|DMIR
OG0000646	LOC119652293|XP_037912218.1|HILL	LOC108155918|XP_017142558.1|DMIR, LOC117186943|XP_033244239.1|DMIR
OG0000647	LOC119657425|XP_037920255.1|HILL	LOC108154615|XP_017140421.2|DMIR, LOC108165081|XP_017156620.1|DMIR
OG0000648	LOC119657729|XP_037920700.1|HILL	LOC108165076|XP_017156616.1|DMIR
OG0000649	LOC119656729|XP_037919190.1|HILL	LOC117188655|XP_033248725.1|DMIR, LOC117189217|XP_033250168.1|DMIR
OG0000650	LOC119656608|XP_037918973.1|HILL	LOC108154912|XP_033244844.1|DMIR
OG0000650	LOC119660809|XP_037925577.1|HILL	LOC108164481|XP_017155727.1|DMIR
OG0000651	LOC119651087|XP_037910365.1|HILL	LOC108151855|XP_017136229.1|DMIR, LOC108152898|XP_017138034.1|DMIR
OG0000652	LOC119647563|XP_037904526.1|HILL	LOC117190768|XP_033251720.1|DMIR, LOC108159128|XP_017147609.1|DMIR, LOC108164552|XP_017155854.1|DMIR
OG0000653	LOC119652971|XP_037913303.1|HILL	LOC108154827|XP_017140718.1|DMIR, LOC108156216|XP_017143045.1|DMIR
OG0000654	LOC119648654|XP_037906354.1|HILL	LOC108152239|XP_017136921.1|DMIR
OG0000655	LOC119661453|XP_037926732.1|HILL	LOC108159591|XP_017148531.1|DMIR, LOC117185817|XP_033254279.1|DMIR, LOC117188749|XP_033248941.1|DMIR
OG0000656	LOC119659574|XP_037923659.1|HILL	LOC108154277|XP_017140015.2|DMIR, LOC108154278|XP_017140018.1|DMIR
OG0000657	LOC119647275|XP_037904095.1|HILL	LOC108165394|XP_017156921.1|DMIR
OG0000657	LOC119661159|XP_037926303.1|HILL, LOC119651892|XP_037911641.1|HILL	LOC108162797|XP_017153188.1|DMIR
OG0000658	LOC119653510|XP_037914098.1|HILL	LOC108159010|XP_017147377.1|DMIR, LOC108155981|XP_017142658.1|DMIR
OG0000660	LOC119646862|XP_037903412.1|HILL	LOC108161991|XP_017151948.1|DMIR, LOC108161990|XP_033249466.1|DMIR, LOC108161994|XP_017151951.1|DMIR
OG0000661	LOC119658210|XP_037921405.1|HILL	LOC108151080|XP_017134951.1|DMIR, LOC108163656|XP_033248849.1|DMIR
OG0000662	LOC119649469|XP_037907554.1|HILL	LOC108153236|XP_017138562.1|DMIR, LOC108153761|XP_017139388.1|DMIR
OG0000664	LOC119653762|XP_037914671.1|HILL	LOC108162169|XP_017152252.1|DMIR
OG0000665	LOC119660145|XP_037924473.1|HILL	LOC108157483|XP_017145061.1|DMIR, LOC108157337|XP_017144844.1|DMIR
OG0000666	LOC119659675|XP_037923827.1|HILL	LOC108160416|XP_017149901.1|DMIR, LOC108151708|XP_017135967.1|DMIR
OG0000667	LOC119659459|XP_037923471.1|HILL	LOC108153546|XP_017139105.1|DMIR, LOC108155610|XP_017142024.1|DMIR
OG0000668	LOC119658829|XP_037922491.1|HILL	LOC108157091|XP_017144444.1|DMIR, LOC108155375|XP_017141636.1|DMIR
OG0000670	LOC119654928|XP_037916507.1|HILL	LOC108155223|XP_017141400.1|DMIR
OG0000671	LOC119660816|XP_037925587.1|HILL	LOC108157100|XP_017144456.1|DMIR, LOC108157073|XP_017144397.2|DMIR
OG0000672	LOC119650087|XP_037908523.1|HILL	LOC108165115|XP_017156662.1|DMIR
OG0000673	LOC119660964|XP_037925936.1|HILL	LOC108155609|XP_017142027.1|DMIR, LOC108153078|XP_017138350.1|DMIR
OG0000674	LOC119646666|XP_037903124.1|HILL	LOC117193298|XP_033253928.1|DMIR, LOC117189541|XP_033250572.1|DMIR, LOC117192949|XP_033253564.1|DMIR, LOC117192950|XP_033253566.1|DMIR, LOC117190563|XP_033251512.1|DMIR, LOC117189546|XP_033250582.1|DMIR, LOC117189539|XP_033250568.1|DMIR, LOC117189543|XP_033250576.1|DMIR, LOC117188059|XP_033247208.1|DMIR, LOC117193547|XP_033254183.1|DMIR, LOC117187086|XP_033244841.1|DMIR, LOC117189538|XP_033250566.1|DMIR, LOC117189536|XP_033250562.1|DMIR, LOC117189537|XP_033250564.1|DMIR, LOC117194886|XP_033255238.1|DMIR, LOC117187711|XP_033246347.1|DMIR, LOC117191050|XP_033251912.1|DMIR, LOC117189545|XP_033250581.1|DMIR, LOC108164764|XP_033246628.1|DMIR, LOC117189553|XP_033250590.1|DMIR, LOC117189542|XP_033250574.1|DMIR, LOC117186150|XP_033242223.1|DMIR, LOC117189544|XP_033250579.1|DMIR
OG0000677	LOC119656746|XP_037919233.1|HILL	LOC117185886|XP_033243427.1|DMIR, LOC108152965|XP_033243032.1|DMIR, LOC108158926|XP_017147223.1|DMIR
OG0000678	LOC119659257|XP_037923177.1|HILL	LOC108156434|XP_017143379.1|DMIR, LOC108163583|XP_017154444.1|DMIR
OG0000679	LOC119656788|XP_037919316.1|HILL	LOC108164960|XP_017156457.1|DMIR
OG0000680	LOC119657277|XP_037920044.1|HILL	LOC108164641|XP_033252348.1|DMIR, LOC108164640|XP_017155975.1|DMIR
OG0000681	LOC119656887|XP_037919485.1|HILL	LOC108156738|XP_017143886.1|DMIR, LOC108154583|XP_033248164.1|DMIR
OG0000683	LOC119650893|XP_037910000.1|HILL	LOC108156369|XP_017143264.1|DMIR
OG0000684	LOC119651814|XP_037911533.1|HILL	LOC108157745|XP_017145414.1|DMIR, LOC108155634|XP_017142060.1|DMIR
OG0000685	LOC119650879|XP_037909972.1|HILL	LOC108151777|XP_017136113.1|DMIR, LOC108156088|XP_017142865.1|DMIR
OG0000686	LOC119661265|XP_037926448.1|HILL	LOC108160429|XP_017149921.2|DMIR, LOC117188095|XP_033247316.1|DMIR, LOC108165130|XP_017156684.1|DMIR
OG0000687	LOC119648898|XP_037906728.1|HILL	LOC108165535|XP_017157098.1|DMIR
OG0000688	LOC119655131|XP_037916797.1|HILL	LOC117189311|XP_033250356.1|DMIR, LOC117192394|XP_033252962.1|DMIR, LOC117193867|XP_033254448.1|DMIR, LOC117193863|XP_033254447.1|DMIR, LOC117189317|XP_033250359.1|DMIR, LOC117193855|XP_033254444.1|DMIR, LOC117193859|XP_033254446.1|DMIR, LOC117189315|XP_033250358.1|DMIR, LOC117193871|XP_033254452.1|DMIR, LOC117194302|XP_033254768.1|DMIR, LOC117193870|XP_033254451.1|DMIR, LOC117193311|XP_033253936.1|DMIR, LOC117193313|XP_033253938.1|DMIR, LOC117193310|XP_033253935.1|DMIR, LOC117193312|XP_033253937.1|DMIR, LOC117194301|XP_033254767.1|DMIR, LOC117194884|XP_033255235.1|DMIR, LOC117193309|XP_033253934.1|DMIR, LOC117189309|XP_033250355.1|DMIR, LOC108159063|XP_017147493.1|DMIR
OG0000689	LOC119657177|XP_037919895.1|HILL	LOC108158871|XP_017147100.1|DMIR, LOC117190752|XP_033251706.1|DMIR, LOC108157985|XP_033251705.1|DMIR
OG0000690	LOC119653596|XP_037914274.1|HILL	LOC108153194|XP_017138504.1|DMIR
OG0000691	LOC119649978|XP_037908346.1|HILL	LOC108163455|XP_017154233.1|DMIR, LOC108153043|XP_017138292.1|DMIR
OG0000692	LOC119648625|XP_037906323.1|HILL, LOC119647809|XP_037904952.1|HILL, LOC119652487|XP_037912595.1|HILL	LOC108150859|XP_017134651.1|DMIR, LOC108150954|XP_017134777.2|DMIR
OG0000693	LOC119657578|XP_037920474.1|HILL	LOC108152152|XP_017136761.1|DMIR
OG0000693	LOC119657891|XP_037920962.1|HILL	LOC108157534|XP_017145126.1|DMIR
OG0000694	LOC119653610|XP_037914300.1|HILL	LOC108164638|XP_017155974.1|DMIR, LOC108150755|XP_017134538.1|DMIR
OG0000695	LOC119652336|XP_037912278.1|HILL	LOC108162129|XP_017152197.2|DMIR, LOC108162126|XP_017152192.1|DMIR
OG0000696	LOC119646793|XP_037903310.1|HILL	LOC108163873|XP_033249391.1|DMIR
OG0000696	LOC119661444|XP_037926717.1|HILL	LOC108162702|XP_017153046.1|DMIR, LOC108161285|XP_017150995.1|DMIR, LOC108161295|XP_017151005.1|DMIR, LOC117189087|XP_033249955.1|DMIR, LOC117189089|XP_033249961.1|DMIR
OG0000697	LOC119650562|XP_037909296.1|HILL	LOC108164016|XP_017155084.1|DMIR, LOC108162960|XP_017153447.1|DMIR
OG0000698	LOC119658246|XP_037921452.1|HILL	LOC108164055|XP_017155124.1|DMIR
OG0000698	LOC119647067|XP_037903752.1|HILL	LOC108161709|XP_017151517.1|DMIR
OG0000699	LOC119651230|XP_037910634.1|HILL	LOC108163515|XP_033249235.1|DMIR, LOC108153995|XP_017139578.1|DMIR
OG0000700	LOC119646407|XP_037902779.1|HILL	LOC108164059|XP_017155132.1|DMIR, LOC108164146|XP_033249315.1|DMIR
OG0000701	LOC119646960|XP_037903587.1|HILL	LOC108157945|XP_017145578.1|DMIR, LOC108165313|XP_017156840.1|DMIR
OG0000702	LOC119660330|XP_037924740.1|HILL	LOC108155972|XP_017142646.2|DMIR, LOC108155971|XP_017142638.1|DMIR
OG0000703	LOC119654345|XP_037915612.1|HILL	LOC108163906|XP_017154922.1|DMIR, LOC117185710|XP_033253958.1|DMIR, LOC108158883|XP_017147146.1|DMIR
OG0000704	LOC119656221|XP_037918548.1|HILL	LOC108156039|XP_033247370.1|DMIR, LOC108156236|XP_017143073.1|DMIR
OG0000705	LOC119647711|XP_037904729.1|HILL	LOC108151646|XP_017135841.1|DMIR, LOC108153154|XP_017138446.1|DMIR, LOC108151645|XP_017135839.1|DMIR
OG0000707	LOC119653490|XP_037914046.1|HILL	LOC108156087|XP_017142868.1|DMIR
OG0000708	LOC119656653|XP_037919046.1|HILL	LOC108160052|XP_017149328.1|DMIR, LOC108154386|XP_017140142.1|DMIR
OG0000709	LOC119653532|XP_037914134.1|HILL	LOC108156029|XP_017142770.1|DMIR, LOC108152105|XP_017136649.1|DMIR
OG0000710	LOC119654565|XP_037915943.1|HILL	LOC108157165|XP_017144565.1|DMIR, LOC117193603|XP_033254239.1|DMIR, LOC108159495|XP_017148327.1|DMIR
OG0000711	LOC119656215|XP_037918541.1|HILL	LOC108153724|XP_017139341.1|DMIR, LOC108161471|XP_017151230.1|DMIR
OG0000713	LOC119655497|XP_037917327.1|HILL	LOC108154497|XP_017140286.1|DMIR, LOC108158941|XP_017147250.1|DMIR, LOC117193359|XP_033253965.1|DMIR
OG0000714	LOC119648844|XP_037906647.1|HILL	LOC108157368|XP_017144902.1|DMIR, LOC108152615|XP_017137575.1|DMIR
OG0000716	LOC119649173|XP_037907129.1|HILL	LOC108150822|XP_017134622.1|DMIR, LOC108152960|XP_017138150.1|DMIR
OG0000717	LOC119646150|XP_037902445.1|HILL, LOC119648535|XP_037906231.1|HILL, LOC119650388|XP_037909075.1|HILL, LOC119648930|XP_037906771.1|HILL	LOC108165355|XP_017156878.1|DMIR
OG0000718	LOC119660961|XP_037925932.1|HILL	LOC108164412|XP_017155572.1|DMIR
OG0000719	LOC119649989|XP_037908372.1|HILL, LOC119649354|XP_037907390.1|HILL	LOC108152640|XP_017137620.1|DMIR, LOC108152971|XP_017138183.2|DMIR
OG0000724	LOC119657926|XP_037921041.1|HILL	LOC108163040|XP_017153585.1|DMIR, LOC108155953|XP_017142606.1|DMIR
OG0000726	LOC119653055|XP_037913462.1|HILL	LOC108154125|XP_017139744.1|DMIR, LOC108154123|XP_017139743.1|DMIR
OG0000727	LOC119658886|XP_037922601.1|HILL	LOC108153848|XP_017139435.1|DMIR, LOC117187387|XP_033245830.1|DMIR
OG0000728	LOC119650595|XP_037909372.1|HILL	LOC108153169|XP_017138467.1|DMIR
OG0000729	LOC119652827|XP_037913083.1|HILL	LOC108155651|XP_017142091.2|DMIR, LOC108155652|XP_017142092.1|DMIR
OG0000730	LOC119647745|XP_037904788.1|HILL	LOC108163042|XP_017153582.1|DMIR, LOC108163030|XP_017153563.1|DMIR
OG0000731	LOC119646681|XP_037903161.1|HILL	LOC108152601|XP_017137546.1|DMIR, LOC108160996|XP_017150793.1|DMIR
OG0000732	LOC119648801|XP_037906578.1|HILL	LOC108151599|XP_017135767.1|DMIR, LOC108151597|XP_017135765.1|DMIR
OG0000733	LOC119648378|XP_037906038.1|HILL	LOC108157645|XP_017145281.1|DMIR, LOC108151477|XP_017135599.1|DMIR
OG0000734	LOC119650154|XP_037908624.1|HILL	LOC108164819|XP_017156229.1|DMIR, LOC108152969|XP_017138171.1|DMIR
OG0000735	LOC119651169|XP_037910516.1|HILL	LOC108151098|XP_017134981.1|DMIR
OG0000736	LOC119651873|XP_037911608.1|HILL	LOC108162261|XP_017152397.1|DMIR, LOC108162262|XP_017152398.1|DMIR
OG0000738	LOC119651288|XP_037910731.1|HILL	LOC108163789|XP_017154761.1|DMIR, LOC108162441|XP_017152668.1|DMIR
OG0000739	LOC119659661|XP_037923798.1|HILL	LOC108155982|XP_017142660.1|DMIR, LOC108155983|XP_017142662.1|DMIR
OG0000740	LOC119646987|XP_037903631.1|HILL	LOC108164459|XP_017155679.1|DMIR
OG0000740	LOC119660242|XP_037924623.1|HILL	LOC108157510|XP_033245116.1|DMIR
OG0000741	LOC119660617|XP_037925245.1|HILL	LOC108156391|XP_017143298.1|DMIR, LOC108160112|XP_033243600.1|DMIR
OG0000742	LOC119655245|XP_037916962.1|HILL	LOC108165009|XP_017156532.1|DMIR, LOC108164936|XP_017156414.2|DMIR
OG0000743	LOC119647882|XP_037905097.1|HILL	LOC108151199|XP_017135159.1|DMIR
OG0000744	LOC119654872|XP_037916395.1|HILL, LOC119655078|XP_037916705.1|HILL, LOC119655079|XP_037916706.1|HILL, LOC119653866|XP_037914852.1|HILL	LOC108158491|XP_017146291.1|DMIR
OG0000745	LOC119659729|XP_037923913.1|HILL, LOC119657154|XP_037919858.1|HILL	LOC117192096|XP_033252689.1|DMIR, LOC108158293|XP_017146021.1|DMIR, LOC117192684|XP_033253304.1|DMIR, LOC108159618|XP_017148562.2|DMIR
OG0000746	LOC119654765|XP_037916233.1|HILL	LOC108160300|XP_017149701.1|DMIR
OG0000747	LOC119653703|XP_037914507.1|HILL	LOC108152881|XP_017138003.1|DMIR, LOC108153498|XP_017139038.1|DMIR
OG0000748	LOC119657475|XP_037920323.1|HILL	LOC117194864|XP_033255221.1|DMIR, LOC117194775|XP_033255158.1|DMIR, LOC117188716|XP_033248875.1|DMIR, LOC117194430|XP_033254888.1|DMIR, LOC117195181|XP_033255714.1|DMIR, LOC117194429|XP_033254887.1|DMIR, LOC117194428|XP_033254884.1|DMIR, LOC117195180|XP_033255712.1|DMIR, LOC117194427|XP_033254882.1|DMIR, LOC117195206|XP_033255737.1|DMIR, LOC108161506|XP_017151271.2|DMIR, LOC117195137|XP_033255680.1|DMIR, LOC108151462|XP_033243846.1|DMIR
OG0000750	LOC119649340|XP_037907375.1|HILL, LOC119649569|XP_037907732.1|HILL, LOC119651028|XP_037910304.1|HILL, LOC119651099|XP_037910421.1|HILL	LOC117191683|XP_033252375.1|DMIR, LOC108157994|XP_017145626.1|DMIR, LOC108155774|XP_033245458.1|DMIR
OG0000753	LOC119651896|XP_037911650.1|HILL	LOC108154828|XP_017140720.1|DMIR, LOC108153861|XP_033244549.1|DMIR
OG0000754	LOC119657544|XP_037920415.1|HILL	LOC108164938|XP_017156419.1|DMIR, LOC108161858|XP_017151723.1|DMIR
OG0000755	LOC119652498|XP_037912609.1|HILL	LOC108157633|XP_017145262.1|DMIR, LOC108157742|XP_017145409.1|DMIR
OG0000756	LOC119651830|XP_037911552.1|HILL	LOC108155442|XP_017141748.1|DMIR
OG0000757	LOC119647880|XP_037905096.1|HILL	LOC117191225|XP_033252038.1|DMIR, LOC108165169|XP_017156731.1|DMIR, LOC117187173|XP_033245160.1|DMIR, LOC108155050|XP_017141114.1|DMIR, LOC117187846|XP_033246611.1|DMIR, LOC117193375|XP_033253991.1|DMIR, LOC108165162|XP_017156718.1|DMIR, LOC117187840|XP_033246602.1|DMIR, LOC108164963|XP_033246583.1|DMIR, LOC108153490|XP_017139020.1|DMIR
OG0000758	LOC119648790|XP_037906564.1|HILL	LOC108151275|XP_017135291.1|DMIR
OG0000759	LOC119648906|XP_037906739.1|HILL	LOC108153150|XP_017138441.1|DMIR, LOC108153151|XP_017138442.2|DMIR
OG0000760	LOC119661608|XP_037926952.1|HILL	LOC117190140|XP_033251114.1|DMIR, LOC117191793|XP_033252445.1|DMIR
OG0000761	LOC119650713|XP_037909650.1|HILL	LOC108163000|XP_033249547.1|DMIR, LOC108163382|XP_033249551.1|DMIR
OG0000762	LOC119661373|XP_037926619.1|HILL	LOC108162195|XP_017152290.1|DMIR
OG0000763	LOC119646339|XP_037902693.1|HILL, LOC119647079|XP_037903764.1|HILL	LOC108164166|XP_017155266.2|DMIR, LOC108164167|XP_017155267.2|DMIR
OG0000765	LOC119654298|XP_037915532.1|HILL	LOC108150829|XP_017134626.1|DMIR, LOC108153020|XP_017138259.1|DMIR
OG0000766	LOC119654919|XP_037916494.1|HILL	LOC108161230|XP_017150943.1|DMIR, LOC108165064|XP_017156601.1|DMIR
OG0000767	LOC119649895|XP_037908215.1|HILL	LOC108151209|XP_017135175.1|DMIR
OG0000768	LOC119650429|XP_037909174.1|HILL	LOC117194001|XP_033254528.1|DMIR, LOC117194048|XP_033254580.1|DMIR, LOC117193429|XP_033254070.1|DMIR, LOC117193811|XP_033254416.1|DMIR, LOC108162552|XP_017152830.2|DMIR, LOC117188114|XP_033247347.1|DMIR, LOC117195292|XP_033255791.1|DMIR, LOC117186831|XP_033244020.1|DMIR, LOC117195290|XP_033255789.1|DMIR, LOC117186421|XP_033243098.1|DMIR, LOC117195291|XP_033255790.1|DMIR, LOC117186417|XP_033243079.1|DMIR, LOC117186200|XP_033242398.1|DMIR, LOC117186202|XP_033242399.1|DMIR, LOC117186830|XP_033244019.1|DMIR, LOC117186404|XP_033243049.1|DMIR, LOC117186829|XP_033244018.1|DMIR, LOC117195266|XP_033255776.1|DMIR, LOC117195289|XP_033255788.1|DMIR, LOC117186419|XP_033243091.1|DMIR, LOC108160313|XP_033255785.1|DMIR, LOC117186383|XP_033243000.1|DMIR, LOC117186420|XP_033243095.1|DMIR
OG0000769	LOC119657753|XP_037920735.1|HILL	LOC108157569|XP_017145177.1|DMIR, LOC108160584|XP_017150171.1|DMIR
OG0000770	LOC119661185|XP_037926332.1|HILL, LOC119653991|XP_037915091.1|HILL, LOC119661671|XP_037927036.1|HILL, LOC119653978|XP_037915071.1|HILL, LOC119654016|XP_037915109.1|HILL, LOC119653984|XP_037915075.1|HILL, LOC119658450|XP_037921786.1|HILL	LOC117190859|XP_033251782.1|DMIR, LOC108160937|XP_017150714.1|DMIR
OG0000771	LOC119658887|XP_037922605.1|HILL	LOC108152306|XP_017137023.1|DMIR, LOC108152305|XP_017137020.1|DMIR
OG0000772	LOC119647072|XP_037903758.1|HILL, LOC119646422|XP_037902795.1|HILL, LOC119661462|XP_037926751.1|HILL, LOC119646139|XP_037902424.1|HILL	LOC108159894|XP_017149005.1|DMIR, LOC108158884|XP_033253959.1|DMIR, LOC117185711|XP_033247665.1|DMIR
OG0000774	LOC119657784|XP_037920791.1|HILL	LOC117185762|XP_033246893.1|DMIR, LOC108158898|XP_017147174.2|DMIR
OG0000778	LOC119657401|XP_037920220.1|HILL, LOC119657973|XP_037921113.1|HILL	LOC108165315|XP_017156838.2|DMIR, LOC117187272|XP_033245502.1|DMIR
OG0000779	LOC119657107|XP_037919794.1|HILL	LOC108156156|XP_017142973.1|DMIR
OG0000780	LOC119657989|XP_037921134.1|HILL	LOC117193913|XP_033254475.1|DMIR, LOC108158493|XP_017146293.2|DMIR, LOC117192574|XP_033253184.1|DMIR, LOC108158492|XP_017146292.1|DMIR
OG0000781	LOC119658295|XP_037921520.1|HILL	LOC108152604|XP_017137553.1|DMIR, LOC108153668|XP_017139271.1|DMIR
OG0000782	LOC119657096|XP_037919779.1|HILL	LOC108152770|XP_017137836.1|DMIR, LOC108158478|XP_017146275.1|DMIR
OG0000783	LOC119657280|XP_037920052.1|HILL	LOC108153601|XP_017139181.1|DMIR
OG0000784	LOC119646893|XP_037903460.1|HILL	LOC108150799|XP_017134592.1|DMIR, LOC108164388|XP_017155495.1|DMIR
OG0000785	LOC119652372|XP_037912397.1|HILL, LOC119651286|XP_037910728.1|HILL	LOC108156504|XP_017143493.1|DMIR, LOC108156874|XP_017144092.1|DMIR
OG0000786	LOC119650690|XP_037909584.1|HILL	LOC108155631|XP_017142056.1|DMIR
OG0000787	LOC119649883|XP_037908188.1|HILL	LOC108151594|XP_017135762.1|DMIR, LOC117186035|XP_033241980.1|DMIR, LOC108165573|XP_033241979.1|DMIR
OG0000788	LOC119647630|XP_037904613.1|HILL	LOC108163842|XP_017154845.1|DMIR, LOC108152357|XP_017137118.1|DMIR, LOC108154415|XP_017140176.1|DMIR
OG0000789	LOC119651528|XP_037911088.1|HILL	LOC108161149|XP_017150860.1|DMIR, LOC108161749|XP_017151571.1|DMIR
OG0000790	LOC119658287|XP_037921510.1|HILL	LOC108161846|XP_017151700.1|DMIR, LOC108161844|XP_017151699.1|DMIR
OG0000791	LOC119653209|XP_037913704.1|HILL	LOC108164301|XP_017155439.1|DMIR, LOC108156357|XP_017143248.1|DMIR
OG0000793	LOC119659841|XP_037924067.1|HILL	LOC108155185|XP_017141345.1|DMIR, LOC108154372|XP_033253442.1|DMIR, LOC108151572|XP_017135737.1|DMIR
OG0000794	LOC119658328|XP_037921598.1|HILL, LOC119661720|XP_037927102.1|HILL	LOC108153801|XP_017139421.1|DMIR
OG0000795	LOC119654215|XP_037915356.1|HILL	LOC108164796|XP_017156209.1|DMIR, LOC108157438|XP_017144981.1|DMIR
OG0000796	LOC119654527|XP_037915899.1|HILL	LOC108157752|XP_017145422.1|DMIR, LOC108155269|XP_017141468.1|DMIR
OG0000797	LOC119659393|XP_037923383.1|HILL	LOC108157426|XP_017144964.2|DMIR, LOC108157804|XP_017145486.1|DMIR
OG0000798	LOC119653731|XP_037914572.1|HILL	LOC117189871|XP_033250835.1|DMIR, LOC108159253|XP_017147868.1|DMIR, LOC108159251|XP_017147862.1|DMIR, LOC117185765|XP_033250832.1|DMIR
OG0000799	LOC119653680|XP_037914462.1|HILL	LOC108157758|XP_017145428.1|DMIR, LOC108156249|XP_017143092.1|DMIR
OG0000801	LOC119655634|XP_037917534.1|HILL	LOC108161365|XP_033248820.1|DMIR, LOC108160486|XP_017149997.1|DMIR, LOC117192062|XP_033252667.1|DMIR, LOC117192063|XP_033252668.1|DMIR, LOC117189957|XP_033250928.1|DMIR
OG0000802	LOC119655789|XP_037917810.1|HILL	LOC108165039|XP_017156566.1|DMIR
OG0000803	LOC119661390|XP_037926641.1|HILL	LOC108162930|XP_017153401.2|DMIR, LOC108153527|XP_033243204.1|DMIR
OG0000804	LOC119655918|XP_037918011.1|HILL	LOC117187774|XP_033246497.1|DMIR, LOC108159797|XP_017148850.2|DMIR, LOC108157298|XP_017144789.1|DMIR
OG0000805	LOC119658085|XP_037921276.1|HILL	LOC117191742|XP_033252417.1|DMIR, LOC117191741|XP_033252416.1|DMIR, LOC108160725|XP_017150394.1|DMIR, LOC117191680|XP_033252372.1|DMIR
OG0000807	LOC119651447|XP_037910980.1|HILL	LOC108163806|XP_017154785.1|DMIR
OG0000810	LOC119652580|XP_037912724.1|HILL	LOC117187683|XP_033246252.1|DMIR, LOC108157954|XP_017145588.1|DMIR
OG0000811	LOC119659042|XP_037922871.1|HILL	LOC108157816|XP_017145505.1|DMIR, LOC117189394|XP_033250406.1|DMIR, LOC108158768|XP_017146881.1|DMIR
OG0000812	LOC119647943|XP_037905233.1|HILL	LOC117186465|XP_033243222.1|DMIR, LOC117186304|XP_033242784.1|DMIR, LOC108151435|XP_033243694.1|DMIR
OG0000813	LOC119659686|XP_037923852.1|HILL	LOC108159415|XP_017148153.2|DMIR, LOC108159089|XP_017147534.1|DMIR
OG0000814	LOC119646163|XP_037902464.1|HILL, LOC119661727|XP_037927120.1|HILL, LOC119646661|XP_037903122.1|HILL, LOC119646655|XP_037903113.1|HILL, LOC119661251|XP_037926427.1|HILL, LOC119660561|XP_037925132.1|HILL	LOC108161394|XP_017151131.1|DMIR
OG0000815	LOC119661476|XP_037926767.1|HILL, LOC119652622|XP_037912797.1|HILL	LOC108162311|XP_033249743.1|DMIR
OG0000816	LOC119652594|XP_037912747.1|HILL, LOC119646619|XP_037903054.1|HILL	LOC108162665|XP_017152998.1|DMIR, LOC108156711|XP_017143848.1|DMIR
OG0000818	LOC119653492|XP_037914048.1|HILL	LOC108164987|XP_017156502.1|DMIR
OG0000819	LOC119655961|XP_037918111.1|HILL	LOC108150974|XP_017134806.1|DMIR, LOC108165041|XP_017156568.1|DMIR
OG0000820	LOC119654911|XP_037916472.1|HILL	LOC117187997|XP_033246976.1|DMIR, LOC108159961|XP_017149121.2|DMIR
OG0000821	LOC119649066|XP_037906982.1|HILL	LOC117190613|XP_033251555.1|DMIR, LOC108160162|XP_017149470.1|DMIR
OG0000824	LOC119661374|XP_037926621.1|HILL	LOC108161276|XP_017150984.1|DMIR, LOC108165118|XP_017156666.1|DMIR, LOC117186698|XP_033243673.1|DMIR, LOC108165151|XP_033255735.1|DMIR, LOC108164942|XP_033241997.1|DMIR
OG0000830	LOC119657934|XP_037921050.1|HILL, LOC119652615|XP_037912781.1|HILL, LOC119651988|XP_037911831.1|HILL	LOC108155028|XP_017141076.1|DMIR
OG0000831	LOC119651526|XP_037911086.1|HILL, LOC119651216|XP_037910598.1|HILL	LOC117193559|XP_033254197.1|DMIR, LOC108159607|XP_017148550.1|DMIR
OG0000832	LOC119646406|XP_037902778.1|HILL	LOC117193823|XP_033254424.1|DMIR, LOC108158579|XP_017146511.1|DMIR, LOC108161207|XP_017150917.1|DMIR
OG0000833	LOC119648899|XP_037906731.1|HILL	LOC108165428|XP_017156956.1|DMIR
OG0000834	LOC119650167|XP_037908642.1|HILL	LOC108154517|XP_017140307.1|DMIR
OG0000836	LOC119651568|XP_037911131.1|HILL	LOC117188880|XP_033249299.1|DMIR, LOC117188881|XP_033249300.1|DMIR, LOC108164111|XP_033249298.1|DMIR, LOC108161607|XP_017151392.1|DMIR
OG0000837	LOC119653598|XP_037914275.1|HILL	LOC108162100|XP_017152153.1|DMIR
OG0000838	LOC119656045|XP_037918241.1|HILL	LOC108161713|XP_017151522.1|DMIR, LOC108161714|XP_017151523.1|DMIR
OG0000839	LOC119659633|XP_037923760.1|HILL	LOC108154741|XP_017140599.1|DMIR
