Orthogroup	HILL.longest_only	DANA.longest_only
OG0001101	LOC119656262|XP_037918608.1|HILL	LOC6496268|XP_032306371.1|DANA
OG0001102	LOC119647913|XP_037905163.1|HILL	LOC6507232|XP_001956425.3|DANA
OG0001103	LOC119651483|XP_037911022.1|HILL	LOC6500718|XP_001953787.1|DANA
OG0001104	LOC119654690|XP_037916128.1|HILL	LOC6502561|XP_001959387.2|DANA
OG0001105	LOC119654540|XP_037915913.1|HILL	LOC6503124|XP_001963467.1|DANA
OG0001106	LOC119660910|XP_037925785.1|HILL	LOC6502092|XP_032311726.1|DANA
OG0001109	LOC119661437|XP_037926710.1|HILL, LOC119646346|XP_037902709.1|HILL	LOC6496341|XP_032306019.1|DANA
OG0001112	LOC119647107|XP_037903817.1|HILL	LOC6496147|XP_001960333.2|DANA
OG0001118	LOC119658022|XP_037921179.1|HILL	LOC6502461|XP_001962445.1|DANA
OG0001119	LOC119658275|XP_037921494.1|HILL	LOC6503261|XP_001965829.2|DANA
OG0001120	LOC119651250|XP_037910659.1|HILL	LOC6501048|XP_014766872.1|DANA
OG0001122	LOC119650129|XP_037908586.1|HILL	LOC6507065|XP_001956726.1|DANA
OG0001124	LOC119661581|XP_037926908.1|HILL, LOC119653509|XP_037914097.1|HILL	LOC6499861|XP_001953751.1|DANA
OG0001125	LOC119648754|XP_037906506.1|HILL	LOC6505849|XP_001964481.1|DANA
OG0001127	LOC119648123|XP_037905573.1|HILL, LOC119647815|XP_037904971.1|HILL, LOC119647572|XP_037904500.1|HILL, LOC119647816|XP_037904972.1|HILL, LOC119647817|XP_037904973.1|HILL, LOC119647820|XP_037904978.1|HILL	LOC6507129|XP_001956620.2|DANA
OG0001128	LOC119660463|XP_037924958.1|HILL	LOC6496056|XP_001960126.2|DANA
OG0001129	LOC119650885|XP_037909986.1|HILL	LOC6498396|XP_014762113.1|DANA
OG0001130	LOC119653058|XP_037913465.1|HILL	LOC6496979|XP_001963009.1|DANA, LOC6502599|XP_001967702.2|DANA
OG0001131	LOC119660936|XP_037925859.1|HILL	LOC6501803|XP_032308074.1|DANA
OG0001133	LOC119647256|XP_037904063.1|HILL	LOC6497357|XP_001962255.1|DANA
OG0001134	LOC119656169|XP_037918443.1|HILL, LOC119656168|XP_037918442.1|HILL, LOC119655305|XP_037917062.1|HILL, LOC119654050|XP_037915138.1|HILL, LOC119654064|XP_037915156.1|HILL, LOC119653774|XP_037914701.1|HILL	LOC6496015|XP_032306105.1|DANA
OG0001135	LOC119654839|XP_037916342.1|HILL, LOC119654481|XP_037915830.1|HILL	LOC6499029|XP_014765875.1|DANA
OG0001136	LOC119660441|XP_037924921.1|HILL	LOC6501200|XP_014766930.1|DANA
OG0001137	LOC119659607|XP_037923706.1|HILL, LOC119659962|XP_037924244.1|HILL, LOC119659283|XP_037923219.1|HILL, LOC119659485|XP_037923526.1|HILL, LOC119659510|XP_037923568.1|HILL, LOC119659576|XP_037923661.1|HILL, LOC119659818|XP_037924029.1|HILL, LOC119659917|XP_037924170.1|HILL, LOC119660171|XP_037924505.1|HILL, LOC119659452|XP_037923465.1|HILL, LOC119659493|XP_037923539.1|HILL, LOC119659623|XP_037923751.1|HILL, LOC119659635|XP_037923762.1|HILL	LOC6499465|XP_032307090.1|DANA
OG0001138	LOC119655094|XP_037916728.1|HILL	LOC6507074|XP_001956711.1|DANA
OG0001139	LOC119647597|XP_037904547.1|HILL	LOC6507258|XP_001956374.1|DANA
OG0001140	LOC119647169|XP_037903902.1|HILL, LOC119656962|XP_037919610.1|HILL, LOC119656930|XP_037919552.1|HILL	LOC6501631|XP_001955641.1|DANA, LOC26515437|XP_032312049.1|DANA, LOC116656528|XP_032312048.1|DANA
OG0001141	LOC119648620|XP_037906317.1|HILL	LOC6500771|XP_032308057.1|DANA
OG0001144	LOC119655340|XP_037917115.1|HILL	LOC6499209|XP_001955105.1|DANA, LOC6494265|XP_032306733.1|DANA
OG0001148	LOC119646878|XP_037903432.1|HILL	LOC6497479|XP_001961994.1|DANA, LOC6502432|XP_001961993.1|DANA
OG0001149	LOC119648939|XP_037906780.1|HILL, LOC119649425|XP_037907500.1|HILL	LOC116655807|XP_032310082.1|DANA, LOC6506422|XP_001957909.3|DANA, LOC6506423|XP_001957908.2|DANA
OG0001153	LOC119660793|XP_037925528.1|HILL	LOC6495302|XP_001958665.1|DANA
OG0001154	LOC119651636|XP_037911228.1|HILL	LOC6498541|XP_014762175.1|DANA
OG0001155	LOC119656861|XP_037919444.1|HILL	LOC6504931|XP_001966609.2|DANA
OG0001157	LOC119651295|XP_037910744.1|HILL	LOC6500183|XP_032305917.1|DANA
OG0001158	LOC119657603|XP_037920533.1|HILL	LOC6497957|XP_001961792.3|DANA
OG0001159	LOC119656717|XP_037919167.1|HILL	LOC6505984|XP_032305333.1|DANA
OG0001160	LOC119653171|XP_037913646.1|HILL	LOC6499665|XP_001954191.1|DANA
OG0001161	LOC119650746|XP_037909750.1|HILL	LOC6501566|XP_001955486.1|DANA
OG0001162	LOC119658310|XP_037921547.1|HILL	LOC6498852|XP_001955800.1|DANA
OG0001163	LOC119650564|XP_037909297.1|HILL	LOC6500392|XP_014766526.1|DANA
OG0001164	LOC119651647|XP_037911251.1|HILL	LOC6500846|XP_001954026.2|DANA
OG0001165	LOC119657120|XP_037919808.1|HILL, LOC119657495|XP_037920353.1|HILL	LOC6494718|XP_001959800.1|DANA
OG0001166	LOC119649162|XP_037907104.1|HILL	LOC6507547|XP_032310546.1|DANA
OG0001167	LOC119646574|XP_037902992.1|HILL	LOC6495633|XP_032307093.1|DANA
OG0001168	LOC119655740|XP_037917721.1|HILL	LOC6495623|XP_001959243.1|DANA
OG0001169	LOC119658036|XP_037921197.1|HILL	LOC6504991|XP_001965677.1|DANA
OG0001170	LOC119659790|XP_037923985.1|HILL	LOC6500795|XP_001953934.1|DANA, LOC6500794|XP_001953933.1|DANA, LOC6500796|XP_001953935.1|DANA, LOC6500797|XP_001953936.1|DANA
OG0001171	LOC119650467|XP_037909262.1|HILL	LOC6506988|XP_014765020.1|DANA
OG0001172	LOC119661407|XP_037926664.1|HILL	LOC6494636|XP_001959972.1|DANA
OG0001173	LOC119660364|XP_037924800.1|HILL, LOC119658996|XP_037922805.1|HILL	LOC6505900|XP_001964577.1|DANA
OG0001174	LOC119647791|XP_037904916.1|HILL	LOC6506174|XP_001958413.1|DANA
OG0001175	LOC119654794|XP_037916271.1|HILL	LOC6496079|XP_001960175.1|DANA
OG0001176	LOC119655006|XP_037916605.1|HILL	LOC6494221|XP_014762673.1|DANA
OG0001178	LOC119661423|XP_037926694.1|HILL	LOC6495060|XP_001959148.1|DANA
OG0001179	LOC119646342|XP_037902696.1|HILL	LOC6495406|XP_032307195.1|DANA
OG0001180	LOC119660988|XP_037926002.1|HILL	LOC6506057|XP_001966646.2|DANA
OG0001181	LOC119648244|XP_037905804.1|HILL	LOC6506328|XP_032310084.1|DANA
OG0001182	LOC119659498|XP_037923550.1|HILL, LOC119659994|XP_037924297.1|HILL	LOC6501533|XP_014767093.1|DANA
OG0001183	LOC119660414|XP_037924881.1|HILL	LOC6499429|XP_032307004.1|DANA
OG0001185	LOC119658701|XP_037922219.1|HILL	LOC6494317|XP_014760068.1|DANA
OG0001186	LOC119659434|XP_037923445.1|HILL	LOC6500957|XP_001954242.1|DANA
OG0001187	LOC119656116|XP_037918366.1|HILL	LOC6496355|XP_014763778.1|DANA
OG0001188	LOC119653813|XP_037914766.1|HILL	LOC6494330|XP_001960524.2|DANA
OG0001189	LOC119654676|XP_037916107.1|HILL	LOC6494172|XP_001960828.1|DANA, LOC6494173|XP_001960827.1|DANA
OG0001190	LOC119655814|XP_037917847.1|HILL, LOC119655837|XP_037917871.1|HILL, LOC119655662|XP_037917574.1|HILL	LOC6504693|XP_001966392.2|DANA
OG0001191	LOC119654289|XP_037915506.1|HILL	LOC6504707|XP_001964861.1|DANA
OG0001192	LOC119659428|XP_037923436.1|HILL, LOC119659358|XP_037923338.1|HILL	LOC26515108|XP_032307727.1|DANA, LOC6498236|XP_001962362.2|DANA
OG0001192	LOC119649057|XP_037906966.1|HILL, LOC119659885|XP_037924131.1|HILL	LOC6497301|XP_032307725.1|DANA
OG0001193	LOC119654818|XP_037916306.1|HILL	LOC6500766|XP_001953880.1|DANA
OG0001194	LOC119648370|XP_037906025.1|HILL	LOC6504137|XP_001964256.1|DANA
OG0001195	LOC119654582|XP_037915969.1|HILL	LOC6495447|XP_001958865.1|DANA
OG0001200	LOC119657572|XP_037920465.1|HILL	LOC6497927|XP_001961735.1|DANA
OG0001201	LOC119659691|XP_037923872.1|HILL, LOC119660477|XP_037924996.1|HILL, LOC119660451|XP_037924938.1|HILL	LOC6500864|XP_001954060.1|DANA
OG0001202	LOC119658232|XP_037921438.1|HILL	LOC6504820|XP_001966397.2|DANA
OG0001203	LOC119660998|XP_037926022.1|HILL, LOC119660891|XP_037925745.1|HILL	LOC6504547|XP_001967430.1|DANA
OG0001204	LOC119657884|XP_037920948.1|HILL	LOC6502470|XP_001962780.2|DANA
OG0001205	LOC119654814|XP_037916298.1|HILL	LOC6494458|XP_001965917.2|DANA
OG0001206	LOC119652245|XP_037912149.1|HILL	LOC6505848|XP_001964479.2|DANA
OG0001207	LOC119658299|XP_037921525.1|HILL	LOC26513919|XP_014759490.1|DANA
OG0001208	LOC119657034|XP_037919714.1|HILL	LOC6501911|XP_032308117.1|DANA
OG0001209	LOC119652741|XP_037912967.1|HILL	LOC6500876|XP_001954088.2|DANA
OG0001210	LOC119657755|XP_037920737.1|HILL	LOC6502060|XP_001967440.1|DANA
OG0001211	LOC119652060|XP_037911926.1|HILL	LOC6500483|XP_001953319.1|DANA
OG0001212	LOC119658512|XP_037921913.1|HILL	LOC6505053|XP_001965553.1|DANA
OG0001213	LOC119659447|XP_037923459.1|HILL	LOC6505727|XP_001964374.1|DANA
OG0001214	LOC119652669|XP_037912863.1|HILL	LOC6499792|XP_001953904.1|DANA
OG0001215	LOC119652850|XP_037913130.1|HILL	LOC6499158|XP_001955197.1|DANA
OG0001216	LOC119653102|XP_037913545.1|HILL	LOC6500322|XP_014766503.1|DANA
OG0001217	LOC119651703|XP_037911344.1|HILL	LOC6502333|XP_001967631.2|DANA
OG0001218	LOC119659492|XP_037923538.1|HILL	LOC6500793|XP_001953932.1|DANA
OG0001220	LOC119652163|XP_037912039.1|HILL	LOC6495550|XP_001959083.1|DANA
OG0001222	LOC119661029|XP_037926116.1|HILL	LOC6501499|XP_001955377.1|DANA
OG0001223	LOC119654577|XP_037915964.1|HILL	LOC6495127|XP_032306369.1|DANA
OG0001224	LOC119655657|XP_037917569.1|HILL	LOC6496288|XP_001960624.3|DANA
OG0001225	LOC119646976|XP_037903609.1|HILL	LOC6496516|XP_014763864.2|DANA
OG0001226	LOC119657789|XP_037920804.1|HILL, LOC119646174|XP_037902482.1|HILL, LOC119661587|XP_037926917.1|HILL	LOC6495260|XP_001958742.1|DANA
OG0001227	LOC119647209|XP_037903963.1|HILL, LOC119647103|XP_037903808.1|HILL	LOC6496850|XP_014761401.1|DANA
OG0001228	LOC119655872|XP_037917929.1|HILL, LOC119655332|XP_037917103.1|HILL, LOC119654512|XP_037915878.1|HILL, LOC119655056|XP_037916675.1|HILL	LOC6494328|XP_032305515.1|DANA
OG0001229	LOC119646290|XP_037902629.1|HILL	LOC26515246|XP_032312042.1|DANA
OG0001230	LOC119661031|XP_037926123.1|HILL	LOC6494134|XP_032307143.1|DANA
OG0001231	LOC119652521|XP_037912644.1|HILL	LOC6505408|XP_001966905.1|DANA
OG0001232	LOC119658989|XP_037922801.1|HILL, LOC119658979|XP_037922791.1|HILL	LOC6498145|XP_001962173.1|DANA
OG0001233	LOC119661290|XP_037926495.1|HILL	LOC6498133|XP_001962148.1|DANA
OG0001234	LOC119659090|XP_037922934.1|HILL	LOC6496168|XP_001960364.1|DANA
OG0001235	LOC119646499|XP_037902882.1|HILL	LOC6503363|XP_001965357.2|DANA
OG0001236	LOC119649757|XP_037907979.1|HILL	LOC6493200|XP_001957251.2|DANA
OG0001237	LOC119659116|XP_037922967.1|HILL	LOC6500136|XP_014766395.1|DANA
OG0001238	LOC119659152|XP_037923023.1|HILL	LOC6499597|XP_032312139.1|DANA
OG0001239	LOC119653018|XP_037913384.1|HILL	LOC6499905|XP_032306296.1|DANA
OG0001240	LOC119660382|XP_037924834.1|HILL	LOC6499556|XP_001954389.1|DANA
OG0001241	LOC119658765|XP_037922391.1|HILL	LOC6495700|XP_001959400.1|DANA
OG0001242	LOC119655416|XP_037917230.1|HILL	LOC6502245|XP_001966075.1|DANA
OG0001243	LOC119648820|XP_037906605.1|HILL	LOC6493589|XP_032309839.1|DANA
OG0001244	LOC119661188|XP_037926337.1|HILL	LOC6500325|XP_001952976.1|DANA
OG0001245	LOC119651974|XP_037911806.1|HILL	LOC6505672|XP_032305737.1|DANA
OG0001246	LOC119655399|XP_037917208.1|HILL	LOC6495728|XP_014763470.1|DANA
OG0001247	LOC119653750|XP_037914607.1|HILL	LOC26514097|XP_032311496.1|DANA
OG0001248	LOC119650077|XP_037908504.1|HILL, LOC119649838|XP_037908111.1|HILL, LOC119647933|XP_037905201.1|HILL, LOC119650285|XP_037908840.1|HILL, LOC119650080|XP_037908511.1|HILL, LOC119648509|XP_037906206.1|HILL, LOC119648725|XP_037906464.1|HILL, LOC119649642|XP_037907825.1|HILL, LOC119649535|XP_037907650.1|HILL, LOC119649939|XP_037908286.1|HILL, LOC119649581|XP_037907713.1|HILL	LOC6506997|XP_001956857.1|DANA
OG0001249	LOC119658028|XP_037921186.1|HILL	LOC6503750|XP_001963809.2|DANA
OG0001255	LOC119653588|XP_037914266.1|HILL	LOC6495802|XP_001959618.1|DANA
OG0001257	LOC119660950|XP_037925892.1|HILL	LOC6501778|XP_032311763.1|DANA
OG0001258	LOC119650730|XP_037909685.1|HILL	LOC6501118|XP_001954585.1|DANA
OG0001259	LOC119658496|XP_037921886.1|HILL	LOC6504614|XP_001966525.1|DANA
OG0001260	LOC119652828|XP_037913084.1|HILL	LOC6500642|XP_001953630.2|DANA
OG0001261	LOC119657335|XP_037920135.1|HILL	LOC6504380|XP_001967079.2|DANA
OG0001262	LOC119660928|XP_037925839.1|HILL	LOC6507201|XP_032309566.1|DANA
OG0001263	LOC119656996|XP_037919660.1|HILL	LOC6500783|XP_001953912.1|DANA
OG0001264	LOC119646944|XP_037903561.1|HILL	LOC6498064|XP_001962010.2|DANA
OG0001265	LOC119657638|XP_037920570.1|HILL	LOC6503884|XP_014761110.2|DANA
OG0001266	LOC119656260|XP_037918605.1|HILL	LOC6494753|XP_001959734.1|DANA
OG0001267	LOC119651389|XP_037910899.1|HILL	LOC6500853|XP_032310250.1|DANA
OG0001269	LOC119659654|XP_037923790.1|HILL	LOC6496251|XP_001960544.1|DANA
OG0001270	LOC119659052|XP_037922887.1|HILL	LOC6503457|XP_001967519.2|DANA
OG0001271	LOC119658672|XP_037922162.1|HILL	LOC6494873|XP_001959510.1|DANA
OG0001272	LOC119649825|XP_037908089.1|HILL	LOC6507573|XP_001955933.2|DANA
OG0001273	LOC119651602|XP_037911179.1|HILL	LOC6501382|XP_001955119.3|DANA
OG0001274	LOC119649786|XP_037908019.1|HILL	LOC6493714|XP_001958291.1|DANA
OG0001275	LOC119655439|XP_037917261.1|HILL	LOC6505045|XP_032307853.1|DANA
OG0001276	LOC119648094|XP_037905520.1|HILL	LOC6507649|XP_001956071.1|DANA
OG0001277	LOC119649433|XP_037907511.1|HILL, LOC119649427|XP_037907503.1|HILL	LOC6506888|XP_001957055.1|DANA
OG0001278	LOC119649514|XP_037907615.1|HILL	LOC6507280|XP_032310005.1|DANA
OG0001279	LOC119648237|XP_037905794.1|HILL	LOC6507782|XP_001956335.1|DANA
OG0001280	LOC119648137|XP_037905610.1|HILL	LOC6506507|XP_001957750.1|DANA
OG0001281	LOC119647691|XP_037904703.1|HILL	LOC6507584|XP_001955950.1|DANA
OG0001282	LOC119648273|XP_037905856.1|HILL, LOC119649296|XP_037907318.1|HILL, LOC119650007|XP_037908401.1|HILL, LOC119649909|XP_037908236.1|HILL	LOC6497809|XP_001961489.1|DANA
OG0001283	LOC119661427|XP_037926698.1|HILL	LOC6496410|XP_001960858.2|DANA
OG0001284	LOC119651440|XP_037910970.1|HILL	LOC6497272|XP_001965911.2|DANA
OG0001285	LOC119654710|XP_037916157.1|HILL, LOC119646154|XP_037902453.1|HILL	LOC6507093|XP_014765063.1|DANA
OG0001286	LOC119646226|XP_037902542.1|HILL	LOC6503632|XP_014760393.2|DANA
OG0001287	LOC119650430|XP_037909177.1|HILL, LOC119650431|XP_037909178.1|HILL, LOC119660177|XP_037924513.1|HILL, LOC119660484|XP_037924999.1|HILL	LOC6494675|XP_001965955.1|DANA
OG0001288	LOC119651059|XP_037910316.1|HILL	LOC6497690|XP_001961565.1|DANA
OG0001289	LOC119656549|XP_037918844.1|HILL, LOC119646325|XP_037902674.1|HILL, LOC119646338|XP_037902691.1|HILL	LOC6502767|XP_001965256.2|DANA
OG0001290	LOC119653199|XP_037913690.1|HILL	LOC6497204|XP_032307733.1|DANA
OG0001291	LOC119654813|XP_037916297.1|HILL	LOC6494912|XP_014763071.2|DANA
OG0001292	LOC119653512|XP_037914101.1|HILL	LOC6496297|XP_001960635.2|DANA
OG0001293	LOC119655415|XP_037917229.1|HILL	LOC6504155|XP_001964289.1|DANA
OG0001294	LOC119654231|XP_037915382.1|HILL	LOC6499327|XP_001954859.1|DANA
OG0001295	LOC119653879|XP_037914923.1|HILL	LOC6502235|XP_001966036.1|DANA, LOC6496457|XP_001960949.1|DANA
OG0001296	LOC119655784|XP_037917802.1|HILL	LOC6493893|XP_032311522.1|DANA
OG0001297	LOC119659209|XP_037923105.1|HILL	LOC6499040|XP_001955448.1|DANA
OG0001298	LOC119652500|XP_037912615.1|HILL, LOC119659762|XP_037923951.1|HILL, LOC119658977|XP_037922785.1|HILL	LOC6500044|XP_032312361.1|DANA
OG0001299	LOC119649607|XP_037907753.1|HILL	LOC6507340|XP_032309757.1|DANA
OG0001300	LOC119655461|XP_037917290.1|HILL	LOC6499532|XP_001954428.1|DANA
OG0001301	LOC119654217|XP_037915358.1|HILL	LOC6498237|XP_001962364.1|DANA
OG0001302	LOC119658796|XP_037922442.1|HILL, LOC119658797|XP_037922444.1|HILL, LOC119658798|XP_037922445.1|HILL, LOC119658800|XP_037922447.1|HILL	LOC6494604|XP_032306614.1|DANA
OG0001303	LOC119657687|XP_037920649.1|HILL	LOC6500698|XP_001953750.1|DANA
OG0001304	LOC119653815|XP_037914773.1|HILL	LOC6505436|XP_032308649.1|DANA, LOC6494011|XP_001961150.1|DANA
OG0001305	LOC119658890|XP_037922616.1|HILL	LOC6503390|XP_001967520.2|DANA
OG0001306	LOC119658704|XP_037922241.1|HILL, LOC119659011|XP_037922824.1|HILL, LOC119659009|XP_037922822.1|HILL	LOC6500706|XP_001953762.1|DANA
OG0001307	LOC119659990|XP_037924289.1|HILL	LOC6493303|XP_001957486.1|DANA
OG0001308	LOC119653629|XP_037914332.1|HILL	LOC6504634|XP_032309303.1|DANA
OG0001309	LOC119660286|XP_037924685.1|HILL	LOC6501270|XP_001954892.1|DANA
OG0001310	LOC119655898|XP_037917977.1|HILL	LOC6502947|XP_001963541.2|DANA
OG0001311	LOC119656610|XP_037918975.1|HILL	LOC6505194|XP_001965524.2|DANA
OG0001313	LOC119648111|XP_037905557.1|HILL	LOC6494637|XP_001959971.3|DANA
OG0001314	LOC119657885|XP_037920950.1|HILL	LOC6502469|XP_001962779.1|DANA
OG0001320	LOC119654141|XP_037915233.1|HILL	LOC6494931|XP_001959378.2|DANA
OG0001326	LOC119652653|XP_037912831.1|HILL	LOC6501601|XP_001955566.1|DANA
OG0001328	LOC119654838|XP_037916341.1|HILL, LOC119657878|XP_037920937.1|HILL	LOC26515035|XP_032311989.1|DANA
OG0001329	LOC119658047|XP_037921219.1|HILL	LOC6505307|XP_001965728.2|DANA
OG0001330	LOC119657748|XP_037920727.1|HILL	LOC6505211|XP_032307795.1|DANA
OG0001331	LOC119656876|XP_037919468.1|HILL	LOC6502047|XP_032311934.1|DANA
OG0001332	LOC119656586|XP_037918919.1|HILL	LOC6504416|XP_032308163.1|DANA
OG0001333	LOC119656813|XP_037919365.1|HILL	LOC6505113|XP_001964793.2|DANA
OG0001334	LOC119657942|XP_037921060.1|HILL	LOC6505553|XP_001964713.1|DANA
OG0001335	LOC119652343|XP_037912293.1|HILL	LOC6500011|XP_001953409.1|DANA
OG0001337	LOC119657100|XP_037919783.1|HILL	LOC6504487|XP_032308308.1|DANA
OG0001338	LOC119657367|XP_037920178.1|HILL	LOC6496265|XP_014763712.1|DANA
OG0001339	LOC119655050|XP_037916668.1|HILL	LOC6495364|XP_001958670.1|DANA
OG0001340	LOC119649314|XP_037907349.1|HILL	LOC6503257|XP_032309758.1|DANA
OG0001341	LOC119651654|XP_037911265.1|HILL	LOC6500539|XP_032310342.1|DANA
OG0001342	LOC119653250|XP_037913786.1|HILL	LOC6499005|XP_032311648.1|DANA
OG0001343	LOC119652246|XP_037912155.1|HILL, LOC119651876|XP_037911617.1|HILL	LOC6499178|XP_001955160.2|DANA
OG0001344	LOC119651796|XP_037911507.1|HILL	LOC6505942|XP_032305468.1|DANA
OG0001345	LOC119652847|XP_037913127.1|HILL	LOC6499926|XP_001953617.1|DANA
OG0001346	LOC119651609|XP_037911190.1|HILL	LOC6499381|XP_001954747.1|DANA
OG0001347	LOC119656995|XP_037919658.1|HILL	LOC6503956|XP_001963915.1|DANA
OG0001348	LOC119646138|XP_037902422.1|HILL	LOC6505354|XP_001967828.2|DANA, LOC6504497|XP_001967015.1|DANA
OG0001349	LOC119650338|XP_037908930.1|HILL, LOC119648621|XP_037906319.1|HILL	LOC6507029|XP_014765038.1|DANA
OG0001350	LOC119656031|XP_037918222.1|HILL	LOC6507885|XP_001956525.3|DANA
OG0001351	LOC119646934|XP_037903549.1|HILL	LOC6494868|XP_001959521.1|DANA
OG0001352	LOC119646485|XP_037902868.1|HILL	LOC6493905|XP_032311477.1|DANA
OG0001353	LOC119657814|XP_037920854.1|HILL	LOC6506341|XP_001958072.1|DANA
OG0001354	LOC119661661|XP_037927022.1|HILL	LOC6495912|XP_014763532.1|DANA
OG0001355	LOC119647144|XP_037903866.1|HILL	LOC6495849|XP_001959707.1|DANA
OG0001356	LOC119659914|XP_037924167.1|HILL	LOC6498969|XP_032312081.1|DANA
OG0001357	LOC119650158|XP_037908633.1|HILL, LOC119650159|XP_037908634.1|HILL, LOC119655198|XP_037916898.1|HILL	LOC6493524|XP_001957929.1|DANA
OG0001358	LOC119649831|XP_037908101.1|HILL	LOC6493887|XP_001961393.1|DANA, LOC6493673|XP_001958205.1|DANA
OG0001359	LOC119649801|XP_037908041.1|HILL	LOC6497282|XP_001962395.1|DANA
OG0001360	LOC119660268|XP_037924655.1|HILL	LOC6496405|XP_001960845.1|DANA
OG0001361	LOC119649638|XP_037907817.1|HILL	LOC6507777|XP_001956328.2|DANA
OG0001362	LOC119649515|XP_037907624.1|HILL	LOC6507781|XP_001956333.1|DANA
OG0001363	LOC119660259|XP_037924645.1|HILL	LOC6500148|XP_001953128.1|DANA
OG0001364	LOC119653200|XP_037913699.1|HILL	LOC6495293|XP_032307170.1|DANA
OG0001365	LOC119648268|XP_037905850.1|HILL	LOC6506203|XP_001958350.1|DANA
OG0001366	LOC119649229|XP_037907216.1|HILL	LOC6493350|XP_014764343.1|DANA
OG0001367	LOC119646490|XP_037902877.1|HILL	LOC6494766|XP_032306575.1|DANA
OG0001368	LOC119658811|XP_037922460.1|HILL	LOC6494818|XP_001959603.1|DANA
OG0001369	LOC119654759|XP_037916228.1|HILL	LOC6505035|XP_001965594.1|DANA
OG0001370	LOC119646383|XP_037902755.1|HILL	LOC6494714|XP_001959806.1|DANA
OG0001371	LOC119653164|XP_037913632.1|HILL	LOC26515113|XP_032311474.1|DANA
OG0001373	LOC119653079|XP_037913495.1|HILL	LOC6497138|XP_001962680.1|DANA
OG0001374	LOC119661235|XP_037926392.1|HILL	LOC6494222|XP_001960712.1|DANA
OG0001375	LOC119659993|XP_037924293.1|HILL	LOC6498889|XP_014765800.1|DANA
OG0001376	LOC119646276|XP_037902613.1|HILL	LOC6495404|XP_001958769.1|DANA
OG0001377	LOC119650354|XP_037908968.1|HILL	LOC6505475|XP_001964934.2|DANA
OG0001378	LOC119656648|XP_037919037.1|HILL, LOC119657864|XP_037920917.1|HILL	LOC6498231|XP_032307509.1|DANA
OG0001379	LOC119651100|XP_037910387.1|HILL	LOC6498057|XP_014761951.1|DANA
OG0001380	LOC119661414|XP_037926677.1|HILL	LOC6496671|XP_001961371.2|DANA
OG0001381	LOC119647953|XP_037905272.1|HILL	LOC6496421|XP_032307210.1|DANA
OG0001382	LOC119661475|XP_037926765.1|HILL	LOC6503284|XP_014759110.1|DANA
OG0001383	LOC119647254|XP_037904062.1|HILL	LOC6495075|XP_001959121.1|DANA
OG0001384	LOC119650590|XP_037909365.1|HILL	LOC6497523|XP_014761719.1|DANA
OG0001385	LOC119648519|XP_037906217.1|HILL	LOC6504562|XP_001964906.2|DANA
OG0001387	LOC119658144|XP_037921342.1|HILL	LOC6496853|XP_001963272.1|DANA
OG0001388	LOC119647241|XP_037904032.1|HILL	LOC6496954|XP_001963064.2|DANA
OG0001389	LOC119652995|XP_037913350.1|HILL	LOC6499044|XP_032311132.1|DANA
OG0001390	LOC119659069|XP_037922906.1|HILL	LOC6506658|XP_032310901.1|DANA
OG0001391	LOC119659041|XP_037922869.1|HILL, LOC119660450|XP_037924937.1|HILL	LOC6498019|XP_001961904.1|DANA
OG0001392	LOC119654285|XP_037915501.1|HILL	LOC6505294|XP_001965704.2|DANA
OG0001393	LOC119658993|XP_037922803.1|HILL	LOC6505212|XP_001965556.1|DANA
OG0001394	LOC119660939|XP_037925866.1|HILL	LOC6496933|XP_014761435.1|DANA
OG0001395	LOC119659967|XP_037924255.1|HILL	LOC6494219|XP_001965954.1|DANA
OG0001396	LOC119654659|XP_037916078.1|HILL	LOC6505242|XP_001965608.1|DANA
OG0001397	LOC119660543|XP_037925106.1|HILL	LOC6499434|XP_032312182.1|DANA
OG0001398	LOC119658900|XP_037922631.1|HILL, LOC119660834|XP_037925631.1|HILL	LOC6504119|XP_001964223.1|DANA
OG0001399	LOC119653725|XP_037914561.1|HILL	LOC26514407|XP_032311528.1|DANA
OG0001400	LOC119649562|XP_037907686.1|HILL, LOC119649358|XP_037907399.1|HILL	LOC6500191|XP_032308694.1|DANA, LOC116655264|XP_032308724.1|DANA, LOC116655263|XP_032308717.1|DANA, LOC116654516|XP_032305557.1|DANA, LOC6500193|XP_032305854.1|DANA, LOC6500192|XP_001953047.1|DANA
OG0001401	LOC119650076|XP_037908503.1|HILL	LOC6507115|XP_001956641.1|DANA
OG0001402	LOC119649300|XP_037907323.1|HILL	LOC6506735|XP_001957332.1|DANA
OG0001403	LOC119657757|XP_037920740.1|HILL	LOC6507950|XP_001958044.1|DANA
OG0001404	LOC119653478|XP_037914032.1|HILL	LOC6494045|XP_001961088.2|DANA
OG0001405	LOC119654372|XP_037915653.1|HILL, LOC119654030|XP_037915121.1|HILL, LOC119655178|XP_037916858.1|HILL, LOC119654029|XP_037915120.1|HILL	LOC6496132|XP_001960296.1|DANA
OG0001406	LOC119655945|XP_037918064.1|HILL	LOC6501839|XP_001966824.1|DANA, LOC116655255|XP_032308687.1|DANA
OG0001407	LOC119649363|XP_037907405.1|HILL	LOC6506944|XP_001956940.1|DANA
