Orthogroup	HILL.longest_only	DSEC.longest_only
OG0002067	LOC119660524|XP_037925073.1|HILL	LOC6615781|XP_002040151.1|DSEC
OG0002068	LOC119659187|XP_037923075.1|HILL	LOC6609822|XP_002034476.2|DSEC
OG0002069	LOC119653847|XP_037914822.1|HILL	LOC116800432|XP_032571253.1|DSEC
OG0002070	LOC119656700|XP_037919135.1|HILL	LOC6606899|XP_002031693.1|DSEC
OG0002071	LOC119655665|XP_037917579.1|HILL	LOC6607840|XP_002032597.1|DSEC
OG0002072	LOC119659080|XP_037922923.1|HILL	LOC116800349|XP_032570554.1|DSEC
OG0002073	LOC119650208|XP_037908702.1|HILL	LOC6605734|XP_032574325.1|DSEC
OG0002074	LOC119655850|XP_037917896.1|HILL	LOC6609252|XP_002033942.1|DSEC
OG0002075	LOC119649972|XP_037908337.1|HILL	LOC116802264|XP_032582059.1|DSEC
OG0002076	LOC119656236|XP_037918582.1|HILL	LOC6615625|XP_032572529.1|DSEC
OG0002077	LOC119654575|XP_037915958.1|HILL	LOC6610273|XP_032575938.1|DSEC
OG0002078	LOC119655664|XP_037917578.1|HILL	LOC6609062|XP_002033765.2|DSEC
OG0002079	LOC119650394|XP_037909083.1|HILL	LOC6616248|XP_002040612.1|DSEC
OG0002080	LOC119654626|XP_037916026.1|HILL	LOC6609551|XP_002034234.2|DSEC
OG0002081	LOC119654662|XP_037916081.1|HILL	LOC6613045|XP_002037528.1|DSEC
OG0002082	LOC119656303|XP_037918675.1|HILL	LOC6609488|XP_032572812.1|DSEC
OG0002083	LOC119653504|XP_037914088.1|HILL	LOC6616148|XP_032582168.1|DSEC
OG0002084	LOC119656315|XP_037918691.1|HILL	LOC6615693|XP_002040064.1|DSEC
OG0002085	LOC119656233|XP_037918577.1|HILL, LOC119655275|XP_037917019.1|HILL, LOC119655274|XP_037917014.1|HILL	LOC6615519|XP_002039898.1|DSEC
OG0002086	LOC119655635|XP_037917536.1|HILL	LOC6615411|XP_032571811.1|DSEC
OG0002087	LOC119654374|XP_037915655.1|HILL	LOC6619416|XP_032575643.1|DSEC
OG0002088	LOC119647909|XP_037905155.1|HILL	LOC6616326|XP_032575826.1|DSEC
OG0002089	LOC119654913|XP_037916475.1|HILL	LOC6608226|XP_002032970.1|DSEC
OG0002090	LOC119648685|XP_037906409.1|HILL	LOC6605535|XP_002030363.1|DSEC
OG0002091	LOC119653647|XP_037914390.1|HILL, LOC119653648|XP_037914392.1|HILL, LOC119653646|XP_037914389.1|HILL	LOC116800502|XP_032571760.1|DSEC
OG0002092	LOC119647664|XP_037904667.1|HILL	LOC6605959|XP_032573825.1|DSEC
OG0002093	LOC119653692|XP_037914490.1|HILL	LOC6615484|XP_032572612.1|DSEC
OG0002094	LOC119653481|XP_037914036.1|HILL	LOC6615793|XP_002040163.1|DSEC
OG0002095	LOC119653426|XP_037913933.1|HILL	LOC6611778|XP_002036301.1|DSEC, LOC6615027|XP_002039444.1|DSEC
OG0002096	LOC119653799|XP_037914741.1|HILL, LOC119655532|XP_037917374.1|HILL	LOC6609154|XP_032570527.1|DSEC
OG0002097	LOC119654127|XP_037915218.1|HILL	LOC6608379|XP_002033115.2|DSEC
OG0002098	LOC119649830|XP_037908100.1|HILL	LOC6616480|XP_032575949.1|DSEC
OG0002099	LOC119653875|XP_037914911.1|HILL	LOC6607273|XP_002032052.1|DSEC
OG0002100	LOC119647613|XP_037904574.1|HILL	LOC6605780|XP_002030595.1|DSEC
OG0002101	LOC119655574|XP_037917430.1|HILL	LOC6608169|XP_032572796.1|DSEC
OG0002102	LOC119653572|XP_037914228.1|HILL	LOC6610060|XP_032572505.1|DSEC
OG0002103	LOC119652473|XP_037912571.1|HILL	LOC6607280|XP_002032059.2|DSEC
OG0002107	LOC119646747|XP_037903252.1|HILL	LOC6612056|XP_002036573.1|DSEC
OG0002110	LOC119647779|XP_037904889.1|HILL	LOC6618393|XP_002042663.1|DSEC, LOC6617887|XP_002042195.1|DSEC
OG0002117	LOC119657828|XP_037920874.1|HILL	LOC6609947|XP_002034593.1|DSEC
OG0002118	LOC119656808|XP_037919354.1|HILL	LOC6612993|XP_032574744.1|DSEC
OG0002119	LOC119658634|XP_037922087.1|HILL	LOC6619632|XP_032578678.1|DSEC
OG0002120	LOC119660744|XP_037925393.1|HILL	LOC6620111|XP_032579756.1|DSEC
OG0002121	LOC119651294|XP_037910741.1|HILL	LOC6612679|XP_032579272.1|DSEC
OG0002123	LOC119648401|XP_037906075.1|HILL	LOC6611577|XP_032582853.1|DSEC
OG0002124	LOC119657220|XP_037919960.1|HILL	LOC6614860|XP_032581802.1|DSEC
OG0002125	LOC119650671|XP_037909550.1|HILL	LOC6609237|XP_032570971.1|DSEC
OG0002126	LOC119647832|XP_037905001.1|HILL	LOC6616358|XP_002040718.1|DSEC
OG0002127	LOC119657602|XP_037920529.1|HILL	LOC6618092|XP_002042390.1|DSEC
OG0002128	LOC119656607|XP_037918970.1|HILL	LOC6614878|XP_032582632.1|DSEC
OG0002129	LOC119652830|XP_037913086.1|HILL	LOC6613720|XP_032576623.1|DSEC
OG0002130	LOC119657247|XP_037919992.1|HILL	LOC6616002|XP_002040368.1|DSEC
OG0002131	LOC119651496|XP_037911040.1|HILL	LOC6616618|XP_002040976.1|DSEC
OG0002132	LOC119651555|XP_037911116.1|HILL	LOC6611923|XP_002036440.1|DSEC
OG0002133	LOC119656658|XP_037919062.1|HILL	LOC6617746|XP_032576585.1|DSEC, LOC6618591|XP_002042850.1|DSEC
OG0002134	LOC119653848|XP_037914824.1|HILL	LOC6618111|XP_032580272.1|DSEC
OG0002135	LOC119656668|XP_037919077.1|HILL	LOC6620156|XP_032580347.1|DSEC
OG0002136	LOC119659975|XP_037924269.1|HILL	LOC6612774|XP_002037275.1|DSEC
OG0002137	LOC119656530|XP_037918803.1|HILL	LOC6607661|XP_032576827.1|DSEC
OG0002138	LOC119661326|XP_037926552.1|HILL	LOC6614802|XP_002039221.1|DSEC
OG0002139	LOC119646344|XP_037902706.1|HILL	LOC6612550|XP_032582674.1|DSEC
OG0002140	LOC119658046|XP_037921217.1|HILL	LOC6619769|XP_002043982.1|DSEC
OG0002141	LOC119658647|XP_037922113.1|HILL	LOC6620125|XP_002044339.1|DSEC
OG0002142	LOC119652352|XP_037912360.1|HILL	LOC6613822|XP_002038291.1|DSEC
OG0002143	LOC119646616|XP_037903050.1|HILL	LOC6617348|XP_032575734.1|DSEC
OG0002144	LOC119660743|XP_037925386.1|HILL	LOC6620121|XP_032579964.1|DSEC
OG0002145	LOC119661362|XP_037926640.1|HILL	LOC6619295|XP_032577870.1|DSEC
OG0002146	LOC119650779|XP_037909815.1|HILL	LOC6613824|XP_002038293.1|DSEC
OG0002147	LOC119657972|XP_037921111.1|HILL	LOC6617571|XP_032580065.1|DSEC
OG0002148	LOC119656565|XP_037918877.1|HILL	LOC6610626|XP_002035193.1|DSEC
OG0002149	LOC119660866|XP_037925690.1|HILL	LOC6620102|XP_002044311.1|DSEC
OG0002150	LOC119646740|XP_037903246.1|HILL	LOC6619596|XP_002043811.1|DSEC
OG0002151	LOC119661168|XP_037926312.1|HILL, LOC119646524|XP_037902916.1|HILL	LOC6612006|XP_032577978.1|DSEC
OG0002152	LOC119652511|XP_037912633.1|HILL	LOC6613755|XP_032578421.1|DSEC
OG0002153	LOC119652345|XP_037912298.1|HILL	LOC6612721|XP_002037224.1|DSEC
OG0002154	LOC119657793|XP_037920805.1|HILL	LOC6616003|XP_002040369.1|DSEC
OG0002155	LOC119658159|XP_037921355.1|HILL	LOC6612916|XP_032578737.1|DSEC
OG0002156	LOC119660802|XP_037925559.1|HILL	LOC6616591|XP_032574499.1|DSEC
OG0002157	LOC119651054|XP_037910311.1|HILL	LOC6606569|XP_032576688.1|DSEC
OG0002158	LOC119651960|XP_037911747.1|HILL, LOC119651888|XP_037911638.1|HILL, LOC119659188|XP_037923076.1|HILL	LOC6609823|XP_002034477.1|DSEC
OG0002159	LOC119651415|XP_037910937.1|HILL	LOC6615705|XP_002040076.1|DSEC
OG0002160	LOC119653182|XP_037913664.1|HILL	LOC6614336|XP_002038775.1|DSEC
OG0002161	LOC119650997|XP_037910210.1|HILL	LOC6620706|XP_002044904.1|DSEC
OG0002162	LOC119659601|XP_037923697.1|HILL	LOC6606978|XP_002031770.2|DSEC
OG0002163	LOC119652577|XP_037912719.1|HILL	LOC6612365|XP_002036874.1|DSEC
OG0002164	LOC119658470|XP_037921820.1|HILL	LOC116803370|XP_032583007.1|DSEC, LOC6616943|XP_032577307.1|DSEC
OG0002165	LOC119651145|XP_037910477.1|HILL	LOC6614449|XP_002038882.1|DSEC
OG0002166	LOC119646480|XP_037902861.1|HILL	LOC6617784|XP_002042096.1|DSEC
OG0002167	LOC119660949|XP_037925889.1|HILL	LOC6609903|XP_002034553.1|DSEC
OG0002168	LOC119658017|XP_037921174.1|HILL	LOC6615784|XP_002040154.1|DSEC
OG0002169	LOC119658302|XP_037921533.1|HILL	LOC6605092|XP_002029933.1|DSEC
OG0002170	LOC119660722|XP_037925301.1|HILL	LOC6620288|XP_032579830.1|DSEC
OG0002171	LOC119657940|XP_037921057.1|HILL	LOC6607664|XP_002032429.1|DSEC
OG0002172	LOC119657818|XP_037920860.1|HILL	LOC6607540|XP_002032309.1|DSEC
OG0002173	LOC119660310|XP_037924716.1|HILL	LOC6612077|XP_002036594.1|DSEC
OG0002174	LOC119651946|XP_037911728.1|HILL	LOC6606392|XP_002031197.1|DSEC
OG0002175	LOC119651947|XP_037911729.1|HILL	LOC6606393|XP_002031198.1|DSEC
OG0002176	LOC119652239|XP_037912142.1|HILL	LOC6620509|XP_002044714.1|DSEC
OG0002177	LOC119651431|XP_037910957.1|HILL	LOC6616860|XP_002041196.1|DSEC
OG0002178	LOC119656556|XP_037918862.1|HILL	LOC6617142|XP_032576591.1|DSEC
OG0002179	LOC119652952|XP_037913273.1|HILL	LOC6619672|XP_032578032.1|DSEC
OG0002180	LOC119653216|XP_037913716.1|HILL	LOC6612854|XP_002037346.1|DSEC
OG0002181	LOC119657501|XP_037920363.1|HILL	LOC6617463|XP_002041780.1|DSEC
OG0002182	LOC119653170|XP_037913639.1|HILL	LOC6614317|XP_032579165.1|DSEC
OG0002183	LOC119654245|XP_037915415.1|HILL	LOC6609915|XP_002034565.1|DSEC
OG0002184	LOC119660227|XP_037924603.1|HILL, LOC119660228|XP_037924604.1|HILL	LOC6606436|XP_002031240.1|DSEC
OG0002185	LOC119651143|XP_037910474.1|HILL	LOC6606268|XP_032577500.1|DSEC
OG0002186	LOC119651163|XP_037910509.1|HILL	LOC6613565|XP_002038033.1|DSEC
OG0002187	LOC119651707|XP_037911348.1|HILL	LOC6607443|XP_002032212.1|DSEC
OG0002188	LOC119656601|XP_037918961.1|HILL	LOC6613002|XP_032571527.1|DSEC
OG0002189	LOC119656534|XP_037918808.1|HILL	LOC116801123|XP_032574754.1|DSEC
OG0002190	LOC119656531|XP_037918804.1|HILL	LOC6607652|XP_032576972.1|DSEC
OG0002191	LOC119658503|XP_037921893.1|HILL	LOC6616352|XP_002040712.1|DSEC
OG0002192	LOC119650042|XP_037908453.1|HILL	LOC6618327|XP_032574018.1|DSEC
OG0002193	LOC119650569|XP_037909314.1|HILL	LOC6606958|XP_002031751.2|DSEC
OG0002194	LOC119651777|XP_037911459.1|HILL	LOC6618686|XP_002042944.1|DSEC
OG0002195	LOC119651763|XP_037911430.1|HILL	LOC6607679|XP_002032444.1|DSEC
OG0002196	LOC119660377|XP_037924823.1|HILL	LOC6606925|XP_002031719.1|DSEC
OG0002197	LOC119651176|XP_037910531.1|HILL	LOC6610135|XP_002034744.1|DSEC
OG0002198	LOC119660590|XP_037925187.1|HILL	LOC6614298|XP_032579373.1|DSEC
OG0002199	LOC119660116|XP_037924433.1|HILL	LOC6607298|XP_002032077.1|DSEC
OG0002200	LOC119652671|XP_037912865.1|HILL	LOC6617539|XP_002041854.1|DSEC
OG0002202	LOC119651531|XP_037911090.1|HILL	LOC6606480|XP_032578003.1|DSEC
OG0002203	LOC119652412|XP_037912453.1|HILL	LOC6606390|XP_032576154.1|DSEC
OG0002204	LOC119651218|XP_037910600.1|HILL	LOC6619631|XP_002043846.1|DSEC
OG0002205	LOC119651865|XP_037911601.1|HILL	LOC6621776|XP_002045866.1|DSEC
OG0002206	LOC119652902|XP_037913206.1|HILL	LOC6607476|XP_002032245.1|DSEC
OG0002207	LOC119650917|XP_037910070.1|HILL	LOC6618769|XP_002043027.2|DSEC
OG0002208	LOC119652747|XP_037912974.1|HILL	LOC6618765|XP_002043023.1|DSEC
OG0002209	LOC119646183|XP_037902493.1|HILL	LOC6612262|XP_002036773.2|DSEC
OG0002210	LOC119652626|XP_037912800.1|HILL	LOC6614038|XP_032577629.1|DSEC
OG0002211	LOC119650782|XP_037909821.1|HILL	LOC6606542|XP_032576434.1|DSEC
OG0002212	LOC119651457|XP_037910991.1|HILL	LOC6620514|XP_002044718.2|DSEC
OG0002213	LOC119656652|XP_037919045.1|HILL	LOC6614141|XP_002038594.1|DSEC
OG0002214	LOC119658013|XP_037921167.1|HILL, LOC119657904|XP_037920992.1|HILL	LOC6607324|XP_032577318.1|DSEC
OG0002215	LOC119651153|XP_037910489.1|HILL	LOC6606350|XP_032578666.1|DSEC
OG0002216	LOC119658048|XP_037921220.1|HILL	LOC6612717|XP_002037220.1|DSEC
OG0002217	LOC119651310|XP_037910765.1|HILL	LOC6606368|XP_032579310.1|DSEC
OG0002218	LOC119657383|XP_037920196.1|HILL	LOC6620490|XP_032582303.1|DSEC, LOC6620494|XP_032582301.1|DSEC, LOC116801949|XP_032580026.1|DSEC
OG0002219	LOC119657494|XP_037920350.1|HILL	LOC6606527|XP_002031328.1|DSEC
OG0002220	LOC119658101|XP_037921295.1|HILL	LOC6606526|XP_032577419.1|DSEC
OG0002221	LOC119648528|XP_037906224.1|HILL	LOC6605068|XP_002029909.2|DSEC
OG0002222	LOC119659466|XP_037923481.1|HILL	LOC6618833|XP_002043082.1|DSEC
OG0002223	LOC119660616|XP_037925236.1|HILL	LOC6609433|XP_032571640.1|DSEC
OG0002224	LOC119659327|XP_037923288.1|HILL	LOC6608027|XP_032572855.1|DSEC
OG0002225	LOC119647812|XP_037904959.1|HILL	LOC6611170|XP_032574632.1|DSEC
OG0002226	LOC119646855|XP_037903406.1|HILL	LOC6607872|XP_002032626.1|DSEC
OG0002227	LOC119654275|XP_037915480.1|HILL	LOC6608495|XP_032572593.1|DSEC
OG0002228	LOC119646814|XP_037903343.1|HILL	LOC6608144|XP_002032890.1|DSEC
OG0002229	LOC119647063|XP_037903749.1|HILL, LOC119647328|XP_037904194.1|HILL	LOC6618849|XP_002043098.2|DSEC
OG0002230	LOC119651222|XP_037910610.1|HILL	LOC6608896|XP_002033610.1|DSEC
OG0002231	LOC119650627|XP_037909458.1|HILL	LOC6607974|XP_002032722.1|DSEC
OG0002232	LOC119647095|XP_037903793.1|HILL	LOC6615284|XP_002039688.1|DSEC
OG0002233	LOC119649443|XP_037907522.1|HILL	LOC6605448|XP_032575274.1|DSEC
OG0002234	LOC119659812|XP_037924026.1|HILL	LOC6608622|XP_002033356.1|DSEC
OG0002235	LOC119656207|XP_037918530.1|HILL	LOC6615515|XP_032570923.1|DSEC
OG0002236	LOC119654446|XP_037915780.1|HILL	LOC6615827|XP_002040197.1|DSEC
OG0002237	LOC119648981|XP_037906834.1|HILL	LOC6613001|XP_032571525.1|DSEC
OG0002238	LOC119646673|XP_037903131.1|HILL	LOC6607899|XP_032570329.1|DSEC
OG0002239	LOC119650661|XP_037909529.1|HILL, LOC119660823|XP_037925614.1|HILL	LOC6608877|XP_002033591.1|DSEC
OG0002240	LOC119653608|XP_037914303.1|HILL	LOC6615497|XP_002039877.2|DSEC
OG0002241	LOC119649540|XP_037907655.1|HILL	LOC6605037|XP_032576023.1|DSEC
OG0002242	LOC119650457|XP_037909241.1|HILL	LOC116801240|XP_032575378.1|DSEC
OG0002243	LOC119648974|XP_037906824.1|HILL	LOC6619271|XP_002043488.1|DSEC
OG0002244	LOC119648399|XP_037906071.1|HILL	LOC6605220|XP_002030058.1|DSEC
OG0002245	LOC119647821|XP_037904979.1|HILL	LOC6604780|XP_002029631.2|DSEC
OG0002246	LOC119661166|XP_037926309.1|HILL	LOC6607901|XP_032571779.1|DSEC
OG0002247	LOC119649772|XP_037908000.1|HILL	LOC116800317|XP_032570295.1|DSEC
OG0002248	LOC119650105|XP_037908553.1|HILL	LOC6610763|XP_002035329.1|DSEC
OG0002249	LOC119650067|XP_037908492.1|HILL	LOC6604859|XP_032574986.1|DSEC
OG0002250	LOC119661059|XP_037926188.1|HILL	LOC6615267|XP_002039672.1|DSEC
OG0002251	LOC119646912|XP_037903511.1|HILL	LOC6615265|XP_002039670.1|DSEC
OG0002252	LOC119647096|XP_037903794.1|HILL, LOC119661252|XP_037926428.1|HILL, LOC119661187|XP_037926335.1|HILL	LOC6610121|XP_032571536.1|DSEC
OG0002253	LOC119661309|XP_037926529.1|HILL	LOC116800449|XP_032571383.1|DSEC
OG0002254	LOC119659864|XP_037924104.1|HILL	LOC116801595|XP_032578049.1|DSEC, LOC6607810|XP_032578585.1|DSEC, LOC6619623|XP_032578584.1|DSEC, LOC6621779|XP_032578581.1|DSEC, LOC6607808|XP_032578580.1|DSEC
OG0002255	LOC119659877|XP_037924124.1|HILL	LOC6614993|XP_032581490.1|DSEC
OG0002256	LOC119647267|XP_037904084.1|HILL	LOC6608555|XP_002033289.1|DSEC
OG0002257	LOC119659138|XP_037923001.1|HILL	LOC6608630|XP_032571284.1|DSEC
OG0002258	LOC119649712|XP_037907914.1|HILL	LOC6611079|XP_002035636.1|DSEC
OG0002259	LOC119660723|XP_037925304.1|HILL	LOC6619996|XP_032580542.1|DSEC
OG0002260	LOC119650103|XP_037908551.1|HILL	LOC6619399|XP_002043614.1|DSEC
OG0002261	LOC119649098|XP_037907029.1|HILL	LOC6619380|XP_002043596.2|DSEC
OG0002262	LOC119655348|XP_037917128.1|HILL	LOC6608397|XP_032570501.1|DSEC
OG0002263	LOC119649924|XP_037908255.1|HILL	LOC6605878|XP_002030692.1|DSEC
OG0002264	LOC119646417|XP_037902791.1|HILL	LOC6618834|XP_002043083.1|DSEC
OG0002265	LOC119649321|XP_037907351.1|HILL	LOC6605174|XP_032575180.1|DSEC
OG0002266	LOC119649683|XP_037907872.1|HILL	LOC6619434|XP_002043649.2|DSEC
OG0002267	LOC119647746|XP_037904789.1|HILL	LOC6604960|XP_002029803.1|DSEC
OG0002268	LOC119648816|XP_037906597.1|HILL	LOC6616429|XP_032573201.1|DSEC
OG0002269	LOC119661153|XP_037926293.1|HILL	LOC6609325|XP_002034014.1|DSEC
OG0002270	LOC119646408|XP_037902781.1|HILL	LOC6609365|XP_002034054.1|DSEC
OG0002271	LOC119647797|XP_037904933.1|HILL	LOC6604972|XP_032574688.1|DSEC
OG0002272	LOC119647750|XP_037904797.1|HILL	LOC6610371|XP_002034957.1|DSEC
OG0002273	LOC119649571|XP_037907701.1|HILL	LOC6605835|XP_032573345.1|DSEC
OG0002274	LOC119647790|XP_037904910.1|HILL	LOC6616522|XP_032574717.1|DSEC
OG0002275	LOC119647795|XP_037904925.1|HILL	LOC6606057|XP_032573402.1|DSEC
OG0002277	LOC119649061|XP_037906973.1|HILL	LOC6610329|XP_032573717.1|DSEC
OG0002278	LOC119650383|XP_037909050.1|HILL	LOC6610875|XP_002035438.1|DSEC
OG0002279	LOC119648852|XP_037906657.1|HILL, LOC119649155|XP_037907094.1|HILL	LOC6605005|XP_032573392.1|DSEC
OG0002280	LOC119648199|XP_037905723.1|HILL	LOC6606018|XP_032575769.1|DSEC
OG0002281	LOC119648008|XP_037905336.1|HILL	LOC6606008|XP_002030819.1|DSEC
OG0002282	LOC119649086|XP_037907016.1|HILL	LOC6610622|XP_002035189.1|DSEC
OG0002283	LOC119657305|XP_037920132.1|HILL, LOC119657228|XP_037920008.1|HILL, LOC119657393|XP_037920249.1|HILL	LOC6615728|XP_002040099.1|DSEC
OG0002284	LOC119646518|XP_037902906.1|HILL	LOC6608106|XP_002032854.1|DSEC
OG0002285	LOC119650463|XP_037909255.1|HILL	LOC6618965|XP_002043210.1|DSEC
OG0002286	LOC119649955|XP_037908319.1|HILL	LOC6615651|XP_002040022.2|DSEC
OG0002287	LOC119653021|XP_037913392.1|HILL	LOC6609366|XP_032571030.1|DSEC
OG0002288	LOC119648663|XP_037906373.1|HILL	LOC6604971|XP_032574686.1|DSEC
OG0002289	LOC119649250|XP_037907246.1|HILL	LOC6604898|XP_002029743.1|DSEC
OG0002290	LOC119651797|XP_037911508.1|HILL	LOC6613595|XP_002038064.1|DSEC
OG0002291	LOC119647226|XP_037903991.1|HILL	LOC6608003|XP_032570199.1|DSEC
OG0002292	LOC119653533|XP_037914141.1|HILL	LOC6620684|XP_032572178.1|DSEC
OG0002293	LOC119659415|XP_037923419.1|HILL	LOC6620409|XP_002044617.2|DSEC
OG0002294	LOC119661107|XP_037926231.1|HILL	LOC6607286|XP_002032065.1|DSEC
OG0002295	LOC119653230|XP_037913745.1|HILL	LOC6611481|XP_032569888.1|DSEC
OG0002296	LOC119652982|XP_037913322.1|HILL	LOC6611824|XP_032583531.1|DSEC
OG0002297	LOC119659876|XP_037924122.1|HILL	LOC6606300|XP_002031105.1|DSEC
OG0002298	LOC119656593|XP_037918937.1|HILL	LOC6613010|XP_032571756.1|DSEC
OG0002299	LOC119657831|XP_037920880.1|HILL	LOC6608582|XP_002033316.1|DSEC
OG0002300	LOC119653080|XP_037913497.1|HILL	LOC6613507|XP_032582789.1|DSEC
OG0002301	LOC119653049|XP_037913441.1|HILL	LOC6619301|XP_002043519.1|DSEC
OG0002302	LOC119650848|XP_037909921.1|HILL	LOC6619309|XP_032583585.1|DSEC
OG0002303	LOC119653669|XP_037914431.1|HILL	LOC6615881|XP_032582602.1|DSEC
OG0002304	LOC119652508|XP_037912624.1|HILL	LOC116802041|XP_032580947.1|DSEC
OG0002305	LOC119651745|XP_037911403.1|HILL, LOC119651397|XP_037910906.1|HILL, LOC119652571|XP_037912713.1|HILL	LOC6616295|XP_002040659.2|DSEC
OG0002306	LOC119653029|XP_037913402.1|HILL	LOC6611697|XP_002036231.2|DSEC
OG0002308	LOC119650780|XP_037909817.1|HILL	LOC6611826|XP_002036348.1|DSEC
OG0002309	LOC119651381|XP_037910882.1|HILL	LOC116803546|XP_032583183.1|DSEC
OG0002310	LOC119647257|XP_037904066.1|HILL	LOC6618258|XP_032575201.1|DSEC
OG0002311	LOC119652655|XP_037912835.1|HILL	LOC6614726|XP_032569750.1|DSEC
OG0002312	LOC119652707|XP_037912916.1|HILL	LOC6617850|XP_032581809.1|DSEC
OG0002313	LOC119655802|XP_037917826.1|HILL	LOC6609164|XP_032571980.1|DSEC
OG0002314	LOC119655834|XP_037917872.1|HILL, LOC119655507|XP_037917343.1|HILL	LOC6608201|XP_002032946.2|DSEC
OG0002315	LOC119655367|XP_037917156.1|HILL	LOC6608745|XP_002033468.1|DSEC
OG0002316	LOC119651316|XP_037910774.1|HILL, LOC119646240|XP_037902563.1|HILL	LOC6612103|XP_002036620.2|DSEC
OG0002317	LOC119648385|XP_037906049.1|HILL	LOC6605740|XP_032574339.1|DSEC
OG0002318	LOC119655108|XP_037916758.1|HILL	LOC6614584|XP_002039012.1|DSEC
OG0002319	LOC119652959|XP_037913282.1|HILL	LOC6617823|XP_002042133.2|DSEC
OG0002320	LOC119661768|XP_037927170.1|HILL	LOC6615283|XP_002039687.1|DSEC
OG0002321	LOC119654879|XP_037916414.1|HILL	LOC6608784|XP_032571583.1|DSEC
OG0002322	LOC119651720|XP_037911370.1|HILL	LOC6618274|XP_032569805.1|DSEC
OG0002323	LOC119655386|XP_037917185.1|HILL	LOC6618243|XP_002042518.1|DSEC
OG0002324	LOC119649617|XP_037907765.1|HILL	LOC6619383|XP_032574528.1|DSEC
OG0002325	LOC119649629|XP_037907792.1|HILL	LOC6605207|XP_032574033.1|DSEC
OG0002326	LOC119649630|XP_037907797.1|HILL	LOC6605209|XP_002030047.1|DSEC
OG0002327	LOC119647579|XP_037904514.1|HILL	LOC116801625|XP_032578263.1|DSEC
OG0002328	LOC119651995|XP_037911843.1|HILL	LOC6614752|XP_032570293.1|DSEC
OG0002329	LOC119661282|XP_037926486.1|HILL	LOC6617343|XP_002041668.1|DSEC
OG0002330	LOC119659245|XP_037923156.1|HILL	LOC6617345|XP_002041670.1|DSEC
OG0002331	LOC119646483|XP_037902866.1|HILL, LOC119646794|XP_037903311.1|HILL	LOC6614922|XP_002039339.1|DSEC
OG0002332	LOC119659200|XP_037923095.1|HILL	LOC6610536|XP_002035116.1|DSEC
OG0002333	LOC119657902|XP_037920990.1|HILL	LOC6618895|XP_002043143.1|DSEC
OG0002334	LOC119652270|XP_037912182.1|HILL	LOC6613529|XP_032582889.1|DSEC
OG0002335	LOC119656022|XP_037918209.1|HILL	LOC6608259|XP_032570482.1|DSEC
OG0002336	LOC119648710|XP_037906447.1|HILL	LOC6618379|XP_002042649.1|DSEC
OG0002337	LOC119661456|XP_037926740.1|HILL	LOC6608368|XP_032570792.1|DSEC
OG0002338	LOC119646257|XP_037902586.1|HILL	LOC6611505|XP_002036046.1|DSEC
OG0002339	LOC119661238|XP_037926395.1|HILL, LOC119658619|XP_037922043.1|HILL	LOC6613210|XP_032569817.1|DSEC
OG0002340	LOC119646924|XP_037903532.1|HILL	LOC6617683|XP_002041995.2|DSEC
OG0002341	LOC119646973|XP_037903605.1|HILL	LOC6620880|XP_032571727.1|DSEC
OG0002342	LOC119649030|XP_037906931.1|HILL	LOC6613446|XP_032569878.1|DSEC
OG0002343	LOC119660713|XP_037925287.1|HILL	LOC6613428|XP_032581231.1|DSEC
OG0002344	LOC119651744|XP_037911406.1|HILL	LOC6620522|XP_032582777.1|DSEC
OG0002345	LOC119657767|XP_037920762.1|HILL	LOC6608081|XP_002032829.1|DSEC
OG0002346	LOC119651353|XP_037910840.1|HILL, LOC119653163|XP_037913631.1|HILL	LOC6611476|XP_032579432.1|DSEC
OG0002347	LOC119646674|XP_037903132.1|HILL	LOC6608772|XP_002033493.1|DSEC
OG0002348	LOC119647049|XP_037903733.1|HILL	LOC6611657|XP_032569801.1|DSEC
OG0002349	LOC119658296|XP_037921522.1|HILL	LOC116800484|XP_032571627.1|DSEC
OG0002350	LOC119657278|XP_037920050.1|HILL	LOC6608080|XP_032571621.1|DSEC
OG0002351	LOC119646879|XP_037903434.1|HILL	LOC6608832|XP_002033546.1|DSEC
OG0002352	LOC119647139|XP_037903859.1|HILL	LOC6608915|XP_032571363.1|DSEC
OG0002353	LOC119652308|XP_037912247.1|HILL	LOC6620700|XP_032570889.1|DSEC
OG0002354	LOC119652287|XP_037912211.1|HILL	LOC6611761|XP_002036284.1|DSEC
OG0002355	LOC119651278|XP_037910710.1|HILL	LOC6620680|XP_032576491.1|DSEC
OG0002356	LOC119660436|XP_037924918.1|HILL	LOC6614384|XP_002038822.2|DSEC
OG0002357	LOC119653801|XP_037914745.1|HILL	LOC6621048|XP_032576158.1|DSEC, LOC6621586|XP_032576152.1|DSEC
OG0002358	LOC119656951|XP_037919596.1|HILL	LOC6611936|XP_002036453.1|DSEC
OG0002359	LOC119657707|XP_037920678.1|HILL	LOC6612569|XP_002037074.2|DSEC
OG0002360	LOC119652938|XP_037913255.1|HILL	LOC6618188|XP_002042463.1|DSEC
OG0002361	LOC119650828|XP_037909898.1|HILL	LOC6619423|XP_002043638.1|DSEC
OG0002362	LOC119647434|XP_037904283.1|HILL	LOC6611549|XP_032573720.1|DSEC
OG0002363	LOC119652537|XP_037912672.1|HILL	LOC6611507|XP_002036048.1|DSEC
