Orthogroup	HILL.longest_only	DYAK.longest_only
OG0000158	LOC119657740|XP_037920712.1|HILL	LOC6533281|XP_002094007.1|DYAK, LOC6533282|XP_002094008.1|DYAK
OG0000159	LOC119650090|XP_037908526.1|HILL	LOC6535202|XP_002095861.1|DYAK
OG0000159	LOC119650188|XP_037908675.1|HILL	LOC6534272|XP_002094953.2|DYAK
OG0000159	LOC119650187|XP_037908670.1|HILL	LOC6534470|XP_002095147.1|DYAK
OG0000160	LOC119657253|XP_037920001.1|HILL, LOC119657379|XP_037920191.1|HILL, LOC119658465|XP_037921805.1|HILL, LOC119657015|XP_037919689.1|HILL, LOC119657450|XP_037920290.1|HILL, LOC119658360|XP_037921648.1|HILL	LOC6537638|XP_002098183.1|DYAK, LOC6537639|XP_002098184.1|DYAK
OG0000162	LOC119646292|XP_037902632.1|HILL	LOC6533954|XP_002094654.2|DYAK, LOC6533515|XP_002094226.1|DYAK, LOC26534882|XP_039228674.1|DYAK
OG0000162	LOC119661244|XP_037926403.1|HILL	LOC6527627|XP_002088715.1|DYAK
OG0000165	LOC119656600|XP_037918955.1|HILL	LOC6526197|XP_015046681.1|DYAK, LOC6533062|XP_002093794.1|DYAK
OG0000166	LOC119661717|XP_037927100.1|HILL	LOC6530706|XP_002091597.1|DYAK
OG0000167	LOC119649054|XP_037906960.1|HILL	LOC6532651|XP_002093395.1|DYAK, LOC6532653|XP_002093397.1|DYAK, LOC6532650|XP_002093394.1|DYAK, LOC6532652|XP_002093396.1|DYAK
OG0000169	LOC119649310|XP_037907335.1|HILL	LOC6538787|XP_002099300.1|DYAK
OG0000169	LOC119649311|XP_037907341.1|HILL	LOC6532584|XP_002093328.2|DYAK, LOC6536867|XP_002097436.1|DYAK
OG0000171	LOC119652263|XP_037912172.1|HILL	LOC6528206|XP_002089268.1|DYAK
OG0000171	LOC119652303|XP_037912241.1|HILL	LOC6527905|XP_039226885.1|DYAK
OG0000171	LOC119657913|XP_037921025.1|HILL	LOC6525200|XP_039226094.1|DYAK
OG0000172	LOC119648786|XP_037906554.1|HILL	LOC6533428|XP_002094145.1|DYAK
OG0000173	LOC119661217|XP_037926369.1|HILL	LOC6531309|XP_015051236.1|DYAK, LOC6531306|XP_002092110.1|DYAK
OG0000174	LOC119661289|XP_037926494.1|HILL, LOC119661589|XP_037926921.1|HILL	LOC6528398|XP_039226551.1|DYAK, LOC6527831|XP_002088904.1|DYAK, LOC6530046|XP_002090992.1|DYAK
OG0000175	LOC119659190|XP_037923079.1|HILL	LOC6536634|XP_002097206.1|DYAK
OG0000175	LOC119660288|XP_037924687.1|HILL	LOC6538448|XP_039232654.1|DYAK
OG0000177	LOC119658509|XP_037921909.1|HILL	LOC6524952|XP_002100792.1|DYAK
OG0000177	LOC119651086|XP_037910362.1|HILL	LOC6538179|XP_002098707.2|DYAK
OG0000178	LOC119655988|XP_037918154.1|HILL, LOC119654792|XP_037916269.1|HILL, LOC119656019|XP_037918199.1|HILL	LOC6523879|XP_002099752.2|DYAK
OG0000179	LOC119655595|XP_037917478.1|HILL	LOC6528805|XP_002089837.1|DYAK, LOC6530153|XP_039227810.1|DYAK
OG0000179	LOC119655055|XP_037916673.1|HILL, LOC119655047|XP_037916662.1|HILL	LOC6528270|XP_002089323.2|DYAK
OG0000180	LOC119650240|XP_037908750.1|HILL, LOC119648605|XP_037906302.1|HILL, LOC119650050|XP_037908463.1|HILL	LOC6531092|XP_002091926.1|DYAK, LOC6531088|XP_002091922.1|DYAK, LOC6531089|XP_002091923.1|DYAK, LOC6531090|XP_002091924.1|DYAK, LOC6531091|XP_002091925.1|DYAK
OG0000181	LOC119649040|XP_037906940.1|HILL	LOC6535275|XP_002095931.1|DYAK
OG0000181	LOC119649042|XP_037906942.1|HILL, LOC119648650|XP_037906351.1|HILL	LOC6538273|XP_002098800.1|DYAK, LOC6538358|XP_002098882.1|DYAK
OG0000182	LOC119649668|XP_037907856.1|HILL	LOC6537506|XP_002098052.1|DYAK
OG0000183	LOC119649017|XP_037906897.1|HILL	LOC6523883|XP_015045362.2|DYAK, LOC6538113|XP_002098648.1|DYAK, LOC6533220|XP_002093946.1|DYAK, LOC6532576|XP_039230642.1|DYAK
OG0000184	LOC119661424|XP_037926695.1|HILL	LOC6526924|XP_039227701.1|DYAK
OG0000185	LOC119658037|XP_037921200.1|HILL	LOC6526773|XP_002087876.1|DYAK, LOC6528505|XP_002089551.1|DYAK, LOC6538463|XP_002098987.1|DYAK, LOC6528506|XP_002089552.1|DYAK
OG0000186	LOC119655688|XP_037917620.1|HILL	LOC6526053|XP_002101870.3|DYAK, LOC6526054|XP_002101871.1|DYAK
OG0000187	LOC119658090|XP_037921282.1|HILL, LOC119658091|XP_037921283.1|HILL, LOC119658092|XP_037921284.1|HILL, LOC119658096|XP_037921289.1|HILL	LOC6525395|XP_002101230.1|DYAK
OG0000188	LOC119651940|XP_037911719.1|HILL	LOC6536556|XP_002097132.2|DYAK, LOC6524932|XP_002100772.1|DYAK, LOC6524926|XP_002100766.1|DYAK
OG0000189	LOC119651210|XP_037910587.1|HILL, LOC119657905|XP_037920993.1|HILL	LOC6526646|XP_039226426.1|DYAK
OG0000189	LOC119655561|XP_037917414.1|HILL	LOC6523810|XP_015045348.1|DYAK
OG0000189	LOC119655962|XP_037918114.1|HILL	LOC6524546|XP_039226006.1|DYAK
OG0000190	LOC119653887|XP_037914936.1|HILL	LOC6531718|XP_002092508.1|DYAK
OG0000190	LOC119657175|XP_037919890.1|HILL	LOC6524498|XP_039227389.1|DYAK
OG0000192	LOC119653850|XP_037914826.1|HILL, LOC119655365|XP_037917152.1|HILL	LOC6537400|XP_002097956.1|DYAK, LOC26536027|XP_015050360.1|DYAK, LOC6533976|XP_002094671.3|DYAK
OG0000193	LOC119647730|XP_037904759.1|HILL, LOC119647731|XP_037904760.1|HILL, LOC119648187|XP_037905701.1|HILL	LOC6526730|XP_002087833.1|DYAK, LOC6526729|XP_002087832.1|DYAK, LOC6533470|XP_002094181.1|DYAK
OG0000196	LOC119646743|XP_037903250.1|HILL	LOC6529478|XP_015052370.1|DYAK
OG0000197	LOC119655963|XP_037918120.1|HILL	LOC6524768|XP_002100612.1|DYAK
OG0000197	LOC119655904|XP_037917989.1|HILL	LOC120321921|XP_039232122.1|DYAK
OG0000197	LOC119654693|XP_037916133.1|HILL	LOC6524759|XP_002100603.1|DYAK
OG0000198	LOC119658380|XP_037921674.1|HILL	LOC6530005|XP_039228265.1|DYAK, LOC6530420|XP_002091336.3|DYAK, LOC6530479|XP_002091394.2|DYAK, LOC6528289|XP_039226918.1|DYAK
OG0000200	LOC119651388|XP_037910894.1|HILL	LOC6538066|XP_039231307.1|DYAK, LOC6538065|XP_002098600.1|DYAK, LOC6538067|XP_002098602.1|DYAK, LOC6538068|XP_002098603.1|DYAK, LOC6538064|XP_015048632.1|DYAK
OG0000201	LOC119650181|XP_037908662.1|HILL	LOC6537830|XP_002098371.3|DYAK, LOC6537833|XP_002098374.1|DYAK
OG0000202	LOC119660438|XP_037924916.1|HILL	LOC6535527|XP_002096156.1|DYAK
OG0000203	LOC119655539|XP_037917381.1|HILL, LOC119653681|XP_037914464.1|HILL	LOC6531635|XP_002092432.3|DYAK, LOC6531634|XP_039228283.1|DYAK
OG0000205	LOC119658668|XP_037922149.1|HILL	LOC6537165|XP_002097726.1|DYAK
OG0000205	LOC119658714|XP_037922261.1|HILL, LOC119658840|XP_037922513.1|HILL, LOC119658697|XP_037922214.1|HILL	LOC6535617|XP_002096245.2|DYAK
OG0000206	LOC119654881|XP_037916418.1|HILL, LOC119650859|XP_037909942.1|HILL	LOC6532161|XP_002092937.1|DYAK
OG0000206	LOC119661155|XP_037926295.1|HILL	LOC6527350|XP_002088442.1|DYAK
OG0000206	LOC119654466|XP_037915811.1|HILL	LOC6532160|XP_002092936.1|DYAK
OG0000207	LOC119652612|XP_037912777.1|HILL, LOC119650104|XP_037908552.1|HILL	LOC6532870|XP_002093606.1|DYAK, LOC6532871|XP_002093607.1|DYAK
OG0000207	LOC119649454|XP_037907536.1|HILL, LOC119649744|XP_037907961.1|HILL, LOC119649553|XP_037907676.1|HILL, LOC119649555|XP_037907678.1|HILL, LOC119649557|XP_037907680.1|HILL, LOC119649556|XP_037907679.1|HILL, LOC119649554|XP_037907677.1|HILL, LOC119648764|XP_037906521.1|HILL, LOC119649550|XP_037907671.1|HILL, LOC119649552|XP_037907675.1|HILL	LOC6533893|XP_039229992.1|DYAK
OG0000209	LOC119658854|XP_037922535.1|HILL	LOC120320595|XP_039226640.1|DYAK, LOC6527680|XP_002088766.2|DYAK, LOC6526931|XP_039227047.1|DYAK, LOC6528339|XP_002089392.1|DYAK
OG0000210	LOC119657592|XP_037920503.1|HILL	LOC6531807|XP_039227799.1|DYAK, LOC6526462|XP_002087581.2|DYAK, LOC6525374|XP_002101210.2|DYAK
OG0000211	LOC119657178|XP_037919892.1|HILL	LOC6536829|XP_002097399.1|DYAK
OG0000212	LOC119661660|XP_037927021.1|HILL	LOC6526922|XP_002088020.1|DYAK
OG0000212	LOC119657979|XP_037921122.1|HILL	LOC6526923|XP_002088021.1|DYAK, LOC6528963|XP_002089995.1|DYAK
OG0000213	LOC119655012|XP_037916610.1|HILL	LOC6534897|XP_039230744.1|DYAK, LOC6540014|XP_039226182.1|DYAK
OG0000214	LOC119654823|XP_037916314.1|HILL	LOC6525931|XP_002101751.1|DYAK, LOC6530497|XP_002091412.1|DYAK, LOC6538392|XP_002098916.2|DYAK
OG0000215	LOC119649619|XP_037907768.1|HILL, LOC119648795|XP_037906568.1|HILL, LOC119648427|XP_037906108.1|HILL, LOC119647426|XP_037904261.1|HILL	LOC26534749|XP_039230801.1|DYAK, LOC6539813|XP_002086695.1|DYAK, LOC26535082|XP_039230802.1|DYAK
OG0000216	LOC119652332|XP_037912271.1|HILL	LOC6532520|XP_002093266.2|DYAK, LOC6524928|XP_002100768.2|DYAK
OG0000217	LOC119653737|XP_037914587.1|HILL	LOC6524209|XP_002100072.1|DYAK
OG0000217	LOC119660731|XP_037925325.1|HILL	LOC6524208|XP_002100071.2|DYAK
OG0000218	LOC119654045|XP_037915136.1|HILL	LOC6526706|XP_015053448.1|DYAK, LOC120320624|XP_039226800.1|DYAK, LOC6526707|XP_039226799.1|DYAK
OG0000219	LOC119661335|XP_037926565.1|HILL	LOC6528362|XP_002089411.1|DYAK, LOC6528359|XP_002089408.1|DYAK, LOC6528363|XP_002089412.1|DYAK
OG0000220	LOC119648900|XP_037906732.1|HILL	LOC6532623|XP_002093367.1|DYAK
OG0000221	LOC119654628|XP_037916031.1|HILL	LOC6530039|XP_002090985.1|DYAK, LOC6537346|XP_002097903.1|DYAK, LOC6530038|XP_002090984.1|DYAK
OG0000222	LOC119652117|XP_037911986.1|HILL	LOC6528187|XP_002089250.1|DYAK
OG0000223	LOC119653380|XP_037913855.1|HILL, LOC119653381|XP_037913856.1|HILL	LOC6534370|XP_039229449.1|DYAK, LOC6533307|XP_002094033.2|DYAK, LOC6532988|XP_002093723.2|DYAK
OG0000224	LOC119659938|XP_037924208.1|HILL, LOC119659919|XP_037924177.1|HILL, LOC119659930|XP_037924198.1|HILL	LOC6532110|XP_002092886.1|DYAK
OG0000225	LOC119661702|XP_037927080.1|HILL, LOC119661664|XP_037927027.1|HILL, LOC119646353|XP_037902718.1|HILL	LOC26535924|XP_015048989.1|DYAK, LOC6538724|XP_002099239.2|DYAK, LOC6538725|XP_002099240.1|DYAK
OG0000226	LOC119654012|XP_037915103.1|HILL	LOC6533537|XP_002094247.1|DYAK, LOC6533539|XP_002094249.3|DYAK, LOC6533543|XP_002094253.2|DYAK
OG0000228	LOC119651263|XP_037910691.1|HILL	LOC26535034|XP_015054573.1|DYAK
OG0000229	LOC119652359|XP_037912372.1|HILL	LOC6538272|XP_039232854.1|DYAK
OG0000229	LOC119660274|XP_037924664.1|HILL	LOC6535880|XP_015047429.2|DYAK
OG0000230	LOC119659715|XP_037923898.1|HILL	LOC6531478|XP_039228280.1|DYAK
OG0000232	LOC119654256|XP_037915445.1|HILL, LOC119655702|XP_037917644.1|HILL	LOC6537065|XP_002097626.1|DYAK, LOC6528315|XP_002089368.1|DYAK, LOC6528314|XP_002089367.2|DYAK
OG0000233	LOC119650659|XP_037909522.1|HILL	LOC6537995|XP_002098530.1|DYAK, LOC6539013|XP_039231888.1|DYAK, LOC6539014|XP_002099516.2|DYAK
OG0000234	LOC119653853|XP_037914828.1|HILL, LOC119653400|XP_037913892.1|HILL, LOC119653849|XP_037914825.1|HILL, LOC119655122|XP_037916780.1|HILL	LOC6530374|XP_002091300.2|DYAK, LOC6530375|XP_015052661.1|DYAK, LOC26534870|XP_015052846.2|DYAK
OG0000235	LOC119659597|XP_037923690.1|HILL	LOC6539045|XP_002099547.1|DYAK, LOC6539044|XP_002099546.1|DYAK, LOC6539043|XP_002099545.1|DYAK
OG0000236	LOC119654287|XP_037915503.1|HILL	LOC6526337|XP_002087459.1|DYAK, LOC6528126|XP_002089193.1|DYAK, LOC6525073|XP_015046083.1|DYAK
OG0000237	LOC119652833|XP_037913099.1|HILL	LOC6528319|XP_015053910.1|DYAK
OG0000238	LOC119646399|XP_037902772.1|HILL, LOC119655652|XP_037917564.1|HILL, LOC119655653|XP_037917565.1|HILL, LOC119646400|XP_037902773.1|HILL, LOC119654336|XP_037915602.1|HILL	LOC6530306|XP_002091233.1|DYAK, LOC6530308|XP_002091235.1|DYAK
OG0000238	LOC119660799|XP_037925557.1|HILL	LOC6530307|XP_002091234.1|DYAK
OG0000240	LOC119659451|XP_037923464.1|HILL	LOC6536759|XP_039231491.1|DYAK
OG0000240	LOC119659531|XP_037923596.1|HILL	LOC6536762|XP_002097334.1|DYAK
OG0000240	LOC119660162|XP_037924494.1|HILL	LOC6537624|XP_039231199.1|DYAK
OG0000241	LOC119649605|XP_037907750.1|HILL, LOC119649716|XP_037907922.1|HILL	LOC6534494|XP_002095171.2|DYAK
OG0000248	LOC119649264|XP_037907278.1|HILL	LOC6534293|XP_002094974.1|DYAK, LOC6534294|XP_002094975.2|DYAK, LOC6530423|XP_002091339.3|DYAK
OG0000249	LOC119660976|XP_037925983.1|HILL	LOC6527674|XP_002088760.1|DYAK, LOC6527675|XP_002088761.1|DYAK, LOC6527676|XP_002088762.1|DYAK
OG0000250	LOC119653410|XP_037913904.1|HILL	LOC6527429|XP_002088521.1|DYAK, LOC6527432|XP_002088524.1|DYAK, LOC6527430|XP_002088522.2|DYAK
OG0000251	LOC119654440|XP_037915768.1|HILL	LOC6525185|XP_039227723.1|DYAK, LOC6532043|XP_002092820.3|DYAK, LOC26534935|XP_015049512.1|DYAK
OG0000252	LOC119647180|XP_037903916.1|HILL	LOC6530556|XP_002091469.1|DYAK, LOC6530558|XP_002091471.3|DYAK, LOC6530557|XP_002091470.1|DYAK
OG0000253	LOC119648606|XP_037906303.1|HILL, LOC119648745|XP_037906493.1|HILL, LOC119648744|XP_037906491.1|HILL, LOC119649467|XP_037907552.1|HILL, LOC119649468|XP_037907553.1|HILL, LOC119649263|XP_037907277.1|HILL	LOC6531093|XP_002091927.1|DYAK, LOC6531096|XP_002091930.1|DYAK, LOC6531097|XP_002091931.3|DYAK
OG0000255	LOC119655916|XP_037918009.1|HILL	LOC6530171|XP_002091111.1|DYAK
OG0000256	LOC119661283|XP_037926488.1|HILL, LOC119661669|XP_037927034.1|HILL, LOC119661186|XP_037926333.1|HILL	LOC6531024|XP_002091861.1|DYAK
OG0000256	LOC119653252|XP_037913787.1|HILL, LOC119653253|XP_037913788.1|HILL, LOC119653256|XP_037913792.1|HILL, LOC119653175|XP_037913654.1|HILL, LOC119653168|XP_037913642.1|HILL	LOC6531022|XP_002091859.1|DYAK
OG0000257	LOC119655760|XP_037917744.1|HILL	LOC6531903|XP_002092689.1|DYAK
OG0000258	LOC119656999|XP_037919667.1|HILL	LOC6528393|XP_002089440.1|DYAK, LOC6528394|XP_002089441.1|DYAK, LOC6528396|XP_002089443.1|DYAK, LOC6528395|XP_002089442.1|DYAK
OG0000260	LOC119659089|XP_037922930.1|HILL	LOC6528580|XP_002089623.1|DYAK, LOC6538727|XP_002099242.1|DYAK, LOC6528581|XP_002089624.1|DYAK
OG0000261	LOC119661127|XP_037926254.1|HILL	LOC6528170|XP_002089235.1|DYAK, LOC6528169|XP_039226993.1|DYAK
OG0000262	LOC119649136|XP_037907069.1|HILL, LOC119649243|XP_037907237.1|HILL	LOC6533191|XP_002093917.2|DYAK
OG0000262	LOC119650341|XP_037908940.1|HILL, LOC119646143|XP_037902428.1|HILL	LOC6530027|XP_002090973.1|DYAK
OG0000263	LOC119658702|XP_037922223.1|HILL	LOC6530127|XP_002091073.2|DYAK
OG0000263	LOC119646434|XP_037902812.1|HILL	LOC6529301|XP_002090306.2|DYAK
OG0000263	LOC119649510|XP_037907610.1|HILL	LOC6533175|XP_002093901.1|DYAK
OG0000264	LOC119647562|XP_037904486.1|HILL	LOC6538959|XP_015049132.1|DYAK
OG0000267	LOC119657829|XP_037920875.1|HILL, LOC119657821|XP_037920863.1|HILL	LOC6538885|XP_002099389.1|DYAK, LOC6538884|XP_002099388.3|DYAK
OG0000268	LOC119656880|XP_037919472.1|HILL	LOC6537554|XP_002098100.2|DYAK, LOC6537553|XP_002098099.1|DYAK
OG0000269	LOC119658426|XP_037921752.1|HILL, LOC119660431|XP_037924909.1|HILL	LOC6537868|XP_002098409.1|DYAK
OG0000271	LOC119650559|XP_037909294.1|HILL	LOC6528063|XP_002089130.1|DYAK, LOC26535369|XP_015051177.1|DYAK, LOC6530505|XP_002091420.1|DYAK
OG0000272	LOC119648082|XP_037905498.1|HILL	LOC6533354|XP_039229605.1|DYAK
OG0000272	LOC119661039|XP_037926141.1|HILL	LOC6523696|XP_039233083.1|DYAK
OG0000273	LOC119659411|XP_037923411.1|HILL	LOC6537136|XP_002097697.2|DYAK, LOC6527154|XP_002088248.1|DYAK, LOC6535978|XP_002096593.1|DYAK
OG0000274	LOC119654856|XP_037916366.1|HILL, LOC119657250|XP_037919997.1|HILL, LOC119657249|XP_037919996.1|HILL, LOC119658132|XP_037921329.1|HILL	LOC6530431|XP_002091347.2|DYAK, LOC6529964|XP_002090911.2|DYAK
OG0000279	LOC119648349|XP_037905974.1|HILL, LOC119651339|XP_037910820.1|HILL, LOC119651606|XP_037911187.1|HILL	LOC6532686|XP_002093430.1|DYAK, LOC6532685|XP_002093429.1|DYAK
OG0000280	LOC119649948|XP_037908300.1|HILL	LOC6539689|XP_002086574.1|DYAK, LOC6534946|XP_002095616.3|DYAK, LOC6539687|XP_002086575.3|DYAK
OG0000281	LOC119648901|XP_037906733.1|HILL	LOC6533216|XP_002093942.1|DYAK, LOC6526063|XP_002101880.1|DYAK, LOC6525881|XP_002101701.1|DYAK
OG0000282	LOC119648542|XP_037906238.1|HILL	LOC6532890|XP_039229467.1|DYAK, LOC6524120|XP_002099984.1|DYAK
OG0000283	LOC119651801|XP_037911514.1|HILL	LOC6530227|XP_002091164.1|DYAK
OG0000283	LOC119657390|XP_037920204.1|HILL	LOC6538318|XP_002098845.1|DYAK
OG0000284	LOC119652994|XP_037913347.1|HILL	LOC6528957|XP_002089989.1|DYAK
OG0000284	LOC119653211|XP_037913708.1|HILL	LOC6528947|XP_039226648.1|DYAK
OG0000285	LOC119661769|XP_037927171.1|HILL, LOC119647013|XP_037903679.1|HILL, LOC119646589|XP_037903010.1|HILL, LOC119646308|XP_037902653.1|HILL, LOC119661368|XP_037926613.1|HILL, LOC119657159|XP_037919872.1|HILL, LOC119655559|XP_037917424.1|HILL	LOC6531011|XP_002091848.1|DYAK
OG0000286	LOC119652118|XP_037911987.1|HILL, LOC119653198|XP_037913689.1|HILL	LOC6528189|XP_002089252.1|DYAK, LOC6528186|XP_002089249.1|DYAK, LOC6528190|XP_002089253.2|DYAK
OG0000287	LOC119661760|XP_037927158.1|HILL, LOC119650310|XP_037908894.1|HILL, LOC119661756|XP_037927154.1|HILL, LOC119661758|XP_037927156.1|HILL, LOC119661761|XP_037927159.1|HILL, LOC119661757|XP_037927155.1|HILL	LOC6525581|XP_039231509.1|DYAK, LOC6525578|XP_002101413.1|DYAK, LOC6525579|XP_002101414.2|DYAK
OG0000289	LOC119649394|XP_037907443.1|HILL, LOC119655333|XP_037917105.1|HILL, LOC119655535|XP_037917377.1|HILL	LOC6532979|XP_002093714.2|DYAK, LOC6533019|XP_039230160.1|DYAK, LOC26536153|XP_015049745.1|DYAK
OG0000292	LOC119650309|XP_037908882.1|HILL	LOC6533933|XP_002094633.1|DYAK
OG0000293	LOC119651863|XP_037911598.1|HILL, LOC119653005|XP_037913361.1|HILL	LOC6537916|XP_002098456.1|DYAK
OG0000294	LOC119660711|XP_037925282.1|HILL	LOC6528944|XP_039226166.1|DYAK
OG0000294	LOC119653695|XP_037914493.1|HILL	LOC26535870|XP_039233460.1|DYAK
OG0000295	LOC119657284|XP_037920055.1|HILL	LOC6530437|XP_002091353.1|DYAK, LOC6538265|XP_002098792.2|DYAK, LOC6532078|XP_039228188.1|DYAK, LOC26535742|XP_015054659.1|DYAK
OG0000296	LOC119655576|XP_037917437.1|HILL	LOC6529184|XP_002090191.3|DYAK, LOC6532216|XP_002092989.1|DYAK, LOC6524363|XP_002100221.1|DYAK
OG0000299	LOC119650966|XP_037910149.1|HILL	LOC6536937|XP_039232287.1|DYAK
OG0000300	LOC119649524|XP_037907636.1|HILL, LOC119649059|XP_037906970.1|HILL	LOC26534891|XP_015050541.2|DYAK, LOC6534281|XP_002094962.3|DYAK, LOC6534282|XP_002094963.3|DYAK
OG0000301	LOC119660745|XP_037925398.1|HILL	LOC120322175|XP_039233165.1|DYAK, LOC6523737|XP_002099612.1|DYAK
OG0000301	LOC119647749|XP_037904835.1|HILL	LOC6526920|XP_002088019.1|DYAK
OG0000302	LOC119647947|XP_037905238.1|HILL, LOC119647950|XP_037905264.1|HILL, LOC119647948|XP_037905240.1|HILL	LOC6539385|XP_015045171.1|DYAK, LOC6534672|XP_002095347.1|DYAK
OG0000303	LOC119660764|XP_037925458.1|HILL, LOC119659394|XP_037923385.1|HILL	LOC6525835|XP_002101655.1|DYAK, LOC26536024|XP_015054684.1|DYAK
OG0000304	LOC119658827|XP_037922489.1|HILL	LOC6539020|XP_002099522.1|DYAK, LOC6539018|XP_002099520.1|DYAK, LOC6539019|XP_015049166.1|DYAK
OG0000305	LOC119648121|XP_037905571.1|HILL	LOC6539587|XP_002086475.1|DYAK, LOC6534490|XP_002095167.2|DYAK
OG0000305	LOC119648118|XP_037905569.1|HILL, LOC119658064|XP_037921245.1|HILL, LOC119648122|XP_037905572.1|HILL	LOC6539584|XP_002086472.1|DYAK
OG0000306	LOC119656830|XP_037919404.1|HILL	LOC6531777|XP_002092564.1|DYAK, LOC6531781|XP_002092568.1|DYAK, LOC6525069|XP_002100908.1|DYAK
OG0000307	LOC119659134|XP_037922987.1|HILL	LOC6535512|XP_015047194.2|DYAK
OG0000307	LOC119653191|XP_037913676.1|HILL	LOC6538253|XP_039231687.1|DYAK
OG0000308	LOC119659315|XP_037923260.1|HILL	LOC6527845|XP_002088917.1|DYAK, LOC6536863|XP_002097432.1|DYAK, LOC6536864|XP_002097433.1|DYAK, LOC6527746|XP_002088826.1|DYAK
OG0000309	LOC119655217|XP_037916921.1|HILL	LOC6536539|XP_002097115.1|DYAK, LOC6536534|XP_002097110.1|DYAK, LOC6536535|XP_002097111.1|DYAK
OG0000310	LOC119656747|XP_037919234.1|HILL	LOC6524654|XP_002100511.1|DYAK, LOC6535602|XP_002096230.2|DYAK
OG0000311	LOC119657657|XP_037920609.1|HILL	LOC6535842|XP_039232638.1|DYAK, LOC6526099|XP_002101916.1|DYAK
OG0000312	LOC119646613|XP_037903043.1|HILL	LOC6527848|XP_015052999.1|DYAK
OG0000312	LOC119657839|XP_037920892.1|HILL	LOC6526767|XP_015053455.1|DYAK
OG0000313	LOC119652119|XP_037911988.1|HILL	LOC6527758|XP_002088838.1|DYAK, LOC6527571|XP_002088661.1|DYAK
OG0000314	LOC119661408|XP_037926666.1|HILL, LOC119658937|XP_037922718.1|HILL	LOC6526699|XP_002087802.2|DYAK
OG0000315	LOC119660970|XP_037925963.1|HILL	LOC6526793|XP_002087895.1|DYAK, LOC6526740|XP_002087843.1|DYAK, LOC6530163|XP_002091105.1|DYAK, LOC6526794|XP_002087896.1|DYAK
OG0000316	LOC119652481|XP_037912583.1|HILL, LOC119649734|XP_037907944.1|HILL, LOC119648354|XP_037905994.1|HILL, LOC119649297|XP_037907319.1|HILL, LOC119649023|XP_037906906.1|HILL, LOC119648914|XP_037906748.1|HILL, LOC119648693|XP_037906427.1|HILL	LOC6531005|XP_002091842.1|DYAK, LOC6531006|XP_002091843.1|DYAK
OG0000317	LOC119646248|XP_037902573.1|HILL	LOC6537879|XP_002098420.1|DYAK, LOC26535232|XP_015048557.1|DYAK
OG0000320	LOC119656552|XP_037918846.1|HILL	LOC6536552|XP_002097128.1|DYAK, LOC6526805|XP_002087907.1|DYAK, LOC6537023|XP_002097590.1|DYAK
OG0000321	LOC119655812|XP_037917845.1|HILL	LOC6527311|XP_039226963.1|DYAK, LOC6527310|XP_002088403.2|DYAK
OG0000322	LOC119654593|XP_037915985.1|HILL	LOC6537162|XP_002097723.1|DYAK, LOC6523911|XP_039228111.1|DYAK, LOC6525459|XP_039233408.1|DYAK
OG0000323	LOC119651179|XP_037910534.1|HILL	LOC6527543|XP_002088633.1|DYAK, LOC6538771|XP_002099285.1|DYAK, LOC6538770|XP_002099284.1|DYAK
OG0000324	LOC119650355|XP_037908964.1|HILL	LOC6529940|XP_002090895.1|DYAK
OG0000325	LOC119647540|XP_037904458.1|HILL, LOC119649224|XP_037907211.1|HILL	LOC6535004|XP_002095674.2|DYAK, LOC6535002|XP_002095672.1|DYAK
OG0000326	LOC119658188|XP_037921384.1|HILL	LOC120322228|XP_039233216.1|DYAK, LOC120321049|XP_039228256.1|DYAK
OG0000328	LOC119647671|XP_037904677.1|HILL	LOC6532064|XP_002092841.2|DYAK, LOC6533590|XP_002094298.1|DYAK, LOC6533589|XP_002094297.1|DYAK
OG0000331	LOC119660750|XP_037925426.1|HILL	LOC6527655|XP_002088741.2|DYAK, LOC6527657|XP_002088743.1|DYAK
OG0000332	LOC119652961|XP_037913288.1|HILL	LOC6528047|XP_002089114.1|DYAK
OG0000332	LOC119655894|XP_037917968.1|HILL	LOC6525106|XP_002100945.2|DYAK
OG0000333	LOC119648073|XP_037905483.1|HILL	LOC6533578|XP_002094288.1|DYAK
OG0000334	LOC119648594|XP_037906294.1|HILL	LOC6528479|XP_002089525.1|DYAK, LOC6524900|XP_002100740.1|DYAK, LOC6531711|XP_002092501.2|DYAK
OG0000335	LOC119651925|XP_037911683.1|HILL, LOC119651821|XP_037911539.1|HILL, LOC119652176|XP_037912049.1|HILL	LOC6529736|XP_002090729.1|DYAK, LOC6529737|XP_002090730.1|DYAK
OG0000336	LOC119660296|XP_037924696.1|HILL	LOC6537412|XP_015048336.1|DYAK, LOC6538523|XP_002099045.1|DYAK, LOC6538522|XP_002099044.2|DYAK
OG0000337	LOC119660061|XP_037924368.1|HILL	LOC6539432|XP_002086322.1|DYAK, LOC6524385|XP_002100243.3|DYAK, LOC6534346|XP_002095026.1|DYAK
OG0000338	LOC119647611|XP_037904571.1|HILL	LOC6532405|XP_002093156.2|DYAK
OG0000338	LOC119646654|XP_037903104.1|HILL	LOC6528887|XP_002089919.1|DYAK
OG0000339	LOC119649031|XP_037906916.1|HILL	LOC120321415|XP_039229704.1|DYAK
OG0000340	LOC119656287|XP_037918646.1|HILL	LOC6531250|XP_002092059.1|DYAK
