Orthogroup	HILL.longest_only	DSUP.longest_only
OG0000421	LOC119650957|XP_037910126.1|HILL	LOC119546111|XP_037708126.1|DSUP
OG0000421	LOC119653923|XP_037915014.1|HILL	LOC119548325|XP_037711434.1|DSUP
OG0000422	LOC119659457|XP_037923469.1|HILL	LOC119562340|XP_037731434.1|DSUP, LOC119562330|XP_037731416.1|DSUP, LOC119559649|XP_037728624.1|DSUP
OG0000423	LOC119653623|XP_037914324.1|HILL, LOC119653616|XP_037914313.1|HILL, LOC119653433|XP_037913942.1|HILL	LOC119549820|XP_037714026.1|DSUP, LOC119550725|XP_037715551.1|DSUP
OG0000424	LOC119654257|XP_037915442.1|HILL, LOC119654258|XP_037915448.1|HILL	LOC119551327|XP_037716549.1|DSUP
OG0000425	LOC119656034|XP_037918229.1|HILL	LOC119550604|XP_037715347.1|DSUP
OG0000425	LOC119654479|XP_037915828.1|HILL	LOC119550190|XP_037714659.1|DSUP
OG0000426	LOC119652996|XP_037913351.1|HILL, LOC119650213|XP_037908706.1|HILL, LOC119648772|XP_037906533.1|HILL, LOC119649890|XP_037908208.1|HILL	LOC119549662|XP_037713794.1|DSUP, LOC119549661|XP_037713793.1|DSUP
OG0000428	LOC119654020|XP_037915111.1|HILL	LOC119554368|XP_037721174.1|DSUP, LOC119554367|XP_037721171.1|DSUP, LOC119554366|XP_037721168.1|DSUP
OG0000433	LOC119658708|XP_037922249.1|HILL	LOC119558311|XP_037727641.1|DSUP
OG0000433	LOC119650212|XP_037908705.1|HILL	LOC119555375|XP_037722646.1|DSUP
OG0000434	LOC119659474|XP_037923508.1|HILL	LOC119563256|XP_037732498.1|DSUP
OG0000435	LOC119657374|XP_037920187.1|HILL	LOC119557652|XP_037726434.1|DSUP
OG0000437	LOC119651355|XP_037910846.1|HILL	LOC119547341|XP_037710081.1|DSUP
OG0000437	LOC119661162|XP_037926307.1|HILL	LOC119547982|XP_037710966.1|DSUP
OG0000438	LOC119661411|XP_037926673.1|HILL	LOC119555094|XP_037722239.1|DSUP, LOC119555085|XP_037722229.1|DSUP, LOC119554319|XP_037721112.1|DSUP
OG0000439	LOC119651351|XP_037910838.1|HILL	LOC119547797|XP_037710741.1|DSUP
OG0000439	LOC119650255|XP_037908775.1|HILL	LOC119553151|XP_037719299.1|DSUP
OG0000440	LOC119647315|XP_037904170.1|HILL	LOC119550131|XP_037714555.1|DSUP, LOC119549331|XP_037713239.1|DSUP
OG0000441	LOC119657627|XP_037920559.1|HILL, LOC119658141|XP_037921337.1|HILL, LOC119657726|XP_037920697.1|HILL, LOC119656852|XP_037919432.1|HILL	LOC119551999|XP_037717651.1|DSUP, LOC119550691|XP_037715484.1|DSUP
OG0000442	LOC119655225|XP_037916933.1|HILL	LOC119555154|XP_037722307.1|DSUP
OG0000443	LOC119649255|XP_037907251.1|HILL	LOC119553469|XP_037719800.1|DSUP, LOC119553297|XP_037719542.1|DSUP
OG0000444	LOC119650202|XP_037908696.1|HILL	LOC119546225|XP_037708292.1|DSUP
OG0000444	LOC119648810|XP_037906588.1|HILL	LOC119548125|XP_037711150.1|DSUP
OG0000446	LOC119647818|XP_037904975.1|HILL	LOC119557516|XP_037726217.1|DSUP, LOC119556216|XP_037724128.1|DSUP, LOC119550543|XP_037715201.1|DSUP
OG0000448	LOC119650667|XP_037909547.1|HILL	LOC119556193|XP_037724070.1|DSUP, LOC119563196|XP_037732411.1|DSUP
OG0000449	LOC119654328|XP_037915585.1|HILL	LOC119554650|XP_037721579.1|DSUP
OG0000449	LOC119654797|XP_037916274.1|HILL	LOC119546864|XP_037709396.1|DSUP
OG0000450	LOC119657601|XP_037920517.1|HILL	LOC119558415|XP_037727876.1|DSUP
OG0000450	LOC119656646|XP_037919031.1|HILL	LOC119556428|XP_037724576.1|DSUP
OG0000451	LOC119656757|XP_037919252.1|HILL	LOC119557243|XP_037725855.1|DSUP
OG0000451	LOC119657306|XP_037920093.1|HILL	LOC119557245|XP_037725859.1|DSUP
OG0000453	LOC119658366|XP_037921655.1|HILL	LOC119560069|XP_037729304.1|DSUP
OG0000453	LOC119657350|XP_037920152.1|HILL	LOC119560958|XP_037730634.1|DSUP
OG0000454	LOC119646996|XP_037903646.1|HILL	LOC119560282|XP_037729581.1|DSUP, LOC119555486|XP_037722824.1|DSUP
OG0000455	LOC119661272|XP_037926468.1|HILL	LOC119549086|XP_037712729.1|DSUP, LOC119551915|XP_037717464.1|DSUP, LOC119551914|XP_037717463.1|DSUP
OG0000456	LOC119660708|XP_037925268.1|HILL	LOC119549981|XP_037714352.1|DSUP
OG0000456	LOC119650840|XP_037909908.1|HILL	LOC119546515|XP_037708769.1|DSUP
OG0000457	LOC119650711|XP_037909644.1|HILL	LOC119546756|XP_037709215.1|DSUP
OG0000457	LOC119651240|XP_037910647.1|HILL	LOC119559010|XP_037728078.1|DSUP
OG0000458	LOC119658491|XP_037921882.1|HILL	LOC119546566|XP_037708867.1|DSUP
OG0000460	LOC119661481|XP_037926774.1|HILL	LOC119546740|XP_037709167.1|DSUP
OG0000462	LOC119660442|XP_037924924.1|HILL	LOC119559835|XP_037728858.1|DSUP, LOC119559834|XP_037728857.1|DSUP, LOC119560153|XP_037729435.1|DSUP
OG0000465	LOC119651652|XP_037911262.1|HILL	LOC119553937|XP_037720558.1|DSUP
OG0000465	LOC119651651|XP_037911257.1|HILL	LOC119551019|XP_037716006.1|DSUP
OG0000466	LOC119652476|XP_037912578.1|HILL	LOC119556223|XP_037724135.1|DSUP
OG0000466	LOC119661330|XP_037926559.1|HILL	LOC119547429|XP_037710216.1|DSUP
OG0000467	LOC119661560|XP_037926879.1|HILL	LOC119549785|XP_037713975.1|DSUP, LOC119551145|XP_037716264.1|DSUP
OG0000468	LOC119660125|XP_037924447.1|HILL	LOC119546514|XP_037708773.1|DSUP
OG0000468	LOC119661743|XP_037927136.1|HILL	LOC119549197|XP_037712954.1|DSUP
OG0000469	LOC119647237|XP_037904027.1|HILL	LOC119548647|XP_037711978.1|DSUP
OG0000469	LOC119656080|XP_037918298.1|HILL	LOC119548833|XP_037712378.1|DSUP
OG0000470	LOC119650356|XP_037908966.1|HILL	LOC119553299|XP_037719544.1|DSUP
OG0000470	LOC119649541|XP_037907656.1|HILL	LOC119554542|XP_037721428.1|DSUP
OG0000471	LOC119646402|XP_037902775.1|HILL, LOC119647055|XP_037903740.1|HILL	LOC119553517|XP_037719868.1|DSUP, LOC119547807|XP_037710752.1|DSUP, LOC119547024|XP_037709623.1|DSUP
OG0000473	LOC119657995|XP_037921141.1|HILL	LOC119556920|XP_037725334.1|DSUP
OG0000474	LOC119657943|XP_037921063.1|HILL	LOC119556157|XP_037723986.1|DSUP, LOC119553891|XP_037720485.1|DSUP
OG0000475	LOC119650677|XP_037909555.1|HILL	LOC119559750|XP_037728746.1|DSUP, LOC119560956|XP_037730632.1|DSUP, LOC119560370|XP_037729704.1|DSUP
OG0000476	LOC119652617|XP_037912785.1|HILL	LOC119562906|XP_037731975.1|DSUP, LOC119562907|XP_037731976.1|DSUP
OG0000476	LOC119650856|XP_037909934.1|HILL	LOC119562908|XP_037731977.1|DSUP
OG0000477	LOC119650705|XP_037909632.1|HILL, LOC119651325|XP_037910788.1|HILL	LOC119560825|XP_037730399.1|DSUP, LOC119560902|XP_037730528.1|DSUP
OG0000478	LOC119661441|XP_037926715.1|HILL	LOC119558374|XP_037727818.1|DSUP, LOC119548777|XP_037712256.1|DSUP
OG0000479	LOC119649774|XP_037908003.1|HILL, LOC119648325|XP_037905946.1|HILL	LOC119563043|XP_037732176.1|DSUP, LOC119551584|XP_037716916.1|DSUP
OG0000480	LOC119656137|XP_037918398.1|HILL	LOC119547784|XP_037710722.1|DSUP, LOC119547155|XP_037709804.1|DSUP
OG0000482	LOC119659577|XP_037923662.1|HILL	LOC119560879|XP_037730484.1|DSUP
OG0000483	LOC119659859|XP_037924096.1|HILL	LOC119563480|XP_037732832.1|DSUP, LOC119563478|XP_037732830.1|DSUP
OG0000484	LOC119658954|XP_037922754.1|HILL, LOC119658953|XP_037922753.1|HILL	LOC119559833|XP_037728856.1|DSUP, LOC119559831|XP_037728852.1|DSUP
OG0000485	LOC119648226|XP_037905772.1|HILL	LOC119555018|XP_037722089.1|DSUP, LOC119555017|XP_037722088.1|DSUP
OG0000486	LOC119653660|XP_037914412.1|HILL	LOC119550087|XP_037714492.1|DSUP, LOC119558810|XP_037728003.1|DSUP, LOC119558807|XP_037728000.1|DSUP, LOC119550085|XP_037714488.1|DSUP
OG0000489	LOC119658089|XP_037921281.1|HILL	LOC119551509|XP_037716821.1|DSUP, LOC119555836|XP_037723392.1|DSUP
OG0000490	LOC119657695|XP_037920656.1|HILL	LOC119557601|XP_037726331.1|DSUP
OG0000490	LOC119658436|XP_037921765.1|HILL	LOC119557466|XP_037726156.1|DSUP
OG0000491	LOC119648261|XP_037905837.1|HILL	LOC119549546|XP_037713623.1|DSUP, LOC119549758|XP_037713930.1|DSUP, LOC119549545|XP_037713622.1|DSUP
OG0000492	LOC119659843|XP_037924069.1|HILL	LOC119550103|XP_037714511.1|DSUP
OG0000492	LOC119659794|XP_037923991.1|HILL	LOC119547796|XP_037710740.1|DSUP
OG0000493	LOC119654907|XP_037916463.1|HILL, LOC119651623|XP_037911213.1|HILL, LOC119654945|XP_037916531.1|HILL, LOC119649021|XP_037906904.1|HILL, LOC119649081|XP_037907006.1|HILL, LOC119657347|XP_037920148.1|HILL, LOC119655031|XP_037916636.1|HILL	LOC119557094|XP_037725588.1|DSUP, LOC119558224|XP_037727474.1|DSUP
OG0000494	LOC119660730|XP_037925321.1|HILL	LOC119546064|XP_037708061.1|DSUP
OG0000495	LOC119647993|XP_037905310.1|HILL	LOC119556486|XP_037724669.1|DSUP, LOC119551816|XP_037717304.1|DSUP
OG0000496	LOC119650970|XP_037910158.1|HILL	LOC119546888|XP_037709433.1|DSUP
OG0000496	LOC119651936|XP_037911713.1|HILL	LOC119547342|XP_037710082.1|DSUP
OG0000497	LOC119661602|XP_037926930.1|HILL	LOC119548544|XP_037711767.1|DSUP
OG0000497	LOC119661786|XP_037927197.1|HILL	LOC119547261|XP_037709967.1|DSUP
OG0000498	LOC119656972|XP_037919630.1|HILL, LOC119648555|XP_037906280.1|HILL, LOC119646198|XP_037902509.1|HILL, LOC119647192|XP_037903932.1|HILL	LOC119562975|XP_037732079.1|DSUP, LOC119563177|XP_037732377.1|DSUP
OG0000499	LOC119655299|XP_037917052.1|HILL	LOC119550018|XP_037714370.1|DSUP
OG0000499	LOC119659001|XP_037922814.1|HILL	LOC119555971|XP_037723626.1|DSUP
OG0000500	LOC119649406|XP_037907469.1|HILL	LOC119553258|XP_037719474.1|DSUP, LOC119554832|XP_037721834.1|DSUP
OG0000504	LOC119649782|XP_037908015.1|HILL	LOC119552586|XP_037718148.1|DSUP
OG0000505	LOC119657570|XP_037920458.1|HILL	LOC119556844|XP_037725243.1|DSUP, LOC119557494|XP_037726193.1|DSUP
OG0000506	LOC119651603|XP_037911184.1|HILL	LOC119555341|XP_037722609.1|DSUP, LOC119552108|XP_037717825.1|DSUP
OG0000507	LOC119648339|XP_037905962.1|HILL	LOC119556852|XP_037725251.1|DSUP
OG0000507	LOC119652182|XP_037912056.1|HILL	LOC119556075|XP_037723826.1|DSUP
OG0000508	LOC119648498|XP_037906193.1|HILL	LOC119553979|XP_037720614.1|DSUP, LOC119555548|XP_037722914.1|DSUP
OG0000509	LOC119658193|XP_037921390.1|HILL	LOC119550700|XP_037715502.1|DSUP
OG0000509	LOC119646503|XP_037902887.1|HILL	LOC119550270|XP_037714777.1|DSUP
OG0000510	LOC119660366|XP_037924803.1|HILL, LOC119660008|XP_037924313.1|HILL	LOC119551511|XP_037716819.1|DSUP, LOC119551510|XP_037716818.1|DSUP, LOC119549746|XP_037713916.1|DSUP, LOC119551508|XP_037716817.1|DSUP
OG0000511	LOC119652776|XP_037913012.1|HILL, LOC119652931|XP_037913249.1|HILL, LOC119652289|XP_037912214.1|HILL	LOC119548081|XP_037711094.1|DSUP, LOC119548492|XP_037711695.1|DSUP
OG0000512	LOC119653845|XP_037914818.1|HILL, LOC119655068|XP_037916690.1|HILL	LOC119547590|XP_037710438.1|DSUP, LOC119554658|XP_037721587.1|DSUP
OG0000513	LOC119652870|XP_037913157.1|HILL, LOC119651212|XP_037910591.1|HILL, LOC119651501|XP_037911047.1|HILL	LOC119551414|XP_037716682.1|DSUP
OG0000513	LOC119651635|XP_037911227.1|HILL	LOC119548877|XP_037712436.1|DSUP
OG0000514	LOC119646131|XP_037902408.1|HILL	LOC119547752|XP_037710680.1|DSUP
OG0000514	LOC119661601|XP_037926929.1|HILL	LOC119548472|XP_037711668.1|DSUP
OG0000515	LOC119660807|XP_037925575.1|HILL	LOC119555701|XP_037723330.1|DSUP
OG0000515	LOC119648428|XP_037906110.1|HILL	LOC119553084|XP_037719161.1|DSUP
OG0000516	LOC119655902|XP_037917986.1|HILL, LOC119655903|XP_037917987.1|HILL	LOC119558233|XP_037727481.1|DSUP, LOC119558230|XP_037727477.1|DSUP
OG0000517	LOC119647446|XP_037904299.1|HILL	LOC119555469|XP_037722803.1|DSUP, LOC119555471|XP_037722805.1|DSUP
OG0000521	LOC119658404|XP_037921721.1|HILL	LOC119556751|XP_037725100.1|DSUP, LOC119558358|XP_037727791.1|DSUP
OG0000522	LOC119656723|XP_037919178.1|HILL	LOC119560425|XP_037729790.1|DSUP, LOC119557792|XP_037726623.1|DSUP
OG0000523	LOC119650710|XP_037909643.1|HILL	LOC119563249|XP_037732490.1|DSUP
OG0000523	LOC119656872|XP_037919458.1|HILL	LOC119557999|XP_037727029.1|DSUP
OG0000524	LOC119651168|XP_037910515.1|HILL	LOC119561854|XP_037731265.1|DSUP, LOC119560389|XP_037729746.1|DSUP, LOC119560864|XP_037730465.1|DSUP
OG0000525	LOC119659179|XP_037923064.1|HILL, LOC119659178|XP_037923063.1|HILL, LOC119659013|XP_037922825.1|HILL	LOC119552131|XP_037717847.1|DSUP, LOC119552130|XP_037717846.1|DSUP
OG0000526	LOC119651156|XP_037910492.1|HILL	LOC119546880|XP_037709422.1|DSUP, LOC119550025|XP_037714376.1|DSUP
OG0000527	LOC119649636|XP_037907814.1|HILL	LOC119546043|XP_037707992.1|DSUP, LOC119548336|XP_037711466.1|DSUP
OG0000528	LOC119656123|XP_037918378.1|HILL, LOC119655675|XP_037917593.1|HILL, LOC119654042|XP_037915133.1|HILL, LOC119654043|XP_037915134.1|HILL	LOC119548148|XP_037711176.1|DSUP
OG0000529	LOC119661253|XP_037926429.1|HILL	LOC119547312|XP_037710037.1|DSUP, LOC119546038|XP_037707987.1|DSUP
OG0000530	LOC119649071|XP_037906991.1|HILL, LOC119648770|XP_037906525.1|HILL	LOC119554244|XP_037721007.1|DSUP, LOC119553729|XP_037720245.1|DSUP
OG0000531	LOC119651247|XP_037910655.1|HILL	LOC119559722|XP_037728712.1|DSUP, LOC119546234|XP_037708307.1|DSUP
OG0000532	LOC119659773|XP_037923962.1|HILL, LOC119659624|XP_037923752.1|HILL, LOC119658879|XP_037922578.1|HILL, LOC119658880|XP_037922579.1|HILL, LOC119660520|XP_037925069.1|HILL	LOC119560247|XP_037729539.1|DSUP, LOC119560248|XP_037729540.1|DSUP, LOC119563214|XP_037732439.1|DSUP
OG0000533	LOC119657802|XP_037920826.1|HILL	LOC119556958|XP_037725394.1|DSUP
OG0000533	LOC119659208|XP_037923104.1|HILL	LOC119560535|XP_037729950.1|DSUP
OG0000535	LOC119654975|XP_037916563.1|HILL	LOC119549463|XP_037713493.1|DSUP, LOC119550511|XP_037715145.1|DSUP
OG0000537	LOC119656131|XP_037918391.1|HILL	LOC119551656|XP_037717021.1|DSUP
OG0000538	LOC119653804|XP_037914750.1|HILL	LOC119550241|XP_037714739.1|DSUP, LOC119549074|XP_037712710.1|DSUP
OG0000539	LOC119659391|XP_037923380.1|HILL	LOC119558272|XP_037727577.1|DSUP
OG0000539	LOC119660385|XP_037924838.1|HILL, LOC119659605|XP_037923704.1|HILL, LOC119660298|XP_037924699.1|HILL	LOC119563390|XP_037732674.1|DSUP
OG0000540	LOC119655990|XP_037918159.1|HILL	LOC119548197|XP_037711254.1|DSUP, LOC119548537|XP_037711758.1|DSUP
OG0000542	LOC119658932|XP_037922694.1|HILL	LOC119550102|XP_037714514.1|DSUP
OG0000542	LOC119659583|XP_037923667.1|HILL	LOC119558078|XP_037727227.1|DSUP
OG0000543	LOC119650586|XP_037909350.1|HILL	LOC119549645|XP_037713761.1|DSUP, LOC119551229|XP_037716396.1|DSUP
OG0000544	LOC119656656|XP_037919055.1|HILL	LOC119553676|XP_037720148.1|DSUP, LOC119560045|XP_037729278.1|DSUP
OG0000545	LOC119651800|XP_037911512.1|HILL, LOC119658244|XP_037921449.1|HILL	LOC119552575|XP_037718133.1|DSUP, LOC119563262|XP_037732504.1|DSUP
OG0000546	LOC119657382|XP_037920195.1|HILL	LOC119560671|XP_037730172.1|DSUP, LOC119556196|XP_037724072.1|DSUP
OG0000547	LOC119647208|XP_037903959.1|HILL	LOC119556648|XP_037724908.1|DSUP, LOC119557051|XP_037725525.1|DSUP, LOC119556772|XP_037725125.1|DSUP, LOC119556640|XP_037724897.1|DSUP, LOC119558617|XP_037727956.1|DSUP
OG0000548	LOC119648167|XP_037905674.1|HILL	LOC119555668|XP_037723203.1|DSUP, LOC119555109|XP_037722260.1|DSUP
OG0000549	LOC119660128|XP_037924458.1|HILL	LOC119558815|XP_037728011.1|DSUP, LOC119551191|XP_037716321.1|DSUP
OG0000550	LOC119650203|XP_037908697.1|HILL	LOC119552676|XP_037718313.1|DSUP, LOC119554777|XP_037721748.1|DSUP
OG0000551	LOC119661503|XP_037926798.1|HILL	LOC119550040|XP_037714421.1|DSUP
OG0000552	LOC119657020|XP_037919696.1|HILL, LOC119657023|XP_037919700.1|HILL, LOC119657073|XP_037919758.1|HILL, LOC119656915|XP_037919535.1|HILL	LOC119563510|XP_037732883.1|DSUP, LOC119554107|XP_037720794.1|DSUP, LOC119552699|XP_037718367.1|DSUP
OG0000553	LOC119652353|XP_037912361.1|HILL, LOC119651107|XP_037910399.1|HILL, LOC119652197|XP_037912068.1|HILL, LOC119652782|XP_037913025.1|HILL, LOC119652904|XP_037913208.1|HILL, LOC119652988|XP_037913340.1|HILL, LOC119653119|XP_037913572.1|HILL, LOC119652708|XP_037912917.1|HILL, LOC119652693|XP_037912898.1|HILL, LOC119651106|XP_037910398.1|HILL	LOC119547272|XP_037709982.1|DSUP
OG0000554	LOC119651856|XP_037911586.1|HILL, LOC119652805|XP_037913057.1|HILL	LOC119545854|XP_037707757.1|DSUP, LOC119555424|XP_037722723.1|DSUP
OG0000555	LOC119648055|XP_037905444.1|HILL	LOC119555182|XP_037722362.1|DSUP, LOC119554855|XP_037721863.1|DSUP
OG0000556	LOC119659049|XP_037922885.1|HILL	LOC119556933|XP_037725352.1|DSUP, LOC119563045|XP_037732178.1|DSUP
OG0000557	LOC119659626|XP_037923754.1|HILL	LOC119551964|XP_037717597.1|DSUP, LOC119557950|XP_037726913.1|DSUP
OG0000558	LOC119659239|XP_037923147.1|HILL	LOC119554608|XP_037721532.1|DSUP, LOC119557290|XP_037725909.1|DSUP
OG0000559	LOC119647433|XP_037904272.1|HILL	LOC119557176|XP_037725721.1|DSUP
OG0000560	LOC119654637|XP_037916040.1|HILL	LOC119549305|XP_037713192.1|DSUP, LOC119549304|XP_037713191.1|DSUP
OG0000561	LOC119650153|XP_037908622.1|HILL	LOC119555023|XP_037722096.1|DSUP, LOC119555031|XP_037722104.1|DSUP
OG0000562	LOC119649585|XP_037907718.1|HILL	LOC119552742|XP_037718435.1|DSUP, LOC119553638|XP_037720040.1|DSUP
OG0000564	LOC119649867|XP_037908166.1|HILL, LOC119648690|XP_037906417.1|HILL, LOC119650426|XP_037909168.1|HILL, LOC119648337|XP_037905960.1|HILL, LOC119648889|XP_037906714.1|HILL, LOC119649866|XP_037908165.1|HILL	LOC119554140|XP_037720846.1|DSUP, LOC119553637|XP_037720039.1|DSUP
OG0000566	LOC119660791|XP_037925522.1|HILL	LOC119563384|XP_037732664.1|DSUP, LOC119553056|XP_037719100.1|DSUP
OG0000567	LOC119657916|XP_037921030.1|HILL	LOC119557794|XP_037726625.1|DSUP
OG0000567	LOC119658459|XP_037921792.1|HILL	LOC119557882|XP_037726810.1|DSUP
OG0000568	LOC119651423|XP_037910946.1|HILL	LOC119556926|XP_037725342.1|DSUP, LOC119560858|XP_037730449.1|DSUP
OG0000569	LOC119652715|XP_037912930.1|HILL	LOC119558776|XP_037727992.1|DSUP
OG0000570	LOC119651757|XP_037911423.1|HILL, LOC119651789|XP_037911477.1|HILL	LOC119563330|XP_037732602.1|DSUP, LOC119563105|XP_037732275.1|DSUP
OG0000571	LOC119650737|XP_037909726.1|HILL	LOC119562897|XP_037731944.1|DSUP, LOC119548884|XP_037712461.1|DSUP
OG0000572	LOC119656874|XP_037919466.1|HILL	LOC119555588|XP_037723003.1|DSUP, LOC119563091|XP_037732250.1|DSUP
OG0000573	LOC119647662|XP_037904661.1|HILL	LOC119553735|XP_037720257.1|DSUP, LOC119552032|XP_037717699.1|DSUP
OG0000574	LOC119648800|XP_037906577.1|HILL	LOC119554151|XP_037720867.1|DSUP, LOC119560014|XP_037729226.1|DSUP
OG0000575	LOC119649338|XP_037907372.1|HILL	LOC119554674|XP_037721604.1|DSUP, LOC119553127|XP_037719247.1|DSUP
OG0000576	LOC119654044|XP_037915135.1|HILL, LOC119656149|XP_037918413.1|HILL	LOC119560366|XP_037729700.1|DSUP, LOC119560201|XP_037729492.1|DSUP, LOC119548150|XP_037711178.1|DSUP
OG0000577	LOC119647125|XP_037903840.1|HILL	LOC119546139|XP_037708173.1|DSUP
OG0000578	LOC119653922|XP_037915010.1|HILL	LOC119546980|XP_037709557.1|DSUP, LOC119551660|XP_037717026.1|DSUP
OG0000579	LOC119649997|XP_037908386.1|HILL	LOC119560442|XP_037729813.1|DSUP, LOC119554913|XP_037721944.1|DSUP
OG0000580	LOC119659551|XP_037923629.1|HILL	LOC119563049|XP_037732185.1|DSUP, LOC119563050|XP_037732186.1|DSUP
OG0000581	LOC119660219|XP_037924581.1|HILL	LOC119559900|XP_037728991.1|DSUP
OG0000581	LOC119656791|XP_037919319.1|HILL	LOC119557007|XP_037725465.1|DSUP
OG0000582	LOC119654484|XP_037915832.1|HILL	LOC119552793|XP_037718553.1|DSUP
OG0000582	LOC119655822|XP_037917856.1|HILL	LOC119549725|XP_037713891.1|DSUP
OG0000583	LOC119652023|XP_037911888.1|HILL	LOC119550799|XP_037715660.1|DSUP, LOC119550798|XP_037715658.1|DSUP
OG0000590	LOC119657678|XP_037920635.1|HILL	LOC119557405|XP_037726080.1|DSUP
OG0000592	LOC119659301|XP_037923242.1|HILL	LOC119549721|XP_037713887.1|DSUP, LOC119550800|XP_037715661.1|DSUP
OG0000593	LOC119657963|XP_037921095.1|HILL	LOC119561141|XP_037730971.1|DSUP, LOC119557143|XP_037725654.1|DSUP
OG0000594	LOC119650603|XP_037909390.1|HILL	LOC119557200|XP_037725786.1|DSUP, LOC119555682|XP_037723237.1|DSUP
OG0000595	LOC119656301|XP_037918671.1|HILL	LOC119556221|XP_037724137.1|DSUP
OG0000596	LOC119660452|XP_037924939.1|HILL	LOC119557996|XP_037727027.1|DSUP, LOC119563033|XP_037732162.1|DSUP
OG0000597	LOC119649414|XP_037907516.1|HILL	LOC119551077|XP_037716164.1|DSUP, LOC119563479|XP_037732831.1|DSUP
OG0000598	LOC119658412|XP_037921737.1|HILL, LOC119658411|XP_037921736.1|HILL	LOC119563508|XP_037732885.1|DSUP
OG0000599	LOC119648545|XP_037906242.1|HILL	LOC119553487|XP_037719824.1|DSUP
OG0000599	LOC119649853|XP_037908137.1|HILL	LOC119555413|XP_037722699.1|DSUP
OG0000600	LOC119649439|XP_037907520.1|HILL	LOC119550130|XP_037714554.1|DSUP, LOC119551468|XP_037716749.1|DSUP
OG0000601	LOC119651174|XP_037910521.1|HILL	LOC119546803|XP_037709310.1|DSUP, LOC119547122|XP_037709760.1|DSUP
OG0000602	LOC119652820|XP_037913075.1|HILL	LOC119547301|XP_037710021.1|DSUP, LOC119547302|XP_037710022.1|DSUP
OG0000603	LOC119648835|XP_037906632.1|HILL	LOC119553292|XP_037719539.1|DSUP, LOC119546907|XP_037709460.1|DSUP, LOC119548848|XP_037712397.1|DSUP
OG0000604	LOC119646162|XP_037902463.1|HILL	LOC119547125|XP_037709763.1|DSUP, LOC119548324|XP_037711433.1|DSUP
OG0000605	LOC119648165|XP_037905672.1|HILL, LOC119648166|XP_037905673.1|HILL, LOC119646796|XP_037903313.1|HILL, LOC119646425|XP_037902800.1|HILL	LOC119546270|XP_037708371.1|DSUP
OG0000606	LOC119654719|XP_037916167.1|HILL	LOC119557328|XP_037725981.1|DSUP
OG0000607	LOC119658756|XP_037922377.1|HILL	LOC119553787|XP_037720329.1|DSUP, LOC119559274|XP_037728270.1|DSUP, LOC119559931|XP_037729066.1|DSUP
OG0000608	LOC119660519|XP_037925068.1|HILL	LOC119555935|XP_037723569.1|DSUP
OG0000609	LOC119656119|XP_037918372.1|HILL	LOC119556057|XP_037723790.1|DSUP, LOC119546810|XP_037709321.1|DSUP
OG0000610	LOC119649121|XP_037907051.1|HILL, LOC119649122|XP_037907055.1|HILL	LOC119554927|XP_037721961.1|DSUP, LOC119550951|XP_037715905.1|DSUP
OG0000611	LOC119653447|XP_037913970.1|HILL	LOC119551644|XP_037717003.1|DSUP, LOC119551866|XP_037717385.1|DSUP
OG0000614	LOC119656554|XP_037918852.1|HILL	LOC119547283|XP_037709994.1|DSUP, LOC119546621|XP_037708991.1|DSUP, LOC119558379|XP_037727824.1|DSUP
OG0000615	LOC119660425|XP_037924901.1|HILL	LOC119557045|XP_037725518.1|DSUP, LOC119560796|XP_037730356.1|DSUP
OG0000616	LOC119658084|XP_037921275.1|HILL	LOC119556396|XP_037724502.1|DSUP, LOC119558362|XP_037727793.1|DSUP, LOC119557817|XP_037726684.1|DSUP
OG0000617	LOC119657838|XP_037920889.1|HILL	LOC119546006|XP_037707940.1|DSUP, LOC119560427|XP_037729791.1|DSUP
OG0000618	LOC119661044|XP_037926164.1|HILL	LOC119554052|XP_037720719.1|DSUP
OG0000619	LOC119651694|XP_037911332.1|HILL, LOC119651645|XP_037911248.1|HILL, LOC119651681|XP_037911308.1|HILL, LOC119661509|XP_037926807.1|HILL, LOC119660050|XP_037924358.1|HILL, LOC119651560|XP_037911121.1|HILL, LOC119652374|XP_037912399.1|HILL, LOC119651320|XP_037910781.1|HILL, LOC119652003|XP_037911861.1|HILL	LOC119549093|XP_037712752.1|DSUP
OG0000620	LOC119648679|XP_037906400.1|HILL	LOC119556992|XP_037725452.1|DSUP, LOC119555388|XP_037722660.1|DSUP
OG0000621	LOC119657646|XP_037920585.1|HILL	LOC119545750|XP_037707512.1|DSUP, LOC119556062|XP_037723798.1|DSUP
OG0000622	LOC119648724|XP_037906463.1|HILL	LOC119554820|XP_037721822.1|DSUP, LOC119554213|XP_037720946.1|DSUP
OG0000623	LOC119660837|XP_037925637.1|HILL	LOC119554687|XP_037721617.1|DSUP
OG0000624	LOC119661506|XP_037926802.1|HILL	LOC119551109|XP_037716217.1|DSUP, LOC119551108|XP_037716216.1|DSUP
OG0000625	LOC119647703|XP_037904716.1|HILL	LOC119555376|XP_037722647.1|DSUP, LOC119555378|XP_037722649.1|DSUP
OG0000626	LOC119659286|XP_037923227.1|HILL	LOC119550611|XP_037715363.1|DSUP, LOC119550825|XP_037715697.1|DSUP
