Orthogroup	HILL.longest_only	DBIA.longest_only
OG0000662	LOC119649469|XP_037907554.1|HILL	LOC108035530|XP_016966688.1|DBIA, LOC108031364|XP_016960132.1|DBIA
OG0000664	LOC119653762|XP_037914671.1|HILL	LOC108021960|XP_016946279.1|DBIA
OG0000665	LOC119660145|XP_037924473.1|HILL	LOC108026350|XP_016952745.1|DBIA, LOC108026348|XP_016952742.1|DBIA
OG0000666	LOC119659675|XP_037923827.1|HILL	LOC108029729|XP_016957700.1|DBIA, LOC108025749|XP_016951833.1|DBIA
OG0000667	LOC119659459|XP_037923471.1|HILL	LOC108024249|XP_016949620.1|DBIA, LOC108024585|XP_016950077.1|DBIA
OG0000668	LOC119658829|XP_037922491.1|HILL	LOC108025566|XP_016951584.1|DBIA, LOC108031439|XP_016960357.1|DBIA
OG0000670	LOC119654928|XP_037916507.1|HILL	LOC108023575|XP_016948658.1|DBIA, LOC108021976|XP_016946306.1|DBIA
OG0000671	LOC119660816|XP_037925587.1|HILL	LOC108031729|XP_016960894.1|DBIA, LOC108024768|XP_016950370.1|DBIA
OG0000672	LOC119650087|XP_037908523.1|HILL	LOC108025630|XP_016951655.1|DBIA, LOC108024241|XP_016949611.1|DBIA
OG0000673	LOC119660964|XP_037925936.1|HILL	LOC108036345|XP_016967905.1|DBIA, LOC108030525|XP_016958904.1|DBIA
OG0000677	LOC119656746|XP_037919233.1|HILL	LOC108035631|XP_016966818.1|DBIA, LOC108032589|XP_016961990.1|DBIA
OG0000678	LOC119659257|XP_037923177.1|HILL	LOC108024952|XP_016950678.1|DBIA, LOC108029195|XP_016956860.1|DBIA
OG0000679	LOC119656788|XP_037919316.1|HILL	LOC108025928|XP_016952110.1|DBIA
OG0000680	LOC119657277|XP_037920044.1|HILL	LOC108024261|XP_016949636.1|DBIA, LOC108024237|XP_016949605.1|DBIA
OG0000681	LOC119656887|XP_037919485.1|HILL	LOC108032038|XP_016961338.1|DBIA, LOC108033060|XP_016962698.1|DBIA
OG0000683	LOC119650893|XP_037910000.1|HILL	LOC108026243|XP_016952573.1|DBIA
OG0000684	LOC119651814|XP_037911533.1|HILL	LOC108031144|XP_016959847.1|DBIA, LOC108024799|XP_016950408.1|DBIA
OG0000685	LOC119650879|XP_037909972.1|HILL	LOC108025642|XP_016951667.1|DBIA, LOC108027258|XP_016954109.1|DBIA
OG0000686	LOC119661265|XP_037926448.1|HILL	LOC108030401|XP_016958774.1|DBIA, LOC108027497|XP_016954429.1|DBIA
OG0000687	LOC119648898|XP_037906728.1|HILL	LOC108026577|XP_016953018.1|DBIA, LOC108034522|XP_016964935.1|DBIA
OG0000688	LOC119655131|XP_037916797.1|HILL	LOC108022488|XP_016946930.1|DBIA
OG0000689	LOC119657177|XP_037919895.1|HILL	LOC108022271|XP_016946618.1|DBIA, LOC108022166|XP_016946499.1|DBIA
OG0000690	LOC119653596|XP_037914274.1|HILL	LOC108025632|XP_016951657.1|DBIA
OG0000691	LOC119649978|XP_037908346.1|HILL	LOC108036758|XP_016968576.1|DBIA, LOC108035947|XP_016967238.1|DBIA
OG0000692	LOC119648625|XP_037906323.1|HILL, LOC119647809|XP_037904952.1|HILL, LOC119652487|XP_037912595.1|HILL	LOC108034774|XP_016965209.1|DBIA, LOC108034414|XP_016964786.1|DBIA
OG0000693	LOC119657578|XP_037920474.1|HILL	LOC108023625|XP_016948724.1|DBIA
OG0000693	LOC119657891|XP_037920962.1|HILL	LOC108031881|XP_016961134.1|DBIA
OG0000694	LOC119653610|XP_037914300.1|HILL	LOC108025866|XP_016952025.1|DBIA, LOC108030530|XP_016958908.1|DBIA
OG0000695	LOC119652336|XP_037912278.1|HILL	LOC108024892|XP_016950523.1|DBIA
OG0000696	LOC119646793|XP_037903310.1|HILL	LOC108028233|XP_016955386.1|DBIA
OG0000696	LOC119661444|XP_037926717.1|HILL	LOC108036717|XP_016968506.1|DBIA
OG0000697	LOC119650562|XP_037909296.1|HILL	LOC108027541|XP_016954479.1|DBIA, LOC108027091|XP_016953800.1|DBIA
OG0000698	LOC119658246|XP_037921452.1|HILL	LOC108028980|XP_016956509.1|DBIA
OG0000698	LOC119647067|XP_037903752.1|HILL	LOC108029304|XP_016956996.1|DBIA
OG0000699	LOC119651230|XP_037910634.1|HILL	LOC108034117|XP_016964386.1|DBIA, LOC108031225|XP_016959950.1|DBIA
OG0000700	LOC119646407|XP_037902779.1|HILL	LOC108029188|XP_016956849.1|DBIA, LOC108027917|XP_016955029.1|DBIA
OG0000701	LOC119646960|XP_037903587.1|HILL	LOC108029443|XP_016957181.1|DBIA, LOC108025939|XP_016952126.1|DBIA
OG0000702	LOC119660330|XP_037924740.1|HILL	LOC108026164|XP_016952409.1|DBIA, LOC108026163|XP_016952386.1|DBIA
OG0000703	LOC119654345|XP_037915612.1|HILL	LOC108032597|XP_016962001.1|DBIA, LOC108030103|XP_016958279.1|DBIA
OG0000704	LOC119656221|XP_037918548.1|HILL	LOC108024154|XP_016949446.1|DBIA, LOC108025061|XP_016950808.1|DBIA
OG0000705	LOC119647711|XP_037904729.1|HILL	LOC108028899|XP_016956410.1|DBIA, LOC108028884|XP_016956392.1|DBIA
OG0000707	LOC119653490|XP_037914046.1|HILL	LOC108022300|XP_016946649.1|DBIA, LOC108025880|XP_016952044.1|DBIA
OG0000708	LOC119656653|XP_037919046.1|HILL	LOC108023383|XP_016948279.1|DBIA, LOC108031991|XP_016961314.1|DBIA
OG0000709	LOC119653532|XP_037914134.1|HILL	LOC108025090|XP_016950840.1|DBIA, LOC108033068|XP_016962721.1|DBIA
OG0000710	LOC119654565|XP_037915943.1|HILL	LOC108027098|XP_016953805.1|DBIA, LOC108022922|XP_016947622.1|DBIA
OG0000711	LOC119656215|XP_037918541.1|HILL	LOC108034580|XP_016965002.1|DBIA, LOC108023642|XP_016948747.1|DBIA
OG0000713	LOC119655497|XP_037917327.1|HILL	LOC108027090|XP_016953795.1|DBIA, LOC108030368|XP_016958726.1|DBIA
OG0000714	LOC119648844|XP_037906647.1|HILL	LOC108033067|XP_016962720.1|DBIA, LOC108035044|XP_016965908.1|DBIA
OG0000716	LOC119649173|XP_037907129.1|HILL	LOC108029412|XP_016957175.1|DBIA, LOC108035372|XP_016966461.1|DBIA
OG0000717	LOC119646150|XP_037902445.1|HILL, LOC119648535|XP_037906231.1|HILL, LOC119650388|XP_037909075.1|HILL, LOC119648930|XP_037906771.1|HILL	LOC108030783|XP_016959324.1|DBIA
OG0000718	LOC119660961|XP_037925932.1|HILL	LOC108036030|XP_016967461.1|DBIA
OG0000719	LOC119649989|XP_037908372.1|HILL, LOC119649354|XP_037907390.1|HILL	LOC108034944|XP_016965712.1|DBIA, LOC108035245|XP_016966268.1|DBIA
OG0000724	LOC119657926|XP_037921041.1|HILL	LOC108027611|XP_016954621.1|DBIA, LOC108025091|XP_016950841.1|DBIA
OG0000726	LOC119653055|XP_037913462.1|HILL	LOC108025453|XP_016951446.1|DBIA, LOC108023479|XP_016948493.1|DBIA
OG0000727	LOC119658886|XP_037922601.1|HILL	LOC108032079|XP_016961391.1|DBIA, LOC108032230|XP_016961582.1|DBIA
OG0000728	LOC119650595|XP_037909372.1|HILL	LOC108023315|XP_016948107.1|DBIA
OG0000729	LOC119652827|XP_037913083.1|HILL	LOC108025515|XP_016951525.1|DBIA, LOC108025517|XP_016951527.1|DBIA
OG0000730	LOC119647745|XP_037904788.1|HILL	LOC108033136|XP_016962847.1|DBIA, LOC108032433|XP_016961745.1|DBIA
OG0000731	LOC119646681|XP_037903161.1|HILL	LOC108035519|XP_016966670.1|DBIA, LOC108029952|XP_016957943.1|DBIA
OG0000732	LOC119648801|XP_037906578.1|HILL	LOC108035034|XP_016965868.1|DBIA, LOC108035036|XP_016965870.1|DBIA
OG0000733	LOC119648378|XP_037906038.1|HILL	LOC108026069|XP_016952254.1|DBIA, LOC108035381|XP_016966476.1|DBIA
OG0000734	LOC119650154|XP_037908624.1|HILL	LOC108025692|XP_016951717.1|DBIA, LOC108035374|XP_016966463.1|DBIA
OG0000735	LOC119651169|XP_037910516.1|HILL	LOC108032637|XP_016962073.1|DBIA
OG0000736	LOC119651873|XP_037911608.1|HILL	LOC108027663|XP_016954691.1|DBIA, LOC108027662|XP_016954690.1|DBIA
OG0000737	LOC119646763|XP_037903271.1|HILL	LOC108026062|XP_016952246.1|DBIA
OG0000738	LOC119651288|XP_037910731.1|HILL	LOC108036739|XP_016968537.1|DBIA, LOC108032452|XP_016961767.1|DBIA
OG0000739	LOC119659661|XP_037923798.1|HILL	LOC108031098|XP_016959797.1|DBIA, LOC108032103|XP_016961421.1|DBIA
OG0000740	LOC119646987|XP_037903631.1|HILL	LOC108034609|XP_016965460.1|DBIA
OG0000740	LOC119660242|XP_037924623.1|HILL	LOC108031622|XP_016960716.1|DBIA
OG0000741	LOC119660617|XP_037925245.1|HILL	LOC108025774|XP_016951861.1|DBIA, LOC108023204|XP_016947959.1|DBIA
OG0000742	LOC119655245|XP_037916962.1|HILL	LOC108027567|XP_016954543.1|DBIA, LOC108027568|XP_016954546.1|DBIA
OG0000743	LOC119647882|XP_037905097.1|HILL	LOC108029604|XP_016957473.1|DBIA, LOC108022318|XP_016946666.1|DBIA, LOC108022141|XP_016946472.1|DBIA
OG0000744	LOC119654872|XP_037916395.1|HILL, LOC119655078|XP_037916705.1|HILL, LOC119655079|XP_037916706.1|HILL, LOC119653866|XP_037914852.1|HILL	LOC108036599|XP_016968348.1|DBIA
OG0000745	LOC119659729|XP_037923913.1|HILL, LOC119657154|XP_037919858.1|HILL	LOC108022305|XP_016946654.1|DBIA, LOC108036358|XP_016967925.1|DBIA
OG0000746	LOC119654765|XP_037916233.1|HILL	LOC108026954|XP_016953656.1|DBIA, LOC108029399|XP_016957118.1|DBIA, LOC108029792|XP_016957794.1|DBIA
OG0000747	LOC119653703|XP_037914507.1|HILL	LOC108030865|XP_016959500.1|DBIA, LOC108030911|XP_016959585.1|DBIA
OG0000748	LOC119657475|XP_037920323.1|HILL	LOC108027729|XP_016954770.1|DBIA, LOC108023546|XP_016948612.1|DBIA
OG0000750	LOC119649340|XP_037907375.1|HILL, LOC119649569|XP_037907732.1|HILL, LOC119651028|XP_037910304.1|HILL, LOC119651099|XP_037910421.1|HILL	LOC108022416|XP_016946792.1|DBIA, LOC108031073|XP_016959768.1|DBIA
OG0000753	LOC119651896|XP_037911650.1|HILL	LOC108027421|XP_016954354.1|DBIA, LOC108028458|XP_016955804.1|DBIA
OG0000754	LOC119657544|XP_037920415.1|HILL	LOC108033179|XP_016962907.1|DBIA, LOC108025623|XP_016951647.1|DBIA
OG0000755	LOC119652498|XP_037912609.1|HILL	LOC108032125|XP_016961446.1|DBIA, LOC108031065|XP_016959759.1|DBIA
OG0000756	LOC119651830|XP_037911552.1|HILL	LOC108026053|XP_016952236.1|DBIA
OG0000756	LOC119652905|XP_037913209.1|HILL	LOC108026065|XP_016952249.1|DBIA
OG0000757	LOC119647880|XP_037905096.1|HILL	LOC108035695|XP_016966903.1|DBIA
OG0000758	LOC119648790|XP_037906564.1|HILL	LOC108035675|XP_016966872.1|DBIA, LOC108035594|XP_016966756.1|DBIA
OG0000759	LOC119648906|XP_037906739.1|HILL	LOC108035597|XP_016966762.1|DBIA, LOC108035598|XP_016966763.1|DBIA
OG0000760	LOC119661608|XP_037926952.1|HILL	LOC108026874|XP_016953552.1|DBIA
OG0000761	LOC119650713|XP_037909650.1|HILL	LOC108034138|XP_016964417.1|DBIA, LOC108034210|XP_016964533.1|DBIA
OG0000762	LOC119661373|XP_037926619.1|HILL	LOC108036149|XP_016967625.1|DBIA
OG0000763	LOC119646339|XP_037902693.1|HILL, LOC119647079|XP_037903764.1|HILL	LOC108034359|XP_016964736.1|DBIA, LOC108033353|XP_016963152.1|DBIA
OG0000764	LOC119654962|XP_037916548.1|HILL	LOC108031376|XP_016960212.1|DBIA
OG0000765	LOC119654298|XP_037915532.1|HILL	LOC108028454|XP_016955791.1|DBIA, LOC108023523|XP_016948565.1|DBIA
OG0000766	LOC119654919|XP_037916494.1|HILL	LOC108032442|XP_016961756.1|DBIA, LOC108023738|XP_016948865.1|DBIA
OG0000767	LOC119649895|XP_037908215.1|HILL	LOC108036673|XP_016946133.1|DBIA, LOC108030915|XP_016959594.1|DBIA
OG0000768	LOC119650429|XP_037909174.1|HILL	LOC108028723|XP_016956173.1|DBIA
OG0000769	LOC119657753|XP_037920735.1|HILL	LOC108026044|XP_016952228.1|DBIA, LOC108027588|XP_016954594.1|DBIA
OG0000770	LOC119661185|XP_037926332.1|HILL, LOC119653991|XP_037915091.1|HILL, LOC119661671|XP_037927036.1|HILL, LOC119653978|XP_037915071.1|HILL, LOC119654016|XP_037915109.1|HILL, LOC119653984|XP_037915075.1|HILL, LOC119658450|XP_037921786.1|HILL	LOC108022680|XP_016947240.1|DBIA
OG0000771	LOC119658887|XP_037922605.1|HILL	LOC108035495|XP_016966637.1|DBIA, LOC108035494|XP_016966636.1|DBIA
OG0000772	LOC119647072|XP_037903758.1|HILL, LOC119646422|XP_037902795.1|HILL, LOC119661462|XP_037926751.1|HILL, LOC119646139|XP_037902424.1|HILL	LOC108022155|XP_016946486.1|DBIA, LOC108030104|XP_016958282.1|DBIA
OG0000774	LOC119657784|XP_037920791.1|HILL	LOC108026861|XP_016953536.1|DBIA, LOC108026859|XP_016953530.1|DBIA, LOC108026860|XP_016953533.1|DBIA
OG0000778	LOC119657401|XP_037920220.1|HILL, LOC119657973|XP_037921113.1|HILL	LOC108028478|XP_016955829.1|DBIA, LOC108031447|XP_016960372.1|DBIA
OG0000779	LOC119657107|XP_037919794.1|HILL	LOC108033144|XP_016962855.1|DBIA
OG0000780	LOC119657989|XP_037921134.1|HILL	LOC108036440|XP_016968067.1|DBIA
OG0000781	LOC119658295|XP_037921520.1|HILL	LOC108033115|XP_016962808.1|DBIA, LOC108030739|XP_016959275.1|DBIA
OG0000782	LOC119657096|XP_037919779.1|HILL	LOC108035092|XP_016966002.1|DBIA, LOC108036484|XP_016968163.1|DBIA
OG0000783	LOC119657280|XP_037920052.1|HILL	LOC108023666|XP_016948777.1|DBIA
OG0000784	LOC119646893|XP_037903460.1|HILL	LOC108034664|XP_016965092.1|DBIA, LOC108023493|XP_016948510.1|DBIA
OG0000785	LOC119652372|XP_037912397.1|HILL, LOC119651286|XP_037910728.1|HILL	LOC108025060|XP_016950806.1|DBIA, LOC108024774|XP_016950376.1|DBIA
OG0000786	LOC119650690|XP_037909584.1|HILL	LOC108027163|XP_016953912.1|DBIA
OG0000787	LOC119649883|XP_037908188.1|HILL	LOC108034920|XP_016965664.1|DBIA, LOC108024415|XP_016949819.1|DBIA
OG0000788	LOC119647630|XP_037904613.1|HILL	LOC108033866|XP_016963998.1|DBIA, LOC108028513|XP_016955884.1|DBIA
OG0000789	LOC119651528|XP_037911088.1|HILL	LOC108033319|XP_016963086.1|DBIA, LOC108033318|XP_016963085.1|DBIA
OG0000790	LOC119658287|XP_037921510.1|HILL	LOC108036835|XP_016968671.1|DBIA, LOC108036834|XP_016968670.1|DBIA
OG0000791	LOC119653209|XP_037913704.1|HILL	LOC108025364|XP_016951312.1|DBIA, LOC108026284|XP_016952639.1|DBIA
OG0000793	LOC119659841|XP_037924067.1|HILL	LOC108031540|XP_016960566.1|DBIA, LOC108023431|XP_016948407.1|DBIA
OG0000794	LOC119658328|XP_037921598.1|HILL, LOC119661720|XP_037927102.1|HILL	LOC108027802|XP_016954870.1|DBIA, LOC108023334|XP_016948150.1|DBIA
OG0000795	LOC119654215|XP_037915356.1|HILL	LOC108025744|XP_016951821.1|DBIA, LOC108025147|XP_016950912.1|DBIA
OG0000796	LOC119654527|XP_037915899.1|HILL	LOC108031143|XP_016959846.1|DBIA, LOC108025835|XP_016951982.1|DBIA
OG0000797	LOC119659393|XP_037923383.1|HILL	LOC108024609|XP_016950117.1|DBIA, LOC108024608|XP_016950115.1|DBIA
OG0000798	LOC119653731|XP_037914572.1|HILL	LOC108029669|XP_016957594.1|DBIA, LOC108029646|XP_016957545.1|DBIA
OG0000799	LOC119653680|XP_037914462.1|HILL	LOC108031195|XP_016959905.1|DBIA, LOC108023502|XP_016948526.1|DBIA
OG0000801	LOC119655634|XP_037917534.1|HILL	LOC108022339|XP_016946690.1|DBIA, LOC108022806|XP_016947429.1|DBIA
OG0000802	LOC119655789|XP_037917810.1|HILL	LOC108033222|XP_016962975.1|DBIA, LOC108033034|XP_016962649.1|DBIA
OG0000803	LOC119661390|XP_037926641.1|HILL	LOC108033859|XP_016963985.1|DBIA, LOC108035452|XP_016966579.1|DBIA
OG0000804	LOC119655918|XP_037918011.1|HILL	LOC108022258|XP_016946606.1|DBIA, LOC108027309|XP_016954192.1|DBIA
OG0000805	LOC119658085|XP_037921276.1|HILL	LOC108029382|XP_016957099.1|DBIA, LOC108029385|XP_016957102.1|DBIA
OG0000807	LOC119651447|XP_037910980.1|HILL	LOC108030930|XP_016959613.1|DBIA, LOC108036096|XP_016967550.1|DBIA, LOC108034618|XP_016965042.1|DBIA, LOC108027905|XP_016955012.1|DBIA
OG0000810	LOC119652580|XP_037912724.1|HILL	LOC108030287|XP_016958607.1|DBIA, LOC108030286|XP_016958605.1|DBIA, LOC108030430|XP_016958806.1|DBIA
OG0000811	LOC119659042|XP_037922871.1|HILL	LOC108024956|XP_016950679.1|DBIA, LOC108036336|XP_016967866.1|DBIA
OG0000812	LOC119647943|XP_037905233.1|HILL	LOC108032985|XP_016962551.1|DBIA, LOC108030494|XP_016958872.1|DBIA
OG0000813	LOC119659686|XP_037923852.1|HILL	LOC108029492|XP_016957251.1|DBIA
OG0000813	LOC119649371|XP_037907416.1|HILL	LOC108029232|XP_016956915.1|DBIA
OG0000814	LOC119646163|XP_037902464.1|HILL, LOC119661727|XP_037927120.1|HILL, LOC119646661|XP_037903122.1|HILL, LOC119646655|XP_037903113.1|HILL, LOC119661251|XP_037926427.1|HILL, LOC119660561|XP_037925132.1|HILL	LOC108033733|XP_016963777.1|DBIA
OG0000815	LOC119661476|XP_037926767.1|HILL, LOC119652622|XP_037912797.1|HILL	LOC108029237|XP_016956920.1|DBIA
OG0000816	LOC119652594|XP_037912747.1|HILL, LOC119646619|XP_037903054.1|HILL	LOC108025951|XP_016952138.1|DBIA, LOC108027246|XP_016954087.1|DBIA
OG0000818	LOC119653492|XP_037914048.1|HILL	LOC108023739|XP_016948866.1|DBIA, LOC108033682|XP_016963637.1|DBIA
OG0000819	LOC119655961|XP_037918111.1|HILL	LOC108023181|XP_016947912.1|DBIA, LOC108023746|XP_016948873.1|DBIA
OG0000820	LOC119654911|XP_037916472.1|HILL	LOC108024118|XP_016949387.1|DBIA, LOC108036674|XP_016968445.1|DBIA
OG0000821	LOC119649066|XP_037906982.1|HILL	LOC108023119|XP_016947875.1|DBIA
OG0000824	LOC119661374|XP_037926621.1|HILL	LOC108034366|XP_016964745.1|DBIA
OG0000830	LOC119657934|XP_037921050.1|HILL, LOC119652615|XP_037912781.1|HILL, LOC119651988|XP_037911831.1|HILL	LOC108025903|XP_016952075.1|DBIA
OG0000831	LOC119651526|XP_037911086.1|HILL, LOC119651216|XP_037910598.1|HILL	LOC108034924|XP_016965669.1|DBIA
OG0000832	LOC119646406|XP_037902778.1|HILL	LOC108036537|XP_016968250.1|DBIA, LOC108033940|XP_016964113.1|DBIA
OG0000833	LOC119648899|XP_037906731.1|HILL	LOC108035942|XP_016967227.1|DBIA
OG0000834	LOC119650167|XP_037908642.1|HILL	LOC108025122|XP_016950877.1|DBIA
OG0000836	LOC119651568|XP_037911131.1|HILL	LOC108033338|XP_016963113.1|DBIA, LOC108034206|XP_016964527.1|DBIA
OG0000837	LOC119653598|XP_037914275.1|HILL	LOC108021962|XP_016946283.1|DBIA
OG0000838	LOC119656045|XP_037918241.1|HILL	LOC108034357|XP_016964733.1|DBIA, LOC108033381|XP_016963190.1|DBIA
OG0000839	LOC119659633|XP_037923760.1|HILL	LOC108027201|XP_016953997.1|DBIA, LOC108030966|XP_016959655.1|DBIA
OG0000840	LOC119646376|XP_037902743.1|HILL, LOC119660962|XP_037925935.1|HILL	LOC108029605|XP_016957468.1|DBIA, LOC108022027|XP_016946362.1|DBIA
OG0000841	LOC119660594|XP_037925196.1|HILL	LOC108021903|XP_016946210.1|DBIA, LOC108036876|XP_016968741.1|DBIA
OG0000842	LOC119653816|XP_037914775.1|HILL	LOC108029795|XP_016957798.1|DBIA, LOC108031707|XP_016960861.1|DBIA
OG0000843	LOC119654815|XP_037916301.1|HILL	LOC108026772|XP_016953405.1|DBIA
OG0000844	LOC119653876|XP_037914916.1|HILL	LOC108026789|XP_016953439.1|DBIA, LOC108027182|XP_016953971.1|DBIA
OG0000846	LOC119651372|XP_037910875.1|HILL, LOC119652727|XP_037912953.1|HILL, LOC119654612|XP_037916012.1|HILL	LOC108026354|XP_016952750.1|DBIA
OG0000848	LOC119658671|XP_037922165.1|HILL	LOC108036038|XP_016967469.1|DBIA, LOC108036160|XP_016967641.1|DBIA, LOC108033388|XP_016963197.1|DBIA
OG0000849	LOC119647307|XP_037904149.1|HILL	LOC108033366|XP_016963165.1|DBIA, LOC108027685|XP_016954722.1|DBIA
OG0000850	LOC119653529|XP_037914170.1|HILL, LOC119646372|XP_037902736.1|HILL	LOC108026617|XP_016953090.1|DBIA, LOC108026616|XP_016953089.1|DBIA
OG0000854	LOC119658525|XP_037921931.1|HILL	LOC108034803|XP_016965362.1|DBIA
OG0000854	LOC119658527|XP_037921933.1|HILL	LOC108034482|XP_016964917.1|DBIA
OG0000855	LOC119657117|XP_037919806.1|HILL, LOC119658156|XP_037921351.1|HILL	LOC108023617|XP_016948712.1|DBIA, LOC108031321|XP_016960056.1|DBIA
OG0000856	LOC119661011|XP_037926086.1|HILL	LOC108025655|XP_016951682.1|DBIA, LOC108030887|XP_016959542.1|DBIA
OG0000857	LOC119657417|XP_037920242.1|HILL, LOC119658236|XP_037921441.1|HILL	LOC108027617|XP_016954627.1|DBIA
OG0000858	LOC119651400|XP_037910915.1|HILL	LOC108024920|XP_016950618.1|DBIA, LOC108025444|XP_016951433.1|DBIA
OG0000860	LOC119650458|XP_037909242.1|HILL	LOC108028350|XP_016955593.1|DBIA, LOC108035212|XP_016966212.1|DBIA
OG0000861	LOC119660138|XP_037924469.1|HILL	LOC108022326|XP_016946676.1|DBIA
OG0000862	LOC119647046|XP_037903730.1|HILL	LOC108022781|XP_016947383.1|DBIA, LOC108033848|XP_016963971.1|DBIA
OG0000864	LOC119655864|XP_037917914.1|HILL	LOC108032431|XP_016961741.1|DBIA, LOC108036375|XP_016967966.1|DBIA
OG0000865	LOC119660267|XP_037924654.1|HILL	LOC108024549|XP_016950017.1|DBIA
OG0000866	LOC119651344|XP_037910827.1|HILL	LOC108027889|XP_016954996.1|DBIA, LOC108027801|XP_016954867.1|DBIA
OG0000867	LOC119661534|XP_037926842.1|HILL	LOC108033664|XP_016963592.1|DBIA
OG0000868	LOC119651020|XP_037910251.1|HILL	LOC108025924|XP_016952104.1|DBIA
OG0000869	LOC119659879|XP_037924126.1|HILL	LOC108027241|XP_016954081.1|DBIA
OG0000870	LOC119655994|XP_037918160.1|HILL	LOC108026739|XP_016953348.1|DBIA
OG0000871	LOC119655804|XP_037917831.1|HILL	LOC108030336|XP_016958688.1|DBIA
OG0000872	LOC119653635|XP_037914344.1|HILL	LOC108035763|XP_016966952.1|DBIA, LOC108026733|XP_016953335.1|DBIA
OG0000873	LOC119649384|XP_037907430.1|HILL	LOC108030805|XP_016959388.1|DBIA
OG0000874	LOC119653451|XP_037913986.1|HILL	LOC108021941|XP_016946257.1|DBIA, LOC108036511|XP_016968202.1|DBIA
OG0000875	LOC119648335|XP_037905957.1|HILL	LOC108028672|XP_016956093.1|DBIA
OG0000877	LOC119647632|XP_037904617.1|HILL, LOC119648809|XP_037906587.1|HILL	LOC108030799|XP_016959370.1|DBIA, LOC108023272|XP_016948046.1|DBIA
OG0000878	LOC119654988|XP_037916580.1|HILL	LOC108023045|XP_016947775.1|DBIA, LOC108033780|XP_016963876.1|DBIA
OG0000879	LOC119655355|XP_037917134.1|HILL	LOC108029459|XP_016957199.1|DBIA
OG0000880	LOC119646237|XP_037902555.1|HILL, LOC119661511|XP_037926810.1|HILL, LOC119647788|XP_037904907.1|HILL	LOC108023284|XP_016948065.1|DBIA, LOC108034713|XP_016965143.1|DBIA
OG0000882	LOC119657550|XP_037920431.1|HILL	LOC108033194|XP_016962927.1|DBIA
OG0000883	LOC119658367|XP_037921656.1|HILL	LOC108023924|XP_016949098.1|DBIA
OG0000884	LOC119657713|XP_037920680.1|HILL	LOC108027723|XP_016954765.1|DBIA, LOC108033082|XP_016962741.1|DBIA
OG0000886	LOC119650614|XP_037909425.1|HILL	LOC108024717|XP_016950301.1|DBIA
OG0000887	LOC119654667|XP_037916090.1|HILL, LOC119654834|XP_037916334.1|HILL	LOC108025607|XP_016951631.1|DBIA
OG0000888	LOC119647432|XP_037904268.1|HILL	LOC108029387|XP_016957107.1|DBIA
OG0000889	LOC119649708|XP_037907907.1|HILL	LOC108030753|XP_016959289.1|DBIA
OG0000890	LOC119647425|XP_037904258.1|HILL	LOC108026855|XP_016953523.1|DBIA
OG0000891	LOC119651506|XP_037911062.1|HILL	LOC108032583|XP_016961976.1|DBIA, LOC108033990|XP_016964204.1|DBIA
OG0000892	LOC119650186|XP_037908674.1|HILL	LOC108027964|XP_016955077.1|DBIA, LOC108028343|XP_016955584.1|DBIA
OG0000893	LOC119661300|XP_037926517.1|HILL	LOC108027010|XP_016953697.1|DBIA
OG0000894	LOC119659992|XP_037924292.1|HILL	LOC108027393|XP_016954318.1|DBIA
OG0000895	LOC119655493|XP_037917323.1|HILL	LOC108036594|XP_016968343.1|DBIA
OG0000896	LOC119655524|XP_037917362.1|HILL	LOC108036214|XP_016967695.1|DBIA, LOC108023636|XP_016948741.1|DBIA
OG0000899	LOC119659559|XP_037923636.1|HILL	LOC108031468|XP_016960401.1|DBIA, LOC108032200|XP_016961547.1|DBIA
OG0000907	LOC119657822|XP_037920864.1|HILL	LOC108026771|XP_016953404.1|DBIA
OG0000909	LOC119657311|XP_037920098.1|HILL	LOC108024413|XP_016949817.1|DBIA
OG0000910	LOC119647744|XP_037904787.1|HILL	LOC108036100|XP_016967559.1|DBIA, LOC108031801|XP_016961010.1|DBIA
OG0000911	LOC119659735|XP_037923922.1|HILL	LOC108023061|XP_016947797.1|DBIA
OG0000912	LOC119649903|XP_037908223.1|HILL, LOC119648205|XP_037905735.1|HILL	LOC108030517|XP_016958895.1|DBIA
OG0000913	LOC119649914|XP_037908241.1|HILL	LOC108030589|XP_016959050.1|DBIA
OG0000914	LOC119659280|XP_037923220.1|HILL	LOC108022208|XP_016946551.1|DBIA
OG0000915	LOC119661273|XP_037926469.1|HILL	LOC108036285|XP_016967785.1|DBIA, LOC108021942|XP_016946258.1|DBIA
OG0000916	LOC119649969|XP_037908336.1|HILL	LOC108036094|XP_016967534.1|DBIA
OG0000917	LOC119653264|XP_037913804.1|HILL	LOC108032529|XP_016961877.1|DBIA
OG0000918	LOC119661271|XP_037926460.1|HILL	LOC108032861|XP_016962354.1|DBIA, LOC108027669|XP_016954703.1|DBIA
OG0000920	LOC119655503|XP_037917334.1|HILL	LOC108033176|XP_016962902.1|DBIA
OG0000921	LOC119646868|XP_037903420.1|HILL	LOC108023465|XP_016948470.1|DBIA, LOC108023469|XP_016948475.1|DBIA
OG0000922	LOC119648848|XP_037906650.1|HILL, LOC119648849|XP_037906654.1|HILL	LOC108034389|XP_016964760.1|DBIA, LOC108035163|XP_016966108.1|DBIA
OG0000923	LOC119659268|XP_037923196.1|HILL	LOC108028090|XP_016955223.1|DBIA, LOC108031671|XP_016960800.1|DBIA
