Orthogroup	HILL.longest_only	DNOV.longest_only
OG0001682	LOC119652960|XP_037913284.1|HILL	LOC115766521|XP_030566348.1|DNOV, LOC115766903|XP_030566841.1|DNOV
OG0001683	LOC119647325|XP_037904184.1|HILL	LOC115763329|XP_030561693.1|DNOV
OG0001684	LOC119660953|XP_037925916.1|HILL	LOC115766746|XP_030566583.1|DNOV
OG0001685	LOC119647007|XP_037903673.1|HILL	LOC115758401|XP_030554904.1|DNOV
OG0001686	LOC119657886|XP_037920953.1|HILL	LOC115766336|XP_030566089.1|DNOV
OG0001687	LOC119658373|XP_037921663.1|HILL	LOC115768145|XP_030568500.1|DNOV
OG0001688	LOC119656875|XP_037919467.1|HILL	LOC115768672|XP_030569215.1|DNOV
OG0001689	LOC119656983|XP_037919646.1|HILL, LOC119658473|XP_037921832.1|HILL, LOC119658329|XP_037921595.1|HILL, LOC119656968|XP_037919621.1|HILL	LOC115768836|XP_030569393.1|DNOV
OG0001690	LOC119648964|XP_037906811.1|HILL	LOC115769816|XP_030570644.1|DNOV
OG0001691	LOC119658271|XP_037921489.1|HILL, LOC119660760|XP_037925454.1|HILL	LOC115758956|XP_030555617.1|DNOV
OG0001692	LOC119652052|XP_037911916.1|HILL	LOC115764064|XP_030562772.1|DNOV
OG0001693	LOC119658052|XP_037921225.1|HILL	LOC115768791|XP_030569347.1|DNOV
OG0001694	LOC119650616|XP_037909427.1|HILL	LOC115761709|XP_030559444.1|DNOV
OG0001695	LOC119657243|XP_037919985.1|HILL	LOC115763945|XP_030562600.1|DNOV, LOC115763963|XP_030562621.1|DNOV
OG0001696	LOC119660622|XP_037925253.1|HILL	LOC115761829|XP_030559631.1|DNOV
OG0001697	LOC119652005|XP_037911863.1|HILL	LOC115760379|XP_030557535.1|DNOV
OG0001698	LOC119658486|XP_037921860.1|HILL	LOC115768217|XP_030568601.1|DNOV
OG0001699	LOC119651502|XP_037911048.1|HILL	LOC115762020|XP_030559948.1|DNOV, LOC115761869|XP_030559728.1|DNOV
OG0001700	LOC119659448|XP_037923460.1|HILL	LOC115759572|XP_030556398.1|DNOV
OG0001701	LOC119656877|XP_037919470.1|HILL	LOC115764158|XP_030562896.1|DNOV
OG0001702	LOC119652737|XP_037912963.1|HILL	LOC115763608|XP_030562096.1|DNOV
OG0001703	LOC119651551|XP_037911111.1|HILL	LOC115768650|XP_030569183.1|DNOV
OG0001704	LOC119651685|XP_037911314.1|HILL	LOC115768633|XP_030569159.1|DNOV
OG0001705	LOC119650660|XP_037909524.1|HILL	LOC115760584|XP_030557869.1|DNOV
OG0001706	LOC119650414|XP_037909135.1|HILL	LOC115763609|XP_030562097.1|DNOV
OG0001707	LOC119655036|XP_037916644.1|HILL	LOC115771787|XP_030573517.1|DNOV
OG0001708	LOC119654721|XP_037916171.1|HILL, LOC119654653|XP_037916069.1|HILL, LOC119654493|XP_037915844.1|HILL	LOC115764098|XP_030562811.1|DNOV
OG0001709	LOC119658818|XP_037922470.1|HILL	LOC115769677|XP_030570454.1|DNOV
OG0001710	LOC119650640|XP_037909490.1|HILL	LOC115771750|XP_030573457.1|DNOV
OG0001711	LOC119658449|XP_037921781.1|HILL	LOC115772017|XP_030573808.1|DNOV
OG0001712	LOC119656973|XP_037919631.1|HILL	LOC115764678|XP_030563726.1|DNOV
OG0001713	LOC119658767|XP_037922392.1|HILL	LOC115770873|XP_030572170.1|DNOV, LOC115770942|XP_030572262.1|DNOV
OG0001714	LOC119660448|XP_037924929.1|HILL	LOC115763644|XP_030562139.1|DNOV
OG0001715	LOC119651565|XP_037911127.1|HILL	LOC115765240|XP_030564558.1|DNOV
OG0001716	LOC119652970|XP_037913302.1|HILL	LOC115767354|XP_030567467.1|DNOV, LOC115765289|XP_030564639.1|DNOV
OG0001717	LOC119651035|XP_037910280.1|HILL	LOC115761177|XP_030558699.1|DNOV
OG0001718	LOC119650787|XP_037909830.1|HILL	LOC115761696|XP_030559426.1|DNOV, LOC115761452|XP_030559079.1|DNOV
OG0001719	LOC119656637|XP_037919005.1|HILL	LOC115772057|XP_030573861.1|DNOV
OG0001720	LOC119650761|XP_037909780.1|HILL	LOC115764973|XP_030564158.1|DNOV
OG0001721	LOC119652390|XP_037912419.1|HILL	LOC115765003|XP_030564209.1|DNOV
OG0001722	LOC119648853|XP_037906658.1|HILL, LOC119649076|XP_037906998.1|HILL, LOC119650269|XP_037908820.1|HILL	LOC115769439|XP_030570108.1|DNOV
OG0001723	LOC119659078|XP_037922919.1|HILL, LOC119660005|XP_037924311.1|HILL, LOC119649821|XP_037908084.1|HILL	LOC115762128|XP_030560093.1|DNOV
OG0001724	LOC119647260|XP_037904068.1|HILL	LOC115760764|XP_030558104.1|DNOV
OG0001725	LOC119658869|XP_037922558.1|HILL	LOC115760937|XP_030558375.1|DNOV
OG0001726	LOC119650313|XP_037908896.1|HILL	LOC115762693|XP_030560875.1|DNOV
OG0001727	LOC119652567|XP_037912708.1|HILL	LOC115772075|XP_030573886.1|DNOV
OG0001728	LOC119653008|XP_037913368.1|HILL, LOC119652940|XP_037913258.1|HILL	LOC115762406|XP_030560456.1|DNOV
OG0001729	LOC119661747|XP_037927141.1|HILL	LOC115760521|XP_030557751.1|DNOV
OG0001730	LOC119646998|XP_037903652.1|HILL	LOC115758369|XP_030554817.1|DNOV
OG0001731	LOC119661387|XP_037926637.1|HILL	LOC115761107|XP_030558595.1|DNOV
OG0001732	LOC119648975|XP_037906825.1|HILL	LOC115759351|XP_030556133.1|DNOV
OG0001733	LOC119646388|XP_037902759.1|HILL	LOC115762398|XP_030560444.1|DNOV
OG0001734	LOC119661548|XP_037926861.1|HILL	LOC115760920|XP_030558353.1|DNOV
OG0001735	LOC119650184|XP_037908668.1|HILL	LOC115767136|XP_030567158.1|DNOV
OG0001736	LOC119661518|XP_037926821.1|HILL	LOC115761616|XP_030559301.1|DNOV
OG0001737	LOC119660090|XP_037924397.1|HILL	LOC115762451|XP_030560514.1|DNOV
OG0001738	LOC119648310|XP_037905918.1|HILL	LOC115771009|XP_030572375.1|DNOV
OG0001739	LOC119660084|XP_037924392.1|HILL	LOC115760094|XP_030557139.1|DNOV
OG0001740	LOC119661112|XP_037926235.1|HILL	LOC115760765|XP_030558109.1|DNOV
OG0001741	LOC119646911|XP_037903510.1|HILL	LOC115766113|XP_030565794.1|DNOV
OG0001742	LOC119649624|XP_037907787.1|HILL	LOC115760073|XP_030557113.1|DNOV
OG0001744	LOC119649874|XP_037908212.1|HILL	LOC115761853|XP_030560103.1|DNOV
OG0001745	LOC119660852|XP_037925677.1|HILL	LOC115758318|XP_030554745.1|DNOV, LOC115767030|XP_030567052.1|DNOV
OG0001746	LOC119648796|XP_037906569.1|HILL	LOC115770036|XP_030570963.1|DNOV
OG0001747	LOC119661675|XP_037927040.1|HILL	LOC115760738|XP_030558074.1|DNOV
OG0001748	LOC119648513|XP_037906210.1|HILL	LOC115771148|XP_030572580.1|DNOV
OG0001749	LOC119647052|XP_037903738.1|HILL	LOC115771122|XP_030572550.1|DNOV
OG0001750	LOC119656311|XP_037918690.1|HILL	LOC115771103|XP_030572526.1|DNOV
OG0001751	LOC119647600|XP_037904554.1|HILL	LOC115770986|XP_030572335.1|DNOV
OG0001752	LOC119648958|XP_037906804.1|HILL	LOC115769737|XP_030570536.1|DNOV
OG0001753	LOC119649117|XP_037907046.1|HILL	LOC115767135|XP_030567156.1|DNOV
OG0001754	LOC119661680|XP_037927046.1|HILL	LOC115760794|XP_030558149.1|DNOV
OG0001755	LOC119649001|XP_037906870.1|HILL, LOC119648998|XP_037906857.1|HILL	LOC115767174|XP_030567217.1|DNOV
OG0001756	LOC119646516|XP_037902900.1|HILL	LOC115760554|XP_030557810.1|DNOV
OG0001757	LOC119655543|XP_037917390.1|HILL	LOC115761094|XP_030558576.1|DNOV
OG0001758	LOC119648834|XP_037906624.1|HILL	LOC115770040|XP_030570970.1|DNOV, LOC115757656|XP_030554237.1|DNOV
OG0001759	LOC119646476|XP_037902858.1|HILL	LOC115760005|XP_030557027.1|DNOV
OG0001760	LOC119648400|XP_037906104.1|HILL	LOC115762069|XP_030560018.1|DNOV
OG0001761	LOC119652565|XP_037912706.1|HILL	LOC115771810|XP_030573551.1|DNOV
OG0001762	LOC119651874|XP_037911610.1|HILL	LOC115758847|XP_030555489.1|DNOV
OG0001763	LOC119651913|XP_037911667.1|HILL	LOC115760261|XP_030557385.1|DNOV, LOC115760262|XP_030557386.1|DNOV
OG0001764	LOC119659463|XP_037923478.1|HILL	LOC115761281|XP_030558861.1|DNOV
OG0001765	LOC119661249|XP_037926416.1|HILL	LOC115762159|XP_030560133.1|DNOV
OG0001766	LOC119650699|XP_037909613.1|HILL	LOC115760124|XP_030557182.1|DNOV
OG0001767	LOC119647214|XP_037903968.1|HILL	LOC115758735|XP_030555345.1|DNOV, LOC115758692|XP_030555297.1|DNOV
OG0001768	LOC119654969|XP_037916560.1|HILL	LOC115765893|XP_030565495.1|DNOV
OG0001769	LOC119652173|XP_037912046.1|HILL	LOC115759320|XP_030556090.1|DNOV
OG0001770	LOC119647062|XP_037903747.1|HILL	LOC115760045|XP_030557072.1|DNOV
OG0001771	LOC119651116|XP_037910422.1|HILL	LOC115758600|XP_030555183.1|DNOV, LOC115758555|XP_030555113.1|DNOV
OG0001772	LOC119661431|XP_037926704.1|HILL	LOC115763960|XP_030562618.1|DNOV
OG0001773	LOC119652398|XP_037912433.1|HILL	LOC115763441|XP_030561866.1|DNOV
OG0001774	LOC119647111|XP_037903818.1|HILL	LOC115762089|XP_030560044.1|DNOV
OG0001776	LOC119651493|XP_037911035.1|HILL	LOC115763405|XP_030561816.1|DNOV
OG0001777	LOC119650180|XP_037908664.1|HILL	LOC115759805|XP_030556749.1|DNOV
OG0001778	LOC119653702|XP_037914504.1|HILL	LOC115759119|XP_030555822.1|DNOV
OG0001779	LOC119651725|XP_037911377.1|HILL	LOC115763358|XP_030561743.1|DNOV
OG0001780	LOC119646630|XP_037903066.1|HILL	LOC115762062|XP_030560008.1|DNOV
OG0001781	LOC119653022|XP_037913393.1|HILL	LOC115763435|XP_030561858.1|DNOV
OG0001782	LOC119652414|XP_037912459.1|HILL	LOC115769235|XP_030569808.1|DNOV
OG0001783	LOC119652306|XP_037912244.1|HILL	LOC115763051|XP_030561336.1|DNOV
OG0001784	LOC119646844|XP_037903394.1|HILL	LOC115758503|XP_030555050.1|DNOV
OG0001785	LOC119646632|XP_037903070.1|HILL, LOC119646635|XP_037903076.1|HILL	LOC115762228|XP_030560223.1|DNOV
OG0001786	LOC119646394|XP_037902766.1|HILL	LOC115760122|XP_030557179.1|DNOV
OG0001787	LOC119646256|XP_037902584.1|HILL	LOC115759854|XP_030556815.1|DNOV, LOC115759983|XP_030556997.1|DNOV
OG0001788	LOC119657844|XP_037920894.1|HILL	LOC115758091|XP_030554470.1|DNOV
OG0001789	LOC119648971|XP_037906821.1|HILL	LOC115766544|XP_030566377.1|DNOV
OG0001790	LOC119646437|XP_037902816.1|HILL	LOC115760171|XP_030557251.1|DNOV
OG0001791	LOC119650337|XP_037908927.1|HILL	LOC115770853|XP_030572184.1|DNOV
OG0001792	LOC119646135|XP_037902415.1|HILL	LOC115760120|XP_030557175.1|DNOV
OG0001793	LOC119647243|XP_037904036.1|HILL	LOC115758192|XP_030554598.1|DNOV
OG0001794	LOC119647312|XP_037904158.1|HILL	LOC115758830|XP_030555467.1|DNOV
OG0001796	LOC119653945|XP_037915034.1|HILL	LOC115767199|XP_030567249.1|DNOV
OG0001797	LOC119661047|XP_037926168.1|HILL	LOC115766752|XP_030566590.1|DNOV
OG0001800	LOC119647110|XP_037903816.1|HILL	LOC115759785|XP_030556720.1|DNOV
OG0001801	LOC119649603|XP_037907747.1|HILL	LOC115769914|XP_030570797.1|DNOV
OG0001802	LOC119660149|XP_037924477.1|HILL	LOC115759552|XP_030556374.1|DNOV
OG0001803	LOC119659364|XP_037923344.1|HILL	LOC115763836|XP_030562455.1|DNOV
OG0001804	LOC119659141|XP_037923003.1|HILL	LOC115759416|XP_030556168.1|DNOV
OG0001805	LOC119648083|XP_037905500.1|HILL	LOC115770990|XP_030572342.1|DNOV
OG0001806	LOC119658939|XP_037922721.1|HILL	LOC115770844|XP_030572141.1|DNOV, LOC115770909|XP_030572213.1|DNOV
OG0001807	LOC119658706|XP_037922243.1|HILL	LOC115766065|XP_030565725.1|DNOV
OG0001810	LOC119648878|XP_037906698.1|HILL	LOC115764652|XP_030563693.1|DNOV
OG0001811	LOC119656076|XP_037918285.1|HILL	LOC115759566|XP_030556395.1|DNOV
OG0001812	LOC119651076|XP_037910345.1|HILL	LOC115769132|XP_030569699.1|DNOV
OG0001813	LOC119660390|XP_037924842.1|HILL	LOC115759659|XP_030556513.1|DNOV
OG0001814	LOC119658850|XP_037922528.1|HILL	LOC115764616|XP_030563634.1|DNOV
OG0001815	LOC119660115|XP_037924432.1|HILL	LOC115763695|XP_030562242.1|DNOV
OG0001816	LOC119655746|XP_037917728.1|HILL	LOC115764576|XP_030563583.1|DNOV, LOC115768047|XP_030568339.1|DNOV
OG0001817	LOC119653661|XP_037914419.1|HILL	LOC115763198|XP_030561524.1|DNOV, LOC115763938|XP_030562592.1|DNOV
OG0001818	LOC119655406|XP_037917217.1|HILL	LOC115768188|XP_030568557.1|DNOV
OG0001819	LOC119655833|XP_037917869.1|HILL	LOC115765190|XP_030564481.1|DNOV
OG0001820	LOC119654292|XP_037915524.1|HILL	LOC115767226|XP_030567283.1|DNOV
OG0001821	LOC119654320|XP_037915574.1|HILL	LOC115761152|XP_030558683.1|DNOV
OG0001822	LOC119654392|XP_037915694.1|HILL, LOC119654840|XP_037916346.1|HILL	LOC115760908|XP_030558338.1|DNOV
OG0001823	LOC119649125|XP_037907058.1|HILL	LOC115766248|XP_030565971.1|DNOV
OG0001824	LOC119660170|XP_037924504.1|HILL	LOC115760255|XP_030557376.1|DNOV
OG0001825	LOC119655946|XP_037918065.1|HILL	LOC115767430|XP_030567569.1|DNOV
OG0001826	LOC119655762|XP_037917745.1|HILL	LOC115759727|XP_030556608.1|DNOV
OG0001827	LOC119654394|XP_037915702.1|HILL	LOC115758236|XP_030554648.1|DNOV
OG0001828	LOC119653863|XP_037914848.1|HILL	LOC115767872|XP_030568092.1|DNOV, LOC115769940|XP_030570844.1|DNOV
OG0001829	LOC119655295|XP_037917043.1|HILL	LOC115757828|XP_030554112.1|DNOV
OG0001830	LOC119655843|XP_037917883.1|HILL	LOC115757906|XP_030554217.1|DNOV
OG0001831	LOC119647884|XP_037905100.1|HILL	LOC115771387|XP_030572932.1|DNOV
OG0001832	LOC119660892|XP_037925751.1|HILL	LOC115767569|XP_030567714.1|DNOV, LOC115767568|XP_030567713.1|DNOV, LOC115764066|XP_030562774.1|DNOV
OG0001833	LOC119654266|XP_037915461.1|HILL	LOC115763798|XP_030562401.1|DNOV, LOC115761868|XP_030559731.1|DNOV
OG0001834	LOC119651393|XP_037910903.1|HILL	LOC115761629|XP_030559318.1|DNOV
OG0001848	LOC119650675|XP_037909558.1|HILL	LOC115760422|XP_030557590.1|DNOV
OG0001849	LOC119650802|XP_037909869.1|HILL	LOC115761359|XP_030558965.1|DNOV
OG0001850	LOC119660900|XP_037925766.1|HILL	LOC115766803|XP_030566688.1|DNOV
OG0001851	LOC119660999|XP_037926025.1|HILL	LOC115766706|XP_030566484.1|DNOV
OG0001852	LOC119648791|XP_037906565.1|HILL	LOC115762768|XP_030560977.1|DNOV
OG0001853	LOC119651794|XP_037911489.1|HILL	LOC115764018|XP_030562707.1|DNOV
OG0001854	LOC119657167|XP_037919880.1|HILL	LOC115766463|XP_030566258.1|DNOV
OG0001855	LOC119657085|XP_037919768.1|HILL	LOC115764515|XP_030563472.1|DNOV
OG0001856	LOC119656794|XP_037919330.1|HILL	LOC115767288|XP_030567379.1|DNOV
OG0001857	LOC119658348|XP_037921631.1|HILL	LOC115764274|XP_030563059.1|DNOV
OG0001858	LOC119658315|XP_037921567.1|HILL	LOC115764273|XP_030563058.1|DNOV
OG0001859	LOC119656734|XP_037919204.1|HILL	LOC115767823|XP_030568024.1|DNOV
OG0001860	LOC119648757|XP_037906511.1|HILL	LOC115770400|XP_030571513.1|DNOV
OG0001861	LOC119657655|XP_037920607.1|HILL, LOC119657656|XP_037920608.1|HILL	LOC115757772|XP_030554057.1|DNOV
OG0001862	LOC119656726|XP_037919181.1|HILL, LOC119656727|XP_037919183.1|HILL	LOC115764693|XP_030563747.1|DNOV
OG0001863	LOC119657322|XP_037920111.1|HILL	LOC115765257|XP_030564596.1|DNOV
OG0001864	LOC119661721|XP_037927106.1|HILL	LOC115772134|XP_030573974.1|DNOV
OG0001865	LOC119657944|XP_037921064.1|HILL	LOC115765586|XP_030565096.1|DNOV, LOC115766372|XP_030566132.1|DNOV
OG0001866	LOC119659495|XP_037923540.1|HILL	LOC115761422|XP_030559043.1|DNOV
OG0001867	LOC119647424|XP_037904251.1|HILL	LOC115771049|XP_030572457.1|DNOV
OG0001868	LOC119652674|XP_037912867.1|HILL	LOC115758670|XP_030555273.1|DNOV
OG0001869	LOC119660246|XP_037924627.1|HILL, LOC119660334|XP_037924745.1|HILL	LOC115761194|XP_030558727.1|DNOV
OG0001870	LOC119646980|XP_037903618.1|HILL	LOC115768684|XP_030569229.1|DNOV
OG0001871	LOC119657333|XP_037920130.1|HILL, LOC119657197|XP_037919930.1|HILL, LOC119657102|XP_037919785.1|HILL, LOC119657440|XP_037920276.1|HILL, LOC119657585|XP_037920492.1|HILL, LOC119657304|XP_037920092.1|HILL	LOC115768171|XP_030568529.1|DNOV
OG0001872	LOC119657360|XP_037920160.1|HILL	LOC115759595|XP_030556424.1|DNOV
OG0001873	LOC119652394|XP_037912429.1|HILL	LOC115764771|XP_030563870.1|DNOV
OG0001874	LOC119657327|XP_037920118.1|HILL	LOC115760351|XP_030557501.1|DNOV
OG0001875	LOC119646791|XP_037903303.1|HILL	LOC115771918|XP_030573670.1|DNOV, LOC115771673|XP_030573347.1|DNOV
OG0001876	LOC119658387|XP_037921683.1|HILL	LOC115760594|XP_030557887.1|DNOV
OG0001877	LOC119657237|XP_037919979.1|HILL	LOC115767797|XP_030567988.1|DNOV
OG0001878	LOC119656553|XP_037918847.1|HILL	LOC115761751|XP_030559512.1|DNOV
OG0001879	LOC119658469|XP_037921815.1|HILL	LOC115760404|XP_030557563.1|DNOV, LOC115760370|XP_030557523.1|DNOV, LOC115768249|XP_030568639.1|DNOV
OG0001880	LOC119653041|XP_037913425.1|HILL, LOC119651221|XP_037910605.1|HILL	LOC115770589|XP_030571778.1|DNOV
OG0001881	LOC119658476|XP_037921841.1|HILL	LOC115759502|XP_030556303.1|DNOV
OG0001882	LOC119657673|XP_037920627.1|HILL	LOC115772033|XP_030573823.1|DNOV
OG0001883	LOC119651092|XP_037910374.1|HILL	LOC115764818|XP_030563927.1|DNOV
OG0001884	LOC119650850|XP_037909924.1|HILL	LOC115757676|XP_030553867.1|DNOV
OG0001885	LOC119657133|XP_037919832.1|HILL	LOC115759111|XP_030555813.1|DNOV, LOC115760160|XP_030557232.1|DNOV
OG0001886	LOC119651262|XP_037910690.1|HILL	LOC115761938|XP_030559833.1|DNOV
OG0001887	LOC119654633|XP_037916033.1|HILL	LOC115758283|XP_030554707.1|DNOV
OG0001888	LOC119646671|XP_037903129.1|HILL	LOC115763663|XP_030562194.1|DNOV
OG0001889	LOC119656485|XP_037918737.1|HILL	LOC115767801|XP_030567992.1|DNOV
OG0001890	LOC119651162|XP_037910508.1|HILL	LOC115771531|XP_030573128.1|DNOV
OG0001891	LOC119652430|XP_037912482.1|HILL	LOC115771655|XP_030573320.1|DNOV
OG0001892	LOC119650670|XP_037909548.1|HILL	LOC115758508|XP_030555058.1|DNOV
OG0001893	LOC119652824|XP_037913081.1|HILL	LOC115764956|XP_030564138.1|DNOV
OG0001894	LOC119652620|XP_037912792.1|HILL	LOC115762066|XP_030560013.1|DNOV
OG0001895	LOC119658873|XP_037922570.1|HILL	LOC115766726|XP_030566542.1|DNOV
OG0001897	LOC119656602|XP_037918959.1|HILL	LOC115771770|XP_030573484.1|DNOV
OG0001898	LOC119658001|XP_037921149.1|HILL	LOC115768031|XP_030568313.1|DNOV
OG0001899	LOC119651575|XP_037911139.1|HILL	LOC115764108|XP_030562823.1|DNOV
OG0001900	LOC119648331|XP_037905953.1|HILL	LOC115771504|XP_030573093.1|DNOV
OG0001901	LOC119651068|XP_037910333.1|HILL	LOC115759717|XP_030556584.1|DNOV
OG0001903	LOC119652506|XP_037912622.1|HILL	LOC115764070|XP_030562777.1|DNOV
OG0001904	LOC119652679|XP_037912878.1|HILL	LOC115761380|XP_030558991.1|DNOV
OG0001905	LOC119651490|XP_037911032.1|HILL	LOC115766273|XP_030565998.1|DNOV
OG0001906	LOC119650954|XP_037910123.1|HILL, LOC119650953|XP_037910117.1|HILL	LOC115761740|XP_030559487.1|DNOV
OG0001907	LOC119652852|XP_037913137.1|HILL	LOC115765120|XP_030564375.1|DNOV
OG0001908	LOC119651753|XP_037911418.1|HILL	LOC115764870|XP_030564008.1|DNOV
OG0001909	LOC119657004|XP_037919671.1|HILL	LOC115764258|XP_030563037.1|DNOV
OG0001910	LOC119652713|XP_037912926.1|HILL	LOC115761223|XP_030558772.1|DNOV
OG0001911	LOC119651203|XP_037910572.1|HILL	LOC115771744|XP_030573435.1|DNOV
OG0001912	LOC119647546|XP_037904464.1|HILL, LOC119647543|XP_037904461.1|HILL, LOC119647547|XP_037904465.1|HILL, LOC119647548|XP_037904466.1|HILL	LOC115764176|XP_030562926.1|DNOV
OG0001914	LOC119650748|XP_037909758.1|HILL	LOC115765000|XP_030564202.1|DNOV
OG0001915	LOC119649037|XP_037906924.1|HILL	LOC115769764|XP_030570584.1|DNOV
OG0001916	LOC119659318|XP_037923266.1|HILL	LOC115760856|XP_030558267.1|DNOV
OG0001917	LOC119648161|XP_037905664.1|HILL	LOC115769493|XP_030570172.1|DNOV
OG0001918	LOC119648279|XP_037905861.1|HILL	LOC115769529|XP_030570231.1|DNOV
OG0001919	LOC119661109|XP_037926233.1|HILL, LOC119660811|XP_037925584.1|HILL	LOC115760024|XP_030557050.1|DNOV
OG0001920	LOC119650198|XP_037908693.1|HILL	LOC115760249|XP_030557365.1|DNOV, LOC115770603|XP_030571800.1|DNOV
OG0001921	LOC119650073|XP_037908499.1|HILL	LOC115760460|XP_030557646.1|DNOV, LOC115760461|XP_030557647.1|DNOV, LOC115760458|XP_030557640.1|DNOV
OG0001922	LOC119650082|XP_037908513.1|HILL	LOC115762129|XP_030560094.1|DNOV
OG0001923	LOC119650384|XP_037909052.1|HILL	LOC115771012|XP_030572379.1|DNOV
OG0001924	LOC119647996|XP_037905309.1|HILL	LOC115760157|XP_030557229.1|DNOV
OG0001925	LOC119649855|XP_037908139.1|HILL, LOC119650048|XP_037908461.1|HILL	LOC115771261|XP_030572737.1|DNOV
OG0001926	LOC119649480|XP_037907577.1|HILL	LOC115767149|XP_030567179.1|DNOV, LOC115767167|XP_030567210.1|DNOV
OG0001927	LOC119646736|XP_037903241.1|HILL	LOC115760492|XP_030557703.1|DNOV
OG0001928	LOC119647619|XP_037904589.1|HILL	LOC115770504|XP_030571658.1|DNOV
OG0001929	LOC119656183|XP_037918461.1|HILL, LOC119647768|XP_037904830.1|HILL	LOC115762803|XP_030561022.1|DNOV, LOC115770197|XP_030571221.1|DNOV
OG0001930	LOC119651261|XP_037910688.1|HILL	LOC115760569|XP_030557842.1|DNOV
OG0001931	LOC119648402|XP_037906072.1|HILL	LOC115769877|XP_030570739.1|DNOV
OG0001932	LOC119648398|XP_037906067.1|HILL	LOC115769874|XP_030570734.1|DNOV
OG0001933	LOC119648765|XP_037906522.1|HILL	LOC115760905|XP_030558336.1|DNOV
OG0001934	LOC119649388|XP_037907437.1|HILL	LOC115770460|XP_030571597.1|DNOV
OG0001935	LOC119648672|XP_037906388.1|HILL, LOC119649360|XP_037907401.1|HILL	LOC115762662|XP_030560830.1|DNOV
OG0001937	LOC119661170|XP_037926313.1|HILL	LOC115762183|XP_030560163.1|DNOV
OG0001938	LOC119661149|XP_037926289.1|HILL	LOC115762263|XP_030560284.1|DNOV
OG0001939	LOC119659184|XP_037923072.1|HILL	LOC115762272|XP_030560294.1|DNOV
OG0001940	LOC119647200|XP_037903942.1|HILL	LOC115760577|XP_030557855.1|DNOV
OG0001941	LOC119648112|XP_037905558.1|HILL	LOC115770706|XP_030571962.1|DNOV
OG0001943	LOC119649455|XP_037907537.1|HILL, LOC119649625|XP_037907788.1|HILL, LOC119649112|XP_037907039.1|HILL	LOC115762841|XP_030561076.1|DNOV
OG0001944	LOC119649745|XP_037907962.1|HILL	LOC115768526|XP_030568977.1|DNOV, LOC115762568|XP_030560712.1|DNOV
OG0001945	LOC119661393|XP_037926646.1|HILL	LOC115762425|XP_030560481.1|DNOV
OG0001946	LOC119653908|XP_037914985.1|HILL	LOC115760940|XP_030558380.1|DNOV
OG0001947	LOC119661314|XP_037926534.1|HILL	LOC115760661|XP_030557987.1|DNOV
OG0001948	LOC119648154|XP_037905653.1|HILL	LOC115771454|XP_030573029.1|DNOV
OG0001949	LOC119649181|XP_037907136.1|HILL	LOC115768647|XP_030569182.1|DNOV
OG0001950	LOC119661016|XP_037926092.1|HILL	LOC115759664|XP_030556520.1|DNOV
OG0001951	LOC119647100|XP_037903799.1|HILL	LOC115758317|XP_030554743.1|DNOV, LOC115758745|XP_030555365.1|DNOV
OG0001952	LOC119659888|XP_037924136.1|HILL	LOC115762083|XP_030560039.1|DNOV
OG0001953	LOC119661457|XP_037926741.1|HILL	LOC115762097|XP_030560057.1|DNOV
OG0001954	LOC119647112|XP_037903819.1|HILL	LOC115763310|XP_030561671.1|DNOV
OG0001955	LOC119647118|XP_037903833.1|HILL	LOC115771765|XP_030573482.1|DNOV
OG0001956	LOC119647496|XP_037904382.1|HILL	LOC115766840|XP_030566748.1|DNOV
OG0001957	LOC119659267|XP_037923194.1|HILL	LOC115760596|XP_030557890.1|DNOV
OG0001958	LOC119661584|XP_037926911.1|HILL	LOC115760524|XP_030557758.1|DNOV
OG0001959	LOC119648719|XP_037906455.1|HILL	LOC115770115|XP_030571096.1|DNOV
OG0001960	LOC119647828|XP_037904996.1|HILL	LOC115765831|XP_030565415.1|DNOV
OG0001961	LOC119661384|XP_037926630.1|HILL	LOC115762179|XP_030560160.1|DNOV
OG0001962	LOC119653650|XP_037914398.1|HILL	LOC115762063|XP_030560010.1|DNOV
OG0001963	LOC119648319|XP_037905928.1|HILL	LOC115769800|XP_030570627.1|DNOV
OG0001964	LOC119648632|XP_037906330.1|HILL, LOC119648643|XP_037906341.1|HILL	LOC115771265|XP_030572741.1|DNOV
OG0001965	LOC119649847|XP_037908129.1|HILL	LOC115769589|XP_030570324.1|DNOV
OG0001966	LOC119646800|XP_037903318.1|HILL	LOC115771932|XP_030573692.1|DNOV
OG0001967	LOC119659887|XP_037924171.1|HILL	LOC115762391|XP_030560435.1|DNOV
OG0001968	LOC119649424|XP_037907499.1|HILL	LOC115762913|XP_030561152.1|DNOV
OG0001969	LOC119661195|XP_037926345.1|HILL	LOC115760761|XP_030558102.1|DNOV
OG0001970	LOC119648481|XP_037906174.1|HILL	LOC115768334|XP_030568796.1|DNOV
OG0001971	LOC119655219|XP_037916926.1|HILL	LOC115766604|XP_030566450.1|DNOV
OG0001972	LOC119659168|XP_037923047.1|HILL	LOC115760311|XP_030557462.1|DNOV
OG0001973	LOC119646351|XP_037902713.1|HILL	LOC115760699|XP_030558024.1|DNOV
OG0001974	LOC119646579|XP_037902999.1|HILL	LOC115762105|XP_030560067.1|DNOV
OG0001975	LOC119648358|XP_037905999.1|HILL	LOC115769364|XP_030570006.1|DNOV
