Orthogroup	HILL.longest_only	DSER.longest_only
OG0002293	LOC119659415|XP_037923419.1|HILL	LOC110176697|XP_020798831.1|DSER
OG0002294	LOC119661107|XP_037926231.1|HILL	LOC110186705|XP_020811637.1|DSER
OG0002295	LOC119653230|XP_037913745.1|HILL	LOC110185581|XP_020810169.1|DSER
OG0002296	LOC119652982|XP_037913322.1|HILL	LOC110176803|XP_020798898.1|DSER
OG0002297	LOC119659876|XP_037924122.1|HILL	LOC110188604|XP_020814026.1|DSER
OG0002298	LOC119656593|XP_037918937.1|HILL	LOC110191563|XP_020818099.1|DSER
OG0002299	LOC119657831|XP_037920880.1|HILL	LOC110180017|XP_020803274.1|DSER
OG0002300	LOC119653080|XP_037913497.1|HILL	LOC110182726|XP_020806486.1|DSER
OG0002301	LOC119653049|XP_037913441.1|HILL	LOC110185085|XP_020809427.1|DSER
OG0002302	LOC119650848|XP_037909921.1|HILL	LOC110185050|XP_020809374.1|DSER
OG0002303	LOC119653669|XP_037914431.1|HILL	LOC110183513|XP_020807458.1|DSER
OG0002304	LOC119652508|XP_037912624.1|HILL	LOC110185705|XP_020810335.1|DSER
OG0002305	LOC119651745|XP_037911403.1|HILL, LOC119651397|XP_037910906.1|HILL, LOC119652571|XP_037912713.1|HILL	LOC110184655|XP_020808914.1|DSER
OG0002306	LOC119653029|XP_037913402.1|HILL	LOC110183858|XP_020807872.1|DSER
OG0002308	LOC119650780|XP_037909817.1|HILL	LOC110176800|XP_020798894.1|DSER
OG0002309	LOC119651381|XP_037910882.1|HILL	LOC110187391|XP_020812439.1|DSER, LOC110177658|XP_020800129.1|DSER
OG0002310	LOC119647257|XP_037904066.1|HILL	LOC110187405|XP_020812452.1|DSER
OG0002311	LOC119652655|XP_037912835.1|HILL	LOC110181339|XP_020804716.1|DSER
OG0002312	LOC119652707|XP_037912916.1|HILL	LOC110185696|XP_020810322.1|DSER
OG0002313	LOC119655802|XP_037917826.1|HILL	LOC110188770|XP_020814303.1|DSER
OG0002314	LOC119655834|XP_037917872.1|HILL, LOC119655507|XP_037917343.1|HILL	LOC110190899|XP_020817221.1|DSER
OG0002315	LOC119655367|XP_037917156.1|HILL	LOC110176323|XP_020798301.1|DSER
OG0002316	LOC119651316|XP_037910774.1|HILL, LOC119646240|XP_037902563.1|HILL	LOC110183172|XP_020807023.1|DSER
OG0002317	LOC119648385|XP_037906049.1|HILL	LOC110176167|XP_020798063.1|DSER
OG0002318	LOC119655108|XP_037916758.1|HILL	LOC110187488|XP_020812538.1|DSER, LOC110187505|XP_020812557.1|DSER, LOC110179884|XP_020803144.1|DSER
OG0002319	LOC119652959|XP_037913282.1|HILL	LOC110185890|XP_020810561.1|DSER
OG0002320	LOC119661768|XP_037927170.1|HILL	LOC110179214|XP_020802307.1|DSER
OG0002321	LOC119654879|XP_037916414.1|HILL	LOC110189267|XP_020814941.1|DSER
OG0002322	LOC119651720|XP_037911370.1|HILL	LOC110185978|XP_020810660.1|DSER
OG0002323	LOC119655386|XP_037917185.1|HILL	LOC110187443|XP_020812491.1|DSER
OG0002324	LOC119649617|XP_037907765.1|HILL	LOC110187840|XP_020812981.1|DSER, LOC110190223|XP_020816240.1|DSER
OG0002325	LOC119649629|XP_037907792.1|HILL	LOC110178673|XP_020801533.1|DSER
OG0002326	LOC119649630|XP_037907797.1|HILL	LOC110178674|XP_020801534.1|DSER
OG0002327	LOC119647579|XP_037904514.1|HILL	LOC110188135|XP_020813382.1|DSER
OG0002328	LOC119651995|XP_037911843.1|HILL	LOC110181369|XP_020804756.1|DSER
OG0002329	LOC119661282|XP_037926486.1|HILL	LOC110185810|XP_020810473.1|DSER
OG0002330	LOC119659245|XP_037923156.1|HILL	LOC110185651|XP_020810267.1|DSER
OG0002331	LOC119646483|XP_037902866.1|HILL, LOC119646794|XP_037903311.1|HILL	LOC110179463|XP_020802681.1|DSER
OG0002332	LOC119659200|XP_037923095.1|HILL	LOC110185290|XP_020809698.1|DSER
OG0002333	LOC119657902|XP_037920990.1|HILL	LOC110184111|XP_020808163.1|DSER
OG0002334	LOC119652270|XP_037912182.1|HILL	LOC110183124|XP_020806974.1|DSER
OG0002335	LOC119656022|XP_037918209.1|HILL	LOC110178264|XP_020800988.1|DSER
OG0002336	LOC119648710|XP_037906447.1|HILL	LOC110185301|XP_020809711.1|DSER
OG0002337	LOC119661456|XP_037926740.1|HILL	LOC110177027|XP_020799205.1|DSER
OG0002338	LOC119646257|XP_037902586.1|HILL	LOC110180229|XP_020803541.1|DSER, LOC110182660|XP_020806397.1|DSER
OG0002339	LOC119661238|XP_037926395.1|HILL, LOC119658619|XP_037922043.1|HILL	LOC110187208|XP_020812267.1|DSER
OG0002340	LOC119646924|XP_037903532.1|HILL	LOC110183998|XP_020808014.1|DSER
OG0002341	LOC119646973|XP_037903605.1|HILL	LOC110178012|XP_020800685.1|DSER
OG0002342	LOC119649030|XP_037906931.1|HILL	LOC110184862|XP_020809165.1|DSER
OG0002343	LOC119660713|XP_037925287.1|HILL	LOC110182349|XP_020806048.1|DSER
OG0002344	LOC119651744|XP_037911406.1|HILL	LOC110182853|XP_020806646.1|DSER
OG0002345	LOC119657767|XP_037920762.1|HILL	LOC110182890|XP_020806693.1|DSER
OG0002346	LOC119651353|XP_037910840.1|HILL, LOC119653163|XP_037913631.1|HILL	LOC110185698|XP_020810325.1|DSER
OG0002347	LOC119646674|XP_037903132.1|HILL	LOC110177693|XP_020800175.1|DSER
OG0002348	LOC119647049|XP_037903733.1|HILL	LOC110176849|XP_020798969.1|DSER
OG0002349	LOC119658296|XP_037921522.1|HILL	LOC110182892|XP_020806701.1|DSER
OG0002350	LOC119657278|XP_037920050.1|HILL	LOC110184192|XP_020808277.1|DSER
OG0002351	LOC119646879|XP_037903434.1|HILL	LOC110178229|XP_020800937.1|DSER
OG0002352	LOC119647139|XP_037903859.1|HILL	LOC110189396|XP_020815110.1|DSER
OG0002353	LOC119652308|XP_037912247.1|HILL	LOC110185013|XP_020809324.1|DSER, LOC110185119|XP_020809470.1|DSER, LOC110176568|XP_020798618.1|DSER, LOC110185019|XP_020809330.1|DSER
OG0002354	LOC119652287|XP_037912211.1|HILL	LOC110180603|XP_020803947.1|DSER, LOC110183034|XP_020806879.1|DSER, LOC110183013|XP_020806862.1|DSER
OG0002355	LOC119651278|XP_037910710.1|HILL	LOC110176560|XP_020798607.1|DSER
OG0002356	LOC119660436|XP_037924918.1|HILL	LOC110181173|XP_020804508.1|DSER
OG0002357	LOC119653801|XP_037914745.1|HILL	LOC110176433|XP_020798441.1|DSER
OG0002358	LOC119656951|XP_037919596.1|HILL	LOC110183294|XP_020807187.1|DSER
OG0002359	LOC119657707|XP_037920678.1|HILL	LOC110183236|XP_020807111.1|DSER
OG0002360	LOC119652938|XP_037913255.1|HILL	LOC110184990|XP_020809301.1|DSER
OG0002361	LOC119650828|XP_037909898.1|HILL	LOC110190134|XP_020816116.1|DSER
OG0002362	LOC119647434|XP_037904283.1|HILL	LOC110180315|XP_020803630.1|DSER, LOC110182696|XP_020806450.1|DSER
OG0002363	LOC119652537|XP_037912672.1|HILL	LOC110182664|XP_020806401.1|DSER, LOC110180221|XP_020803531.1|DSER
OG0002364	LOC119649693|XP_037907892.1|HILL	LOC110182655|XP_020806385.1|DSER, LOC110180222|XP_020803532.1|DSER
OG0002365	LOC119661179|XP_037926325.1|HILL	LOC110182681|XP_020806432.1|DSER
OG0002366	LOC119661623|XP_037926971.1|HILL	LOC110179181|XP_020802243.1|DSER
OG0002367	LOC119661318|XP_037926538.1|HILL	LOC110182246|XP_020805922.1|DSER
OG0002368	LOC119652467|XP_037912566.1|HILL	LOC110186098|XP_020810799.1|DSER
OG0002369	LOC119649382|XP_037907428.1|HILL, LOC119660565|XP_037925142.1|HILL	LOC110180118|XP_020803417.1|DSER
OG0002370	LOC119651809|XP_037911527.1|HILL	LOC110185988|XP_020810673.1|DSER
OG0002371	LOC119656539|XP_037918816.1|HILL, LOC119651032|XP_037910274.1|HILL, LOC119650814|XP_037909880.1|HILL	LOC110185728|XP_020810371.1|DSER
OG0002372	LOC119660545|XP_037925112.1|HILL, LOC119646395|XP_037902770.1|HILL	LOC110177067|XP_020799244.1|DSER
OG0002373	LOC119661102|XP_037926219.1|HILL	LOC110187338|XP_020812384.1|DSER
OG0002374	LOC119653043|XP_037913433.1|HILL	LOC110190556|XP_020816775.1|DSER
OG0002375	LOC119660203|XP_037924565.1|HILL	LOC110185391|XP_020809829.1|DSER
OG0002376	LOC119651132|XP_037910455.1|HILL	LOC110185552|XP_020810129.1|DSER
OG0002377	LOC119659088|XP_037922929.1|HILL	LOC110177196|XP_020799451.1|DSER
OG0002378	LOC119649998|XP_037908388.1|HILL	LOC110177485|XP_020799896.1|DSER
OG0002379	LOC119660040|XP_037924350.1|HILL	LOC110181184|XP_020804521.1|DSER
OG0002380	LOC119646172|XP_037902478.1|HILL	LOC110182063|XP_020805684.1|DSER
OG0002381	LOC119653793|XP_037914727.1|HILL	LOC110179263|XP_020802377.1|DSER
OG0002382	LOC119654175|XP_037915288.1|HILL	LOC110184120|XP_020808184.1|DSER
OG0002383	LOC119655164|XP_037916840.1|HILL	LOC110177590|XP_020800033.1|DSER
OG0002384	LOC119655722|XP_037917683.1|HILL	LOC110180159|XP_020803473.1|DSER
OG0002386	LOC119660530|XP_037925082.1|HILL	LOC110188468|XP_020813857.1|DSER
OG0002387	LOC119658632|XP_037922074.1|HILL	LOC110190974|XP_020817328.1|DSER
OG0002388	LOC119660597|XP_037925202.1|HILL	LOC110188720|XP_020814193.1|DSER
OG0002389	LOC119659861|XP_037924097.1|HILL	LOC110185244|XP_020809642.1|DSER
OG0002390	LOC119660777|XP_037925481.1|HILL	LOC110183431|XP_020807371.1|DSER
OG0002391	LOC119654799|XP_037916278.1|HILL	LOC110177337|XP_020799685.1|DSER
OG0002392	LOC119648776|XP_037906538.1|HILL	LOC110185201|XP_020809586.1|DSER
OG0002393	LOC119650098|XP_037908545.1|HILL	LOC110177572|XP_020800007.1|DSER
OG0002394	LOC119660569|XP_037925148.1|HILL	LOC110191787|XP_020818396.1|DSER
OG0002395	LOC119660359|XP_037924794.1|HILL	LOC110187721|XP_020812825.1|DSER
OG0002396	LOC119646132|XP_037902409.1|HILL	LOC110177796|XP_020800344.1|DSER
OG0002397	LOC119660308|XP_037924711.1|HILL	LOC110181850|XP_020805418.1|DSER
OG0002398	LOC119655398|XP_037917203.1|HILL	LOC110184421|XP_020808615.1|DSER
OG0002399	LOC119654108|XP_037915199.1|HILL	LOC110189368|XP_020815074.1|DSER
OG0002400	LOC119655117|XP_037916767.1|HILL	LOC110180023|XP_020803282.1|DSER
OG0002401	LOC119660972|XP_037925964.1|HILL	LOC110185450|XP_020809943.1|DSER
OG0002402	LOC119658794|XP_037922439.1|HILL	LOC110191741|XP_020818331.1|DSER
OG0002403	LOC119658795|XP_037922441.1|HILL	LOC110191801|XP_020818412.1|DSER
OG0002404	LOC119658822|XP_037922481.1|HILL	LOC110187662|XP_020812740.1|DSER
OG0002405	LOC119658571|XP_037921946.1|HILL	LOC110177165|XP_020799410.1|DSER
OG0002406	LOC119648375|XP_037906032.1|HILL	LOC110188532|XP_020813935.1|DSER
OG0002407	LOC119658730|XP_037922320.1|HILL	LOC110186389|XP_020811208.1|DSER
OG0002408	LOC119660604|XP_037925218.1|HILL	LOC110177129|XP_020799357.1|DSER
OG0002410	LOC119660586|XP_037925170.1|HILL	LOC110188314|XP_020813681.1|DSER
OG0002411	LOC119659118|XP_037922970.1|HILL	LOC110184152|XP_020808220.1|DSER, LOC110186338|XP_020811145.1|DSER
OG0002412	LOC119658884|XP_037922597.1|HILL	LOC110188919|XP_020814500.1|DSER
OG0002413	LOC119655404|XP_037917215.1|HILL	LOC110179631|XP_020802901.1|DSER
OG0002414	LOC119649954|XP_037908318.1|HILL	LOC110186976|XP_020811987.1|DSER
OG0002415	LOC119659203|XP_037923099.1|HILL	LOC110176591|XP_020798666.1|DSER
OG0002416	LOC119660796|XP_037925541.1|HILL	LOC110185423|XP_020809895.1|DSER
OG0002417	LOC119660805|XP_037925571.1|HILL, LOC119646214|XP_037902524.1|HILL	LOC110176949|XP_020799110.1|DSER
OG0002418	LOC119658681|XP_037922173.1|HILL	LOC110185348|XP_020809784.1|DSER
OG0002419	LOC119653741|XP_037914593.1|HILL	LOC110181882|XP_020805469.1|DSER
OG0002420	LOC119647472|XP_037904337.1|HILL	LOC110187672|XP_020812756.1|DSER
OG0002421	LOC119647190|XP_037903929.1|HILL	LOC110186227|XP_020810949.1|DSER
OG0002422	LOC119659721|XP_037923904.1|HILL	LOC110191085|XP_020817489.1|DSER
OG0002423	LOC119649055|XP_037906961.1|HILL, LOC119647733|XP_037904768.1|HILL	LOC110190160|XP_020816154.1|DSER
OG0002424	LOC119652081|XP_037911950.1|HILL	LOC110185438|XP_020809921.1|DSER
OG0002425	LOC119657196|XP_037919928.1|HILL	LOC110179478|XP_020802710.1|DSER
OG0002426	LOC119653442|XP_037913957.1|HILL	LOC110178619|XP_020801463.1|DSER
OG0002427	LOC119660873|XP_037925712.1|HILL	LOC110184517|XP_020808744.1|DSER
OG0002428	LOC119654226|XP_037915372.1|HILL	LOC110176050|XP_020797923.1|DSER, LOC110178130|XP_020800813.1|DSER
OG0002429	LOC119649762|XP_037907984.1|HILL	LOC110188861|XP_020814427.1|DSER
OG0002430	LOC119655477|XP_037917306.1|HILL	LOC110189456|XP_020815189.1|DSER
OG0002431	LOC119654180|XP_037915295.1|HILL	LOC110191481|XP_020818007.1|DSER
OG0002432	LOC119655856|XP_037917903.1|HILL	LOC110183478|XP_020807417.1|DSER, LOC110183257|XP_020807141.1|DSER
OG0002433	LOC119660906|XP_037925781.1|HILL	LOC110188595|XP_020814017.1|DSER
OG0002434	LOC119660559|XP_037925127.1|HILL, LOC119660560|XP_037925128.1|HILL	LOC110187938|XP_020813112.1|DSER
OG0002436	LOC119654974|XP_037916562.1|HILL	LOC110178261|XP_020800985.1|DSER
OG0002437	LOC119656106|XP_037918349.1|HILL	LOC110189692|XP_020815524.1|DSER
OG0002438	LOC119654228|XP_037915376.1|HILL	LOC110179623|XP_020802888.1|DSER
OG0002439	LOC119652633|XP_037912809.1|HILL	LOC110186096|XP_020810796.1|DSER
OG0002440	LOC119650031|XP_037908440.1|HILL	LOC110178893|XP_020801826.1|DSER
OG0002441	LOC119654363|XP_037915637.1|HILL	LOC110190879|XP_020817199.1|DSER
OG0002442	LOC119654472|XP_037915818.1|HILL	LOC110178478|XP_020801282.1|DSER
OG0002443	LOC119655257|XP_037916981.1|HILL	LOC110189750|XP_020815615.1|DSER
OG0002444	LOC119655585|XP_037917455.1|HILL	LOC110177724|XP_020800225.1|DSER
OG0002445	LOC119654997|XP_037916592.1|HILL	LOC110189403|XP_020815116.1|DSER
OG0002446	LOC119655351|XP_037917131.1|HILL	LOC110187166|XP_020812234.1|DSER, LOC110187175|XP_020812236.1|DSER, LOC110190709|XP_020817023.1|DSER
OG0002447	LOC119648048|XP_037905436.1|HILL	LOC110177532|XP_020799954.1|DSER
OG0002448	LOC119655254|XP_037916980.1|HILL	LOC110177686|XP_020800167.1|DSER
OG0002449	LOC119655516|XP_037917352.1|HILL	LOC110177383|XP_020799746.1|DSER
OG0002450	LOC119651379|XP_037910880.1|HILL	LOC110190006|XP_020815967.1|DSER
OG0002451	LOC119654699|XP_037916141.1|HILL	LOC110178244|XP_020800954.1|DSER
OG0002452	LOC119656072|XP_037918280.1|HILL	LOC110176339|XP_020798324.1|DSER
OG0002453	LOC119654909|XP_037916465.1|HILL	LOC110190871|XP_020817187.1|DSER
OG0002454	LOC119648715|XP_037906451.1|HILL, LOC119646825|XP_037903372.1|HILL	LOC110183647|XP_020807628.1|DSER
OG0002455	LOC119648741|XP_037906486.1|HILL	LOC110183689|XP_020807688.1|DSER
OG0002456	LOC119655658|XP_037917570.1|HILL	LOC110179561|XP_020802806.1|DSER
OG0002457	LOC119646410|XP_037902782.1|HILL	LOC110180444|XP_020803808.1|DSER
OG0002458	LOC119647523|XP_037904421.1|HILL	LOC110185926|XP_020810597.1|DSER
OG0002459	LOC119655273|XP_037917013.1|HILL	LOC110191671|XP_020818244.1|DSER
OG0002460	LOC119654957|XP_037916543.1|HILL	LOC110180410|XP_020803735.1|DSER
OG0002461	LOC119655739|XP_037917720.1|HILL	LOC110183372|XP_020807332.1|DSER
OG0002462	LOC119653574|XP_037914235.1|HILL	LOC110185488|XP_020810022.1|DSER
OG0002463	LOC119653475|XP_037914021.1|HILL	LOC110191663|XP_020818220.1|DSER
OG0002464	LOC119654425|XP_037915744.1|HILL	LOC110191609|XP_020818159.1|DSER
OG0002465	LOC119655627|XP_037917525.1|HILL	LOC110189389|XP_020815098.1|DSER
OG0002466	LOC119660981|XP_037925992.1|HILL	LOC110185476|XP_020810002.1|DSER
OG0002467	LOC119649915|XP_037908245.1|HILL	LOC110176178|XP_020798083.1|DSER
OG0002468	LOC119647951|XP_037905266.1|HILL	LOC110191010|XP_020817386.1|DSER
OG0002469	LOC119658964|XP_037922766.1|HILL	LOC110188501|XP_020813893.1|DSER
OG0002470	LOC119655032|XP_037916637.1|HILL	LOC110178239|XP_020800949.1|DSER
OG0002471	LOC119654376|XP_037915661.1|HILL, LOC119661413|XP_037926676.1|HILL	LOC110176462|XP_020798482.1|DSER
OG0002472	LOC119654274|XP_037915474.1|HILL	LOC110178242|XP_020800951.1|DSER
OG0002473	LOC119653549|XP_037914165.1|HILL	LOC110177993|XP_020800650.1|DSER
OG0002474	LOC119649201|XP_037907174.1|HILL	LOC110176221|XP_020798160.1|DSER
OG0002475	LOC119654429|XP_037915751.1|HILL	LOC110186778|XP_020811709.1|DSER, LOC110188744|XP_020814245.1|DSER
OG0002476	LOC119656275|XP_037918628.1|HILL	LOC110176002|XP_020797868.1|DSER
OG0002477	LOC119654629|XP_037916028.1|HILL	LOC110177069|XP_020799248.1|DSER
OG0002478	LOC119653653|XP_037914401.1|HILL	LOC110177849|XP_020800451.1|DSER
OG0002479	LOC119653693|XP_037914491.1|HILL	LOC110179270|XP_020802392.1|DSER
OG0002480	LOC119656249|XP_037918591.1|HILL	LOC110185369|XP_020809810.1|DSER
OG0002481	LOC119654359|XP_037915631.1|HILL	LOC110182464|XP_020806161.1|DSER
OG0002482	LOC119654812|XP_037916296.1|HILL	LOC110189647|XP_020815450.1|DSER
OG0002483	LOC119654265|XP_037915460.1|HILL	LOC110191493|XP_020818016.1|DSER
OG0002484	LOC119656027|XP_037918219.1|HILL	LOC110180068|XP_020803349.1|DSER
OG0002485	LOC119655679|XP_037917607.1|HILL	LOC110189675|XP_020815492.1|DSER
OG0002486	LOC119648139|XP_037905613.1|HILL	LOC110190285|XP_020816321.1|DSER
OG0002487	LOC119653874|XP_037914910.1|HILL	LOC110182821|XP_020806616.1|DSER
OG0002488	LOC119660954|XP_037925920.1|HILL	LOC110177701|XP_020800186.1|DSER
OG0002489	LOC119660887|XP_037925736.1|HILL	LOC110190107|XP_020816074.1|DSER
OG0002490	LOC119654280|XP_037915491.1|HILL	LOC110183196|XP_020807100.1|DSER
OG0002491	LOC119647915|XP_037905165.1|HILL	LOC110190093|XP_020816057.1|DSER
OG0002492	LOC119654307|XP_037915554.1|HILL	LOC110176362|XP_020798351.1|DSER
OG0002493	LOC119655465|XP_037917293.1|HILL	LOC110189355|XP_020815057.1|DSER
OG0002494	LOC119659460|XP_037923474.1|HILL, LOC119660367|XP_037924804.1|HILL	LOC110184872|XP_020809181.1|DSER
OG0002495	LOC119654722|XP_037916172.1|HILL	LOC110177683|XP_020800162.1|DSER
OG0002496	LOC119649826|XP_037908093.1|HILL, LOC119649761|XP_037907983.1|HILL	LOC110186209|XP_020810930.1|DSER
OG0002497	LOC119655269|XP_037917012.1|HILL, LOC119658933|XP_037922695.1|HILL, LOC119649531|XP_037907646.1|HILL, LOC119650156|XP_037908629.1|HILL	LOC110190607|XP_020816859.1|DSER
OG0002499	LOC119648384|XP_037906048.1|HILL, LOC119649210|XP_037907195.1|HILL, LOC119648699|XP_037906435.1|HILL, LOC119649326|XP_037907355.1|HILL, LOC119649447|XP_037907526.1|HILL, LOC119648383|XP_037906047.1|HILL	LOC110183697|XP_020807695.1|DSER
OG0002500	LOC119649957|XP_037908322.1|HILL	LOC110188401|XP_020813785.1|DSER, LOC110182027|XP_020805616.1|DSER
OG0002501	LOC119653412|XP_037913907.1|HILL	LOC110179166|XP_020802222.1|DSER
OG0002508	LOC119656934|XP_037919560.1|HILL	LOC110179574|XP_020802823.1|DSER
OG0002509	LOC119658018|XP_037921175.1|HILL	LOC110177204|XP_020799477.1|DSER
OG0002510	LOC119657160|XP_037919869.1|HILL	LOC110180332|XP_020803649.1|DSER
OG0002511	LOC119658508|XP_037921904.1|HILL	LOC110184432|XP_020808631.1|DSER
OG0002512	LOC119660968|XP_037925953.1|HILL	LOC110185400|XP_020809855.1|DSER
OG0002513	LOC119651669|XP_037911287.1|HILL	LOC110191823|XP_020818447.1|DSER
OG0002514	LOC119657600|XP_037920516.1|HILL	LOC110187132|XP_020812209.1|DSER
OG0002515	LOC119646492|XP_037902878.1|HILL, LOC119646493|XP_037902879.1|HILL, LOC119646650|XP_037903095.1|HILL	LOC110189175|XP_020814800.1|DSER
OG0002516	LOC119652843|XP_037913108.1|HILL	LOC110186599|XP_020811488.1|DSER
OG0002517	LOC119656542|XP_037918823.1|HILL	LOC110176059|XP_020797932.1|DSER
OG0002519	LOC119657706|XP_037920676.1|HILL	LOC110179243|XP_020802355.1|DSER
OG0002520	LOC119657408|XP_037920229.1|HILL	LOC110182836|XP_020806629.1|DSER
OG0002521	LOC119658239|XP_037921445.1|HILL	LOC110182644|XP_020806372.1|DSER, LOC110176018|XP_020797886.1|DSER
OG0002522	LOC119651837|XP_037911562.1|HILL	LOC110188474|XP_020813863.1|DSER
OG0002523	LOC119646547|XP_037902949.1|HILL	LOC110191058|XP_020817447.1|DSER
OG0002524	LOC119656897|XP_037919505.1|HILL	LOC110182465|XP_020806162.1|DSER
OG0002525	LOC119659945|XP_037924218.1|HILL	LOC110189044|XP_020814672.1|DSER, LOC110189070|XP_020814700.1|DSER
OG0002526	LOC119652519|XP_037912642.1|HILL	LOC110191817|XP_020818441.1|DSER
OG0002528	LOC119656514|XP_037918783.1|HILL	LOC110180409|XP_020803724.1|DSER
OG0002529	LOC119659964|XP_037924249.1|HILL	LOC110191409|XP_020817926.1|DSER
OG0002530	LOC119651040|XP_037910286.1|HILL	LOC110181327|XP_020804705.1|DSER
OG0002531	LOC119652635|XP_037912812.1|HILL	LOC110185627|XP_020810236.1|DSER
OG0002532	LOC119659820|XP_037924032.1|HILL	LOC110189896|XP_020815815.1|DSER
OG0002533	LOC119658116|XP_037921311.1|HILL, LOC119656790|XP_037919318.1|HILL	LOC110180361|XP_020803680.1|DSER
OG0002534	LOC119658054|XP_037921227.1|HILL	LOC110180263|XP_020803577.1|DSER
OG0002535	LOC119648826|XP_037906614.1|HILL	LOC110185306|XP_020809715.1|DSER
OG0002536	LOC119652491|XP_037912601.1|HILL	LOC110186321|XP_020811118.1|DSER
OG0002537	LOC119651600|XP_037911177.1|HILL	LOC110191654|XP_020818211.1|DSER
OG0002539	LOC119656722|XP_037919177.1|HILL	LOC110189264|XP_020814937.1|DSER
OG0002540	LOC119657017|XP_037919693.1|HILL	LOC110184540|XP_020808776.1|DSER, LOC110191779|XP_020818383.1|DSER
OG0002541	LOC119656743|XP_037919230.1|HILL	LOC110184411|XP_020808604.1|DSER
OG0002542	LOC119656609|XP_037918974.1|HILL	LOC110180170|XP_020803489.1|DSER
OG0002543	LOC119657314|XP_037920100.1|HILL	LOC110180330|XP_020803647.1|DSER
OG0002544	LOC119656831|XP_037919408.1|HILL	LOC110187742|XP_020812859.1|DSER
OG0002545	LOC119656994|XP_037919657.1|HILL	LOC110182499|XP_020806207.1|DSER
OG0002547	LOC119652909|XP_037913218.1|HILL	LOC110181868|XP_020805451.1|DSER
OG0002548	LOC119652235|XP_037912133.1|HILL	LOC110181769|XP_020805301.1|DSER
OG0002549	LOC119654252|XP_037915430.1|HILL	LOC110175934|XP_020797773.1|DSER
OG0002550	LOC119658490|XP_037921877.1|HILL	LOC110183225|XP_020807098.1|DSER, LOC110184594|XP_020808843.1|DSER
OG0002551	LOC119653240|XP_037913767.1|HILL	LOC110176428|XP_020798435.1|DSER
OG0002552	LOC119651327|XP_037910794.1|HILL	LOC110187277|XP_020812325.1|DSER
OG0002553	LOC119657787|XP_037920799.1|HILL	LOC110180352|XP_020803673.1|DSER
OG0002554	LOC119658056|XP_037921237.1|HILL	LOC110179533|XP_020802772.1|DSER
OG0002555	LOC119657209|XP_037919947.1|HILL, LOC119656508|XP_037918774.1|HILL	LOC110183062|XP_020806907.1|DSER
OG0002556	LOC119656650|XP_037919040.1|HILL	LOC110186097|XP_020810797.1|DSER
OG0002557	LOC119656575|XP_037918889.1|HILL	LOC110184215|XP_020808324.1|DSER
OG0002558	LOC119651994|XP_037911842.1|HILL	LOC110185588|XP_020810183.1|DSER
OG0002559	LOC119658639|XP_037922100.1|HILL	LOC110191443|XP_020817966.1|DSER
OG0002560	LOC119659985|XP_037924284.1|HILL	LOC110177159|XP_020799403.1|DSER
OG0002561	LOC119660217|XP_037924580.1|HILL	LOC110188699|XP_020814163.1|DSER
OG0002562	LOC119656890|XP_037919490.1|HILL	LOC110183238|XP_020807113.1|DSER
OG0002563	LOC119656587|XP_037918922.1|HILL	LOC110179732|XP_020803007.1|DSER, LOC110179728|XP_020803005.1|DSER, LOC110179717|XP_020802991.1|DSER
OG0002564	LOC119658086|XP_037921277.1|HILL	LOC110186963|XP_020811963.1|DSER
OG0002565	LOC119651907|XP_037911662.1|HILL	LOC110186864|XP_020811814.1|DSER
OG0002566	LOC119651044|XP_037910294.1|HILL	LOC110188565|XP_020813983.1|DSER
OG0002567	LOC119657363|XP_037920170.1|HILL	LOC110182829|XP_020806621.1|DSER
OG0002568	LOC119657610|XP_037920537.1|HILL	LOC110188295|XP_020813656.1|DSER
OG0002569	LOC119658442|XP_037921772.1|HILL	LOC110184643|XP_020808901.1|DSER
OG0002570	LOC119651299|XP_037910751.1|HILL	LOC110188079|XP_020813288.1|DSER
OG0002571	LOC119650615|XP_037909426.1|HILL	LOC110188143|XP_020813398.1|DSER, LOC110183682|XP_020807682.1|DSER
OG0002573	LOC119652513|XP_037912635.1|HILL	LOC110187631|XP_020812697.1|DSER
OG0002574	LOC119651408|XP_037910926.1|HILL	LOC110188635|XP_020814069.1|DSER
OG0002575	LOC119658815|XP_037922466.1|HILL	LOC110176613|XP_020798696.1|DSER
OG0002576	LOC119655795|XP_037917817.1|HILL	LOC110180319|XP_020803634.1|DSER
OG0002577	LOC119649364|XP_037907406.1|HILL	LOC110190044|XP_020816010.1|DSER
OG0002578	LOC119657800|XP_037920824.1|HILL	LOC110185582|XP_020810172.1|DSER
OG0002579	LOC119652339|XP_037912283.1|HILL, LOC119651259|XP_037910681.1|HILL	LOC110185005|XP_020809322.1|DSER
OG0002580	LOC119657402|XP_037920221.1|HILL	LOC110181597|XP_020805053.1|DSER
OG0002581	LOC119650577|XP_037909330.1|HILL	LOC110188068|XP_020813277.1|DSER
OG0002582	LOC119657258|XP_037920015.1|HILL	LOC110184675|XP_020808942.1|DSER, LOC110188381|XP_020813757.1|DSER
OG0002583	LOC119658636|XP_037922089.1|HILL	LOC110186873|XP_020811827.1|DSER
OG0002584	LOC119657060|XP_037919742.1|HILL	LOC110190221|XP_020816238.1|DSER
OG0002585	LOC119657061|XP_037919743.1|HILL	LOC110190222|XP_020816239.1|DSER
OG0002586	LOC119650996|XP_037910207.1|HILL	LOC110186665|XP_020811589.1|DSER
