Orthogroup	HILL.longest_only	DSUB.longest_only
OG0000181	LOC119649042|XP_037906942.1|HILL, LOC119648650|XP_037906351.1|HILL	LOC117897566|XP_034662398.1|DSUB, LOC117898105|XP_034663178.1|DSUB
OG0000182	LOC119649668|XP_037907856.1|HILL	LOC117896963|XP_034661399.1|DSUB
OG0000183	LOC119649017|XP_037906897.1|HILL	LOC117903094|XP_034670793.1|DSUB, LOC117893638|XP_034656216.1|DSUB, LOC117895513|XP_034659103.1|DSUB
OG0000184	LOC119661424|XP_037926695.1|HILL	LOC117902054|XP_034669016.1|DSUB, LOC117902053|XP_034669015.1|DSUB
OG0000185	LOC119658037|XP_037921200.1|HILL	LOC117892369|XP_034654470.1|DSUB, LOC117897806|XP_034662746.1|DSUB, LOC117892370|XP_034654471.1|DSUB, LOC117892371|XP_034654472.1|DSUB
OG0000186	LOC119655688|XP_037917620.1|HILL	LOC117903826|XP_034672167.1|DSUB, LOC117893442|XP_034655952.1|DSUB
OG0000187	LOC119658090|XP_037921282.1|HILL, LOC119658091|XP_037921283.1|HILL, LOC119658092|XP_037921284.1|HILL, LOC119658096|XP_037921289.1|HILL	LOC117903812|XP_034672140.1|DSUB
OG0000188	LOC119651940|XP_037911719.1|HILL	LOC117896039|XP_034659939.1|DSUB, LOC117903153|XP_034670880.1|DSUB, LOC117892802|XP_034655080.1|DSUB
OG0000189	LOC119651210|XP_037910587.1|HILL, LOC119657905|XP_037920993.1|HILL	LOC117902689|XP_034670122.1|DSUB
OG0000189	LOC119655561|XP_037917414.1|HILL	LOC117900283|XP_034666524.1|DSUB
OG0000189	LOC119655962|XP_037918114.1|HILL	LOC117903589|XP_034671701.1|DSUB
OG0000190	LOC119653887|XP_037914936.1|HILL	LOC117890305|XP_034650970.1|DSUB
OG0000190	LOC119657175|XP_037919890.1|HILL	LOC117903700|XP_034671934.1|DSUB
OG0000192	LOC119653850|XP_037914826.1|HILL, LOC119655365|XP_037917152.1|HILL	LOC117897362|XP_034662037.1|DSUB, LOC117893373|XP_034655858.1|DSUB, LOC117893370|XP_034655854.1|DSUB
OG0000193	LOC119647730|XP_037904759.1|HILL, LOC119647731|XP_037904760.1|HILL, LOC119648187|XP_037905701.1|HILL	LOC117902524|XP_034669842.1|DSUB, LOC117893237|XP_034655685.1|DSUB
OG0000196	LOC119646743|XP_037903250.1|HILL	LOC117900705|XP_034667050.1|DSUB
OG0000197	LOC119655963|XP_037918120.1|HILL	LOC117903572|XP_034671683.1|DSUB
OG0000197	LOC119655904|XP_037917989.1|HILL	LOC117903679|XP_034671912.1|DSUB
OG0000197	LOC119654693|XP_037916133.1|HILL	LOC117903533|XP_034671607.1|DSUB
OG0000198	LOC119658380|XP_037921674.1|HILL	LOC117889887|XP_034650287.1|DSUB, LOC117891005|XP_034652053.1|DSUB, LOC117889750|XP_034650087.1|DSUB
OG0000200	LOC119651388|XP_037910894.1|HILL	LOC117899073|XP_034664733.1|DSUB, LOC117902105|XP_034669101.1|DSUB, LOC117899074|XP_034664734.1|DSUB
OG0000201	LOC119650181|XP_037908662.1|HILL	LOC117897461|XP_034662199.1|DSUB, LOC117897459|XP_034662196.1|DSUB
OG0000202	LOC119660438|XP_037924916.1|HILL	LOC117898353|XP_034663577.1|DSUB
OG0000203	LOC119655539|XP_037917381.1|HILL, LOC119653681|XP_037914464.1|HILL	LOC117892626|XP_034654869.1|DSUB, LOC117890559|XP_034651381.1|DSUB, LOC117902404|XP_034669634.1|DSUB, LOC117890560|XP_034651383.1|DSUB
OG0000205	LOC119658668|XP_037922149.1|HILL	LOC117897524|XP_034662333.1|DSUB
OG0000205	LOC119658714|XP_037922261.1|HILL, LOC119658840|XP_037922513.1|HILL, LOC119658697|XP_037922214.1|HILL	LOC117899743|XP_034665878.1|DSUB
OG0000206	LOC119654881|XP_037916418.1|HILL, LOC119650859|XP_037909942.1|HILL	LOC117891542|XP_034652943.1|DSUB
OG0000206	LOC119661155|XP_037926295.1|HILL	LOC117901855|XP_034668698.1|DSUB
OG0000206	LOC119654466|XP_037915811.1|HILL	LOC117892650|XP_034654900.1|DSUB
OG0000207	LOC119652612|XP_037912777.1|HILL, LOC119650104|XP_037908552.1|HILL	LOC117894011|XP_034656727.1|DSUB
OG0000207	LOC119649454|XP_037907536.1|HILL, LOC119649744|XP_037907961.1|HILL, LOC119649553|XP_037907676.1|HILL, LOC119649555|XP_037907678.1|HILL, LOC119649557|XP_037907680.1|HILL, LOC119649556|XP_037907679.1|HILL, LOC119649554|XP_037907677.1|HILL, LOC119648764|XP_037906521.1|HILL, LOC119649550|XP_037907671.1|HILL, LOC119649552|XP_037907675.1|HILL	LOC117894457|XP_034657448.1|DSUB
OG0000209	LOC119658854|XP_037922535.1|HILL	LOC117891422|XP_034652783.1|DSUB
OG0000210	LOC119657592|XP_037920503.1|HILL	LOC117903453|XP_034671383.1|DSUB
OG0000211	LOC119657178|XP_037919892.1|HILL	LOC117899353|XP_034665213.1|DSUB
OG0000212	LOC119661660|XP_037927021.1|HILL	LOC117902050|XP_034669007.1|DSUB
OG0000212	LOC119657979|XP_037921122.1|HILL	LOC117902051|XP_034669009.1|DSUB
OG0000213	LOC119655012|XP_037916610.1|HILL	LOC117894820|XP_034657957.1|DSUB, LOC117891467|XP_034652841.1|DSUB
OG0000214	LOC119654823|XP_037916314.1|HILL	LOC117899660|XP_034665738.1|DSUB, LOC117889853|XP_034650243.1|DSUB, LOC117897226|XP_034661836.1|DSUB
OG0000215	LOC119649619|XP_037907768.1|HILL, LOC119648795|XP_037906568.1|HILL, LOC119648427|XP_037906108.1|HILL, LOC119647426|XP_037904261.1|HILL	LOC117893454|XP_034655963.1|DSUB, LOC117894475|XP_034657467.1|DSUB, LOC117894422|XP_034657356.1|DSUB
OG0000216	LOC119652332|XP_037912271.1|HILL	LOC117893717|XP_034656300.1|DSUB, LOC117893707|XP_034656288.1|DSUB, LOC117893725|XP_034656330.1|DSUB, LOC117893723|XP_034656314.1|DSUB, LOC117893695|XP_034656278.1|DSUB, LOC117893464|XP_034655973.1|DSUB, LOC117903137|XP_034670864.1|DSUB
OG0000217	LOC119653737|XP_037914587.1|HILL	LOC117903707|XP_034671944.1|DSUB
OG0000217	LOC119660731|XP_037925325.1|HILL	LOC117901817|XP_034668626.1|DSUB, LOC117903706|XP_034671943.1|DSUB
OG0000218	LOC119654045|XP_037915136.1|HILL	LOC117890214|XP_034650838.1|DSUB, LOC117901281|XP_034667866.1|DSUB, LOC117901280|XP_034667865.1|DSUB, LOC117901278|XP_034667863.1|DSUB, LOC117901279|XP_034667864.1|DSUB
OG0000219	LOC119661335|XP_037926565.1|HILL	LOC117890158|XP_034650742.1|DSUB, LOC117890159|XP_034650743.1|DSUB, LOC117891110|XP_034652196.1|DSUB
OG0000220	LOC119648900|XP_037906732.1|HILL	LOC117893410|XP_034655912.1|DSUB
OG0000221	LOC119654628|XP_037916031.1|HILL	LOC117890072|XP_034650606.1|DSUB, LOC117896647|XP_034660985.1|DSUB, LOC117890071|XP_034650602.1|DSUB
OG0000222	LOC119652117|XP_037911986.1|HILL	LOC117900072|XP_034666167.1|DSUB
OG0000223	LOC119653380|XP_037913855.1|HILL, LOC119653381|XP_037913856.1|HILL	LOC117893937|XP_034656616.1|DSUB, LOC117895419|XP_034658944.1|DSUB, LOC117897790|XP_034662730.1|DSUB
OG0000224	LOC119659938|XP_037924208.1|HILL, LOC119659919|XP_037924177.1|HILL, LOC119659930|XP_037924198.1|HILL	LOC117891442|XP_034652809.1|DSUB
OG0000225	LOC119661702|XP_037927080.1|HILL, LOC119661664|XP_037927027.1|HILL, LOC119646353|XP_037902718.1|HILL	LOC117898903|XP_034664476.1|DSUB, LOC117898912|XP_034664492.1|DSUB, LOC117898830|XP_034664388.1|DSUB
OG0000226	LOC119654012|XP_037915103.1|HILL	LOC117894469|XP_034657462.1|DSUB, LOC117894471|XP_034657463.1|DSUB, LOC117894465|XP_034657457.1|DSUB
OG0000228	LOC119651263|XP_037910691.1|HILL	LOC117897416|XP_034662134.1|DSUB
OG0000229	LOC119652359|XP_037912372.1|HILL	LOC117897556|XP_034662377.1|DSUB
OG0000229	LOC119652057|XP_037911922.1|HILL	LOC117897557|XP_034662378.1|DSUB
OG0000229	LOC119660274|XP_037924664.1|HILL	LOC117897685|XP_034662587.1|DSUB
OG0000230	LOC119659715|XP_037923898.1|HILL	LOC117890665|XP_034651529.1|DSUB, LOC117890667|XP_034651534.1|DSUB, LOC117890666|XP_034651533.1|DSUB, LOC117889710|XP_034650021.1|DSUB
OG0000232	LOC119654256|XP_037915445.1|HILL, LOC119655702|XP_037917644.1|HILL	LOC117896096|XP_034660038.1|DSUB, LOC117890389|XP_034651084.1|DSUB, LOC117890309|XP_034650979.1|DSUB
OG0000233	LOC119650659|XP_037909522.1|HILL	LOC117898998|XP_034664634.1|DSUB, LOC117897951|XP_034662941.1|DSUB, LOC117897979|XP_034662982.1|DSUB
OG0000234	LOC119653853|XP_037914828.1|HILL, LOC119653400|XP_037913892.1|HILL, LOC119653849|XP_037914825.1|HILL, LOC119655122|XP_037916780.1|HILL	LOC117891584|XP_034653003.1|DSUB, LOC117891586|XP_034653005.1|DSUB
OG0000235	LOC119659597|XP_037923690.1|HILL	LOC117897782|XP_034662722.1|DSUB, LOC117899536|XP_034665501.1|DSUB, LOC117899535|XP_034665500.1|DSUB
OG0000236	LOC119654287|XP_037915503.1|HILL	LOC117894420|XP_034657334.1|DSUB, LOC117901154|XP_034667695.1|DSUB, LOC117901600|XP_034668303.1|DSUB, LOC117898442|XP_034663742.1|DSUB
OG0000237	LOC119652833|XP_037913099.1|HILL	LOC117890299|XP_034650958.1|DSUB
OG0000238	LOC119646399|XP_037902772.1|HILL, LOC119655652|XP_037917564.1|HILL, LOC119655653|XP_037917565.1|HILL, LOC119646400|XP_037902773.1|HILL, LOC119654336|XP_037915602.1|HILL	LOC117901476|XP_034668131.1|DSUB
OG0000238	LOC119660799|XP_037925557.1|HILL	LOC117901835|XP_034668659.1|DSUB
OG0000240	LOC119659451|XP_037923464.1|HILL	LOC117898140|XP_034663227.1|DSUB
OG0000240	LOC119659531|XP_037923596.1|HILL	LOC117898079|XP_034663148.1|DSUB
OG0000240	LOC119660162|XP_037924494.1|HILL	LOC117896971|XP_034661411.1|DSUB
OG0000241	LOC119649605|XP_037907750.1|HILL, LOC119649716|XP_037907922.1|HILL	LOC117895119|XP_034658415.1|DSUB, LOC117893998|XP_034656704.1|DSUB
OG0000248	LOC119649264|XP_037907278.1|HILL	LOC117895787|XP_034659578.1|DSUB, LOC117895788|XP_034659581.1|DSUB, LOC117891015|XP_034652064.1|DSUB
OG0000249	LOC119660976|XP_037925983.1|HILL	LOC117902817|XP_034670334.1|DSUB, LOC117902816|XP_034670333.1|DSUB, LOC117902808|XP_034670321.1|DSUB
OG0000250	LOC119653410|XP_037913904.1|HILL	LOC117899953|XP_034665998.1|DSUB, LOC117901011|XP_034667501.1|DSUB, LOC117899954|XP_034665999.1|DSUB
OG0000251	LOC119654440|XP_037915768.1|HILL	LOC117889574|XP_034649867.1|DSUB, LOC117891605|XP_034653029.1|DSUB, LOC117895670|XP_034659382.1|DSUB
OG0000252	LOC119647180|XP_037903916.1|HILL	LOC117890116|XP_034650678.1|DSUB, LOC117890155|XP_034650738.1|DSUB, LOC117891525|XP_034652916.1|DSUB
OG0000253	LOC119648606|XP_037906303.1|HILL, LOC119648745|XP_037906493.1|HILL, LOC119648744|XP_037906491.1|HILL, LOC119649467|XP_037907552.1|HILL, LOC119649468|XP_037907553.1|HILL, LOC119649263|XP_037907277.1|HILL	LOC117891320|XP_034652626.1|DSUB, LOC117891319|XP_034652625.1|DSUB
OG0000255	LOC119655916|XP_037918009.1|HILL	LOC117892508|XP_034654680.1|DSUB
OG0000256	LOC119661283|XP_037926488.1|HILL, LOC119661669|XP_037927034.1|HILL, LOC119661186|XP_037926333.1|HILL	LOC117892112|XP_034654018.1|DSUB
OG0000256	LOC119653252|XP_037913787.1|HILL, LOC119653253|XP_037913788.1|HILL, LOC119653256|XP_037913792.1|HILL, LOC119653175|XP_037913654.1|HILL, LOC119653168|XP_037913642.1|HILL	LOC117889703|XP_034650012.1|DSUB
OG0000257	LOC119655760|XP_037917744.1|HILL	LOC117891414|XP_034652753.1|DSUB
OG0000258	LOC119656999|XP_037919667.1|HILL	LOC117901966|XP_034668838.1|DSUB, LOC117898237|XP_034663366.1|DSUB, LOC117894337|XP_034657213.1|DSUB
OG0000260	LOC119659089|XP_037922930.1|HILL	LOC117892690|XP_034654992.1|DSUB, LOC117898829|XP_034664386.1|DSUB, LOC117892691|XP_034654993.1|DSUB
OG0000261	LOC119661127|XP_037926254.1|HILL	LOC117901943|XP_034668806.1|DSUB, LOC117901942|XP_034668804.1|DSUB
OG0000262	LOC119649136|XP_037907069.1|HILL, LOC119649243|XP_037907237.1|HILL	LOC117895023|XP_034658282.1|DSUB, LOC117895022|XP_034658281.1|DSUB
OG0000262	LOC119650341|XP_037908940.1|HILL, LOC119646143|XP_037902428.1|HILL	LOC117890687|XP_034651565.1|DSUB
OG0000263	LOC119658702|XP_037922223.1|HILL	LOC117891068|XP_034652133.1|DSUB
OG0000263	LOC119649510|XP_037907610.1|HILL	LOC117895257|XP_034658669.1|DSUB
OG0000264	LOC119647562|XP_037904486.1|HILL	LOC117897476|XP_034662222.1|DSUB
OG0000267	LOC119657829|XP_037920875.1|HILL, LOC119657821|XP_037920863.1|HILL	LOC117897150|XP_034661713.1|DSUB, LOC117897149|XP_034661712.1|DSUB
OG0000268	LOC119656880|XP_037919472.1|HILL	LOC117897967|XP_034662968.1|DSUB, LOC117897965|XP_034662964.1|DSUB
OG0000269	LOC119658426|XP_037921752.1|HILL, LOC119660431|XP_037924909.1|HILL	LOC117897858|XP_034662822.1|DSUB
OG0000271	LOC119650559|XP_037909294.1|HILL	LOC117901722|XP_034668491.1|DSUB, LOC117892475|XP_034654618.1|DSUB, LOC117890210|XP_034650833.1|DSUB
OG0000272	LOC119648082|XP_037905498.1|HILL	LOC117894425|XP_034657359.1|DSUB
OG0000272	LOC119661039|XP_037926141.1|HILL	LOC117902907|XP_034670356.1|DSUB
OG0000273	LOC119659411|XP_037923411.1|HILL	LOC117897047|XP_034661520.1|DSUB, LOC117896112|XP_034660057.1|DSUB, LOC117900285|XP_034666487.1|DSUB, LOC117897831|XP_034662784.1|DSUB
OG0000274	LOC119654856|XP_037916366.1|HILL, LOC119657250|XP_037919997.1|HILL, LOC119657249|XP_037919996.1|HILL, LOC119658132|XP_037921329.1|HILL	LOC117899731|XP_034665866.1|DSUB, LOC117899732|XP_034665867.1|DSUB, LOC117896897|XP_034661321.1|DSUB, LOC117891912|XP_034653626.1|DSUB
OG0000276	LOC119655436|XP_037917257.1|HILL	LOC117890635|XP_034651473.1|DSUB
OG0000279	LOC119648349|XP_037905974.1|HILL, LOC119651339|XP_037910820.1|HILL, LOC119651606|XP_037911187.1|HILL	LOC117895153|XP_034658481.1|DSUB, LOC117895154|XP_034658482.1|DSUB
OG0000280	LOC119649948|XP_037908300.1|HILL	LOC117894260|XP_034657106.1|DSUB, LOC117894259|XP_034657105.1|DSUB, LOC117894258|XP_034657103.1|DSUB
OG0000281	LOC119648901|XP_037906733.1|HILL	LOC117892940|XP_034655154.1|DSUB, LOC117903259|XP_034671053.1|DSUB, LOC117891142|XP_034652252.1|DSUB
OG0000282	LOC119648542|XP_037906238.1|HILL	LOC117893578|XP_034656142.1|DSUB
OG0000283	LOC119651801|XP_037911514.1|HILL	LOC117890397|XP_034651092.1|DSUB
OG0000283	LOC119657390|XP_037920204.1|HILL	LOC117899378|XP_034665251.1|DSUB
OG0000284	LOC119652994|XP_037913347.1|HILL	LOC117901497|XP_034668157.1|DSUB
OG0000284	LOC119653211|XP_037913708.1|HILL	LOC117900139|XP_034666258.1|DSUB
OG0000285	LOC119661769|XP_037927171.1|HILL, LOC119647013|XP_037903679.1|HILL, LOC119646589|XP_037903010.1|HILL, LOC119646308|XP_037902653.1|HILL, LOC119661368|XP_037926613.1|HILL, LOC119657159|XP_037919872.1|HILL, LOC119655559|XP_037917424.1|HILL	LOC117890597|XP_034651425.1|DSUB
OG0000286	LOC119652118|XP_037911987.1|HILL, LOC119653198|XP_037913689.1|HILL	LOC117900070|XP_034666164.1|DSUB, LOC117900071|XP_034666165.1|DSUB, LOC117900073|XP_034666168.1|DSUB
OG0000287	LOC119661760|XP_037927158.1|HILL, LOC119650310|XP_037908894.1|HILL, LOC119661756|XP_037927154.1|HILL, LOC119661758|XP_037927156.1|HILL, LOC119661761|XP_037927159.1|HILL, LOC119661757|XP_037927155.1|HILL	LOC117903437|XP_034671352.1|DSUB, LOC117903433|XP_034671347.1|DSUB, LOC117903434|XP_034671348.1|DSUB
OG0000289	LOC119649394|XP_037907443.1|HILL, LOC119655333|XP_037917105.1|HILL, LOC119655535|XP_037917377.1|HILL	LOC117894496|XP_034657496.1|DSUB, LOC117892960|XP_034655184.1|DSUB, LOC117894495|XP_034657494.1|DSUB
OG0000292	LOC119650309|XP_037908882.1|HILL	LOC117893602|XP_034656168.1|DSUB
OG0000293	LOC119651863|XP_037911598.1|HILL, LOC119653005|XP_037913361.1|HILL	LOC117899048|XP_034664699.1|DSUB
OG0000294	LOC119660711|XP_037925282.1|HILL	LOC117900007|XP_034666081.1|DSUB
OG0000294	LOC119653695|XP_037914493.1|HILL	LOC117903073|XP_034670731.1|DSUB
OG0000295	LOC119657284|XP_037920055.1|HILL	LOC117891911|XP_034653625.1|DSUB, LOC117899255|XP_034665033.1|DSUB
OG0000296	LOC119655576|XP_037917437.1|HILL	LOC117900574|XP_034666875.1|DSUB, LOC117893706|XP_034656284.1|DSUB, LOC117903336|XP_034671174.1|DSUB
OG0000299	LOC119650966|XP_037910149.1|HILL	LOC117899483|XP_034665406.1|DSUB, LOC117899485|XP_034665414.1|DSUB, LOC117899484|XP_034665411.1|DSUB
OG0000300	LOC119649524|XP_037907636.1|HILL, LOC119649059|XP_037906970.1|HILL	LOC117893787|XP_034656422.1|DSUB, LOC117893327|XP_034655808.1|DSUB, LOC117893325|XP_034655805.1|DSUB
OG0000301	LOC119660745|XP_037925398.1|HILL	LOC117902948|XP_034670460.1|DSUB
OG0000301	LOC119647749|XP_037904835.1|HILL	LOC117901488|XP_034668147.1|DSUB
OG0000302	LOC119647947|XP_037905238.1|HILL, LOC119647950|XP_037905264.1|HILL, LOC119647948|XP_037905240.1|HILL	LOC117893650|XP_034656231.1|DSUB, LOC117893651|XP_034656232.1|DSUB
OG0000303	LOC119660764|XP_037925458.1|HILL, LOC119659394|XP_037923385.1|HILL	LOC117895039|XP_034658304.1|DSUB, LOC117891866|XP_034653524.1|DSUB, LOC117901481|XP_034668141.1|DSUB
OG0000304	LOC119658827|XP_037922489.1|HILL	LOC117902603|XP_034670006.1|DSUB, LOC117899347|XP_034665190.1|DSUB, LOC117899348|XP_034665191.1|DSUB
OG0000305	LOC119648121|XP_037905571.1|HILL	LOC117895124|XP_034658424.1|DSUB, LOC117895123|XP_034658423.1|DSUB
OG0000305	LOC119648118|XP_037905569.1|HILL, LOC119658064|XP_037921245.1|HILL, LOC119648122|XP_037905572.1|HILL	LOC117893182|XP_034655566.1|DSUB
OG0000306	LOC119656830|XP_037919404.1|HILL	LOC117891461|XP_034652835.1|DSUB, LOC117903110|XP_034670827.1|DSUB
OG0000307	LOC119659134|XP_037922987.1|HILL	LOC117897347|XP_034662011.1|DSUB
OG0000307	LOC119653191|XP_037913676.1|HILL	LOC117898551|XP_034663922.1|DSUB
OG0000308	LOC119659315|XP_037923260.1|HILL	LOC117900737|XP_034667103.1|DSUB, LOC117901106|XP_034667630.1|DSUB, LOC117898311|XP_034663486.1|DSUB, LOC117902629|XP_034670040.1|DSUB
OG0000309	LOC119655217|XP_037916921.1|HILL	LOC117896617|XP_034660942.1|DSUB, LOC117898208|XP_034663320.1|DSUB
OG0000310	LOC119656747|XP_037919234.1|HILL	LOC117891914|XP_034653628.1|DSUB, LOC117890945|XP_034651974.1|DSUB
OG0000311	LOC119657657|XP_037920609.1|HILL	LOC117897526|XP_034662335.1|DSUB, LOC117896202|XP_034660220.1|DSUB, LOC117894299|XP_034657159.1|DSUB
OG0000312	LOC119646613|XP_037903043.1|HILL	LOC117900135|XP_034666252.1|DSUB
OG0000312	LOC119657839|XP_037920892.1|HILL	LOC117901246|XP_034667813.1|DSUB
OG0000313	LOC119652119|XP_037911988.1|HILL	LOC117900261|XP_034666457.1|DSUB, LOC117901190|XP_034667733.1|DSUB
OG0000314	LOC119658937|XP_037922718.1|HILL	LOC117902701|XP_034670138.1|DSUB, LOC117902699|XP_034670136.1|DSUB
OG0000315	LOC119660970|XP_037925963.1|HILL	LOC117902252|XP_034669401.1|DSUB
OG0000316	LOC119652481|XP_037912583.1|HILL, LOC119649734|XP_037907944.1|HILL, LOC119648354|XP_037905994.1|HILL, LOC119649297|XP_037907319.1|HILL, LOC119649023|XP_037906906.1|HILL, LOC119648914|XP_037906748.1|HILL, LOC119648693|XP_037906427.1|HILL	LOC117890294|XP_034650953.1|DSUB, LOC117890373|XP_034651060.1|DSUB
OG0000317	LOC119646248|XP_037902573.1|HILL	LOC117897468|XP_034662210.1|DSUB, LOC117897469|XP_034662211.1|DSUB, LOC117899519|XP_034665462.1|DSUB, LOC117897439|XP_034662170.1|DSUB, LOC117897793|XP_034662734.1|DSUB, LOC117897339|XP_034662000.1|DSUB, LOC117897794|XP_034662735.1|DSUB, LOC117897792|XP_034662733.1|DSUB
OG0000320	LOC119656552|XP_037918846.1|HILL	LOC117897732|XP_034662652.1|DSUB, LOC117901401|XP_034668026.1|DSUB, LOC117896806|XP_034661201.1|DSUB
OG0000321	LOC119655812|XP_037917845.1|HILL	LOC117902136|XP_034669161.1|DSUB, LOC117902137|XP_034669163.1|DSUB
OG0000322	LOC119654593|XP_037915985.1|HILL	LOC117902919|XP_034670389.1|DSUB, LOC117903109|XP_034670826.1|DSUB
OG0000323	LOC119651179|XP_037910534.1|HILL	LOC117902100|XP_034669095.1|DSUB, LOC117897035|XP_034661505.1|DSUB, LOC117897036|XP_034661507.1|DSUB
OG0000324	LOC119650355|XP_037908964.1|HILL	LOC117890823|XP_034651787.1|DSUB
OG0000325	LOC119647540|XP_037904458.1|HILL, LOC119649224|XP_037907211.1|HILL	LOC117894659|XP_034657724.1|DSUB, LOC117894477|XP_034657469.1|DSUB
OG0000328	LOC119647671|XP_037904677.1|HILL	LOC117891079|XP_034652150.1|DSUB, LOC117893351|XP_034655832.1|DSUB, LOC117893347|XP_034655827.1|DSUB
OG0000331	LOC119660750|XP_037925426.1|HILL	LOC117900988|XP_034667475.1|DSUB, LOC117901925|XP_034668785.1|DSUB, LOC117901773|XP_034668564.1|DSUB, LOC117901226|XP_034667788.1|DSUB, LOC117900858|XP_034667269.1|DSUB
OG0000332	LOC119652961|XP_037913288.1|HILL	LOC117903681|XP_034671910.1|DSUB, LOC117898137|XP_034663222.1|DSUB
OG0000332	LOC119655894|XP_037917968.1|HILL	LOC117903192|XP_034670967.1|DSUB
OG0000333	LOC119648073|XP_037905483.1|HILL	LOC117894230|XP_034657037.1|DSUB
OG0000334	LOC119648594|XP_037906294.1|HILL	LOC117892029|XP_034653843.1|DSUB, LOC117890520|XP_034651317.1|DSUB
OG0000335	LOC119651925|XP_037911683.1|HILL, LOC119651821|XP_037911539.1|HILL, LOC119652176|XP_037912049.1|HILL	LOC117902271|XP_034669423.1|DSUB, LOC117902269|XP_034669419.1|DSUB
OG0000336	LOC119660296|XP_037924696.1|HILL	LOC117896583|XP_034660894.1|DSUB, LOC117895978|XP_034659829.1|DSUB, LOC117895976|XP_034659826.1|DSUB
OG0000337	LOC119660061|XP_037924368.1|HILL	LOC117893332|XP_034655813.1|DSUB, LOC117893333|XP_034655814.1|DSUB, LOC117893473|XP_034655986.1|DSUB, LOC117893591|XP_034656156.1|DSUB
OG0000338	LOC119647611|XP_037904571.1|HILL	LOC117895578|XP_034659190.1|DSUB
OG0000338	LOC119646654|XP_037903104.1|HILL	LOC117892357|XP_034654454.1|DSUB
OG0000339	LOC119649031|XP_037906916.1|HILL	LOC117894536|XP_034657546.1|DSUB
OG0000340	LOC119656287|XP_037918646.1|HILL	LOC117892636|XP_034654879.1|DSUB
OG0000342	LOC119656749|XP_037919236.1|HILL	LOC117900549|XP_034666847.1|DSUB, LOC117890304|XP_034650969.1|DSUB
OG0000343	LOC119656580|XP_037918899.1|HILL	LOC117897637|XP_034662502.1|DSUB
OG0000343	LOC119652869|XP_037913156.1|HILL, LOC119651334|XP_037910808.1|HILL, LOC119651190|XP_037910556.1|HILL	LOC117897684|XP_034662586.1|DSUB
OG0000344	LOC119653101|XP_037913544.1|HILL, LOC119646209|XP_037902520.1|HILL, LOC119655037|XP_037916641.1|HILL, LOC119650620|XP_037909437.1|HILL	LOC117890222|XP_034650850.1|DSUB, LOC117896300|XP_034660413.1|DSUB
OG0000345	LOC119657419|XP_037920250.1|HILL	LOC117891285|XP_034652567.1|DSUB
OG0000346	LOC119646519|XP_037902907.1|HILL, LOC119659886|XP_037924134.1|HILL	LOC117890209|XP_034650832.1|DSUB
OG0000347	LOC119648357|XP_037905998.1|HILL	LOC117894249|XP_034657091.1|DSUB
OG0000347	LOC119650775|XP_037909808.1|HILL	LOC117901624|XP_034668343.1|DSUB
OG0000348	LOC119646268|XP_037902599.1|HILL, LOC119661392|XP_037926644.1|HILL, LOC119661101|XP_037926218.1|HILL	LOC117900771|XP_034667142.1|DSUB
OG0000349	LOC119655419|XP_037917235.1|HILL	LOC117901418|XP_034668045.1|DSUB
OG0000350	LOC119647587|XP_037904524.1|HILL	LOC117899344|XP_034665188.1|DSUB
OG0000351	LOC119650765|XP_037909794.1|HILL, LOC119651405|XP_037910922.1|HILL	LOC117892035|XP_034653851.1|DSUB, LOC117892037|XP_034653852.1|DSUB
OG0000353	LOC119651137|XP_037910460.1|HILL, LOC119651138|XP_037910461.1|HILL	LOC117899202|XP_034664965.1|DSUB
OG0000353	LOC119650632|XP_037909467.1|HILL	LOC117902638|XP_034670051.1|DSUB
OG0000354	LOC119646851|XP_037903400.1|HILL	LOC117900929|XP_034667384.1|DSUB
OG0000354	LOC119661529|XP_037926835.1|HILL, LOC119661530|XP_037926836.1|HILL	LOC117900930|XP_034667385.1|DSUB
OG0000355	LOC119651943|XP_037911727.1|HILL, LOC119651919|XP_037911679.1|HILL	LOC117891105|XP_034652185.1|DSUB, LOC117892437|XP_034654568.1|DSUB
OG0000356	LOC119653869|XP_037914896.1|HILL	LOC117902257|XP_034669406.1|DSUB, LOC117902254|XP_034669403.1|DSUB
OG0000358	LOC119652921|XP_037913238.1|HILL	LOC117896664|XP_034661001.1|DSUB, LOC117897010|XP_034661467.1|DSUB, LOC117895999|XP_034659885.1|DSUB
OG0000361	LOC119650707|XP_037909637.1|HILL	LOC117900157|XP_034666288.1|DSUB, LOC117901763|XP_034668542.1|DSUB
OG0000362	LOC119661014|XP_037926089.1|HILL	LOC117902966|XP_034670511.1|DSUB
OG0000362	LOC119650343|XP_037908936.1|HILL	LOC117899285|XP_034665085.1|DSUB, LOC117895354|XP_034658829.1|DSUB
OG0000363	LOC119658613|XP_037922027.1|HILL	LOC117897733|XP_034662653.1|DSUB
OG0000363	LOC119647856|XP_037905052.1|HILL	LOC117893562|XP_034656116.1|DSUB
OG0000365	LOC119661181|XP_037926327.1|HILL	LOC117890979|XP_034652011.1|DSUB
OG0000366	LOC119657659|XP_037920611.1|HILL	LOC117896792|XP_034661194.1|DSUB
OG0000366	LOC119660260|XP_037924646.1|HILL	LOC117899469|XP_034665377.1|DSUB
